   yuktidīpikā //	yukti dIpikA //
   'rthādāpannameṣāṃ sāmānyāpi vṛttirastīti / tasmādasāvapi vaktavyeti /	arTAt Apannam ezAm sAmAnyA api vRttiH asti iti / tasmAt asO= api vaktavyA iti /
        ucyate 	ucyate 
        sāmānyakaraṇavṛttiḥ prāṇādyā vāyavaḥ pañca // ISk_29 //	sAmAnya karaNa vRttiH prANa AdyAH vAyavaH paQca // ISc _29 //
        sāmānyā cāsau karaṇavṛttiḥ sāmānyakaraṇavṛttiḥ / prāṇaścādyo yeṣāṃ te	sAmAnyA ca asO karaNa vRttiH sAmAnya karaNa vRttiH / prANaH ca AdyaH yezAm te
   prāṇādyāḥ, prāṇāpānasamānodānavyānāḥ pañca samastakaraṇavṛttiḥ	prANa AdyAH, prANa apAna samAna udAna vyAnAH paQca samasta karaNa vRttiH
   pratyavagantavyeti / taiḥ sarvaiḥ sahitaḥ prāṇa iti vedānteṣvapi /	pratyavagantavyA iti / tEH sarvEH sahitaH prANaH iti vedAntezu api /
        āha, ayuktametat / kasmāt ? dharmiṇo dharmyantaravṛttibhāvānupapatteḥ	Aha, ayuktam etat / kasmAt ? DarmiNaH Darmi antara vRtti BAva anupapatteH
   / vṛttirityayaṃ śabdo vyāpāramācaṣṭe / na ca dharmāntaraṃ dharmāntarasya	/ vRttiH iti ayam SabdaH vyApAram Acazwe / na ca Darma antaram Darma antarasya
   vyāpāro bhavitumarhatīti /	vyApAraH Bavitum arhati iti /
        ucyate  na kārye kāraṇopacārāt / satyametat / dharmī dharmyantarasya	ucyate na kArye kAraNa upacArAt / satyam etat / DarmI Darmi antarasya
   vṛttitvenāśakyaḥ parikalpayitum / kiṃ tu sāmānyakaraṇavṛttyā preryamāṇo	vRtti tvena aSakyaH parikalpayitum / kim tu sAmAnya karaNa vRttyA preryamANaH 
   vāyustatpravaṇatvāttatkāryatāṃ pratipadyate / tatra prāṇādikārye vāyau	vAyuH tad pravaNa tvAt tat kAryatAm pratipadyate / tatra prANa Adi kArye vAyO
   prāṇopacāraṃ kṛtvā evamucyate  prāṇādyā vāyavaḥ pañca /	prANa upacAram kRtvA evam ucyate prANa AdyAH vAyavaH paQca /
        tatpreraṇāsiddherayuktamiti cet syādetat, kathametadavagamyate	tad preraNA sidDeH ayuktam iti ced syAt etat, kaTam etat avagamyate
   'rthāntarapreritasya vāyoriyaṃ kriyā bhavati na punaḥ svatantrasyeti ?	arTa antara preritasya vAyoH iyam kriyA Bavati na punar svatantrasya iti ?
        ucyate  na svataḥ, tadvyatiriktatvānupapatteḥ / iheyamakasmādbhinnā	ucyate na svataH, tad vyatirikta tva anupapatteH / iha iyam akasmAt BinnA
   kriyāvāyoḥ svato vā syāt, karaṇavṛttivyatiriktatvādvā / kiṃ cātaḥ ? tatra	kriyAvAyoH svatas vA syAt, karaNa vRtti vyatirikta tvAt vA / kim ca atas ? tatra
   tāvatsvata upapadyate / kasmāt ? sarvatra prasaṃgāt svābhāvike hi	tAvat svatas upapadyate / kasmAt ? sarvatra prasaMgAt svABAvike hi
   vāyordiksaṃcāre 'bhyupagamyamāne sarvatra tatsaṃbhavaḥ syāt / tataśca	vAyoH diS saMcAre aByupagamyamAne sarvatra tad saMBavaH syAt / tatas ca
   tiryakpātādivṛttirhanyeta, na cānyataḥ / kasmāt ? adarśanāt / na hi	tiryakpAta Adi vRttiH hanyeta, na ca anyatas / kasmAt ? adarSanAt / na hi
   pṛthivyādīnāṃ vāyupreraṇasāmarthyaṃ kvacidupalabdham / bhastrādiṣu	pRTivI AdInAm vAyu preraNa sAmarTyam kvacid upalabDam / BastrA Adizu
   dṛṣṭamiti cenna, anyanimittatvāt / atrāpi caitravyāpāra upalabhyate	dRzwam iti ced na, anya nimitta tvAt / atra api cEtra vyApAraH upalaByate
   ityavaśyamanyannimittamupalabhyate ityabhyupagantavyam / ātmeti cenna,	iti avaSyam anyat nimittam upalaByate iti aByupagantavyam / AtmA iti ced na,
   kriyāpratiṣedhāt / upapāditametatpūrvamātmā niṣkriya iti / na ca	kriyA pratizeDAt / upapAditam etat pUrvam AtmA nizkriyaH iti / na ca
   niṣkriyasya preraṇamupapadyate / na ca nirnimittā	nizkriyasya preraNam upapadyate / na ca nirnimittA
   svabhāvabhedānāmanākasmikatvāt / tasmādyattannimittaṃ sā	svaBAva BedAnAm anAkasmika tvAt / tasmAt yat tad nimittam sA
   samastakaraṇavṛttiḥ /	samasta karaNa vRttiH /
        sa cāyaṃ vāyureka eva sthānasaṃcāraviśeṣānnānākhyo bhavati / yathaiko	sa ca ayam vAyuH ekaH eva sTAna saMcAra viSezAt nAnA AKyaH Bavati / yaTA ekaH 
   devadattaḥ pācako lāvaka iti kvacit / tadayuktam / kasmāt ?	devadattaH pAcakaH lAvakaH iti kvacid / tat ayuktam / kasmAt ?
   yugapatparasparātiśayavirodhāt / pūrvasmātpūrvasmāduttara uttaro	yugapad paraspara atiSaya viroDAt / pUrvasmAt pUrvasmAt uttaraH uttaraH 
   vāyurbalīyāniti hyabhyupagamaḥ / tadetadekasyaikasminkāle nopapadyate /	vAyuH balIyAn iti hi aByupagamaH / tat etat ekasya ekasmin kAle na upapadyate /
   tasmādupapannaṃ prāṇādyā vāyavaḥ pañca /	tasmAt upapannam prANa AdyAH vAyavaH paQca /
        kiṃ punareṣāṃ prāṇādīnāṃ lakṣaṇamiti ?	kim punar ezAm prANa AdInAm lakzaNam iti ?
        ucyate  dvividhāḥ prāṇādayaḥ / antarvṛttayo bahirvṛttayaśca / tatra	ucyate dviviDAH prANa AdayaH / antar vRttayaH bahis vRttayaH ca / tatra
   mukhanāsikābhyāṃ pragamanātpraṇateśca prāṇaḥ / yo 'yaṃ mukhanāsikābhyāṃ	muKa nAsikAByAm pragamanAt praNateH ca prANaH / yaH ayam muKa nAsikAByAm
   sañcarati so 'ntarvṛttirvāyuḥ prāṇa ityabhidhīyate / yā kācitpraṇatirnāma	saQcarati saH antar vRttiH vAyuH prANaH iti aBiDIyate / yA kAcid praNatiH nAma
   bhūteṣu tadyathā praṇateyaṃ senā, praṇato 'yaṃ vṛkṣaḥ, praṇato 'yaṃ	BUtezu tat yaTA praNatA iyam senA, praNataH ayam vRkzaH, praNataH ayam
   dharme, praṇato 'yamarthe, praṇato 'yaṃ kāme, praṇato 'yaṃ vidyāyām /	Darme, praNataH ayam arTe, praNataH ayam kAme, praNataH ayam vidyAyAm /
   tadviparīteṣu vā bāhyaprāṇavṛttireṣā / prāṇiviṣaya evaiṣā bhavati / sa	tad viparItezu vA bAhya prANa vRttiH ezA / prANi vizayaH eva ezA Bavati / sa
   khalvayamatrābhivyakto bhavati / tadyathā mahatā vā duḥkhenābhiplutasya	Kalu ayam atra aBivyaktaH Bavati / tat yaTA mahatA vA duHKena aBiplutasya
   mahatā vā bandhunā viyuktasya, sahitasya vā saurabheyasya,	mahatA vA banDunA viyuktasya, sahitasya vA sOraBeyasya,
   nipānāvatīrṇasya vā mahiṣasyāvagateḥ /	nipAna avatIrNasya vA mahizasya avagateH /
        apakramaṇāccāpānaḥ / yo 'yaṃ rasaṃ dhātūn śukraṃ mūtraṃ purīṣaṃ	apakramaNAt ca apAnaH / yaH ayam rasam DAtUn Sukram mUtram purIzam
   vātārtavagarbhāṃścākarṣannadhogacchannayamantarvṛttirvāyurapāna	vAta Artava garBAn= ca Akarzan= aDas gacCan= ayam antar vRttiH vAyuH apAna
   ityabhidhīyate / yaccāpi kiṃcidapakramaṇaṃ nāma bhūteṣu tadyathā apakrānto	iti aBiDIyate / yat ca api kiMcid apakramaNam nAma BUtezu tat yaTA apakrAntaH 
   'yaṃ dharmādibhyastadviparītebhyo vā iti bāhyā khalvapānavṛttireṣā /	ayam Darma AdiByaH tad viparIteByaH vA iti bAhyA Kalva pAna vRttiH ezA /
   apānaviṣaya evaiṣa bhavati / balavattaraścāyaṃ prāṇodvāyoḥ kasmāt ? eṣā	apAna vizayaH eva eza Bavati / balavattaraH ca ayam prANa udvAyoH kasmAt ? ezA
   hyetaṃ prāṇamūrdhvaṃ vartamānamarvāgeva sanniyacchati arvāgeva	hi etam prANam UrDvam vartamAnam arvAk eva san= iyacCati arvAk eva
   sanniruṇaddhi / eṣo 'trābhivyakto bhavati / tadyathā upakūpamupaśvabhraṃ	sanniruNadDi / ezaH atra aBivyaktaH Bavati / tat yaTA upakUpam upaSvaBram
   vā parivartamānasyā__śatapadīṃ laṅghayataḥ /	vA parivartamAnasyA__SatapadIm laFGayataH /
        hṛdyavasthānātsaha bhāvācca samānaḥ / yastvayaṃ prāṇāpānayormadhye	hRdi avasTAnAt saha BAvAt ca samAnaH / yaH tu ayam prANa apAnayoH maDye
   hṛdyavatiṣṭhate sa samāno vāyurantarvṛttiḥ yaścāpi kaścitsaha bhāvo nāma	hRdi avatizWate sa samAnaH vAyuH antar vRttiH yaH ca api kaScid saha BAvaH nAma
   bhūteṣu dvandvārāmatā / tadyathā saha dāsye, saha yakṣye, saha	BUtezu dvandva ArAma tA / tat yaTA saha dAsye, saha yakzye, saha
   tapaścariṣyāmi saha bhāryāputrairbandhubhiḥ suhṛdbhiśca vartiṣya bāhyā	tapaH carizyAmi saha BAryA putrEH banDuBiH suhRdBiH ca vartizya bAhyA
   samānavṛttireṣā / samānaviṣaya evaiṣa bhavati iti / balavattaraḥ khalvayaṃ	samAna vRttiH ezA / samAna vizayaH eva eza Bavati iti / balavattaraH Kalu ayam
   prāṇāpānābhyām / eṣa hyetau prāṇāpānau ūrdhvamarvākca vartamānau madhya	prANa apAnAByAm / eza hi etO prANa apAnO UrDvam arvAk ca vartamAnO maDye 
   eva sanniyacchati, madhya eva sanniruṇaddhi, sa caiṣau 'trābhivyakto	eva san= iyacCati, maDye eva sanniruNadDi, sa ca ezO atra aBivyaktaH 
   bhavati / tadyathā srutasārasya vā sārameyasya, anaḍuho voḍhabhārasya,	Bavati / tat yaTA srutasArasya vA sArameyasya, anaxuhaH voXa BArasya,
   dharmābhitaptāyā vā eḍakāyā ardhārdhakāyaṃ śakaśaketi / prāṇānte	Darma aBitaptAyAH vE exakAyAH arDa arDa kAyam SakaSaka iti / prANAnte
   sarvaprāṇināṃ prāṇāpānāvutsṛjyordhvamadhaśca muktayoktrau hayāviva viṣamaṃ	sarva prANinAm prANa apAnO= utsRjya UrDvam aDas ca mukta yoktrO hayO= iva vizamam
   saṃcārayan śarīraṃ sa parāsyati /	saMcArayan SarIram sa parAsyati /
        mūrdhārohaṇadātmotkarṣaṇāccodānaḥ / yastvayaṃ prāṇāpānasamānānāṃ	mUrDa ArohaNa dAtma utkarzaNAt ca udAnaH / yaH tu ayam prANa apAna samAnAnAm
   sthānānyatikramya rasaṃ dhātūṃścādāya mūrdhānamārohati tataśca pratihato	sTAnAni atikramya rasam DAtUn= ca AdAya mUrDAnam Arohati tatas ca pratihataH 
   nivṛttaḥ sthānakaraṇānupradānaviśeṣādvarṇapadavākyaślokagranthalakṣaṇasya	nivRttaH sTAna karaNa anupradAna viSezAt varNa pada vAkya Sloka granTa lakzaNasya
   śabdasyābhivyaktinimittaṃ bhavati ayamantarvṛttirvāyurudāna ityucyate /	Sabdasya aBivyakti nimittam Bavati ayam antar vRttiH vAyuH udAnaH iti ucyate /
   yaścāpi kaścidātmotkarṣo nāma bhūteṣu tadyathā hīnādasmi śreyān, sadṛśena	yaH ca api kaScid Atma utkarzaH nAma BUtezu tat yaTA hInAt asmi SreyAn, sadRSena
   vā sadṛśaḥ, sadṛśādasmi śreyān, śreyasā vā sadṛśaḥ, śreyaso vā śreyān /	vA sadRSaH, sadRSAt asmi SreyAn, SreyasA vA sadRSaH, SreyasaH vA SreyAn /
   etasmiṃstathā rūpābhimāno vā prāptavidyastu / tadyathā	etasmin= taTA rUpa aBimAnaH vA prApta vidyaH tu / tat yaTA
   bahvantaraviśeṣādalpāntaraviśeṣo 'smyaguṇavato vā guṇavānasmīti	bahu antara viSezAt alpa antara viSezaH asmi aguNavataH vA guNavAn asmi iti
   bāhyodānavṛttireṣā / udānaviṣaya evaiṣa bhavati / balavattaraḥ khalvayaṃ	bAhya udAna vRttiH ezA / udAna vizayaH eva eza Bavati / balavattaraH Kalu ayam
   pūrvabhyaḥ / katham ? eṣa hyetānprāṇādīnūrdhvamavāṅmadhye ca	pUrvaByaH / kaTam ? eza hi etAn prANa AdIn UrDvam avAk maDye ca
   vartamānānūrdhvamevonnayati, ūrdhvamevotkarṣati / sa caiṣo 'trābhivyakto	vartamAnAn UrDvam eva unnayati, UrDvam eva utkarzati / sa ca ezaH atra aBivyaktaH 
   bhavati śītodakena vā paryukṣitasya prāsamasiṃ vikośaṃ	Bavati SIta udakena vA paryukzitasya prAsamasim vikoSam
   codyatamabhipaśyataḥ /	ca udyatam aBipaSyataH /
        śarīravyāpteratyantāvinābhāvācca vyānaḥ /	SarIra vyApteH atyanta avinA BAvAt ca vyAnaH /
   yastvayamālomanakhāccharīraṃ vyāpya rasādīnāṃ dhātūnāṃ pṛthivyādināṃ	yaH tu ayam Aloma naKAt SarIram vyApya rasa AdInAm DAtUnAm pRTivI AdinAm
   vyūhaṃ marmaṇāṃ ca praspandanaṃ prāṇādīnāṃ ca sthitiṃ karoti so	vyUham marmaNAm ca praspandanam prANa AdInAm ca sTitim karoti saH 
   'ntarvṛttirvyānaḥ / yaścāpi kaścidatyantāvinābhāvo nāma bhūteṣu tadyathā	antar vRttiH vyAnaH / yaH ca api kaScid atyantOvinABAvaH nAma BUtezu tat yaTA
   pativratā bhartāraṃ mṛtamapyanugacchati bhavāntare 'pyayameva bhartā syāt	pativratA BartAram mRtam api anugacCati Bava antare api ayam eva BartA syAt 
   tathā dharmādibhistadviparītaiśceti bāhyo vyānaviṣaya evaiṣa prabhavati /	taTA Darma AdiBiH tad viparItEH ca iti bAhyaH vyAna vizayaH eva eza praBavati /
   balavattamaścāyaṃ sarvebhyaḥ / katham ? anena hi vyāpte śarīradaṇḍake	balavattamaH ca ayam sarveByaH / kaTam ? anena hi vyApte SarIra daNxake
   tadvaśīkṛtānāṃ prāṇādīnāṃ samā sthitirbhavati / sa eṣo 'ntakāle	tad vaSIkRtAnAm prANa AdInAm samA sTitiH Bavati / saH ezaH anta kAle
   prāṇabhṛtāmavinābhāvena vartamāno 'bhivyajyate / tadyathā hā tarhi pādau	prANaBRta Am avinA aBAvena vartamAnaH aBivyajyate / tat yaTA hA tarhi pAdO
   haimau śītībhūtau gulphe jaṅghe urū kaṭirudaramuraḥkaṇṭhe 'sya khuraghuro	hEmO SItIBUtO gulPe jaFGe urU kawiH udaram uraH kaNWe asya KuraGuraH 
   vartate hū(?) ityavaiṣo bāhyo vyāna iti / evamete prāṇādyāḥ	vartate hU(?) iti avEzaH bAhyaH vyAnaH iti / evam ete prANa AdyAH
   sthānakāryaviśeṣasūcitāḥ pañca vāyavo vyākhyātāḥ teṣāṃ prerikā	sTAna kArya viSeza sUcitAH paQca vAyavaH vyAKyAtAH tezAm prerikA
   sāmānyakaraṇavṛttiḥ /	sAmAnya karaNa vRttiH /
        eṣā ca tantrāntareṣu prayatna ityucyate / sa ca	ezA ca tantra antarezu prayatnaH iti ucyate / sa ca
   dharmādisaṃskārabhāvanāvaśādanuparato jīvanam / āha ca	Darma Adi saMskAra BAvanA vaSAt anuparataH jIvanam / Aha ca
        vṛttirantaḥ samastānāṃ karaṇānāṃ pradīpavat /	vRttiH antar samastAnAm karaNAnAm pradIpa vat /
        aprakāśā kriyārūpā jīvanaṃ kāyadhārikā //	aprakASA kriyA rUpA jIvanam kAya DArikA //
        sā yāvadaniruddhā tu hanti vāyuṃ rajo 'dhikā /	sA yAvat anirudDA tu hanti vAyum rajaH aDikAH /
        dharmādyanāvṛttivaśāttāvajjīvati mānavaḥ //	Darma AdyanAvRtti vaSAt tAvat jIvati mAnavaH //
        atra ca sāmānyakaraṇavṛttigrahaṇasāmarthyātprāṇādyāḥ pañca vāyavaḥ /	atra ca sAmAnya karaNa vRtti grahaNa sAmarTyAt prANa AdyAH paQca vAyavaH /
   buddhīndriyāṇi ṣaṣṭham / karmendriyāṇi saptamam / pūraṣṭamam /	budDIndriyANi zazWam / karmendriyANi saptamam / pUrazwamam /
   pūrityahaṃkārāvasthāsaṃvidhamadhikurute / yasmādāha  tatra	pUriti ahaMkAra avasTA saMviDam aDikurute / yasmAt Aha tatra
        saṃvidahaṃkāragataṃ kāryaṃ kāraṇaṃ pūrayati yasmāt /	saMvid ahaMkAra gatam kAryam kAraNam pUrayati yasmAt /
        tasmātpūrityuktā pratyavabhāsāṣṭamaṃ bhoktuḥ //	tasmAt pUriti uktA pratyavaBAsA azwamam BoktuH //
        sā cāhaṅkāragatā saṃvid buddhigataiva puruṣeṇopalabhyate /	sA ca ahaFkAra gatA saMvid budDi gatA eva puruzeNa upalaByate /
        yasmādvakṣyati 	yasmAt vakzyati 
        ete pradīpakalpāḥ parasparavilakṣaṇā guṇaviśeṣāḥ /	ete pradIpa kalpAH paraspara vilakzaNAH guNa viSezAH /
        kṛtsnaṃ puruṣasyārthaṃ prakāśya buddhau prayacchanti // (ISk 36)	kRtsnam puruzasya arTam prakASya budDO prayacCanti // (ISj 36)
        sarvapratyupabhogaṃ yasmātpuruṣasya sādhayati buddhiḥ // (ISk 37)	sarva pratyupaBogam yasmAt puruzasya sADayati budDiH // (ISj 37)
        tasmātsaiva pūriti / śāstraṃ caivamāha  prāṇāpānasamānodānavyānāḥ	tasmAt sa eva pUriti / SAstram ca evam Aha prANa apAna samAna udAna vyAnAH
   pañca vāyavaḥ / ṣaṣṭhaṃ manaḥ / saptamī pūraṣṭamī vāk / vāggrahaṇena	paQca vAyavaH / zazWam manaH / saptamI pUrazwamI vAc / vAc grahaNena
   karmendriyaparvaṇo grahaṇam / manograhaṇena buddhīndriyaparvaṇaḥ /	karmendriya parvaNaH grahaNam / manaH grahaNena budDIndriya parvaNaH /
   tadetatprāṇāṣṭamaṃ vaikārikaṃ guṇaśarīrasya paridraṣṭuḥ kṣetrajñasya	tat etad prANa azwamam vEkArikam guNa SarIrasya paridrazwuH kzetrajQasya
   śarīramādadānasya nityaṃ stambhasthānīyaṃ pratyaṅgaṃ bhavati,	SarIram AdadAnasya nityam stamBa sTAnIyam pratyaFgam Bavati,
   acchedyamabhedyamadāhyamavināśyamavikampyam / anityāni punarbhautikāni	acCedyam aBedyam adAhyam avinASyam avikampyam / anityAni punar BOtikAni
   bāhyāni kuśamṛttikāsthānīyāni upacīyante ceti /	bAhyAni kuSa mRttikA sTAnIyAni upacIyante ca iti /
        āha, kutaḥ punariyaṃ prāṇādivṛttiḥ pravartata iti ? ucyate  sā	Aha, kutas punar iyam prANa Adi vRttiH pravartate iti ? ucyate sA
   karmayonibhyaḥ / mahataḥ pracyutaṃ hi rajo vikṛtam aṇḍasthānīyāḥ pañca	karma yoniByaH / mahataH pracyutam hi rajaH vikRtam aNxa sTAnIyAH paQca
   karmayonayo bhavanti  dhṛtiḥ śraddhā sukhā vividiṣā avividiṣeti / āha ca	karma yonayaH Bavanti DRtiH SradDA suKAH vividizA avividizA iti / Aha ca
        pracyuto mahato yastu na prāpto jñānalakṣaṇam /	pracyutaH mahataH yaH tu na prAptaH jQAna lakzaNam /
        vyāpāro jñānayonitvātsā yoniḥ kukkuṭāṇḍavat //	vyApAraH jQAna yoni tvAt sA yoniH kukkuwa aNxa vat //
        tāsāṃ lakṣaṇaviṣayasatattvaguṇasamanvayā bhavanti / tatra lakṣaṇaṃ	tAsAm lakzaNa vizaya sa tattva guNa samanvayAH Bavanti / tatra lakzaNam
   tāvat vyavasāyādapracyavanaṃ dhṛtiḥ / phalamanabhisandhāya śāstrokteṣu	tAvat vyavasAyAt apracyavanam DRtiH / Palam anaBisanDAya SAstra uktezu
   kāryeṣvavaśyakartavyatābījabhāvaḥ śraddhā /	kAryezu avaSya kartavya tA bIja BAvaH SradDA /
   dṛṣṭānuśravikaphalābhilāṣadvārako hi buddherābhogaḥ sukhā / vettumicchā	dRzwa AnuSravika Pala aBilAza dvArakaH hi budDeH ABogaH suKA / vettum icCA
   vividiṣā / tannivṛttiravividiṣā / tatra yadāyaṃ jantuḥ śubhāśubheṣu	vividizA / tad nivRttiH avividizA / tatra yadA ayam jantuH SuBa aSuBezu
   kāryeṣu vṛttyanusārī jijñāsurajijñāsurvā śarīraṃ parityajati tāmeva	kAryezu vRtti anusArI jijQAsu H ajijQAsuH vA SarIram parityajati tAm eva
   karmayonimupapadyate / tasyāmupapannastāmeva bhāvayati /	karma yonim upapadyate / tasyAm upapannaH tAm eva BAvayati /
   etattāvallakṣanasatattvam / āha ca	etat tAvat lakzanasa tattvam / Aha ca
        vāci karmaṇi saṃkalpe pratijñāṃ yo na rakṣati /	vAci karmaNi saMkalpe pratijQAm yaH na rakzati /
        tanniṣṭhastatpratijñaśca dhṛteretaddhi lakṣaṇam //	tad nizWaH tad pratijQaH ca DRteH etat hi lakzaNam //
        anasūyā brahmacaryaṃ yajanaṃ yājanaṃ tapaḥ /	anasUyA brahmacaryam yajanam yAjanam tapaH /
        dānaṃ parigrahaḥ śaucaṃ śraddhāyāṃ lakṣaṇaṃ smṛtam //	dAnam parigrahaH SOcam SradDAyAm lakzaNam smRtam //
        sukhārthī yastu seveta vidyāṃ karma tapāṃsi vā /	suKa arTI yaH tu seveta vidyAm karma tapAMsi vA /
        prāyaścittaparo nityaṃ sukhāyāṃ sa tu vartate //	prAyaScitta paraH nityam suKAyAm sa tu vartate //
        dvitvaikatvapṛthaktvaṃ nityaṃ cetanamacetanaṃ sūkṣmam /	dvi tva eka tva pRTaktvam nityam cetanam acetanam sUkzmam /
        satkāryamasatkāryavividiṣitavyaṃ vividiṣāyāḥ //	satkAryam asat kArya vividizitavyam vividizAyAH //
        viṣapītasuptamattavadavividiṣā dhyāyināṃ sadā yoniḥ /	viza pIta supta matta vat avividizA DyAyinAm sadA yoniH /
        kāryakaraṇakṣayakarī prākṛtikā gatiḥ samākhyātā //	kArya karaNa kzaya karI prAkRtikA gatiH samAKyAtAH //
        viṣayasatattvaṃ punaḥ sarvaviṣayiṇī dhṛtiḥ / āśramaviṣayiṇī śraddhā /	vizaya sa tattvam punar sarva vizayiNI DRtiH / ASrama vizayiNI SradDA /
   dṛṣṭānuśravikaviṣayiṇī sukhā / vyaktaviṣayiṇī vividiṣā /	dRzwa AnuSravika vizayiNI suKA / vyakta vizayiNI vividizA /
   avyaktaviṣayiṇyavividiṣā / guṇasamanvayastu rajastamobahulā dhṛtiḥ /	avyakta vizayiNya vividizA / guNa samanvayaH tu rajaH tamaH bahulA DRtiH /
   sattvarajobahulā śraddhā / sattvatamobahulā sukhā / rajobahulā vividiṣā /	sattva rajaH bahulA SradDA / sattva tamaH bahulA suKA / rajaH bahulA vividizA /
   tamobahulāvividiṣā iti / uktaṃ ca	tamaH bahulA vividizAH iti / uktam ca
        lakṣaṇaviṣayasatattvaṃ traiguṇyasamanvayaṃ ca pañcānām /	lakzaNa vizaya sa tattvam trEguNya samanvayam ca paQcAnAm /
        yonīnāṃ yo vidyādyativṛṣabhaṃ taṃ tvahaṃ manye //	yonInAm yaH vidyAt yati vRzaBam tam tu aham manye //
        ityuktāḥ prāṇādayo yonayaśca /	iti uktAH prANa AdayaH yonayaH ca /
        etad dvayamadhigamya samyaṅmārgānugamanaṃ kuryāt /	etat dvayam aDigamya samyak mArga anugamanam kuryAt /
   rajastamodharmādisādhanabhāvavinivṛttitastvatra	rajaH tamaH Darma Adi sADana BAva vinivRttitaH tu atra
   prāṇānāmantarvṛttiranupādhikatvādanivartyā / bahirvṛttistu	prANAnAm antar vRttiH anupADika tvAt anivartyA / bahis vRttiH tu
   mārgāmārgaviṣayatayā prayoktavyā / kathamityucyate  prāṇaviṣayā	mArgAH mArga vizaya tayA prayoktavyA / kaTam iti ucyate prANa vizayA
   tāvatpraṇatirdharmādiviṣaya evāparoddhavyā / tato hyasya sattvavṛddhiḥ,	tAvat praNatiH Darma Adi vizayaH eva aparodDavyA / tatas hi asya sattva vRdDiH,
   sattvavṛddheścottarottarabuddhirūpādhigamaḥ / apānaviṣayastvapakramaṇaṃ	sattva vRdDeH ca uttarottara budDi rUpa aDigamaH / apAna vizayaH tu apakramaNam
   dharmādiviṣaya evāparoddhavyamevaṃ hyasya khyātiviṣayākārasya tamaso	Darma Adi vizayaH eva aparodDavyam evam hi asya KyAti vizaya AkArasya tamasaH 
