   Abhinanda: Kādambarīkathāsāra	ABinanda: KAt-ambarI-kaTA-sAra
   adya tāvat // AKad_7.112 //	adya tAvat // AKat-_7.112 //
   ity uktvā kṛtajṛmbhikaḥ kṣaṇam iva sthitvācacakṣe punar jābalir bhagavān	iti uktvA kRtajRmBikaH kzaNam iva sTitvA-Acacakze punar jAbaliH BagavAn
   aho bata rasād dīrghā kathā varṇitā /	aho bata rasAt dIrGA kaTA varNitA /
   tadyo 'sau śukanāsasūnur anayā śapto mahāśvetayā vaiśampāyana eṣa so 'dya	tat-yaH asO Suka-nAsa-sUnuH anayA SaptaH mahA-SvetayA vESampAyanaH eza saH adya
   śukatāṃ tenāgataḥ karmaṇā // AKad_7.113 //	Suka-tAm tena-AgataH karmaNA // AKat-_7.113 //
   api cāvinayena kopitaḥ śukanāso 'sya pitā yad abravīt /	api ca-avinayena kopitaH Suka-nAsaH asya pitA yat abravIt /
   śuka eva vṛthā sa pāṭhitaḥ phalitaṃ tac ca vaco 'dya śāpavat // AKad_7.114	SukaH eva vRTA sa pAWitaH Palitam tat ca vacaH adya SApa-vat // AKat-_7.114
   śrutvaitāṃ tu kathāṃ tapodhanagaṇaiḥ pṛṣṭaḥ punar vismitaiḥ ko hetur	SrutvA-etAm tu kaTAm tapoDana-gaNEH pRzwaH punar vismitEH kaH hetuH-
   bhagavan yad asya madanas tāvān muner apy abhūt /	Bagavan yat asya madanaH tAvAn muneH api aBUt /
   jābāliḥ punar āha nanv abhihitaṃ strīvīryataḥ kevalād utpanno 'yam ato	jAbAliH punar Aha nanu aBihitam strI-vIryataH kevalAt utpannaH ayam atas-
   rajasvalatayā nārīsvabhāvo 'bhavat // AKad_7.115 //	rajasvala-tayA nArI-svaBAvaH aBavat // AKat-_7.115 //
   viratavacasi tasminn etad uktvā maharṣau rajanir api samāptiṃ sā kathāvat	virata-vacasi tasmin etat uktvA mahA-RzO rajaniH api samAptim sA kaTAvat-
   prapede /	prapede /
   tadanu munijanenākāri pūrvāhṇasaṃdhyāsamayasamuciteṣu dhyānakāryeṣu	tadanu muni-janena-akAri pUrvAhNa-saMDyA-samaya-samucitezu DyAna-kAryezu
   siddhiḥ // AKad_7.116 //	sidDiH // AKat-_7.116 //
   iti śrīvipaścidvarāgragaṇyācāryaśrībhaṭṭajayantasūnor abhinandasya kṛtau	iti SrI-vipaScit-vara-agra-gaNya-AcArya-SrI-Bawwa-jayanta-sUnoH aBinandasya kRtO
   kādambarīkathāsāre saptamaḥ sargaḥ	kAdambarI-kaTA-sAre saptamaH sargaH
   aṣṭamaḥ sargaḥ	azwamaH sargaH
   atha māṃ śrutajābāliproktākhilakathākramam /	aTa mAm Sruta-jA-bAli-prokta-aKila-kaTA-kramam /
   aspṛśad bālabhāve 'pi prāgjanmacaritasmṛtiḥ // AKad_8.1 //	aspRSat bAla-BAve api prAc-janma-carita-smRtiH // AKat-_8.1 //
   śvetaketusuto bhūtvā śukanāsasuto 'bhavam /	Svetaketu-sutaH BUtvA SukanAsa-sutaH aBavam /
   sa vaiśampāyano 'dyāhaṃ jātaḥ putraḥ patattriṇaḥ // AKad_8.2 //	sa vESampAyanaH adya-aham jAtaH putraH patattriNaH // AKat-_8.2 //
   mama jātasmṛter vyaktā prāvartata sarasvatī /	mama jAta-smRteH vyaktA prAvartata sarasvatI /
   svayaṃ prāgjanmavidyāś ca hṛdayaṃ pratipedire // AKad_8.3 //	svayam prAc-janma-vidyAH ca hRdayam pratipedire // AKat-_8.3 //
   yathaiva cānye saṃskārāḥ prāktanā mām upāgaman /	yaTA-eva ca-anye saMskArAH prAktanA mAm upAgaman /
   mahāśvetānurāgo 'pi tathaiva samupāgamat // AKad_8.4 //	mahA-Sveta-anurAgaH api taTA-eva samupAgamat // AKat-_8.4 //
   athābhyadhikahārītasnehasaṃvardhitaḥ kramāt /	aTa-aByaDika-hArIta-sneha-saMvarDitaH kramAt /
   gaganākramaṇe śaktim avāpaṃ jātapakṣatiḥ // AKad_8.5 //	gagana-AkramaNe Saktim avApam jAta-pakzatiH // AKat-_8.5 //
   divaseṣv atha gacchatsu śanair ārūḍhayauvanaḥ /	divasezu aTa gacCatsu SanEs ArUXa-yOvanaH /
   gantum aicchaṃ mahāśvetāśramaṃ taddarśanotsukaḥ // AKad_8.6 //	gantum EcCam mahA-Sveta-ASramam tad-darSana-utsukaH // AKat-_8.6 //
   acintayaṃ ca janmedaṃ vihagasyāpi yātu me /	acintayam ca janma-idam vihagasya-api yAtu me /
   mahāśvetāśramopānte tarukoṭaraśāyinaḥ // AKad_8.7 //	mahA-Sveta-ASrama-upAnte taru-kowara-SAyinaH // AKat-_8.7 //
   ekadā tv atha jābāler āśramaṃ samupāgamat /	ekadA tu aTa jAbAleH ASramam samupAgamat /
   tātājñayā suhṛtsnehaparādhīnaḥ kapiñjalaḥ // AKad_8.8 //	tAta-AjQayA suhRd-sneha-para-aDInaH kapiQjalaH // AKat-_8.8 //
   sa ca papraccha hārītaṃ kva vaiśampāyanaḥ śukaḥ /	sa ca papracCa hArItam kva vESampAyanaH SukaH /
   utpannapratyabhijño 'ham ayam asmīty avādiṣam // AKad_8.9 //	utpanna-pratyaBijQaH aham ayam asmi-iti avAdizam // AKat-_8.9 //
   tataś ciram arodīt sa svavakṣasi nidhāya mām /	tatas ciram arodIt sa sva-vakzasi niDAya mAm /
   vayasyapuṇḍarīkasya dhig iyaṃ vartate daśā // AKad_8.10 //	vayasya-puNxarIkasya Dik iyam vartate daSA // AKat-_8.10 //
   mayāpi rudatokto 'sau kiṃ rodiṣi kapiñjala /	mayA-api rudatA-uktaH asO kim rodizi kapiQjalaH /
   tvayāpi matkṛte dṛṣṭā sakhe kaṣṭatarā daśā // AKad_8.11 //	tvayA-api mad-kRte dRzwA saKe kazwatarAH daSA // AKat-_8.11 //
   kva heṣā kva japābhyāsaḥ kva paryāṇaṃ kva valkalam /	kva hezA kva japa-aByAsaH kva paryANam kva valkalam /
   kvopavītaṃ kva vā valgā kva muniḥ kva turaṅgamaḥ // AKad_8.12 //	kva-upavItam kva vA valgA kva muniH kva turaFgamaH // AKat-_8.12 //
   tataḥ kṣaṇam iva sthitvā tātasaṃdeśam abravīt /	tatas kzaNam iva sTitvA tAta-saMdeSam abravIt /
   kapiñjalaḥ samāsena punar gamanasatvaraḥ // AKad_8.13 //	kapiQjalaH samAsena punar gamana-satvaraH // AKat-_8.13 //
   tātas tvām ādideśaivaṃ vatsa doṣas tavātra kaḥ /	tAtaH tvAm AdideSa-evam vatsa dozaH tava-atra kaH /
   rajovikṛtayo yuktāḥ śuddhastrībījajanmanām // AKad_8.14 //	rajaH-vikRtayaH yuktAH SudDa-strI-bIja-janmanAm // AKat-_8.14 //
   alpāyuṣaṃ viditvāpi jāte tvayi na yan mayā /	alpa-Ayuzam viditvA-api jAte tvayi na yat mayA /
   kṛtā pratikriyā tatra tadālasyaṃ hi māmakam // AKad_8.15 //	kRtA pratikriyA tatra tad-Alasyam hi mAmakam // AKat-_8.15 //
   adyāyuṣkāmayāgas tu prastutaḥ sa samāpyate /	adya-AyuzkAmayAgaH tu prastutaH sa samApyate /
   na yāvad bhavatā tāvan na gantavyam itaḥ kvacit // AKad_8.16 //	na yAvat BavatA tAvat na gantavyam itas kvacid // AKat-_8.16 //
   ahaṃ tvadantike sthātum icchann api nivāritaḥ /	aham tvad-antike sTAtum icCan api nivAritaH /
   tātena tatra karmaikadeśaleśāṅgatāṃ gataḥ // AKad_8.17 //	tAtena tatra karma-eka-deSa-leSa-aFga-tAm gataH // AKat-_8.17 //
   ity ākhyāya pariṣvajya kriyābhyāvartanena mām /	iti AKyAya parizvajya kriyA-aByAvartanena mAm /
   krameṇāmantrya sa munīn pratasthe divam utpatan // AKad_8.18 //	krameNa-Amantrya sa munIn pratasTe divam utpatan // AKat-_8.18 //
   gṛhītatātādeśo 'pi kāle gacchaty ahaṃ balāt /	gRhIta-tAtA-deSaH api kAle gacCati aham balAt /
   nīto vāritavāmena kāmena vaśam ātmanaḥ // AKad_8.19 //	nItaH vArita-vAmena kAmena vaSam AtmanaH // AKat-_8.19 //
   anubhūya ciraṃ tatra citrāḥ smarabibhīṣikāḥ /	anuBUya ciram tatra citrAH smara-biBIzikAH /
   akārṣaṃ dhiyam utkrāntagurvājño gamanaṃ prati // AKad_8.20 //	akArzam Diyam utkrAnta-guru-AjQaH gamanam prati // AKat-_8.20 //
   ekadā tv āśramaṃ śūnyaṃ vīkṣya nirgatatāpasam /	ekadA tu ASramam SUnyam vIkzya nirgata-tApasam /
   ekākī sahasoḍḍīya prasthito 'smy uttarāṃ diśam // AKad_8.21 //	ekAkI sahasA-uxxIya prasTitaH asmi uttarAm diSam // AKat-_8.21 //
   adūroḍḍīna evāham anabhyastādhvalaṅghanaḥ /	adUra-uxxInaH eva-aham anaByasta-aDva-laFGanaH /
   krāntas tṛṣā ca klāntyā ca jalaṃ kvacid atarkayam // AKad_8.22 //	krAntaH tRzA ca klAntyA ca jalam kvacid atarkayam // AKat-_8.22 //
   tataḥ kvāpi payaḥ pītvā kiñcid ādaśya cañcunā /	tatas kvApi payaH pItvA kiQcid AdaSya caQcunA /
   viśrāntaye 'viśaṃ śrāntas taroḥ kasyāpi koṭare // AKad_8.23 //	viSrAntaye aviSam SrAntaH taroH kasya-api koware // AKat-_8.23 //
   kṣaṇaṃ tatra niṣaṇṇasya tadā me nidrayā manaḥ /	kzaNam tatra nizaNNasya tadA me nidrayA manaH /
   gāḍhayā pāśapaṅktyā ca śarīrakam agṛhyata // AKad_8.24 //	gAXayA pASa-paFktyA ca SarIrakam agRhyate // AKat-_8.24 //
   atha suptotthito 'paśyam agrato nātidūragam /	aTa supta-utTitaH apaSyam agratas na-ati-dUra-gam /
   kṛtārtham iva mātaṅgayuvānaṃ mama bandhanāt // AKad_8.25 //	kRtArTam iva mAtaFga-yuvAnam mama banDanAt // AKat-_8.25 //
   ākṛtyā karmaṇā cāsya samarthyāpiśitārthitām /	AkRtyA karmaNA ca-asya samarTya-apiSita-arTitAm /
   prārthanāpeśalaṃ kiñcid ātmamokṣārtham abhyadhām // AKad_8.26 //	prArTanA-peSalam kiQcid Atma-mokza-arTam aByaDAm // AKat-_8.26 //
   bhadra saumyākṛtis tvaṃ hi na māṃsārthīva dṛśyase /	Badra sOmya-AkRtiH tvam hi na mAMsa-arTI-iva dRSyase /
   na hi māṃsārthino yuktaṃ nidrāchedapratīkṣaṇam // AKad_8.27 //	na hi mAMsa-arTinaH yuktam nidrA-Ceda-pratIkzaNam // AKat-_8.27 //
   tad unmuñcatu māṃ bhadraḥ sukhaṃ yāmi yathepsitam /	tat unmuQcatu mAm BadraH suKam yAmi yaTA-Ipsitam /
   mayā baddhena ko 'rthas te kā vimuktena vā kṣatiḥ // AKad_8.28 //	mayA badDena kaH arTaH te kA vimuktena vA kzatiH // AKat-_8.28 //
   so 'bravīn na svatantreṇa gṛhīto 'si mayā śuka /	saH abravIt na svatantreNa gRhItaH asi mayA SukaH /
   prathitas tvaṃ hi jālāber āśrame suciraṃ sthitaḥ // AKad_8.29 //	praTitaH tvam hi jAlAbeH ASrame su-ciram sTitaH // AKat-_8.29 //
   sa tvaṃ gato mama svāmiduhituḥ karṇagocaram /	sa tvam gataH mama svAmi-duhituH karNa-gocaram /
   tanniyogād gṛhīto 'si katham unmucyase mayā // AKad_8.30 //	tad-niyogAt gRhItaH asi kaTam unmucyase mayA // AKat-_8.30 //
   punar ākhyām amuṃ saumya yuvāsi smaravedanām /	punar AKyAm amum sOmya yuvA-asi smara-vedanAm /
   jānāsi na priyotkaṇṭhākṛṣṭaṃ māṃ roddhum arhasi // AKad_8.31 //	jAnAsi na priya-utkaNWa-AkRzwam mAm rodDum arhasi // AKat-_8.31 //
   so 'bhāṣata na bhṛtyena taruṇenāpi śāsanam /	saH aBAzata na BRtyena taruNena-api SAsanam /
   svāmino 'laṅghanīyaṃ tat kathaṃ tvāṃ tyaktum utsahe // AKad_8.32 //	svAminaH alaFGanIyam tat kaTam tvAm tyaktum utsahe // AKat-_8.32 //
   avocaṃ punar apy enaṃ śāpāj jātismaro muniḥ /	avocam punar api enam SApAt jAtismaraH muniH /
   śukībhūto 'smi māṃ muñca paraṃ puṇyam avāpsyasi // AKad_8.33 //	SukIBUtaH asmi mAm muQca param puNyam avApsyasi // AKat-_8.33 //
   sa tvāha nāhaṃ jānāmi muniṃ gandharvameva vā /	sa tu-Aha na-aham jAnAmi munim ganDarvam-eva vA /
   rākṣasaṃ vā piśācaṃ vā nīta evāsi pakvaṇam // AKad_8.34 //	rAkzasam vA piSAcam vA nItaH eva-asi pakvaNam // AKat-_8.34 //
   ity uktvādāya pāṇau mām anaiṣīt pakvaṇaṃ balāt /	iti uktvA-AdAya pANO mAm anEzIt pakvaNam balAt /
   prāveśayac ca caṇḍālakumārīveśma kaśmalam // AKad_8.35 //	prAveSayat ca caNxAlakumArI-veSma kaSmalam // AKat-_8.35 //
   dṛṣṭvā tadārdragomāṃsavasāsṛkpaṅkapicchalam /	dRzwvA tad-Ardra-go-mAMsa-vasA-asRj-paFka-picCalam /
   procchalatkrimi matprāṇair utkrāntam iva durbhagaiḥ // AKad_8.36 //	procCalat-krimi mad-prANEH utkrAntam iva durBagEH // AKat-_8.36 //
   atha mātaṅgakanyāyai sa mām asyai nyavedayat /	aTa mAtaFga-kanyAyE sa mAm asyE nyavedayat /
   svāminy ayam ihānītaḥ sa vaiśampāyanaḥ śukaḥ // AKad_8.37 //	svAminI ayam iha-AnItaH sa vESampAyanaH SukaH // AKat-_8.37 //
   sākūtam iva māṃ vīkṣya snehabāṣpārdrayā dṛśā /	sa-AkUtam iva mAm vIkzya sneha-bAzpa-ArdrayA dRSA /
   kṣaṇaṃ vakṣasi dhṛtvaiṣā nyakṣipad baddhapañjare // AKad_8.38 //	kzaNam vakzasi DRtvA-ezA nyakzipat badDa-paQjare // AKat-_8.38 //
   tato 'timahatā cakre śokena hṛdi me padam /	tatas ati-mahatA cakre Sokena hRdi me padam /
   munir bhūtvādya caṇḍālyā ahaṃ krīḍāśukaḥ sthitaḥ // AKad_8.39 //	muniH BUtvA-adya caNxAlyAH aham krIxA-SukaH sTitaH // AKat-_8.39 //
   vyaktāṃ vidadhatā vācaṃ jātiṃ smarayatā nijām /	vyaktAm vidaDatA vAcam jAtim smarayatA nijAm /
   aho jābālinā divyadṛṣṭināpakṛtaṃ mama // AKad_8.40 //	aho jAbAlinA divya-dRzwinA-apakRtam mama // AKat-_8.40 //
   aho bata mahat kaṣṭam aviṣahyam upasthitam /	aho bata mahat kazwam avizahyam upasTitam /
   brāhmaṇena mayā neyaḥ kālaś caṇḍālaveśmani // AKad_8.41 //	brAhmaNena mayA neyaH kAlaH caNxAla-veSmani // AKat-_8.41 //
   bhavatvanaśanenaiva tyajāmi hatajīvitam /	Bavatu-anaSanena-eva tyajAmi hata-jIvitam /
   tāḍyamāno 'pi nāśnāmi na vācaṃ visṛjāmi ca // AKad_8.42 //	tAxyamAnaH api na-aSnAmi na vAcam visRjAmi ca // AKat-_8.42 //
   evamudvejitaiṣā māṃ hanyādvā yadi vā tyajet /	evam-udvejitA-ezA mAm hanyAt-vA yadi vA tyajet /
   bhavaty ubhayathāpy eṣa panthāḥ śreyaskaro mama // AKad_8.43 //	Bavati uBayaTA-api eza panTAH SreyaskaraH mama // AKat-_8.43 //
   ity upārūḍhasaṃkalpam upāhṛtaphalodakā /	iti upArUXa-saMkalpam upAhRta-Pala-udakA /
   eṣā caṇḍālakanyā mām ākhyan madhurayā girā // AKad_8.44 //	ezA caNxAla-kanyA mAm AKyan maDurayA girA // AKat-_8.44 //
   phalāny aśāna pānīyam upayuṅkṣva kim īkṣase /	PalAni aSAna pAnIyam upayuFkzva kim Ikzase /
   bhagnamaunavrato 'py adya kiṃ maunam avalambase // AKad_8.45 //	Bagna-mOna-vrataH api adya kim mOnam avalambase // AKat-_8.45 //
   munir jātismaro 'si tvaṃ yadi ko 'pi tathāpi te /	muniH jAtismaraH asi tvam yadi kaH api taTA-api te /
   tiryagjātyucitā prāṇavṛttir evādya saṃmatā // AKad_8.46 //	tiryak-jAti-ucitA prANa-vRttiH eva-adya saMmatAH // AKat-_8.46 //
   na tiryagadhikāraṃ hi śāstraṃ śāstravido viduḥ /	na tiryak-aDikAram hi SAstram SAstra-vidaH viduH /
   tiraścāṃ kva ca saṃskārāś cauḍopanayanādayaḥ // AKad_8.47 //	tiraScAm kva ca saMskArAH ca-Oxa-upanayana-AdayaH // AKat-_8.47 //
   bhakṣyābhakṣyavicārādi yadi cādya cikīrṣasi /	Bakzya-aBakzya-vicAra-Adi yadi ca-adya cikIrzasi /
   tat kim ucchiṣṭaśaucādi nāśrame 'py āśritaṃ tvayā // AKad_8.48 //	tat kim ucCizwa-SOca-Adi na-ASrame api ASritam tvayA // AKat-_8.48 //
   āpatkāle dvijātīnām apy anāśyaṃ na vidyate /	Apad-kAle dvijAtInAm api anASyam na vidyate /
   hastād asmākam ādatta viśvāmitraḥ śvajāghanīm // AKad_8.49 //	hastAt asmAkam Adatta viSvAmitraH Sva-jAGanIm // AKat-_8.49 //
   kṛtadvitropavāso 'pi jihāsur iva jīvitam /	kRta-dvitra-upavAsaH api jihAsuH iva jIvitam /
   lakṣyase vatsa mā maivaṃ kṛthā bhuṅkṣva phalodakam // AKad_8.50 //	lakzyase vatsa mA mA-evam kRTAH BuFkzva Pala-udakam // AKat-_8.50 //
   ity acaṇḍālasadṛśair vākyair astrījanocitaiḥ /	iti acaNxAla-sadRSEH vAkyEH astrI-jana-ucitEH /
   tasyā vismayamāno 'haṃ ciram evam acintayam // AKad_8.51 //	tasyAH vismayamAnaH aham ciram evam acintayam // AKat-_8.51 //
   nūnam eṣā na caṇḍālī madvat kenāpi karmaṇā /	nUnam ezA na caNxAlI madvat kena-api karmaNA /
   manye gatim imāṃ prāptā madarthenaiva vā punaḥ // AKad_8.52 //	manye gatim imAm prAptAH mad-arTena-eva vA punar // AKat-_8.52 //
   bibharty urasi māteva paśyati snigdhayā dṛśā /	biBarti urasi mAtA-iva paSyati snigDayA dRSA /
   vakti caivam ato 'muṣyāḥ karomi vacanaṃ varam // AKad_8.53 //	vakti ca-evam atas amuzyAH karomi vacanam varam // AKat-_8.53 //
   iti matvāsṛjaṃ vācam abhavaṃ bhojanonmukhaḥ /	iti matvA-asRjam vAcam aBavam Bojana-unmuKaH /
   abhojayac ca mām eṣā jananīva dine dine // AKad_8.54 //	aBojayat ca mAm ezA jananI-iva dine dine // AKat-_8.54 //
   tattvam asyāḥ parijñātum anvahaṃ prārthanāṃ vyadhām /	tattvam asyAH parijQAtum anvaham prArTanAm vyaDAm /
   na tv eṣā prārthyamānāpi nijaṃ rūpam adīdṛśat // AKad_8.55 //	na tu ezA prArTyamAnA-api nijam rUpam adIdRSat // AKat-_8.55 //
   nityam āśaṅkamāno 'ham etāṃ kām api devatām /	nityam ASaFkamAnaH aham etAm kAm api devatAm /
   poṣyamāṇo 'nayā kālam anaiṣaṃ tatra pakvaṇe // AKad_8.56 //	pozyamANaH anayA kAlam anEzam tatra pakvaNe // AKat-_8.56 //
   ekadā ca triyāmānte parityakto 'smi nidrayā /	ekadA ca tri-yAma-ante parityaktaH asmi nidrayA /
   adrākṣaṃ pakvaṇaṃ sarvam āryaprāyajanāvṛtam // AKad_8.57 //	adrAkzam pakvaNam sarvam Arya-prAya-jana-AvRtam // AKat-_8.57 //
   ātmānaṃ ca navodārahemapañjaravarṇitam /	AtmAnam ca nava-udAra-hema-paQjara-varNitam /
   kanyakām īdṛśīṃ caitāṃ dṛṣṭā devena yādṛśī // AKad_8.58 //	kanyakAm IdRSIm ca-etAm dRzwA devena yAdRSI // AKat-_8.58 //
   yugalakam	yugalakam
   tat ko 'haṃ kim ahaṃ tatra rakṣitaś ciram enayā /	tat kaH aham kim aham tatra rakzitaH ciram enayA /
   kasya hetor ihānīta iti rājan na vedmy aham // AKad_8.59 //	kasya hetoH iha-AnItaH iti rAjan na vedmi aham // AKat-_8.59 //
   ity ākarṇya kathām etāṃ vaiśampāyanavarṇitām /	iti AkarNya kaTAm etAm vESampAyana-varNitAm /
   sa rājā śūdrakaḥ śayyāgṛhād aṅganam āgamat // AKad_8.60 //	sa rAjA SUdrakaH SayyA-gRhAt aFganam Agamat // AKat-_8.60 //
   sasambhramaṃ ca nirgatya tūrṇam ānāyayat punaḥ /	sa-samBramam ca nirgatya tUrNam AnAyayat punar /
   āsthānāvasare dṛṣṭāṃ tāṃ mātaṅgakumārikām // AKad_8.61 //	AsTAna-avasare dRzwAm tAm mAtaFga-kumArikAm // AKat-_8.61 //
   atha sā praviśya vitatena tejasā dadatīva dikṣu śaradinducandrikām /	aTa sA praviSya vitatena tejasA dadati-iva dikzu Sarad-indu-candrikAm /
   jitāraveṇuravabhinnavallakīdhvaninā svareṇa gadituṃ pracakrame //	jita-Ara-veNu-rava-Binna-vallakI-DvaninA svareNa gaditum pracakrame //
   AKad_8.62 //	AKat-_8.62 //
   he rohiṇīramaṇa sarvakalāniketa tārāpate rajaninātha sudhānidhāna /	he rohiNI-ramaNa sarva-kalAniketa tArApate rajaninATa suDA-niDAnaH /
   kādambarīrasaguṇeṣu nibaddhabhāvam ātmānam arpitaśarīram anusmarendoḥ //	kAdambarI-rasa-guNezu nibadDa-BAvam AtmAnam arpita-SarIram anusmara-indoH //
   AKad_8.63 //	AKat-_8.63 //
   māṃ ca viddhi śaśaketana śriyaṃ sāham asya jananī durātmanaḥ /	mAm ca vidDi SaSaketana Sriyam sA-aham asya jananI durAtmanaH /
   pūrvaceṣṭitam avaitv ato bhavān ity amuṃ tava samīpam ānayam // AKad_8.64	pUrva-cezwitam avEtu atas BavAn iti amum tava samIpam Anayam // AKat-_8.64
   ayam api guruśāsanāṃ vilaṅghya smaraparatantramanāḥ prayātukāmaḥ /	ayam api guru-SAsanAm vilaFGya smara-paratantra-manAH prayAtu-kAmaH /
   avinayapariśaṅkinā tadānīm avikalayogadṛśā vyaloki pitrā // AKad_8.65 //	avinaya-pariSaFkinA tadAnIm avikala-yoga-dRSA vyaloki pitrA // AKat-_8.65 //
   tasyājñayaivam anubhāvayituṃ vipākam āsannam eva guruśāsanalaṅghanasya /	tasya-AjQayA-evam anuBAvayitum vipAkam Asannam eva guru-SAsana-laFGanasya /
   atrāvatīrya vipine janasaṅgabhītyā mātaṅgabhaṅgim avalambya tathā	atra-avatIrya vipine jana-saFga-BItyA mAtaFga-BaFgim avalambya taTA
   sthitāsmi // AKad_8.66 //	sTitA-asmi // AKat-_8.66 //
   gacchantam enaṃ viniyamya pāśais tīvrāṇi duḥkhāny anubhāvayantī /	gacCantam enam viniyamya pASEH tIvrANi duHKAni anuBAvayantI /
   śāpāvasānaṃ yuvayoḥ kratoś ca samāptim āsaṃ ciram īkṣamāṇā // AKad_8.67 //	SApa-avasAnam yuvayoH kratoH ca samAptim Asam ciram IkzamANAH // AKat-_8.67 //
   muner avabhṛthāvadhiḥ pitur amuṣya siddhaḥ kratuḥ kṛtas tvam api	muneH avaBRTa-avaDiH pituH amuzya sidDaH kratuH kRtaH tvam api
   saṃsmṛtasvatanur adya tacchāsanāt /	saMsmRta-sva-tanuH adya tad-SAsanAt /
   tadujjhitamalīmasedṛśaśarīrayogau yuvāṃ nijena vapuṣādhunānubhavatāṃ	tad-ujJita-malImasA-IdRSa-SarIra-yogO yuvAm nijena vapuzA-aDunA-anuBavatAm
   priyāsaṃgamam // AKad_8.68 //	priyA-saMgamam // AKat-_8.68 //
   ity uktvoccair gamanarabhasapraślathībhūtabandhasragvisrastaiḥ	iti uktvA-uccEs gamana-raBasa-praSlaTIBUta-banDa-sraj-visrastEH
   kusumavidalair arcayitveva pṛthvīm /	kusuma-vidalEH arcayitvA-iva pRTvIm /
   dikcakraṃ ca pracalaraśanānūpurotthair ninādair āmantryeva drutam udapatad	diS-cakram ca pracala-raSanA-nUpura-utTEH ninAdEH Amantrya-iva drutam udapatat-
   dyām asau divyakāntiḥ // AKad_8.69 //	dyAm asO divya-kAntiH // AKat-_8.69 //
   svatanukāntitiraskṛtacandrikāṃ gaganam utpatitām avalokya tām /	sva-tanu-kAnti-tiraskRta-candrikAm gaganam utpatitAm avalokya tAm /
   suciram ūrdhvaniveśitalocanaḥ kam api vismayam āpa jano 'khilaḥ //	su-ciram UrDva-niveSita-locanaH kam api vismayam Apa janaH aKilaH //
   AKad_8.70 //	AKat-_8.70 //
   athāsya rājño hṛdi śūdrakasya nirastadhairyādiguṇaprabandhaḥ /	aTa-asya rAjQaH hRdi SUdrakasya nirasta-DErya-Adi-guNa-prabanDaH /
   kādambarīsaṃsmaraṇānubandhalabdhāvakāśo madano jajṛmbhe // AKad_8.71 //	kAdambarI-saMsmaraNa-anubanDa-labDa-avakASaH madanaH jajRmBe // AKat-_8.71 //
   na rājalakṣmīṃ bahu manyate sma norvīṃ na kīrtīṃ na sarasvatīṃ ca /	na rAja-lakzmIm bahu manyate sma na-urvIm na kIrtIm na sarasvatIm ca /
   sa tadrasakṣība ivālalambe kādambarīm eva nitāntam antaḥ // AKad_8.72 //	sa tad-rasa-kzIbaH iva-Alalambe kAdambarIm eva nitAntam antar // AKat-_8.72 //
   parāṅmukhaḥ sparśaraseṣv ajasraṃ nādatta karṇau madhure 'pi sa dhvanau /	parAFmuKaH sparSa-rasezu ajasram na-adatta karNO maDure api sa DvanO /
   jagāma nirlakṣyaniviṣṭalocanaḥ krameṇa sarvendriyavṛttiśūnyatām //	jagAma nirlakzya-nivizwa-locanaH krameNa sarva-indriya-vRtti-SUnyatAm //
   AKad_8.73 //	AKat-_8.73 //
   na guror upadeśam agrahīd bubudhe vastu tato na mūḍhadhīḥ /	na guroH upadeSam agrahIt bubuDe vastu tatas na mUXa-DIH /
   yatate sma na tasya siddhaye na parispanditum apy apārayat // AKad_8.74 //	yatate sma na tasya sidDaye na parispanditum api apArayat // AKat-_8.74 //
   bhūtābhibhūta iva mūḍha iva krameṇa niḥsaṃjñatāṃ virahavedanayopanītaḥ /	BUta-aBiBUtaH iva mUXaH iva krameNa niHsaMjQa-tAm viraha-vedanayA-upanItaH /
   muktvā manobhavarujaṃ suciraṃ sa rājā prāṇān mumoca sahasaiva vihaṅgamo	muktvA manoBava-rujam su-ciram sa rAjA prANAn mumoca sahasA-eva vihaFgamaH-
