   oṃ tatsadbrahmaṇai namaḥ	om tad-sat-brahmaNE namaH
   evaṃ"yajamāna ekakapālaḥ"ityādiṣu draṣṭavyam || MJaiNyC_1,4.37-39 ||	evaM"yajamAnaH eka-kapAlaH"iti-Adizu drazwavyam || MJENyC_1,4.37-39 ||
   START MJaiNy 1,4.40	START MJENi 1,4.40
   (caturdaśa āgneyādiśabdānāṃ brāhmaṇādistutyarthatādhikaraṇe sūtram)	(caturdaSaH Agneya-Adi-SabdAnAm brAhmaNa-Adi-stuti-arTa-tA-aDikaraNe sUtram)
   jātiḥ / Jaim_1,4.24 /	jAtiH / JEm_1,4.24 /
   caturdaśādhikaraṇamāracayati -	caturdaSa-aDikaraNam-Aracayati -
   āgneyo brāhyaṇo 'trāpi pūrvavatsarvanirṇayaḥ /	AgneyaH brAhyaNaH atra-api pUrvavat-sarva-nirNayaH /
   dvāraṃ tu mukhajanyatvasāgneyatvena saṃstave // MJaiNy_1,4.40 //	dvAram tu muKa-janya-tvasAgneya-tvena saMstave // MJENi-_1,4.40 //
   idamāmnāyate -"āgneyo vai brāhmaṇaḥ"iti |	idam-AmnAyate -"AgneyaH vE brAhmaNaH"iti |
   atrātyantaprasiddhārthabhedādāgneyaśabdo na brāhyaṇasya nāmadheyam |	atra-atyanta-prasidDa-arTa-BedAt-Agneya-SabdaH na brAhyaNasya nAmaDeyam |
   nāpyagnidevatārūpo guṇo vidhīyate |	na-api-agni-devatA-rUpaH guNaH viDIyate |
   ' āgneyaṃ sūktam ' ' āgneyaṃ haviḥ, ityevaṃ devatātaddhitasya	a Agneyam sUktam a a Agneyam haviH, iti-evam devatA-tad-hitasya
   sūktahavirviṣayatvāt |	sUkta-haviH-vizaya-tvAt |
   nahi brāhmaṇaḥ sūktam, nāpi haviḥ |	na-hi brAhmaNaH sUktam, na-api haviH |
   ataḥ saṃbandhavācitaddhitāntāgneyaśabdena brāhmaṇaḥ stūyate |	atas saMbanDa-vAci-tadhi-ta-anta-Agneya-Sabdena brAhmaNaH stUyate |
   yadyapi brāhmaṇe nāgnisaṃbandhaḥ, tathāpyagnisaṃbandho mukhajanyatvaguṇo	yadi-api brAhmaNe na-agni-saMbanDaH, taTA-api-agni-saMbanDaH muKa-janya-tva-guNa-u
   brāhmaṇe vidyate |	brAhmaNe vidyate |
   tathā cāgnibrāhmaṇayormukhajanyatvaṃ kvacidarthavāde samāmnāyate	taTA ca-agni-brAhmaNayoH-muKa-janya-tvam kvacid-arTa-vAde samAmnAyate
   -"prajāpatirakāmayata, prajāḥ sṛjeta, iti |	-"-prajApatiH-akAmayata, prajAH sRjeta, iti |
   sa mukhatastrivṛtaṃ niramimīta, tamagnirdevatānvayujyata, gāyatrī chandaḥ,	sa muKataH-trivRtam niramimIta, tam-agniH-devatAnvayujyata, gAyatrI CandaH,
   rathantaraṃ sāma, brāhmaṇo manuṣyāṇām, ajaḥ paśūnām, tasmātte mukhyā	raTantaram sAma, brAhmaNaH manuzyANAm, ajaH paSUnAm, tasmAt-te muKyA
   mukhato hyasṛjyanta"iti |	muKataH hi-asRjyanta"-iti |
   tasmāt - āgneyaśabdaḥ stāvakaḥ |	tasmAt  Agneya-SabdaH stAvakaH |
   evam"aindro rājanyaḥ" "vaiśyo vaiśvadevaḥ"ityādiṣu draṣṭavyam ||	evam-"EndraH rAjanyaH" "vESyaH vESvadevaH"iti-Adizu drazwavyam ||
   MJaiNyC_1,4.40 ||	MJENyC_1,4.40 ||
   START MJaiNy 1,4.41	START MJENi 1,4.41
   (pañcadaśe yūpādiśabdānāṃ yajamānastutyarthatādhikaraṇe sūtram)	(paQcadaSe yUpa-Adi-SabdAnAm yajamAnaH-tuti-arTa-tA-aDikaraNe sUtram)
   sārūpyāt / Jaim_1,4.25 /	sArUpyAt / JEm_1,4.25 /
   pañcadaśādhikaraṇamāracayati -	paQcadaSa-aDikaraNam-Aracayati -
   ādityo yūpa ityatra stutirādityaśabdataḥ /	AdityaH yUpaH iti-atra stutiH-Aditya-SabdataH /
   dvāraṃ cākṣuṣasārūpyaṃ ghṛtākte taijase 'sti tat // MJaiNy_1,4.41 //	dvAram cAkzuza-sArUpyam GRta-akte tEjase asti tat // MJENi-_1,4.41 //
   āditye yaccakṣurgamyaṃ tejasvitvaṃ tadyūpe 'pyasti |	Aditye yat-cakzuH-gamyam tejasvi-tvam tad-yUpe api-asti |
   ghṛtāktasya yūpasya tejasvitvādhyavasāyāt |	GRta-aktasya yUpasya tejasvi-tva-aDyavasAyAt |
   tataḥ- ādityaśabdena yūpaḥ stūyate |	tatas- Aditya-Sabdena yUpaH stUyate |
   evaṃ"yajamāno yūpaḥ"ityatra cakṣurgamyasyordhvatvasya	evaM"yajamAnaH yUpaH-"iti-atra cakzuH-gamyasya-UrDva-tvasya
   samānatvādyajamānaśabdena yūpaḥ stūyate || MJaiNyC_1,4.41 ||	samAna-tvAt-yajamAna-Sabdena yUpaH stUyate || MJENyC_1,4.41 ||
   START MJaiNy 1,4.42-44	START MJENi 1,4.42-44
   (ṣoḍaśe 'paśvādiśabdānāṃ gavādipraśaṃsārthatvādhikaraṇe sūtram)	(zoxaSe apaSu-Adi-SabdAnAm gavA-Adi-praSaMsA-arTa-tva-aDikaraNe sUtram)
   praśaṃsā / Jaim_1,4.26 /	praSaMsA / JEm_1,4.26 /
   ṣoḍaśādhikaraṇamāracayati -	zoxaSa-aDikaraNam-Aracayati -
   paśavo 'nye gavāśvebhyo 'paśavo vā iti śrutam /	paSavaH anye gavASveByaH apaSavaH vA iti Srutam /
   ajādiṣvapaśutvaṃ yadguṇo vādo 'thavāstu tat // MJaiNy_1,4.42 //	aja-Adizu-apaSu-tvam yad-guNaH vAdaH aTavA-astu tat // MJENi-_1,4.42 //
   stutyabhāvādguṇasteṣu paśukāryaniṣedhanam /	stuti-aBAvAt-guNaH-tezu paSu-kArya-nizeDanam /
   aśakyatvānniṣedhasya ghaṭādyarthābhidhāyinā // MJaiNy_1,4.43 //	aSakya-tvAt-nizeDasya Gawa-Adi-arTa-aBiDAyinA // MJENi-_1,4.43 //
   paśavo 'paśuśabdena prāśastyābhāvasāmyataḥ /	paSavaH apaSu-Sabdena prASastya-aBAva-sAmyataH /
   lakṣyāstatra nimittaṃ tu praśaṃsaiva gavāśvayoḥ // MJaiNy_1,4.44 //	lakzyAH-tatra nimittam tu praSaMsA-eva gavASvayoH // MJENi-_1,4.44 //
   idamāmnāyate --"apaśavo vā anye gośvebhyaḥ, paśavo goaśvāḥ"iti |	idam-AmnAyate --"a-paSavaH vE anye go-SveByaH, paSavaH go-aSvAH"-iti |
   tatrājādiṣu śrūyamāṇaṃ yadapaśutvaṃ tasyārthavādatvaṃ na saṃbhavati |	tatra-aja-Adizu SrUyamANam yat-apaSu-tvam tasya-arTavAda-tvam na saMBavati |
   paśutvaniṣedhamātreṇa stuterapratibhānāt |	paSutva-nizeDa-mAtreNa stutera-pratiBAnAt |
   tataḥ paśukāryaniṣedharumo guṇo vidhīyata iti cet |	tatas paSu-kArya-nizeDa-rumaH guNaH viDIyate iti ced |
   maivam |	mA-evam |
   ajādipaśuvidhivaiyarththaprasaṅgena niṣeddhumaśakyatvāt |	aja-Adi-paSu-viDi-vEyarTTa-prasaFgena nizedDum-aSakyatvAt |
   apaśuśabdaḥ paśuvyatiriktaṃ ghaṭādipadārthajātamabhidadhāti |	apaSu-SabdaH paSu-vyatiriktam Gawa-Adi-padArTa-jAtam-aBidaDAti |
   tasminghaṭādau gavāśvavatprāśastyaṃ nāsti |	tasmin-Gawa-AdO gavASva-vat-prASastyam na-asti |
   so 'yaṃ prāśastyābhāvo 'jādiṣu paśuṣvastītyanenābhiprāyeṇa paśava eva	saH ayam prASastya-aBAvaH aja-Adizu paSuzu-asti-iti-anena-aBiprAyeNa paSavaH eva
   santo 'pyajādayo ghaṭādisāmyādapaśuśabdena lakṣyante |	santaH api-aja-AdayaH Gawa-Adi-sAmyAt-apaSu-Sabdena lakzyante |
   pūrvatra yajamānādiśabdānāṃ prastarādyartheṣu pravṛttinimittam |	pUrvatra yajamAna-Adi-SabdAnAm prastara-Adi-arTezu pravRtti-nimittam |
   tatpravṛttiphalaṃ prastarādipraśaṃsā |	tad-pravRtti-Palam prastara-Adi-praSaMsA |
   iha tvapaśuśabdasyājādiṣu mavṛttau gavāśvayoḥ praśaṃsaiva nimittaṃ phalaṃ	iha tu-apaSu-Sabdasya-aja-Adizu mavRttO gavASvayoH praSaMsA-eva nimittam Palam
   ca |	ca |
   dviprakārā praśaṃsā- vastūnividyamānaguṇotkarṣa ekaḥ prakāraḥ |	dvi-prakArA praSaMsA vastU-nividyamAna-guNa-utkarzaH ekaH prakAraH |
   stāvakena śabdena saṃpādito guṇotkarṣo 'paraḥ prakāraḥ |	stAvakena Sabdena saMpAditaH guNa-utkarzaH aparaH prakAraH |
   gavāśvayorajādibhya utkarṣo lokasiddho yaḥ so 'tra nimittam |	gavA-SvayoH-aja-AdiByaH utkarzaH loka-sidDaH yaH saH atra nimittam |
   ' ajādayaḥ svabhāvataḥ paśavo 'pi santo gavāśvau pratyapaśavaḥ saṃpannāḥ |	a aja-AdayaH svaBAvataH paSavaH api santaH gavASvO pratyapaSavaH saMpannAH |
   īdṛśo gavāśvayormahimā ' iti stutiphalam |	IdRSaH gavASvayoH-mahimA a iti stuti-Palam |
   tasmāt --"apaśavo vai"ityayamarthavādaḥ |	tasmAt --"a-paSavaH vE"iti-ayam-arTa-vAdaH |
   ayameva nyāya udāharaṇāntare 'pi yojanīyaḥ-"ayajño vā eṣa yo	ayam-eva nyAya udAharaNa-antare api yojanIyaH--"ayajQaH vE eza yaH-
   'sāma"ityekamudāharaṇam |	asAma"iti-ekam-udAharaNam |
   "asatraṃ vā etadyacchandogam"ityaparamudāharaṇam |	"a-satram vE etat-yat-CandaH-gam"iti-aparam-udAharaNam |
   "agnihotradarśapūrṇamāsādiryajño 'pi sāmahīnatvādayajño bhavati |	"agnihotra-darSa-pUrNamAsa-AdiH-yajQaH api sAma-hIna-tvAt-ayajQaH Bavati |
   īdṛśaḥ sāmno mahimā |	IdRSaH sAmnaH mahimA |
   chandogaśabdena caturviśaḥ, catuścatvāriṃśaḥ, aṣṭacatvāriṃśa ityete trayaḥ	Candoga-Sabdena caturviSaH, catuScatvAriMSaH, azwacatvAriMSaH iti-ete trayaH
   stomā ucyante |	stomAH ucyante |
   akṣarasaṃkhyāsāmyena gāyatrītriṣṭubjagarīchandobhirgīyamānatvāt |	akzara-saMKyA-sAmyena gAyatrI-trizwuB-ja-garI-CandoBiH-gIyamAna-tvAt |
   teṣāṃ ca viṣṭutiḥ sāmabrāhmaṇe draṣṭavyā |	tezAm ca vizwutiH sAma-brAhmaNe drazwavyA |
   ataḥ satramapi caturdaśarātrādikaṃ chandogarahitatvādasatraṃ bhavati |	atas satram-api caturdaSa-rAtra-Adikam Candoga-rahita-tvAt-asatram Bavati |
   īdṛśaśchandogānāṃ mahimā |	IdRSaH-CandaH-gAnAm mahimA |
   ityevaṃ stāvakatvādarthavādatvam || MJaiNyC_1,4.42-44 ||	iti-evam stAvaka-tvAt-arTavAda-tvam || MJENyC_1,4.42-44 ||
   START MJaiNy 1,4.45-48	START MJENi 1,4.45-48
   (saptadaśe bhūmādhikaraṇe bāhulyena sṛṣṭivyapadeśādhikaraṇe sūtram)	(saptadaSe BUma-aDikaraNe bAhulyena sRzwi-vyapadeSa-aDikaraNe sUtram)
   bhūmā / Jaim_1,4.27 /	BUmAH / JEm_1,4.27 /
   saptādaśādhikaraṇamāracayati ----	saptAdaSa-aDikaraNam-Aracayati ----
   sṛṣṭīrupadadhātīti ye mantrāḥ sṛṣṭiliṅgakāḥ /	sRzwIH-upada-DAti-iti ye mantrAH sRzwi-liFgakAH /
   vidheyāste guṇatvena vādo vātra guṇe vidhiḥ // MJaiNy_1,4.45 //	viDeyAH-te guNa-tvena vAdaH vA-atra guNe viDiH // MJENi-_1,4.45 //
   ākhyātenābhisaṃbandhādavidhyantarayogataḥ /	AKyAtena-aBisaMbanDAt-aviDi-antara-yogataH /
   liṅgaprakaraṇaprāptermantrāṇāṃ vidhyasaṃbhavāt // MJaiNy_1,4.46 //	liFga-prakaraNa-prApteH-mantrANAm viDi-asaMBavAt // MJENI-_1,4.46 //
   tānanūdyeṣṭakādhānaṃ vidadhyātstoṣyate yataḥ /	tAn-anUdyezwakA-DAnam vidaDyAt-stozyate yatas /
   yathāsṛṣṭetyanenātaḥ sṛṣṭīrityarthavādagīḥ // MJaiNy_1,4.47 //	yaTA-sRzwA-iti-anena-atas sRzwIH-iti-arTa-vAda-gIH // MJENi-_1,4.47 //
   ekayāstuvatetyādau mantrasaṃghe kvacinnahi /	ekayA-astuvatA-iti-AdO mantra-saMGe kvacid-nahi /
   sṛṣṭiśabdastathāpyuktiḥ sṛṣṭiśabdena bhūmataḥ // MJaiNy_1,4.48 //	sRzwi-SabdaH-taTA-api-uktiH sRzwi-Sabdena BUmataH // MJENi-_1,4.48 //
   agnicayane śrūyate --"sṛṣṭīrupadadhāti"iti |	agni-cayane SrUyate --"sRzwIH-upada-DAti"iti |
   sṛṣṭiśabdopetā mantrā yāsāmiṣṭakānāmupadhāne vidyante tā iṣṭakāḥ sṛṣṭaya	sRzwi-Sabda-upetAH mantrAH yAsAm-izwakAnAm-upaDAne vidyante tAH izwakAH sRzwaya
   ucyante |	ucyante |
   ' sṛṣṭimānāsāmupadhāno mantraḥ ' iti vigṛhya"tadvāmāsāmupadhānaḥ" [pā. sū.	a sRzwi-mAn-AsAm-upaDAnaH mantraH a iti vigRhya"-tad-vAmAsAm-upaDAnaH" [pA. sU.
   4.4.125] ityādivyākaraṇasūtrasiddhaprakriyayā tanniṣpādanāt |	4.4.125] ityAdi-vyAkaraNa-sUtra-sidDa-prakriyayA tad-nizpAdanAt |
   sṛṣṭiśabdopetāścopadhānamantrāḥ"ekayāstuvata"ityasminnanuvāke samāmnātāḥ |	sRzwi-Sabda-upetAH-ca-upaDAna-mantrAH"ekayA-astuvata"iti-asmin=-anuvAke samAmnAtAH |
   "brahmāsṛjyata, bhūtānyasṛjyanta"ityādinā sṛjatidhātosteṣu prayuktatvāt |	"brahma-asRjyata, BUtAni-asRjyanta"ityAdinA sRjati-DAtoH-tezu prayukta-tvAt |
   te mantrā atra sṛṣṭiśabdenopadhāne guṇatvena vidhīyante |	te mantrAH atra sRzwi-Sabdena-upaDAne guNa-tvena viDIyante |
   kutaḥ- ' upadadhāti ' ityanenā'khyātenābhisaṃbandhāt |	kutaH- a upadaDAti a iti-anenA-aKyAtena-aBisaMbanDAt |
   na cārthavādatvamasya saṃbhavati |	na ca-arTavAda-tvam-asya saMBavati |
   vidhyantareṇa sahaikavākyatvābhāvāditi prāpte, --	viDi-antareNa saha-eka-vAkya-tva-aBAvAt-iti prApte, --
   brūmaḥ- agnicayanaprakaraṇe paṭhitatvātteṣāṃ mantrāṇāṃ	brUmaH agni-cayana-prakaraNe paWita-tvAt-tezAm mantrANAm
   sāmānyataścayanasaṃbandho 'vaganyate |	sAmAnyatas-cayana-saMbanDaH avaganyate |
   viśeṣasaṃbandhaḥ sṛjatiliṅgādavagantavyaḥ |	viSeza-saMbanDaH sRjati-liFgAt-avagantavyaH |
   tathāsati prāptatvānna te mantrā atra vidhīyante, kintu -	taTA-asati prApta-tvAt-na te mantrAH atra viDIyante, kintu -
   tānmantrānanūdyeṣṭakopadhānaṃ vidhīyate |	tAn-mantrAn-anUdyezwakA-upaDAnam viDIyate |
   sṛṣṭiśabdenānuvādastu vakṣyamāṇārthavādopapattyarthaḥ |	sRzwi-Sabdena-anuvAdaH-tu vakzyamANa-arTa-vAda-upapatti-arTaH |
   "yathāsṛṣṭamevāvarūndhe"iti hi vakṣyarmāṇor'thavādaḥ |	"yaTA-sRzwam-eva-avarUnDe"iti hi vakzyarmANoH-aTavAdaH |
   yadi vidhivākye mantrāṇāmanuvādakaḥ sṛṣṭiśabdo na syāt , tadānīmarthavāde	yadi viDi-vAkye mantrANAm-anuvAdakaH sRzwi-SabdaH na syAt , tadAnIm-arTa-vAde
   sṛṣṭiśabdaprayogādvidhyarthavādayorvaiyadhikaraṇyabhramaḥ syāt |	sRzwi-Sabda-prayogAt-viDi-arTa-vAdayoH-vEyaDi-karaNya-BramaH syAt |
   tasmānmantrānuvādī sṛṣṭīśabdo na guṇavidhāyakaḥ , kintvarthavādaḥ |	tasmAt-mantra-anuvAdI sRzwI-SabdaH na guNa-viDAyakaH , kintu-arTa-vAdaH |
   nanu prathamamantre sṛjatidhāturna prayuktaḥ , kintu dadhātidhātuḥ	nanu praTama-mantre sRjati-DAtuH-na prayuktaH , kintu daDAti-DAtuH
   prayuktaḥ |	prayuktaH |
   "ekayāstuvata" "prajāadhīyanta"iti tatpāṭhāt |	"ekayA-astuvata" "prajAaDIyanta"-iti tad-pAWAt |
   bāḍham |	bAXam |
   tathāpi dvitīyatṛtīyādiṣu bahuṣu mantreṣu sṛjatidhātuprayogāddhūmarūpaṃ	taTA-api dvitIya-tRtIya-Adizu bahuzu mantrezu sRjati-DAtu-prayogAt-DUma-rUpam
   sādṛśyamasti |	sAdRSyam-asti |
   yatra sarvāṇi vākyāni sṛṣṭiśabdopetāni tatra yathā sṛṣṭiśabdaprayogaḥ ||	yatra sarvANi vAkyAni sRzwi-Sabda-upetAni tatra yaTA sRzwi-Sabda-prayogaH ||
   MJaiNyC_1,4.45-48 ||	MJENyC_1,4.45-48 ||
   START MJaiNy 1,4.49	START MJENi 1,4.49
   (aṣṭādaśe liṅgasamavāyanyāye (prāṇabhṛdādiśabdānāṃ stutyarthatvādhikaraṇe	(azwAdaSe liFga-samavAya-nyAye (prANaBRt-Adi-SabdAnAm stuti-arTa-tva-aDikaraNe
   ) sūtram)	) sUtram)
   liṅgasamavāyāt / Jaim_1,4.28 /	liFga-samavAyAt / JEm_1,4.28 /
   aṣṭādaśādhikaraṇamāracayati --	azwAdaSa-aDikaraNam-Aracayati --
   sṛṣṭivatprāṇabhṛttatra sādṛśyaṃ liṅgabhūmataḥ /	sRzwi-vat-prANaBRt-tatra sAdRSyam liFga-BUmataH /
   atraikamantrago liṅgasamavāyo viśiṣyate // MJaiNy_1,4.49 //	atra-eka-mantra-gaH liFga-samavAyaH viSizyate // MJENi-_1,4.49 //
   "prāṇabhṛta upadadhāti"ityatrāpi sṛṣṭinyāyena mantravidhiriti pūrvapakṣaḥ	"prANaBRtaH upadaDAti-"iti-atra-api sRzwi-nyAyena mantra-viDiH-iti pUrva-pakzaH
   liṅgaprakaraṇaprāptamantrānuvādeneṣṭakopadhānavidhiḥ |	liFga-prakaraNa-prApta-mantra-anuvAdena-izwakA-upaDAna-viDiH |
   "etasyaiva prāṇāndadhāti"ityasya vakṣyamāṇārthavādasyopapattaye	"etasya-eva prANAn-daDAti-"iti-asya vakzyamANa-arTa-vAdasya-upapattaye
   prāṇabhṛcchabdena mantrānuvādaḥ |	prANaBRt-Sabdena mantra-anuvAdaH |
   pūrvatra - dvitīyā - dimantreṣu sṛṣṭiliṅgānāṃ bāhulyam |	pUrvatra  dvitIyA  dimantrezu sRzwi-liFgAnAm bAhulyam |
   iha tu - prathamamantra eva prāṇabhṛlliṅgamāmnāyate -"ayaṃ purobhuvastasya	iha tu  praTama-mantraH eva prANa-BRt-liFgam-AmnAyate -"ayam puroBuvaH-tasya
   prāṇo bhauvāyanaḥ"iti |	prANaH BOvAyanaH"iti |
   ekasyaiva mantrasya prāṇabhṛttve 'pi ' chatriṇo gacchanti '	ekasya-eva mantrasya prANaBRt-tve api a CatriNaH gacCanti a
   itivattatsahacaritāḥ sarve mantrāḥ prāṇabhṛcchabdena lakṣyante |	iti-vat-tad-sahacaritAH sarve mantrAH prANaBRt-Sabdena lakzyante |
   tadevaṃ yajamānakāryasiddhyādayo guṇavṛttihetavo nirṇītāḥ |	tat-evam yajamAna-kArya-sidDi-AdayaH guNa-vRtti-hetavaH nirNItAH |
   tathā coktam ---	taTA ca-uktam ---
   "tatsiddhijātisārūpyapraśaṃsāliṅgabhūmabhiḥ |	"tad-sidDi-jAti-sArUpya-praSaMsA-liFga-BUmaBiH |
   ṣaḍbhiḥ sarvatra śabdānāṃ gauṇī vṛttiḥ prakalpitā" || iti |	zaxBiH sarvatra SabdAnAm gONI vRttiH prakalpitA" || iti |
   || MJaiNyC_1,4.49 ||	|| MJENyC_1,4.49 ||
   START MJaiNy 1,4.50-53	START MJENi 1,4.50-53
   (ekonaviṃśe vākyaśeṣeṇa saṃdigdhārthanirūpaṇādhikaraṇe sūtram)	(ekonaviMSe vAkya-SezeNa saMdigDa-arTa-nirUpaNa-aDikaraNe sUtram)
   saṃdigdheṣu vākyaśeṣāt / Jaim_1,4.29 /	saMdigDezu vAkya-SezAt / JEm_1,4.29 /
   ekonaviṃśādhikaraṇamāracayati ---	ekonaviMSa-aDikaraNam-Aracayati ---
   śarkarā upadhatte 'ktāstejo vai ghṛtamatra kim /	SarkarAH upaDatte aktAH-tejaH vE GRtam-atra kim /
   tailādināñjitā aktā ghṛtenaivāthavāñjanam // MJaiNy_1,4.50 //	tEla-AdinA-aQjitAH aktAH GRtena-eva-aTavA-aQjanam // MJENi-_1,4.50 //
   tailādināpi mukhyatvādasaṃjātavirodhanāt /	tEla-AdinA-api muKya-tvAt-asaMjAta-viroDanAt /
   aprāptārthatvataścāsya vidhervādādbalitvataḥ // MJaiNy_1,4.51 //	aprApta-arTa-tvataH-ca-asya viDeH-vAdAt-balitvataH // MJENi-_1,4.51 //
   sāmānyamananuṣṭheyaṃ viśeṣastu vidhau nahi /	sAmAnyam-ananuzWeyam viSezaH-tu viDO na-hi /
   ghṛtenaivāñjanaṃ vākyaśeṣātsaṃdigdhanirṇayāt // MJaiNy_1,4.52 //	GRtena-eva-aQjanam vAkya-SezAt-saMdigDa-nirNayAt // MJENi-_1,4.52 //
   arthavādagatā ceyaṃ stutirghṛtamupeyuṣī /	arTa-vAda-gatA ca-iyam stutiH-GRtam-upeyuzI /
   bodhayantī vidheyatvaṃ ghṛtasya gamayedvidhim // MJaiNy_1,4.53 //	boDayantI viDeya-tvam GRtasya gamayet-viDim // MJENi-_1,4.53 //
   "aktāḥ śarkarā upadadhāti" "tejo vai ghṛtam"iti śrūyate |	"aktAH SarkarA upadaDAti" "tejaH vE GRtam-"iti SrUyate |
   mṛttikāmiśrāḥ kṣudāpāṣāṇāḥ śarkarāḥ |	mRttikA-miSrAH kzuD-A-pAzANAH SarkarAH |
   tāśca ghṛtatailavasādīnāmanyatamena dravyeṇāñjanīyāḥ |	tAH-ca GRta-tEla-vasA-AdInAm-anyatamena dravyeNa-aQjanIyAH |
   kutaḥ |	kutas |
   añjanasāmānyabodhakasya vidhivākyasya	aQjana-sAmAnya-boDakasya viDi-vAkyasya
   ghṛtaviśeṣabodhakādarthabādātprabalatvāt |	GRta-viSeza-boDakAt-arTa-bAdAt-prabala-tvAt |
   tatprābalye ca mukhyatvādayastrayo hetavaḥ |	tad-prAbalye ca muKya-tva-AdayaH-trayaH hetavaH |
   svārthatayā vidhermukhyatvam , prathamaśrutatvāccāsaṃjātavirodhitvam ,	sva-arTa-tayA viDeH-muKya-tvam , praTama-Sruta-tvAt-ca-asaMjAta-viroDi-tvam ,
   anadhigatārthabodhakatvādaprāptārthatvam, arthavādastu -	anaDigata-arTa-boDaka-tvAt-aprApta-arTa-tvam, arTa-vAdaH-tu -
   vidhistāvakatvānna mukhyaḥ, caramaśrutatvātsaṃjātavirodhī,	viDiH-tAvaka-tvAt-na muKyaH, caram-aSruta-tvAt-saMjAta-viroDI,
   jñātārthānuvāditvātprāptārthaḥ |	jQAta-arTa-anuvAdi-tvAt-prApta-arTaH |
   tasmāt - ' yena kenāpyañjanam ' iti prāpte, --	tasmAt  a yena kena-api-aQjanam a iti prApte, --
   brūmaḥ- vidhivākyena kimañjanasādhanasāmānyaṃ vidhīyate, tadviśeṣo vā |	brUmaH viDi-vAkyena kim-aQjana-sADana-sAmAnyam viDIyate, tad-viSezaH vA |
   nā'dyaḥ |	nA-adyaH |
   sāmānyasyānanuṣṭheyatvāt |	sAmAnyasya-ananuzWeya-tvAt |
   na dvitīyaḥ |	na dvitIyaH |
   ghṛtatailādiviśeṣavācakaśabdābhāvāt |	GRta-tEla-Adi-viSeza-vAcaka-Sabda-aBAvAt |
   tata uktarītyā prabalamapi vidhivākyamanuṣṭhānayogye viśeṣe	tatas ukta-rItyA prabalam-api viDi-vAkyam-anuzWAna-yogye viSeze
   saṃdehajanakatayā nirṇayahetumarthavādamapekṣate, na tu tena saha	saMdeha-janakatayA nirNaya-hetum-arTa-vAdam-apekzate, na tu tena saha
   virudhyate |	viruDyate |
   arthavāde 'pi ghṛtasya vidhirnāstīti cet |	arTa-vAde api GRtasya viDiH-na-asti-iti ced |
   na |	na |
   vidherunneyatvāt |	viDeH-unneya-tvAt |
   ' tejo vai ghṛtam ' ityevaṃ tejastvena ghṛtasya stūyamānatvādvidheyatvaṃ	a tejaH vE GRtam a iti-evam tejaH-tu-ena GRtasya stUyamAna-tvAt-viDeya-tvam
   gamyate |	gamyate |
   "stūyate sa vidhīyate"iti nyāyāt |	"stUyate sa viDIyate"iti nyAyAt |
   tena ca vidheyatvena vidhāyakaḥ śabdaḥ kalpyate - ghṛtenāktā iti |	tena ca viDeya-tvena viDAyakaH SabdaH kalpyate  GRtena-aktAH iti |
   tasmāt - ghṛtenaivāñjanam || MJaiNyC_1,4.50-53 ||	tasmAt  GRtena-eva-aQjanam || MJENyC_1,4.50-53 ||
   START MJaiNy 1,4.54-55	START MJENi 1,4.54-55
   (viṃśe sāmarthyenāvyavasthitānāṃ vyavasthādhikaraṇe sūtram)	(viMSe sAmarTyena-avyavasTitAnAm vyavasTA-aDikaraNe sUtram)
   arthād vā kalpanaikadeśatvāt / Jaim_1,4.30 /	arTAt vA kalpana-eka-deSa-tvAt / JEm_1,4.30 /
   viṃśādhikaraṇamāracayati --	viMSa-aDikaraNam-Aracayati --
   struveṇātha svadhitinā hastenāvadyatītyamī /	struveNa-aTa svaDitinA hastena-avadyati-iti-amI /
   ājye māṃse puroḍāśe saṃkīrṇā vā vyavasthitāḥ // MJaiNy_1,4.54 //	Ajye mAMse puroxASe saMkIrNAH vA vyavasTitAH // MJENi-_1,4.54 //
   vyavasthāpakarāhityātstrūvādyā avyavasthitāḥ /	vyavasTApa-kara-ahityAt-strUvAdyAH avyavasTitAH /
   vyavasthāpakatāśaktestadvaśena vyavasthitiḥ // MJaiNy_1,4.55 //	vyavasTApakatA-aSakteH-tad-vaSena vyavasTitiH // MJENI-_1,4.55 //
   "struveṇāvadyati" "svadhitinādyati" "hastenāvadyati"iti śrūyate |	"stru-veNa-avadyati" "svaDitinAdyati" "hastena-avadyati"-iti SrUyate |
   tatrāvadeyeṣvājyamāṃsapuroḍāśeṣu haviḥṣvamī struvādyā avadānahetavaḥ	tatra-Avadeyezu-Ajya-mAMsa-puroxASezu haviHzu-amI struvAdyAH avadAna-hetavaH
   saṃkīrṇāḥ |	saMkIrNAH |
   kutaḥ |	kutas |
   vyavasthāpakasya śabdasyābhāvāditi cet |	vyavasTApakasya Sabdasya-aBAvAt-iti ced |
   maivam |	mA-evam |
   śaktervyavasthāpakatvāt |	SakteH-vyavasTApaka-tvAt |
   "ākhyātānāmarthe bruvatāṃ śaktiḥ sahakāriṇī" iti nyāyāt |	"a-AKyAtAnAm-arTe bruvatAm SaktiH sahakAriNI" iti nyAyAt |
   ' kaṭe bhuṅkte ' ' kāṃsyapātryāṃ bhuṅkte ' ityatra	a kawe BuFkte a a kAMsya-pAtryAm BuFkte a iti-atra
