   {...} = akṣara unclear	{...}  akzaraH unclear
   kathayitu na śakyate | tathaiva vyāvṛtti kathayatāpyavaśyaṃ yathā jalam	kaTayitu na Sakyate | taTA eva vyAvRtti kaTayatA api avaSyam yaTA jalam
   ityābhidheyam | anyathā vyāvṛttireva noktā syāt |	iti ABiDeyam | anyaTA vyAvRttiH eva na uktA syAt |
   anena svabhāvahetoḥ sāmānyalakṣaṇaṃ viśeṣalakṣaṇaṃ ca yathā vaktavyaṃ	anena svaBAva hetoH sAmAnya lakzaNam viSeza lakzaNam ca yaTA vaktavyam
   tathā darśyate | iha yadi yathā ghaṭaḥ iti nocyate tadā sapakṣasattvameva	taTA darSyate | iha yadi yaTA GawaH iti na ucyate tadA sa pakza sattvam eva
   kathayituṃ na śakyate | yadi yathā ākāśam iti nocyate, tadā vyāvṛttirapi	kaTayitum na Sakyate | yadi yaTA AkASam iti na ucyate, tadA vyAvRttiH api
   kathayituṃ na śakyate | tanmātrānubandho 'pi tathaiva darśayituṃ na śakyam	kaTayitum na Sakyate | tanmAtra anubanDaH api taTA eva darSayitum na Sakyam
   | tathāhi yadi yatra yatra kṛtakatvaṃ tatra tatrāvaśyaṃ nityatvam, yathā	| taTA hi yadi yatra yatra kRtaka tvam tatra tatra avaSyam nitya tvam, yaTA
   ghaṭe iti nirdiśyate, tadā tanmātrānubandha evokto bhavati | sapakṣa eva	Gawe iti nirdiSyate, tadA tanmAtra anubanDaH eva uktaH Bavati | sa pakzaH eva
   yat sattvam, vipakṣācca sarvasmād vyāvṛttiryā  rūpadvayametadabhedenoktam	yat sattvam, vipakzAt ca sarvasmAt vyAvRttiH yA rUpa dvayam etat aBedena uktam
   naca sāmānyamuktamapi śakyaṃ jñātum, atastadeva viśeṣaniṣṭhaṃ vaktavyam |	na ca sAmAnyam uktam api Sakyam jQAtum, atas tat eva viSeza nizWam vaktavyam |
   ataḥ punarapi viśeṣeṇa viśeṣavantau janmatanmātrānubandhau darśanīyāvaktau	atas punar api viSezeNa viSezavantO janma tanmAtra anubanDO darSanIyOvaktO
   | kāryasya janma jñātavyamuktam | janmani hi jñāte kāryasya sapakṣe eva	| kAryasya janma jQAtavyam uktam | janmani hi jQAte kAryasya sa pakze eva
   sattvam, vipakṣācca sarvasmād vyāvṛttirjñātā bhavati | svabhavasya	sattvam, vipakzAt ca sarvasmAt vyAvRttiH jQAtA Bavati | sva Bavasya
   tanmātrānubandho darśanīya uktaḥ | taditi sādhanam | tadeva tanmātram=	tanmAtra anubanDaH darSanIyaH uktaH | tat iti sADanam | tat eva tanmAtram=
   sādhanamātram | tasyānubandhaḥ= anugamanam | sādhanamātrasya bhāve bhāvaḥ	sADana mAtram | tasya anubanDaH anugamanam | sADana mAtrasya BAve BAvaH
   sādhyasya | tanmātrabhāvitvameva hi sādhyasya tādātmyam | sādhanasya yadā	sADyasya | tanmAtra BAvi tvam eva hi sADyasya tAdAtmyam | sADanasya yadA
   svabhāvo jñāto bhavati tadā svabhāvahetoḥ  sapakṣe eva sattvam, vipakṣācca	svaBAvaH jQAtaH Bavati tadA svaBAva hetoH sa pakze eva sattvam, vipakzAt ca
   sarvasmād vyāvṛttirjñātā bhavati |	sarvasmAt vyAvRttiH jQAtA Bavati |
   tadevaṃ sāmānyalakṣaṇaṃ viśeṣātmakaṃ jñātavyam, nānaythā | tato	tat evam sAmAnya lakzaNam viSeza Atmakam jQAtavyam, nAnayTA | tatas 
   viśeṣalaksāṇamuktam |	viSeza laksANam uktam |
   kimato yadi nāmaivam? ityāha  tacceti | tacca sāmānyalakṣaṇaṃ	kim atas yadi nAma evam? iti Aha tat ca iti | tat ca sAmAnya lakzaNam
   darśayitukāmena viśeṣalakṣaṇaṃ darśayatā eva darśanīyam  iti sambandhaḥ |	darSayitu kAmena viSeza lakzaNam darSayatA eva darSanIyam iti sambanDaH |
   yatra dhūmastatrāgniriti | kāryahetorvyāptidarśitā | vyāptiśca	yatra DUmaH tatra agniH iti | kArya hetoH vyApti darSitA | vyAptiH ca
   kāryakaraṇabhāvasādhanāt pramāṇānniścauyate | tato yathā mahānasa iti	kArya karaNa BAva sADanAt pramANAn niScOyate | tatas yaTA mahAnasaH iti
   darśanīyam, asatyagnau na bhavatyeva dhūma iti vyatireko darśitaḥ | sa ca	darSanIyam, asati agnO na Bavati eva DUmaH iti vyatirekaH darSitaH | sa ca
   yathetarasminniti darśanīyaḥ | vahninivṛttirhi dhūmanivṛttau niyatā	yaTA itarasmin= iti darSanIyaH | vahni nivRttiH hi DUma nivRttO niyatA
   darśanīyā | sā ca mahānasāditaratreti darśanīyā |	darSanIyA | sA ca mahAn asAt itaratra iti darSanIyAH |
   vyāptiḥ | asmiścārthe darśite eva dṛṣṭānto bhavati | etāvanmātrarūpatvāt	vyAptiH | asmiH ca arTe darSite eva dRzwAntaH Bavati | etAvat mAtra rUpa tvAt
   tasyeti ||	tasya iti ||
   sapakṣatvaṃ darśayatā yadi yathā mahānasaḥ yathā ghaṭaḥ iti vā nocyate,	sa pakza tvam darSayatA yadi yaTA mahAnasaH yaTA GawaH iti vA na ucyate,
   tadā sapakṣasattvamevokta na syāt | yadi ca vipakṣāsattvaṃ darśayatā yathā	tadA sa pakza sattvam eva ukta na syAt | yadi ca vipakza asattvam darSayatA yaTA
   jalam yathā ākāśam iti vā nicyate, tadā vyāvṛttireva noktā syāt |	jalam yaTA AkASam iti vA nicyate, tadA vyAvRttiH eva na uktA syAt |
   evaṃ sāmānyalakṣaṇamuktvā aśakyatvamuktam | viśeṣalakṣaṇena	evam sAmAnya lakzaNam uktvA aSakya tvam uktam | viSeza lakzaNena
   aśakyatvakathanānantaramāha  tatkāryatetyādi |	aSakya tva kaTana anantaram Aha tat kAryatA ityAdi |
   tasya kārya tatkāryam, tasya bhāvastatkāryatā, tasyā niyamaḥ	tasya kArya tad kAryam, tasya BAvaH tad kAryatA, tasyAH niyamaH
   tatkāryatāniyamaḥ | kāraṇasattve kāryasyāpi sattvam ityeṣa niyama eva	tad kAryatA niyamaH | kAraNa sattve kAryasya api sattvam iti eza niyamaH eva
   tatkāryatāniyamaḥ |	tad kAryatA niyamaH |
   svarūpeṇa vyāptireva svabhāvena vyāptiḥ | tanmātrānubandha iti śeṣaḥ |	svarUpeNa vyAptiH eva svaBAvena vyAptiH | tanmAtra anubanDaH iti SezaH |
   tadubhayamapi dṛṣṭāntamanuktvā vaktuṃ na śakyate | yadā yathoktanyāyena	tat uBayam api dRzwAntam anuktvA vaktum na Sakyate | yadA yaTA ukta nyAyena
   kvacid dharmiṇi hetuḥ sāmānyalakṣaṇato viśeṣalakṣaṇataścocyate, tadā	kvacid DarmiNi hetuH sAmAnya lakzaNataH viSeza lakzaNataH ca ucyate, tadA
   dṛṣṭānto 'pyukta eva |	dRzwAntaH api uktaH eva |
   tacca kasmāditi ced? āha  etāvadityādi |	tat ca kasmAt iti ced? Aha etAvat ityAdi |
   yatra kṛtakatvaṃ tatra | nityatvamiti svabhāvahetorvyāptidarśitā |	yatra kRtaka tvam tatra | nitya tvam iti svaBAva hetoH vyApti darSitA |
   anityatvābhāve na bhavatyena kṛtakatvamiti vyatireko darśitaḥ | vyāptreśca	anitya tva aBAve na Bavati ena kRtaka tvam iti vyatirekaH darSitaH | vyAptreH ca
   sādhakai pramāṇaṃ sādharmyadṛṣṭānte darśanīyam | prasiddhavyāptikasya ca	sADakE pramANam sADarmya dRzwAnte darSanIyam | prasidDa vyAptikasya ca
   hetoḥ sādhyani vṛttau nivṛttirniyatā darśanīyā | tadavaśyaṃ yathā ghaṭe,	hetoH sADyani vRttO nivRttiH niyatAH darSanIyAH | tat avaSyam yaTA Gawe,
   yathā ākāśe ceti darśanīyam |	yaTA AkASe ca iti darSanIyam |
   kasmādevam? ityāha  na hoti | yasmādanyathā sāmānya lakṣaṇarūpe	kasmAt evam? iti Aha na hoti | yasmAt anyaTA sAmAnya lakzaNa rUpe
   sapakṣavipakṣayoḥ sadasattve yathoktaprakāre iti niyate  sapakṣe eva	sa pakza vipakzayoH sat asat tve yaTA ukta prakAre iti niyate sa pakze eva
   sattvam, vipakṣa'sattvameveti niyamo yathoktaprakāraḥ | te na śakye	sattvam, vipakza asattvam eva iti niyamaH yaTA ukta prakAraH | te na Sakye
   darśayitum | viśeṣalakṣaṇe hi darśite yathoktaprakāre sadasatve darśite	darSayitum | viSeza lakzaNe hi darSite yaTA ukta prakAre sat asatve darSite
   bhavataḥ | na ca viśeṣalakṣaṇamanyathā śakyaṃ darśayitum |	BavataH | na ca viSeza lakzaNam anyaTA Sakyam darSayitum |
   tasya sādhyasya kāryadhūmaḥ, tasya bhāvastatkāryatā, saiva niyamo	tasya sADyasya kArya DUmaH, tasya BAvaH tad kArya tA, sA eva niyamaH 
   yatastatkāryatāyā dhūmo dahane niyataḥ | so 'yaṃ tatkāryatāniyamo	yatas tad kArya tAyAH DUmaH dahane niyataH | saH ayam tad kAryatA niyamaH 
   viśeṣalakṣaṇarūpo 'nyathā darśayitumaśakyaḥ | svabhāvaliṅgasya ca	viSeza lakzaNa rUpaH anyaTA darSayitum aSakyaH | svaBAva liFgasya ca
   svabhāvena sādhyena vyāpti viśeṣalakṣaṇarūpā na śakyā darśayitum | yasmāt	svaBAvena sADyena vyApti viSeza lakzaNa rUpA na SakyAH darSayitum | yasmAt 
   kāryakāraṇabhāvastādātmyaṃ ca mahānase ghaṭe ca jḥātavyam, tasmād	kArya kAraNa BAvaH tAdAtmyam ca mahAnase Gawe ca jHAtavyam, tasmAt 
   vyāptisādhanaṃ pramāṇaṃ darśayatā sādharmyadṛṣṭānto darśanīyaḥ	vyApti sADanam pramANam darSayatA sADarmya dRzwAntaH darSanIyaH
   vaidharmyadṛṣṭāntastu prasiddhe tatkāryatve kāraṇābhāve	vEDarmya dRzwAntaH tu prasidDe tad kArya tve kAraNa aBAve
   kāryābhāvapratipattyartham | tata eva nāvaśyaṃ vastu bhavati | kāraṇābhāve	kArya aBAva pratipatti arTam | tatas eva na avaSyam vastu Bavati | kAraNa aBAve
   kāryābhāvo vastunyavstuni vā bavati | tato vastvavastu vā vaidharmya	kArya aBAvaH vastuni avstuni vA bavati | tatas vastu avastu vA vEDarmya
   123 etenaiva dṛṣṭāntadoṣā api nirastā bhavanti ||	123 etena eva dRzwAnta dozAH api nirastAH Bavanti ||
   124 yathā nityaḥ śabdo 'mūrtatvāt, karmavat paramāṇuvad ghaṭavaditi | ete	124 yaTA nityaH SabdaH amUrta tva at, karma vat paramANu vat Gawa vat iti | ete
   dṛṣṭāntābhāsāḥ sādhyasādhanadharmobhayavikalāḥ |	dRzwAnta ABAsAH sADya sADana Darma uBaya vikalAH |
   tathāhi tasya rūpametāvanmātremeva | yatra sādhyena hetoranvayo dṛśyate,	taTA hi tasya rUpam etAvat mAtrem eva | yatra sADyena hetoH anvayaH dRSyate,
   sa sādharmyadṛṣṭāntaḥ | yatra ca sādhyābhāve hetvabhāvo nirdiśyate sa	sa sADarmya dRzwAntaH | yatra ca sADya aBAve hetu aBAvaH nirdiSyate sa
   vaidharmyadṛṣṭāntaḥ || 122 ||	vEDarmya dRzwAntaH || 122 ||
   yasmād yadā hetoḥ sāmānyaviśeṣalakṣaṇayonirdeśaḥ kriyate sa	yasmAt yadA hetoH sAmAnya viSeza lakzaNa yoniH deSaH kriyate sa
   nirduṣṭhadṛṭānta ityucyate tasmād yatra tallakṣaṇayornirdeśo na sambhavati	nirduzWa dRwAntaH iti ucyate tasmAt yatra tad lakzaNayoH nirdeSaH na samBavati
   sa dṛṣṭāntābhāso bhavatītyuktaṃ bhavati || 123 ||	sa dRzwAnta ABAsaH Bavati iti uktam Bavati || 123 ||
   udāhārṇānyāha  yatheti | sādhya  sādhanadharmobhayavikalā iti | śabdo	udAha arNAni Aha yaTA iti | sADya sADana Darma uBaya vikalAH iti | SabdaH 
   nityaḥ, amūrtatvat karmavat iti sādhaydharmavikalaḥ | paramāṇuvat iti	nityaH, amUrta tvat karma vat iti sADayDarma vikalaH | paramANu vat iti
   sādhanadharmavikalaḥ | ghaṭavat ityubhayavikalaḥ || 124 ||	sADana Darma vikalaH | Gawa vat iti uBaya vikalaH || 124 ||
   dṛṣṭānta iṣyate | tasmād dṛṣṭāntamantareṇa na hetoranvayo vyatireko vā	dRzwAntaH izyate | tasmAt dRzwAntam antareNa na hetoH anvayaH vyatirekaH vA
   śakyo darśayitum | ato heturūpākhyānādeva hetorvyāptisādhanasya pramāṇasya	SakyaH darSayitum | atas hetu rUpa AKyAnAt eva hetoH vyApti sADanasya pramANasya
   darśakaḥ sādharmyadṛṣṭāntaḥ |	darSakaH sADarmya dRzwAntaH |
   prasiddhavyāptikasya sādhyābhave hetvabhāvapradarśanād vaidharmyadṛṣṭānta	prasidDa vyAptikasya sADya aBave hetu aBAva pradarSanAt vEDarmya dRzwAnta
   upādeya iti ca darśitaṃ bhavati |	upAdeyaH iti ca darSitam Bavati |
   asmiścārthe darśite eva dṛṣṭānto bhavati | yo 'yamartho vyāpti	asmiH ca arTe darSite eva dRzwAntaH Bavati | yaH ayam arTaH vyApti
   prasādhanapramāṇapradarśanaḥ kaścidupādeyo nivṛttipradarśanaśca 	prasADana pramANa pradarSanaH kaScid upAdeyaH nivRtti pradarSanaH ca 
   ityasminnarthe darśite darśito dṛṣṭānta ityāha | etābandhamātraṃ rūpaṃ	iti asmin= arTe darSite darSitaH dRzwAntaH iti Aha | etAbanDa mAtram rUpam
   yasya, tasya bhāvastattvam, tasmāditi | etāvadeva hi rūpaṃ dṛṣṭāntasya,	yasya, tasya BAvaH tattvam, tasmAt iti | etAvat eva hi rUpam dRzwAntasya,
   yaduta vyāptisādhanapramāṇapradarśakatvaṃ nāma sādharmyadṛṣṭāntasya,	yat uta vyApti sADana pramANa pradarSaka tvam nAma sADarmya dRzwAntasya,
   prasiddhavyāptikasya ca sādhyanivṛtau sādhananivṛttipradarśakatvam 	prasidDa vyAptikasya ca sADya nivRtO sADana nivRtti pradarSaka tvam 
   ityetad vaidharmyadṛṣṭāntasya | etacca hetūpākhyānādevākhyātamiti kiṃ	iti etat vEDarmya dRzwAntasya | etat ca hetu upAKyAnAt eva AKyAtam iti kim
   dṛṣṭāntalakṣaṇena || 122 ||	dRzwAnta lakzaNena || 122 ||
   etenaiva ca heturūpākhyānād dṛṣṭāntatvapradarśanena dṛṣṭāntadoṣā	etena eva ca hetu rUpa AKyAnAt dRzwAnta tva pradarSanena dRzwAnta dozA
   dṛṣṭāntabhāsāḥ kathitā bhavanti | tathā hi  pūrviktisiddhaye ya	dRzwAnta BAsAH kaTitAH Bavanti | taTA hi pUrvikti sidDaye ya
   upādīyamāno 'pi dṛṣṭānto na samarthaḥ svakārya sādhayituṃ sa dṛṣṭāntadoṣa	upAdIyamAnaH api dRzwAntaH na samarTaH sva kArya sADayitum sa dRzwAnta doza
   iti sāmarthyāduktaṃ bhavati || 123 ||	iti sAmarTyAt uktam Bavati || 123 ||
   dṛṣṭāntābhāsānudāharati  yathā nityaḥ śabda iti | śabdasya nityatve sādhye	dRzwAnta ABAsAn udAha rati yaTA nityaH SabdaH iti | Sabdasya nitya tve sADye
   amūrtatvāditi hetuḥ | sādharmyeṇa karmavat, paramāṇuvat, ghaṭavadityete	amUrta tvAt iti hetuH | sADarmyeNa karmavat, paramANuvat, Gawa vat iti ete
   dṛṣṭāntā upanyastāḥ | ete ca dṛṣṭāntadoṣāḥ | sādhyaṃ ca sādhanaṃ ca	dRzwAntAH upanyastAH | ete ca dRzwAnta dozAH | sADyam ca sADanam ca
   125 tathā sandigdhasādhyadharmādayaśca | yathā  rāgādimānayaṃ vacanād	125 taTA sandigDa sADya Darma AdayaH ca | yaTA rAga Adi mAnayam vacanAt 
   rathyāpuruṣavat | maraṇadharmāya puruṣo rāgādimattvād rathyāpuruṣavat |	raTyA puruza vat | maraNa DarmAya puruzaH rAga AdimattvAt raTyA puruza vat |
   asarvajño 'yaṃ (puruṣo) rāgādimattvād rathyāpuruṣavaditi |	asarvajQaH ayam (puruzo) rAga AdimattvAt raTyA puruza vat iti |
   126 tathānanvayo 'pradarśitānvayaśca | yathā  yo vaktā sa rāgādimān	126 taTA ananvayaH apradarSita anvayaH ca | yaTA yaH vaktA sa rAga AdimAn
   iṣṭapuruṣavat | anityaḥ śabdaḥ kṛtakatvād ghaṭavaditi |	izwa puruza vat | anityaH SabdaH kRtaka tvAt Gawa vat iti |
   sandigdhaḥ sādhyadharmo 'sminniti vigrahaḥ | sādhyadharma ādiryeṣāṃ te	sandigDaH sADya DarmaH asmin= iti vigrahaH | sADya DarmaH AdiH yezAm te
   tathoktāḥ |	taTA uktAH |
   udāharaṇānyāha  rāgādimāniti | ayaṃ sandigdhasādhyadharmaḥ |	udAharaNAni Aha rAga AdimAn iti | ayam sandigDa sADya DarmaH |
   maraṇadharmeti | ayaṃ sandigdhasādhanadharmaḥ | asavajña iti | ayaṃ	maraNa Darma iti | ayam sandigDa sADana DarmaH | asavajQaH iti | ayam
   sandhigdhobhayadharmaḥ || 125 ||	sanDi gDa uBaya DarmaH || 125 ||
   ananvaya iti | yatrānvayo nāstyeva | apradarśitānvaya iti | yatrānvayo	ananvayaH iti | yatra anvayaH na asti eva | apradarSita anvayaH iti | yatra anvayaH 
   vidyamāno 'pi na pradarśitaḥ |	vidyamAnaH api na pradarSitaH |
   udāharaṇamāha  yatheti | tatrānvayo nāsti | tena tatra	udAharaNam Aha yaTA iti | tatra anvayaH na asti | tena tatra
   vacanarāgādayorvyāpyavyapakabhavaḥ kārya kāraṇabhāvo vā naiva vidyate |	vacana rAgAdayoH vyApya vyapaka BavaH kArya kAraNa BAvaH vA na eva vidyate |
   anitya iti | ihānvayo vidyamāno 'pi na pradarśitaḥ || 126 ||	anityaH iti | iha anvayaH vidyamAnaH api na pradarSitaH || 126 ||
   ubhayaṃ ceti ca tairvikalāḥ | 1 sādhyavikalaṃ karma tasyāniyatatvāt |	uBayam ca iti ca tEH vikalAH | 1 sADya vikalam karma tasya aniyata tvAt |
   2 sādhanavikalaḥ paramāṇuḥ, mūrtatvāt paramāṇūnām |	2 sADana vikalaH paramANuH, mUrta tvAt paramANUnAm |
   asarvagatādravyaparimāṇam =mūrtiḥ | asarvagataśca dravyarūpāśca	asarva gatA dravya parimANam =mUrtiH | asarva gataH ca dravya rUpAH ca
   paramāṇavaḥ | nityāstu vaiśeṣikairiṣyante | tato na sādhyavikalaḥ | 3	paramANavaH | nityAH tu vESezikEH izyante | tatas na sADya vikalaH | 3
   ghaṭastūbhayavikalaḥ, anityatvāt mūrtatvācca ghaṭasyeti || 124 ||	GawaH tu uBaya vikalaH, anitya tvAt mUrta tvAt ca Gawasya iti || 124 ||
   tathā sandigdhaḥ sādhyadharmo yasmin sa sandigdhasādhyadharmaḥ | sa	taTA sandigDaH sADya DarmaH yasmin sa sandigDa sADya DarmaH | sa
   ādiryeṣāṃ te tathoktaḥ | sandigdhasādhyadharmaḥ, sandigdhasādhanadharmaḥ,	AdiH yezAm te taTA uktaH | sandigDa sADya DarmaH, sandigDa sADana DarmaH,
   sandigdhibhayaḥ |	sandigDi BayaH |
   udāharaṇam  rāgādimaniti | rāgādimattvaṃ sādhyam | vacanāditi hetuḥ |	udAharaNam rAga Adim aniti | rAga Adimat tvam sADyam | vacanAt iti hetuH |
   rathyāpuruṣavaditi dṛṣṭānte rāgādimattavṃ sandigdham | maraṇe dharmo	raTyA puruza vat iti dRzwAnte rAga Adi mattavm sandigDam | maraNe DarmaH 
   'syeti maraṇadharmā, tasya bhāvo maraṇadharmatvaṃ sādhyam | ayaṃ puruṣa	asya iti maraNa DarmA, tasya BAvaH maraNa Darma tvam sADyam | ayam puruza
   iti dharmī | rāgādimattvāditi hetuḥ | tadubhayamapi rathyāpuruṣe dṛṣṭānte	iti DarmI | rAga AdimattvAt iti hetuH | tat uBayam api raTyA puruze dRzwAnte
   sandigdham  asarvajñatvaṃ rāgādimatvaṃ ceti || 125 ||	sandigDam asarvajQa tvam rAga Adima tvam ca iti || 125 ||
   tathānanvaya iti | yasmin dṛṣṭānte sādhyasādhanayorasambhavamātre dṛśyate,	taTA ananvayaH iti | yasmin dRzwAnte sADya sADanayoH asamBava mAtre dRSyate,
   natu sādhyena vyāpto hetuḥ so 'nanvayaḥ | apradarśitānvayaśca yasmin	na tu sADyena vyAptaH hetuH saH ananvayaH | apradarSita anvayaH ca yasmin
   dṛṣṭānte vidyamāno 'pyanvayo na pradarśito vaktrā, so 'pradarśitānvayaḥ |	dRzwAnte vidyamAnaH api anvayaH na pradarSitaH vaktrA, saH apradarSita anvayaH |
   ananvayamudāharati  yatheti | yo vakteti | vaktṛtvamanūdya sa rāgādimāniti	ananvayam udAharati yaTA iti | yaH vaktA iti | vaktR tvam anUdya sa rAgAt imAn iti
   rāgādimattvaṃ vihitam | tato vaktṛtvasya rāgādimattve pratiniyamaḥ |	rAga Adimat tvam vihitam | tatas vaktR tvasya rAga Adimattve pratiniyamaH |
   127 tathā viparītānvayaḥ  yadanityaṃ tat kṛtakamiti ||	127 taTA viparIta anvayaH yat anityam tat kRtakam iti ||
   viparīteti | anvayo viparīto yasmin dṛṣṭānte iti vigrahaḥ |	viparItA iti | anvayaH viparItaH yasmin dRzwAnte iti vigrahaH |
   udāharaṇamāha yadanityamiti | iha yat kṛtakaṃ tadanityam iryāmadheye	udAharaNam Aha yat anityam iti | iha yat kRtakam tat anityam iryAmaDeye
   yadanityaṃ tatkṛtakam iti viparītābhidhānam || 127 ||	yat anityam tat kRtakam iti viparIta aBiDAnam || 127 ||
   tena vyāptiruktā | iṣṭapuruṣavaditi | iṣṭāgrahaṇena prativādhaypi	tena vyAptiH uktA | izwa puruza vat iti | izwa agrahaNena prativADaypi
   saṃgṛhyate, vādyapi | tena vaktṛtvarāgādimattvayossattvamātremiṣṭe puruṣe	saMgRhyate, vAdI api | tena vaktR tva rAga AdimattvayoH sattva mAtremizwe puruze
   siddham | vyaptistu na siddhā | tenānanvayo dṛṣṭānta iti |	sidDam | vyaptiH tu na sidDAH | tena ananvayaH dRzwAntaH iti |
   anityaḥ śabda iti | anityatvaṃ sādhyam | kṛtakatvāditi hetuḥ | ghaṭavaditi	anityaH SabdaH iti | anitya tvam sADyam | kRtaka tvAt iti hetuH | Gawa vat iti
   dṛṣṭānte na pradarśito 'nvayaḥ |	dRzwAnte na pradarSitaH anvayaH |
   iha yadyapi kṛtakatvena ghaṭasadṛśaḥ śabdaḥ, tathāpi nānityatvenāpi	iha yadi api kRtaka tvena Gawa sadRSaH SabdaH, taTA api na anitya tvena api
   sadṛśaḥ pratyetu śakyate, atiprasaṅgāt | yadi tu kṛtakatvamanityasvabhavaṃ	sadRSaH pratyetu Sakyate, atiprasaFgAt | yadi tu kRtaka tvam anitya svaBavam
   vijñātaṃ bhavati, evaṃ kṛtakatvādanityatvapratītiḥ syāt | tasmād yat	vijQAtam Bavati, evam kRtaka tvAt anitya tva pratItiH syAt | tasmAt yat 
   kṛtakaṃ tadani tyam iti kṛtakatvamanityatve niyatamabhidhāya	kRtakam tat ani tyam iti kRtaka tvam anitya tve niyatam aBiDAya
   niyamasadhanāyānvayavākyārthapratipattiviṣayo dṛṣṭānta upādeyaḥ | sa ca	niyama sa DanAya anvaya vAkya arTa pratipatti vizayaH dRzwAnte upAdeyaH | sa ca
   pradarśitānvaya eva | anena tvanvayavākyamanuktvaiva dṛṣṭānta upāttaḥ |	pradarSita anvayaH eva | anena tu anvaya vAkyam anuktvA eva dRzwAntaH upAttaH |
   īddaśaśca sādharmyamāṭreṇaivopayogī, na ca sādharmyāt sādhyasiddhirato	IddaSaH ca sADarmya mAwreNa eva upayogI, na ca sADarmyAt sADya sidDiH atas 
   'nvayārtho dṛṣṭāntastadarthaścānena nopāttaḥ | sādharmyārthaścopātto	anvaya arTaH dRzwAntaH tad arTaH ca anena na upAttas | sADarmya arTaH ca upAtto
   nirupayoga iti vaktṛdosādayaṃ dṛṣṭāntadoṣaḥ | vaktā hayatra	nirupayogaH iti vaktR dosa At ayam dRzwAnta dozaH | vaktA hayatra
   paraḥpratipadayotavyaḥ | tato yadi nāma na duṣṭāṃ vastu, tathāpi vaktrā	paraH pratipadayotavyaH | tatas yadi nAma na duzwAm vastu, taTA api vaktrA
   duṣṭāṃ darśitatamiti duṣṭameva || 126 ||	duzwAm darSitatam iti duzwam eva || 126 ||
   tathā viparīto 'nvayo yasmin dṛṣṭānte sa tathoktaḥ | tamevodāharati	taTA viparItaH anvayaH yasmin dRzwAnte sa taTA uktaH | tam eva udAharati
