   Guṇakāraṇḍavyūha sūtra	GuNa kAraNxavyUha sUtra
   kṛtvā saddharmasāṃkathyaṃ saṃvasante pramoditāḥ //	kRtvA sat Darma sAMkaTyam saMvasante pramoditAH //
   tataste caṃkramasthāne puṣkariṇyo vai śubhāmbubhiḥ /	tatas te caMkrama sTAne puzkariNyaH vE SuBa ambuBiH /
   aṣṭāṃgaguṇasampannaiḥ pūrṇāyāśca saroruhaiḥ //	azwAMga guNa sampannEH pUrNAyAH ca saroruhEH //
   padmotpalādipuṣpaiśca channāyāstaṭamandire /	padma utpala Adi puzpEH ca CannAyAH tawa mandire /
   maṇḍitahemarupyādiratnālaṃkārabhūṣaṇaiḥ //	maNxita hemarupya Adi ratna alaMkAra BUzaNEH //
   bhūṣite kalpavṛkṣaiśca suvarṇarupyapatrakaiḥ /	BUzite kalpavRkzEH ca suvarNarupya patrakEH /
   pravālalohitastambaiḥ sarvālaṃkāralamvitaiḥ /	pravAla lohita stambEH sarva alaMkAra lamvitEH /
   caṃkramya tatra te rātro sarve dhyātvā samāhitāḥ /	caMkramya tatra te rAtraH sarve DyAtvA samAhitAH /
   ṣaḍgatibhavasaṃcāraniḥspṛhā nirvṛtīcchikāḥ //	zaxgati Bava saMcAra niHspRhAH nirvRti icCikAH //
   niḥkleśā vimalātmānaścaturbrahmavihāriṇaḥ /	niHkleSAH vimala AtmAnaH catur brahma vihAriNaH /
   mahāyānavratotsāhaḥ sukhaṃ bhuktvā samāśritāḥ /	mahAyAna vrata utsAhaH suKam BuktvA samASritAH /
   evaṃ te sakalā nityaṃ catussaṃdhyaṃ samāhitāḥ //	evam te sakalAH nityam catussaMDyam samAhitAH //
   triratnārādhanaṃ kṛtvā bhajanto nivasantyapi //	tri ratna ArADanam kRtvA BajantaH nivasanti api //
   evamasya jagadbhartuḥ kāyo dharmaguṇāśrayaḥ /	evam asya jagat BartuH kAyaH Darma guNa ASrayaH /
   tato 'sau trijagannātho dharmakāyo virājate //	tatas asO trijagannATaH Darma kAyaH virAjate //
   tato 'nyatra vile lomnā vajramukhābhidhe punaḥ /	tatas anyatra vile lomnA vajramuKa aBiDe punar /
   aneke parvatāḥ santi lakṣakoṭīsahasrakāḥ //	aneke parvatAH santi lakza kowI sahasrakAH //
   keciddhemamayā kecidraupyavajramayā api /	kecid hema mayA kecid rOpya vajra mayAH api /
   kecinnīlamayāḥ kecitpadmarāgamayā api //	kecid nIla mayAH kecid padmarAga mayAH api //
   kecinmaṇinmayāḥ kecidaśmagarbhamayāstathā /	kecid maNin mayAH kecid aSma garBa mayAH taTA /
   vaiḍūryāḥ sfāṭikāścāpi saptaratnamayā api //	vExUryAH sfAwikAH ca api sapta ratna mayAH api //
   teṣu sarveṣu bhūbhṛtsu kalpavṛkṣā mahocchrayāḥ /	tezu sarvezu BUBRtsu kalpavRkzAH mahA ucCrayAH /
   vidrumapādapāścāpi candanataravo 'pi ca //	vidruma pAdapAH ca api candana taravaH api ca //
   sarve saugandhivṛkṣāśca sarve puṣpamahīruhāḥ /	sarve sOganDi vRkzAH ca sarve puzpa mahIruhAH /
   sarvartufalavṛkṣāśca vidyate pariśobhitāḥ //	sarva Rtu fala vRkzAH ca vidyate pariSoBitAH //
   puṣkariṇīsahasrāni divyāmṛtabharāṇyapi /	puzkariNI sahasrAni divya amRta BarANi api /
   padmotpalādisaugandhipuṣpapūrṇāni santi ca //	padma utpala Adi sOganDi puzpa pUrNAni santi ca //
   vimānānyapi cānekasāhasrāṇi hi santyapi /	vimAnAni api ca aneka sAhasrANi hi santi api /
   (Gkv 209)	(Gku 209)
   suvarṇarupyadivyādiratnamayāni santi ca //	suvarNarupya divya Adi ratna mayAni santi ca //
   teṣu divyavimāneṣu kinnarāṇāṃ sudharmiṇām /	tezu divya vimAnezu kinnarANAm suDarmiNAm /
   lakṣaśatasahasrāṇi vasanti surasotsavaiḥ //	lakza Sata sahasrANi vasanti surasA utsavEH //
   te sarve kinnarā divyāratnalaṃkārabhūṣitāḥ /	te sarve kinnarAH divya AratnalaMkAra BUzitAH /
   bhavacārabhayodvignāścaturbrahmavihāriṇaḥ //	Bava cAra Baya udvignAH catur brahma vihAriNaH //
   pradātāraḥ śubhācārāḥ dayātmano mahāśayāḥ /	pradAtAraH SuBa AcArAH dayA AtmanaH mahA ASayAH /
   yogadhānasamādhānāḥ śuddhaprajñāvicakṣaṇāḥ //	yoga DAna samADAnAH SudDa prajQA vicakzaNAH //
   sarve teṣu vimāneṣu viśrāntā vijitendriyāḥ /	sarve tezu vimAnezu viSrAntAH vijita indriyAH /
   triratnabhajanaṃ kṛtvā saṃcarante jagaddhite //	tri ratna Bajanam kRtvA saMcarante jagat hite //
   tataḥ sarve 'pi te teṣu vimāneṣu samāśritāḥ /	tatas sarve api te tezu vimAnezu samASritAH /
   sarvapāramitādharmasāṃkathyaṃ saṃprakurvate //	sarva pAramitA Darma sAMkaTyam saMprakurvate //
   tataste caṃkramasthāne kūṭāgāramanorame /	tatas te caMkrama sTAne kUwAgAra manorame /
   adhastāt kalpavṛkṣāṇāṃ hemarupyapalāśinām //	aDastAt kalpavRkzANAm hema rupya palASinAm //
   pravārarakṣadaṇḍānāṃ sarvālaṃkāralambinām /	pravAra rakza daNxAnAm sarva alaMkAra lambinAm /
   caṃkramya tatra te sarve viśramya samupāśritāḥ //	caMkramya tatra te sarve viSramya samupASritAH //
   ṣaḍgatibhavasaṃcāranānāduḥkhānubhāvinaḥ /	zaxgati Bava saMcAra nAnA duHKa anuBAvinaH /
   bhavacāranirutsāhāḥ saddharmābhiratāśayāḥ //	Bava cAra nirutsAhAH sat Darma aBirata ASayAH //
   triratnasmṛtimādhāya saṃtiṣṭhantei samāhitāḥ /	tri ratna smRtim ADAya saMtizWantei samAhitAH /
   tada teṣāṃ ca sarveṣāṃ prādurbhūtāni sarvataḥ //	tada tezAm ca sarvezAm prAdurBUtAni sarvatas //
   saratnadravyabhogyāni sarvopakaraṇānyapi //	sa ratna dravya BogyAni sarva upakaraNAni api //
   evaṃ te kinnarāḥ sarve saddharmaśrīsukhānvitāḥ /	evam te kinnarAH sarve sat Darma SrI suKa anvitAH /
   triratnabhajanaṃ kṛtvā tiṣṭhante bodhimānasāḥ //	tri ratna Bajanam kRtvA tizWante boDi mAnasAH //
   evaṃ tasya jagadbhartuḥ kāyo mahadvṝṣāśrayaḥ /	evam tasya jagat BartuH kAyaH mahat vLza ASrayaH /
   tenāsau trijagannātho dharmakāye 'bhirājate //	tena asO trijagat nATaH Darma kAye aBirAjate //
   tato 'nyasmin vile lomnaḥ sūryaprabhātkidhe punaḥ /	tatas anyasmin vile lomnaH sUrya praBAt kiDe punar /
   kanakaparvatāḥ santi dvādaśaśatalakṣakāḥ //	kanakaparvatAH santi dvAdaSa Sata lakzakAH //
   tadaikaikasya śṛṃgāni daśaśataśatāni ca //	tadA ekEkasya SRMgAni daSa Sata SatAni ca //
   tatraikaikasya pārśvāni daśalakṣaśatāni ca /	tatra ekEkasya pArSvAni daSa lakza SatAni ca /
   (Gkv 210)	(Gku 210)
   tatraikaikatra pārśvāṇi saptaratnamayojjvalaḥ //	tatra ekEkatra pArSvANi sapta ratna m aya ujjvalaH //
   udyānāni vicitrāṇi maṇḍitāni suradrumaiḥ //	udyAnAni vicitrANi maNxitAni suradrumEH //
   puṣkariṇyo 'pyanekāśca svaṣṭāṃgaguṇasaṃyutaiḥ /	puzkariNyaH api anekAH ca su azwAMga guNa saMyutEH /
   jalaiḥ padmādipuṣpaiśca paripūrṇāḥ sugandhibhiḥ //	jalEH padma Adi puzpEH ca paripUrNAH suganDiBiH //
   kūṭāgārāṇi lakṣāṇi hemaratnamayāni ca /	kUwAgArANi lakzANi hema ratna mayAni ca /
   vicitradivyaratnādimaṇḍanālaṃkṛtāanyapi //	vicitra divya ratna Adi maNxana alaMkRtAanI api //
   teṣāṃ madhye mahāratnaṃ sāradakosidho mahān /	tezAm maDye mahAratnam sArada kosiDaH mahAn /
   cintāmaṇirjagadbhadravāṃccitārthābhipūrakaḥ //	cintAmaNiH jagat BadravAn= cita arTa aBipUrakaH //
   teṣu sarveṣvasaṃkhyeyā bodhisattvā samāśritāḥ /	tezu sarvezu asaMKyeyAH boDisattvAH samASritAH /
   triratnabhajanaṃ kṛtvā nivasanti samāhitāḥ //	tri ratna Bajanam kRtvA nivasanti samAhitAH //
   yadā te bodhisattvāstaṃ cintāmaṇimupasthitāḥ /	yadA te boDisattvAH tam cintAmaNim upasTitAH /
   sambhyarcya yathākāmaṃ prārthayanti jagaddhite //	samByarcya yaTAkAmam prArTayanti jagat hite //
   tadā teṣāṃ sa sarvārthaṃ pūrayati yathepsitam //	tadA tezAm sa sarva arTam pUrayati yaTA Ipsitam //
   evaṃ śrīsukhasaṃpannāḥ saṃtiṣṭhante jinātmajāḥ //	evam SrI suKa saMpannAH saMtizWante jina AtmajAH //
   yadā tatra pratiṣṭhāste bodhisattvāḥ śubhāśayāḥ /	yadA tatra pratizWAH te boDisattvAH SuBa ASayAH /
   prajalpante mahāvidyāmanusmṛtvā ṣaḍakṣarīm //	prajalpante mahAvidyAm anusmRtvA zaz akzarIm //
   tadā paśyanti te sarve sukhāvatyāṃ samāśritam /	tadA paSyanti te sarve suKAvatyAm samASritam /
   amitābhaṃ jinaṃ taṃ ca sarvalokādhipaṃ prabhum //	amita ABam jinam tam ca sarva loka aDipam praBum //
   sarvān buddhāṃśca paśyanti sarvakṣatrasamāaśritān /	sarvAn budDAn= ca paSyanti sarva kzatra samAaSritAn /
   bodhisattvān samāsattvān sarvāṃśca sadguṇākarān //	boDisattvAn samAsattvAn sarvAn= ca sat guNa AkarAn //
   evaṃ sarvān jinān tṛptān bodhisatvāṃśca te mudā /	evam sarvAn jinAn tRptAn boDisatvAn= ca te mudA /
   sarve tenāpi niṣkramya caṃkramante yathepsite //	sarve tena api nizkramya caMkram ante yaTA Ipsite //
   kecidratnamayodyāne puṣkariṇītaṭeṣvapi /	kecid ratna maya udyAne puzkariNI tawezu api /
   kecitparvatapārśveṣu kalpavṛkṣataleṣvapi //	kecid parvata pArSvezu kalpavRkza talezu api //
   tatra paryaṃkamābhujya pariśuddhatrimaṇḍalāḥ /	tatra paryaMkam ABujya pariSudDa tri maNxalAH /
   ṛjukāyāḥ smṛtimanto dhyātvā tiṣṭhanti yoginaḥ //	Rju kAyAH smRtimantaH DyAtvA tizWanti yoginaH //
   evaṃ tasya jagadbhartuḥ kāya sarvavṛṣāśrayaḥ /	evam tasya jagat BartuH kAya sarva vRza ASrayaH /
   tenāyaṃ trijagannātho dharmakāyo virājate // 211	tena ayam trijagannATaH Darma kAyaH virAjate // 211
   tato 'nyasmin vile lomna indrarājābhidhe punaḥ /	tatas anyasmin vile lomnaH indra rAja aBiDe punar /
   nagāśītisahasrāṇi hemaratnamayāni ca //	naga aSIti sahasrANi hema ratna mayAni ca //
   teṣvavaivarttikā dhīra bodhisattvāḥ samāśritāḥ //	tezu avEvarttikAH DIra boDisattvAH samASritAH //
   mahāsattvā mahābhijñā koṭilakṣasahasrakāḥ //	mahAsattvAH mahA aBijQA kowi lakza sahasrakAH //
   tatra madhye samudbhūtaṃ cintāmaṇiṃ mahattaram /	tatra maDye samudBUtam cintAmaNim mahattaram /
   taṃ te sarve samabhyarcya prārthayanti prārthayanti yadepsitam //	tam te sarve samaByarcya prArTayanti prArTayanti yadA Ipsitam //
   tadā teṣāmabhiprāyaṃ sarveṣāmapi vāṃchitam /	tadA tezAm aBiprAyam sarvezAm api vAMCitam /
   asau cintāmaṇiḥ sarvaṃ saṃpūrayati sarvadā //	asO cintAmaNiH sarvam saMpUrayati sarvadA //
   teṣāṃ na vidyate kiṃcidduḥkhaṃ kadāpi bhāvikam /	tezAm na vidyate kiMcid duHKam kadApi BAvikam /
   bādhyante nāpi te sarve kleśai rogādibhiḥ sadā //	bADyante na api te sarve kleSEH roga AdiBiH sadA //
   sadāpi te mahāsattvāścaturbrahmavihāriṇaḥ /	sadA api te mahAsattvAH catur brahma vihAriNaH /
   triratnārādhanaṃ kṛtvā saṃcarante jagaddhite //	tri ratna ArADanam kRtvA saMcarante jagat hite //
   evaṃ tatra mahābhijñāḥ bodhicaryāvivartikāḥ /	evam tatra mahA aBijQAH boDi caryA vivartikAH /
   saṃbodhinihitātmānaḥ saṃtiṣṭhante samāhitāḥ //	saMboDi nihita AtmAnaH saMtizWante samAhitAH //
   tato 'nyasmin vile lomno mahauṣadhyabhidhe ca punaḥ /	tatas anyasmin vile lomnaH mahOzaDi aBiDe ca punar /
   navanavetisāhasraparvatāstatra santyapi //	nava nava iti sAhasra parvatAH tatra santi api //
   keciddhemamayā rupyamayā vajramayā api /	kecid hema mayA rupya mayA vajra mayAH api /
   indranīlamayāścāpi padmarāgamayā api //	indranIla mayAH ca api padmarAga mayAH api //
   marakatamayāścāpi kecicca sfaṭikā api /	marakata mayAH ca api kecid ca sfawikAH api /
   sarvaratnamayāścāpi vidyamte tatra bhūdharāḥ //	sarva ratna mayAH ca api vidyam te tatra BUDarAH //
   tatrānekasahāsrāṇi prathamabodhicāriṇām /	tatra aneka saha asrANi praTama boDi cAriNAm /
   triratnabhajanaṃ kṛtvā saṃcarante jagaddhite //	tri ratna Bajanam kRtvA saMcarante jagat hite //
   te sarve 'pi na bādhyante kleśairduḥkhaiḥ kadācana /	te sarve api na bADyante kleSEH duHKEH kadAcana /
   bhadraśrīguṇasaṃpattisamanvitā nirādhayaḥ //	BadraSrI guNa saMpatti samanvitAH nirADayaH //
   suśīlā vimalātmānaścaturbrahmavihāriṇaḥ /	su SIlAH vimala AtmAnaH catur brahma vihAriNaH /
   saṃbodhipraṇidhiṃ kṛtvā saṃcarante susaṃvare //	saMboDi praNiDim kRtvA saMcarante su saMvare //
   teṣu parvataśṛṃgeṣu pārśveṣu ca samantataḥ /	tezu parvata SRMgezu pArSvezu ca samantataH /
   gandharvāṇāṃ sahasrāṇi nivasanti bahūni ca //	ganDarvANAm sahasrANi nivasanti bahUni ca //
   (Gkv 212)	(Gku 212)
   sarve 'pi te mahāyānacaryāvratasamāhiatāḥ /	sarve api te mahAyAna caryA vrata samAhiatAH /
   pariśuddhāśayā dhīrāḥ saṃbodhinihitāśayāḥ //	pariSudDa ASayAH DIrAH saMboDi nihita ASayAH //
   satataṃ dharmasaṃgītisaṃpravṛttimahotsavaiḥ /	satatam Darma saMgIti saMpravRtti mahA utsavEH /
   lokeśasmṛtimādhāya pravartante sadā śubhe //	lokeSa smRtim ADAya pravartante sadA SuBe //
   etaddharmamahotsāhaṃ sarve te bodhicāriṇaḥ /	etad Darma mahA utsAham sarve te boDi cAriNaH /
   trividhamokṣāṇi saṃcintya bhāvayanti sunirvṛtim //	triviDa mokzANi saMcintya BAvayanti su nirvRtim //
   tataste bhavasaṃcāre sukhaduḥkhādibhāvinaḥ /	tatas te Bava saMcAre suKa duHKa Adi BAvinaH /
   saṃbodhipraṇidhiṃ kṛtvā saṃtiṣṭhante samādhiṣu //	saMboDi praNiDim kRtvA saMtizWante samADizu //
   tato 'nyasmin vile lomnaścitrarājo 'bhidhe punaḥ /	tatas anyasmin vile lomnaH citrarAjaH aBiDe punar /
   pratyekabuddhakoṭīnāṃ niyutāni śatāni ca //	pratyekabudDa kowInAm niyutAni SatAni ca //
   saptaratnamayogānāṃ pārśveṣu gahvareṣvapi /	sapta ratnam ayogAnAm pArSvezu gahvarezu api /
   dhyātvā smṛtimupasthāpya saṃtiṣṭhante samādhiṣu //	DyAtvA smRtim upasTApya saMtizWante samADizu //
   sarve 'pi te mahābhijñā maharddhikā vicakṣaṇāḥ /	sarve api te mahA aBijQAH mahardDikAH vicakzaNAH /
   vividhaprātihāryāṇi darśayanti viyadgatāḥ //	viviDa prAtihAryANi darSayanti viyat gatAH //
   tataste saptaratnāṃgasānuṣu samupāśritāḥ /	tatas te sapta ratna aMga sAnuzu samupASritAH /
   vividhadharmasāṃkathyaṃ kṛtvā tiṣṭhanti moditāḥ //	viviDa Darma sAMkaTyam kRtvA tizWanti moditAH //
   tataste kalpavṛkṣāṇāṃ chāyāsu samupāśritāḥ /	tatas te kalpavRkzANAm CAyAsu samupASritAH /
   samādhinihitātmāanaḥ saṃtiṣṭhante samāhitāḥ //	samADi nihita AtmAanaH saMtizWante samAhitAH //
   tataste kalpavṛkṣebhyaḥ prārthayitvā samādarāt /	tatas te kalpavRkzeByaH prArTayitvA samAdarAt /
   saratnadravyabhogyāni bhuktvārthibhyo dadanti ca //	sa ratna dravya BogyAni BuktvA arTiByaH dadanti ca //
   evaṃ tatra mahābhijñāḥ pratyekasugatāḥ sthitāḥ //	evam tatra mahA aBijQAH pratyeka su gatAH sTitAH //
   dhyātvā sattvahitaṃ kṛtvā saṃcarante samantataḥ //	DyAtvA sattva hitam kRtvA saMcarante samantataH //
   evamanyeṣu sarveṣu lomnāṃ ca vivareṣvapi /	evam anyezu sarvezu lomnAm ca vivarezu api /
   brahmādayo munīndrāśca śakrādayo 'pi cāmarāḥ //	brahma AdayaH muni indrAH ca Sakra AdayaH api ca amarAH //
   gandharvāḥ kinnarāḥ siddhāḥ sādhyā rudrā gaṇādhipāḥ /	ganDarvAH kinnarAH sidDAH sADyAH rudrAH gaNADipAH /
   bhairavā mātṛkāḥ sarvā mahākālagaṇā api //	BEravAH mAtRkAH sarvAH mahAkAla gaNAH api //
   bhūtāḥ pretāḥ piśācāśca kumbhāṇḍā rākṣasādayaḥ /	BUtAH pretAH piSAcAH ca kumBANxAH rAkzasa AdayaH /
   nāgāśca garuḍā daityāḥ svasvadharmānucāriṇaḥ //	nAgAH ca garuxAH dEtyAH sva svaDarma anucAriNaH //
   (Gkv 213)	(Gku 213)
   brahmaṇā vaiṣṇavāḥ śaivā yogino brahmacāriṇaḥ /	brahmaNA vEzNavAH SEvAH yoginaH brahmacAriNaH /
   nirgranthāastīrthikāścāpi yatayaśca tapasvinaḥ //	nirgranTAaH tIrTikAH ca api yatayaH ca tapasvinaH //
   rājānaḥ kṣatriyā vaiśyāḥ śūdrāḥ sarve ca mānavāḥ /	rAjAnaH kzatriyAH vESyAH SUdrAH sarve ca mAnavAH /
   evaṃ ca prāṇinaḥ sarve yāvanto bhavacāriṇaḥ //	evam ca prANinaH sarve yAvantaH Bava cAriNaH //
   svasvakulavratācārasaṃratā dharmacāriṇaḥ /	sva sva kula vrata AcAra saMratAH Darma cAriNaH /
   sarve tasya jagadbhartuḥ sarvalomavilāśritāḥ //	sarve tasya jagat BartuH sarva loma vilA ASritAH //
   yadā te taṃ jagannāthaṃ dhyātvā smṛtvā samādarat /	yadA te tam jagannATam DyAtvA smRtvA samAdarat /
   triratnaṃ praṇayanto 'pi saṃbhajante samāhitāḥ //	tri ratnam praNayantaH api saMBajante samAhitAH //
   tadā teṣāmabhiprāyadharmaśrīguṇasādhanam /	tadA tezAm aBiprAya Darma SrI guNa sADanam /
   sarveṣāmapi tatsarvaṃ saṃsidhyate yathepsitam //	sarvezAm api tat sarvam saMsiDyate yaTA Ipsitam //
   evaṃ tasya jagacchāstuḥ kāyassarvavṛṣālayaḥ /	evam tasya jagat SAstuH kAya ssarva vRza AlayaH /
   tenāsau trijagannātho dharmarājo virajate //	tena asO trijagat nATaH DarmarAjaH virajate //
   tadagre vivare lomnāṃ dhvajāgre sarvepaścime /	tad agre vivare lomnAm Dvaja agre sarvepaScime /
   aśītyagasahasrāṇi santi ratnamayānyapi //	aSIti aga sahasrANi santi ratna mayAni api //
   vidyante kalpavṛkṣāṇāṃ koṭilakṣaśatāni ca /	vidyante kalpavRkzANAm kowi lakza SatAni ca /
   candanāgurusaugandhipuṣpafaladrumā api //	candana aguru sOganDi puzpa fala drumAH api //
   sarvā vajramayī bhūmīścandrakāntiprabhāsamāḥ /	sarvAH vajra mayI BUmIH candra kAnti praBA samAH /
   kūṭāgārasahasrānāṃ koṭīniyutaśatāni ca //	kUwAgAra sahasrAnAm kowI niyuta SatAni ca //
   teṣu sarveṣu sauvarṇasaptaratnamayeṣu ca /	tezu sarvezu sOvarNa sapta ratna mayezu ca /
   sopānādīni sauvarṇasaptaratnamayānyapi //	sopAna AdIni sOvarNa sapta ratna mayAni api //
   kūṭāgāreṣu sarveṣu teṣu tathāgatāḥ sthitāḥ /	kUwAgArezu sarvezu tezu taTAgatAH sTitAH /
   saṃbodhisādhanaṃ dharmaṃ nirdiśanti jagaddhite //	saMboDi sADanam Darmam nirdiSanti jagat hite //
   evaṃ te sugatāḥ sarve jambūdvīpe nṛiṇāmapi /	evam te sugatAH sarve jambUdvIpe nRiNAm api /
   sarvāḥ pāramitāścāpi nirdiśanti sadāpi ca //	sarvAH pAramitAH ca api nirdiSanti sadA api ca //
   evaṃ te sarvadā kāle vividhāṃ dharmadeśanām /	evam te sarvadA kAle viviDAm Darma deSanAm /
   kṛtvā sattvahitārthena saṃtiṣṭhante samāhitāḥ //	kRtvA sattva hita arTena saMtizWante samAhitAH //
   evaṃ tasya jagacchāstuḥ kāyaḥ sarvavṛṣāśrayaḥ /	evam tasya jagat SAstuH kAyaH sarva vRza ASrayaH /
   tenāsau trijagacchāstā dharmakāyo virājate //	tena asO trijagat SAstA Darma kAyaH virAjate //
   (Gkv 214)	(Gku 214)
   atha sarvanīvaraṇaviṣkambhī sa jinātmajaḥ /	aTa sarva nIvaraNa vizkamBI sa jina AtmajaH /
   bhagavantaṃ munīndraṃ taṃ samālokyaivamabravīt /	Bagavantam muni indram tam samAlokya evam abravIt /
   bhagavan punaranyāni lomavivarāṇi santyapi /	Bagavan punar anyAni loma vivarANi santi api /
   tāni sarvāṇi me śāstaḥ samupadeṣṭumarhasi //	tAni sarvANi me SAstaH samupadezwum arhasi //
   iti taduktamākarṇya bhagavān sa munīśvaraḥ //	iti tat uktam AkarNya BagavAn sa muni ISvaraH //
   viṣkambhinaṃ tamālokya punarevaṃ samādiśat //	vizkamBinam tam Alokya punar evam samAdiSat //
   kulaputra na vidyante tato 'tikramya dakṣiṇe /	kula putra na vidyante tatas atikramya dakziNe /
   pādāṃguṣṭhe jagadbharturbhramanti caturabdhayaḥ //	pAda aMguzWe jagat BartuH Bramanti catur abDayaH //
   tadaṃguṣṭhādviniṣkramya yadā patati vāḍave /	tad aMguzWAt vinizkramya yadA patati vAxave /
   tadā tadudakaṃ sarvaṃ bhasmatvamadhiyāsyati //	tadA tat udakam sarvam Basma tvam aDiyAsyati //
   evaṃ tasya jagadbhartuḥ sarvadharmālayā tanuḥ /	evam tasya jagat BartuH sarva Darma AlayA tanuH /
   tenāyaṃ trijagadbhartā dharmārājo 'bhirājate //	tena ayam trijagat BartA Darma arAjaH aBirAjate //
   atha sarvanīvaraṇaviṣkambhī sa jinātmajaḥ /	aTa sarva nIvaraNa vizkamBI sa jina AtmajaH /
   bhagavantaṃ munīndraṃ taṃ samālokyaivamabravīt //	Bagavantam muni indram tam samAlokya evam abravIt //
   bhagavan bhagatādiṣṭaṃ mahātmyaṃ trijagatprabhoḥ /	Bagavan BagatA Adizwam mahAtmyam trijagat praBoH /
   śrutvāhaṃ paramāścaryaṃ prāpto 'smi khalu sāmpratam //	SrutvA aham parama AScaryam prAptaH asmi Kalu sAmpratam //
   tacchrutvā bhagavāṃcchāstā śākyasiṃho jagadguruḥ /	tat SrutvA BagavAn= CAstA SAkya siMhaH jagadguruH /
   viṣkambhinaṃ tamālokya papracchaivaṃ samādarāt //	vizkamBinam tam Alokya papracCa evam samAdarAt //
   kulaputra kimarthaṃ tvam paramāścaryaṃ prāptavān /	kula putra kim arTam tvam parama AScaryam prAptavAn /
   etatsatyaṃ mamāgre 'tra vaktumarhati sarvathā //	etat satyam mama agre atra vaktum arhati sarvaTA //
   ityādiṣṭaṃ munīndreṇa niśamya sa jinātmajaḥ /	iti Adizwam muni indreNa niSamya sa jina AtmajaH /
   viṣkambhī bhagavantaṃ samālokyaivamabravīt //	vizkamBI Bagavantam samAlokya evam abravIt //
   yadasau bhagavānnāthaḥ sarvadharmasamāśrayaḥ /	yat asO BagavAn nATaH sarva Darma samASrayaH /
   traidhātuko 'dhipālendro dharmarājo 'bhirājate //	trEDAtukaH aDipAla indraH DarmarAjaH aBirAjate //
   yadasya śaraṇaṃ gatvā śraddhayā samupasthitāḥ /	yat asya SaraNam gatvA SradDayA samupasTitAH /
