   yogācārabhūmau	yoga AcAra BUmO
   samastairāyatapādapārṣṇitvaṃ pratilabhate / tatra trayāṇāmapi lakṣaṇānāṃ	samastEH Ayata pAda pArzNi tvam pratilaBate / tatra trayANAm api lakzaNAnAm
   saṃniśrayatvāt caturbhiḥ saṃgrahavastubhirgurūn saṃgṛhya jālapāṇipādatāṃ	saMniSraya tvAt caturBiH saMgraha vastuBiH gurUn saMgRhya jAla pANi pAda tAm
   pratilabhate / gurūṇāmeva cābhyaṅgodvartana snānācchādanāni dattvā	pratilaBate / gurUNAm eva ca aByaFga udvartana snAna AcCAdanAni dattvA
   mṛdutaruṇapāṇipādatāṃ pratilabhate / kuśaladharmāsaṃtuṣṭyā uttarottarān	mRdu taruNa pANipAda tAm pratilaBate / kuSala Darma asaMtuzwyAH uttarottarAn
   kuśalāndharmānvardha yitvā ucchaṅgacaraṇatāṃ pratilabhate /	kuSalAn DarmAn varDa yitvA ucCaFga caraNa tAm pratilaBate /
   yathāvaddharmānudgṛhya paryavāpya pareṣāṃ ca deśayitvā dautyañca samyak	yaTAvat DarmAn udgRhya paryavApya parezAm ca deSayitvA dOtyaQca samyak 
   pareṣāṃ kṛtvā aiṇeyajaṅghatāṃ pratilabhate / anupūrveṇa dharmasamādānena	parezAm kRtvA ENeya jaFGatAm pratilaBate / anupUrveNa Darma samAdAnena
   netrīvartamānatvātpāpakaṃ kāyavāṅgamanaḥkarma saṃyamayya / tatrānavanataḥ	netrIvartamAna tvAt pApakam kAya va aFga manaH karma saMyamayya / tatra anavanataH
   glāneṣu ca glānopasthānaṃ kṛtvā bhaiṣajyañca dattvā	glAnezu ca glAna upasTAnam kRtvA BEzajyaQca dattvA
   vyādhyanavanatocchrayaṇān mātrāśī ca kāmeṣvanavanataḥ anavanatakāyatāṃ	vyADi anavanatA ucCrayaNAt mAtrA ASI ca kAmezu anavanataH anavanatakAyatAm
   pratilabhate / parairnirvāsitān sattvān dharmeṇa samena saṃhṛtya	pratilaBate / parEH nirvAsitAn sattvAn DarmeNa samena saMhRtya
   hrīmānapatrāpī vastrapradaśca koṣagatavastiguhyatāṃ pratilabhate /	hrImAn apatrApI vastra pradaH ca koza gata vasti guhyatAm pratilaBate /
   kāyavāṅmanobhiḥ saṃvṛtātmā pratigraha bhojane ca mātrajñaḥ glāneṣu	kAya vAc manoBiH saMvRta AtmA pratigraha  Bojane ca mAtra jQaH glAnezu
   bhaiṣajyapradaḥ viṣame karmaṇi pratigraha paribhogavaiṣamye cāpravṛttatvāt	BEzajya pradaH vizame karmaNi pratigraha  pariBoga vEzamye ca apravRtta tvAt
   (Dutt 262) [dhātuvaiṣamyānu]lomanācca nyagrodhaparimaṇḍalatvaṃ	(Dutt 262) [DAtu vEzamyA anu] lomanAt ca nyagroDa parimaNxala tvam
   pratilabhate / yenaiva ca karmaṇā utsaṅgacaraṇatāṃ pratilabhate	pratilaBate / yena eva ca karmaNA utsaFga caraNa tAm pratilaBate
   tenaivordhvaṅgaromatām / svayaṃ kuśalamīmāṃsakaḥ paṇḍitavijña sevī	tena eva UrDvaFga romatAm / svayam kuSalamImAMsakaH paNxita vijQa  sevI
   sūkṣmārthacintakaḥ gurūṇāṃ sthānaśodhakaḥ utsādakaḥ snāpakaśca	sUkzma arTa cintakaH gurUNAm sTAna SoDakaH utsAdakaH snApakaH ca
   ekavihāritvādekamitra saṃśrayatvātsūkṣmārthapraveśāt	eka vihAri tvAt eka mitra  saMSraya tvAt sUkzma arTa praveSAt
   tṛṇaparṇādyāvilāpakarṣaṇādāgantukamalāpakarṣaṇācca ekaikaromatāṃ	tRNa parNa Adi Avila apakarzaNAt Agantu kamala apakarzaNAt ca eka eka romatAm
   pratilabhate /	pratilaBate /
   manojñaprītikarabhojanapānayānavastrālaṅkārādi kāyapariṣkāraṃ dattvā	manojQa prIti kara Bojana pAna yAna vastra alaFkAra Adi  kAya parizkAram dattvA
   akrodhanaḥ kāñcanasannibhatvacatāṃ vyāmaprabhatāñca pratilabhate / yenaiva	akroDanaH kAQcana sanniBa tvacatAm vyAma praBatAQca pratilaBate / yena eva
   ca karmaṇā ekaikaromatoktā tenaiva sūkṣmaślakṣṇatvacatā veditavyā /	ca karmaNA ekEka roma tA uktA tena eva sUkzma SlakzNa tvacatA veditavyA /
   prabhūtenotsadena viśadenānnapānena mahājanakāyaṃ saṃtarpayitvā	praBUtena utsadena viSadena anna pAnena mahA jana kAyam saMtarpayitvA
   saptotsadakāyatāṃ pratilabhate / sattvānāmutpannotpanneṣu dharmeṣu	sapta utsadakAyatAm pratilaBate / sattvAnAm utpanna utpannezu Darmezu
   karaṇīyeṣu prāmukhyenāvasthitaḥ / nāhaṃ mānī na ca niṣṭhuraḥ / ahitāñca	karaNIyezu prAmuKyena avasTitaH / na aham mAnI na ca nizWuraH / ahitAQca
   sattvānā nivārayitā tāḍitā hitāhite ca sanniyojayitā siṃhapūrvārdhakāyatāṃ	sattvAnA nivArayitA tAxitAH hita ahite ca sanniyojayitA siMha pUrva arDa ka AyatAm
   pratilabhate siṃhavatsattvārtheṣu parākramaśīlatvāt / anenaiva ca karmaṇā	pratilaBate siMha vat sattva arTezu parAkrama SIla tvAt / anena eva ca karmaNA
   susaṃvṛttaskandhatā citāntarāṃśatā ca veditavyā / yenaiva ca karmaṇā	su saMvRtta skanDa tA citA antara aMSa tA ca veditavyA / yena eva ca karmaNA
   dīrghāṅgulitvaṃ pratilabhate tenaiva bṛhadṛjugātratāṃ pratilabhate /	dIrGa aFguli tvam pratilaBate tena eva bRhadRju gAtra tAm pratilaBate /
   mitrabhedakarīṃ piśunāṃ vācaṃ prahāya bhinnānāñca sattvānāṃ sāmagrīṃ kṛtvā	mitra Beda karIm piSunAm vAcam prahAya BinnAnAQca sattvAnAm sAmagrIm kRtvA
   catvāriṃśad dantatāṃ samāviraladantatāñca pratilabhate / kāmāvacarīṃ	catvAriMSat dantatAm samAvirala danta tAQca pratilaBate / kAma avacarIm
   maitrīṃ bhāvayitvā dharmārthacintakaḥ suśukladantatāṃ pratilabhate /	mEtrIm BAvayitvA Darma arTa cintakaH su Sukla danta tAm pratilaBate /
   arthimyaḥ sattvebhyo yathābhipretaṃ dhanaṃ samyagvisṛjya siṃhahanutāṃ	arTimyaH sattveByaH yaTA aBipretam Danam samyak visRjya siMha hanutAm
   pratilabhate / svasutavat sattvānsaṃrakṣya śrāddhaścānukampakaśca	pratilaBate / sva sutavat  sattvAn saMrakzya SrAdDaH ca anukampakaH ca
   bhaiṣajyapradaśca [prasannaśca] rasarasāgratāṃ pratilabhate	BEzajya pradaH ca [prasannaH ca] rasa rasa agra tAm pratilaBate
   dharmarasānupradānāddharmarasāsvādanāt pranaṣṭarasaviśodhanācca / pañca	Darma rasa anupradAnAt Darma rasa AsvAdanAt pranazwa rasa viSoDanAt ca / paQca
   śikṣāpadāni prāṇātipātaviratyādīni svayañca samādāya saṃrakṣya parāṃśca	SikzA padAni prANa atipAta virati AdIni svayaQca samAdAya saMrakzya parAn= ca
   teṣveva samādāpayitvā karuṇācittatāmupādāya mahatī dharmasamādāne	tezu eva samAdApayitvA karuNA citta tAm upAdAya mahatI Darma samAdAne
   pratipannatvāduṣṇīṣaśiraskatāñca prabhūta tanujihvatāṃ ca pratilabhate /	pratipanna tvAt uzNIza SiraskatAQca praBUta tanu jihvatAm ca pratilaBate /
   satyavāditayā priyavāditayā kāladharmavāditayā ca brahmasvaratāṃ	satya vAdi tayA priya vAdi tayA kAla Darma vAdi tayA ca brahma svaratAm
   pratilabhate / kṛtsnaṃ jaganmaitreṇa cetasā 'nukampya	pratilaBate / kRtsnam jagat mEtreNa cetasA anukampya
   mātṛvatpitṛvadabhinīlanetratāṃ gopakṣmanetratāñca pratilabhate / guṇavatāṃ	mAtR vat pitR vat aBinIla netra tAm go pakzma netra tAQca pratilaBate / guNavatAm
   tu bhūtasya varṇasya hartāṃ varṇavādī bhruvormadhye ūrṇāṃ pratilabhate	tu BUtasya varNasya hartAm varNa vAdI BruvoH maDye UrNAm pratilaBate
   śvetāṃ śaṃkhanibhāṃ pradakṣiṇāvartām / (Dutt 263) sarveṣu ca dvātriṃśatsu	SvetAm SaMKa niBAm pradakziNa AvartAm / (Dutt 263) sarvezu ca dvAtriMSatsu
   mahāpuruṣalakṣaṇeṣvaviśeṣeṇa śīlaṃ kāraṇaṃ pratilambhāya veditavyam /	mahApuruza lakzaNezu aviSezeNa SIlam kAraNam pratilamBAya veditavyam /
   tatkasya hetoḥ / na hi śīlavipanno bodhisattvo manuṣyatvameva	tat kasya hetoH / na hi SIla vipannaH boDisattvaH manuzya tvam eva
   tāvadāsādayet kutaḥ punarmahāpuruṣalakṣaṇam / tatroṣṇīṣaśiraskatā anava	tAvat AsAdayet kutas punar mahApuruza lakzaNam / tatra uzNIza SiraskatA anava
   lokitamūrdhatā caikaṃ mahāpuruṣakṣaṇaṃ veditavye tadvyatirekeṇānupalambhāt	lokita mUrDatA ca ekam mahA puruza kzaNam veditavye tad vyatirekeNa anupalamBAt 
   / idaṃ tāvadvistareṇa lakṣaṇābhinivṛttyānurūpyeṇa vicitrakarmavyavasthānam	/ idam tAvat vistareNa lakzaNa aBinivRtti AnurUpyeNa vicitra karma vyavasTAnam
   samāsataḥ punaścaturākārayā pakṣadvayagatayā sukṛtakarmāntatayā	samAsatas punar caturAkArayA pakza dvaya gatayA sukRta karmAnta tayA
   sarvalakṣaṇābhinirvṛttirveditavyā / tatra niyatakāritayā	sarva lakzaNa aBinirvRttiH veditavyA / tatra niyata kAri tayA
   supratiṣṭhitapādayā nirvartate / nipuṇakāritayā cakracaraṇatā	su pratizWita pAdayA nirvartate / nipuNa kAri tayA cakracaraNa tA
   ucchaṅgacaraṇatā jālapāṇipādatā sūkṣmatvacatā citāntarāṃśatā	ucCaFga caraNa tA jAlapANipAda tA sUkzma tvacatA citA antara aMSa tA
   susaṃvṛttaskandhatā vṛhadṛjugātratā prabhūtatanujihvatā ca nirvartate /	su saMvRtta skanDa tA vRhat Rju gAtra tA praBUta tanu jihvatA ca nirvartate /
   nityakāritayā dīrghāṅga litvaṃ āyatapādapārṣṇitā anavanatakāyatā	nityakAri tayA dIrGAFga litvam Ayata pAda pArzNitA anavanata kAyatA
   nyagrodhaparimaṇḍalatā aviraladantatā ca nirvartate / anavadyakāritayā	nyagroDa parimaNxala tA avirala danta tA ca nirvartate / anavadya kAritayA
   pariśiṣṭānāṃ lakṣaṇānāmabhinirvṛttiḥ / tatra	pariSizwAnAm lakzaNAnAm aBinirvRttiH / tatra
   sattveṣvavyābādhyaprayogānmṛdutaruṇapāṇipādatā ślakṣṇa sūkṣma tvacatā ca	sattvezu avyAbADya prayogAt mRdu taruNa pANi pAda tA SlakzNa  sUkzma tvacatA ca
   nirvartate / kramaprayogācca kālaprayogācca kuśale aiṇeyajaṅghatā	nirvartate / krama prayogAt ca kAla prayogAt ca kuSale ENeya jaFGa tA
   nirvartate / prāmodyaprītiprabhāsvareṇa cittena kuśalasamācārād	nirvartate / prAmodya prIti praBAsvareNa cittena kuSala samAcArAt 
   vyāma prabhatā ca kāñcanasannibhatvacatā śukladantatā ūrṇā ca śvetā	vyAma praBatA ca kAQcana sanniBa tvacatA Sukla danta tA UrNA ca SvetA
   nirvartate / kīrtiśabdaśloke 'sanniśrayāt praticchanna kalyāṇatvācca	nirvartate / kIrti Sabda Sloke asat niSrayAt praticCanna kalyANa tvAt ca
   kośagatavastiguhyatā nirvartate / bodhāya	koSa gata vasti guhyatA nirvartate / boDAya
   kuśalamūlapariṇamanādūrdhvāṅga romatā catvāriṃśatsamadantatā rasarasāgratā	kuSala mUla pariNamanAt UrDva aFga  romatA catvAriMSat samadanta tA rasa rasa agra tA
   uṣṇīṣaśiraskatā ca nirvartate / kuśale atṛptālīnaprayogāt	uzNIza SiraskatA ca nirvartate / kuSale atRpta AlIna prayogAt 
   siṃhapūrvārdhakāyatā siṃhahanutā ca nirvartaṃte / sattveṣu hitacittatayā	siMha pUrva arDa kAyatA siMha hanu tA ca nirvartaMte / sattvezu hita citta tayA
   samadarśanāt samadantatā abhinīlanetratā gopakṣmamā ca nirvartate /	sama darSanAt samadanta tA aBinIla netra tA gopa kzmamA ca nirvartate /
   hīnenāsantuṣṭiprayogācca brahmasvaratā ca nirvartaṃte / evamanayā	hInena asantuzwi prayogAt ca brahma svaratA ca nirvartaMte / evam anayA
   caturākārayā sukṛtakarmāntatayā bodhisattvānāmeṣāṃ dvātriṃśatāṃ mahāpuruṣa	catur AkArayA sukRta karmAnta tayA boDisattvAnAm ezAm dvAtriMSatAM mahApuruza
   lakṣaṇānāṃ pratilambho viśuddhiśca bhavati /	lakzaNAnAm pratilamBaH viSudDiH ca Bavati /
   tatra gotrabhūmau bodhisattvānāmetallakṣaṇabījamātre 'vasthānaṃ veditavyam	tatra gotra BUmO boDisattvAnAm etad lakzaNa bIja mAtre avasTAnam veditavyam
   / adhimukticaryābhūmau prāptyupāye vṛttireṣāṃ veditavyā / adhyāśayaśuddhi	/ aDimukti caryA BUmO prApti upAye vRttiH ezAm veditavyA / aDyASaya SudDi
   bhūmau prāptireṣāṃ veditavyā / tadanyāsu taduttarottarāsu	BUmO prAptiH ezAm veditavyA / tad anyAsu tad uttarottarAsu
   bodhisattvabhūmiṣu viśuddhireṣāṃ (Dutt 264) veditavyā tāthāgatyāṃ	boDisattva BUmizu viSudDiH ezAm (Dutt 264) veditavyA tATAgatyAm
   niṣṭhāgamanabhūmau suviśuddhataiṣāṃ niruttaratā ca veditavyā / tatra	nizWA gamana BUmO su viSudDa tA ezAm niruttara tA ca veditavyA / tatra
   rūpitvādeṣāṃ lakṣaṇānāṃ hīnamadhyottamaiśca sattvaiḥ sūpalakṣyatvāt satsu	rUpi tvAt ezAm lakzaNAnAm hIna maDya uttamEH ca sattvEH sUpa lakzya tvAt satsu
   sarveṣveva buddhadharmeṣu mahāpuruṣalakṣaṇeṣvetānyeva mahāpuruṣalakṣaṇāni	sarvezu eva budDa Darmezu mahApuruza lakzaNezu etAni eva mahApuruza lakzaNAni
   vyavasthāpitāni / etānyeva ca dvātriṃśanmahāpuruṣalakṣaṇānyāśrayabhāvena	vyavasTApitAni / etAni eva ca dvAtriMSat mahApuruza lakzaNAni ASraya BAvena
   dhārayantyānurūpyācca śobhayante tasmādanuvyañjanānītyucyante /	DArayanti AnurUpyAt ca SoBayante tasmAt anuvyaQjanAni iti ucyante /
   tatra samāsataḥ sarvasattveṣu puṇyasadṛśena puṇyaskandhena	tatra samAsatas sarva sattvezu puNya sadRSena puNya skanDena
   tathāgatasyaikaiko romakūpo nirvartate / yāvatsarvaromakūpapraviṣṭaḥ	taTAgatasya ekEkaH romakUpaH nirvartate / yAvat sarva romakUpa pravizwaH
   puṇyaskandhaḥ / iyatā puṇyaskandhenaikaikamanuvyañjanagati nirvartate /	puNya skanDaH / iyatA puNya skanDena ekEkam anuvyaQjana gati nirvartate /
   yāvatsarvānuvyañjanapraviṣṭaḥ puṇyaskandhaḥ / tataḥ śataguṇena	yAvat sarva anuvyaQjana pravizwaH puNya skanDaH / tatas SataguNena
   puṇyaskandhena tathāgatasyaikaṃ lakṣaṇaṃ nirvartate /	puNya skanDena taTAgatasya ekam lakzaNam nirvartate /
   yāvatsarvalakṣaṇapraviṣṭaḥ puṇyaskandhaḥ sthāpayitvā ūrṇāmuṣṇīṣañca /	yAvat sarva lakzaNa pravizwaH puNya skanDaH sTApayitvA UrNAm uzNIzaQca /
   tataḥ sahasraguṇena puṇyaskandhenorṇā nirvartate / yāvānūrṇā praviṣṭaḥ	tatas sahasraguNena puNya skanDena UrNA nirvartate / yAvAn UrNA  pravizwaH
   puṇyaskandhaḥ tataḥ śatasahasraguṇena puṇyaskandhena uṣṇīṣaśiraskatā	puNya skanDaH tatas Sata sahasra guNena puNya skanDena uzNIza SiraskatA
   anavalokitamūrdhatā ca nirvartate / yāvānuṣṇīṣapraviṣṭaḥ puṇyaskandhaḥ /	anavalokita mUrDatA ca nirvartate / yAvAn uzNIza pravizwaH puNya skanDaH /
   tataḥ koṭīśatasahasraguṇena puṇyaskandhena tathāgatasya	tatas kowI Sata sahasra guNena puNya skanDena taTAgatasya
   lakṣaṇānuvyañjanāsaṃgṛhīto 'nyo dharmaśaṃkhyo nāma nirvartate / yena	lakzaNa anuvyaQjana asaMgRhItaH anyaH Darma SaMKyaH nAma nirvartate / yena
   tathāgata ākāṃkṣamāṇaḥ anantāparyantān lokadhātūn svareṇa vijñāpayati /	taTAgataH Aka aMkzamANaH ananta aparyantAn lokaDAtUn svareNa vijQApayati /
   evamaprameyaḥ puṇyasambhāra samudāgatastathāgataḥ / tathāgatānāmacintyo	evam aprameyaH puNya samBAra  samudAgataH taTAgataH / taTAgatAnAm acintyaH 
   niruttaraḥ sarvākārasampattiparigṛhīta ātmabhāvo nirvartate /	niruttaraH sarva AkAra sampatti parigRhItaH Atma BAvaH nirvartate /
   teṣāṃ punarlakṣaṇānuvyañjananirvartakānāṃ kuśalānāṃ karmaṇāṃ	tezAm punar lakzaNa anuvyaQjana nirvartakAnAm kuSalAnAm karmaNAm
   samāsatastribhiḥ kāraṇeprameyatā veditavyā / kalpāsaṃkhyeyatayā	samAsatas triBiH kAraNeprameya tA veditavyA / kalpa asaMKyeya tayA
   'bhyāsasamudāgamāt	aByAsa samudAgamAt 
   kālāprameyatayāaprameyasattvahitasukhāśayādhipateyatvādāśayā 'prameyatayā	kAla aprameya tayA a prameya sattva hita suKa ASaya ADipateya tvAt ASayA aprameya tayA
   aprameyakuśalakarmavaicitryākārāprameyatayā ca /	aprameya kuSala karma vEcitrya AkAra aprameya tayA ca /
   tasmādaprameyapuṇyasambhārasamudāgatastathāgatānāṃ lakṣaṇānuvyañjanādaya	tasmAt aprameya puNya samBAra samudAgataH taTAgatAnAm lakzaNa anuvyaQjana Adaya
   ityucyate /	iti ucyate /
   iti bodhisattvabhūmāvādhāre niṣṭhe yogasthāne pañcamaṃ	iti boDisattva BUmO= ADAre nizWe yoga sTAne paQcamam
   lakṣaṇānuvyañjanapaṭalam /	lakzaNa anuvyaQjana pawalam /
   (Dutt 265)	(Dutt 265)
   Pratiṣṭhāpaṭalam (Chapter 3.6)	PratizWA pawalam (ChapteH 3.6)
   catasraḥ sarvākārāḥ pariśuddhayaḥ katamāḥ / āśrayaśuddhiḥ /	catasraH sarva AkArAH pariSudDayaH katamAH / ASraya SudDiH /
   ālambanaśuddhiḥ / cittaśuddhiḥ jñānaśuddhiśca /	Alambana SudDiH / citta SudDiH jQAna SudDiH ca /
   tatrāśrayaviśuddhiḥ katamā / savāsanānāṃ sarvakleśapakṣyāṇāṃ	tatra ASraya viSudDiH katamA / sa vAsanAnAm sarva kleSa pakzyANAm
   dauṣṭhulyānāmāśrayān niravaśeṣato 'tyantaparamaḥ sve cātmabhāve	dOzWulyAnAm ASrayAt niravaSezataH atyanta paramaH sve ca Atma BAve
   yathākāmādānasthānacyutivaśavartitā sarvākārā āśrayaśuddhistyucyate /	yaTAkAma AdAna sTAna cyuti vaSa varti tA sarva AkArAH ASraya SudDiH ti ucyate /
   tatrālambanaviśuddhiḥ katamā / nirvāṇe pariṇāme saṃprakhyāne ca	tatra Alambana viSudDiH katamA / nirvANe pariNAme saMpraKyAne ca
   sarvālambaneṣu yā vaśavartitā / iyamucyate sarvākārā ālambanaviśuddhiḥ /	sarva Alambanezu yA vaSa vartitA / iyam ucyate sarva AkArAH Alambana viSudDiH /
   tatra cittaviśuddhiḥ katamā / pūrvavatsarvacittadauṣṭhulyāpagamāccitte ca	tatra citta viSudDiH katamA / pUrvavat sarva citta dOzWulya apagamAt citte ca
   sarvākāra kuśalamūlopacayātsarvākārā cittaviśuddhirityucyate /	sarva AkAra   kuSala mUla upacayAt sarva AkArA citta viSudDiH iti ucyate /
   tatra katamā jñānaviśuddhiḥ /	tatra katamA jQAna viSudDiH /
   pūrvavatsarvāvidyāpakṣyadauṣṭhulyāpagamātsarvatra ca jñeye	pUrvavat sarva avidyA pakzya dOzWulya apagamAt sarvatra ca jQeye
   jñānasyānāvaraṇāt jñānavaśavartitā sarvākārā jñānaviśuddhirityucyate /	jQAnasya anAvaraNAt jQAna vaSa varti tA sarva AkArA jQAna viSudDiH iti ucyate /
   tatra daśa tathāgatabalāni katamāni / sthānāsthānajñānabalaṃ	tatra daSa taTAgata balAni katamAni / sTAna AsTAna jQAna balam
   karmasvakajñānabalaṃ dhyānavimokṣasamādhisamāpattijñānabalam	karma svaka jQAna balam DyAna vimokza samADi samApatti jQAna balam
   indriyaparāparajñānabalaṃ nānā dhātujñānabalaṃ nānādhimuktijñānabalaṃ	indriya para apara jQAna balam nAnA DAtu jQAna balam nAnA aDimukti jQAna balam
   sarvatragāminīpratipajjñānabalaṃ pūrvanivāsānusmṛtijñānabalaṃ	sarvatra gAminI pratipad jQAna balam pUrva nivAsa anusmRti jQAna balam
   cyutyupapattijñānabalam āsravakṣayajñānabalañca / ityetāni daśa	cyuti upapatti jQAna balam Asrava kzaya jQAna balaQca / iti etAni daSa
   tathāgatabalāni yuthā daśabalasūtre nirdeśato vistareṇa veditavyāni /	taTAgata balAni yuTAH daSa bala sUtre nirdeSataH vistareNa veditavyAni /
   [tatra] yatkiñcidanena bhāṣitaṃ lapitamudāhṛtaṃ sarvaṃ tattathā avitatheti	[tatra] yat kiQcid anena BAzitam lapitam udAhRtam sarvam tat taTA avitaTA iti
   tasmāttathāgata ityucyate / tatra phalasya śubhāśabhasya yo bhūtapravṛttaḥ	tasmAt taTAgataH iti ucyate / tatra Palasya SuBa ASaBasya yaH BUta pravRttaH
   aviṣamo hetuḥ tadasya sthānaṃ pratiṣṭhā niśrayo 'bhinirvartakaṃ ityucyate	avizamaH hetuH tat asya sTAnam pratizWA niSrayaH aBinirvartakam iti ucyate
   / śubhāśubhasyaiva phalasya viṣamaheturetadviparyayeṇāsthānamityucyate /	/ SuBa aSuBasya eva Palasya vizama hetuH etat viparyayeNa AsTAnam iti ucyate /
   nirabhimānaṃ jñānaṃ yathābhūtamityucyate / (Dutt 266)	niraBimAnam jQAnam yaTABUtam iti ucyate / (Dutt 266)
   sarvajñānamasaktajñānaṃ śuddhañca tannirabhimānaṃ [jñānaṃ] veditavyam /	sarva jQAnam asakta jQAnam SudDaQca tat niraBimAnam [jQAnan] veditavyam /
   eṣāñca sarvajñānādīnāṃ padānāṃ pūrvavadvyākaraṇaṃ veditavyaṃ tadyathā	ezAQca sarva jQAna AdInAm padAnAm pUrvavat vyAkaraNam veditavyam tat yaTA
   paramabodhipaṭale / anupūrvaṃ gaṇanayā prathamam /	parama boDi pawale / anupUrvam gaNanayA praTamam /
   niruttaratvātsarvākāra sarvasattvārthakriyāśaktiyuktatvāt	niruttara tvAt sarva AkAra  sarva sattva arTa kriyA Sakti yukta tvAt
   sarvamārabalātyantābhibhavācca balamityucyate /	sarva m Ara bala atyanta aBiBavAt ca balam iti ucyate /
   yathāvaddhetusamudāgamaparigrahādyathākāmasamudācāravaśavartitā	yaTAvat hetu samudAgama parigrahAt yaTAkAma samudAcAra vaSa varti tA
   samanvāgata ityucyate / niruttaratvānnirvāṇamudāramityucyate /	samanvAgataH iti ucyate / niruttara tvAt nirvANam udAram iti ucyate /
   āryāṣṭāṅgeṇa mārgeṇa	Arya azwa aFgeNa mArgeNa
   labhyatvātsarvopadravabhayāpagatatvāccārṣabhamityucyate /	laBya tvAt sarva upadrava Baya apagata tvAt ca ArzaBam iti ucyate /
   ātmanastadadhigamena pratijñānātpratijānātītyucyate / svayamadhigamya	AtmanaH tad aDigamena pratijQAnAt pratijAnAti iti ucyate / svayam aDigamya
   pareṣāmapyanukampayā vistareṇa prakāśanād brāhmacakraṃ	parezAm api anukampayA vistareNa prakASanAt brAhma cakram
   pravartayatītyucyate / tatkasya hetoḥ / tathāgatasyaitadadhivacanaṃ yaduta	pravartayati iti ucyate / tat kasya hetoH / taTAgatasya etat aDivacanam yat uta
   brahmā ityapi śāntaḥ śītībhūta ityapi / tena tatpravartitaṃ tatprathamataḥ	brahmA iti api SAntaH SItIBUtaH iti api / tena tat pravartitam tat praTamatas 
   tadanyaiḥ punastadanyeṣām / evaṃ pāraṃparyeṇa brahmā preritaṃ	tad anyEH punar tat anyezAm / evam pAraMparyeNa brahmA preritam
   sarvasattvanikāye bhramati / tasmād brāhmañcakramitucyate /	sarva sattva nikAye Bramati / tasmAt brAhmaQcakram itucyate /
