   govardhanācārya-viracitā	govarDana-AcArya--viracitA
   sva-rasena badhnatāṃ karam ādāne kaṇṭakotkarais tudatām |	sva-rasena baDnatAm karam AdAne kaNwaka-utkarEH tudatAm |
   piśunānāṃ panasānāṃ koṣābhogo 'py aviśvāsyaḥ ||GAss_600||	piSunAnAm panasAnAm koza-ABogaH api aviSvAsyaH ||GAsH-_600||
   saubhāgyaṃ dākṣiṇyān nety upadiṣṭaṃ hareṇa taruṇīnām |	sOBAgyam dAkziNyAt na-iti upadizwam hareNa taruNInAm |
   vāmārdham eva devyāḥ sva-vapuḥ-śilpe niveśayatā ||GAss_601||	vAma-arDam eva devyAH sva--vapuH-Silpe niveSayatA ||GAsH-_601||
   subhaga sva-bhavana-bhittau bhavatā saṃmardya pīḍitā sutanuḥ |	suBaga sva-Bavana--BittO BavatA saMmardya pIxitA su-tanuH |
   sā pīḍayaiva jīvati dadhatī vaidyeṣu vidveṣam ||GAss_602||	sA pIxayA-eva jIvati daDatI vEdyezu vidvezam ||GAsH-_602||
   sā guṇa-mayī svabhāva-svacchā sutanuḥ kara-grahāyattā |	sA guNa-mayI svaBAva-su-acCA su-tanuH kara-graha-AyattA |
   bhramitā bahu-mantra-vidā bhavatā kāśmīra-māleva ||GAss_603||	BramitA bahu-mantra-vidA BavatA kASmIra--mAlA-iva ||GAsH-_603||
   sa-vrīḍa-smita-subhage spṛṣṭāspṛṣṭeva kiṃcid apayāntī |	sa--vrIxa--smita-suBage spRzwA-aspRzwA-iva kiMcid apayAntI |
   apasarasi sundari yathā yathā tathā spṛśasi mama hṛdayam ||GAss_604||	apasarasi sundari yaTA yaTA taTA spRSasi mama hRdayam ||GAsH-_604||
   sakhi sukhayaty avakāśa-prāptaḥ preyān yathā tathā na gṛhī |	saKi suKayati avakASa--prAptaH preyAn yaTA taTA na gRhI |
   vātād avāritād api bhavati gavākṣānilaḥ śītaḥ ||GAss_605||	vAtAt avAritAt api Bavati gavAkza-anilaH SItaH ||GAsH-_605||
   satatam aruṇita-mukhe sakhi nigirantī garalam iva girāṃ gumpham |	satatam aruNita-muKe saKi nigirantI garalam iva girAm gumPam |
   avagaṇitauṣadhi-mantrā bhujaṅgi raktaṃ virañjayasi ||GAss_606||	avagaNita-ozaDi-mantrAH BujaFgi raktam viraQjayasi ||GAsH-_606||
   sthala-kamala-mugdha-vapuṣā sātaṅkāṅka-sthitaika-caraṇena |	sTala--kamala--mugDa--vapuzA sa-AtaFka-aFka--sTita-eka-caraNena |
   āśvāsayati visinyāḥ kūle visa-kaṇṭhikā śapharam ||GAss_607||	ASvAsayati visinyAH kUle visa-kaNWikA SaParam ||GAsH-_607||
   sa-nakha-padam adhika-gauraṃ nābhī-mūlaṃ niraṃśukaṃ kṛtvā |	sa-naKa-padam aDika-gOram nABI--mUlam niraMSukam kRtvA |
   anayā sevita pavana tvaṃ kiṃ kṛta-malaya-bhṛgupātaḥ ||GAss_608||	anayA sevita pavana tvam kim kRta--malaya--BRgupAtaH ||GAsH-_608||
   sarvāṅgam arpayantī lolā suptaṃ śrameṇa śayyāyām |	sarva-aFgam arpayantI lolA suptam SrameNa SayyAyAm |
   alasam api bhāgyavantaṃ bhajate puruṣayiteva śrīḥ ||GAss_609||	alasam api BAgyavantam Bajate puruzayitA-iva SrIH ||GAsH-_609||
   suditaṃ tad eva yatra smāraṃ smāraṃ viyoga-duḥkhāni |	suditam tat eva yatra smAram smAram viyoga--duHKAni |
   āliṅgati sā gāḍhaṃ punaḥ punar yāminī-prathame ||GAss_610||	AliFgati sA gAXam punar punar yAminI--praTame ||GAsH-_610||
   sāntar-bhayaṃ bhujiṣyā yathā yathācarati samadhikāṃ sevām |	sa-antar--Bayam BujizyAH yaTA yaTA-Acarati samaDikAm sevAm |
   sāśaṅka-serṣya-sabhayā tathā tathā gehinī tasya ||GAss_611||	sa-ASaFka--sa-Irzya--saBayA taTA taTA gehinI tasya ||GAsH-_611||
   sundari darśayati yathā bhavad-vipakṣasya tat-sakhī kāntim |	sundari darSayati yaTA Bavat--vipakzasya tat--saKI kAntim |
   patati tathā mama dṛṣṭis tvad-eka-dāsasya sāsūyā ||GAss_612||	patati taTA mama dRzwiH tvad--eka-dAsasya sa-asUyAH ||GAsH-_612||
   svādhīnair adhara-vraṇa-nakhāṅka-patrāvalopa-dina-śayanaiḥ |	sva-aDInEH aDara-vraNa-naKa-aFka-patrAvalopa-dina--SayanEH |
   subhagā subhagety anayā sakhi nikhilā mukharitā pallī ||GAss_613||	suBagA suBagA-iti anayA saKi niKilA muKaritA pallI ||GAsH-_613||
   sarita iva yasya gehe śuṣyanti viśāla-gotrajā nāryaḥ |	saritaH iva yasya gehe Suzyanti viSAla--gotra-jAH nAryaH |
   kṣārāsv eva sa tṛpyati jala-nidhi-laharīṣu jalada iva ||GAss_614||	kzArAsu eva sa tRpyati jala-niDi--laharIzu jaladaH iva ||GAsH-_614||
   sakala-kaṭakaika-maṇḍani kaṭhinī-bhūtāśaye śikhara-danti |	sakala--kawaka-eka-maNxani kaWinI--BUta-ASaye SiKara-danti |
   giribhuva iva tava manye manaḥ śilā samabhavac caṇḍi ||GAss_615||	giri-BuvaH iva tava manye manaH SilA samaBavat caNxi ||GAsH-_615||
   sakhi duravagāha-gahano vidadhāno vipriyaṃ priya-jane'pi |	saKi duravagAha--gahanaH vidaDAnaH vipriyam priya-jane-api |
   khala iva durlakṣyas tava vinata-mukhasyopari sthitaḥ kopaḥ ||GAss_616||	KalaH iva durlakzyaH tava vinata-muKasya-upari sTitaH kopaH ||GAsH-_616||
   sveda-sacela-snātā sapta-padī sapta maṇḍalīr yāntī |	sveda--sa-cela--snAtA sapta-padI sapta maNxalIH yAntI |
   sa-madana-dahana-vikārā manoharā vrīḍitā namati ||GAss_617||	sa--madana--dahana--vikArAH manoharAH vrIxitAH namati ||GAsH-_617||
   surasa-pravartamānaḥ saṅghāṭo 'yaṃ samāna-vṛttānām |	surasa-pravartamAnaH saFGAwaH ayam samAna--vRttAnAm |
   etyaiva bhinna-vṛttair bhaṅguritaḥ kāvya-sarga iva ||GAss_618||	etya-eva Binna-vRttEH BaFguritaH kAvya--sargaH iva ||GAsH-_618||
   sarvāsām eva sakhe paya iva surataṃ manohāri |	sarvAsAm eva saKe payaH iva suratam manohAri |
   tasyā eva punaḥ punar āvṛttau dugdham iva madhuram ||GAss_619||	tasyAH eva punar punar AvRttO dugDam iva maDuram ||GAsH-_619||
   svapne'pi yāṃ na muñcasi yā te'nugrāhiṇī hṛdi-sthāpi |	svapne-api yAm na muQcasi yA te-anugrAhiNI hRdi-sTA-api |
   duṣṭāṃ na buddhim iva tāṃ gūḍha-vyabhicāriṇīṃ vetsi ||GAss_620||	duzwAm na budDim iva tAm gUXa--vyaBicAriNIm vetsi ||GAsH-_620||
   saparāvṛti carantī vāty eva tṛṇaṃ mano 'navadyāṅgi |	sa-parAvRti carantI vAti eva tRNam manaH anavadya-aFgi |
   harasi kṣipasi taralayasi bhramayasi tolayasi pātayasi ||GAss_621||	harasi kzipasi taralayasi Bramayasi tolayasi pAtayasi ||GAsH-_621||
   sā bahu-lakṣaṇa-bhāvā strī-mātraṃ veti kitava tava tulyam |	sA bahu-lakzaNa-BAvA strI--mAtram vA-iti kitava tava tulyam |
   koṭir varāṭikā vā dyūta-vidheḥ sarva eva paṇaḥ ||GAss_622||	kowiH varAwikAH vA dyUta-viDeH sarve eva paNaH ||GAsH-_622||
   sā viraha-dahana-dūnā mṛtvā mṛtvāpi jīvati varākī |	sA viraha--dahana-dUnA mRtvA mRtvA-api jIvati varAkI |
   śārīva kitava bhavatānukūlitā pātitākṣeṇa ||GAss_623||	SArI-iva kitava BavatA-anukUlitA pAtita-akzeNa ||GAsH-_623||
   sparśād eva svedaṃ janayati na ca me dadāti nidrātum |	sparSAt eva svedam janayati na ca me dadAti nidrAtum |
   pirya iva jaghanāṃśukam api na nidāghaḥ kṣaṇam api kṣamate ||GAss_624||	piryaH iva jaGana-aMSukam api na nidAGaH kzaNam api kzamate ||GAsH-_624||
   sā bhavato bhāvanayā samaya-viruddhaṃ manobhavaṃ bālā |	sA BavataH BAvanayA samaya-virudDam manoBavam bAlAH |
   nūtana-lateva sundara dohada-śaktyā phalaṃ vahati ||GAss_625||	nUta-na-latA-iva sundara dohada--SaktyA Palam vahati ||GAsH-_625||
   spṛśati nakhair na ca vilikhati sicayaṃ gṛhṇāti na ca vimocayati |	spRSati naKEH na ca viliKati sicayam gRhNAti na ca vimocayati |
   na ca muñcati na ca madayati nayati niśāṃ sā na nidrāti ||GAss_626||	na ca muQcati na ca madayati nayati niSAm sA na nidrAti ||GAsH-_626||
   stana-jaghana-dvayam asyā laṅghita-madhyaḥ sakhe mama kaṭākṣaḥ |	stana--jaGana--dvayam asyAH laFGita--maDyaH saKe mama kawAkzaH |
   nojjhati rodhasvatyās taṭa-dvayaṃ tīrtha-kāka iva ||GAss_627||	na-ujJati roDasvatyAH tawa--dvayam tIrTa-kAkaH iva ||GAsH-_627||
   sa-vrīḍa-smita-manda-śvasitaṃ māṃ mā spṛśeti śaṃsantyā |	sa--vrIxa--smita-manda--Svasitam mAm mA spRSa-iti SaMsantyAH |
   ākopam etya vātāyanaṃ pidhāya sthitaṃ priyayā ||GAss_628||	Akopam etya vAtAyanam piDAya sTitam priyayA ||GAsH-_628||
   sa-kara-grahaṃ sa-ruditaṃ sākṣepaṃ sa-nakha-muṣṭi sa-jigīṣam |	sa-kara-graham sa-ruditam sa-Akzepam sa-naKa--muzwi sa-jigIzam |
   tasyāḥ surataṃ surataṃ prājāpatya-kratur ato 'nyaḥ ||GAss_629||	tasyAH suratam suratam prAjApatya-kratuH atas anyaH ||GAsH-_629||
   sakhi na khalu nimalānāṃ vidadhaty abhidhānam api mukhe malināḥ |	saKi na Kalu nimalAnAm vidaDati aBiDAnam api muKe malinAH |
   kenāśrāvi pikānāṃ kuhūṃ vihāyetaraḥ śabdaḥ ||GAss_630||	kena-ASrAvi pikAnAm kuhUm vihAya-itaraH SabdaH ||GAsH-_630||
   svalpā iti rāma-balair ye nyastā nāśaye payo-rāśeḥ |	su-alpAH iti rAma-balEH ye nyastAH na-ASaye payo-rASeH |
   te śailāḥ sthitimanto hanta laghimnaiva bahu-mānaḥ ||GAss_631||	te SElAH sTitimantaH hanta laGimnA-eva bahu-mAnaH ||GAsH-_631||
   sā śyāmā tanvaṅgī dahatā śītopacāra-tīvreṇa |	sA SyAmA tanvaFgI dahatA SIta-upacAra--tIvreNa |
   viraheṇa pāṇḍimānaṃ nītā tuhinena dūrvaiva ||GAss_632||	viraheNa pANximAnam nItA tuhinena dUrvA-eva ||GAsH-_632||
   sunirīkṣita-niścala-kara-vallabha-dhārā-jalokṣitā na tathā |	su-nirIkzita--niScala--kara--vallaBa--DArA--jala-ukzitA na taTA |
   sotkampena mayā sakhi dṛṣṭā sā mādyati sma yathā ||GAss_633||	sa-utkampena mayA saKi dRzwA sA mAdyati sma yaTA ||GAsH-_633||
   sakhi moghīkṛta-madane pativrate kas tavādaraṃ kurute |	saKi moGIkRta-madane pativrate kaH tava-Adaram kurute |
   nāśrauṣīr bhagavān api sa kāma-viddho haraḥ pūjyaḥ ||GAss_634||	na-aSrOzIH BagavAn api sa kAma-vidDaH haraH pUjyaH ||GAsH-_634||
   sā mayi na dāsa-buddhir na ratir nāpi trapā na viśvāsaḥ |	sA mayi na dAsa-budDiH na ratiH na-api trapAH na viSvAsaH |
   hanta nirīkṣya navoḍhāṃ manye vayam apiryā jātāḥ ||GAss_635||	hanta nirIkzya na-va-UXAm manye vayam apiH-yAH jAtAH ||GAsH-_635||
   sucirāyāte gṛhiṇī niśi bhuktā dina-mukhe vidagdheyam |	sucira-AyAte gRhiNI niSi BuktA dina--muKe vidagDA-iyam |
   dhavala-nakhāṅkaṃ nija-vapur akuṅkumārdraṃ na darśayati ||GAss_636||	Davala-naKa-aFkam nija-vapuH akuFkuma-Ardram na darSayati ||GAsH-_636||
   stana-jaghanoru-praṇayī gāḍhaṃ lagno niveśita-snehaḥ |	stana--jaGana-Uru--praNayI gAXam lagnaH niveSita-snehaH |
   priya kāla-pariṇatir iyaṃ virajyase yan nakhāṅka iva ||GAss_637||	priya kAla--pariNatiH iyam virajyase yat naKa-aFkaH iva ||GAsH-_637||
   sā vicchāyā niśi niśi sutanur bahu-tuhina-śītale talpe |	sA vicCAyA niSi niSi su-tanuH bahu-tu-hina--SItale talpe |
   jvalati tvadīya-virahād oṣadhir iva himavataḥ pṛṣṭhe ||GAss_638||	jvalati tvadIya--virahAt ozaDiH iva himavataH pRzWe ||GAsH-_638||
   sā nīrase tava hṛdi praviśati niryāti na labhate sthairyam |	sA nIrase tava hRdi praviSati niryAti na laBate sTEryam |
   sundara sakhī divasakara-bimbe tuhināṃśu-rekheva ||GAss_639||	sundara saKI divasakara--bimbe tuhina-aMSu--reKA-iva ||GAsH-_639||
   sukumāratvaṃ kāntir nitānta-saraatvam āntarāś ca guṇāḥ |	sukumAra-tvam kAntiH nitAnta-saraa-tvam AntarAH ca guNAH |
   kiṃ nāma nendulekhe śaśa-graheṇaiva tava kathitam ||GAss_640||	kim nAma na-indu-leKe SaSa-graheNa-eva tava kaTitam ||GAsH-_640||
   saurabhya-mātra-manasām āstāṃ malaya-drumasya na viśeṣaḥ |	sOraBya--mAtra--manasAm AstAm malaya-drumasya na viSezaH |
   dharmārthināṃ tathāpi sa mṛgyaḥ pūjārtham aśvatthaḥ ||GAss_641||	Darma-arTinAm taTA-api sa mRgyaH pUjA-arTam aSvatTaH ||GAsH-_641||
   saṃvāhayati śayānaṃ yathopavījayati gṛhapatiṃ gṛhiṇī |	saMvAhayati SayAnam yaTA-upavIjayati gRhapatim gRhiNI |
   gṛha-vṛti-vivara-niveśita-dṛśas tathāśvāsanaṃ yūnaḥ ||GAss_642||	gRha-vRti--vivara--niveSita-dRSaH taTA-ASvAsanam yUnaH ||GAsH-_642||
   satyaṃ svalpa-guṇeṣu stabdhā sadṛśe punar bhujaṅge sā |	satyam su-alpa--guNezu stabDA sadRSe punar BujaFge sA |
   arpita-koṭiḥ praṇamati sundara hara-cāpa-yaṣṭir iva ||GAss_643||	arpita-kowiH praNamati sundara hara-cApa-yazwiH iva ||GAsH-_643||
   sarvaṃsahāṃ mahīm iva vidhāya tāṃ bāṣpa-vāribhiḥ pūrṇām |	sarvaMsahAm mahIm iva viDAya tAm bAzpa-vAriBiH pUrNAm |
   bhavanāntara-mayam adhunā saṅkrāntas te guruḥ premā ||GAss_644||	Bavana-antara--mayam aDunA saFkrAntaH te guruH premAH ||GAsH-_644||
   sambhavati na khalu rakṣā sarasānāṃ prakṛti-capala-caritānām |	samBavati na Kalu rakzA sarasAnAm prakRti-capala--caritAnAm |
   anubhavati hara-śirasy api bhujaṅga-pariśīlanaṃ gaṅgā ||GAss_645||	anuBavati hara-Sirasi api BujaFga--pariSIlanam gaFgA ||GAsH-_645||
   sulabheṣu kamala-kesara-ketaka-mākanda-kunda-kusumeṣu |	sulaBezu kamala--kesara-ketaka-mA-kanda--kunda--kusumezu |
   vāñchati manorathāndhā madhupī smara-dhanuṣi guṇī-bhāvam ||GAss_646||	vAQCati manoraTa-anDA maDupI smara--Danuzi guNI-BAvam ||GAsH-_646||
   sā lajjitā sapatnī kupitā bhītaḥ priyaḥ sakhī sukhitā |	sA lajjitA sapatnI kupitA BItaH priyaH saKI suKitAH |
   bālāyāḥ pīḍāyāṃ nidānite jāgare vaidyaiḥ ||GAss_647||	bAlAyAH pIxAyAm nidAnite jAgare vEdyEH ||GAsH-_647||
   sucirāgatasya saṃvāhana-cchalenāṅgam aṅgam āliṅgya |	sucira-Agatasya saMvAhana-=-Calena-aFgam aFgam AliFgya |
   puṣyati ca māna-carcāṃ gṛhiṇī saphalayait cotkalikām ||GAss_648||	puzyati ca mAna-carcAm gRhiNI sa-PalayEt ca-utkalikAm ||GAsH-_648||
   sā sarvathaiva raktā rāgaṃ guñjeva na tu mukhe vahati |	sA sarvaTA-eva raktA rAgam guQjA-iva na tu muKe vahati |
   vacana-paṭos tava rāgaḥ kevalam āsye śukasyeva ||GAss_649||	vacana--pawoH tava rAgaH kevalam Asye Sukasya-iva ||GAsH-_649||
   sāyaṃ kānta-bhujāntara-patitā rati-nīta-sakala-rajanīkā |	sAyam kAnta--BujAntara--patitA rati--nIta--sakala--rajanIkA |
   uṣasi dadatī pradīpaṃ sakhībhir upahasyate bālā ||GAss_650||	uzasi dadatI pradIpam saKIBiH upahasyate bAlAH ||GAsH-_650||
   sā tīkṣṇa-māna-dahanā mahataḥ snehasya durlabhaḥ pākaḥ |	sA tIkzNa--mAna--dahanAH mahataH snehasya durlaBaH pAkaH |
   tvāṃ darvīm iva dūti prayāsayann asmi viśvastaḥ ||GAss_651||	tvAm darvIm iva dUti prayAsayan asmi viSvastaH ||GAsH-_651||
   sneha-kṣatir jigīṣā samaraḥ prāṇa-vyayāvadhiḥ kariṇām |	sneha--kzatiH jigIzA samaraH prANa--vyaya-avaDiH kariNAm |
   na vitanute kam anarthaṃ dantini tava yauvanodbhaṭaḥ ||GAss_652||	na vitanute kam anarTam dantini tava yOvana-udBawaH ||GAsH-_652||
   sadanād apaiti dayito hasati sakhī viśati gharaṇim iva bālā |	sadanAt apEti dayitaH hasati saKI viSati GaraNim iva bAlA |
   jvalati sapatnī kīre jalpati mugdhe prasīdati ||GAss_653||	jvalati sapatnI kIre jalpati mugDe prasIdati ||GAsH-_653||
   saṅkucitāṅgīṃ dviguṇāṃśukāṃ mano-mātra-visphuran-madanām |	saFkucita-aFgIm dviguNa-aMSukAm mano--mAtra--visPuran--madanAm |
   dayitāṃ bhajāmi mugdhām iva tuhina tava prasādena ||GAss_654||	dayitAm BajAmi mugDAm iva tuhina tava prasAdena ||GAsH-_654||
   sakhi lagnaiva vasantī sadāśaye mahati rasa-maye tasya |	saKi lagnA-eva vasantI sadASaye mahati rasa--maye tasya |
   bāḍava-śikheva sindhor na manāg apy ārdratāṃ bhajasi ||GAss_655||	bAxa-va--SiKA-iva sinDoH na manAk api Ardra-tAm Bajasi ||GAsH-_655||
   sakhi mihirodgamanādi-pramodam apidhāya so 'yam avasāne |	saKi mihira-udgamana-Adi-pramodam apiDAya saH ayam avasAne |
   bandhyo 'vadhi-vāsara iva tuṣāra-divasaḥ kadarthayati ||GAss_656||	banDyaH avaDi-vAsaraH iva tuzAra--divasaH kadarTayati ||GAsH-_656||
   sura-bhavane taruṇābhyāṃ parasparākṛṣṭa-dṛṣṭi-hṛdayābhyām |	sura--Bavane taruNAByAm paraspara-AkRzwa-dRzwi--hRdayAByAm |
   devārcanārtham udyatam anyonyasyārpitaṃ kusumam ||GAss_657||	deva-arcana-arTam udyatam anyonyasya-arpitam kusumam ||GAsH-_657||
   sāyaṃ kuśeśayāntar-madhupānāṃ niryatāṃ nādaḥ |	sAyam kuSeSaya-antar--maDupAnAm niryatAm nAdaH |
   mitra-vyasana-viṣaṇṇaiḥ kamalair ākranda iva muktaḥ ||GAss_658||	mitra--vyasana--vizaNNEH kamalEH AkrandaH iva muktaH ||GAsH-_658||
   sumahati manyu-nimitte mayaiva vihite'pi vepamānoruḥ |	su-mahati manyu--nimitte mayA-eva vihite-api vepamAna-UruH |
   na sakhīnām api rudatī mamaiva vakṣaḥ-sthale patitā ||GAss_659||	na saKInAm api rudatI mama-eva vakzaH-sTale patitAH ||GAsH-_659||
   subhaga vyajana-vicālana-śithila-bhujābhūd iyaṃ vayasyāpi |	suBaga vyajana--vicAlana--SiTila--BujA-aBUt iyam vayasya-api |
   udvartanaṃ na sakhyāḥ samāpyate kiñcid apagaccha ||GAss_660||	udvartanam na saKyAH samApyate kiQcid apagacCa ||GAsH-_660||
   sa-vrīḍā nakha-radanārpaṇeṣu kupitā pragāḍham aciroḍhā |	sa--vrIxA naKa-radana-arpaNezu kupitA pragAXam acira-UXA |
   bahu-yācñā-caraṇa-graha-sādhyā roṣeṇa jāteyam ||GAss_661||	bahu-yAcQA--caraNa-graha--sADyAH rozeNa jAtA-iyam ||GAsH-_661||
   sugṛhīta-malina-pakṣā laghavaḥ para-bhedinaḥ paraṃ tīkṣṇāḥ |	su-gRhIta-malina--pakzAH laGavaH para-BedinaH param tIkzNAH |
   puruṣā api viśikhā api guṇa-cyutāḥ kasya na bhayāya ||GAss_662||	puruzAH api viSiKAH api guNa-cyutAH kasya na BayAya ||GAsH-_662||
   sva-kapolena prakaṭīkṛtaṃ pramattatva-kāraṇaṃ kim api |	sva--kapolena prakawIkRtam pramatta-tva--kAraNam kim api |
   dviradasya durjanasya ca madaṃ cakāraiva dānam api ||GAss_663||	dviradasya durjanasya ca madam cakAra-eva dAnam api ||GAsH-_663||
   satyaṃ patir avidagdhaḥ sā tu sva-dhiyaiva nidhuvane nipuṇā |	satyam patiH avidagDaH sA tu sva-DiyA-eva niDuvane nipuNA |
   mārttikam ādhāya guruṃ dhanur adhigatam ekalavyena ||GAss_664||	mArttikam ADAya gurum DanuH aDigatam ekalavyena ||GAsH-_664||
   saubhāgya-mānavān sa tvayāvadhīryāpamānam ānītaḥ |	sOBAgya--mAnavAn sa tvayA-avaDIrya-apamAnam AnItaH |
   svaṃ viraha-pāṇḍimānaṃ bhasma-snānopamaṃ tanute ||GAss_665||	svam viraha--pANximAnam Basma--snAna-upamam tanute ||GAsH-_665||
   sakhi mama karañja-tailaṃ bahu-sandeśaṃ praheṣyasīty uditā |	saKi mama karaQja--tElam bahu-sandeSam prahezyasi-iti uditA |
   śvaśura-gṛha-gamana-militaṃ bāṣpa-jalaṃ saṃvṛṇoty asatī ||GAss_666||	SvaSura--gRha--gamana--militam bAzpa--jalam saMvRNoti asatI ||GAsH-_666||
   sandarśayanti sundari kulaṭānāṃ tamasi vitatam avikalpe |	sandarSayanti sundari kulawAnAm tamasi vitatam avikalpe |
   maulimaṇidīpa-kalikā varti-nibhā bhogino 'dhvānam ||GAss_667||	mOli-maNi-dIpa-kalikA varti-niBAH BoginaH aDvAnam ||GAsH-_667||
   sarvaṃ vanaṃ tṛṇālyā pihitaṃ pītāḥ sitāṃśu-ravi-tārāḥ |	sarvam vanam tRNAlyA pihitam pItAH sita-aMSu--ravi-tArAH |
   pradhvaṃsāḥ panthāno malinenodgamya meghena ||GAss_668||	praDvaMsAH panTAnaH malinena-udgamya meGena ||GAsH-_668||
   samyag aniṣpannaḥ san yo 'rthas tvarayā svayaṃ sphuṭīkriyate |	samyak anizpannaH san yaH arTaH tvarayA svayam sPuwIkriyate |
   sa vyaṅga eva bhavati prathamo vinatā-tanūja iva ||GAss_669||	sa vyaFgaH eva Bavati praTamaH vinatA--tanUjaH iva ||GAsH-_669||
   sajjana eva hi vidyā śobhanāyai bhavati durjane moghā |	sat-janaH eva hi vidyA SoBanAyE Bavati durjane moGAH |
   na vidūra-darśanatayā kaiścid upādīyate gṛdhraḥ ||GAss_670||	na vidUra-darSana-tayA kEScid upAdIyate gRDraH ||GAsH-_670||
   subhagaṃ vadati janas taṃ nija-patir iti naiṣa rocate mahyam |	suBagam vadati janaH tam nija-patiH iti na-eza rocate mahyam |
   pīyūṣe'pi hi bheṣaja-bhāvopanate bhavaty aruciḥ ||GAss_671||	pIyUze-api hi Bezaja--BAva-upanate Bavati aruciH ||GAsH-_671||
   saudha-gavākṣa-gatāpi hi dṛṣṭis taṃ sthiti-kṛta-prayatnam api |	sODa--gavAkza--gatA-api hi dRzwiH tam sTiti-kRta--prayatnam api |
   hima-giri-śikhara-skhalitā gaṅgevairāvataṃ harati ||GAss_672||	hima-giri--SiKara--sKalitAH gaFgA-iva-ErAvatam harati ||GAsH-_672||
   saha-gharma-cāriṇī mama paricchadaḥ sutanu neha sandehaḥ |	saha-Garma--cAriNI mama paricCadaH su-tanu na-iha sandehaH |
   na tu sukhayati tuhina-dina-cchatra-cchāyeva sajjantī ||GAss_673||	na tu suKayati tuhina-dina-=-Catra-=-CAyA-iva sajjantI ||GAsH-_673||
   sakala-guṇaika-niketana dānava-vāsena gharaṇiruharājaḥ |	sakala--guNa-eka-niketana dAnava--vAsena GaraNiruha-rAjaH |
   jāto 'si bhūtale tvaṃ satām anādeya-phala-kusumaḥ ||GAss_674||	jAtaH asi BU-tale tvam satAm anAdeya-Pala-kusumaH ||GAsH-_674||
   sundari tāṭaṅkamayaṃ cakram ivodvahati tāvake karṇe |	sundari tAwaFka-mayam cakram iva-udvahati tAvake karNe |
   nipatati nikāma-tīkṣṇaṃ kaṭākṣa-bāṇo 'rjuna-praṇayī ||GAss_675||	nipatati nikAma-tIkzNam kawAkza-bANaH arjuna--praNayI ||GAsH-_675||
   svādhīnaiva phala-rddhir janopajīvyatvam ucchraya-cchāyā |	svADInA-eva Pala--RdDiH jana-upajIvya-tvam ucCraya-=-CAyA |
   sat-puṃso maru-bhūruha iva jīvana-mātram āśāsyam ||GAss_676||	sat-puMsaH maru-BUruhaH iva jIvana--mAtram ASAsyam ||GAsH-_676||
   santāpa-moha-kampān sampādayituṃ nihantum api jantūn |	santApa--moha--kampAn sampAdayitum nihantum api jantUn |
   sakhi durjanasya bhūtiḥ prasarati dūraṃ jvarasyeva ||GAss_677||	saKi durjanasya BUtiH prasarati dUram jvarasya-iva ||GAsH-_677||
   sukhayitatarāṃ na rakṣati paricaya-leśaṃ gaṇāṅganeva śrīḥ |	suKayitatarAm na rakzati paricaya-leSam gaNa-aFganA-iva SrIH |
   kuka-kāminīva nojjhati vāg-devī janma-janmāpi ||GAss_678||	kuka-kAminI-iva na-ujJati vAc--devI janma--janma-api ||GAsH-_678||
   sva-sadana-nikaṭe nalinīm abhinava-jāta-cchadāṃ nirīkṣyaiva |	sva--sadana--nikawe nalinIm aBinava--jAta--cCadAm nirIkzya-eva |
   hā gṛhiṇīti pralapaṃś cirāgataḥ sakhi patiḥ patitaḥ ||GAss_679||	hA gRhiNI-iti pralapan cira-AgataH saKi patiH patitaH ||GAsH-_679||
   saci caturānana-bhāvād vaimukhyaṃ kvāpi naiva darśayati |	saci caturAnana--BAvAt vEmuKyam kvApi na-eva darSayati |
   ayam eka-hṛdaya eva druhiṇa iva priyatamas tad api ||GAss_680||	ayam eka-hRdayaH eva druhiNaH iva priyatamaH tat api ||GAsH-_680||
   satyaṃ madhuro niyataṃ vakro nūnaṃ kalādharo dayitaḥ |	satyam maDuraH niyatam vakraH nUnam kalA-DaraH dayitaH |
