   oṃ namo vighnavināyakāya |	om namaH viGna-vinAyakAya |
   mahāmāṇḍalikāḥ sarvve cāntaraṅgā mahāpadāḥ // Valc_2,21.37 //	mahA-mANxalikAH sarvve ca-antaraFgAH mahApadAH // Valt-_2,21.37 //
   yathāyogyeṣvāsaneṣu niṣeduḥ pratipūjitāḥ /	yaTAyogyezu-Asanezu nizeduH pratipUjitAH /
   vallālena sabhāyāṃ te divīva tridivaukasaḥ // Valc_2,21.38 //	vallAlena saBAyAm te divi-iva tridivOkasaH // Valt-_2,21.38 //
   bhrājamānaḥ sabhāmadhye sutrāmeva sudharmmaṇi /	BrAjamAnaH saBA-maDye sutrAm-eva suDarmmaNi /
   devān pitḥṃśca yajñena pāpaghnenāyajannṛpaḥ // Valc_2,21.39 //	devAn pitHn=-ca yajQena pApa-Gnena-ayajat-nRpaH // Valt-_2,21.39 //
   atha sakhaḍgaḥ soṣṇīṣaḥ sarvvābharaṇabhūṣitaḥ /	aTa sa-KaxgaH sa-uzNIzaH sarvu-ABaraNa-BUzitaH /
   puṣṭikāmo 'karodrājā dānaṃ karṇa ivāparaḥ // Valc_2,21.40 //	puzwi-kAmaH akarot-rAjA dAnam karNaH iva-aparaH // Valt-_2,21.40 //
   tatrātmaparimāṇena kāñcanena dharāmarān /	tatra-Atma-parimANena kAQcanena DarA-amarAn /
   dānena toṣayāmāsa sahasradakṣiṇāvatā // Valc_2,21.41 //	dAnena tozayAmAsa sahasra-dakziNAvatAH // Valt-_2,21.41 //
   apavarge 'bhirūpān sa brāhmaṇān nṛpatistataḥ /	apavarge aBirUpAn sa brAhmaNAn nRpatiH-tatas /
   anyāṃśca bhojayāmāsa śataśo 'tha sahasraśaḥ // Valc_2,21.42 //	anyAn=-ca BojayAmAsa SataSas aTa sahasraSas // Valt-_2,21.42 //
   devā vabhūvuḥ pitaraśca tatra hṛdyaiśca kavyai rnitarāṃ sutṛptāḥ /	devAH vaBUvuH pitaraH-ca tatra hRdyEH-ca kavyEH rnitarAm su-tRptAH /
   bhūdeva vargāstapanīyadānairbhojyānnapānairvahudakṣiṇābhiḥ // Valc_2,21.43	BUdeva vargAH-tapanIya-dAnEH-Bojya-anna-pAnEH-vahu-dakziNABiH // Valt-_2,21.43
   ityānandabhaṭṭaprokte śaraṇadattīye vallālacarive yajñotsavo nāma ekaviṃśo	iti-Ananda-Bawwa-prokte SaraNadattIye vallAla-carive yajQa-utsavaH nAma ekaviMSo
   'dhyāyaḥ /	aDyAyaH /
   atha dvāviṃśo 'dhyāyaḥ	aTa dvAviMSaH aDyAyaH
   jñātayaśca kuṭumbāśca militāśca tato 'nyadā /	jQAtayaH-ca kuwumbAH-ca militAH-ca tatas anyadA /
   bhojyaśālāṃ praviviśūrāṇakā rājaputrakāḥ // Valc_2,22.1 //	Bojya-SAlAm praviviSUrANakAH rAja-putrakAH // Valt-_2,22.1 //
   āsaneṣūpaviṣṭeṣu tatasteṣu mahātmasu /	Asanezu-upavizwezu tatas-tezu mahAtmasu /
   bhujyamāneṣu sarveṣu vallālena mudā saha // Valc_2,22.2 //	BujyamAnezu sarvezu vallAlena mudA saha // Valt-_2,22.2 //
   satśūdrāṇāṃ gaṇāstatrāparā bhojanaśālikāḥ /	sat-SUdrANAm gaNAH-tatra-aparAH Bojana-SAlikAH /
   sparddhayā viviśurbhoktuṃ viśāṃ na dṛśyate sthalī // Valc_2,22.3 //	spardDayA viviSuH-Boktum viSAm na dRSyate sTalI // Valt-_2,22.3 //
   tasminnavasare vaiśyā mantrayantaḥ parasparam /	tasmin=-avasare vESyAH mantrayantaH parasparam /
   uttasthu rniryyātukāmāstadānīṃ rājasadmanaḥ // Valc_2,22.4 //	uttasTu rniryyAtu-kAmAH-tadAnIm rAja-sadmanaH // Valt-_2,22.4 //
   yadā kecidvahiryātāḥ kecidvā gamanodyatāḥ /	yadA kecid-vahiH-yAtAH kecid-vA gamana-udyatAH /
   tadā tānanugatyāha bhīmaseno vinītavat // Valc_2,22.5 //	tadA tAn-anugati-Aha BImasenaH vinIta-vat // Valt-_2,22.5 //
   anāhārāḥ kimarthaṃ bho nirgacchatha mahājanāḥ /	anAhArAH kim-arTam Bo nirgacCaTa mahAjanAH /
   asmāsu vo yadākūtaṃ sarvvathārhatha bhāṣitum // Valc_2,22.6 //	asmAsu vaH yadA-AkUtam sarvu-aTa-arhaTa BAzitum // Valt-_2,22.6 //
   tacchrutvā vaṇijaḥ prāhuḥ śrūyatāṃ bho mahāśaya /	tat-SrutvA vaNijaH prAhuH SrUyatAm Bo mahA-ASayaH /
   spṛṣṭāspṛṣṭiḥ samabhavat tadarthaṃ bhoktumakṣamāḥ // Valc_2,22.7 //	spRzwA-aspRzwiH samaBavat tad-arTam Boktum-akzamAH // Valt-_2,22.7 //
   anāhatya yatasteṣāṃ bhīmaseno 'tikopanaḥ /	anAhatya yatas-tezAm BImasenaH ati-kopanaH /
   śūdrāṇāmīdṛśī sparddhā ityuktvā tānavākṣipat // Valc_2,22.8 //	SUdrANAm-IdRSI spardDA iti-uktvA tAn-avAkzipat // Valt-_2,22.8 //
   tato vādātivādāśca babhūvuḥ kupitastadā /	tatas vAda-ativAdAH-ca baBUvuH kupitaH-tadA /
   bhīmaseno 'bravīdvākyaṃ paruṣaṃ rājavallabhaḥ // Valc_2,22.9 //	BImasenaH abravIt-vAkyam paruzam rAja-vallaBaH // Valt-_2,22.9 //
   tataste vaṇijaḥ sarvve niryayūrājasadmanaḥ /	tatas-te vaNijaH sarvve niryayUrAja-sadmanaH /
   ākrośanto vikrośanto varṣānte vāridā iva // Valc_2,22.10 //	AkroSantaH vikroSantaH varza-ante vAridAH iva // Valt-_2,22.10 //
   ityānandabhaṭṭaprokte śaraṇadattīye vallālacarite vaṇijāvamānanaṃ nāma	iti-Ananda-Bawwa-prokte SaraNadattIye vallAla-carite vaNijA-avamAnanam nAma
   dvāviṃśo 'dhyāyaḥ /	dvAviMSaH aDyAyaH /
   atha trayoviṃśo 'dhyāyaḥ	aTa trayoviMSaH aDyAyaH
   athānyedyuḥ sabhāsīnamabhyetya pṛthivīśvaraṃ /	aTa-anyedyus saBA-AsInam-aByetya pRTivI-ISvaram /
   ūce bhūminyastajānurbhīmo nṛpativallabhaḥ // Valc_2,23.1 //	Uce BUmi-nyasta-jAnuH-BImaH nRpati-vallaBaH // Valt-_2,23.1 //
   deva sarvve śūdragaṇa bhojanaiḥ paritoṣitāḥ /	deva sarvve SUdra-gaNa BojanEH paritozitAH /
   suvarṇā vaṇijo darpādabhuktvaiva vinirgatāḥ // Valc_2,23.2 //	suvarNAH vaNijaH darpAt-aBuktvA-eva vinirgatAH // Valt-_2,23.2 //
   vaṇijo 'tidurātmāno 'vinītāḥ kulagarvvitāḥ /	vaNijaH ati-durAtmAnaH avinItAH kula-garvvitAH /
   brahmakṣatrapaṃktibhojyaṃ te kāṅkṣanti durāśayāḥ // Valc_2,23.3 //	brahma-kzatra-paMkti-Bojyam te kAFkzanti durASayAH // Valt-_2,23.3 //
   bhojyabhūmiṃ vilokyāpi vihīnaṃ vṛṣalairjanaiḥ /	Bojya-BUmim vilokya-api vihInam vRzalEH-janEH /
   śrīmantamavajānanto gatavanto yathāgatam // Valc_2,23.4 //	SrImantam-avajAnantaH gatavantaH yaTAgatam // Valt-_2,23.4 //
   sarvveṣāṃ vaṇijāṃ netā vallabhaḥ sa durāśayaḥ /	sarvu-ezAm vaNijAm netA vallaBaH sa durASayaH /
   pālairhṛto mahārāja tvayā saha virudhyate // Valc_2,23.5 //	pAlEH-hRtaH mahA-rAja tvayA saha viruDyate // Valt-_2,23.5 //
   varṇamāno 'sya bhavati jāmātā magadheśvaraḥ /	varNamAnaH asya Bavati jAmAtA magaDa-ISvaraH /
   dharāṃ sa manyate tena śarāvamiva garvitaḥ // Valc_2,23.6 //	DarAm sa manyate tena SarAvam-iva garvitaH // Valt-_2,23.6 //
   etadākarṇya nṛpatirbhīmasenavacastadā /	etat-AkarNya nRpatiH-BImasena-vacaH-tadA /
   jvalano havaneneva prajajvāla sa manyunā // Valc_2,23.7 //	jvalanaH havanena-iva prajajvAla sa manyunA // Valt-_2,23.7 //
   dantān kaṭakaṭāyyāsau rājā rājāsanopari /	dantAn kawa-kawAyyA-asO rAjA rAja-Asana-upari /
   cakāśe gagaṇarūḍhastaḍitvāniva ghoṣavān // Valc_2,23.8 //	cakASe gagaNa-rUXaH-taxitvA-an-iva GozavAn // Valt-_2,23.8 //
   papāta mastakāttasya kirīṭaṃ hīrakojjvalam /	papAta mastakAt-tasya kirIwam hIraka-ujjvalam /
   kampamānatanoḥ sāyamulkāpiṇḍamivāmbarāt // Valc_2,23.9 //	kampamAna-tanoH sAyam-ulkA-piNxam-iva-ambarAt // Valt-_2,23.9 //
   tadānīṃ rājavallālaḥ krodhaghūrṇadvilocanaḥ /	tadAnIm rAja-vallAlaH kroDa-GUrNa-dvi-locanaH /
   vaṇijāṃ darpacūrṇārthaṃ śapathaṃ kṛtavān bhṛśam // Valc_2,23.10 //	vaNijAm darpa-cUrNa-arTam SapaTam kRtavAn BRSam // Valt-_2,23.10 //
   rājovāca:	rAjA-uvAca:
   yadi dāmbhikhān suvarṇān vaṇijaḥ śūdratve na pātayiṣyāmi,	yadi dAmBiKAn suvarNAn vaNijaH SUdra-tve na pAtayizyAmi,
   vallabhacandrasaudāgirasya durātmano daṇḍaṃ na vidhāsyāmi, tadā	vallaBa-candra-sOdAgirasya durAtmanaH daNxam na viDAsyAmi, tadA
   gobrāhmaṇaghātena yāni pātakāni bhavitavyāni tāni me bhaviṣyantīti /	go-brAhmaNa-GAtena yAni pAtakAni BavitavyAni tAni me Bavizyanti-iti /
   dhārttarāṣṭrāṇāṃ vināśāya bhīmasenena yādṛśaḥ śapathaḥ kṛtaḥ eteṣāṃ	DArttarAzwrANAm vinASAya BImasenena yAdRSaH SapaTaH kRtaH etezAm
   pātanāya śapatho me tādṛśo jñātavyaḥ, adyāvadhi ete satre śūdravadgrāhyāḥ	pAtanAya SapaTaH me tAdRSaH jQAtavyaH, adya-avaDi ete satre SUdra-vat-grAhyAH
   / vyarthameṣāṃ yajñasūtnadhāraṇamataḥparameteṣāṃ yājanādhyāpane	/ vyarTam-ezAm yajQa-sUtna-DAraNam-atas-param-etezAm yAjana-aDyApane
   pratigrahañca ye brāhmaṇāḥ kariṣyanti, te jvalanto 'pi patiṣyanti,	pratigrahaQca ye brAhmaNAH karizyanti, te jvalantaH api patizyanti,
   nānyathā || Valc_2,23.11 ||	na-anyaTA || Valt-_2,23.11 ||
   acireṇāyamādeśo 'bhavadrāṣṭre pracāritaḥ /	acireNa-ayam-AdeSaH aBavat-rAzwre pracAritaH /
   tacchrutvā mantrayāmāsu rvaṇijo militāstadā // Valc_2,23.12 //	tat-SrutvA mantrayAmAsu rvaNijaH militAH-tadA // Valt-_2,23.12 //
   avicārāttato rājñaḥ krodhakampatkalevarāḥ /	avicArAt-tatas rAjQaH kroDa-kampad-kalevarAH /
   rurudhurnagarādgauḍād dāsānāṃ vyavasāyinaḥ // Valc_2,23.13 //	ruruDuH-nagarAt-gOxAt dAsAnAm vyavasAyinaH // Valt-_2,23.13 //
   dviguṇaṃ triguṇaṃ mūlyaṃ dāsānāṃ pradadurviśaḥ /	dviguNam triguNam mUlyam dAsAnAm pradaduH-viSaH /
   dāsābhāvāt mahākaṣṭaṃ babhūva sarvvajātiṣu // Valc_2,23.14 //	dAsa-aBAvAt mahAkazwam baBUva sarvu-ajAtizu // Valt-_2,23.14 //
   evambhūte mahākaṣṭe prajāvargairniveditaḥ /	evamBUte mahA-kazwe prajA-vargEH-niveditaH /
   karttavyaṃ cintayāmāsa tadānīṃ bhuvaneśvaraḥ // Valc_2,23.15 //	karttavyam cintayAmAsa tadAnIm BuvaneSvaraH // Valt-_2,23.15 //
   nānyopāyaṃ tadā dṛṣṭvā brāhmaṇānanvaśādidam /	na-anya-upAyam tadA dRzwvA brAhmaNa-an-anvaSAt-idam /
   kāryyā lokahitārthāya kaivarttā dāsyakarmmasu // Valc_2,23.16 //	kAryyAH loka-hita-arTAya kEvarttA dAsya-karmmasu // Valt-_2,23.16 //
   dāsyakāmāstu kaivarttā śrutvā nṛpatiśāsanam /	dAsya-kAmAH-tu kEvarttA SrutvA nRpati-SAsanam /
   ājagmuste rājakulaṃ śataśo 'tha sahasraśaḥ // Valc_2,23.17 //	AjagmuH-te rAja-kulam SataSas aTa sahasraSas // Valt-_2,23.17 //
   tān cābravīttato rājā galavastrakṛtāñjalīn /	tAn ca-abravIt-tatas rAjA gala-vastra-kRta-aQjalIn /
   vṛttirvo dīyate sevā gacchadhvaṃ vyavahāratām // Valc_2,23.18 //	vRttiH-vaH dIyate sevA gacCaDvam vyavahAra-tAm // Valt-_2,23.18 //
   mahāmāṇḍalikaṃ kṛtvā tatasteṣāṃ mahattaraṃ /	mahAmANxalikam kRtvA tatas-tezAm mahattaram /
   maheśaṃ dakṣiṇāghāṭe prerayāmāsa pārthivaḥ // Valc_2,23.19 //	maheSam dakziNAGAwe prerayAmAsa pArTivaH // Valt-_2,23.19 //
   mālākārāḥ kumbhakārāḥ karmmārāśca tato 'nyadā /	mAlAkArAH kumBakArAH karmmArAH-ca tatas anyadA /
   yuktahastā galevastrāḥ purastasthurmahīkṣitaḥ // Valc_2,23.20 //	yukta-hastAH galevastrAH puraH-tasTuH-mahIkzitaH // Valt-_2,23.20 //
   santuṣṭaḥ sevayā teṣāṃ vyājahāra vaco nṛpaḥ /	santuzwaH sevayA tezAm vyAjahAra vacaH nRpaH /
   yūyaṃ satśūdravadgrahyā bhaveta vacanānmama // Valc_2,23.21 //	yUyam sat-SUdra-vat-grahyA Baveta vacanAt-mama // Valt-_2,23.21 //
   aśucirvacanādyasya śucirbhavati mānavaḥ /	aSuciH-vacanAt-yasya SuciH-Bavati mAnavaH /
   śuciścaivāśuciḥ samyak kathaṃ rājā na daivatam // Valc_2,23.22 //	SuciH-ca-eva-aSuciH samyak kaTam rAjA na dEvatam // Valt-_2,23.22 //
   kālena gacchatā rājā dāsānāṃ vyavasāyinaḥ /	kAlena gacCatA rAjA dAsAnAm vyavasAyinaH /
   brahmatvāccyāvayāmāsa brahmabandhūn sudurmmatīn // Valc_2,23.23 //	brahma-tvAt-cyAvayAmAsa brahmabanDUn su-durmmatIn // Valt-_2,23.23 //
   svasevāyāṃ niyuktaśca dhāvañcakre mahattaram /	sva-sevAyAm niyuktaH-ca DAvaQcakre mahattaram /
   ṭhakkuraṃ ca cakārāsau prasanno rājanāpitam // Valc_2,23.24 //	Wakkuram ca cakAra-asO prasannaH rAja-nApitam // Valt-_2,23.24 //
   anāhatasvadharmmān sa vilokya vaṇijastataḥ /	anAhata-svaDarmmAn sa vilokya vaNijaH-tatas /
   ādiśat tān nṛpaḥ sarvvān yajñasūtrāṇi varjjitum // Valc_2,23.25 //	AdiSat tAn nRpaH sarvvAn yajQasUtrANi varjjitum // Valt-_2,23.25 //
   tyajantu yajñasūtrāṇi vaṇijo rāṣṭravāsinaḥ /	tyajantu yajQasUtrANi vaNijaH rAzwra-vAsinaH /
   tyajedyo na sa daṇḍyaḥ syāt sevakānnṛpa ityaśāt // Valc_2,23.26 //	tyajet-yaH na sa daNxyaH syAt sevakAn-nRpaH iti-aSAt // Valt-_2,23.26 //
   āhatya ḍiṇḍimān bhṛtyā nagare nagare viśām /	Ahatya xiNximAn BRtyAH nagare nagare viSAm /
   rājājñāṃ ghoṣayāmāsuścatvareṣu ca vīthiṣu // Valc_2,23.27 //	rAja-AjQAm GozayAmAsuH-catvarezu ca vITizu // Valt-_2,23.27 //
   rājājñāmavajānanto dharmmabhītā mahājanāḥ /	rAjA-AjQAm-avajAnantaH Darmma-BItAH mahAjanAH /
   tvaramāṇā diśo jagmuḥ sadārādiparicchadāḥ // Valc_2,23.28 //	tvaramANAH diSaH jagmuH sa-dAra-Adi-paricCadAH // Valt-_2,23.28 //
   ayodhyāṃ prayayuḥ kecit kecinmudgagiriṃ tathā /	ayoDyAm prayayuH kecid kecid-mudga-girim taTA /
   candramāyutaṃ pāṭlīñca tāmraliptīñca kecana // Valc_2,23.29 //	candram-Ayutam pAwlIQca tAmraliptIQca kecana // Valt-_2,23.29 //
   tathodayaṃ puraṃ kecit kecinmānagaḍhaṃ yayuḥ,	taTA-udayam puram kecid kecid-mAna-gaXam yayuH,
   vinītañca puraṃ kecicchriṅkhalāmapi kecana // Valc_2,23.30 //	vinItaQca puram kecid-SriFKalAm-api kecana // Valt-_2,23.30 //
   yena yātāstu te sarvve rājadaṇḍabhayārdditāḥ /	yena yAtAH-tu te sarvve rAja-daNxa-Baya-ardditAH /
   tatyajuryajñasūtrāṇi haimāni tāntavāṇi ca // Valc_2,23.31 //	tatyajuH-yajQasUtrANi hEmAni tAntavANi ca // Valt-_2,23.31 //
   tatrānehasi vallālo vilokya vyākulaṃ kulam /	tatra-Anehasi vallAlaH vilokya vyAkulam kulam /
   brahmaṇāñca kṣatriyāṇāṃ mantrayāmāsa vaidikaiḥ // Valc_2,23.32 //	brahmaNA-aQca kzatriyANAm mantrayAmAsa vEdikEH // Valt-_2,23.32 //
   vivicya vījamāhātmyaṃ tataḥ saṃskārayaṃśca tān /	vivicya vIjamAhAtmyam tatas saMskArayan=-ca tAn /
   brahmatvaṃ kṣatriyatvañca kalpayāmāsa sa prabhuḥ // Valc_2,23.33 //	brahma-tvam kzatriya-tvaQca kalpayAmAsa sa praBuH // Valt-_2,23.33 //
   ityāndabhaṭṭaprokte śaraṇadattīye vallālacarite jātīnāṃ	ityAnda-Bawwa-prokte SaraNadattIye vallAla-carite jAtInAm
   pātanonnayanādināma trayoviṃśo 'dhyāyaḥ |	pAtana-unnayana-Adi-nAma trayoviMSaH aDyAyaH |
   atha caturviṃśo 'dhyāyaḥ	aTa caturviMSaH aDyAyaH
   purā śrīrājavallālo vasan gauḍe purottame /	purA SrI-rAja-vallAlaH vasan gOxe pura-uttame /
   arhatāmanurūpāṇāmupācakre pṛthuprathaḥ // Valc_2,24.1 //	arhatAm-anurUpANAm-upAcakre pRTu-praTaH // Valt-_2,24.1 //
   kārayitvā maṭhaṃ saumyaṃ nyastacitraśilātalam /	kArayitvA maWam sOmyam nyasta-citra-SilA-talam /
   pakveṣṭakāmayaṃ divyaṃ śayanāsanasaṃyutam // Valc_2,24.2 //	pakva-izwakA-mayam divyam Sayana-Asana-saMyutam // Valt-_2,24.2 //
   subhaumaṃ citraśālāḍhyam dṛḍhastambham manoharam /	su-BOmam citra-SAlA-AXyam dRXa-stamBam manoharam /
   nyastagranthādhārabhūtapratyagranāgadantakam // Valc_2,24.3 //	nyasta-granTa-ADAra-BUta-pratyagra-nAga-dantakam // Valt-_2,24.3 //
   nānāpuṣpaphalālolaramyārāmavibhūṣitam /	nAnA-puzpa-Pala-Alola-ramya-ArAma-viBUzitam /
   atyacchasvādupānīya-sampannasalilāśayam // Valc_2,24.4 //	ati-acCasvAt-upAnIya--sampanna-salila-ASayam // Valt-_2,24.4 //
   dvāravātāyanopetaṃ nānopaskarasaṃyutam /	dvAra-vAtAyana-upetam nAnA-upaskara-saMyutam /
   sudhopaliptam śvetābham sadannādiprapūritam // Valc_2,24.5 //	suDA-upaliptam Sveta-ABam sat-anna-Adi-prapUritam // Valt-_2,24.5 //
   vyākhyānadhyānahomādipaṭhanasthalaśobhitam /	vyAKyAna-DyAna-homa-Adi-paWana-sTala-SoBitam /
   yatīnāṃ pathikānāñca vāsaveśmasamanvitam // Valc_2,24.6 //	yatInAm paTika-anAQca vAsa-veSma-samanvitam // Valt-_2,24.6 //
   guhyāpacarakairyuktaṃ pradyumneśvarasannidhau /	guhya-apacarakEH-yuktam pradyumna-ISvara-sanniDO /
   yoginaḥ śrīsiṃhagirervidhināsau nyavedayat // Valc_2,24.7 //	yoginaH SrI-siMha-gireH-viDinA-asO nyavedayat // Valt-_2,24.7 //
   kaupīnendhanavastrādivastūnāṃ prāptaye tathā /	kOpIna-inDana-vastra-Adi-vastUnAm prAptaye taTA /
   pradadau vipulāṃ bhūmiṃ rājā śraddhāsamanvitaḥ // Valc_2,24.8 //	pradadO vipulAm BUmim rAjA SradDA-samanvitaH // Valt-_2,24.8 //
   tataḥ sarvvaguṇotkarṣaśuddhabuddhirnṛpottamaḥ /	tatas sarvu-aguNa-utkarza-SudDa-budDiH-nRpa-uttamaH /
   tāmrapaṭṭe kārayitvā śāsanaṃ paraśāsanaḥ // Valc_2,24.9 //	tAmra-pawwe kArayitvA SAsanam paraSAsanaH // Valt-_2,24.9 //
   suvarṇamuktikasyāntargrāmaṃ kāsārakaṃ dadau /	suvarNa-muktikasya-antar-grAmam kAsArakam dadO /
   varṣavṛddhau mahārājo gautamānantaśarmmaṇe // Valc_2,24.10 //	varza-vRdDO mahA-rAjaH gOtama-ananta-SarmmaNe // Valt-_2,24.10 //
   upakṛptabhakṣyabhojyasarvvadhānyasamanvitam /	upakRpta-Bakzya-Bojya-sarvu-aDAnya-samanvitam /
   dāsadāsīsamāyuktaṃ sarvvopaskarasaṃyutam // Valc_2,24.11 //	dAsa-dAsI-samAyuktam sarvvA-upaskara-saMyutam // Valt-_2,24.11 //
   sudhāvaliptaṃ sudṛḍhaṃ kapāṭārgalayantritam /	suDA-avaliptam su-dRXam kapAwa-argala-yantritam /
   śubhapraveśaniṣkāśaṃ jālādipariśobhitam // Valc_2,24.12 //	SuBa-praveSa-nizkASam jAla-Adi-pariSoBitam // Valt-_2,24.12 //
   evaṃvidhaṃ kārayitvā bahuśo bhavanaṃ nṛpaḥ /	evaMviDam kArayitvA bahuSas Bavanam nRpaH /
   dākṣiṇātyān tatasteṣu vāsayāmāsa bhūsurān // Valc_2,24.13 //	dAkziNAtyAn tatas-tezu vAsayAmAsa BUsurAn // Valt-_2,24.13 //
   svarṇadānaṃ raupyadānaṃ godānañca dharāpatiḥ /	svarNa-dAnam rOpya-dAnam godAnaQca DarA-patiH /
   dānañca vividhañcakre nityanaimittikādikam // Valc_2,24.14 //	dAnaQca viviDaQcakre nitya-nEmittika-Adikam // Valt-_2,24.14 //
   nānopabhogānupabhuñjataḥ satpātreṣu dānaṃ dadataśca nityam /	nAnA-upaBogAn-upaBuQjataH sat-pAtrezu dAnam dadataH-ca nityam /
   jagāma kālaḥ sukhataḥ samāno bhūto na kaścidbhavitāsti cāsya //	jagAma kAlaH suKataH samAnaH BUtaH na kaScid-BavitA-asti ca-asya //
   Valc_2,24.15 //	Valt-_2,24.15 //
   na yena bhuktāḥ sukhadāḥ subhogāḥ dānaṃ na dattaṃ dhaninārhatāñca /	na yena BuktAH suKa-dAH suBogAH dAnam na dattam DaninA-arha-tAQca /
   avāpyate tena kaṭhoraghora duḥsahyaduḥkhamadhikaṃ paratra // Valc_2,24.16	avApyate tena kaWoraGora duHsahya-duHKam-aDikam paratra // Valt-_2,24.16
   ityānandabhaṭṭaprokte vallālacarite dānavarmmānuṣṭhānaṃ nāma caturviṃśo	iti-Ananda-Bawwa-prokte vallAla-carite dAnavarmmA-anuzWAnam nAma caturviMSaH-
   'dhyāyaḥ |	aDyAyaH |
   atha pañcaviṃśo 'dhyāyaḥ	aTa paQcaviMSaH aDyAyaH
   oṃnamaḥ śivāya /	oM-namaH SivAya /
   ādityavarṇastamasaḥ parastāt hiraṇyagarbho jagadantarātmā /	Aditya-varNaH-tamasaH parastAt hiraNyagarBaH jagat-antarAtmA /
   tvatto 'sti jātaḥ puruṣaḥ purāṇaḥ tvatto 'pi vedā jaya deva deva //	tvattaH asti jAtaH puruzaH purANaH tvattaH api vedAH jaya deva deva //
   Valc_2,25.1 //	Valt-_2,25.1 //
   tvattaḥ prasūtā jagataḥ prasūtiḥ sarvvānubhūstvaṃ paramāṇubhūtaḥ /	tvattaH prasUtA jagataH prasUtiH sarvvA-anuBUH-tvam paramANu-BUtaH /
   anoraṇīyān mahato mahīyān ānandarupa jaya deva śambho // Valc_2,25.2 //	anoraNIyAt mahataH mahIyAn Anandarupa jaya deva SamBo // Valt-_2,25.2 //
   tvameva viṣṇuścaturānanastvam	tvam-eva vizNuH-caturAnanaH-tvam
   tvameva rudro bhagavān maheśaḥ /	tvam-eva rudraH BagavAn maheSaH /
   khaṃ brahma śūnyaṃ saguṇoguṇaśca	Kam brahma SUnyam sa-guNaH-guNaH-ca
   cinmātrarupo jaya deva sarvva // Valc_2,25.3 //	cit-mAtrarupaH jaya deva sarvva // Valt-_2,25.3 //
   ekorudrastvaṃ karoṣīha viśvam	ekorudraH-tvam karozi-iha viSvam
   tvaṃ pālayasyakhilaṃ viśvarūpam /	tvam pAlayasi-aKilam viSva-rUpam /
   tvāmevānte nilayaṃ vindatīdam	tvAm-eva-ante nilayam vindati-idam
   vandāmahe jayadevādideva // Valc_2,25.4 //	vandAmahe jayadeva-Adideva // Valt-_2,25.4 //
   pramuñcamāna amṛtasya dhārāṃ	pramuQcamAna amRtasya DArAm
   samehi tāpaṃ suramānuṣāṇām /	samehi tApam sura-mAnuzANAm /
   anantarupaṃ khalu bodhayanti	anantarupam Kalu boDayanti
   tvāmeva vedā jaya viśvanātha // Valc_2,25.5 //	tvAm-eva vedAH jaya viSvanATaH // Valt-_2,25.5 //
   adhimuktivimuktipradaṃ bhavam	aDimukti-vimukti-pradam Bavam
   mahāmuniṃ brahmaparaṃ pavitram /	mahA-munim brahma-param pavitram /
   śirasā vandāmahe jagadgurum	SirasA vandAmahe jagadgurum
   svayambhavaṃ deva jaya lokanātha // Valc_2,25.6 //	svayamBavam deva jaya lokanATa // Valt-_2,25.6 //
   trātāsi dīptosi parāyaṇesi	trAtA-asi dIpta-Usi parAyaNesi
   nāthosi loke praṇato 'smi tubhyam /	nATosi loke praNataH asmi tuByam /
   vaidyottamastvaṃ khalu śalyaharttā	vEdya-uttamaH-tvam Kalu Salya-harttA
   cikitsakastvaṃ jaya devadeva // Valc_2,25.7 //	cikitsakaH-tvam jaya devadeva // Valt-_2,25.7 //
   amalaṃ vimalaṃ rajatādrinibham	amalam vimalam rajata-adri-niBam
   bhavapārakāraṃ jagadarthakaram /	Bava-pArakAram jagat-arTa-karam /
   pañcadhā vimokṣavara cakṣuḥpradam	paQcaDA vimokza-vara cakzuH-pradam
   vandāmahe trinayanaṃ jaya deva // Valc_2,25.8 //	vandAmahe trinayanam jaya deva // Valt-_2,25.8 //
   sahasrapādākṣiśirobhiyuktam	sahasra-pAda-akzi-SiraH-Biyuktam
   sahasravāhuṃ parataḥ parastāt /	sahasra-vAhum paratas parastAt /
   tvāṃ brahmapāraṃ praṇamāmi śambhum	tvAm brahmapAram praNamAmi SamBum
   pinākinaṃ tvāṃ jaya devadeva // Valc_2,25.9 //	pinAkinam tvAm jaya devadeva // Valt-_2,25.9 //
   umādhavogrāya bhavodbhavāya	umADava-ugrAya BavodBavAya
   namāmi sarvvāya harāya tubhyam /	namAmi sarvvAya harAya tuByam /
   kālāya bhagāya prabhākarāya	kAlAya BagAya praBAkarAya
   sarvvātmane deva namaḥ śivāya // Valc_2,25.10 //	sarvvAtmane deva namaH SivAya // Valt-_2,25.10 //
   iti śrīmadānandabhaṭṭaprokte vallālacarite	iti SrImat-Ananda-Bawwa-prokte vallAla-carite
   kālidāsanandilikhita-śrījayamaṅgalagāthā-kīrttanaṃ nāma pañcaviṃśo	kAlidAsanandiliKita-SrIjayamaFgalagATA-kIrttanam nAma paQcaviMSaH-
   'dhyāyaḥ |	aDyAyaH |
   atha ṣaḍviṃśo 'dhyāyaḥ	aTa zaxviMSaH aDyAyaH
   atha nirvvāsitaḥ pūrvvaṃ gaṇairdharmmagiriḥ saha |	aTa nirvvAsitaH pUrvvam gaNEH-DarmmagiriH saha |
