   maṅgalācaraṇam	maFgala-AcaraNam
   sarve prayatnāḥ śithilībhavanti // Hit_4.86 //	sarve prayatnAH SiTilIBavanti // Hit-_4.86 //
   yām eva rātriṃ prathamām upaiti	yAm eva rAtrim praTamAm upEti
   garbhe nivāsaṃ naravīra lokaḥ |	garBe nivAsam nara-vIra lokaH |
   tataḥ prabhṛty askhalita-prayāṇaḥ	tatas praBRti asKalita--prayANaH
   sa pratyahaṃ mṛtyu-samīpam eti // Hit_4.87 //	sa pratyaham mRtyu--samIpam eti // Hit-_4.87 //
   ajñānaṃ kāraṇaṃ na syād viyogo yadi kāraṇam |	ajQAnam kAraNam na syAt viyogaH yadi kAraNam |
   śoko dineṣu gacchatsu vardhatām apayāti kim // Hit_4.88 //	SokaH dinezu gacCatsu varDatAm apayAti kim // Hit-_4.88 //
   tad bhadra ! tad ātmānam anusandhehi | śoka-carcāṃ ca parihara, yataḥ-	tat Badra ! tat AtmAnam anusanDehi | Soka-carcAm ca parihara, yatas--
   akāṇḍa-pāta-jātānām astrāṇāṃ marma-bhedinām |	akANxa--pAta--jAtAnAm astrANAm marma--BedinAm |
   gāḍha-śoka-prahārāṇām acintaiva mahauṣadham // Hit_4.89 //	gAXa--Soka--prahArANAm acintA-eva mahOzaDam // Hit-_4.89 //
   tatas tad-vacanaṃ niśamya, prabuddha iva kauṇḍinya utthāyābravīt | tad	tatas tat--vacanam niSamya, prabudDaH iva kONxinyaH utTAya-abravIt | tat-
   alam idānīṃ gṛha-naraka-vāsena vanam eva gacchāmi | kapilaḥ punar āha-	alam idAnIm gRha-naraka--vAsena vanam eva gacCAmi | kapilaH punar Aha-
   vane'pi doṣāḥ prabhavanti rāgiṇāṃ	vane-api dozAH praBavanti rAgiNAm
   gṛhe'pi pañcendriya-nigrahas tapaḥ |	gRhe-api paQca-indriya-nigrahaH tapaH |
   akutsite karmaṇi yaḥ pravartate	akutsite karmaNi yaH pravartate
   trivṛtta-rāgasya gṛhaṃ tapovanam // Hit_4.90 //	trivRt-ta--rAgasya gRham tapaH-vanam // Hit-_4.90 //
   yataḥ-	yatas--
   duḥkhito 'pi cared dharmaṃ yatra kutrāśrame rataḥ |	duHKitaH api caret Darmam yatra kutra-ASrame rataH |
   samaḥ sarveṣu bhūteṣu na liṅgaṃ dharma-kāraṇam // Hit_4.91 //	samaH sarvezu BUtezu na liFgam Darma-kAraNam // Hit-_4.91 //
   uktaṃ ca-	uktam ca-
   vṛtty-arthaṃ bhojanaṃ yeṣāṃ santānārthaṃ ca maithunam |	vRtti--arTam Bojanam yezAm santAna-arTam ca mETunam |
   vāk satya-vacanārthāya durgāṇy api taranti te // Hit_4.92 //	vAc satya-vacana-arTAya durgANi api taranti te // Hid-_4.92 //
   tathā hi-	taTA hi-
   ātmā nadī saṃyam apuṇya-tīrthā	AtmA nadI saMyam apuNya-tIrTA
   satyodakā śīla-taṭā dayormiḥ |	satya-udakA SIla--tawA dayA-UrmiH |
   tatrābhiṣekaṃ kuru pāṇḍu-putra !	tatra-aBizekam kuru pANxu-putra !
   na vāriṇā śuṣyati cāntarātmā // Hit_4.93 //	na vAriNA Suzyati ca-antarAtmA // Hid-_4.93 //
   viśeṣataś ca-	viSezataH ca-
   janma-mṛtyu-jarā-vyādhi-vedanābhir upadrutam |	janma--mRtyu--jarA--vyADi--vedanABiH upadrutam |
   saṃsāram imam utpannam asāraṃ tyajataḥ sukham // Hit_4.94 //	saMsAram imam utpannam asAram tyajataH suKam // Hit-_4.94 //
   yataḥ-	yatas--
   duḥkham evāsti na sukhaṃ yasmāt tad upalakṣyate |	duHKam eva-asti na suKam yasmAt tat upalakzyate |
   duḥkhārtasya pratīkāre sukha-saṃjñā vidhīyate // Hit_4.95 //	duHKa-Artasya pratIkAre suKa--saMjQA viDIyate // Hid-_4.95 //
   kauṇḍinyo brūte-evam eva | tato 'haṃ tena śokākulena brāhmaṇena śapto, yad	kONxinyaH brUte--evam eva | tatas aham tena Soka-Akulena brAhmaNena Sapto, yat-
   adyārabhya maṇḍūkānāṃ vāhanaṃ bhaviṣyatīti |	adya-AraBya maNxUkAnAm vAhanam Bavizyati-iti |
   kapilo brūte-sampraty upadeśāsahiṣṇur bhavān | śokāviṣṭaṃ te hṛdayam |	kapilaH brUte--samprati upadeSa-asahizNuH BavAn | Soka-Avizwam te hRdayam |
   tathāpi kāryaṃ śṛṇu-	taTA-api kAryam SRNu-
   saṅgaḥ sarvātmanā tyājyaḥ sa cet tyaktuṃ na śakyate |	saFgaH sarva-AtmanA tyAjyaH sa ced tyaktum na Sakyate |
   sa sadbhiḥ saha kartavyaḥ satāṃ saṅgo hi bheṣajam // Hit_4.96 //	sa sadBiH saha kartavyaH satAm saFgaH hi Bezajam // Hit-_4.96 //
   anyac ca-	anyat ca-
   kāmaḥ sarvātmanā heyaḥ sa ced dhātuṃ na śakyate |	kAmaH sarva-AtmanA heyaH sa ced DAtum na Sakyate |
   sva-bhāryāṃ prati kartavyaḥ saiva tasya hi bheṣajam // Hit_4.97 //	sva-BAryAm prati kartavyaH sA-eva tasya hi Bezajam // Hit-_4.97 //
   etac chrutvā sa kauṇḍinyaḥ kapilopadeśāmṛta-praśānta-śokānalo yathāvidhi	etat SrutvA sa kONxinyaH kapila-upadeSa-amRta--praSAnta--Soka-analaH yaTAviDi
   daṇḍa-grahaṇaṃ kṛtavān | ato brāhmaṇa-śāpān maṇḍūkān voḍhum atra tiṣṭhāmi	daNxa-grahaNam kRtavAn | atas brAhmaNa--SApAt maNxUkAn voXum atra tizWAmi
   | anantaraṃ tena maṇḍūkena gatvā maṇḍūka-nāthasya jālapāda-nāmno 'gre tat	| anantaram tena maNxUkena gatvA maNxUka-nATasya jAlapAda--nAmnaH agre tat-
   kathitam | tato 'sāv āgatya maṇḍūka-nāthas tasya sarpasya pṛṣṭham	kaTitam | tatas asO Agatya maNxUka-nATaH tasya sarpasya pRzWam
   ārūḍhavān | sa ca sarpas taṃ pṛṣṭhe kṛtvā citrapada-kramaṃ babhrāma |	ArUXavAn | sa ca sarpaH tam pRzWe kRtvA citra-pada-kramam baBrAma |
   paredyuś calitum asamarthaṃ taṃ maṇḍūka-nātham avadat-kim adya bhavān	paredyus calitum asamarTam tam maNxUka-nATam avadat-kim adya BavAn
   manda-gatiḥ ?	manda--gatiH ?
   sarpo brūte-deva ! āhāra-virahād asamartho 'smi |	sarpaH brUte-deva ! AhAra--virahAt asamarTaH asmi |
   maṇḍūka-nātho 'vadat-asmād ājñayā maṇḍūkān bhakṣaya | tataḥ gṛhīto 'yaṃ	maNxUka-nATaH avadat-asmAt AjQayA maNxUkAn Bakzaya | tatas gRhItaH ayam
   mahā-prasāda ity uktvā kramaśo maṇḍūkān khāditavān | atha nirmaṇḍūkaṃ saro	mahA--prasAdaH iti uktvA kramaSas maNxUkAn KAditavAn | aTa nirmaNxUkam saraH-
   vilokya maṇḍūka-nātho 'pi tena khāditaḥ | ato 'haṃ bravīmi-skandhenāpi	vilokya maNxUka-nATaH api tena KAditaH | atas aham bravImi-skanDena-api
   vahec chatrūn ity ādi | deva ! yātv idānīṃ purāvṛttākhyāna-kathanaṃ	vahet SatrUn iti Adi | deva ! yAtu idAnIm purA-vRtta-AKyAna--kaTanam
   sarvathā sandheyo 'yaṃ hiraṇyagarbha-rājā sandhīyatām iti me matiḥ |	sarvaTA sanDeyaH ayam hiraNyagarBa-rAjA sanDIyatAm iti me matiH |
   rājovāca-ko 'yaṃ bhavato vicāraḥ ? yato jitas tāvad ayam asmābhiḥ | tato	rAjA-uvAca-kaH ayam BavataH vicAraH ? yatas jitaH tAvat ayam asmABiH | tatas-
   yady asmat sevayā vasati, tad āstām | no ced vigṛhyatām |	yadi asmat sevayA vasati, tat AstAm | no ced vigRhyatAm |
   atrāntare jambūdvīpād āgatya śukenoktaṃ-deva ! siṃhala-dvīpasya sāraso	atra-antare jambUdvIpAt Agatya Sukena-uktaM-deva ! siMhala-dvIpasya sArasaH-
   rājā samprati jambūdvīpam ākramyāvatiṣṭhate |	rAjA samprati jambUdvIpam Akramya-avatizWate |
   rājā sa-sambhramaṃ brūte-kiṃ kim ?	rAjA sa--samBramam brUte--kim kim ?
   śukaḥ pūrvoktaṃ kathayati | gṛdhraḥ svagatam uvāca-sādhu re cakravāka	SukaH pUrva-uktam kaTayati | gRDraH sva-gatam uvAca--sADu re cakravAka
   mantrin ! sādhu !	mantrin ! sADu !
   rājā sa-kopam āha-āstāṃ tāvad ayaṃ gatvā tam eva sa-mūlam unmūlayāmi |	rAjA sa-kopam Aha-AH-tAm tAvat ayam gatvA tam eva sa-mUlam unmUlayAmi |
   dūradarśī vihasyāha-	dUra-darSI vihasya-Aha-
   na śaran-meghavat kāryaṃ vṛthaiva ghana-garjitam |	na Saran-meGa-vat kAryam vRTA-eva Gana-garjitam |
   parasyārtham anarthaṃ vā prakāśayati no mahān // Hit_4.98 //	parasya-arTam anarTam vA prakASayati naH mahAn // Hit-_4.98 //
   aparaṃ ca-	aparam ca-
   ekadā na vigṛhṇīyād bahūn rājābhighātinaḥ |	ekadA na vigRhNIyAt bahUn rAja-aBiGAtinaH |
   sa-darpo 'py uragaḥ kīṭair bahubhir nāśyate dhruvam // Hit_4.99 //	sa-darpaH api uragaH kIwEH bahuBiH nASyate Druvam // Hit-_4.99 //
   deva ! kim ito vinā sandhānaṃ gamanam asti ? yatas tadāsmākaṃ paścāt	deva ! kim itas vinA sanDAnam gamanam asti ? yatas tadA-asmAkam paScAt-
   prakopo 'nena kartavyaḥ | aparaṃ ca-	prakopaH anena kartavyaH | aparam ca-
   yo 'rtha-tattvam avijñāya krodhasyaiva vaśaṃ gataḥ |	yaH arTa--tattvam avijQAya kroDasya-eva vaSam gataH |
   sa tathā tapyate mūḍho brāhmaṇo nakulād yathā // Hit_4.100 //	sa taTA tapyate mUXaH brAhmaNaH nakulAt yaTA // Hit-_4.100 //
   rājāha--katham etat ?	rAjA-aha---kaTam etat ?
   dūradarśī kathayati-	dUradarSI kaTayati-
   kathā 11	kaTA 11
   asty ujjayinyāṃ mādhavo nāma vipraḥ | tasya brāhmaṇī prasūtā, bālāpatyasya	asti ujjayinyAm mADavaH nAma vipraH | tasya brAhmaNI prasUtA, bAla-apatyasya
   rakṣārthaṃ brāhmaṇam avasthāpya sthātuṃ gatā | atha brāhmaṇāya rājñaḥ	rakzA-arTam brAhmaNam avasTApya sTAtum gatAH | aTa brAhmaNAya rAjQaH
   pārvaṇa-śrāddhaṃ dātum āhvānam āgatam | tac chrutvā brāhmaṇo 'pi	pArvaNa--SrAdDam dAtum AhvAnam Agatam | tat SrutvA brAhmaNaH api
   sahaja-dāridryād acintayat-yadi satvaraṃ na gacchāmi, tadānyā kaścic	sahaja--dAridryAt acintayat-yadi sa-tvaram na gacCAmi, tadA-anyA kaScid-
   chrutvā śrāddhaṃ grahīṣyati | yataḥ-	SrutvA SrAdDam grahIzyati | yatas--
   ādeyasya pradeyasya kartavyasya ca karmaṇaḥ |	Adeyasya pradeyasya kartavyasya ca karmaNaH |
   kṣipram akriyamāṇasya kālaḥ pibati tad-rasam // Hit_4.101 //	kzipram akriyamANasya kAlaH pibati tad--rasam // Hit-_4.101 //
   kintu bālākasyātra rakṣako nāsti | tat kiṃ karomi ? yātu,	kintu bAlAkasya-atra rakzakaH na-asti | tat kim karomi ? yAtu,
   cira-kāla-pālitam imaṃ nakulaṃ putra-nirviśeṣaṃ bālaka-rakṣāyāṃ	cira--kAla-pAlitam imam nakulam putra--nirviSezam bAlaka-rakzAyAm
   vyavasthāpya gacchāmi | tathā kṛtvā gataḥ | tatas tena nakulena	vyavasTApya gacCAmi | taTA kRtvA gataH | tatas tena nakulena
   bālaka-samīpam āgacchan kṛṣṇa-sarpo dṛṣṭo vyāpādya kopāt khaṇḍaṃ khaṇḍaṃ	bAlaka--samIpam AgacCan kRzNa-sarpaH dRzwaH vyApAdya kopAt KaNxam KaNxam
   kṛtvā bhakṣitaś ca | tato 'sau nakulo brāhmaṇam āyāntam avalokya	kRtvA BakzitaH ca | tatas asO nakulaH brAhmaNam AyAntam avalokya
   rakta-vilipta-mukha-padaḥ satvaram upagamya tac-caraṇayor luloṭha | tataḥ	rakta--vilipta--muKa-padaH sa-tvaram upagamya tac-caraNayoH luloWa | tatas-
   sa vipras tathā-vidhaṃ dṛṣṭvā mama bālako 'nena khādita ity avadhārya	sa vipraH taTA-viDam dRzwvA mama bAlakaH anena KAditaH iti avaDArya
   nakulaḥ vyāpāditavān | anantaraṃ yāvad upasṛtyāpatyaṃ paśyati brāhmaṇas	nakulaH vyApAditavAn | anantaram yAvat upasRtya-apatyam paSyati brAhmaNa-s
   tāvad bālakaḥ susthaḥ svapiti sarpaś ca vyāpāditas tiṣṭhati | tatas tam	tAvat bAlakaH susTaH svapiti sarpaH ca vyApAditaH tizWati | tatas tam
   upakārakaṃ nakulaṃ nirīkṣya, bhāvita-cetāḥ sa brāhmaṇaḥ paraṃ viṣādam	upakArakam nakulam nirIkzya, BAvita--cetAH sa brAhmaNaH param vizAdam
   agamat | ato 'haṃ bravīmi-yo 'rtha-tattvam avijñāya ity ādi | aparaṃ ca-	agamat | atas aham bravImi-yaH arTa--tattvam avijQAya iti Adi | aparam ca-
   kāmaḥ krodhas tathā lobho harṣo māno madas tathā |	kAmaH kroDaH taTA loBaH harzaH mAnaH madaH taTA |
   ṣaḍ-vargam utsṛjed enaṃ tasmiṃs tyakte sukhī nṛpaḥ // Hit_4.102 //	zax-vargam utsRjet enam tasmin tyakte suKI nRpaH // Hit-_4.102 //
   rājāha-mantrin ! eṣa te niścayaḥ ?	rAjA-aha-mantrin ! eza te niScayaH ?
   mantrī brūte-evam eva | yataḥ-	mantrI brUte--evam eva | yatas--
   smṛtis tat-paratārtheṣu vitarko jñāna-niścayaḥ |	smRtiH tat-para-tA-arTezu vitarkaH jQAna--niScayaH |
   dṛḍhatā mantra-guptiś ca mantriṇaḥ paramo guṇaḥ // Hit_4.103 //	dRXa-tA mantra-guptiH ca mantriNaH paramaH guNaH // Hit-_4.103 //
   tathā ca-	taTA ca-
   sahasā vidadhīta na kriyām	sahasA vidaDIta na kriyAm
   avivekaḥ paramāpadāṃ padam |	avivekaH parama-ApadAm padam |
   vṛṇute hi vimṛśya kāriṇaṃ	vRNute hi vimRSya kAriNam
   guṇa-lubdhāḥ svayam eva sampadaḥ // Hit_4.104 //	guNa-lubDAH svayam eva sampadaH // Hit-_4.104 //
   tad deva ! yadīdānīm asmad-vacanaṃ kriyate, tadā sandhāya gamyatām |	tat deva ! yadi-idAnIm asmat--vacanam kriyate, tadA sanDAya gamyatAm |
   yataḥ-	yatas--
   yadyapy upāyāś catvāro nirdiṣṭāḥ sadhya-sādhane |	yadi-api upAyAH catvAraH nirdizwAH saDya--sADane |
   saṅkhyā-mātraṃ phalaṃ teṣāṃ siddhiḥ sāmni vyavasthitā // Hit_4.105 //	saFKyA--mAtram Palam tezAm sidDiH sAmni vyavasTitAH // Hit-_4.105 //
   rājāha-katham evaṃ satvaraṃ sambhāvyate ?	rAjA-aha--kaTam evam sa-tvaram samBAvyate ?
   mantrī brūte-deva ! satvaraṃ bhaviṣyati | yataḥ-	mantrI brUte-deva ! sa-tvaram Bavizyati | yatas--
   mṛd-ghaṭavat sukha-bhedyo	mRd-Gawa-vat suKa-BedyaH-
   duḥsandhānaś ca durjano bhavati |	duHsanDAnaH ca durjanaH Bavati |
   sujanas tu kanaka-ghaṭavad	su-janaH tu kanaka--Gawa-vat-
   durbhedyaś cāśu sandheyaḥ // Hit_4.106 //	durBedyaH ca-ASu sanDeyaH // Hit-_4.106 //
   ajñaḥ sukham ārādhyaḥ sukhataram ārādhyate viśeṣajñaḥ |	ajQaH suKam ArADyaH suKataram ArADyate viSeza-jQaH |
   jñāna-lava-durvidagdhaṃ brahmāpi naraṃ na rañjayati // Hit_4.107 //	jQAna--lava--durvidagDam brahmA-api naram na raQjayati // Hit-_4.107 //
   karmānumeyāḥ sarvatra parokṣa-guṇa-vṛttayaḥ |	karma-anumeyAH sarvatra parokza-guNa-vRttayaH |
   tasmāt parokṣa-vṛttīnāṃ phalaiḥ karma vibhāvayet // Hit_4.108 //	tasmAt parokza-vRttInAm PalEH karma viBAvayet // Hit-_4.108 //
   rājāha-alam uttarottareṇa, yathābhipretam anuṣṭhīyatām | etan mantrayitvā	rAjA-Aha-alam uttarottareNa, yaTA-aBipretam anuzWIyatAm | etat mantrayitvA
   gṛdhro mahāmantrī-tatra yathārhaṃ kartavyam ity uktvā durgābhyantaraṃ	gRDraH mahA-mantrI--tatra yaTArham kartavyam iti uktvA durga-aByantaram
   calitaḥ | tataḥ praṇidhi-bakenāgatya rājñī hiraṇyagarbhasya niveditaṃ-deva	calitaH | tatas praNiDi-bakena-Agatya rAjQI hiraNyagarBasya niveditaM-deva
   ! sandhi-kartuṃ mahāmantrī gṛdhro 'smat-samīpam āgacchati |	! sanDi-kartum mahA-mantrI gRDraH asmat--samIpam AgacCati |
   rājahaṃso brūte-mantrin ! punar abhisandhinā kenacid atrāgamanam |	rAjahaMsaH brUte--mantrin ! punar aBisanDinA kenacid atra-Agamanam |
   sarvajño vihasyāha-deva ! na śaṅkāspadam etat | yato 'sau mahāśayo	sarvajQaH vihasya-aha-deva ! na SaFkA-Aspadam etat | yatas asO mahA-ASayaH-
   dūradarśī | athavā sthitir iyaṃ manda-matīnāṃ, kadācic chaṅkaiva na	dUra-darSI | aTavA sTitiH iyam manda--matInAn, kadAcid SaFkA-eva na
   kriyate, kadācit sarvatra śaṅkā | tathā hi-	kriyate, kadAcid sarvatra SaFkA | taTA hi-
   sarasi bahuśas tārācchāyekṣaṇāt parivañcitaḥ	sarasi bahuSas tArAt-CAyA-IkzaNAt parivaQcitaH
   kumuda-viṭapānveṣī haṃso niśāsvavicakṣaṇaḥ |	kumuda--viwapa-anvezI haMsaH niSAsu-avicakzaNaH |
   na daśati punas tārāśaṅkī divāpi sitotpalaṃ	na daSati punar tArA-SaFkI divA-api sitotpalam
   kuhuka-cakito lokaḥ satye'py apāyam apekṣate // Hit_4.109 //	kuhuka-cakitaH lokaH satye-api apAyam apekzate // Hit-_4.109 //
   durjana-dūṣita-manasaḥ sujaneṣv api nāsti viśvāsaḥ |	durjana--dUzita-manasaH su-janezu api na-asti viSvAsaH |
   bālaḥ pāyasa-dagdho dadhy api phūtkṛtya bhakṣayati // Hit_4.110 //	bAlaH pAyasa-dagDaH daDi api PUtkRtya Bakzayati // Hit-_4.110 //
   tad deva ! yathā-śakti tat-pūjārthaṃ ratnopahārādi-sāmagrī susajjīkriyatām	tat deva ! yaTA-Sakti tat--pUjA-arTam ratna-upahAra-Adi-sAmagrI su-sajjIkriyatAm
   | tathānuṣṭhite sati sa gṛdhro durga-dvārāc cakravākeṇopagamya,	| taTA-anuzWite sati sa gRDraH durga-dvArAt cakravAkeNa-upagamya,
   satkṛtyānīya rāja-darśanaṃ kārito dattāsane copaviṣṭaḥ | cakravāka	satkRtya-AnIya rAja--darSanam kAritaH datta-Asane ca-upavizwaH | cakravAka
   uvāca-mantrin ! yuṣmad-āyattaṃ sarvaṃ svecchayopabhujyatām idaṃ rājyam æ	uvAca--mantrin ! yuzmad--Ayattam sarvam sva-icCayA-upaBujyatAm idam rAjyam æ
   rājahaṃso brūte-evam eva |	rAjahaMsaH brUte--evam eva |
   dūradarśī kathayati-evam evaitat | kintv idānīṃ bahu-prapañca-vacanaṃ	dUra-darSI kaTayati--evam eva-etat | kintu idAnIm bahu--prapaQca--vacanam
   niṣparyojanam | yataḥ-	nizparyojanam | yatas--
   lubdham arthena gṛhṇīyāt stabdham añjali-karmaṇā |	lubDam arTena gRhNIyAt stabDam aQjali-karmaNA |
   mūrkhaṃ chandānurodhena yāthātathyena paṇḍitam // Hit_4.111 //	mUrKam Canda-anuroDena yATAtaTyena paNxitam // Hid-_4.111 //
   anyac ca-	anyat ca-
   sad-bhāvena haren mitraṃ sambhrameṇa tu bāndhavān |	sad-BAvena haret mitram samBrameNa tu bAnDavAn |
   strī-bhṛtyau dāna-mānābhyāṃ dākṣiṇyenetarān janān // Hit_4.112 //	strI-BRtyO dAna-mAnAByAm dAkziNyena-itarAn janAn // Hit-_4.112 //
   tad idānīṃ sandhātuṃ gamyatām | mahā-pratāpaś citravarṇo rājā |	tat idAnIm sanDAtum gamyatAm | mahA--pratApaH citravarNaH rAjA |
   cakravāko brūte-yathā sandhānaṃ kāryam | tad apy ucyatām |	cakravAkaH brUte-yaTA sanDAnam kAryam | tat api ucyatAm |
   rājahaṃso brūte-kati prakārāḥ sandhīnāṃ sambhavanti ?	rAjahaMsaH brUte-kati prakArAH sanDInAm samBavanti ?
   gṛdhro brūte-kathayāmi śrūyatām-	gRDraH brUte--kaTayAmi SrUyatAm-
   balīyasābhiyuktas tu nṛpo nānya-pratikriyaḥ |	balIyasA-aBiyuktaH tu nRpaH na-anya--pratikriyaH |
   āpannaḥ sandhim anvicchet kurvāṇaḥ kāla-yāpanam // Hit_4.113 //	ApannaH sanDim anvicCet kurvANaH kAla-yApanam // Hit-_4.113 //
   kapāla upahāraś ca santānaḥ saṃgatas tathā |	kapAlaH upahAraH ca santAnaH saMgataH taTA |
   upanyāsaḥ pratīkāraḥ saṃyogaḥ puruṣāntaraḥ // Hit_4.114 //	upanyAsaH pratIkAraH saMyogaH puruza-antaraH // Hit-_4.114 //
   adṛṣṭa-nara ādiṣṭa ātmāmiṣa upagrahaḥ |	adRzwa---naraH AdizwaH Atma-AmizaH upagrahaH |
   parikrayas tathocchinnas tathā ca para-dūṣaṇaḥ // Hit_4.115 //	parikrayaH taTA-ucCinnaH taTA ca para-dUzaNaH // Hit-_4.115 //
   skandhopaneyaḥ sandhiś ca ṣoḍaśaḥ parakīrtitaḥ |	skanDa-upaneyaH sanDiH ca zoxaSaH para-kIrtitaH |
   iti ṣoḍaśakaṃ prāhuḥ sandhiṃ sandhi-vicakṣaṇāḥ // Hit_4.116 //	iti zoxaSakam prAhuH sanDim sanDi--vicakzaNAH // Hid-_4.116 //
   kapāla-sandhir vijñeyaḥ kevalaṃ sama-sandhikaḥ |	kapAla--sanDiH vijQeyaH kevalam sama-sanDikaH |
   sampradānād bhavati ya upahāraḥ sa ucyate // Hit_4.117 //	sampradAnAt Bavati yaH upahAraH saH ucyate // Hid-_4.117 //
   santāna-sandhir vijñeyo dārikā-dāna-pūrvakaḥ |	santAna--sanDiH vijQeyaH dArikA-dAna--pUrvakaH |
   sadbhis tu saṅgataḥ sandhir maitrī-pūrva udāhṛtaḥ // Hit_4.118 //	sadBiH tu saFgataH sanDiH mEtrI--pUrvaH udAhRtaH // Hit-_4.118 //
   yāvad āyuḥ-pramāṇas tu samānārtha-prayojanaḥ |	yAvat AyuH-pramANaH tu samAna-arTa--prayojanaH |
   sampattau vā vipattau vā kāraṇair yo na bhidyate // Hit_4.119 //	sampattO vA vipattO vA kAraNEH yaH na Bidyate // Hid-_4.119 //
   saṅgataḥ sandhir evāyaṃ prakṛṣṭatvāt suvarṇavat |	saFgataH sanDiH eva-ayam prakRzwa-tvAt suvarNa-vat |
   tathānyaiḥ sandhi-kuśalaiḥ kāñcanaḥ samudāhṛtaḥ // Hit_4.120 //	taTA-anyEH sanDi--kuSalEH kAQcanaH samudAhRtaH // Hit-_4.120 //
   ātma-kāryasya siddhiṃ tu samuddiśya kriyeta yaḥ |	Atma--kAryasya sidDim tu samuddiSya kriyeta yaH |
   sa upanyāsa-kuśalair upanyāsa udāhṛtaḥ // Hit_4.121 //	saH upanyAsa---kuSalEH upanyAsaH udAhRtaH // Hit-_4.121 //
   mayāsyopakṛtaṃ pūrvaṃ mamāpy eṣa kariṣyati |	mayA-asya-upakRtam pUrvam mama-api eza karizyati |
   iti yaḥ kriyate sandhiḥ pratīkāraḥ sa ucyate // Hit_4.122 //	iti yaH kriyate sanDiH pratIkAraH saH ucyate // Hid-_4.122 //
   upakāraṃ karomy asya mamāpy eṣa kariṣyati |	upakAram karomi asya mama-api eza karizyati |
   ayaṃ cāpi pratīkāro rāma-sugṛīvayor iva // Hit_4.123 //	ayam ca-api pratIkAraH rAma--su-gRIvayoH iva // Hit-_4.123 //
   ekārthāṃ samyag uddiśya yātrāṃ yatra hi gacchataḥ |	eka-arTAm samyak uddiSya yAtrAm yatra hi gacCataH |
   susaṃhita-prayāṇas tu sandhiḥ saṃyoga ucyate // Hit_4.124 //	su-saMhita--prayANaH tu sanDiH saMyogaH ucyate // Hid-_4.124 //
   āvayor yodha-mukhyābhyāṃ mad-arthaḥ sādhyatām iti |	AvayoH yoDa--muKyAByAm mad--arTaH sADyatAm iti |
   yasmin paṇaḥ prakriyate sa sandhiḥ puruṣāntaraḥ // Hit_4.125 //	yasmin paNaH prakriyate sa sanDiH puruza-antaraH // Hit-_4.125 //
   tvayaikena madīyo 'rthaḥ samprasādhyas tv asāv iti |	tvayA-ekena madIyaH arTaH samprasADyaH tu asO iti |
   yatra śatruḥ paṇaṃ kuryāt so 'dṛṣṭa-puruṣaḥ smṛtaḥ // Hit_4.126 //	yatra SatruH paNam kuryAt saH adRzwa-puruzaH smRtaH // Hit-_4.126 //
   yatra bhūmy-eka-deśena paṇena ripur ūrjitaḥ |	yatra BUmi--eka-deSena paNena ripuH UrjitaH |
   sandhīyate sandhi-vidbhiḥ sa cādiṣṭa udāhṛtaḥ // Hit_4.127 //	sanDIyate sanDi-vidBiH sa ca-AdizwaH udAhRtaH // Hit-_4.127 //
   sva-sainyena tu sandhānam ātmādiṣṭa udāhṛtaḥ |	sva--sEnyena tu sanDAnam Atma-AdizwaH udAhRtaH |
   kriyate prāṇa-rakṣārthaṃ sarva-dānād upagrahaḥ // Hit_4.128 //	kriyate prANa-rakzA-arTam sarva-dAnAt upagrahaH // Hit-_4.128 //
   kośāṃśenārdha-kośena sarva-kośena vā punaḥ |	koSa-aMSena-arDa--koSena sarva-koSena vA punar |
   śiṣṭasya pratirakṣārthaṃ parikraya udāhṛtaḥ // Hit_4.129 //	Sizwasya pratirakzA-arTam parikrayaH udAhRtaH // Hit-_4.129 //
   bhuvāṃ sāravatīnāṃ tu dānād ucchinna ucyate |	BuvAm sAravatInAm tu dAnAt ucCinnaH ucyate |
   bhūmy-uttha-phala-dānena sarveṇa para-bhūṣaṇaḥ // Hit_4.130 //	BUmy-utTa--Pala-dAnena sarveNa para-BUzaNaH // Hit-_4.130 //
   paricchinnaṃ phalaṃ yatra pratiskandhena dīyate |	paricCinnam Palam yatra pratiskanDena dIyate |
   skandhopaneyaṃ taṃ prāhuḥ sandhiṃ sandhi-vicakṣaṇāḥ // Hit_4.131 //	skanDa-upaneyam tam prAhuH sanDim sanDi--vicakzaNAH // Hid-_4.131 //
   parasparopakāras tu maitrī sambandhakas tathā |	paraspara-upakAraH tu mEtrI sambanDakaH taTA |
