   kāmaśūtrasya viṣayānukramaḥ	kAmaSUtrasya vizaya-anukramaH
   6.4.27/.anena vā pratibaddham anena saṃdhiṃ kṛtvā nāyakaṃ dhaninam	6.4.27/.anena vA pratibadDam anena saMDim kRtvA nAyakam Daninam
   avāpsyāmi/	avApsyAmi/
   6.4.28/.vimānito vā bhāryayā tam eva tasyāṃ vikramayiṣyāmi/	6.4.28/.vimAnitaH vA BAryayA tam eva tasyAm vikramayizyAmi/
   6.4.29/.asya vā mitraṃ mad^dveṣiṇīṃ sapatnīṃ kāmayate tad amunā	6.4.29/.asya vA mitram mad-^dveziNIm sapatnIm kAmayate tat amunA
   bhedayiṣyāmi/	BedayizyAmi/
   6.4.30/.cala^cittatayā vā lāghavam enam āpādayiṣyāmi^iti//(p.338)	6.4.30/.cala^citta-tayA vA lAGavam enam ApAdayizyAmi^iti//(p.338)
   6.4.31/.tasya pīṭhamarda^ādayo mātur dauḥśīlyena nāyikāyāḥ saty apy	6.4.31/.tasya pIWamarde-^AdayaH mAtuH dOHSIlyena nAyikAyAH sati api-
   anurāge (p.338)vivaśāyāḥ pūrvaṃ niṣkāsanaṃ varṇayeyuḥ/	anurAge (p.338)vivaSAyAH pUrvam nizkAsanam varNayeyuH/
   6.4.32/.vartamānena ca^akāmāyāḥ saṃsargaṃ vidveṣaṃ ca/	6.4.32/.vartamAnena ca^akAmAyAH saMsargam vidvezam ca/
   6.4.33/.tasyāś ca sa^abhijñānaiḥ pūrva^anurāgair enaṃ pratyāpayeyuḥ/	6.4.33/.tasyAH ca sa^aBijQAnEH pUrva^anurAgEH enam pratyApayeyuH/
   6.4.34/.abhijñānaṃ ca tatkṛta^upakāra^saṃbaddhaṃ syād iti	6.4.34/.aBijQAnam ca tad-kRtaH-^upakAra^saMbadDam syAt iti
   viśīrṇa^pratisaṃdhānam//(p.339)	viSIrNa^pratisaMDAnam-//(p.339)
   6.4.35/.apūrva^pūrva^saṃsṛṣṭayoḥ pūrva^saṃsṛṣṭaḥ śreyān/ sa hi vidita^śīlo	6.4.35/.a-pUrva^pUrva^saMsRzwayoH pUrva^saMsRzwaH SreyAn/ sa hi vidita^SIlaH-
   dṛṣṭa^rāgaś ca sūpacāro bhavati^ity ācāryāḥ/	dRzwa^rAgaH ca su-upacAraH Bavati^iti AcAryAH/
   6.4.36/.pūrva^saṃsṛṣṭaḥ sarvato niṣpīḍita^arthatvān na^atyartham arthado	6.4.36/.pUrva^saMsRzwaH sarvatas nizpIxita^arTa-tvAt na^atyarTam arTa-daH-
   duḥkhaṃ ca punar^viśvāsayitum/ apūrvas tu sukhena^anurajyata iti	duHKam ca punar^viSvAsayitum/ apUrvaH tu suKena^anurajyate iti
   vātsyāyanaḥ/	vAtsyAyanaH/
   6.4.37/.tathā^api puruṣa^prakṛtito viśeṣaḥ//(p.339) bhavanti ca^atra	6.4.37/.taTA^api puruza^prakRtitaH viSezaH//(p.339) Bavanti ca^atra
   ślokāḥ---(p.340)	SlokAH---(p.340)
   6.4.38ab/.anyāṃ bhedayituṃ gamyād anyato gamyam eva vā/(p.340)	6.4.38ab/.anyAm Bedayitum gamyAt anyatas gamyam eva vA/(p.340)
   6.4.38cd/.sthitasya ca^upaghātā^arthaṃ punaḥ saṃdhānam iṣyate//(p.340)	6.4.38cd/.-sTitasya ca^upaGAta-a^arTam punar saMDAnam izyate//(p.340)
   6.4.39ab/.bibhetyanyasya saṃyogād vyalīkāni ca na^īkṣate/(p.340)	6.4.39ab/.biBeti-anyasya saMyogAt vyalIkAni ca na^Ikzate/(p.340)
   6.4.39cd/.atisaktaḥ pumān yatra bhayād bahu dadāti ca//(p.340)	6.4.39cd/.atisaktaH pumAn yatra BayAt bahu dadAti ca//(p.340)
   6.4.40ab/.asaktam abhinandeta saktaṃ paribhavet tathā/(p.340)	6.4.40ab/.a-saktam aBinandeta saktam pariBavet taTA-a/(p.340)
   6.4.40cd/.anyadūta^anupāte ca yaḥ syād ativiśāradaḥ//(p.340)	6.4.40cd/.anya-dUta^anupAte ca yaH syAt ati-viSAradaH//(p.340)
   6.4.41ab/.tatra^upayāyinaṃ pūrvaṃ nārī kālena yojayet/(p.340)	6.4.41ab/.tatra^upayAyinam pUrvam nArI kAlena yojayet-/(p.340)
   6.4.41cd/.bhavec ca^acchinna^saṃdhānā na ca saktaṃ	6.4.41cd/.-Bavet ca^acCinna^saMDAnA na ca saktam
   parityajet//(yugmam)(p.340)	parityajet-//(-yugmam-)(p.340)
   6.4.42ab/.saktaṃ tu vaśinaṃ nārī saṃbhāṣya^apy anyato vrajet/(p.340)	6.4.42ab/.saktam tu vaSinam nArI saMBAzya^api anyatas vrajet-/(p.340)
   6.4.42cd/.tataś ca^artham upādāya saktam eva^anurañjayet//(p.340)	6.4.42cd/.tatas ca^arTam upAdAya saktam eva^anuraQjayet//(p.340)
   6.4.43ab/.āyatiṃ prasamīkṣyā^ādau lābhaṃ prītiṃ ca puṣkalām/(p.340)	6.4.43ab/.a-Ayatim prasamIkzyAH-^AdO lABam prItim ca puzkalAm/(p.340)
   6.4.43cd/.sauhṛdaṃ pratisaṃdadhyād viśīrṇaṃ strī vicakṣaṇā//(p.340)	6.4.43cd/.-sOhRdam pratisaMdaDyAt viSIrNam strI vicakzaNA/-/(p.340)
   6.5. lābhaviśeṣāḥ	6.5. lABa-viSezAH
   6.5.1/.gamya^bāhulye bahu pratidinaṃ ca labhamānā na^ekaṃ	6.5.1/.gamya^bAhulye bahu pratidinam ca laBamAnA na^ekam
   pratigṛhṇīyāt//(p.342)	pratigRhNIyAt//(p.342)
   6.5.2/.deśaṃ kālaṃ sthitim ātmano guṇān saubhāgyaṃ ca^anyābhyo	6.5.2/.deSam kAlam sTitim AtmanaH guNAn sOBAgyam ca^anya-aByaH-
   nyūna^atiriktatāṃ ca^avekṣya rajanyām arthaṃ sthāpayet//(p.342)	nyUna^atirikta-tAm ca^avekzya rajanyAm arTam sTApayet-//(p.342)
   6.5.3/.gamye dūtāṃś ca prayojayet/ tat^pratibaddhāṃś ca svayaṃ	6.5.3/.gamye dUtAn ca prayojayet/ tat-^pratibadDAn ca svayam
   prahiṇuyāt//(p.342)	prahiNuyAt//(p.342)
   6.5.4/.dvis triś catur iti lābhā^atiśaya^graha^artham ekasya^api gacchet/	6.5.4/.dviH tris catuH iti lABAH-^atiSaya^graha^arTam ekasya^api gacCet-/
   parigrahaṃ ca caret//(p.342)	parigraham ca caret//(p.342)
   6.5.5/.gamya^yaugapadye tu lābha^sāmye yad dravya^arthinī syāt tad dāyini	6.5.5/.gamya^yOgapadye tu lABa^sAmye yat dravya-^arTinI syAt tat dAyini
   viśeṣaḥ pratyakṣa ity ācāryāḥ//(p.343)	viSezaH pratyakzaH iti AcAryAH//(p.343)
   6.5.6/.apratyādeyatvāt sarva^kāryāṇāṃ tan^mūlatvād dhiraṇyada iti	6.5.6/.a-pratyAdeya-tvAt sarva^kAryANAm tat-^mUla-tvAt DiraNya-daH iti
   vātsyāyanaḥ//(p.343)	vAtsyAyanaH//(p.343)
   6.5.7/.suvarṇa^rajata^tāmra^kāṃsya^loha^bhāṇḍa^upaskara^āstaraṇa^prāvaraṇa^vās	6.5.7/.suvarNa^rajata^tAmra^kAMsya^loha^BANxaH-^upaskaraH-^AstaraNa^prAvaraNa^vAs
   o^viśeṣa^gandhadravya^kaṭuka^bhāṇḍa^ghṛta^taila^dhānya^paśu^jātīnāṃ	aH-^viSeza^ganDa-dravya^kawuka^BANxa^GRta^tEla^DAnya^paSu^jAtInAm
   pūrva^pūrvato viśeṣaḥ/	pUrva^pUrvatas viSezaH/
   6.5.8/.yat tatra sāmyād vā dravya^sāmye mitra^vākyād atipātitvād āyatito	6.5.8/.yat tatra sAmyAt vA dravya^sAmye mitra^vAkyAt atipAti-tvAt AyatitaH-
   gamya^guṇataḥ prītitaś ca viśeṣaḥ//(p.343)	gamya^guNataH prItitaH ca viSezaH//(p.343)
   6.5.9/.rāgi^tyāginos tyāgini viśeṣaḥ pratyakṣa ity ācāryāḥ//(p.344)	6.5.9/.rAgi^tyAginoH tyAgini viSezaH pratyakzaH iti AcAryAH//(p.344)
   6.5.10/.śakyo hi rāgiṇi tyāga ādhātum//(p.344)	6.5.10/.SakyaH hi rAgiNi tyAgaH ADAtum-//(p.344)
   6.5.11/.lubdho +api hi raktas tyajati na tu tyāgī nirbandhād rajyata iti	6.5.11/.lubDaH +api hi raktaH tyajati na tu tyAgI nirbanDAt rajyate iti
   vātsyāyanaḥ//(p.344)	vAtsyAyanaH//(p.344)
   6.5.12/.tatra^api dhanavad^adhanavator dhanavati viśeṣaḥ/	6.5.12/.tatra^api Dana-vat-^aDanavatoH Danavati viSezaH/
   tyāgi^prayojana^kartroḥ prayojana^kartari viśeṣaḥ pratyakṣa ity	tyAgi^prayojana^kartroH prayojana^kartari viSezaH pratyakzaH iti-
   ācāryāḥ//(p.344)	AcAryAH//(p.344)
   6.5.13/.prayojana^kartā sakṛt kṛtvā kṛtinam ātmānaṃ manyate tyāgī punar	6.5.13/.-prayojana^kartA sakRt kRtvA kRtinam AtmAnam manyate tyAgI punar-
   atītaṃ na^apekṣata iti vātsyāyanaḥ//(p.344)	atItam na^apekzate iti vAtsyAyanaH//(p.344)
   6.5.14/.tatra^apy ātyayikato viśeṣaḥ/	6.5.14/.tatra^api AtyayikataH viSezaH/
   6.5.15/.kṛtajña^tyāginos tyāgini viśeṣaḥ pratyakṣa ity ācāryāḥ//(p.344)	6.5.15/.kRtajQa^tyAginoH tyAgini viSezaH pratyakzaH iti AcAryAH//(p.344)
   6.5.16/.ciram ārādhito +api tyāgī vyalīkam ekam upalabhya pratigaṇikayā vā	6.5.16/.ciram ArADitaH +api tyAgI vyalIkam ekam upalaBya pratigaNikayA vA
   mithyā^dūṣitaḥ śramam atītaṃ na^apekṣate/	miTyA^dUzitaH Sramam atItam na^apekzate/
   6.5.17/.prāyeṇa hi tejasvina ṛjavo +anādṛtāś ca tyāgino bhavanti/	6.5.17/.-prAyeNa hi tejasvinaH RjavaH +anAdRtAH ca tyAginaH Bavanti/
   6.5.18/.kṛtajñas tu pūrva^śrama^apekṣī na sahasā virajyate/	6.5.18/.kRtajQaH tu pUrva^Srama^apekzI na sahasA virajyate/
   parīkṣita^śīlatvāc ca na mithyā dūṣyata iti vātsyāyanaḥ//(p.345)	parIkzita^SIla-tvAt ca na miTyA dUzyate iti vAtsyAyanaH//(p.345)
   6.5.19/.tatra^apy āyatito viśeṣaḥ//(p.345)	6.5.19/.tatra^api AyatitaH viSezaH//(p.345)
   6.5.20/.mitra^vacana^artha^āgamayor artha^āgame viśeṣaḥ pratyakṣa ity	6.5.20/.mitra^vacanaH-^arTaH-^AgamayoH arTaH-^Agame viSezaH pratyakzaH iti-
   ācāryāḥ//(p.345)	AcAryAH//(p.345)
   6.5.21/.so +api hy artha^āgamo bhavitā/ mitraṃ tu sakṛd vākye pratihate	6.5.21/.saH +api hi arTaH-^AgamaH BavitA/ mitram tu sakRt vAkye pratihate
   kaluṣitaṃ syād iti vātsyāyanaḥ//(p.345)	kaluzitam syAt iti vAtsyAyanaH//(p.345)
   6.5.22/.tatra^apy atipātato viśeṣaḥ//(p.346)	6.5.22/.tatra^api atipAtataH viSezaH//(p.346)
   6.5.23/.tatra kārya^saṃdarśanena mitram anunīya śvobhūte vacanam astv iti	6.5.23/.tatra kArya^saMdarSanena mitram anunIya SvoBUte vacanam astu iti
   tato +atipātinam arthaṃ pratigṛhṇīyāt//(p.346)	tatas +atipAtinam arTam pratigRhNIyAt//(p.346)
   6.5.24/.artha^āgama^anartha^pratīghātayor artha^āgame viśeṣaḥ pratyakṣa	6.5.24/.arTaH-^Agama^anarTa^pratIGAtayoH arTaH-^Agame viSezaH pratyakza
   ity ācāryāḥ//(p.346)	iti AcAryAH//(p.346)
   6.5.25/.arthaḥ parimita^avacchedaḥ, anarthaḥ punaḥ sakṛt^prasṛto na	6.5.25/.arTaH parimita^avacCedaH, anarTaH punar sakRt-^prasRtaH na
   jñāyate kva^avatiṣṭhata iti vātsyāyanaḥ//(p.346)	jQAyate kva^avatizWate iti vAtsyAyanaH//(p.346)
   6.5.26/.tatra^api guru^lāghava^kṛto viśeṣaḥ//(p.346)	6.5.26/.tatra^api guru^lAGava^kRtaH viSezaH//(p.346)
   6.5.27/.etena^artha^saṃśayād anartha^pratīkāre viśeṣo vyākhyātaḥ//(p.346)	6.5.27/.etena^arTa^saMSayAt anarTa^pratIkAre viSezaH vyAKyAtaH//(p.346)
   6.5.28/.devakula^taḍāga^ārāmāṇām karaṇam, sthalīnām agni^caityānāṃ	6.5.28/.devakula^taxAgaH-^ArAmANAm karaNam, sTalInAm agni^cEtyAnAm
   nibandhanam, go^sahasrāṇāṃ pātra^antaritaṃ brāhmaṇebhyo dānam, devatānāṃ	nibanDa-nam, go^sahasrANAm pAtra^antaritam brAhmaNeByaH dAnam, devatAnAm
   pūjā^upahāra^pravartanam, tad^vyaya^sahiṣṇor vā dhanasya parigrahaṇam ity	pUjA^upahAra^pravartanam, tat-^vyaya^sahizNoH vA Danasya parigrahaNam iti-
   uttama^gaṇikānāṃ lābha^atiśayaḥ//(p.347)	uttama^gaNikAnAm lABa^atiSayaH//(p.347)
   6.5.29/.sārva^aṅgiko +alaṃkāra^yogo gṛhasya^udārasya karaṇam/ mahārhair	6.5.29/.sArva^aFgikaH +alaMkAra^yogaH gRhasya^udArasya karaNam/ mahArhEH-
   bhāṇḍaiḥ paricārakaiś ca gṛha^paricchadasya^ujjvalata^iti rūpa^ājīvānāṃ	BANxEH paricArakEH ca gRha^paricCadasya^ujjvalate-^iti rUpaH-^AjIvAnAm
   lābhā^atiśayaḥ//(p.347)	lABAH-^atiSayaH//(p.347)
   6.5.30/.nityaṃ śuklam ācchādanam apakṣudham anna^pānaṃ nityaṃ	6.5.30/.nityam Suklam AcCAdanam apakzuDam anna^pAnam nityam
   saugandhikena tāmbūlena ca yogaḥ sahiraṇya^bhāgam alaṃkaraṇam iti	sOganDikena tAmbUlena ca yogaH sa-hiraNya^BAgam alaMkaraNam iti
   kumbha^dāsīnāṃ lābha^atiśayaḥ//(p.348)	kumBa^dAsInAm lABa^atiSayaH//(p.348)
   6.5.31/.etena pradeśena madhyama^adhamānām api lābha^atiśayān sarvāsām eva	6.5.31/.etena pradeSena maDyamaH-^aDamAnAm api lABa^atiSayAn sarvAsAm eva
   yojayed ity ācāryāḥ//(p.348)	yojayet iti AcAryAH//(p.348)
   6.5.32/.deśa^kāla^vibhava^sāmarthya^anurāga^loka^pravṛtti^vaśād	6.5.32/.da-ISa^kAla^viBava^sAmarTya^anurAga^loke-^pravRtti^vaSAt-
   aniyata^lābha^ādi^yama^vṛttir iti vātsyāyanaḥ//(p.348)	aniyata^lABaH-^Adi^yama^vRttiH iti vAtsyAyanaH//(p.348)
   6.5.33/.gamyam anyato nivārayitukāmā saktam anyasyām apahartukāmā vā anyāṃ	6.5.33/.gamyam anyatas nivArayitu-kAmA saktam anyasyAm apahartu-kAmAH vA anyAm
   vā lābhato viyuyukṣamāṇa^agamya^saṃsargād ātmanaḥ sthānaṃ vṛddhim āyatim	vA lABataH viyuyukzamANa^agamya^saMsargAt AtmanaH sTAnam vRdDim Ayatim
   abhigamyatāṃ ca manyamānā anartha^pratīkāre vā sāhāyam enaṃ kārayitukāmā	aBigamyatAm ca manyamAnAH anarTa^pratIkAre vA sAhAyam enam kArayitu-kAmA
   saktasya vā ^anyasya vyalīka^arthinī pūrva^upakāram akṛtam iva paśyantī	saktasya vA ^anyasya vyalIka^arTinI pUrvaH-^upakAram akRtam iva paSyantI
   kevala prīty^arthinī vā kalyāṇa^buddher alpam api lābhaṃ	kevala prIti-^arTinI vA kalyANa^budDeH alpam api lABam
   pratigṛhṇīyāt//(p.349)	pratigRhNIyAt//(p.349)
   6.5.34/.āyaty^arthinī tu tam āśritya ca^anarthaṃ praticikīrṣantī naiva	6.5.34/.Ayati-^arTinI tu tam ASritya ca^anarTam praticikIrzantI na-eva
   pratigṛhṇīyāt//(p.349)	pratigRhNIyAt//(p.349)
   6.5.35/.tyakṣyāmy enam anyataḥ pratisaṃdhāsyāmi, gamiṣyati dārair yokṣyate	6.5.35/.ti-akzyAmi enam anyatas pratisaMDAsyAmi, gamizyati dArEH yokzyate
   nāśayiṣyaty anarthān, aṅkuśa^bhūta uttara^adhyakṣo +asya^āgamiṣyati svāmī	nASayizyati anarTAn, aFkuSa^BUtaH uttaraH-^aDyakzaH +asya^Agamizyati svAmI
   pitā vā, sthāna^bhraṃśo vā^asya bhaviṣyati cala^cittaś ca^iti manyamānā	pitA vA, sTAna^BraMSaH vE-^asya Bavizyati cala^cittaH ca^iti manyamAnA
   tadātve tasmāl lābham icchet//(p.350)	tadAtve tasmAt lABam icCet//(p.350)
   6.5.36/.pratijñātam īśvareṇa pratigrahaṃ lapsyate adhikaraṇaṃ sthānaṃ vā	6.5.36/.pratijQAtam ISvareNa pratigraham lapsyate aDikaraNam sTAnam vA
   prāpsyati vṛtti^kālo +asya vā āsannaḥ vāhanam asyā gamiṣyati	prApsyati vRtti^kAlaH +asya vA AsannaH vAhanam asyAH gamizyati
   sthala^pattraṃ vā sasyam asya pakṣyate kṛtam asmin na naśyati nityam	sTala^pattram vA sasyam asya pakzyate kRtam asmin na naSyati nityam
   avisaṃvādako vā^ity āyatyām icchet/ parigraha^kalpaṃ vā^ācaret//(p.350)	avisaMvAdakaH vA^iti AyatyAm icCet/ parigraha^kalpam vA^Acaret//(p.350)
   bhavanti ca^atra ślokāḥ---(p.351)	Bavanti ca^atra SlokAH---(p.351)
   6.5.37ab/.kṛcchra^adhigata^vittāṃś ca rāja^vallabha^niṣṭhurān/(p.351)	6.5.37a-b/.kRcCra^aDigata^vittAn ca rAja^vallaBa^nizWurAn-/(p.351)
   6.5.37cd/.āyātyāṃ ca tadātve ca dūrād eva vivarjayet//(p.351)	6.5.37cd/.AyAtyAm ca tadAtve ca dUrAt eva vivarjayet//(p.351)
   6.5.38ab/.anartho varjane yeṣāṃ gamane +abhyudayas tathā/(p.351)	6.5.38ab/.anarTaH varjane yezAm gamane +aByudayaH taTA-a/(p.351)
   6.5.38cd/.prayatnena^api tān gṛhya sa^apadeśam upakramet//(p.351)	6.5.38cd/.-prayatnena^api tAn gRhya sa^apadeSam upakramet//(p.351)
   6.5.39ab/.prasannā ye prayacchanti svalpe +apy agaṇitaṃ vasu/(p.351)	6.5.39ab/.-prasannAH ye prayacCanti su-alpe +api agaNitam vasu/(p.351)
   6.5.39cd/.sthūla^lakṣān mahotsāhāṃs tān gacchet svair api vyayaiḥ//(p.351)	6.5.39cd/.-sTUla^lakzAn mahA-utsAhAn tAn gacCet svEH api vyayEH//(p.351)
   6.6.arthānarthanubandhasaṃśayavicārā veśyāviśeṣāś ca	6.6.arTAnarTa-nubanDa-saMSaya-vicArAH veSyA-viSezAH ca
   6.6.1/.arthān ācaryamāṇān anarthā apy anūdbhavanty anubandhāḥ saṃśayāś	6.6.1/.arTAn AcaryamANAn anarTAH api anu-udBavanti anubanDAH saMSayAS
   ca//(p.352)	ca//(p.352)
   6.6.2/.te buddhi^daurbalyād atirāgād atyabhimānād atidambhād atyārjavād	6.6.2/.te budDi^dOrbalyAt ati-rAgAt ati-aBimAnAt ati-damBAt ati-ArjavAt-
   ativiśvāsād atikrodhāt pramādāt sāhasād daivayogāc ca syuḥ//(p.352)	ati-viSvAsAt ati-kroDAt pramAdAt sAhasAt dEva-yogAt ca syuH-//(p.352)
   6.6.3/.teṣāṃ phalaṃ kṛtasya vyayasya niṣphalatvam anāyatirāgam iṣyato	6.6.3/.tezAm Palam kRtasya vyayasya nizPala-tvam anAyati-rAgam izyataH-
   +arthasya nivartanam āptasya niṣkramaṇaṃ pāruṣyasya prāptir gamyatā	+arTasya nivartanam Aptasya nizkramaNam pAruzyasya prAptiH gamyatA
   śarīrasya (p.352)praghātaḥ keśānāṃ chedanaṃ pātanam aṅga^vaikalyā^pattiḥ/	SarIrasya (p.352)-praGAtaH keSAnAm Cedanam pAtanam aFga^vEkalyA^pattiH/
   6.6.4/.tasmāt tān ādita eva parijihīrṣed arthabhūyiṣṭhāṃś	6.6.4/.tasmAt tAn Aditas eva parijihIrzet arTa-BUyizWAn=-
   ca^upekṣeta//(p.353)	ca^upekzeta//(p.353)
   6.6.5/.artho dharmaḥ kāma ity artha^trivargaḥ/	6.6.5/.arTaH DarmaH kAmaH iti arTa^trivargaH/
   6.6.6/.anartho +adharmo dveṣa ity anartha^trivargaḥ/	6.6.6/.anarTaH +a-DarmaH dvezaH iti anarTa^trivargaH/
   6.6.7/.teṣv ācarya^māṇeṣv anyasya^api niṣpattir anubandhaḥ/	6.6.7/.tezu Acarya^mANezu anyasya^api nizpattiH anubanDaH/
   6.6.8/.saṃdigdhāyāṃ tu phala^prāptau syād vā na vā^iti śuddha^saṃśayaḥ/	6.6.8/.-saMdigDAyAm tu Pala^prAptO syAt vA na vA^iti SudDa^saMSayaH/
   6.6.9/.idaṃ vā syād idaṃ vā^iti samkīrṇaḥ/	6.6.9/.idam vA syAt idam vA^iti samkIrNaH/
   6.6.10/.ekasmin kriyamāṇe kārye kārya^dvayasya^utpattir ubhayato yogaḥ/	6.6.10/.ekasmin kriyamANe kArye kArya^dvayasya^utpattiH uBayatas yogaH/
   6.6.11/.samantād utpattiḥ samantato^yoga iti tān udāhariṣyāmaḥ//(p.353)	6.6.11/.samantAt utpattiH samantataH-^yogaH iti tAn udAharizyAmaH//(p.353)
   6.6.12/.vicārita^rūpo +artha^trivargaḥ/ tad^viparīta	6.6.12/.vicArita^rUpaH +arTa^trivargaH/ tat-^viparIta
   eva^anartha^trivargaḥ//(p.354)	eva^anarTa^trivargaH//(p.354)
   6.6.13/.yasya^uttamasya^abhigamane pratyakṣato +artha^lābho grahaṇīyatvam	6.6.13/.yasya^uttamasya^aBigamane pratyakzatas +arTa^lABaH grahaNIya-tvam
   āyatir āgamaḥ prārthanīyatvaṃ ca^anyeṣāṃ syāt so +artho	AyatiH AgamaH prArTanIya-tvam ca^anyezAm syAt saH +arTaH-
   +artha^anubandhaḥ//(p.354)	+arTaH-^anubanDaH//(p.354)
   6.6.14/.lābha^mātre kasya cid anyasya gamanaṃ so +artho	6.6.14/.lABa^mAtre kasya cit anyasya gamanam saH +arTaH-
   niranubandhaḥ//(p.354)	niranubanDaH//(p.354)
   6.6.15/.anya^artha^parigrahe saktād āyati^cchedanam arthasya niṣkramaṇaṃ	6.6.15/.anya^arTa^parigrahe saktAt Ayati^cCedanam arTasya nizkramaNam
   loka^vidviṣṭasya vā nīcasya gamanam āyatighnam artho	loka^vidvizwasya vA nIcasya gamanam Ayati-Gnam arTaH-
   +anartha^anubandhaḥ//(p.354)	+anarTa^anubanDaH//(p.354)
   6.6.16/.(svena vyayena śūrasya mahāmātrasya prabhavato vā lubdhasya	6.6.16/.(svena vyayena SUrasya mahAmAtrasya praBavataH vA lubDasya
   gamanaṃ niṣphalam api vyasana^pratīkāra^arthaṃ mahataś ca^arthaghnasya	gamanam nizPalam api vyasana^pratIkAra^arTam mahataH ca^arTa-Gnasya
   nimittasya praśamanam āyati^jananaṃ vā so +anartho	nimittasya praSamanam Ayati^jananam vA saH +anarTaH-
   +artha^anubandhaḥ//)(p.355)	+arTaH-^anubanDaH//)(p.355)
   6.6.17/.kadaryasya subhaga^māninaḥ kṛtaghnasya vā^atisaṃdhāna^śīlasya	6.6.17/.ka-daryasya suBaga^mAninaH kRtaGnasya vE-^atisaMDAna^SIlasya
   svair api vyayais tathā^ārādhanam ante niṣphalaṃ so +anartho	svEH api vyayEH taTA^ArADanam ante nizPalam saH +anarTaH-
   niranubandhaḥ//(p.355)	niranubanDaH//(p.355)
   6.6.18/.tasya^eva rāja^vallabhasya kraurya^prabhāva^adhikasya	6.6.18/.tasya^eva rAja^vallaBasya krOrya^praBAva^aDikasya
   tathā^eva^ārādhanam ante niṣphalaṃ niṣkāsanaṃ ca doṣa^karaṃ so +anartho	taTA^eva^ArADanam ante nizPalam nizkAsanam ca doza^karam saH +anarTaH-
   +anartha^anubandhaḥ//(p.355)	+anarTa^anubanDaH//(p.355)
   6.6.19/.evaṃ dharma^kāmayor apy anubandhān yojayet//(p.355)	6.6.19/.evam Darma^kAmayoH api anubanDAn yojayet-//(p.355)
   6.6.20/.paraspareṇa ca yuktyā saṃkired ity anubandhāḥ//(p.356)	6.6.20/.paraspareNa ca yuktyA saMkiret iti anubanDAH//(p.356)
   6.6.21/.paritoṣito +api dāsyati na vā^ity arthasaṃśayaḥ/	6.6.21/.-paritozitaH +api dAsyati na vA^iti arTa-saMSayaH/
   6.6.22/.niṣpīḍita^artham aphalam utsṛjantyā artham alabhamānāyā dharmaḥ	6.6.22/.nizpIxitaH-^arTam aPalam utsRjantyAH arTam alaBamAnAyAH DarmaH
   syān na vā^iti dharma^saṃśayaḥ/	syAt na vA^iti Darma^saMSayaH/
   6.6.23/.abhipretam upalabhya paricārakam anyaṃ vā kṣudraṃ gatvā kāmaḥ syān	6.6.23/.aBipretam upalaBya paricArakam anyam vA kzudram gatvA kAmaH syAt-
   na vā^iti kāma^saṃśayaḥ/	na vA^iti kAma^saMSayaH/
   6.6.24/.prabhāvavān kṣudro +anabhimato +anarthaṃ kariṣyati na vā^ity	6.6.24/.-praBAvavAn kzudraH +anaBim-ataH +anarTam karizyati na vA^iti-
   anartha^saṃśayaḥ/	anarTa^saMSayaH/
   6.6.25/.atyanta^niṣphalaḥ saktaḥ parityaktaḥ pitṛ^lokaṃ yāyāt	6.6.25/.ati-anta^nizPalaH saktaH parityaktaH pitR^lokam yAyAt-
   tatra^adharmaḥ syān na vā^ity adharma^saṃśayaḥ/	tatra^aDarmaH syAt na vA^iti aDarma^saMSayaH/
   6.6.26/.rāgasya^api vivakṣāyām abhipretam anupalabhya virāgaḥ/ syān na	6.6.26/.rAgasya^api vivakzAyAm aBipretam anupalaBya virAgaH/ syAt na
   vā^iti dveṣa^saṃśayaḥ/ iti śuddha^saṃśayāḥ//(p.356)	vA^iti dveza^saMSayaH/ iti SudDa^saMSayAH//(p.356)
   6.6.27/.atha saṃkīrṇāḥ//(p.357)	6.6.27/.aTa saMkIrNAH//(p.357)
   6.6.28/.āgantor avidita^śīlasya vallabha^saṃśrayasya prabhaviṣṇor vā	6.6.28/.AgantoH avidita^SIlasya vallaBa^saMSrayasya praBavizNoH vA
   samupasthitasya^ārādhanam artho +anartha iti saṃśayaḥ/	samupasTitasya^ArADanam arTaH +anarTaH iti saMSayaH/
   6.6.29/.śrotriyasya brahmacāriṇo dīkṣitasya vratino liṅgino vā māṃ dṛṣṭvā	6.6.29/.Srotriyasya brahmacAriNaH dIkzitasya vratinaH liFginaH vA mAm dRzwvA
   jāta^rāgasya mumūrṣor mitra^vākyād ānṛśaṃsyāc ca gamanaṃ dharmo +adharma	jAta^rAgasya mumUrzoH mitra^vAkyAt AnRSaMsyAt ca gamanam DarmaH +aDarma
   iti saṃśayaḥ/	iti saMSayaH/
   6.6.30/.lokād eva^ākṛta^pratyayād aguṇo guṇavān vā^ity anavekṣya gamanaṃ	6.6.30/.lokAt eva^AkRta^pratyayAt aguNaH guNavAn vA^iti anavekzya gamanam
   kāmo dveṣa iti saṃśayaḥ/	kAmaH dvezaH iti saMSayaH/
   6.6.31/.saṃkirec ca paraspareṇa^iti saṃkīrṇa^saṃśayāḥ//(p.357)	6.6.31/.saMkiret ca paraspareNa^iti saMkIrNa^saMSayAH//(p.357)
   6.6.32/.yatra parasya^abhigamane +arthaḥ saktāc ca saṃgharṣataḥ sa	6.6.32/.yatra parasya^aBigamane +arTaH saktAt ca saMGarzataH sa
   ubhayayo +arthaḥ/	uBayayaH +arTaH/
