   Buddhacarita	BudDa-carita
   yathā mune tvaccaraṇāvapīḍitā muhurmuhurniṣṭanatīva medinī /	yaTA mune tvad-caraNa-avapIxitA muhur-muhur-nizwanati-iva medinI /
   yathā ca te rājati sūryavatprabhā dhrūvaṃ tvamiṣṭaṃ phalamadya bhokṣyase	yaTA ca te rAjati sUrya-vat-praBA DrUvam tvam-izwam Palam-adya Bokzyase
   // Bc_12.117 //	// Bc_12.117 //
   yathā bhramantyo divi cāṣapaṅktayaḥ pradakṣiṇaṃ tvāṃ kamalākṣa kurvate /	yaTA BramantyaH divi cAza-paFktayaH pradakziNam tvAm kamalAkza kurvate /
   yathā ca saumyā divi vānti vāyavastvamadya buddho niyataṃ bhaviṣyasi //	yaTA ca sOmyAH divi vAnti vAyavaH-tvam-adya budDaH niyatam Bavizyasi //
   Bc_12.118 //	Bc_12.118 //
   tato bhujaṅgapravareṇa saṃstutastṛṇānyupādāya śucīni lāvakāt /	tatas BujaFga-pravareNa saMstutaH-tRNAni-upAdAya SucIni lAvakAt /
   kṛtapratijño niṣasāda bodhaye mahātarormūlamupāśritaḥ śuceḥ // Bc_12.119	kRta-pratijQaH nizasAda boDaye mahAtaroH-mUlam-upASritaH SuceH // Bc_12.119
   tataḥ sa paryaṅkamakampyamuttamaṃ babandha suptoragabhogapiṇḍitam /	tatas sa paryaFkam-akampyam-uttamam babanDa supta-uraga-Boga-piNxitam /
   bhinadmi tāvadbhuvi naitadāsanaṃ na yāmi yāvatkutakṛtyatāmiti // Bc_12.120	Binadmi tAvat-Buvi na-etat-Asanam na yAmi yAvat-kutakRtyatAm-iti // Bc_12.120
   tato yayurmadamatulāṃ divaukaso vavāśire na mṛgagaṇā na pakṣiṇaḥ /	tatas yayuH-madam-atulAm divOkasaH vavASire na mRga-gaNAH na pakziNaH /
   na sasvanurvanataravo 'nilāhatāḥ kṛtāsane bhagavati niścitātmani //	na sasvanuH-vana-taravaH anila-AhatAH kRta-Asane Bagavati niScita-Atmani //
   Bc_12.121 //	Bc_12.121 //
   iti buddhacarite mahākāvye 'rāḍadarśano nāma dvādaśaḥ sargaḥ // 12 //	iti budDacarite mahAkAvye arAxadarSanaH nAma dvAdaSaH sargaH // 12 //
   CANTO XIII	CANTO XIII
   tasminvimokṣāya kṛtapratijñe rājarṣivaṃśaprabhave maharṣau /	tasmin-vimokzAya kRta-pratijQe rAjarzi-vaMSa-praBave mahA-RzO /
   tatropaviṣṭe prajaharṣa lokastatrāsa saddharmaripustu māraḥ // Bc_13.1 //	tatra-upavizwe prajaharza lokaH-tatrAsa sadDarma-ripuH-tu mAraH // Bc_13.1 //
   yaṃ kāmadevaṃ pravadanti loke citrāyudhaṃ puṣpaśaraṃ tathaiva /	yam kAmadevam pravadanti loke citrAyuDam puzpa-Saram taTA-eva /
   kāmapracārādhipatiṃ tameva mokṣadviṣaṃ māramudāharanti // Bc_13.2 //	kAma-pracAra-aDipatim tam-eva mokza-dvizam mAram-udAharanti // Bc_13.2 //
   tasyātmajā vibhramaharṣadarpāstisro 'ratiprītitṛṣaśca kanyāḥ /	tasya-AtmajAH viBrama-harza-darpAH-tisraH arati-prIti-tRzaH-ca kanyAH /
   papracchurenaṃ manaso vikāraṃ sa tāṃśca tāścaiva vaco 'bhyuvāca // Bc_13.3	papracCuH-enam manasaH vikAram sa tAn=-ca tAH-ca-eva vacaH aByuvAca // Bc_13.3
   asau munirniścayavarma bibhratsattvāyudhaṃ buddhiśaraṃ vikṛṣya /	asO muniH-niScaya-varma biBrat-sattva-AyuDam budDi-Saram vikRzya /
   jigīṣurāste viṣayānmadīyāntasmādayaṃ me manaso viṣādaḥ // Bc_13.4 //	jigIzuH-Aste vizayAn-madIyAn-tasmAt-ayam me manasaH vizAdaH // Bc_13.4 //
   yadi hyasau māmabhibhūya yāti lokāya cākhyātyapavargamārgam /	yadi hi-asO mAm-aBiBUya yAti lokAya ca-AKyAti-apavarga-mArgam /
   śūnyastato 'yaṃ viṣayo mamādya vṛttāccyutasyeva videhabhartuḥ // Bc_13.5	SUnyaH-tatas ayam vizayaH mama-adya vRttAt-cyutasya-iva videha-BartuH // Bc_13.5
   tadyāvadevaiṣa na labdhacakṣurmadrocare tiṣṭhati yāvadeva /	tat-yAvat-eva-eza na labDa-cakzuH-madrocare tizWati yAvat-eva /
   yāsyāmi tāvadvratamasya bhettuṃ setuṃ nadīvega ivātivṛddhaḥ // Bc_13.6 //	yAsyAmi tAvat-vratam-asya Bettum setum nadI-vegaH iva-ati-vRdDaH // Bc_13.6 //
   tato dhanuḥ puṣpamayaṃ gṛhītvā śarān jaganmohakarāṃśca pañca /	tatas DanuH puzpa-mayam gRhItvA SarAn jagat-moha-karAn=-ca paQca /
   so 'śvatthamūlaṃ sasuto 'bhyagacchadasvāsthyakārī manasaḥ prajānām //	saH aSvatTa-mUlam sa-sutaH aByagacCat-asvAsTya-kArI manasaH prajAnAm //
   Bc_13.7 //	Bc_13.7 //
   atha praśāntaṃ munimāsanasthaṃ pāraṃ titīrṣu bhavasāgarasya /	aTa praSAntam munim-Asana-sTam pAram titIrzu Bava-sAgarasya /
   viṣajya savyaṃ karamāyudhāgre krīḍan śareṇedamuvāca māraḥ // Bc_13.8 //	vizajya savyam karam-AyuDa-agre krIxan SareNa-idam-uvAca mAraH // Bc_13.8 //
   uttiṣṭha bhoḥ kṣatriya mṛtyubhīta cara svadharma tyaja mokṣadharmam /	uttizWa BoH kzatriya mRtyu-BIta cara svaDarma tyaja mokza-Darmam /
   bāṇaiśca yajñaiśca vinīya lokaṃ lokātpadaṃ prāpnuhi vāsavasya // Bc_13.9	bANEH-ca yajQEH-ca vinIya lokam lokAt-padam prApnuhi vAsavasya // Bc_13.9
   panthā hi niryātumayaṃ yaśasyo yo vāhitaḥ pūrvatamairnarendraiḥ /	panTAH hi niryAtum-ayam yaSasyaH yaH vAhitaH pUrvatamEH-narendrEH /
   jātasya rājarṣikule viśāle bhaikṣākamaślādhyamidaṃ prapattum // Bc_13.10	jAtasya rAja-Rzi-kule viSAle BEkzAkam-aSlADyam-idam prapattum // Bc_13.10
   athādya nottiṣṭhasi niścitātman bhava sthiro mā vimucaḥ pratijñām /	aTa-adya na-uttizWasi niScita-Atman Bava sTiraH mA vimucaH pratijQAm /
   mayodyato hyeṣa śaraḥ sa eṃva yaḥ śūrpake mīnaripau vimuktaḥ // Bc_13.11	mayA-udyataH hi-eza SaraH saH eMva yaH SUrpake mIna-ripO vimuktaH // Bc_13.11
   spṛṣṭaḥ sa cānena kathaṃcidaiḍaḥ somasya naptāpyabhavadvicittaḥ /	spRzwaH sa ca-anena kaTaMcid-ExaH somasya naptA-api-aBavat-vicittaH /
   sa cābhavacchantanurasvatantraḥ kṣīṇe yuge kiṃ bata durbalo 'nyaḥ //	sa ca-aBavat-SantanuH-asvatantraH kzINe yuge kim bata durbalaH anyaH //
   Bc_13.12 //	Bc_13.12 //
   tatkṣipramuttiṣṭha labhasva saṃjñāṃ bāṇo hyayaṃ tiṣṭhati lelihānaḥ /	tat-kzipram-uttizWa laBasva saMjQAm bANaH hi-ayam tizWati lelihAnaH /
   priyāvidheyeṣu ratipriyeṣu yaṃ cakravākeṣviva notsṛjāmi // Bc_13.13 //	priyA-viDeyezu rati-priyezu yam cakravAkezu-iva na-utsRjAmi // Bc_13.13 //
   ityevamukto 'pi yadā nirāstho naivāsanaṃ śākyamunirbibheda /	iti-evam-uktaH api yadA nirAsTaH na-eva-Asanam SAkya-muniH-biBeda /
   śaraṃ tato 'smai visasarja māraḥ kanyāśca kṛtvā purataḥ sutāṃśca //	Saram tatas asmE visasarja mAraH kanyAH-ca kRtvA puratas sutAn=-ca //
   Bc_13.14 //	Bc_13.14 //
   tasmiṃstu bāṇe 'pi sa vipramukte cakāra nāsthāṃ na dhṛteścacāla /	tasmin=-tu bANe api sa vipramukte cakAra na-AsTAm na DRteH-cacAla /
   dṛṣṭvā tathainaṃ viṣasāda māraścintāparītaśca śanairjagāda // Bc_13.15 //	dRzwvA taTA-enam vizasAda mAraH-cintA-parItaH-ca SanEs-jagAda // Bc_13.15 //
   śailendraputrīṃ prati yena viddho devo 'pi śambhuścalito babhūva /	SElendra-putrIm prati yena vidDaH devaH api SamBuH-calitaH baBUva /
   na cintayatyeṣa tameva bāṇaṃ kiṃ syādacitto na śaraḥ sa eṣaḥ // Bc_13.16	na cintayati-eza tam-eva bANam kim syAt-acittaH na SaraH saH ezaH // Bc_13.16
   tasmādayaṃ nārhati puṣpabāṇaṃ na harṣaṇaṃ nāpi raterniyogam /	tasmAt-ayam na-arhati puzpa-bANam na harzaNam na-api rateH-niyogam /
   arhatyayaṃ bhūtagaṇairasaumyaiḥ saṃtrāsanātarjanatāḍanāni // Bc_13.17 //	arhati-ayam BUta-gaNEH-asOmyEH saMtrAsana-atarjana-tAxanAni // Bc_13.17 //
   sasmāra māraśca tataḥ svasainyaṃ vighnaṃ śame śākyamuneścikīrṣan /	sasmAra mAraH-ca tatas sva-sEnyam viGnam Same SAkyamuneH-cikIrzan /
   nanāśrayāścānucarāḥ parīyuḥ śaladrumaprāsagadāsihastāḥ // Bc_13.18 //	nana-ASrayAH-ca-anucarAH parIyuH Sala-druma-prAsa-gada-asi-hastAH // Bc_13.18 //
   varāhamīnāśvakharoṣṭravaktrā vyāghrarkṣasiṃhadviradānanāśca /	varAha-mIna-aSva-Kara-uzwra-vaktrAH vyAGra-Rkza-siMha-dvirada-AnanAH-ca /
   ekekṣaṇā naikamukhāstriśīrṣā lambodarāścaiva pṛṣodarāśca // Bc_13.19 //	eka-IkzaNAH na-eka-muKAH-tri-SIrzAH lambodarAH-ca-eva pRzodarAH-ca // Bc_13.19 //
   ajānusakthā ghaṭajānavaśca daṃṣṭrāyudhāścaiva nakhāyudhāśca /	aja-anusakTAH Gawa-jAnavaH-ca daMzwrA-AyuDAH-ca-eva naKa-AyuDAH-ca /
   karaṅkavaktrā bahumūrtayaśca bhagnārdhavaktrāśca mahāmukhāśca // Bc_13.20	karaFka-vaktrAH bahu-mUrtayaH-ca Bagna-arDa-vaktrAH-ca mahA-muKAH-ca // Bc_13.20
   bhasmāruṇā lohitabinducitrāḥ khaṭvāṅgahastā haridhūmrakeśāḥ /	Basma-aruNAH lohita-bindu-citrAH KawvAFga-hastAH hari-DUmra-keSAH /
   lambasrajo vāraṇalambakarṇāścarmāmbarāścaiva nirambarāśca // Bc_13.21 //	lamba-srajaH vAraNa-lamba-karNAH-carma-ambarAH-ca-eva nirambarAH-ca // Bc_13.21 //
   śvetārdhavaktrā haritārdhakāyāstāmrāśca dhrūmrā harayo 'sitāśca /	Sveta-arDa-vaktrAH harita-arDa-kAyAH-tAmrAH-ca DrUmrAH harayaH asitAH-ca /
   vyālottarāsaṅgabhujāstathaiva praghuṣṭāghaṇṭākulamekhalāśca // Bc_13.22 //	vyAla-uttarAsaFga-BujAH-taTA-eva praGuzwa-AGaNwA-Akula-meKalAH-ca // Bc_13.22 //
   tālapramāṇāśca gṛhītaśūlā daṃṣṭrākarālāśca śiśupramāṇāḥ /	tAla-pramANAH-ca gRhIta-SUlAH daMzwrA-karAlAH-ca SiSu-pramANAH /
   urabhravaktrāśca vihaṃgamākṣā mārjāravaktrāśca manuṣyakāyāḥ // Bc_13.23 //	uraBra-vaktrAH-ca vihaMgama-akzAH mArjAra-vaktrAH-ca manuzya-kAyAH // Bc_13.23 //
   prakīrṇakeśāḥ śikhino 'rdhamuṇḍā raktāmbarā vyākulaveṣṭanāśca /	prakIrNa-keSAH SiKinaH arDa-muNxAH rakta-ambarAH vyAkula-vezwanAH-ca /
   prahṛṣṭavaktrā bhṛkuṭīmukhāśca tejoharāścaiva manoharāśca // Bc_13.24 //	prahRzwa-vaktrAH BRkuwI-muKAH-ca tejaH-harAH-ca-eva manoharAH-ca // Bc_13.24 //
   kecidvrajanto bhṛśamāvavalguranyo 'nyamāpupluvire tathānye /	kecid-vrajantaH BRSa-mAvavalguH-anyaH anyam-Apupluvire taTA-anye /
   cikrīḍurākāśagatāśca kecitkecicca cerustarumastakeṣu // Bc_13.25 //	cikrIxuH-AkASa-gatAH-ca kecid-kecid-ca ceruH-taru-mastakezu // Bc_13.25 //
   nanarta kaścidbhramayaṃstriśūlaṃ kaścidvipuṣphūrja gadāṃ vikarṣan /	nanarta kaScid-Bramayan=-triSUlam kaScid-vipuzPUrja gadAm vikarzan /
   harṣeṇa kaścidvṛṣavannanarda kaścicatprajajvāla tanūnaruhebhyaḥ //	harzeNa kaScid-vRza-vat-nanarda kaScicad-prajajvAla tanUnaruheByaH //
   Bc_13.26 //	Bc_13.26 //
   evaṃvidhā bhūtagaṇāḥ samantāttadbodhimūlaṃ parivārya tasthuḥ /	evaMviDAH BUta-gaNAH samantAt-tat-boDi-mUlam parivArya tasTuH /
   jighṛkṣavaścaiva jighāṃsavaśca bharturniyogaṃ paripālayantaḥ // Bc_13.27	jiGRkzavaH-ca-eva jiGAMsavaH-ca BartuH-niyogam paripAlayantaH // Bc_13.27
   taṃ prekṣya mārasya ca pūrvarātre śākyarṣabhasyaiva ca yuddhakālam /	tam prekzya mArasya ca pUrvarAtre SAkya-RzaBasya-eva ca yudDa-kAlam /
   na dyauścakāśe pṛthivī cakampe prajajvaluścaiva diśaḥ saśabdāḥ // Bc_13.28	na dyOH-cakASe pRTivI cakampe prajajvaluH-ca-eva diSaH sa-SabdAH // Bc_13.28
   viṣvagvavau vāyurudīrṇavegastārā na rejurna babhau śaśāṅkaḥ /	vizvak-vavO vAyuH-udIrNa-vegaH-tArA na rejuH-na baBO SaSAFkaH /
   tamaśca bhūyo vitatāna rātriḥ sarve ca saṃcukṣubhire samudrāḥ // Bc_13.29	tamaH-ca BUyas vitatAna rAtriH sarve ca saMcukzuBire samudrAH // Bc_13.29
   mahībhṛto dharmaparāśca nāgā mahāmunervighnamamṛṣyamāṇāḥ /	mahIBRtaH Darma-parAH-ca nAgAH mahA-muneH-viGnam-amRzyamANAH /
   māraṃ prati krodhavivṛttanetrā niḥśaśvasuścaiva jajṛmbhire ca // Bc_13.30	mAram prati kroDa-vivRtta-netrAH niHSaSvasuH-ca-eva jajRmBire ca // Bc_13.30
   śuddhādhivāsā vibudharṣayastu saddharmasiddhyarthamabhipravṛttāḥ /	SudDa-aDivAsAH vibuDa-RzayaH-tu sadDarma-sidDi-arTam-aBipravRttAH /
   māre 'nukampāṃ manasā pracakrurvirāgabhāvāttu na roṣamīyuḥ // Bc_13.31 //	mAre anukampAm manasA pracakruH-virAga-BAvAt-tu na rozam-IyuH // Bc_13.31 //
   tadbodhimūlaṃ samavekṣya kīrṇa hiṃsātmanā mārabalena tena /	tat-boDi-mUlam samavekzya kIrNa hiMsA-AtmanA mAra-balena tena /
   dharmātmabhirlokavimokṣakāmairbabhūva hāhākṛtamantarīkṣe // Bc_13.32 //	Darma-AtmaBiH-loka-vimokza-kAmEH-baBUva hAhAkRtam-antarIkze // Bc_13.32 //
   upaplavaṃ dharmavidhestu tasya dṛṣṭvā sthitaṃ mārabalaṃ maharṣiḥ /	upaplavam Darma-viDeH-tu tasya dRzwvA sTitam mAra-balam mahA-RziH /
   na cukṣubhe nāpi yayau vikāraṃ madhye gavāṃ siṃha ivopaviṣṭaḥ // Bc_13.33	na cukzuBe na-api yayO vikAram maDye gavAm siMhaH iva-upavizwaH // Bc_13.33
   mārastato bhūtacamūmudīrṇāmājñāpayāmāsa bhayāya tasya /	mAraH-tatas BUta-camUm-udIrNAm-AjQApayAmAsa BayAya tasya /
   svaiḥ svaiḥ prabhāvairatha sāsya senā taddhairyabhedāya matiṃ cakāra //	svEH svEH praBAvEH-aTa sA-asya senA tad-DErya-BedAya matim cakAra //
   Bc_13.34 //	Bc_13.34 //
   keciccalannaikavilambijivhāstīkṣṇāgradaṃṣṭrā harimaṇḍalākṣāḥ /	kecid-calat-na-eka-vilambi-jivhAH-tIkzNa-agra-daMzwrAH hari-maNxala-akzAH /
   vidāritāsyāḥ sthiraśaṅkukarṇāḥ saṃtrāsayantaḥ kila nāma tasthuḥ //	vidArita-AsyAH sTira-SaFku-karNAH saMtrAsayantaH kila nAma tasTuH //
   Bc_13.35 //	Bc_13.35 //
   tebhyaḥ sthitebhyaḥ sa tathāvidhebhyaḥ rūpeṇa bhāvena ca dāruṇebhyaḥ /	teByaH sTiteByaH sa taTAviDeByaH rUpeNa BAvena ca dAruNeByaH /
   na vivyathe nodvivije maharṣiḥ krīḍatsubālebhya ivoddhatebhyaḥ // Bc_13.36	na vivyaTe na-udvivije mahA-RziH krIxat-su-bAleByaH iva-udDateByaH // Bc_13.36
   kaścittato roṣavivṛttadṛṣṭistasmai gadāmudyamayāṃcakāra /	kaScid-tatas roza-vivRtta-dRzwiH-tasmE gadAm-udyamayAMcakAra /
   tastambha bāhuḥ sagadastato 'sya puraṃdarasyeva pura savajraḥ // Bc_13.37	tastamBa bAhuH sa-gadaH-tatas asya puraMdarasya-iva pura sa-vajraH // Bc_13.37
   kecitsamudyamya śilāstarūṃśca viṣehire naiva munau vimoktum /	kecid-samudyamya SilAH-tarUn=-ca vizehire na-eva munO vimoktum /
   petuḥ savṛkṣāḥ saśilāstathaiva vajrāvabhagnā iva vindhyapādāḥ // Bc_13.38	petuH sa-vRkzAH sa-SilAH-taTA-eva vajra-avaBagnAH iva vinDya-pAdAH // Bc_13.38
   kaiścitsamutpatya nabho vimuktāḥ śilāśca vṛkṣāśca paraśvadhāśca /	kEScid-samutpatya naBaH vimuktAH SilAH-ca vRkzAH-ca paraSvaDAH-ca /
   tasthurnabhayasyeva na cāvapetuḥ saṃdhyābhrapādā iva naikavarṇāḥ //	tasTuH-naBayasya-iva na ca-avapetuH saMDyA-aBra-pAdAH iva na-eka-varNAH //
   Bc_13.39 //	Bc_13.39 //
   cikṣepa tasyopari dīptamanyaḥ kaḍaṅgaraṃ parvataśṛṅgamātram /	cikzepa tasya-upari dIptam-anyaH kaxaFgaram parvata-SRFga-mAtram /
   yanmuktapātraṃ gaganasthameva tasyānubhāvācchatadhā paphāla // Bc_13.40 //	yat-mukta-pAtram gagana-sTam-eva tasya-anuBAvAt-SataDA paPAla // Bc_13.40 //
   kaścijjvalannarka ivoditaḥ khādaṅgāravarṣa mahadutsasarja /	kaScid-jvalan=-arkaH iva-uditaH KAt-aFgAra-varza mahat-utsasarja /
   cūrṇāni cāmīkarakandarāṇāṃ kalpātyaye meruriva pradīptaḥ // Bc_13.41 //	cUrNAni cAmIkara-kandarANAm kalpAtyaye meruH-iva pradIptaH // Bc_13.41 //
   tadbodhimūle pravikīryamāṇamaṅgāravarṣa tu savisphuliṅgam /	tad-boDi-mUle pravikIryamANam-aFgAra-varza tu sa-visPuliFgam /
   maitrīvihārādṛṣisattamasya babhūva raktotpalapattravarṣaḥ // Bc_13.42 //	mEtrI-vihArAt-Rzi-sattamasya baBUva rakta-utpala-pattra-varzaH // Bc_13.42 //
   śarīracittavyasanātapaistairevaṃvidhaistaiśca nipātyamānaiḥ /	SarIra-citta-vyasana-AtapEH-tEH-evaMviDEH-tEH-ca nipAtyamAnEH /
   naivāsanācchākyamuniścacāla svaniścayaṃ bandhumivopaguhya // Bc_13.43 //	na-eva-AsanAt-SAkyamuniH-cacAla sva-niScayam banDum-iva-upaguhya // Bc_13.43 //
   athāpare nirjigilurmukhebhyaḥ sarpānvijīrṇebhya iva drumebhyaḥ /	aTa-apare nirjigiluH-muKeByaH sarpAn-vijIrNeByaH iva drumeByaH /
   te mantrabaddhā iva tatsamīpe na śaśvasurnotsasṛpurna celuḥ // Bc_13.44 //	te mantra-badDAH iva tad-samIpe na SaSvasuH-na-utsasRpuH-na celuH // Bc_13.44 //
   bhūtvāpare vāridharā bṛhantaḥ savidyutaḥ sāśanicaṇḍaghoṣāḥ /	BUtvA-apare vAriDarAH bRhantaH sa-vidyutaH sa-aSani-caNxa-GozAH /
   tasmindrume tatyajuraśmavarṣaṃ tatpuṣpavarṣaṃ ruciraṃ babhūva // Bc_13.45	tasmin-drume tatyajuH-aSma-varzam tat-puzpa-varzam ruciram baBUva // Bc_13.45
   cāpe 'tha bāṇo nihito 'pareṇa jajvāla tatraiva na niṣpapāta /	cApe aTa bANaH nihitaH apareNa jajvAla tatra-eva na nizpapAta /
   anīśvarasyātmani dhūyamāno durmarṣaṇasyeva narasya manyuḥ // Bc_13.46 //	anISvarasya-Atmani DUyamAnaH durmarzaNasya-iva narasya manyuH // Bc_13.46 //
   pañceṣavo 'nyena tu vipramuktāstasthurnabhasyeva munau na petuḥ /	paQca-izavaH anyena tu vipramuktAH-tasTuH-naBasi-eva munO na petuH /
   saṃsārabhīrorviṣayapravṛttau pañcendriyāṇīva parikṣakasya // Bc_13.47 //	saMsAra-BIroH-vizaya-pravRttO paQca-indriyANi-iva parikzakasya // Bc_13.47 //
   jighāsayānyaḥ prasasāra ruṣṭo gadāṃ gṛhītvābhimukho maharṣeḥ /	jiGAsayA-anyaH prasasAra ruzwaH gadAm gRhItvA-aBimuKaH mahA-RzeH /
   so 'prāptakāmo vivaśaḥ papāta doṣeṣvivānarthakareṣu lokaḥ // Bc_13.48 //	saH aprApta-kAmaH vivaSaH papAta dozezu-iva-anarTa-karezu lokaH // Bc_13.48 //
   strī meghakālī tu kapālahastā kartu maharṣeḥ kila cittamoham /	strI meGakAlI tu kapAla-hastA kartu mahA-RzeH kila citta-moham /
   babhrāma tatrāniyataṃ na tasthau calātmano buddhirivāgameṣu // Bc_13.49 //	baBrAma tatra-aniyatam na tasTO cala-AtmanaH budDiH-iva-Agamezu // Bc_13.49 //
   kaścitpradīptaṃ praṇidhāya cakṣurnetrāgnināśīviṣavaddidhakṣuḥ /	kaScid-pradIptam praNiDAya cakzuH-netra-agninA-ASIviza-vat-diDakzuH /
   tatraiva nāsīnamṛṣiṃ dadarśa kāmātmakaḥ śreya ivopadiṣṭam // Bc_13.50 //	tatra-eva na-AsInam-Rzim dadarSa kAma-AtmakaH SreyaH iva-upadizwam // Bc_13.50 //
   gurvī śilāmudyamayaṃstathānyaḥ śaśrāma moghaṃ vihataprayatnaḥ /	gurvI SilAm-udya-mayan=-taTA-anyaH SaSrAma moGam vihata-prayatnaH /
   niḥśreyasaṃ jñānasamādhigamyaṃ kāyaklamairdharmamivāptukāmaḥ // Bc_13.51	niHSreyasam jQAna-samADi-gamyam kAya-klamEH-Darmam-iva-Aptu-kAmaH // Bc_13.51
   tarakṣusiṃhākṛtayastathānye praṇeduruccairmahataḥ praṇādān /	tarakzu-siMha-AkRtayaH-taTA-anye praNeduH-uccEs-mahataH praNAdAn /
   sattvāni yaiḥ saṃcukucuḥ samantādvajrāhatā dyauḥ phalatīti mattvā //	sattvAni yEH saMcukucuH samantAt-vajra-AhatA dyOH Palati-iti mattvA //
   Bc_13.52 //	Bc_13.52 //
   mṛgā gajāścārtaravān sṛjanto vidudruvuścaiva nililyire ca /	mRgAH gajAH-ca-Arta-ravAn sRjantaH vidudruvuH-ca-eva nililyire ca /
   rātrau ca tasyāmahanīva digbhyaḥ khagā ruvantaḥ paripeturārtāḥ // Bc_13.53	rAtrO ca tasyAm-ahani-iva digByaH KagAH ruvantaH paripetuH-ArtAH // Bc_13.53
   teṣāṃ praṇādaistu tathāvidhaistai sarveṣu bhūteṣvapi kampiteṣu /	tezAm praNAdEH-tu taTAviDEH-tE sarvezu BUtezu-api kampitezu /
   munirna tatrāsa na saṃcukoca ravairgarutmāniva vāyasānām // Bc_13.54 //	muniH-na tatrAsa na saMcukoca ravEH-garutmAn-iva vAyasAnAm // Bc_13.54 //
   bhayāvahebhyaḥ pariṣadgaṇebhyo yathā yathā naiva munirbibhāya /	Baya-AvaheByaH parizad-gaNeByaH yaTA yaTA na-eva muniH-biBAya /
   tathā tathā dharmabhṛtāṃ sapatnaḥ śokācca roṣācca sasāda māraḥ // Bc_13.55	taTA taTA Darma-BRtAm sapatnaH SokAt-ca rozAt-ca sasAda mAraH // Bc_13.55
   bhūtaṃ tataḥ kiṃciddṛśyarūpaṃ viśiṣṭabhūtaṃ gaganasthameva /	BUtam tatas kiMcid-dRSya-rUpam viSizwa-BUtam gagana-sTam-eva /
   dṛṣṭavarṣaye dugdhamavairaruṣṭaṃ māraṃ babhāṣe mahatā svareṇa // Bc_13.56	dRzwa-varzaye dugDam-avEra-ruzwam mAram baBAze mahatA svareNa // Bc_13.56
   moghaṃ śramaṃ nārhasi māra kartuṃ hiṃsrātmatāmutsṛja gaccha śarma /	moGam Sramam na-arhasi mAra kartum hiMsra-Atma-tAm-utsRja gacCa Sarma /
   naiṣa tvayā kampayituṃ hi śakyo mahāgirirmerurivānilena // Bc_13.57 //	na-eza tvayA kampayitum hi SakyaH mahA-giriH-meruH-iva-anilena // Bc_13.57 //
   apyuṣṇabhāvaṃ jvalanaḥ prajahyādāpo dravatvaṃ prathivī sthiratvam /	api-uzNa-BAvam jvalanaH prajahyAt-ApaH drava-tvam praTivI sTira-tvam /
   anekakalpācitapuṇyakarmā na tveva jahyādvyavasāyameṣaḥ // Bc_13.58 //	aneka-kalpa-Acita-puNya-karmA na tu-eva jahyAt-vyavasAya-m-ezaH // Bc_13.58 //
   yo niścayo hyasya parākramaśca tejaśca yadyā ca dayā prajāsu /	yaH niScayaH hi-asya parAkramaH-ca tejaH-ca yadyA ca dayA prajAsu /
   aprāpya notthāsyati tattvameṣa tamāṃsyahatveva sahasraraśmiḥ // Bc_13.59	aprApya na-utTAsyati tattvam-eza tamAMsi-ahatvA-iva sahasraraSmiH // Bc_13.59
   kāṣṭhaṃ hi mathnan labhate hutāśaṃ bhūmiṃ khananvindati cāpi toyam /	kAzWam hi maTnan laBate hutASam BUmim Kanan-vindati ca-api toyam /
   nirbandhinaḥ kiṃcana nāstyasādhyaṃ nyāyena yuktaṃ ca kṛtaṃ ca sarvam //	nirbanDinaH kiMcana na-asti-asADyam nyAyena yuktam ca kRtam ca sarvam //
   Bc_13.60 //	Bc_13.60 //
   tallokamārta karuṇāyamāno rogeṣu rāgādiṣu vartamānam /	tat-lokam-Arta karuNAyamAnaH rogezu rAga-Adizu vartamAnam /
   mahābhiṣaṅga nārhati vighnameṣa jñānauṣadhārtha parikhidyamānaḥ //	mahA-aBizaFga na-arhati viGnam-eza jQAna-OzaDa-arTa pariKidyamAnaH //
   Bc_13.61 //	Bc_13.61 //
   hṛte ca loke bahubhiḥ kumārgaiḥ sanmārgamanvicchati yaḥ śrameṇa /	hRte ca loke bahuBiH kumArgEH sat-mArgam-anvicCati yaH SrameNa /
   sa daiśikaḥ kṣobhayituṃ na yuktaṃ sudeśikaḥ sārtha iva pranaṣṭe //	sa dESikaH kzoBayitum na yuktam su-deSikaH sArTaH iva pranazwe //
   Bc_13.62 //	Bc_13.62 //
   sattveṣu naṣṭeṣu mahāndhakāre jñānapradīpaḥ kriyamāṇa eṣaḥ /	sattvezu nazwezu mahA-anDakAre jQAna-pradIpaH kriyamANaH ezaH /
   āryasya nirvāpayituṃ na sādhu prajvālyamānastamasīva dīpaḥ // Bc_13.63 //	Aryasya nirvApayitum na sADu prajvAlyamAnaH-tamasi-iva dIpaH // Bc_13.63 //
   dṛṣṭvā ca saṃsāramaye mahaughe magnaṃ jagatpāramavindamānam /	dRzwvA ca saMsAra-maye mahA-oGe magnam jagatpAram-avindamAnam /
   yaścedamuttārayituṃ pravṛttaḥ kaścintayettasya tu pāpamāryaḥ // Bc_13.64	yaH-ca-idam-uttArayitum pravRttaH kaH-cintayet-tasya tu pApam-AryaH // Bc_13.64
   kṣamāśipho dhairyavigāḍhamūlaścāritrapuṣpaḥ smṛtibuddhiśākhaḥ /	kzamA-SiPaH DErya-vigAXa-mUlaH-cAritrapuzpaH smRti-budDi-SAKaH /
