   Mahāmāyūrīvidyārājñī	MahAmAyUrI-vidyA-rAjQI
   kurvantu svāter bhikṣor mama sarvasatvānāṃ ca. tadyathā.	kurvantu svAteH BikzoH mama sarva-satvAnAm ca. tat-yaTA.
   hiri hiri, khiri khiri, mili mili, sili sili, hili hili, mili mili sili	hiri hiri, Kiri Kiri, mili mili, sili sili, hili hili, mili mili sili
   sili, ḍaphu ḍaphu ḍaḍaphu, grasani mathani dahani ghātani, pacani pācani,	sili, xaPu xaPu xaxa-Pu, grasani maTani dahani GAtani, pacani pAcani,
   hanani dāhani, dala dala dālani pāṭani mohani sta stanī jambhanīye svāhā.	hanani dAha-ni, dala dala dAlani pAwani mohani sta stanI jamBanIye svAhA.
   udgṛhṇa tvam ānanda mahāviṣāṇāṃ nāmāni. tadyathā.	udgRhNa tvam Ananda mahA-vizANAm nAma-ani. tat-yaTA.
   aṇḍarā, paṇḍarā, karaḍā, keyūrā, bhūtāṃgamā, bhūtapati, vindupati,	aNxarA, paNxarA, karaxA, keyUrA, BUta-aMgamA, BUtapati, vindupati,
   śiripati, tejapati, tejograpati, yaśopati, araḍā, taraḍā, taradā,	Siri-pati, tejapati, tejogra-pati, yaSopati, araxA, taraxA, tara-dA,
   tarataraḍā, duttarā, dantājuhā, juhā, johā, jolā, melā, phurā, guhā,	tarataraxA, duttarA, danta-AjuhA, juhA, johA, jolA, melA, PurA, guhA,
   rucirā, danturā, ilikicikā, kirikirikā, kāmvā, śatanturā, vikuli, kirimi,	rucirA, danturA, ilikicikA, kirikirikA, kAmvA, SatanturA, vikuli, kirimi,
   taraṅgā, riṣṭā, āmravati, jambumati, manumati, kamale, vimale, kuṇḍale,	taraFgA, rizwA, Amravati, jambu-mati, manu-mati, kamale, vimale, kuNxale,
   ahituhi, duhi, vakve, vakvadūte, vatsamāte, mahāgāre, tulamve sulamve	ahituhi, duhi, vakve, vakva-dUte, vatsa-mAte, mahAgAre, tulamve su-lam-ve
   svāhā.	svAhA.
   ity ete ānanda mahāviṣās te 'py anayā mahāmāyūryā vidyārājñyā svāter	iti ete Ananda mahA-vizAH te api anayA mahA-mAyUryA vidyA-rAjQyA svAteH-
   bhikṣor (Mmvr Taku 56) mama sarvasatvānāṃ ca rakṣāṃ kurvantu, guptiṃ	BikzoH (MmvH Taku 56) mama sarva-satvAnAm ca rakzAm kurvantu, guptim
   paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ daṇḍaparihāraṃ	paritrANam parigraham paripAlanam SAntim svastyayanam daNxa-parihAram
   śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ dharaṇībandhaṃ ca	Sastra-parihAram viza-dUzaNam viza-nASanam sImAbanDam DaraNI-banDam ca
   kurvantu, jīvatu varṣaśataṃ paśyatu śaradāśataṃ.	kurvantu, jIvatu varza-Satam paSyatu Sarad-A-SataM.
   udgṛhṇa tvam ānanda mahāvṛkṣāṇāṃ nāmāni. tadyathā.	udgRhNa tvam Ananda mahA-vRkzANAm nAma-ani. tat-yaTA.
   kāñcano nāma mahāvṛkṣaḥ, pippalo nāma mahāvṛkṣaḥ, aśvatthāno nāma	kAQcanaH nAma mahA-vRkzaH, pippalaH nAma mahA-vRkzaH, aSvatTAnaH nAma
   mahāvṛkṣaḥ, kapitthāno nāma mahāvṛkṣaḥ, udumbalo nāma mahāvṛkṣaḥ, kapītuko	mahAvRkzaH, kapitTAnaH nAma mahA-vRkzaH, udumbalaH nAma mahA-vRkzaH, kapItukaH-
   nāma mahāvṛkṣaḥ, śālo nāma mahāvṛkṣaḥ, karṇikāro nāma mahāvṛkṣaḥ, tiniśo	nAma mahAvRkzaH, SAlaH nAma mahAvRkzaH, karNikAraH nAma mahA-vRkzaH, tiniSo
   nāma mahāvṛkṣaḥ, bilvo nāma mahāvṛkṣaḥ, cūto nāma mahāvṛkṣaḥ, nicūto nāma	nAma mahAvRkzaH, bilvaH nAma mahAvRkzaH, cUtaH nAma mahA-vRkzaH, nicUtaH nAma
   mahāvṛkṣaḥ.	mahA-vRkzaH.
   ity ete cānye ca mahāvṛkṣāḥ teṣv api ca devatāḥ prativasanti. tā 'py anayā	iti ete ca-anye ca mahA-vRkzAH tezu api ca devatAH prativasanti. tAH api anayA
   mahāmāyūryā vidyārājñyā svāter bhikṣor mama sarvasatvānāṃ ca rakṣāṃ	mahAmAyUryA vidyA-rAjQyA svAteH BikzoH mama sarva-satvAnAm ca rakzAm
   kurvantu, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ	kurvantu, guptim paritrANam parigraham paripAlanam SAntim svastyayanam
   daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ	daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam sImAbanDam
   dharaṇībandhaṃ ca kurvantu, jīvatu varṣaśataṃ paśyatu śaradāśataṃ.	DaraNI-banDam ca kurvantu, jIvatu varza-Satam paSyatu Sarad-A-SataM.
   iyaṃ cānanda mahāmāyūrī vidyārājñī saptabhiḥ samyaksaṃbuddhair bhāṣitā	iyam ca-Ananda mahAmAyUrI vidyA-rAjQI saptaBiH samyaksaMbudDEH BAzitA
   cābhyanumoditā ca. tadyathā. vipaśyinā samyaksaṃbuddhena bhāṣitā	ca-aByanumoditA ca. tat-yaTA. vipaSyinA samyaksaMbudDena BAzitA
   cābhyanumoditā ca, śikhinā samyaksaṃbuddhena bhāṣitā cābhyanumoditā ca,	ca-aByanumoditA ca, SiKinA samyaksaMbudDena BAzitA ca-aByanumoditA ca,
   viśvabhuvā samyaksaṃbuddhena bhāṣitā cābhyanumoditā ca, krakucchandena	viSvaBuvA samyaksaMbudDena BAzitA ca-aByanumoditA ca, krakucCandena
   samyaksaṃbuddhena bhāṣitā cābhyanumoditā ca, kanakamuninā	samyaksaMbudDena BAzitA ca-aByanumoditA ca, kanakamuninA
   samyaksaṃbuddhena bhāṣitā cābhyanumoditā ca, kāśyapena samyaksaṃbuddhena	samyaksaMbudDena BAzitA ca-aByanumoditA ca, kASyapena samyaksaMbudDena
   bhāṣitā cābhyanumoditā ca, mayā caitarhi śākyamuninā samyaksaṃbuddhena	BAzitA ca-aByanumoditA ca, mayA ca-etarhi SAkya-muninA samyaksaMbudDena
   bhāṣitā cābhyanumoditā ca. iyaṃ cānanda mahāmāyūrī vidyārājñī maitreyena	BAzitA ca-aByanumoditA ca. iyam ca-Ananda mahAmAyUrI vidyA-rAjQI mEtreyena
   bodhisatvena mahāsatvena bhāṣitā cābhyanumoditā (Mmvr Taku 57) ca.	boDisatvena mahAsatvena BAzitA ca-aByanumoditAH (MmvH Taku 57) ca.
   brahmaṇā sahāpatinā bhāṣitā cābhyanumoditā ca. śakreṇa devānām indreṇa	brahmaNA sahApatinA BAzitA ca-aByanumoditA ca. SakreNa devAnAm indreNa
   caturbhiś ca mahārājair dhṛtaraṣṭreṇa gandharvarājena virūḍhakena	caturBiH ca mahA-rAjEH DRta-razwreNa ganDarva-rAjena virUXakena
   kumbhāṇḍarājena virūpākṣeṇa nāgarājena vaiśravaṇena yakṣarājena bhāṣitā	kumBANxa-rAjena virUpAkzeNa nAga-rAjena vESravaNena yakza-rAjena BAzitA
   cābhyanumoditā ca. aṣṭāviṃśatibhiś ca gandharvasenāpatibhiḥ,	ca-aByanumoditA ca. azwAviMSatiBiH ca ganDarva-senApatiBiH,
   aṣṭāviṃśatibhiś ca kumbhāṇḍasenāpatiḥ, aṣṭāviṃśatibhiś ca	azwAviMSatiBiH ca kumBANxa-senApatiH, azwAviMSatiBiH ca
   nāgasenāpatibhiḥ, aṣṭāviṃśatibhiś ca yakṣasenāpatibhiḥ, pāñcikena ca	nAga-senApatiBiH, azwAviMSatiBiH ca yakza-senApatiBiH, pAQcikena ca
   yakṣasenāpatinā, hārityā ca pañcaputraśataparivārayā bhāṣitā	yakza-senApatinA, hArityA ca paQca-putra-Sata-parivArayA BAzitA
   cābhyanumoditā ca.	ca-aByanumoditA ca.
   iyaṃ cānanda mahāmāyūrī vidyārājñī anatikramaṇīyā devagraheṇa nāgagraheṇa	iyam ca-Ananda mahAmAyUrI vidyA-rAjQI anatikramaNIyAH deva-graheNa nAga-graheNa
   asuragraheṇa marutagraheṇa garuḍagraheṇa gandharvagraheṇa kinnaragraheṇa	asura-graheNa maruta-graheNa garuxa-graheNa ganDarva-graheNa kinnara-graheNa
   mahoragagraheṇa yakṣagraheṇa rākṣasagraheṇa pretagraheṇa piśācagraheṇa	mahA-uraga-graheNa yakza-graheNa rAkzasa-graheNa preta-graheNa piSAca-graheNa
   bhūtagraheṇa kumbhāṇḍagraheṇa pūtanagraheṇa kaṭapūtanagraheṇa	BUta-graheNa kumBANxa-graheNa pUtana-graheNa kawa-pUtana-graheNa
   skandagraheṇa unmādagraheṇa chāyāgraheṇa apasmāragraheṇa ostārakagraheṇa.	skanda-graheNa unmAda-graheNa CAyA-graheNa apasmAra-graheNa oH-tAraka-graheNa.
   anatikramaṇīyā sarvagrahaiḥ, anatikramaṇīyā sarvojāhāriṇībhiḥ,	anatikramaNIyA sarva-grahEH, anatikramaNIyA sarva-uja-AhAriNIBiH,
   garbhāhāriṇyā vasāhāriṇyā māṃsāhāriṇyā medāhāriṇyā majjāhāriṇyā	garBA-hAriNyAH vasA-hAriNyAH mAMsa-AhAriNyA medA-hAriNyA majjA-hAriNyA
   jīvitāhāriṇyā balyāhāriṇyā mālyāhāriṇyā rudhirāhāriṇyā jātāhāriṇyā	jIvita-ahAriNyAH balyA-hAriNyAH mAlyAhAriNyAH ruDira-AhAriNyAH jAtA-hAriNyA
   gandhāhāriṇyā puṣpāhāriṇyā dhūpāhāriṇyā phalāhāriṇyā sasyāhāriṇyā	ganDAhAriNyA puzpA-hAriNyA DUpAhAriNyA Pala-AhAriNyA sasya-AhAriNyA
   āhutyāhāriṇyā pūyāhāriṇyā viṣṭāhāriṇyā mūtrāhāriṇyā kheṭāhāriṇyā	AhutyA-hAriNyA pUyA-hAriNyA vizwAhAriNyA mUtrAhAriNyA KewA-hAriNyA
   śleṣmāhāriṇyā siṃhānakāhāriṇyā utsiṣṭāhāriṇyā vāntāhāriṇyā viriktāhāriṇyā	Slezma-AhAriNyA siMha-Anaka-AhAriNyAH utsizwA-hAriNyAH vAntA-hAriNyAH viriktA-hAriNyA
   aśucyāhāriṇyā syandikāhāriṇyā. anatikramaṇīyā	aSucyAhAriNyA syandikA-hAriNyA. anatikramaNIyA
   kṛtyākarmaṇakākhordakiraṇavetāḍaciccapreṣakadurbhuktaduścharditaduśchāyāduḥprekṣitadurlikhitadurlaṃghitāvadhūtaiḥ.	kRtyA-karmaNakA-Korda-ki-raNa-vetAxa-cit-ca-prezaka-durBukta-duSCardita-duSCAyA-duHprekzita-durliKita-durlaMGita-avaDUtEH.
   anatikramaṇīyā (Mmvr Taku 58) jvareṇa ekāhikena dvaitīyakena traitīyakena	anatikramaNIyAH (MmvH Taku 58) jvareNa ekAhikena dvEtIyakena trEtIyakena
   cāturthakena saptāhikenārdhamāsikena māsikena dvaimāsikena mauhūrtikena	cAturTakena saptAhikena-arDa-mAsikena mAsikena dvEmAsikena mOhUrtikena
   nityajvareṇa viṣamajvareṇa bhūtajvareṇa mānuṣajvareṇa amānuṣajvareṇa	nitya-jvareNa vizamajvareNa BUta-jvareNa mAnuza-jvareNa amAnuza-jvareNa
   vātikena paittikena śleṣmikena sānnipātikena. anatikramaṇīyā sarvajvaraiḥ.	vAtikena pEttikena Slezmikena sAnnipAtikena. anatikramaNIyA sarva-jvarEH.
   anatikramaṇīyā śirorttyā ardhāvabhedakenārocakenākṣirogena nāsārogena	anatikramaNIyA SirorttyA arDa-avaBedakena-arocakena-akzi-rogena nAsA-rogena
   mukharogena kaṇṭharogena karṇarogena hṛdayarogena galagrahena karṇaśūlena	muKa-rogena kaNWa-rogena karNa-rogena hRdaya-rogena galagrahena karNa-SUlena
   dantaśūlena hṛdayaśūlena pārśvaśūlena pṛṣṭhaśūlena udaraśūlena gaṇḍaśūlena	danta-SUlena hRdaya-SUlena pArSva-SUlena pRzWa-SUlena udara-SUlena gaNxa-SUlena
   vastiśūlena yoniśūlena prajanaśūlena jaṃghāśūlena ūruśūlena hastaśūlena	vasti-SUlena yoni-SUlena prajana-SUlena jaMGA-SUlena Uru-SUlena hasta-SUlena
   pādaśūlena aṅgapratyaṅgaśūlena. anatikramaṇīya	pAda-SUlena aFga-pratyaFga-SUlena. anatikramaNIya
   dadrūkaṇḍūkiṭimakuṣṭhabhagandaragaṇḍapiṭakapāmāvaisarpalohaliṅgaiḥ.	dadrU-kaNxU-kiwima-kuzWa-Bagandara-gaNxa-piwaka-pAma-avEsarpa-loha-liFgEH.
   anatikramaṇīyā sarvavyādhibhiḥ sarvaduṣṭaiḥ sarvaviṣaiḥ sarvabhayaiḥ.	anatikramaNIyA sarva-vyADiBiH sarva-duzwEH sarva-vizEH sarva-BayEH.
   anatikramaṇīyā sarvakalikalahavigrahopadravopasargopāyāsaiḥ.	anatikramaNIyA sarva-kali-kalaha-vigraha-upadrava-upasarga-upAyAsEH.
   yaś cemām ānanda mahāmāyūrīvidyārājñīm atikramet tasya vajrapāṇiḥ saptadhā	yaH ca-imAm Ananda mahA-mAyUrI-vidyA-rAjQIm atikramet tasya vajrapANiH saptaDA
   mūrdhānam arjakasyeva mañjarīṃ sphoṭayiṣyati.	mUrDAnam arjakasya-iva maQjarIm sPowayizyati.
   sarvabuddhabodhisatvapratyekabuddhaśrāvakānāṃ tejasā naṣṭa āloko naṣṭaś	sarva-budDa-boDisatva-pratyekabudDa-SrAvakAnAm tejasA nazwaH AlokaH nazwaH-
   cetasaḥ. āryapudgalās tena visaṃvāditā bhaveyuḥ. catvāraś cainaṃ	cetasaH. Arya-pudgalAH tena visaMvAditAH BaveyuH. catvAraH ca-enam
   mahārājānaḥ kṣuraparyantaiḥ śastrair mahāntaṃ vyasanam āpādayeyuḥ. śakraś	mahA-rAjAnaH kzura-paryantEH SastrEH mahAntam vyasanam ApAdayeyuH. SakraS
   cāsya devānām indras tridaśagaṇaparivṛto vajreṇa mūrdhānam abhibhindyāt.	ca-asya devAnAm indraH tridaSa-gaNa-parivRtaH vajreNa mUrDAnam aBiBindya-at.
   brahmatejasā cāsya vibhūtir bhasmaṃ gacchet. anayā cānanda	brahma-tejasA ca-asya viBUtiH Basmam gacCet. anayA ca-Ananda
   mahāmāyūrīvidyārājñyā yasya rakṣā kriyate sūtraṃ pratisarā cābadhyate, sa	mahA-mAyUrI-vidyArAjQyA yasya rakzA kriyate sUtram pratisarA ca-AbaDyate, sa
   bādhyarho hy ānanda daṇḍena mokṣate daṇḍārhaḥ, prahāraiḥ prahārārhaḥ,	bADi-arhaH hi Ananda daNxena mokzate daNxa-arhaH, prahArEH prahAra-arhaH,
   ākrośena ākrośārhaḥ, paribhāṣaṇayā paribhāṣaṇārhaḥ, romaharṣeṇa	AkroSena AkroSa-arhaH, pariBAzaNayA pariBAzaNa-arhaH, roma-harzeNa
   romaharṣaṇārhaḥ, evam eva mokṣate. na (Mmvr Taku 59) cāsya rājabhayaṃ	romaharzaNa-arhaH, evam eva mokzate. na (MmvH Taku 59) ca-asya rAja-Bayam
   bhaviṣyati, na caurabhayaṃ bhaviṣyati, nāgnibhayaṃ bhaviṣyati, nodakena	Bavizyati, na cOra-Bayam Bavizyati, na-agni-Bayam Bavizyati, na-udakena
   kālaṃ kariṣyati, na cāsya kāye viṣaṃ kramiṣyati, na śastraṃ kramiṣyati,	kAlam karizyati, na ca-asya kAye vizam kramizyati, na Sastram kramizyati,
   sukhaṃ ciraṃ jīviṣyati, sthāpayitvā ānanda paurāṇāṃ svapnāṃ sukhaṃ ca	suKam ciram jIvizyati, sTApayitvA Ananda pOrANAm svapnAm suKam ca
   prativibudhiṣyati, svastho nirupadravo niruttrāso nihatapratyarthiko	prativibuDizyati, svasTaH nirupadravaH niruttrAsaH nihata-pratyarTiko
   nihatapratyamitro nirupahataḥ sarvaviṣabhayavinirmuktaḥ, sukhaṃ ciraṃ	nihata-pratyamitraH nirupahataH sarva-viza-Baya-vinirmuktaH, suKam ciram
   jīviṣyati, sthāpayitvā ānanda paurāṇaṃ karmavipākaṃ.	jIvizyati, sTApayitvA Ananda pOrANam karma-vipAkaM.
   iyaṃ cānanda mahāmāyūrī vidyārājñī ativarṣe anāvṛṣṭau coccārayitavyā.	iyam ca-Ananda mahAmAyUrI vidyA-rAjQI ati-varze anAvRzwO ca-uccArayitavyA.
   tataḥ sarve nāgā autsukyam āpadyante ativarṣaṃ grahīṣyati, anāvṛṣṭau ca	tatas sarve nAgAH Otsukyam Apadyante ati-varzam grahIzyati, anAvRzwO ca
   dhārāpātaṃ kariṣyati, yāvat tasya kulaputrasya vā kuladuhitur vā abhiprāyo	DArA-pAtam karizyati, yAvat tasya kula-putrasya vA kula-duhituH vE aBiprAyaH-
   bhaviṣyati tāvad devo varṣiṣyati. asyāś cānanda mahāmāyūryā vidyārājñyāḥ	Bavizyati tAvat devaH varzizyati. asyAH ca-Ananda mahA-mAyUryAH vidyA-rAjQyAH
   smaraṇād eva sarvabhayavairavāṇi praśamiṣyanti. kiṃ punar imāṃ	smaraNAt eva sarva-Baya-vEravANi praSamizyanti. kim punar imAm
   sakalasamastām akhaṇḍaṃ dhārayiṣyati vācayiṣyati, svastyayanaṃ vā kuryāt.	sakala-samastAm aKaNxam DArayizyati vAcayizyati, svastyayanam vA kuryAt-.
   udgṛhṇa tvam ānanda imāṃ mahāmāyūrīvidyārājñīṃ. paryavāpnuhi dhāraya	udgRhNa tvam AnandaH imAm mahA-mAyUrI-vidyA-rAjQIM. paryavApnuhi DAraya
   vācaya mahāmāyūrīvidyārājñīṃ sarvabhayavairapraśamanīṃ catasṛṇāṃ parṣadāṃ	vAcaya mahA-mAyUrI-vidyA-rAjQIm sarva-Baya-vEra-praSamanIm catasRNAm parzadAm
   rakṣāvaraṇaguptaye me bhikṣūṇāṃ bhikṣuṇīṇām upāsakānām upāsikānāṃ ca.	rakzA-AvaraNa-guptaye me BikzUNAm BikzuNINAm upAsakAnAm upAsikAnAm ca.
   tadyathā.	tat-yaTA.
   yāvati dhāvati balaki kuru tulu me svāhā. rakṣa māṃ sarvasatvāṃś ca svāhā.	yAvati DAvati balaki kuru tulu me svAhA. rakza mAm sarva-satvAn ca svAhA.
   rāgo dveṣaś ca mohaś ca ete loke trayo viṣāḥ,	rAgaH dvezaH ca mohaH ca ete loke trayaH vizAH,
   nirviṣo bhagavān buddho buddhasatyahataṃ viṣaṃ.	nirvizaH BagavAn budDaH budDa-satya-hatam vizaM.
   rāgo dveṣaś ca mohaś ca ete loke trayo viṣāḥ,	rAgaH dvezaH ca mohaH ca ete loke trayaH vizAH,
   nirviṣo bhagavaddharmo dharmasatyahataṃ viṣaṃ.	nirvizaH Bagavat-DarmaH Darma-satya-hatam vizaM.
   rāgo dveṣaś ca mohaś ca ete loke trayo viṣāḥ,	rAgaH dvezaH ca mohaH ca ete loke trayaH vizAH,
   nirviṣo bhagavatsaṃgho saṃghasatyahataṃ viṣaṃ.	nirvizaH Bagavat-saMGaH saMGa-satya-hatam vizaM.
   (Mmvr Taku 60)	(MmvH Taku 60)
   yady alaṃ sarvabuddhānām arhatāṃ caiva yad yaśaḥ,	yadi alam sarva-budDAnAm arhatAm ca-eva yat yaSaH,
   tathāgatasya tejena kṛtaṃ svastyayanaṃ mayā.	taTAgatasya tejena kRtam svastyayanam mayA.
   svātibhikṣor mama sarvasatvānāṃ ca hataṃ viṣam,	sva-ati-BikzoH mama sarva-satvAnAm ca hatam vizam,
   mahāmāyūrī vidyārājñī svāter bhikṣor mama bhavatu.	mahAmAyUrI vidyA-rAjQI svAteH BikzoH mama Bavatu.
   sādhu bhagavann ity āyuṣmān ānando bhagavataḥ pādau śirasā vanditvā	sADu Bagavan iti AyuzmAn AnandaH BagavataH pAdO SirasA vanditvA
   bhagavantaṃ triḥpradakṣiṇīkṛtya yena svātir bhikṣus tenopasaṃkramya svāter	Bagavantam tris-pradakziNIkRtya yena svAtiH BikzuH tena-upasaMkramya svAteH-
   bhikṣor anayā mahāmāyūryā vidyārājñyā rakṣām akārṣīt. guptiṃ paritrāṇaṃ	BikzoH anayA mahA-mAyUryA vidyA-rAjQyAH rakzAm akArzIt. guptim paritrANam
   parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ daṇḍaparihāraṃ śastraparihāraṃ	parigraham paripAlanam SAntim svastyayanam daNxa-parihAram Sastra-parihAram
   viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ dharaṇībandhaṃ cākārṣīt, vyutthitaś	viza-dUzaNam viza-nASanam sImAbanDam DaraNI-banDam ca-akArzIt, vyutTita-S
   cāyuṣmān svātir bhikṣus tasmād ābādhād āyuṣmatā ānandena rakṣāsvastyayane	ca-AyuzmAn svAtiH BikzuH tasmAt AbADAt AyuzmatA Anandena rakzAsvastyayane
   kṛte.	kRte.
   athāyuṣmān ānanda āyuṣmāṃś ca svātir bhikṣur yena bhagavāṃs	aTa-AyuzmAn AnandaH AyuzmAn ca svAtiH BikzuH yena BagavAn=-
   tenopasaṃkrāntau, upasaṃkramya bhagavataḥ pādau śirasābhivandya bhagavataḥ	tena-upasaMkrAntO, upasaMkramya BagavataH pAdO SirasA-aBivandya BagavataH
   sarvaṃ yathā vṛttāntaṃ nivedya bhagavatānujñatau caikānte niṣaṇṇau.	sarvam yaTA vRttAntam nivedya BagavatA-anujQatO ca-ekAnte nizaNNO.
   atha bhagavān āyuṣmantam ānandam uvāca. dṛṣṭas te mahāmāyūryā vidyārājñāḥ	aTa BagavAn Ayuzmantam Anandam uvAca. dRzwaH te mahA-mAyUryAH vidyA-rAjQAH
   prabhāva iti. tathā vāditaṃ bhagavantam ānandaḥ praṇamyovāca. kim idaṃ	praBAvaH iti. taTA vAditam Bagavantam AnandaH praNamya-uvAca. kim idam
   bhagavan na viditaṃ bhaviṣyati. bhagavān punar uvāca. apy evānanda catvāro	Bagavat na viditam Bavizyati. BagavAn punar uvAca. api eva-Ananda catvAraH-
   mahāsamudrāḥ śoṣaṃ gaccheyuḥ, pṛthivī vā ākāśam utpadyet, candrādityau vā	mahA-samudrAH Sozam gacCeyuH, pRTivI vA AkASam utpadyet, candra-AdityO vA
   pṛthivyāṃ nipatetāṃ, nadyo vā pratiśroto gaccheyuḥ, na ca tathāgatasya	pRTivyAm nipatetAM, nadyaH vA pratiSrotaH gacCeyuH, na ca taTAgatasya
   vacanam anyathā bhaved iti. atha bhagavān āyuṣmantam ānandam āmantrayate	vacanam anyaTA Bavet iti. aTa BagavAn Ayuzmantam Anandam Amantrayate
   sma. tasmāt tarhi tvam ānanda imāṃ mahāmāyūrīṃ vidyārājñīṃ catasṛṇāṃ	sma. tasmAt tarhi tvam AnandaH imAm mahAmAyUrIm vidyA-rAjQIm catasRNAm
   parṣadāṃ rakṣāvaraṇaguptaye bhikṣūṇāṃ bhikṣuṇīṇām upāsakānām upāsikānāṃ	parzadAm rakzA-AvaraNa-guptaye BikzUNAm BikzuNINAm upAsakAnAm upAsikAnAm
   cārocaya. sādhu bhagavann ity āyuṣmān ānando bhagavataḥ pratiśrutya imāṃ	ca-arocaya. sADu Bagavan iti AyuzmAn AnandaH BagavataH pratiSrutya imAm
   mahāmāyūrīṃ vidyārājñīṃ catasṛṇāṃ parṣadām ārocayati bhikṣūṇāṃ bhikṣuṇīṇām	mahAmAyUrIm vidyA-rAjQIm catasRNAm parzadAm Arocayati BikzUNAm BikzuNINAm
   upāsakānām upāsikānāṃ ceti.	upAsakAnAm upAsikAnAm ca-iti.
   (Mmvr Taku 61)	(MmvH Taku 61)
   idam avocad bhagavān, āttamanā āyuṣmān ānanda āyuṣmāṃś ca svātir bhikṣur,	idam avocat BagavAn, Atta-manAH AyuzmAn AnandaH AyuzmAn ca svAtiH BikzuH-,
   ye ca tasyāṃ parṣadi sannipatitāḥ sanniṣaṇṇāḥ	ye ca tasyAm parzadi sannipatitAH sannizaNNAH
   devanāgayakṣagandharvāsuragaruḍakinnaramahoragayakṣārākṣasamanuṣyāmanuṣyās	deva-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahA-uraga-yakzA-rAkza-sa-manuzya-amanuzya-aH-
   te ca sarve bhagavato bhāṣitam abhyanandann iti.	te ca sarve BagavataH BAzitam aByanandan iti.
   samāptā ceyaṃ bhagavaty āryamahāmāyūrī vidyārājñī.	samAptA ca-iyam Bagavati Arya-mahAmAyUrI vidyA-rAjQI.
   avinaṣṭā yakṣamukhāt pratilabdhā navaśatikā buddhabhāṣitā.	avinazwA yakza-muKAt pratilabDA nava-SatikA budDa-BAzitA.
   rakṣa māṃ sarvasatvāṃś ca svastiśreyo bhavatv iti.	rakza mAm sarva-satvAn ca svasti-SreyaH Bavatu iti.
   asyā mahāmāyūryā vidyārājñyā ayam upacāraḥ. apatitakapilagomayena śucau	asyAH mahA-mAyUryA vidyA-rAjQyAH ayam upacAraH. apatita-kapila-gomayena SucO
   bhūmipradeśe gocarmamātraṃ sthaṇḍilam upalipya samutpannena kāryeṇa yena	BUmi-pradeSe gocarma-mAtram sTaNxilam upalipya samutpannena kAryeNa yena
   kenacid gomayena caturaśraṃ maṇḍalakaṃ kartavyaṃ. tatra ca madhye	kenacid gomayena caturaSram maNxalakam kartavyan. tatra ca maDye
   buddhapratimā paścimābhimukhā sthāpayitavyā, tasyā vāmapārśve	budDa-pratimA paScima-aBimuKA sTApayitavyA, tasyAH vAma-pArSve
   mahāmāyūrīpustakalikhitā citrakarmakṛtā vā sthāpayitavyā, atha vā trayo	mahAmAyUrI-pusta-kaliKitA citrakarma-kRtA vA sTApayitavyA, aTa vA trayaH-
   mayūracandrikāḥ kapilagomaye niṣadya sthāpayitavyāḥ, tataḥ śvetārkapuṣpāṇi	mayUra-candrikAH kapila-gomaye nizadya sTApayitavyAH, tatas Sveta-arka-puzpANi
   śvetakaravīrabilbapatrāṇi śirīṣapatrāṇi ca datvā baliṃ tilakṛsaratilodakaṃ	Sveta-karavIra-bilba-patrANi SirIza-patrANi ca datvA balim tila-kRsara-tila-udakam
   caiva pāyasaṃ guḍapūrṇakayāvakamadhupūrṇakabhaktāṃ yathā lābhena datvā	ca-eva pAyasam guxa-pUrNaka-yAvaka-maDu-pUrNaka-BaktAm yaTA lABena datvA
   prāṅmukhena gugguludhūpaṃ ca datvā tato dakṣiṇapaścimottaramukhena	prAFmuKena guggulu-DUpam ca datvA tatas dakziNa-paScima-uttara-muKena
   caturdiśaṃ pūrvoktānāṃ caturdiśānāṃ yakṣāṇām agrahāṃ kurvatā vaktavyaṃ,	caturdiSam pUrva-uktAnAm caturdiSAnAm yakzANAm agrahAm kurvatA vaktavyaM,
   āgacchadhvaṃ, puṣpaṃ dhūpaṃ gandhaṃ baliṃ dīpaṃ ca pratīcchadhvaṃ, rakṣa	AgacCaDvaM, puzpam DUpam ganDam balim dIpam ca pratIcCaDvaM, rakza
   māṃ sarvasatvānāṃś ca. Oṃ varade hūṃ (Mmvr Taku 62) hariṇi sphuṭ kāriṇi	mAm sarva-satvAnAn ca. Om vara-de hUm (MmvH Taku 62) hariNi sPuh kAriNi
