   (PSP_5:1)	(PSu _5:1)
   me 'rtho 'nartha iti na caritavyam, āveṇikābuddhadharmā me 'rtho 'nartha	me arTaH anarTaH iti na caritavyam, AveNikA budDa DarmA me arTaH anarTa
   iti na caritavyam, anuttarā me samyaksaṃbodhir artho 'nartha iti na	iti na caritavyam, anuttarA me samyaksaMboDiH arTaH anarTaH iti na
   caritavyam. tat kasya hetoḥ? tathā hi subhūte tathāgatenānuttarāṃ	caritavyam. tat kasya hetoH? taTA hi suBUte taTAgatena anuttarAm
   samyaksaṃbodhim abhisaṃbudhya na kaścid dharma upalabdho yo 'rthaṃ vā	samyaksaMboDim aBisaMbuDya na kaScid DarmaH upalabDaH yaH arTam vA
   kuryād anarthaṃ vā kuryād, api nu khalu punaḥ subhūte utpādād vā	kuryAt anarTam vA kuryAt , api nu Kalu punar suBUte utpAdAt vA
   tathāgatānām anutpādād vā tathāgatānāṃ sthitaivaiṣā dharmāṇāṃ dharmatā	taTAgatAnAm anutpAdAt vA taTAgatAnAm sTitA eva ezA DarmANAm DarmatA
   dharmadhātur dharmasthititā dharmaniyāmatā sā naiva kasyacid arthaṃ vā	DarmaDAtuH Darma sTiti tA Darma niyAma tA sA na eva kasyacid arTam vA
   karoty anarthaṃ vā, evaṃ khalu subhūte bodhisattvena	karoti anarTam vA, evam Kalu suBUte boDisattvena
   mahāsattvenārthānartho varjayitvā prajñāpāramitāyāṃ caritavyam.	mahAsattvena arTa anarTaH varjayitvA prajQApAramitAyAm caritavyam.
   evam ukte āyuṣmān subhūtir bhagavantam etad avocat: kena kāraṇena bhagavan	evam ukte AyuzmAn suBUtiH Bagavantam etat avocat: kena kAraNena Bagavan
   prajñāpāramitā nānarthakarī nārthakarī?	prajQApAramitA na anarTa karI na arTa karI?
   bhagavān āha: tathā hi subhūte saṃskṛtadharmāṇām asaṃskṛtadharmāṇām	BagavAn Aha: taTA hi suBUte saMskRta DarmANAm asaMskRta DarmANAm
   akāraṇaṃ prajñāpāramitā, tena kāraṇena prajñāpāramitā na kasyacid arthaṃ	akAraNam prajQApAramitA, tena kAraNena prajQApAramitA na kasyacid arTam
   vā karoty anarthaṃ vā.	vA karoti anarTam vA.
   subhūtir āha: punar bhagavann asaṃskṛto 'rthaḥ sarvāryāṇāṃ buddhānāṃ	suBUtiH Aha: punar Bagavan asaMskRtaH arTaH sarva AryANAm budDAnAm
   buddhaśrāvakāṇāṃ vā.	budDa SrAvakANAm vA.
   bhagavān āha: asaṃskṛto 'rthaḥ sarvāryāṇāṃ buddhānāṃ buddhaśrāvakāṇāṃ ca,	BagavAn Aha: asaMskRtaH arTaH sarva AryANAm budDAnAm budDa SrAvakANAm ca,
   pratyupasthito na punar apakāreṇa vopakāreṇa vā, tadyathāpi nāma subhūte	pratyupasTitaH na punar apakAreNa vA upakAreNa vA, tat yaTA api nAma suBUte
   ākāśasya tathatā na kasyacid apakāreṇa vopakāreṇa vā pratyupasthitā, evam	AkASasya taTatA na kasyacid apakAreNa vA upakAreNa vA pratyupasTitA, evam
   eva subhūte bodhisattvasya mahāsattvasya prajñāpāramitā na kasyacid	eva suBUte boDisattvasya mahAsattvasya prajQApAramitA na kasyacid 
   dharmasyāpakāreṇa vopakāreṇa vā pratyupasthitā.	Darmasya apakAreNa vA upakAreNa vA pratyupasTitA.
   subhūtir āha: kiṃ punar bhagavan bodhisattvo mahāsattvo 'saṃskṛtāyāṃ	suBUtiH Aha: kim punar Bagavan boDisattvaH mahAsattvaH asaMskRtAyAm
   prajñāpāramitāyāṃ śikṣitvā sarvākārajñatām anuprāpsyati?	prajQApAramitAyAm SikzitvA sarva AkAra jQa tAm anuprApsyati?
   bhagavān āha: iha punaḥ subhūte bodhisattvo mahāsattvo 'saṃskṛtāyāṃ	BagavAn Aha: iha punar suBUte boDisattvaH mahAsattvaH asaMskRtAyAm
   prajñāpāramitāyāṃ śikṣitvā sarvākārajñatām anuprāpsyati, na punar	prajQApAramitAyAm SikzitvA sarva AkAra jQa tAm anuprApsyati, na punar 
   dvayayogena. iti kleśaprakṛtisaṃmohavikalpaḥ	dvaya yogena. iti kleSa prakRti saMmoha vikalpaH
   subhūtir āha: kiṃ punar bhagavann advayadharmo 'dvayadharmam anuprāpnoti?	suBUtiH Aha: kim punar Bagavan advaya DarmaH advaya Darmam anuprApnoti?
   bhagavān āha: na subhūte.	BagavAn Aha: na suBUte.
   subhūtir āha: kiṃ punar bhagavan dvayadharmo 'dvayadharmam anuprāpnoti?	suBUtiH Aha: kim punar Bagavan dvaya DarmaH advaya Darmam anuprApnoti?
   (PSP_5:130)	(PSu _5:130)
   bhagavān āha: na subhūte.	BagavAn Aha: na suBUte.
   subhūtir āha: katham idānīṃ bhagavann anuprāpyate?	suBUtiH Aha: kaTam idAnIm Bagavan anuprApyate?
   bhagavān āha: yathā nādvayo na dvayo dharma upalabhyate.	BagavAn Aha: yaTA na advayaH na dvayaH DarmaH upalaByate.
   subhūtir āha: kathaṃ bhagavan nādvayo na dvayo dharma upalabhyate?	suBUtiH Aha: kaTam Bagavat na advayaH na dvayaH DarmaH upalaByate?
   bhagavān āha: anupalambhaṃ prati na rūpam anupalambhena prāpnoti, na	BagavAn Aha: anupalamBam prati na rUpam anupalamBena prApnoti, na
   vedanān na saṃjñān na saṃskārān, na vijñānam anupalambhena prāpnoti. iti	vedanAt na saMjQAn na saMskArAn, na vijQAnam anupalamBena prApnoti. iti
   dvayābhāvasaṃmohavikalpaḥ	dvaya aBAva saMmoha vikalpaH
   ity ukto navavidho dvitīyo grāhakavikalpaḥ	iti uktaH navaviDaH dvitIyaH grAhaka vikalpaH
   evam ukte āyuṣmān subhūtir bhagavantam etad avocat: gambhīrā bhagavan	evam ukte AyuzmAn suBUtiH Bagavantam etat avocat: gamBIrAH Bagavan
   prajñāpāramitā duṣkarakārakā bhagavan bodhisattvā mahāsattvā ye	prajQApAramitA duzkara kArakAH Bagavan boDisattvAH mahAsattvAH ye
   'nuttarāyāṃ samyaksaṃbodhau prasthitā na ca nāmasattva upalabhyate na	anuttarAyAm samyaksaMboDO prasTitA na ca nAma sattvaH upalaByate na
   sattvaprajñāptis, teṣāṃ ca sattvānāṃ kṛtaśo 'nuttarāṃ samyaksaṃbodhim	sattva prajQA Aptis, tezAm ca sattvAnAm kRtaSas anuttarAm samyaksaMboDim
   abhisaṃboddhum abhisaṃprasthitāḥ. tadyathāpi nāma bhagavan kaścid eva	aBisaMbodDum aBisaMprasTitAH. tat yaTA api nAma Bagavan kaScid eva
   puruṣa ākāśe apratiṣṭhāne stambam icched dhāpayitum, evam eva bhagavan	puruzaH AkASe apratizWAne stambam icCet DApayitum, evam eva Bagavan
   bodhisattvo mahāsattvaḥ sattvānāṃ kṛtenecchet sarvākārajñatām anuprāptum.	boDisattvaH mahAsattvaH sattvAnAm kRtena icCet sarva AkAra jQa tAm anuprAptum.
   bhagavān āha: evam etat subhūte evam etat, duṣkarakārakā bodhisattvā	BagavAn Aha: evam etat suBUte evam etat, duzkara kArakAH boDisattvA
   mahāsattvā ye sattvānāṃ kṛtaśaḥ sarvākārajñatārtham abhipratiṣṭhante, tāñ	mahAsattvAH ye sattvAnAm kRtaSas sarva AkAra jQa tA arTam aBipratizWante, tAn 
   ca sarvākārajñatām anubudhya sarvasattvān saṃsārāt parimocayiṣyanti. iti	ca sarva AkAra jQa tAm anubuDya sarva sattvAn saMsArAt parimocayizyanti. iti
   sarvākārajñatāyā abhāvālambanajñānam	sarva AkAra jQa tAyAH aBAva Alambana jQAnam
   tadyathāpi nāma subhūte puruṣaḥ stambam icched vāpanāya sa ca puruṣas	tat yaTA api nAma suBUte puruzaH stambam icCet vApanAya sa ca puruzas
   tasya stambasya na mūlaṃ jānīyād na śākhāṃ na tvacchedaṃ na pattraṃ na	tasya stambasya na mUlam jAnIyAt na SAKAm na tvacCedam na pattram na
   palāśaṃ na puṣpaṃ jānīyāt, sa tasya stambasya kāṇḍaṃ vāpayeta vāpayitvā	palASam na puzpam jAnIyAt, sa tasya stambasya kANxam vApayeta vApayitvA
   kālena kālaṃ gopāyatodakaṃ dadyād arthaṃ tasya tat kāṇḍam anupūrveṇa	kAlena kAlam gopAyata udakam dadyAt arTam tasya tat kANxam anupUrveNa
   śākhāsaṃpannañ ca bhavet, pattrasaṃpannañ ca bhavet, puṣpasaṃpannañ ca	SAKA saMpannan ca Bavet, pattra saMpannan ca Bavet, puzpa saMpannan ca
   bhavet, phalasaṃpannañ ca bhavet, sa tasya stambasya pattrāṇy anubhuñjīt,	Bavet, Pala saMpannan ca Bavet, sa tasya stambasya pattrANi anuBuQjIt,
   puṣpāṇi ca phalāni cānubhuñjīta. evam eva subhūte bodhisattvā mahāsattvāḥ	puzpANi ca PalAni ca anuBuQjIta. evam eva suBUte boDisattvAH mahAsattvAH
   sarvasattvānāṃ kṛtaśo 'nuttarāṃ samyaksaṃbodhim abhisaṃboddhum	sarva sattvAnAm kRtaSas anuttarAm samyaksaMboDim aBisaMbodDum
   abhisaṃprasthitā anupūrveṇa ṣaṭsu pāramitāsu carantaḥ sarvākārajñatām	aBisaMprasTitAH anupUrveNa zawsu pAramitAsu carantaH sarva AkAra jQa tAm
   anuprāpsyanti, tataḥ sarvasattvānāṃ pattrapuṣpaphalopajīvyā bhavanti.	anuprApsyanti, tatas sarva sattvAnAm pattra puzpa Pala upajIvyAH Bavanti.
   tatredaṃ subhūte pattraṃ bodhisattvānāṃ mahāsattvānāṃ yad āgamya sattvās	tatra idam suBUte pattram boDisattvAnAm mahAsattvAnAm yat Agamya sattva as
   tribhyo 'pāyebhyaḥ parimucyante. tatredaṃ puṣpaṃ yad āgamya	triByaH apAyeByaH parimucyante. tatra idam puzpam yat Agamya
   kṣatriyamahāśālakuleṣu brāhmaṇamahāśālakuleṣu gṛhapatimahāśālakuleṣu	kzatriya mahA SAla kulezu brAhmaNa mahASAla kulezu gRhapati mahASAla kulezu
   (PSP_5:131) vā cāturmahārājakāyikeṣu deveṣūpapadyante trayastriṃśeṣu	(PSu _5:131) vA cAturmahA rAja kAyikezu devezu upapadyante trayastriMSezu
   yāmeṣu tuṣiteṣu nirmāṇaratisu paranirmitavaśavartiṣu brahmapārṣadyeṣu	yAmezu tuzitezu nirmANa ratisu paranirmitavaSavartizu brahmapArzadyezu
   yāvan naivasaṃjñānāsaṃjñāyataneṣu upapadyante. tatredaṃ phalaṃ yad āgamya	yAvat na eva saMjQAna asaMjQA yatanezu upapadyante. tatra idam Palam yat Agamya
   sattvāḥ srotaāpattiphale pratiṣṭhante, sakṛdāgāmiphale pratiṣṭhante,	sattvAH srotaApatti Pale pratizWante, sakRdAgAmi Pale pratizWante,
   'nāgāmiphale pratiṣṭhante, arhattve pratiṣṭhante, pratyekabodhau	anAgAmi Pale pratizWante, arhat tve pratizWante, pratyeka boDO
   pratiṣṭhante, tad eva ca phalam āgamya sattvāḥ sarvākārajñatam	pratizWante, tat eva ca Palam Agamya sattvAH sarva AkAra jQatam
   anuprāpnuvanti, sarvasattvānāṃ phalaśālino bhavanti, tatra ye dakṣiṇāṃ	anuprApnuvanti, sarva sattvAnAm Pala SAlinaH Bavanti, tatra ye dakziNAm
   pratiṣṭhāpayanti te sarve 'nupūrveṇa tribhir yānaiḥ parinirvānti, yad uta	pratizWApayanti te sarve anupUrveNa triBiH yAnEH parinirvAnti, yat uta
   śrāvakayānena vā pratyekabuddhayānena vā mahāyānena vā, anuttarām api	SrAvaka yAnena vA pratyekabudDa yAnena vA mahAyAnena vA, anuttarAm api
   samyaksaṃbodhim abhisaṃbudhyante, na ca tatra sattvaḥ prajñāyate, na ca	samyaksaMboDim aBisaMbuDyante, na ca tatra sattvaH prajQAyate, na ca
   sattvaprajñāptis te ca sattvā ātmagrāhataḥ parimocyante. evaṃ khalu	sattva prajQA AptiH te ca sattvAH Atma grAhataH parimocyante. evam Kalu
   subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ caritavyaṃ, na ceha	suBUte boDisattvena mahAsattvena prajQApAramitAyAm caritavyan, na ca iha
   kaścit sattvo vā sattvaprajñāptir vopalabhyate, yeṣāṃ sattvānām ahaṃkṛte	kaScid sattvaH vA sattva prajQA AptiH vA upalaByate, yezAm sattvAnAm ahaMkRte
   na sarvākārajñatām anuprāpsyāmīti.	na sarva AkAra jQa tAm anuprApsyAmi iti.
   evam ukte āyuṣmān subhūtir bhagavantam etad avocat: tathāgata eva	evam ukte AyuzmAn suBUtiH Bagavantam etat avocat: taTAgataH eva
   bodhisattvo mahāsattvo veditavyaḥ. tat kasya hetoḥ? tathā hi bhagavan	boDisattvaH mahAsattvaH veditavyaH. tat kasya hetoH? taTA hi Bagavan
   bodhisattvaṃ mahāsattvam āgamya sarvanarakā ucchidyante,	boDisattvam mahAsattvam Agamya sarva narakAH ucCidyante,
   sarvatiryagyonayaḥ sarvayamalokā ucchidyante, sarvākṣaṇāḥ sarvadāridrāṇy	sarva tiryagyonayaH sarva yama lokAH ucCidyante, sarva akzaNAH sarva dAridrANi 
   ucchidyante, sarvahīnagataya ucchidyante, sarvakāmadhātur ucchidyante,	ucCidyante, sarva hIna gataye ucCidyante, sarva kAma DAtuH ucCidyante,
   sarvo rūpadhātur ucchidyante, sarva ārūpyadhātur ucchidyante.	sarvaH rUpa DAtuH ucCidyante, sarve ArUpya DAtuH ucCidyante.
   bhagavān āha: evam etat subhūte evam etat, tathāgata evam eva subhūte	BagavAn Aha: evam etat suBUte evam etat, taTAgataH evam eva suBUte
   bodhisattvo mahāsattvo veditavyaḥ. sacet punaḥ subhūte bodhisattvo	boDisattvaH mahAsattvaH veditavyaH. saced punar suBUte boDisattvaH 
   mahāsattvo 'nuttarāyai samyaksaṃbodhaye nābhipratiṣṭhet,	mahAsattvaH anuttarAyE samyaksaMboDaye na aBipratizWet,
   nātītānāgatapratyutpannā buddhā bhagavanto 'nuttarāṃ samyaksaṃbodhim	na atIta anAgata pratyutpannAH budDAH BagavantaH anuttarAm samyaksaMboDim
   abhisaṃbuddhā nābhisaṃbhotsyante nābhisaṃbudhyante. na pratyekabuddhānāṃ	aBisaMbudDAH nABisaMBotsyante na aBisaMbuDyante. na pratyekabudDAnAm
   loke prādurbhāvo bhaviṣyati, nārhatāṃ loke prādurbhāvo bhaviṣyati,	loke prAdurBAvaH Bavizyati, na arhatAm loke prAdurBAvaH Bavizyati,
   nānāgāmināṃ loke prādurbhāvo bhaviṣyati, na sakṛdāgāmināṃ loke prādurbhāvo	nAnA gAminAm loke prAdurBAvaH Bavizyati, na sakRdAgAminAm loke prAdurBAvaH 
   bhaviṣyati, srotaāpannānāṃ loke prādurbhāvo na bhaviṣyati. na sarvanarakā	Bavizyati, srotaApannAnAm loke prAdurBAvaH na Bavizyati. na sarva narakA
   ucchetsyante, na sarvatiryagyonayo na sarvayamalokā ucchetsyanti, na	ucCetsyante, na sarva tiryagyonayaH na sarva yama lokAH ucCet syanti, na
   sarvākṣaṇā na sarvadāridrāṇy ucchetsyanti, na sarvahīnagatayo na	sarva akzaNAH na sarva dAridrANi ucCet syanti, na sarva hIna gatayaH na
   kāmadhātur na rūpadhātur nārūpyadhātur ucchetsyati. api tu khalu punar	kAmaDAtuH na rUpa DAtuH na ArUpya DAtuH ucCetsyati. api tu Kalu punar 
   bhagavan yāvat tathāgata eva bodhisattvo mahāsattvo (PSP_5:132)	Bagavan yAvat taTAgataH eva boDisattvaH mahAsattvaH (PSu _5:132)
   veditavyaḥ.	veditavyaH.
   bhagavān āha: evam etat subhūte evam etat, tathāgata eva bodhisattvo	BagavAn Aha: evam etat suBUte evam etat, taTAgataH eva boDisattvaH 
   mahāsattvo veditavyaḥ. tat kasya hetoḥ? yayaiva hi subhūte tathatayā	mahAsattvaH veditavyaH. tat kasya hetoH? yayA eva hi suBUte taTatayA
   tathāgataḥ prajñapyate, tayaiva tathatayā sarvāryāḥ prajñapyante, tayaiva	taTAgataH prajQapyate, tayA eva taTatayA sarva AryAH prajQapyante, tayA eva
   tathatayā rūpaṃ prajñapyate, tayaiva tathatayā vedanā saṃjñā saṃskārāḥ	taTatayA rUpam prajQapyate, tayA eva taTatayA vedanA saMjQA saMskArAH
   prajñapyante, tayaiva tathatayā vijñānaṃ prajñapyate, tayaiva tathatayā	prajQapyante, tayA eva taTatayA vijQAnam prajQapyate, tayA eva taTatayA
   skandhadhātvāyatanapratītyasamutpādāḥ pratītyasamutpādāṅgāni ca	skanDa DAtu Ayatana pratItyasamutpAdAH pratItya samutpAda aFgAni ca
   prajñapyante, evaṃ yāvat tayaiva tathatayā saṃskṛto dhātur asaṃskṛtaś ca	prajQapyante, evam yAvat tayA eva taTatayA saMskRtaH DAtuH asaMskRtaH ca
   dhātuḥ prajñapyate, tayaiva tathatayā sarvasattvatathatā tathāgatatathatā	DAtuH prajQapyate, tayA eva taTatayA sarva sattva taTatA taTAgata taTatA
   ca prajñapyate, tathāgatatathatāyāṃ bodhisattvo mahāsattvaḥ śikṣitvā	ca prajQapyate, taTAgata taTatAyAm boDisattvaH mahAsattvaH SikzitvA
   sarvākārajñatām anuprāpsyati, tasmāt tathāgatas tathāgata ity ucyate,	sarva AkAra jQa tAm anuprApsyati, tasmAt taTAgataH taTAgataH iti ucyate,
   anena subhūte paryāyeṇa bodhisattvo mahāsattvas tathāgata eva veditavyaḥ	anena suBUte paryAyeNa boDisattvaH mahAsattvaH taTAgataH eva veditavyaH
   tathatāṃ pramāṇīkṛtya. evaṃ khalu subhūte prajñāpāramitāyāṃ śikṣitvā	taTatAm pramANIkRtya. evam Kalu suBUte prajQApAramitAyAm SikzitvA
   bodhisattvo mahāsattvaḥ sarvasattvānām indriyakuśalo	boDisattvaH mahAsattvaH sarva sattvAnAm indriya kuSalaH 
   bhaviṣyatīndriyaparāparakauśalyam anuprāpsyati, sarvasattvānāṃ	Bavizyati indriya parApara kOSalyam anuprApsyati, sarva sattvAnAm
   karmasvakatāṃ jñāsyati, sarvasattvānāṃ karmasvakatāṃ jñātvā praṇidhijñānaṃ	karma svaka tAm jQAsyati, sarva sattvAnAm karma svaka tAm jQAtvA praNiDi jQAnam
   paripūrayiṣyati, praṇidhijñānaṃ paripūrya triṣv andhasu jñānaṃ	paripUrayizyati, praNiDi jQAnam paripUrya trizu anDasu jQAnam
   viśodhayiṣyati, triṣv andhasu jñānaṃ viśodhya bodhisattvacaryā caran	viSoDayizyati, trizu anDasu jQAnam viSoDya boDisattva caryA caran
   sattvānām arthaṃ kariṣyati, sattvānām arthaṃ kṛtvā buddhakṣetraṃ	sattvAnAm arTam karizyati, sattvAnAm arTam kRtvA budDa kzetram
   pariśodhayiṣyati, buddhakṣetraṃ pariśodhya sarvākārajñatām anuprāpsyati,	pariSoDayizyati, budDa kzetram pariSoDya sarva AkAra jQa tAm anuprApsyati,
   sarvākārajñatām anuprāpya dharmacakraṃ pravartayiṣyati, dharmacakraṃ	sarva AkAra jQa tAm anuprApya Darma cakram pravartayizyati, Darma cakram
   pravartya sattvās triṣu yāneṣu pratiṣṭhāpayiṣyati, sattvāṃs triṣu yāneṣu	pravartya sattvAH trizu yAnezu pratizWApayizyati, sattvAn trizu yAnezu
   pratiṣṭhāpyānupadhiśese nirvāṇadhātau parinirvāpayiṣyati. evaṃ khalu	pratizWApya anupaDi Sese nirvANa DAtO parinirvApayizyati. evam Kalu
   subhūte bodhisattvena mahāsattvena sarvaguṇānuśaṃsā saṃpaśyamānenātmanaś	suBUte boDisattvena mahAsattvena sarva guNa anuSaMsA saMpaSyamAnena AtmanaH 
   ca parasya cānuttarāyāṃ samyaksaṃbodhau cittam utpādayitavyam.	ca parasya ca anuttarAyAm samyaksaMboDO cittam utpAdayitavyam.
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: namaskaraṇīyā	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: namaskaraNIyA
   bhagavan bodhisattvā mahāsattvāḥ sadevamānuṣāsureṇa lokena ya iha	Bagavan boDisattvAH mahAsattvAH sa deva mAnuza asureNa lokena yaH iha
   gambhīrāyāṃ prajñāpāramitāyāṃ yathopadiṣṭāyāṃ caranti.	gamBIrAyAm prajQApAramitAyAm yaTA upadizwAyAm caranti.
   bhagavān āha: evam etat subhūte evam etat, yathā vadasi, namaskaraṇīyās te	BagavAn Aha: evam etat suBUte evam etat, yaTA vadasi, namaskaraNIyAH te
   subhūte bodhisattvā mahāsattvāḥ sadevamānuṣāsureṇa lokena ya iha	suBUte boDisattvAH mahAsattvAH sa deva mAnuza asureNa lokena yaH iha
   gambhīrāyāṃ prajñāpāramitāyāṃ yathopadiṣṭāyāṃ caranti.	gamBIrAyAm prajQApAramitAyAm yaTA upadizwAyAm caranti.
   iti yathoktabhāvanāmārgajñatālambanavataḥ sarvaguṇasaṃpadaḥ	iti yaTA ukta BAvanA mArga jQa tA AlambanavataH sarva guNa saMpadaH
   subhūtir āha: kiyat sa bhagavan prathamacittotpādiko bodhisattvo	suBUtiH Aha: kiyat sa Bagavan praTama citta utpAdikaH boDisattvaH 
   mahāsattvaḥ puṇyaṃ prasavati, yaḥ sarvasattvānāṃ kṛtaśo 'nuttarāṃ	mahAsattvaH puNyam prasavati, yaH sarva sattvAnAm kRtaSas anuttarAm
   (PSP_5:133) samyaksaṃbodhim abhisaṃboddhukāmaḥ?	(PSu _5:133) samyaksaMboDim aBisaMbodDu kAmaH?
   evam ukte bhagavān āyuṣmantaṃ subhūtim etad avocat: yāvantaḥ subhūte	evam ukte BagavAn Ayuzmantam suBUtim etat avocat: yAvantaH suBUte
   sāhasre lokadhātau sattvās tān sarvān kvacid eva śrāvakabhūmau vā	sAhasre lokaDAtO sattvAH tAn sarvAn kvacid eva SrAvaka BUmO vA
   pratyekabuddhabhūmau vā pratiṣṭhāpayed, api nu sa sattvo bahupuṇyaṃ	pratyekabudDa BUmO vA pratizWApayed, api nu sa sattvaH bahu puNyam
   prasavet?	prasavet ?
   subhūtir āha: bahu bhagavan bahu sugata, aprameyaṃ bhagavann aprameyaṃ	suBUtiH Aha: bahu Bagavan bahu sugata, aprameyam Bagavan aprameyam
   sugata.	sugata.
   bhagavān āha: yac ca khalu subhūte sāhasre lokadhātau śrāvakayānikānāṃ	BagavAn Aha: yat ca Kalu suBUte sAhasre lokaDAtO SrAvaka yAnikAnAm
   sattvānāṃ vā pratyekabuddhayānikānāṃ vā puṇyakriyāvastu, yac ca sāhasre	sattvAnAm vA pratyekabudDa yAnikAnAm vA puNya kriyA vastu, yat ca sAhasre
   lokadhātau sattvānāṃ	lokaDAtO sattvAnAm
   śrāvakapratyekabuddhabhūmipratiṣṭhāpanapuṇyakriyāvastu, tat	SrAvaka pratyekabudDa BUmi pratizWApana puNya kriyA vastu, tat 
   prathamacittotpādikasya bodhisattvasya mahāsattvasya puṇyakriyāvastunaḥ	praTama citta utpAdikasya boDisattvasya mahAsattvasya puNya kriyA vastunaH
   śatatamīm api kalān nopaiti, sahasratamīm api śatasahasratamīm api	SatatamIm api kalAt na upEti, sahasratamIm api Sata sahasratamIm api
   koṭītamīm api koṭīśatataraīm api koṭīsahasratamīm api kotīśatasahasratamīm	kowItamIm api kowI SatataraIm api kowI sahasratamIm api kotI Sata sahasratamIm
   api koṭīniyutaśatasahasratamīm api kalān nopaiti. tat kasya hetoḥ?	api kowI niyuta Sata sahasratamIm api kalAt na upEti. tat kasya hetoH?
   bodhisattvaprasūtā hi śrāvakapratyekabuddhayānikā, na punaḥ	boDisattva prasUtAH hi SrAvaka pratyekabudDa yAnikA, na punar 
   śrāvakapratyekabuddhaprasūto bodhisattvo mahāsattvaḥ. evaṃ yāvat	SrAvaka pratyekabudDa prasUtaH boDisattvaH mahAsattvaH. evam yAvat 
   trisāhasramahāsāhasre lokadhātau śrāvakayānikānāṃ sattvānāṃ vā	tri sAhasra mahA sAhasre lokaDAtO SrAvaka yAnikAnAm sattvAnAm vA
   pratyekabuddhayānikānāṃ vā puṇyakriyāvastu, yac ca trisāhasramahāsāhasre	pratyekabudDa yAnikAnAm vA puNya kriyA vastu, yat ca tri sAhasra mahA sAhasre
   lokadhātau sattvānāṃ śrāvakapratyekabuddhapratiṣṭhāpanapuṇyakriyāvastu,	lokaDAtO sattvAnAm SrAvaka pratyekabudDa pratizWApana puNya kriyA vastu,
