   Śrāvakabhūmiḥ	ŚrAvaka BUmiH
   apyupalabhyante, uccakulīnā api, ādyakulīnā api, daridrakulīnā api,	api upalaByante, ucca kulInAH api, Adya kulInAH api, daridra kulInAH api,
   alpeśākhyā api, dīrghāyuṣo (ṣa) ādeyavākyā api, anādeyavākyā api,	alpa ISa AKyAH api, dIrGa AyuzaH (za) Adeya vAkyAH api, anAdeya vAkyAH api,
   tīkṣṇendriyā api [|] (Śbh_Sh 487) tadetat satva(ttva)vaicitryaṃ sati	tIkzNa indriyAH api [|] (ŚB_Sh 487) tat etat satva(ttva) vEcitryam sati
   karmavaicitrye yujyate [|] nāsati | yadrūpaiḥ sattvairyadrūpaṃ pūrvameva	karma vEcitrye yujyate [|] na asati | yad rUpEH sattvEH yat rUpam pUrvam eva
   bhūtaṃ (kṛtaṃ?) kuśalākuśalaṃ citrakarma kṛtamupacitaṃ, tena hetunā, tena	BUtam (kRtaM?) kuSala akuSalam citrakarma kRtam upacitaM, tena hetunA, tena
   pratyayena teṣāmidamātmabhāvavaicitryamabhinirvṛttaṃ ||	pratyayena tezAm idam Atma BAva vEcitryam aBinirvRttam ||
   na caitadīśvaranirmāṇahetukaṃ yujyate | sa cedīśvaranirmāṇahetukaṃ	na ca etat ISvara nirmANa hetukam yujyate | sa ced ISvara nirmANa hetukam
   syāttadīśvarapratyayameva vā syādanyena vopādāneneśvaro nirmimīta | sa	syAt tat ISvara pratyayam eva vA syAt anyena vA upAdAnena ISvaraH nirmimIta | sa
   cedīśvara pratyayameva syāt teneśvarasyaiṣāñca saṃskārāṇāṃ yaugapadyaṃ	ced ISvara pratyayam eva syAt tena ISvarasya ezAQca saMskArANAm yOgapadyam
   syāt | atha pūrvamīśvaraḥ paścāt saṃskārā, neśvarapratyayāḥ saṃskārā	syAt | aTa pUrvam ISvaraH paScAt saMskArA, na ISvara pratyayAH saMskArA
   bhavanti | atheśvarasya praṇidhānaṃ nirmāṇakāraṇaṃ, neśvara eva | tena	Bavanti | aTa ISvarasya praNiDAnam nirmANa kAraNaM, na ISvaraH eva | tena
   samīcchā sahetukā (kī) vā syānnirhetu kā (kīṃ) vā [|] yadi sahetukā	samIcCA sa hetukA (kI) vA syAt nirhetu kA (kIM) vA [|] yadi sa hetukA
   īśvarahetukaiva ca tena pūrvakeṇa doṣeṇa tulyatayā na yujyate |	ISvara hetukA eva ca tena pUrvakeNa dozeNa tulya tayA na yujyate |
   athānyahetukā (kī) tenecchā prayatnaḥ | (Śbh_Sh 488)	aTa anya hetukA (kI) tena icCA prayatnaH | (ŚB_Sh 488)
   praṇidhānamīśvaravinirmuktānyadharmahetukā tathā sarve 'pi saṃskārā	praNiDAnam ISvara vinirmuktA anyaDarma hetukA taTA sarve api saMskArA
   dharmahetukā eva bhaviṣyanti | kimīśvareṇa vṛthā kalpitenetyevamādinā	Darma hetukAH eva Bavizyanti | kim ISvareNa vRTA kalpitena iti evamAdinA
   ānumānikena manaskāreṇaivaṃbhāgīyena, paralokena saṃskārapravṛttau	AnumAnikena manaskAreNa evaMBAgIyena, para lokena saMskAra pravRttO
   niścayaṃ pratilabhate |	niScayam pratilaBate |
   sa evaṃ triḥprakāramanaskārādhipatyena śraddhādhipateyena	saH evam tris prakAra manaskAra ADipatyena SradDA aDipateyena
   pratyakṣādhipateyenānumānādhipateyānāṃ(yām) nityatāṃ vyavacārayati | tatra	pratyakza aDipateyena anumAna ADipateyAnAM(yAm) nityatAm vyavacArayati | tatra
   yā pūrva pañca [vidhā]nityatā pañcākārabhāvanānugatā uddiṣṭā, tatra	yA pUrva paQca [viDA] nitya tA paQca AkAra BAvanA anugatA uddizwA, tatra
   vipariṇāmākāranirdiṣṭā, vināśākārā ca |	vipariNAma AkAra nirdizwA, vinASa AkArA ca |
   visaṃyogākārā anityākārā (anityatā) katamā | āha | adhyātmamupādāya	visaMyoga AkArAH anitya AkArAH (anitya tA) katamA | Aha | aDyAtmam upAdAya
   bahirdhā ca veditavyā || tatrādhyātmamupādāya yathāpi tadekatyaḥ	bahirDA ca veditavyA || tatra aDyAtmam upAdAya yaTA api tad ekatyaH
   pūrvampareṣāṃ stā(svā)mī bhavatyadāsaḥ apreṣyaḥ | aparakarmakaraḥ | so	pUrvamparezAm stA(svA)mI Bavati adAsaH aprezyaH | apara karma karaH | saH 
   'pareṇa samayena svāmibhāvamadāsabhāvaṃ vihāya pareṣāṃ	apareNa samayena svAmi BAva madAsa BAvam vihAya parezAm
   dāsabhāvamupagacchati | svāmibhāvādvisaṃyujyate | tathā santaḥ	dAsa BAvam upagacCati | svAmi BAvAt visaMyujyate | taTA santaH
   samvidyamānā bhogā avipariṇatā, avinaṣṭā rājñā(ḥ) apahriyante | corairvā,	samvidyamAnAH BogAH avipariNatA, avinazwAH rAjQA(H) apahriyante | corEH vA,
   apriyairvā, dāyādai[ritya]nityatā veditavyā | tatra dharmatākārānityatā	apriyEH vA, dAyAdE[riti a]nitya tA veditavyA | tatra DarmatA AkAra anitya tA
   (Śbh_Sh 489) yathāpi tasyā eva vipariṇāmānityatāyāḥ vināśānityatāyāḥ |	(ŚB_Sh 489) yaTA api tasyAH eva vipariNAma anitya tAyAH vinASa anitya tAyAH |
   vartamāne 'pyadhvanyasamavahitāyāḥ anābhoge (gate) 'dhvani bhāvinyā	vartamAne api aDvani asamavahitAyAH anABoge (gate) aDvani BAvinyA
   dharmatāṃ pratividhyatyevaṃ dharmāṇa ete saṃskārā anāgate 'dhvani	Darma tAm prativiDyati evam DarmANaH ete saMskArAH anAgate aDvani
   evaṃbhāgīyā iti | eṣu sannihitākārāya (rayā?) ita eva vipariṇāmānityatāṃ,	evaMBAgIyAH iti | ezu sannihita AkArAya (rayA?) itas eva vipariNAma anitya tAM,
   vināśānityatāṃ, visaṃyogānityatāṃ samavahitāṃ saṃbhuravībhūtāmākārayati |	vinASa aniti a tAM, visaMyoga anitya tAm samavahitAm saMBuravIBUtAm AkArayati |
   sa evamādhyātmikabāhyānāṃ saṃskārāṇāṃ pañcavidhāyāmanityatāyāmebhiḥ	saH evam ADyAtmika bAhyAnAm saMskArANAm paQcaviDAyAm a nityatA AyAm eBiH
   pañcabhirākārairyathāyogaṃ	paQcaBiH AkArEH yaTAyogam
   manasikārabāhulyādupapattisādhanabhāvanādhipatyācca niye(rme)yaṃ	manasikAra bAhulyAt upapatti sADana BAvana ADipatyAt ca niye(rme)yam
   pratilabhya tada[na]ntaraṃ duḥkhākāramavatarati | tasyaivaṃ bhavati | ya	pratilaBya tad a[na]ntaram duHKa AkAram avatarati | tasya evam Bavati | ya
   ete saṃskārā anityāsteṣāmanityatāṃ (tā) jātidharmato yujyate | iti hyeta	ete saMskArAH anityAH tezAm anitya tAm (tA) jAti DarmataH yujyate | iti hi eta
   eva saṃskārā jātidharmāṇaḥ jātiśca duḥkhā, yadā(yā) jātireva[ṃ] jarā	eva saMskArAH jAti DarmANaH jAtiH ca duHKA, yat A A(yA) jAtiH eva[M] jarA
   vyādhirmaraṇa[ṃ], vipriyasaṃprayogaḥ, priyavinābhāva, icchāvighātaśca	vyADiH maraNa [M], vipriya saMprayogaH, priya vinABAva, icCA viGAtaH ca
   veditavyaḥ | evaṃ tāvadaniṣṭā(tyā)kāreṇa duḥkhākāramavatarati |	veditavyaH | evam tAvat anizwa a(tyA)kAreNa duHKa AkAram avatarati |
   sa ye sukhavedanīyāḥ skandhāḥ, sāsravāḥ, sopādānāsteṣu	sa ye suKa vedanIyAH skanDAH, sa AsravAH, sa upAdAnAH tezu
   saṃyojanabandhanākāreṇa duḥkhākāramavatarati | (Śbh_Sh: 490) tathā hi te	saMyojana banDana AkAreNa duHKa AkAram avatarati | (ŚB_Sh: 490) taTA hi te
   (tasya) tṛṣṇāsaṃyojanasyākāre 'dhiṣṭhānaṃ, tṛṣṇāsaṃyojanaṃ ca	(tasya) tRzNA saMyojanasya AkAre aDizWAnaM, tRzNA saMyojanam ca
   jātijarāvyādhimaraṇaśokaparidevaduḥkhadaurmanasyopāyāsabandhanasya,	jAti jarA vyADi maraNa Soka parideva duHKa dOrmanasya upAyAsa banDanasya,
   rāgadveṣamohabandhanasya cādhiṣṭhānaṃ |	rAga dveza moha banDanasya ca aDizWAnam |
   tatrāyogakṣemāmāreṇa aduḥkhāsukhasthānīyeṣu skandheṣu duḥkhākāramavatarati	tatra ayogakzemAmAreNa aduHKa asuKa sTAnIyezu skanDezu duHKa AkAram avatarati
   | tathā hyaduḥkhāsukhāsthānīyāḥ skandhāḥ sopādānā dauṣṭhulyasahagatā	| taTA hi aduHKa asuKa AsTAnIyAH skanDAH sa upAdAnA dOzWulya sahagatA
   abījānugatā avinirmuktā duḥkhaduḥkhatayā, vipariṇāmaduḥkhatayā ca |	abIja anugatA avinirmuktA duHKa duHKa tayA, vipariNAma duHKa tayA ca |
   anityā, nirodhadharmāṇaḥ |	anityA, niroDa DarmANaH |
   evamayaṃ yogī sukhasthānīyeṣu saṃskāreṣu, sukhāyāñca vedanāyāṃ	evam ayam yogI suKa sTAnIyezu saMskAra izu, suKa AyAQca vedanAyAm
   vipariṇāmaduḥkhatāmavatīrṇo bhavati | yaduta saṃyojanabandhanākāreṇa	vipariNAma duHKa tAm avatIrNaH Bavati | yat uta saMyojana banDana AkAreNa
   duḥkhavedanāsthānīyeṣu saṃskāreṣuduḥkhāyāṃ vedanāyāṃ	duHKa vedanA sTAnIyezu saMskAra izu duHKAyAm vedanAyAm
   duḥkhaduḥkhatāmavatīrṇo bhavati | yadutāniṣṭākāreṇa aduḥkhāsukhasthānīyeṣu	duHKa duHKa tAm avatIrNaH Bavati | yaduta anizwa AkAreNa aduHKa asuKa sTAnIyezu
   saṃskāreṣu(ṣva) duḥkhāsukhāyāñca vedanāyāṃ saṃskāraduḥkhatāmavatīrṇo	saMskAra izu(zu a) duHKa asuKa AyAQca vedanAyAm saMskAra duHKa tAm avatIrNaH 
   bhavati | yadutāyogakṣemākāreṇa [|]	Bavati | yadu ta ayogakzema AkAreNa [|]
   tasyaivaṃ bhavati | saṃyojanabandhanākāramaniṣṭākāraṃ yogakṣemākāraṃ	tasya evam Bavati | saMyojana banDana AkAram anizwa AkAram yogakzema AkAram
   cādhipatiṃ kṛtvā tisṛṣu vedanāsu yatkiñcidvedayitamidamatra	ca aDipatim kRtvA tisRzu vedanAsu yat kiQcid vedayitam idam atra
   duḥkhasyetyevamayamanityākārapūrvakeṇa manaskāreṇa duḥkhākāramavatīrṇo	duHKasya iti evam ayam anitya AkAra pUrvakeNa manaskAreNa duHKa AkAram avatIrNaH 
   bhavati | tasyaivaṃ bhavatīndriyamātra(traṃ)saha(saḥ) upalabhate,	Bavati | tasya evam Bavati indriya mAtra(traM)saha(saH) upalaBate,
   viṣayamātraṃ | tajjamanubhavamātraṃ | cittamātra hatā ātmeti (hatātmeti) |	vizaya mAtram | tad jam anuBava mAtram | cittamAtra hatAH AtmA iti (hata AtmA iti) |
   nāmamātraṃ | darśanamātramupacāramātraṃ | (Śbh_Sh 491) nāta uttari nāto	nAma mAtram | darSana mAtram upacAra mAtram | (ŚB_Sh 491) na atas uttari na atas 
   bhūyaḥ |	BUyas |
   tadevaṃ sati skandhamātrametannāstyeṣu skandheṣu nityo, dhruvaḥ, śāśvataḥ	tat evam sati skanDa mAtram etat na asti ezu skanDezu nityo, DruvaH, SASvataH
   svābhūtaḥ | kaścidātmā vā, satvo(ttvo) vā, yo 'sau jāyeta vā, hīyeta vā,	svABUtaH | kaScid AtmA vA, satvaH (ttvo) vA, yaH asO jAyeta vA, hIyeta vA,
   mriyate (yeta) vā, tatra vā (tatra vā) tatra kṛtakṛtānāṃ karmaṇāṃ	mriyate (yeta) vA, tatra vA (tatra vA) tatra kRta kRtAnAm karmaNAm
   phalavipākaṃ pratisamvedayeta | iti hi (Śbh_Sh 492) śūnyā ete saṃskārāḥ,	Pala vipAkam pratisamvedayeta | iti hi (ŚB_Sh 492) SUnyAH ete saMskArAH,
   ātmavirahitā ityevamanupalambhākāreṇa śūnyākāramavatarati | tasyaivaṃ	Atma virahitAH iti evam anupalamBa AkAreNa SUnya AkAram avatarati | tasya evam
   bhavati | ye punarete saṃskārāḥ svalakṣaṇenānityalakṣaṇena,	Bavati | ye punar ete saMskArAH sva lakzaNena anitya lakzaNena,
   duḥkhalakṣaṇena yuktāste 'pi pratītyasamutpannatayā asvatantrā, ye	duHKa lakzaNena yuktAH te api pratItyasamutpanna tayA asvatantrA, ye
   'svatantrāste 'nātmāna ityevamasvatantrākāreṇānātmākāramavatarati | evaṃ	asvatantrAH te anAtmAnaH iti evam asvatantra AkAreNa anAtma AkAram avatarati | evam
   punaryoginā daśākāraṃ gṛhītaiścaturbhirākārairduḥkhasatyalakṣaṇaṃ	punar yoginA daSa AkAram gRhItEH caturBiH AkArEH duHKa satya lakzaNam
   pratisaṃveditaṃ bhavati ||	pratisaMveditam Bavati ||
   tatrānityākāraḥ pañcabhirākāraiḥ saṃgṛhītaḥ | tadyathā vipariṇāmākāreṇa,	tatra anitya AkAraH paQcaBiH AkArEH saMgRhItaH | tat yaTA vipariNAma AkAreNa,
   visaṃyojanākāreṇa, sannihitākāreṇa, dharmatākāreṇa [|]	visaMyojana AkAreNa, sannihita AkAreNa, DarmatA AkAreNa [|]
   duḥkhākārastribhirākāraiḥ saṃgṛhītaḥ | saṃyojanabandhanākāreṇa	duHKa AkAraH triBiH AkArEH saMgRhItaH | saMyojana banDana AkAreNa
   aniṣṭākāreṇa ayogakṣemākāreṇa ca [|]	anizwa AkAreNa ayogakzema AkAreNa ca [|]
   śūnyākāra ekenākāreṇa saṃgṛhīto yadutānupalaṃbhākāreṇa [|]	SUnya AkAraH ekena AkAreNa saMgRhItaH yat uta anupalaMBa AkAreNa [|]
   anātmākāra ekenākāreṇa saṃgṛhīto yadutāsvatantrākāreṇa |	anAtma AkAraH ekena AkAreNa saMgRhItaH yat uta asvatantra AkAreNa |
   sa evaṃ daśabhirākāraiścaturākārānupraviṣṭo (Śbh_Sh 493) duḥkhalakṣaṇāṃ	saH evam daSaBiH AkArEH catura AkAra anupravizwaH (ŚB_Sh 493) duHKa lakzaNAm
   pratisaṃvedya, asya duḥkhasya ko hetuḥ, kaḥ samudayaḥ, prabhavaḥ,	pratisaMvedya, asya duHKasya kaH hetuH, kaH samudayaH, praBavaH,
   pratyayaḥ iti | yasya prahāṇādasya duḥkhasya prahāṇaṃ	pratyayaH iti | yasya prahANAt asya duHKasya prahANam
   syādityebhiścaturbhirākāraissamudayasatyasya lakṣaṇaṃ pratisaṃvedayati |	syAt iti eBiH caturBiH AkArEH samudaya satyasya lakzaNam pratisaMvedayati |
   tṛṣṇāyā duḥkhakṣemakatvāddhetutaḥ,	tRzNAyAH duHKa kzemaka tvAt hetutaH,
   ākṣipyābhinirvartakatvātsamudayānayanātsamudā[na]yataḥ |	Akzipya aBinirvartaka tvAt samudaya AnayanAt samudA[na]yataH |
   abhinirvṛttirduḥkhitatvāt prabhavatvāt prabhavataḥ | punarāyatyāṃ	aBinirvRttiH duHKita tvAt praBava tvAt praBavataH | punar AyatyAm
   duḥkhabījaparigrahatvādanukrameṇa ca | duḥkhasamudayānayanātpratyayataḥ |	duHKa bIja parigraha tvAt anukrameNa ca | duHKa samudaya AnayanAt pratyayataH |
   aparaḥ paryāyaḥ | upādānahetukasya ca bhavasya samudāgamādbhavapūrvikāyā	aparaH paryAyaH | upAdAna hetukasya ca Bavasya samudAgamAt Bava pUrvikAyAH 
   jāteḥ prabhavatvāt, jātipratyayatāṃ, jāti ca (teśca)	jAteH praBava tvAt, jAti pratyaya tAn, jAti ca (teH ca)
   jarāvyādhimaraṇaśokādīnāmabhinirvṛtteḥ | hetutaḥ samudayataḥ, prabhavataḥ,	jarA vyADi maraNa Soka AdInAm aBinirvRtteH | hetutaH samudayataH, praBavataH,
   pratyayataḥ | yathāyogaṃ veditavyaṃ | aparaḥ paryāyaḥ [|] yaḥ kleśānuśaya	pratyayataH | yaTAyogam veditavyam | aparaH paryAyaH [|] yaH kleSa anuSaya
   āśraya[ḥ] punarbhavāmabhinirvṛttaye hetustajjasya ca paryavasthānasya	ASraya[H] punarBavAm aBinirvRttaye hetuH tad jasya ca paryavasTAnasya
   yathāyogaṃ veditavyaṃ [|] aparaḥ paryāyaḥ [|] yaḥ kleśānuśaya	yaTAyogam veditavyam [|] aparaH paryAyaH [|] yaH kleSa anuSaya
   āśrayastṛṣṇānuśayādikaḥ | sa āyatyāṃ punarbhavābhinirvṛttaye hetustajjasya	ASrayaH tRzNA anuSaya AdikaH | saH AyatyAm punarBava aBinirvRttaye hetuH tad jasya
   ca paryavasthānasya yathāyogaṃ samudayaḥ, prabhavaḥ, pratyayaśca [|]	ca paryavasTAnasya yaTAyogam samudayaH, praBavaH, pratyayaH ca [|]
   tatra paunarbhavikyāstṛṣṇāyāḥ samudānanātsamudayataḥ | sāpuna[ḥ]	tatra pOnarBa vikyAH tRzNAyAH samudAnanAt samudayataH | sa apuna[H]
   paunarbhavikī tṛṣṇā nandīrāgasahagatāyāstṛṣṇāyāḥ (Śbh_Sh 494) prabhavo	pOnarBavikI tRzNAH nandI rAga sahagatAyAH tRzNAyAH (ŚB_Sh 494) praBavaH 
   bhavati sā punarnandīrāgasahagatā tṛṣṇā prabhūtā, tatra	Bavati sA punar nandIrAga sahagatA tRzNA praBUtA, tatra
   tatrābhinandinyāstṛṣṇāyāḥ pratyayo bhavatyevamasyānuśayagatāṃ	tatra aBinandinyAH tRzNAyAH pratyayaH Bavati evam asya anuSaya gatAm
   trividhaparyavasthāgatāṃ ca tṛṣṇāmāgamyāyati[ḥ] |	triviDa paryavasTa AgatAm ca tRzNAm Agamya Ayati[H] |
   punarbhavasyābhinirvṛttirbhavati prādurbhāvaḥ | tenāha hetu[taḥ],	punarBavasya aBinirvRttiH Bavati prAdurBAvaH | tena Aha hetu [taH],
   samudayataḥ, prabhavataḥ, pratyayataśca | evamayaṃ yogī	samudayataH, praBavataH, pratyayataH ca | evam ayam yogI
   ebhiścaturbhirākāraissamudayasatyalakṣaṇaṃ pratisamvedayate |	eBiH caturBiH AkArEH samudaya satya lakzaNam pratisamvedayate |
   samudayasatyalakṣaṇaṃ pratisaṃvedya asya	samudaya satya lakzaNam pratisaMvedya asya
   samudayasatyasyāśeṣoparamannirodhaṃ nirodhata ākārayati |	samudaya satyasya aSeza uparamat niroDam niroDate AkArayati |
   duḥkhasatyasyāśeṣoparamecchātaḥ, agratvācchreṣṭhatvāttadantaratvāt	duHKa satyasya aSeza uparama icCAtaH, agra tvAt SrezWa tvAt tad antaratvAt
   praṇītataḥ, nityatvānnissaraṇataḥ | evamayaṃ caturbhirākāraiḥ	praNItataH, nitya tvAt nissaraNataH | evam ayam caturBiH AkArEH
   nirodhasatyasya lakṣaṇaṃ pratisaṃvedayati | pratisamvedya	niroDa satyasya lakzaNam pratisaMvedayati | pratisamvet ya
   jñeyaparimārgaṇārthena, bhūtaparimārgaṇārthena	jQeya parimArgaNa arTena, BUta parimArgaNa arTena
   caturbhirduḥkhairanupravartanārthena | nirvāṇagamanāyaikāyanārthena mārgaṃ	caturBiH duHKEH anupravartana arTena | nirvANa gamanAya ekAyana arTena mArgam
   mārga[to], nyāyataḥ, pratipattito, nairyāṇikataśca ākārayati | sa evaṃ	mArga[to], nyAyataH, pratipattito, nEryANikataH ca AkArayati | saH evam
   caturbhirākārairmārgatyasya lakṣaṇaṃ pratisamvedayate | ayamasyocyate	caturBiH AkArEH mArgati asya lakzaNam pratisamvedayate | ayam asya ucyate
   caturṣvāryasatyeṣvadhyātmaṃ pratyātmaṃ lakṣaṇapratisaṃvedī (yate |	caturzu Ari a satyezu aDyAtmam pratyAtmam lakzaNa pratisaMvedI (yate |
   ayamasyocyate | caturṣvāryasatye[ṣu]) manaskāraḥ ||	ayam asya ucyate | caturzu Ari a satye[zu]) manaskAraH ||
   sa evaṃ pratyātmikān skandhān pratyayenopaparīkṣya (Śbh_Sh 495)	saH evam pratyAtmikAn skanDAn pratyayena upaparIkzya (ŚB_Sh 495)
   vyavacārayitvā (vyavacārya) viparokṣakān visabhāgadhātukān |	vyavacArayitvA (vyavacArya) viparokzakAn visa BAga DAtukAn |
   skandhānanumānataḥ parāhanti | tepyevaṃ dharmāṇaḥ te 'pyevaṃnayapatitā iti	skanDAn anumAnataH parAhanti | tepi evam DarmANaH te api evaMnaya patitAH iti
   | yatkiñcitsaṃskṛtaṃ sarvatra sarvaśaḥ [evaṃ tadevaṃ pratisaṃvedī	| yat kiQcit saMskRtam sarvatra sarvaSas [evam tat evam pratisaMvedI
   manaskāraḥ | pratyayenopaparīkṣyavyavacārayitvā(cārya) viparokṣān	manaskAraH | pratyayena upaparIkzya vyavacArayitvA a(cArya) viparokzAn
   visabhāgadhātukān skandhānanumānataḥ parāhanti | te 'pyevaṃ dharmāṇaste	visa BAga DAtukAn skanDAn anumAnataH parAhanti | te api evam DarmANaH te
   'pyevaṃ nayapatitā iti yatkiñcitsaṃskṛtaṃ sarvatra sarvaśa] evaṃ	api evam naya patitAH iti yat kiQcit saMskRtam sarvatra sarvaSa] evam
   tadevaṃprakṛtikaṃ, tasya ca nirodhaḥ | śāntaḥ, mārgo, nairyāṇiko	tat evaMprakRtikaM, tasya ca niroDaH | SAntaH, mArgo, nEryANikaH 
   yastatprahāṇāya tasya yadā vipakṣokteṣu pratyātmikeṣu skandheṣu	yaH tad prahANAya tasya yadA vipakza uktezu pratyAtmikezu skanDezu
   satyajñānaṃ | yacca viparokṣeṣu visabhāgadhātukeṣvanumānajñānaṃ |	satya jQAnam | yat ca viparokzezu visa BAga DAtukezu anumAna jQAnam |
   taddharmajñānānvayajñānayorutpattaye bījasthānīyaṃ bhavati | sa cāyaṃ	tad Darma jQAna anvaya jQAnayoH utpattaye bIja sTAnIyam Bavati | sa ca ayam
   lakṣaṇapratisaṃvedī manaskāraḥ śrutacintāvyavakīrṇo veditavyaḥ |	lakzaNa pratisaMvedI manaskAraH Sruta cintA vyavakIrNaH veditavyaH |
   yadā teṣu satyeṣvayaṃ yogī evaṃ samyak(g)vyavacāraṇānvayādibhiḥ	yadA tezu satyezu ayam yogI evam samyak(g) vyavacAraNa anvaya AdiBiH
   ṣoḍaśabhirākāraiścaturṣvāryasatyeṣu niścayaḥ [ yaṃ] pratilabdho bhavati |	zoxaSaBiH AkArEH caturzu Arya satyezu niScayaH [ yan] pratilabDaH Bavati |
   yadutopapattisādhanayuktyā, yaduta yāvadbhāvikatāṃ vā, tadā	yat uta upapatti sADana yuktyA, yat uta yAvat BAvika tAm vA, tadA
   śrutacintāmayaṃ manaskāraṃ samatikramya vyavatīrṇavarttinamekāntena	Sruta cintA mayam manaskAram samatikramya vyavatIrNa varttinam ekAntena
   bhāvanākāreṇādhimucyate | so [a]sya bhavatyādhimokṣiko manaskāraḥ |	BAvanA AkAreNa aDimucyate | saH [a]sya Bavati ADimokzikaH manaskAraH |
   satyālambanaścaikāntasamāhitaśca [|] sa tasyānvayā[d]dve satye adhikṛtya	satya AlambanaH ca ekAnta samAhitaH ca [|] sa tasya anvayA[d]dve satye aDikRtya
   duḥkhasatyañca (Śbh_Sh 496) samudayasatyañca aparyantaṃ jñānaṃ	duHKa satyaQca (ŚB_Sh 496) samudayasati aQca aparyantam jQAnam
   pratilabhate | yenānityamanityamityanityāparyantamadhimucyate ||	pratilaBate | yena anityam anityam iti anitya aparyantam aDimucyate ||
   evaṃ duḥkhāparyantatāṃ śūnyākāyā[rā]paryantatāṃ,	evam duHKa aparyanta tAm SUnya akAya a[rA] paryanta tAM,
   saṃkleśāparyantāmapāyagamanāparyantatāṃ sampatti(ttya) [paryanta]nāṃ(tāṃ),	saMkleSa aparyantAm apAya gamanA paryanta tAm sampatti(ttya) [paryanta] na aM(tAM),
   vipati[ttya]paryantatāṃ, sa	vipati[tti a] paryanta tAM, sa
   vyādhimaraṇaśokaparidevaduḥkhadaurmanasyopāyāsā paryantatāṃ [|]	vyADi maraNa Soka parideva duHKa dOrmanasya upAyAsA paryantatAm [|]
   tatrāparyanteti nāsti saṃsāraṃ(raḥ) sansa(saṃsa)rata, eṣāṃ dharmāṇāmanto	tatra aparyanta iti na asti saMsAraM(raH) san sa( saMsa)rata, ezAm DarmANAm antaH 
   nāsti paryantaḥ | yāvatsansā(saṃsā)rabhāvina ete dharmāḥ,	na asti paryantaH | yAvat san sA( saMsA)ra BAvinaH ete DarmAH,
   sansā(saṃsā)rasya vāśeṣoparamādeṣāmuparamo, nāsti anyathoparama ityevaṃ	san sA( saMsA)rasya vA aSeza uparama At ezAm uparamo, na asti anyaTA uparamaH iti evam
   sarvabhavagaticyutyupapādebhyaḥ apraṇihā(hitā)kāreṇāsanniśrayākāreṇa,	sarva Bava gati cyuti upapAdeByaH apraNihA( hita a)kAreNa Asat niSraya AkAreNa,
   prātikūlyāthi(dhi)kāreṇāsanniśrayākāreṇa [|]	prAtikUlya aTi (Di)kAreNa Asat niSraya AkAreNa [|]
   prātikūlyādhikāreṇādhimucyamāna ādhimokṣikamanaskāraṃ bhāvayati | sa evaṃ	prAtikUlya aDikAreNa aDimucyamAnaH ADi mokzika manaskAram BAvayati | saH evam
