   uparivibhāgaḥ	upari viBAgaH
   idanamanyate paraṃ sthānaṃ guhyād guhyatamaṃ mahat /	idanam anyate param sTAnam guhyAt guhyatamam mahat /
   mahādevasya devasya mahālayamiti śrutam // KūrmP_2,36.1 //	mahAdevasya devasya mahAlayam iti Srutam // KUrmP_2,36.1 //
   tatra devādidevena rudreṇa tripurāriṇā /	tatra deva Adidevena rudreNa tripurAriNA /
   śilātale padaṃ nyastaṃ nāstikānāṃ nidarśanam // KūrmP_2,36.2 //	SilA tale padam nyastam nAstikAnAm nidarSanam // KUrmP_2,36.2 //
   tatra puśupatāḥ śāntā bhasmoddhūlitavigrahāḥ /	tatra puSupatAH SAntAH Basma udDUlita vigrahAH /
   upāsate mahādevaṃ vedādhyayanatatparāḥ // KūrmP_2,36.3 //	upAsate mahAdevam veda aDyayana tatparAH // KUrmP_2,36.3 //
   snātvā tatra padaṃ śārvaṃ dṛṣṭvā bhaktipuraḥ saram /	snAtvA tatra padam SArvam dRzwvA Bakti puraH saram /
   namaskṛtvātha śirasā rudrasāmīpyamāpnuyāt // KūrmP_2,36.4 //	namaskRtvA aTa SirasA rudra sAmIpyam ApnuyAt // KUrmP_2,36.4 //
   anyacca devadevasya sthānaṃ śaṃbhormahātmanaḥ /	anyat ca devadevasya sTAnam SaMBoH mahAtmanaH /
   kedāramiti vikhyātaṃ siddhānāmālayaṃ śubham // KūrmP_2,36.5 //	kedAram iti viKyAtam sidDAnAm Alayam SuBam // KUrmP_2,36.5 //
   tatra snātvā mahādevamabhyarcya vṛṣaketanam /	tatra snAtvA mahAdevam aByarcya vRzaketanam /
   pītvā caivodakaṃ śuddhaṃ gāṇapatyamavāpnuyāt // KūrmP_2,36.6 //	pItvA ca eva udakam SudDam gANapatyam avApnuyAt // KUrmP_2,36.6 //
   śrāddhadānādikaṃ kṛtvā hyakṣyaṃ labhate phalam /	SrAdDa dAna Adikam kRtvA hi akzyam laBate Palam /
   dvijātipravarairjuṣṭaṃ yogibhiryatamānasaiḥ // KūrmP_2,36.7 //	dvijAti pravarEH juzwam yogiBiH yata mAnasEH // KUrmP_2,36.7 //
   tīrthaṃ plakṣāvataraṇaṃ sarvapāpavināśanam /	tIrTam plakza avataraNam sarva pApa vinASanam /
   tatrābhyarcya śrīnivāsaṃ viṣṇuloke mahīyate // KūrmP_2,36.8 //	tatra aByarcya SrInivAsam vizNu loke mahIyate // KUrmP_2,36.8 //
   anyaṃ magadharājasya tīrthaṃ svargagatipradam /	anyam magaDa rAjasya tIrTam svarga gati pradam /
   akṣayaṃ vindati svargaṃ tatra gatvā dvijottamaḥ // KūrmP_2,36.9 //	akzayam vindati svargam tatra gatvA dvijottamaH // KUrmP_2,36.9 //
   tīrthaṃ kanakhalaṃ puṇyaṃ mahāpātakanāśanam /	tIrTam kanaKalam puNyam mahApAtaka nASanam /
   yatra devena rudreṇa yajño dakṣasya nāśitaḥ // KūrmP_2,36.10 //	yatra devena rudreNa yajQaH dakzasya nASitaH // KUrmP_2,36.10 //
   tatra gaṅgāmupaspṛśya śucirbhāvasamanvitaḥ /	tatra gaFgAm upaspRSya SuciH BAva samanvitaH /
   mucyate sarvapāpaistu brahmalokaṃ labhenmṛtaḥ // KūrmP_2,36.11 //	mucyate sarva pApEH tu brahma lokam laBet mRtaH // KUrmP_2,36.11 //
   mahātīrthamiti khyātaṃ puṇyaṃ nārāyaṇapriyam /	mahA tIrTam iti KyAtam puNyam nArAyaNa priyam /
   tatrābhyarcya hṛṣīkeśaṃ śvetadvīpaṃ nigacchati // KūrmP_2,36.12 //	tatra aByarcya hRzIkeSam SvetadvIpam nigacCati // KUrmP_2,36.12 //
   anyacca tīrthapravaraṃ nāmnā śrīparvataṃ śubham /	anyat ca tIrTa pravaram nAmnA SrIparvatam SuBam /
   tatra prāṇān parityajya rudrasya dayito bhavet // KūrmP_2,36.13 //	tatra prANAn parityajya rudrasya dayitaH Bavet // KUrmP_2,36.13 //
   tatra sannihito rudro devyā saha maheśvaraḥ /	tatra sannihitaH rudraH devyA saha maheSvaraH /
   snānapiṇḍādikaṃ tatra kṛtamakṣayyamuttamam // KūrmP_2,36.14 //	snAna piNxa Adikam tatra kRtam akzayyam uttamam // KUrmP_2,36.14 //
   godāvarī nadī puṇyā sarvapāpavināśanī /	godAvarI nadI puNyA sarva pApa vinASanI /
   tatra snātvā pitṝn devāṃstarpayitvā yathāvidhi /	tatra snAtvA pitLn devAn= tarpayitvA yaTAviDi /
   sarvapāpavisuddhātmā gosahasraphalaṃ labhet // KūrmP_2,36.15 //	sarva pApa visudDa AtmA go sahasra Palam laBet // KUrmP_2,36.15 //
   pavitrasalilā puṇyā kāverī vipulā nadī /	pavitra salilA puNyA kAverI vipulA nadI /
   tasyāṃ snātvodakaṃ kṛtvā mucyate sarvapātakaiḥ /	tasyAm snAtvA udakam kRtvA mucyate sarva pAtakEH /
   trirātropoṣitenātha ekarātroṣitena vā // KūrmP_2,36.16 //	tri rAtra upozitena aTa eka rAtra uzitena vA // KUrmP_2,36.16 //
   dvijātīnāṃ tu kathitaṃ tīrthānāmiha sevanam /	dvijAtInAm tu kaTitam tIrTAnAm iha sevanam /
   yasya vāṅmanaso śuddhe hastapādau ca saṃsthitau /	yasya vAc manasaH SudDe hasta pAdO ca saMsTitO /
   alolupo brahmacāro tīrthānāṃ phalamāpnuyāt // KūrmP_2,36.17 //	alolupaH brahmacAraH tIrTAnAm Palam ApnuyAt // KUrmP_2,36.17 //
   svāmitīrthaṃ mahātīrthaṃ triṣu lokeṣu viśrutam /	svAmitIrTam mahA tIrTam trizu lokezu viSrutam /
   tatra sannihito nityaṃ skando 'maranamaskṛtaḥ // KūrmP_2,36.18 //	tatra sannihitaH nityam skandaH amara namaskRtaH // KUrmP_2,36.18 //
   snātvā kumāradhārāyāṃ kṛtvā devāditarpaṇam /	snAtvA kumAraDArAyAm kRtvA deva Adi tarpaNam /
   ārādhya ṣaṇmukhaṃ devaṃ skandena saha modate // KūrmP_2,36.19 //	ArADya zaNmuKam devam skandena saha modate // KUrmP_2,36.19 //
   nadī trailokyavikhyātā tāmraparṇoti nāmataḥ /	nadI trElokya viKyAtA tAmraparNoti nAmataH /
   tatra snātvā pitṝn bhaktyā tarpayitvā yathāvidhi /	tatra snAtvA pitLn BaktyA tarpayitvA yaTAviDi /
   pāpakartṝnapi pitṝstārayennātra saṃśayaḥ // KūrmP_2,36.20 //	pApa kartLn api pitLH tArayet na atra saMSayaH // KUrmP_2,36.20 //
   candratīrthamiti khyātaṃ kāveryāḥ prabhave 'kṣayam /	candratIrTam iti KyAtam kAveryAH praBave akzayam /
   tīrthaṃ tatra bhaved vastuṃ mṛtānāṃ svargatirdhruvā // KūrmP_2,36.21 //	tIrTam tatra Bavet vastum mRtAnAm svar gatiH DruvA // KUrmP_2,36.21 //
   vindhyapāde prapaśyanti devadevaṃ sadāśivam /	vinDya pAde prapaSyanti devadevam sadASivam /
   bhaktyā ye te na paśyanti yamasya sadanaṃ dvijāḥ // KūrmP_2,36.22 //	BaktyA ye te na paSyanti yamasya sadanam dvijAH // KUrmP_2,36.22 //
   devikāyāṃ vṛṣo nāma tīrthaṃ siddhaniṣevitam /	devikAyAm vRzaH nAma tIrTam sidDa nizevitam /
   tatra snātvodakaṃ datvā yogasiddhiṃ ca vindati // KūrmP_2,36.23 //	tatra snAtvA udakam datvA yoga sidDim ca vindati // KUrmP_2,36.23 //
   daśāśvamedhikaṃ tīrthaṃ sarvapāpavināśanam /	daSASvameDikam tIrTam sarva pApa vinASanam /
   daśānāmaśvamedhānāṃ tatrāpnoti phalaṃ naraḥ // KūrmP_2,36.24 //	daSAnAm aSvameDAnAm tatra Apnoti Palam naraH // KUrmP_2,36.24 //
   puṇḍarīkaṃ mahātīrthaṃ brāhmaṇairupasevitam /	puNxarIkam mahA tIrTam brAhmaNEH upasevitam /
   tatrābhigamya yuktātmā pauṇḍarīkaphalaṃ labhet // KūrmP_2,36.25 //	tatra aBigamya yukta AtmA pONxarIka Palam laBet // KUrmP_2,36.25 //
   tīrthebhyaḥ paramaṃ tīrthaṃ brahmatīrthamiti śrutam /	tIrTeByaH paramam tIrTam brahmatIrTam iti Srutam /
   brahmāṇamarcayitvā tu brahmaloke mahīyate // KūrmP_2,36.26 //	brahmANam arcayitvA tu brahma loke mahIyate // KUrmP_2,36.26 //
   sarasvatyā vinaśanaṃ plakṣaprastravaṇaṃ śubham /	sarasvatyAH vinaSanam plakza prastravaNam SuBam /
   vyāsatīrthaṃ paraṃ tīrthaṃ mainākaṃ ca nagottamam /	vyAsatIrTam param tIrTam mEnAkam ca naga uttamam /
   yamunāprabhavaṃ caiva sarvapāpaviśodhanam // KūrmP_2,36.27 //	yamunA praBavam ca eva sarva pApa viSoDanam // KUrmP_2,36.27 //
   pitṝṇāṃ duhitā devī gandhakālīti viśrutā /	pitLNAm duhitA devI ganDakAlI iti viSrutA /
   tasyāṃ snātvā divaṃ yāti mṛto jātismaro bhavet // KūrmP_2,36.28 //	tasyAm snAtvA divam yAti mRtaH jAtismaraH Bavet // KUrmP_2,36.28 //
   kuberatuṅgaṃ pāpaghnaṃ siddhacāraṇasevitam /	kuberatuFgam pApa Gnam sidDa cAraNa sevitam /
   prāṇāṃstatra parityajya kuberānucaro bhavet // KūrmP_2,36.29 //	prANAn= tatra parityajya kubera anucaraH Bavet // KUrmP_2,36.29 //
   umātuṅgamiti khyātaṃ yatra sā rudravallabhā /	umAtuFgam iti KyAtam yatra sA rudra vallaBA /
   tatrābhyarcya mahādevīṃ kosahasraphalaṃ labhet // KūrmP_2,36.30 //	tatra aByarcya mahAdevIm kosahasra Palam laBet // KUrmP_2,36.30 //
   bhṛgutuṅge tapastaptaṃ śrāddhaṃ dānaṃ tathā kṛtam /	BRgutuFge tapaH taptam SrAdDam dAnam taTA kRtam /
   kulānyubhayataḥ sapta punātīti śrutirmama // KūrmP_2,36.31 //	kulAni uBayatas sapta punAti iti SrutiH mama // KUrmP_2,36.31 //
   kāśyapasya mahātīrthaṃ kālasarpiriti śrutam /	kASyapasya mahA tIrTam kAlasarpiH iti Srutam /
   tatra śrāddhāni deyāni nityaṃ pāpakṣayecchayā // KūrmP_2,36.32 //	tatra SrAdDAni deyAni nityam pApa kzaya icCayA // KUrmP_2,36.32 //
   daśārṇāyāṃ tathā dānaṃ śrāddhaṃ homastathā japaḥ /	daSArNAyAm taTA dAnam SrAdDam homaH taTA japaH /
   akṣayaṃ cāvyayaṃ caiva kṛtaṃ bhavati sarvadā // KūrmP_2,36.33 //	akzayam ca avyayam ca eva kRtam Bavati sarvadA // KUrmP_2,36.33 //
   tīrthaṃ dvijātibhirjuṣṭaṃ nāmnā vai kurujāṅgalam /	tIrTam dvijAtiBiH juzwam nAmnA vE kurujAFgalam /
   dattvā tu dānaṃ vidhivad brahmaloke mahīyate // KūrmP_2,36.34 //	dattvA tu dAnam viDivat brahma loke mahIyate // KUrmP_2,36.34 //
   vaitaraṇyāṃ mahātīrthe svarṇavedyāṃ tathaiva ca /	vEtaraNyAm mahA tIrTe svarNa vedyAm taTA eva ca /
   dharmapṛṣṭhe ca sarasi brahmaṇaḥ parame śubhe // KūrmP_2,36.35 //	Darma pRzWe ca sarasi brahmaNaH parame SuBe // KUrmP_2,36.35 //
   bharatasyāśrame puṇye puṇye śrāddhavaṭe śubhe /	Baratasya ASrame puNye puNye SrAdDavawe SuBe /
   mahāhrade ca kauśikyāṃ dattaṃ bhavati cākṣayam // KūrmP_2,36.36 //	mahAhrade ca kOSikyAm dattam Bavati ca akzayam // KUrmP_2,36.36 //
   muñjapṛṣṭhe padaṃ nyastaṃ mahādevena dhīmatā /	muQja pRzWe padam nyastam mahAdevena DImatA /
   hitāya sarvabhūtānāṃ nāstikānāṃ nidarśanam // KūrmP_2,36.37 //	hitAya sarva BUtAnAm nAstikAnAm nidarSanam // KUrmP_2,36.37 //
   alpenāpi tu kālena naro dharmaparāyaṇaḥ /	alpena api tu kAlena naraH Darma parAyaNaH /
   pāpmānamutsṛjatyāśu jīrṇāṃ tvacamivoragaḥ // KūrmP_2,36.38 //	pApmAnam utsRjati ASu jIrNAm tvacam iva uragaH // KUrmP_2,36.38 //
   nāmnā kanakanandeti tīrthaṃ trailokyaviśrutam /	nAmnA kanakanandA iti tIrTam trElokya viSrutam /
   udīcyāṃ muñjapṛṣṭhasya brahmarṣigaṇasevitam // KūrmP_2,36.39 //	udIcyAm muQjapRzWasya brahmarzi gaNa sevitam // KUrmP_2,36.39 //
   tatra snātvā divaṃ yānti saśarīrā dvijātayaḥ /	tatra snAtvA divam yAnti sa SarIrAH dvijAtayaH /
   dattaṃ cāpi sadā śrāddhamakṣayaṃ samudāhṛtam /	dattam ca api sadA SrAdDam akzayam samudAhRtam /
   ṛṇaistribhirnaraḥ snātvā mucyate kṣīṇakalmaṣaḥ // KūrmP_2,36.40 //	RNEH triBiH naraH snAtvA mucyate kzINa kalmazaH // KUrmP_2,36.40 //
   mānase sarasi snātvā śakrasyārdhāsanaṃ labhet /	mAnase sarasi snAtvA Sakrasya arDa Asanam laBet /
   uttaraṃ mānasaṃ gatvā siddhiṃ prāpnotyanuttamām // KūrmP_2,36.41 //	uttaram mAnasam gatvA sidDim prApnoti anuttamAm // KUrmP_2,36.41 //
   tasmānnirvartayecchrāddhaṃ yathāśakti yathābalam /	tasmAt nirvartayet SrAdDam yaTASakti yaTAbalam /
   kāmān salabhate divyān mokṣopāyaṃ ca vindati // KūrmP_2,36.42 //	kAmAn salaBate divyAn mokza upAyam ca vindati // KUrmP_2,36.42 //
   parvato himavānnāma nānādhātuvibhūṣitaḥ /	parvataH himavAn nAma nAnA DAtu viBUzitaH /
   yojanānāṃ sahasrāṇi so 'śītistvāyato giriḥ /	yojanAnAm sahasrANi saH aSItiH tu AyataH giriH /
   siddhacāraṇasaṃkīrṇo devarṣigaṇasevitaḥ // KūrmP_2,36.43 //	sidDa cAraNa saMkIrNaH deva Rzi gaNa sevitaH // KUrmP_2,36.43 //
   tatra puṣkariṇī ramyā suṣumnā nāma nāmataḥ /	tatra puzkariNI ramyA suzumnA nAma nAmataH /
   tatra gatvā dvijo vidvān brahmahatyāṃ vimuñcati // KūrmP_2,36.44 //	tatra gatvA dvijaH vidvAn brahma hatyAm vimuQcati // KUrmP_2,36.44 //
   śrāddhaṃ bhavati cākṣayyaṃ tatra dattaṃ mahodayam /	SrAdDam Bavati ca akzayyam tatra dattam mahA udayam /
   tārayecca pitṝn samyag daśa pūrvān daśāparān // KūrmP_2,36.45 //	tArayet ca pitLn samyak daSa pUrvAn daSa aparAn // KUrmP_2,36.45 //
   sarvatra himavān puṇyo gaṅgā puṇyā samantataḥ /	sarvatra himavAn puNyaH gaFgA puNyA samantataH /
   nadyaḥ samudragāḥ puṇyāḥ samudraśca viśeṣataḥ // KūrmP_2,36.46 //	nadyaH samudragAH puNyAH samudraH ca viSezataH // KUrmP_2,36.46 //
   badaryāśramamāsādya mucyate kalikalmaṣāt /	badaryASramam AsAdya mucyate kali kalmazAt /
   tatra nārāyaṇo devo nareṇāste sanātanaḥ // KūrmP_2,36.47 //	tatra nArAyaNaH devaH nareNa Aste sanAtanaH // KUrmP_2,36.47 //
   akṣayaṃ tatra dānaṃ syāt japyaṃ vāpi tathāvidham /	akzayam tatra dAnam syAt japyam vA api taTAviDam /
   mahādevapriyaṃ tīrthaṃ pāvanaṃ tad viśeṣataḥ /	mahAdeva priyam tIrTam pAvanam tat viSezataH /
   tārayecca pitṝn sarvān dattvā śrāddhaṃ samāhitaḥ // KūrmP_2,36.48 //	tArayet ca pitLn sarvAn dattvA SrAdDam samAhitaH // KUrmP_2,36.48 //
   devadāruvanaṃ puṇyaṃ siddhagandharvasevitam /	devadAru vanam puNyam sidDa ganDarva sevitam /
   mahādevena devena tatra dattaṃ mahad varaṃ // KūrmP_2,36.49 //	mahAdevena devena tatra dattam mahat varam // KUrmP_2,36.49 //
   mohayitvā munīn sarvān punastaiḥ saṃprapūjitaḥ /	mohayitvA munIn sarvAn punar tEH saMprapUjitaH /
   prasanno bhagavānīśo munīndrān prāha bhāvitān // KūrmP_2,36.50 //	prasannaH BagavAn ISaH muni indrAn prAha BAvitAn // KUrmP_2,36.50 //
   ihāśramavare ramye nivasiṣyatha sarvadā /	iha ASrama vare ramye nivasizyaTa sarvadA /
   madbhāvanāsamāyuktāstataḥ siddhimavāpsyatha // KūrmP_2,36.51 //	mad BAvanA samAyuktAH tatas sidDim avApsyaTa // KUrmP_2,36.51 //
   ye 'tra māmarcayantīha loke dharmaparā janāḥ /	ye atra mAm arcayanti iha loke Darma parAH janAH /
   teṣāṃ dadāmi paramaṃ gāṇapatyaṃ hi śāśvatam // KūrmP_2,36.52 //	tezAm dadAmi paramam gANapatyam hi SASvatam // KUrmP_2,36.52 //
   atra nityaṃ vasiṣyāmi saha nārāyaṇena ca /	atra nityam vasizyAmi saha nArAyaNena ca /
   prāṇāniha narastyaktvā na bhūyo janma vindati // KūrmP_2,36.53 //	prANAn iha naraH tyaktvA na BUyas janma vindati // KUrmP_2,36.53 //
   saṃsmaranti ca ye tīrthaṃ deśāntaragatā janāḥ /	saMsmaranti ca ye tIrTam deSa antara gatAH janAH /
   teṣāṃ ca sarvapāpāni nāśayāmi dvijottamāḥ // KūrmP_2,36.54 //	tezAm ca sarva pApAni nASayAmi dvijottamAH // KUrmP_2,36.54 //
   śrāddhaṃ dānaṃ tapo homaḥ piṇḍanirvapaṇaṃ tathā /	SrAdDam dAnam tapaH homaH piNxa nirvapaNam taTA /
   dhyānaṃ japaśca niyamaḥ sarvamatrākṣayaṃ kṛtam // KūrmP_2,36.55 //	DyAnam japaH ca niyamaH sarvam atra akzayam kRtam // KUrmP_2,36.55 //
   tasmāt sarvaprayatnena draṣṭavyaṃ hi dvijātibhiḥ /	tasmAt sarva prayatnena drazwavyam hi dvijAtiBiH /
   devadāruvanaṃ puṇyaṃ mahādevaniṣevitam // KūrmP_2,36.56 //	devadAru vanam puNyam mahAdeva nizevitam // KUrmP_2,36.56 //
   yatresvaro mahādevo viṣṇurvā puruṣottamaḥ /	yatra IsvaraH mahAdevaH vizNuH vA puruzottamaH /
   tatra sannihitā gaṅgātīrthānyāyatanāni ca // KūrmP_2,36.57 //	tatra sannihitAH gaFgA tIrTAni AyatanAni ca // KUrmP_2,36.57 //
   itī śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāmuparivibhāge ṣaṭtriśo 'dhyāyaḥ	itI SrI kUrmapurANe zawsAhastryAm saMhitAyAm upari viBAge zawtriSas aDyAyaH
   ṛṣaya ūcuḥ	RzayaH UcuH
   kathaṃ dāruvanaṃ prāpto bhagavān govṛṣadhvajaḥ /	kaTam dAru vanam prAptaH BagavAn go vRza DvajaH /
   mohayāmāsa viprendrān sūta vaktumihārhasi // KūrmP_2,37.1 //	mohayAmAsa vipra indrAn sUta vaktum iha arhasi // KUrmP_2,37.1 //
   sūta uvāca	sUtaH uvAca
   purā dāruvan ramye devasiddhaniṣevite /	purA dAru van ramye deva sidDa nizevite /
   saputradārā munayastapaśceruḥ sahasraśaḥ // KūrmP_2,37.2 //	sa putra dArAH munayaH tapaH ceruH sahasraSas // KUrmP_2,37.2 //
   pravṛttaṃ vividhaṃ karma prakurvāṇā yathāvidhi /	pravRttam viviDam karma prakurvANAH yaTAviDi /
   yajanti vividhairyajñaistapanti ca maharṣayaḥ // KūrmP_2,37.3 //	yajanti viviDEH yajQEH tapanti ca mahA RzayaH // KUrmP_2,37.3 //
   teṣāṃ pravṛttivinyastacetasāmatha śūladhṛk /	tezAm pravRtti vinyasta cetasAm aTa SUla DRk /
   khyāpayan sa mahādoṣaṃ yayau dāruvanaṃ haraḥ // KūrmP_2,37.4 //	KyApayan sa mahA dozam yayO dAru vanam haraH // KUrmP_2,37.4 //
   kṛtvā viśvaguruṃ viṣṇuṃ pārśve devo maheśvaraḥ /	kRtvA viSva gurum vizNum pArSve devaH maheSvaraH /
   yayau nivṛttavijñānasthāpanārthaṃ ca śaṅkaraḥ // KūrmP_2,37.5 //	yayO nivRtta vijQAna sTApana arTam ca SaFkaraH // KUrmP_2,37.5 //
   āsthāya vipulaṃ veśamūnaviṃśativatsaraḥ /	AsTAya vipulam veSam UnaviMSati vatsaraH /
   līlālaso mahābāhuḥ pīnāṅgaścārulocanaḥ // KūrmP_2,37.6 //	lIlA alasaH mahA bAhuH pIna aFgaH cAru locanaH // KUrmP_2,37.6 //
   cāmīkaravapuḥ śrīmān pūrṇacandranibhānanaḥ /	cAmIkara vapuH SrImAn pUrNa candra niBa AnanaH /
   mattamātaṅgagāmano digvāsā jagadīśvaraḥ // KūrmP_2,37.7 //	matta mAtaFga gAmanaH digvAsAH jagat ISvaraH // KUrmP_2,37.7 //
   kuśeśayamayīṃ mālaṃ sarvaratnairalaṅkṛtām /	kuSeSaya mayIm mAlam sarva ratnEH alaFkRtAm /
   dadhāno bhagavānīśaḥ samāgacchati sasmitaḥ // KūrmP_2,37.8 //	daDAnaH BagavAn ISaH samAgacCati sa smitaH // KUrmP_2,37.8 //
   yo 'nantaḥ puruṣo yonirlokānāmavyayo hariḥ /	yaH anantaH puruzaH yoniH lokAnAm avyayaH hariH /
   strīveṣaṃ viṣṇurāsthāya so 'nugacchati śūlinam // KūrmP_2,37.9 //	strI vezam vizNuH AsTAya saH anugacCati SUlinam // KUrmP_2,37.9 //
   sampūrṇacandravadanaṃ pīnonnatapayodharam /	sampUrNa candra vadanam pIna unnata payoDaram /
   śucismitaṃ suprasannaṃ raṇannupurakadvayam // KūrmP_2,37.10 //	Suci smitam su prasannam raNat nupuraka dvayam // KUrmP_2,37.10 //
   supītavasanaṃ divyaṃ śyāmalaṃ cārulocanam /	su pIta vasanam divyam SyAmalam cAru locanam /
   udārahaṃsacalanaṃ vilāsi sumanoharam // KūrmP_2,37.11 //	udAra haMsa calanam vilAsi su manoharam // KUrmP_2,37.11 //
   evaṃ sa bhagavānīśo devadāruvane haraḥ /	evam sa BagavAn ISaH devadAru vane haraH /
   cacāra hariṇā bhikṣāṃ māyayā mohayan jagat // KūrmP_2,37.12 //	cacAra hariNA BikzAm mAyayA mohayan jagat // KUrmP_2,37.12 //
   dṛṣṭvā carantaṃ viśveśaṃ tatra tatra pinākinam /	dRzwvA carantam viSveSam tatra tatra pinAkinam /
   māyayā mohitā nāryo devadevaṃ samanvayuḥ // KūrmP_2,37.13 //	mAyayA mohitAH nAryaH devadevam samanvayuH // KUrmP_2,37.13 //
   vistrastavastrābharaṇāstyaktvā lajjāṃ pativratāḥ /	vistrasta vastra ABaraNAH tyaktvA lajjAm pativratAH /
   sahaiva tena kāmārtā vilāsinyaścarantihi // KūrmP_2,37.14 //	saha eva tena kAma ArtAH vilAsinyaH caranti hi // KUrmP_2,37.14 //
   ṛṣīṇāṃ putrakā ye syuryuvāno jitamānasāḥ /	RzINAm putrakAH ye syuH yuvAnaH jita mAnasAH /
   anvagacchan hṛṣīkeśaṃ sarve kāmaprapīḍitāḥ // KūrmP_2,37.15 //	anvagacCan hRzIkeSam sarve kAma prapIxitAH // KUrmP_2,37.15 //
   gāyanti nṛtyanti vilāsabāhyā	gAyanti nRtyanti vilAsa bAhyA
   nārīgaṇā māyinamekamīśam /	nArI gaNAH mAyinam ekam ISam /
   dṛṣṭvā sapatnīkamatīvakānta 	dRzwvA sa patnIkam atIva kAnta 
   micchantyathāliṅganamācaranti // KūrmP_2,37.16 //	micCanti aTa AliFganam Acaranti // KUrmP_2,37.16 //
   pade nipetuḥ smitamācaranti	pade nipetuH smitam Acaranti
   gāyanti gītāni munīśaputrāḥ /	gAyanti gItAni muni ISa putrAH /
   ālokya padmāpatimādidevaṃ	Alokya padmApatim Adidevam
   bhrūbhaṅgamanye vicaranti tena // KūrmP_2,37.17 //	BrU BaFgam anye vicaranti tena // KUrmP_2,37.17 //
   āsāmathaiṣāmapi vāsudevo	AsAm aTa ezAm api vAsudevaH 
   māyī murārirmanasi praviṣṭaḥ /	mAyI murAriH manasi pravizwaH /
   karoti bhogān manasi pravṛttiṃ	karoti BogAn manasi pravRttim
   māyānubhūyanta itiva samyak // KūrmP_2,37.18 //	mAyA anuBUyante itiva samyak // KUrmP_2,37.18 //
   vibhāti viśvāmarabhūtabhartā	viBAti viSva amara BUta BartA
   sa mādhavaḥ strīgaṇamadhyaviṣṭaḥ /	sa mADavaH strI gaNa maDya vizwaH /
   aśeṣaśaktyāsanasaṃniviṣṭo	aSeza Sakti Asana saMnivizwaH 
   yathaikaśaktyā saha devadevaḥ // KūrmP_2,37.19 //	yaTA eka SaktyA saha devadevaH // KUrmP_2,37.19 //
   karoti nṛtyaṃ paramaprabhāvaṃ	karoti nRtyam parama praBAvam
   tadā virūḍhaḥ punareva bhūyaḥ /	tadA virUXaH punar eva BUyas /
   yayau samāruhya hariḥ svabhāvaṃ	yayO samAruhya hariH svaBAvam
   tadīśavṛttāmṛtamādidevaḥ // KūrmP_2,37.20 //	tad ISa vRtta amRtam AdidevaH // KUrmP_2,37.20 //
   dṛṣṭvā nārīkulaṃ rudraṃ putrāṇāmapi keśavam /	dRzwvA nArI kulam rudram putrANAm api keSavam /
   mohayantaṃ muniśreṣṭhāḥ kopaṃ saṃdadhire bhṛśam // KūrmP_2,37.21 //	mohayantam muni SrezWAH kopam saMdaDire BRSam // KUrmP_2,37.21 //
   atīva paruṣaṃ vākyaṃ procurdevaṃ kapardinam /	atIva paruzam vAkyam procuH devam kapardinam /
   śeṣuśca śāpairvividhairmāyayā tasya mohitāḥ // KūrmP_2,37.22 //	SezuH ca SApEH viviDEH mAyayA tasya mohitAH // KUrmP_2,37.22 //
   tapāṃsi teṣāṃ sarveṣāṃ pratyāhanyanta śaṅkare /	tapAMsi tezAm sarvezAm pratyAhanyanta SaFkare /
   yathādityaprakāśena tārakā nabhasi sthitāḥ // KūrmP_2,37.23 //	yaTA Aditya prakASena tArakAH naBasi sTitAH // KUrmP_2,37.23 //
   te bhagnatapaso viprāḥ sametya vṛṣabhadhvajam /	te Bagna tapasaH viprAH sametya vRzaBaDvajam /
   ko bhavāniti deveśaṃ pṛcchanti sma vimohitāḥ // KūrmP_2,37.24 //	kaH BavAn iti deveSam pRcCanti sma vimohitAH // KUrmP_2,37.24 //
   so 'bravīd bhagavānīśastapaścartumihāgataḥ /	saH abravIt BagavAn ISaH tapaH cartum iha AgataH /
   idānīṃ bhāryayā deśe bhavadbhiriha suvratāḥ // KūrmP_2,37.25 //	idAnIm BAryayA deSe BavadBiH iha suvratAH // KUrmP_2,37.25 //
   tasya te vākyamākarṇya bhṛgvādyā munipuṅgavāḥ /	tasya te vAkyam AkarNya BRgu AdyAH muni puFgavAH /
