   // śrīḥ// 8 6 2001.	// SrIH// 8 6 2001.
   tarkatāṇḍavam	tarka tANxavam
   kiṃ caivaṃ sāmānādhikaraṇyasya sarvatra susaṃpādatvena	kim ca evam sAmAnADikaraNyasya sarvatra su saMpAda tvena
   vyadhikaraṇāsiddhirniravakāśā syāt/ tadasaṃpādane sā sāvakāśeti	vyaDikaraNA sidDiH niravakASA syAt/ tad asaMpAdane sA sA avakASa iti
   cettarhyasiddhiruktidoṣaḥ syāt/	ced tarhi asidDi rukti dozaH syAt /
   tvadabhimatasāmānādhikaraṇyaniyama 3 nirvāhāyetyuktakalpaṃ nirāha    na	tvad aBimata sAmAna aDikaraNya niyamaH 3 nirvAhAya iti ukta kalpam nirAha   na
   dvitīya	dvitIya
   iti// anyonyeti// sāmānādhikaraṇyaniyame siddhe sati tannirvāhāya	iti// anyonya iti// sAmAnADikaraNya niyame sidDe sati tat nirvAhAya
   prayogavipariṇāmakalpanā siddhe coktadiśā prayogavipariṇāme	prayoga vipariNAma kalpanA sidDe ca ukta diSA prayoga vipariNAme
   sāmānādhikaraṇyaniyamasiddhirityanyonyāśrayādityarthaḥ// 4 niravakāśeti//	sAmAnADikaraNya niyama sidDiH iti anyonya ASrayAt iti arTaH// 4 niravakASa iti//
   ayaṃ kāla ātmanityatvavān kākakārṣṇyavatvādityādirūpeṇa	ayam kAlaH Atma nityatvavAn kAka kArzNyava tvAt itya Adi rUpeNa
   tvadabhimatavyadhikaraṇāsiddhahetvābhāsasthalepi sāmānādhikaraṇyasya	tvad aBimata vyaDikaraNa asidDa hetu ABAsa sTalepi sAmAnADikaraNyasya
   suvacatvena vyadhikaraṇāsiddherudāharaṇaṃ na kimapi labhyeteti/ doṣatvena	su vaca tvena vyaDikaraNa asidDeH udAharaNam na kim api laByeta iti/ doza tvena
   tasya parigaṇanamayuktamāpādyeteti bhāvaḥ/ tadasaṃpādane deśakālādinā	tasya parigaNanam ayuktam ApAdyeta iti BAvaH/ tad asaMpAdane deSa kAla AdinA
   sāmānādhikaraṇyāsaṃpādane ityarthaḥ/	sAmAnADikaraNyA saMpAdane iti arTaH/
   1.yāt  ṭa.rā. 2.ntadū  ṭa.rā. 3.me siddhesati tannirvā  ḍa.	1.yAt  wa.rA. 2.ntadU  wa.rA. 3.me sidDesati tat nirvA  xa.
   4.madabhimateti madabhimataṃ yadvaiyadhikaraṇyaṃ tadādinirvāhāyetyarthaḥ/	4.mad aBimatA iti mad aBimatam yat vEyaDi karaNyam tad Adi nirvAhAya iti arTaH/
   ādipadena sarvatraprayogeṣu deśakālayoranyatarasyaiva	Adi padena sarvatra prayogezu deSa kAlayoH anyatarasya eva
   pakṣīkaraṇanirvāhāyeti gṛhyate"  	pakzIkaraNa nirvAhAya iti gRhyate"  
   ityadhikam  ṭha.	iti aDikam  Wa.
   pu   274. nyāyadīpuyutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  274. nyAya dIpu yuta tarka tANxavam (tR. paricCedaH
   nārthadoṣaḥ/ kiñca noktidoṣatvamapi/ rohiṇyudaya āsannaḥ kṛttikāya	na arTa dozaH/ kiQca na ukti doza tvam api/ rohiNI udayaH AsannaH kRttikAya
   uditatvāt ityuktāvapi śrotṛṇāmanumityutpatteḥ//	udita tvAt iti uktO= api SrotRNAm anum iti utpatteH//
   na dvitīyaḥ/ vyadhikaraṇeṣva 1 pyanyathānupapanneṣu	na dvitIyaH/ vyaDikaraNezva 1 pyanyaTA anupapannezu
   samānādhikaraṇeṣvapyanyathopapanneṣvaliṅgatvasya ca darśanena	samAna aDikaraNezu api anyaTA upapannezu aliFga tvasya ca darSanena
   pakṣadhmatāyā anāvaśyakatvāt/ 2 ihedānīṃ satā	pakzaDmatAyAH anAvaSyaka tva at/ 2 iha idAnIm satA
   kāryeṇānyatrānyadāsatastaducitakāraṇasyānumānācca//	kAryeNa anyatra anyadA sataH tad ucita kAraNasya anumAnAt ca//
   nārthadoṣa iti// tathā ca puruṣasya payoktṛḥ parābhavepi tatra	na arTa dozaH iti// taTA ca puruzasya payoktRH parABavepi tatra
   jāmānānumitiḥ pramārūpaiva syāditi bhāvaḥ/ nanūktidoṣasthale	jAmAnA anumitiH pramA rUpA eva syAt iti BAvaH/ nanu ukti doza sTale
   vacanadvārār'thasyāpi duṣṭatvameva tādṛśasthale 'numite 3 ścānudayādityata	vacana dvArAr aTasya api duzwa tvam eva tAdRSa sTale anumite 3 Sca anudayAt ityata
   āha    kiñceti//	Aha   kiQca iti//
   pakṣadharmatāvighaṭanādveti pakṣaṃ nirāha   na dvitīya iti//	pakza Darma tA viGawanAt vA iti pakzam nirAha  na dvitIyaH iti//
   anyathānupapanneṣviti// avinābhāvarūpavyāptimastvityarthaḥ/	anyaTA anupapannezu iti// avinA aBAva rUpa vyAptim astu iti arTaH/
   prāguktapadmavikāsādiṣviti bhāvaḥ/ 4 anyathopapanneṣviti// parvato	prAc ukta padma vikAsa Adizu iti BAvaH/ 4 anyaTA upapannezu iti// parvataH 
   vahnimān pāṣāṇavatvatprameyatvādityādiṣvityarthaḥ/ aliṅgatvasya	vahnimAn pAzANava tvat prameya tvAt ityAdizu iti arTaH/ aliFga tvasya
   pramityajanakatvasyetyarthaḥ/ vyadhikaraṇeṣvanyathānupapanneṣu liṅgatvasya	pramitya janaka tvasya iti arTaH/ vyaDikaraNezu anyaTA anupapannezu liFga tvasya
   darśanādityuktaṃ tatkāryakāraṇabhāvāpanneṣu darśayati    iheti// sata iti	darSanAt iti uktam tad kArya kAraNa BAva Apannezu darSayati   iha iti// sataH iti
   padavibhāgaḥ/ idānīntanāṅkurādidarśanena tatpūrvakāle bījasya	pada viBAgaH/ idAnIntana aFkura Adi darSanena tad pUrva kAle bIjasya
   padmasthavikāsarūpakāryeṇodayācaloditasūryasyānumānadarśanādityarthaḥ/ ata	padma sTa vikAsa rUpa kAryeNa udayAcala udita sUryasya anumAna darSanAt iti arTaH/ atas 
   evāsamānādhikaraṇayorasamānakālīnayorapi	eva asamAna aDikaraNayoH asa mAna kAlInayoH api
   kāryakāraṇayorliṅgibhāvasatvādevetyarthaḥ/	kArya kAraNayoH liFgi BA= asa tvAt eva iti arTaH/
   1.ṣvanyathā  ka.ga.ṭa.rā. 2.idā  ka.ṭa. 3.terevānu  ṭa.ṭha.ḍa.	1.zu anyaTA  ka.ga.wa.rA. 2.idA  ka.wa. 3.teH eva anu  wa.Wa.xa.
   4.nyathāpyupa ṭa.ṭha.	4.nyaTA api upa wa.Wa.
   vyaka ṇāddheḥ dotvaṅgaḥ) anumādoṣavādaḥ pu   275.	vyaka NAt heH dotvaFgaH) anumA da Uza vAdaH pu  275.
   ata eva vaiśeṣikairapi asyedaṃ kāryaṃ kāraṇaṃ saṃbandhyekārthasamavāyi	atas eva vESezikEH api asya idam kAryam kAraNam saMbanDyeka arTa samavAyi
   virodhi ceti laiṅgikamityekārthasamavāyinaḥ virodhi ceti	viroDi ca iti lEFgikam iti eka arTa samavAyinaH viroDi ca iti
   laiṅgikamityekārthasamavāyinaḥ kāryakāraṇarūpaliṅge pṛthagukte tvanmate	lEFgikam iti eka arTa samavAyinaH kArya kAraNa rUpa liFge pRTak ukte tvad mate
   patatpatitayoravayavāpacayādinā bhede 'pi patanniṣṭha 1 patanena patite	patat patitayoH avayava apacaya AdinA Bede api patat nizWa 1 patanena patite
   gurutvānumānācca/ tvayāpi pāko matkṛtiṃ vināsatve sati	gurutva anumAnAt ca/ tvayA api pAkaH mad kRtim vinAsa tve sati
   asyeti// asyedaṃ kāryamiti, asyedaṃ kāraṇamiti, asyedaṃ saṃbandhīti	asya iti// asya idam kAryam iti, asya idam kAraNam iti, asya idam saMbanDi iti
   asyedamekārthasamavāyeti, asyedaṃ virodhīti pañcadhā laiṅgikaṃ	asya idam ekArTa samavAya iti, asya idam viroDi iti paQcaDA lEFgikam
   vyāpakamityarthaḥ/ viśiṣṭamedhonnatyādervṛṣṭyādyādyaṃ dhūmādervahnyādi	vyApakam iti arTaH/ viSizwa meDA unnatya AdeH vRzwi Adi Adyam DUma AdeH vahni Adi
   dvitīyaṃ saṃyogāddṛṣṭavyaṃ tṛtīyaṃ sarasāderūpādi caturthaṃ dhvaṃsādeḥ	dvitIyam saMyogAt dRzwavyam tRtIyam sarasAderUpa Adi caturTam DvaMsa AdeH
   pratiyogyādi pañcamamiti dhyeyam//	pratiyogi Adi paQcamam iti Dyeyam//
   parasaṃmmatyāpi vyadhikaraṇayorliṅgibhāvaṃ darśayati   tvanmata iti//	para saMmmatya api vyaDikaraNayoH liFgi BAvam darSayati  tvad mataH iti//
   pataditi// patataḥ patitasya cetyarthaḥ/ vartamānapatanakriyāvato	patat iti// patataH patitasya ca iti arTaH/ vartamAna patana kriyAvataH 
   'tītapatanakriyāvataśyeti yāvat/ patanadaśāyāmavayavāpacayābhāve 'pi	atIta patana kriyA avataSyA iti yAvat/ patana daSAyAm a vayava apacaya aBAve api
   patite satyabhighātaśenāvayavāpacayāvaśyaṃ bhāvāt/ avayavāpacayasthale ca	patite sati aBiGAta Sena avayava apacaya avaSyam BAvAt/ avayava apacaya sTale ca
   pīlupākaprakriyā āparamāṇu nāśena punardravyotpatteraṅgīkārātpatataḥ	pIlu pAka prakriyA AparamANu nASena punar dravya utpatteH aFgIkArAt patataH
   phalasyeva patitatvadaśāyāmanyatvāttatra ca patitaṃ 2 phalamidaṃ gurutva 3	Palasya iva patita tvadaSAyAm anya tvAt tatra ca patitam 2 Palam idam gurutva 3
   vat patanakriyāvatvātsammatavadityanumānadarśanāt patanagurutvayośca	vat patana kriyAvatvAt sammata vat iti anumAna darSanAt patana guru tvayoH ca
   liṅgaliṅgibhāvāpannayordeśataḥ kālataśca vyadhikaraṇatvātkathaṃ	liFga liFgi BAva ApannayoH deSataH kAlataH ca vyaDikaraNa tvAt kaTam
   1.ṣṭhenapa   ka.ga.rā. 2.tamidaṃ phalaṃ  ṭa.ṭha.ḍa. 3.tvavatvāt  ṭha.	1.zWenapaH  ka.ga.rA. 2.tam idam Palam  wa.Wa.xa. 3.tvavatvAt  Wa.
   pu   276. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  276. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   madiṣṭasādhanatvāt madbhojanavat ityatra siddhapākaniṣṭhatayā jñātena	mad izwa sADana tvAt mad Bojana vat iti atra sidDa pAka nizWatayA jQAtena
   hetunāsiddhapākarūpapakṣaniṣṭhatayā sādhyapramiteruktavācca//	hetunA sidDa pAka rUpa pakza nizWatayA sADya pramiteH uktavAt ca//
   kiñca tvanmate pramātvameva 1 vā niṣkarṣajñānatvameva vā 2 prameyatvaṃ	kiQca tvad mate pramAtvam eva 1 vA nizkarza jQAna tvam eva vA 2 prameya tvam
   evaṃ kṛtitvecchātvadveṣatvādikameva kāryatveṣṭatvadviṣṭatvādikaṃ tathā ca	evam kRti tva icCA tva dveza tva Adikam eva kAryatva izwa tva dvizwa tva Adikam taTA ca
   śabdobhidheyaḥ prameyatvādityādau kathaṃ pakṣadharmatā/ pramātvasya	Sabda uBiDeyaH prameya tvAt ityAdO kaTam pakza Darma tA/ pramAtu asya
   śabdena paramparāsaṃbandho 'stīti cenna/	Sabdena paramparA saMbanDaH asti iti ced na/
   vyadhikaraṇāsiddherdeṣatvamityarthaḥ// siddhapāketi// asiddhapāke	vyaDikaraNA sidDeH deza tvam iti arTaH// sidDa pAka iti// asidDa pAke
   hetorabhāvena tanniṣṭatvena tavājñānāditi bhāvaḥ// uktatvācceti//	hetoH aBAvena tat nizwa tvena tava ajQAnAt iti BAvaH// ukta tvAt ca iti//
   vidhivāde/ ato na pakṣadharmatāvighaṭakatvena doṣatvaṃ	viDivAde/ atas na pakza Darma tA viGawaka tvena doza tvam
   vyadhikaraṇāsiddheriti bhāvaḥ/ sthalāntarepi vyadhikaraṇasya gamakatvaṃ	vyaDikaraNA sidDeH iti BAvaH/ sTala antarepi vyaDikaraNasya gamaka tvam
   paramate darśayati   kiṃ ca tvanmata iti//	para mate darSayati  kim ca tvad mataH iti//
   pramātvasyāpyarthasatvaupādhikatvenājātirūpatvāttadvati	pramAtu asya api arTa satva OpADika tvena ajAti rUpa tvAt tadvati
   tatprakārakajñānatvarūpapramātve jñānatvasya praveśamāha   aniṣkarṣa iti//	tad prakAraka jQAna tva rUpa pramAtve jQAna tvasya praveSam Aha  anizkarzaH iti//
   pramātvaśarīraghaṭakopādhivivekenākhḍajātivimarśe satītyarthaḥ/ astu kiṃ	pramAtva SarIra Gawaka upADi vivekena aKxajAti vimarSe sati iti arTaH/ astu kim
   tata ityata āha   tathā ceti// ityādāviti// idaṃ sarakartṛkaṃ kāryatvāt,	tatas iti atas Aha  taTA ca iti// iti AdO= iti// idam sarakartRkam kArya tvAt,
   idaṃ saṅgrāhyamiṣṭatvāta, idaṃ heyaṃ dviṣṭatvādityādirādipadārthaḥ/	idam saFgrAhyam izwa tvAta, idam heyam dvizwa tvAt ityAdiH Adi padArTaH/
   kathamiti// pramātvādeḥ pramādiniṣṭhatvena śabdādyaniṣṭhatvāditi bhāvaḥ/	kaTam iti// pramAtvA AdeH pramAdi nizWa tvena Sabda Adi anizWa tvAt iti BAvaH/
   parampareti// śabdasya pramāyāḥ svarūpasaṃbandhaḥ pramayā pramātvasya	paramparA iti// Sabdasya pramAyAH svarUpa saMbanDaH pramayA pramAtu asya
   samavāya iti paramparetyarthaḥ/ pratītibalāddhi	samavAyaH iti paramparA iti arTaH/ pratIti balAt hi
   yenakenacitsaṃbandhena"kṛṣṇaṃ vastraṃ lohitaḥsphaṭika"ityādāviva	yena kenacid saMbanDena" kRzNam vastram lohitaH sPawika"iti AdO= iva
   paramparāsaṃbandhenāpi taddharmatvaṃ kalpyaṃ na hi tathā dhīrityāha   	paramparA saMbanDena api tad Darma tvam kalpyam na hi taTA DIH iti Aha   
   śabda iti// pramāsvarūpatvāditi//	SabdaH iti// pramA svarUpa tvAt iti//
   1.vātiniṣkarṣe jñā  ka.ga. 2.vātiniṣkarṣajñā  ṭa. 3.prameva vā ityadhikam 	1.vAti nizkarze jQAH  ka.ga. 2.vA ati nizkarza jQA  wa. 3.prameva vA iti aDikam 
   ka.	ka.
   vyāka ṇāddheḥ dotvaṅgaḥ) anumādoṣavādaḥ pu   277.	vyAka NAt heH dotvaFgaH) anumA da Uza vAdaH pu  277.
   śabde pramātvamiti kadāpyapratīteḥ/ pratyuta pramātvaṃ netyeva pratīteḥ/	Sabde pramAtvam iti kadApi apratIteH/ pratyuta pramAtvam na iti eva pratIteH/
   tasya taddharmatvāyogāt/ na ca pramājātīyaviṣayatvaṃ vā	tasya tad Darma tva ayogAt/ na ca pramAjAtIya vizaya tvam vA
   īśvarapramāviṣayatvaṃ vā prameyatvaṃ tacca śabde 'stīti vācyam//	ISvara pramA vizaya tvam vA prameya tvam tat ca Sabde asti iti vAcyam//
   viṣayatvarūpasaṃbandhasyāpi tvanmate pramāsvarūpatvāt/ pramāyāśya	vizaya tva rUpa saMbanDasya api tvad mate pramA sva rUpa tvAt/ pramAya ASya
   śabdāniṣṭhatvāt//	SabdAnizWa tvAt//
   kiñca vyatirakevyāptiḥ sākṣādaṅgamiti tvanmate	kiQca vyatirakevya AptiH sAkzAt aFgam iti tvad mate
   vyāptipakṣadharmatayorvaiyadhikaraṇyepi gamatvavat sādhyasādhanayorapi	vyApti pakza Darma tayoH vEyaDikaraNyepi gama tva vat sADya sADanayoH api
   vayaidhikaraṇye 'pi gamyagamakatāstu/ tatra pratiyogyanuyogibhāvo	vaya eDikaraNye api gamya gamaka tAstu/ tatra pratiyogi anuyogi BAvaH 
   niyāmakaśyedatrāpi vṛṣṭapūrāśrayordaśayordhvādharībhāvo niyāmakostu//	niyAma kaSyet atra api vRzwa pUra ASrayoH daSaya UrDvA DarIBAvaH niyAmakostu//
   api ca dhūmajātīyasya vahnijātīyaṃ prativyāpyatvātparvatīyo dhūmo	api ca DUma jAtIyasya vahni jAtIyam prativyApya tvAt parvatIyaH DUmaH 
   mahānasīvayavahniṃ pratyapi vyāpya ititvanmate kathaṃ vyāpyavyāpakayoḥ	mahAnasI vaya vahnim pratyapi vyApyaH ititvat mate kaTam vyApya vyApakayoH
   sāmānādhikaraṇyam//	sAmAnADikaraNyam//
   anyathātītādau prameyatvābhāvāpātāditi bhāvaḥ/ pratibandyāpi	anyaTA atIta AdO prameya tva aBAva ApAtAt iti BAvaH/ pratibandya api
   vaiyadhikaraṇyaṃ na doṣāyetyā 1 ha   kiñca vyatireketi//	vEyaDikaraNyam na dozAya ityA 1 ha  kiQca vyatireka iti//
   maṇyuktavyāptisāmānādhikaraṇapakṣe vyadhikaraṇayorapi	maNI ukta vyApti sAmAna aDikaraNa pakze vyaDikaraNayoH api
   vyāptisvīkārāttadanusṛtyā'ha    api ceti//	vyApti svIkArAt tad anusRtyA aha   api ca iti//
   1.tyata ā  ṭa.ḍa.	1.tyatas A  wa.xa.
   pu   278. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  278. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   aitena sāmānādhikaraṇyavyatirekaniścayādinānumitipratibandhāttaniśrayo	Etena sAmAnADikaraNya vyatireka niScaya AdinA anumiti pratibanDAt taniSrayaH 
   'numitiheturiti nirastam/ vṛṣṭipūrayoḥ	anumiti hetuH iti nirastam/ vRzwi pUrayoH
   sāmānādhikaraṇyavyatirekaniścayepyanumitidarśanāt//	sAmAnADikaraNya vyatireka niScayepi anumiti darSanAt//
   na tṛtīyaḥ/ vaiyadhikaraṇyepi vyāpterūpapāditatvāt//	na tRtIyaH/ vEyaDikaraNyepi vyApterUpa pAdita tva at//
   vyadhikaraṇāsiddherdeṣatvabhaṅgaḥ // 27 //	vyaDikaraNA sidDeH deza tva BaFgaH // 27 //
   vyāptivighaṭanādvā doṣatvamiti pakṣaṃ nirāha    na tṛtīya iti//	vyApti viGawanAt vA doza tvam iti pakzam nirAha   na tRtIyaH iti//
   vyadhikaraṇāsiddherdeṣatvabhaṅgaḥ // 28 //	vyaDikaraNA sidDeH deza tva BaFgaH // 28 //
   bādhapratirodhayoḥ pratijñārthapramāṇavirodhatvenaikyam// 28 //	bADa pratiroDayoH pratijQA arTa pramANa viroDa tvena Ekyam// 28 //
   kecittu   	kecid tu   
   savyabhicāraviruddhasatpratipakṣāsiddhabādhitāḥ pañcahetvābhāsāḥ/	savyaBicAra virudDa sat pratipakzA sidDa bADitAH paQca hetvABAsAH/
   bādhapratirodhayoḥ pratijñārthapramāṇavirodhatvenaikyam// 29 //	bADa pratiroDayoH pratijQA arTa pramANa viroDa tvena Ekyam// 29 //
   nanvevamāśrayāsiddhasādhyāsiddhivyadhikaraṇāsiddhīnāmadoṣatve 'pi	nanu evam ASraya asidDa sADya asidDi vyaDikaraNa asidDInAm adoza tve api
   vyabhicārādīnāṃ hetudoṣāṇāṃ bhāvādasiddhiravyāptiriti dvāveva	vyaBicAra AdInAm hetu dozANAm BAvAt asidDiH avyAptiH iti dvO= eva
   hetudoṣāvityayuktamityākṣipati    kecitvityādinā dvāveva	hetu dozO= iti ayuktam iti Akzipati   kecitu ityAdinA dvO= eva
   hetudoṣāvityayuktamityāhurityantena // kecit tārkikāḥ/	hetu dozO= iti ayuktam iti AhuH iti antena // kecid tArkikAH/
   pramāṇalakṣaṇaṭīkādāvasiddhaviruddhanaikāntikānadhyavasitakālātyapadiṣṭaprakaraṇasamasatpratikṣabhedena	pramANa lakzaNa wI kA dO= asidDa virudDa nEkAntika anaDyavasita kAla atyapadizwa prakaraNa samasat pratikzaBedena
   prācāṃ rītyā saptavidhānuvāde 'pi anadhyavasitatvasyānaikāntike	prAcAm rItyA saptaviDA anuvAde api anaDyavasita tvasya anEkAntike
   'ntarbhāvaṃ prakaraṇasyāsaṃbhavanayā parigaṇanāyogyatvamupetya	antarBAvam prakaraNasya asaMBavanayA parigaNanA yogya tvam upetya
   maṇyādyuktadiśā pāñcavidhyamanuvadati    savyabhicāreti//	maNyAdi ukta diSA pAQcaviDyam anuvadati   savyaBicAra iti//
   ata eva naiyāyikā ityanuktvā kecidityuktiḥ/	atas eva nEyAyikA iti anuktvA kecid iti uktiH/
   bāprayo prarthapraṇa vinaikyam) anumādoṣavādaḥ pu   279.	bAprayo prarTa praNa  vinEkyam) anumA doza vAdaH pu  279.
   taduktaṃ gautameva   "savyabhicāravuruddhaprakaraṇasamasādhyasamātītakālāḥ	tat uktam gOtam eva   " savyaBicAra vurudDa prakaraNa sama sADya sama atIta kAlAH
   hetvābhāsāḥ"iti/ tatra sādhyatadabhāvakoṭidvayopasthāpakarūpa 	hetvABAsAH"iti/ tatra sADya tadaBAva kowi dvaya upasTApaka rUpa 
   evaṃ nirdeśo pañcatvaparigaṇane ca mūlamāha   taduktamiti// 1	evam nirdeSaH paQcatva parigaNane ca mUlam Aha  tat uktam iti// 1
   maṇerapīdameva mūlamityapi sūcitam/ prakaraṇasamaśabdena satpratipakṣa	maNeH api idam eva mUlam iti api sUcitam/ prakaraNa sama Sabdena sat pratipakza
   ucyate/ sādhyasamapadena cāsiddhiḥ atī kālapadena bādha	ucyate/ sADya sama padena ca asidDiH atI kAla padena bADa
   ityuktārthasaṃvāditvaṃ dhyeyam/ maṇyādyuktadiśā teṣāṃ lakṣaṇānyanuvadati  	iti ukta arTa saMvAdi tvam Dyeyam/ maNyAdi ukta diSA tezAm lakzaNAni anuvadati  
   tatra teṣumadhya ityādinā// upasthāpaketi// tadubhayopasthitijanakaṃ	tatra tezu maDye ityAdinA// upasTApaka iti// tad uBaya upasTiti janakam
   yadrūpaṃ sādhāraṇe sapakṣavipakṣavṛttitvena sādhyatadabhāvasāhacaryaṃ	yat rUpam sADAraNe sa pakza vipakza vRtti tvena sADya tad aBAva sAhacaryam
   asādhāraṇe tadubhayavyāvṛttatvaṃ, anupasaṃhāriṇi ca tadubhayaśūnyatvena	asADAraNe tad uBaya vyAvRtta tvan, anupasaMhAriNi ca tad uBaya SUnya tvena
   pakṣa eva sādhyatadabhāvasāhacaryamityagre vyaktam/ tādṛśadharmatvaṃ	pakzaH eva sADya tadaBAva sAhacaryam iti agre vyaktam/ tAdRSa Darma tvam
   sādhāraṇāditritagasādhāraṇaṃ lakṣaṇam//	sADAraNa Adi tritaga sADAraNam lakzaNam//
   yadyapi maṇāvubhayakoṭītyādyevoktam/ tathāpi tenāsādhāraṇasya	yadi api maNO= uBaya kowI ityAdi eva uktam/ taTA api tena asADAraNasya
   sādhyatadabhāvopasthāpakatayā dūṣatvapakṣe	sADya tad aBAva upasTApaka tayA dUza tva pakze
   nāvyāptirityuttaragranthaparyālocanayobhayakocipadasya evamevārthobhimata	na avyAptiH iti uttara granTa paryAlocanayaH Baya kocipadasya evam eva arToBimata
   itītthamanuvādaḥ kṛtaḥ//	iti itTam anuvAdaH kRtaH//
   yattu pakṣadharāvubhayakoṭyupasthitipadena	yat tu pakza DarO= uBaya kowi upasTiti padena
   vyāptiniścayavirodhisaṃdehajanakakoṭyupasthitirvivakṣitā anyathā	vyApti niScaya viroDi saMdeha janaka kowi upasTitiH vivakzitA anyaTA
   sarvasamabhidheyaṃ vsatutvādityādau kevalānvayisādhyakānupasaṃhāriṇi	sarva samaBiDeyam vsatu tvAt ityAdO kevala anvayi sADyakAn upasaMhAriNi
   sādhyābhāvakoṭeraprasiddhera 2 vyāptiḥ syāt/ uktavivakṣāyāṃ tu nāvyāptiḥ/	sADya aBAva koweH aprasidDera 2 vyAptiH syAt/ ukta vivakzAyAm tu na avyAptiH/
   kevalānvayisādhyake idamabhidheyaṃ na vetyevaṃ sandehā 3 yoge 'pi	kevala anvayi sADyake idam aBiDeyam na vA iti evam sandehAH 3 yoge api
   abhidheyatvaṃ pakṣavṛttina vetyevaṃ saṃśayasaṃbhavāt/	aBiDeya tvam pakza vRttinaH vA iti evam saMSaya saMBavAt/
   vyāptiniścayavirodhisaṃśayaśca sādhyatadabhāvasaṃśayaḥ sādhye	vyApti niScaya viroDi saMSayaH ca sADya tad aBAva saMSayaH sADye
   pakṣavṛttitvasaṃśayaśca bhavatīti kathanaṃ tattu maṇivākyaviruddham/	pakza vRtti tva saMSayaH ca Bavati iti kaTanam tat tu maNi vAkya virudDam/
   1.tayorapīdameva  ṭha. 2.ddhatvenāvyā  ṭha. 3.hābhāvepi    ṭha.	1.tayoH api idam eva  Wa. 2.dDa tvena avyA Wa. 3.hABAvepi   Wa.
   pu   280. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu  280. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   vatvaṃ savyabhicāratvaṃ vipratipattivākye satpratipakṣe ca dvayoḥ	vatvam savyaBicAra tvam vipratipatti vAkye sat pratipakze ca dvayoH
   koṭidvayopasthāpa'katvepi	kowi dvaya upasTApa akatvepi
   na caivaṃ kevalānvayisādhyakānupasaṃhāriṇya 1 vyāptiḥ/ 2	na ca evam kevala anvayi sADyakAn upasaMhAriNya 1 vyAptiH/ 2
   tasyātrāsaṃgrāhyatvādityāhuḥ//	tasya atra asaMgrAhya tvAt iti AhuH//
   nanvathānityaḥ śabdaḥ śabdatvādityatrāptavākyādinā vyāptigrahadaśāyāṃ	nanu aTa anityaH SabdaH Sabda tva Aditi a tra Apta vAkya AdinA vyApti graha daSAyAm
   saddhetutvāt/ tatra	sat hetu tva at/ tatra
   sarvasapakṣavipakṣavyāvṛttatvasyobhayakoṭyupasthāpakarūpasya	sarva sapakza vipakza vyAvRtta tvasya uBaya kowi upasTApaka rUpasya
   satvādativyāptiriti vācyam/ tatra vyāptisapakṣavyāvṛttatvāṃśasya	satvAt ativyAptiH iti vAcyam/ tatra vyApti sapakza vyAvRtta tva aMSasya
   tatrābhāvāt/ atra liṅganiṣṭhatayā yajjñānamubhayakoṭyupasthāpakaṃ	tatra aBAvAt/ atra liFga nizWatayA yat jQAnam uBaya kowi upasTApakam
   prāmāṇyāprāmāṇyobhayakoṭyupasthāpakarūpajñānatvavati saddhetau	prAmANya aprAmANya uBaya kowi upasTApaka rUpa jQAna tvavati sat hetO
   nātivyāptiḥ/ jñānatvasya prāmāṇyasaṃśayaviṣayānumitivṛttitayā	na ati vyAptiH/ jQAna tvasya prAmANya saMSaya vizaya anumiti vRtti tayA
