   laghusiddhāntakaumudī	laGu-sidDAnta-kOmudI
   śālīyaḥ / mālīyaḥ / tadīyaḥ / (vā nāmadheyasya vṛddhasaṃjñā vaktavyā) /	SAlIyaH / mAlIyaH / tadIyaH / (vA nAmaDeyasya vRdDa-saMjQA vaktavyA) /
   devadattīyaḥ, daivadattaḥ //	devadattIyaH, dEvadattaH //
   gahādibhyaśca // VLk_1081 = P_4,2.138 //	gaha-AdiByaH-ca // VLk-_1081  P_4,2.138 //
   gahīyaḥ //	gahIyaH //
   yuṣmadasmadoranyatarasyāṃ khañ ca // VLk_1082 = P_4,3.1 //	yuzmad-asmadoH-anyatarasyAm Kan ca // VLk-_1082  P_4,3.1 //
   cācchaḥ / pakṣe 'ṇ / yuvayoryuṣmākaṃ yuṣmadīyaḥ, asmadīyaḥ //	ca-acCaH / pakze aN / yuvayoH-yuzmAkam yuzmadIyaH, asmadIyaH //
   tasminnaṇi ca yuṣmākāsmākau // VLk_1083 = P_4,3.2 //	tasmin=-aNi ca yuzmAkA-asmAkO // VLk-_1083  P_4,3.2 //
   yuṣmadasmadoretāvādeśau staḥ khañyaṇi ca / yauṣmākīṇaḥ / āsmākīnaḥ /	yuzmad-asmadoH-etO=-AdeSO staH KaQyaNi ca / yOzma-AkINaH / AsmAkInaH /
   yauṣmākaḥ / āsmākaḥ //	yOzmAkaH / AsmAkaH //
   tavakamamakāvekavacane // VLk_1084 = P_4,3.3 //	tavakamamakO=-eka-vacane // VLk-_1084  P_4,3.3 //
   ekārthavācinoryuṣmadasmadostavakamamakau staḥ khañi aṇi ca / tāvakīnaḥ /	eka-arTa-vAcinoH-yuzmad-asmadostavaka-mamakO staH KaQi aNi ca / tAvakInaH /
   tāvakaḥ / māmakīnaḥ / māmakaḥ / che tu - .	tAvakaH / mAmakInaH / mAmakaH / Ce tu  .
   pratyayottarapadayośca // VLk_1085 = P_7,2.98 //	pratyaya-uttara-padayoH-ca // VLk-_1085  P_7,2.98 //
   maparyantayoretayorekārthavācinostvamau staḥ pratyaye uttarapade ca	maparyantayoH-etayoH-eka-arTa-vAcinoH-tu-amO staH pratyaye uttara-pade ca
   parataḥ / tvadīyaḥ / madīyaḥ / tvatputraḥ / matputraḥ //	paratas / tvadIyaH / madIyaH / tvad-putraH / mad-putraH //
   madhyānmaḥ // VLk_1086 = P_4,3.8 //	maDyAt-maH // VLk-_1086  P_4,3.8 //
   madhyamaḥ //	maDyamaH //
   kālāṭṭhañ // VLk_1087 = P_4,3.11 //	kAlAwWan // VLk-_1087  P_4,3.11 //
   kālavācibhyaṣṭhañ syāt / kālikam / māsikam / sāṃvatsarikam / (avyayānāṃ	kAla-vAciByazWan syAt / kAlikam / mAsikam / sAMvatsarikam / (avyayAnAm
   bhamātre ṭilopaḥ) / sāyamprātikaḥ / paunaḥ punikaḥ //	Ba-mAtre wilopaH) / sAyamprAtikaH / pOnaH punikaH //
   prāvṛṣa eṇyaḥ // VLk_1088 = P_4,3.17 //	prAvRzaH eNyaH // VLk-_1088  P_4,3.17 //
   prāvṛṣeṇyaḥ //	prAvRzeNyaH //
   sāyañciramprāhṇeprage 'vyayebhyaṣṭyuṭyulau tuṭ ca // VLk_1089 = P_4,3.23	sAyaQciramprAhNa-Iprage avyayeByazwi-uwI-ulO tuh ca // VLk-_1089  P_4,3.23
   sāyamityādibhyaścaturbhyo 'vyayebhyaśca kālavācibhyaṣṭyuṭyulau	sAyam-iti-AdiByaH-caturByaH avyayeByaH-ca kAla-vAci-Byazwi-uwI-ulO
   stastayostuṭ ca / sāyantanam / cirantanam / prāhṇe prage anayoredantatvaṃ	staH-tayoH-tuh ca / sAyantanam / cirantanam / prAhNe prage anayoret-anta-tvam
   nipātyate / prāhṇetanam / pragetanam / doṣātanam //	nipAtyate / prAhNetanam / pragetanam / dozAtanam //
   tatra jātaḥ // VLk_1090 = P_4,3.25 //	tatra jAtaH // VLk-_1090  P_4,3.25 //
   saptamīsamarthājjāta ityarthe 'ṇādayo ghādayaśca syuḥ / srugghne jātaḥ	saptamI-samarTAt-jAtaH iti-arTe aNAdayaH GAdayaH-ca syuH / sruc-hne jAtaH
   sraugghnaḥ / utse jāta autsaḥ / rāṣṭre jāto rāṣṭriyaḥ / avārapāre jātaḥ	srOc-GnaH / utse jAtaH OtsaH / rAzwre jAtaH rAzwriyaH / avAra-pAre jAtaH
   avārapārīṇaḥ, ityādi//	avAra-pArINaH, ityAdi//
   prāvṛṣaṣṭhap // VLk_1091 = P_4,3.26 //	prAvRzazWap // VLk-_1091  P_4,3.26 //
   eṇyāpavādaḥ / prāvṛṣikaḥ //	eNya-apavAdaH / prAvRzikaH //
   prāyabhavaḥ // VLk_1092 = P_4,3.39 //	prAya-BavaH // VLk-_1092  P_4,3.39 //
   tatretyeva / srugghne prāyeṇa bāhulyena bhavati sraugghnaḥ //	tatra-iti-eva / sruc-hne prAyeNa bAhulyena Bavati srOc-hnaH //
   sambhūte // VLk_1093 = P_4,3.41 //	samBUte // VLk-_1093  P_4,3.41 //
   srugghne saṃbhavati sraugghnaḥ //	sruc-hne saMBavati srOc-hnaH //
   kośāḍḍhañ // VLk_1094 = P_4,3.42 //	koSAxXan // VLk-_1094  P_4,3.42 //
   kauśeyam vastram //	kOSeyam vastram //
   tatra bhavaḥ // VLk_1095 = P_4,3.53 //	tatra BavaH // VLk-_1095  P_4,3.53 //
   srugghne bhavaḥ sraugghnaḥ / autsaḥ / rāṣṭriyaḥ //	sruc-hne BavaH srOc-GnaH / OtsaH / rAzwriyaH //
   digādibhyo yat // VLk_1096 = P_4,3.54 //	diS-AdiByaH yat // VLk-_1096  P_4,3.54 //
   diśyam / vargyam //	diSyam / vargyam //
   śarīrāvayavācca // VLk_1097 = P_4,3.55 //	SarIra-avayavAt-ca // VLk-_1097  P_4,3.55 //
   dantyam / kaṇṭhyam / (adhyātmādeṣṭhañiṣyate) adhyātmaṃ bhavamādhyātmikam	dantyam / kaNWyam / (aDyAtma-AdezWaQizyate) aDyAtmam Bavam-ADyAtmikam
   anuśatikādīnāṃ ca // VLk_1098 = P_7,3.20 //	anuSatika-AdInAm ca // VLk-_1098  P_7,3.20 //
   eṣāmubhayapadavṛddhirñiti ṇiti kiti ca/ ādhidaivikam/ ādhibhautikam/	ezAm-uBaya-pada-vRdDiH-Qiti Niti kiti ca/ ADidEvikam/ ADiBOtikam/
   aihalaukikam/ pāralokikam/ ākṛtigaṇo 'yam //	EhalOkikam/ pAralokikam/ AkRti-gaNaH ayam //
   jihvāmūlāṅguleśchaḥ // VLk_1099 = P_4,3.62 //	jihvA-mUla-aFguleH-CaH // VLk-_1099  P_4,3.62 //
   jihvāmūlīyam / aṅgulīyam //	jihvA-mUlIyam / aFgulIyam //
   vargāntācca // VLk_1100 = P_4,3.63 //	varga-antAt-ca // VLk-_1100  P_4,3.63 //
   kavargīyam //	kavargIyam //
   tata āgataḥ // VLk_1101 = P_4,3.74 //	tatas AgataH // VLk-_1101  P_4,3.74 //
   srugghnādāgataḥ sraugghnaḥ //	sruc-hnAt-AgataH srOc-GnaH //
   ṭhagāyasthānebhyaḥ // VLk_1102 = P_4,3.75 //	WagAya-sTAneByaH // VLk-_1102  P_4,3.75 //
   śulkaśālāyā āgataḥ śaulkaśālikaḥ //	Sulka-SAlAyAH AgataH SOlka-SAlikaH //
   vidyāyonisaṃbandhebhyo vuñ // VLk_1103 = P_4,3.77 //	vidyA-yoni-saMbanDeByaH vun // VLk-_1103  P_4,3.77 //
   aupādhyāyakaḥ / paitāmahakaḥ //	OpADyAyakaH / pEtAmahakaH //
   hetumanuṣyebhyo 'nyatarasyāṃ rūpyaḥ // VLk_1104 = P_4,3.81 //	hetu-manuzyeByaH anyatarasyAm rUpyaH // VLk-_1104  P_4,3.81 //
   samādāgataṃ samarūpyam / pakṣe - gahāditvācchaḥ / samīyam / viṣamīyam /	samAdA-gatam sama-rUpyam / pakze  gaha-Adi-tva-acCaH / samIyam / vizamIyam /
   devadattarūpyam / daivadattam //	devadatta-rUpyam / dEva-dattam //
   mayaṭ ca // VLk_1105 = P_4,3.82 //	mayaw ca // VLk-_1105  P_4,3.82 //
   samamayam / devadattamayam //	sama-mayam / devadatta-mayam //
   prabhavati // VLk_1106 = P_4,3.83 //	praBavati // VLk-_1106  P_4,3.83 //
   himavataḥ prabhavati haimavatī gaṅgā //	himavataH praBavati hEmavatI gaFgA //
   tadgacchati pathidūtayoḥ // VLk_1107 = P_4,3.85 //	tat-gacCati paTidUtayoH // VLk-_1107  P_4,3.85 //
   srugghnaṃ gacchati sraugdhnaḥ panthā dūto vā //	sruc-hnam gacCati srOgDnaH panTAH dUtaH vA //
   abhiniṣkrāmati dvāram // VLk_1108 = P_4,3.86 //	aBinizkrAmati dvAram // VLk-_1108  P_4,3.86 //
   srugghnamabhiniṣkrāmati sraugghnaṃ kānyakubjadvāram //	sruc-Gnam-aBinizkrAmati srOc-Gnam kAnyakubja-dvAram //
   adhikṛtya kṛte granthe // VLk_1109 = P_4,3.87 //	aDikRtya kRte granTe // VLk-_1109  P_4,3.87 //
   śārīrakamadhikṛtya kṛto granthaḥ śārīrakīyaḥ //	SArIrakam-aDikRtya kRtaH granTaH SArIrakIyaH //
   so 'sya nivāsaḥ // VLk_1110 = P_4,3.89 //	saH asya nivAsaH // VLk-_1110  P_4,3.89 //
   srugghno nivāso 'sya sraugghnaḥ //	sruc-hnaH nivAsaH asya srOc-hnaH //
   tena proktam // VLk_1111 = P_4,3.101 //	tena proktam // VLk-_1111  P_4,3.101 //
   pāṇininā proktaṃ pāṇinīyam //	pANininA proktam pANinIyam //
   tasyedam // VLk_1112 = P_4,3.120 //	tasya-idam // VLk-_1112  P_4,3.120 //
   upagoridam aupagavam //	upagoH-idam Opagavam //
   iti śaiṣikāḥ // 5 //	iti SEzikAH // 5 //
   atha vikārārthakāḥ	aTa vikAra-arTakAH
   tasya vikāraḥ // VLk_1113 = P_4,3.134 //	tasya vikAraH // VLk-_1113  P_4,3.134 //
   (aśmano vikāre ṭilopo vaktavyaḥ) / aśmano vikāraḥ āśmaḥ / bhāsmanaḥ /	(aSmanaH vikAre wi-lopaH vaktavyaH) / aSmanaH vikAraH ASmaH / BAsmanaH /
   mārttikaḥ //	mArttikaH //
   avayave ca prāṇyoṣadhivṛkṣebhyaḥ // VLk_1114 = P_4,3.135 //	avayave ca prANi-ozaDi-vRkzeByaH // VLk-_1114  P_4,3.135 //
   cādvikāre / mayūrasyāvayavo vikāro vā māyūraḥ / maurvaṃ kāṇḍaṃ bhasma vā /	cAt-vikAre / mayUrasya-avayavaH vikAraH vA mAyUraH / mOrvam kANxam Basma vA /
   paippalam //	pEppalam //
   mayaḍvaitayorbhāṣāyāmabhakṣyācchādanayoḥ // VLk_1115 = P_4,3.143 //	mayaxva-etayoH-BAzAyAm-aBakzya-AcCAdanayoH // VLk-_1115  P_4,3.143 //
   prakṛtimātrānmayaḍvā syāt vikārāvayavayoḥ/ aśmamayam, āśmanam/	prakRti-mAtrAt-mayaxvA syAt vikAra-avayavayoH/ aSma-mayam, ASmanam/
   abhakṣyetyādi kim? maudgaḥ sūpaḥ/ kārpāsamācchādanam //	aBakzya-ityAdi kim? mOdgaH sUpaH/ kArpAsam-AcCAdanam //
   nityaṃ vṛddhaśarādibhyaḥ // VLk_1116 = P_4,3.144 //	nityam vRdDa-Sara-AdiByaH // VLk-_1116  P_4,3.144 //
   āmramayam / śaramayam //	Amra-mayam / Sara-mayam //
   gośca purīṣe // VLk_1117 = P_4,3.145 //	goH-ca purIze // VLk-_1117  P_4,3.145 //
   goḥ purīṣaṃ gomayam //	goH purIzam gomayam //
   gopayasoryat // VLk_1118 = P_4,3.160 //	go-payasoH-yat // VLk-_1118  P_4,3.160 //
   gavyam / payasyam //	gavyam / payasyam //
   iti vikārārthāḥ / (prāgdīvyatīyāḥ) // 6 //	iti vikAra-arTAH / (prAgdIvyatIyAH) // 6 //
   atha ṭhagadhikāraḥ	aTa WagaDikAraH
   prāgvahateṣṭhak // VLk_1119 = P_4,4.1 //	prAk-vahatezWak // VLk-_1119  P_4,4.1 //
   tadvahatītyataḥ prāk ṭhagadhikriyate //	tat-vahati-iti-atas prAk WagaDikriyate //
   tena dīvyati khanati jayati jitam // VLk_1120 = P_4,4.2 //	tena dIvyati Kanati jayati jitam // VLk-_1120  P_4,4.2 //
   akṣairdīvyati khanati jayati jito vā ākṣikaḥ //	akzEH-dIvyati Kanati jayati jitaH vA AkzikaH //
   saṃskṛtam // VLk_1121 = P_4,4.3 //	saMskRtam // VLk-_1121  P_4,4.3 //
   dadhnā saṃskṛtam dādhikam / mārīcikam //	daDnA saMskRtam dADikam / mArIcikam //
   tarati // VLk_1122 = P_4,4.5 //	tarati // VLk-_1122  P_4,4.5 //
   tenetyeva / uḍupena tarati auḍupikaḥ //	tena-iti-eva / uxupena tarati OxupikaH //
   carati // VLk_1123 = P_4,4.8 //	carati // VLk-_1123  P_4,4.8 //
   tṛtīyāntādgacchati bhakṣayatītyarthayoṣṭhak syāt / hastinā carati hāstikaḥ	tRtIyA-antAt-gacCati Bakzayati-iti-arTayozWac syAt / hastinA carati hAstikaH
   / dadhnā carati dādhikaḥ //	/ daDnA carati dADikaH //
   saṃsṛṣṭe // VLk_1124 = P_4,4.22 //	saMsRzwe // VLk-_1124  P_4,4.22 //
   dadhnā saṃsṛṣṭaṃ dādhikam //	daDnA saMsRzwam dADikam //
   uñchati // VLk_1125 = P_4,4.32 //	uQCati // VLk-_1125  P_4,4.32 //
   badarāṇyuñchati bādarikaḥ //	badarANi-uQCati bAdarikaH //
   rakṣati // VLk_1126 = P_4,4.33 //	rakzati // VLk-_1126  P_4,4.33 //
   samājaṃ rakṣati sāmājikaḥ //	samAjam rakzati sAmAjikaH //
   śabdadarduraṃ karoti // VLk_1127 = P_4,4.34 //	Sabda-darduram karoti // VLk-_1127  P_4,4.34 //
   śabdaṃ karoti śābdikaḥ / darduraṃ karoti dārdurikaḥ //	Sabdam karoti SAbdikaH / darduram karoti dArdurikaH //
   dharmaṃ carati // VLk_1128 = P_4,4.41 //	Darmam carati // VLk-_1128  P_4,4.41 //
   dhārmikaḥ (adharmācceti vaktavyam) / ādharmikaḥ //	DArmikaH (aDarmAt-ca-iti vaktavyam) / ADarmikaH //
   śilpam // VLk_1129 = P_4,4.55 //	Silpam // VLk-_1129  P_4,4.55 //
   mṛdaṅgavādanaṃ śilpamasya mārdaṅgikaḥ //	mRdaFga-vAdanam Silpam-asya mArdaFgikaH //
   praharaṇam // VLk_1130 = P_4,4.57 //	praharaNam // VLk-_1130  P_4,4.57 //
   tadasyetyeva / asiḥ praharaṇamasya āsikaḥ / dhānuṣkaḥ //	tat-asya-iti-eva / asiH praharaNam-asya AsikaH / DAnuzkaH //
   śīlam // VLk_1131 = P_4,4.61 //	SIlam // VLk-_1131  P_4,4.61 //
   apūpabhakṣaṇaṃ śīlamasya āpūpikaḥ //	apUpa-BakzaNam SIlam-asya ApUpikaH //
   nikaṭe vasati // VLk_1132 = P_4,4.73 //	nikawe vasati // VLk-_1132  P_4,4.73 //
   naikaṭiko bhikṣukaḥ //	nEkawikaH BikzukaH //
   iti ṭhagadhikāraḥ / (prāgvahatīyāḥ) // 7 //	iti WagaDikAraH / (prAk-vahatIyAH) // 7 //
   atha yadadhikāraḥ	aTa yat-aDikAraH
   prāgghitādyat // VLk_1133 = P_4,4.75 //	prAk-hitAt-yat // VLk-_1133  P_4,4.75 //
   tasmai hitamityataḥ prāg yadadhikriyate //	tasmE hitam-iti-atas prAk yat-aDikriyate //
   tadvahati rathayugaprāsaṅgam // VLk_1134 = P_4,4.76 //	tat-vahati raTa-yuga-prAsaFgam // VLk-_1134  P_4,4.76 //
   rathaṃ vahati rathyaḥ / yugyaḥ / prāsaṅgyaḥ //	raTam vahati raTyaH / yugyaH / prAsaFgyaH //
   dhuro yaḍḍhakau // VLk_1135 = P_4,4.77 //	DuraH yaxXakO // VLk-_1135  P_4,4.77 //
   hali ceti dīrghe prāpte - .	hali ca-iti dIrGe prApte  .
   na bhakurchurām // VLk_1136 = P_8,2.79 //	na BakuH-SurAm // VLk-_1136  P_8,2.79 //
   bhasya kurchuroścopadhāyā iko dīrgho na syāt / dhuryaḥ / dhaureyaḥ //	Basya kurCuroH-ca-upaDAyAH ikaH dIrGaH na syAt / DuryaH / DOreyaH //
   nauvayodharmaviṣamūlamūlasītātulābhyastāryatulyaprāpyavadhyānāmyasamasamitasaṃmiteṣu	nOvayaH-Darma-viza-mUla-mUla-sItA-tulAByaH-tArya-tulya-prApya-vaDyAnAmi-asama-samita-saMmitezu
   // VLk_1137 = P_4,4.91 //	// VLk-_1137  P_4,4.91 //
   nāvā tāryaṃ nāvyaṃ jalam / vayasā tulyo vayasyaḥ / dharmeṇa prāpyaṃ	nAvA tAryam nAvyam jalam / vayasA tulyaH vayasyaH / DarmeNa prApyam
   dharmyam / viṣeṇa vadhyo viṣyaḥ / mūlena ānāmyaṃ mūlyam / mūlena samo	Darmyam / vizeNa vaDyaH vizyaH / mUlena AnAmyam mUlyam / mUlena samaH-
   mūlyaḥ / sītayā samitaṃ sītyaṃ kṣetram / tulayā saṃmitam tulyam //	mUlyaH / sItayA samitam sItyam kzetram / tulayA saMmitam tulyam //
   tatra sādhuḥ // VLk_1137 = P_4,4.98 //	tatra sADuH // VLk-_1137  P_4,4.98 //
   agre sādhuḥ - agryaḥ / sāmasu sādhuḥ sāmanyaḥ / ye cābhāvakarmaṇoriti	agre sADuH  agryaH / sAmasu sADuH sAmanyaH / ye ca-aBAva-karmaNoH-iti
   prakṛti bhāvaḥ / karmaṇyaḥ / śaraṇyaḥ //	prakRti BAvaH / karmaNyaH / SaraNyaH //
   sabhāyā yaḥ // VLk_1139 = P_4,4.105 //	saBAyAH yaH // VLk-_1139  P_4,4.105 //
   sabhyaḥ //	saByaH //
   iti yato 'vadhiḥ / (prāgghitīyāḥ) // 8 //	iti yatas avaDiH / (prAk-hitIyAH) // 8 //
   atha chayatoradhikāraḥ	aTa CayatoH-aDikAraH
   prāk krītācchaḥ // VLk_1140 = P_5,1.1 //	prAk krIta-acCaH // VLk-_1140  P_5,1.1 //
   tena krītamityataḥ prāk cho 'dhikriyate //	tena krItam-iti-atas prAk CaH aDikriyate //
   ugavādibhyo yat // VLk_1141 = P_5,1.2 //	ugavAdiByaH yat // VLk-_1141  P_5,1.2 //
   prāk krītādityeva / uvarṇāntādgavādibhyaśca yat syāt / chasyāpavādaḥ /	prAk krItAt-iti-eva / uvarNa-antAt-gava-AdiByaH-ca yat syAt / Casya-apavAdaH /
   śaṅkave hitaṃ śaṅkavyaṃ dāru / gavyam / (nābhi nabhaṃ ca) / nabhyo 'kṣaḥ /	SaFkave hitam SaFkavyam dAru / gavyam / (nABi naBam ca) / naByaH akzaH /
   nabhyamañjanam //	naByam-aQjanam //
   tasmai hitam // VLk_1142 = P_5,1.5 //	tasmE hitam // VLk-_1142  P_5,1.5 //
   vatsebhyo hito vatsīyo godhuk //	vatseByaH hitaH vatsIyaH goDuk //
   śarīrāvayavādyat // VLk_1143 = P_5,1.6 //	SarIra-avayavAt-yat // VLk-_1143  P_5,1.6 //
   dantyam / kaṇṭhyam / nasyam //	dantyam / kaNWyam / nasyam //
   ātmanviśvajanabhogottarapadātkhaḥ // VLk_1144 = P_5,1.9 //	Atman-viSva-jana-Boga-uttara-padAt-KaH // VLk-_1144  P_5,1.9 //
   ātmādhvānau khe // VLk_1145 = P_6,4.169 //	Atma-aDvAnO Ke // VLk-_1145  P_6,4.169 //
   etau khe prakṛtyā staḥ / ātmane hitam ātmanīnam / viśvajanīnam /	etO Ke prakRtyA staH / Atmane hitam AtmanInam / viSvajanInam /
   mātṛbhogīṇaḥ //	mAtR-BogINaH //
   iti chayatoravadhiḥ / (prākkrītīyāḥ) // 9 //	iti CayatoH-avaDiH / (prAk-krItIyAH) // 9 //
   atha ṭhañadhikāraḥ	aTa WaQaDikAraH
   prāgvateṣṭhañ // VLk_1146 = P_5,1.18 //	prAgvatezWan // VLk-_1146  P_5,1.18 //
   tena tulyamiti vatiṃ vakṣyati, tataḥ prāk ṭhañadhikriyate //	tena tulyam-iti vatim vakzyati, tatas prAk WaQaDikriyate //
   tena krītam // VLk_1147 = P_5,1.37 //	tena krItam // VLk-_1147  P_5,1.37 //
   saptatyā krītaṃ sāptatikam / prāsthikam //	saptatyA krItam sAptatikam / prAsTikam //
   sarvabhūmipṛthivībhyāmaṇañau // VLk_1148 = P_5,1.41 //	sarva-BUmi-pRTivIByAm-aNaQO // VLk-_1148  P_5,1.41 //
   tasyeśvaraḥ // VLk_1149 = P_5,1.42 //	tasya-ISvaraH // VLk-_1149  P_5,1.42 //
   sarvabhūmipṛthivībhyāmaṇañau staḥ / anuśatikādīnāṃ ca / sarvabhūmerīśvaraḥ	sarva-BUmi-pRTivIByAm-aNaQO staH / anuSatika-AdInAm ca / sarva-BUmeH-ISvaraH
   sārvabhaumaḥ / pārthivaḥ //	sArvaBOmaH / pArTivaH //
   paṅktiviṃśatitriṃśaccatvāriṃśatpañcāśatṣaṣṭisaptatyaśītinavatiśatam //	paFktiviMSati-triMSat-catvAriMSat-paQcASat-zazwi-saptati-aSItinavati-Satam //
   VLk_1150 = P_5,1.59 //	VLk-_1150  P_5,1.59 //
   ete rūḍhiśabdā nipātyante //	ete rUXi-SabdAH nipAtyante //
   tadarhati // VLk_1151 = P_5,1.63 //	tat-arhati // VLk-_1151  P_5,1.63 //
   labdhuṃ yogyo bhavatītyarthe dvitīyāntāṭṭhañādayaḥ syuḥ /	labDum yogyaH Bavati-iti-arTe dvitIya-antAwWaQA-AdayaH syuH /
   śvetacchatramarhati śvaitacchatrikaḥ //	Sveta=-Catram-arhati SvEtat-CatrikaH //
   daṇḍādibhyo yat // VLk_1152 = P_5,1.66 //	daNxa-AdiByaH yat // VLk-_1152  P_5,1.66 //
   ebhyo yat syāt / daṇḍamarhati daṇḍyaḥ / arghyaḥ / vadhyaḥ //	eByaH yat syAt / daNxam-arhati daNxyaH / arGyaH / vaDyaH //
   tena nirvṛttam // VLk_1153 = P_5,1.79 //	tena nirvRttam // VLk-_1153  P_5,1.79 //
   ahnā nirvṛttam āhnikam //	ahnA nirvRttam Ahnikam //
   iti ṭhaño 'vadhiḥ / (prāgvatīyāḥ) // 10 //	iti WaQaH avaDiH / (prAgvatIyAH) // 10 //
   atha tvataloradhikāraḥ	aTa tu-ataloH-aDikAraH
   tena tulyaṃ kriyā cedvatiḥ // VLk_1154 = P_5,1.115 //	tena tulyam kriyA ced-vatiH // VLk-_1154  P_5,1.115 //
   brāhmaṇena tulyaṃ brāhmaṇavat adhīte / kriyā cediti kim ? guṇatulye mā	brAhmaNena tulyam brAhmaNa-vat aDIte / kriyA ced-iti kim ? guNa-tulye mA
   bhūt / putreṇa tulyaḥ sthūlaḥ //	BUt / putreNa tulyaH sTUlaH //
   tatra tasyeva // VLk_1155 = P_5,1.116 //	tatra tasya-iva // VLk-_1155  P_5,1.116 //
   mathurāyāmiva mathurāvat srugdhne prakāraḥ / caitrasyeva	maTurAyAm-iva maTurA-vat srugDne prakAraH / cEtrasya-iva
   caitravanmaitrasya gāvaḥ //	cEtra-vat-mEtrasya gAvaH //
   tasya bhāvastvatalau // VLk_1156 = P_5,1.119 //	tasya BAvaH-tu-atalO // VLk-_1156  P_5,1.119 //
   prakṛtijanyabodhe prakāro bhāvaḥ / gorbhāvo gotvam / gotā / tvāntaṃ klībam	prakRti-janya-boDe prakAraH BAvaH / gorBAvaH go-tvam / gotAH / tvA-antam klIbam
   ā ca tvāt // VLk_1157 = P_5,1.120 //	A ca tvAt // VLk-_1157  P_5,1.120 //
   brahmaṇastva ityataḥ prāk tvatalāvadhikriyete / apavādaiḥ saha	brahmaNaH-tvaH iti-atas prAk tu-atala-avaDikriyete / apavAdEH saha
   samāveśārthamidam / cakāro nañsnañbhyāmapi samāveśārthaḥ / striyā bhāvaḥ -	samAveSa-arTam-idam / cakAraH naQsnaQByAm-api samAveSa-arTaH / striyAH BAvaH -
   straiṇam / strītvam / strītā / pausnam / puṃstvam / puṃstā //	strENam / strI-tvam / strItAH / pOsnam / puMstvam / puMstA //
   pṛthvādibhya imanijvā // VLk_1158 = P_5,1.122 //	pRTu-AdiByaH imanijvA // VLk-_1158  P_5,1.122 //
   vāvacanamaṇādisamāveśārtham //	vAvacana-maNa-Adi-samAveSa-arTam //
   ra ṛto halāderlaghoḥ // VLk_1159 = P_6,4.161 //	raH RtaH halAdeH-laGoH // VLk-_1159  P_6,4.161 //
   halāderlaghorṛkārasya raḥ syādiṣṭheyassu parataḥ /	hala-AdeH-laGA-UrRkArasya raH syAt-izWeyassu paratas /
   pṛthumṛdubhṛśakṛśadṛḍhaparivṛḍhā nāmeva ratvam //	pRTu-mRdu-BRSa-kRSa-dRXa-parivRXA nAma-iva ratvam //
   ṭeḥ // VLk_1160 = P_6,4.155 //	weH // VLk-_1160  P_6,4.155 //
   bhasya ṭerlopa iṣṭhemeyassu / pṛthorbhāvaḥ prathimā - .	Basya weH-lopaH izWemeyassu / pRToH-BAvaH praTimA  .
   igantācca laghupūrvāt // VLk_1161 = P_5,1.131 //	igantAt-ca laGu-pUrvAt // VLk-_1161  P_5,1.131 //
   igantāllaghupūrvāt prātipadikādbhāve 'ṇ pratyayaḥ / pārthavam / mradimā,	igantAt-laGu-pUrvAt prAtipadikAt-BAve aN pratyayaH / pArTavam / mradimA,
   mārdavam //	mArdavam //
   varṇadṛḍhādibhyaḥ ṣyañca // VLk_1162 = P_5,1.123 //	varNa-dRXa-AdiByaH zyaQca // VLk-_1162  P_5,1.123 //
   cādimanic / śauklyam / śuklimā / dārḍhyam / draḍhimā //	ca-Adimanic / SOklyam / SuklimA / dArXyam / draXimA //
   guṇavacanabrāhmaṇādibhyaḥ karmaṇi ca // VLk_1163 = P_5,1.124 //	guNa-vacana-brAhmaNa-AdiByaH karmaNi ca // VLk-_1163  P_5,1.124 //
   cādbhāve / jaḍasya bhāvaḥ karma vā jāḍyam / mūḍhasya bhāvaḥ karma vā	ca-adBAve / jaxasya BAvaH karma vA jAxyam / mUXasya BAvaH karma vA
   mauḍhyam / brāhmaṇyam / ākṛtigaṇo 'yam //	mOXyam / brAhmaNyam / AkRti-gaNaH ayam //
   sakhyuryaḥ // VLk_1164 = P_5,1.126 //	saKyuH-yaH // VLk-_1164  P_5,1.126 //
   sakhyurbhāvaḥ karma vā sakhyam //	saKyuH-BAvaH karma vA saKyam //
   kapijñātyorḍhak // VLk_1165 = P_5,1.127 //	kapi-jQAtyoH-Xak // VLk-_1165  P_5,1.127 //
   kāpeyam / jñāteyam /	kApeyam / jQAtA-iyam /
   patyantapurohitādibhyo yak // VLk_1166 = P_5,1.128 //	pati-anta-purohita-AdiByaH yak // VLk-_1166  P_5,1.128 //
   saināpatyam / paurohityam //	sEnApatyam / pOrohityam //
   iti tvataloradhikāraḥ // 11 //	iti tu-ataloH-aDikAraH // 11 //
   atha bhavanādyarthakāḥ	aTa Bavana-Adi-arTakAH
   dhānyānāṃ bhavane kṣetre khañ // VLk_1167 = P_5,2.1 //	DAnyAnAm Bavane kzetre Kan // VLk-_1167  P_5,2.1 //
   bhavatyasminniti bhavanam / mudgānāṃ bhavanaṃ kṣetraṃ maudgīnam //	Bavati-asmin=-iti Bavanam / mudgAnAm Bavanam kzetram mOdgInam //
   vrīhiśālyorḍhak // VLk_1168 = P_5,2.2 //	vrIhi-SAlyoH-Xak // VLk-_1168  P_5,2.2 //
   vraiheyam / śāleyam //	vrEheyam / SAleyam //
   haiyaṅgavīnaṃ saṃjñāyām // VLk_1169 = P_5,2.23 //	hEyaFgavInam saMjQAyAm // VLk-_1169  P_5,2.23 //
