   Kṣemendraviracitā	Kzema indra viracitA
   yena janmāntare prāpuste svecchāsadṛśaṃ phalam // KAvk_44.57 //	yena janma antare prApuH te sva icCA sadRSam Palam // Ka avc _44.57 //
   dhanaṃ paśyati lobhāndhaḥ kridhāndhaḥ śatrumeva ca /	Danam paSyati loBa anDaH kriDAnDaH Satrum eva ca /
   kāmāndhah kāminīmeva darpāndhastu na kiṃcana // KAvk_44.58 //	kAma anDah kAminIm eva darpa anDaH tu na kiMcana // Ka avc _44.58 //
   dhanidbhūtavikārāṇāṃ prayātyaniyatātmanām /	DanidBUta vikArANAm prayAti aniyata AtmanAm /
   madamandavicārāṇāmānandaḥ kleśabandhatām // KAvk_44.59 //	mada manda vicArANAm AnandaH kleSa banDa tAm // Ka avc _44.59 //
   krudhyantyakāraṇamakāraṇamutpatanti snihyantyakāraṇamakāraṇamāmananti /	kruDyanti akAraNam akAraNam utpatanti snihyanti akAraNam akAraNam Amananti /
   mohāhatāḥ khalu hitāhitanirvicārāḥ tṛptāḥ paraṃ nṛpaśavaḥ samadā bhavanti	moha AhatAH Kalu hita ahita nirvicArAH tRptAH param nRpa SavaH sa madAH Bavanti
   // KAvk_44.60 //	// Ka avc _44.60 //
   jyeṣṭhaḥ śreṣṭhisutaḥ pāpātsa evāparajanmani /	jyezWaH SrezWi sutaH pApAt saH eva apara janmani /
   śāriryānābhidhaḥ śākyaḥ pītvā madyaṃ vyapadyata // KAvk_44.61 //	SAriH yAna aBiDaH SAkyaH pItvA madyam vyapadyate // Ka avc _44.61 //
   dvitīyo 'pi mahānnāma śākyastoye kṣayaṃ gataḥ /	dvitIyaH api mahAn nAma SAkyaH toye kzayam gataH /
   tṛtīyaśca svaputreṇa vyasto rājā prasenajit // KAvk_44.62 //	tRtIyaH ca sva putreNa vyastaH rAjA prasenajit // Ka avc _44.62 //
   bimbisāraścaturtho 'sau dhṛtaḥ putreṇa bandhane /	bimbisAraH caturTaH asO DRtaH putreNa banDane /
   prayuktaṃ dhanavatkarma bhujyate hi savṛddhikam // KAvk_44.63 //	prayuktam Dana vat karma Bujyate hi sa vRdDikam // Ka avc _44.63 //
   mohāhatairiha hi sadbhirasadbhireṣāṃ niḥśarma karma sahasaiva viḍambyate	moha AhatEH iha hi sadBiH asadBiH ezAm niHSarma karma sahasA eva vixambyate
   yat /	yat /
   bāṣpāmbupūrṇanayanairanayopanītaḥmastokaśokavivaśairanubhūyate 'tra //	bAzpa ambu pUrNa nayanEH anaya upanItaHmastoka Soka vivaSEH anuBUyate atra //
   KAvk_44.64 // KAvk_44.//	KAvc _44.64 // Ka avc _44.//
   sugatakathitametat pūrvajanmapravṛttaṃ viṣaviṣamavipākaṃ bimbisārasya	sugata kaTitam etat pUrva janma pravRttam viza vizama vipAkam bimbisArasya
   vṛttam /	vRttam /
   vibudhasadasi bhikṣuḥ spaṣṭamākarṇya mene vyasanaśatanimittaṃ dūṣitaṃ	vibuDa sadasi BikzuH spazwam AkarNya mene vyasana Sata nimittam dUzitam
   cittameva // KAvk_44.65 //	cittam eva // Ka avc _44.65 //
   iti kṣemendraviracitāyām	iti kzema indra viracitAyAm
   bodhisattvāvadānakalpalatāyāmajātaśatrupitṛdrodāvadānaṃ nāma	boDisattvAvadAnakalpalatAyAmajAtaSatrupitR drodAvadAnam nAma
   catuścatvāriṃśaḥ pallavaḥ //	catuScatvAriMSaH pallavaH //
   45. kṛtajñāvadānam /	45. kRtajQa avadAnam /
   andhīkṛto 'pi svadṛśā tamasā khalena lakṣmīvihāravirahe vinipātito 'pi /	anDIkRtaH api sva dRSA tamasA Kalena lakzmI vihAra virahe vinipAtitaH api /
   kaṣṭāṃ daśāmiva niśāmativāhya padmaḥ svāmeva saṃpadamupaiti punarguṇāḍhyaḥ	kazwAm daSAm iva niSAm ativAhya padmaH svAm eva saMpadam upEti punar guNa AXyaH
   // KAvk_45.1 //	// Ka avc _45.1 //
   śrāvastyāṃ sugate jetavanodyānavihāriṇi /	SrAvastyAm sugate jetavana udyAna vihAriNi /
   devadattaḥ paridveṣavyādhivyāpto vyacintayat // KAvk_45.2 //	devadattaH paridveza vyADi vyAptaH vyacintayat // Ka avc _45.2 //
   tulyaḥ samāno me bhrātā manuṣyaḥ śākyavaṃśajaḥ /	tulyaH samAnaH me BrAtA manuzyaH SAkya vaMSa jaH /
   prāptaḥ puṇyaprabhāveṇa trijagatpūjyatāṃ jinaḥ // KAvk_45.3 //	prAptaH puNya praBAveNa trijagat pUjyatAm jinaH // Ka avc _45.3 //
   jīvitodvṛttaye tasmāt taysya yatnaṃ karomyaham /	jIvita udvRttaye tasmAt taysya yatnam karomi aham /
   na hyanastaṃgate bhānau paratejaḥ prakāśate // KAvk_45.4 //	na hi anastaMgate BAnO para tejaH prakASate // Ka avc _45.4 //
   vijñānenānubhāvena vidyayā tapasā śriyā /	vijQAnena anuBAvena vidyayA tapasA SriyA /
   paraprakarṣaṃ sahate na hi mānonnataṃ manah // KAvk_45.5 //	para prakarzam sahate na hi mAna unnatam manah // Ka avc _45.5 //
   viṣaṃ nijanakhāgreṣu dhṛtvā tasya praṇāmakṛt /	vizam nija naKa agrezu DRtvA tasya praNAma kRt /
   saṃcārayāmi vapuṣi nediṣṭhaḥ pādapīḍaṇaiḥ // KAvk_45.6 //	saMcArayAmi vapuzi nedizWaH pAda pIxaNEH // KAvc _45.6 //
   iti saṃcintya kaluṣaṃ vidveṣavivaśaḥ khalah /	iti saMcintya kaluzam vidveza vivaSaH Kalah /
   sa tiṣyapramukhānetya bāndhavānidamabhyadhāt // KAvk_45.7 //	sa tizya pramuKAn etya bAnDavAn idam aByaDAt // Ka avc _45.7 //
   krūraḥ kṛtāpakāro 'haṃ sugatasyādya pādayoḥ /	krUraH kRta apakAraH aham sugatasya adya pAdayoH /
   saralasya prasādāya ptāmi gurupātakah // KAvk_45.8 //	saralasya prasAdAya ptAmi guru pAtakah // Ka avc _45.8 //
   iti bruvāṇastaiḥ sarvaiḥ sudattānumataiḥ saha /	iti bruvANaH tEH sarvEH su datta anumatEH saha /
   jinaṃ jetavanāsīnaṃ draṣṭuṃ duṣṭamatiryayau // KAvk_45.9 //	jinam jetavana AsInam drazwum duzwa matiH yayO // Ka avc _45.9 //
   bhagavantaṃ vilokyābhūttatra yāvatsa sarvaśaḥ /	Bagavantam vilokya aBUt tatra yAvat sa sarvaSas /
   tāvaddagdho 'hamityuccairutkṣiptacaraṇo 'vadat // KAvk_45.10 //	tAvat dagDaH aham iti uccEs utkzipta caraNaH avadat // Ka avc _45.10 //
   huiṃsāsaṃkalpapāpena vrajreṇeva samāhataḥ /	huiMsA saMkalpa pApena vrajreNa iva samAhataH /
   saśarīraṃ kṣaṇe tasmin narakāgnau papāta saḥ // KAvk_45.11 //	sa SarIram kzaNe tasmin naraka agnO papAta saH // Ka avc _45.11 //
   sarvajñaḥ sahasā dṛṣṭvā taṃ ghoranarake cyutam /	sarvajQaH sahasA dRzwvA tam Gora narake cyutam /
   uvāca śrutatadvṛttavismitāṃ bhikṣusaṃsadam // KAvk_45.12 //	uvAca Sruta tad vRtta vismitAm Bikzu saMsadam // Ka avc _45.12 //
   eṣa kilbiṣadoṣeṇa patitaḥ kleśasaṃkaṭe /	eza kilbiza dozeNa patitaH kleSa saMkawe /
   tīvram hi timira sūte sarvathā malinaṃ manaḥ // KAvk_45.13 //	tIvram hi timira sUte sarvaTA malinam manaH // Ka avc _45.13 //
   nagaryāmatighoṣāyāṃ ratisomasya bhūpateḥ /	nagaryAm ati GozAyAm rati somasya BUpateH /
   kṛtajñaścākṛtajñaśca purā putrau babhūvatuḥ // KAvk_45.14 //	kRtajQaH ca akRtajQaH ca purA putrO baBUvatuH // Ka avc _45.14 //
   kṛtajñaḥ kṛpayārthibhyaḥ kalpavṛkṣaḥ ivāniśam /	kRtajQaH kRpayA arTiByaH kalpavRkzaH iva aniSam /
   nijaṃ vimucya pradadau ratnābharaṇasaṃcayam // KAvk_45.15 //	nijam vimucya pradadO ratna ABaraNa saMcayam // Ka avc _45.15 //
   avibhaktaṃ piturdravyaṃ sarvaṃ sādhāraṇaṃ tayoḥ /	aviBaktam pituH dravyam sarvam sADAraNam tayoH /
   vadannityakṛtajñpo 'pi ten adattaḥ jahat tat // KAvk_45.16 //	vadat nitya kRta jQpaH api tet adattaH jahat tat // Ka avc _45.16 //
   tataḥ ślādhyāya vacasā matighoṣābhodho nṛpaḥ /	tatas SlADyAya vacasA mati Goza ABoDaH nRpaH /
   janakalyānikāṃ nāma kṛtajñāya sutāṃ dadau // KAvk_45.17 //	janakalyAnikAm nAma kRtajQAya sutAm dadO // Ka avc _45.17 //
   svayamevārjitaṃ vittaṃ dātuṃ jātamanorathaḥ /	svayam eva arjitam vittam dAtum jAta manoraTaH /
   āruroham pravahaṇaṃ kṛtajño 'tha mahodadhau // KAvk_45.18 //	Aruroham pravahaNam kRtajQaH aTa mahA udaDO // Ka avc _45.18 //
   ratnārjanodyataṃ yāntaṃ taṃ dveṣaspardhitādaraḥ /	ratna arjana udyatam yAntam tam dveza sparDita AdaraH /
   tamevānuyayau lobhādakṛtajño 'pi durjanaḥ // KAvk_45.19 //	tam eva anuyayO loBAt akRtajQaH api durjanaH // Ka avc _45.19 //
   saṃpūrṇaṃ vaṇijāṃ sārthaiḥ tataḥ pravahaṇaṃ śanaiḥ /	saMpUrNam vaNijAm sArTEH tatas pravahaNam SanEs /
   ānukūlyena matutāmavāpa dvīpamīpsitam // KAvk_45.20 //	AnukUlyena matu tAm avApa dvIpam Ipsitam // Ka avc _45.20 //
   tasmin pratinivṛtte 'tha svadeśaṃ gantumudyate /	tasmin pratinivRtte aTa sva deSam gantum udyate /
   ratnarāśibhirāpūrṇasaṃklape svadeśaṃ gantumudyate // KAvk_45.21 //	ratna rASiBiH ApUrNa saMklape sva deSam gantum udyate // KAvc _45.21 //
   kṛtajñaḥ pṛthivīmūlyaṃ ratnānāṃ śatapaḥñcakam /	kRtajQaH pRTivI mUlyam ratnAnAm SatapaHQcakam /
   ādāya granthipaṭṭena babandhāṃśukapallave // KAvk_45.22 //	AdAya granTi pawwena babanDa aMSuka pallave // Ka avc _45.22 //
   ratnabhārapariśrāntaṃ tataḥ pravahaṇaṃ mahat /	ratna BAra pariSrAntam tatas pravahaNam mahat /
   abhajyata mahāvātairaiśvaryamiva durnayaiḥ // KAvk_45.23 //	aBajyata mahA vAtEH ESvaryam iva durnayEH // KAvc _45.23 //
   tataḥ phalakavāhastaṃ kṛtajñaḥ prāptajīvitaḥ /	tatas PalakavAhaH tam kRtajQaH prApta jIvitaH /
   akṛtajñaṃ nimajjantaṃ pṛṣṭhena samatārayat // KAvk_45.24 //	akRtajQam nimajjantam pRzWena samatArayat // Ka avc _45.24 //
   tāritaḥ kṛpayā bhrātrā sa ghoramakarākarāt /	tAritaH kRpayA BrAtrA sa Gora makara AkarAt /
   apaśyadañcale tasya ruciraṃ ratnasaṃcayam // KAvk_45.25 //	apaSyat aQcale tasya ruciram ratna saMcayam // Ka avc _45.25 //
   sa tasya ratnalobhena dveṣena ca vaśīkṛtaḥ /	sa tasya ratna loBena dvezena ca vaSIkRtaH /
   samudratīre śrāntasya bhrāturdrohamacintayat // KAvk_45.26 //	samudra tIre SrAntasya BrAtuH droham acintayat // Ka avc _45.26 //
   tasya nidrānilīnasya śastreṇotpāṭya locanam /	tasya nidrA nilInasya SastreNa utpAwya locanam /
   gṛhītvā ratnanicayaṃ kṛtaghnaḥ sa yayau javāt // KAvk_45.27 //	gRhItvA ratna nicayam kRtaGnaH sa yayO javAt // Ka avc _45.27 //
   krūreṇāṅgīkṛtastena rāhuṇeva divākara /	krUreNa aFgIkRtaH tena rAhuNA iva divAkara /
   lokopakāravihato duḥkhitaḥ so 'pyacintayat // KAvk_45.28 //	loka upakAra vihataH duHKitaH saH api acintayat // Ka avc _45.28 //
   adhunārthipradāne 'rthe vyarthībhūte manorathe /	aDunA arTi pradAne arTe vyarTIBUte manoraTe /
   kiṃ mamāndhasya vandhyena jīvitena prayojanam // KAvk_45.29 //	kim mama anDasya vanDyena jIvitena prayojanam // Ka avc _45.29 //
   aprāptaviṣayāḥ prāṇā na prayānti yadi kṣayam /	aprApta vizayAH prANAH na prayAnti yadi kzayam /
   tadasaṃgatayo yogāḥ kleśaynti kṣyakṣamāḥ // KAvk_45.30 //	tad asaMgatayaH yogAH kleSaynti kzya kzamAH // Ka avc _45.30 //
   kṣaṇe dhane jane dveṣamānavaikalyavihvale /	kzaNe Dane jane dveza mAna vEkalya vihvale /
   pūjye puṃsāṃ samenaiva śeṣasya ca yaśovyayaḥ // KAvk_45.31 //	pUjye puMsAm samena eva Sezasya ca yaSaH vyayaH // Ka avc _45.31 //
   iti saṃcintya sa śanairvrajansārthena tāritaḥ /	iti saMcintya sa SanEs vrajan sArTena tAritaH /
   avāpa nagaropāntaṃ matighoṣasya bhūpateḥ // KAvk_45.32 //	avApa nagara upAntam mati Gozasya BUpateH // Ka avc _45.32 //
   gopālabhavane tatra sa kaṃcitkālamāsthitaḥ /	gopAla Bavane tatra sa kaMcid kAlam AsTitaH /
   udyānayātrāgatayā rājaputryā vilokitah // KAvk_45.33 //	udyAna yAtrA gatayA rAja putryA vilokitah // Ka avc _45.33 //
   taṃ dṛṣṭvāndhamapi vyaktarājalakśaṇalakṣitam /	tam dRzwvA anDam api vyakta rAja lakSaNa lakzitam /
   prāgjanmapremabandhena sābhilāṣā babhūva sā // KAvk_45.34 //	prAc janma prema banDena sa aBilAzA baBUva sA // Ka avc _45.34 //
   tataḥ svayaṃvaravidhiṃ sā kṛtvā śāsanātpituḥ /	tatas svayaMvara viDim sA kRtvA SAsanAt pituH /
   rājñāṃ madhye ca mānyānāṃ vavre vigatalocanam // KAvk_45.35 //	rAjQAm maDye ca mAnyAnAm vavre vigata locanam // Ka avc _45.35 //
   bhūmipālān parityajya vṛto 'ndhaḥ pāpayā tvayā /	BUmipAlAn parityajya vRtaH anDaH pApayA tvayA /
   uktveti pitrā kopena nirastā śuśubhe na sā // KAvk_45.36 //	uktvA iti pitrA kopena nirastA SuSuBe na sA // Ka avc _45.36 //
   udyāne sā nidhāyāndhaṃ yatnenāhṛtya bhojanam /	udyAne sA niDAya anDam yatnena AhRtya Bojanam /
   sadā tasmai dadau premapraṇayopacitādarā // KAvk_45.37 //	sadA tasmE dadO prema praNaya upacita AdarA // Ka avc _45.37 //
   kadācittāṃ cirāyātāmāhārāvasare gate /	kadAcid tAm cira AyAtAm AhAra avasare gate /
   uvāca rājatanayaḥ paraṃ mlānānanaḥ kṣudhā // KAvk_45.38 //	uvAca rAja tanayaH param mlAna AnanaH kzuDA // Ka avc _45.38 //
   asamīkṣitakāriṇā tvayā kevalacāpalāt /	asamIkzita kAriNA tvayA kevala cApalAt /
   vṛto 'hamandhaḥ saṃtyajya nṛpān vipulalocanān // KAvk_45.39 //	vRtaH aham anDaH saMtyajya nRpAn vipula locanAn // Ka avc _45.39 //
   paścāttāpena nūnaṃ tvaṃ mayi paryuṣitādarā /	paScAt tApena nUnam tvam mayi paryuzita AdarA /
   adhunā tāṇḍavaṃ premṇah pradarśayitumudyatā // KAvk_45.40 //	aDunA tANxavam premNah pradarSayitum udyatA // KAvc _45.40 //
   andhasaṃdarśanodvignā surūpālokanonmukhī /	anDa saMdarSana udvignA surUpa Alokana unmuKI /
   āhārakāle 'tikrānte cireṇeha tvamāgatā // KAvk_45.41 //	AhAra kAle atikrAnte cireNa iha tvam AgatA // Ka avc _45.41 //
   ityuktvā paruṣaṃ tena kampamānā lateva sā /	iti uktvA paruzam tena kampamAnA latA iva sA /
   uvāca guñjanmadhupaśreṇīmadhuravādinī // KAvk_45.42 //	uvAca guQjat maDupa SreNI maDura vAdinI // Ka avc _45.42 //
   nātha mithyaiva me śankāṃ na kopātkartumarhasi /	nATa miTyA eva me SankAm na kopAt kartum arhasi /
   vāgbāṇapātaṃ sahate na cetaḥ prītipeśalaṃ // KAvk_45.43 //	vAc bANa pAtam sahate na cetaH prIti peSalam // Ka avc _45.43 //
   tvāmeca devatāṃ jāne yadyahaṃ śuddhamānas ā /	tvAm eca devatAm jAne yadi aham SudDa mAnaH A /
   tena satyena sālokamekaṃ nayanamastu te // KAvk_45.44 //	tena satyena sa Alokam ekam nayanam astu te // Ka avc _45.44 //
   ityukte sattvaśālinyā tayā tasyāśu locanam /	iti ukte sattva SAlinyA tayA tasya ASu locanam /
   utphullakamalākāramekaṃ vimalatām yayau // KAvk_45.45 //	utPulla kamala AkAram ekam vimala tAm yayO // Ka avc _45.45 //
   tasyāh satyaprabhāveṇa saṃjātapṛthuvismayah /	tasyAh satya praBAveNa saMjAta pRTu vismayah /
   satyapratyayasotsāhaṃ kṛtajñastāmabhāṣata // KAvk_45.46 //	satya pratyaya sa utsAham kRtajQaH tAm aBAzata // Ka avc _45.46 //
   bhrātrā tenākṛtajñna pāṭite locanadvaye /	BrAtrA tena akRtajQna pAwite locana dvaye /
   tasmin vikāro vairaṃ vā na nikāro 'pyabhūnmama // KAvk_45.47 //	tasmin vikAraH vEram vA na nikAraH api aBUt mama // Ka avc _45.47 //
   svacchaṃ tenāstu satyena dvitīyamapi locanam /	svacCam tena astu satyena dvitIyam api locanam /
   ityukte takṣaṇenāsya spaṣṭaṃ cakṣuralakṣyata // KAvk_45.48 //	iti ukte takzaNena asya spazwam cakzuH alakzyata // Ka avc _45.48 //
   ataḥ kathitavṛttāntaṃ kṛtajñamucitaṃ patim /	atas kaTita vRttAntam kRtajQam ucitam patim /
   prahṛṣṭā janakalyāṇī gatvā pitre nyavedayat // KAvk_45.49 //	prahRzwA jana kalyANI gatvA pitre nyavedayat // Ka avc _45.49 //
   pūjitaḥ śvaśureṇātha sa ratnagajavājibhiḥ /	pUjitaH SvaSureNa aTa sa ratna gaja vAjiBiH /
   śriyeva kāntayā sārdhaṃ jagāma nagaraṃ pituḥ // KAvk_45.50 //	SriyA iva kAntayA sArDam jagAma nagaram pituH // KAvc _45.50 //
   sa tatra pitrā hṛṣṭena caraṇālīnaśekharaḥ /	sa tatra pitrA hRzwena caraNa AlIna SeKaraH /
   janānurāgasubhage yaivarājye pade dhṛtaḥ // KAvk_45.51 //	jana anurAga suBage yA eva rAjye pade DRtaH // Ka avc _45.51 //
   akṛtajño 'pi nirlajjastaṃ prasādayituṃ śaṭhaḥ /	akRtajQaH api nirlajjaH tam prasAdayitum SaWaH /
   vicintya pādapatane tasya drohaṃ samāyayau // KAvk_45.52 //	vicintya pAda patane tasya droham samAyayO // Ka avc _45.52 //
   unmanā hantumāyātaḥ sa taṃ kuṭulaceṣṭitaḥ /	unmanAH hantum AyAtaH sa tam kuwula cezwitaH /
   hāhā dagdho 'smi dagdho 'smītyuktvaiva narake 'patat // KAvk_45.53 //	hAhA dagDaH asmi dagDaH asmi iti uktvA eva narake apatat // Ka avc _45.53 //
   sa eva devadatto 'sau kṛtajño 'pyahameva ca /	saH eva devadattaH asO kRtajQaH api aham eva ca /
   janmāntarānubandhena dveṣo 'sya na nivartate // KAvk_45.54 //	janma antara anubanDena dvezaH asya na nivartate // Ka avc _45.54 //
   sarvajñabhāṣitamiti pracuropakāraṃ taddevadattacaritaṃ paritāpakāri /	sarvajQa BAzitam iti pracura upakAram tat devadatta caritam paritApa kAri /
   janmāntaropacitapātakasaṃnibaddhaṃ śrutvā babhūva vimanā iva bhikṣusaṃghaḥ	janma antara upacita pAtaka saMnibadDam SrutvA baBUva vimanAH iva Bikzu saMGaH
   // KAvk_45.55 //	// Ka avc _45.55 //
   iti kṣemendraviracitāyāṃ bodhisattvāvadānakalpalatāyāṃ kṛtajñāvadānaṃ	iti kzema indra viracitAyAm boDisattva avadAna kalpa latAyAm kRtajQa avadAnam
   pañcacatvāriṃśaḥ pallavaḥ //	paQcacatvAriMSaH pallavaH //
   46. śālistambāvadānam /	46. SAli stamba avadAnam /
   dānaikatānamanasāṃ pṛthusattvabhājāmutsāhamānaguṇabhogavibhūṭipūtaḥ /	dAna Eka tAna manasAm pRTu sattva BAjAm utsAha mAna guNa Boga viBUwi pUtaH /
   prākuṇyasaṃcayamayaḥ kuśalabhidhānaḥ kāle phalatyavikalaḥ kila kalpavṛkṣaḥ	prAkuNya saMcaya mayaH kuSala BiDAnaH kAle Palati avikalaH kila kalpavRkzaH
   // KAvk_46.1 //	// Ka avc _46.1 //
   kosalendrasya bhūbhartuḥ śrāvastyām bhagavān purā /	kosala indrasya BUBartuH SrAvastyAm BagavAn purA /
   vijahāra va rodyāne saha bhikṣagaṇairjinaḥ // KAvk_46.2 //	vijahAra va rodyAne saha Bikza gaNEH jinaH // Ka avc _46.2 //
   ādimadhyāṇtakalyāṇaṃ bahvābhibhavasādhakam /	Adi maDya aNta kalyANam bahva aBiBava sADakam /
   saṃdideśa sa saddharmaṃ trailokyakuśalodyataḥ // KAvk_46.3 //	saMdideSa sa sadDarmam trElokya kuSala udyataH // Ka avc _46.3 //
   atrāṇtare nāgarājaputrāḥ sāgaravāsinah /	atra aNtare nAga rAja putrAH sAgara vAsinah /
   catvāraḥ sugatodīrṇaṃ saddharmaṃ paramāmṛtam // KAvk_46.4 //	catvAraH sugata udIrNam sadDarmam parama amRtam // Ka avc _46.4 //
   abhiratyākhyayā svasrā preritāḥ śrotumāgatāḥ /	aBirati a AKyayA svasrA preritAH Srotum AgatAH /
   te balātibala śvāsa mahāśvāsābhidhāḥ samam // KAvk_46.5 //	te bala ati bala  SvAsa  mahA SvAsa aBiDAH samam // Ka avc _46.5 //
   krakucchandasya sudhiyaḥ kāle bhagavataḥ pura /	krakucCandasya suDiyaH kAle BagavataH puras /
   kanakākhyasya ca muneḥ kāśyapasya ca yatnataḥ // KAvk_46.6 //	kanaka AKyasya ca muneH kASyapasya ca yatnataH // Ka avc _46.6 //
   ājagmuḥ śrīsukhāsaktāḥ śrotumaprārthitā api /	AjagmuH SrI suKa AsaktAH Srotum aprArTitAH api /
   tatpuṇyapariṇāmena prāptāḥ śākyamuneḥ purā // KAvk_46.7 //	tad puNya pariNAmena prAptAH SAkya muneH purA // Ka avc _46.7 //
   teṣu praṇamya śāstāraṃ caraṇālīnamauliṣu /	tezu praNamya SAstAram caraNa AlIna mOlizu /
   vidhāya mānuṣaṃ rūpamupaviṣṭeṣu parṣadi // KAvk_46.8 //	viDAya mAnuzam rUpam upavizwezu parzadi // Ka avc _46.8 //
   saddharmamāyayau śrotuṃ kosalendraḥ prasenajit /	sadDarmam AyayO Srotum kosala indraH prasenajit /
   lakṣmīmandasmitacchāyaṃ nivārya cchatracāmaram // KAvk_46.9 //	lakzmI manda smita= CAyam nivArya cCatra cAmaram // Ka avc _46.9 //
   śāstuḥ pādapraṇāmāya viśatastasya saṃsadi /	SAstuH pAda praNAmAya viSataH tasya saMsadi /
   avakāśaṃ natāścakruḥ sarve nṛpatigauravāt // KAvk_46.10 //	avakASam natAH cakruH sarve nRpati gOravAt // Ka avc _46.10 //
   tasyābhinandyamānasya varṣāśramagurornṛbhiḥ /	tasya aBinandyamAnasya varza ASrama guroH nRBiH /
   nāgarājasutāścakrurnāvakāśaṃ na satkṛtam // KAvk_46.11 //	nAga rAja sutAH cakruH na avakASam na satkRtam // Ka avc _46.11 //
   tasyābhinandyamānasya varṇāśramagurornṛbhiḥ /	tasya aBinandyamAnasya varNa ASrama guroH nRBiH /
   nāgarājasutāścakrurnāvakāśaṃ na satkṛtam // KAvk_46.12 //	nAga rAja sutAH cakruH na avakASam na satkRtam // Ka avc _46.12 //
   sa saṃjñayā samādiśya nijaṃ parijanaṃ puraḥ /	sa saMjQayA samAdiSya nijam parijanam puras /
   gamane nigraham teṣāṃ nirvikāra ivābhavat // KAvk_46.13 //	gamane nigraham tezAm nirvikAraH iva aBavat // Ka avc _46.13 //
   bhagavānapi sarvajñastasya jñātvā ca niścayam /	BagavAn api sarvajQaH tasya jQAtvA ca niScayam /
   dharmopadeśaparyante provāca racitasmitaḥ // KAvk_46.14 //	Darma upadeSa paryante provAca racita smitaH // Ka avc _46.14 //
   na vidveṣarajaḥpūrṇamanomalinadarpaṇe /	na vidveza rajaH pUrNa manaH malina darpaNe /
   bhāti dharmopadeśasya pratibimbapratigrahaḥ // KAvk_46.15 //	BAti Darma upadeSasya pratibimba pratigrahaH // Ka avc _46.15 //
   avihitasamatānāṃ kopamohāhatānāṃ kṛśamapi kuśalāṃśaṃ nopadeśaḥ karoti /	avihita samatAnAm kopa moha AhatAnAm kRSam api kuSala aMSam na upadeSaH karoti /
   na hi vahutaradoṣe śuddhihīne śarīre vrajati hatamatīnām bheṣajaṃ	na hi vahutara doze SudDi hIne SarIre vrajati hata matInAm Bezajam
   bheṣajatvama // KAvk_46.16 //	Bezaja tvamaH // Ka avc _46.16 //
   iti yuktaṃ bhagavatā hitamuktaṃ mahīpatiḥ /	iti yuktam BagavatA hitam uktam mahIpatiH /
   śrutvāpi na ca tatyāja nāgeṣu vimanaskatām // KAvk_46.17 //	SrutvA api na ca tatyAja nAgezu vimanaska tAm // Ka avc _46.17 //
   bhagavantaṃ praṇamyātha prayāte svapadaṃ nṛpe /	Bagavantam praNamya aTa prayAte sva padam nRpe /
   nāgāstatsainikābaddhamārge vyomapathā yayuḥ // KAvk_46.18 //	nAgAH tad sEnika AbadDa mArge vyoma paTAH yayuH // Ka avc _46.18 //
   te vicintya svabhavane kṣmāsaṃkṣayakṛtakṣaṇāḥ /	te vicintya sva Bavane kzmA saMkzaya kRtakzaNAH /
