   akalpā pariṣadyatra Ang_2,6.2a	akalpA parizadyatra Ank-_2,6.2a
   sadyaścaṇḍālatāṃ vrajet Ang_1.122d	sadyas-caNxAla-tAm vrajet Ang_1.122d
   sadyaścaṇḍālatāṃ vrajet Ang_1.211b	sadyas-caNxAla-tAm vrajet Ank-_1.211b
   sadyaścedvamanaṃ tanna Ang_1.175c	sadyas-ced-vamanam tat-naH Ank-_1.175c
   sadyaḥ pakvaṃ bhaveddhi vai Ang_1.73d	sadyas pakvam Bavet-hi vE Ank-_1.73d
   sadyaḥ patati varṇataḥ Ang_1.338b	sadyas patati varNataH Ank-_1.338b
   sadyaḥ patnyādibhirvṛtaḥ Ang_1.486b	sadyas patnI-AdiBiH-vRtaH Ank-_1.486b
   sadyaḥ putrādhiko bhavet Ang_1.442d	sadyas putra-aDikaH Bavet Ang_1.442d
   sadyaḥ śāpapradānāyod- Ang_1.715a	sadyas SApa-pradAna-Aya-ud Ank-_1.715a
   sadyaḥ śrāddhāṅgatarpaṇam Ang_1.880b	sadyas SrAdDa-aFga-tarpaNam Ank-_1.880b
   sadyaḥ stanyarasagrahāt Ang_1.405b	sadyas stanya-rasa-grahAt Ank-_1.405b
   sadyo deśāntaraṃ vrajet Ang_1.52b	sadyas deSa-antaram vrajet Ank-_1.52b
   sadyo deśāntare pitroḥ Ang_1.51a	sadyas deSa-antare pitroH Ank-_1.51a
   sadyo naṣṭā bhaveyurhi Ang_1.833a	sadyas nazwA BaveyuH-hi Ank-_1.833a
   sadyo niḥsaṃśayaḥ pāpo Ang_2,2.2a	sadyas niHsaMSayaH pApaH Ank-_2,2.2a
   sadyomūlaḥ paṇyamatiḥ Ang_1.526a	sadyomUlaH paNya-matiH Ank-_1.526a
   sadyo vilayamāyānti Ang_1.902a	sadyas vilayam-AyAnti Ank-_1.902a
   sadyo vilayameti vai Ang_1.24d	sadyas vilayam-eti vE Ank-_1.24d
   sadyo vilayameṣyati Ang_1.99b	sadyas vilayam-ezyati Ank-_1.99b
   sadyo hainyamavāpnoti Ang_1.436a	sadyas hEnyam-avApnoti Ank-_1.436a
   sadyo hainyaṃ śrutīritam Ang_1.433b	sadyas hEnyam Sruti-Iritam Ank-_1.433b
   sa dharmastu kṛto jñeyaḥ Ang_2,1.6a	sa DarmaH-tu kRtaH jQeyaH Ank-_2,1.6a
   sanirukte 'ṅgavidbhavet Ang_2,5.4d	sa-nirukte aFga-vid-Bavet Ang_2,5.4d
   santataṃ sūtakādinā Ang_1.66d	santatam sUtaka-AdinA Ank-_1.66d
   santatirdātureva hi Ang_1.340d	santatiH-dAtuH-eva hi Ank-_1.340d
   santatau tatparaṃparām Ang_1.1006d	santatO tad-paraMparAm Ank-_1.1006d
   sapaṅktau bhojanaṃ tathā Ang_1.219b	sa-paFktO Bojanam taTA Ank-_1.219b
   sapatnījananītāto Ang_1.396c	sapatnI-jananI-tAtaH Ank-_1.396c
   sapatnījananī nitya- Ang_1.397a	sapatnI-jananI nitya Ank-_1.397a
   sapatnīmātureva ca Ang_1.723d	sapatnI-mAtuH-eva ca Ank-_1.723d
   sapatnyā vā 'sapatnyā vā Ang_1.979a	sapatnyAH vA asapatnyA vE Ank-_1.979a
   saparyāṃ tāṃ tadācaret Ang_1.886b	saparyAm tAm tadA-Acaret Ank-_1.886b
   sapavitrakarastathā Ang_1.772d	sa-pavitra-karaH-taTA Ank-_1.772d
   sapādyārghyagandhadhūpa- Ang_1.685a	sa-pAdya-arGya-ganDa-DUpa Ank-_1.685a
   sapiṇḍakamapiṇḍaṃ vā Ang_1.1031c	sapiNxa-kam-apiNxam vA Ank-_1.1031c
   sapiṇḍānītarāṇi ca Ang_1.690d	sapiNxAni-itarANi ca Ank-_1.690d
   sapiṇḍīkaraṇakriyā Ang_1.998d	sapiNxIkaraNa-kriyAH Ang_1.998d
   sapiṇḍīkaraṇaṃ yadi Ang_1.879d	sapiNxIkaraNam yadi Ank-_1.879d
   sapiṇḍīkaraṇe pituḥ Ang_1.1004d	sapiNxIkaraNe pituH Ank-_1.1004d
   sapiṇḍe ca dvivatsaram Ang_1.761d	sapiNxe ca dvi-vatsaram Ank-_1.761d
   sapiṇḍeṣu sute yadi Ang_1.336d	sapiNxezu sute yadi Ank-_1.336d
   saptatyūrdhvaṃ tu cettasyāḥ Ang_1.61a	saptati-UrDvam tu ced-tasyAH Ank-_1.61a
   sapta nadyaḥ prakīrtitāḥ Ang_1.930b	sapta nadyaH prakIrtitAH Ank-_1.930b
   saptamīprabhṛti hyevaṃ Ang_1.923c	saptamI-praBRti hi-evam Ank-_1.923c
   saptasveteṣvacyutaśced Ang_1.504c	saptasu-etezu-acyutaH-ced Ank-_1.504c
   saptaite parikīrtitāḥ Ang_2,4.4b	saptA-ete parikIrtitAH Ank-_2,4.4b
   sa pranaṣṭaprasūrnityaṃ Ang_1.720a	sa pranazwa-prasUH-nityam Ank-_1.720a
   sa preto na sahiṣyati Ang_1.96b	sa pretaH na sahizyati Ank-_1.96b
   sa bhavetkiṃ tu sa smṛtaḥ Ang_1.701d	sa Bavet-kim tu sa smRtaH Ang_1.701d
   samagopucchalomāni Ang_1.57a	sama-gopucCa-lomAni Ank-_1.57a
   samantrāṃ mekhalāṃ tathā Ang_2,11.3d	sa-mantrAm meKalAm taTA Ank-_2,11.3d
   samantreṇātra tatra cet Ang_1.471b	sa-mantreNa-atra tatra ced Ank-_1.471b
   samabhāgaḥ sadā proktas Ang_1.377a	sama-BAgaH sadA proktaH Ank-_1.377a
   samameva labhante 'ṃśam Ang_1.413a	samam-eva laBante aMSam Ank-_1.413a
   samayādatha tādṛśaḥ Ang_1.1062d	samayAt-aTa tAdRSaH Ank-_1.1062d
   samarthastu yathākalpaṃ Ang_1.732c	samarTaH-tu yaTAkalpam Ank-_1.732c
   samavāpnoti bandhūnāṃ Ang_1.125c	samavApnoti banDUnAm Ank-_1.125c
   samastasaṃpatsamavāptihetavaḥ Ang_2,12.16a	samasta-saMpad-samavApti-hetavaH Ank-_2,12.16a
   sa mahālayakṛdbhavet Ang_1.705b	sa mahAlaya-kRt-Bavet Ank-_1.705b
   samāgataṃ mahāprahvaṃ Ang_1.589c	samAgatam mahA-prahvam Ank-_1.589c
   samāgataṃ samāpyā ' 'dau Ang_1.31a	samAgatam samApyAH a adO Ank-_1.31a
   samāgatātpunaḥ proktaḥ Ang_1.851a	samAgatAt-punar proktaH Ank-_1.851a
   samāgate tadā samyag Ang_1.343c	samAgate tadA samyak Ank-_1.343c
   samāgate sūtake 'pi Ang_1.102c	samAgate sUtake api Ank-_1.102c
   samāgatyāticapalāt Ang_1.587a	samAgatya-ati-capalAt Ank-_1.587a
   samāgatyātisatvaram Ang_1.563d	samAgatya-ati-satvaram Ank-_1.563d
   samācarettataḥ svasya Ang_1.223a	samAcaret-tatas svasya Ank-_1.223a
   sa mānasaḥ syātsaṃkalpaḥ Ang_1.269c	sa mAnasaH syAt-saMkalpaH Ank-_1.269c
   samānodakasaṃjñāśca Ang_1.677a	samAna-udaka-saMjQAH-ca Ank-_1.677a
   samāyānti manovegāt Ang_1.867a	samAyAnti manaH-vegAt Ank-_1.867a
   samārabhya kriyāḥ kāryās Ang_1.1106c	samAraBya kriyAH kAryAH Ank-_1.1106c
   samārambhāttu tanmatam Ang_1.82b	samAramBAt-tu tat-matam Ank-_1.82b
   samārambho vidhīyate Ang_1.75b	samAramBaH viDIyate Ank-_1.75b
   samālokayatetarām Ang_1.562d	samAlokayata-itarAm Ank-_1.562d
   samālokyaiva śāstrāṇi Ang_1.1108a	samAlokya-eva SAstrANi Ank-_1.1108a
   samālocya kṣaṇātparam Ang_1.559d	samAlocya kzaNAt-param Ank-_1.559d
   samālocya vidhānena Ang_1.411c	samAlocya viDAnena Ank-_1.411c
   samāśrityaiva santatam Ang_1.496d	samASritya-eva santatam Ank-_1.496d
   samāhūtāstadā sadyo Ang_1.866c	samAhUtAH-tadA sadyas Ank-_1.866c
   samīkṣya varayetsamyag Ang_1.772a	samIkzya varayet-samyak Ank-_1.772a
   samīcīnaṃ tilaiḥ kuryāt Ang_1.1100a	samIcInam tilEH kuryAt Ank-_1.1100a
   samīcīnāni vastūni Ang_1.1017a	samIcInAni vastUni Ank-_1.1017a
   samīpe kartari sthite Ang_1.148b	samIpe kartari sTite Ank-_1.148b
   samīpe tatpuraḥ sthitaḥ Ang_1.841b	samIpe tat-puras sTitaH Ank-_1.841b
   samuccārya kriyāṃ kuryān Ang_1.121c	samuccArya kriyAm kuryAt Ank-_1.121c
   samuccārya punaścaiva Ang_1.811c	samuccArya punar-ca-eva Ank-_1.811c
   samutthitāpatkulakṣmaketavaḥ Ang_2,12.16b	samutTita-Apad-ku-lakzma-ketavaH Ank-_2,12.16b
   samuddiśya ca prākṛtam Ang_1.774d	samuddiSya ca prAkRtam Ang_1.774d
   samudbhūtaiśca romabhiḥ Ang_1.61d	samudBUtEH-ca romaBiH Ank-_1.61d
   samudyuktāya pātuṃ taj Ang_1.562a	samudyuktAya pAtum tat Ank-_1.562a
   samunneyaṃ vicakṣaṇaiḥ Ang_1.212b	samunneyam vicakzaNEH Ank-_1.212b
   samupakrāntakarmaṇaḥ Ang_1.101d	samupakrAnta-karmaNaH Ank-_1.101d
   samupakrāntakarmaṇaḥ Ang_1.102d	samupakrAnta-karmaNaH Ank-_1.102d
   samupasparśanaṃ punaḥ Ang_1.825d	samupasparSanam punar Ank-_1.825d
   samupasparśayitvātha Ang_1.825a	samupasparSayitvA-aTa Ank-_1.825a
   sa mṛtaḥ sukhabhāgalam Ang_1.473b	sa mRtaH suKa-BAgalam Ank-_1.473b
   sa mauñjidatta ityākhyas Ang_1.330c	sa mOQjidattaH iti-AKyaH Ank-_1.330c
   samau dattasya saṃtatam Ang_1.436d	samO dattasya saMtatam Ank-_1.436d
   samyakkārayituṃ nyāyyaṃ Ang_1.461a	samyak-kArayitum nyAyyam Ank-_1.461a
   samyak pitṛtvamāpnoti Ang_1.467a	samyak pitR-tvam-Apnoti Ank-_1.467a
   samyagālocanīyo 'to Ang_1.846a	samyak-AlocanIyaH atas Ank-_1.846a
   samyagbhuñjīta vai pūrvaṃ Ang_1.1092c	samyak-BuQjIta vE pUrvam Ank-_1.1092c
   samyagbhūyaḥ samācaret Ang_1.133b	samyak-BUyas samAcaret Ank-_1.133b
   sarasvatī viśokā ca Ang_1.919c	sarasvatI viSokA ca Ank-_1.919c
   saritaḥ kāścanāparāḥ Ang_1.923d	saritaH kAScana-aparAH Ank-_1.923d
   saridagnisuvarṣmaṇaḥ Ang_1.499b	sarit-agni-su-varzmaNaH Ank-_1.499b
   sarvakṛchravratādiṣu Ang_1.169d	sarva-kRCra-vrata-Adizu Ank-_1.169d
   sarvakṛtyevu sarvatra Ang_1.166c	sarva-kRtyevu sarvatra Ank-_1.166c
   sarvakṛtyeṣu vacmi vaḥ Ang_1.153b	sarva-kRtyezu vacmi vaH Ank-_1.153b
   sarvatyāgena śudhyati Ang_2,10.19b	sarva-tyAgena SuDyati Ank-_2,10.19b
   sarvatra vṛddhaśabdaśca Ang_1.671c	sarvatra vRdDa-SabdaH-ca Ank-_1.671c
   sarvatraivaṃ prakathitaṃ Ang_1.1042c	sarvatra-evam prakaTitam Ank-_1.1042c
   sarvatraivaṃ vijānīyāt Ang_1.805a	sarvatra-evam vijAnIyAt Ank-_1.805a
   sarvatraivaṃ vidhīyate Ang_1.788b	sarvatra-evam viDIyate Ank-_1.788b
   sarvatraivaṃ samākhyātā Ang_1.693a	sarvatra-evam samAKyAtAH Ank-_1.693a
   sarvatraivaṃ hi nirṇayaḥ Ang_1.396b	sarvatra-evam hi nirNayaH Ank-_1.396b
   sarvatraivātmatuṣṭiḥ syād Ang_1.1044c	sarvatra-eva-Atma-tuzwiH syAt Ank-_1.1044c
   sarvadā sarvasaṃvṛddho Ang_1.600a	sarvadA sarva-saMvRdDaH Ank-_1.600a
   sarvadevasvarūpasya Ang_1.498c	sarva-deva-svarUpasya Ank-_1.498c
   sarvadevādirūpiṇaḥ Ang_1.114b	sarva-deva-Adi-rUpiNaH Ank-_1.114b
   sarvadeśottamottamaḥ Ang_1.1112b	sarva-deSa-uttama-uttamaH Ank-_1.1112b
   sarvadaivaṃ samākhyāto Ang_1.438a	sarva-dEvam samAKyAtaH Ank-_1.438a
   sarvadoṣaharaṃ param Ang_1.89b	sarva-doza-haram param Ank-_1.89b
   sarvadrohī sa eva hi Ang_1.605b	sarva-drohI saH eva hi Ank-_1.605b
   sarvanāmaphalaṃ labhet Ang_1.157b	sarvanAma-Palam laBet Ank-_1.157b
   sarvanetrapriyo 'niśam Ang_1.599d	sarva-netra-priyaH aniSam Ang_1.599d
   sarvapāpapraśamanī Ang_1.10c	sarva-pApa-praSamanI Ank-_1.10c
   sarvaprāṇairvimokṣayet Ang_2,11.6d	sarva-prANEH-vimokzayet Ank-_2,11.6d
   sarvabhogavivarjitaḥ Ang_1.975b	sarva-Boga-vivarjitaH Ank-_1.975b
   sarvamaṅgirasā tadā Ang_2,1.4b	sarvam-aFgirasA tadA Ank-_2,1.4b
   sarvamatyā samantrataḥ Ang_1.307b	sarvamatyA sa-mantrataH Ank-_1.307b
   sarvamantramayasya ca Ang_1.498d	sarva-mantra-mayasya ca Ank-_1.498d
   sarvamannaṃ praveṣṭayet Ang_1.959b	sarvam-annam pravezwayet Ank-_1.959b
   sarvayajñamahātīrtha- Ang_1.499a	sarva-yajQa-mahA-tIrTa Ank-_1.499a
   sarvalokaikapāvanī Ang_1.921d	sarva-loka-eka-pAvanI Ank-_1.921d
   sarvaśeṣaṃ samādāya Ang_1.75c	sarva-Sezam samAdAya Ank-_1.75c
   sarvaśrāddhanidānake Ang_1.541d	sarva-SrAdDa-nidAnake Ank-_1.541d
   sarvaśrāddhavilakṣaṇam Ang_1.679d	sarva-SrAdDa-vilakzaNam Ank-_1.679d
   sarvaśrāddheṣu pitaraḥ Ang_1.1103a	sarva-SrAdDezu pitaraH Ank-_1.1103a
   sarvaśrāddheṣvanenātha Ang_1.393c	sarva-SrAdDezu-anena-aTaH Ank-_1.393c
   sarvasaukhyāya kevalam Ang_1.848d	sarva-sOKyAya kevalam Ank-_1.848d
   sarvasya pratimantrasya Ang_1.308c	sarvasya pratimantrasya Ank-_1.308c
   sarvasvarṇapadairvācyā Ang_1.454c	sarva-svarNa-padEH-vAcyAH Ank-_1.454c
   sarvasvaṃ tasya gṛhṇīyāt Ang_1.367a	sarva-svam tasya gRhNIyAt Ank-_1.367a
   sarvaṃ kārayitavyaṃ syāt Ang_1.471a	sarvam kArayitavyam syAt Ank-_1.471a
   sarvaṃ jñātvā vidhāsyāmi Ang_1.583a	sarvam jQAtvA viDAsyAmi Ank-_1.583a
   sarvaṃ vyāhātebhirdadyāt Ang_1.802a	sarvam vyAhAteBiH-dadyAt Ank-_1.802a
   sarvaṃ samyakparityājyaṃ Ang_1.850a	sarvam samyak-parityAjyam Ank-_1.850a
   sarvāṇi kuryācchrāddhāni Ang_1.733a	sarvANi kuryAt-SrAdDAni Ank-_1.733a
   sarvāṇi pṛthageva syuḥ Ang_1.731a	sarvANi pRTak-eva syuH Ank-_1.731a
   sarvāṇyanuṣṭhitāni syur Ang_1.622a	sarvANi-anuzWitAni syuH Ank-_1.622a
   sarvāṇyapi kṛtāni syur Ang_1.617c	sarvANi-api kRtAni syuH Ank-_1.617c
   sarvāṇyapi kṛtānyevety Ang_1.624a	sarvANi-api kRtAni-eva-iti Ank-_1.624a
   sarvāṇyetāni śiṣṭānām Ang_1.842a	sarvANi-etAni SizwAnAm Ank-_1.842a
   sarvādyanteṣu satreṣu Ang_1.170a	sarva-Adi-antezu satrezu Ank-_1.170a
   sarvā nadyo rajasvalāḥ Ang_1.917b	sarvAH nadyaH rajasvalAH Ank-_1.917b
   sarvān mātāmahān kramāt Ang_1.393d	sarvAn mAtAmahAn kramAt Ank-_1.393d
   sarvābhāve viśeṣeṇa Ang_1.1103c	sarva-aBAve viSezeNa Ank-_1.1103c
   sarvāvilaharāṇyapi Ang_1.158b	sarva-Avila-harANi-api Ank-_1.158b
   sarvāśramanivāsinām Ang_1.296d	sarva-ASrama-nivAsinAm Ank-_1.296d
   sarvāsāṃ saritāmapi Ang_1.937b	sarvAsAm saritAm-api Ank-_1.937b
   sarvāstāḥ kathitāḥ sadbhir Ang_1.936c	sarvAH-tAH kaTitAH sadBiH Ank-_1.936c
   sarve kaṇṭakarūpeṇa Ang_1.496c	sarve kaNwaka-rUpeNa Ank-_1.496c
   sarve cāpi pitāmahāḥ Ang_1.32d	sarve ca-api pitAmahAH Ank-_1.32d
   sarveṣāmapi tanmatam Ang_1.46d	sarvezAm-api tat-matam Ank-_1.46d
   sarveṣāmapi varṇānāṃ Ang_1.296c	sarvezAm-api varNAnAm Ank-_1.296c
   sarveṣāṃ karmaṇāmādyā Ang_1.1110a	sarvezAm karmaNA-AmAdyAH Ank-_1.1110a
   sarveṣāṃ niścitaṃ yatsyād Ang_2,3.9a	sarvezAm niScitam yat-syAt Ank-_2,3.9a
   sarveṣāṃ vratakṛchrāṇāṃ Ang_1.29c	sarvezAm vrata-kRCrANAm Ank-_1.29c
   sarveṣvapi ca tīrtheṣu Ang_1.198a	sarvezu-api ca tIrTezu Ank-_1.198a
   sarveṣvāśaucakarmasu Ang_1.169b	sarvezu-ASOca-karmasu Ank-_1.169b
   sarveṣvevāvakāśeṣu Ang_2,9.13c	sarvezu-eva-avakASezu Ank-_2,9.13c
   sarvopāyaprayatnena Ang_2,12.15c	sarva-upAya-prayatnena Ank-_2,12.15c
   sarṣapaiḥ sarvadhānyakaiḥ Ang_1.88b	sarzapEH sarva-DAnyakEH Ank-_1.88b
   savarṇeṣveva kurvīta Ang_1.337c	savarNezu-eva kurvIta Ang_1.337c
   savāsā jalamāviśet Ang_1.172d	sa-vAsAH jalam-AviSet Ank-_1.172d
   sa vikalpī bhaveddvijaḥ Ang_2,5.3d	sa vikalpI Bavet-dvijaH Ank-_2,5.3d
   savyameva bhaveddhi vai Ang_1.1076b	savyam-eva Bavet-hi vE Ank-_1.1076b
   savyaṃ puṇḍralalāṭaṃ ca Ang_1.668c	savyam puNxra-lalAwam ca Ank-_1.668c
   sa śūdragatibhāgbhavet Ang_2,8.9d	sa SUdra-gati-BAj-Bavet Ank-_2,8.9d
   sasatre dānadharme ca Ang_2,9.9a	sa-satre dAna-Darme ca Ank-_2,9.9a
   sa svīkṛtaḥ śrāddhatithir Ang_1.1046a	sa svIkRtaH SrAdDa-tiTiH Ank-_1.1046a
   saha mātuḥ sapiṇḍakam Ang_1.995d	saha mAtuH sapiNxakam Ang_1.995d
   saha vā bhojanaṃ duṣṭaṃ Ang_1.219c	saha vA Bojanam duzwam Ank-_1.219c
   sahasraguṇiteṣvapi Ang_2,4.8d	sahasra-guNitezu-api Ank-_2,4.8d
   sahasraṃ mahadādiṣu Ang_2,7.7b	sahasram mahat-Adizu Ank-_2,7.7b
   sahasraṃ yadi bhaktitaḥ Ang_1.182d	sahasram yadi BaktitaH Ank-_1.182d
   sahasrairudakumbhakaiḥ Ang_1.87b	sahasrEH-uda-kumBakEH Ank-_1.87b
   sahiṣṇurna bhavettasmāt Ang_1.302a	sahizNuH-na Bavet-tasmAt Ank-_1.302a
   saṃkalpakaraṇe 'pi vā Ang_1.948b	saMkalpa-karaNe api vA Ank-_1.948b
   saṃkalpavidhinānvaham Ang_1.877b	saMkalpa-viDinA-anvaham Ank-_1.877b
   saṃkalpastu na tasya vai Ang_1.22b	saMkalpaH-tu na tasya vE Ank-_1.22b
   saṃkalpaṃ prathamaṃ caret Ang_1.775b	saMkalpam praTamam caret Ank-_1.775b
   saṃkalpaḥ prabhaveddhi vai Ang_1.807d	saMkalpaH praBavet-hi vE Ang_1.807d
   saṃkalpādi samācaret Ang_1.135b	saMkalpa-Adi samAcaret Ank-_1.135b
   saṃkalpo nānyathācaret Ang_1.851b	saMkalpaH na-anyaTA-Acaret Ank-_1.851b
   saṃkalpo mukhyataḥ smṛtaḥ Ang_1.684b	saMkalpaH muKyatas smRtaH Ank-_1.684b
   saṃkīrṇamavaśādyāti Ang_1.339c	saMkIrNam-avaSAdya-ati Ank-_1.339c
   saṃkrattimātrāḥ kathitā Ang_1.656a	saMkratti-mAtrAH kaTitAH Ank-_1.656a
   saṃkramā dvādaśa smṛtāḥ Ang_1.639d	saMkramAH dvAdaSa smRtAH Ank-_1.639d
   saṃkramā dvādaśa smṛtāḥ Ang_1.645d	saMkramAH dvAdaSa smRtAH Ank-_1.645d
   saṃkrāntiṣu ca vṛddhike Ang_1.584b	saMkrAntizu ca vRdDike Ank-_1.584b
   saṃkrāntiṣvakhilāsvevaṃ Ang_1.644a	saMkrAntizu-aKilAsu-evam Ank-_1.644a
   saṃkrāntīnāṃ ca kṛtsnaśaḥ Ang_1.650d	saMkrAntInAm ca kRtsnaSas Ank-_1.650d
   saṃkrāntau dakṣiṇāyane Ang_1.648b	saMkrAntO dakziNAyane Ank-_1.648b
   saṃgacchate pitṛtvaṃ ca Ang_1.114c	saMgacCate pitR-tvam ca Ank-_1.114c
   saṃgave tu na tu prātaḥ Ang_1.284a	saMgave tu na tu prAtar Ank-_1.284a
   saṃgṛhṇīyādaputrakaḥ Ang_1.1009d	saMgRhNIyAt-aputrakaH Ank-_1.1009d
   saṃgṛhya sthāpayedyatnād Ang_1.1014a	saMgRhya sTApayet-yatnAt Ank-_1.1014a
   saṃgrahaḥ kārya eva vai Ang_1.314b	saMgrahaH kAryaH eva vE Ank-_1.314b
   saṃgrāhyaḥ śrāddhakarmasu Ang_1.603d	saMgrAhyaH SrAdDa-karmasu Ank-_1.603d
   saṃgrāhyo bhava sarvatra Ang_1.599c	saMgrAhyaH Bava sarvatra Ank-_1.599c
   saṃghātāśaucinastataḥ Ang_1.48d	saMGAta-ASOcinaH-tatas Ank-_1.48d
   saṃjāte tvaurase punaḥ Ang_1.364d	saMjAte tu-Orase punar Ank-_1.364d
   saṃtāryaḥ sarva eva hi Ang_2,5.14d	saMtAryaH sarve eva hi Ank-_2,5.14d
   saṃdhyātraye sahasrāṇi Ang_1.201c	saMDyA-traye sahasrANi Ank-_1.201c
   saṃdhyāmātraṃ prakurvīta Ang_1.47c	saMDyA-mAtram prakurvIta Ang_1.47c
   saṃdhyā sā syājjale kriyā Ang_1.49b	saMDyA sA syAt-jale kriyA Ank-_1.49b
   saṃnyaste patite tāte Ang_1.108a	saMnyaste patite tAte Ank-_1.108a
   saṃpadyantāṃ svadhāśceti Ang_1.891c	saMpadyantAm svaDAH-ca-iti Ank-_1.891c
   saṃparistīrya vidhinā Ang_1.808c	saMparistIrya viDinA Ang_1.808c
   saṃpādayanti yatnena Ang_1.535a	saMpAdayanti yatnena Ank-_1.535a
   saṃpāditā bhaviṣyanti Ang_1.319a	saMpAditAH Bavizyanti Ank-_1.319a
   saṃprāptamapi tacchrāddham Ang_1.39a	saMprAptam-api tat-SrAdDam Ank-_1.39a
   saṃprāpte cāvagāhanāt Ang_1.920b	saMprApte ca-avagAhanAt Ank-_1.920b
   saṃproktastu ṛce tveti Ang_1.889c	saMproktaH-tu Rce tvA-iti Ank-_1.889c
   saṃbabhūva tadādi vai Ang_1.533d	saMbaBUva tad-Adi vE Ang_1.533d
   saṃbudhyoccārya tatparam Ang_1.790b	saMbuDya-uccArya tad-param Ank-_1.790b
   saṃbhavantu na cānyeṣu Ang_1.585c	saMBavantu na ca-anyezu Ank-_1.585c
   saṃbhāntyatha mṛtāhasya Ang_1.75a	saMBAnti-aTa mRtAhasya Ank-_1.75a
   saṃyujya vidhivatpunaḥ Ang_1.977d	saMyujya viDivat-punar Ank-_1.977d
   saṃyujya vidhivatpunaḥ Ang_1.996b	saMyujya viDivat-punar Ank-_1.996b
   saṃvatsaraṃ prayatnena Ang_1.197a	saMvatsaram prayatnena Ank-_1.197a
   saṃśayasya viśeṣataḥ Ang_1.295d	saMSayasya viSezataH Ank-_1.295d
   saṃśaye na tu bhoktavyaṃ Ang_2,2.3a	saMSaye na tu Boktavyam Ank-_2,2.3a
   saṃskārairmantrapūrvakaiḥ Ang_2,4.10d	saMskArEH-mantra-pUrvakEH Ank-_2,4.10d
   saṃskāryāṇi suto na cet Ang_1.437b	saMskAryANi sutaH na ced Ank-_1.437b
   saṃskuryāttadvyatikrame Ang_1.41d	saMskuryAt-tat-vyatikrame Ank-_1.41d
   saṃskuryāttasya kevalam Ang_1.1066d	saMskuryAt-tasya kevalam Ank-_1.1066d
   saṃskuryādyadi kāmataḥ Ang_1.123b	saMskuryAt-yadi kAmatas Ank-_1.123b
   saṃskṛtaścādhyāpitaśca Ang_1.1049c	saMskRtaH-ca-aDyApitaH-ca Ank-_1.1049c
   saṃskṛtasyaiva karmabhiḥ Ang_1.161b	saMskRtasya-eva karmaBiH Ank-_1.161b
   saṃskṛto yadi tadvṛtaḥ Ang_1.310d	saMskRtaH yadi tad-vRtaH Ank-_1.310d
   saṃstīryaiva tataḥ punaḥ Ang_1.852d	saMstIrya-eva tatas punar Ank-_1.852d
   saṃsparśe homavismṛtau Ang_1.947d	saMsparSe homa-vismRtO Ank-_1.947d
   saṃhitāpaṭhanaṃ sakṛt Ang_1.156b	saMhitA-paWanam sakRt Ank-_1.156b
   sā ṛgvā vaiṣṇavī śivā Ang_1.10b	sA Rc-vA vEzNavI SivA Ank-_1.10b
   sā kalā pīyate hi taiḥ Ang_1.1102b	sA kalA pIyate hi tEH Ank-_1.1102b
   sākṣādannasya muktirna Ang_1.49a	sAkzAt-annasya muktiH-na Ank-_1.49a
   sākṣānnārāyaṇātmakaḥ Ang_1.159b	sAkzAt-nArAyaNa-AtmakaH Ank-_1.159b
   sākṣiṇāṃ purato nūnaṃ Ang_1.388a	sAkziNAm puratas nUnam Ank-_1.388a
   sākṣito vahnisākṣitaḥ Ang_1.250b	sAkzitaH vahni-sAkzitaH Ank-_1.250b
   sā kṣetraṃ prabhaveddhruvam Ang_1.217b	sA kzetram praBavet-Druvam Ank-_1.217b
   sā gaṅgeti ca phaṇyate Ang_1.942b	sA gaFgA-iti ca PaNyate Ank-_1.942b
   sā cātrā ' 'vāhanaṃ matam Ang_1.684d	sA ca-atrA a avAhanam matam Ang_1.684d
   sācāraḥ sāgnihotrī ca Ang_1.736c	sa-AcAraH sa-agnihotrI ca Ank-_1.736c
   sā cedbhartṛdvayaṃ tyaktvā Ang_1.203c	sA ced-BartR-dvayam tyaktvA Ank-_1.203c
   sā tena saha piṇḍanam Ang_1.976d	sA tena saha piNxanam Ang_1.976d
   sādhakāya bhavenna tu Ang_1.847d	sADakAya Bavet-na tu Ank-_1.847d
   sādhūn samyak prapūjayet Ang_1.376b	sADUn samyak prapUjayet Ank-_1.376b
   sādhvī śudhyati nānyathā Ang_1.224d	sADvI SuDyati na-anyaTA Ank-_1.224d
   sā nityaśuddhā tadyogād Ang_1.908c	sA nitya-SudDA tad-yogAt Ang_1.908c
   sānnidhyaṃ mṛtikāle tu Ang_1.479a	sAnniDyam mRti-kAle tu Ank-_1.479a
   sāpatnī jananī dūra- Ang_1.390c	sApatnI jananI dUra Ank-_1.390c
   sāpatnīmātureva ca Ang_1.1029d	sApatnI-mAtuH-eva ca Ank-_1.1029d
   sāpatnīmātṛtanayā Ang_1.408c	sApatnI-mAtR-tanayAH Ank-_1.408c
   sāpiṇḍyamanuyāne tu Ang_1.976a	sApiNxyam-anuyAne tu Ank-_1.976a
   sāpiṇḍyasya nirūpaṇam Ang_1.676b	sApiNxyasya nirUpaNam Ank-_1.676b
   sāpiṇḍyaṃ dvādaśe 'hani Ang_1.995b	sApiNxyam dvAdaSe ahani Ank-_1.995b
   sā putraṃ puṣkarasrajam Ang_1.872d	sA putram puzkara-srajam Ang_1.872d
