   Śayanāsanavastu	Śayana-Asana-vastu
   bhagavān āha: uddeśadāyakasyāhaṃ ḥbhikṣavoḥ bhikṣor āsamudācārikān dharmān	BagavAn Aha: uddeSa-dAyakasya-aham HBikzavoH BikzoH AsamudAcArikAn DarmAn
   prajñāpayāmi; uddeśadāyakenā bhikṣuṇā caturbhir āryapathair uddeśo	prajQApayAmi; uddeSa-dAyakenA BikzuNA caturBiH Arya-paTEH uddeSaH-
   dātavyaḥ; caṅkramyamāṇena tiṣṭhatā niṣannena nipannena ca; uddeśagrāhakena	dAtavyaH; caFkramyamANena tizWatA nizannena nipannena ca; uddeSa-grAhakena
   bhikṣuṇā tṛbhir āryapathair uddeśo grahītavyaḥ; uddeśagrāhako bhikṣur	BikzuNA tRBiH Arya-paTEH uddeSaH grahItavyaH; uddeSa-grAhakaH BikzuH-
   uddeśadāyakasya bhikṣoḥ sacet cāṅkramyamāṇasyāgacchati navakaś (Śay-v 48)	uddeSa-dAyakasya BikzoH saced ca-aFkramyamANasya-AgacCati navakaH (Śay-u 48)
   ca bhavati tena sāmīcīṃ kṛtvā dhātusāmyaṃ pṛṣṭvā kāyam avanāmya	ca Bavati tena sAmIcIm kRtvA DAtu-sAmyam pRzwvA kAyam avanAmi-a
   ṛjukacittena sagauraveṇa padaparihāṇikayā uddeśo grahītavyaḥ; atha	Rjuka-cittena sa-gOraveNa pada-parihANikayA uddeSaH grahItavyaH; aTa
   vṛddhatarako bhavati, tena dhātusāmyaṃ pṛṣṭvā kāyam avanāmya ṛjukacittena	vRdDatarakaH Bavati, tena DAtu-sAmyam pRzwvA kAyam avanAmya Rjuka-cittena
   sagauraveṇa padaparihāṇikagā uddeśo grahītavyaḥ; sacet tiṣṭhata āgacchati	sa-gOraveNa pada-parihANika-gAH uddeSaH grahItavyaH; saced tizWate AgacCati
   navakaś ca bhavati tena sāmīcīṃ kṛtvā dhātusāmyaṃ pṛṣṭvā utkuṭukena kṛtvā	navakaH ca Bavati tena sAmIcIm kRtvA DAtu-sAmyam pRzwvA utkuwukena kRtvA
   nīcatarake vā āsane niṣadya ṛjukacittena sagauraveṇoddeśo grahītavyaḥ;	nIcatarake vA Asane nizadye Rjuka-cittena sa-gOraveNa-uddeSaH grahItavyaH;
   atha vṛddho bhavati tena dhātusāmyaṃ pṛṣṭvā utkuṭukena sthitvā nīcatarake	aTa vRdDaH Bavati tena DAtu-sAmyam pRzwvA utkuwukena sTitvA nIcatarake
   vā āsane niṣadya ṛjukacittena sagauraveṇa uddeśo grahītavyaḥ; yathā	vA Asane nizadye Rjuka-cittena sa-gOraveNa uddeSaH grahItavyaH; yaTA
   tiṣṭhata evaṃ niṣaṇṇasya nipannasya ca yojayitavyam: uddeśadāyakena	tizWate evam nizaNNasya nipannasya ca yojayitavyam: uddeSa-dAyakena
   bhikṣuṇā svabhyastaṃ suparicitaṃ niḥsaṃdhigdhaṃ ca kṛtvā uddeśo dātavyaḥ;	BikzuNA su-aByastam su-paricitam niHsaMDigDam ca kRtvA uddeSaH dAtavyaH;
   uddeśagrāhakenāpi suparipṛṣṭam sūdgṛhītaṃ niḥsaṃdigdhaṃ ca kṛtvā uddeśo	uddeSa-grAhakena-api su-paripRzwam su-udgRhItam niHsaMdigDam ca kRtvA uddeSaH-
   grahītavyaḥ; uddeśadāyako bhikṣur uddeśagrāhakaś ca yathāprajñaptān	grahItavyaH; uddeSa-dAyakaH BikzuH uddeSa-grAhakaH ca yaTAprajQaptAn
   āsamudācārikān dharmān na samādāya vartate, sātisāro bhavati	AsamudAcArikAn DarmAt na samAdAya vartate, sa-atisAraH Bavati
   The mischief of the Six Monks	The misCief of Te Siz MA-unks
        ṣaḍvargikā bhikṣavo janapadacārikāṃ caranto rātrau vihāraṃ saṃprāptā	zaxvargikAH BikzavaH janapada-cArikAm carantaH rAtrO vihAram saMprAptA
   yathasaṃstutikayā bhikṣubhiḥ pratiśāmitāḥ; te kathayanti: āyuṣmantaḥ kiṃ	yaTa-saMstutikayA BikzuBiH pratiSAmitAH; te kaTayanti: AyuzmantaH kim
   tiṣṭhatha śayanāsanoddeśakaṃ śabdayata; te kathayanti: kimartham?	tizWaTa Sayana-Asana-uddeSakam Sabdayata; te kaTayanti: kimarTam?
   śayanāsanam uddeṣṭum; te kathayanti: śayanāsanaṃ sukhaṃ svaptāḥ	Sayana-Asanam uddezwum; te kaTayanti: Sayana-Asanam suKam svaptAH
   prabhātāyāṃ rajanyām uddiṣyayiṣyatha iti; te paryavasthitā kathayanti:	praBAtAyAm rajanyAm uddizyayizyaTa iti; te paryavasTitA kaTayanti:
   yūyaṃ tiṣṭhata eva śāstuḥ śāsanam antardhāpayata; yady asti kaukṛtyam	yUyam tizWate eva SAstuH SAsanam antarDApayata; yadi asti kOkRtyam
   uddiṣata yathāvṛddihikayā (Śay-v 49) śayanāsanam; vāgbalinas te;	uddizata yaTAvRd-dihikayA (Śay-u 49) Sayana-Asanam; vAc-balinaH te;
   śayanāsanoddeśakena saṃtrastenoddiṣṭam; ṣaḍvargikā vṛddhānte śayanāsanaṃ	Sayana-Asana-uddeSakena saMtrastena-uddizwam; zaxvargikA vRdDAnte Sayana-Asanam
   gṛhītvā śayitāḥ; yāvan navakā uddiśyante tāvat prabhātā rajanī; ṣaḍvargikā	gRhItvA SayitAH; yAvat navakAH uddiSyante tAvat praBAtA rajanI; zaxvargikA
   laghv laghv evotthāya kathayanti: āyuṣmanto gṛhṇīta śayanāsanam (A 330a),	laGu laGu eva-utTAya kaTayanti: AyuzmantaH gRhNIta Sayana-Asanam (A 330a),
   gacchāma iti; te bhikṣubhir ucyante: āyuṣmanto yuṣmābhir ekarātrasyārthāya	gacCAmaH iti; te BikzuBiH ucyante: AyuzmantaH yuzmABiH eka-rAtrasya-arTAya
   kṛtsnāṃ rātriṃ bhikṣusaṃgho viheṭhitaḥ aho bata yūyam ihaiva tiṣṭhata; te	kRtsnAm rAtrim Bikzu-saMGaH viheWitaH aho bata yUyam iha-eva tizWata; te
   kathayanti: nandopananda śrāvastīm gacchāmaḥ savātalā eta iti kṛtvā	kaTayanti: nanda-upananda SrAvastIm gacCAmaH sa-vAtalAH ete iti kRtvA
   prakrāntāḥ; etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti; asyām utpattau	prakrAntAH; etat prakaraNam BikzavaH BagavataH Arocayanti; asyAm utpattO
   bhagavān āha: tasmāt tarhi bhikṣavo na rātrau śayanāsanam uddeṣṭavyam;	BagavAn Aha: tasmAt tarhi BikzavaH na rAtrO Sayana-Asanam uddezwavyam;
   yadi rātrāv āgacchanti yathāsaṃstutikayā pratiśrāmayitavyā	yadi rAtrO AgacCanti yaTAsaMstutikayA pratiSrAmayitavyA
   Disciplinary prescriptions	Dis-ciplinarI prescriptiA-uns
        janapadād bhikṣuś caityavandakaḥ śrāvastīm āgataḥ; sa	janapadAt BikzuH cEtyavandakaH SrAvastIm AgataH; sa
   tatrāgocarakuśalaḥ kālyam evotthāya bhagavatsakāśam upasaṃkrāntaḥ	tatra-agocara-kuSalaH kAlyam eva-utTAya Bagavat-sakASam upasaMkrAntaH
   bhagavataḥ pādābhivandanaṃ kṛtvā sthavirasthavirāṇāṃ ca bhikṣūṇāṃ	BagavataH pAda-aBivandanam kRtvA sTavira-sTavirANAm ca BikzUNAm
   śrāvastīṃ piṇḍāya prāvikṣat; tasya piṇḍāya carataḥ prāptavelā; tatraiva	SrAvastIm piNxAya prAvikzat; tasya piNxAya carataH prApta-velA; tatra-eva
   kuḍyamūlam niśritya bhaktakṛtyaṃ kartum ārabdhaḥ; anāthapiṇḍadaś ca tena	kuxya-mUlam niSritya Bakta-kRtyam kartum ArabDaH; anATapiNxadaH ca tena
   pathā caityābhivandakaḥ saṃprasthitaḥ; sa tena dṛṣṭa uktaś ca: ārya	paTA cEtya-aBivandakaH saMprasTitaH; sa tena dRzwaH uktaH ca: Arya
   samantaprāsādike śāsane pravrajya kim ārāṭikāṃ karoṣi iti; sa kathayati:	samantaprAsa-Adike SAsane pravrajya kim ArAwikAm karozi iti; sa kaTayati:
   āyuṣman kātrārāṭikā, na paśyasi velām āsannām iti; sa kathayati: madīyaṃ	Ayuzman kAtrArAwikA, na paSyasi velAm AsannAm iti; sa kaTayati: madIyam
   gṛhaṃ kasmān na gataḥ iti; kiṃ nāma tvam; anāthapiṇḍadaḥ; asti mayā śrutaṃ	gRham kasmAt na gataH iti; kim nAma tvam; anATapiNxadaH; asti mayA Srutam
   teṣu (Śay-v 50) teṣu sūtreṣv anāthapiṇḍado gṛhapatir anāthapiṇḍado	tezu (Śay-u 50) tezu sUtrezu anATapiNxadaH gRhapatiH anATapiNxadaH-
   gṛhapatir iti, nāham tvā jāne nāpi gṛham; anāthapiṇḍado gṛhapatiḥ	gRhapatiH iti, na-aham tvA jAne na-api gRham; anATapiNxadaH gRhapatiH
   saṃlakṣayati: aprakṛtijño 'yaṃ bhikṣur dūrāgataḥ, dhruvaṃ na māṃ vetti	saMlakzayati: aprakRti-jQaH ayam BikzuH dUra-AgataH, Druvam na mAm vetti
   ḥnāpi mama gṛhamḥ; kim atra prāptakālaṃ bhagavantam ālokayāmi yāvac ca	HnA-api mama gRhamH; kim atra prApta-kAlam Bagavantam AlokayAmi yAvat ca
   śrāvastī yāvac ca jetavanam atrāntarāt parikramaṇakāṃ kārayāmi iti viditvā	SrAvastI yAvat ca jetavanam atra-antarAt parikramaNakAm kArayAmi iti viditvA
   yena bhagavāṃs tenopasaṃkrāntaḥ; upasaṃkramya bhagavataḥ pādau śirasā	yena BagavAn tena-upasaMkrAntaH; upasaMkramya BagavataH pAdO SirasA
   vanditvā ekānte niṣaṇṇaḥ; ekāntaniṣaṇṇo 'nāthapiṇḍado gṛhapatir	vanditvA ekAnte nizaNNaH; ekAnta-nizaNNaH anATapiNxadaH gRhapatiH-
   bvhagavantam idam avocat: āgantukā bhadanta bhikṣava agocarakuśalā	bvhagavantam idam avocat: AgantukAH Badanta Bikzava agocara-kuSalA
   piṇḍapātam aṭantaḥ kālātikramatayā kuḍyamūlaṃ niśritya bhaktakṛtyaṃ	piNxa-pAtam awantaH kAla-atikrama-tayA kuxya-mUlam niSritya Bakta-kRtyam
   kurvanti; aśraddhā anenāṅgenāryakān dhvaṃsayisyanti; tad yadi bhagavān	kurvanti; aSradDA anena-aFgena-aryakAn DvaMsayisyanti; tat yadi BagavAn
   anujānīyād ahaṃ yāvac ca śrāvastī yāvac ca jetavanaṃ atrāntarāt	anujAnIyAt aham yAvat ca SrAvastI yAvat ca jetavanam atra-antarAt
   parikramaṇakāṃ kārayeyam iti; yasya yatra velā bhaviṣyati sa tatra	parikramaNakAm kArayeyam iti; yasya yatra velA Bavizyati sa tatra
   piṇḍapātaṃ paribhokṣyate iti; bhagavān āha: tasmād gṛhapate 'nujānāmi	piNxa-pAtam pariBokzyate iti; BagavAn Aha: tasmAt gRhapate anujAnAmi
   kāraya iti; tena yāvac ca śrāvastī yāvac ca jetavanam atrāntarāt	kArayaH iti; tena yAvat ca SrAvastI yAvat ca jetavanam atra-antarAt
   parikramaṇakā kāritā; yasya bhikṣor yatra velā bhavati sa tatra	parikramaNakA kAritA; yasya BikzoH yatra velA Bavati sa tatra
   bhaktakṛtyaṃ karoti	Bakta-kRtyam karoti
        apareṣāṃ bhikṣūṇāṃ pānīyavighāto bhavati; anāthapiṇḍadena gṛhapatinā	aparezAm BikzUNAm pAnIya-viGAtaH Bavati; anATapiNxadena gRhapatinA
   tatra kūpaḥ kāritaḥ trikaṭukasya triphalāyāś ca śakaṭabhāra utkṣiptaḥ; tat	tatra kUpaH kAritaH trikawukasya triPalAyAH ca Sakawa-BAraH utkziptaH; tat-
   pānīyaṃ svādu saṃpannaṃ sarvalokaprakhyātam; janakāyaḥ śrutvā āgataḥ;	pAnIyam svAdu saMpannam sarva-loka-praKyAtam; jana-kAyaH SrutvA AgataH;
   bhikṣavo vārayanti; śrāvastīnivāsinaḥ: āryā vayaṃ yuṣmākaṃ sarvopakaraṇaiḥ	BikzavaH vArayanti; SrAvastI-nivAsinaH: AryAH vayam yuzmAkam sarva-upakaraNEH
   pratyupasthitaḥ, yūyaṃ sarvalokasādhāraṇam pānīyaṃ vārayatha iti; etat	pratyupasTitaH, yUyam sarva-loka-sADAraNam pAnIyam vArayaTaH iti; etat-
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti; bhagavān āha: na nivārayitavyā	prakaraNam BikzavaH BagavataH Arocayanti; BagavAn Aha: na nivArayitavyA
   iti; mātṛgrāmo bhikṣūṇāṃ pānīyaṃ yācate; bhikṣavo nānuprayacchanti; (A	iti; mAtR-grAmaH BikzUNAm pAnIyam yAcate; BikzavaH na-anuprayacCanti; (A
   330b) bhagavān āha: dātavyam; uktaṃ bhagavatā: mātṛgrāmaṃ samantapāśaṃ	330b) BagavAn Aha: dAtavyam; uktam BagavatA: mAtR-grAmam samantapASam
   mārabandhanam iti; bhikṣavaḥ pānīyam anuprayacchanto mātṛgrāme	mAra-banDanam iti; BikzavaH pAnIyam anuprayacCantaH mAtR-grAme
   saṃrajyante; yāvad anyatarā strī rūpayauvanasaṃpannā taruṇakasya bhikṣor	saMrajyante; yAvat anyatarA strI rUpa-yOvana-saMpannA taruNakasya BikzoH-
   antike 'tyartham avekṣāvatī (Śay-v 50) tat pānīyaṃ yācate; yo 'pi tasyām	antike atyarTam avekzAvatI (Śay-u 50) tat pAnIyam yAcate; yaH api tasyAm
   avekṣāvān pratibandhacittaḥ; nivāryamāṇo 'py acchinnadhārayā dadāti evaṃ	avekzAvAn pratibanDa-cittaH; nivAryamANaH api acCinna-DArayA dadAti evam
   sāpi nirīkṣate, pibati, bata pānīyaṃ viṣamam gatam, kālagatā; akpārthā	sA-api nirIkzate, pibati, bata pAnIyam vizamam gatam, kAlagatA; akpArTA
   bhikṣavo 'vadhyāyanti kṣipanti vivācayanti; etat prakaraṇaṃ bhikṣavo	BikzavaH avaDyAyanti kzipanti vivAcayanti; etat prakaraNam BikzavaH-
   bhagavata ārocayanti; asyām utpattau bhagavān āha: yā strīr bhikṣor antike	BagavataH Arocayanti; asyAm utpattO BagavAn Aha: yA strIH BikzoH antike
   avekṣāvatī bhavati pratibaddhacittā bhavati tasyā svayaṃ na dātavyam; na	avekzAvatI Bavati pratibadDa-cittA Bavati tasyAH svayam na dAtavyam; na
   ca mātṛgrāmasya acchinnayā dhārayā pānīyaṃ dātavyam; antarāntarā vāridhārā	ca mAtR-grAmasya acCinnayA DArayA pAnIyam dAtavyam; antarA-antarA vAri-DArA
   cchettavyā vaktavyā vā añjaliṃ pūrayitvā piba iti, anyathā sātisāraḥ	cCettavyAH vaktavyA vA aQjalim pUrayitvA pibaH iti, anyaTA sa-atisAraH
        tena khalu samayena ye 'grapiṇḍapātaṃ jetavane pratipādayanti te	tena Kalu samayena ye agra-piNxa-pAtam jetavane pratipAdayanti te
   tatraiva dātum ārabdhāḥ; ṣaḍvargikaiḥ śrutam; te parikramaṇikāṃ	tatra-eva dAtum ArabDAH; zaz-vargikEH Srutam; te parikramaNikAm
   gatvāvasthitāḥ; yena ānīyate agarapiṇḍapātas taṃ pṛcchanti; yadi pāyaso	gatvA-avasTitAH; yena AnIyate agarapiNxapAtaH tam pRcCanti; yadi pAyasaH-
   bhavati pātram upanāmayanti; atha pānīyapeyā bhavati, kathayanti:	Bavati pAtram upanAmayanti; aTa pAnIya-peyA Bavati, kaTayanti:
   mahardhikaḥ saṃghaḥ, saṃghaḥ sa mahānubhāvaḥ, saṃghāyānuprayacchata, evaṃ	maharDikaH saMGaH, saMGaH sa mahA-anuBAvaH, saMGAya-anuprayacCata, evam
   khaṇḍakhādyakādi yojayitavyam; alpārthā bhikṣavo 'vadhyāyanti kṣipanti	KaNxa-KAdyaka-Adi yojayitavyam; alpa-arTAH BikzavaH avaDyAyanti kzipanti
   vivācayanti; etat prakaraṇam bhikṣavo bhagavata ārocayanti; asyām utpattau	vivAcayanti; etat prakaraNam BikzavaH BagavataH Arocayanti; asyAm utpattO
   bhagavān āha: na bhikṣuṇā parakīye lābhe saṃnipatitavyam: saṃnipatati,	BagavAn Aha: na BikzuNA parakIye lABe saMnipatitavyam: saMnipatati,
   sātisāro bhavati; uktaṃ bhagavatā: na bhikṣuṇā parakīye lābhe	sa-atisAraH Bavati; uktam BagavatA: na BikzuNA parakIye lABe
   saṃnipatitavyam iti	saMnipatitavyam iti
        bhikṣavaḥ kenacit karaṇīyena vihārāntaraṃ gacchanti; teṣāṃ tatra	BikzavaH kenacid karaNIyena vihAra-antaram gacCanti; tezAm tatra
   gatānāṃ velā āsannā bhavati; kaukṛtyān na paribhuñjate; etat prakaraṇam	gatAnAm velA AsannA Bavati; kOkRtyAt na pariBuQjate; etat prakaraNam
   bhikṣavo bhagavata ārocayanti; asyām utpattau bhagavān āha: saṃcintya na	BikzavaH BagavataH Arocayanti; asyAm utpattO BagavAn Aha: saMcintya na
   gantavyam anyathā gatānāṃ yadi velā bhavati bhoktavyam, nātra kaukṭrtyaṃ	gantavyam anyaTA gatAnAm yadi velA Bavati Boktavyam-, na-atra kOkwrtyam
   karaṇīyam iti (Śay-v 52)	karaNIyam iti (Śay-u 52)
        sakṛcchraḥ kālo vartate; bhikṣavo vihārāntaraṃ gatāḥ; te tatra	sakRcCraH kAlaH vartate; BikzavaH vihAra-antaram gatAH; te tatra
   bhikṣūn bhuñjānāṃ dṛṣṭvā punar ākāṃkṣante bhoktum; ḥkaukṛtyānḥ na	BikzUn BuQjAnAm dRzwvA punar AkAMkzante Boktum; HkOkRtyAnH na
   paribhuñjante; etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti; asyām	pariBuQjante; etat prakaraNam BikzavaH BagavataH Arocayanti; asyAm
   utpattau bhagavān āha; yan na gṛhītaṃ pūrvavihāre tac ced aparimitaṃ	utpattO BagavAn Aha; yat na gRhItam pUrva-vihAre tat ced aparimitam
   cāryate grahītavyam; atha bhikṣuprāmāṇyaṃ kṛtaṃ bhavati na grahītavyam;	cAryate grahItavyam; aTa Bikzu-prAmANyam kRtam Bavati na grahItavyam;
   gṛhṇāti, sātisāro bhavati	gRhNAti, sa-atisAraH Bavati
   Nefarious doings of the monks Aśvaka and Punarvasuka	NefariouH doingH of Te mA-unkH ASvaka and Punarvasuka
        atha bhagavān kāśiṣu janapadeṣu cārikān caran kiṭāgirim anuprāptaḥ;	aTa BagavAn kASizu janapadezu cArikAn caran kiwAgirim anuprAptaH;
   tena khalu samayena kiṭāgirāv aśvakapunarvasukau bhikṣū prativasataḥ;	tena Kalu samayena kiwa-agirO aSvaka-punarvasukO BikzU prativasataH;
   tābhyāṃ śrutaṃ: bhagavān kāśiṣu janapadeṣu cārikāṃ caritvā ihāgamiṣyati	tAByAm SrutaM: BagavAn kASizu janapadezu cArikAm caritvA iha-Agamizyati
   sārdhaṃ bhikṣusaṃghena iti; śrutvā ca punaḥ saṃlakṣayataḥ: bhikṣavo 'smān	sArDam Bikzu-saMGena iti; SrutvA ca punar saMlakzayataH: BikzavaH asmAn
   śāstuḥ saṃnidhau codayiṣyanti ḥsmārayiṣyantiḥ alajjitena vā vaitarikeṇa	SAstuH saMniDO codayizyanti HsmArayizyantiH alajjitena vA vEtarikeNa
   vā; yan nu vayaṃ bhagavato 'rthāya mahallakaṃ vihāraṃ sthāpayitvā bhikṣūn	vA; yat nu vayam BagavataH arTAya mahallakam vihAram sTApayitvA BikzUn
   ārabhya trīn śayanāsanoddeśakān kārayema, ṣaṭ śayanāsanagrāhakān; trayaḥ	AraBya trIn Sayana-Asana-uddeSakAn kArayema, zaw Sayana-Asana-grAhakAn; trayaH
   śayanāsanoddeśalāḥ katame? haimantiko graiṣmiko (A 331a) varṣikaś ca; ṣaṭ	Sayana-Asana-uddeSalAH katame? hEmantikaH grEzmikaH (A 331a) varzikaH ca; zaz-
   śayanāsanagrahakāḥ katame? sarvo vihāra uddeṣṭavyaḥ, sarvo	Sayana-Asana-grahakAH katame? sarvaH vihAraH uddezwavyaH, sarvaH-
   vihārasāmantakaḥ, sarvaḥ parigaṇaḥ, sarvaḥ parigaṇasāmantakaḥ, sarva	vihAra-sAmantakaH, sarvaH parigaNaH, sarvaH parigaNa-sAmantakaH, sarva
   ārāmaḥ sarvaḥ ārāmasāmantakaḥ; yadi kathayanti vihāram uddiśateti vaktavyā	ArAmaH sarvaH ArAma-sAmantakaH; yadi kaTayanti vihAram uddiSatA-iti vaktavyA
   uddiṣṭo 'yam; parigaṇam uddiśata eṣoddiṣṭaḥ; vihārasāmantakam uddiśata eṣo	uddizwaH ayam; parigaNam uddiSate ezA-uddizwaH; vihAra-sAmantakam uddiSataH ezaH-
   'py uddiṣṭa; ārāmam uddiśata eṣo 'py uddiṣṭaḥ; ārāmasāmantakam uddiśata	api uddizwa; ArAmam uddiSataH ezaH api uddizwaH; ArAma-sAmantakam uddiSata
   eṣo 'py uddiṣṭaḥ; te alayanā apratiṣṭhitā nāsmān codayiṣyanti	ezaH api uddizwaH; te alayanAH apratizWitAH na-asmAn codayizyanti
   smārayiṣyanti alajjitena vā vaitarikeṇa vā; tābhyāṃ trayaḥ	smArayizyanti alajjitena vA vEtarikeNa vA; tAByAm trayaH
   śayanāsanoddeśakā kāritāḥ, ṣāṭ śayanāsanagrāhakāḥ; (Śay-v 53) yāvad	Sayana-Asana-uddeSakA kAritAH, zAw Sayana-Asana-grAhakAH; (Śay-u 53) yAvat-
   bhagavān kiṭāgirim anuprāptaḥ; tābhyāṃ bhagavataḥ pūrvakalpita eva	BagavAn kiwAgirim anuprAptaH; tAByAm BagavataH pUrva-kalpitaH eva
   vihāraḥ; bhikṣavaḥ kathayanti: āyuṣmantau śayanāsanam uddiśatāṃ vihāraṃ	vihAraH; BikzavaH kaTayanti: AyuzmantO Sayana-Asanam uddiSatAm vihAram
   ca; kathayataḥ: pūrvoddiṣṭako vihāraḥ; parigaṇam uddiṣata; so 'py	ca; kaTayataH: pUrva-uddizwakaH vihAraH; parigaNam uddizata; saH api-
   uddiṣṭaḥ; vihārasāmantakam uddiśata; so 'py uddiṣṭaḥ; parigaṇasāmantakam	uddizwaH; vihAra-sAmantakam uddiSata; saH api uddizwaH; parigaNa-sAmantakam
   uddiśata; so 'py uddiṣṭakaḥ; ārāmam uddiśata; so 'py uddiṣṭakaḥ;	uddiSata; saH api uddizwakaH; ArAmam uddiSata; saH api uddizwakaH;
   ārāmasāmantakam uddiśata; so 'py uddiṣṭakaḥ; yatas tau sarvāvasthau	ArAma-sAmantakam uddiSata; saH api uddizwakaH; yatas tO sarva-avasTO
   noddiśataḥ tato 'nte ārāmasyoccaśabdo mahāśabdo jātaḥ; jānakā pṛcchakā	na-uddiSataH tatas ante ArAmasya-ucca-SabdaH mahA-SabdaH jAtaH; jAnakA pRcCakA
   buddhā bhagavanto jānantaḥ pṛcchanti, ajānanto na pṛcchanti; kāle	budDAH BagavantaH jAnantaH pRcCanti, ajAnantaH na pRcCanti; kAle
   pṛcchanti; kālātikrāntaṃ na pṛcchanti, arthopasaṃhitaṃ pṛcchanti,	pRcCanti; kAla-atikrAntam na pRcCanti, arTa-upasaMhitam pRcCanti,
   anarthopasaṃhitaṃ na pṛcchanti, setusamudghāto buddhānāṃ bhagavatām	anarTa-upasaMhitam na pRcCanti, setu-samudGAtaH budDAnAm BagavatAm
   anarthopasaṃhitāyāṃ pṛcchāyāṃ; tatra kālajñā buddhā bhagavantaḥ	anarTa-upasaMhitAyAm pRcCAyAn; tatra kAla-jQAH budDAH BagavantaH
   arthopasaṃhitāyāṃ pṛcchāyām; pṛcchati buddho bhagavān āyuṣmantan ānandam;	arTa-upasaMhitAyAm pRcCAyAm; pRcCati budDaH BagavAn Ayuzmantan Anandam;
   kim eṣa ānanda ante ārāmasya uccaśabdo mahāśabdo jātaḥ mahājanakāyasya ca	kim ezaH Ananda ante ArAmasya ucca-SabdaH mahA-SabdaH jAtaH mahA-jana-kAyasya ca
   nirghoṣaḥ? sa kathayati: aśvakapunarvasukābhyām ḥbhikṣūbhyāṃḥ bhikṣūn	nirGozaH? sa kaTayati: aSvaka-punarvasukAByAm HBikzUByAnH BikzUn
   ārabhyā trayaḥ śayanāsanoddeśakāḥ kṛtāḥ, ṣaṭ śayanāsanagrāhakāḥ; bhikṣavaḥ	AraByA trayaH Sayana-Asana-uddeSakAH kRtAH, zaw Sayana-Asana-grAhakAH; BikzavaH
   śayanāsanaṃ na labhante; tenāyam ante ārāmasya uccaśabdo mahāśabdo	Sayana-Asanam na laBante; tena-ayam ante ArAmasya ucca-SabdaH mahA-SabdaH-
   mahājanakāyasya ca nirghoṣaḥ; bhagavān āha: kalahakārakān ānanda mayā	mahA-jana-kAyasya ca nirGozaH; BagavAn Aha: kalaha-kArakAn Ananda mayA
   bhikṣūn saṃdhāya trayaḥ śayanāsanoddeśakāḥ ṣaṭ śayanāsanagrāhakāḥ kṛtāḥ,	BikzUn saMDAya trayaH Sayana-Asana-uddeSakAH zaw Sayana-Asana-grAhakAH kRtAH,
   no 'tra prakṛtisthakānām; tasmān na bhikṣubhiḥ prakṛtisthakān bhikṣūn	naH atra prakRti-sTakAnAm; tasmAt na BikzuBiH prakRti-sTakAn BikzUn
   ārabhya trayaḥ śayanāsanoddeśakāḥ kartavyāḥ ṣaṭ śayanāsanagrāhakāḥ;	AraBya trayaH Sayana-Asana-uddeSakAH kartavyAH zaw Sayana-Asana-grAhakAH;
   kurvanti, sātisārā bhavanti	kurvanti, sa-atisArAH Bavanti
   The mischief of the Six Monks again	The misCief of Te Siz MA-unks agEn
        bhagavān kośaleṣu janapadeṣu cārikān caran anyatarasmin agrāmake	BagavAn koSalezu janapadezu cArikAn caran anyatarasmin agrAmake
   'raṇyāyatane rātrivāsam upagataḥ sārdhaṃ bhikṣusaṃghena; ṣaḍvargikair	araNi-Ayatane rAtri-vAsam upagataH sArDam Bikzu-saMGena; zaxvargikEH-
   bhagavato 'rthāya ekaṃ śobhanavṛkṣaṃ sthāpayitvā (Śay-v 54) anye	BagavataH arTAya ekam SoBana-vRkzam sTApayitvA (Śay-u 54) anye
   śobhanavṛkṣā ātmanā gṛhītāḥ; sthavirasthavirāṇāṃ bhikṣūṇāṃ koṭaravṛkṣā	SoBana-vRkzAH AtmanA gRhItAH; sTavira-sTavirANAm BikzUNAm kowara-vRkzA
