   dvitīyo 'dhyāyaḥ /	dvitIyaH aDyAyaH /
   'kasmācchaktiḥ pratibadhyeta /	akasmAt SaktiH pratibaDyeta /
   tasmādyasyāvadhānānavadhānābhyāmupalabdhyanupalabdhī bhavatastanmanaḥ /	tasmAt yasya avaDAna anavaDAnAByAm upalabDi anupalabDI BavataH tad manaH /
   tathāca śrutiḥ   'anyatrātmanā abhūvaṃ nādarśamanyatramanā abhūvaṃ	taTA ca SrutiH  aanyatra AtmanA aBUvam na AdarSam anyatramanAH aBUvam
   nāśrauṣam' (bṛ. 1.5.3) iti, 'manasā hyeva paśyati manasā śṛṇoti' (bṛ.	na aSrOzam a (bR. 1.5.3) iti, amanasA hi eva paSyati manasA SRNoti a (bR.
   1.5.3) iti /	1.5.3) iti /
   kāmādayaścāsya vṛttaya iti darśayati 'kāmaḥ saṃkalpo vicikitsā	kAma AdayaH ca asya vRttayaH iti darSayati akAmaH saMkalpaH vicikitsA
   śraddhāśraddhā dhṛtiradhṛtirhīrbhīrityetatsarvaṃ mana eva' (bṛ. 1.5.3) iti	SradDA aSradDA DRtiH aDRtiH hIrBIH iti etat sarvam manaH eva a (bR. 1.5.3) iti
   tasmādyuktametat /	tasmAt yuktam etat /
   'tadguṇasāratvāttadvyapadeśaḥ' iti // 32 //	atad guNa sAra tvAt tat vyapadeSaHa iti // 32 //
   14 kartrādhikaraṇam / sū. 33 40	14 kartrA aDikaraNam / sU. 33 40
   kartā śāstrārthavattvāt | BBs_2,3.33 |	kartA SAstra arTavat tvAt | BBH _2,3.33 |
   tadguṇasāratvādhikāreṇaivāparo 'pi jīvadharmaḥ prapañcyate /	tad guNa sAra tva aDikAreNa eva aparaH api jIva DarmaH prapaQcyate /
   kartā cāyaṃ jīvaḥ syāt /	kartA ca ayam jIvaH syAt /
   kasmāt /	kasmAt /
   śāstrārthatvāt /	SAstra arTa tvAt /
   evañca 'yajeta' 'juhuyāt' 'dadyāt' ityevaṃvidhaṃ	evaQca ayajeta a ajuhuyAt a adadyAt a iti evaMviDam
   vidiśāstramarthavadbhavati /	vidiSa astram arTavat Bavati /
   anyathā tadanarthakaṃ syāt /	anyaTA tad anarTakam syAt /
   taddhi kartuḥ sataḥ kartavyaviśeṣamupadiśati /	tat hi kartuH sataH kartavya viSezam upadiSati /
   nacāsati kartṛtve tadupapadyeta /	naca asati kartR tve tat upapadyeta /
   tathedamapi śāstramarthavadbhavati eṣa hi draṣṭā śrotā mantā boddhā kartā	taTA idam api SAstram arTavat Bavati eza hi drazwA SrotA mantA bodDA kartA
   vijñānātmā puruṣaḥ (pra. 5.9) iti // 33 //	vijQAna AtmA puruzaH (pra. 5.9) iti // 33 //
   vihāropadeśāt | BBs_2,3.34 |	vihAra upadeSAt | BBH _2,3.34 |
   itaśca jīvasya kartṛtvaṃ, yajjīvaprakriyāyāṃ saṃdhye sthāne	itas ca jIvasya kartR tvaM, yat jIva prakriyAyAm saMDye sTAne
   vihāramupadiśati  'sa īyate 'mṛto yatra kāmam' (bṛ. 4.3.12) iti, 'sve	vihAram upadiSati asaH Iyate amRtaH yatra kAmam a (bR. 4.3.12) iti, asve
   śarīre yathākāmaṃ parivartate' (bṛ. 2.1.18) iti ca // 34 //	SarIre yaTAkAmam parivartate a (bR. 2.1.18) iti ca // 34 //
   FN: saṃdhye sthāne svapnāvasthānam /	FN: saMDye sTAne svapna avasTAnam /
   īyate gacchati /	Iyate gacCati /
   upādānāt | BBs_2,3.35 |	upAdAnAt | BBH _2,3.35 |
   itaścāsya kartṛtvaṃ, yajjīvaprakriyāyāmeva karaṇānāmupādānaṃ saṃkīrtayati 	itas ca asya kartR tvaM, yat jIva prakriyAyAm eva karaNAnAm upAdAnam saMkIrtayati 
   'tadeṣāṃ prāṇānāṃ vijñānena vijñānamādāya' (bṛ. 21.1.17) iti,	atadezAm prANAnAm vijQAnena vijQAnam AdAya a (bR. 21.1.17) iti,
   'prāṇāngṛhītvā' (bṛ. 2.1.18) iti ca // 35 //	aprANAn gRhItvA a (bR. 2.1.18) iti ca // 35 //
   FN: prāṇānāmindryāṇāṃ vijñānena buddhyā vijñānaṃ grahaṇaśaktimādāya svāpe	FN: prANAnAm indryANAm vijQAnena budDyA vijQAnam grahaNa Saktim AdAya svApe
   jīvo hṛdayametīti yojanā /	jIvaH hRdayam eti iti yojanA /
   vyapadeśāc ca kriyāyāṃ na cen nirdeśaviparyayaḥ | BBs_2,3.36 |	vyapadeSAt ca kriyAyAm na ced nirdeSa viparyayaH | BBH _2,3.36 |
   itaśca jīvasya kartṛtvaṃ, yadasya laukikīṣu vaidikīṣu ca kriyāsu kartṛtvaṃ	itas ca jIvasya kartR tvaM, yat asya lOkikIzu vEdikIzu ca kriyAsu kartR tvam
   vyapadiśati śāstram  'vijñānaṃ yajñaṃ tanute karmāṇi tanute 'pi ca' (tai.	vyapadiSati SAstram avijQAnam yajQam tanute karmANi tanute api ca a (tE.
   2.5.1) iti /	2.5.1) iti /
   nanu vijñānacchabdo buddhau samadhigataḥ /	nanu vijQAna= SabdaH budDO samaDigataH /
   kathamanena jīvasya kartṛtvaṃ sūcyata iti /	kaTam anena jIvasya kartR tvam sUcyate iti /
   netyucyate /	na iti ucyate /
   jīvasyaivaiṣa nirdeśo na buddheḥ /	jIvasya eva eza nirdeSaH na budDeH /
   na cejjīvasya syānnirdeśaviparyayaḥ syāt /	na ced jIvasya syAt nirdeSa viparyayaH syAt /
   vijñānenetyevaṃ niradekṣyāt /	vijQAnena iti evam niradekzyAt /
   tathā hyanyatra buddhivivakṣāyāṃ vijñānaśabdasya karaṇavibhaktinirdeśo	taTA hi anyatra budDi vivakzAyAm vijQAna Sabdasya karaNa viBakti nirdeSaH 
   dṛśyate 'tadeṣāṃ prāṇānāṃ vijñānena vijñānamādāya' (bṛ. 2.1.17) iti /	dRSyate atadezAm prANAnAm vijQAnena vijQAnam AdAya a (bR. 2.1.17) iti /
   iha tu ' vijñānaṃ yajñaṃ tanute' (tai. 2.5.1) iti	iha tu a vijQAnam yajQam tanute a (tE. 2.5.1) iti
   kartṛsamānādhikaraṇanirdeśādbuddhivyatiriktasyaivātmanaḥ kartṛtvaṃ sūcyata	kartR samAna aDikaraNa nirdeSAt budDi vyatiriktasya eva AtmanaH kartR tvam sUcyata
   ityadoṣaḥ // 36 //	iti adozaH // 36 //
   atrāha  yadi buddhivyatirikto jīvaḥ kartā syātsa svatantraḥ sanpriyaṃ	atra aha yadi budDi vyatiriktaH jIvaH kartA syAt sa svatantraH san priyam
   hitaṃ caivātmano niyamena saṃpādayenna viparītam /	hitam ca eva AtmanaH niyamena saMpAdayet na viparItam /
   viparītamapi tu saṃpādayannupalabhyate /	viparItam api tu saMpAdayan= upalaByate /
   naca svatantrasyātmana īdṛśī pravṛttiraniyamenopapadyata iti /	na ca svatantrasya AtmanaH IdRSI pravRttiH aniyamena upapadyate iti /
   ata uttaraṃ paṭhati 	atas uttaram paWati 
   upalabdhivadaniyamaḥ | BBs_2,3.37 |	upalabDi vat aniyamaH | BBH _2,3.37 |
   yathāyamātmopalabdhiṃ prati svatantro 'pyaniyameneṣṭamaniṣṭaṃ copalabhata	yaTA ayam Atma upalabDim prati svatantraH api aniyamena izwam anizwam ca upalaBata
   evamaniyamenaiveṣṭamaniṣṭaṃ ca saṃpādayiṣyati /	evam aniyamena eva izwam anizwam ca saMpAdayizyati /
   upalabdhāvapyasvātantryamupalabdhihetūpādānopalambhāditi cet /	upalabDO= api asvAtantryam upalabDi hetu upAdAna upalamBAt iti ced /
   na /	na /
   viṣayaprakalpanāmātraprayojanatvādupalabdhihetūnām /	vizaya prakalpanA mAtra prayojana tvAt upalabDi hetUnAm /
   upalabdhau tvananyāpekṣatvamātmanaścaitanyayogāt /	upalabDO tu ananya apekza tvam AtmanaH cEtanya yogAt /
   apicārthakriyāyāmapi nātyantamātmanaḥ svātantryamasti	apicArTa kriyAyAm api na atyantam AtmanaH svAtantryam asti
   deśakālanimittaviśeṣāpekṣatvāt /	deSa kAla nimitta viSeza apekza tvAt /
   naca sahāyāpekṣasya kartuḥ kartṛtvaṃ nivartate /	na ca sahAya apekzasya kartuH kartR tvam nivartate /
   bhavati hyedhodakādyapekṣasyāpi paktuḥ paktṛtvam /	Bavati hi eDA udaka Adi apekzasya api paktuH paktR tvam /
   sahakārivaicitryācceṣṭāniṣṭārthakriyāyāmaniyamena pravṛttirātmano na	saha kAri vEcitryAt cezwA anizwa arTa kriyAyAm aniyamena pravRttiH AtmanaH na
   virudhyate // 37 //	viruDyate // 37 //
   śaktiviparyayāt | BBs_2,3.38 |	Sakti viparyayAt | BBH _2,3.38 |
   itaśca vijñānavyatirikto jīvaḥ kartā bhavitumarhati /	itas ca vijQAna vyatiriktaH jIvaH kartA Bavitum arhati /
   yadi purvijñānaśabdavācyā buddhireva kartrī syāttataḥ śaktiviparyayaḥ syāt	yadi purvijQAna Sabda vAcyA budDiH eva kartrI syAt tatas Sakti viparyayaH syAt 
   karaṇaśaktirbuddherhīyeta kartṛśaktiścāpadyeta /	karaNa SaktiH budDeH hIyeta kartR SaktiH ca Apadyeta /
   satyāṃ ca buddheḥ kartṛśaktau tasyā	satyAm ca budDeH kartR SaktO tasyAH 
   evāhaṃpratyayaviṣayatvamabhyupagantavyam /	eva ahaMpratyaya vizaya tvam aByupagantavyam /
   ahaṅkārapūrvikāyā eva pravṛtteḥ sarvatra darśanāt /	ahaFkAra pUrvikAyAH eva pravRtteH sarvatra darSanAt /
   ahaṃ gacchāmyahamāgacchāmyahaṃ bhuñjo 'haṃ pibāmīti ca /	aham gacCAmi aham AgacCAmi aham BuQjaH aham pibAmi iti ca /
   tasyāśca kartṛśaktiyuktāyāḥ sarvārthakārī karaṇamanyatkalpayitavyam /	tasyAH ca kartR Sakti yuktAyAH sarva arTa kArI karaNam anyat kalpayitavyam /
   śakto 'pi hi sankartā karaṇamupādāya kriyāsu pravartamāno dṛśyata iti /	SaktaH api hi sankartA karaNam upAdAya kriyAsu pravartamAnaH dRSyate iti /
   tataśca saṃjñāmātre vivādaḥ syānna vastubhedaḥ kaścit /	tatas ca saMjQA mAtre vivAdaH syAt na vastu BedaH kaScid /
   karaṇavyatiriktasya kartṛtvābhyupagamāt // 38 //	karaNa vyatiriktasya kartR tva aByupagamAt // 38 //
   samādhyabhāvāc ca | BBs_2,3.39 |	samADi aBAvAt ca | BBH _2,3.39 |
   yo 'pyayamaupaniṣadātmapratipattiprayojanaḥ samādhirupadiṣṭo vedānteṣu 	yaH api ayam Opanizad Atma pratipatti prayojanaH samADiH upadizwaH vedAntezu 
   'ātmā vā are draṣṭavyaḥ śrotavyo mantavyo nididhyasitavya so 'nveṣṭavyaḥ	aAtmA vE are drazwavyaH SrotavyaH mantavyaH nidiDyasitavya saH anvezwavyaH
   sa vijijñāsitavyaḥ' (bṛ. 2.4.5), 'ātmetyevaṃ dhyāyatha ātmānam' (muṇḍa.	sa vijijQAsitavyaH a (bR. 2.4.5), aAtmA iti evam DyAyaTa AtmAnam a (muNxa.
   2.2.6) ityevaṃlakṣaṇaḥ, so 'pyasatyātmanaḥ kartṛtve nopapadyeta /	2.2.6) iti evaMlakzaNaH, saH api asati AtmanaH kartR tve na upapadyeta /
   tasmādapyasya kartṛtvasiddhiḥ // 39 //	tasmAt api asya kartR tva sidDiH // 39 //
   15 takṣādhikaraṇam // sū. 40	15 takza aDikaraNam // sU. 40
   yathā ca takṣobhayathā | BBs_2,3.40 |	yaTA ca takzoBa yaTA | BBH _2,3.40 |
   evaṃ tāvacchāstrārthavattvādibhirhetubhiḥ kartṛtvaṃ śārīrasya pradarśitaṃ,	evam tAvat SAstra arTavat tva AdiBiH hetuBiH kartR tvam SArIrasya pradarSitaM,
   tatpunaḥ svābhāvikaṃ vā syādupādhinimittaṃ veti cintyate /	tat punar svABAvikam vA syAt upADi nimittam vA iti cintyate /
   tatraitaireva śāstrārthavattvādibhirhetubhiḥ svābhāvikaṃ	tatra etEH eva SAstra arTavat tva AdiBiH hetuBiH svABAvikam
   kartṛtvamapavādahetvabhāvāditi /	kartR tvam apavAda hetu aBAvAt iti /
   evaṃ prāpte brūmaḥ /	evam prApte brUmaH /
   na svābhāvikaṃ kartṛtvamātmanaḥ saṃbhavati, anirmokṣaprasaṅgāt /	na svABAvikam kartR tvam AtmanaH saMBavati, anirmokza prasaFgAt /
   kartṛtvasvabhāve hyātmano na kartṛtvānnirmokṣaḥ saṃbhavati, agnerivauṣṇyāt	kartR tva svaBAve hi AtmanaH na kartR tvAt nirmokzaH saMBavati, agneH iva OzNyAt 
   naca kartṛtvādanirmuktasyāsti puruṣārthasiddhiḥ, kartṛtvasya	na ca kartR tvAt anirmuktasya asti puruza arTa sidDiH, kartR tvasya
   duḥkharūpatvāt /	duHKa rUpa tvAt /
   nanu sthitāyāmapi kartṛtvaśaktau kartṛtvakāryaparihārātpuruṣārthaḥ	nanu sTitAyAm api kartR tva SaktO kartR tva kArya parihArAt puruza arTaH
   setsyati /	setsyati /
   tatparihāraśca nimittaparihārāt /	tad parihAraH ca nimitta parihArAt /
   yathāgnerdahanaśaktiyuktasyāpi kāṣṭhaviyogāddahanakāryābhāvāt /	yaTA agneH dahana Sakti yuktasya api kAzWa viyogAt dahana kArya aBAvAt /
   na /	na /
   nimittānāmapi śaktilakṣaṇena saṃbandhena	nimittAnAm api Sakti lakzaNena saMbanDena
   saṃbaddhānāmatyantaparihārāsaṃbhavāt /	saMbadDAnAm atyanta parihAra asaMBavAt /
   nanu mokṣasādhanavidhānānmokṣaḥ setsyati /	nanu mokza sADana viDAnAt mokzaH setsyati /
   na /	na /
   sādhanāyattasyānityatvāt /	sADana Ayattasya anitya tvAt /
   apica nityaśuddhabuddhamuktātmapratipādanānmokṣasiddhirabhimatā /	api ca nitya SudDa budDa muktA Atma pratipAdanAt mokza sidDiH aBimatA /
   tādṛgātmapratipādanaṃ ca na svābhāvike kartṛtve 'vakalpeta /	tAdRS Atma pratipAdanam ca na svABAvike kartR tve avakalpeta /
   tasmādupādhidharmādhyāsenaivātmanaḥ kartṛtvaṃ na svābhāvikam /	tasmAt upADi Darma aDyAsena eva AtmanaH kartR tvam na svABAvikam /
   tathāca śrutiḥ   'dhyāyatīva lelāyatīva' (bṛ. 4.3.7) iti /	taTA ca SrutiH  aDyAyati iva lelAyati iva a (bR. 4.3.7) iti /
   'ātmendriyamanoyuktaṃ bhoktetyāhurmanīṣiṇaḥ(kaṇṭha. 3.4) iti	aAtma indriya manaH yuktam BoktA iti AhuH manIziNaH( kaNWa. 3.4) iti
   copādhisaṃpṛktasyaivātmano bhoktetyādiviśeṣalābhaṃ darśayati /	ca upADi saMpRktasya eva AtmanaH BoktA ityAdi viSeza lABam darSayati /
   nahi vivekināṃ parasmādanyo jīvo nāma kartā bhoktā vā vidyate /	na hi vivekinAm parasmAt anyaH jIvaH nAma kartA BoktA vA vidyate /
   'nānyo 'to 'sti draṣṭā' (bṛ. 4.3.23) ityādiśravaṇāt /	anAnyaH atas asti drazwA a (bR. 4.3.23) ityAdi SravaNAt /
   para eva tarhi saṃsārī kartā bhoktā ca prasajyeta,	paraH eva tarhi saMsArI kartA BoktA ca prasajyeta,
   parasmādanyaśceccitimāñjīvaḥ kartā buddhyādisaṃghātavyatirikto na syāt /	parasmAt anyaH ced citi mAQjIvaH kartA budDi Adi saMGAta vyatiriktaH na syAt /
   na /	na /
   avidyāpratyupasthāpitatvātkartṛtvabhoktṛtvayoḥ /	avidyA pratyupasTApita tvAt kartR tva BoktR tvayoH /
   tathāca śāstram  'yatra hi dvaitamiva bhavati taditara itaraṃ paśyati'	taTA ca SAstram ayatra hi dvEtam iva Bavati tad itaraH itaram paSyati a
   (bṛ. 2.4.14) ityavidyāvasthāyāṃ kartṛtvabhoktṛtve darśayitvā	(bR. 2.4.14) iti avidyA avasTAyAm kartR tva BoktR tve darSayitvA
   vidyāvasthāyāṃ te eva kartṛtvabhoktṛtve nivārayati  'yatra tvasya	vidyA avasTAyAm te eva kartR tva BoktR tve nivArayati ayatra tu asya
   sarvamātmaivābhūttatkena kaṃ paśyet' (bṛ. 2.4.14) iti /	sarvam AtmA eva aBUt tat kena kam paSyet a (bR. 2.4.14) iti /
   tathā svapnajāgaritayorātmana upādhisaṃparkakṛtaṃ śramaṃ śyenasyevākāśe	taTA svapna jAgaritayoH AtmanaH upADi saMparka kRtam Sramam Syenasya iva AkASe
   viparipatataḥ śrāvayitvā tadabhāvaṃ suṣuptau prājñenātmanā	viparipatataH SrAvayitvA tad aBAvam suzuptO prAjQena AtmanA
   saṃpariṣvaktasya śrāvayati  'tadvā asyaitadāptakāmamātmakāmamakāmaṃ rūpaṃ	saMparizvaktasya SrAvayati atat vA asya etat Apta kAmam Atma kAmam akAmam rUpam
   śokāntaram (bṛ. 4.3.21) ityārabhya eṣāsya paramā gatireṣāsya paramā	Soka antaram (bR. 4.3.21) iti AraByaH eza asya paramA gatiH eza asya paramA
   saṃpadeṣo 'sya paramo loka eṣo 'syaparama ānandaḥ (bṛ. 4.3.32)	saMpadezaH asya paramaH lokaH ezaH asi aparamaH AnandaH (bR. 4.3.32)
   ityupasaṃhārāt /	iti upasaMhArAt /
   tadetadāhācāryaḥ   yathā ca takṣobhayathā iti /	tat etat Aha AcAryaH  yaTA ca takzoBa yaTAH iti /
   tvarthe cāyaṃ caḥ paṭhitaḥ /	tu arTe ca ayam caH paWitaH /
   naivaṃ mantavyaṃ svābhāvikamevātmanaḥ kartṛtvamagnerivauṣṇyamiti /	na evam mantavyam svABAvikam eva AtmanaH kartR tvam agneH iva OzNyam iti /
   yathā tu takṣā loke vāsyādikaraṇahastaḥ kartā duḥkhī bhavati sa eva	yaTA tu takzA loke vA asya Adi karaNa hastaH kartA duHKI Bavati saH eva
   svagṛhaṃ prāpto vimuktavāsyādikaraṇaḥ svastho nivṛtto nirvyāpāraḥ sukhī	sva gRham prAptaH vimukta vAsya Adi karaNaH svasTaH nivRttaH nirvyApAraH suKI
   bhavatyevamavidyāpratyupasthāpitadvaitasaṃpṛkta ātmā	Bavati evam avidyA pratyupasTApita dvEta saMpRktaH AtmA
   svapnajāgaritāvasthayoḥ kartā duḥkhī bhavati sa tacchramāpanuttaye	svapna jAgarita avasTayoH kartA duHKI Bavati sa tat Srama apanuttaye
   svamātmānaṃ paraṃ brahma praviśya vimuktakāryakaraṇasaṃghāto 'kartā sukhī	svam AtmAnam param brahma praviSya vimukta kArya karaNa saMGAtaH akartA suKI
   bhavati saṃprasādāvasthāyām /	Bavati saMprasAda avasTAyAm /
   tathā muktyavasthāyāmapyavidyādhvāntaṃ vidyāpradīpena vidhūyātmaiva kevalo	taTA mukti avasTAyAm api avidyA Dva antam vidyA pradIpena viDUya AtmA eva kevalaH 
   nivṛttaḥ sukhī bhavati /	nivRttaH suKI Bavati /
   takṣadṛṣṭāntaścaitāvatāṃ'śena draṣṭavyaḥ /	takza dRzwAntaH ca etAvatAM aSena drazwavyaH /
   takṣā hi viśiṣṭheṣu takṣaṇādivyāpāreṣvapekṣyaiva pratiniyatāni karaṇāni	takzA hi viSizWezu takzaNa Adi vyApArezu apekzya eva pratiniyatAni karaNAni
   vāsyādīni kartā bhavati /	vAsya AdIni kartA Bavati /
   svaśarīreṇa tvakartaiva /	sva SarIreNa tu akartA eva /
   evamayamātmā sarvavyāpāreṣvapekṣyaiva manaādīni karaṇāni kartā bhavati,	evam ayam AtmA sarva vyApArezu apekzya eva manaA AdIni karaNAni kartA Bavati,
   svātmanā tvakartaiveti /	sva AtmanA tu akartA eva iti /
   natvātmanasthakṣṇa ivāvayavāḥ santi yairhastādibhiriva vāsyādīni takṣā	natvAtmana sTakzNaH iva avayavAH santi yEH hasta AdiBiH iva vA asya AdIni takzA
   manaādīni karaṇānyātmopādadīta nyasyedvā /	manaA AdIni karaNAni Atma upAdadIta nyasyet vA /
   yattūktaṃ śāstrārthavattvādibhirhetubhiḥ svābhāvikamātmanaḥ kartṛtvamiti /	yat tu uktam SAstra arTavat tva AdiBiH hetuBiH svABAvikam AtmanaH kartR tvam iti /
   tanna /	tat na /
   vidhiśāstraṃ tāvadyathāprāptaṃ kartṛtvamupādāya kartavyaviśeṣamupadiśati	viDi SAstram tAvat yaTAprAptam kartR tvam upAdAya kartavya viSezam upadiSati
   na kartṛtvamātmanaḥ pratipādayati /	na kartR tvam AtmanaH pratipAdayati /
   naca svābhāvikamasya kartṛtvamiti brahmātmatvopadeśādityavocāma /	na ca svABAvikam asya kartR tvam iti brahma Atma tva upadeSAt iti avocAma /
   tasmādavidyākṛtaṃ kartṛtvamupādāya vidhiśāstraṃ pravartiṣyate /	tasmAt avidyA kRtam kartR tvam upAdAya viDi SAstram pravartizyate /
   kartā vijñānātmā puruṣa ityevañjātīyakamapi	kartA vijQAna AtmA puruzaH iti evan jAtIyakam api
   śāstramanuvādarūpatvādyathāprāpyamevāvidyākṛtaṃ kartṛtvamanuvadiṣyati /	SAstram anuvAda rUpa tvAt yaTA prApyam eva avidyA kRtam kartR tvam anuvadizyati /
   etena vihāropādāne parihṛte /	etena vihAra upAdAne parihRte /
   tayorapyanuvādarūpatvāt /	tayoH api anuvAda rUpa tvAt /
   nanu saṃdhye sthāne prasupteṣu karaṇeṣu sve śarīre yathākāmaṃ parivartata	nanu saMDye sTAne prasuptezu karaNezu sve SarIre yaTAkAmam parivartata
   iti vihāra upadiśyamānaḥ kevalasyātmanaḥ kartṛtvamāvahati /	iti vihAraH upadiSyamAnaH kevalasya AtmanaH kartR tvam Avahati /
   tathopādāne 'pi 'tadeṣāṃ prāṇānāṃ vijñānena vijñānamādāya' iti karaṇeṣu	taTA upAdAne api atadezAm prANAnAm vijQAnena vijQAnam AdAya a iti karaNezu
   karmakaraṇavibhaktī śrūyamāṇe kevalasyātmanaḥ kartṛtvaṃ gamayata iti /	karma karaNa viBaktI SrUyamANe kevalasya AtmanaH kartR tvam gamayate iti /
   atrocyate  na tāvatsaṃdhye sthāne 'tyantamātmanaḥ karaṇaviramaṇamasti /	atra ucyate na tAvat saMDye sTAne atyantam AtmanaH karaNa viramaNam asti /
   'sadhīḥ svapno bhūtvemaṃ lokamatikrāmati' (bṛ.4.3.7) iti tatrāpi	asaDIH svapnaH BUtvA imam lokam atikrAmati a (bR.4.3.7) iti tatra api
   dhīsaṃbandhaśravaṇāt / tathāca smaranti  'indriyāṇāmuparame mano	DI saMbanDa SravaNAt / taTA ca smaranti aindriyANAm uparame manaH 
   'nuparataṃ yadi / sevate viṣayāneva tadvidyātsvapnadarśanam' iti /	anuparatam yadi / sevate vizayAn eva tat vidyAt svapna darSanam a iti /
   'kāmādayaśca manaso vṛttayaḥ' iti śrutiḥ / tāśca svapne dṛśyante /	akAma AdayaH ca manasaH vRttayaH a iti SrutiH / tAH ca svapne dRSyante /
   tasmātsamanā eva svapne viharati / vihāro 'pi ca tatratyo vāsanāmaya eva	tasmAt samanAH eva svapne viharati / vihAraH api ca tatratyaH vAsanAmayaH eva
   natu pāramārthiko 'sti / tathāca śrutirivākārānubaddhameva svapnavyāpāraṃ	na tu pAramArTikaH asti / taTA ca SrutiH iva AkAra anubadDam eva svapna vyApAram
   varṇayati  'uteva strībhiḥ saha modamāno jakṣadutevāpi bhayāni paśyan'	varNayati auta iva strIBiH saha modamAnaH jakzat uteva api BayAni paSyan a
   (bṛ. 4.3.13) iti / laukikā api tathaiva svapnaṃ kathayanti  ārukṣamiva	(bR. 4.3.13) iti / lOkikAH api taTA eva svapnam kaTayanti Arukzam iva
   giriśṛṅgamadrākṣamiva vanarājimiti /	giri SRFgam adrAkzam iva vanarAjim iti /
   tathopādāne 'pi yadyapi karaṇeṣu karmakaraṇavibhaktinirdeśastathāpi	taTA upAdAne api yadi api karaNezu karma karaNa viBakti nirdeSaH taTA api
   tatsaṃpṛktasyaivātmanaḥ kartṛtvaṃ draṣṭavyam /	tad saMpRktasya eva AtmanaH kartR tvam drazwavyam /
   kevale kartṛtvāsaṃbhavasya darśitatvāt /	kevale kartR tva asaMBavasya darSita tvAt /
   bhavati ca loke 'nekaprakārā vivakṣā yodhā yudhyante yodhai rājā yudhyata	Bavati ca loke aneka prakArAH vivakzAH yoDAH yuDyante yoDEH rAjA yuDyata
   iti /	iti /
   apicāsminnupādāne karaṇavyāpāroparamamātraṃ vivakṣyate na svātantryaṃ	api cA asmin= upAdAne karaNa vyApAra uparama mAtram vivakzyate na svAtantryam
   kasyacidabuddhipūrvakasyāpi svāpe karaṇavyāpāroparamasya dṛṣṭatvāt /	kasyacid abudDi pUrvakasya api svApe karaNa vyApAra uparamasya dRzwa tvAt /
   yastvayaṃ vyapadeśo darśitaḥ 'vijñānaṃ yajñaṃ tanute' iti, sa buddhereva	yaH tu ayam vyapadeSaH darSitaH avijQAnam yajQam tanute a iti, sa budDeH eva
   kartṛtvaṃ prāpayati /	kartR tvam prApayati /
   vijñānaśabdasya tatra prasiddhatvāt /	vijQAna Sabdasya tatra prasidDa tvAt /
   manonantaraṃ pāṭhācca /	manaH nantaram pAWAt ca /
   'tasya śraddhaiva śiraḥ' (tai. 2.4) iti ca vijñānamayasyātmanaḥ	atasya SradDA eva SiraH a (tE. 2.4) iti ca vijQAna mayasya AtmanaH
   śraddhādyavayavatvasaṃkīrtanāt /	SradDA Adi a vayava tva saMkIrtanAt /
