   śrī-bhāgavata-sandarbhe prathamaḥ	SrI--BAgavata--sandarBe praTamaH
   ahaṅkārau | guṇānāṃ vaiṣamyāt pariṇāmāt | brahmaṇaḥ parameśvarāt	ahaFkArO | guNAnAm vEzamyAt pariNAmAt | brahmaNaH parameSvarAt-
   kartṛ-bhūtādīnāṃ janma sargaḥ | puruṣo vairājo brahmā, tat-kṛtaḥ pauruṣaś	kartR-BUta-AdInAm janma sargaH | puruzaH vErAjaH brahmA, tat-kRtaH pOruzaH-
   carācara-sargo visarga ity arthaḥ |	carAcara--sargaH visargaH iti arTaH |
   sthitir vaikuṇṭha-vijayaḥ poṣaṇaṃ tad-anugrahaḥ	sTitiH vEkuNWa-vijayaH pozaNam tad--anugrahaH
   manvantarāṇi sad-dharma ūtayaḥ karma-vāsanāḥ	manvantarANi sad-DarmaH UtayaH karma--vAsanAH
   avatārānucaritaṃ hareś cāsyānuvartinām	avatAra-anucaritam hareH ca-asya-anuvartinAm
   puṃsām īśa-kathāḥ proktā nānākhyānopabṛṃhitāḥ || (BhP 2.10.4-5)	puMsAm ISa--kaTAH proktAH nAnA-AKyAna-upabRMhitAH || (Bhj 2.10.4-5)
   vaikuṇṭhasya bhagavato vijayaḥ sṛṣṭānāṃ tat-tan-maryādā-pālanenotkarṣaḥ |	vEkuNWasya BagavataH vijayaH sRzwAnAm tat-tan--maryAdA--pAlanena-utkarzaH |
   sthitiḥ sthānam | tataḥ sthiteṣu svabhakteṣu tasyānugrahaḥ poṣaṇam |	sTitiH sTAnam | tatas sTitezu sva-Baktezu tasya-anugrahaH pozaNam |
   manvantarāṇi tat-tan-manvantara-sthitānāṃ manvādīnāṃ tad-anugṛhītānāṃ	manvantarANi tat-tan--manvantara--sTitAnAm manu-AdInAm tad--anugRhItAnAm
   satāṃ caritāni, tāny eva dharmas tad-upāsanākhyaḥ sad-dharmaḥ | tatraiva	satAm caritAni, tAni eva DarmaH tad--upAsana-AKyaH sad-DarmaH | tatra-eva
   sthitau nānā-karma-vāsanā ūtayaḥ | sthitāv eva harer avatārānucaritam	sTitO nAnA-karma--vAsanAH UtayaH | sTitO eva hareH avatAra-anucaritam
   asyānuvartināṃ ca kathā īśānukathāḥ proktā ity arthaḥ |	asya-anuvartinAm ca kaTAH ISa-anukaTAH proktAH iti arTaH |
   nirodho 'syānuśayanam ātmanaḥ saha śaktibhiḥ |	niroDaH asya-anuSayanam AtmanaH saha SaktiBiH |
   muktir hitvānyathā rūpaṃ sva-rūpeṇa vyavasthitiḥ || (BhP 2.10.6)	muktiH hitvA-anyaTA rUpam sva---rUpeNa vyavasTitiH || (Bhj 2.10.6)
   sthity-anantaraṃ cātmano jīvasya śaktibhiḥ svopādhibhiḥ sahāsya harer	sTiti--anantaram ca-AtmanaH jIvasya SaktiBiH sva-upADiBiH saha-asya hareH-
   anuśayanaṃ, hari-śayanānugatatvena śayanaṃ nirodha ity arthaḥ | tatra	anuSayanaM, hari--Sayana-anugata-tvena Sayanam niroDaH iti arTaH | tatra
   hareḥ	hareH
   śayanaṃ prapañcaṃ prati dṛṣṭi-nimīlanam | jīvānāṃ śayanaṃ tatra laya iti	Sayanam prapaQcam prati dRzwi--nimIlanam | jIvAnAm Sayanam tatra layaH iti
   jñeyam | tatraiva nirodhe'nyathārūpam avidyādhyastam ajñatvādikaṃ hitvā	jQeyam | tatra-eva niroDe-anyaTArUpam avidyA-aDyastam ajQa-tva-Adikam hitvA
   svarūpeṇa vyavasthitir muktiḥ ||57||	sva-rUpeNa vyavasTitiH muktiH ||57||
   BD: sargādīn daśa vyutpādayati tad evam ity ādinā | brahmaṇaḥ	BD: sarga-AdIn daSa vyutpAdayati tat evam iti AdinA | brahmaNaH
   parameśvarād iti | kāraṇa-sṛṣṭiḥ pārameśvarī | kārya-sṛṣṭis tu vairiñcīty	parameSvarAt iti | kAraNa-sRzwiH pArameSvarI | kArya-sRzwiH tu vEriQcI-iti-
   arthaḥ | muktir iti bhagavad-vaimukhyānugatayā'vidyayā racitam anyathā-	arTaH | muktiH iti Bagavat--vEmuKya-anugatayA-avidyayA racitam anyaTA-
   rūpaṃ devam ānavādibhāvaṃ hitvā tat-sāmmukhyānupravṛttayā tad-bhaktyā	rUpam devam AnavAdi-BAvam hitvA tat-sAmmuKya-anupravRttayA tad--BaktyA
   vināśya, svarūpeṇāpahata-pāpmatvādi-guṇāṣṭaka-viśiṣṭena jīva-svarūpeṇa	vinASya, sva-rUpeNa-apahata-pApma-tva-Adi--guNa-azwaka-viSizwena jIva--svarUpeNa
   jīvasya vyavasthitir viśiṣṭā punar āvṛtti-śūnyā punar āvṛtti-śūnyā	jIvasya vyavasTitiH viSizwA punar AvRtti-SUnyA punar AvRtti--SUnyA
   bhagavat-	Bagavat-
   sannidhau sthitir muktir ity arthaḥ ||57||	sanniDO sTitiH muktiH iti arTaH ||57||
   ābhāsaś ca nirodhaś ca yato 'sty adhyavasīyate	ABAsaH ca niroDaH ca yatas asti aDyavasIyate
   sa āśrayaḥ paraṃ brahma paramātmeti śabdyate | [BhP 2.10.7]	saH ASrayaH param brahma paramAtmA-iti Sabdyate | [Bhj 2.10.7]
   ābhāsaḥ sṛṣṭiḥ | nirodho layaś ca yato bhavati | adhyavasīyata upalabhyate	ABAsaH sRzwiH | niroDaH layaH ca yatas Bavati | aDyavasIyate upalaByate
   jīvānāṃ jñānendriyeṣu prakāśate ca | sa brahmeti paramātmeti prasiddha	jIvAnAm jQAna-indriyezu prakASate ca | sa brahma-iti paramAtmA-iti prasidDa
   āśrayaḥ kathyate | iti śabdaḥ prakārārthaḥ | tena bhagavān iti ca | asya	ASrayaH kaTyate | iti SabdaH prakAra-arTaH | tena BagavAn iti ca | asya
   vivṛtir	vivRtiH-
   agre vidheyā ||58||	agre viDeyAH ||58||
   BD: atha navabhiḥ sargādibhir lakṣaṇīyam āśraya-tattvam āha ābhāsaś ceti |	BD: aTa navaBiH sarga-AdiBiH lakzaNIyam ASraya--tattvam Aha ABAsaH ca-iti |
   yata iti hetau pañcamī ||58||	yatas iti hetO paQcamI ||58||
   sthitau ca tatrāśraya-svarūpam aparokṣānubhavena vyaṣṭi-dvārāpi spaṣṭaṃ	sTitO ca tatra-ASraya--svarUpam aparokza-anuBavena vyazwi-dvArA-api spazwam
   darśayitum adhyātmādi-vibhāgam āha -	darSayitum aDyAtma-Adi--viBAgam Aha -
   yo 'dhyātmiko 'yaṃ puruṣaḥ so 'sāv evādhidaivikaḥ |	yaH aDyAtmikaH ayam puruzaH saH asO eva-ADidEvikaH |
   yas tatrobhaya-vicchedaḥ puruṣo hy ādhibhautikaḥ ||	yaH tatra-uBaya-vicCedaH puruzaH hi ADiBOtikaH ||
   ekam ekatarābhāve yadā nopalabhāmahe |	ekam ekatara-aBAve yadA na-upalaBAmahe |
   tritayaṃ tatra yo veda sa ātmā svāśrayāśrayaḥ || [BhP 2.10.8-9]	tritayam tatra yaH veda saH AtmA sva-ASraya-ASrayaH || [Bhj 2.10.8-9]
   yo'yam ādhyātmikaḥ puruṣaś cakṣur-ādi-karaṇābhimānī draṣṭā jīvaḥ | sa	yaH-ayam ADyAtmikaH puruzaH cakzuH--Adi-karaNa-aBimAnI drazwA jIvaH | sa
   evādhidaivikaś cakṣur ādy-adhiṣṭhātā sūryādiḥ | deha-sṛṣṭeḥ pūrvaṃ	eva-ADidEvikaH cakzuH Adi--aDizWAtA sUrya-AdiH | deha--sRzweH pUrvam
   karaṇānāām adhiṣṭhānābhāvenākṣamatayā karaṇa-prakāśa-	karaNAnAAm aDizWAna-aBAvena-akzamatayA karaNa--prakASa-
   kartṛtvābhimāni-tat-sahāyayor ubhayor api tayor vṛtti-bhedānudayena	kartR-tva-aBimAni-tat--sahAyayoH uBayoH api tayoH vRtti-BedAn-udayena
   jīvatva-	jIvatva-
   mātrāviśeṣāt | tataś cobhayaḥ karaṇābhimāni-tad-adhiṣṭhātṛ-devatā-rūpo	mAtrA-viSezAt | tatas ca-uBayaH karaNa-aBimAni--tad--aDizWAtR--devatA--rUpaH-
   dvirūpo vicchedo yasmāt | sa ādhibhautikaś cakṣur golakādy-upalakṣito	dvi-rUpaH vicCedaH yasmAt | saH ADiBOtikaH cakzuH golaka-Adi--upalakzitaH-
   dṛśyo	dRSyaH-
   dehaḥ puruṣa iti puruṣasya jīvasyopādhiḥ | sa vā eṣa puruṣo'nna-rasa-mayaḥ	dehaH puruzaH iti puruzasya jIvasya-upADiH | sa vE eza puruzaH-anna--rasa-mayaH
   [TaittaU 2.1] ity ādi śruteḥ ||59||	[TEttaU 2.1] iti Adi SruteH ||59||
   BD: nanu karaṇābhimānino jīvasya karaṇa-pravartaka-sūryāditvam atra	BD: nanu karaNa-aBimAninaH jIvasya karaNa--pravarta-ka-sUrya-Adi-tvam atra
   katham | tatrāha deha-sṛṣṭeḥ pūrvam iti karaṇānām iti | adhiṣṭhānābhāvena	kaTam | tatra-Aha deha--sRzweH pUrvam iti karaNAnAm iti | aDizWAna-aBAvena
   cakṣr golakādyabhāvenety arthaḥ | ubhayor api tayor vṛtti-bhedānudayeneti	cakzr golaka-Adi-aBAvena-iti arTaH | uBayoH api tayoH vRtti-BedAn-udayena-iti
   karaṇānāṃ viṣaya-grahaṇaṃ vṛttiḥ | devatānāṃ tu tatra pravartakatvaṃ	karaNAnAm vizaya-grahaNam vRttiH | devatAnAm tu tatra pravartaka-tvam
   vṛttiḥ |	vRttiH |
   ayam atra niṣkarṣaḥ dehotpatteḥ pūrvam api jīvena sārdham indriyāṇi tad-	ayam atra nizkarzaH deha-utpatteH pUrvam api jIvena sArDam indriyANi tat--
   devatāś ca santy eva | tadā teṣāṃ vṛtty-abhāvāj jīve'ntarbhāvo vivakṣitaḥ	devatAH ca santi eva | tadA tezAm vRtti--aBAvAt jIve-antarBAvaH vivakzitaH
   utpanne tu dehe tayor vibhāgo yad-bhavatīty āha tataś cobhaya iti ||59||	utpanne tu dehe tayoH viBAgaH yat--Bavati-iti Aha tatas ca-uBayaH iti ||59||
   ekam ekatarābhāva ity eṣām anyonya-sāpekṣa-siddhatve nānāśrayatvaṃ	ekam ekatara-aBAvaH iti ezAm anyonya--sa-apekza--sidDa-tve nAnA-ASraya-tvam
   darśayati | tathā hi dṛśyaṃ vinā tat-pratīty-anumeyaṃ karaṇaṃ na sidhyati	darSayati | taTA hi dRSyam vinA tat-prati-iti--anumeyam karaNam na siDyati
   nāpi draṣṭā na ca tad vinā karaṇa-pravṛtty-anumeyas tad-adhiṣṭhātā	na-api drazwA na ca tat vinA karaNa--pravRtti--anumeyaH tad--aDizWAtA
   sūryādiḥ | na ca taṃ vinā karaṇaṃ pravartate | na ca tad vinā dṛyam ity	sUrya-AdiH | na ca tam vinA karaNam pravartate | na ca tat vinA dRyam iti-
   ekatarasyābhāva ekaṃ nopalabhāmahe | tatra tadā tat-tritayam	ekatarasya-aBAvaH ekam na-upalaBAmahe | tatra tadA tat-tritayam
   ālocanātmakena pratyayena | yo veda sākṣitayā paśyati sa paramātmā	Alocana-Atmakena pratyayena | yaH veda sAkzi-tayA paSyati sa paramAtmA
   āśrayaḥ | teṣām api parasparam āśrayatvam astīti tad-vyavacchedārthaṃ	ASrayaH | tezAm api parasparam ASraya-tvam asti-iti tat--vyavacCeda-arTam
   viśeṣaṇaṃ svāśrayo'nanyāśrayaḥ | sa cāsāv anyeṣām āśrayaś ceti |	viSezaNam sva-ASrayaH-ananya-ASrayaH | sa ca-asO anyezAm ASrayaH ca-iti |
   tatrāṃśāṃśinoḥ śuddha-jīva-paramātmanor abhedāṃśa-svīkāreṇaivāśraya	tatra-aMSa-aMSinoH SudDa--jIva--paramAtmanoH aBeda-aMSa--svIkAreNa-eva-ASraya
   uktaḥ | ataḥ paro'pi manute'nartham [BhP 1.7.5] iti |	uktaH | atas paraH-api manute-anarTam [Bhu 1.7.5] iti |
   jāgrat-svapna-suṣuptaṃ ca guṇato buddhi-vṛttayaḥ |	jAgrat--svapna--suzuptam ca guNataH budDi-vRttayaH |
   tāsāṃ vilakṣaṇo jīvaḥ sākṣitvena vivakṣitaḥ || [BhP 11.13.27] iti |	tAsAm vilakzaNaH jIvaH sAkzi-tvena vivakzitaH || [Bhj 11.13.27] iti |
   śuddho vicaṣṭe hy aviśuddha-kartuḥ [BhP 5.11.12] ity ādy uktasya sākṣi-	SudDaH vicazwe hi aviSudDa-kartuH [Bhj 5.11.12] iti Adi uktasya sAkzi-
   saṃjñinaḥ śuddha-jīvasyāśrayatvaṃ na śaṅkanīyam | athavā nanv	saMjQinaH SudDa--jIvasya-ASraya-tvam na SaFkanIyam | aTavA nanu-
   ādhyātmikādīnām apy āśrayatvam asty eva | satyam | tathāpi	ADyAtmika-AdInAm api ASraya-tvam asti eva | satyam | taTA-api
   parasparāśrayatvān na tatrāśrayatākaivalyam iti te tv āśraya-śabdena	paraspara-ASraya-tvAt na tatra-ASrayatA-kEvalyam iti te tu ASraya--Sabdena
   mukhyatayā nocyanta ity āha ekam iti | tarhi sākṣiṇa evāstām āśrayatvam |	muKya-tayA na-ucyantaH iti Aha ekam iti | tarhi sAkziNaH eva-AstAm ASraya-tvam |
   tatrāha tritayam iti | sa ātmā sākṣī jīvas tu yaḥ svāśrayo'nanyāśrayaḥ	tatra-Aha tritayam iti | saH AtmA sAkzI jIvaH tu yaH sva-ASrayaH-ananyASrayaH
   paramātmā sa evāśrayo yasya tathābhūta iti | vakṣyate ca haṃsa-guhya-stave	paramAtmA saH eva-ASrayaH yasya taTABUtaH iti | vakzyate ca haMsa-guhya-stave
   sarvaṃ pumān veda guṇāṃś ca taj-jño na veda sarvajñam anantam īḍe iti [BhP	sarvam pumAn veda guNAn ca taj-jQaH na veda sarvajQam anantam Ixe iti [BhP
   6.4.25] | tasmāt ābhāsaś ca ity ādinoktaḥ paramātmaivāśraya iti ||2.10||	6.4.25] | tasmAt ABAsaH ca iti AdinA-uktaH paramAtmA-eva-ASrayaH iti ||2.10||
   śrī-	SrI-
   śukaḥ ||60||	SukaH ||60||
   BD: ādhyātmikādīnāṃ trayāṇāṃ mithaḥ sāpekṣatvena siddhes teṣām	BD: ADyAtmika-AdInAm trayANAm miTas sa-apekza-tvena sidDeH tezAm
   āśrayatvaṃ nāstīti vyācaṣṭe ekam ekatarety ādinā | tritayam ādhyātmikādi-	ASraya-tvam na-asti-iti vyAcazwe ekam ekatarA-iti AdinA | tritayam ADyAtmika-Adi-
   tritayam | nanu śuddhasya jīvasya dehendriyādi-sākṣitvābhidhānenānyān	tritayam | nanu SudDasya jIvasya deha-indriya-Adi-sAkzi-tvA-aBiDAnena-anyAn
   apekṣatva-siddhes tasyāśrayatvaṃ kuto na brūsa tatrāha atrāṃśāṃśinor iti |	apekza-tva--sidDeH tasya-ASraya-tvam kutas na brUsa tatra-Aha atra-aMSAMSinoH iti |
   aṃśināṃśo'pīha gṛhīta ity arthaḥ | asantoṣād vyākhyāntaram athaveti |	aMSinA-aMSaH-api-iha gRhItaH iti arTaH | asantozAt vyAKyA-antaram aTavA-iti |
   tarhīti	tarhi-iti
   sākṣiṇaḥ śuddha-jīvasya | sarvam iti pumān jīvaḥ ||60||	sAkziNaH SudDa-jIvasya | sarvam iti pumAn jIvaH ||60||
   asya śrī-bhāgavatasya mahā-purāṇatva-vyañjaka-lakṣaṇaṃ prakārāntareṇa ca	asya SrI--BAgavatasya mahA-purANa-tva--vyaQjaka--lakzaNam prakAra-antareNa ca
   vadann api tasyaivāśrayatvam āha dvayena -	vadan api tasya-eva-ASraya-tvam Aha dvayena -
   sargo'syātha visargaś ca vṛttī rakṣāntarāṇi ca |	sargaH-asya-aTa visargaH ca vRttiH rakzA-antarANi ca |
   vaṃśo vaṃśānucaritaṃ saṃsthā hetur apāśrayaḥ ||	vaMSaH vaMSAnucaritam saMsTAH hetuH apASrayaH ||
   daśabhir lakṣaṇair yuktaṃ purāṇaṃ tad-vido viduḥ |	daSaBiH lakzaNEH yuktam purANam tad--vidaH viduH |
   kecit pañca-vidhaṃ brahman mahad-alpa-vyavasthayā ||[BhP 12.7.9-10]	kecid paQca-viDam brahman mahat--alpa--vyavasTayA ||[Bhj 12.7.9-10]
   antarāṇi manvantarāṇi | pañca-vidham -	antarANi manvantarANi | paQca-viDam -
   sargaś ca pratisargaś ca vaṃśo manvantarāṇi ca |	sargaH ca pratisargaH ca vaMSaH manvantarANi ca |
   vaṃśānucaritaṃ ceti purāṇaṃ pañca-lakṣaṇam || iti kecid vadanti |	vaMSAnucaritam ca-iti purANam paQca--lakzaNam || iti kecid vadanti |
   sa ca matabhedo mahad-alpa-vyavasthayā mahā-purāṇam alpa-purāṇam iti	sa ca mata-BedaH mahat--alpa--vyavasTayA mahA-purANam alpa-purANam iti
   bhinnādhikaraṇatvena | yadyapi viṣṇu-purāṇādāv api daśāpi tāni lakṣyante |	Binna-aDikaraNa-tvena | yadi-api vizNu--purANa-AdO api daSA-api tAni lakzyante |
   tathāpi pañcānām eva prādhānyenoktatvād alpatvam | atra daśānām	taTA-api paQcAnAm eva prADAnyena-ukta-tvAt alpa-tvam | atra daSAnAm
   arthānāṃ skandheṣu yathākramaṃ praveśo na vivakṣitaḥ | teṣām dvādaśa-	arTAnAm skanDezu yaTAkramam praveSaH na vivakzitaH | tezAm dvAdaSa-
   saṅkhyatvāt | dvitīya-skandhoktānāṃ teṣāṃ tṛtīyādiṣ yathā-saṅkhyaṃ na	saFKya-tvAt | dvitIya-skanDa-uktAnAm tezAm tRtIya-AdiH yaTA--saFKyam na
   samāveśaḥ | nirodhādīnāṃ daśamādiṣv aṣṭama-varjam | anyeṣām apy	samAveSaH | niroDa-AdInAm daSama-Adizu azwama--varjam | anyezAm api-
   anyeṣu yathokta-lakṣaṇatayā samāveśanāśakyatvād eva | tad uktaṃ śrī-	anyezu yaTA-ukta-lakzaNa-tayA samAveSanA-Sakya-tvAt eva | tat uktam SrI-
   svāmibhir eva -	svAmiBiH eva -
   daśame kṛṣṇa-sat-kīrti-vitānāyopavarṇyate |	daSame kRzNa-sat-kIrti-vitAnAya-upavarNyate |
   dharma-glāni-nimittas tu nirodho duṣṭa-bhūbhujām || iti |	Darma--glAni-nimittaH tu niroDaH duzwa-BUBujAm || iti |
   prākṛtādi-caturdhā yo nirodhaḥ sa tu varṇitaḥ | iti |	prAkRta-Adi-caturDA yaH niroDaH sa tu varNitaH | iti |
   ato'tra skandhe śrī-kṛṣṇa-rūpasyāśrayasyaiva varṇana-prādhānyaṃ tair	atas-atra skanDe SrI-kRzNa--rUpasya-ASrayasya-eva varNana--prADAnyam tEH-
   vivakṣitam | uktaṃ ca svayam eva - daśame daśamaṃ lakṣyam āśritāśraya-	vivakzitam | uktam ca svayam eva  daSame daSamam lakzyam ASrita-ASraya-
   vigraham iti | evam anyatrāpy unneyam | ataḥ prāyaśaḥ sarve'rthāḥ sarveṣv	vigraham iti | evam anyatra-api unneyam | atas prAyaSas sarve-arTAH sarvezu-
   eva skandheṣu guṇatvena vā mukhyatvena vā nirūpyanta ity eva teṣām	eva skanDezu guNa-tvena vA muKya-tvena vA nirUpyantaH iti eva tezAm
   abhimatam | śrutenārthena cāñjasā ity atra ca tathaiva pratipannaṃ	aBimatam | Srutena-arTena ca-aQjasA iti atra ca taTA-eva pratipannam
   sarvatra	sarvatra
   tat-tat-sambhavāt | tataś ca parthama-dvitīyayor api mahā-purāṇatāyāṃ	tat-tat--samBavAt | tatas ca parTama-dvitIyayoH api mahA--purANa-tAyAm
   praveśaḥ syāt | tasmāt kramo na gṛhītaḥ ||61||	praveSaH syAt | tasmAt kramaH na gRhItaH ||61||
   BD: asyeti | prakārāntareṇeti kvacin-nāmāntaratvād arthāntaratvāc cety	BD: asya-iti | prakAra-antareNa-iti kvacin--nAma-antara-tvAt arTa-antara-tvAt ca-iti-
   arthaḥ | etāni daśa-lakṣaṇāni kecit tṛtīyādiṣu krameṇa sthūla-dhiyo	arTaH | etAni daSa--lakzaNAni kecid tRtIya-Adizu krameNa sTUla-Diyo
   yojayanti | tān nirākurvann āha dvitīya-skandhoktānām iti | aṣṭādaśa-	yojayanti | tAn nirAkurvan Aha dvitIya-skanDa-uktAnAm iti | azwAdaSa-
   sahasritvaṃ dvādaśa-skandhitvaṃ ca bhāgavata-lakṣaṇaṃ vyākupyeta |	sahasritvam dvAdaSa-skanDi-tvam ca BAgavata--lakzaNam vyAkupyeta |
   adhyāya-pūrtau bhāgavatatvoktiś ca na sambhaved iti ca bodhyam | śuka-	aDyAya--pUrtO BAgavata-tva-uktiH ca na samBavet iti ca boDyam | Suka-
   bhāṣitaṃ ced bhāgavataṃ tarhi prathamasya dvādaśa-śeṣasya ca	BAzitam ced BAgavatam tarhi praTamasya dvAdaSa-Sezasya ca
   tattvānāpattiḥ | tasmād aṣṭādaśa-sahasri tat-pitur ācāryāc chukenādhītaṃ	tattva-anApattiH | tasmAt azwAdaSa--sahasri tat--pituH AcAryAt Sukena-aDItam
   kathitaṃ ceti sāmprataṃ saṃvādās tu tathaivānādi-siddhā iti sāmpratam	kaTitam ca-iti sAmpratam saMvAdAH tu taTA-eva-anAdi-sidDAH iti sAmpratam
   atha sargādīnāṃ lakṣaṇam āha -	aTa sarga-AdInAm lakzaNam Aha -
   avyākṛta-guṇa-kṣobhān mahatas trivṛto'hamaḥ |	avyAkRta-guNa--kzoBAt mahataH trivRtaH-ahamaH |
   bhūta-mātrendriyārthānāṃ sambhavaḥ sarga ucyate || (BhP 12.7.11)	BUta--mAtra-indriya-arTAnAm samBavaH sargaH ucyate || (Bhj 12.7.11)
   pradhāna-guṇa-kṣobhān mahān, tasmāt triguṇo'haṅkāraḥ | tasmād bhūta-	praDAna--guNa--kzoBAt mahAn, tasmAt triguNaH-ahaFkAraH | tasmAt BUta-
   mātrāṇāṃ bhūta-sūkṣmāṇām indriyāṇāṃ ca | sthūla-bhūtānāṃ ca | tad-	mAtrANAm BUta--sUkzmANAm indriyANAm ca | sTUla-BUtAnAm ca | tat--
   upalakṣita-tad-devatānāṃ ca sambhavaḥ sargaḥ | kāraṇa-sṛṣṭiḥ sarga ity	upalakzita--tad--devatAnAm ca samBavaH sargaH | kAraNa-sRzwiH sargaH iti-
   arthaḥ |	arTaH |
   puruṣānugṛhītānām eteṣāṃ vāsanāmayaḥ |	puruza-anugRhItAnAm etezAm vAsanA-mayaH |
   visargo'yaṃ samāhāro bījād bījaṃ carācaram || (BhP 12.7.12)	visargaH-ayam samAhAraH bIjAt bIjam carAcaram || (Bhj 12.7.12)
   puruṣaḥ paramātmā | eteṣāṃ mahad-ādīnāṃ, jīvasya pūrvakarma-vāsanā-	puruzaH paramAtmA | etezAm mahat--AdInAn, jIvasya pUrva-karma--vAsanA-
   pradhāno'yaṃ samāhāraḥ | kārya-bhūtaś carācara-prāṇi-rūpo bījād bījam	praDAnaH-ayam samAhAraH | kArya-BUtaH carAcara--prANi--rUpaH bIjAt bIjam
   iva pravāhāpanno visarga ucyate | vyaṣṭi-sṛṣṭi-visarga ity arthaḥ |	iva pravAha-ApannaH visargaH ucyate | vyazwi--sRzwi--visargaH iti arTaH |
   anenotir ay	anenotiH ay
   uktā -	uktAH -
   vṛttir bhūtāni bhūtānāṃ carāṇām acarāṇi ca |	vRttiH BUtAni BUtAnAm carANAm acarANi ca |
   kṛtā svena nṝṇāṃ tatra kāmāc codanayāpi vā || (BhP 12.7.13)	kRtA svena nLNAm tatra kAmAt codanayA-api vA || (Bhj 12.7.13)
   carāṇāṃ bhūtānāṃ sāmānyato'carāṇi, cakārāc carāṇi ca kāmād vṛttiḥ | tatra	carANAm BUtAnAm sAmAnyatas-acarANi, cakArAt carANi ca kAmAt vRttiH | tatra
   tu nṝṇāṃ svena svabhāvena kāmāc codanayāpi vā yā niyatā vṛttir	tu nLNAm svena svaBAvena kAmAt codanayA-api vA yA niyatA vRttiH-
   jīvikākṛtā, sā vṛttir ucyata ity arthaḥ |	jIvikA-kRtA, sA vRttiH ucyate iti arTaH |
   rakṣācyutāvatārehā viśvasyānuyuge yuge |	rakzA-acyuta-avatAra-IhAH viSvasya-anuyuge yuge |
   tiryaṅ-martyarṣideveṣu hanyante yais trayī-dviṣaḥ || (BhP 12.7.14)	tiryaF-martya-Rzi-devezu hanyante yEH trayI-dvizaH || (Bhj 12.7.14)
   yair avatāraiḥ | aneneśakathā | sthānaṃ poṣaṇaṃ ceti trayam uktam |	yEH avatArEH | anena-ISa-kaTA | sTAnam pozaNam ca-iti trayam uktam |
   manvantaraṃ manur devā manu-putrāḥ sureśvarāḥ |	manvantaram manuH devAH manu--putrAH sura-ISvarAH |
   ṛṣayo'ṃśāvatārāś ca hareḥ ṣaḍ-vidham ucyate || (BhP 12.7.15)	RzayaH-aMSa-avatArAH ca hareH zax-viDam ucyate || (Bhj 12.7.15)
   manvādyācaraṇa-kathanena sad-dharma evātra vivakṣita ity arthaḥ | tataś ca	manu-Adya-AcaraNa-kaTanena sat--DarmaH eva-atra vivakzitaH iti arTaH | tatas ca
   prāktana-granthenaikārthyam |	prAktana-granTena-EkArTyam |
   rājñāṃ brahma-prasūtānāṃ vaṃśas traikāliko'nvayaḥ |	rAjQAm brahma--prasUtAnAm vaMSaH trEkAlikaH-anvayaH |
   vaṃśyānucaritaṃ teṣāṃ vṛttaṃ vaṃśadharāś ca ye || (BhP 12.7.16)	vaMSya-anucaritam tezAm vRttam vaMSa-DarAH ca ye || (Bhj 12.7.16)
   teṣāṃ rājñāṃ ye ca vaṃśa-dharās teṣāṃ vṛttaṃ vaṃśyānucaritam || 62 ||	tezAm rAjQAm ye ca vaMSa-DarAH tezAm vRttam vaMSya-anucaritam || 62 ||
   BD: uddiṣṭānāṃ sargādīnāṃ krameṇa lakṣaṇāni darśayitum āha -	BD: uddizwAnAm sarga-AdInAm krameNa lakzaNAni darSayitum Aha -
   athetyādi | avyākṛteti trivṛt-padaṃ mahato'pi viśeṣaṇaṃ bodhyam | sāttvikī	aTa-ityAdi | avyAkRtA-iti trivRt--padam mahataH-api viSezaNam boDyam | sAttvikI
   rājasaś caiva tāmasaś ca tridhā mahān (ViP 1.2.34) iti śrī-vaiṣṇavāt |	rAjasaH ca-eva tAmasaH ca triDA mahAn (ViP 1.2.34) iti SrI-vEzNavAt |
   puruṣaḥ paramātmā viriñcāntaḥstha iti bodhyam | sphuṭārthāni śiṣṭāni	puruzaH paramAtmA viriQca-antar-sTaH iti boDyam | sPuwa-arTAni SizwAni
   naimittikaḥ prākṛtiko nitya ātyantiko layaḥ |	nEmittikaH prAkRtikaH nityaH AtyantikaH layaH |
   saṃstheti kavibhiḥ proktaś caturdhāsya svabhāvataḥ || (BhP 12.7.17)	saMsTA-iti kaviBiH proktaH caturDA-asya svaBAvataH || (Bhj 12.7.17)
   asya parameśvarasya | svabhāvataḥ śaktitaḥ | ātyantika ity anena muktir	asya parameSvarasya | svaBAvataH Saktitas | AtyantikaH iti anena muktiH-
   apy	api-
   atra praveśitā |	atra praveSitA |
   hetur jīvo'sya sargāder avidyā-karma-kārakaḥ |	hetuH jIvaH-asya sarga-AdeH avidyA-karma-kArakaH |
   yaṃ cānuśayinaṃ prāhur avyākṛtam utāpare || (BhP 12.7.18)	yam ca-anuSayinam prAhuH avyAkRtam uta-apare || (Bhj 12.7.18)
