   (PSP_6 8:1)	(PSu _6 8:1)
   yāṃ mārgabhāvanām āgamya na saṃkliśyeta na vyavadāyeta.	yAm mArga BAvanAm Agamya na saMkliSyeta na vyavadAyeta.
   subhūtir āha: no bhagavan na vastukaḥ sa bhagavan pratibimbakas	suBUtiH Aha: naH Bagavat na vastukaH sa Bagavan pratibimbakas
   (PSP_6 8:161) tat kutas tasya mārgabhāvanā bhaviṣyati yāṃ mārgabhāvanām	(PSu _6 8:161) tat kutas tasya mArga BAvanA Bavizyati yAm mArga BAvanAm
   āgamya na saṃkliśyeta na vyavadāyeta.	Agamya na saMkliSyeta na vyavadAyeta.
   bhagavān āha: tat kiṃ manyase? subhūte yā sā pratiśrutkā	BagavAn Aha: tat kim manyase? suBUte yA sA pratiSrutkA
   nadīkuñjavanaparvātakandarābhyavakāśodakapratyāsannato niścarati kin	nadI kuQja vana parvAta kandara aByavakASa udaka pratyAsannataH niScarati kin
   tasyāḥ pratiśrutkāyāḥ karmāsti yat karmābhisaṃskṛtya narakaṃ vā gacchet	tasyAH pratiSrutkAyAH karma asti yat karma aBisaMskRtya narakam vA gacCet 
   tiryagyoniṃ vā yamalokaṃ vā gacchet, manuṣyeṣu vā kāmāvacareṣu vā deveṣu	tiryagyonim vA yama lokam vA gacCet, manuzyezu vA kAmAvacarezu vA devezu
   rūpāvacareṣu vā deveṣv ārūpyāvacareṣu vā deveṣu gacchet?	rUpAvacarezu vA devezu ArUpya avacarezu vA devezu gacCet ?
   subhūtir āha: no bhagavan na vastukā sā pratiśrutkā kutas tasyāḥ karma	suBUtiH Aha: naH Bagavat na vastukA sA pratiSrutkA kutas tasyAH karma
   bhaviṣyati, yat karmābhisaṃskṛtya narakaṃ vā gacchet tiryagyoniṃ vā	Bavizyati, yat karma aBisaMskRtya narakam vA gacCet tiryagyonim vA
   yamalokaṃ vā gacchet, manuṣyeṣu vā kāmāvacareṣu vā deveṣu rūpāvacareṣu vā	yama lokam vA gacCet, manuzyezu vA kAmAvacarezu vA devezu rUpAvacarezu vA
   deveṣv ārūpyāvacareṣu vā deveṣu gacchet.	devezu ArUpya avacarezu vA devezu gacCet .
   bhagavān āha: tat kiṃ manyase? subhūte kin tasyāḥ pratiśrutkā yā	BagavAn Aha: tat kim manyase? suBUte kin tasyAH pratiSrutkA yA
   mārgabhāvanā bhavati yāṃ mārgabhāvanām āgamya na saṃkliśyeta na	mArga BAvanA Bavati yAm mArga BAvanAm Agamya na saMkliSyeta na
   vyavadāpayeta.	vyavadApayeta.
   subhūtir āha: no bhagavann atyantatayā sā bhagavan pratiśrutkā nāsti kutas	suBUtiH Aha: naH Bagavan atyanta tayA sA Bagavan pratiSrutkA na asti kutas 
   tasyā mārgabhāvanā bhaviṣyati yāṃ mārgabhāvanām āgamya na saṃkliśyet, na	tasyAH mArga BAvanA Bavizyati yAm mArga BAvanAm Agamya na saMkliSyet, na
   vyavadāyet.	vyavadAyet .
   bhagavān āha: tat kiṃ manyase? subhūte yā sā marīcyām anudake udakasaṃjñā	BagavAn Aha: tat kim manyase? suBUte yA sA marIcyAm anudake udaka saMjQA
   anadīṣu vā nadīsaṃjñā anagareṣu nagarasaṃjñā anudyāneṣv udyānasaṃjñā kiṃ	anadIzu vA nadI saMjQA anagarezu nagara saMjQA anudyAnezu udyAna saMjQA kim
   tasyā marīcisaṃjñāyāḥ karmāsti yat karmābhisaṃskṛtya narakaṃ vā gacchet	tasyAH marIci saMjQAyAH karma asti yat karma aBisaMskRtya narakam vA gacCet 
   tiryagyoniṃ vā yamalokaṃ vā gacchet, manuṣyeṣu vā kāmāvacareṣu vā deveṣu	tiryagyonim vA yama lokam vA gacCet, manuzyezu vA kAmAvacarezu vA devezu
   rūpāvacareṣu vā deveṣv ārūpyāvacareṣu vā deveṣu gacchet?	rUpAvacarezu vA devezu ArUpya avacarezu vA devezu gacCet ?
   subhūtir āha: no bhagavann atyantatayā bhagavaṃs tasyāṃ marīcyām udakaṃ	suBUtiH Aha: naH Bagavan atyanta tayA Bagavan tasyAm marIcyAm udakam
   nāsti naiva nadī naiva nagaran naivodyānam anyatra saṃjñāviparyāsaś	na asti na eva nadI na eva nagaran na eva udyAnam anyatra saMjQA viparyAsa H 
   cakṣurmohanatāyās tat kuto 'syāḥ karma bhaviṣyati yat karmābhisaṃskṛtya	cakzuH moha natAyAH tat kutas asyAH karma Bavizyati yat karma aBisaMskRtya
   narakaṃ vā gacchet tiryagyoniṃ vā yamalokaṃ vā gacchet, manuṣyeṣu vā	narakam vA gacCet tiryagyonim vA yama lokam vA gacCet, manuzyezu vA
   kāmāvacareṣu vā deveṣu rūpāvacareṣu vā deveṣv ārūpyāvacareṣu vā deveṣu	kAmAvacarezu vA devezu rUpAvacarezu vA devezu ArUpya avacarezu vA devezu
   gacchet.	gacCet .
   bhagavān āha: tat kiṃ manyase? subhūte kiṃ tasyāṃ viparyastāyāṃ saṃjñāyāṃ	BagavAn Aha: tat kim manyase? suBUte kim tasyAm viparyastAyAm saMjQAyAm
   mārgabhāvanā bhavati yāṃ mārgabhāvanām āgamya na (PSP_6 8:162) saṃkliśyeta	mArga BAvanA Bavati yAm mArga BAvanAm Agamya na (PSu _6 8:162) saMkliSyeta
   na vyavadāyeta.	na vyavadAyeta.
   subhūtir āha: no bhagavan na hi viparyastāyāṃ bhagavan saṃjñāyām asti	suBUtiH Aha: naH Bagavat na hi viparyastAyAm Bagavan saMjQAyAm asti
   mārgabhāvanā yāṃ mārgabhāvanām āgamya na saṃkliśyeta na vyavadāyeta.	mArga BAvanA yAm mArga BAvanAm Agamya na saMkliSyeta na vyavadAyeta.
   bhagavān āha: tat kiṃ manyase? subhūte māyākāreṇa vividhā māyābhinirmitā,	BagavAn Aha: tat kim manyase? suBUte mAyA kAreNa viviDAH mAyA aBinirmitA,
   yadi vā hastikāyo yadi vāśvakāyo yadi vā balīvardakāyo yadi vā pattikāyo	yadi vA hasti kAyaH yadi vA aSvakAyaH yadi vA balIvardakAyaH yadi vA pattikAyaH 
   yadi vā janapadakāyo yadi vā strīrūpaṃ yadi vā puruṣarūpam api nu tasyā	yadi vA janapada kAyaH yadi vA strI rUpam yadi vA puruza rUpam api nu tasyAH 
   māyāyāḥ karmāsti yat karmābhisaṃskṛtya narakaṃ vā gacchet tiryagyoniṃ vā	mAyAyAH karma asti yat karma aBisaMskRtya narakam vA gacCet tiryagyonim vA
   yamalokaṃ vā gacchet, manuṣyeṣu vā kāmāvacareṣu vā deveṣu rūpāvacareṣu vā	yama lokam vA gacCet, manuzyezu vA kAmAvacarezu vA devezu rUpAvacarezu vA
   deveṣv ārūpyāvacareṣu vā deveṣūpapadyeta.	devezu ArUpya avacarezu vA devezu upapadyeta.
   subhūtir āha: no bhagavan na hi māyāyā bhagavan vastv asty antaśo	suBUtiH Aha: naH Bagavat na hi mAyAyAH Bagavan vastu asti antaSas 
   vālāgrakoṭīnikṣepamātram api yatra sthitvā karmābhisaṃkuryād yat	vAla agra kowI nikzepa mAtram api yatra sTitvA karma aBisaMkuryAt yat 
   karmābhisaṃskṛtya narakaṃ vā gacchet tiryagyoniṃ vā yamalokaṃ vā gacchet	karma aBisaMskRtya narakam vA gacCet tiryagyonim vA yama lokam vA gacCet 
   manuṣyeṣu vā kāmāvacareṣu vā deveṣu rūpāvacareṣu vā deveṣv ārūpyāvacareṣu	manuzyezu vA kAmAvacarezu vA devezu rUpAvacarezu vA devezu ArUpya avacarezu
   vā deveṣūpapadyeta.	vA devezu upapadyeta.
   bhagavān āha: tat kiṃ manyase? subhūte kācit tasya mārgabhāvanā bhavati	BagavAn Aha: tat kim manyase? suBUte kAcid tasya mArga BAvanA Bavati
   yāṃ mārgabhāvanām āgamya na saṃkliśyeta na vyavadāyeta.	yAm mArga BAvanAm Agamya na saMkliSyeta na vyavadAyeta.
   subhūtir āha: no bhagavan na vastu kasya bhagavan dharmasya kuto	suBUtiH Aha: naH Bagavat na vastu kasya Bagavan Darmasya kuto
   mārgabhāvanā bhaviṣyati yāṃ mārgabhāvanām āgamya na saṃkliśyeta na	mArga BAvanA Bavizyati yAm mArga BAvanAm Agamya na saMkliSyeta na
   vyavadāyeta.	vyavadAyeta.
   bhagavān āha: tat kiṃ manyase? subhūte yat punas tathāgatanirmito	BagavAn Aha: tat kim manyase? suBUte yat punar taTAgata nirmitaH 
   'bhinirmiṇoty anyan nirmitaṃ kiṃ tasya nirmitasya karmāsti yena karmaṇā	aBinirmiNoti anyat nirmitam kim tasya nirmitasya karma asti yena karmaNA
   narakaṃ vā gacchet tiryagyoniṃ vā yamalokaṃ vā gacchet, manuṣyeṣu vā	narakam vA gacCet tiryagyonim vA yama lokam vA gacCet, manuzyezu vA
   kāmāvacareṣu vā deveṣu rūpāvacareṣu vā deveṣv ārūpyāvacareṣu vā	kAmAvacarezu vA devezu rUpAvacarezu vA devezu ArUpya avacarezu vA
   deveṣūpapadyeta.	devezu upapadyeta.
   subhūtir āha: no bhagavan na vastukaḥ sa bhagavan nirmitaḥ.	suBUtiH Aha: naH Bagavat na vastukaH sa Bagavat nirmitaH.
   bhagavān āha: tat kiṃ manyase? subhūte kācit tasya nirmitasya mārgabhāvanā	BagavAn Aha: tat kim manyase? suBUte kAcid tasya nirmitasya mArga BAvanA
   bhavati yāṃ mārgabhāvanām āgamya na saṃkliśyeta na vayavadāyeta.	Bavati yAm mArga BAvanAm Agamya na saMkliSyeta na vayavadAyeta.
   subhūtir āha: no bhagavan.	suBUtiH Aha: naH Bagavan .
   (PSP_6 8:163)	(PSu _6 8:163)
   bhagavan aha: tat kiṃ manyase? subhūte kaścid atra saṃkliśyeta vā	Bagavan aha: tat kim manyase? suBUte kaScid atra saMkliSyeta vA
   vyavadāyeta vā.	vyavadAyeta vA.
   subhūtir āha: na kaścid bhagavan saṃkliśyeta vā vyavadāyeta vā.	suBUtiH Aha: na kaScid Bagavan saMkliSyeta vA vyavadAyeta vA.
   bhagavān āha: yathaiva subhūte na saṃkliśyeta vā na vyavadāyeta vā	BagavAn Aha: yaTA eva suBUte na saMkliSyeta vA na vyavadAyeta vA
   tathāiva nāsti saṃkleśo vā vyavadānaṃ vā. tat kasya hetoḥ?	taTA aiva na asti saMkleSaH vA vyavadAnam vA. tat kasya hetoH?
   ahaṃkāramamakāre hi subhūte sthitāḥ sattvāḥ saṃkliśyante vā vyavadāyante	ahaMkAra m amakAre hi suBUte sTitAH sattvAH saMkliSyante vA vyavadAyante
   vā, yathaiva bhūtadarśī na saṃkliśyate vā na vyavadāyate vā tathāiva	vA, yaTA eva BUta darSI na saMkliSyate vA na vyavadAyate vA taTA aiva
   subhūte nāsti saṃkleśo vā vyavadānaṃ vā.	suBUte na asti saMkleSaH vA vyavadAnam vA.
   iti nirvastukaviparyāsajñānaniveśanakarma	iti nirvastuka viparyAsa jQAna niveSana karma
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: bhūtaṃ veti bhagavan	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: BUtam vA iti Bagavan
   na saṃkliśyate na vayavadāyate, abhūtaṃ veti bhagavan na saṃkliśyate na	na saMkliSyate na vayavat Ayate, aBUtam vA iti Bagavat na saMkliSyate na
   vyavadāyate, tathā hy abhāvasvabhāvāḥ sarvadharmāḥ, abhāvasvabhāvasyāpi	vyavadAyate, taTA hi aBAva svaBAvAH sarva DarmAH, aBAva svaBAvasya api
   bhagavan na saṃkleśo na vyavadānaṃ, bhāvasyāpi bhagavan na saṃkleśo na	Bagavat na saMkleSaH na vyavadAnan, BAvasya api Bagavat na saMkleSaH na
   vyavadānam, abhāvasyāpi bhagavan na saṃkleśo na vyavadānaṃ,	vyavadAnam, aBAvasya api Bagavat na saMkleSaH na vyavadAnaM,
   bhāvābhāvasyāpi bhagavan na saṃkleśo na vyavadānaṃ tatra yad etad	BAva aBAvasya api Bagavat na saMkleSaH na vyavadAnam tatra yat etat 
   bhagavatā vyavadānan nirdiṣṭan tat katham idaṃ bhagavan bhavati?	BagavatA vyavadAnan nirdizwan tat kaTam idam Bagavan Bavati?
   bhagavān āha: yā eṣā subhūte sarvadharmāṇāṃ samatā tan mayoktaṃ	BagavAn Aha: yA ezA suBUte sarva DarmANAm sama tA tat mayA uktam
   vyavadānam.	vyavadAnam.
   subhūtir āha: sā punaḥ katamā sarvadharmāṇāṃ samatā?	suBUtiH Aha: sA punar katamA sarva DarmANAm sama tA?
   bhagavān āha: tathatā avitathatā ananyatathatā dharmatā dharmadhātur	BagavAn Aha: taTatA avitaTa tA ananyataTatA DarmatA DarmaDAtuH 
   dharmasthititā dharmaniyāmatā, yā utpādād vā tathāgatānām anutpādād vā	Darma sTiti tA Darma niyAma tA, yA utpAdAt vA taTAgatAnAm anutpAdAt vA
   tathāgatānāṃ sthitaivaiṣā dharmāṇāṃ dharmatā dharmasthititā dharmaniyāmatā	taTAgatAnAm sTitA eva ezA DarmANAm DarmatA Darma sTiti tA Darma niyAma tA
   dharmadhātum idam ucyate vyavadānaṃ, tat punar lokavyavahāreṇa	DarmaDAtum idam ucyate vyavadAnaM, tat punar loka vyavahAreNa
   vyavahriyate na punaḥ paramārthenānirabhilapyo hi so 'pravyāhāraḥ	vyavahriyate na punar parama arTena aniraBilapyaH hi saH apravyAhAraH
   sarvākāraghoṣavākyathātītaḥ.	sarva AkAra Goza vAkyaTa atItaH.
   iti vyavadānaniveśanakarma	iti vyavadAna niveSana karma
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: yadi bhagavan	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: yadi Bagavan
   sarvadharmāḥ svapnopamāḥ pratiśrutkopamāḥ pratibhāsopamāḥ pratibimbopamā	sarva DarmAH svapna upamAH pratiSrutka upamAH pratiBAsA upamAH pratibimba upamA
   marīcyupamā māyopamā gandharvanagaropamā nirmitakopamās tat kathaṃ	marIci upamAH mAyA upamAH ganDarvanagara upamAH nirmitaka upamAH tat kaTam
   bodhisattvo mahāsattvaḥ svapnopamaiḥ (PSP_6 8:164) sarvadharmaiḥ	boDisattvaH mahAsattvaH svapna upamEH (PSu _6 8:164) sarva DarmEH
   pratiśrutkopamaiḥ pratibhāsopamaiḥ pratibimbopamair marīcyupamair	pratiSrutka upamEH pratiBAsA upamEH pratibimba upamEH marIci upamEH 
   māyopamair gandharvanagaropamair nirmitakopamair dharmair avastukeṣv	mAyA upamEH ganDarvanagara upamEH nirmitaka upamEH DarmEH avastukezu 
   adravyeṣv anuttarāyāṃ samyaksaṃbodhau cittam utpādayati,	adravyezu anuttarAyAm samyaksaMboDO cittam utpAdayati,
   dānapāramitāparipūryai, śīlapāramitāparipūryai, kṣāntipāramitāparipūryai,	dAna pAramitA paripUryE, SIla pAramitA paripUryE, kzAnti pAramitA paripUryE,
   vīryapāramitāparipūryai, dhyānapāramitāparipūryai,	vIrya pAramitA paripUryE, DyAna pAramitA paripUryE,
   prajñāpāramitāparipūryai, upāyapāramitāparipūryai,	prajQApAramitA paripUryE, upAya pAramitA paripUryE,
   praṇidhānapāramitāparipūryai, balapāramitāparipūryai,	praNiDAna pAramitA paripUryE, bala pAramitA paripUryE,
   jñānapāramitāparipūryai, abhijñāpāramitāparipūryai, catvāri dhyānāni	jQAna pAramitA paripUryE, aBijQApAramitA paripUryE, catvAri DyAnAni
   samāpadyate, catvāry apramāṇāni catasra ārūpyasamāpattīḥ paripūrayati,	samApadyate, catvAri apramANAni catasraH ArUpya samApattIH paripUrayati,
   catvāri smṛtyupasthānāṃ paripūrayati, catvāri samyakprahāṇāni catura	catvAri smRti upasTAnAm paripUrayati, catvAri samyak prahANAni catura
   ṛddhipādān paripūrayati, pañcendriyāṇi paripūrayati, pañcabalāni	RdDi pAdAn paripUrayati, paQca indriyANi paripUrayati, paQca balAni
   paripūrayati, saptabodhyaṅgāni paripūrayati, āryāṣṭāṅgaṃ mārgaṃ	paripUrayati, sapta boDi aFgAni paripUrayati, Arya azwAFgam mArgam
   paripūrayati, aṣṭau vimokṣān navānupūrvavihārasamāpattīḥ paripūrayati,	paripUrayati, azwO vimokzAt nava anupUrva vihAra samApattIH paripUrayati,
   catvāry āryasatyāni paripūrayati, śūnyatānimittāpraṇihitāni samāpadyate,	catvAri Arya satyAni paripUrayati, SUnyatA nimitta apraNihitAni samApadyate,
   pañcābhijñāḥ paripūrayati, adhyātmaśūnyatāṃ bhāvayati, bahirdhāśūnyatāṃ	paQca aBijQAH paripUrayati, aDyAtma SUnyatAm BAvayati, bahirDA SUnyatAm
   bhāvayati, adhyātmabahirdhāśūnyatāṃ bhāvayati, yāvad	BAvayati, aDyAtma bahirDA SUnyatAm BAvayati, yAvat 
   abhāvasvabhāvaśūnyatāṃ bhāvayati, sarvasamādhīn sarvadhāraṇīmukhāni	aBAva svaBAva SUnyatAm BAvayati, sarva samADIn sarva DAraNI muKAni
   paripūrayati, daśabodhisattvabhūmīḥ paripūrayati, daśatathāgatabalāni	paripUrayati, daSa boDisattva BUmIH paripUrayati, daSa taTAgata balAni
   paripūrayati, catvāri vaiśāradyāni paripūrayati, catasraḥ pratisaṃvidaḥ	paripUrayati, catvAri vESAradyAni paripUrayati, catasraH pratisaMvidaH
   paripūrayati, aṣṭādaśāveṇikān buddhadharmān paripūrayati	paripUrayati, azwAdaSa AveNikAn budDa DarmAn paripUrayati
   dvātriṃśanmahāpuruṣalakṣaṇāni paripūrayaty aśītyanuvyañjanāni	dvAtriMSat mahApuruza lakzaNAni paripUrayati aSIti anuvyaQjanAni
   paripūrayati, yāvat trisāhasre mahāsāhasre lokadhātāv ābhāsakarīm ābhāṃ	paripUrayati, yAvat tri sAhasre mahA sAhasre lokaDAtO ABAsa karIm ABAm
   pariniṣpādayati, brahmasvaratāṃ pariniṣpādayati, tatraikena svareṇa daśasu	parinizpAdayati, brahma svaratAm parinizpAdayati, tatra ekena svareNa daSasu
   dikṣu lokadhātuṣu yathādhimuktānāṃ sattvānāṃ cetasaiva cittam ājñāya	dikzu lokaDAtuzu yaTA aDimuktAnAm sattvAnAm cetasA eva cittam AjQAya
   dharmaṃ deśayati.	Darmam deSayati.
   bhagavān āha: tat kiṃ manyase? subhūte naite dharmāḥ svapnopamāḥ	BagavAn Aha: tat kim manyase? suBUte na ete DarmAH svapna upamAH
   pratiśrutkopamāḥ pratibhāsopamāḥ pratibimbopamā marīcyupamā māyopamā	pratiSrutka upamAH pratiBAsA upamAH pratibimba upamA marIci upamA mAyA upamA
   gandharvanagaropamā nirmitakopamāḥ, ye tvayā parikīrtitāḥ.	ganDarvanagara upamAH nirmitaka upamAH, ye tvayA parikIrtitAH.
   subhūtir āha: yadi bhagavan sarvadharmāḥ svapnopamāḥ pratiśrutkopamāḥ	suBUtiH Aha: yadi Bagavan sarva DarmAH svapna upamAH pratiSrutka upamAH
   pratibhāsopamāḥ pratibimbopamā marīcyupamā māyopamā gandharvanagaropamā	pratiBAsA upamAH pratibimba upamA marIci upamA mAyA upamA ganDarvanagara upamA
   nirmitakopamāḥ, kathaṃ bhagavan svapnopameṣu (PSP_6 8:165) sarvadharmeṣu	nirmitaka upamAH, kaTam Bagavan svapna upamezu (PSu _6 8:165) sarva Darmezu
   yāvan nirmitakopameṣu bodhisattvo mahāsattvaḥ prajñapāramitāyāṃ carati? na	yAvat nirmitaka upamezu boDisattvaH mahAsattvaH prajQapAramitAyAm carati? na
   ca bhagavan svapno bhūto na pratiśrutkā bhūtā na pratibhāso bhūto na	ca Bagavan svapnaH BUtaH na pratiSrutkA BUtAH na pratiBAsaH BUtaH na
   pratibimbaṃ bhūtaṃ na marīcir bhūtā na māyā bhūtā na gandharvanagaraṃ	pratibimbam BUtam na marIciH BUtAH na mAyA BUtAH na ganDarvanagaram
   bhūtaṃ na nirmitako bhūto na ca bhagavan śakyam abhūtena dānapāramitāyāṃ	BUtam na nirmitakaH BUtaH na ca Bagavan Sakyam aBUtena dAna pAramitAyAm
   carituṃ śīlapāramitāyāṃ carituṃ kṣāntipāramitāyāṃ carituṃ vīryapāramitāyāṃ	caritum SIla pAramitAyAm caritum kzAnti pAramitAyAm caritum vIrya pAramitAyAm
   carituṃ dhyānapāramitāyāṃ carituṃ prajñāpāramitāyāṃ carituṃ	caritum DyAna pAramitAyAm caritum prajQApAramitAyAm caritum
   saptatriṃśadbodhipakṣyeṣu dharmeṣu	saptatriMSat boDi pakzyezu Darmezu
   āryasatyāpramāṇadhyānārūpyavimokṣasamādhisamāpattidharaṇīmukheṣu	Arya satya apramANa DyAna ArUpya vimokza samADi samApatti DaraNI muKezu
   śūnyatānimittāpraṇihiteṣu sarvaśūnyatāsv abhijñāsu	SUnyatA nimitta apraNihitezu sarva SUnyatAsu aBijQAsu
   daśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmeṣu caritum.	daSa bala vESAradya pratisaMvid AveNika budDa Darmezu caritum.
   bhagavān āha: tat kiṃ manyase? subhūte dānapāramitānuttarāṃ	BagavAn Aha: tat kim manyase? suBUte dAna pAramitA anuttarAm
   samyaksaṃbodhim abhisaṃbudhyate, śīlapāramitā kṣāntipāramitā vīryapāramitā	samyaksaMboDim aBisaMbuDyate, SIla pAramitA kzAnti pAramitA vIrya pAramitA
   dhyānapāramitā prajñāpāramitānuttarāṃ samyaksaṃbodhim abhisaṃbudhyate,	DyAna pAramitA prajQApAramitA anuttarAm samyaksaMboDim aBisaMbuDyate,
   saptatriṃśadbodhipakṣyadharmāḥ sarvaśūnyatā	saptatriMSat boDi pakzya DarmAH sarva SUnyatA
   āryasatyāpramāṇadhyānārūpyavimokṣasamādhisamāpattidhāraṇīmukhāni	Arya satya apramANa DyAna ArUpya vimokza samADi samApatti DAraNI muKAni
   śūnyatānimittāpraṇihitābhijñādaśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmā	SUnyatA nimitta apraNihita aBijQA daSa bala vESAradya pratisaMvid AveNika budDa DarmA
   anuttarāṃ samyaksaṃbodhim abhisaṃbudhyate, sarve te subhūte dharmā	anuttarAm samyaksaMboDim aBisaMbuDyate, sarve te suBUte DarmA
   anabhisaṃskṛtā anabhinirvṛttā na śakyā anabhisaṃskṛtair dharmaiḥ	anaBisaMskRtAH anaBinirvRttAH na SakyAH anaBisaMskRtEH DarmEH
   sarvākārajñatām anuprāptum.	sarva AkAra jQa tAm anuprAptum.
   api tu khalu punaḥ subhūte sarva ete dharmā mārgasyāvāhanāya saṃvartante,	api tu Kalu punar suBUte sarve ete DarmAH mArgasya AvAhanAya saMvartante,
   na punaḥ phalasyādhigamāya, ya eteṣāṃ dharmāṇām anutpādo 'prādurbhāvo	na punar Palasya aDigamAya, yaH etezAm DarmANAm anutpAdaH aprAdurBAvaH 
   'lakṣaṇam api tat, ato bodhisattvo mahāsattvaḥ prathamacittotpādam upādāya	alakzaNam api tat, atas boDisattvaH mahAsattvaH praTama citta utpAdam upAdAya
   yān kuśalān dharmān nopalabhate, yadi vā dānapāramitāṃ yadi vā	yAn kuSalAn DarmAn na upalaBate, yadi vA dAna pAramitAm yadi vA
   śīlapāramitāṃ yadi vā kṣāntipāramitāṃ yadi vā vīryapāramitāṃ yadi vā	SIla pAramitAm yadi vA kzAnti pAramitAm yadi vA vIrya pAramitAm yadi vA
   dhyānapāramitāṃ yadi vā prajñāpāramitāṃ yadi vā saptatriṃśadbodhipakṣyān	DyAna pAramitAm yadi vA prajQApAramitAm yadi vA saptatriMSat boDi pakzyAn
   dharmān, yadi vā adhyātmaśūnyatāṃ yadi vā bahirdhāśūnyatāṃ yadi	DarmAn, yadi vE aDyAtma SUnyatAm yadi vA bahirDA SUnyatAm yadi
   vādhyātmabahirdhāśūnyatāṃ yadi vā yāvad abhāvasvabhāvaśūnyatāṃ yadi	vA aDyAtma bahirDA SUnyatAm yadi vA yAvat aBAva svaBAva SUnyatAm yadi
   vāryasatyāpramāṇadhyānārūpyavimokṣasamādhisamāpattidhāraṇīmukhāni yadi vā	vAri asatyA pramANa DyAna ArUpya vimokza samADi samApatti DAraNI muKAni yadi vA
   śūnyatānimittāpraṇihitābhijñādaśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmāṃs	SUnyatA nimitta apraNihita aBijQA daSa bala vESAradya pratisaMvid AveNika budDa DarmAn= 
   tān sarvān māyopamā iti jānāti.	tAn sarvAn mAyA upamAH iti jAnAti.
   (PSP_6 8:166)	(PSu _6 8:166)
   na cemān dharmān aparipūrya dānapāramitāṃ śīlapāramitāṃ kṣāntipāramitāṃ	na ca imAn DarmAn aparipUrya dAna pAramitAm SIla pAramitAm kzAnti pAramitAm
   vīryapāramitāṃ dhyānapāramitāṃ prajñāpāramitāṃ,	vIrya pAramitAm DyAna pAramitAm prajQApAramitA aM,
