   # atha dvitīyo 'dhyāyaḥ /.#	# aTa dvitIyaH aDyAyaH /.#
   svābhāvikamiti /.#	svABAvikam iti /.#
   upādhyabhāvakāle śrutaṃ kartṛtvaṃ svābhāvikameveti śaṅkate # nanu saṃdhya	upADi aBAva kAle Srutam kartR tvam svABAvikam eva iti SaFkate # nanu saMDya
   iti /.#	iti /.#
   kiñca karaṇairviśiṣṭasya kartṛtve teṣāṃ kartrantarbhāvātteṣvapi	kiQca karaNEH viSizwasya kartR tve tezAm kartR antar BAvAt tezu api
   kartṛvibhaktiḥ syāt /	kartR viBaktiH syAt /
   na caivamasti tataḥ kevalātmanaḥ kartṛtvamityāha # tatheti /.#	na ca evam asti tatas kevala AtmanaH kartR tvam iti Aha # taTA iti /.#
   svapnavihāre tāvadupādhyabhāvo 'siddha ityāha # na tāvatsaṃdhya iti /.#	svapna vihAre tAvat upADi aBAvaH asidDaH iti Aha # na tAvat saMDyaH iti /.#
   vihārasya mithyātvāttatkartṛtvamapi mithyetyāha # vihāro 'pīti /.#	vihArasya miTyAtvAt tad kartR tvam api miTyA iti Aha # vihAraH api iti /.#
   jakṣat bhuñjāna iva /	jakzat BuQjAnaH iva /
   kaṇatvaviśiṣṭasya kartṛtve karaṇeṣu kartṛvibhaktiḥ syāt, na	kaNa tva viSizwasya kartR tve karaNezu kartR viBaktiH syAt, na
   karaṇavibhaktirityuktaṃ pratyāha # bhavati ca loka iti /.#	karaNa viBaktiH iti uktam pratyAha # Bavati ca lokaH iti /.#
   kartṛṣvapi karaṇavibhaktirna virudhyate dṛṣṭatvāt /	kartRzu api karaNa viBaktiH na viruDyate dRzwa tvAt /
   asti ca kartṛtvaprayogaḥ, 'vijñānaṃ yajñaṃ tanute'ityādāviti bhāvaḥ /	asti ca kartR tva prayogaH, avijQAnam yajQam tanute aityAdO= iti BAvaH /
   upādānasya sakartṛkatvamaṅgīkṛtya kevalātmanaḥ kartṛtvaṃ nirastam /	upAdAnasya sa kartRka tvam aFgIkRtya kevala AtmanaH kartR tvam nirastam /
   idānīṃ tasyākriyatvānna kartrapekṣetyāha # apiceti /.#	idAnIm tasya akriya tvAt na kartR apekza iti Aha # apicA iti /.#
   pūrvaṃ vijñānaṃ jīva ityaṅgīkṛtya jīvasya kartṛtve tanuta iti śrutiruktā,	pUrvam vijQAnam jIvaH iti aFgIkRtya jIvasya kartR tve tanutaH iti SrutiH uktA,
   saṃprati tayā śrutyānupahitātmanaḥ kartṛtvamiti prāptau vijñānaṃ	saMprati tayA SrutyAnupahita AtmanaH kartR tvam iti prAptO vijQAnam
   buddhireva tasyā evātra kartṛtvamucyate /	budDiH eva tasyAH eva atra kartR tvam ucyate /
   tadupahitātmanaḥ kartṛtvasiddhaya ityabhipretyāha # yastviti /.#	tad upahita AtmanaH kartR tva sidDayaH iti aBipretya Aha # yaH tu iti /.#
   'yo 'yaṃ vijñānamayaḥ'ityādiśrutiṣu vijñānabdasya buddhau	ayaH ayam vijQAna mayaH aitya Adi Srutizu vijQAnabdasya budDO
   prasiddhatvādatra ca manomayakośānantaraṃ paṭhitatvācchraddhādiliṅgācca	prasidDa tvAt atra ca manaH maya koSa anantaram paWita tvAt SradDA Adi liFgAt ca
   buddhireva vijñānamityarthaḥ /	budDiH eva vijQAnam iti arTaH /
   tatraiva liṅgāntaramāha # vijñānaṃ devā iti /.#	tatra eva liFga antaram Aha # vijQAnam devAH iti /.#
   'mahadyakṣaṃ prathamajam'ityādiśrutau	amahat yakzam praTama jam aitya Adi SrutO
   hiraṇyagarbhabrahmātmakabuddherjyeṣṭhatvokteratra	hiraNyagarBa brahma Atmaka budDeH jyezWatva ukteH atra
   devairindriyairūpāsyamānaṃ jyeṣṭhaṃ brahma vijñānaṃ buddhirevetyarthaḥ /	devEH indriyErUpAsyamAnam jyezWam brahma vijQAnam budDiH eva iti arTaH /
   yakṣaṃ pūjyam /	yakzam pUjyam /
   kiñca śrutyantare yajñasya buddhikāryatvokteratrāpi yajñakartṛvijñānaṃ	kiQca Sruti antare yajQasya budDi kAryatva ukteH atra api yajQa kartR vijQAnam
   buddhirityāha # sa eṣa iti /.#	budDiH iti Aha # saH ezaH iti /.#
   cittena dhyātvā vācā mantroktyā yajño jāyate tataścittasya vācaḥ	cittena DyAtvA vAcA mantra uktyA yajQaH jAyate tatas cittasya vAcaH
   pūrvottarabhāvo yajña ityarthaḥ /	pUrva uttara BAvaH yajQaH iti arTaH /
   yaccoktaṃ buddheḥ kartṛtve śaktivaiparītyaprasaṅga iti /	yat ca uktam budDeH kartR tve Sakti vEparItya prasaFgaH iti /
   tanna viklidyante taṇḍulāḥ, jvalanti kāṣṭhāni, bibharti sthālīti	tat na viklidyante taNxulAH, jvalanti kAzWAni, biBarti sTAlI iti
   svasvavyāpāreṣu sarvakārakāṇāṃ kartṛtvasvīkārādityāha # naceti /.#	sva sva vyApArezu sarva kArakANAm kartR tva svIkArAt iti Aha # naca iti /.#
   tarhi buddhyādīnāṃ kartṛtve karaṇatvavārtā teṣu na syādityata āha #	tarhi budDi AdInAm kartR tve karaNa tva vArtA tezu na syAt iti atas Aha #
   upalabdhīti /.#	upalabDi iti /.#
   yathā kāṣṭhānāṃ svavyāpāre kartṛtve 'pi pākāpekṣayā karaṇatvaṃ tathā	yaTA kAzWAnAm sva vyApAre kartR tve api pAka apekzayA karaNa tvam taTA
   buddhyādīnāmadhyavasāyasaṃkalpādikriyākartṛtve 'pyupalabdhyapekṣayā	budDi AdInA maDya vasAya saMkalpa Adi kriyA kartR tve api upalabDi apekzayA
   karaṇatvamityarthaḥ /	karaNa tvam iti arTaH /
   nanu tarhyupalabdhiḥ kasya vyāpāra ityāha # sā ceti /.#	nanu tarhi upalabDiH kasya vyApAraH iti Aha # sA ca iti /.#
   tarhi tasyāmātmā kevalaḥ kartā syāt, yasya yo vyāpāraḥ sa tasya karteti	tarhi tasyAm AtmA kevalaH kartA syAt, yasya yaH vyApAraH sa tasya kartA iti
   sthiterityata āha # naceti /.#	sTiteH iti atas Aha # na ca iti /.#
   upalabdhernityatve buddhyādīnāṃ kathaṃ karaṇatvamuktamiti	upalabDeH nitya tve budDi AdInAm kaTam karaNa tvam uktam iti
   ceducyate akhaṇḍasākṣicaitanyaṃ buddhivṛttibhirbhinnaṃ	ced ucyate a KaNxa sAkzi cEtanyam budDi vRttiBiH Binnam
   sadviṣayāvācchinnatvena jāyate, tathāca	sat vizaya avAcCinna tvena jAyate, taTA ca
   viṣayāvacchinnacaitanyākhyopalabdhau buddhyādīnāṃ karaṇatvaṃ	vizaya avacCinna cEtanya AKya upalabDO budDi AdInAm karaNa tvam
   buddhyādyupahitātmanaḥ kartṛtvaṃ na kevalasya, naca buddhereva	budDi Adi upahita AtmanaH kartR tvam na kevalasya, na ca budDeH eva
   tatkartṛtvaṃ caitanyasya jaḍavyāpāratvāyogāditi bhāvaḥ /	tad kartR tvam cEtanyasya jaxa vyApAra tva ayogAt iti BAvaH /
   yaccoktaṃ buddheḥ kartṛtve sa evāhandhīgamyo jīva iti tasya karaṇāntaraṃ	yat ca uktam budDeH kartR tve saH eva ahanDI gamyaH jIvaH iti tasya karaNa antaram
   kalpanīyaṃ, tathāca nāmamātre vivāda iti tatra kevalātmanaḥ	kalpanIyan, taTA ca nAma mAtre vivAdaH iti tatra kevala AtmanaH
   kartṛtvamuktamiti bhrāntiṃ nirasyati # ahaṅkāreti /.#	kartR tvam uktam iti BrAntim nirasyati # ahaFkAra iti /.#
   sāṃkhyanirāsārthaṃ buddhyabhedenādhyastacidātmakāhaṅkāragataṃ kartṛtvaṃ	sAMKya nirAsa arTam budDi aBedena aDyasta cit Atmaka ahaFkAra gatam kartR tvam
   yaduktaṃ tadahandhīgamyasya buddhiviśiṣṭātmana eva na kevalasya sākṣiṇo	yat uktam tat ahanDI gamyasya budDi viSizwa AtmanaH eva na kevalasya sAkziNaH 
   bhavitumarhati, dṛśyadharmasya sākṣisvabhāvatvāyogāt /	Bavitum arhati, dRSya Darmasya sAkzi svaBAva tva ayogAt /
   evaṃ viśiṣṭātmanaḥ kartṛtve viśeṣaṇībhūtāyā jaḍabuddhereva	evam viSizwa AtmanaH kartR tve viSezaNIBUtAyAH jaxa budDeH eva
   karaṇatvopapatterna karaṇāntarakalpanāprasaṅgaḥ /	karaNa tva upapatteH na karaNa antara kalpanA prasaFgaH /
   adhyāsaṃ vinā kevalabuddhikartṛtvavādinastu karaṇāntaraprasaṅgo durvāra	aDyAsam vinA kevala budDi kartR tva vAdinaH tu karaNa antara prasaFgaH durvAra
   ityarthaḥ /	iti arTaH /
   evaṃ śāstrārthavattvādihetūnāmātmanaḥ kartṛtvamātrasādhakatve 'pi	evam SAstra arTavat tva Adi hetUnAm AtmanaH kartR tva mAtra sADaka tve api
   svābhāvikakartṛtvasādhanasāmarthyābhāvādadhyastameva kartṛtvaṃ	svABAvika kartR tva sADana sAmarTya aBAvAt aDyastam eva kartR tvam
   vidhyādikartṛtvaśrutīnāmupajīvyam /	viDi Adi kartR tva SrutInAm upajIvyam /
   tasmādasaṅgatvavidhyādikartṛtvaśrutīnāmavirodha iti siddham //40//	tasmAt asaFga tva viDi Adi kartR tva SrutInAm aviroDaH iti sidDam //40//
   END BsRp_2,3.15.40	END BsRp _2,3.15.40
   START BsRp_2,3.16.41ḥ	START BsRp _2,3.16.41H
   parāt tu tacchruteḥ | BBs_2,3.41 |	parAt tu tat SruteH | BBH _2,3.41 |
   # parāttu tacchruteḥ /.#	# parAt tu tat SruteH /.#
   yathā sphaṭike lauhityādhyāse lohitadravyaṃ karaṇaṃ tenāyaṃ sphaṭiko	yaTA sPawike lOhitya aDyAse lohita dravyam karaNam tena ayam sPawikaH 
   lohita ityanubhavāt, tathā kāmādipariṇāmibuddhirātmani kartṛtvādyadhyāse	lohitaH iti anuBavAt, taTA kAma Adi pariNAmi budDiH Atmani kartR tva Adi aDyAse
   karaṇamityuktam /	karaNam iti uktam /
   tadadhyastaṃ kartṛtvamupajīvya jīvasya kārakasaṃpannatvādīśvarasya	tad aDyastam kartR tvam upajIvya jIvasya kAraka saMpanna tvAt ISvarasya
   kārayitṛtvaśruteśca saṃśayamāha # yadidamiti /.#	kArayitR tva SruteH ca saMSayam Aha # yat idam iti /.#
   atra 'eṣa hyeva'ityādiśrutīnāṃ	atra aeza hi eva aiti Adi SrutInAm
   kartṛsvātantryadyotakavidhyādiśrutibhirvirodhasamādhānātpādasaṃgatiḥ /	kartR svAtantrya dyotaka viDi Adi SrutiBiH viroDa samADAnAt pAda saMgatiH /
   karmamīmāṃsakamatena pūrvapakṣayati # tatretyādinā /.#	karma mImAMsaka matena pUrvapakzayati # tatra ityAdinA /.#
   buddhyādikārakasaṃpattāvīśvaravyatireke	budDi Adi kAraka saMpattO= ISvara vyatireke
   kartṛtvavyatirekānupalabdherneśvaraḥ prayojakaḥ /	kartR tva vyatireka anupalabDeH na ISvaraH prayojakaH /
   kiñca prayojakatve nairghṛṇyādiprasaṅga ityāha # kleśātmakena ceti /.#	kiQca prayojaka tve nErGRNya Adi prasaFgaH iti Aha # kleSa Atmakena ca iti /.#
   dattottaramidaṃ codyamiti śaṅkate # nanviti /.#	datta uttaram idam ca udyam iti SaFkate # nanu iti /.#
   pūrvaṃ jīvasya dharmādharmavattvaṃ siddhavatkṛtya	pUrvam jIvasya Darma aDarmavat tvam sidDa vat kRtya
   tatsāpekṣatvādviṣamajagatkartṛtvamaviruddhamityuktaṃ saṃprati	tad sApekza tvAt vizama jagat kartR tvam avirudDam iti uktam saMprati
   īśvarādhīnatve jīvasya kartṛtve siddhe dharmādharmavattvasiddhiḥ,	ISvara aDIna tve jIvasya kartR tve sidDe Darma aDarma vattva sidDiH,
   tadvattvasiddhau tatsāpekṣakārayitṛtvasiddhiḥ, īśvarasya kārayitṛtve	tadvat tva sidDO tad sApekza kArayitR tva sidDiH, ISvarasya kArayitR tve
   siddhe jīvasya kartṛtvasiddhiriti cakrakāpatteḥ karmasāpekṣatvaṃ na	sidDe jIvasya kartR tva sidDiH iti cakraka ApatteH karma sApekza tvam na
   saṃbhavatītyucyata ityāha # satyamiti /.#	saMBavati iti ucyate iti Aha # satyam iti /.#
   astu karmānapekṣasya pravartakatvaṃ, tatrāha # akṛteti /.#	astu karma anapekzasya pravartaka tvan, tatra aha # akRtA iti /.#
   anapekṣasya pravartakatve dharmavato narān duḥkhenādharmavataḥ sukhena	anapekzasya pravartaka tve DarmavataH narAn duHKena aDarmavataH suKena
   yojayet, kāruṇikatve vā sarve sukhena ekarūpāḥ syuruti jagadvaicitryaṃ	yojayet, kAruNika tve vA sarve suKena eka rUpAH syuH uti jagat vEcitryam
   vidhyādiśāstraṃ ca na syāt /	viDi Adi SAstram ca na syAt /
   tasmādvidhyādiśāstrārthavattvāya rāgadveṣāyattaṃ svata eva jīvasya	tasmAt viDi Adi SAstra arTavat tvAya rAga dveza Ayattam svatas eva jIvasya
   kartṛtvaṃ vācyaṃ, tathāca kārayitṛtvaśrutivirodhaḥ /	kartR tvam vAcyaM, taTA ca kArayitR tva Sruti viroDaH /
   īśvarastāvikā vā sā śrutiriti prāpte siddhāntayati # etāmiti /.#	ISvaraH tAvikA vA sA SrutiH iti prApte sidDAntayati # etAm iti /.#
   yathā candanādisāmagryāṃ satyāṃ dharmavyatirike sukhavyatirekagrahābhāve	yaTA candana Adi sAmagryAm satyAm Darma vyatirike suKa vyatireka graha aBAve
   'pi 'puṇyo vai puṇyena karmaṇā bhavati'ityādiśāstraprāmāṇyādeva dharmasya	api apuNyaH vE puNyena karmaNA Bavati aitya Adi SAstra prAmANyAt eva Darmasya
   hetutvasiddhiḥ, evamīśvarasyāpi śāstrabalātkārayitṛtvasiddhiriti bhāvaḥ	hetu tva sidDiH, evam ISvarasya api SAstra balAtkArayitR tva sidDiH iti BAvaH
   END BsRp_2,3.16.41	END BsRp _2,3.16.41
   START BsRp_2,3.16.42ḥ	START BsRp _2,3.16.42H
   kṛtaprayatnāpekṣas tu vihitapratiṣiddhāvaiyarthyādibhyaḥ | BBs_2,3.42 |	kRta prayatna apekzaH tu vihita pratizidDa avEi arTyAdiByaH | BBH _2,3.42 |
   dharmādharmābhyāmeva phalavaiṣamyasiddheralamīśvareṇetyāśaṅkya	Darma aDarmAByAm eva Pala vEzamya sidDeH alam ISvareNa iti ASaFkya
   bījairevāṅkuravaiṣamyasiddheḥ parjanyavaiyarthyaṃ syāt /	bIjEH eva aFkura vEzamya sidDeH parjanya vEyarTyam syAt /
   yadi viśeṣahetūnāṃ sādhāraṇahetvapekṣatvānna vaiyarthyaṃ tarhi īśvarasyāpi	yadi viSeza hetUnAm sADAraNa hetu apekza tvAt na vEyarTyam tarhi ISvarasya api
   sādhāraṇahetutvānna vaiyarthyamityāha # parjanyavaditi /.#	sADAraNa hetu tvAt na vEyarTyam iti Aha # parjanya vat iti /.#
   dṛṣṭāntaṃ vivṛṇoti # yatheti /.#	dRzwAntam vivRNoti # yaTA iti /.#
   atidīrghavallīgranthayo gucchāḥ puṣpastabakā vā, gulmāstu hrasvavallya iti	ati dIrGa vallI granTayaH gucCAH puzpa stabakAH vA, gulmAH tu hrasvavallyaH iti
   bhedaḥ /	BedaH /
   kimīśvarasya kārayitṛtve jīvasya kartṛtvaṃ na syādityāpādyate uta	kim ISvarasya kArayitR tve jIvasya kartR tvam na syAt iti ApAdyate uta
   cakrakāpattirvā /	cakraka ApattiH vA /
   nādya ityāha # naiṣa doṣa iti /.#	na adyaH iti Aha # na eza dozaH iti /.#
   adhyāpakādhīnasya baṭormukhyādhyayanakartṛtvadarśanāditi bhāvaḥ /	aDyApaka aDInasya bawoH muKya aDyayana kartR tva darSanAt iti BAvaH /
   cakrakaṃ nirasyati # apiceti /.#	cakrakam nirasyati # apicA iti /.#
   anavadyaṃ jīvasya kartṛtvamīśvarasya kārayitṛtvaṃ ceti śeṣaḥ /	anavadyam jIvasya kartR tvam ISvarasya kArayitR tvam ca iti SezaH /
   īśvarasya sāpekṣatve vidhyādiśāstraprāmāṇyānyathānupapattiṃ pramāṇayati #	ISvarasya sa apekza tve viDi Adi SAstra prAmANya ani aTa anupapattim pramANayati  #
   kathamityādinā /.#	kaTam ityAdinA /.#
   evaṃ sāpekṣatve satyavaiyarthyaṃ bhavati, anyathānapekṣatve vaiyarthyaṃ	evam sa apekza tve satya vEyarTyam Bavati, anyaTA anapekza tve vEyarTyam
   prapañcayati # īśvara iti /.#	prapaQcayati # ISvaraH iti /.#
   tayoḥ sthāne sa eva niyujyeta abhiṣicyeta /	tayoH sTAne saH eva niyujyeta aBizicyeta /
   tayoḥ kāryaṃ sa eva kuryāditi yāvat /	tayoH kAryam saH eva kuryAt iti yAvat /
   tathāca jīvasya	taTA ca jIvasya
   nirapekṣeśvaraparatantratvādvidhyādiśāstramakiñcitkaramanarthakaṃ syāditi	nirapekza ISvara paratantra tvAt viDi Adi SAstram akiQcitkaram anarTakam syAt iti
   saṃbandhaḥ /	saMbanDaH /
   puruṣakāraḥ prayatnaḥ /	puruzakAraH prayatnaH /
   ādiśabdārthamāha # tatheti /.#	Adi Sabda arTam Aha # taTA iti /.#
   pūrvoktadeṣo 'kṛtābhyāgamādiḥ /	pUrva ukta dezaH akRta aByAgama AdiH /
   tasmāt karmasāpekṣeśvarasya kārayitṛtvāt 'eṣa	tasmAt karma sApekza ISvarasya kArayitR tvAt aeza
   hyeva'ityādiśrutervidhyādiśrutyavirodha iti siddham //42//	hi eva aiti Adi SruteH viDi Adi Sruti aviroDaH iti sidDam //42//
   END BsRp_2,3.16.42	END BsRp _2,3.16.42
   START BsRp_2,3.17.43ḥ	START BsRp _2,3.17.43H
   aṃśo nānāvyapadeśād anyathā cāpi dāśakitavāditvam adhīyata eke |	aMSaH nAnA vyapadeSAt anyaTA ca api dASakitavAdi tvam aDIyate eke |
   BBs_2,3.43 |	BBH _2,3.43 |
   # aṃśa eke /.#	# aMSa  eke /.#
   nityaḥ svaprakāśo 'naṇurakartā jīva'iti śodhitatvaṃpadārthasyātra	nityaH sva prakASaH anaNuH akartA jIva aiti SoDita tvaMpadArTasya atra
   brahmaikyasādhanena bhedābhedaśrutīnāṃ virodhasamādhānātpādasaṃgatiḥ /	brahma Ekya sADanena Beda aBeda SrutInAm viroDa samADAnAt pAda saMgatiH /
   pūrvapakṣe pratyagabhinnabrahmasiddhiḥ, siddhānte tatsiddhiriti bhedaḥ /	pUrva pakze pratyak aBinna brahma sidDiH, sidDAnte tad sidDiH iti BedaH /
   pūrvoktopakāryopakārakabhāvākṣiptaṃ jīveśayoḥ saṃbandhaṃ viṣayīkṛtya	pUrva ukta upakArya upakAraka BAva Akziptam jIveSayoH saMbanDam vizayIkRtya
   dvividhadṛṣṭāntadarśanātsaṃśayamāha # tataśceti /.#	dviviDa dRzwAnta darSanAt saMSayam Aha # tatas ca iti /.#
   prasiddhasvasvāmitvasaṃbandhasaṃbhavādyaḥ kaścit saṃbandha ityaniyamo na	prasidDa sva svAmi tva saMbanDa saMBava AdyaH kaScid saMbanDaH iti aniyamaH na
   yukta ityarucerāha # athaveti /.#	yuktaH iti aruceH Aha # aTavA iti /.#
   anena 'ya ātmani tiṣṭhan'ityādiśrutiprasiddhabhedakoṭirdarśitā /	anena ayaH Atmani tizWan aityAdi Sruti prasidDa Beda kowiH darSitAH /
   evaṃ tattvamasītyādiśrutisiddhā bhedakoṭirdraṣṭavyā, tathāca	evam tat tvam asi iti Adi Sruti sidDA Beda kowiH drazwavyA, taTA ca
   bhedābhedaśrutīnāṃ samabalatvādvirodhe sati	Beda aBeda SrutInAm sama bala tvAt viroDe sati
   saṃbandhāniścayātsaṃbandhāpekṣasya	saMbanDA niScayAt saMbanDa apekzasya
   pūrvoktopakāryāpakārakabhāvasyāsiddhirityākṣepātsaṃgatiḥ /	pUrva ukta upakArya apakAraka BAvasya asidDiH iti AkzepAt saMgatiH /
   lokasiddhānarthātmakabhedānuvāditvena bhedaśrutīnāṃ	loka sidDAn arTa Atmaka Beda anuvAdi tvena Beda SrutInAm
   durbalatvādajñātaphalavadabhedaśrutyanusāreṇa	durbala tvAt ajQAta Pala vat aBeda Sruti anusAreNa
   prakalpitabhedanibandhanoṃ'śāṃśibhāvaḥ saṃbandha iti siddhāntayati # ata	prakalpita Beda nibanDanoM aSAMSi BAvaH saMbanDaH iti sidDAntayati # ata
   ityādinā /.#	ityAdinA /.#
   agneḥ sāṃśatve 'pi niṣkaleśvarasya kathaṃ sāṃśatvamata āha # aṃśa iveti	agneH sa aMSatve api nizkaleSvarasya kaTam sa aMSa tvam atas Aha # aMSaH iva iti
   jīva ityanuṣaṅgaḥ /	jIvaH iti anuzaFgaH /
   bheda eva cetsvasvāmibhāvo yukto nāṃśāṃśibhāva iti śaṅkate # nanu ceti /.#	BedaH eva ced sva svAmi BAvaH yuktaH na aMSa aMSi BAvaH iti SaFkate # nanu ca iti /.#
   abhedasyāpi sattvādaṃśāṃśibhāva ityāha # ata iti /.#	aBedasya api sattvAt aMSa aMSi BAvaH iti Aha # atas iti /.#
   vañcasi gacchasi yadāste yo nāmarūpe nirmāya praviśya vyavaharanvartate	vaQcasi gacCasi yat A Aste yaH nAma rUpe nirmAya praviSya vyavaharan vartate
   taṃ vidvānamṛto bhavatīti śrutyarthaḥ /	tam vidvAn amRtaH Bavati iti Sruti arTaH /
   śrutisiddhābhede yuktimāha # caitanyaṃ ceti /.#	Sruti sidDa aBede yuktim Aha # cEtanyam ca iti /.#
   jīvo brahmaiva cetanatvāt brahmavadityarthaḥ //43//	jIvaH brahma eva cetana tvAt brahma vat iti arTaH //43//
   END BsRp_2,3.17.43	END BsRp _2,3.17.43
   START BsRp_2,3.17.44ḥ	START BsRp _2,3.17.44H
   mantravarṇāc ca | BBs_2,3.44 |	mantra varNAt ca | BBH _2,3.44 |
   asya sahasraśīrṣapuruṣasya tāvānprapañco mahimā vibhūtiḥ	asya sahasra SIrza puruzasya tAvAn prapaQcaH mahimA viBUtiH
   puruṣastasmātprapañcāt jyāyānmahattaraḥ /	puruzaH tasmAt prapaQcAt jyAyAn mahattaraH /
   bhūtāni dehino jīvā ityatra niyāmakamāha # ahiṃsanniti /.#	BUtAni dehinaH jIvAH iti atra niyAmakam Aha # ahiMsan= iti /.#
   tīrthāni śāstroktakarmāṇi, tebhyo 'nyatra	tIrTAni SAstra ukta karmANi, teByaH anyatra
   sarvaprāṇihiṃsāmakurvanbrahmalokamāpnotītyarthaḥ /	sarva prANi hiMsAm akurvan brahma lokam Apnoti iti arTaH /
   atra bhūtaśabdasya prāṇiṣu prayogātsūtroktamantre 'pi tatheti bhāvaḥ /	atra BUta Sabdasya prANizu prayogAt sUtra ukta mantre api taTA iti BAvaH /
   bhūtānāṃ pādatve 'pyaṃśatvaṃ kutaḥ, tatrāha # aṃśaḥ pāda iti.# //44//	BUtAnAm pAda tve api aMSa tvam kutas , tatra Aha # aMSaH pAdaH iti.# //44//
   END BsRp_2,3.17.44	END BsRp _2,3.17.44
   START BsRp_2,3.17.45ḥ	START BsRp _2,3.17.45H
   api ca smaryate | BBs_2,3.45 |	api ca smaryate | BBH _2,3.45 |
   jīvasya puruṣasūktamantroktabhagavadaṃśatve bhagavadgītāmudāharati	jIvasya puruzasUkta mantra ukta Bagavat aMSa tve Bagavat gItAm udAharati
   sūtrakāraḥ # apiceti /.#	sUtrakAraH # apicA iti /.#
   atyantabhinneśitrīśitavyabhāvaprasiddheḥ īśitavyajīvasya	atyanta Bid na ISitrI Sitavya BAva prasidDeH ISitavyajIvasya
   kathamīśvarāṃśatvamityāśaṅkya kalpitabhedenāpīśitavyatvopapatteḥ,	kaTam ISvara aMSa tvam iti ASaFkya kalpita Bedena api ISita vya tva upapatteH,
   ananyathāsiddhābhedaśāstrabalādaṃśatvamityāha # yattvityādinā /.#	ananyaTA asidDa aBeda SAstra balAt aMSa tvam iti Aha # yat tu ityAdinA /.#
   aupādhike īśvarasya niyantṛtve jīva eva tanniyantā kiṃ na syādityata āha #	OpADike ISvarasya niyantR tve jIvaH eva tat niyantA kim na syAt iti atas Aha #
   niratiśayeti /.#	niratiSaya iti /.#
   nitarāṃ hīnaḥ śarīrādyupādhiḥ, ājñānikopādhitāratamyādīśeśitavyavyavasthā,	nitarAm hInaH SarIra Adi upADiH, AjQAnika upADitAratamyAt ISa ISitavya vyavasTA,
   na vastutaḥ /	na vastutas /
   taduktaṃ sureśvarācāryaiḥ 'īśeśitavyasaṃbandhaḥ pratyagajñānahetujaḥ /	tat uktam sura ISvara AcAryEH  aISa ISitavya saMbanDaH pratyak ajQAna hetu jaH /
   samyagjñāne tamodhvastāvīśvarāṇāmapīśvaraḥ //	samyak jQAne tamaH DvastO= ISvarANAm api ISvaraH //
   'iti //45//	aiti //45//
   END BsRp_2,3.17.45	END BsRp _2,3.17.45
   START BsRp_2,3.17.46ḥ	START BsRp _2,3.17.46H
   prakāśādivan naivaṃ paraḥ | BBs_2,3.46 |	prakASa Adi vat na evam paraH | BBH _2,3.46 |
   uttarasūtramavatārayati # atrāheti /.#	uttara sUtram avatArayati # atra aha iti /.#
   īśvaraḥ svāṃśaduḥkhairduḥkhī, aṃśitvāt, devadattavadityarthaḥ /	ISvaraH sva aMSa duHKEH duHKI, aMSitvA at, devadatta vat iti arTaH /
   tataḥ kiṃ, tatrāha # tataśceti /.#	tatas kiM, tatra Aha # tatas ca iti /.#
   jñānātsarvāṃśaduḥkhasamaṣṭiprāptyapekṣayā saṃsāro varaṃ tatra	jQAnAt sarva aMSa duHKa samazwi prApti apekzayA saMsAraH varam tatra
