   śrīvyāsatīrtharacitam	SrI vyAsa tIrTa racitam
   bādhakamiti bhāvaḥ //	bADakam iti BAvaH //
   nanvasurādipadaṃ paryudāse 'pi kriyāyoge nañaḥ	nanu asurAdi padam paryudAse api kriyA yoge naQaH
   paryudāsārthatvamadṛṣṭacaram / tathā ca na bhakṣayoditi prasajyapratiṣedha	paryudAsA arTa tvam adRzwa caram / taTA ca na Bakzaya uditi prasajya pratizeDa
   evetyata āha    dṛṣṭaṃ ceti //	eva iti atas Aha   dRzwam ca iti //
   1. iṣṭaṃ ca  ja.ga.ka.	1. izwam ca  ja. ga.ka.
   nyāyadipayutatarkatāṇḍavam (dvi.paricchedaḥ pu   316.	nyAya dipayuta tarka tANxavam (dvi. paricCedaH pu  316.
   yāge 'pi nānuyājeṣu eyajāmahaṃ karotītyādau paryudāsārthakatvam //	yAge api na anuyAjezu eyajAm aham karoti ityAdO paryudAsa arTaka tvam //
   nānu yājeṣviti / nañaḥ kriyānvayo na tūttarapadena samāsena nirdeśaḥ /	na anu yAjezu iti / naQaH kriyA anvayaH na tu uttara padena samAsena nirdeSaH /
   anuyācānāma trayonuyājā ityukteḥ trayo yāgaviśeṣāḥ /	anuyAcAnAma tra yonuyAjAH iti ukteH trayaH yAga viSezAH /
   anūyājanāmakayāgabhinneṣu 1 e yajāmaha iti pañcākṣaraṃ mantraṃ karoti	anUyA ja nAmaka yAga Binnezu 1 e yajAmahe iti paQcAkzaram mantram karoti
   uccārayatītyarthaḥ / pratiṣedhaḥ 3 pradeśe 'nārabhya vidhāne ca	uccArayati iti arTaH / pratizeDaH 3 pradeSe anAraBya viDAne ca
   prāptapratiṣiddhatvā dvikalpyaḥ syāditi	prApta pratizidDatvAH dvi kalpyaH syAt iti
   daśamāṣṭapapādīyādyādhikaraṇe"yajatiṣu e yajāmahaṃ karoti nānuyājeṣu ye	daSama azwa papAdIya AdyADi karaNe" yajatizu e yajAm aham karoti na anuyAjezu ye
   yajāmahaṃ karoti"ti vākyadvayamudāhṛtya nañatra prasajyapratiṣedhārtha uta	yajAm aham karoti"ti vAkya dvayam udAhRtya naQatra prasajya pratizeDa arTaH uta
   paryudāsārtha iti saṃdihya ādye anārabhyādhītena yajatiṣviti	paryudAsA arTaH iti saMdihya Adye anAraBya aDItena yajatizu iti
   mantreṇānuyājeṣvapi yajatitvātprāpto ye yajāmaha iti mantro na karotīti	mantreNa anuyAjezu api yajati tvAt prAptaH ye yajAmahe iti mantraH na karoti iti
   pratiṣidhyata iti naño 'nu 3 yāja iti śabdasya ca mukhyārthalābhaḥ /	pratiziDyate iti naQaH anu 3 yAjaH iti Sabdasya ca muKya arTa lABaH /
   paryudāsapakṣe tu nañanuyājaśabdābhyāṃ tadanyāyāgāntaragrahaṇamiti	paryudAsa pakze tu naQa nuyAja SabdAByAm tad anyAyAga antara grahaNam iti
   padadvayalakṣaṇādoṣaḥ / nañonuyājapadenānvaye 'naśva ityādāviva	pada dvaya lakzaNA dozaH / naQonuyAja padena anvaye anaSvaH iti AdO= iva
   nityasamāsenānanuyājeṣviti prāptyātra pratīyamānakriyānvayāyogato	nitya samAsena ananuyAjezu iti prAptyA atra pratIyamAna kriyA anvayA yogataH 
   'vihitapratiṣiddhatvādvayanadvayaprāmāṇyātsāmānyaviśeṣabhāve satyapi	avihita pratizidDa tvAt vayana dvaya prAmANyAt sAmAnya viSeza BAve sati api
   niṣedhasya svāpekṣitaniṣedhyaprāpakatayā samānyavacasopekṣyatvena	nizeDasya svApekzita nizeDya prApaka tayA samAnya vacasA upekzya tvena
   tulyavacchravaṇavirodhena cāyuktatvānnañonuyājasaṃbandhajhe vyākaraṇe 'pi	tulya vat SravaNa viroDena ca ayukta tvAt naQonuyAja saMbanDa Je vyAkaraNe api
   dvitīyādhyāyaprathamapāde vibhāṣeti mahāvibhāṣādhikaraṇā 4 samāsopapatteḥ	dvitIya aDyAya praTama pAde viBAzA iti mahA viBAzA aDikaraNAH 4 samAsa upapatteH
   kriyānvitanaño 'pi paryadāsārthatvameveti anuyājānyayāgeṣu ya yajāmahaṃ	kriyAn vitanaQaH api paryadAsa arTa tvam eva iti anuyAja anya yAgezu yaH yajAm aham
   karotītyevārtha iti siddhānti 5 tvāditi bhāvaḥ //	karoti iti eva arTaH iti sidDAnti 5 tvAt iti BAvaH //
   1.'ye' ityeva sarvatrāsti  naṃ.u.e. 2.dhe pra u.e. 3.'nū' iti prāya asti	1. aye a iti eva sarvatra asti  naM.u.e. 2.De pra u.e. 3. anU a iti prAyas asti
    u.e. 4.ṇasa  naṃ.e.	 u.e. 4.NasaH  naM.e.
   unokta vabhiya vitvaṅgaḥ) vidhivādaḥ pu   317.	unA ukta  vaBiya vitvaFgaH) viDivAdaH pu  317.
   yadvā prathamaṃ nañarthadhatvarthayoranvayo 'nantaraṃ tadanvitena liṅgā	yat vA praTamam naQarTa DatvarTayoH anvayaH anantaram tad anvitena liFgA
   mānāntarāviruddhakalañjalabhakṣaṇābhāvasyeṣṭasādhanatvamevocyate //	mAna antara avirudDa kalaQjala BakzaNa aBAvasya izwa sADana tvam eva ucyate //
   ete virodhiparatvaṃ samastasyaiva naño na tu vyastasyeti rucidattoktaṃ	ete viroDi paratvam samastasya eva naQaH na tu vyastasya iti ruci datta uktam
   nirastam / paryudāśrayaṇe mīmāṃsānyāyasiddhe sati yathoyogaṃ virodhitvasya	nirastam / paryudASrayaNe mImAMsA nyAya sidDe sati yaToyogam viroDi tvasya
   vānyatvasya vārthasya grahaṇe bādhakābhāvāt //	vA anya tvasya vA arTasya grahaNe bADaka aBAvAt //
   maṇau 1 tu    iṣṭasādhanatvasya liṅarthatve na kalañjaṃ bhakṣayedityatra	maNO 1 tu   izwa sADana tvasya liFarTa tve na kalaQjam Bakzayet iti atra
   vidhyarthaniṣedhānupapattiḥ / tadbhakṣaṇsya tṛptirūpeṣṭasādhanatvāt /	viDi arTa nizeDa anupapattiH / tad Bakzaj sya tRpti rUpa izwa sADana tvAt /
   nacāsurā ityādivatparyudāsalakṣaṇayā virodhyaniṣṭasādhanatvabodhanaṃ	naca asurAH ityAdi vat paryudAsa lakzaNayA viroDi anizwa sADana tva boDanam
   nañosamastvātkriyāsaṃgatatvena pratiṣedhavācakatvavyatpatteśceti cenna /	naQosamaH tvAt kriyA saMgata tvena pratizeDa vAcaka tvavyat patteH ca iti ced na /
   viśeṣyavati viśiṣṭaniṣedhasya saviśeṣaṇehītinyāyena	viSezyavati viSizwa nizeDasya sa viSezaNa ihi iti nyAyena
   viśeṣaṇaniṣedhaparyavasāyitayā	viSezaNa nizeDa paryavasAyitayA
   kalañjabhakṣaṇamiṣṭotpattināntarīyakaduḥkhasādhanamiti na kalañjaṃ	kalaQja BakzaNam izwa utpattinA antarIyaka duHKa sADanam iti na kalaQjam
   bhakṣayedityena bodhitatvāditi granthena nañaḥ pratiṣedhārthatvamupetyaiva	Bakzayet iti ena boDita tvAt iti granTena naQaH pratizeDa arTa tvam upetya eva
   niṣedhānupapattisamādhanamuktam / taduttarabhaṅge nirasiṣyata iti bhāvaḥ /	nizeDa anupapatti samADanam uktam / tad uttara BaFge nirasizyate iti BAvaH /
   ādipadena nārṣeyaṃ vṛṇīte, nekṣetodyantamādityamityādergrahaḥ /	Adipadena nArzA iyam vRNIte, na Ikzeta udyantam Adityam iti AdeH grahaH /
   nekṣetetyasyāpi caturthādyapāde 2 tṛtīyādhikaraṇe paryudāsatvokteḥ //	na Ikzeta iti asya api caturTa AdyapAde 2 tRtIya aDikaraNe paryudAsatva ukteH //
   astu tatra nityavacchravaṇavirodhādibādhakena lakṣaṇayāpi	astu tatra nitya vat SravaNa viroDa Adi bADakena lakzaNayA api
   paryudāsākṣayaṇam / prakṛte ca bādhakābhāvānmukhyārtha eva	paryudAsA kzayaNam / prakRte ca bADaka aBAvAt muKya arTaH eva
   prasajyapratiṣedhostviti vādinaṃ pratyāha    yadveti //	prasajya pratizeDoH tu iti vAdinam pratyAha   yat vA iti //
   bhakṣaṇarūpadhātvarthetyarthaḥ / na ca	BakzaNa rUpa DAtu arTa iti arTaH / na ca
   mīmāṃsakavannyarthamādāyākhyātānvayaḥ, tena kalañjabhakṣaṇābhāva	mImAMsaka vat nyarTam AdAya AKyAta anvayaH, tena kalaQja BakzaNa aBAva
   iṣṭāsādhanamityanvaya iti vācyamityādinā pakṣadharādyuktamāśaṅkya nirāha	izwa asADanam iti anvayaH iti vAcyam ityAdinA pakzaDara Adi uktam ASaFkya nirAha
      neceti // na tu nañartheneti // tasya bhinnapadopāttatvena	  neca iti // na tu naQarTena iti // tasya Binna pada upAtta tvena
   bahiraṅgatvāditi bhāvaḥ / subantepyāha    gambhīrāyāmiti //	bahis aFga tvAt iti BAvaH / subantepi a Aha   gamBIrAyAm iti //
   1.'ṇau na kalañja' itthamasti naṃ.u. 2.'tṛtīyādhikarame' iti	1. aNO na kalaQja a itTam asti naM.u. 2. atRtIya aDika rame a iti
   nāsti u.e.naṃ. pūritam  mu.	na asti u.e.nan. pUritam  mu.
                                                                            nyāyadīpayutatarkatāṇḍavam	                                                                         nyAyadIpa yuta tarka tANxavam
   (dvi.paricchedaḥ pu   318.	(dvi. paricCedaH pu  318.
   na ṭa prakṛtibhūtadhātvarthasya prathamamantaraṅgeṇa	na wa prakRti BUta DAtu arTasya praTamam antaraFgeNa
   pratyayārthenaivānvayo na tu nañartheneti vācyam / taṇḍulān pacatītyatra	pratyaya arTena eva anvayaH na tu naQarTena iti vAcyam / taNxulAn pacati iti atra
   taṇḍulaviṣayakapākānukūlakṛtimānityartha 1 pratītyā	taNxula vizaya kapAka anukUla kRtimAn iti arTaH 1 pratItyE 
   taṇḍulānvitapākasyākasyākhyātārtha 2 bhūtayā kṛtyānvayasya gambhīrāyāṃ	taNxula anvita pAkasya akasya AKyAta arTa 2 BUtayA kRtyA anvayasya gamBIrAyAm
   nadyāṃ ghoṣa ityādau gambhīrā3 nvitāyā eva nadyāḥ saptamyarthe	nadyAm GozaH iti AdO gamBIrA3 nvitAyAH eva nadyAH saptamI arTe
   nādhikaraṇatvenānvayasya 4 darśanāt //	na aDikaraNa tvena anvayasya 4 darSanAt //
   kiṃ ca nañarthasya pratiyoginyākāṅkṣotthiteti tasyaiva prathamaṃ	kim ca naQarTasya pratiyoginI AkAFkza utTitA iti tasya eva praTamam
   dhātvarthenānvayaḥ / sannidhānādapyā  	DAtu arTena anvayaH / sanniDAnAt api A  
   nanu   tatrāpyarūṇai 5 kahāyanīnyāyena khalekapotanyāyena	nanu  tatra api arUNEH 5 kahAyanI nyAyena Kalekapota nyAyena
   copapadārthaprakṛtyarthayoḥ yugapadena kriyānvaye paścātpā 6	ca upapadArTa prakRti arTayoH yugapadena kriyA anvaye paScAt pA 6
   rṣṭikānvayabalenaiva	rzwikA anvaya balena eva
   taṇḍulavalaviṣakapākānukūlakṛtimānityādipratītirityastu / yadvā	taNxu lavala vizakapAka anukUla kRtimAn ityAdi pratItiH iti aH tu / yat vA
   sannidherbalavatvātpūrvaṃ prakṛtyarthasya pratyārthenaivānvayo	sanniDeH balava tvAt pUrvam prakRti arTasya pratyArTena eva anvayo
   nopapādārtheneti vadantaṃ pratyāha    kiṃ ceti // utthiteti // svarasā /	na upapAda arTena iti vadantam pratyAha   kim ca iti // utTitA iti // svarasA /
   dhātvartheneti // tasyaiva pratiyogitvāditi bhāvaḥ / sannidhānādapīti //	DAtu arTena iti // tasya eva pratiyogi tvAt iti BAvaH / sanniDAnAt api iti //
   dhātvarthasyaikapadopāttatvātpratyayārthasannidhānamasti / nañarthena	DAtu arTasya eka pada upAtta tvAt pratyaya arTa sanniDAnam asti / naQarTena
   tvākāṅkṣāsti / tatra sannidhānātpūrvaṃ pratyayārthena dhātvarthasyānvayo	tu AkAFkzA asti / tatra sanniDAnAt pUrvam pratyaya arTena DAtu arTasya anvayaH 
   vā 7 thākāṅkṣāvaśānnañartheneti saṃdehe dvitīya eva yuktaḥ /	vA 7 TA kAFkzA vaSAt naQarTena iti saMdehe dvitIyaH eva yuktaH /
   1. rthasya pra naṃ.ga.rā.sur. 2.thenānvayasya  ja.kar. thakṛtya  rā.su. 3.	1. rTasya pra naM.ga.rA. sur. 2.Tena anvayasya  ja.kar. TakRtya  rA.su. 3.
   ratvānvi naṃ.ja.ga.ka. 4.sya ca da naṃ.ja.ka. 5.ṇayaika u.e. 6.tpārṣṇikā	ratvAn vi naM.ja. ga.ka. 4.sya ca da naM.ja.ka. 5.NayA eka u.e. 6.tpArzNikA
    u. tpārthikā  e. 7. atheti nāsti  e.u.	 u. tpArTikAH  e. 7. aTa iti na asti  e.u.
   unokta vabhiya vitvaṅgaḥ) vidhivādaḥ pu   319.	unA ukta  vaBiya vitvaFgaH) viDivAdaH pu  319.
      kāṅkṣāyā 1 eva balavatvāt //	  kAFkzAyAH 1 eva balava tvAt //
   etadeva parihāradvayamabhipretya viṣṇutatvanirṇaye"jñātvaiva	etat eva parihAra dvayam aBipretya vizNu tatva nirNaye" jQAtvA eva
   hīṣṭasādhanatāṃ pravartate ca viparyayeṇe"ti viparyayaśabdaḥ prayuktaḥ /	hi izwa sADana tAm pravartate ca viparyayeNa i"ti viparyaya SabdaH prayuktaH /
   kalañjabhakṣaṇasyāniṣṭasādhanatvaṃ kalañjabhakṣaṇasyāniṣṭasādhanatvaṃ	kalaQja BakzaNasya anizwa sADana tvam kalaQja BakzaNasya anizwa sADana tvam
   kalañjabhaṇābhāvasyeṣṭāsādhanatvaṃ ceti dvayamapi hi	kalaQja BaNa aBAvasya izwA sA Dana tvam ca iti dvayam api hi
   kalañjabhakṣaṇeṣṭasādhanatvasya viparyaya eva //	kalaQja BakzaNa izwa sADana tvasya viparyayaH eva //
   keci 2 t    yathā gatinivṛtyarthasyāpi sthādhātoḥ pratiṣṭhata ityatra pro	keci 2 t   yaTA gati nivRti arTasya api sTADAtoH pratizWate iti atra pro
   3 pasandānena gamanārthatā / tatheṣṭasādhanatvārthasyāpi liṅgo	3 pasandAnena gamana arTa tA / taTA izwa sADanatva arTasya api liFgaH 
   nañupasaṃdānenāniṣṭasādhanatvārthatvamityāhuḥ //	naQupa saMdAnena anizwa sADanatva arTa tvam iti AhuH //
   sannidhānaṃ hi pāṭhasādeśyarūpaṃ sthānapramāṇam / ākāṅkṣā hi prakaraṇam /	sanniDAnam hi pAWa sAdeSya rUpam sTAna pramANam / AkAFkzA hi prakaraNam /
   tatra"śrutiliṅgavākyaprakaraṇasthānasamākhyānāṃ samavāye 4	tatra" Sruti liFga vAkya prakaraNa sTAna samAKyAnAm samavAye 4
   paradaurbalyamarthaviprakarṣāditi"tṛtīyādhikaraṇoktadiśā prakaraṇasya	para dOrbalyam arTa viprakarza Aditi"tRtIya aDikaraNa ukta diSA prakaraNasya
   sthānādapi balavatvāt //	sTAnAt api balava tvAt //
   ata eva tṛtīyasya tṛtīyapāde daśamādhikaraṇe 5 rājasūyaprakaraṇe	atas eva tRtIyasya tRtIya pAde daSama aDikaraNe 5 rAjasUya prakaraNe
   śrutābhiṣecanīyāgasannidhāvāmnātānāmapyakṣairdāvyatītyādyuktivadevanādīnāṃ	Sruta aBizecanI yAga sanniDO= AmnAtAnAm api akzEH dAvi ati iti At yukti vat evana AdInAm
   prakaraṇāt rājasūyā 6 ṅgatvamuktamiti bhāvaḥ / etadeva	prakaraNAt rAjasUyA 6 Fga tvam uktam iti BAvaH / etat eva
   parihāradvayamityetadvyañjayanmūlārūḍhatāṃ spaṣṭayati   	parihAra dvayam iti etat vyaQjayat mUla ArUXa tAm spazwayati   
   kalañjabhakṣaṇasyeti // maṇikārādimatamāha    ktecitviti // sthādhātoriti	kalaQja BakzaNasya iti // maNikAra Adi matam Aha   ktecitu iti // sTADAtoH iti
   // yadyapi ṣṭhā gatinivṛttāvitipaṭhanāt ṣṭhā dhātoritivācyam / tathāpi	// yadi api zWA gati nivRttO= iti paWanAt zWA DAtoH iti vAcyam / taTA api
   "dhātvādeḥ ṣaḥ śa"iti kṛtasakārasyāyamanuvāda ityadoṣaḥ / propasaṃdāneneti	"DAtu AdeH zaH Sa"iti kRta sakArasya ayam anuvAdaH iti adozaH / propasaMdAnena iti
   // upasaṃdānaṃ nāma dhātugataśaktatāvacchedakatvāparaparyāyam dyotakatvāt	// upasaMdAnam nAma DAtu gata Sakta tAvacCedaka tva apara paryAyam dyotaka tvAt 
   / tādṛśa 7 pretyupasaṃsargasaṃnidhānenetyarthaḥ / gamanārthateti //	/ tAdRSa 7 preti upasaMsarga saMniDAnena iti arTaH / gamana arTa tA iti //
   1.eva iti nāsti naṃ.ga.ka.rā.su. 2.ttu ya  naṃ.ja.ga.ka.rā.su. 3.pretyupa	1.eva iti nAsti naM.ga.ka.rA.su. 2.ttu yaH  naM.ja. ga.ka.rA.su. 3. preti upa
    ja.ka. 4.pāra naṃ. 5. daśamādhikaraṇe iti nāsti  u.e.naṃ.	 ja.ka. 4. pAra naM. 5. daSama aDikaraNe iti na asti  u.e.naM.
   haṃsapādenapūritam  mu. 6.viṣayetyadhikam  e. 7. śapratyupa  naṃ.e.	haMsapAdena pUritam  mu. 6.vizaya iti aDikam  e. 7. Saprati upa  naM.e.
   nyāyadīpayutatarkatāṇḍavam (dvi.paricchedaḥ pu   320.	nyAya dIpa yuta tarka tANxavam (dvi. paricCedaH pu  320.
   anye tu   na bhakṣayedityādiniṣedhasthale bhakṣayediti na liṅ / vihitasya	anye tu  na Bakzayet ityAdi nizeDa sTale Bakzayet iti na liF / vihitasya
   pratiṣedhāyāgāt / kiṃ tu balavadaniṣṭānanubandhitvaniṣedhyasamarpakaṃ	pratizeDa aya agAt / kim tu balavat anizwa an anubanDi tva nizeDya samarpakam
   liṅpratirūpakamavyayameva /"vyātena kiraṇāvalīmudayanaḥ""cakre subandhuḥ	liFpratirUpakam avyayam eva /"vyAtena kiraNa AvalIm udayanaH""cakre subanDuH
   sujanaikabandhurityādau"2 tiṅ pratirūpakāvyayavat /	sujana eka banDuH iti AdO"2 tiF pratirUpaka avyayavat /
   "apetarayuddhābhinivośasaumyo /	"apa itara yudDa aBinivoSa sOmyaH /
   harirhariprasthamatha pratasthe"//	hariH hariprasTam aTa pratasTe"//
   ityādi māghādau prayogāditi bhāvaḥ //	ityAdi mAGa AdO prayogAt iti BAvaH //
   atrārucibījaṃ tūpasargāṇāṃ maṇyabhimatadyotakatvanirāsenāgre	atra aruci bIjam tu upasargANAm maNi aBimata dyotaka tva nirAsena agre
   vācakatvasamarthanenedaṃ pratyuktaṃ bhaviṣyatīti / 2 tiṅpratirūpakaṃ 3	vAcaka tva samarTanena idam pratyuktam Bavizyati iti / 2 tiFpratirUpakam 3
   kiṅgantasadṛśamityarthaḥ //	kiFganta sadRSam iti arTaH //
   arthānāṃ pravivecanāya jagatāmantastamaḥ śāntaye	arTAnAm pravivecanAya jagatAm antar tamaH SAntaye
   sanmārgasya vilokanāya gataye lokasya yātrārthinaḥ /	sat mArgasya vilokanAya gataye lokasya yAtrA arTinaH /
   tattattāsamasabhūtabhītaya imāṃ vidyāvatāṃ prītaye	tad tad tA samasa BUta BItayaH imAm vidyAvatAm prItaye
   vyātene kiraṇāvalīmudayanaḥ sattarkatejomayīm //	vyAtene kiraNa AvalIm udayanaH sat tarka tejaH mayIm //
   iti kiraṇāvalyāṃ tṛtīyo granthakaraṇapratijñāślokaḥ / cakre subandhuriti	iti kiraNa AvalyAm tRtIyaH granTa karaNa pratijQASlokaH / cakre subanDuH iti
   pratyakṣaraśleṣamayaprabandhavinyāsavaidagdhyanidhirnibandham /	pratyakzara Sleza maya prabanDa vinyAsa vEdagDya niDiH nibanDam /
   sarasvatīdatattavaraprasādaścakresubandhuḥ. . . .	sarasvatIda tattavara prasAdaH cakresu banDuH. . . .
   1.liṭpra naṃ.ja.ga.ka.rā.su. 2.liṅpra naṃ.e.u. 3.liṅsadṛ u.naṃ.	1. liz pra naM.ja. ga.ka.rA.su. 2.liFpra naM.e.u. 3.liFsa dR u.naM.
   4.liṅntasadṛ e.	4.liFnta sadR e.
   unokta vabhiya vitvaṅgaḥ) vidhivādaḥ pu   321.	unA ukta  vaBiya vitvaFgaH) viDivAdaH pu  321.
   balavadaniṣṭānanubandhitvaviśiṣṭasādhanatvaṃ liṅartha iti mate 'pi hi nañā	balavat anizwAn anubanDi tva viSizwa sADana tvam liFarTaH iti mate api hi naQA
   balavadaniṣṭānanubandhitvarūpaviśeṣaṇe niṣiddhe	balavat anizwa an anubanDi tva rUpa viSezaNe nizidDe
   draviṭamaṇḍakanyāyenāniṣṭānubandhitva 1 eva paryavasyatītyāhuḥ //	draviwa maNxaka nyAyena anizwa anubanDi tva 1 eva paryavasyati iti AhuH //
   tasmādvidhipratyayasyeṣṭasādhanatvārthakatve na kiñcidbādhikam //	tasmAt viDi pratyayasya izwa sADana tva arTaka tve na kiQcid bADikam //
   iti vāsavadattākhyagrandhasya ślokaḥ / subandhuriti	iti vAsavadatta AKya granDasya SlokaH / subanDuH iti
   vāsavadattākhyagranthakarturnāmadheyam / ādadipadena   	vAsavadatta AKya granTa kartuH nAmaDeyam / Adadipadena   
   ujjahārapadamañjarīmasau śabdaśāstrasahakārapādapāt /	ujjahAra pada maQjarIm asO Sabda SAstra sahakAra pAdapAt /
   iti padamañjaryādiprayogagrahaḥ / liṅantaprayoge ta"parokṣe liḍiti"parokṣe	iti pada maQjaryAdi prayoga grahaH / liFanta prayoge ta"parokze lixiti"parokze
   bhūte ca liṭonuśānasanātsvakṛteḥ parokṣatvabhūtārthayorayorabhāvāvdyātena	BUte ca liwa unuSAna sanAt sva kRteH parokza tva BUta arTayoH ayoH aBAva avdyAtena
   ityādiprayogocha'sādhureva syāt //	ityAdi prayoga uCa asa ADurA iva syAt //
   ata eva kiraṇāvalī vyākhyāne    vyātene vyātanodityarthamuktvā,"āśaṃsāyāṃ	atas eva kiraNa AvalI vyAKyAne   vyAtene vyAtana uditi arTam uktvA a,"ASaMsAyAm
   bhūtavacce"ti liḍiti matamayuktaṃ, tatra	BUta vat ce"ti lixiti matam ayuktan, tatra
   bhūtasāmānyapratyayasyātideśādbhūtaviśeṣavihitayorlaṅliṭoranatideśāditi	BUta sAmAnya pratyayasya atideSAt BUta viSeza vihitayoH laFliwa uranati deSAt iti
   matāntaraṃ dūṣayitvā, tiṅantapratirūpapako 'ya nipātaḥ cakre subandhuḥ	mata antaram dUzayitvA, tiFanta pratirUpapakaH aya nipAtaH cakre subanDuH
   sujanaikabandhuritivadityuktamiti bhāvaḥ // draviḍeti //	sujana eka banDuH iti vat iti uktam iti BAvaH // dravixa iti //
   maṇḍākākhyabhakṣyaviśeṣabhakṣaṇākuśalo draviḍo drāviḍajātimān hastena	maNxAka AKya Bakzya viSeza BakzaNA kuSalaH dravixaH drAvixa jAtimAn hastena
   maṇḍakaṃ gṛhītvā śiroveṣṭanenāpi vadane nikṣipya yathā bhakṣayati evameva	maNxakam gRhItvA SiraH vezwanena api vadane nikzipya yaTA Bakzayati evam eva
   viśiṣṭa 3 niṣedhenāpyaniṣṭānubandhitvameva prāptamityarthaḥ /.	viSizwaH 3 nizeDena api anizwa anubanDi tvam eva prAptam iti arTaH /.
   atrāpyarucibījaṃ tu pūrvoktadiśā dvedhā niṣedhasthale	atra api aruci bIjam tu pUrva ukta diSA dveDA nizeDa sTale
   samādhānopapattāvavyayatvādikalpanākleṣo nānusartavya iti //	samADAna upapattO= avyaya tva Adi kalpanA klezaH na anusartavyaH iti //
   1.tvameva  naṃ. ja.ka.ga. 2.laḍiti naṃ.e. 3. vidhipadamadhikam   u. e.	1.tvam eva  naM. ja.ka.ga. 2. laxiti naM.e. 3. viDi padam aDikam  u. e.
   nyāyadīpayutatarkatāṇḍavam (dvi.piricchedaḥ pu   322.	nyAya dIpa yuta tarka tANxavam (dvi.piricCedaH pu  322.
   etadapyukta"miṣṭasādhanatā"meveti / na tu vaktrabhiprāyamityarthaḥ //	etat api ukta"mizwa sADana tA"m eva iti / na tu vaktraBiprAyam iti arTaH //
   yadyapi svābhiprāyo 'pi svapravṛttihetuḥ / tathāpi sa svarūpasanneva hetuḥ	yadi api sva aBiprAyaH api sva pravRtti hetuH / taTA api sa svarUpa san= A iva hetuH
   / na tu jñātaḥ / jñātaṃ sadyatpravartakam tadeva liṅvācyam / tādṛśaṃ	/ na tu jQAtaH / jQAtam sat yat pravartakam tat eva liFvAcyam / tAdRSam
   ceṣṭasādhanatvameva / na ta tu svābhiprāyaḥ / 1 etadapyāha"iṣṭāsādhanatāṃ	cezwa sA aDana tvam eva / na te tu sva aBiprAyaH / 1 etat api Aha "izwa asADana tAm
   jñātvai"veti / na tu svābhiprāyamivājñātvetyarthaḥ //	jQAtvA e"va iti / na tu sva aBiprAyam iva ajQAtvA iti arTaH //
   udayanoktavaktrabhiprāyavidhitvabhaṅgaḥ // 33 //	udayana ukta vaktraBiprAya viDi tva BaFgaH // 33 //
