   (KauśS_1,1.1) atha vidhiṃ vakṣyāmaḥ	(KOSS_1,1.1) aTa viDim vakzyAmaH
   brahmāvādhūṣṭāmṛtena mṛtyum | brahmopadraṣṭā sukṛtasya sākṣād brahmāsmad	brahmO= ADUzwa amRtena mRtyum | brahma upadrazwA sukRtasya sAkzAt brahma asmad 
   apa hantu śamalaṃ tamaś ca || [PS 16.150.2]>	apa hantu Samalam tamaH ca || [PH 16.150.2]>
   (KauśS_13,5[97].9) varam anaḍvāham iti samānam	(KOSS_13,5[97].9) varam anaxvAham iti samAnam
   (KauśS_13,6[98].1) atha yatra_etad bhūmicalo bhavati tatra juhuyāt	(KOSS_13,6[98].1) aTa yatra_etat BUmicalaH Bavati tatra juhuyAt 
   (KauśS_13,6[98].2) <acyutā dyaur acyutam antarikṣam acyutā bhūmir diśo	(KOSH _13,6[98].2) <acyutA dyOH acyutam antarikzam acyutA BUmiH diSaH 
   acyutā imāḥ | acyuto 'yaṃ rodhāvarodhād dhruvo rāṣṭre prati tiṣṭhāmi	acyutAH imAH | acyutaH ayam roDa avaroDAt DruvaH rAzwre prati tizWAmi
   jiṣṇuḥ || yathā sūryo divi rocate yathāntarikṣaṃ mātariśvābhivaste |	jizNuH || yaTA sUryaH divi rocate yaTA antarikzam mAtariSva aBivaste |
   yathāgniḥ pṛthivīmā viveśaivāyaṃ dhruvo acyuto astu jiṣṇuḥ || yathā devo	yaTA agniH pRTivI imA viveSa eva ayam DruvaH acyutaH astu jizNuH || yaTA devaH 
   divi stanayan vi rājati yathā varṣaṃ varṣakāmāya varṣati | yathāpaḥ	divi stanayan vi rAjati yaTA varzam varza kAmAya varzati | yaTA apaH
   pṛthivīmā viviśur evāyaṃ dhruvo acyuto astu jiṣṇuḥ || yathā purīṣaṃ nadyaḥ	pRTivI imA viviSuH eva ayam DruvaH acyutaH astu jizNuH || yaTA purIzam nadyaH
   samudram ahorātre apramādaṃ kṣaranti | evā viśaḥ saṃmanaso havaṃ me	samudram ahorAtre apramAdam kzaranti | evA viSaH saMmanasaH havam me
   'pramādam ihopa yantu sarvāḥ || dṛṃhatāṃ devī saha devatābhir dhruvā	apramAdam iha upa yantu sarvAH || dRMha tAm devI saha devatABiH DruvA
   dṛḍhācyutā me astu bhūmiḥ | sarvapāpmānam apanudyāsmad amitrān me dviṣato	dRXa acyutA me astu BUmiH | sarva pApmAnam apanudya asmat amitrAn me dvizataH 
   'nu vidhyatu || pṛthivyai svāhā [cf. AVPariś 11.1.11]>_iti hutvā	anu viDyatu || pRTivyE svAhA [cf. AVPariH 11.1.11]>_iti hutvA
   (KauśS_13,6[98].3) <ā tvāhārṣam [6.87.1]>_<dhruvā dyaur [6.88.1]>_<satyaṃ	(KOSS_13,6[98].3) <A tu A ahArzam [6.87.1]>_<DruvA dyOH [6.88.1]>_<satyam
   bṛhad [12.1.1]> ity etenānuvākena juhuyāt	bRhat [12.1.1]> iti etena anuvAkena juhuyAt 
   (KauśS_13,6[98].4) sā tatra prāyaścittiḥ	(KOSS_13,6[98].4) sA tatra prAyaScittiH
   (KauśS_13,7[99].1) atha yatra_etad ādityaṃ tamo gṛhṇāti tatra juhuyāt	(KOSS_13,7[99].1) aTa yatra_etat Adityam tamaH gRhNAti tatra juhuyAt 
   (KauśS_13,7[99].2) <divyaṃ citram ṛtūyā kalpayantam ṛtūnām ugraṃ	(KOSS_13,7[99].2) <divyam citram RtUyA kalpayantam RtUnAm ugram
   bhramayann udeti | tad ādityaḥ pratarann etu sarvata āpa imāṃ lokān	Bramayan udeti | tat AdityaH prataran etu sarvatas ApaH imAm lokAn
   anusaṃcaranti || oṣadhībhiḥ saṃvidānāv indrāgnī tvābhi rakṣatām | ṛtena	anusaMcaranti || ozaDIBiH saMvidAnO indra agnI tvA aBi rakzatAm | Rtena
   satyavākena tena sarvaṃ tamo jahi || ādityāya svāhā [ ]>_iti hutvā	satya vAkena tena sarvam tamaH jahi || AdityAya svAhA [ ]>_iti hutvA
   (KauśS_13,7[99].3) <viṣāsahiṃ sahamānaṃ [17.1.1]>_ity anena sūktena	(KOSS_13,7[99].3) <viza asahim sahamAnam [17.1.1]>_iti anena sUktena
   juhuyāt	juhuyAt 
   (KauśS_13,7[99].4) rohitair upatiṣṭhate	(KOSS_13,7[99].4) rohitEH upatizWate
   (KauśS_13,7[99].5) sā tatra prāyaścittiḥ	(KOSS_13,7[99].5) sA tatra prAyaScittiH
   (KauśS_13,8[100].1) atha yatra_etat_candramasam upaplavati tatra juhuyāt	(KOSS_13,8[100].1) aTa yatra_etat _candramasam upaplavati tatra juhuyAt 
   (KauśS_13,8[100].2) <rāhū rājānaṃ tsarati svarantam ainam iha hanti pūrvaḥ	(KOSS_13,8[100].2) <rAhuH rAjAnam tsarati svarantam Enam iha hanti pUrvaH
   | sahasram asya tanva iha nāśyāḥ śataṃ tanvo vi naśyantu || candrāya svāhā	| sahasram asya tanvaH iha nASyAH Satam tanvaH vi naSyantu || candrAya svAhA
   [ ]>_iti hutvā	[ ]>_iti hutvA
   (KauśS_13,8[100].3) <śakadhūmaṃ nakṣatrāṇi [6.128.1]>_ity etena sūktena	(KOSS_13,8[100].3) <Saka DUmam nakzatrANi [6.128.1]>_iti etena sUktena
   juhuyāt	juhuyAt 
   (KauśS_13,8[100].4) sā tatra prāyaścittiḥ	(KOSS_13,8[100].4) sA tatra prAyaScittiH
   (KauśS_13,9[101].1) atha yatra_etad auṣasī na_udeti tatra juhuyāt	(KOSS_13,9[101].1) aTa yatra_etat OzasI naH _udeti tatra juhuyAt 
   (KauśS_13,9[101].2) <ud etu śrīr uṣasaḥ kalpayantī pūlyān kṛtvā palita etu	(KOSS_13,9[101].2) <ud etu SrIH uzasaH kalpayantI pUlyAn kRtvA palitaH etu
   cāraḥ | ṛtūn bibhratī bahudhā virūpān mahyaṃ bhavyaṃ viduṣī kalpayāti ||	cAraH | RtUn biBratI bahuDA virUpAt mahyam Bavyam viduzI kalpayAti ||
   auṣasyai svāhā [ ]>_iti hutvā	OzasyE svAhA [ ]>_iti hutvA
   (KauśS_13,9[101].3) <divyo gandharvo [2.2.1]>_iti mātṛnāmabhir juhuyāt	(KOSS_13,9[101].3) <divyaH ganDarvaH [2.2.1]>_iti mAtR nAmaBiH juhuyAt 
   (KauśS_13,9[101].4) sā tatra prāyaścittiḥ	(KOSS_13,9[101].4) sA tatra prAyaScittiH
   (KauśS_13,10[102].1) atha yatra_etat samā dāruṇā bhavati tatra juhuyāt	(KOSS_13,10[102].1) aTa yatra_etat samA dAruNA Bavati tatra juhuyAt 
   (KauśS_13,10[102].2) <yā samā ruśaty eti prājāpatyān vi dhūnute | tṛptiṃ	(KOSS_13,10[102].2) <yA samA ruSati eti prAjApatyAn vi DUnute | tRptim
   yāṃ devatā vidus tāṃ tvā saṃ kalpayāmasi || vyādhakasya mātaraṃ	yAm devatAH viduH tAm tvA sam kalpayAmasi || vyADakasya mAtaram
   hiraṇyakukṣīṃ hariṇīm | tāṃ tvā saṃ kalpayāmasi || yat te ghoraṃ yat te	hiraNyakukzIm hariNIm | tAm tvA sam kalpayAmasi || yat te Goram yat te
   viṣaṃ tad dviṣatsu ni dadhmasy amuṣminn [ ]> iti brūyāt	vizam tat dvizatsu ni daDmasi amuzmin [ ]> iti brUyAt 
   (KauśS_13,10[102].3) <śivenāsmākaṃ same śāntyā sahāyuṣā samāyai svāhā	(KOSS_13,10[102].3) <Sivena asmAkam same SAntyA saha AyuzA samAyE svAhA
   [ ]>_iti hutvā	[ ]>_iti hutvA
   (KauśS_13,10[102].4) <samās tvāgna [2.6.1]>_ity etena sūktena juhuyāt	(KOSS_13,10[102].4) <samAH tvA agne [2.6.1]>_iti etena sUktena juhuyAt 
   (KauśS_13,10[102].5) sā tatra prāyaścittiḥ	(KOSS_13,10[102].5) sA tatra prAyaScittiH
   (KauśS_13,11[103].1) atha yatra_etad upatārakāḥ śaṅkante tatra juhuyāt	(KOSS_13,11[103].1) aTa yatra_etat upatArakAH SaFkante tatra juhuyAt 
   (KauśS_13,11[103].2) <revatīḥ śubhrā iṣirā madantīs tvaco dhūmam anu tāḥ	(KOSH _13,11[103].2) <revatIH SuBrAH izirAH mad antIH tvacaH DUmam anu tAH
   saṃ viśantu | pareṇāpaḥ pṛthivīṃ saṃ viśantv āpa imāṃ lokān anusaṃcarantu	sam viSantu | pareNa apaH pRTivIm sam viSantu ApaH imAm lokAn anusaMcarantu
   || adbhyaḥ svāhā [ ]>_iti hutvā	|| adByaH svAhA [ ]>_iti hutvA
   (KauśS_13,11[103].3) <samutpatantu [4.15.1]> <pra nabhasva [7.18.1]>_iti	(KOSS_13,11[103].3) <samutpatantu [4.15.1]> <pra naBasvaH [7.18.1]>_iti
   varṣīr juhuyāt	varzIH juhuyAt 
   (KauśS_13,11[103].4) sā tatra prāyaścittiḥ	(KOSS_13,11[103].4) sA tatra prAyaScittiH
   (KauśS_13,12[104].1) atha yatra_etad brāhmaṇā āyudhino bhavanti tatra	(KOSS_13,12[104].1) aTa yatra_etat brAhmaNAH AyuDinaH Bavanti tatra
   juhuyāt	juhuyAt 
   (KauśS_13,12[104].2) <ya āsurā manuṣyā āttadhanvaḥ puruṣamukhāś carān iha	(KOSS_13,12[104].2) <yaH AsurAH manuzyAH Atta DanvaH puruza muKAH carAn iha
   | devā vayaṃ manuṣyās te devāḥ pra viśāmasi || indro no astu purogavaḥ sa	| devAH vayam manuzyAH te devAH pra viSAm asi || indraH naH astu purogavaH sa
   no rakṣatu sarvataḥ | indrāya svāhā [ , cf. AVPariś 32.29]>_iti hutvā	naH rakzatu sarvatas | indrAya svAhA [ , cf. AVPariH 32.29]>_iti hutvA
   (KauśS_13,12[104].3) <mā no vidan [1.19.1]> <namo devavadhebhyo	(KOSS_13,12[104].3) <mA naH vidan [1.19.1]> <namaH deva vaDeByaH 
   [6.13.1]>_iti etābhyāṃ sūktābhyāṃ juhuyāt	[6.13.1]>_iti etAByAm sUktAByAm juhuyAt 
   (KauśS_13,12[104].4) sā tatra prāyaścittiḥ	(KOSS_13,12[104].4) sA tatra prAyaScittiH
   (KauśS_13,13[105].1) atha yatra_etad daivatāni nṛtyanti cyotanti hasanti	(KOSS_13,13[105].1) aTa yatra_etat dEvatAni nRtyanti cyotanti hasanti
   gāyanti vānyāni vā rūpāṇi kurvanti <ya āsurā manuṣyā [ , cf. KauśS 104.2]>	gAyanti vA anyAni vA rUpANi kurvanti <yaH AsurAH manuzyAH [ , cf. KOSH 104.2]>
   <mā no vidan [1.19.1]> <namo devavadhebhyo [6.13.1]>_iti abhayair juhuyāt	<mA naH vidan [1.19.1]> <namaH deva vaDeByaH [6.13.1]>_iti aBayEH juhuyAt 
   (KauśS_13,13[105].2) sā tatra prāyaścittiḥ	(KOSS_13,13[105].2) sA tatra prAyaScittiH
   (KauśS_13,14[106].1) atha yatra_etat_lāṅgale saṃsṛjataḥ puroḍāśaṃ	(KOSS_13,14[106].1) aTa yatra_etat _lAFgale saMsRjataH puroxASam
   śrapayitvā	SrapayitvA
   (KauśS_13,14[106].2) araṇyasyārdham abhivrajya	(KOSH _13,14[106].2) araNyasya arDam aBivrajya
   (KauśS_13,14[106].3) prācīṃ sītāṃ sthāpayitvā	(KOSS_13,14[106].3) prAcIm sItAm sTApayitvA
   (KauśS_13,14[106].4) sītāyā madhye prāñcam idhmam upasamādhāya	(KOSS_13,14[106].4) sItAyAH maDye prAQcam iDmam upasamADAya
   (KauśS_13,14[106].5) parisamuhya paryukṣya paristīrya barhiḥ śamyāḥ	(KOSS_13,14[106].5) parisamuhya paryukzya paristIrya barhiH SamyAH
   paridhīn kṛtvā	pariDIn kRtvA
   (KauśS_13,14[106].6) atha juhoti | <vittir asi puṣṭir asi śrīr asi	(KOSS_13,14[106].6) aTa juhoti | <vittiH asi puzwiH asi SrIH asi
   prājāpatyānāṃ tāṃ tvāhaṃ mayi puṣṭikāmo juhomi svāhā [ ]>	prAjApatyAnAm tAm tvA aham mayi puzwi kAmaH juhomi svAhA [ ]>
   (KauśS_13,14[106].7) <kumudvatī puṣkariṇī sītā sarvāṅgaśobhanī | kṛṣiḥ	(KOSS_13,14[106].7) <kumudvatI puzkariNI sItA sarva aFga SoBanI | kRziH
   sahasraprakārā pratyaṣṭā śrīr iyaṃ mayi || urvīṃ tvāhur manuṣyāḥ śriyaṃ	sahasra prakArA pratyazwA SrIH iyam mayi || urvIm tu AhuH manuzyAH Sriyam
   tvā manaso viduḥ | āśaye 'nnasya no dhehy anamīvasya śuṣmiṇaḥ || [ , cf.	tvA manasaH viduH | ASaye annasya naH Dehi anamIvasya SuzmiNaH || [ , cf.
   ;SāṅkhGS 1.27.7 etc.]> <parjanyapatni hariṇyabhijitāsy abhi no vada |	;SAFKGS 1.27.7 ed c.]> <parjanya patni hariNI aBijitA asi aBi naH vada |
   kālanetre haviṣo no juṣasva tṛptiṃ no dhehi dvipade catuṣpade || yābhir	kAlanetre havizaH naH juzasva tRptim naH Dehi dvipade catuzpade || yABiH 
   devā asurān akalpayan yātūn manūn gandharvān rākṣasāṃś ca | tābhir no adya	devAH asurAn akalpayan yAtUn manUn ganDarvAn rAkzasAn ca | tABiH naH adya
   sumanā upā gahi sahasrāpoṣaṃ subhage rarāṇā || [ , cf. 7.48.2cd]>	sumanAH upAH gahi sahasrApozam suBage rarANAH || [ , cf. 7.48.2cd]>
   <hiraṇyasrakpuṣkariṇī śyāmā sarvāṅgaśobhanī | kṛṣir hiraṇyaprakārā	<hiraNya sraj puzkariNI SyAmA sarva aFga SoBanI | kRziH hiraNya prakArA
   pratyaṣṭā śrīr iyaṃ mayi || aśvibhyāṃ devi saha saṃvidānā indreṇa rādhena	pratyazwA SrIH iyam mayi || aSviByAm devi saha saMvidAnAH indreNa rADena
   saha puṣṭyā na ā gahi | viśas tvā rāsantāṃ pradiśo 'nu sarvā	saha puzwyA naH A gahi | viSaH tvA rAsantAm pradiSaH anu sarvA
   ahorātrārdhamāsamāsā ārtavā ṛtubhiḥ saha || bhartrī devānām uta martyānāṃ	ahorAtra arDa mAsa mAsAH ArtavAH RtuBiH saha || BartrI devAnAm uta martyAnAm
   bhartrī prajānām uta mānuṣāṇām | hastibhir itarāsaiḥ kṣetrasārathibhiḥ	BartrI prajAnAm uta mAnuzANAm | hastiBiH ita rAsEH kzetra sAraTiBiH
   saha | hiraṇyair aśvair ā gobhiḥ pratyaṣṭā śrīr iyaṃ mayi || [ ]>	saha | hiraNyEH aSvEH A goBiH pratyazwA SrIH iyam mayi || [ ]>
   (KauśS_13,14[106].8) atra śūnāsīrāṇi_anuyojayet	(KOSS_13,14[106].8) atra SUna AsIrANi_anuyojayet 
   (KauśS_13,14[106].9) varam anaḍvāham iti samānam	(KOSS_13,14[106].9) varam anaxvAham iti samAnam
   (KauśS_13,15[107].1) atha yatra_etat sṛjantyor vā kṛtantyor vā nānā tantū	(KOSS_13,15[107].1) aTa yatra_etat sRjantyoH vA kRtantyoH vA nAnA tantU
   saṃsṛjato <manāyai tantuṃ prathamaṃ [PS 2.87.1]>_ity etena sūktena juhuyāt	saMsRjataH <manAyE tantum praTamam [PH 2.87.1]>_iti etena sUktena juhuyAt 
   (KauśS_13,15[107].2) <manāyai tantuṃ prathamaṃ paśyed anyā atanvata | tan	(KOSS_13,15[107].2) <manAyE tantum praTamam paSyet anyAH atanvata | tan
   nārīḥ pra bravīmi vaḥ sādhvīr vaḥ santūrvarīḥ || sādhur vas tantur bhavatu	nArIH pra bravImi vaH sADvIH vaH santUH varIH || sADuH vaH tantuH Bavatu
   sādhur etu ratho vṛtaḥ | atho horvarīr yūyaṃ prātar voḍhave dhāvata ||	sADuH etu raTaH vRtaH | aTo ha urvarIH yUyam prAtar voXave DAvata ||
   khargalā iva patvarīr apām ugram ivāyanam | patantu patvarīr ivorvarīḥ	KargalAH iva patvarIH apAm ugram iva ayanam | patantu patvarIH iva urvarIH
   sādhunā pathā || apācyau te totudyete todenāśvatarāv iva | pra stomam	sADunA paTA || apAcyO te totudyete todena aSvatarO iva | pra stomam
   urvarīṇāṃ śaśayānām astāviṣam || nārī pañcamayūkhaṃ sūtravat kṛṇute vasu |	urvarINAm SaSayAnAm astAvizam || nArI paQcama yUKam sUtra vat kRNute vasu |
   ariṣṭo asya vastā prendra vāsa utodira || [PS 2.87]>	arizwaH asya vastA prendra vAsaH uta udiraH || [PH 2.87]>
   (KauśS_13,15[107].3) vāsaḥ kartre dadyāt	(KOSS_13,15[107].3) vAsaH kartre dadyAt 
   (KauśS_13,15[107].4) sā tatra prāyaścittiḥ	(KOSS_13,15[107].4) sA tatra prAyaScittiH
   (KauśS_13,16[108].1) atha yatra_etad agnināgniḥ saṃsṛjyate <bhavataṃ naḥ	(KOSS_13,16[108].1) aTa yatra_etat agninA agniH saMsRjyate <Bavatam naH
   samanasau samokasāv [ ]> ity etena sūktena juhuyāt	sa manasO samokasO [ ]> iti etena sUktena juhuyAt 
   (KauśS_13,16[108].2) <bhavataṃ naḥ samanasau samokasāv arepasau | mā	(KOSS_13,16[108].2) <Bavatam naH samanasO samokasO arepasO | mA
   hi;msiṣṭaṃ yajñapatiṃ mā yajñaṃ jātavedasau śivau bhavatam adya naḥ [cf.	hi;msizwam yajQapatim mA yajQam jAtavedasO SivO Bavatam adya naH [cf.
   VSM 5.3 etc.]> <agnināgniḥ saṃsṛjyase kavir bṛhaspatir yuvā | havyavāṅ	VSm 5.3 ed c.]> <agninA agniH saMsRjyase kaviH bRhaspatiH yuvA | havyavAc 
   juhvāsyaḥ || [cf. .RV 1.12.6 etc.]> <tvaṃ hy agne agninā vipro vipreṇa san	juhU AsyaH || [cf. .RV 1.12.6 ed c.]> <tvam hi agne agninA vipraH vipreNa san
   satā | sakhā sakhyā samidhyase || [cf. .RV 8.43.14]> <pāhi no agna ekayā	satA | saKA saKyA samiDyase || [cf. .RV 8.43.14]> <pAhi naH agne ekayA
   pāhi na uta dvitīyayā | pāhi gīrbhis tisṛbhir ūrjāṃpate pāhi catasṛbhir	pAhi naH uta dvitIyayA | pAhi gIrBiH tisRBiH UrjA aMpate pAhi catasRBiH 
   vaso || samīcī māhanī pātām āyuṣmatyā ṛco mā satsi | tanūpāt sāmno	vasaH || samIcI mAhanI pAtAm AyuzmatyA RcaH mA satsi | tanUpAt sAmnaH 
   vasuvidaṃ lokam anusaṃcarāṇi || [PS 20.52.4 5]>	vasu vidam lokam anusaMcarANi || [PH 20.52.4 5]>
   (KauśS_13,16[108].3) rukmaṃ kartre dadyāt	(KOSS_13,16[108].3) rukmam kartre dadyAt 
   (KauśS_13,16[108].4) sā tatra prāyaścittiḥ	(KOSS_13,16[108].4) sA tatra prAyaScittiH
   (KauśS_13,17[109].1) atha yatra_etad ayamasūr yamau janayati tāṃ	(KOSS_13,17[109].1) aTa yatra_etat ayamasUH yamO janayati tAm
   śāntyudakenābhyukṣya dohayitvā	SAntyudakena aByukzya dohayitvA
   (KauśS_13,17[109].2) tasyā eva gor dugdhe sthālīpākaṃ śrapayitvā	(KOSH _13,17[109].2) tasyAH eva goH dugDe sTAlIpAkam SrapayitvA
   (KauśS_13,17[109].3) prāñcam idhmam upasamādhāya	(KOSS_13,17[109].3) prAQcam iDmam upasamADAya
   (KauśS_13,17[109].4) parisamuhya paryukṣya paristīrya barhir udapātram	(KOSS_13,17[109].4) parisamuhya paryukzya paristIrya barhiH uda pAtram
   upasādya	upasAdya
   (KauśS_13,17[109].5) <ekaikayaiṣā sṛṣṭyā saṃ babhūva [3.28.1]> ity etena	(KOSS_13,17[109].5) <ekEkayA ezA sRzwyA sam baBUva [3.28.1]> iti etena
   sūktenājyaṃ juhvan	sUktena Ajyam juhvan
   (KauśS_13,17[109].6) udapātre saṃpātān ānayati	(KOSS_13,17[109].6) uda pAtre saMpAtAn Anayati
   (KauśS_13,17[109].7) uttamaṃ saṃpātam odane pratyānayati	(KOSS_13,17[109].7) uttamam saMpAtam odane pratyAnayati
   (KauśS_13,17[109].8) tato gāṃ ca prāśayati vatsau ca_udapātrād enān	(KOSS_13,17[109].8) tatas gAm ca prASayati vatsO ca_udapAtrAt enAn
   ācāmayati ca saṃprokṣati ca	AcAmayati ca saMprokzati ca
   (KauśS_13,17[109].9) tāṃ tasya_eva dadyāt	(KOSS_13,17[109].9) tAm tasya_eva dadyAt 
   (KauśS_13,17[109].10) sā tatra prāyaścittiḥ	(KOSS_13,17[109].10) sA tatra prAyaScittiH
   (KauśS_13,18[110].1) atha ced vaḍavā vā gardabhī vā syād evam eva prāñcam	(KOSS_13,18[110].1) aTa ced vaxavA vA gardaBI vA syAt evam eva prAQcam
   idhmam upasamādhāya	iDmam upasamADAya
   (KauśS_13,18[110].2) evaṃ paristīrya	(KOSS_13,18[110].2) evam paristIrya
   (KauśS_13,18[110].3) evam upasādya	(KOSS_13,18[110].3) evam upasAdya
   (KauśS_13,18[110].4) etena_eva sūktenājyaṃ juhvan	(KOSS_13,18[110].4) etena_eva sUktena Ajyam juhvan
   (KauśS_13,18[110].5) udapātre saṃpātān ānayati	(KOSS_13,18[110].5) uda pAtre saMpAtAn Anayati
   (KauśS_13,18[110].6) udapātrād enān ācāmayati ca saṃprokṣati ca	(KOSS_13,18[110].6) udapAtrAt enAn AcAmayati ca saMprokzati ca
   (KauśS_13,18[110].7) tāṃ tasya_eva dadyāt	(KOSS_13,18[110].7) tAm tasya_eva dadyAt 
   (KauśS_13,18[110].8) sā tatra prāyaścittiḥ	(KOSS_13,18[110].8) sA tatra prAyaScittiH
   (KauśS_13,19[111].1) atha ced_mānuṣī syād evam eva prāñcam idhmam	(KOSS_13,19[111].1) aTa ced _mAnuzI syAt evam eva prAQcam iDmam
   upasamādhāya	upasamADAya
   (KauśS_13,19[111].2) evaṃ paristīrya	(KOSS_13,19[111].2) evam paristIrya
   (KauśS_13,19[111].3) evam upasādya	(KOSS_13,19[111].3) evam upasAdya
   (KauśS_13,19[111].4) upasthe jātakau_ādhāya	(KOSS_13,19[111].4) upasTe jAtakO_ADAya
   (KauśS_13,19[111].5) etena_eva sūktenājyaṃ juhvan	(KOSS_13,19[111].5) etena_eva sUktena Ajyam juhvan
   (KauśS_13,19[111].6) amīṣāṃ mūrdhni sa mātuḥ putrayor ity anupūrvaṃ	(KOSS_13,19[111].6) amIzAm mUrDni sa mAtuH putrayoH iti anupUrvam
   saṃpātān ānayati	saMpAtAn Anayati
   (KauśS_13,19[111].7) udapātra uttarān saṃpātān	(KOSH _13,19[111].7) udapAtre uttarAn saMpAtAn
   (KauśS_13,19[111].8) udapātrād enān ācāmayati ca saṃprokṣati ca	(KOSS_13,19[111].8) udapAtrAt enAn AcAmayati ca saMprokzati ca
   (KauśS_13,19[111].9) tāṃ tasya_eva dadyāt	(KOSS_13,19[111].9) tAm tasya_eva dadyAt 
   (KauśS_13,19[111].10) sā tatra prāyaścittiḥ	(KOSS_13,19[111].10) sA tatra prAyaScittiH
   (KauśS_13,19[111].11) tasyā niṣkrayo yathārhaṃ yathāsaṃpad vā	(KOSH _13,19[111].11) tasyAH nizkrayaH yaTArham yaTA saMpad vA
   (KauśS_13,20[112].1) atha yatra_etad dhenavo lohitaṃ duhate <yaḥ	(KOSS_13,20[112].1) aTa yatra_etat DenavaH lohitam duhate <yaH
   pauruṣeyeṇa kraviṣā samaṅkte [8.3.15]> ity etābhiś catasṛbhir juhuyāt	pOruzeyeNa kravizA samaFkte [8.3.15]> iti etABiH catasRBiH juhuyAt 
   (KauśS_13,20[112].2) varāṃ dhenuṃ kartre dadyāt	(KOSS_13,20[112].2) varAm Denum kartre dadyAt 
   (KauśS_13,20[112].3) sā tatra prāyaścittiḥ	(KOSS_13,20[112].3) sA tatra prAyaScittiH
   (KauśS_13,21[113].1) atha yatra_etad anaḍvān dhenuṃ dhayati tatra juhuyāt	(KOSS_13,21[113].1) aTa yatra_etat anaxvAn Denum Dayati tatra juhuyAt 
   (KauśS_13,21[113].2) <anaḍvān dhenum adhayad indro go rūpam āviśat | sa me	(KOSS_13,21[113].2) <anaxvAn Denum aDayat indraH goH rUpam AviSat | sa me
   bhūtiṃ ca puṣṭiṃ ca dīrgham āyuś ca dhehi naḥ || indrāya svāhā [ ]>_iti	BUtim ca puzwim ca dIrGam AyuH ca Dehi naH || indrAya svAhA [ ]>_iti
   hutvā	hutvA
   (KauśS_13,21[113].3) <mā no vidan [1.19.1]> <namo devavadhebhyo	(KOSS_13,21[113].3) <mA naH vidan [1.19.1]> <namaH deva vaDeByaH 
   [6.13.1]>_iti etābhyāṃ sūktābhyāṃ juhuyāt	[6.13.1]>_iti etAByAm sUktAByAm juhuyAt 
   (KauśS_13,21[113].4) sā tatra prāyaścittiḥ	(KOSS_13,21[113].4) sA tatra prAyaScittiH
   (KauśS_13,22[114].1) atha yatra_etad dhenur dhenuṃ dhayati tatra juhuyāt	(KOSS_13,22[114].1) aTa yatra_etat DenuH Denum Dayati tatra juhuyAt 
   (KauśS_13,22[114].2) <yogakṣemaṃ dhenuṃ vājapatnīm indrāgnibhyāṃ preṣite	(KOSS_13,22[114].2) <yogakzemam Denum vAja patnIm indra agniByAm prezite
   jañjabhāne | tasmān mām agne pari pāhi ghorāt pra +ṇo jāyantāṃ mithunāni	jaQjaBAne | tasmAt mAm agne pari pAhi GorAt pra +NaH jAyantAm miTunAni
   rūpaśaḥ || indrāgnibhyāṃ svāhā [ , cf. KauśS 128.2]>_iti hutvā	rUpaSas || indra agniByAm svAhA [ , cf. KOSH 128.2]>_iti hutvA
   (KauśS_13,22[114].3) <divyo gandharvo [2.2.1]>_iti mātṛnāmabhir juhuyāt	(KOSS_13,22[114].3) <divyaH ganDarvaH [2.2.1]>_iti mAtR nAmaBiH juhuyAt 
   (KauśS_13,22[114].4) sā tatra prāyaścittiḥ	(KOSS_13,22[114].4) sA tatra prAyaScittiH
   (KauśS_13,23[115].1) atha yatra_etad gaur vāśvo vāśvataro vā puruṣo	(KOSS_13,23[115].1) aTa yatra_etat gOH vA aSvaH vA aSvataraH vA puruzaH 
   vākāśaphenam avagandhayati tatra juhuyāt	vA AkASa Penam avaganDayati tatra juhuyAt 
   (KauśS_13,23[115].2) <payo deveṣu paya oṣadhīṣu paya āśāsu payo 'ntarikṣe	(KOSS_13,23[115].2) <payaH devezu payaH ozaDIzu payaH ASAsu payaH antarikze
   | tan me dhātā ca savitā ca dhattāṃ viśve tad devā abhi saṃ gṛṇantu ||	| tat me DAtA ca savitA ca DattAm viSve tat devAH aBi sam gRNantu ||
   payo yad apsu paya usriyāsu paya utseṣūta parvateṣu | tan me dhātā ca	payaH yat apsu payaH usriyAsu payaH utsezUta parvatezu | tat me DAtA ca
   savitā ca dhattāṃ viśve tad devā abhi saṃ gṛṇantu || yan mṛgeṣu paya	savitA ca DattAm viSve tat devAH aBi sam gRNantu || yat mRgezu paya
   āviṣṭam asti yad ejati patati yat patatriṣu [corr. Bloomfield GGA 1902 514	Avizwam asti yat ejati patati yat patatrizu [corr. Bloomfielt GGAH 1902 514
      ed. patatatriṣu] | tan me dhātā ca savitā ca dhattāṃ viśve tad devā	  ed. patatatrizu] | tat me DAtA ca savitA ca DattAm viSve tat devA
   abhi saṃ gṛṇantu || yāni payāṃsi divy ārpitāni yāny antarikṣe bahudhā	aBi sam gRNantu || yAni payAMsi divi ArpitAni yAni antarikze bahuDA
   bahūni | teṣām īśānaṃ vaśinī no adya pra dattā dyāvāpṛthivī ahṛṇīyamānā ||	bahUni | tezAm ISAnam vaSinI naH adya pra dattA dyAvApRTivI ahRNIyamAnAH ||
   [PS 1.91]> ity etena sūktena juhuyāt	[PS 1.91]> iti etena sUktena juhuyAt 
   (KauśS_13,23[115].3) sā tatra prāyaścittiḥ	(KOSS_13,23[115].3) sA tatra prAyaScittiH
