   Vādivāgīśvara: Mānamanohara	VAdi-vAc-ISvara: MAna-manohara
   naivam, na hyatra paramamīṣāmekajātīyatvaṃ sādhyate, kintu	na-evam, na hi-atra paramam-IzAm-eka-jAtIya-tvam sADyate, kintu
   guṇānāśrayotkṣepaṇatvavyatiriktajātimātram /	guNAn-ASraya-utkzepaNa-tva-vyatirikta-jAti-mAtram /
   yā caikānekatātītijyāmānāṃtanirṇayathā(?) /	yA ca-eka-aneka-tAtIti-jyAmAna-aMta-nirNayaTA(?) /
   tatrākāśavṛttijātimatvāditi sādhanairatiriktajātiprasaktau	tatra-AkASa-vRtti-jAtima-tvAt-iti sADanEH-atirikta-jAti-prasaktO
   tadviṣayatvenāpyasya nirvāhāt, na vāyvādiṣvatiriktānugame pramāṇamasti /	tad-vizaya-tvena-api-asya nirvAhAt, na vAyu-Adizu-atirikta-anugame pramANam-asti /
   karmaṇi tvanena sādhyamānaṃ na karmatvādatiricyate /	karmaNi tu-anena sADyamAnam na karma-tvAt-atiricyate /
   guṇāvṛttitve sati sakalakarmavṛttyutkṣepaṇatvavyatiriktatvasya vā tattvāt	guNa-AvRtti-tve sati sakala-karma-vRtti-utkzepaNa-tva-vyatirikta-tvasya vA tattvAt-
   tathāvidhasyātra pratīteḥ kevalakarmatvasādhanasyātra	taTAviDasya-atra pratIteH kevala-karma-tva-sADanasya-atra
   vāyvādāvanaikāntikatvaparihārārthaṃ vipratipannapadopādānam /	vAyu-AdO=-anEkAntika-tva-parihAra-arTam vipratipanna-pada-upAdAnam /
   vāyvādigataṃ mānāntaropanītaṃ bhedamavagāhate 'to na karmatvāsiddhiḥ /	vAyu-Adi-gatam mAna-antara-upanItam Bedam-avagAhate atas na karma-tva-asidDiH /
   parantu vāyvādau praśnaḥ syāt /	parantu vAyu-AdO praSnaH syAt /
   kathakānāṃ kathāntarahetvantarāṇyapyanusandheyāni /	kaTakAnAm kaTA-antara-hetu-antarANi-api-anusanDeyAni /
   evaṃ rūpatvādiṣvapyanusandheyam /	evam rUpa-tva-Adizu-api-anusanDeyam /
   tasmādabhipretasaṃsiddhau pītāpītādisamavetatve sati gandhāvṛttitvamiti	tasmAt-aBipreta-saMsidDO pIta-apIta-Adi-samaveta-tve sati ganDa-AvRtti-tvam-iti
   rūpatvamityalam /	rUpa-tvam-iti-alam /
   nityatve satyanekasamavetaṃ sāmānyam /	nitya-tve sati-aneka-samavetam sAmAnyam /
   [viśeṣapadārthaprakaraṇam]	[viSeza-padArTa-prakaraNam]
   vivādapadaṃ guṇasāmānyavyatiriktasamavāyi, dravyatvādghaṭavat /	vivAda-padam guNa-sAmAnya-vyatirikta-samavAyi, dravya-tvAt-Gawa-vat /
   niḥsāmānya ekenaikasamavāyī viśeṣaḥ /	niHsAmAnyaH ekena-eka-samavAyI viSezaH /
   [samavāyasya nirūpaṇam]	[samavAyasya nirUpaNam]
   vivādāspadaṃ ghaṭasambaddham, dravyatvādātmavat /	vivAda-Aspadam Gawa-sambadDam, dravya-tvAt-Atma-vat /
   vivādāspadaṃ nityasaṃbandhena sambaddhaṃ, dravyatvādākāśavat /	vivAda-Aspadam nitya-saMbanDena sambadDan, dravya-tvAt-AkASa-vat /
   ākāśaśabdayośca nityasambandho bhāṭṭairabhyupagamyate, ato na	AkASa-SabdayoH-ca nitya-sambanDaH BAwwEH-aByupagamyate, atas na
   sādhyavikalatā tatra saṃyogasamavāyamātre viprattipattirna dharmiṇi /	sADya-vikalatA tatra saMyoga-samavAya-mAtre viprattipattiH-na DarmiNi /
   apare tu saṃyogaḥ svavyatiriktasambandhādbhinnaḥ, meyatvāditi bruvate /	apare tu saMyogaH sva-vyatirikta-sambanDAt-BinnaH, meya-tvAt-iti bruvate /
   kaḥ punaratrānukūlatarkaḥ? [na tāvat] samānādhikaraṇapratītyanupapattiḥ,	kaH punar-atra-anukUla-tarkaH? [na tAvat] samAna-aDikaraNa-prati-iti-anupapattiH,
   sā hi na sambandhamātre, nāpyasati sambandhe	sA hi na sambanDa-mAtre, na-api-asati sambanDe
   rajjughaṭayorhimavadvindhyayośca tadabhāvāt /	rajju-GawayoH-himavat-vinDyayoH-ca tad-aBAvAt /
   bhedābhedanibandhanāsāviti cet, asti tāvadbhedaḥ sampratipanno	Beda-aBeda-nibanDana-asO=-iti cet, asti tAvat-BedaH sampratipannaH-
   ghaṭarūpayoḥ, abhedaḥ punaḥ kaḥ syāt? bhedābhāvaḥ, tadvirodhastadanyo vā?	Gawa-rUpayoH, aBedaH punar kaH syAt? Beda-aBAvaH, tad-viroDaH-tad-anyaH vA?
   na tāvat prathamaḥ, virodhāt /	na tAvat praTamaH, viroDAt /
   na dvitīyaḥ, āśrayakṛtaḥ svarūpakṛtaḥ kāryakṛto vā virodhaḥ syāt, sarvathā	na dvitIyaH, ASraya-kRtaH svarUpa-kRtaH kArya-kRtaH vA viroDaH syAt, sarvaTA
   tadvirodhānuvṛtteḥ /	tad-viroDa-anuvRtteH /
   dvitīye tu tadevāstu kimanena prathamena? tṛtīyaḥ,	dvitIye tu tat-eva-astu kim-anena praTamena? tRtIyaH,
   samavāyenānatirekānnāsti tatra vipratipattiḥ /	samavAyena-anatiH-ekAt-na-asti tatra vipratipattiH /
   ghaṭarūpayoritaretarābhāvo nāstīti cet, bhedo 'sti, itaretarābhāvo nāstīti	Gawa-rUpayoH-itaretarABAvaH na-asti-iti cet, BedaH asti, itaretarABAvaH na-asti-iti
   vyāhatam, tayoḥ paryāyatvāt /	vyAhatam, tayoH paryAya-tvAt /
   svarūpaṃ bhedaścet, tarhi tatpratīteḥ pratiyogisāpekṣatvaṃ durghaṭam /	svarUpam BedaH-cet, tarhi tad-pratIteH pratiyogi-sApekza-tvam durGawam /
   na ca prathamadvitīyau, ghaṭarūpayorubhayorabhāvaprasaṅgāt /	na ca praTama-dvitIyO, Gawa-rUpayoH-uBayoH-aBAva-prasaFgAt /
   nāpi caramaḥ, tayorhi kāryaṃ pratipattiḥ syāt, tadvyatiriktaṃ vā kiñcit?	na-api caramaH, tayoH-hi kAryam pratipattiH syAt, tad-vyatiriktam vA kiQcit?
   tatraiva sthitiritaraprativirodhinī tadatiriktāpekṣiṇī vā? prathame na	tatra-eva sTitiH-itara-prativiroDinI tad-atiriktA-apekziNI vA? praTame na
   kadācidapi tayoḥ pratipattiḥ syāt, sarvadā tadvirodhānuvṛtteḥ /	kadAcid-api tayoH pratipattiH syAt, sarvadA tad-viroDa-anuvRtteH /
   dvitīye tu tāvadevāstu kimanena? tṛtīye savidāṃ janmaiva durghaṭam /	dvitIye tu tAvat-eva-astu kim-anena? tRtIye sa-vidAm janma-eva durGawam /
   yadyasmādbhinnaśabdavācyam, tattadapekṣayā bhinnam, yathā ghaṭāpekṣayā	yadi-asmAt-Binna-Sabda-vAcyam, tad-tad-apekzayA Binnam, yaTA Gawa-apekzayA
   ghaṭagataṃ rūpamiti /	Gawa-gatam rUpam-iti /
   vivādādhyāsitāḥ śabdā ākāśasamavāyenaiva samavāyinaḥ, samavāyitvāt,	vivAda-aDyAsitAH SabdAH AkASa-samavAyena-eva samavAyinaH, samavAyi-tvA-at,
   śabdākāśavat /	Sabda-AkASa-vat /
   na ca samavāyasyaikatve vastusaṅkaraprasaṅgaḥ, tasya	na ca samavAyasya-ekatve vastu-saFkara-prasaFgaH, tasya
   samastaviśvāsaṃkaratvenaiva parikalpitatvāt /	samasta-viSva-asaMkara-tvena-eva parikalpita-tvAt /
   na hi tasyāpratyakṣasya pūrvaṃ svabhāvo nirdhāritaḥ /	na hi tasya-apratyakzasya pUrvam svaBAvaH nirDAritaH /
   ekasya bhinnasvabhāvatve 'nya iti cet, na,	ekasya Binna-svaBAva-tve anyaH iti cet, na,
   citrarūpavattathāvidhasyaikasvabhāvāt /	citra-rUpavat-taTAviDasya-eka-svaBAvAt /
   evaṃ ca kalpanālāghavātsamavāyasya niyatvaṃ kvacitpareṇābhyupagamāt /	evam ca kalpanA-lAGavAt-samavAyasya niyatvam kvacid-pareNa-aByupagamAt /
   tasmāttatsamavāyasya nityatvam, ekatvasya sādhitatvāt /	tasmAt-tad-samavAyasya nitya-tvam, eka-tvasya sADita-tvAt /
   samavāyo 'smadādipratyakṣo na bhavati,	samavAyaH asmad-Adi-pratyakzaH na Bavati,
   asmādādipratyakṣāpratyakṣasambandhatvād, ghaṭākāśasambandhavat /	asmAt-Adi-pratyakza-apratyakza-sambanDa-tvAd, Gawa-AkASa-sambanDa-vat /
   nityasambandhaḥ samavāyaḥ /	nitya-sambanDaH samavAyaH /
   ihapratyayaviṣayībhāvaḥ /	iha-pratyaya-vizayIBAvaH /
   [abhāvapadārthaprakaraṇam]	[aBAva-padArTa-prakaraNam]
   yadi nāstīti pratyayavedyamāno 'pi tvayā neṣṭa iti vaktuṃ nocitam /	yadi na-asti-iti pratyaya-vedyamAnaH api tvayA na-izwaH iti vaktum na-ucitam /
   kevalajñānaṃ cāsmābhirabhyupagatamiti, tadapi vikalpya dūṣaṇīyam /	kevala-jQAnam ca-asmABiH-aByupagatam-iti, tat-api vikalpya dUzaNIyam /
   patanādikāryaṃ pratibandhakābhāvotpādakakāraṇādevotpādyate	patana-Adi-kAryam pratibanDaka-aBAva-utpAdaka-kAraNAt-eva-utpAdyate
   kāryatvāddāhādivat /	kAryatvAt-dAha-Adi-vat /
   aghaṭaṃ bhūtalamiti vyavahāro bhūtalātiriktaviṣayaḥ,	aGawam BU-talam-iti vyavahAraH BU-tala-ati-rikta-vizayaH,
   bhūtalamātravyavahārātiriktatve sati bhūtalavyavahāratvāditi mānaṃ	BU-tala-mAtra-vyavahAra-atirikta-tve sati BU-tala-vyavahAra-tvAt-iti mAnam
   bhūtalamiti vyavahāreṇānaikāntikam /	BU-talam-iti vyavahAreNa-anEkAntikam /
   tathāpyabhāvo 'bhyupagantavyaḥ kevalajñānābhāve 'pyabhāvavyahāradarśanāt /	taTA-api-aBAvaH aByupagantavyaH kevala-jQAna-aBAve api-aBAva-vyahAra-darSanAt /
   bhavati hi ghaṭatadrūpayoḥ sahopalambhe 'pi rūpaṃ ghaṭo na bhavatīti	Bavati hi Gawa-tad-rUpayoH saha-upalamBe api rUpam GawaH na Bavati-iti
   bhinnaścotpādavyavahāraḥ, na ca tatra kevalajñānamasti /	BinnaH-ca-utpAda-vyavahAraH, na ca tatra kevala-jQAnam-asti /
   ādhārāgrahaṇe 'pi sarveṣāmantarāle ālokābhāvavyavahārāt /	ADAra-agrahaNe api sarvezAm-antarAle Aloka-aBAva-vyavahArAt /
   karaparāmarśeṇāndhakāre 'ndhasyāpi mūrtābhāvavyavahāradarśanāt /	kara-parAmarSeNa-anDakAre anDasya-api mUrta-aBAva-vyavahAra-darSanAt /
   kiñca cakṣuścakṣurgrāhyabhāvavyatiriktagrāhakam, indriyatvāt /	kiQca cakzuH-cakzuH-grAhya-BAva-vyatirikta-grAhakam, indriya-tvAt /
   sa caturvidhaḥ, prāgabhāvapradhvaṃsābhāvānyonyābhāvātyantābhāvabhedāt /	sa caturviDaH, prAc-aBAva-praDvaMsa-aBAva-anyonya-aBAva-atyanta-aBAva-BedAt /
   pratiyogibhedādbhinnatvamabhāvasya, tādātmyasaṃsṛṣṭapūrvāparasaṃsṛṣṭānāṃ	pratiyogi-BedAt-Binna-tvam-aBAvasya, tAdAtmya-saMsRzwa-pUrva-apara-saMsRzwAnAm
   pratiyogitvāt /	pratiyogi-tvAt /
   anyathā pratibandhakābhāvasya kāraṇatvaṃ durghaṭam /	anyaTA pratibanDaka-aBAvasya kAraNa-tvam durGawam /
   atyantābhāvasyāpītaretarābhāve 'ntarbhāvāt /	atyanta-aBAvasya-api-itaretara-aBAve antarBAvAt /
   tasya ca satyapi pratibandhe bhāvādvyabhicāraḥ /	tasya ca sati-api pratibanDe BAvAt-vyaBicAraH /
   samavāyānyo 'samavāyyabhāvaḥ /	samavAya-anyaH asamavAyi-aBAvaH /
   [padārthāntaranirākaraṇam]	[padArTa-antara-nirAkaraNam]
   (1 śakteḥ padārthāntaratvanirāsaḥ--) śaktirapi padārthāntaramastīti cet,	(1 SakteH padArTa-antara-tva-nirAsaH--) SaktiH-api padArTa-antaram-asti-iti ced-,
   na, tatsadbhāve pramāṇābhāvāt /	na, tad-sadBAve pramANa-aBAvAt /
   sphoṭānupapattiriti cet, na, pratibandhābhāvenāpyupapatteḥ /	sPowa-anupapattiH-iti cet, na, pratibanDa-aBAvena-api-upapatteH /
   tatra ca prāgabhāvādivikalpāḥ yogyatānupalabdhisāmānyena parihartavyāḥ /	tatra ca prAc-aBAva-Adi-vikalpAH yogyatA-anupalabDi-sAmAnyena parihartavyAH /
   kāryalakṣaṇābhyupagamenottambhakamantrasya sphoṭotpattāvapi	kArya-lakzaNa-aByupagamena-uttamBaka-mantrasya sPowa-utpattO=-api
   nāniyatahetutvam /	na-aniyata-hetu-tvam /
   brīhīn prokṣatīti dvitīyāyāśca na tatsamavetasaṃskāravācakatvaṃ	brIhIn prokzati-iti dvitIyAyAH-ca na tad-samaveta-saMskAra-vAcaka-tvam
   kriyājanyaphalabhāgitvaṃ ca na tatsamavāyinamākṣipati, kintu	kriyA-janya-Pala-BAgi-tvam ca na tad-samavAyinam-Akzipati, kintu
   tādarthyamātram /	tAdarTya-mAtram /
   anyathopayuktānāṃ prastarādīnāṃ homenotpādyamānaḥ saṃskāro na teṣāṃ syāt,	anyaTA-upayuktAnAm prastara-AdInAm homena-utpAdyamAnaH saMskAraH na tezAm syAt-,
   teṣāṃ vinaṣṭatvāt /	tezAm vinazwa-tvAt /
   na ca tatra saṃskāryatvaṃ nāsti, ``bhūtabhāvyupayogaṃ ca dravyaṃ	na ca tatra saMskArya-tvam nAsti, ``BUta-BAvi-upayogam ca dravyam
   saṃskāramarhati'' iti nyāyāt /	saMskAram-arhati-aa iti nyAyAt /
   tatra ca nirāśrayasya saṃskārasyāvasthānānupapatterātmāśrayatvaṃ	tatra ca nirASrayasya saMskArasya-avasTAna-anupapatteH-Atma-ASraya-tvam
   kalpanīyam /	kalpanIyam /
   tadvaditaratrāpi bhavatu, ko doṣaḥ?	tadvat-itaratrApi Bavatu, kaH dozaH?
   (2 jñātatāyāḥ padārthāntaratvanirāsaḥ--) ghaṭamahaṃ jānāmītyatra	(2 jQAta-tAyAH padArTa-antara-tva-nirAsaH--) Gawam-aham jAnAmi-iti-atra
   prābhākarāṇāṃ naye jñānajanitaphalasya ghaṭe kasyacidabhāvāt tatra kathaṃ	prABAkarANAm naye jQAna-janita-Palasya Gawe kasyacid-aBAvAt tatra kaTam
   karmatvamiti cintyam /	karma-tvam-iti cintyam /
   ata eva bhāṭṭairjñātatā 'bhyupagamyate iti cet, teṣāmapyatītānāgateṣu kā	atas eva BAwwEH-jQAta-tA aByupagamyate iti cet, tezAm-api-atIta-anAgatezu kA
   vārttā? tatrāpi jāteranuvartamānatvādadoṣa iti cet, kathaṃ tarhi vyaktau	vArttA? tatra-api jAteH-anuvartamAna-tvAt-adozaH iti cet, kaTam tarhi vyaktO
   jñātatvam? tayorabhedāditi cet, na, bhedasyāpi vidyamānatvāt /	jQAta-tvam? tayoH-aBedAt-iti cet, na, Bedasya-api vidyamAna-tvAt /
   bhede 'pyadoṣa iti cet, na, rasanena rasajñānamātreṇaiva tadāśrayasyāpi	Bede api-adozaH iti cet, na, rasanena rasa-jQAna-mAtreNa-eva tad-ASrayasya-api
   jñātatvaprasaṅgāt /	jQAta-tva-prasaFgAt /
   sattājñānatvamātreṇaiva jātyandhasyāpi rūpajñānaprasaṅgaḥ /	sattA-jQAna-tva-mAtreNa-eva jAti-anDasya-api rUpa-jQAna-prasaFgaH /
   jñātatānabhyupagamāt kathaṃ jñānasya viṣayaniyama iti cet, jñātatāyā eva	jQAta-tA-anaByupagamAt kaTam jQAnasya vizaya-niyamaH iti cet, jQAta-tAyAH eva
   kathamāśrayaniyamaḥ? kāraṇamahimneti cet, samaḥ samādhiḥ /	kaTam-ASraya-niyamaH? kAraNamahimnA-iti cet, samaH samADiH /
   (3 viśiṣṭatayāḥ padārthāntaratānirāsaḥ--) etena viśiṣṭatāpi nirākṛtā,	(3 viSizwa-tayAH padArTa-antara-tA-nirAsaH--) etena viSizwa-tA-api nirAkRtA,
   tadutpādakasāmagryā eva vijātīyajñānotpattāvapyupapatteḥ /	tad-utpAdaka-sAmagryAH eva vijAtIya-jQAna-utpattO=-api-upapatteH /
   na ca viṣayavailakṣaṇyābhāve vaijātyaṃ durghaṭam,	na ca vizaya-vElakzaNya-aBAve vEjAtyam durGawam,
   anubhavasmṛtyoravaijātyaprasaṅgāt, adhikaviṣayatve smṛterapi	anuBava-smRtyoH-avEjAtya-prasaFgAt, aDika-vizaya-tve smRteH-api
   pramāṇatvaprasaṅgāt /	pramANa-tva-prasaFgAt /
   anyāyā viśiṣṭatāyā atītānāgateṣvavasthanaṃ durghaṭam, āśrayābhāvāt /	anyAyAH viSizwa-tAyAH atIta-anAgatezu-avasTanam durGawam, ASraya-aBAvAt /
   (4 viṣayībhāvasya padārthāntaranirāsaḥ--) etena viṣayībhāvarūpaḥ sambandho	(4 vizayIBAvasya padArTa-antara-nirAsaH--) etena vizayIBAva-rUpaH sambanDaH-
   nirastaḥ, tanniyāmakenaiva jñānārthayorniyamopapatteḥ /	nirastaH, tad-niyAmakena-eva jQAna-arTayoH-niyama-upapatteH /
   evaṃ sānnidhyādayo 'pi nirākartavyāḥ /	evam sAnniDya-AdayaH api nirAkartavyAH /
   (5 sādṛśyasya padārthāntaratvanirāsaḥ--) astu tarhi sādṛśyaṃ	(5 sAdRSyasya padArTa-antara-tva-nirAsaH--) astu tarhi sAdRSyam
   padārthāntaramiti cet, na, mānābhāvāt /	padArTa-antaram-iti cet, na, mAna-aBAvAt /
   na ca vyavahāro mānam, tasya sāmānyādisambandhatvenāpyupapatteḥ /	na ca vyavahAraH mAnam, tasya sAmAnya-Adi-sambanDa-tvena-api-upapatteH /
   kathaṃ tarhi sāmānye sādṛśyavyavahāraḥ, kutaḥ śyenacitaṃ cinvīta (tai saṃ	kaTam tarhi sAmAnye sAdRSya-vyavahAraH, kutas Syena-citam cinvIta (tE saM
   5.4.11) ityatrātideśanam? tatrāpi vyaktisādṛśyasyaiva pratīteḥ /	5.4.11) iti-atra-atideSa-nam? tatra-api vyakti-sAdRSyasya-eva pratIteH /
   vyakteśca śabdārthatvāt, śyenatvaikārthasamavetadvitradharmavato	vyakteH-ca Sabda-arTa-tva-at, Syena-tva-eka-arTa-samavetadvitraDarmavataH-
   'nuṣṭhānasya sambhavāt /	anuzWAnasya samBavAt /
   saṃketagrahasyaupādhikaśabdavadupapatteḥ /	saMketa-grahasya-OpADika-Sabda-vat-upapatteH /
   (6 pradhānasya padārthāntaratvapratyākhyānam--) evaṃ pradhānādayo 'pi	(6 praDAnasya padArTa-antara-tva-pratyAKyAnam---) evam praDAna-AdayaH api
   nirākāryāḥ, sādhakābhāvāt /	nirAkAryAH, sADaka-aBAvAt /
   na ca vivādapadaṃ sākṣātparamparayā vā prakṛtijanyam,	na ca vivAda-padam sAkzAt-paramparayA vA prakRti-janyam,
   kāryatvādityavītamiti vācyam, vyaptyasiddheḥ /	kAryatvAt-iti-avItam-iti vAcyam, vyapti-asidDeH /
   na ca sukhaduḥkhamohāḥ kāraṇapūrvakāḥ, kāryatvāditi sāmpratam, saṃyogādiṣu	na ca suKa-duHKa-mohAH kAraNa-pUrvakAH, kArya-tvAt-iti sAmpratam, saMyoga-Adizu
   vyabhicārāt /	vyaBicArAt /
   na ca sadutpattiparyālocanayā tatsiddhaḥ, tatraiva vivādāt /	na ca sat-utpatti-paryAlocanayA tad-sidDaH, tatra-eva vivAdAt /
   na ca tadarthamupādīyamānatvāt tatra sattvam, nimittakāraṇe vyabhicārāt /	na ca tad-arTam-upAdIyamAna-tvAt tatra sattvam, nimitta-kAraNe vyaBicArAt /
   na ca sati kāraṇavyāpāraḥ asārthakatvāditi jātiniyamajñena vyavasthā	na ca sati kAraNa-vyApAraH asArTaka-tvAt-iti jAti-niyama-jQena vyavasTA
   ghaṭate /	Gawate /
   yenaiva pramāṇena ghaṭabhāvasiddhistenaiva pramāṇena yogyānupalabdhyā	yena-eva pramANena Gawa-BAva-sidDiH-tena-eva pramANena yogyA-anupalabDyA
   paṭotpatteḥ pūrvaṃ tantuṣvapi paṭābhāvasiddhiḥ /	pawa-utpatteH pUrvam tantuzu-api pawa-aBAva-sidDiH /
   ayogyatvenānupalabdhiśaṅkāyāmitaratrāpi sambhāvanāṃ ko nivārayet?	ayogya-tvena-anupalabDi-SaFkAyAm-itaratra-api samBAvanAm kaH nivArayet-?
   kāryāpekṣayā caramasahakārikāraṇādutpattiriti nānavasthādūṣaṇam,	kArya-apekzayA caramasahakAri-kAraNAt-utpattiH-iti na-anavasTA-dUzaNam,
   mūlakṣaterabhāvāt /	mUla-kzateH-aBAvAt /
   nāpi punaruktatvavirodho ghaṭādibhistasyāścotpatterabhyupagamāt /	na-api punarukta-tva-viroDaH Gawa-AdiBiH-tasyAH-ca-utpatteH-aByupagamAt /
   abhivyakte tu sarvāsāmabhivyaktīnāṃ sadātanatvād	aBivyakte tu sarvAsAm-aBivyaktInAm sadAtana-tvAt-
   dṛṣṭādṛṣṭavyāsthādauḥsthyam /	dRzwa-adRzwa-vyAsTA-dOHsTyam /
   kiṃ bahunā ``parasparavirodhe hi na prakārāntarasthitiḥ'' iti nyāyāt	kim bahunA ``paraspara-viroDe hi na prakAra-antara-sTitiH-aa iti nyAyAt-
   padārthāntarāṇāṃ na sambhavaḥ, saptalakṣaṇānāṃ parasparavirodhāditi /	padArTa-antarANAm na samBavaH, sapta-lakzaNAnAm paraspara-viroDAt-iti /
   [mokṣaprakaraṇam]	[mokza-prakaraNam]
   tatra hi dravyādināṃ heyopādeyasvarūpeṇa jñāne sati saṃsārasya	tatra hi dravya-AdinAm heya-upAdeya-svarUpeNa jQAne sati saMsArasya
   duḥkhabhūyastvaṃ paśyataḥ sukhamapi duḥkhānuṣaṅgādduḥkhapakṣe nikṣiptam /	duHKa-BUyaH-tvam paSyataH suKam-api duHKa-anuzaFgAt-duHKa-pakze nikziptam /
   upaniṣadā ca jñātajīvātmabrahmaṇo vaiśeṣikoktadṛśā	upanizadA ca jQAta-jIva-Atma-brahmaNaH vESezika-ukta-dRSA
   bhagavadbhaktimanaskasya sadgurukaṭākṣapātakṣīṇāntarāyasya	Bagavat-Bakti-manaskasya sat-guru-kawAkza-pAta-kzINa-antarAyasya
   parameśvarasākṣātkārakutūhalino 'horātraṃ nididhyāsanamācarato	parameSvara-sAkzAtkAra-kutUhalinaH ahorAtram nidiDi-Asanam-AcarataH-
   'nantakālakrameṇa paripakvajñānasya prakṛṣṭayogajadharmaśālinaḥ	ananta-kAla-krameNa paripakva-jQAnasya prakRzwa-yoga-ja-Darma-SAlinaH
   kathañcitsākṣātkṛtaparameśvarasya	kaTaQcid-sAkzAt-kRta-parameSvarasya
   pravṛddhapratipakṣaniravakāśīkṛtamithyājñānasya	pravRdDa-pratipakza-niravakASIkRta-miTyAjQAnasya
   kāraṇābhāvādapagatarāgadveṣapravṛttisambhāvanasyāśeṣaduḥkhābhāvāt svena	kAraNa-aBAvAt-apagata-rAga-dveza-pravRtti-samBAvanasya-aSeza-duHKa-aBAvAt svena
   rūpeṇāvasthānaṃ bhavati /	rUpeNa-avasTAnam Bavati /
   sa cāyaṃ mokṣa iti manīṣibhirudāhriyate /	sa ca-ayam mokzaH iti manIziBiH-udAhriyate /
   na ca sukhasyāpyabhāvādapravṛttiḥ, bhavatāmapi sukhasyāpravṛttikaratvāt /	na ca suKasya-api-aBAvAt-apravRttiH, BavatAm-api suKasya-apravRtti-kara-tvAt /
   na hi tatsādhyam, nityatvavyāghātāt /	na hi tad-sADyam, nitya-tva-vyAGAtAt /
   na hi siddhārthe kaścitprayatate iti bhavatāmapi avidyānivṛttireva	na hi sidDArTe kaScid-prayatate iti BavatAm-api avidyA-nivRttiH-eva
   kṛtisādhyā, tataśca tadeva prayojanaṃ yathāha- ``yamarthamadhikṛtya	kRti-sADyA, tatas-ca tat-eva prayojanam yaTA-aha ``yam-arTam-aDikRtya
   pravartate, tat prayojanam'' (nyā sū 1.1.24) /	pravartate, tat prayojanam-aa (nyA sU 1.1.24) /
   ``ānandaṃ brahmaṇo rūpaṃ tacca mokṣe 'bhivyajyate'' iti	``Anandam brahmaNaH rUpam tat-ca mokze aBivyajyate-aa iti
   santoṣajasukhabhiprāyeṇa gauṇyā vṛttyā duḥkhābhāvābhiprāyeṇa vā	santoza-ja-suKa-BiprAyeNa gONyA vRttyA duHKa-aBAva-aBiprAyeNa vA
   kathaṃcidguṇavāda iti, ``aśarīraṃ vāva santaṃ na priyāpriye spṛśataḥ''	kaTaMcid-guNavAdaH iti, ``a-SarIram vAva santam na priya-apriye spRSataH-aa
   (chā u 8.12.1) iti vacanāt /	(CA u 8.12.1) iti vacanAt /
   na ca sāṃsārikasukhābhiprāyeṇa tat, sāṃsārikasukhasyāpi	na ca sAMsArika-suKa-aBiprAyeNa tat, sAMsArika-suKasya-api
   brahmasukhānatiriktatvāt /	brahma-suKa-an-atirikta-tvAt /
   svayamprakāśatve ca svasya muktisaṃsārayoraviśeṣaprasaṅgāt /	svayam-prakASa-tve ca svasya mukti-saMsArayoH-aviSeza-prasaFgAt /
   atra kecit-- duḥkhaparihārārthaṃ jñānasukhayoḥ pūrvaṃ viṣayaviṣayibhāvo	atra kecit- duHKa-parihAra-arTam jQAna-suKayoH pUrvam vizaya-vizayi-BAvaH-
   'nupapannaḥ paścādutpādya iti brūyuḥ /	anupapannaH paScAt-utpAdyaH iti brUyuH /
   tadasāmpratam, tatsadbhāve pramāṇābhāvāt /	tat-asAmpratam, tad-sadBAve pramANa-aBAvAt /
   yasya loke 'prasiddhiḥ, tasya prayojakatvamityapi durghaṭameva /	yasya loke aprasidDiH, tasya prayojaka-tvam-iti-api durGawam-eva /
   neha jñānamasti, viṣayaviṣayibhāvo nāstīti dṛṣṭapūrvam, jñānasya	na-iha jQAnam-asti, vizaya-vizayi-BAvaH na-asti-iti dRzwa-pUrvam, jQAnasya
   vākyenotpādakasāmagryā eva vā tadutpādakatvāt /	vAkyena-utpAdaka-sAmagryAH eva vA tad-utpAdaka-tvAt /
   pradhānādinirāsenaiva taduktamokṣasyāpi bhaṅgo veditavyaḥ /	praDAna-Adi-nirAsena-eva tat-ukta-mokzasya-api BaFgaH veditavyaH /
   vimataṃ kadācidviśeṣaguṇarahitam,	vimatam kadAcid-viSeza-guNa-rahitam,
   vijñānāsamavāyikāraṇādhāratvādanityaviśeṣaguṇādhāratvānmanovadvyomavacca /	vijQAna-asamavAyi-kAraNa-ADAra-tvAt-anitya-viSeza-guNa-ADAra-tvAt-manaH-vat-vyoma-vat-ca /
   na ca jīvā nityajñānā ātmavadīśvaravaditi sāmpratam,	na ca jIvAH nitya-jQAnAH Atma-vat-ISvara-vat-iti sAmpratam,
   īśvarasvarūpasyaivopādheḥ /	ISvara-svarUpasya-eva-upADeH /
   piṇḍavyabhicārābhāvāt /	piNxavyaBicAra-aBAvAt /
   na ca nityaviśeṣaguṇādhārā iti sādhyarthaḥ, apārthivadvyaṇukārambhakatve	na ca nitya-viSeza-guNa-ADArAH iti sADyarTaH, apArTivat-vyaNukA-AramBaka-tve
   sati viśeṣaguṇavattvopādheḥ /	sati viSeza-guNavat-tva-upADeH /
   viśeṣaṇābhāvādbhavatāṃ punarviśeṣaguṇarahitatvāt /	viSezaNa-aBAvAt-BavatAm punar-viSeza-guNa-rahita-tvAt /
   sukhatvaṃ nityasamavetam, tajjātitvāditi tu tadgatanikarṣatvena	suKa-tvam nitya-samavetam, tad-jAti-tvAt-iti tu tad-gata-nikarza-tvena
