   atha prathamaḥ paṭalaḥ	aTa praTamaH pawalaH
   yadvā viparītamedbhavati, 'yanme mātā'ityādyāḥ pūrvāssaptājyāhutayaḥ,	yat vA viparItamet Bavati, ayat me mAtA aitya AdyAH pUrvAssapta Ajya AhutayaH,
   'svāhā pitre'ityādyā uttarāṣṣaḍannāhutaya iti //5//	asvAhA pitre aitya AdyAH uttarAzzaz an= AhutayaH iti //5//
   5 annābhimarśanam /	5 anna aBimarSanam /
   sarvamuttarairabhimṛśet // ĀpGs_21.6 //	sarvam uttarEH aBimRSet // ĀpGs_21.6 //
   (pa.8.khaṃ.,21 6)	(pa.8.KaM.,21 6)
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_21.6:	ĀpGs AnAH _21.6:
   evaṃ pradhānāhutīrhutvā sauviṣṭakṛtaṃ hutvā jayādi pratipadyate /	evam praDAna AhutIH hutvA sOvizwakRtam hutvA jaya Adi pratipadyate /
   sāṅge pradhāne sarvatra prācīnāvītam /	sa aFge praDAne sarvatra prAcInAvItam /
   na dāyādaya ityanye /	na dAya AdayaH iti anye /
   pariṣecanāntaṃ kṛtvā praṇītāśca vimucya tatassarvamannaṃ hoṣyaṃ ca	parizecana antam kRtvA praNItAH ca vimucya tatas sarvam annam hozyam ca
   samupanidhāya hutaśeṣaṃ ca tasman utsṛjya tamuttairastribhiḥ abhimṛśet	samupaniDAya huta Sezam ca tasman utsRjya tam uttEraH triBiH aBimRSet 
   'eṣa te tata madhumāni'tyetaiḥ /	aeza te tata maDu mAni atyetEH /
   atrāpyūhaḥ 'eṣa te mātāmaha madhumā'nityādi //	atra api UhaH aeza te mAtAmaha maDumA anitya Adi //
   tra //	tra //
   ĀpGs Tāt_21.6:	ĀpGs TAt _21.6:
   atha brāhmaṇabhojanārthahaviṣyamahaviṣayaṃ ca sarvamannaṃ uttaraiḥ 'eṣa te	aTa brAhmaNa Bojana arTa havizya maha vizayam ca sarvam annam uttarEH aeza te
   tata madhumān'ityetaistribhirmantraiḥ abhimṛśet /	tata maDumAn aityetEH triBiH mantrEH aBimRSet /
   ekayatnena sarvasyābhimarśanāsambhave mantrāvṛttiḥ	eka yatnena sarvasya aBimarSanA samBave mantra AvRttiH
   ;śeṣiparatantratvāccheṣāṇām //6//	;Sezi paratantra tvAt SezANAm //6//
   kḷptānvā pratipūruṣam // ĀpGs_21.7 //	k?ptAn vA pratipUruzam // ĀpGs_21.7 //
   (pa.8.khaṃ.,21 7)	(pa.8.KaM.,21 7)
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_21.7:	ĀpGs AnAH _21.7:
   atha vā bhojanapātreṣu kḷptānodanaviśeṣān pratipuruṣaṃ pṛthagabhimṛśet	aTa vA Bojana pAtrezu k?ptAn odana viSezAn prati puruzam pRTak aBimRSet 
   yathāliṅgam /	yaTAliFgam /
   tatra yāvantaḥ pitrarthe bhojayante tāvatsu prathamasya mantrasyāvṛttiḥ	tatra yAvantaH pitR arTe Bojayante tAvatsu praTamasya mantrasya AvRttiH
   'evamuttarayoḥ  /	aevam uttarayoH /
   tataḥ pātreṣu kaspitānannaśeṣān //7//	tatas pAtrezu kaspita ananna SezAn //7//
   ĀpGs Tāt_21.7:	ĀpGs TAt _21.7:
   athavā  pitrādyarthebhyo brāhmaṇebhyaḥ pratirūrūṣaṃ bhojanapātreṣu kḷptān	aTavA  pitR Adi arTeByaH brAhmaNeByaH pratirUrUzam Bojana pAtrezu k?ptAn
   prakaspitān bhojayapadārthān ekaikena mantreṇa yathāliṅga mabhimṛśet /	prakaspitAn Bojaya padArTAn ekEkena mantreNa yaTAliFga maBimRSet /
   atrāpi pitrāderekaikasya brāhmaṇabahutve yugapadabhimarśanāsambhave ca	atra api pitR AdeH ekEkasya brAhmaNa bahu tve yugapad aBimarSana asamBave ca
   tattanmantrāvṛttiḥ //7//	tad tad mantra AvRttiH //7//
   6 bhoktṛbhirannopasparśanam /	6 BoktRBiH anna upasparSanam /
   uttareṇa yajuṣopasparśayitvā // ĀpGs_21.8 //	uttareNa yajuzA upasparSayitvA // ĀpGs_21.8 //
   (pa.8.khaṃ.,21 8)	(pa.8.KaM.,21 8)
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_21.8:	ĀpGs AnAH _21.8:
   uttareṇa yajuṣā 'pṛthivī te pātra'mityanena brāhmaṇaiḥ sparśayitvā	uttareNa yajuzA apRTivI te pAtra am iti anena brAhmaNEH sparSayitvA
   bhojayediti śeṣaḥ /	Bojayet iti SezaH /
   tatra ca 'brāhmaṇānāṃ tvā, 'maiṣāṃ kṣeṣṭhāḥ'iti bahutvaṃ dṛśyate tathāpi	tatra ca abrAhmaNAnAm tvA, amA ezAm kzezWAH aiti bahu tvam dRSyate taTA api
   pratipuruṣaṃ mantrāvṛttiḥ uparavamantravat , vatsāpākaraṇamantravacca /	prati puruzam mantra AvRttiH uparava mantra vat , vatsa apAkaraNa mantra vat ca /
   tatra pūrva devānāmupasparśanaṃ 'viśve devāsa'; ityanayarcā, smṛtyantare	tatra pUrva devAnAm upasparSanam aviSve devAsa a; iti anayarcA, smRti antare
   darśanāt /	darSanAt /
   vaiṣṇavyetyapare /	vEzNavyA iti apare /
   idaṃ viṣṇurityante viṣṇo havyaṃ rakṣasveti /	idam vizNuH iti ante vizNo havyam rakzasva iti /
   tathā pitryeṣvapyante viṣṇo kavyaṃ rakṣasveti /	taTA pitryezu api ante vizNo kavyam rakzasva iti /
   bhuñjāneṣu parāṅāvartate /	BuQjAnezu parAFAvartate /
   rakṣoghnān pitryān vaiṣṇavyānanyāṃśca pavitrān dharmyān mantrān	rakzaH GnAn pitryAn vEzNavyAn anyAn= ca pavitrAn DarmyAn mantrAn
   dharmaśāstra mitihāsapurāṇāṃścābhiśrāvayati /	DarmaSAstra mitihAsa purANAn= ca aBiSrAvayati /
   tatastṛptāni jñātvā madhumatīḥ śrāvayet akṣannamīmadanteti ca /	tatas tRptAni jQAtvA maDumatIH SrAvayet akzannamImadanta iti ca /
   atha bhūmāvannaṃ vikarati 'ye agnidagdhā ye 'nagnigdhā ye vā jātāḥ kule	aTa BUmO= annam vikarati  aye agni dagDAH ye anagnigDAH ye vA jAtAH kule
   mama /	mama /
   bhūmau dattena piṇaḍena tṛptā yāntu parāṃ gati'miti /	BUmO dattena piNaxena tRptAH yAntu parAm gati am iti /
   athācānteṣu punarapo datvā 'svadita'miti pitrartān vācayati 'rocata'iti	aTa AcAntezu punar apaH datvA asvadita am iti pitR A RtAn vAcayati arocata aiti
   vāśvadevārtān /	vA aSvadeva ArtAn /
   tato yathāśraddhaṃ dakṣiṇāṃ datvā sarvebhyo 'nnaśeṣebhyaḥ piṇḍārtha	tatas yaTASradDam dakziNAm datvA sarveByaH anna SezeByaH piNxa arTa
   prāśanārthañcoddhṛtya śeṣaṃ nivedayot annaśeṣaiḥ kiṃ kriyatāṃ iti /	prASana arTaQca udDRtya Sezam niveda yot anna SezEH kim kriyatAm iti /
   iṣṭaissahopabhujyatāmiti prativacanam /	izwEH sahA upaBujyatAm iti prativacanam /
   'dātāro no 'bhivardantāṃ vedāssantatireva naḥ /	adAtAraH naH aBivardantAm vedAH santatiH eva naH /
   śraddhā ca no mā vyapagāt bahudeyaṃ ca no 'stu'; //	SradDA ca naH mA vyapagAt bahu deyam ca naH astu a; //
   iti prārthayate /	iti prArTayate /
   'dātāro vo 'bhivardhantā'mityūhena prativacanam /	adAtAraH vaH aBivarDantA am iti Uhena prativacanam /
   bhuktavataḥ pradakṣiṇīkṛtya, namaskāraḥ /	BuktavataH pradakziNIkRtya, namaskAraH /
   oṃ svadheti pitṛbhyaḥ /	om svaDA iti pitRByaH /
   viśvedevāḥ prīyantāmiti viśveṣāṃ devānām /	viSvedevAH prIyantAm iti viSvezAm devAnAm /
   tatra sarvakarmaṇāṃ vaiśvadeveṣu pūrva pravṛttiḥ paścāt pitryeṣu /	tatra sarva karmaNAm vESvadevezu pUrva pravRttiH paScAt pitryezu /
   visarjane viparyayaḥ /	visarjane viparyayaH /
   abhiśravaṇādi yajñopavītī prākpiṇḍebhyaḥ kalpāntaradarśanāt //8//	aBiSravaNa Adi yajQa upavItI prAc piNxeByaH kalpa antara darSanAt //8//
   ĀpGs Tāt_21.8:	ĀpGs TAt _21.8:
   uttareṇa 'pṛthivī te pātram'ityanena yajuṣā, kḷptānannāviśeṣān brāhmaṇān,	uttareNa apRTivI te pAtram aiti anena yajuzA, k?ptAn anna aviSezAn brAhmaNAn ,
   haste gṛhītvopasparśayitvā, taṃ bhojayediti śeṣaḥ /	haste gRhItvA upasparSayitvA, tam Bojayet iti SezaH /
   atra ca mantre yadyapi brāhmaṇānāmiti bahuvacanaṃ tatāpi yugapat	atra ca mantre yadi api brAhmaNAnAm iti bahuvacanam tata api yugapad 
   sparsāyitumaśakyatvāt pratipūruṣaṃ mantrāvṛttiḥ, yathā 'vāyavasstha'(tai.	sparsAyitum aSakyatvAt pratipUruzam mantra AvRttiH, yaTA  avAyava ssTa a(tE.
   saṃ 1 1 1) iti mantraḥ prativatsam /	saM 1 1 1) iti mantraH prativatsam /
   evaṃvidheṣu bahuvacanaṃ prayogasādhutvārtha,	evaMviDezu bahuvacanam prayoga sADu tva arTa,
   ekaprayogavacanaprayojyānekavyaktyobhiprāyaṃ vā //8//	eka prayoga vacana prayojya aneka vyaktyoBi prAyam vA //8//
   7 bhuktavatāmanuvrajanam, piṇḍadānam, śeṣabhakṣaṇaṃ ca /	7 BuktavatAm anuvrajanam, piNxa dAnam, Seza BakzaNam ca /
   bhuktavato 'nuvrajya pradakṣiṇīkṛtya dvaidhaṃ dakṣiṇāgrān darbhān	BuktavataH anuvrajya pradakziNIkRtya dvEDam dakziNa agrAn darBAn
   saṃstīrya teṣūttarairapo datvottarairdakṣiṇāpavargān piṇḍāndatvā	saMstIrya tezu uttarEH apaH datvA uttarEH dakziNA apavargAn piNxAn datvA
   pūrvavaduttarairapo datvottarairupasthāyottarayodapātreṇa triḥprasavyaṃ	pUrvavat uttarEH apaH datvA uttarEH upasTAya uttarayA udapAtreNa tris prasavyam
   pariṣicya nyubjya pātrāṇyuttaraṃ yajuranavānaṃ tryavarārghyamāvartayitvā	parizicya nyubjya pAtrANi uttaram yajuH anavAnam tri avara arGyam AvartayitvA
   prokṣyapātrāṇi dvandvamabhyudāhṛtya sarvatassamavadāyottareṇa yajuṣā	prokzya pAtrANi dvandvam aByudAhRtya sarvatas samavadAya uttareNa yajuzA
   śeṣasya grāsavarārghya prāśnīyāt // ĀpGs_21.9 //	Sezasya grAsa vara arGya prASnIyAt // ĀpGs_21.9 //
   (pa.8.khaṃ.,21 9)	(pa.8.KaM.,21 9)
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_21.9:	ĀpGs AnAH _21.9:
   tatastānbhuktavato 'nuvrajya pradīkṣaṇīkṛtyapratyāvṛtya prācīnāvītī	tatas tAn BuktavataH anuvrajya pradIkzaNIkRtya pratyAvRtya prAcInAvItI
   piṇḍapradānadeśe dakṣiṇāgrān darbhān	piNxa pradAna deSe dakziNa agrAn darBAn
   saṃstṛṇātidvaidhaṃdvayoḥ sthānayorasaṃbhinnānityarthaḥ /	saMstRNa ati dvEDaMdvayoH sTAnayoH asaMBinnAn iti arTaH /
   tatra pitṛbhyaḥ purastāt stṛmāti, mātṛbhyaḥ paścāt /	tatra pitRByaH purastAt stRmAti, mAtRByaH paScAt /
   tathā cāśvalāyanaḥ  karṣūṣveke dvayoṣṣaṭsu vā, pūrvāsu pitṛbyo dadyāt,	taTA ca aSvalAyanaH  karzUzu eke dvayozzawsu vA, pUrvAsu pitRbyaH dadyAt ,
   aparāsu strībhyaḥ (āśva.gṛ.1 56,7,8) iti /	aparAsu strIByaH (a aSva. gR.1 56,7,8) iti /
   'dakṣiṇāgraiḥ pitryeṣu'(āpa.gṛ.14) ityasya paristaraṇīvaṣayatvādiha	adakziNa agrEH pitrya izu a(Apa.gR.14) iti asya paristaraNI vazaya tvAt iha
   dakṣiṇīnītyuktam /	dakziNIni iti uktam /
   saṃstīrya teṣūttarairmantraiḥ 'mārjayantāṃ mama pitara'ityādibhirapo	saMstIrya tezu uttarEH mantrEH amArjayantAm mama pitaraH aitya AdiBiH apaH 
   dadāti /	dadAti /
   pūrvavaditi vakṣyamāṇamantrāpyapakṛṣyante /	pUrvavat iti vakzyamANa mantrA api apakRzyante /
   piṇḍaṃ pūrvavat dadāti piṇḍapitṛyajñe yat piṇḍadānaṃ tadityarthaḥ /	piNxam pUrvavat dadAti piNxa pitR yajQe yat piNxa dAnam tat iti arTaH /
   tena trīnudakāñjalīnityevamādayoviśeṣā ihāpi bhavanti /	tena trIn udaka aQjalIn iti evamAdayaH viSezAH iha api Bavanti /
   tatra pitṛliṅgaiḥ pitṛbhyastīrṇeṣu, mātṛliṅgairmātṛbhyastīrṇeṣu /	tatra pitR liFgEH pitRByaH tIrNa izu, mAtR liFgEH mAtRByaH tIrNezu /
   evamapo datvā tata uttarairmantraiḥ 'etatte tatāsā'vityādibhisteṣu	evam apaH datvA tatas uttarEH mantrEH aetat te tatAsA avityAdiBiH tezu
   darbheṣūbhayeṣudakṣiṇāpavargān piṇḍān dadāti yathāliṅgaṃ pitṛbhyaśca	darBezu uBaya izu dakziNa apavargAn piNxAn dadAti yaTAliFgam pitRByaH ca
   mātṛbhyaśca /	mAtRByaH ca /
   asāvityatra sarvatra nāmagrahaṇaṃ yathāliṅgam /	asO= iti atra sarvatra nAma grahaNam yaTAliFgam /
   atrāpi pūrvavadityasya sabandhāt savyaṃ jānvācyāvācīnapāṇirityādi	atra api pUrvavat iti asya sa banDAt savyam jAnu AcyO= AcIna pANiH ityAdi
   vidhānamihāpi bhavati /	viDAnam iha api Bavati /
   anekapitṛkasyoha iti paiṅgisūtram /	aneka pitRkasya UhaH iti pEFgisUtram /
   'etadvāṃ tatau yajñaśarmaviṣṇuśarmāṇau ye ca yuvāmanu, 'etadvāṃ pitāmahā' 	aetat vAm tatO yajQa Sarma vizNuSarmANO ye ca yuvAm anu, aetat vAm pitAmahA a 
   vityādi /	vityAdi /
   etadvāṃ mātarāvasau yāśca	etat vAm mAtarOvasO yAH ca
   yuvāmanu'ityādidakṣiṇāpavargānityucyate ubhayeṣāṃ piṇḍānāṃ pṛthak	yuvAm anu aitya Adi dakziNA apavargAn iti ucyate  u BayezAm piNxAnAm pRTak 
   dakṣiṇāpavargatā yathā syāditi /	dakziNA apavarga tA yaTA syAt iti /
   tena pitṛpiṇḍānāṃ dakṣiṇato mātṛpiṇḍā na bhavanti /	tena pitR piNxAnAm dakziNatas mAtR piNxAH na Bavanti /
   kiṃ tarhi ?paścāt /	kim tarhi ?paScAt /
   evaṃ piṇḍān datvā pūrvavaduttarairapo dadāti pitṛbhyaśca mātṛbhyaśca /	evam piNxAn datvA pUrvavat uttarEH apaH dadAti pitRByaH ca mAtRByaH ca /
   mantrasamāmnāye'mārjantāṃ mama pitara ityete'iti mantrāṇāṃ punarādiṣṭatvāt	mantra samAmnAye amArjantAm mama pitaraH iti ete aiti mantrANAm punar Adizwa tvAt 
   'uttarairapo datvā'ityeva siddhe pūrvavadityatidśaḥ	auttarEH apaH datvA aitya iva sidDe pUrvavat iti atidSaH
   piṇḍapitṛyajñapratyavamarśanārthaḥ  piṇḍeṣu codakāñjaliṣu ca /	piNxa pitR yajQa pratyavamarSana arTaH  piNxezu ca udaka aQjalizu ca /
   tata uttarairmantraiḥ tānupatiṣṭhate yathāliṅgaṃ 'ye ca vo 'treti pitṝn,	tatas uttarEH mantrEH tAn upatizWate yaTAliFgam aye ca vaH atra iti pitLn ,
   yāśca ve 'treti mātṝ;te ca vahantāmiti pitṛn, tāśca vahantāniti mātṝḥ,	yAH ca ve atra iti mAtL;te ca vahantAm iti pitRn, tAH ca vahantAn iti mAtLH,
   tṛpyaṃtu bhavta iti pitṝn, tṛpyaṃtu bhavatyaḥ iti mātṝḥ, tṛpyata tṛpyata	tRpyaMtu BavtaH iti pitLn, tRpyaMtu BavatyaH iti mAtLH, tRpyata tRpyata
   tṛpyata ityubhayān /	tRpyate iti uBayAn /
   tata uttarayarcā 'putrān pautrānityetayātriḥ prasavyamudapātreṇa pimḍān	tatas uttarayA RcAH aputrAn pOtrAn iti etayAtriH prasavyam uda pAtreNa pimxAn
   pariṣiñcati . ubhayāstaparyantviti lṅgāt piṇḍānāṃ sahapariṣecanam /	pariziQcati . uBayAH taparyantu iti lFgAt piNxAnAm saha parizecanam /
   udapātravacanaṃ hastena mā bhūditi /	uda pAtra vacanam hastena mA BUt iti /
   prasavyavacanamanuvādaḥ prasavyaṃ triguṇībhūtamekameva pariṣecanaṃ	prasavya vacanam anuvAdaH prasavyam triguNIBUtam ekam eva parizecanam
   santataṃ yathā syāt, na piṇḍapitṛyajñavat trīṇi pariṣecanāni pṛthagiti /	santatam yaTA syAt, na piNxa pitR yajQa vat trINi parizecanAni pRTak iti /
   evaṃ pariṣicya tataḥ pātrāṇi yānyatra prakṛtāni trīṇyarghyapātrāṇi	evam parizicya tatas pAtrANi yA ani atra prakRtAni trINi arGya pAtrANi
   pariṣecanapātrāmudakumbhaḥ	parizecana pAtrAm uda kumBaH
   yasmin piṇḍārthamannamuddhṛtaṃ tacceti tāninyubjyanyāñci kṛtvā tata	yasmin piNxa arTam annam udDRtam tat ca iti tAninyubjI anyAQci kRtvA tata
   uttaraṃ yajuḥ 'tṛpyata tṛpyata tṛpyate'tyetatanavānamanuchvasan	uttaram yajuH atRpyata tRpyata tRpyate atyetatana vAnam anuCvasan
   tryavarārdhya māvartayati trirabhyāvṛttiḥ avarā mātrā yasyāvartanasya	tri avarArDya mA Avartayati tris aByAvRttiH avarAH mAtrA yasya Avartanasya
   tattryavarārdhyam /	tad tryavarArDyam /
   yajurgrahaṇaṃ 'tṛpyate'tyasya trirāvṛttasya	yajuH grahaNam atRpyate atyasya tris AvRttasya
   paṭhitasyaikayajuṣṭvjñāpanārtham /	paWitasya eka yajuzwu jQApana arTam /
   tasya trirāvṛttau navakṛtvo 'bhyāvṛttirbhavati /	tasya tris AvRttO nava kRtvas aByAvRttiH Bavati /
   evamāvṛtya nyakkṛtāni pātrāni prokṣyadvadvamabhyudāharatiudānayati /	evam AvRtya nyakkRtAni pAtrAni prokzya dvadvam aByudAharati udAnayati /
   abhīti vacanāt uttaraṃ karma pratyudāharatītyarthaḥ /	aBi iti vacanAt uttaram karma pratyudAharati iti arTaH /
   tenottarasminnapi śrāddhakarmaṇi tānyeva pātrāṇītyeke /	tena uttarasmin= api SrAdDa karmaNi tAni eva pAtrANi iti eke /
   netyanye /	na iti anye /
   evamabhyudāhṛtya śeṣasyānnasyagrāsavarārghya grāso 'varārdhyo avamā mātrā	evam aByudAhRtya Sezasya annasya grAsa vara arGya grAsaH avarArDyaH avamA mAtrA
   yasya tatgrāsavarārdhyamchāndaso hrasvaḥ /	yasya tad grAsa vara ArDyam CAndasaH hrasvaH /
   tatprāśnīyāt uttareṇa yajuṣā'prāṇe niviṣṭo 'mṛtaṃ	tad prASnIyAt uttareNa yajuzA aprANe nivizwaH amRtam
   juhomi'ityanenasarvatassarvabhyaḥ śrāddhaśeṣebhya annaśeṣebhya ityarthaḥ /	juhomi aityanena sarvatas sarvaByaH SrAdDa SezeByaH anna SezeByaH iti arTaH /
   śrāddhāṅgamidaṃ prāśanaṃ, na nityasyāśanasya niyamavidhiḥ /	SrAdDa aFgam idam prASanan, na nityasya aSanasya niyama viDiH /
   tasmāt tatrāpi prācīnāvītameva /	tasmAt tatra api prAcInAvItam eva /
   ācamane tu yajñopavītamanaṅgatvāt /	Acamane tu yajQopavItam anaFga tvAt /
   tataḥ pañcamahāyajñānāṃ pravṛttiḥ /	tatas paQca mahAyajQAnAm pravRttiH /
   ĀpGs Tāt_21.9:	ĀpGs TAt _21.9:
   atabhuktavato vrajato brāhmaṇānāgṛhasīmāntamanuvrajyapradakṣiṇīkaroti /	ata BuktavataH vrajataH brAhmaNAn AgRha sImAntam anuvrajya pradakziNIkaroti /
   etayośca yajñopavītam /	etayoH ca yajQopavItam /
   katham?pradakṣiṇe tāvat	kaTam ?pradakziNe tAvat 
   'yajñopavītinā pradakṣiṇam'iti sāhacaryāt /	ayajQa upavItinA pradakziNam aiti sAhacaryAt /
   anuvrajane 'pyanuvrajya pradakṣiṇīkṛtyeti pradakṣiṇasāhacaryāt /	anuvrajane api anuvrajya pradakziNIkRtya iti pradakziNa sAhacaryAt /
   tantreṇa caitadubhayaṃ, sambhavāt /	tantreNa ca etat uBayaM, samBavAt /
   yadi tu kāraṇavaśāttantrābhāvaḥ, tadā pṛthakpṛthak /	yadi tu kAraNa vaSAt tantra aBAvaH, tadA pRTak pRTak /
   atha pratyetya prācīnāvītī piṇḍadānadeśe dakṣiṇāgrān darbhān,	aTa pratyetya prAcInAvItI piNxa dAna deSe dakziNa agrAn darBAn,
   dvaidhaṃdveghā saṃstṛṇāti /	dvEDaMdveGA saMstRNAti /
   tatra purastātpitrādyartha, paścānmātrādyartham;āśvalāyane darśanāt,	tatra purastAt pitR Adi arTa, paScAt mAtra Adi arTam ;a aSvalAyane darSanAt ,
   ācārācca /	AcArAt ca /
   tatasteṣu darbeṣūttaraiḥ 'mārjayantāṃ mama mātaraḥ'ityādibhiśca yathārha	tatas tezu darbezu uttarEH amArjayantAm mama mAtaraH aitya AdiBiH ca yaTArha
   dakṣiṇāpavargamapo datvā anantaramuttaraiḥ 'etatte tatāsau'ityādibhiḥ	dakziNa apavargam apaH datvA anantaram uttarEH aetat te tata asO aitya AdiBiH
   'etatte mātasau'ityādibhiśca yathāliṅgaṃ trīṃstrīn dakṣiṇāpavargān piṇḍān	aetat te mAtasO aitya AdiBiH ca yaTAliFgam trIn= trIn dakziNa apavargAn piNxAn
   dadāti /	dadAti /
   piṇḍāśca hutaśeṣāt bhuktaśeṣācca samavadāya kartavyāḥ /	piNxAH ca huta SezAt Bukta SezAt ca samavadAya kartavyAH /
   atra pūrveṣu triṣu mantreṣvasāvi  tyasya sthāne pitṛpitāmahaprapitāmahānāṃ	atra pUrvezu trizu mantrezu asAvi tyasya sTAne pitR pitAmaha prapitAmahAnAm
   nāmāni sambuddyā yathākramaṃ gṛhṇāti /	nAmAni sambuddyAH yaTAkramam gRhNAti /
   uttareṣu tu triṣu māthṛpitāmahāprapitāmahānām /	uttarezu tu trizu mA ATR pitAmahA prapitAmahAnAm /
   'dakṣiṇato 'pavargaḥ'(āpa.gṛ.1 20) iti	adakziNatas apavargaH a(Apa.gR.1 20) iti
   sāmānyavidhisiddhasyeha punarvacanaṃ, piṇḍadāna eva	sAmAnya viDi sidDasya iha punarvacanan, piNxa dAnaH eva
   dakṣiṇāpavargaḥ'dvaidhaṃ darbāstaraṇeṣu tu paścimāpavarga iti	dakziNA apavargaH advEDam darba AstaraNezu tu paScima apavargaH iti
   jñāpanārtham, tathobhayeṣāṃ piṇḍānāṃ pratyekaṃ dakṣiṇāpavargasiddhyartha	jQApana arTam, taTA uBayezAm piNxAnAm pratyekam dakziNA apavarga sidDi arTa
   ca /	ca /
   atha pūrvavat 'mārjayantām'ityādibhirevāpo dadāti /	aTa pUrvavat amArjayantAm aitya AdiBiH eva apaH dadAti /
   kecit 'teṣūttarairapo datvā uttarairdakṣiṇāpavargān piṇḍān	kecit  atezu uttarEH apaH datvA uttarEH dakziNa apavargAn piNxAn
   datvā'ityetayorapi 'pūrvavat'iti padamapakṛṣya triṣvapi sūtreṣu codyamānaṃ	datvA aityetayoH api apUrvavat aiti padam apakRzya trizu api sUtrezu codyamAnam
   pūrvavat piṇḍapitṛyajñavatkartavyamiti vyācakṣate /	pUrvavat piNxa pitR yajQa vat kartavyam iti vyAcakzate /
   prayojanaṃ tu"trīnudakāñjalīnninayati"(āpa.śrau.1 8 10) 'savyaṃ	prayojanam tu"trIn udaka aQjalIn ninayati "(Apa.SrO.1 8 10) asavyam
   jānvācyāvācīnapāṇiḥ '(āpa.śrau.1 9 1) ityādividhānāmihāpi bhavatīti /	jAnu AcyO= AcIna pANiH a(Apa.SrO.1 9 1) ityAdi viDAnAm iha api Bavati iti /
   tanna;apakarṣasyaivāyuktatvāt, pūrvavadityasya	tat na;apakarzasya eva ayukta tva at, pUrvavat iti asya
   piṇḍapitṛyajñavadityevaṃbuddhyanudayācca /	piNxa pitR yajQa vat iti evaMbudDi anudayAt ca /
   yadi tvācārabalāt 'savyaṃ jānvācya'ityādīhāpi kartavyamevetyucyeta, tadā	yadi tu A AcAra balAt asavyam jAnu Acya aitya Adi iha api kartavyam eva iti ucyeta, tadA
   na kaściddoṣaḥ	na kaScid dozaH
   athottaraiḥ 'ye ca vo 'tra'ityādibhiṣṣarḍrbhimantrairyathā kramaṃ	aTa uttarEH aye ca vaH atra aitya Adi BizzarxrBimantrEH yaTA kramam
   yathāliṅgaṃ pitṝn tristrirupatiṣṭhate /	yaTAliFgam pitLn tris tris upatizWate /
   tṛpyatetyanena trirāvṛttena ubhayāṃstantreṇa /	tRpyata iti anena tris AvRttena uBayAn= tantreNa /
   kecit catvāro mantrāḥ na ṣaṭ /	kecid catvAraH mantrAH na zaw /
   tatra prathamo mantro 'ye ca vo 'tra'ityādiḥ 'tāśca vahantām'ityantaḥ	tatra praTamaH mantraH aye ca vaH atra aitya AdiH atAH ca vahantAm aityantaH
   ubhayoṣāmupasthānārthaḥ /	uBa yozAm upasTAna arTaH /
   'tṛpyantu bhavantaḥ'; iti pitṝṇām /	atRpyantu BavantaH a; iti pitLNAm /
   'tṛpyantu bhavatyaḥ'iti mātṝṇām /	atRpyantu BavatyaH aiti mAtLNAm /
   'tṛpyata tṛpyata tṛpyata'ityubhayeṣāmiti //	atRpyata tRpyata tRpyata aiti uBayezAm iti //
   tatauttarayā'putrānpautrān'ityetayā ubhayeṣāṃ piṇḍānyugapadudapātreṇa triḥ	tatA OttarayA aputrAn pOtrAn aiti etayA uBayezAm piNxAn i ugapad uda pAtreNa tris 
   prasavyamavicchinnaṃpariṣiñcati /	prasavyam avicCinnaMpariziQcati /
   sāmānyavidhisiddhasya prasavyasyeha punarvacanaṃ	sAmAnya viDi sidDasya prasavyasya iha punarvacanam
   pūrvatra"pradakṣiṇīkṛtya"iti vacanādihāpi prādakṣiṇyaṃ syāditi	pUrvatra" pradakziNIkRtya" iti vacanAt iha api prAdakziNyam syAt iti
   śaṅkānirāsārtham /	SaFkA nirAsa arTam /
   anantaraṃ pātrāṇi homārthāni piṇḍadānārthāni ca /	anantaram pAtrANi homa arTAni piNxa dAna arTAni ca /
   kecit bhojanārthāni vodadānārthāni ca, na tu homārthānīti /	kecit  Bojana arTAni vA udadAna arTAni ca, na tu homa arTAni iti /
