   Pātañjalayogaśāstram	PAtaQjala-yoga-SAstram
   tatra kṛṣṇā durātmanām, śuklakṛṣṇā bahiḥsādhanasādhyā. tatra	tatra kRzNA durAtma-nAm, Sukla-kRzNA bahis-sADana-sADyA. tatra
   parapīḍānugrahadvāreṇaiva karmāśayapracayaḥ śuklā	para-pIxA-anugraha-dvAreNa-eva karma-ASaya-pracayaH SuklA
   tapaḥsvādhyāyadhyānavatām. sā hi kevale manasy āyattatvād	tapaH-svADyAyaDyA-anavatAm. sA hi kevale manasi Ayatta-tvAt-
   abahiḥsādhanādhīnā na parān pīḍayitvā bhavati. aśuklākṛṣṇā saṃnyāsināṃ	abahiH-sADana-aDInA na parAn pIxayitvA Bavati. aSukla-akRzNA saMnyAsinAm
   kṣīṇakleśānāṃ caramadehānām iti tatrāśuklaṃ yogina eva phalasaṃnyāsād	kzINa-kleSAnAm carama-dehAnAm iti tatra-aSuklam yoginaH eva Pala-saMnyAsAt-
   akṛṣṇaṃ cānupādānāt itareṣāṃ tu bhūtānāṃ pūrvam eva trividham iti. 4.7	akRzNam ca-anupAdAnAt itarezAm tu BUtAnAm pUrvam eva triviDam iti. 4.7
   tatas tadvipākānuguṇānām evābhivyaktir vāsanānām || YS_4.8 ||	tatas tad-vipAka-anuguNAnAm eva-aBivyaktiH vAsanAnAm || YH-_4.8 ||
        tata iti trividhāt karmaṇaḥ, tadvipākānuguṇānām eveti yajjātīyasya	tatas iti triviDAt karmaNaH, tad-vipAka-anuguNAnAm eva-iti yat-jAtIyasya
   karmaṇo yo vipākas tasyānuguṇā yā vāsanāḥ karmavipākam anuśerate tāsām	karmaNaH yaH vipAkaH tasya-anuguNAH yAH vAsanAH karma-vipAkam anuSerate tAsAm
   evābhivyaktiḥ. na hi daivaṃ karma vipacyamānaṃ	eva-aBivyaktiH. na hi dEvam karma vipacyamAnam
   nārakatiryaṅmanuṣyavāsanābhivyaktinimittaṃ saṃbhavati kiṃtu daivānuguṇā	nAraka-tiryak-manuzya-vAsanA-aBivyakti-nimittam saMBavati kiMtu dEva-anuguNA
   evāsya vāsanā vyajyante nārakatiryaṅmanuṣyeṣu caivaṃ samānaś carcaḥ. 4.8	eva-asya vAsanAH vyajyante nAraka-tiryak-manuzyezu ca-evam samAnaH carcaH. 4.8
   jātideśakālavyavahitānām apy ānantaryaṃ smṛtisaṃskārayor ekarūpatvāt ||	jAti-deSa-kAla-vyavahitAnAm api Anantaryam smRti-saMskArayoH eka-rUpa-tvAt ||
   YS_4.9 ||	YH-_4.9 ||
        vṛṣadaṃśavipākodayaḥ svavyañjakāñjanābhivyaktaḥ. sa yadi jātiśatena	vRzadaMSa-vipAka-udayaH sva-vyaQjaka-aQjana-aBivyaktaH. sa yadi jAti-Satena
   vā dūradeśatayā vā kalpaśatena vā vyavahitaḥ punaś ca svavyañjakāñjana	vA dUra-deSa-tayA vA kalpa-Satena vA vyavahitaH punar ca sva-vyaQjaka-aQjana
   evodiyād drāg ity evaṃ pūrvānubhūtavṛṣadaṃśavipākābhisaṃskṛtā vāsanā	eva-udiyAt drAk iti evam pUrva-anuBUta-vRza-daMSa-vipAka-aBisaMskRtA vAsanA
   upādāya vyajyeta. kasmāt, yato vyavahitānām apy āsāṃ sadṛśaṃ	upAdAya vyajyeta. kasmAt, yatas vyavahitAnAm api AsAm sadRSam
   karmābhivyajñakaṃ nimittībhūtam ity ānantaryam eva. kutaś ca,	karma-aBivyajQakam nimittIBUtam iti Anantaryam eva. kutas ca,
   smṛtisaṃskārayor ekarūpatvāt yathānubhavās tathā saṃskārāḥ. te ca	smRti-saMskArayoH eka-rUpa-tvAt yaTA-anuBavAH taTA saMskArAH. te ca
   karmavāsanānurūpāḥ yathā ca vāsanās tathā smṛtir iti	karma-vAsanA-anurUpAH yaTA ca vAsanAH taTA smRtiH iti
   jātideśakālavyavahitebhyaḥ saṃskārebhyaḥ smṛtiḥ. smṛteś ca punaḥ saṃskārā	jAti-deSa-kAla-vyavahiteByaH saMskAreByaH smRtiH. smRteH ca punar saMskArA
   ityevam ete smṛtisaṃskārāḥ karmāśayavṛttilābhavaśād vyajyante ataś ca	iti-evam ete smRti-saMskArAH karma-ASaya-vRtti-lABa-vaSAt vyajyante atas ca
   vyavahitānām api nimittanaimittikabhāvānucchedād ānantaryam eva siddham	vyavahitAnAm api nimitta-nEmittika-BAva-anucCedAt Anantaryam eva sidDam
   iti. 4.9	iti. 4.9
   tāsām anāditvaṃ cāśiṣo nityatvāt || YS_4.10 ||	tAsAm anAdi-tvam ca-ASizaH nitya-tvAt || YH-_4.10 ||
        tāsāṃ vāsanānām āśiṣo nityatvād anāditvam. yeyam ātmāśīr mā na bhūvaṃ	tAsAm vAsanAnAm ASizaH nitya-tvAt anAdi-tvam. yA-iyam Atma-ASIH mA na BUvam
   bhūyāsam iti.sarvasya dṛśyate sā na svābhāvikī. kasmāt jātamātrasya jantor	BUyAsam iti.sarvasya dRSyate sA na svABAvikI. kasmAt jAta-mAtrasya jantoH-
   ananubhūtamaraṇadharmakasya dveṣaduḥkhānusmṛtinimitto maraṇatrāsaḥ kathaṃ	ananuBUta-maraNa-Darmakasya dveza-duHKa-anusmRti-nimittaH maraNa-trAsaH kaTam
   bhavet na ca svābhāvikaṃ vastu nimittam upādatte. tasmād	Bavet na ca svABAvikam vastu nimittam upAdatte. tasmAt-
   anādivāsanānuviddham idaṃ cittaṃ nimittavaśāt kāścid eva vāsanāḥ	anAdi-vAsanA-anuvidDam idam cittam nimitta-vaSAt kAScid eva vAsanAH
   pratilabhya puruṣasya bhogāyopāvartata iti.	pratilaBya puruzasya BogAya-upAvartate iti.
        ghaṭaprāsādapradīpakalpaṃ saṃkocavikāsi cittaṃ	Gawa-prAsAda-pradIpa-kalpam saMkoca-vikAsi cittam
   śarīraparimāṇākāramātram ity apare pratipannāḥ tathā cāntarābhāvaḥ	SarIra-parimANa-AkAra-mAtram iti apare pratipannAH taTA ca-antara-aBAvaH
   saṃsāraś ca yukta iti.	saMsAraH ca yuktaH iti.
        vṛttir evāsya vibhunaś cittasya saṃkocavikāsinīty ācāryaḥ. tac ca	vRttiH eva-asya viBunaH cittasya saMkoca-vikAsinI-iti AcAryaH. tat ca
   dharmādinimittāpekṣam. nimittaṃ ca dvividham --- bāhyam ādhyātmikaṃ ca.	Darma-Adi-nimitta-apekzam. nimittam ca dviviDam -- bAhyam ADyAtmikam ca.
   śarīrādisādhanāpekṣaṃ bāhyaṃ stutidānābhivādanādi, cittamātrādhīnaṃ	SarIra-Adi-sADana-apekzam bAhyam stuti-dAna-aBivAdana-Adi, citta-mAtra-aDInam
   śraddhādy adhyātmikam. tathā coktam --- ye caite maitryādayo dhyāyināṃ	SradDA-Adi aDyAtmikam. taTA ca-uktam -- ye ca-ete mEtrI-AdayaH DyAyinAm
   vihārās te bāhyasādhananiranugrahātmānaḥ prakṛṣṭaṃ dharmam	vihArAH te bAhya-sADana-niranugraha-AtmAnaH prakRzwam Darmam
   abhinirvartayanti. tayor mānasaṃ balīyaḥ. kathaṃ, jñānavairāgye	aBinirvartayanti. tayoH mAnasam balIyaH. kaTaM, jQAna-vErAgye
   kenātiśayyete, daṇḍakāraṇyaṃ ca cittabalavyatirekeṇa śārīreṇa karmaṇā	kena-atiSayyete, daNxaka-araNyam ca citta-bala-vyatirekeNa SArIreNa karmaNA
   śūnyaṃ kaḥ kartum utsaheta samudram agastyavad vā pibet. 4.10	SUnyam kaH kartum utsaheta samudram agastya-vat vA pibet. 4.10
   hetuphalāśrayālambanaiḥ saṃgṛhītatvād eṣām abhāve tadabhāvaḥ || YS_4.11 ||	hetu-Pala-ASraya-AlambanEH saMgRhIta-tvAt ezAm aBAve tad-aBAvaH || YH-_4.11 ||
        hetur dharmāt sukham adharmād duḥkhaṃ sukhād rāgo duḥkhād dveṣas	hetuH DarmAt suKam aDarmAt duHKam suKAt rAgaH duHKAt dvezas
   tataś ca prayatnas tena manasā vācā kāyena vā parispandamānaḥ param	tatas ca prayatnaH tena manasA vAcA kAyena vA parispandamAnaH param
   anugṛhṇāty upahanti vā tataḥ punar dharmādharmau sukhaduḥkhe rāgadveṣāv	anugRhNAti upahanti vA tatas punar Darma-aDarmO suKa-duHKe rAga-dvezO=-
   iti pravṛttam idaṃ ṣaḍaraṃ saṃsāracakram. asya ca pratikṣaṇam	iti pravRttam idam zaz-aram saMsAra-cakram. asya ca pratikzaNam
   āvartamānasyāvidyā netrī mūlaṃ sarvakleśānām ity eṣa hetuḥ. phalaṃ tu yam	AvartamAnasya-avidyA netrI mUlam sarva-kleSAnAm iti eza hetuH. Palam tu yam
   āśritya yasya pratyutpannatā dharmādeḥ, na hy apūrvopajanaḥ. manas tu	ASritya yasya pratyutpanna-tA Darma-AdeH, na hi apUrva-upajanaH. manaH tu
   sādhikāram āśrayo vāsanānām. na hy avasitādhikāre manasi nirāśrayā vāsanāḥ	sa-aDikAram ASrayaH vAsanA-nAm. na hi avasita-aDikAre manasi nirASrayAH vAsanAH
   sthātum utsahante. yad abhimukhībhūtaṃ vastu yāṃ vāsanāṃ vyanakti tasyās	sTAtum utsahante. yat aBimuKIBUtam vastu yAm vAsanAm vyanakti tasya-as
   tadālambanam. evaṃ hetuphalāśrayālambanair etaiḥ saṃgṛhītāḥ sarvā vāsanāḥ	tad-Alamba-nam. evam hetu-Pala-ASraya-AlambanEH etEH saMgRhItAH sarvAH vAsanAH
   eṣām abhāve tatsaṃśrayāṇām api vāsanānām abhāvaḥ. 4.11	ezAm aBAve tad-saMSrayANAm api vAsanAnAm aBAvaH. 4.11
   nāsty asataḥ saṃbhavaḥ, na cāsti sato vināśa iti dravyatvena saṃbhavantyaḥ	na-asti asataH saMBavaH, na ca-asti sataH vinASaH iti dravya-tvena saMBavantyaH
   kathaṃ nivartiṣyante vāsanā iti ---	kaTam nivartizyante vAsanAH iti ---
        atītānāgataṃ svarūpato 'sty adhvabhedād dharmāṇām || YS_4.12 ||	atIta-anAgatam svarUpataH asti aDva-BedAt DarmANAm || YH-_4.12 ||
   bhaviṣyadvyaktikam anāgatam anubhūtavyaktikam atītaṃ svavyāpāropārūḍhaṃ	Bavizyat-vyaktikam anAgatam anuBUta-vyaktikam atItam sva-vyApAra-upArUXam
   vartamānaṃ, trayaṃ caitad vastu jñānasya jñeyam. yadi caitat svarūpato	vartamAnan, trayam ca-etat vastu jQAnasya jQeyam. yadi ca-etat svarUpataH-
   nābhaviṣyan nedaṃ nirviṣayaṃ jñānam udapatsyata. tasmād atītānāgataṃ	na-aBavizyat na-idam nirvizayam jQAnam udapatsyata. tasmAt atIta-anAgatam
   svarūpato 'stīti. kiṃca bhogabhāgīyasya vāpavargabhāgīyasya vā karmaṇaḥ	svarUpataH asti-iti. kiMca Boga-BAgIyasya vA-apavarga-BAgIyasya vA karmaNaH
   phalam utpitsu yadi nirupākhyam iti taduddeśena tena nimittena	Palam utpitsu yadi nirupAKyam iti tad-uddeSena tena nimittena
   kuśalānuṣṭhānaṃ na yujyeta. sataś ca phalasya nimittaṃ vartamānīkaraṇe	kuSala-anuzWAnam na yujyeta. sataH ca Palasya nimittam vartamAnIkaraNe
   samarthaṃ nāpūrvopajanane siddhaṃ nimittaṃ naimittikasya viśeṣānugrahaṇaṃ	samarTam na-apUrva-upajanane sidDam nimittam nEmittikasya viSeza-anugrahaNam
   kurute nāpūrvam utpādayatīti.	kurute na-apUrvam utpAdayati-iti.
        dharmī cānekadharmasvabhāvas tasya cādhvabhedena dharmāḥ	DarmI ca-aneka-Darma-svaBAvaH tasya ca-aDva-Bedena DarmAH
   pratyavasthitāḥ na ca yathā vartamānaṃ vyaktiviśeṣāpannaṃ dravyato 'sty	pratyavasTitAH na ca yaTA vartamAnam vyakti-viSeza-Apannam dravyataH asti-
   evam atītam anāgataṃ ca. kathaṃ tarhi, svenaiva vyaṅgyena svarūpeṇānāgatam	evam atItam anAgatam ca. kaTam tarhi, svena-eva vyaFgyena svarUpeNa-anAgatam
   asti. svena cānubhūtavyaktikena svarūpeṇātītam iti vartamānasyaivādhvanaḥ	asti. svena ca-anuBUta-vyaktikena sva-rUpeNa-atItam iti vartamAnasya-eva-aDvanaH
   svarūpavyaktir iti na sā bhavaty atītānāgatayor adhvanoḥ. ekasya cādhvanaḥ	sva-rUpa-vyaktiH iti na sA Bavati atIta-anAgatayoH aDvanoH. ekasya ca-aDvanaH
   samaye dvāv adhvanau dharmisamanvāgatau bhavata eveti nābhūtvā bhāvas	samaye dvO aDvanO Darmi-samanvAgatO BavataH eva-iti na-aBUtvA BAvaH-
   trayāṇām adhvanām iti. 4.12	trayANAm aDvanAm iti. 4.12
   te vyaktasūkṣmā guṇātmānaḥ || YS_4.13 ||	te vyakta-sUkzmAH guNa-AtmAnaH || YH-_4.13 ||
        te khalv amī tryadhvano dharmā vartamānā vyaktātmāno 'tītānāgatāḥ	te Kalu amI tri-aDvanaH DarmAH vartamAnAH vyakta-AtmAnaH atIta-anAgatAH
   sūkṣmātmānaḥ ṣaḍaviśeṣarūpāḥ. sarvam idaṃ guṇānāṃ saṃniveśaviśeṣamātram	sUkzma-AtmAnaH zaz-aviSeza-rUpAH. sarvam idam guNAnAm saMniveSa-viSeza-mAtram
   iti paramārthato guṇātmānaḥ. tathā ca śāstrānuśāsanam ---	iti paramArTataH guNa-AtmAnaH. taTA ca SAstra-anuSAsanam ---
        "guṇānāṃ paramaṃ rūpaṃ na dṛṣṭipatham ṛcchati /	"guNAnAm paramam rUpam na dRzwi-paTam RcCati /
        yat tu dṛṣṭipathaṃ prāptaṃ tan māyeva sutucchakam //" iti. 4.13	yat tu dRzwi-paTam prAptam tat mAyA-iva su-tucCakam //" iti. 4.13
   yadā tu sarve guṇāḥ katham ekaḥ śabda ekam indriyam iti ---	yadA tu sarve guNAH kaTam ekaH SabdaH ekam indriyam iti ---
        pariṇāmaikatvād vastutattvam || YS_4.14 ||	pariNAma-eka-tvAt vastu-tattvam || YH-_4.14 ||
   prakhyākriyāsthitiśīlānāṃ guṇānāṃ grahaṇātmakānāṃ karaṇabhāvenaikaḥ	praKyA-kriyA-sTiti-SIlAnAm guNAnAm grahaNa-AtmakAnAm karaNa-BAvena-ekaH
   pariṇāmaḥ śrotram indriyaṃ, grāhyātmakānāṃ śabdatanmātrabhāvenaikaḥ	pariNAmaH Srotram indriyan, grAhya-AtmakAnAm Sabda-tanmAtra-BAvena-ekaH
   pariṇāmaḥ śabdo viṣaya iti, śabdādīnāṃ mūrtisamānajātīyānām ekaḥ pariṇāmaḥ	pariNAmaH SabdaH vizayaH iti, Sabda-AdInAm mUrti-samAna-jAtIyAnAm ekaH pariNAmaH
   pṛthivīparamāṇus tanmātrāvayavas teṣāṃ caikaḥ pariṇāmaḥ pṛthivī gaur	pRTivI-paramANuH tanmAtra-avayavaH tezAm ca-ekaH pariNAmaH pRTivI gOH-
   vṛkṣaḥ parvata ityevamādir bhūtāntareṣv api	vRkzaH parvataH iti-evamAdiH BUta-antarezu api
   snehauṣṇyapraṇāmitvāvakāśadānāny upādāya sāmānyam ekavikārārambhaḥ	sneha-OzNya-praNAmi-tva-avakASa-dAnAni upAdAya sAmAnyam eka-vikAra-AramBaH
   samādheyaḥ.	samADeyaH.
        nāsty artho vijñānavisahacaraḥ, asti tu jñānam arthavisahacaraṃ	na-asti arTaH vijQAna-visaha-caraH, asti tu jQAnam arTa-visaha-caram
   svapnādau kalpitam ity anayā diśā ye vastusvarūpam apahnuvate	svapna-AdO kalpitam iti anayA diSAH ye vastu-svarUpam apahnuvate
   jñānaparikalpanāmātraṃ vastu svapnaviṣayopamaṃ na paramārthato 'stīti ya	jQAna-parikalpanA-mAtram vastu svapna-vizaya-upamam na paramArTataH asti-iti ya
   āhus te tatheti pratyupasthitam idaṃ svamāhātmyena vastu katham	AhuH te taTA-iti pratyupasTitam idam sva-mAhAtmyena vastu kaTam
   apramāṇātmakena vikalpajñānabalena vastusvarūpam utsṛjya tad evāpalapantaḥ	apramANa-Atmakena vikalpa-jQAna-balena vastu-svarUpam utsRjya tat eva-apalapantaH
   śraddheyavacanāḥ syuḥ. 4.14	SradDeya-vacanAH syuH. 4.14
   kutaś caitad anyāyyam ---	kutas ca-etat anyAyyam ---
        vastusāmye cittabhedāt tayor vibhaktaḥ panthāḥ || YS_4.15 ||	vastu-sAmye citta-BedAt tayoH viBaktaH panTAH || YH-_4.15 ||
   bahucittālambanībhūtam ekaṃ vastu sādhāraṇaṃ, tat khalu	bahu-citta-AlambanIBUtam ekam vastu sADAraNan, tat Kalu
   naikacittaparikalpitaṃ nāpy anekacittaparikalpitaṃ kiṃtu svapratiṣṭham.	na-eka-citta-parikalpitam na-api aneka-citta-parikalpitam kiMtu sva-pratizWam.
   kathaṃ, vastusāmye cittabhedāt dharmāpekṣaṃ cittasya vastusāmye 'pi	kaTaM, vastu-sAmye citta-BedAt Darma-apekzam cittasya vastu-sAmye api
   sukhajñānaṃ bhavaty adharmāpekṣaṃ tata eva duḥkhajñānam avidyāpekṣaṃ tata	suKa-jQAnam Bavati aDarma-apekzam tatas eva duHKa-jQAnam avidyA-apekzam tata
   eva mūḍhajñānaṃ samyagdarśanāpekṣaṃ tata eva mādhyasthyajñānam iti. kasya	eva mUXa-jQAnam samyak-darSana-apekzam tatas eva mADyasTya-jQAnam iti. kasya
   tac cittena parikalpitam. na cānyacittaparikalpitenārthenānyasya	tat cittena parikalpitam. na ca-anya-citta-parikalpitena-arTena-anyasya
   cittoparāgo yuktaḥ. tasmād vastujñānayor grāhyagrahaṇabhedabhinnayor	citta-uparAgaH yuktaH. tasmAt vastu-jQAnayoH grAhya-grahaNa-Beda-BinnayoH-
   vibhaktaḥ panthāḥ. nānayoḥ saṃkaragandho 'py astīti.	viBaktaH panTAH. na-anayoH saMkara-ganDaH api asti-iti.
        sāṃkhyapakṣe punar vastu triguṇaṃ calaṃ ca guṇavṛttam iti	sAMKya-pakze punar vastu triguNam calam ca guNa-vRttam iti
   dharmādinimittāpekṣaṃ cittair abhisaṃbadhyate. nimittānurūpasya ca	Darma-Adi-nimitta-apekzam cittEH aBisaMbaDyate. nimitta-anurUpasya ca
   pratyayasyotpadyamānasya tena tenātmanā hetur bhavati. kecid āhuḥ.	pratyayasya-utpadyamAnasya tena tena-AtmanA hetuH Bavati. kecid AhuH.
   jñānasahabhūr evārtho bhogyatvāt sukhādivad iti ta etayā dvārā	jQAna-saha-BUH eva-arTaH Bogya-tvAt suKa-Adi-vat iti te etayA dvArA
   sādhāraṇatvaṃ bādhamānāḥ pūrvottarakṣaṇeṣu vasturūpam evāpahnuvate. 4.15	sADAraNa-tvam bADamAnAH pUrva-uttara-kzaNezu vastu-rUpam eva-apahnuvate. 4.15
   na caikacittatantraṃ vastu tadapramāṇakaṃ tadā kiṃ syāt || YS_4.16 ||	na ca-ekacitta-tantram vastu tat-apramANakam tadA kim syAt || YH-_4.16 ||
        ekacittatantraṃ ced vastu syāt tadā citte vyagre niruddhe vāsvarūpam	ekacitta-tantram ced vastu syAt tadA citte vyagre nirudDe vA-asvarUpam
   eva tenāparāmṛṣṭam anyasyāviṣayībhūtam apramāṇakam agṛhītasvabhāvakaṃ	eva tena-aparAmRzwam anyasya-avizayIBUtam apramANakam agRhIta-svaBAvakam
   kenacit tadānīṃ kiṃ tat syāt. saṃbadhyamānaṃ ca punaś cittena kuta	kenacid tadAnIm kim tat syAt. saMbaDyamAnam ca punar cittena kuta
   utpadyeta ye cāsyānupasthitā bhāgās te cāsya na syur evaṃ nāsti pṛṣṭham	utpadyeta ye ca-asya-anupasTitAH BAgAH te ca-asya na syuH evam na-asti pRzWam
   ity udaram api na gṛhyeta. tasmāt svatantro 'rthaḥ sarvapuruṣasādhāraṇaḥ	iti udaram api na gRhyeta. tasmAt svatantraH arTaH sarva-puruza-sADAraNaH
   svatantrāṇi ca cittāni pratipuruṣaṃ pravartante tayoḥ saṃbandhād	svatantrANi ca cittAni prati-puruzam pravartante tayoH saMbanDAt-
   upalabdhiḥ puruṣasya bhoga iti. 4.16	upalabDiH puruzasya BogaH iti. 4.16
   taduparāgāpekṣitvāc cittasya vastu jñātājñātam || YS_4.17 ||	tad-uparAga-apekzi-tvAt cittasya vastu jQAta-ajQAtam || YH-_4.17 ||
        ayaskāntamaṇikalpā viṣayā ayaḥsadharmakaṃ cittam	ayaskAnta-maNi-kalpAH vizayAH ayaH-saDarmakam cittam
   abhisaṃbandhyoparañjayanti. yena ca viṣayeṇoparaktaṃ cittaṃ sa viṣayo	aBisaMbanDya-uparaQjayanti. yena ca vizayeNa-uparaktam cittam sa vizayaH-
   jñātas tato 'nyaḥ punar ajñātaḥ vastuno jñātājñātasvarūpatvāt pariṇāmi	jQAtaH tatas anyaH punar ajQAtaH vastunaH jQAta-ajQAta-svarUpa-tvAt pariNAmi
   cittam. 4.17	cittam. 4.17
   yasya tu tad eva cittaṃ viṣayas tasya ---	yasya tu tat eva cittam vizayaH tasya ---
        sadā jñātāś cittavṛttayas tatprabhoḥ puruṣasyāpariṇāmitvāt || YS_4.18	sadA jQAtAH citta-vRttayaH tad-praBoH puruzasya-apariNAmi-tvAt || YH-_4.18
   yadi cittavat prabhur api puruṣaḥ pariṇamet tatas tadviṣayāś cittavṛttayaḥ	yadi citta-vat praBuH api puruzaH pariNamet tatas tad-vizayAH citta-vRttayaH
   śabdādiviṣayavaj jñātājñātāḥ syuḥ sadājñātatvaṃ tu manasas tatprabhoḥ	Sabda-Adi-vizaya-vat jQAta-ajQAtAH syuH sadA-ajQAta-tvam tu manasaH tad-praBoH
   puruṣasyāpariṇāmitvam anumāpayati. 4.18	puruzasya-apariNAmi-tvam anumApayati. 4.18
   syād āśaṅkā cittam eva svābhāsaṃ viṣayābhāsaṃ ca bhaviṣyatīty agnivat ---	syAt ASaFkA cittam eva su-ABAsam vizaya-ABAsam ca Bavizyati-iti agni-vat ---
        na tat svābhāsaṃ dṛśyatvāt || YS_4.19 ||	na tat su-ABAsam dRSya-tvAt || YH-_4.19 ||
   yathetarāṇīndriyāṇi śabdādayaś ca dṛśyatvān na svābhāsāni tathā mano 'pi	yaTA-itarANi-indriyANi Sabda-AdayaH ca dRSya-tvAt na su-ABAsAni taTA manaH api
   pratyetavyam. na cāgnir atra dṛṣṭāntaḥ na hy agnir ātmasvarūpam aprakāśaṃ	pratyetavyam. na ca-agniH atra dRzwAntaH na hi agniH Atma-svarUpam aprakASam
   prakāśayati prakāśaś cāyaṃ prakāśyaprakāśakasaṃyoge dṛṣṭaḥ. na ca	prakASayati prakASaH ca-ayam prakASya-prakASaka-saMyoge dRzwaH. na ca
   svarūpamātre 'sti saṃyogaḥ kiṃca svābhāsaṃ cittam ity agrāhyam eva	sva-rUpa-mAtre asti saMyogaH kiMca su-ABAsam cittam iti agrAhyam eva
   kasyacid iti śabdārthaḥ. tadyathā svātmapratiṣṭham ākāśaṃ na	kasyacid iti Sabda-arTaH. tat-yaTA sva-Atma-pratizWam AkASam na
   parapratiṣṭham ity arthaḥ svabuddhipracārapratisaṃvedanāt sattvānāṃ	para-pratizWam iti arTaH sva-budDi-pracAra-pratisaMvedanAt sattvAnAm
   pravṛttir dṛśyate --- kruddho 'haṃ bhīto 'ham amutra me rāgo 'mutra me	pravRttiH dRSyate -- krudDaH aham BItaH aham amutra me rAgaH amutra me
   krodha iti etat svabuddher agrahaṇe na yuktam iti. 4.19	kroDaH iti etat sva-budDeH agrahaNe na yuktam iti. 4.19
   ekasamaye cobhayānavadhāraṇam || YS_4.20 ||	eka-samaye ca-uBaya-anavaDAraNam || YH-_4.20 ||
        na caikasmin kṣaṇe svapararūpāvadhāraṇaṃ yuktaṃ, kṣaṇikavādino yad	na ca-ekasmin kzaNe sva-para-rUpa-avaDAraNam yuktaM, kzaNika-vAdinaH yat-
   bhavanaṃ saiva kriyā tad eva ca kārakam ity abhyupagamaḥ. 4.20	Bavanam sA-eva kriyA tat eva ca kArakam iti aByupagamaH. 4.20
   syān matiḥ svarasaniruddhaṃ cittaṃ cittāntareṇa samanantareṇa gṛhyata iti	syAt matiH svarasa-nirudDam cittam citta-antareNa samanantareNa gRhyate iti
        cittāntaradṛśye buddhibuddher atiprasaṅgaḥ smṛtisaṃkaraś ca ||	citta-antara-dRSye budDi-budDeH atiprasaFgaH smRti-saMkaraH ca ||
   YS_4.21 ||	YH-_4.21 ||
   atha cittaṃ cec cittāntareṇa gṛhyeta buddhibuddhiḥ kena gṛhyate, sāpy	aTa cittam ced citta-antareNa gRhyeta budDi-budDiH kena gRhyate, sA-api-
   anyayā sāpy anyayety atiprasaṅgaḥ. smṛtisaṃkaraś ca, yāvanto	anyayA sA-api anyayA-iti atiprasaFgaH. smRti-saMkaraH ca, yAvantaH-
   buddhibuddhīnām anubhavās tāvatyaḥ smṛtayaḥ prāpnuvanti. tatsaṃkarāc	budDi-budDInAm anuBavAH tAvatyaH smRtayaH prApnuvanti. tad-saMkarAt-
   caikasmṛtyanavadhāraṇaṃ ca syād ity evaṃ buddhipratisaṃvedinaṃ puruṣam	ca-eka-smRti-anavaDAraNam ca syAt iti evam budDi-pratisaMvedinam puruzam
   apalapadbhir vaināśikaiḥ sarvam evākulīkṛtam. te tu bhoktṛsvarūpaṃ yatra	apalapadBiH vEnASikEH sarvam eva-AkulIkRtam. te tu BoktR-svarUpam yatra
   kvacana kalpayanto na nyāyena saṃgacchante kecit tu sattvamātram api	kvacana kalpayantaH na nyAyena saMgacCante kecid tu sattva-mAtram api
   parikalpyāsti sa sattvo ya etān pañca skandhān nikṣipyānyāṃś ca	parikalpya-asti sa sattvaH yaH etAn paQca skanDAn nikzipya-anyAn ca
   pratisaṃdadhātīty uktvā tata eva punas trasyanti. tathā skandhānāṃ	pratisaMdaDAti-iti uktvA tatas eva punar trasyanti. taTA skanDAnAm
   mahannirvedāya virāgāyānutpādāya praśāntaye guror antike brahmacaryaṃ	mahat-nirvedAya virAgAya-anutpAdAya praSAntaye guroH antike brahmacaryam
   cariṣyāmīty uktvā sattvasya punaḥ sattvam evāpahnuvate. sāṃkhyayogādayas	carizyAmi-iti uktvA sattvasya punar sattvam eva-apahnuvate. sAMKya-yoga-AdayaH-
   tu pravādāḥ svaśabdena puruṣam eva svāminaṃ cittasya bhoktāram upayantīti.	tu pravAdAH sva-Sabdena puruzam eva svAminam cittasya BoktAram upayanti-iti.
   katham ---	kaTam ---
        citer apratisaṃkramāyās tadākārāpattau svabuddhisaṃvedanam || YS_4.22	citeH apratisaMkramAyAH tad-AkAra-ApattO sva-budDi-saMvedanam || YH-_4.22
   apariṇāminī hi bhoktṛśaktir apratisaṃkramā ca pariṇāminy arthe	apariNAminI hi BoktR-SaktiH apratisaMkramA ca pariNAminI arTe
