   Ratnākaraśāntiviracitā	RatnAkara SAnti viracitA
   śubhaṃ puṇyaṃ tadevopamā / tāṃ kṛtvā / kathaṃ tacchubham? trisāhasrajanaṃ	SuBam puNyam tat eva upamA / tAm kRtvA / kaTam tat SuBam? tri sAhasra janam
   trisāhasralokadhātavīryā(yā)n sattvān 'pratiṣṭhāpya' / kva?	tri sAhasra loka DAta vIryA(yA)n sattvAn apratizWApya a / kva?
   'śiṣyakhaḍgādhigamasampadi bodhisattvaniyāme ca / ' śiṣyāḥ śrāvakāḥ	aSizya Kaxga aDigama sampadi boDisattva niyAme ca / a SizyAH SrAvakAH
   khaḍgāḥ pratyekabuddhāsteṣām / arthādgamyate bodhisattvasya ca	KaxgAH pratyekabudDAH tezAm / arTAt gamyate boDisattvasya ca
   prāṅniyāmāvakrānteradhigamasampattau bodhisattvaniyāme ca / kva	prAk niyAma avakrAnteH aDigama sampattO boDisattva niyAme ca / kva
   punarevamuktaṃ puṇyabahutvam? mahatyorbhagavatyo / asyāṃ kathamuktam?	punar evam uktam puNya bahu tvam? mahatyoH BagavatyaH / asyAm kaTam uktam?
   aupalambhikabodhisattvoyāṃ (ttvasya)	OpalamBika boDisattvoyAm (ttvasya)
   gaṃgānadīvālukopamakalpakṛtāddānamayātpuṇyādenaṃ samādhimantaśo	gaMgA nadI vAlukA upama kalpa kRtAt dAna mayAt puNyAt enam samADimantaSo
   'cchaṭāsaṃghātamātramapi samāpadyamānasya bahutarapuṇyatvena /	acCawA saMGAta mAtram api samApadyamAnasya bahutara puNya tvena /
   etatkārikāyāṃ kathamuktam? vināpi tena	etad kArikAyAm kaTam uktam? vinA api tena
   cārthagateścakārasyānuktasamuccayārthatvāt / 'sarvākārajñatā ca tat' iti /	ca arTa gateH cakArasya anukta samuccaya arTa tvAt / asarva AkAra jQa tA ca tat a iti /
   tacca buddhatvaṃ sarvākārajñatālakṣaṇam //	tat ca budDa tvam sarva AkAra jQa tA lakzaNam //
   [164] ālambanamabhāvosyāḥ (sya) smṛtiścādhipatirmataḥ /	[164] Alamba nam aBAvosyAH (sya) smRtiH ca aDipatiH mataH /
   ākāraḥ śāntatā cā [tra]	AkAraH SAnta tA cA [tra]
   ānantaryasamādheḥ 'ālambanamabhāvaḥ' sarvadharmāṇāṃ	Anantarya samADeH aAlambanam aBAvaH a sarva DarmANAm
   smṛtiradhipatipratyayaḥ / 'ākāraḥ śāntatā' sarvadharmākārāstagamaḥ /	smRtiH aDipati pratyayaH / aAkAraH SAnta tA a sarva Darma AkAra astagamaH /
   'atra' sarvākārajñatāyām 	aatra a sarva AkAra jQa tAyAm 
   jalpājalpipravādinām // 5 39 //	jalpA jalpi pravAdinAm // 5 39 //
   vādināṃ jalpaiśca jalpaiśca prahṛtya yuddhaṃ vṛttaṃ 'jalpājalpi' / yathā	vAdinAm jalpEH ca jalpEH ca prahRtya yudDam vRttam ajalpa ajalpi a / yaTA
   daṇḍādaṇḍi / ataḥ sūtram / sarvopāyakauśalyāni parigrahītukāmenetyādi /	daNxAt aNxi / atas sUtram / sarva upAya kOSalyAni parigrahItu kAmena ityAdi /
   (RSt_159) upeyata ityupāyaḥ sarvākārajñatā / tasmiṃ kauśalyāni	(RSt _159) upeyate iti upAyaH sarva AkAra jQa tA / tasmim kOSalyAni
   vipratipattīnāmapohanāni / tāni labdhukāmena prajñāpāramitāyāmiti /	vipratipattInAm apohanAni / tAni labDu kAmena prajQApAramitAyAm iti /
   ānantaryasamādhilakṣaṇāyām / caritavyaṃ prayogato nirhārataśca / nirhṛtya	Anantarya samADi lakzaNAyAm / caritavyam prayogataH nirhArataH ca / nirhRtya
   bhāvayitavyā / bhāvitāyāṃ tasyāmanantarameva sarvākārajñatālābhe	BAvayitavyA / BAvitAyAm tasyAm anantaram eva sarva AkAra jQa tA lABe
   sarvavipratipattīnāṃ kṣayāditi bhāvaḥ / abhinirharatīti yathālambanaṃ	sarva vipratipattInAm kzayAt iti BAvaH / aBinirharati iti yaTA Alambanam
   yathādhipati yathākāraṃ ca saṃmukhīkaroti / abhinirhartavyā iti	yaTA aDipati yaTA AkAram ca saMmuKIkaroti / aBinirhartavyAH iti
   svarasavāhinaḥ kartavyāḥ / atyayeneti / atyayo 'vadhiḥ / abhavyaścetyādinā	svarasa vAhinaH kartavyAH / atyayena iti / atyayaH avaDiH / aBavyaH ca ityAdinA
   tathāgatasamanvāhṛtasyānuśaṃsamāha nantvānantaryasamādhisamāpannasya / na	taTAgata samanvAhRtasya anuSaMsam Aha nantvAnantarya samADi samApannasya / na
   hi tasya bhūyo durgatiḥ sugatirvā / anantarameva bodhiprāptaiḥ / śeṣaṃ	hi tasya BUyas durgatiH sugatiH vA / anantaram eva boDi prAptEH / Sezam
   sugamamāparivartasamāpteḥ /	sugamam Aparivarta samApteH /
   vipratipattīradhikṛtya śāstram 	vipratipattIH aDikRtya SAstram 
   [165] ālambanopapattau ca tatsvabhāvāvadhāraṇe /	[165] Alambana upapattO ca tad svaBAva avaDAraNe /
   sarvākārajñatājñāne paramārthe sasaṃvṛtau // 5 40 //	sarva AkAra jQa tA jQAne parama arTe sa saMvRtO // 5 40 //
   [166] prayoge triṣu ratneṣu sopāye samaye muneḥ /	[166] prayoge trizu ratnezu sa upAye samaye muneH /
   viparyāse samārge ca pratipakṣavipakṣayoḥ // 5 41 //	viparyAse sa mArge ca pratipakza vipakzayoH // 5 41 //
   [167] lakṣaṇe bhāvanāyāṃ ca matā vipratipattayaḥ /	[167] lakzaNe BAvanAyAm ca matAH vipratipattayaH /
   sarvākārajñatādhārāḥ ṣoḍhā daśa ca vādinām // 5 42 //	sarva AkAra jQa tA DArAH zoXA daSa ca vAdinAm // 5 42 //
   'ṣoḍhā daśa' ceti ṣaṭdaśa ca ṣoḍaśetyarthaḥ / kutaḥ ṣoḍaśa? yatastāḥ	azoXA daSa a ca iti zawdaSa ca zoxaSa iti arTaH / kutas zoxaSa? yatas tAH
   ṣoḍaśasvartheṣu ālambanopapattyādiṣu / kathaṃ tarhi 'sarvākārajñatādhārāḥ'	zoxaSa su arTezu Alambana upapatti Adizu / kaTam tarhi asarva AkAra jQa tA DArAH a
   ālambanādistāsāṃ viṣayaḥ? viṣayasambandhāttu sarvākārajñatāyāṃ	Alambana AdiH tAsAm vizayaH? vizaya sambanDAt tu sarva AkAra jQa tAyAm
   viṣayatvopacāraḥ / tadyathā rājaputre 'parāddho rājanyaparāddho bhavati /	vizaya tva upacAraH / tat yaTA rAja putre aparAdDaH rAjani aparAdDaH Bavati /
   vipratipattayopi prāyeṇa pratipakṣapāṭhādunnetavyāḥ /	vipratipattayA upi prAyeNa pratipakza pAWAt unnetavyAH /
   tatrādyā vipratipattiḥ / yadi sarvākārajñatāyā abhāva ālambanaṃ sa tarhi	tatra AdyAH vipratipattiH / yadi sarva AkAra jQa tAyAH aBAvaH Alambanam sa tarhi
   katamaḥ? yadi dharmāṇāṃ parikalpitaḥ svabhāvastadevaṃ bhrāntiḥ	katamaH? yadi DarmANAm parikalpitaH svaBAvaH tat evam BrAntiH
   syādvālavijñānavat / atha paratantraḥ sa kathamabhāvaḥ? atra parihāraḥ /	syAt vAla vijQAna vat / aTa paratantraH sa kaTam aBAvaH? atra parihAraH /
   yasya svabhāvo nāsti so 'bhāvaḥ / nāsti sāṃyogikaḥ svabhāvo dharmāṇāṃ	yasya svaBAvaH na asti saH aBAvaH / na asti sAMyogikaH svaBAvaH DarmANAm
   svayamabhāvāt / api ca tathatā svabhāvo dharmāṇāṃ sā cābhāva	svayam aBAvAt / api ca taTatA svaBAvaH DarmANAm sA ca aBAva
   ityālambanopapattau vipratipattiḥ //	iti Alambana upapattO vipratipattiH //
   (RSt_160)	(RSt _160)
   yadyabhāvāḥ sarvadharmāḥ kenopāyakauśalyenādikarmiko dānādiṣu carati?	yadi aBAvAH sarva DarmAH kena upAya kOSalyena AdikarmikaH dAna Adizu carati?
   deyadāyakadānādīnāmabhāvasvabhāvāvadhāraṇameva tasyopāyakauśalyamiti	deya dAyaka dAna AdInAm aBAva svaBAva avaDAraNam eva tasya upAya kOSalyam iti
   tatsvabhāvāvadhāraṇe vipratipattiḥ //	tad svaBAva avaDAraNe vipratipattiH //
   dṛṣṭasatyasya tarhi kimupāyakauśalyam? sa āryeṇa cakṣuṣā dharmān	dRzwa satyasya tarhi kim upAya kOSalyam? saH AryeNa cakzuzA DarmAn
   vyavalokayan bhāvamapi paratantraṃ svabhāvaṃ nopalabhate / saṃyogikena	vyavalokayan BAvam api paratantram svaBAvam na upalaBate / saMyogikena
   svabhāvena parikalpitena vā tasyāpyabhāvāt / kiṃ punarabhāvaṃ parikalpitaṃ	svaBAvena parikalpitena vA tasya api aBAvAt / kim punar aBAvam parikalpitam
   svabhāvaṃ, tasyātyantamasattvāt / sa dānādau caran deyadāyakadānādīn	svaBAvan, tasya atyantam asattvAt / sa dAna AdO caran deya dAyaka dAna AdIn
   pratyekamabhāva iti saṃjānīte / bhāvābhāvānupalambhe kathamabhāvaṃ	pratyekam aBAvaH iti saMjAnIte / BAva aBAva anupalamBe kaTam aBAvam
   saṃjānīte? saṃvṛtyā na tu paramārthena / iha dānādayaḥ sarve mārgaprakārāḥ	saMjAnIte? saMvRtyAH na tu parama arTena / iha dAna AdayaH sarve mArga prakArAH
   sarvākārāḥ / teṣu jñātā(to) bhāvābhāvānupalambhaḥ / tato jñānaṃ	sarva AkArAH / tezu jQAta a(to) BAva aBAva anupalamBaH / tatas jQAnam
   koṭiṣvabhāvasaṃjñeti sarvākārajñatājñāne vipratipattiḥ //	kowizu aBAva saMjQA iti sarva AkAra jQa tA jQAne vipratipattiH //
   yā saṃvṛtiḥ sa eva paramārthaḥ / eta ekaiva tayostathatā / api tu	yA saMvRtiH saH eva parama arTaH / ete ekA eva tayoH taTatA / api tu
   skandheṣu bhāvasaṃjñināṃ tatparihārārthamabhāva iti saṃvṛtyā nirdiśyate	skanDezu BAva saMjQinAm tad parihAra arTam aBAvaH iti saMvRtyA nirdiSyate
   'bhāvasaṃjñināṃ bhāva iti / paramārthato na bhāva upalabhyate nāpyabhāva	aBAva saMjQinAm BAvaH iti / paramArTataH na BAvaH upalaByate na api aBAva
   iti satyadvaye vipratipattiḥ //	iti satya dvaye vipratipattiH //
   prayogaścaryā / kathaṃ caryā? śūnyāḥ sarvadharmā iti / sarvāsu ca	prayogaH caryAH / kaTam caryA? SUnyAH sarva DarmAH iti / sarvAsu ca
   śūnyatāsu dānādau ca sarva trakoṭitrayānupalambheneti prayoge	SUnyatAsu dAna AdO ca sarve tra kowi traya an upalamBena iti prayoge
   vipratipattiḥ //	vipratipattiH //
   buddha iti karmaṇi niṣṭhā / tato jñātaḥ sarvo buddhaḥ syāt / atha	budDaH iti karmaNi nizWA / tatas jQAtaH sarvaH budDaH syAt / aTa
   buddhavāniti buddhaḥ kena kartari ktaḥ? sarvaśca cetano buddhaḥ syāt /	budDavAn iti budDaH kena kartari ktaH? sarvaH ca cetanaH budDaH syAt /
   atrottaram / bhūtārtha iti buddhaḥ / bhūtā nya(ya)sya dharmā abhisaṃbuddhā	atra uttaram / BUta arTaH iti budDaH / BUtAH nya(ya)sya DarmAH aBisaMbudDA
   iti vā / bhūto asyārthaḥ pratividdha iti vā / abhisaṃbuddhā yathāvat	iti vA / BUtaH asya arTaH pratividDaH iti vA / aBisaMbudDAH yaTAvat 
   sarvadharmā asyeti vā / caturṣvapi pakṣeṣu bahuvrīhau kṛte nairuktavidhiḥ	sarva DarmAH asya iti vA / caturzu api pakzezu bahuvrIhO kRte nErukta viDiH
   kartavyaḥ / bhūtārtha ityartho jñeyaḥ / tatsambandhādvodhaḥ / samāsārthaḥ 	kartavyaH / BUta arTaH iti arTaH jQeyaH / tad sambanDAt voDaH / samAsArTaH 
   bhūtamevārtho yasya bodhasya sa buddhaḥ / anyeṣāmavaśyaṃ kvacidbhrānteḥ /	BUtam eva arTaH yasya boDasya sa budDaH / anyezAm avaSyam kvacid BrAnteH /
   bhūtārthaḥ kathaṃ buddhaḥ? bhūtasya bubhdāvo arthasya sattvaṃ iti bhāvaḥ /	BUta arTaH kaTam budDaH? BUtasya buBdAvaH arTasya sattvam iti BAvaH /
   bhūtā asya dharmā abhisambuddhā iti bhūtāḥ / bhūtairarthaiḥ puruṣasya	BUtAH asya DarmAH aBisambudDAH iti BUtAH / BUtEH arTEH puruzasya
   sambandho jñānakṛta eva / iha tu prakarṣagaterabhisambodhaḥ kṛta iti	sambanDaH jQAna kRtaH eva / iha tu prakarza gateH aBisamboDaH kRtaH iti
   pradarśanārthamabhisambuddhagrahaṇam / asyeti samāsārthaḥ / samāsastu	pradarSana arTam aBisambudDa grahaNam / asya iti samAsa arTaH / samAsaH tu
   dvayoreva padayoḥ / tatra bhutaśabdasya bubhdāvo dhramasya	dvayoH eva padayoH / tatra Buta Sabdasya buBdAvaH Dramasya
   dvitīyākṣaralopaḥ / bhūto 'syārthaḥ pratividdha iti / pratividdhaḥ	dvitIya akzara lopaH / BUtaH asya arTaH pratividDaH iti / pratividDaH
   pratyakṣārthaḥ / tripado bahuvrīhiḥ / ddhaśabdātpūrvasya śabdasya	pratyakza arTaH / tripadaH bahuvrIhiH / dDa SabdAt pUrvasya Sabdasya
   curādeśaḥ / abhisambuddhā yathāvatsarvadharmā asyeti /	curAdeSaH / aBisambudDAH yaTAvat sarva DarmAH asya iti /
   matibuddhipūjārthebhyaśceti vartamāne ktaḥ / ktasya ca vartamāna iti	mati budDi pUjA arTeByaH ca iti vartamAne ktaH / ktasya ca vartamAnaH iti
   (RSt_161) kartari ṣaṣṭhī / atrādyasya padasya buśabdaḥ / atha dvitīyasya	(RSt _161) kartari zazWI / atra Adyasya padasya buSabdaH / aTa dvitIyasya
   takāraḥ / tṛtīyasya dhaśabda iti buddharatne vipratipattiḥ //	takAraH / tRtIyasya Da SabdaH iti budDa ratne vipratipattiH //
   atha dharmaratnaṃ katamat? bodhiḥ / sarvadharmotkṛṣṭatvāt / tatra yadi	aTa Darma ratnam katamat? boDiH / sarva Darma utkRzwa tvAt / tatra yadi
   dharmatā dharmātpṛthageva gaṇyate, 'dvayamidaṃ dharmadharmatāsaṃgrahāt'	DarmatA DarmAt pRTak eva gaNyate, advayam idam Darma DarmatA saMgrahAt a
   iti vacanāt, tadā tāthāgataṃ jñānaṃ bodhiḥ / iṇajādibhya iti budherbhāva	iti vacanAt, tadA tATAgatam jQAnam boDiH / iNajA AdiByaH iti buDeH BAva
   iṇa / atha dharmatāpi dharmādharmaprakṛtitvāt / tadāsyaiva dharmaratnaṃ	iNaH / aTa Darma tA api Darma aDarma prakRti tvAt / tadA asya eva Darma ratnam
   bhūtakoṭitvāt tattvaśikharatvādityarthaḥ / tadā ca karmaṇi budheriṇa /	BUta kowi tvAt tattva SiKara tvAt iti arTaH / tadA ca karmaNi buDeriNaH /
   ubhayathāpi buddhistāthāgate jñāne pravartate prakarṣagateḥ / tatra	uBayaTA api budDiH tATAgate jQAne pravartate prakarza gateH / tatra
   dharmatāpakṣamadhikṛtyāha / "bodhiḥ śūnyatā tathatā bhūtakoṭirdharmatā	DarmatA pakzam aDikRtya Aha / "boDiH SUnyatA taTatA BUtakowiH DarmatA
   dharmadhātuḥ" iti / tatra śūnyatā lakṣaṇataḥ / tathatā nirvikāratvāt /	DarmaDAtuH" iti / tatra SUnyatA lakzaNataH / taTatA nirvikAra tvAt /
   bhūtakoṭistattvaśikharatvāt / dharmatā dharmaprakṛtitvāt /	BUtakowiH tattva SiKara tvAt / DarmatA Darma prakRti tvAt /
   dharmadhāturāryadharmāṇāṃ hetutvāt / punarāha / "nāmadheyamātrametat	DarmaDAtuH Arya DarmANAm hetu tvAt / punar Aha / "nAmaDeya mAtram etat 
   bodhiriti" iti / itiśabdo bhinnakramaḥ / nāmadheyamātrametaditi yo 'rthaḥ	boDiH iti" iti / iti SabdaH BinnakramaH / nAmaDeya mAtram etat iti yaH arTaH
   so 'rtho bodhirityarthaḥ / nāmadheyānāmarthaśūnyatā bodhiriti yāvat /	saH arTaH boDiH iti arTaH / nAmaDeyAnAm arTa SUnyatA boDiH iti yAvat /
   punarāha / "abhedārtho bodhyarthaḥ" iti /	punar Aha / "aBeda arTaH boDi arTaH" iti /
   sarvajñajñānatathatāmātraprakhyānāt / jñānapakṣamadhikṛtyāha /	sarvajQa jQAna taTatA mAtra praKyAnAt / jQAna pakzam aDikRtya Aha /
   "bodhistathatāvitathatānanyatathatānanyathābhāvo bodheḥ" iti / tatra	"boDiH taTatA avitaTatAn anya taTatAn anyaTA BAvaH boDeH" iti / tatra
   bodhestathateti bodhasya tathatā / tathaiva bodharūpeṇaiva bhāvo nālīkena	boDeH taTatA iti boDasya taTatA / taTA eva boDa rUpeNa eva BAvaH nAlIkena
   rūpeṇa / avitathatetyabhrāntatā / ananyatathateti bodhādanyo 'līkastasya	rUpeNa / avitaTatA iti aBra anta tA / ananyataTatA iti boDAt anyaH alIkaH tasya
   tathatā bodharūpatā / asatā tena rūpeṇa bodhasyaiva prakhyānāt / tadviraho	taTatA boDa rUpa tA / asatA tena rUpeNa boDasya eva praKyAnAt / tad virahaH 
   'nanyatathatā / ananyathībhāva iti / bodhasya prakṛtiḥ svenātmanā prakāśaḥ	ananya taTatA / ananyaTIBAvaH iti / boDasya prakRtiH svena AtmanA prakASaH
   / tasyānyathībhāvo 'līkenātmanā prakāśaḥ / tadviraho 'nanyathībhāvaḥ /	/ tasya anyaTIBAvaH alIkena AtmanA prakASaH / tad virahaH ananyaTIBAvaH /
   sarvavibhramaviveko jñānasya bodhirityarthaḥ / punarāha /	sarva viBrama vivekaH jQAnasya boDiH iti arTaH / punar Aha /
   "nāmanimittamātrametadvodhiriti" iti / itiśabdo bhinnakramaḥ /	"nAma nimitta mAtram etat voDiH iti" iti / iti SabdaH BinnakramaH /
   nāmanimittamātrametaditi yo bodhaḥ sā bodhirityarthaḥ / prayoga eṣa	nAma nimitta mAtram etat iti yaH boDaH sA boDiH iti arTaH / prayogaH eza
   bodherbodhiṃ sūcayati / na tvayaṃ bodhiravikalpatvāttasyāḥ / tatra	boDeH boDim sUcayati / na tu ayam boDiH avikalpa tvAt tasyAH / tatra
   nāmetyarūpiṇaḥ skandhāḥ / teṣāmalīko 'rthasadṛśa ākāro nimittam / punarāha	nAma iti a rUpiNaH skanDAH / tezAm alIkaH arTa sadRSaH AkAraH nimittam / punar Aha
   / "buddhānāṃ bodhastasmadvodhiḥ" iti / prakarṣagateriti bhāvaḥ / punarāha	/ "budDAnAm boDaH tasmad voDiH" iti / prakarza gateH iti BAvaH / punar Aha
   "buddhairabhisambuddhā tasmādvodhiḥ" iti / arthaḥ pradhānamasminvacane na	"budDEH aBisambudDA tasmAt voDiH" iti / arTaH praDAnam asmin vacane na
   śabdaḥ / buddhānāmadhigatastasmādvodhirityarthaḥ / ṣaṣṭhīsamāse kṛte	SabdaH / budDAnAm aDigataH tasmAt voDiH iti arTaH / zazWI samAse kRte
   pūrvapadasya bobhāvaḥ / uttarapadasya dhiśabdaḥ śeṣaḥ / umāśabdavanniyoga	pUrva padasya boBAvaH / uttara padasya Di SabdaH SezaH / umA Sabda vat niyoga
   iti dharmaratne vipratipattiḥ //	iti Darma ratne vipratipattiH //
   saṃhatatvāt saṃghaḥ / abhedyo 'cchedya ityarthaḥ / kasmādabhedyaḥ / kena	saMhata tvAt saMGaH / aBedyaH acCedyaH iti arTaH / kasmAt aBedyaH / kena
   vā / samyaksambodherabhedyaḥ / sadevakena samārakena lokena	vA / samyaksamboDeH aBedyaH / sa devakena sa mArakena lokena
   hīnabodherāhārakairdharmairakuśalaiśceti saṃgharatne vipratipattiḥ //	hIna boDeH AhArakEH DarmEH akuSalEH ca iti saMGa ratne vipratipattiH //
   (RSt_162)	(RSt _162)
   'sopāye samaye muneḥ iti kārikāpāṭhe upāyakauśalamupāya uktaḥ / viṣayeṇa	asa upAye samaye muneH iti kArikA pAWe upAya kOSalam upAyaH uktaH / vizayeNa
   viṣayiṇo nirdeśāt / abhisamayaḥ samayaḥ ityuktaḥ / ayo bodhaḥ /	vizayiNaH nirdeSAt / aBisamayaH samayaH iti uktaH / ayaH boDaH /
   sa(saṃ)śabdaḥ saṃmukhārthaḥ / mithyājñānamajñānameveti bhāvaḥ / muneriti	sa(saM)SabdaH saMmuKa arTaH / miTyAjQAnam ajQAnam eva iti BAvaH / muneH iti
   bhāvapradhānam / buddhatvasyetyarthaḥ / upāyakauśalyaṃ bodherabhisamayaṃ	BAva praDAnam / budDatvasya iti arTaH / upAya kOSalyam boDeH aBisamayam
   ceti samudāyārthaḥ / "avirahitasarvajñatācitto dānādiṣu carati	ca iti samudAya arTaH / "avirahita sarvajQa tA cittaH dAna Adizu carati
   koṭītrayānupalambhena / na ca dānādīnāṃ vipākamātmani spṛhayati / kintu	kowI traya an upalamBena / na ca dAna AdInAm vipAkam Atmani spRhayati / kintu
   sarvasattvaparimocanāya samyaksambodhau pariṇāmayati"	sarva sattva parimocanAya samyaksamboDO pariNAmayati"
   ityādikamupāyakauśalyaṃ vistareṇetyupāyakauśalye vipratipattiḥ //	iti Adikam upAya kOSalyam vistareNa iti upAya kOSalye vipratipattiH //
   astyabhisamayo niḥprapañcetyatra na bhāvo nābhāva ityabhisamaye	asti aBisamayaH niHprapaQca iti atra na BAvaH na aBAvaH iti aBisamaye
   vipratipattiḥ //	vipratipattiH //
   sūtre prapañcaśabdaḥ paṭhyate / śāstre viparyāsaśabdaḥ /	sUtre prapaQca SabdaH paWyate / SAstre viparyAsa SabdaH /
   ubhayorekārthatvāt / rūpaṃ nityamanityaṃ rūpaṃ sukhaṃ duḥkhaṃ	uBayoH eka arTa tvAt / rUpam nityam anityam rUpam suKam duHKam
   rūpamātmānātmetyādayo viparyāsasyātibahavaḥ / saṃkṣepato yāvānvikalpaḥ sa	rUpam AtmA an AtmA ityAdayaH viparyAsasya ati bahavaH / saMkzepataH yAvAn vikalpaH sa
   sarvaḥ prapañcaḥ / aprapañcānna prapañcayatīti pratipakṣaḥ / aprapañco	sarvaH prapaQcaH / aprapaQcAt na prapaQcayati iti pratipakzaH / aprapaQcaH 
   dharmadhāturnirvikalpatvāt / tanna prapañcayatīti na vikalpayatīti	DarmaDAtuH nirvikalpa tvAt / tat na prapaQcayati iti na vikalpayati iti
   viparyāse vipratipattiḥ //	viparyAse vipratipattiH //
   iha bodhisattvena durgatimārgā jñātavyāḥ sahetuphalaistebhyaśca sattvā	iha boDisattvena durgati mArgAH jQAtavyAH sa hetu PalEH teByaH ca sattvA
   nivārayitavyāḥ / evaṃ narakinannaragaruḍagandharvādimārgāḥ / evaṃ	nivArayitavyAH / evam narakinat nara garuxa ganDarva Adi mArgAH / evam
   cāturmahārājikānāṃ trāyastriṃśānāṃ yāvannaivasaṃjñānāsaṃjñāyatanānām /	cAturmahArAjikAnAm trAyastriMSAnAm yAvat na eva saMjQAna asaMjQA yatanAnAm /
   evaṃ śrotaāpannamārgo yāvadarhanmārgaḥ pratyekabuddhamārgo	evam SrotaApanna mArgaH yAvat arhan mArgaH pratyekabudDa mArgaH 
   bodhisattvamārgo buddhamārgaśca jñātavyaḥ sahetuḥ saphalaḥ / ye ca yasmin	boDisattva mArgaH budDa mArgaH ca jQAtavyaH sa hetuH sa PalaH / ye ca yasmin
   pale vyavasthāpanīyāstāṃsteṣu vyavasthāpayati yāvabudddhatve / svayaṃ tu	pale vyavasTApanIyAH tAn= tezu vyavasTApayati yA avabuddDa tve / svayam tu
   hīnayānabhūmīḥ sarvā (rva?) jñānena cātikramya	hIna yAna BUmIH sarvAH (rva?) jQAnena ca atikramya
   bodhisattvayānamavakrāmatīti mārge vipratipattiḥ //	boDisattva yAnam avakrAmati iti mArge vipratipattiH //
   iha sarva evāryapudgalāḥ kleśopakleśaiḥ kāmarūpārūpyadhātubhirbodhipakṣaiḥ	iha sarve eva Arya pudgalAH kleSa upakleSEH kAmarUpa ArUpya DAtuBiH boDi pakzEH
   pāramitādibhistatphalaiśca sarvāryadharmerna saṃyuktvā na visaṃyuktvā	pAramitA AdiBiH tad PalEH ca sarva Arya DarmeH na saMyuktvA na visaMyuktvA
   arūpiṇo 'nidarśanā ekalakṣaṇā yadutālakṣaṇāḥ / ya evaṃ na jānanti tān	arUpiNaH anidarSanAH eka lakzaNAH yat uta alakzaNAH / yaH evam na jAnanti tAn
   prati saṃvṛsyā nirdiśyate bodhipakṣā dharmā bodherāhārakā	prati saMvRsyA nirdiSyate boDi pakzAH DarmA boDeH AhArakA
   bodhyāvaraṇānāmapahārakā iti vipakṣapratipakṣayorvipratipattiḥ //	boDyAvaraNAnAm apahArakAH iti vipakza pratipakzayoH vipratipattiH //
   vistareṇa bhagavatā dharmāṇāṃ lakṣaṇaṃ deśitaṃ sattvānāmavatāraṇāya	vistareNa BagavatA DarmANAm lakzaNam deSitam sattvAnAm avatAraNAya
   saṃvṛtyā paramārthatastena lakṣaṇe śikṣitavyaṃ nālakṣaṇe / yataḥ sthita	saMvRtyA paramArTataH tena lakzaNe Sikzitavyam na alakzaNe / yatas sTita
