   Suvarṇavarṇāvadāna	SuvarNa-varNa-avadAna
   kva tac chokāśrudhārābhiḥ sadāsiktatalaṃ gṛhaṃ |	kva tat Soka-aSru-DArABiH sadA-sikta-talam gRham |
   kvedaṃ mṛgamadāmodavārisaṃsiktacandanaṃ |8|	kva-idam mRga-mada-Amoda-vAri-saMsikta-candanam |8|
   kva tad vahniaśikhāpluṣṭavāyasāśucitoraṇaṃ |	kva tat vahnia-SiKA-pluzwa-vAyasa-aSuci-toraNam |
   kva cedaṃ hemasadratnāmuktāhāropaśobhitaṃ |9|	kva ca-idam hema-sat-ratna-amukta-AhAra-upaSoBitam |9|
   kva tad bhagnaikakaṭakadvārāvaraṇakaṃ gṛhaṃ |	kva tat Bagna-eka-kawaka-dvAra-AvaraNakam gRham |
   kva cedaṃ sphaṭikotkīrṇaṃ kapāṭapuṭasaṃyutaṃ |10|	kva ca-idam sPawika-utkIrNam kapAwa-puwa-saMyutam |10|
   kva tan mama cirādhvastaṃ khaṇḍāvavarakaṃ gṛhaṃ |	kva tat mama cira-aDvastam KaNxAvavarakam gRham |
   kvedaṃ maṇimayastambhaniryūhapratimaṇḍitaṃ |11|	kva-idam maNi-maya-stamBa-niryUha-pratimaNxitam |11|
   kva tad ākrandaśabdena samāpūritacatvaraṃ |	kva tat Akranda-Sabdena samApUrita-catvaram |
   kva cedaṃ tūryanighoṣavīṇāsvarasamanvitaṃ |12|	kva ca-idam tUrya-niGoza-vINA-svara-samanvitam |12|
   kva tat kapālasaṃkārarāśipūrṇaṃ gṛhaṃ purā |	kva tat kapAla-saMkAra-rASi-pUrNam gRham purA |
   kva cedaṃ rucirānekaratnarāśicitāntaraṃ |13|	kva ca-idam rucira-aneka-ratna-rASi-citA-antaram |13|
   kva tat pātitaniḥśeṣanāgadantakabandhanaṃ |	kva tat pAtita-niHSeza-nAga-dantaka-banDanam |
   kva cedam indranīlāntapraviṣṭasphaṭikam mahat |14|	kva ca-idam indranIla-anta-pravizwa-sPawikam mahat |14|
   kva tad āsananirmuktam iṣṭakaikaparāyaṇaṃ |	kva tat Asana-nirmuktam izwaka-eka-parAyaNam |
   kva cedaṃ citrapaṭṭāntamasūrakaśānvitaṃ |15|	kva ca-idam citra-pawwa-anta-masUraka-SAnvitam |15|
   kva tac charkarākīrṇe bhūtale śayanaṃ purā |	kva tat SarkarA-AkIrNe BU-tale Sayanam purA |
   kva cedaṃ paṭṭavipulaṃ śrīpayaṅkaṃ manoramaṃ |16|	kva ca-idam pawwa-vipulam SrIpayaFkam manoramam |16|
   kva tat tṛṇāśṛtaṃ bhūmau śayanaṃ me 'tikarkaśaṃ |	kva tat tRNASRtam BUmO Sayanam me ati-karkaSam |
   kva cedaṃ tūlikāstīrṇam adyātīva manoramaṃ |17|	kva ca-idam tUlikA-AstIrNam adya-atIva manoramam |17|
   kva tac chvāsuvisaṃkīrṇan durgandhāntargṛhaṃ gṛhaṃ |	kva tat SvAsu-visaMkIrNan durganDa-antargRham gRham |
   kvedaṃ surabhisaṅgandhavāsita_ntaḥpuraṃ puraṃ |18|	kva-idam suraBi-saFganDa-vAsitaH-_ntaHpuram puram |18|
   kva tac cīrāvacīrañ ca gṛham antarbahiḥ purā |	kva tat cIra-avacIran ca gRham antar-bahis purA |
   kvedaṃ vividhasadratnabhakticitramanoharaṃ |19|	kva-idam viviDa-sat-ratna-Bakti-citra-manoharam |19|
   kva tat kāka_śuciśvetarekhāśatavilambitaṃ |	kva tat kAka_Suci-Sveta-reKA-Sata-vilambitam |
   kva cedaṃ vipulānekamuktāhāropaśobhitaṃ |20|	kva ca-idam vipula-aneka-mukta-AhAra-upaSoBitam |20|
   kva ca duḥkhavilāpoktasamucchritabhujaṃ gṛhaṃ |	kva ca duHKa-vilApa-ukta-samucCrita-Bujam gRham |
   kva cedam amalacattrapatākocchāyabhūṣitaṃ |21|	kva ca-idam amala-cattra-patAkA-ucCAya-BUzitam |21|
   namo 'stu tasmai nāthāya puṇyakṣetrāya tāyine |	namaH astu tasmE nATAya puNya-kzetrAya tAyine |
   yam āgamyāham adyaiva tīrṇo dāridrasāgaraṃ |22|	yam Agamya-aham adya-eva tIrNaH dAridra-sAgaram |22|
   namo 'stu lokanāthāya sarvajñāya vipaśyine |	namaH astu lokanATAya sarvajQAya vipaSyine |
   yam āgamya mayā 'dyaiva prāptā sampattir īdṛśī |23|	yam Agamya mayA adya-eva prAptA sampattiH IdRSI |23|
   vaijayantam ivācintyam anekaguṇabhūṣitaṃ |	vEjayantam iva-acintyam aneka-guNa-BUzitam |
   yam āgamya mayā 'dyaiva prāptaṃ bhavanam uttamaṃ |24|	yam Agamya mayA adya-eva prAptam Bavanam uttamam |24|
   taṃ samāsādya śāstāraṃ kailāśaśikharocchritaṃ |	tam samAsAdya SAstAram kElASa-SiKara-ucCritam |
   bhavanaṃ prāpyam uttuṅgaṃ śaratkālendupāṇḍuraṃ |25|	Bavanam prApyam uttuFgam Sarad-kAla-indu-pANxuram |25|
   adyaivāsmin pure 'ṇātho bhūtvā dāridraduḥkhvān |	adya-eva-asmin pure aNATo BUtvA dAridra-duHKvAn |
   adyaiva sarvaśreṣṭhatvaṃ mahādhanavatāṅ gataḥ |26|	adya-eva sarva-SrezWa-tvam mahADanavatAF gataH |26|
   uptamātraṃ yad adyaiva bījaṃ me phaladāyakaṃ |	upta-mAtram yat adya-eva bIjam me Pala-dAyakam |
   lokaśreṣṭhaṃ vibhuṃ kas taṃ prajayitum arhati ity |27|	loka-SrezWam viBum kaH tam prajayitum arhati iti |27|
   Sva Roy 298,2 - 299	Svas Roy 298,2  299
   [109] atha karṇaḥ sārthavāhas tīvraprasādavegāvarjitacittasantatiḥ	[109] aTa karNaH sArTavAhaH tIvra-prasAda-vega-Avarjita-citta-santatiH
   saṃlakṣayati | bhagavantam āgamya mayaivaṃ vibhūtir āsāditā yan nv ahaṃ	saMlakzayati | Bagavantam Agamya mayA-evam viBUtiH AsAditA yat nu aham
   prathamato bhagavantaṃ vipaśyinaṃ tathāgatam asmin gṛhe praveśya	praTamatas Bagavantam vipaSyinam taTAgatam asmin gRhe praveSya
   saśrāvakagaṇaṃ bhojayeyam iti viditvā mahatā satkāreṇa vipaśyinaṃ	sa-SrAvaka-gaNam Bojayeyam iti viditvA mahatA satkAreNa vipaSyinam
   tathāgataṃ saśrāvakasaṃgham antargṛhe upanimantrya śatarasenāhāreṇa	taTAgatam sa-SrAvaka-saMGam antargRhe upanimantrya Sata-rasena-AhAreNa
   saptāhaṃ bhojayitvā pādayoḥ praṇipatya yāvajjīvaṃ sarvopakaraṇaiḥ	sapta-aham BojayitvA pAdayoH praNipatya yAvajjIvam sarva-upakaraNEH
   pravāritavān |	pravAritavAn |
   Sva Roy 299,2 - 307,4	Svas Roy 299,2  307,4
   [110] athāparasmin divase sa kṣetrapālako bhṛtakapuruṣaḥ pratyuṣasi	[110] aTa-aparasmin divase sa kzetrapAlakaH BRtaka-puruzaH prati-uzasi
   svāminānurūpadattāṃ bhaktapuṭikām ādaya kṣetraṃ saṃprasthito 'śrauṣīd	svAminA-anurUpa-dattAm Bakta-puwikAm Adaya kzetram saMprasTitaH aSrOzIt-
   antarmārge sa bhṛtakapuruṣo 'nyatarasyopāsakasyāntikād yathā karṇena	antar-mArge sa BRtaka-puruzaH anyatarasya-upAsakasya-antikAt yaTA karNena
   sārthavāhena māṣapūpakam ekaṃ buddhe bhagavaty anupradāyaivamvidhā śrī	sArTavAhena mAza-pUpakam ekam budDe Bagavati anupradAya-evamviDA SrI
   prāpteti śrutvā ca punaḥ sa puruṣas tam upāsakam uvāca | bhoḥ sādho ke	prAptA-iti SrutvA ca punar sa puruzaH tam upAsakam uvAca | BoH sADo ke
   tasya bhagavato guṇā iti | sa upāsakaḥ kathayati | bhadramukha kā me	tasya BagavataH guNAH iti | saH upAsakaH kaTayati | Badra-muKa kA me
   śaktis tasya bhagavato viśeṣavihitān guṇān vaktuṃ | eka hī saṃkṣepataḥ	SaktiH tasya BagavataH viSeza-vihitAn guNAn vaktum | eka hI saMkzepataH
   śrūyatāṃ | sa hi bhagavān samyaksambuddha pravarapuruṣalakṣaṇālaṅkṛtaḥ	SrUyatAm | sa hi BagavAn samyaksambudDa pravara-puruza-lakzaNa-alaFkRtaH
   kāñcanādriprakāśaḥ śaśāṅkārkatulyātirekaprabhaḥ sūrataḥ suvrataḥ	kAQcana-adri-prakASaH SaSAFka-arka-tulya-atireka-praBaH sUrataH suvrataH
   śāntacittaḥ suvākyaḥ suveṣṭaḥ sugātraḥ suvaktraḥ sunetraḥ sukarmā sudharmā	SAnta-cittaH su-vAkyaH suvezwaH sugAtraH suvaktraH sunetraH sukarmA suDarmA
   kṣamāvān pratibhāvān | vinetā sunetā nayajño damajñaḥ kṛtajñaḥ sucakṣaḥ	kzamAvAn pratiBAvAn | vinetA sunetA naya-jQaH dama-jQaH kRtajQaH sucakzaH
   praśāntendriyaḥ suinītendriyāśvo mahādharmarājo mahāsattvasāro	praSAnta-indriyaH suinIta-indriya-aSvaH mahA-DarmarAjaH mahAsattva-sAraH-
   mahālokanātho mahājñānaketus mahāvādiśūro mahāpuṇyakośo mahādharmahetus	mahAloka-nATaH mahA-jQAna-ketuH mahA-vAdi-SUraH mahA-puNya-koSaH mahA-Darma-hetuH-
   mahāsārthavāho dharmadātā mahākarṇadhāro mahādakṣiṇīyaḥ tṛṣācchedako	mahA-sArTavAhaH Darma-dAtA mahAkarNaDAraH mahA-dakziNIyaH tRzA-acCedakaH-
   mahāmohavināsakaḥ krodhanirvāpako mokṣasaṃsthāpakaḥ kāpathāc cyāvakaḥ	mahA-moha-vinAsakaH kroDa-nirvApakaH mokza-saMsTApakaH kApaTAt cyAvakaH
   satpathoddeśakaḥ śaṃsayacchedakaḥ satyasaṃdarśakaḥ kleśanirvāpako	sat-paTa-uddeSakaH SaMsayat-CedakaH satya-saMdarSakaH kleSa-nirvApako
   māravidhvaṃsako lokanistārako brahmaṇābhyarccitaḥ śakrasaṃpūjitaḥ	mAra-viDvaMsakaH loka-nistArakaH brahmaNA-aByarccitaH Sakra-saMpUjitaH
   sarvalokādhikaḥ sarvalokārthakṛt sattvottamaḥ sarvaduḥkhāntakṛta sarvavit	sarva-loka-aDikaH sarva-loka-arTa-kRt sattva-uttamaH sarva-duHKa-anta-kRta sarva-vid-
   | anayavinayaviśārado 'tītasarvāsravo vādimukhyair nādhiṣṭhitaḥ	| anaya-vinaya-viSAradaH atIta-sarva-AsravaH vAdi-muKyEH na-aDizWitaH
   sarvadoṣair asaṃbhrāmitaḥ sarvārtham abhyudyataḥ rūpavān śīlavān dhyāyavān	sarva-dozEH asaMBrAmitaH sarva-arTam aByudyataH rUpavAn SIlavAn DyAyavAn
   vīryavān jñānayuktas tathā niḥspṛho nirjvaro niṣprapañco nirāyāsavṛttiḥ	vIryavAn jQAna-yuktaH taTA niHspRhaH nirjvaraH nizprapaQcaH nirAyAsa-vRttiH
   pravṛttikṣayopāyasaṃdarśakaḥ sarvasatveṣu maitrāsayo pāpamukto	pravRtti-kzaya-upAya-saMdarSakaH sarva-satvezu mEtrAsayaH pApa-muktaH-
   'dhimokṣānvito 'nuttaro nāyako daiśikaḥ kleśarogārditānāṃ mahāvaidyabhūtaḥ	aDimokza-anvitaH anuttaraH nAyakaH dESikaH kleSa-roga-arditAnAm mahA-vEdya-BUtaH
   svayambhūḥ vibhuḥ saṃyatātmāprameyaprabhāvo 'lpakṛtaḥ susantoṣavān kālavān	svayamBUH viBuH saMyata-Atma-aprameya-praBAvaH alpa-kRtaH susantozavAn kAlavAn
   arthavān jñānavān nirjitakleśaśatruḥ praśāntāgnir akṣobhyadharmo	arTavAn jQAnavAn nirjita-kleSa-SatruH praSAnta-agniH akzoBya-DarmaH-
   mahādakṣiṇīyaḥ paraṃ duḥkhitaṃ lokam ajñānapaṅke nimagnaṃ samavalokya	mahA-dakziNIyaH param duHKitam lokam ajQAna-paFke nimagnam samavalokya
   tasmāt svayañ cāpi śaktaḥ samuddhartum ātmāprabhāvānurūpātmanaḥ	tasmAt svayan ca-api SaktaH samudDartum Atma-apraBAva-anurUpa-AtmanaH
   sarvasattvānukampārtham evaṃ prakārottamā buddhi tasmāc caivam uttāreyaṃ	sarva-sattva-anukampA-arTam evam prakAra-uttamA budDi tasmAt ca-evam uttAreyam
   jagad duḥkhitaṃ mocayeyaṃ kathaṃ bhītānām āśvāsayeyaṃ kathaṃ saṃsāramagnam	jagat duHKitam mocayeyam kaTam BItAnAm ASvAsayeyam kaTam saMsAra-magnam
   abhyuddhareyaṃ kathaṃ dahyamānam āhlādayeyaṃ dṛḍhaṃ cittam evaṃ samutpādya	aByudDareyam kaTam dahyamAnam AhlAdayeyam dRXam cittam evam samutpAdya
   vīryañ ca kṛtvā paraṃ janmakoṭīsahasreṣu pūrvavac	vIryan ca kRtvA param janma-kowI-sahasrezu pUrvavat-
   cānnapānāśrayopānahobhojanachatrayānāsanādīn ramyāṇi hastyaśvadārātmajān	ca-anna-pAna-ASraya-upAnahaH-Bojana-Catra-yAnAsana-AdIn ramyANi hasti-aSva-dAra-AtmajAn
   dāsadāsī śirolocanāny ātmamāṃsāni cotkṛtya seṣmāṇisadvajreṇe syenarūpāya	dAsa-dAsI SiraH-locanAni Atma-mAMsAni ca-utkRtya sezmANi-sat-vajreNe syena-rUpAya
   vuddhātmanā sarvasatveṣu sarvair upāyair hitaṃ cintayan sarvakālañ ca	vudDa-AtmanA sarva-satvezu sarvEH upAyEH hitam cintayan sarvakAlan ca
   jīrṇāturasannasaṃūḍhasaṃbhrāntasaṃkṣubhyamānān avasthitān avekṣya	jIrNa-Atura-sanna-saMUXa-saMBrAnta-saMkzuByamAnAn avasTitAn avekzya
   sarvātmān āśvāsya santo 'py asanto yathācārya saṃśevinā	sarva-AtmAn ASvAsya santaH api asantaH yaTA-AcArya saMSevinA
   dānaśīlakṣamāsattvasaprajñādhyānādyair guṇair janmakoṭīsahasrair anekair	dAna-SIla-kzamA-sattva-saprajQA-DyAna-AdyEH guNEH janma-kowI-sahasrEH anekEH-
   śivāṃ bodhim agryām anuprāptavān api ca | kas tasya sarvāgrasattvasya	SivAm boDim agryAm anuprAptavAn api ca | kaH tasya sarva-agra-sattvasya
   samyaksambuddhasya vikhyātakīrteḥ kṛpākhyātaviśvāsadharmasya	samyaksambudDasya viKyAta-kIrteH kRpA-AKyAta-viSvAsa-Darmasya
   vijñānapūrṇasya vistīrṇavīryasya nistīrṇasarvapratijñasya nirmuktadoṣasya	vijQAna-pUrNasya vistIrNa-vIryasya nistIrNa-sarva-pratijQasya nirmukta-dozasya
   nirvāntamohasya śāntasya dāntasya sarvendriyārtheṣv aśaktasya	nirvAnta-mohasya SAntasya dAntasya sarva-indriya-arTezu aSaktasya
   viśveśvarasyāntikaṃ deham āsādita	viSveSvarasya-antikam deham AsAdita
   tasyāprameyaprabhāvaprabhālaṅkṛtajñānakośasya	tasya-aprameya-praBAva-praBA-alaFkRta-jQAna-koSasya
   sampūrṇacandraprakāśātirekānanasya surendrāsurendroragaiś ca bhaktyā	sampUrNa-candra-prakASa-atireka-Ananasya sura-indra-asura-indra-uragEH ca BaktyA
   prasādena nityavandyasya pradīptaujasā puṇyakīrter maharṣiprasūtasya	prasAdena nitya-vandyasya pradIpta-ojasA puNya-kIrteH mahA-Rzi-prasUtasya
   niṣkrāntahemaprakāśasya dharmeśvasyāgradharmeṣu pāraṅgatasyāgrasattvasya	nizkrAnta-hema-prakASasya DarmeSvasya-agra-Darmezu pAraFgatasya-agra-sattvasya
   nāthasya nāgasya muktasya dhīrasya vīrasya devātidevasya	nATasya nAgasya muktasya DIrasya vIrasya deva-atidevasya
   samyaksambuddhasya kas tasya śaknoty aśeṣān guṇān vaktum ||	samyaksambudDasya kaH tasya Saknoti aSezAn guNAn vaktum ||
   Sva Roy 307,4 - 308,309	Svas Roy 307,4  308,309
   [111] api ca	[111] api ca
   sarvasadrūpalāvaṇyasampadbhiḥ samalaṅkṛtaṃ |	sarva-sat-rUpa-lAvaNya-sampadBiH samalaFkRtam |
   vapur buddhād ṛte nāsti anyasyedṛśam uttamaṃ |1|	vapuH budDAt Rte na-asti anyasya-IdRSam uttamam |1|
   nāsti buddhasamo vaktā nāsti buddhasamaḥ sudhīḥ |	na-asti budDa-samaH vaktA na-asti budDa-samaH suDIH |
   nāsti buddhasamo boddho nāsti buddhasamo sudhīḥ |2|	na-asti budDa-samaH bodDaH na-asti budDa-samaH suDIH |2|
   nāsti buddhasamaṃ pātraṃ nāsti buddhasamaḥ sukhī |	na-asti budDa-samam pAtram na-asti budDa-samaH suKI |
   nāsti buddhasamo dānto nāsti buddhasamaḥ prabhuḥ |3|	na-asti budDa-samaH dAntaH na-asti budDa-samaH praBuH |3|
   nāsti buddhasamaḥ śāstā nāsti buddhasamaḥ pitā |	na-asti budDa-samaH SAstA na-asti budDa-samaH pitA |
   nāsti buddhasamo bandhur nāsti buddhasamaḥ suhṛt |4|	na-asti budDa-samaH banDuH na-asti budDa-samaH suhRd |4|
   nirmamo nirmado nirbhī nirāyāso niraṅgaṇaḥ |	nirmamaH nirmadaH nirBI nirAyAsaH niraFgaNaH |
   nistīrṇa bhavakāntāro niḥsapatno nirāmayaḥ |5|	nistIrNa Bava-kAntAraH niHsapatnaH nirAmayaH |5|
   kāntaḥ śāntaḥ śucir dāntaḥ smṛtimān balavān vaśī |	kAntaH SAntaH SuciH dAntaH smRtimAn balavAn vaSI |
   hṛtakṛtasarvasattvānāṃ nāsti buddhasamo paraḥ |6|	hRta-kRta-sarva-sattvAnAm na-asti budDa-samaH paraH |6|
   samāsato guṇaiḥ sadbhir viśeṣair vidhivad yataḥ |	samAsatas guNEH sadBiH viSezEH viDivat yatas |
   trailokye 'pi na buddhena sadṛśo 'stīti gṛhyatāṃ |7|	trElokye api na budDena sadRSaH asti-iti gRhyatAm |7|
   Sva Roy 309,2 - 312,5	Svas Roy 309,2  312,5
   [112] tac chrutvā bhṛtakapuruṣaḥ prasādakaṇṭakitaḥ	[112] tat SrutvA BRtaka-puruzaH prasAda-kaNwakitaH
   sahasaivotpannātidurllabhapratibhānas tam uvāca || karṇena sārthavāhena	sahasA-eva-utpanna-ati-durllaBa-pratiBAnaH tam uvAca || karNena sArTavAhena
   tṛṣṇayānupradattaṃ māṣapūpakam evaṃvidhe paramadakṣiṇīye bhagavati	tRzNayA-anupradattam mAza-pUpakam evaMviDe parama-dakziNIye Bagavati
   vipaśyini tathāgate tatkṣaṇād evaiṣa sārthavāho 'daridraḥ syām ity	vipaSyini taTAgate tad-kzaNAt eva-eza sArTavAhaH adaridraH syAm iti-
   evaṃvidhaṃ cintāmaṇiratnabhūtaṃ tathāgatam	evaMviDam cintAmaNi-ratna-BUtam taTAgatam
   āsādyātiparīttavibhavamātrakahetabhūtaṃ praṇidhānaṃ kṛtavān | ahan tu	AsAdya-ati-parItta-viBava-mAtraka-heta-BUtam praNiDAnam kRtavAn | ahan tu
   punar yad bhagavantaṃ tathāgatam arhantaṃ samyakasambuddham	punar yat Bagavantam taTAgatam arhantam samyaka-sambudDam
   anekakalpakoṭīniyutaśatasahasrair apy anāsādya darśanam atidarśanīyam	aneka-kalpa-kowI-niyuta-Sata-sahasrEH api anAsAdya darSanam ati-darSanIyam
   anuttaram	anuttaram
   anantarakalpaśatasahasrasambhṛtāśeṣasattvapravṛtottamapuṇyasambhārānupravṛttakāruṇyam	anantara-kalpa-Sata-sahasra-samBRta-aSeza-sattva-pravRta-uttama-puNya-samBAra-anupravRtta-kAruNyam
   anekavidhasāṃsārikakleśaviṣamahoragopadaṣṭa_atidīnānukampakaṃ	anekaviDa-sAMsArika-kleSa-viza-mahoraga-upadazwa_ati-dIna-anukampakam
   patitajanaviśeṣavatsalam anupakṛtabāndhavam anekakālānāsāditavibhavo 'ham	patita-jana-viSeza-vatsalam anupakRta-bAnDavam aneka-kAlAn-AsAdita-viBavaH aham
   anayābhiparīttayā kṣetrapālitārjitayā bhaktabhikṣayā pratipādayitum	anayA-aBiparIttayA kzetra-pAlita-arjitayA Bakta-BikzayA pratipAdayitum
   āsādayāmi | tadā tādṛśaṃ praṇidhānaṃ kariṣyāmi yena sarvasattvottamo	AsAdayAmi | tadA tAdRSam praNiDAnam karizyAmi yena sarva-sattva-uttamaH-
   bhaviṣyāmīty āśayodgīrṇavacanāvasānasamanantaraṃ bhagavān vipaśyī	BavizyAmi-iti ASaya-udgIrNa-vacana-avasAna-samanantaram BagavAn vipaSyI
   samyaksambuddhas tasya cetaso cittam ājñāya ṛddhayā gatvāgrataḥ sthito	samyaksambudDaH tasya cetasaH cittam AjQAya RdDayA gatvA-agratas sTitaH-
   'drākṣīt sa bhṛtakapuruṣo vipaśyinaṃ tathāgatam asecanakadarśanam	adrAkzIt sa BRtaka-puruzaH vipaSyinam taTAgatam asecanaka-darSanam
   abhiruciracārucāmīkarāmaragiriśikharatararuṇavikiraṇavisaracitāntarodbhāsitabhāsurataraśarīradyutiṃ	aBirucira-cAru-cAmIkara-amara-giri-SiKara-tara-ruNa-vikiraNa-visara-cita-antara-udBAsita-BAsuH-atara-SarIra-dyutim
   dṛṣṭvā ca punaḥ paramaprītisaumanasya jāto 'timahatā prasādavegena tāṃ	dRzwvA ca punar parama-prIti-sOmanasya jAtaH ati-mahatA prasAda-vegena tAm
   bhaktapuṭikām ādāya bhagavato vipaśyinaḥ samyaksambuddhasya pātre	Bakta-puwikAm AdAya BagavataH vipaSyinaH samyaksambudDasya pAtre
   pratipādya tīvreṇa prasādavegena pādayor nipatya praṇidhānaṃ kartum	pratipAdya tIvreNa prasAda-vegena pAdayoH nipatya praNiDAnam kartum
   ārabdhaḥ ||	ArabDaH ||
   Sva Roy 312,5 - 314,3	Svas Roy 312,5  314,3
   [113] anena nātha puṇyena itaḥ prabhṛti janmanaḥ |	[113] anena nATa puNyena itas praBRti janmanaH |
   sarvasattvahitādhyāyī bhūyaśaḥ karuṇātmakaḥ |1|	sarva-sattva-hita-aDyAyI BUyaSas karuNA-AtmakaH |1|
   yathā tvaṃ lakṣaṇopeto 'nuttarā bodhim āptavān |	yaTA tvam lakzaNa-upetaH anuttarAH boDim AptavAn |
   tathāham api sambodhim atulāṃ samavāpnuyāṃ |2|	taTA-aham api samboDim atulAm samavApnuyAm |2|
   yathā deśayase dharmasarvajñatvaṃ yathā tvayā |	yaTA deSayase Darma-sarvajQa-tvam yaTA tvayA |
   prāptaṃ tathāham apy eva sarvajñatvam avāpnuyāṃ |3|	prAptam taTA-aham api eva sarvajQa-tvam avApnuyAm |3|
   nirjitas te yathā māro dharmacakraṃ pravartitaṃ |	nirjitaH te yaTA mAraH Darma-cakram pravartitam |
   tathāhamapi nirjitya dharmacakraṃ pravartaye |4|	taTA-aham-api nirjitya Darma-cakram pravartaye |4|
   tīrṇas tārayase nātha yathā saṃsārasāgarāt |	tIrNaH tArayase nATa yaTA saMsAra-sAgarAt |
   atvān bahūṃs tathā cāhaṃ tārāye munisattama |5|	atvAn bahUn taTA ca-aham tArAye muni-sattamaH |5|
   atha sa bhagavān vipaśyī samyaksasambuddhaḥ sakalajaladagambhīrodāttena	aTa sa BagavAn vipaSyI samyak-sasambudDaH sakala-jalada-gamBIra-udAttena
   svareṇoccair uvāca | bhadramukha |	svareNa-uccEs uvAca | Badra-muKa |
   atha sa bhagavān vipaśyī samyaksasambuddhaḥ sakalajaladagambhīrodāttena	aTa sa BagavAn vipaSyI samyak-sasambudDaH sakala-jalada-gamBIra-udAttena
   svareṇoccair uvāca | bhadramukha |	svareNa-uccEs uvAca | Badra-muKa |
   bhaviṣyasi tvaṃ hi mahānubhāvaḥ sarvārthasiddho bhuvi nāma śāstā |	Bavizyasi tvam hi mahA-anuBAvaH sarva-arTa-sidDaH Buvi nAma SAstA |
   jitveha māraṃ sabalaṃ prasahya bhīmaṃ samantād abhiniṣpatantaṃ |6|	jitvA-iha mAram sa-balam prasahya BImam samantAt aBinizpatantam |6|
   ity	iti-
   Sva Roy 314,3 - 316,3	Svas Roy 314,3  316,3
   [114] atha vipaśyī samyaksambuddhas taṃ puruṣam anuttarāyāṃ	[114] aTa vipaSyI samyaksambudDaH tam puruzam anuttarAyAm
   samyaksambodhau vyākṛtya prakrānto 'yañ ca vṛttānto bandhumatyāṃ	samyaksamboDO vyAkRtya prakrAntaH ayan ca vRttAntaH banDumatyAm
   rājadhānyāṃ samantato niḥsṛtaḥ | yāvad rājñāṃ bandhumatā śrutaṃ | śrutvā	rAjaDAnyAm samantataH niHsRtaH | yAvat rAjQAm banDumatA Srutam | SrutvA
   ca punas tena svayam evāgatya tatakuśalamūlasaṃbhārotsāhitamatinā sa	ca punar tena svayam eva-Agatya tata-kuSala-mUla-saMBAra-utsAhita-matinA sa
   puruṣo 'ti mahatā satkāreṇa hastiskandhe samāropya bhavanaṃ nītvārdhāsanaṃ	puruzaH ati mahatA satkAreNa hasti-skanDe samAropya Bavanam nItvA-arDa-Asanam
   niṣādyārddharājyānupradānena pūjitaḥ | sa kathayati | mahārāja nāhaṃ	nizAdya-ardDa-rAjya-anupradAnena pUjitaH | sa kaTayati | mahA-rAja na-aham
   kāmair arthī tadanujānīsva māṃ pravrajya brahmacaryañ carāmīti | sa	kAmEH arTI tad-anujAnIsva mAm pravrajya brahmacaryan carAmi-iti | sa
   rājñānujñātaḥ svākhyāte dharmavinaye pravrajitaḥ sa tatra yāvad	rAjQA-anujQAtaH su-AKyAte Darma-vinaye pravrajitaH sa tatra yAvat-
   āptabrahmacaryaṃ caritvā kālagato nirmāṇaratiṣu deveṣūprapannaḥ |	Apta-brahmacaryam caritvA kAlagataH nirmANaratizu devezu-uprapannaH |
   bandhumān api rājā kālagataḥ | tasya putro rājye pratiṣṭhitaḥ | so 'pi	banDumAn api rAjA kAlagataH | tasya putraH rAjye pratizWitaH | saH api
   kiñcit kālaṃ rājyaṃ kārayitvā kālagato 'mātyair mahatā satkāreṇa surūpo	kiQcid kAlam rAjyam kArayitvA kAlagataH amAtyEH mahatA satkAreNa surUpaH-
   rājye pratiṣṭhāpitas tena ṣaṣṭhivarṣahasrāṇi dharmeṇa rājyaṃ kāritaṃ |	rAjye pratizWApitaH tena zazWi-varzahasrANi DarmeNa rAjyam kAritam |
