   (Msa 1)	(MsaH 1)
   na syāt tad uttarāyāḥ saṃskārapravṛtter uttarottaraviśeṣo nopalabhyeta	na syAt tat uttarAyAH saMskAra pravRtteH uttarottara viSezaH na upalaByeta
   hetvaviśeṣāt | viśeṣe ca sati taduttarebhyas tasyānyatvāt |	hetu aviSezAt | viSeze ca sati tad uttareByaH tasya anya tvAt |
   kṣaṇikatvasiddhiḥ | taratamotpāde mānaviśeṣāt | mānaṃ pramāṇam ity arthaḥ	kzaNika tva sidDiH | taratama utpAde mAna viSezAt | mAnam pramANam iti arTaH
   | na hi pratikṣaṇaṃ vinā 'nyatvena parimāṇaviśeṣo bhavet | upacayotpāde	| na hi pratikzaNam vinA anya tvena parimANa viSezaH Bavet | upacaya utpAde
   cayāpārthyāt | upastambho hi cayaḥ | tasyāpārthyaṃ syād antareṇa	caya apArTyAt | upastamBaH hi cayaH | tasya ApArTyam syAt antareNa
   kṣaṇikatvaṃ tathaivāvasthitatvāt | ayogāc copacayasyaiva | na hi	kzaNika tvam taTA eva avasTita tvAt | ayogAt ca upacayasya eva | na hi
   pratikṣaṇaṃ vinā puṣṭatarotpattyā yujyetopacayaḥ | āśrayabhāvenotpattāv	pratikzaNam vinA puzwatara utpattyA yujyeta upacayaH | ASraya BAvena utpattO= 
   āśritatvāsaṃbhavāt | na hi tiṣṭhaty āśraye ca tadāśritasyānavasthānaṃ	ASrita tva asaMBavAt | na hi tizWati ASraye ca tad ASritasya anavasTAnam
   yujyate | yena tiṣṭhati ta ārūḍhānavasthānavad anyathā hy āśrayatvaṃ na	yujyate | yena tizWati te ArUXa anavasTAna vat anyaTA hi ASraya tvam na
   saṃbhavet | vikārotpattau paripākotpattau ca sthitasyāsaṃbhavāt |	saMBavet | vikAra utpattO paripAka utpattO ca sTitasya asaMBavAt |
   ādyanāśāvikārataḥ | ma hi tathāsthitasyaiva rāgādibhir vikāraḥ saṃbhavati	Adya nASa avikArataH | me hi taTA AsTitasya eva rAga AdiBiH vikAraH saMBavati
   | na cāvasthāntareṣu paripāka ādāv avināśe saty ante vikārābhāvāt | tathā	| na ca avasTA antarezu paripAkaH AdO avinASe sati ante vikAra aBAvAt | taTA
   hīnaviśiṣṭotpattau kaṇikatvaṃ veditavyaṃ yathā vikāraparipākotpattau | na	hIna viSizwa utpattO kaNika tvam veditavyam yaTA vikAra paripAka utpattO | na
   hi tahtāsthiteṣv eva saṃskāreṣu karmavāsanā vṛttiṃ labhate yato durgatau	hi tahta AsTitezu eva saMskArezu karma vAsanA vRttim laBate yatas durgatO
   vā syād utpattiḥ sugatau vā | krameṇa hi saṃtatipariṇāmaviśeṣāt vṛttilābho	vA syAt utpattiH sugatO vA | krameNa hi saMtati pariNAma viSezAt vRtti lABaH 
   yujyate | bhāsvarābhāsvare 'pi cotpāde tathaiva kṣaṇikatvaṃ yujyate |	yujyate | BAsvara ABAsvare api ca utpAde taTA eva kzaNika tvam yujyate |
   bhāsvare tāvat tathāthitasyāsaṃbhāvāt cittādhīnavṛttitāyāḥ | abhāsvare 'pi	BAsvare tAvat taTA aTitasya asaMBAvAt citta aDIna vRtti tAyAH | aBAsvare api
   cādau vināśam antareṇānte vikārāygāt | deśāntaragamanenotpattau	ca AdO vinASam antareNa ante vikAra aygAt | deSa antara gamanena utpattO
   gatyabhāvāt | na hi saṃskārāṇāṃ deśāntarasaṃkrāntilakṣaṇā gatir nāma kācit	gati aBAvAt | na hi saMskArANAm deSa antara saMkrAnti lakzaNA gatiH nAma kAcid 
   kriyā yujyate | sa hy utpannā vā saṃskāraṃ deśāntaraṃ gamayed anutpannā vā	kriyA yujyate | sa hi utpannA vA saMskAram deSa antaram gamayet anutpannA vA
   | yad utpannā tena gatikāle na kaṃcid gata iti sthitasyaiva gamanaṃ	| yat utpannA tena gati kAle na kaMcid gataH iti sTitasya eva gamanam
   nopapadyate | athānutpannā tena asatyāṃ gatau gata iti na yujyate | sā ca	na upapadyate | aTa anutpannA tena asatyAm gatO gataH iti na yujyate | sA ca
   kriyā yadi taddeśastha eva saṃskāre kāritraṃ karoti na yujyate |	kriyA yadi tad deSa sTaH eva saMskAre kAritram karoti na yujyate |
   sthitasyānyadeśāprāpteḥ | athānyadeśasthe na yujyate | vinā	sTitasya anya deSa aprApteH | aTa anya deSa sTe na yujyate | vinA
   kriyayānyadeśāprāpteḥ | na ca kriyā tatra vā anyatra vā deśe sthitā	kriyayA anya deSa aprApteH | na ca kriyA tatra vA anyatra vA deSe sTitA
   saṃskārād anyopalabhyate | tasmān nāsti saṃskārāṇāṃ	saMskArAt anya upalaByate | tasmAt na asti saMskArANAm
   deśāntarasaṃtatyutpādād anyā gatiḥ | tadabhāvāc ca siddhiṃ kṣaṇikatvaṃ |	deSa antara saMtati utpAdAt anyA gatiH | tad aBAvAt ca sidDim kzaNika tvam |
   deśāntaranirantarautpattilakṣaṇā gatir vibhavadbhiḥ kāraṇair veditavyā |	deSa antara nirantara Otpatti lakzaNA gatiH viBavadBiH kAraNEH veditavyA |
   asti cittavaśena yathā caṅkramaṇādyavasthāsu | asti pūrvakarmāvedhena	asti citta vaSena yaTA caFkramaNa Adi avasTAsu | asti pUrva karma AveDena
   yathāntarābhavaḥ | asty abhighātavaśena yathā kṣiptasyeṣoḥ | asti	yaTA antara aBavaH | asti aBiGAta vaSena yaTA kziptasya izoH | asti
   saṃbandhavaśena yathā yānanadīplavāruḍhānāṃ | (Msa 153) asti nodanavaśena	saMbanDa vaSena yaTA yAna nadI plava AruXAnAm | (Msa 153) asti nodana vaSena
   yathā vāyupreritānāṃ tṛṇādīnāṃ | asti svabhāvavaśena yathā vāyos	yaTA vAyu preritAnAm tRNa AdInAm | asti svaBAva vaSena yaTA vAyos
   tiryaggamanam agner ūrdhvaṃ jvalanam apāṃ nimne syandanaṃ | asty	tiryak gamanam agneH UrDvam jvalanam apAm nimne syandanam | asti 
   anubhāvena yathā mantrāuṣadhānubhāvena | keṣāṃcid ayaskāntānubhāvenāyasāṃ	anuBAvena yaTA mantra auza DA anu BAvena | kezAMcid ayaskAnta anuBAvena AyasAm
   | ṛddhyanubhāvena ṛddhimatāṃ | sabījābījabhāvenotpattau kṣaṇikatvaṃ	| RdDi anuBAvena RdDimatAm | sa bIjA bIja BAvena utpattO kzaNika tvam
   veditavyaṃ | sthitāyogāc caramāsaṃbhavāc ca | na hi pratikṣaṇaṃ hetubhāvam	veditavyam | sTita ayogAt carama asaMBavAt ca | na hi pratikzaNam hetu BAvam
   antareṇa tathāsthitasyānyasmin kāle punar bījabhāvo yujyate | nirbījatvaṃ	antareNa taTA sTitasya anyasmin kAle punar bIja BAvaH yujyate | nirbIja tvam
   vā carame kṣaṇe | na ca śakyaṃ pūrvaṃ sabījatvaṃ carame kṣaṇe nirbījatvam	vA carame kzaNe | na ca Sakyam pUrvam sa bIja tvam carame kzaNe nirbIja tvam
   abhyupagantuṃ | tadabhāve carmatvāsaṃbhāvāt | tathā hi caramatvam eva na	aByupagantum | tad aBAve carma tva asaMBAvAt | taTA hi carama tvam eva na
   saṃbhavati | pratibimbotpattau kṣaṇikatvaṃ cittānuvṛttito veditavyaṃ |	saMBavati | pratibimba utpattO kzaNika tvam citta anuvRttitaH veditavyam |
   pratikṣaṇaṃ cittavaśena tadutpādāt | ekāntāt sādhitam ādhyātmikaṃ	pratikzaNam citta vaSena tad utpAdAt | ekAntAt sADitam ADyAtmikam
   sarvasaṃskṛtam kṣaṇikam iti | bāhyasyedānīṃ kṣaṇikatvaṃ tribhiḥ ślokaiḥ	sarva saMskRtam kzaNikam iti | bAhyasya idAnIm kzaNika tvam triBiH SlokEH
   sādhayati |	sADayati |
   bhūtānāṃ ṣaḍvidhārthasya kṣaṇikatvaṃ vidhīyate |	BUtAnAm zaxviDa arTasya kzaNika tvam viDIyate |
   śoṣavṛddheḥ prakṛtyā ca calatvād vṛddhihānitaḥ || AMsa_18.89 ||	Soza vRdDeH prakRtyA ca cala tvAt vRdDi hAnitaH || AMsaH _18.89 ||
   tatsaṃbhavāt pṛthivyāś ca pariṇāmacatuṣṭayāt |	tad saMBavAt pRTivyAH ca pariNAma catuzwayAt |
   varṇagandharasasparśatulyatvāc ca tathaiva tat || AMsa_18.90 ||	varNa ganDa rasa sparSa tulya tvAt ca taTA eva tat || AMsaH _18.90 ||
   indhanādhīnavṛttitvāt tāratamyopalabdhitaḥ |	inDana aDIna vRtti tvAt tAratamya upalabDitaH |
   cittānuvṛtteḥ pṛcchātaḥ kṣaṇikaṃ bāhyam apy ataḥ || AMsa_18.91 ||	citta anuvRtteH pRcCAtaH kzaNikam bAhyam api atas || AMsaH _18.91 ||
   kiṃ punas tad bāhyaṃ | catvāri mahābhūtāni | ṣaḍvidhaś cārthaḥ |	kim punar tat bAhyam | catvAri mahABUtAni | zaxviDaH ca arTaH |
   varṇagandharasasparśaśabdā dharmāyatanikaṃ ca rūpaṃ | ato bhūtānāṃ	varNa ganDa rasa sparSa SabdAH Darma Ayatanikam ca rUpam | atas BUtAnAm
   ṣaḍvidhārthasya ca kṣaṇikatvaṃ vidhīyate | kathaṃ vidhīyate | apāṃ tāvac	zaxviDa arTasya ca kzaNika tvam viDIyate | kaTam viDIyate | apAm tAvat 
   śoṣavṛddheḥ | utsaras taḍāgādiṣv apāṃ krameṇa vṛddhiḥ | śoṣaś copalabhyate	Soza vRdDeH | utsaraH taxAga Adizu apAm krameNa vRdDiH | SozaH ca upalaByate
   | tac cobhayam antareṇa pratikṣaṇaṃ pariṇāmaṃ na syāt paścād	| tat ca uBayam antareNa pratikzaNam pariNAmam na syAt paScAt 
   viśeṣakāraṇābhāvāt | vāyoḥ prakṛtyā ca calatvād vṛddhihānitaś ca | na hy	viSeza kAraNa aBAvAt | vAyoH prakRtyA ca cala tvAt vRdDi hAnitaH ca | na hi 
   avasthitasya calatvaṃ syāt tatsvabhāvād iti prasādhitam etat | na ca	avasTitasya cala tvam syAt tad svaBAvAt iti prasADitam etat | na ca
   vṛddhihrāsau tathaivāvasthitvāt | pṛthivyāś tatsaṃbhavāt	vRdDi hrAsO taTA eva avasTi tvAt | pRTivyAH tad saMBavAt
   pariṇāmacatuṣṭayāc ca | tac chabenāpaś ca gṛhyante vāyuś ca | adbhyo hi	pariNAma catuzwayAt ca | tat Sabena apaH ca gRhyante vAyuH ca | adByaH hi
   vāyusahitābhyaḥ pṛthivī saṃbhūtā vivartakāle | tasmāt tatphalatvāt sāpi	vAyu sahitAByaH pRTivI saMBUtAH vivarta kAle | tasmAt tad Pala tvAt sA api
   kṣaṇikā veditavyā | caturvidhaś ca pariṇāmaḥ pṛthivyā upalabhyate |	kzaNikA veditavyA | caturviDaH ca pariNAmaH pRTivyAH upalaByate |
   karmakṛtaḥ satvānāṃ karmaviśeṣāt | upakrtamakṛtaḥ prahādibhiḥ | bhūtakṛto	karma kRtaH satvAnAm karma viSezAt | upakrtam akRtaH prahAdiBiH | BUta kRtaH 
   'gnyādibhiḥ | kālakṛtaḥ kālāntarapariṇāmataḥ | sa cāntareṇa pratikṣaṇaṃ	agni AdiBiH | kAla kRtaH kAla antara pariNAmataH | sa ca antareNa pratikzaNam
   anyotpattiṃ na yujyate vināśakāraṇābhāvāt | varṇagandharasasparśānāṃ	anya utpattim na yujyate vinASa kAraNa aBAvAt | varNa ganDa rasa sparSAnAm
   pṛthivyādibhis tulyakāraṇatvāt tathaiva kaṇikatvaṃ veditavyaṃ | tejasaḥ	pRTivI AdiBiH tulya kAraNa tvAt taTA eva kaNika tvam veditavyam | tejasaH
   punaḥ kṣaṇikatvam indhanādhīnavṛttitvāt | (Msa 154) na hi tejasy utpanne	punar kzaNika tvam inDana aDIna vRtti tvAt | (MsaH 154) na hi tejasi utpanne
   tejaḥsahotpannam indhanaṃ tathaivāvatiṣṭhate | na ca dagdhendhanaṃ tejaḥ	tejaH saha utpannam inDanam taTA eva avatizWate | na ca dagDa inDanam tejaH
   sthātuṃ samarthaṃ | mā bhūd ante 'py anindhanasyāvasthānam iti |	sTAtum samarTam | mA BUt ante api aninDanasya avasTAnam iti |
   ślokabadhānurodhād varṇādīnāṃ pūrvam abhidhānaṃ paścāt tejasaḥ | śabdaḥ	Sloka baDa anuroDAt varNa AdInAm pUrvam aBiDAnam paScAt tejasaH | SabdaH
   punar yo 'pi kālāntaram upalabhyate ghaṇṭhādīnāṃ tasyāpi kṣaṇikatvaṃ	punar yaH api kAla antaram upalaByate GaNWa AdInAm tasya api kzaNika tvam
   veditavyaṃ tāratamyopalabdheḥ na hy asati kṣaṇikatve	veditavyam tAratamya upalabDeH na hi asati kzaNika tve
   pratikṣaṇamandataratamopalabdhiḥ syāt | dharmāyatanikasyāpi rūpasya	pratikzaNa mandataratama upalabDiH syAt | Darma Ayatanikasya api rUpasya
   kṣaṇikatvaṃ prasiddham eva cittānuvṛtter yathā pūrvam uktaṃ | tasmād	kzaNika tvam prasidDam eva citta anuvRtteH yaTA pUrvam uktam | tasmAt 
   bāhyam apy kṣaṇikatvaṃ prasiddhaṃ | pṛcchrayate khalv api sarvasaṃskārāṇāṃ	bAhyam api kzaNika tvam prasidDam | pRcCrayate Kalu api sarva saMskArANAm
   kṣaṇikatvaṃ sidhyati kathaṃ kṛtvā |	kzaNika tvam siDyati kaTam kRtvA |
   idaṃ tāvad ayam akṣaṇikavādī praṣṭavyaḥ | kasmād bhavān anityatvam icchati	idam tAvat ayam akzaNika vAdI prazwavyaH | kasmAt BavAn anitya tvam icCati
   na saṃskārārāṃ kṣaṇikatvaṃ necchatīti | yady evaṃ vadet pratikṣaṇam	na saMskAra ArAm kzaNika tvam na icCati iti | yadi evam vadet pratikzaNam
   anyatvasyāgrahaṇād iti sa idaṃ syād vacanīyaḥ | prasiddhakṣaṇikabhāveṣv	anya tvasya agrahaNAt iti saH idam syAt vacanIyaH | prasidDa kzaNika BAvezu 
   api pradīpādiṣu niścalāvasthāyāṃ tadagrahaṇād akṣaṇikatvaṃ kasmān neṣyate	api pradIpa Adizu niScala avasTAyAm tad agrahaNAt akzaNika tvam kasmAt na izyate
   | yady evaṃ vadet pūrvavat paścād agrahaṇād iti | sa idaṃ syād vacanīyaḥ |	| yadi evam vadet pUrvavat paScAt agrahaNAt iti | saH idam syAt vacanIyaH |
   saṃskārāṇām api kasmād evaṃ neṣyate | yady evaṃ vadet vilakṣaṇatvāt	saMskArANAm api kasmAt evam na izyate | yadi evam vadet vilakzaNa tvAt 
   pradīpāditadanyasaṃskārāṇām iti | sa idaṃ syād vacanīyaḥ | dvidhaṃ hi	pradIpa Adi tad anya saMskArANAm iti | saH idam syAt vacanIyaH | dviDam hi
   vailakṣaṇyaṃ svabhāvavailakṣaṇyaṃ vṛttivailakṣaṇyaṃ ca | tad yadi tāvat	vElakzaNyam svaBAva vElakzaNyam vRtti vElakzaNyam ca | tat yadi tAvat 
   svabhāvavailakṣaṇyam abhipretam ata eva dṛṣṭāntatvaṃ yujyate | na hi	svaBAva vElakzaNyam aBipretam atas eva dRzwAnta tvam yujyate | na hi
   tatsvabhāva eva tasya dṛṣṭānto bhavati yathā pradīpaḥ pradīpasya gaur vā	tad svaBAvaH eva tasya dRzwAntaH Bavati yaTA pradIpaH pradIpasya gOH vA
   gor iti | atha vṛttavailakṣaṇyam ata eva dṛṣṭāntatvaṃ pradīpapradīpānāṃ	goH iti | aTa vRtta vElakzaNyam atas eva dRzwAnta tvam pradIpa pradIpAnAm
   prasiddhatvāt | kṣaṇikatvānuvṛtteḥ punaḥ sa idaṃ praṣṭavyaḥ | kaccid	prasidDa tvAt | kzaNika tva anuvRtteH punar saH idam prazwavyaH | kaccit 
   icchasi yāne tiṣṭhati yānāruḍho gacched iti | yadi no hīti vadet | sa idaṃ	icCasi yAne tizWati yAn AruXaH gacCet iti | yadi no hi iti vadet | saH idam
   syād vacanīyaḥ | cakṣurādiṣu tiṣṭhatsu tad āśritaṃ vijñānaṃ prabandhena	syAt vacanIyaH | cakzuH Adizu tizWatsu tat ASritam vijQAnam prabanDena
   gacchatīti na yujyate | yady evaṃ vadet nanu ca dṛṣṭaṃ vartisaṃniśrite	gacCati iti na yujyate | yadi evam vadet nanu ca dRzwam varti saMniSrite
   pradīpe prabandhena gacchati vartyā avathānam iti | sa idaṃ syād vacanīyaḥ	pradIpe prabanDena gacCati vartyA avaTAnam iti | saH idam syAt vacanIyaH
   | na dṛṣṭaṃ tatprabandhena vartyā pratikṣaṇaṃ vikārotpatter iti | yady	| na dRzwam tad prabanDena vartyA pratikzaNam vikAra utpatteH iti | yadi 
   evaṃ vadet sati kaṇikatve saṃskārāṇāṃ kasmāt pradīpād iva kṣaṇikatvaṃ na	evam vadet sati kaNika tve saMskArANAm kasmAt pradIpAt iva kzaNika tvam na
   siddham iti | sa idaṃ vacanīyaḥ viparyāsavastutvāt |	sidDam iti | saH idam vacanIyaH viparyAsa vastu tvAt |
   sadṛśasaṃtatiprabandhavṛttyā hi kṣaṇikatvam eṣāṃ na prajñāyate | yataḥ	sadRSa saMtati prabanDa vRttyA hi kzaNika tvam ezAm na prajQAyate | yatas 
   saty apy aparāparatve tad evedam iti viparyāso jāyate | itarathā hi	sati api apara aparatve tat eva idam iti viparyAsaH jAyate | itaraTAH hi
   anityanityaviparyāso na syāt tadabhāve saṃkleśo na syāt kutaḥ punar	anitya nitya viparyAsaH na syAt tad aBAve saMkleSaH na syAt kutas punar 
   vyavadānam ity evaṃ paryanuyogato 'pi kṣaṇikatvaṃ sarvasaṃskārāṇāṃ	vyavadAnam iti evam paryanuyogataH api kzaNika tvam sarva saMskArANAm
   prasiddhaṃ | pudgalanairātmyaprasādhanārthaṃ nairātmyavibhāge dvādaśa	prasidDam | pudgala nErAtmya prasADana arTam nErAtmya viBAge dvAdaSa
   ślokaḥ |	SlokaH |
   prajñaptyastitayā vācyaḥ pudgalo dravyato na tu |	prajQapti astitayA vAcyaH pudgalaH dravyataH na tu |
   nopalambhād viparyāsāt saṃkleśāt kliṣṭahetutaḥ || AMsa_18.92 ||	na upalamBAt viparyAsAt saMkleSAt klizwa hetutaH || AMsaH _18.92 ||
   ekatvānyatvato vācyas tasmād doṣadvayād asau |	ekatva anyatvataH vAcyaH tasmAt doza dvayAt asO |
   skandhātmatvaprasaṅgāc ca taddravyatvaprasaṅgataḥ || AMsa_18.93 ||	skanDa Atma tva prasaFgAt ca tad dravya tva prasaFgataH || AMsaH _18.93 ||
   dravyasan yady avācyaś ca vacanīyaṃ prayojanaṃ |	dravya san yadi avAcyaH ca vacanIyam prayojanam |
   ekatvānyatvato 'vācyo na yukto niṣprayojanaḥ || AMsa_18.94 ||	ekatva anyatvataH avAcyaH na yuktaH nizprayojanaH || AMsaH _18.94 ||
   (Msa 155)	(MsaH 155)
   lakṣaṇāl lokadṛṣṭāc ca śāstrato 'pi na yujyate |	lakzaNAt loka dRzwAt ca SAstrataH api na yujyate |
   indhanāgnyor avācyatvam upalabdher dvayena hi || AMsa_18.95 ||	inDana agnyoH avAcya tvam upalabDeH dvayena hi || AMsaH _18.95 ||
   dvaye sati ca vijñānasaṃbhavāt pratyayo na saḥ |	dvaye sati ca vijQAna saMBavAt pratyayaH na saH |
   nairarthakyād ato draṣṭā yāvan moktā na yujyate || AMsa_18.96 ||	nErarTakyAt atas drazwA yAvat moktA na yujyate || AMsaH _18.96 ||
   svāmitve sati cānityam aniṣṭaṃ na pravartayet |	svAmi tve sati ca anityam anizwam na pravartayet |
   tatkarmalakṣaṇaṃ sādhyaṃ saṃbodho bādhyate tridhā || AMsa_18.97 ||	tad karma lakzaNam sADyam saMboDaH bADyate triDA || AMsaH _18.97 ||
   darśanādau ca tadyatnaḥ svayaṃbhūr na trayād api |	darSana AdO ca tat yatnaH svayaMBUH na trayAt api |
   tadyatnapratyayatvaṃ ca niryatnaṃ darśanādikaṃ || AMsa_18.98 ||	tad yatna pratyaya tvam ca niryatnam darSana Adikam || AMsaH _18.98 ||
   akartṛtvād anityatvāt sakṛtr ity apravṛttitaḥ |	akartR tvAt anitya tvAt sakRtH iti apravRttitaH |
   darśanādiṣu yatnasya svayaṃbhūtvaṃ na yujyate || AMsa_18.99 ||	darSana Adizu yatnasya svayaMBU tvam na yujyate || AMsaH _18.99 ||
   tathā sthitasya naṣṭasya prāg abhāvād anityataḥ |	taTA sTitasya nazwasya prAk aBAvAt anityataH |
   tṛtīyapakṣābhāvāc ca pratyayatvaṃ na yujyate || AMsa_18.100 ||	tRtIya pakza aBAvAt ca pratyaya tvam na yujyate || AMsaH _18.100 ||
   sarvadharmā anātmānaḥ paramārthena śūnyatā |	sarva DarmAH anAtmAnaH parama arTena SUnyatA |
   ātmopalambhe doṣaś ca deśito yata eva ca || AMsa_18.101 ||	Atma upalamBe dozaH ca deSitaH yatas eva ca || AMsaH _18.101 ||
   saṃkleśavyavadāne ca avasthāc chedabhinnake |	saMkleSa vyavadAne ca avasTAt Ceda Binnake |
   vṛttisaṃtānabhedo hi pudgalenopadarśitaḥ || AMsa_18.102 ||	vRtti saMtAna BedaH hi pudgalena upadarSitaH || AMsaH _18.102 ||
   ātmadṛṣṭir anutpādyā abhyāso 'nādikālikaḥ |	Atma dRzwiH anutpAdyAH aByAsaH anAdi kAlikaH |
   ayatnamokṣaḥ sarveṣāṃ na mokṣaḥ pudgalo 'sti vā || AMsa_18.103 ||	ayatna mokzaH sarvezAm na mokzaH pudgalaH asti vA || AMsaH _18.103 ||
   pudgalaḥ kim astīti vaktavyo nāstīti vaktavyaḥ | āha |	pudgalaH kim asti iti vaktavyaH na asti iti vaktavyaH | Aha |
   prajñaptyastitayā vācyaḥ pudgalo dravyato na tu |	prajQapti astitayA vAcyaH pudgalaH dravyataH na tu |
   yataś ca prajñaptito 'stīti vaktavyo dravyato nāstīti vaktavyaḥ | evam	yatas ca prajQaptitaH asti iti vaktavyaH dravyataH na asti iti vaktavyaH | evam
   anekāṃśavādaparigrahe naivāstitve doṣāvakāśo na nāstitve | sa punar	aneka aMSa vAda parigrahe na eva astitve doza avakASaH na na astitve | sa punar 
   dravyato nāstīti kathaṃ veditavyaḥ | nopalambhāt | na hi sa dravyata	dravyataH na asti iti kaTam veditavyaH | na upalamBAt | na hi sa dravyata
   upalabhyate rūpādivat upalabdhir hi nāma buddhyā pratipattiḥ | na ca	upalaByate rUpa Adi vat upalabDiH hi nAma budDyA pratipattiH | na ca
   pudgalaṃ buddhyā na pratipadyante pudgalavādinaḥ | uktaṃ ca bhagavatā |	pudgalam budDyA na pratipadyante pudgala vAdinaH | uktam ca BagavatA |
   dṛṣṭa eva dharme ātmānam nupalabhate prajñāpayatīti kathaṃ nopalabdhā	dRzwaH eva Darme AtmAnam nupalaBate prajQApayati iti kaTam na upalabDA
   bhavati | na sa evam upalabhyamāno dravyata upalabdho bhavati | kiṃ	Bavati | na saH evam upalaByamAnaH dravyate upalabDaH Bavati | kim
   kāraṇaṃ | viparyāsāt tathā hy anātmany ātmeti viparyāsa ukto bhagavatā |	kAraNam | viparyAsAt taTA hi anAtmani AtmA iti viparyAsaH uktaH BagavatA |
   tasmād ya evaṃ pudgalagrāho viparyāsaḥ saḥ | katham idaṃ gamyate |	tasmAt yaH evam pudgala grAhaH viparyAsaH saH | kaTam idam gamyate |
   saṃkleśāt | satkāyadṛṣṭikleśalakṣaṇo hy eṣa saṃkleśo yad uta ahaṃ mameti |	saMkleSAt | sat kAya dRzwi kleSa lakzaNaH hi eza saMkleSaH yat uta aham mama iti |
   na ca viparyāsaḥ saṃkleśo bhavitum arahati | na caiṣa saṃkleśa iti kathaṃ	na ca viparyAsaH saMkleSaH Bavitum arahati | na ca eza saMkleSaH iti kaTam
   veditavyaṃ | kliṣṭahetutaḥ | tathā hi tadhetukāḥ kliṣṭā (Msa 156) rāgādaya	veditavyam | klizwa hetutaH | taTA hi taDetukAH klizwAH (Msa 156) rAga Adaya
   utpadyante |	utpadyante |
   yatra punar vastuni rūpādisaṃjñake prajñaptiḥ pudgala iti tasmāt kim	yatra punar vastuni rUpa Adi saMjQake prajQaptiH pudgalaH iti tasmAt kim
   ekatvena pudgalo vaktavya āhosvid anyatvena | āha |	eka tvena pudgalaH vaktavyaH Ahosvit anya tvena | Aha |
   ekatvānyatvato vācyas tasmād asau |	ekatva anyatvataH vAcyaH tasmAt asO |
   kiṃ kāraṇaṃ | doṣadvayāt | katamasmād doṣadvayāt |	kim kAraNam | doza dvayAt | katamasmAt doza dvayAt |
   skandhātmatvaprasaṅgāc ca taddravyatvaprasaṅgataḥ |	skanDa Atma tva prasaFgAt ca tad dravya tva prasaFgataH |
