   || sūtraprasthānam ||	|| sUtra-prasTAnam ||
   brahmadviḍ brahmadarśī ca tamomokṣāvavāpnutaḥ // MAnuv_4,1.59 //	brahma-dviz brahmadarSI ca tamaH-mokzO=-avApnutaH // Ma-anuv_4,1.59 //
   brahmāṇaṃ śatakālāttu pūrvamārabdhasaṅkṣayaḥ /	brahmANam Sata-kAlAt-tu pUrvam-ArabDa-saFkzayaH /
   brahmaṇastveva tāvattvaṃ pañcāśad brahmaṇastathā /	brahmaNaH-tu-eva tAvat-tvam paQcASat brahmaNaH-taTA /
   rudrasya viṃśadeva syādindrasyārkādike daśa // MAnuv_4,1.60 //	rudrasya viMSat-eva syAt-indrasya-arka-Adike daSa // Ma-anuv_4,1.60 //
   anyeṣāṃ brahmamātrasya tvanta ārabdhasaṅkṣayaḥ /	anyezAm brahma-mAtrasya tu-antaH ArabDa-saFkzayaH /
   brahmaṇaiva sahātaśca paraṃ nārāyaṇaṃ vrajet /	brahmaNA-eva sahAtas-ca param nArAyaNam vrajet /
   iti sattattvavacanaṃ svayaṃ bhagavatoditam // MAnuv_4,1.61 //	iti sat-tattva-vacanam svayam BagavatA-uditam // Ma-anuv_4,1.61 //
   || iti śrīmadānandatīrthabhagavatpādācāryaviracite	|| iti SrImat-Ananda-tIrTa-Bagavat-pAda-AcArya-viracite
   śrīmadbrahmasūtrānuvyākhyāne caturthādhyāyasya prathamaḥ pādaḥ ||	SrImat-brahmasUtra-anuvyAKyAne caturTa-aDyAyasya praTamaH pAdaH ||
   devānāṃ ca manuṣyāṇāmetāvat samameva hi /	devAnAm ca manuzyANAm-etAvat samam-eva hi /
   utkrāntimārgau devānāṃ na prāyeṇa bhaviṣyataḥ // MAnuv_4,2.1 //	utkrAnti-mArgO devAnAm na prAyeNa BavizyataH // Ma-anuv_4,2.1 //
   karmakṣayasatathotkrāntirmārgo bhogaścatuṣyayam /	karma-kzaya-sa-taTa-utkrAntiH-mArgaH BogaH-catuzyayam /
   phalaṃ mokṣa iti proktaḥ kramāt pādeṣu coditaḥ // MAnuv_4,2.2 //	Palam mokzaH iti proktaH kramAt pAdezu coditaH // Ma-anuv_4,2.2 //
   sraṣṭṛṣveva tu sṛjyānāṃ praveśo brahmaṇo laye /	srazwRzu-eva tu sRjyAnAm praveSaH brahmaNaH laye /
   devānāṃ mārga uddiṣṭo nārcirādirnacotkramaḥ // MAnuv_4,2.3 //	devAnAm mArgaH uddizwaH na-arcirAdiH-naca-utkramaH // Ma-anuv_4,2.3 //
   sraṣṭustu grāsabhūtasya dehastatra layaṃ vrajet /	srazwuH-tu grAsa-BUtasya dehaH-tatra layam vrajet /
   yataḥ sṛjyasya devasya naivotkrāntistato bhavet // MAnuv_4,2.4 //	yatas sRjyasya devasya na-eva-utkrAntiH-tatas Bavet // Ma-anuv_4,2.4 //
   layāccaivārcirādīnāṃ lokānāmapi sarvaśaḥ /	layAt-ca-eva-arcira-AdInAm lokAnAm-api sarvaSas /
   kathaṃ mārgo bhavet teṣāṃ viśatāmuttamaṃ svataḥ // MAnuv_4,2.5 //	kaTam mArgaH Bavet tezAm viSatAm-uttamam svatas // Ma-anuv_4,2.5 //
   jātānāṃ mānuṣe loke devānāṃ ca kadācana /	jAtAnAm mAnuze loke devAnAm ca kadAcana /
   utkrāntimārgau bhavato na tadā muktiriṣyate // MAnuv_4,2.6 //	utkrAnti-mArgO BavataH na tadA muktiH-izyate // Ma-anuv_4,2.6 //
   anyeṣāmapi sākṣāttu muktiḥ prāpyāpi taṃ harim /	anyezAm-api sAkzAt-tu muktiH prApya-api tam harim /
   sahaiva brahmaṇā bhūyāditi śāstrasya nirṇayaḥ // MAnuv_4,2.7 //	saha-eva brahmaNA BUyAt-iti SAstrasya nirNayaH // Ma-anuv_4,2.7 //
   kṣmāmbhonalānilaviyanmanaindriyārthabhūtādibhiḥ parivṛtaḥ	kzmA-amBaH-nala-anila-viyat-ma-nA-Endriya-arTa-BUta-AdiBiH parivRtaH
   pratisañjighṛkṣuḥ /	pratisaQjiGRkzuH /
   avyākṛtaṃ viśati yarhi guṇatrayātmā kālaṃ paraṃ svamanubhūya paraḥ	avyAkRtam viSati yarhi guNatraya-AtmA kAlam param svam-anuBUya paraH
   svayambhūḥ // MAnuv_4,2.8 //	svayamBUH // Ma-anuv_4,2.8 //
   evaṃ paretya bhagavantamanupraviṣṭā ye yogino jitamarunmanaso virāgāḥ /	evam paretya Bagavantam-anupravizwAH ye yoginaH jita-marut-manasaH virAgAH /
   tenaiva sākamamṛtaṃ puruṣaṃ purāṇaṃ brahma pradhānamupayāntyagatābhimānāḥ	tena-eva sAkam-amRtam puruzam purANam brahma praDAnam-upayAnti-agata-aBimAnAH
   // MAnuv_4,2.9 //	// Ma-anuv_4,2.9 //
   bhagavantamanuprāptā api tu brahmaṇā saha /	Bagavantam-anuprAptAH api tu brahmaNA saha /
   paramaṃ mokṣamāyānti liṅgabhaṅgena yoginaḥ // MAnuv_4,2.10 //	paramam mokzam-AyAnti liFga-BaFgena yoginaH // Ma-anuv_4,2.10 //
   prāptā api paraṃ devaṃ sahaiva brahmaṇā punaḥ /	prAptAH api param devam saha-eva brahmaNA punar /
   ānandavyaktiyāyānti pūrṇāṃ liṅgasya bhaṅgataḥ // MAnuv_4,2.11 //	Ananda-vyaktiyAyAnti pUrNAm liFgasya BaFgataH // Ma-anuv_4,2.11 //
   iti śrutipurāṇoktibalād vijñāyate ca tat /	iti Sruti-purANa-ukti-balAt vijQAyate ca tat /
   bhogastu sarvadevānāṃ narādīnāṃ ca vidyate // MAnuv_4,2.12 //	BogaH-tu sarva-devAnAm nara-AdInAm ca vidyate // Ma-anuv_4,2.12 //
   tatra praveśo devānāmuttarottarataḥ kramāt /	tatra praveSaH devAnAm-uttarottarataH kramAt /
   ucyate dehagānāṃ ca vṛttīnāmevameva tu // MAnuv_4,2.13 //	ucyate deha-gAnAm ca vRttInAm-evam-eva tu // Ma-anuv_4,2.13 //
   tatra mokṣasvarūpaṃ tu vādinaḥ pratibhāśrayāt /	tatra mokza-svarUpam tu vAdinaH pratiBA-ASrayAt /
   nānā vadanti puṃsāṃ hi matayo guṇabhedataḥ /	nAnA vadanti puMsAm hi matayaH guNa-BedataH /
   pṛthak pṛthak prajāyante tamasaivānyathāmatiḥ // MAnuv_4,2.14 //	pRTak pRTak prajAyante tamasA-eva-anyaTAmatiH // Ma-anuv_4,2.14 //
   rajasā miśrabuddhitvaṃ sattvenaiva yathā matiḥ /	rajasA miSra-budDi-tvam sattvena-eva yaTA matiH /
   guṇātītā vimuktānāṃ matiḥ śuddhacitiryataḥ // MAnuv_4,2.15 //	guNa-atItA vimuktAnAm matiH SudDa-citiH-yatas // Ma-anuv_4,2.15 //
   sāmyagevātha nityā ca tattanmāhātmyayogataḥ /	sAmyak-evA-aTa nityA ca tad-tad-mAhAtmya-yogataH /
   bahaḷā cātiviśadā spaṣṭā caiva śriyo matiḥ // MAnuv_4,2.16 //	baha?A ca-ati-viSadA spazwA ca-eva SriyaH matiH // Ma-anuv_4,2.16 //
   mahāśuddhacititvena tato 'pyatimahācitiḥ /	mahA-SudDa-citi-tvena tatas api-ati-mahA-citiH /
   aśeṣoruviśeṣāṇāmatispaṣṭatayā dṛśiḥ /	aSeza-uru-viSezANAm-ati-spazwa-tayA dRSiH /
   nityamekaprakārā ca nārāyaṇamatiḥ parā // MAnuv_4,2.17 //	nityam-eka-prakArA ca nArAyaNa-matiH parAH // Ma-anuv_4,2.17 //
   sūryaprabhāvadakhilaṃ bhāsayanti nirantarā /	sUrya-praBAvat-aKilam BAsayanti nirantarA /
   nirlepā vītadoṣā ca nityamevāvikāriṇī // MAnuv_4,2.18 //	nirlepA vIta-dozA ca nityam-eva-avikAriNI // Ma-anuv_4,2.18 //
   viśeṣāṃsatadgatāṃstyaktavā prāyastallakṣaṇā śriyaḥ /	viSeza-aMsa-tad-gatAn=-tyaktavA prAyas-tad-lakzaNA SriyaH /
   tathaiva spaṣṭatābhāvāt tattantratvācca kevalam /	taTA-eva spazwa-tA-BAvAt tad-tantra-tvAt-ca kevalam /
   na tādṛśī brahmaṇastu prāya eva śriyo yathā // MAnuv_4,2.19 //	na tAdRSI brahmaNaH-tu prAyas eva SriyaH yaTA // Ma-anuv_4,2.19 //
   muktānāṃ tu tadanyeṣāṃ samudrataraḷopamā /	muktAnAm tu tad-anyezAm samudratara?A-upamA /
   agnijvālāvadeva syāt smṛtigānāṃ dṛśo bhavaḥ // MAnuv_4,2.20 //	agni-jvAlA-vat-eva syAt smRti-gAnAm dRSaH BavaH // Ma-anuv_4,2.20 //
   evaṃvidheṣu jñāneṣu tamasā muṣyadṛṣṭayaḥ /	evaMviDezu jQAnezu tamasA muzya-dRzwayaH /
   khadyotasadṛśātyalpajñānatvādanyathādṛśaḥ /	Kadyota-sadRSa-ati-alpa-jQAna-tvAt-anyaTA-dRSaH /
   vadanti vādino mokṣaṃ nānāmatasamāśrayāt // MAnuv_4,2.21 //	vadanti vAdinaH mokzam nAnA-mata-samASrayAt // Ma-anuv_4,2.21 //
   āśritya pratibhāmāha jinastatrātitāmasīm /	ASritya pratiBAm-Aha jinaH-tatra-atitAmasIm /
   jñānāt karmakṣayānmokṣo bhaved dehākhyapañjarāt // MAnuv_4,2.22 //	jQAnAt karma-kzayAt-mokzaH Bavet deha-AKya-paQjarAt // Ma-anuv_4,2.22 //
   pañjaronmuktakhagavadalākākāśagocaraḥ /	paQjara-unmukta-Kaga-vat-alAkA-kASa-gocaraH /
   nityamūrdhvaṃ vrajatyeva pudgalo hastapādavān // MAnuv_4,2.23 //	nityam-UrDvam vrajati-eva pudgalaH hasta-pAdavAn // Ma-anuv_4,2.23 //
   iti tat kena mānena mokṣarūpaṃ pradṛśyate /	iti tat kena mAnena mokza-rUpam pradRSyate /
   gatirūrdhvā ca duḥkhetā gatitvāllaukikī yathā /	gatiH-UrDvA ca duHKetA gati-tvAt-lOkikI yaTA /
   ityukte cānumānaikaśaraṇasya kimuttaram // MAnuv_4,2.24 //	iti-ukte ca-anumAna-eka-SaraNasya kim-uttaram // Ma-anuv_4,2.24 //
   anūrdhvagatitā tatra yadyupādhiḥ khagasya ca /	anUrDva-gati-tA tatra yadi-upADiH Kagasya ca /
   dūrordhvagamane duḥkhamiti sādhyānugo na saḥ // MAnuv_4,2.25 //	dUra-UrDva-gamane duHKam-iti sADya-anugaH na saH // Ma-anuv_4,2.25 //
   pratisādhanarūpasya nānumānasya dūṣaṇam /	pratisADana-rUpasya na-anumAnasya dUzaNam /
   upādhiḥ pratirūpaṃ hi sādhanaṃ tannacāparam // MAnuv_4,2.26 //	upADiH pratirUpam hi sADanam tat-na-ca-aparam // Ma-anuv_4,2.26 //
   athāpi saśarīratvaṃ cātropādhirna vai bhavet /	aTa-api sa-SarIra-tvam ca-atra-upADiH-na vE Bavet /
   gatitvaṃ yatra dehitvamiti yat sādhanānugam // MAnuv_4,2.27 //	gati-tvam yatra dehi-tvam-iti yat sADana-anugam // Ma-anuv_4,2.27 //
   āgamānanusāritve prasaṅgo 'yaṃ yatastataḥ /	AgamAn-anusAri-tve prasaFgaH ayam yatas-tatas /
   nāpasiddhāntatā doṣaḥ prasaṅge yadi sā bhavet /	na-apasidDAnta-tA dozaH prasaFge yadi sA Bavet /
   tadaivātiprasaṅgaḥ syānna pasaṅgaḥ kvacid bhavet // MAnuv_4,2.28 //	tadA-eva-atiprasaFgaH syAt-na pasaFgaH kvacid Bavet // Ma-anuv_4,2.28 //
   lokākāśagatitvaṃ cedupādhiḥ sādhanānugaḥ /	loka-AkASa-gati-tvam ced-upADiH sADana-anugaH /
   so 'pītyukte vadet kiṃ sa tasmād vedodito bhavet // MAnuv_4,2.29 //	saH api-iti-ukte vadet kim sa tasmAt veda-uditaH Bavet // Ma-anuv_4,2.29 //
   mokṣa evaṃ svayaṃ viṣṇuryadyapīśo hyaśeṣavit /	mokzaH evam svayam vizNuH-yadi-api-ISaH hi-aSeza-vid /
   cakāra saugatamataṃ mohāyaiva cakāra yat // MAnuv_4,2.30 //	cakAra sOgata-matam mohAya-eva cakAra yat // Ma-anuv_4,2.30 //
   asurāṇāmayogyānāṃ vedamārge pravartatām /	asurANAm-ayogyAnAm vedamArge pravartatAm /
   ato 'surādhikāratvānna grāhyaṃ tanmataṃ kvacit // MAnuv_4,2.31 //	atas asura-aDikAra-tvAt-na grAhyam tat-matam kvacid // Ma-anuv_4,2.31 //
   catuṣprakāraṃ taccoktaṃ śūnyaṃ vijñānamekalam /	catuzprakAram tat-ca-uktam SUnyam vijQAnam-ekalam /
   anumeyabahistattvaṃ tathā pratyakṣabāhyagam // MAnuv_4,2.32 //	anumeya-bahis-tattvam taTA pratyakza-bAhya-gam // Ma-anuv_4,2.32 //
   iti tatra tu ye śūnyaṃ vadantyajñānamohitaḥ /	iti tatra tu ye SUnyam vadanti-ajQAna-mohitaH /
   te mokṣaṃ tādṛśaṃ brūyurniśśaṅkaṃ māyino yathā // MAnuv_4,2.33 //	te mokzam tAdRSam brUyuH-niSSaFkam mAyinaH yaTA // Ma-anuv_4,2.33 //
   na kiñcinamuktayavasthāyāmātmātmīyamathāpi vā /	na kiQcina-mukta-yavasTAyAm-AtmA-atmIyam-aTa-api vA /
   ekasmin saṃsṛtermukte na kiñcidavaśiṣyate // MAnuv_4,2.34 //	ekasmin saMsRteH-mukte na kiQcid-avaSizyate // Ma-anuv_4,2.34 //
   tatsaṃvṛtyaiva bhedo 'yaṃ cetanācetanātmakaḥ /	tad-saMvRtyA-eva BedaH ayam cetana-acetana-AtmakaH /
   dṛśyate saṃvṛterdhvaṃse nirviśeṣaiva śūnyatā // MAnuv_4,2.35 //	dRSyate saMvRteH-DvaMse nirviSeza-eva SUnyatA // Ma-anuv_4,2.35 //
   na sattvaṃ naiva cāsattvaṃ śūnyatattvasya vidyate /	na sattvam na-eva ca-asattvam SUnya-tattvasya vidyate /
   na sukhatvaṃ na duḥkhatvaṃ na viśeṣo 'pi kaścana // MAnuv_4,2.36 //	na suKa-tvam na duHKa-tvam na viSezaH api kaScana // Ma-anuv_4,2.36 //
   nirviśeṣaṃ syayambhātaṃ nirlepamajarāmaram /	nirviSezam syayamBAtam nirlepam-ajara-amaram /
   śūnyaṃ tattvamasambādhaṃ nānāsaṃvṛtivarjitam // MAnuv_4,2.37 //	SUnyam tattvam-asambADam nAnA-saMvRti-varjitam // Ma-anuv_4,2.37 //
   aśeṣadoṣarahitaṃ manovācāmagocaram /	aSeza-doza-rahitam manaH-vAcAm-agocaram /
   mokṣa ityucyate 'sadbhirnānāsaṃvṛtidūṣitam // MAnuv_4,2.38 //	mokzaH iti-ucyate asadBiH-nAnA-saMvRti-dUzitam // Ma-anuv_4,2.38 //
   saṃsṛtyavasthaṃ vijñeyaṃ saṃvṛtyaiva viśeṣyate /	saMsRti-avasTam vijQeyam saMvRtya-eva viSezyate /
   sthitayā dhvastayā caiva saṃsṛtirmokṣa ityapi // MAnuv_4,2.39 //	sTitayA DvastayA ca-eva saMsRtiH-mokzaH iti-api // Ma-anuv_4,2.39 //
   kecit teṣvanyathā prāhuḥ saṃvṛtyaiva tvanekadhā /	kecid tezu-anyaTA prAhuH saMvRtya-eva tu-anekaDA /
   avacchinnaṃ mahāśūnyaṃ nānānapudgalaśabditam // MAnuv_4,2.40 //	avacCinnam mahA-SUnyam nAnAna-pudgala-Sabditam // Ma-anuv_4,2.40 //
   yasya śūnyaikarasatā jñānāt sā tvapagacchati /	yasya SUnya-eka-rasa-tA jQAnAt sA tu-apagacCati /
   sa pudgalatvanirmukto mahāśūnyatvameṣyati // MAnuv_4,2.41 //	sa pudgala-tva-nirmuktaH mahA-SUnya-tvam-ezyati // Ma-anuv_4,2.41 //
   saṃvṛtyānyastvavacchinno duḥkhānyanubhavatyalam /	saMvRtya-anyaH-tu-avacCinnaH duHKAni-anuBavati-alam /
   ityevaṃ māyinaścāhurekajīvatvavādinaḥ // MAnuv_4,2.42 //	iti-evam mAyinaH-ca-AhuH-eka-jIva-tva-vAdinaH // Ma-anuv_4,2.42 //
   bahujīvamatāśceti māyā teṣāṃ tu saṃvṛtiḥ /	bahu-jIva-matAH-ca-iti mAyA tezAm tu saMvRtiH /
   nirviśeṣatvavācaiva śūnyaṃ brahmaiva no bhidā // MAnuv_4,2.43 //	nirviSeza-tva-vAcA-eva SUnyam brahma-eva naH BidA // Ma-anuv_4,2.43 //
   saccitsukhādikaṃ caiva kiṃ kuto 'khaṇḍavādinaḥ /	saccit-suKa-Adikam ca-eva kim kutas aKaNxa-vAdinaH /
   vyāvartyamātrabhedastu vidyate śūnyavādinaḥ // MAnuv_4,2.44 //	vyAvartya-mAtra-BedaH-tu vidyate SUnya-vAdinaH // Ma-anuv_4,2.44 //
   anṛtāderapohaṃ tu svayameva hi manyate /	anRta-AdeH-apoham tu svayam-eva hi manyate /
   nirviśeṣatvato naiva viśeṣo brahmaśūnyayoḥ // MAnuv_4,2.45 //	nirviSeza-tvataH na-eva viSezaH brahma-SUnyayoH // Ma-anuv_4,2.45 //
   prāmāṇyādi ca vedasya phalataḥ samameva hi /	prAmANya-Adi ca vedasya Palatas samam-eva hi /
   atattvāvedakaṃ yasmāt pramāṇaṃ tena kathyate /	atattva-avedakam yasmAt pramANam tena kaTyate /
   atattvāvedakatvaṃ yadaprāmāṇyaṃ satāṃ matam // MAnuv_4,2.46 //	atattva-avedaka-tvam yat-aprAmANyam satAm matam // Ma-anuv_4,2.46 //
   dīrghabhrāntikarī cet syādatattvāvedakapramā /	dIrGa-BrAnti-karI ced syAt-atattva-Avedaka-pramA /
   rajjusarpādivijñānādapyādhikyādamānatā /	rajju-sarpa-Adi-vijQAnAt-api-ADikya-adamAna-tA /
   syādāgamasyānivartyamahāmohapradatvataḥ // MAnuv_4,2.47 //	syAt-Agamasya-anivartya-mahA-moha-pradatvataH // Ma-anuv_4,2.47 //
   talanailyādivijñānamākāśe mānatāṃvrajet /	talanElya-Adi-vijQAnam-AkASe mAna-tAM-vrajet /
   chatrākāratvavijñānaṃcandraprādeśatāmatiḥ // MAnuv_4,2.48 //	Catra-AkAra-tva-vijQAnaMcandra-prAdeSa-tA-matiH // Ma-anuv_4,2.48 //
   nirbhedatvaṃ tu śūnyasya tenāpyaṅgīkṛtaṃ sadā /	nirBeda-tvam tu SUnyasya tena-api-aFgIkRtam sadA /
   sattvāsattvādidharmāṇāmabhāva ubhayormataḥ // MAnuv_4,2.49 //	sattva-asattva-Adi-DarmANAm-aBAvaH uBaya-UH-mataH // Ma-anuv_4,2.49 //
   na hi satpratiyogitvaṃ śūnyatvaṃ tena ceṣyate /	na hi sat-pratiyogi-tvam SUnya-tvam tena ca-izyate /
   na ca duḥkhavirodhitvādanyā hyānandateṣyate // MAnuv_4,2.50 //	na ca duHKa-viroDi-tvAt-anyA hi-Anandata-izyate // Ma-anuv_4,2.50 //
   māyinā śūnyapakṣe 'pi jñānaṃ jāḍyavirodhi ca /	mAyinA SUnya-pakze api jQAnam jAxya-viroDi ca /
   dharmaste 'pi na santyeva ko viśeṣastatastayoḥ // MAnuv_4,2.51 //	DarmaH-te api na santi-eva kaH viSezaH-tatas-tayoH // Ma-anuv_4,2.51 //
   etādṛśānāṃ pakṣāṇāṃ dūṣaṇaṃ prabhurā kṛtam /	etAdRSAnAm pakzANAm dUzaNam praBurA kRtam /
   svapakṣasādanenaiva nābhāva iti coktitaḥ // MAnuv_4,2.52 //	sva-pakza-sAdanena-eva na-aBAvaH iti ca-uktitaH // Ma-anuv_4,2.52 //
   ātmābhāve pumarthaḥ ka iṣṭasyātmāvadhiryataḥ /	Atma-aBAve pum-arTaH kaH izwasya-Atma-avaDiH-yataH /
   yadi nātmāvadhirmokṣo mokṣaḥ syād ghaṭaśūnyatā /	yadi na-AtmA-avaDiH-mokzaH mokzaH syAt Gawa-SUnyatA /
   kalpitatvād viśeṣāṇāṃ māyino 'pi samaṃ hi tat // MAnuv_4,2.53 //	kalpita-tvAt viSezANAm mAyinaH api samam hi tat // Ma-anuv_4,2.53 //
   dṛśyamāne viśeṣe 'pi yadi cedaviśeṣatā /	dRSyamAne viSeze api yadi ced-aviSeza-tA /
   ghaṭābhāvo 'viśeṣaḥ syāt pāścātyaścedanāgataḥ // MAnuv_4,2.54 //	Gawa-aBAvaH aviSezaH syAt pAScAtyaH-ced-anAgataH // Ma-anuv_4,2.54 //
   na mokṣo vimato yasmādadeho ghaṭaśūnyatā /	na mokzaH vimataH yasmAt-adehaH Gawa-SUnyatA /
   yathetyukte vadet kiṃ sa yo 'numāmātramānakaḥ // MAnuv_4,2.55 //	yaTA-iti-ukte vadet kim sa yaH anumA-mAtra-mAnakaH // Ma-anuv_4,2.55 //
   na ca māyī vadet tatra pūrvoktenaiva vartmanā /	na ca mAyI vadet tatra pUrva-uktena-eva vartmanA /
   amānatvācchrutestasya nacādehatvavādinī // MAnuv_4,2.56 //	amAna-tvAt-SruteH-tasya nacA-deha-tva-vAdinI // Ma-anuv_4,2.56 //
   śrutiḥ kācidadehatvamaprākṛtaśarīragā /	SrutiH kAcid-adeha-tvam-aprAkRta-SarIra-gAH /
   mokṣe bhogaṃ yato brūte jakṣan krīḍanniti śrutiḥ // MAnuv_4,2.57 //	mokze Bogam yatas brUte jakzan krIxan=-iti SrutiH // Ma-anuv_4,2.57 //
   nirduḥkhatvānna tanmokṣaḥ pratipannaṃ yatheti ca /	nirduHKa-tvAt-na tat-mokzaH pratipannam yaTA-iti ca /
   anumādūṣaṇaṃ kiṃ syād vādinoḥ śūnyamāyinoḥ // MAnuv_4,2.58 //	anumAdUzaNam kim syAt vAdinoH SUnya-mAyinoH // Ma-anuv_4,2.58 //
   duḥkhaṃ duḥkhādabhinnatvānmokṣo 'pi syādasaṃśayam /	duHKam duHKAt-aBinna-tvAt-mokzaH api syAt-asaMSayam /
   bhede sadvaitataiva syādityādyamitadoṣataḥ /	Bede sa-dvEtatA-eva syAt-iti-Adi-amita-dozataH /
   heyaṃ māyāmatenaiva saha śūnyamataṃ budhaiḥ // MAnuv_4,2.59 //	heyam mAyA-matena-eva saha SUnya-matam buDEH // Ma-anuv_4,2.59 //
   evaṃ vijñānavādo 'pi jñānamātraviśeṣataḥ /	evam vijQAna-vAdaH api jQAna-mAtra-viSezataH /
   tasyāpi bhaṅguratvādiviśeṣamapahāya hi /	tasya-api BaFgura-tva-Adi-viSezam-apahAya hi /
   advaitatāmataṃ sākṣāduktadoṣastato bhavet // MAnuv_4,2.60 //	advEtatA-matam sAkzAt-ukta-dozaH-tatas Bavet // Ma-anuv_4,2.60 //
   kālo na kevalajñānī kālatvāt pratipannavat /	kAlaH na kevala-jQAnI kAla-tvAt pratipanna-vat /
   etayānumayā rodhānna tādṛṅmokṣarūpatā // MAnuv_4,2.61 //	etayA-anumayA roDAt-na tAdRS-mokza-rUpa-tA // Ma-anuv_4,2.61 //
   yadi kālo 'pi netyāha kadeti praśna uttaram /	yadi kAlaH api na-iti-Aha kadA-iti praSnaH uttaram /
   kiṃ vakṣyati yadāvasthāṃ vadet sā pakṣatāṃ vrajet // MAnuv_4,2.62 //	kim vakzyati yadA-avasTAm vadet sA pakzatAm vrajet // Ma-anuv_4,2.62 //
   avasthātvāditi hyeva hetuḥ sāpi kadeti ca /	avasTAtvAt-iti hi-eva hetuH sA-api kadA-iti ca /
   pṛṣṭe kālaśca vaktavyo nākālatvaṃ tato bhavet // MAnuv_4,2.63 //	pRzwe kAlaH-ca vaktavyaH na-akAla-tvam tatas Bavet // Ma-anuv_4,2.63 //
   na kāla iti sāmānyaniṣedhe kālagapramā /	na kAlaH iti sAmAnya-nizeDe kAlaga-pramA /
   niruṇaddhi vaktavyo nākālatvaṃ tato bhavet // MAnuv_4,2.64 //	niruNadDi vaktavyaH na-akAla-tvam tatas Bavet // Ma-anuv_4,2.64 //
   ekajīvatvapakṣe tu kālābhāvādiyaṃ pramā /	eka-jIva-tva-pakze tu kAla-aBAvAt-iyam pramA /
   kupitā kālamādāya dvaitamevopapādayet // MAnuv_4,2.65 //	kupitA kAlam-AdAya dvEtam-eva-upapAdayet // Ma-anuv_4,2.65 //
   vimataḥ prapañcavān kālaḥ kālatvāt pratipannavat /	vimataH prapaQcavAn kAlaH kAla-tvAt pratipanna-vat /
   iti cānyānumaikatvaṃ jīvasya vinivārayet // MAnuv_4,2.66 //	iti ca-anya-anumEka-tvam jIvasya vinivArayet // Ma-anuv_4,2.66 //
   kālaśabdeśvaraikatvamatānyapyevameva hi /	kAla-Sabda-ISvara-eka-tva-matAni-api-evam-eva hi /
   nirākṛtāni teṣāṃ ca samatvāt pakṣadoṣayoḥ // MAnuv_4,2.67 //	nirAkRtAni tezAm ca samatvAt pakza-dozayoH // Ma-anuv_4,2.67 //
   jñānaṃ svarasabhaṅgayeva nityasantāmiṣyate /	jQAnam svarasa-BaFgayA-iva nitya-santAm-izyate /
   bauddhābhyāmaparābhyāṃ tu tatrāpyuktānumā ripuḥ // MAnuv_4,2.68 //	bOdDAByAm-aparAByAm tu tatra-api-ukta-anumA ripuH // Ma-anuv_4,2.68 //
   mokṣo na śuddhavijñānasantānī kālagatvataḥ /	mokzaH na SudDa-vijQAna-santAnI kAla-gatvataH /
   pratipanno yathetyetadanumānaṃ taduttaram // MAnuv_4,2.69 //	pratipannaH yaTA-iti-etat-anumAnam tad-uttaram // Ma-anuv_4,2.69 //
   anumānāni sarvāṇi pratisādhanayogataḥ /	anumAnAni sarvANi pratisADana-yogataH /
   niṣiddhānyuktabhaṅgayaiva śrutayaścāsmaduktigāḥ // MAnuv_4,2.70 //	nizidDAni-ukta-BaFgayA-eva SrutayaH-ca-asmad-ukti-gAH // Ma-anuv_4,2.70 //
   sāṅkhayanaiyāyikādyāśca prāhurmokṣaṃ tu nissukham /	sAFKaya-nEyAyika-AdyAH-ca prAhuH-mokzam tu nissuKam /
   icchādveṣaprayatnāderapi sarvātmanā layam // MAnuv_4,2.71 //	icCA-dveza-prayatna-AdeH-api sarva-AtmanA layam // Ma-anuv_4,2.71 //
   tatrāhurnaitadapyatra śobhanaṃ śrutayo yataḥ /	tatra-AhuH-na-etat-api-atra SoBanam SrutayaH yatas /
   mahānandaṃ ca bhogaṃ ca niyamena vadanti hi // MAnuv_4,2.72 //	mahAnandam ca Bogam ca niyamena vadanti hi // Ma-anuv_4,2.72 //
   prākṛtapriyahānistu priyāspṛṣṭiritīryate /	prAkRta-priya-hAniH-tu priyA-spRzwiH-iti-Iryate /
   apriyaṃ pratikūlaṃ tadaviśeṣeṇa śabditam // MAnuv_4,2.73 //	apriyam pratikUlam tat-aviSezeNa Sabditam // Ma-anuv_4,2.73 //
   nāsti hyaprākṛtaṃ duḥkhaṃ sato jīvasya kutracit /	na-asti hi-aprAkRtam duHKam sataH jIvasya kutracid /
   priyaṃ svarūpamevāsya balānandādivākyataḥ // MAnuv_4,2.74 //	priyam svarUpam-eva-asya bala-Ananda-Adi-vAkyataH // Ma-anuv_4,2.74 //
   heyatvādapapriyasyaiva priyahāneraniṣṭhataḥ /	heya-tvAt-apapriyasya-eva priya-hAneH-anizWataH /
   na samastapriyābhāvo mokṣe prokte tu yujyate // MAnuv_4,2.75 //	na samasta-priya-aBAvaH mokze prokte tu yujyate // Ma-anuv_4,2.75 //
   apriyasya svarūpatvamasureṣveva hi śrutam /	apriyasya svarUpa-tvam-asurezu-eva hi Srutam /
   asurā naivamevaṃ ca naivaṃ cākhilamānuṣāḥ /	asurAH na-evam-evam ca na-evam ca-aKila-mAnuzAH /
   ityātmapriyahānāya ko yateta ca buddhimān // MAnuv_4,2.76 //	iti-Atma-priya-hAnAya kaH yateta ca budDimAn // Ma-anuv_4,2.76 //
