   Māgha: Śiśupālavadha	MAGa: ŚiSupAla vaDa
   nṛpāṅghripaughasaṃgharṣādagnivadveṇudāriṇā  // MSpv_19.1 //	nRpa aFGri pa oGa saMGarzAt agni vat veNu dAriNA  // MSpu _19.1 //
   āpatantamamundūrādūrīkṛtaparākramaḥ  /	Apatantam amundUrAt UrIkRta parAkramaH  /
   balo 'valokayāmāsa mātaṅgamiva kesarī  // MSpv_19.2 //	balaH avalokayAmAsa mAtaFgam iva kesarI  // MSpu _19.2 //
   jajaujojājijijjājī taṃ tato 'titatātitut  /	jaja ojaH jAji jit jAjI tam tatas atitata ati tut  /
   bhābho 'bhībhābhibhūbhārārārirarirīraraḥ  // MSpv_19.3 //	Ba ABo aBIBa aBiBU BAra arAriH ariH IraraH  // MSpu _19.3 //
   bhavanbhavāya lokānāmākampitamahītalaḥ  /	Bavan BavAya lokAnAm Akampita mahI talaH  /
   nirghāta iva nirghoṣabhīmastasyāpatadrathaḥ  // MSpv_19.4 //	nirGAtaH iva nirGoza BImaH tasya apatat raTaH  // MSpu _19.4 //
   rāme ripuḥ śarānājimaheṣvāsa vicakṣaṇe  /	rAme ripuH SarAn Aji mahezvAsa vicakzaNe  /
   kopādathainaṃ śitamā maheṣvā sa vicakṣaṇe  // MSpv_19.5 //	kopAt aTa enam SitamAH mahA izvA sa vicakzaNe  // MSpu _19.5 //
   diśamarkamivāvācīm mūrcchāgatamapāharat  /	diSam arkam iva avAcIm mUrcCA gatam apAharat  /
   mandapratāpaṃ taṃ sūtaḥ śīghramājivihāyasaḥ  // MSpv_19.6 //	manda pratApam tam sUtaH SIGram Aji vihAyasaH  // MSpu _19.6 //
   kṛtvā śineḥ śālvacamūṃ saprabhāvā camūrjitām  /	kRtvA SineH SAlva camUm sa praBAvA camUrjitAm  /
   sasarja vaktraiḥ phullābjasaprabhā vācamūrjitām  // MSpv_19.7 //	sasarja vaktrEH Pulla abja sapraBA vAcam UrjitAm  // MSpu _19.7 //
   ulmukena drumaṃ prāpya saṃkucatpatrasaṃpadam  /	ulmukena drumam prApya saMkucat patra saMpadam  /
   tejaḥ prakiratā dikṣu sapratāpamadīpyata  // MSpv_19.8 //	tejaH prakiratA dikzu sa pratApam adIpyata  // MSpu _19.8 //
   pṛthoradhyakṣipadhṛdrukmī yayā cāpamudāyudhaḥ  /	pRTaH raDyakzi paDRt rukmI yayA ca Apam udAyuDaH  /
   tayaiva vācāpagamaṃ yayācāpamudāyudhaḥ  // MSpv_19.9 //	tayA eva vAcA apagamam yayAcApam udAyuDaH  // MSpu _19.9 //
   samaṃ samantato rājñāmāpatantīranīkinīḥ  /	samam samantataH rAjQAm Apa tantIra nIkinIH  /
   kārṣṇiḥ pratyagrahīdekaḥ sārasvāniva nimnagāḥ  // MSpv_19.10 //	kArzNiH pratyagrahIt ekaH sArasvAn iva nimnagAH  // MSpu _19.10 //
   dadhānairghanasādṛśyaṃ lasadāyasadaṃśanaiḥ  /	daDAnEH Gana sAdRSyam lasat Ayasa daMSanEH  /
   tatra  kāñcanasacchāyā sasṛje taiḥ śarāśaniḥ  // MSpv_19.11 //	tatra  kAQcana sacCAyA sasRje tEH Sara aSaniH  // MSpu _19.11 //
   nakhāṃśumañjarīkīrṇamasautarurivoccakaiḥ  /	naKa aMSu maQjarI kIrNam asOtaruH iva uccakEs  /
   babhau vibhramaddhanuḥśākhāmadhirūḍhaśilīmukhām  // MSpv_19.12 //	baBO viBramat DanuH SAKAm aDirUXa SilImuKAm  // MSpu _19.12 //
   prapya bhīmamasau janyaṃ saujanyaṃ dadhadānate  /	prapya BImam asO janyam sOjanyam daDa dAnate  /
   vidhyanmumoca na ripūnaripūgāntakaḥ śaraiḥ  // MSpv_19.13 //	viDyat mumoca na ripUn aripUgAntakaH SarEH  // MSpu _19.13 //
   kṛtasya sarvakṣitipairvijayāśaṃsayā puraḥ  /	kRtasya sarva kzitipEH vijaya ASaMsayA puras  /
   anekasya cakārāsau bāṇairbāṇasya khaṇḍanam  // MSpv_19.14 //	anekasya cakAra asO bANEH bANasya KaNxanam  // MSpu _19.14 //
   yābabhāra kṛtānekamāyā senā sasāratām  /	yAbaBAra kRtAn eka mAyA senA sa sAra tAm  /
   dhanuḥ sa karṣanrahitamāyāsenāsasāra tām  // MSpv_19.15 //	DanuH sa karzan rahitam AyAsena asasAra tAm  // MSpu _19.15 //
   ojo mahaujāḥ kṛtvādhastatkṣaṇāduttamaujasaḥ  /	ojaH mahA ojAH kRtvA aDas tad kzaNAt uttama ojasaH  /
   kurvannājāvamukhyatvamanamannāma mukhyatām  // MSpv_19.16 //	kurvan= AjOva muKya tvam anamat nAma muKya tAm  // MSpu _19.16 //
   dūrādeva camūrbhallaiḥ kumāro hanti sa sma yāḥ  /	dUrAt eva camUH BallEH kumAraH hanti sa sma yAH  /
   na punaḥ sāṃyugīṃ tāḥ sma kumāro hanti sasmayāḥ  // MSpv_19.17 //	na punar sAMyugIm tAH sma kumAraH hanti sasmayAH  // MSpu _19.17 //
   nipīḍya tarasā tena muktāḥ kāmamanāsthayā  /	nipIxya tarasA tena muktAH kAma m anAsTayA  /
   upāyayurvilakṣatvaṃ vidviṣo na śilīmukhāḥ  // MSpv_19.18 //	upAyayuH vilakza tvam vidvizaH na SilImuKAH  // MSpu _19.18 //
   tasyāvadānaiḥ samare sahasā romaharṣibhiḥ  /	tasya avadAnEH samare sahasA romahaRziBiH  /
   surairaśaṃsi vyomasthaiḥ saha sāro maharṣibhiḥ  // MSpv_19.19 //	surEH aSaMsi vyoma sTEH saha sAraH mahA RziBiH  // MSpu _19.19 //
   sugandhayaddiśaḥ śubhramamlāni kusumaṃ divaḥ  /	suganDayat diSaH SuBram amlAni kusumam divaH  /
   bhūri tatrāpatattasmādutpapāta divaṃ yaśaḥ  // MSpv_19.20 //	BUri tatra apatat tasmAt utpapAta divam yaSaH  // MSpu _19.20 //
   soḍhuṃ tasya dviṣo nālamavayodharavā raṇam  /	soXum tasya dvizaH na alam avayoDa ravAH raNam  /
   ūrṇunāva yaśaśca dyāmapayodharavāraṇam  // MSpv_19.21 //	UrNunAva yaSaH ca dyAma payoDara vAraNam  // MSpu _19.21 //
   keśapracuralokasya paryaskāri vikāsinā  /	keSa pracura lokasya paryaskAri vikAsinA  /
   śekhareṇeva yuddhasya śiraḥ kusumalakṣmaṇā  // MSpv_19.22 //	SeKareNa iva yudDasya SiraH kusuma lakzmaNA  // MSpu _19.22 //
   sādaraṃ yuddhamānāpi tenānyanarasādaram  /	sa Adaram yudDa mAnA api tena anya narasa Adaram  /
   sā daraṃ pṛtanā ninye hīyamānā rasādaram  // MSpv_19.23 //	sA daram pRtanA ninye hIyamAnAH rasa Adaram  // MSpu _19.23 //
   ityāliṅgatāmālokya jayalakṣmyā jhaṣadhvajam  /	iti AliFga tAm Alokya jaya lakzmyA JazaDvajam  /
   kruddhayeva krudhā sadyaḥ prapede cedibhūpatiḥ  // MSpv_19.24 //	krudDayA iva kruDA sadyas prapede cedi BUpatiH  // MSpu _19.24 //
   ahitānabhi vāhinyā sa mānī caturaṅgayā  /	ahita an aBi vAhinyA sa mAnI catur aFgayA  /
   cacāla vallgatkalabhasamānīcaturaṅgayā  // MSpv_19.25 //	cacAla vallgat kalaBa samAnI caturaFgayA  // MSpu _19.25 //
   tatastatadhanurmaurvīvisphārasphāriniḥsvanaiḥ  /	tatas tata DanuH mOrvI visPAra sPAri niHsvanEH  /
   tūryairyugakṣaye kṣubhyadakūpārānukāriṇī  // MSpv_19.26 //	tUryEH yuga kzaye kzuByada kU pAra anukAriNI  // MSpu _19.26 //
   sakāranānārakāsa kāyasādadasāyakā  /	sa kAra nA nArakAsa kAyasAdadasAyakA  /
   rasāhavāvāhasāra nādavādadavādanā  // MSpv_19.27 //	rasa Ahava AvAhasAra nAda vAda davAdanA  // MSpu _19.27 //
   lolāsikāliyakulā yamasyaiva svasā svayam  /	lola asi kAliya kulAH yamasya eva svasA svayam  /
   cikīrṣurullasallohavarmaśyāmā sahāyatām  // MSpv_19.28 //	cikIrzuH ullasat loha varma SyAmA sahAya tAm  // MSpu _19.28 //
   sāsenāgamanārambhe rasenāsīdanāratā  /	sAsena Agamana AramBe rasena AsIt anAratA  /
   tāranādajanāmatta dhīranāgamanāmayā  // MSpv_19.29 //	tAranAt a janAmatta DIH a nAgam anAmayA  // MSpu _19.29 //
   dhūtadhautāsayaḥ praṣṭhāḥ pratiṣṭhantakṣamābhṛtām  /	DUta DOta asayaH prazWAH pratizWanta kzam ABRtAm  /
   śauryanurāganikaṣaḥ sā hi velānujīvinām  // MSpv_19.30 //	SOrI anurAga nikazaH sA hi velA anujIvinAm  // MSpu _19.30 //
   divaminyudhā gantuṃ komalāmalasampadam  /	divaminyuDA gantum komala amala sampadam  /
   dadhau dadhāno 'silatāṃ ko 'malāmalasampadam  // MSpv_19.31 //	daDO daDAnaH asilatAm kaH amala amala sampadam  // MSpu _19.31 //
   kṛtoruvegaṃ yugapadvyajigīṣanta sainikāḥ  /	kRta Uru vegam yugapad vyajigIzanta sEnikAH  /
   vipakṣaṃ bāhuparighairjaṅghābhiritaretaram  // MSpv_19.32 //	vipakzam bAhu pariGEH jaFGABiH itaretaram  // MSpu _19.32 //
   vāhanājani mānāse sārājāvanamā tataḥ /	vAhana ajani mAnAse sArAja avanamA tatas /
   mattasāragarājebhe bhārīhāvajjanadhvani  // MSpv_19.33 //	matta sAraga rAja iBe BArI hAvat jana Dvani  // MSpu _19.33 //
   nidhvanajjavahārībhā bheje rāgarasāttamaḥ  /	niDvanat java hArIBAH Beje rAga rasAttamaH  /
   tatamānavajārāsā senā mānijanāhavā  // MSpv_19.34 //	tatamAna vajArAsA senA mAni jana AhavA  // MSpu _19.34 //
   abhagnavṛttāḥ prasabhādākṛṣṭā yauvanoddhataiḥ   /	aBagna vRttAH prasaBAt AkRzwAH yOvana udDatEH   /
   cakranduruccakairmuṣṭigrāhyamadhyā dhanurlatāḥ  // MSpv_19.35 //	cakranduruccakEs muzwi grAhya maDyAH DanuH latAH  // MSpu _19.35 //
   kareṇuḥ pramthito 'neko reṇurghaṇṭāḥ sahasraśaḥ  /	kareNuH pramTitaH anekaH reNuH GaNwAH sahasraSas  /
   kareṇuḥ śīkaro jajñe reṇustena śamaṃ yayau  // MSpv_19.36 //	kareNuH SIkaraH jajQe reNuH tena Samam yayO  // MSpu _19.36 //
   dhṛtapratyagraśṛṅgārarasarāgarapi dvipaiḥ  /	DRta pratyagra SRFgAra rasa rAgarapi dvipEH  /
   saroṣasambhramairbarbhre raudra eva raṇe rasaḥ  // MSpv_19.37 //	sa roza samBramEH barBre rOdraH eva raNe rasaH  // MSpu _19.37 //
   na tasthau bhartṛtaḥ prāptamānasampratipattiṣu  /	na tasTO BartRtaH prApta mAna sampratipattizu  /
   raṇaikasargeṣu bhayaṃ mānasaṃ prati pattiṣu  // MSpv_19.38 //	raNa eka sargezu Bayam mAnasam prati pattizu  // MSpu _19.38 //
   bāṇāhitapūrṇatūṇīrakoṭarairdhanviśākhibhiḥ  /	bANa ahita pUrNa tUNIra kowarEH Danvi SAKiBiH  /
   godhāśliṣṭabhujāśākhairabhūdbhīmā raṇāṭavī  // MSpv_19.39 //	goDA Slizwa BujA SAKEH aBUt BImA raNa awavI  // MSpu _19.39 //
   nānājāvavajānānā sā janaughaghanaujasā  /	nAnA jO= avajAnAnA sA jana oGa Gana ojasA  /
   parāniha'hānirāpa tānviyātatayānvitā  // MSpv_19.40 //	parAn iha ahAnirApa tAn viyAta tayA anvitA  // MSpu _19.40 //
   viṣamaṃ sarvatobhadracakragomūtrikādibhiḥ  /	vizamam sarvatoBadra cakra go mUtrika AdiBiH  /
   ślokairivamahākāvyaṃ vyūhaistadabhavadbalam  // MSpv_19.41 //	SlokEH iva mahAkAvyam vyUhEH tad aBavat balam  // MSpu _19.41 //
   saṃhatyā sātvatāṃ caidyaṃ prati bhāsvarasenayā  /	saMhatyA sAtvatAm cEdyam prati BAsvarasenayA  /
   vavale yoddhumutpannapratimā svarasena yā  // MSpv_19.42 //	vavale yodDum utpanna pratimA svarasena yA  // MSpu _19.42 //
   vistīrṇamāyāmavatī lolalokanirantarā  /	vistIrNam AyAmavatI lola loka nirantarA  /
   narendramārgaṃ rathyeva papāta dviṣatāṃ balam  // MSpv_19.43 //	narendra mArgam raTyA iva papAta dvizatAm balam  // MSpu _19.43 //
   vāraṇāgagabhīrā sā sārābhīgagaṇāravā  /	vAraNAga gaBIrA sA sArABIga gaNa AravA  /
   kāritārivadhā senā nāsedhā vāritārikā  // MSpv_19.44 //	kAritAri vaDA senA na AseDA vAri tArikA  // MSpu _19.44 //
   adhināgaṃ prajavino vikasatpicchacāravaḥ  /	aDinAgam prajavinaH vikasat picCa cAravaH  /
   peturbarhiṇadeśīyāḥ śaṅkavaḥ prāṇahāriṇaḥ  // MSpv_19.45 //	petuH barhiNa deSIyAH SaFkavaH prANa hAriNaH  // MSpu _19.45 //
   pravṛttevikasaddhvānaṃsādhanepyaviṣādibhiḥ  /	pravRttevikasat DvA anaMsa aDana Ipya viza AdiBiH  /
   vavṛṣevikasaddānaṃyudhamāpyaviṣāṇibhiḥ  // MSpv_19.46 //	vavRzevika sat dAnaMyuDa m Apya vizANiBiH  // MSpu _19.46 //
   puraḥ prayuktairyuddhaṃ taccalitairlabdhaśuddhibhiḥ  /	puras prayuktEH yudDam tad calitEH labDa SudDiBiH  /
   ālāpairiva gāndharvamadīpyata padātibhiḥ  // MSpv_19.47 //	AlApEH iva gAnDarvam adIpyata padAtiBiH  // MSpu _19.47 //
   kenacitsvāsinānyeṣāṃ maṇḍalāgrānavadyatā  /	kenacid svAsinA ani ezAm maNxalAgrAn avadyatA  /
   prāpe kīrtiplutamahīmaṇḍalāgrānavadyata  // MSpv_19.48 //	prApe kIrti pluta mahI maNxala agrAn avadyata  // MSpu _19.48 //
   vihantuṃ vidviṣastīkṣṇaḥ samameva susaṃhateḥ  /	vihantum vidvizaH tIkzNaH samam eva su saMhateH  /
   parivārātpṛthakcakre khaḍgaścātmā ca kenacit  // MSpv_19.49 //	parivArAt pRTak cakre KaxgaH ca AtmA ca kenacid  // MSpu _19.49 //
   anyena vidadhe 'rīṇāmatimātrā vilāsinā  /	anyena vidaDe arINAm atimAtrA vilAsinA  /
   udgūrṇena camūstūrṇamatimātrāvilāsinā  // MSpv_19.50 //	udgUrNena camUH tUrNam atimAtra Avila asinA  // MSpu _19.50 //
   sahasrapūraṇaḥ kaścillūnamūrdhāsinā dviṣaḥ  /	sahasra pUraNaH kaScid lUna mUrDa asinA dvizaH  /
   tathordhva eva kābandhīmabhajannartanakriyām  // MSpv_19.51 //	taTA UrDvaH eva kAbanDImaBajat nartana kriyAm  // MSpu _19.51 //
   śastravraṇamayaśrīmadalaṅkaraṇabhūṣaṣitaḥ  /	Sastra vraNa maya SrImat alaFkaraNa BUzazitaH  /
   dadṛśe 'nyo rāvaṇavadalaṅkaraṇabhūṣitaḥ  // MSpv_19.52 //	dadRSe anyaH rAvaNa vat alaFkaraNa BUzitaH  // MSpu _19.52 //
   dviṣadviśasanacchedanirastoruyugo 'paraḥ  /	dvizat viSasana= Ceda nirasta Uru yugaH aparaH  /
   siktaścāstrairubhayathā babhūvāruṇavigrahaḥ  // MSpv_19.53 //	siktaH ca astrEH uBayaTA baBUva aruNa vigrahaH  // MSpu _19.53 //
   bhīmatāmaparo 'mbhodhisame 'dhita mahāhave  /	BImatAm aparaH amBoDi same aDita mahA Ahave  /
   dākṣe kopaḥ śivasyeva samedhitamahā have  // MSpv_19.54 //	dAkze kopaH Sivasya iva sameDita mahA have  // MSpu _19.54 //
   dantauścicchidire kopātpratipakṣaṃ gajā iva  /	dantOH cit Cidire kopAt pratipakzam gajAH iva  /
   paranistriṃśanirlūnakaravālāḥ padātayaḥ  // MSpv_19.55 //	para nistriMSa nirlUna karavAlAH padAtayaH  // MSpu _19.55 //
   raṇe rabhasanirbhinnadvipapāṭavikāsini  /	raNe raBasa nirBinna dvipa pAwa vikAsini  /
   na tatra gatabhīḥ kaścidvipapāṭa vikāsini  // MSpv_19.56 //	na tatra gata BIH kaScid vipapAwa vikAsini  // MSpu _19.56 //
   yāvanna satkṛtairbhartuḥ snehasyānṛṇyamicchubhiḥ  /	yAvat na satkRtEH BartuH snehasya anRNyam icCuBiH  /
   amarṣāditaraistāvattatyaje yudhi jīvitam  // MSpv_19.57 //	amarza Adi tarEH tAvat tatyaje yuDi jIvitam  // MSpu _19.57 //
   ayaśobhidurāloke kopadhāmaraṇādṛte  /	ayaSoBi durAloke kopaDA maraNAt Rte  /
   ayaśobhidurā loke kopadhā maraṇādṛte  // MSpv_19.58 //	ayaSoBidurA loke kopaDA maraNAt Rte  // MSpu _19.58 //
   skhalantī nakvacittaikṣṇādabhyagraphalaśālinī  /	sKalantI nakvacid tEkzNAt aByagra Pala SAlinI  /
   amoci śaktiḥ śaktikairlohajā na śarīrajā  // MSpv_19.59 //	amoci SaktiH SaktikEH loha jAH na SarIra jA  // MSpu _19.59 //
   apādi vyāpṛtanayāṃstathā yuyudhire nṛpāḥ  /	apAdi vyApRtanayAn= taTA yuyuDire nRpAH  /
   āpa divyā pṛtanayā vismayaṃ janatā yathā  // MSpv_19.60 //	Apa divyA pRtanayA vismayam janatA yaTA  // MSpu _19.60 //
   svaguṇairāphalaprāpterākṛṣya gaṇikā iva  /	sva guNEH APala prApteH AkRzya gaNikAH iva  /
   kāmukāniva nālīkāṃstriṇantāḥ sahasāmucan  // MSpv_19.61 //	kAmukAn iva nAlIkAn= triNantAH sahasA amucan  // MSpu _19.61 //
   vājinaḥ śatrusainyasya  samārabdhanavājinaḥ  /	vAjinaH Satru sEnyasya  samArabDana vAjinaH  /
   vājinaśca śarā madhyamaviśandrutavājinaḥ  // MSpv_19.62 //	vAjinaH ca SarAH maDyama viSandruta vAjinaH  // MSpu _19.62 //
   puraskṛtya phalaṃ prāptaiḥ satpakṣāśrayayaśālibhiḥ  /	puraskRtya Palam prAptEH sat pakza ASraya ya SAliBiH  /
   kṛtapuṅkhatayā lebhe lakṣamapyāśu mārgaṇaiḥ  // MSpv_19.63 //	kRta puFKa tayA leBe lakzam api ASu mArgaNEH  // MSpu _19.63 //
   raktaśrutiṃ japāsūnasamarāgāmiṣuvyadhāt  /	rakta Srutim japA sUna samara AgAmizu vyaDAt  /
   kaścitpuraḥ sapatneṣu samarāgamiṣuvyadhāt  // MSpv_19.64 //	kaScid puras sapatnezu samara Agamizu vyaDAt  // MSpu _19.64 //
   rayeṇa raṇakāmyantau dūrādupagatavibhau  /	rayeNa raNa kAmI antO dUrAt upagata viBO  /
   gatāsurantarā dantī varaṇḍaka ivābhavat  // MSpv_19.65 //	gatAsuH antarA dantI varaNxakaH iva aBavat  // MSpu _19.65 //
   bhūribhirbhāribhirbhīrairbhūbhārairabhirebhire  /	BUriBiH BAriBiH BIrEH BU BArEH aBiH eBire  /
   bherīrebhibhirabhrābhairabhīrubhiribhairibhāḥ  // MSpv_19.66 //	BerI reBiBiH aBra ABEH aBIruBiH iBEriBAH  // MSpu _19.66 //
   niśitāsilatālūnaistathā hastairna hastinaḥ  /	niSita asi la tA lUnEH taTA hastEH na hastinaH  /
   yudhyamānā yathā dantairbhagnairāpurvihastatāṃ  // MSpv_19.67 //	yuDyamAnAH yaTA dantEH BagnEH ApuH vihasta tAm  // MSpu _19.67 //
   nipīḍanādiva mitho dānatoyanāratam  /	nipIxanAt iva miTas dAna toyanA ratam  /
   vapuṣāmadayāpātādibhānāmabhito 'galat  // MSpv_19.68 //	vapuzA AmadayA pAta Adi BAnAm aBitas agalat  // MSpu _19.68 //
   raṇāṅgaṇaṃ sara iva plāvitaṃ madavāribhiḥ  /	raNa aFgaNam saraH iva plAvitam mada vAriBiH  /
   gajaḥ pṛthukarākṛṣṭaśatapatramaloḍayat  // MSpv_19.69 //	gajaH pRTukara AkRzwa Satapatram aloxayat  // MSpu _19.69 //
   śarakṣate gaje bhṛṅgaiḥ saviṣādiviṣādini  /	Sara kzate gaje BRFgEH sa vizAdi viza Adini  /
   rutavyājena ruditaṃ tatrāsīdatisīdati  // MSpv_19.70 //	ruta vyAjena ruditam tatra AsIt atisIdati  // MSpu _19.70 //
   antakasya pṛthau tatra śayanīya ivāhave  /	antakasya pRTO tatra SayanIyaH iva Ahave  /
   daśanavyasanādīyurmatkuṇatvaṃ mataṅgajāḥ  // MSpv_19.71 //	daSana vyasana AdIyuH matkuNa tvam mataFga jAH  // MSpu _19.71 //
   abhīkamatikeneddhe bhītānandasyanāśane  /	aBIka matikena idDe BIta Anandasya nASane  /
   kanatsakāmasenāke mandakāmakamasyati  // MSpv_19.72 //	kanatsa kAma senAke manda kAma kamasyati  // MSpu _19.72 //
   dadhato 'pi raṇe bhīmamabhīkṣṇaṃ bhāvamāsuram  /	daDataH api raNe BImam aBIkzNam BAvam Asuram  /
   hatāḥ parairabhimukhāḥ surabhūyamupāyayuḥ  // MSpv_19.73 //	hatAH parEH aBimuKAH sura BUyam upAyayuH  // MSpu _19.73 //
   yenāṅgamūhe vraṇavatsarucā parato 'maraiḥ  /	yena aFgam Uhe vraNa vat sarucA paratas amarEH  /
   samatvaṃ sa yayau khaḍgatsarucāparato 'maraiḥ  // MSpv_19.74 //	sama tvam sa yayO Kaxgat sa rucA aparataH amarEH  // MSpu _19.74 //
   nipātitasuhṛtsvāmipitṛvyabhrātṛmātulam  /	nipAtita suhRd svAmi pitRvya BrAtR mAtulam  /
   pāṇinīyamivāvaloki dhīraistatsamarājiram  // MSpv_19.75 //	pANinIyam iva avaloki DIrEH tad samara ajiram  // MSpu _19.75 //
   abhāvi sindhvā sandhyābhrasadṛgrudhiratoyayā  /	aBAvi sinDvA sanDyA aBra sadRS ruDira toyayA  /
   hṛte yoddhuṃ janaḥ pāṃśau sa dṛgrudhi rato yathā  // MSpv_19.76 //	hRte yodDum janaH pAMSO sa dRS ruDi rataH yaTA  // MSpu _19.76 //
   vidalatpuṣkarākīrṇāḥ patacchaṅkhakulākulāḥ  /	vidalat puzkara AkIrNAH patat SaFKa kula AkulAH  /
   taratpatrarathā nadyaḥ prāsarpanraktavārijāḥ  // MSpv_19.77 //	tarat patraraTAH nadyaH prAsarpan rakta vAri jAH  // MSpu _19.77 //
   asṛgjano 'strakṣatimānavamajjavasādanam  /	asRj janaH astra kzatimAn ava majja vasAdanam  /
   rakṣaḥpiśācaṃ mumude navamajjavasādanam  // MSpv_19.78 //	rakzaH piSAcam mumude nava majja vasAdanam  // MSpu _19.78 //
   citraṃ cāpairapetajyaiḥ sphuradraktaśatahṛdam  /	citram ca apEH apeta jyEH sPurat rakta Sata hRdam  /
   payodajālamiva tadvīrāśaṃsanamābabhau  // MSpv_19.79 //	payoda jAlam iva tad vIrA SaMsanam AbaBO  // MSpu _19.79 //
   bandhau vipanne 'nekena nareṇeha tadantike  /	banDO vipanne anekena nareNa iha tad antike  /
   aśoci sainye ghaṇṭābhirna reṇe hatadantike  // MSpv_19.80 //	aSoci sEnye GaNwABiH na reNe hatadantike  // MSpu _19.80 //
   kṛttaiḥ kīrṇā mahī reje dantairgātraiśca dantinām  /	kRttEH kIrNA mahI reje dantEH gAtrEH ca dantinAm  /
   kṣuṇṇalokāsubhirmṛtyormusalolūkhalairiva  // MSpv_19.81 //	kzuNNa loka asuBiH mRtyoH musala ulUKalEH iva  // MSpu _19.81 //
   yuddhamitthaṃ vidhūtānyamānavānabhiyo gataḥ  /	yudDam itTam viDUtA anyamAnavAn aBiyaH gataH  /
   caidyaḥ parānparājigye mānavānabhiyogataḥ  // MSpv_19.82 //	cEdyaH parAn parAjigye mAnavAn aBiyogataH  // MSpu _19.82 //
   atha vakṣomaṇicchāyācchuritāpītavāsasā  /	aTa vakzomaNi= CAyA AcCuritA pIta vAsasA  /
   sphuradindradhanurbhinnataḍiteva taḍittvatā  // MSpv_19.83 //	sPurat indraDanuH Binna taxitA iva taxit tvatA  // MSpu _19.83 //
   nīlenānālanalinanilīnollalanālinā  /	nIlena anAla nalina nilIna ullala nAlinA  /
   lalanālālanenālaṃ līlālolena lālinā  // MSpv_19.84 //	lalanA lAlanena alam lIlA lolena lAlinA  // MSpu _19.84 //
   apūrvayeva tatkālasamāgamasakāmayā  /	apUrvayA iva tad kAla samAgama sa kAmayA  /
   dṛṣṭena rājanvapuṣā kaṭākṣairvijayaśriyā  // MSpv_19.85 //	dRzwena rAjan vapuzA kawAkzEH vijaya SriyA  // MSpu _19.85 //
   vibhāvī vibhavī bhābho vibhābhāvī vivo vibhīḥ  /	viBAvI viBavI BA ABo viBABAvI vivaH viBIH  /
   bhavābhibhāvī bhāvāvo bhavābhāvo bhuvo vibhuḥ  // MSpv_19.86 //	Bava aBiBAvI BAvAvaH Bava aBAvaH BuvaH viBuH  // MSpu _19.86 //
   upaitukāmaistatpāraṃ niścitairyogibhiḥ paraiḥ  /	upEtu kAmEH tad pAram niScitEH yogiBiH parEH  /
   dehatyāgakṛtodyogairadṛśyata paraḥ pumān  // MSpv_19.87 //	dehatyAga kRta udyogEH adRSyata paraH pumAn  // MSpu _19.87 //
   taṃ śriyā ghanayānastarucā sāratayā tayā   /	tam SriyA GanayAnaH tarucA sAratayA tayA   /
   yātayā tarasā cārustanayānaghayā śritam  // MSpv_19.88 //	yAtayA tarasA cAru stanaya anaGayA Sritam  // MSpu _19.88 //
   vidviṣo 'dviṣurudvīkṣya tathāpyāsannirenasaḥ  /	vidvizaH advizuH udvIkzya taTA api Asat nirenasaH  /
   arucyamapi rogaghnaṃ nisargādeva bheṣajam  // MSpv_19.89 //	arucyam api roga Gnam nisargAt eva Bezajam  // MSpu _19.89 //
   viditaṃ divi ke 'nīke taṃ yātaṃ nijitājini  /	viditam divi ke anIke tam yAtam nijitA ajini  /
   vigadaṃ gavi roddhāro yoddhā yo natimeti naḥ  // MSpv_19.90 //	vigadam gavi rodDAraH yodDA yaH natim eti naH  // MSpu _19.90 //
   niyujyamānena puraḥ karmaṇyatigarīyasi  /	niyujyamAnena puras karmaNi atigarIyasi  /
   āropyamāṇoruguṇaṃ bhartrā kārmukamānamat  // MSpv_19.91 //	AropyamANa uru guNam BartrA kArmukam Anamat  // MSpu _19.91 //
   tatra bāṇāḥ suparuṣaḥ samadhīyanta cāravaḥ  /	tatra bANAH suparuzaH samaDIyanta cAravaH  /
   dviṣāmabhūtsuparuṣastasyākṛṣṭasya cāravaḥ  // MSpv_19.92 //	dvizAm aBUt suparuzaH tasya AkRzwasya cAravaH  // MSpu _19.92 //
   paścātkṛtānāmapyasya narāṇāmiva patriṇām  /	paScAt kRtAnAm api asya narANAm iva patriNAm  /
   yoyo guṇena saṃyuktaḥ sa sa karṇāntamāyayau  // MSpv_19.93 //	yaH yaH guNena saMyuktaH sa sa karNa antam AyayO  // MSpu _19.93 //
   prape rūpī purārepāḥ paripūrī paraḥ paraiḥ  /	prape rUpI purArepAH paripUrI paraH parEH  /
   ropairapārairupari pupūre 'pi puro 'paraiḥ  // MSpv_19.94 //	ropEH apArEH upari pupUre api puras aparEH  // MSpu _19.94 //
