   athottarabhāgaprāramabhaḥ	aTa uttara BAga prAramaBaH
   madhyamaścāvagamyaśca jaghanyaśca ghaṭodbhava // BndP_3,34.31 //	maDyamaH ca avagamyaH ca jaGanyaH ca Gawa udBava // Bndu _3,34.31 //
   caturviṃśatirākhyātā ete rudrā mahābalāḥ /	caturviMSatiH AKyAtAH ete rudrAH mahA balAH /
   atha budhnyaḥ somyarudraḥ pratisarpakayāmyakau // BndP_3,34.32 //	aTa buDnyaH somya rudraH pratisarpaka yAmyakO // Bndu _3,34.32 //
   kṣemyovocavakhalyaśca tataḥ ślokyāvasānyakau /	kzemyaH vocava KalyaH ca tatas Slokya avasAnyakO /
   vanyaḥ kakṣyaḥ śravaścaiva tato 'nyastu pratiśravaḥ // BndP_3,34.33 //	vanyaH kakzyaH SravaH ca eva tatas anyaH tu pratiSravaH // Bndu _3,34.33 //
   āśuṣeṇaścāśurathaḥ śūraśca tapasāṃ nidhe /	ASuzeNaH ca ASuraTaH SUraH ca tapasAm niDe /
   avabhindaśca varmī ca varūthī bilminā saha // BndP_3,34.34 //	avaBindaH ca varmI ca varUTI bilminA saha // Bndu _3,34.34 //
   kavacī ca śrutaścaiva seno dundubhya eva ca /	kavacI ca SrutaH ca eva senaH dunduByaH eva ca /
   āhananyaśca dhṛṣṇuśca te ca ṣaḍviṃśatiḥ smṛtāḥ /	AhananyaH ca DRzNuH ca te ca zaxviMSatiH smRtAH /
   dvādaśāvaraṇasthāste mahākāyā mahābalāḥ // BndP_3,34.35 //	dvAdaSa AvaraNa sTAH te mahA kAyAH mahA balAH // Bndu _3,34.35 //
   prabhṛśāścaiva dūtāśca prahitāśca nipaṅgiṇaḥ /	praBRSAH ca eva dUtAH ca prahitAH ca nipaFgiNaH /
   anyastviṣudhimānanyastakṣṇeṣuśca tathā yudhi // BndP_3,34.36 //	anyaH tu izuDimAn anyaH takzNezuH ca taTA yuDi // Bndu _3,34.36 //
   svāyudhaśca sudhanvā ca stutyaḥ pathyaśca kuṃbhaja /	sva AyuDaH ca suDanvA ca stutyaH paTyaH ca kuMBaja /
   kāpyo nāḍhyastathā sūdhaḥ sarasyo vindhyamardana // BndP_3,34.37 //	kApyaH na AXyaH taTA sUDaH sarasyaH vinDya mardana // Bndu _3,34.37 //
   tataścānyo nādhamāno veśantaḥ kupya eva ca /	tatas ca anyaH na aDamAnaH veSantaH kupyaH eva ca /
   avadhavarṣyo 'varṣyaśca medhyo vidyutya eva ca // BndP_3,34.38 //	avaDa varzyaH avarzyaH ca meDyaH vidyutyaH eva ca // Bndu _3,34.38 //
   idhryātapyau tathā vātyau reṣmyaścaiva tathāparaḥ /	iDri AtapyO taTA vAtyO rezmyaH ca eva taTA aparaH /
   vāstavyo vāstupaścaiva somaśceti mahābalāḥ // BndP_3,34.39 //	vAstavyaH vAstupaH ca eva somaH ca iti mahA balAH // Bndu _3,34.39 //
   trayodaśāvaraṇagāñchṛṇu rudrāṃśca tānmune /	trayodaSa AvaraNa gAn SRNu rudrAn= ca tAn mune /
   rudrastāmrāruṇaḥ śaṅgastathā paśupatirmune // BndP_3,34.40 //	rudraH tAmra aruNaH SaFgaH taTA paSupatiH mune // Bndu _3,34.40 //
   ugro bhīmastathaivāgrevadhadūrevadhāvapi /	ugraH BImaH taTA eva agrevaDadUrevaDO= api /
   hantā caiva hanīyāṃśca vṛṣaśca harikeśakaḥ // BndP_3,34.41 //	hantA ca eva hanIyAn= ca vRzaH ca harikeSakaH // Bndu _3,34.41 //
   tāraḥ śaṃbhurmayobhūśca śaṅkaraśca mayaskaraḥ /	tAraH SaMBuH mayoBUH ca SaFkaraH ca mayaskaraH /
   śivaḥ śivataraścaiva tīrthyaḥ kulyastathaiva ca /	SivaH SivataraH ca eva tIrTyaH kulyaH taTA eva ca /
   pāryo 'pāryaḥ prataraṇastathā cottaraṇo mune // BndP_3,34.42 //	pAryaH apAryaH prataraNaH taTA ca uttaraNaH mune // Bndu _3,34.42 //
   ātaryaśca tathā labhyaḥ ṣaṣṭhaḥ phenyastathaiva ca /	AtaryaH ca taTA laByaH zazWaH PenyaH taTA eva ca /
   caturdaśāvaraṇake kathitā rudradevatāḥ // BndP_3,34.43 //	caturdaSa AvaraNake kaTitAH rudra devatAH // Bndu _3,34.43 //
   sikatyaśca pravāhyaśca tatheriṇyastaponidhe /	sikatyaH ca pravAhyaH ca taTA iriNyaH tapaH niDe /
   prapathyaḥ kiṃśilaścaiva kṣayaṇastadanantaram // BndP_3,34.44 //	prapaTyaH kiMSilaH ca eva kzayaNaH tad anantaram // Bndu _3,34.44 //
   kapardī ca pulastyaṃśca goṣṭhyo gṛhyastathaiva ca /	kapardI ca pulastyan= ca gozWyaH gRhyaH taTA eva ca /
   talpayo gehya stathā kāṭyo gahvareṣṭhorudīpakaḥ // BndP_3,34.45 //	talpayaH gehya staTA kAwyaH gahvarezWA UH udIpakaH // Bndu _3,34.45 //
   niveṣṭyaścāpi pāntavyo rathanyaḥ śukya eva ca /	nivezwyaH ca api pAntavyaH raTanyaH SukyaH eva ca /
   harītyalothā lopyāśca uryyasūrmyai tathā mune // BndP_3,34.46 //	hari iti aloTAH lopyAH ca uryya sUrmyE taTA mune // Bndu _3,34.46 //
   payeyaśca parṇaśaśca tathā vaguramāṇakaḥ /	payeyaH ca parNaSaH ca taTA vaguramANakaH /
   abhighnanāśiduścaiva prakhidana kirikāstathā // BndP_3,34.47 //	aBiGna nASiduH ca eva praKidana kirikAH taTA // Bndu _3,34.47 //
   devānāṃ hṛdayaścaiva dvātriṃśadrudradevatāḥ /	devAnAm hRdayaH ca eva dvAtriMSat rudra devatAH /
   vartate sāyudhāḥ prājña nityaṃ pañcādaśāvṛtau // BndP_3,34.48 //	vartate sa AyuDAH prAjQa nityam paQcAdaSa AvRtO // Bndu _3,34.48 //
   ṣoḍaśe tvāvaraṇake pūrvādidvāravartinaḥ /	zoxaSe tu AvaraNake pUrva Adi dvAra vartinaH /
   vikṣiṇatkāvicinvatkāstathā nirhatanāmakāḥ // BndP_3,34.49 //	vikziNat kAvi cinvatkAH taTA nirhata nAmakAH // Bndu _3,34.49 //
   āmīvaktāśca niṣṭaptā mahārudramupāsate /	AmIvaktAH ca nizwaptAH mahA rudram upAsate /
   iti ṣoḍaśaśāleṣu sthitai rudraiḥ sahasraśaḥ // BndP_3,34.50 //	iti zoxaSa SAlezu sTitEH rudrEH sahasraSas // Bndu _3,34.50 //
   sevitastu mahārudro lalitājñāpravartakaḥ /	sevitaH tu mahArudraH lalita AjQA pravartakaH /
   vartate jagatāmṛddhyai muktāśāleśakoṇake // BndP_3,34.51 //	vartate jagatAm RdDyE muktA SAleSa koNake // Bndu _3,34.51 //
   śatarudriyasaṃkhyātā ete rudrā mahābalāḥ /	Satarudriya saMKyAtAH ete rudrAH mahA balAH /
   lalitābhaktimampannānpālayanti divāniśam /	lalitA Baktim ampannAn pAlayanti divAniSam /
   abhaktāṃllaritādevyāḥ pratyūhairyojayantyamī // BndP_3,34.52 //	aBaktAn= laritA devyAH pratyUhEH yojayanti amI // Bndu _3,34.52 //
   itthaṃ śakrādidikpālā suktāśālaṃ samāśritāḥ /	itTam Sakra Adi dikpAlA suktA SAlam samASritAH /
   lalitāparameśvaryāḥ sevāmeva vitanvate // BndP_3,34.53 //	lalita aparameSvaryAH sevAm eva vitanvate // Bndu _3,34.53 //
   atha muktākhyaśālasyāntare mārutayojane /	aTa mukta AKya SAlasya antare mAruta yojane /
   śālomārakatābhikhyaścaturyojanamucchritaḥ // BndP_3,34.54 //	SAlomArakatA aBiKyaH catur yojanam ucCritaH // Bndu _3,34.54 //
   pūrvavadgopurādīnā saṃsthānaiśca suśobhitaḥ /	pUrvavat gopura AdInA saMsTAnEH ca su SoBitaH /
   tatra śrīdaṇḍanāthāyā dahanādividiggatāḥ // BndP_3,34.55 //	tatra SrI daNxanATAyAH dahana Adi vidiggatAH // Bndu _3,34.55 //
   catvāro nilayāḥ proktā mantriṇīgṛhavistarāḥ /	catvAraH nilayAH proktAH mantriNI gRha vistarAH /
   gīticakrarathendrasya yāḥ parvāṇi samāśritāḥ // BndP_3,34.56 //	gIti cakra raTa indrasya yAH parvANi samASritAH // Bndu _3,34.56 //
   bhaṇḍāsuramahāyuddhe tā devyastatra jāgrati /	BaNxa asura mahA yudDe tAH devyaH tatra jAgrati /
   sarvāḥ sthalyo marakataśreṇibhiḥ khacitāḥ śubhāḥ // BndP_3,34.57 //	sarvAH sTalyaH marakata SreNiBiH KacitAH SuBAH // Bndu _3,34.57 //
   hematālavanāḍhyāśca sarvavastusamākulāḥ /	hema tAla vana AXyAH ca sarva vastu samAkulAH /
   tatradevyaḥ samastāśca daṇḍanāthāsamaśriyaḥ // BndP_3,34.58 //	tatra devyaH samastAH ca daNxanATa asama SriyaH // Bndu _3,34.58 //
   haloddharṇahalāddharṇamusalāḥ sañcarantyapi /	hala udDarNa halAt harNa musalAH saQcaranti api /
   saṃkhyātītāstālavṛkṣā navasvarṇavicitritāḥ // BndP_3,34.59 //	saMKyA atItAH tAlavRkzAH nava svarNa vicitritAH // Bndu _3,34.59 //
   yojanāyatakāṇḍāśca dalairyuktā viśaṅkaṭaiḥ /	yojana Ayata kANxAH ca dalEH yuktAH viSaFkawEH /
   hematvaco 'tisusnigdhāḥ sacchāyāḥ phalabhaṅgurāḥ // BndP_3,34.60 //	hema tvacaH ati su snigDAH sa= CAyAH Pala BaFgurAH // Bndu _3,34.60 //
   āmūlāgraṃ lambamānāstālā hālāghaṭākulāḥ /	AmUla agram lambamAnAH tAlAH hAlAGawa AkulAH /
   vartante daṇḍanāthāyāḥ prītyarthaṃ śilpibhiḥ kṛtāḥ // BndP_3,34.61 //	vartante daNxanATAyAH prIti arTam SilpiBiH kRtAH // Bndu _3,34.61 //
   taṃ ca tālarasāpūraṃ pītvāpītvā madākulāḥ /	tam ca tAla rasa apUram pItvA apItvA mad a AkulAH /
   jṛṃbhiṇyādyāścakradevyo hetukādyāśca bhairavāḥ // BndP_3,34.62 //	jRMBiNI AdyAH cakra devyaH hetuka AdyAH ca BEravAH // Bndu _3,34.62 //
   saptanigrahadevyaśca nṛtyanti madavihvalāḥ /	sapta nigraha devyaH ca nRtyanti mada vihvalAH /
   caturvidikṣu daṇḍinyā yatrayatra mahādṛśaḥ // BndP_3,34.63 //	catur vidikzu daNxinyAH yatra yatra mahA dRSaH // Bndu _3,34.63 //
   tatra pūrvādidigbhāge devīsadṛśavarcasaḥ /	tatra pUrva Adi diS BAge devI sadRSa varcasaH /
   unmattabhairavī cava svapneśī sarvatodiśam // BndP_3,34.64 //	unmattaBEravI cava svapna ISI sarvatodiSam // Bndu _3,34.64 //
   nivāso daṇḍanāthāyāḥ kevalaṃ tvābhimānikaḥ /	nivAsaH daNxanATAyAH kevalam tvA aBimAnikaH /
   tasyāstu sevāvāso 'nyo mahāpadmāṭavīsthale /	tasyAH tu sevA vAsaH anyaH mahApadma awavI sTale /
   tatkakṣātidavīyastvānsevārthaṃ tatra tadgṛhaḥ // BndP_3,34.65 //	tad kakzA ati davIyaH tvAn seva arTam tatra tad gRhaH // Bndu _3,34.65 //
   atho marakatākāre śāle tatsaptayojane /	aTo marakata AkAre SAle tad sapta yojane /
   prākāro vidrumākāraḥ prātararyamapāṭalaḥ // BndP_3,34.66 //	prAkAraH vidruma AkAraH prAtar aryam apAwalaH // Bndu _3,34.66 //
   tatra sthalāstu sakalā vidrumaireva nirmitāḥ /	tatra sTalAH tu sakalAH vidrumEH eva nirmitAH /
   tadvadvidrumasaṃkāśo brahmā nalinaviṣṭaraḥ // BndP_3,34.67 //	tadvat vidruma saMkASaH brahmA nalina vizwaraH // Bndu _3,34.67 //
   brahmalokātsamāgatya sārddhaṃ sarvairmunīśvaraiḥ /	brahma lokAt samAgatya sArdDam sarvEH muni ISvarEH /
   sadā śrīlalitādevyāḥ sevanārthamatandritaḥ // BndP_3,34.68 //	sadA SrI lalitA devyAH sevana arTam atandritaH // Bndu _3,34.68 //
   marīcyādyaiḥ prajāsṛgbhirvartate sākamabdhipa /	marIci AdyEH prajA asRgBiH vartate sAkam abDipa /
   caturdaśāpi vidyāstā upavidyāḥ sahasraśaḥ // BndP_3,34.69 //	caturdaSA api vidyAH tAH upavidyAH sahasraSas // Bndu _3,34.69 //
   catuṣṣaṣṭikalāścaiva śarīriṇyo mahattarāḥ /	catuzzazwi kalAH ca eva SarIriNyaH mahattarAH /
   prākāre vidrumākāre brahmalokasamāśritāḥ /	prAkAre vidruma AkAre brahma loka samASritAH /
   vartante jagatāmṛddhyai lalitā devatājñayā // BndP_3,34.70 //	vartante jagatAm RdDyE lalitA devatA AjQayA // Bndu _3,34.70 //
   atha vidrumaśālasyānatare mārutayojane /	aTa vidruma SAlasya anatare mAruta yojane /
   māṇikyamaṇḍapasthāne parītaḥ sarvatodiśam /	mANikya maNxapa sTAne parItaH sarvatodiSam /
   vartate viṣṇulokastu lalitāsevanotsukaḥ // BndP_3,34.71 //	vartate vizNu lokaH tu lalitA sevana utsukaH // Bndu _3,34.71 //
   tatra vaiṣṇavaloke tu viṣṇuḥ sākṣātsanātanaḥ /	tatra vEzNava loke tu vizNuH sAkzAt sanAtanaH /
   caturghā daśadhā caiva tathā dvādaśadhā punaḥ /	caturGA daSaDA ca eva taTA dvAdaSaDA punar /
   vibhinnamūrtiḥ satataṃ vartate mādhavaḥ sadā // BndP_3,34.72 //	viBinna mUrtiH satatam vartate mADavaH sadA // Bndu _3,34.72 //
   bhaṇḍāsuramahāyuddhe ye śrīdevīnakhodbhavāḥ /	BaNxa asura mahA yudDe ye SrI devI naKa udBavAH /
   daśāvatāradevāstu te 'pi māṇikyamaṇḍape // BndP_3,34.73 //	daSa avatAra devAH tu te api mANikya maNxape // Bndu _3,34.73 //
   pūrvakakṣāntarebhyastu tatkakṣāyāṃ viśeṣataḥ /	pUrva kakza antareByaH tu tad kakzAyAm viSezataH /
   uparyācchādanāmātraṃ māṇikyadṛṣadāṃ gaṇaiḥ // BndP_3,34.74 //	upari AcCAdanA mAtram mANikya dRzadAm gaNEH // Bndu _3,34.74 //
   tatra kakṣāntare devaḥ śaṅkhacakragadādharaḥ /	tatra kakza antare devaH SaFKa cakra gadA DaraH /
   bhinno dvādaśamūrtyā ca pūrvādyāśāsurakṣati // BndP_3,34.75 //	BinnaH dvAdaSamUrtyA ca pUrva Adi ASa asu rakzati // Bndu _3,34.75 //
   jāmbūnadaprabhaścakrī pūrvasyāṃ diśi keśavaḥ /	jAmbUnada praBaH cakrI pUrvasyAm diSi keSavaH /
   paścānnārāyaṇaḥ śaṅkhī nīlajīmūtasaṃnibhaḥ // BndP_3,34.76 //	paScAt nArAyaNaH SaFKI nIla jImUta saMniBaH // Bndu _3,34.76 //
   indīvaradalaśyā mo madhumānmādhavo 'vati /	indIvarada la SyA maH maDumAn mADavaH avati /
   govindo dakṣiṇe pārśve dhanvī candraprabho mahān // BndP_3,34.77 //	govindaH dakziNe pArSve DanvI candrapraBaH mahAn // Bndu _3,34.77 //
   uttare haladhṛgviṣṇuḥ padmakiñjalkasaṃnibhaḥ /	uttare halaDRk vizNuH padma kiQjalka saMniBaH /
   āgneyyāmaravindābho musalī madhusūdanaḥ // BndP_3,34.78 //	AgneyyAm aravinda ABaH musalI maDusUdanaH // Bndu _3,34.78 //
   trivikramaḥ khaḍgapāṇirnairṛtye cvalanaprabhaḥ /	trivikramaH Kaxga pANiH nErRtye cvalana praBaH /
   vāyavyāṃ vāmano vajrī taruṇāditya dīptimān // BndP_3,34.79 //	vAyavyAm vAmanaH vajrI taruNa Aditya dIptimAn // Bndu _3,34.79 //
   īśānyāṃ puṇḍarīkābhaḥ śrīdharaḥ paṭṭiśāyudhaḥ /	ISAnyAm puNxarIka ABaH SrIDaraH pawwiSa AyuDaH /
   vidyutprabho hṛṣīkeśo hyavācyāṃ diśi mudgarī // BndP_3,34.80 //	vidyutpraBaH hRzIkeSaH hi avAcyAm diSi mudgarI // Bndu _3,34.80 //
   padmanābhaḥ śārṅgapāṇiḥ sahasrārkasamaprabhaḥ /	padmanABaH SArFga pANiH sahasra arka sama praBaH /
   māṇikyamaṇḍapasthānamanulomyena veṣṭate // BndP_3,34.81 //	mANikya maNxapa sTAnam anulomyena vezwate // Bndu _3,34.81 //
   sarvāyudhaḥ sarvaśaktiḥ sarvajñaḥ sarvatomukhaḥ /	sarva AyuDaH sarva SaktiH sarvajQaH sarvatomuKaH /
   indragopakasaṃkāśaḥ pāśahasto 'parājitaḥ // BndP_3,34.82 //	indragopaka saMkASaH pASa hastaH aparAjitaH // Bndu _3,34.82 //
   dāmodarastu sarvātmā lalitābhaktinirbharaḥ /	dAmodaraH tu sarva AtmA lalitA Bakti nirBaraH /
   māṇikyamaṇḍapasthānaṃ vilomena viveṣṭate // BndP_3,34.83 //	mANikya maNxapa sTAnam vilomena vivezwate // Bndu _3,34.83 //
   iti dvādaśabhirdehairbhagavānambujekṣaṇaḥ /	iti dvAdaSaBiH dehEH BagavAn ambuja IkzaNaH /
   māṇikyamaṇḍapagato viṣṇuloke virājate // BndP_3,34.84 //	mANikya maNxapa gataH vizNu loke virAjate // Bndu _3,34.84 //
   atha nānāratnaśālāntare mārutayojane /	aTa nAnA ratna SAla antare mAruta yojane /
   sahasrastambhakaṃ nāma maṇḍapaṃ sumanoharam // BndP_3,34.85 //	sahasrastamBakam nAma maNxapam su manoharam // Bndu _3,34.85 //
   nānāratnaistu khacitaṃ nānāratnairalaṅkṛtam /	nAnA ratnEH tu Kacitam nAnA ratnEH alaFkRtam /
   nānāratnakṛtaśśālastuṅgastatrābhivartate // BndP_3,34.86 //	nAnA ratna kRtaH SAlaH tuFgaH tatra aBivartate // Bndu _3,34.86 //
   ekā paṅktiḥ sahasraistu stambhastiyakpravartate /	ekA paFktiH sahasrEH tu stamBaH tiyak pravartate /
   tādṛśāḥ paṅktayo bahvyaḥ stambhānāṃ tu caturdiśam // BndP_3,34.87 //	tAdRSAH paFktayaH bahvyaH stamBAnAm tu caturdiSam // Bndu _3,34.87 //
   uparyācchādanaṃ cāpi pūrvavadratnadārubhiḥ /	upari AcCAdanam ca api pUrvavat ratna dAruBiH /
   śivalokastatra mahāñjāgarti sphuritadyutiḥ // BndP_3,34.88 //	Siva lokaH tatra mahAn jAgarti sPurita dyutiH // Bndu _3,34.88 //
   śaivāgamā mūrtimantastatrāṣṭāviṃśatiḥ smṛtāḥ /	SEva AgamAH mUrtimantaH tatra azwAviMSatiH smRtAH /
   nandibhṛṅgimahākālapramukhāstatra cottamāḥ // BndP_3,34.89 //	nandi BRFgi mahAkAla pramuKAH tatra ca uttamAH // Bndu _3,34.89 //
   ṣaḍviṃśattattvadevāśca gajavaktrāḥ sahasraśaḥ /	zaxviMSat tattva devAH ca gaja vaktrAH sahasraSas /
   śivalokottame tasminsahasrastambhamaṇḍape // BndP_3,34.90 //	Siva loka uttame tasmin sahasra stamBa maNxape // Bndu _3,34.90 //
   īśānaḥ sarvavidyānāmadhipaścandraśekharaḥ /	ISAnaH sarva vidyAnAm aDipaH candraSeKaraH /
   lalitājñāpālakaśca lalitājñāpravartakaḥ // BndP_3,34.91 //	lalita AjQApAlakaH ca lalita AjQA pravartakaH // Bndu _3,34.91 //
   lalitāmantra jāpī ca nityamānandamānasaḥ /	lalitA mantra jApI ca nityam Ananda mAnasaH /
   śaivyā dṛṣṭyā svabhaktānāṃ lalitāmantrasiddhaye // BndP_3,34.92 //	SEvyA dRzwyA sva BaktAnAm lalitA mantra sidDaye // Bndu _3,34.92 //
   antarbahistamaḥ puñjanirbhedanapaṭī yasīm /	antar bahis tamaH puQja nirBedana pawI yasIm /
   mahāprakāśarūpāṃ tāṃ medhāśakti prakāśayan // BndP_3,34.93 //	mahA prakASa rUpAm tAm meDA Sakti prakASayan // Bndu _3,34.93 //
   sarvajñaḥ sarvakartā ca sahasrastambhamaṇḍape /	sarvajQaH sarva kartA ca sahasra stamBa maNxape /
   vartamāno mahādeva devīḥ śrībhaktinirbharaḥ /	vartamAnaH mahAdeva devIH SrI Bakti nirBaraH /
   tattacchālānsamāśritya vartate kumbhasaṃbhavaḥ // BndP_3,34.94 //	tad tad SAlAn samASritya vartate kumBasaMBavaH // Bndu _3,34.94 //
   iti śrībrahmāṇḍamahāpurāṇe uttarabhāge hayagrīvāgastya saṃvāde	iti SrI brahmANxa mahApurANe uttara BAge hayagrIvA gastya saMvAde
   lalitopākhyāne dikpālādiśivalokāntarakathanaṃ nā catustriṃśo 'dhyāyaḥ	lalita upAKyAne dikpAla Adi Siva loka antarakaTanam nA catustriMSaH aDyAyaH
   hayagrīva uvāca	hayagrIvaH uvAca
   atha vāpītra yādīnāṃ kakṣyābhedānpracakṣmahe /	aTa vA apItra yAdInAm kakzyA BedAn pracakzmahe /
   eṣāṃ śravaṇamātreṇa jāyate śrīmahodayaḥ // BndP_3,35.1 //	ezAm SravaNa mAtreNa jAyate SrI mahA udayaH // Bndu _3,35.1 //
   sahasrastambhaśālasyātaramārutayojane /	sahasra stamBa SAlasya atara mAruta yojane /
   mano nāma mahāśālaḥ sarvaratnavicitritaḥ // BndP_3,35.2 //	manaH nAma mahASAlaH sarva ratna vicitritaH // Bndu _3,35.2 //
   pūrvavadgopuradvārakapāṭārgalasaṃyutaḥ /	pUrvavat gopura dvAra kapAwa argala saMyutaH /
   tanmadhyakakṣyābhāgastu sarvāpyamṛtavāpikā // BndP_3,35.3 //	tad maDya kakzyA BAgaH tu sarva api amRta vApikAH // Bndu _3,35.3 //
   yatpītvā yoginaḥ siddhā vajrakāyā mahābalāḥ /	yat pItvA yoginaH sidDAH vajra kAyAH mahA balAH /
   bhavanti puruṣāḥ prājñāstadeva hi rasāyanam // BndP_3,35.4 //	Bavanti puruzAH prAjQAH tat eva hi rasAyanam // Bndu _3,35.4 //
   vāpyāmamṛtamayyāṃ tu vartate toyatāṃ gatam /	vApyAm amRta mayyAm tu vartate toyatAm gatam /
   tadgandhāghrāṇamātreṇa siddhikāntāpatirbhavet // BndP_3,35.5 //	tad ganDA GrANa mAtreNa sidDi kAntA patiH Bavet // Bndu _3,35.5 //
   aspṛśannapi vindhayāre puruṣaḥ kṣīṇakalmaṣaḥ /	aspRSan= api vinDayAre puruzaH kzINa kalmazaH /
   ubhayoḥ śālayoḥ pārśve sudhāvāpītaṭadvaye // BndP_3,35.6 //	uBayoH SAlayoH pArSve suDA vApI tawa dvaye // Bndu _3,35.6 //
   adhakrośasamāyāmā anyāssarvāśca vāpikāḥ /	aDakroSa samAyAmAH anyAssarvAH ca vApikAH /
   caturyojanadūraṃ tu talaṃ tasyā jalāntare // BndP_3,35.7 //	catur yojana dUram tu talam tasyAH jala antare // Bndu _3,35.7 //
   sopānāvalayastasyā nānāratnavicitritāḥ /	sopAna AvalayaH tasyAH nAnA ratna vicitritAH /
   svarṇavarṇā ratnavarṇāstasyāṃ haṃsāśca sārasāḥ // BndP_3,35.8 //	svarNa varNAH ratna varNAH tasyAm haMsAH ca sArasAH // Bndu _3,35.8 //
   āsphoṭyate taṭadvandvataraṅgairmandacañcalaiḥ /	AsPowyate tawa dvandva taraFgEH manda caQcalEH /
   pakṣiṇastajjalaṃ pītvā rasāyanamayaṃ navam // BndP_3,35.9 //	pakziNaH tat jalam pItvA rasAyana mayam navam // Bndu _3,35.9 //
   ajarāmaratāṃ prāptāstatra vindhyaniṣūdana /	ajara amara tAm prAptAH tatra vinDya nizUdana /
   sadākūjitalakṣeṇa tatra kāraṇḍavadvijāḥ // BndP_3,35.10 //	sadA kUjita lakzeNa tatra kAraNxava dvijAH // Bndu _3,35.10 //
   japanti lalitādevyā mantrameva mahattaram /	japanti lalitA devyAH mantram eva mahattaram /
   parito vāpikācakrapariveṣaṇabhūyasā // BndP_3,35.11 //	paritas vApikA cakra parivezaNa BUyasA // Bndu _3,35.11 //
   na tatra gantu mārgo 'sti naukāvāhanamantarā /	na tatra gantu mArgaH asti na okAvAhanam antarA /
   ājñayā kevalaṃ tatra mantriṇī daṇḍanāthayoḥ /	AjQayA kevalam tatra mantriNI daNxa nATayoH /
   tārā nāma mahāśaktirvartate toraṇeśvarī // BndP_3,35.12 //	tArA nAma mahASaktiH vartate toraNa ISvarI // Bndu _3,35.12 //
   bahvyastatrotpalaśyāmāstārāyāḥ paricārikāḥ /	bahvyaH tatra utpala SyAmAH tArAyAH paricArikAH /
   ratnanaukāsahasreṇa khelantyo sarasījale // BndP_3,35.13 //	ratna nOkA sahasreNa KelantyaH sarasI jale // Bndu _3,35.13 //
   aparaṃ pāramāyānti punaryānti paraṃ taṭam /	aparam pAram AyAnti punar yAnti param tawam /
   vīṇāveṇumṛdaṅgādi vādayantyo muhurmuhuḥ // BndP_3,35.14 //	vINA veNu mRdaFga Adi vAdayantyaH muhur muhur // Bndu _3,35.14 //
   koṭiśastatra tārāyā nāvikyo navayauvanāḥ /	kowiSas tatra tArAyAH na AvikyaH nava yOvanAH /
   muhurgāyanti nṛtyanti devyāḥ puṇyatamaṃ yaśaḥ // BndP_3,35.15 //	muhur gAyanti nRtyanti devyAH puNyatamam yaSaH // Bndu _3,35.15 //
   aritrapāṇayaḥ kāścitkāścicchūgāmbupāṇayaḥ /	aritra pANayaH kAScid kAScid SUga ambu pANayaH /
   pibantyastatsudhātoyaṃ saṃcarantyastarīśataiḥ // BndP_3,35.16 //	pibantyaH tad suDA toyam saMcaranti astarI SatEH // Bndu _3,35.16 //
   tāsāṃ naukāvāhikānāṃ śaktīnāṃ śyāmalatviṣām /	tAsAm nOkA vAhikAnAm SaktInAm SyAmala tvizAm /
   pradhānabhūtā tārāṃbā jalaughaśamanakṣamā // BndP_3,35.17 //	praDAna BUtA tArAMbA jala oGa Samana kzamA // Bndu _3,35.17 //
   ājñāṃ vinā tayostārā mantriṇīdaṇḍadhārayoḥ /	AjQAm vinA tayoH tArAH mantriNI daNxa DArayoH /
   trinetrasyāpi no datte vāpikāṃbhasi santaram // BndP_3,35.18 //	trinetrasya api naH datte vApikA aMBasi santaram // Bndu _3,35.18 //
   gāyantīnāṃ calantīnāṃ naukābhirmaṇicārubhiḥ /	gAyantInAm calantInAm nOkABiH maNi cAruBiH /
   mahārājñī mahaudāryaṃ patantīnāṃ padepade // BndP_3,35.19 //	mahArAjQI mahOdAryam patantInAm padepade // Bndu _3,35.19 //
   pibantīnāṃ madhu bhṛśaṃ māṇikyacaṣakodaraiḥ /	pibantInAm maDu BRSam mANikya caza ka udarEH /
