   akarmakaṃ tathā caitat HSvs_[5.1]393c	akarmakam taTA ca-etat HSvH-_[5.1]393c
   vairāgyaṃ ca jagatpateḥ HSvs_[3.1]195b	vErAgyam ca jagatpateH HSvH-_[3.1]195b
   vaiśiṣṭyaṃ kevalasya na HSvs_[1.4]104d	vESizwyam kevalasya na HSvH-_[1.4]104d
   vyaktacaitanyabhāvataḥ HSvs_[1.2]52b	vyakta-cEtanya-BAvataH HSvH-_[1.2]52b
   vyaktārthaṃ paramātmanā HSvs_[2.1]114d	vyakta-arTam paramAtmanA HSvH-_[2.1]114d
   vyaktimātrata evaiṣāṃ HSvs_[1.2]57a	vyakti-mAtratas eva-ezAm HSvH-_[1.2]57a
   vyañjakatvapratijñānāt HSvs_[1.2]36c	vyaQjaka-tva-pratijQAnAt HSvH-_[1.2]36c
   vyañjakatvaprasaṅgataḥ HSvs_[1.2]37d	vyaQjaka-tva-prasaFgataH HSvH-_[1.2]37d
   vyatiriktādicintanam HSvs_[6.1]424b	vyatirikta-Adi-cintanam HSvH-_[6.1]424b
   vyapadeśo 'nibandhanaḥ HSvs_[7.1]502d	vyapadeSaH anibanDanaH HSvH-_[7.1]502d
   vyabhicārādidoṣataḥ HSvs_[10.1]620d	vyaBicAra-Adi-dozataH HSvH-_[10.1]620d
   vyabhicāritvato nāsya HSvs_[1.3]80c	vyaBicAritvataH na-asya HSvH-_[1.3]80c
   vyabhicāri na sādhu tat HSvs_[1.3]81d	vyaBicAri na sADu tat HSvH-_[1.3]81d
   vyayābhāvān na jātucit HSvs_[6.6]468d	vyaya-aBAvAt na jAtucit HSvH-_[6.6]468d
   vyavasthāpakam asyaivaṃ HSvs_[5.1]398a	vyavasTApakam asya-evam HSvH-_[5.1]398a
   vyavasthābhāvato hy evaṃ HSvs_[2.1]128a	vyavasTA-BAvataH hi evam HSvH-_[2.1]128a
   vyavasthitam idaṃ tataḥ HSvs_[4.3]302d	vyavasTitam idam tatas HSvH-_[4.3]302d
   vyavasthitau ca tattvasya HSvs_[5.1]397a	vyavasTitO ca tattvasya HSvH-_[5.1]397a
   vyavahāraniṣedhataḥ HSvs_[6.1]435d	vyavahAra-nizeDataH HSvH-_[6.1]435d
   vyavahāraprasiddhayaiva HSvs_[10.1]586c	vyavahAra-prasidDayA-eva HSvH-_[10.1]586c
   vyavahāro 'khilo mataḥ HSvs_[4.1]245b	vyavahAraH aKilaH mataH HSvH-_[4.1]245b
   vyavahāro niṣidhyate HSvs_[6.1]436b	vyavahAraH niziDyate HSvH-_[6.1]436b
   vyasanaṃ dhījaḍatvaṃ vā HSvs_[7.1]510c	vyasanam DI-jaxa-tvam vA HSvH-_[7.1]510c
   vyākhyāpy apauruṣeyyasya HSvs_[10.1]610a	vyAKyA-api apOruzeyyasya HSvH-_[10.1]610a
   vyādhigrasto yathārogya- HSvs_[9.1]570a	vyADi-grastaH yaTA-Arogya HSvH-_[9.1]570a
   vyādhipīḍitacittavat HSvs_[2.1]163d	vyADi-pIxita-citta-vat HSvH-_[2.1]163d
   vyāpādyate sadā yasmān HSvs_[6.1]425c	vyApAdyate sadA yasmAt HSvH-_[6.1]425c
   vyāpāro 'pi na tasyāpi HSvs_[4.6]358c	vyApAraH api na tasya-api HSvH-_[4.6]358c
   vyāptiś cāha viparyayam HSvs_[7.1]509b	vyAptiH ca-Aha viparyayam HSvH-_[7.1]509b
   vyābādhābhāvasaṃsiddhaḥ HSvs_[11.3]695c	vyAbADa-aBAva-saMsidDaH HSvH-_[11.3]695c
   vyābādhāvarjitaḥ sadā HSvs_[9.1]564d	vyAbADa-AvarjitaH sadA HSvH-_[9.1]564d
   vyābādhāvinivṛttitaḥ HSvs_[9.1]565d	vyAbADa-avinivRttitaH HSvH-_[9.1]565d
   vrajaty ākārabhedena HSvs_[4.6]348c	vrajati AkAra-Bedena HSvH-_[4.6]348c
   śaktir ākasmikī kutaḥ HSvs_[1.4]97d	SaktiH AkasmikI kutas HSvH-_[1.4]97d
   śaktirūpaṃ tad anye tu HSvs_[1.4]96a	Sakti-rUpam tat anye tu HSvH-_[1.4]96a
   śaktirūpeṇā sā teṣu HSvs_[1.2]33a	Sakti-rUpeNA sA tezu HSvH-_[1.2]33a
   śaktivetanayoraivyaṃ HSvs_[1.2]34a	Sakti-vetanayoH-Evyam HSvH-_[1.2]34a
   śaktyabhāvād ativyāpteḥ HSvs_[6.3]449c	Sakti-aBAvAt ati-vyApteH HSvH-_[6.3]449c
   śaktyā me puruṣo hataḥ HSvs_[4.7]361b	SaktyA me puruzaH hataH HSvH-_[4.7]361b
   śatāni sapta ślokānām HSvs_[11.4]699a	SatAni sapta SlokAnAm HSvH-_[11.4]699a
   śabdamātram asāv api HSvs_[5.1]402d	Sabda-mAtram asO api HSvH-_[5.1]402d
   śabdāt tadvatpratītitaḥ HSvs_[11.1]650b	SabdAt tadvat-pratItitaH HSvH-_[11.1]650b
   śabdāt tadvāsanābodho HSvs_[11.1]654a	SabdAt tad-vAsanA-boDaH HSvH-_[11.1]654a
   śabdāt pratyeti bhinnākṣaḥ HSvs_[11.1]666c	SabdAt pratyeti Binna-akzaH HSvH-_[11.1]666c
   śabdānām anibandhanā HSvs_[11.1]647b	SabdAnAm anibanDanAH HSvH-_[11.1]647b
   śabdārthayor na saṃbandho HSvs_[11.1]644c	Sabda-arTayoH na saMbanDaH HSvH-_[11.1]644c
   śabdārthād eva jāyate HSvs_[4.6]357b	Sabda-arTAt eva jAyate HSvH-_[4.6]357b
   śabdārthānupapattitaḥ HSvs_[7.1]508d	Sabda-arTa-anupapattitaH HSvH-_[7.1]508d
   śabdārthāyogato dhruvam HSvs_[11.1]672d	Sabda-arTa-ayogataH Druvam HSvH-_[11.1]672d
   śamārogyalavaṃ prāpya HSvs_[9.1]571c	Sama-Arogya-lavam prApya HSvH-_[9.1]571c
   śaraṇaṃ na prapadyate HSvs_[2.1]123d	SaraNam na prapadyate HSvH-_[2.1]123d
   śaraṇaṃ yuktivādinām HSvs_[2.1]124d	SaraNam yukti-vAdinAm HSvH-_[2.1]124d
   śaśaśṛṅge tathāgateḥ HSvs_[1.2]77b	SaSaSRFge taTAgateH HSvH-_[1.2]77b
   śaśaśṛṅge tathāgateḥ HSvs_[4.2]248b	SaSaSRFge taTAgateH HSvH-_[4.2]248b
   śastrādyuktau mukhacchedā- HSvs_[11.1]645c	Sastra-Adi-uktO muKa=-CedA HSvH-_[11.1]645c
   śābarāṇām api sphuṭam HSvs_[10.1]623b	SAbarANAm api sPuwam HSvH-_[10.1]623b
   śāstrakārā mahātmānaḥ HSvs_[3.1]208a	SAstra-kArAH mahAtmAnaH HSvH-_[3.1]208a
   śāstracoditabhāve 'pi HSvs_[2.1]157c	SAstra-codita-BAve api HSvH-_[2.1]157c
   śāstravārtāsamuccayam HSvs_[11.4]699d	SAstra-vArtAsamuccayam HSvH-_[11.4]699d
   śāstravārttāsamuccayam HSvs_[1.1]1d	SAstra-vArttAsamuccayam HSvH-_[1.1]1d
   śāstrasamyaktvam ucyate HSvs_[1.1]29b	SAstra-samyak-tvam ucyate HSvH-_[1.1]29b
   śāstrād atīndriyagater HSvs_[10.1]596a	SAstrAt atIndriya-gateH HSvH-_[10.1]596a
   śiṣyavyutpattaye kiñcit HSvs_[7.1]501c	Sizya-vyutpattaye kiQcid HSvH-_[7.1]501c
   śīlānuṣṭhānahetur yaḥ HSvs_[4.1]244c	SIla-anuzWAna-hetuH yaH HSvH-_[4.1]244c
   śuddhaṃ cāritram āsādya HSvs_[9.1]572c	SudDam cAritram AsAdya HSvH-_[9.1]572c
   śuddho muktiphalapradaḥ HSvs_[1.1]25d	SudDaH mukti-Pala-pradaH HSvH-_[1.1]25d
   śubhāt saukhyaṃ tataḥ siddham HSvs_[2.1]133c	SuBAt sOKyam tatas sidDam HSvH-_[2.1]133c
   śubhāder eva saukhyādi HSvs_[2.1]130c	SuBa-AdeH eva sOKya-Adi HSvH-_[2.1]130c
   śubhāder eva saukhyādi HSvs_[2.1]134c	SuBa-AdeH eva sOKya-Adi HSvH-_[2.1]134c
   śubho bhāvaḥ prajāyate HSvs_[1.1]8b	SuBaH BAvaH prajAyate HSvH-_[1.1]8b
   śūnyatve pratipādyasya HSvs_[6.6]473c	SUnya-tve pratipAdyasya HSvH-_[6.6]473c
   śūnyaṃ cet susthitaṃ tattvam HSvs_[6.6]471a	SUnyam ced su-sTitam tattvam HSvH-_[6.6]471a
   śūraś cāpy akṛtavraṇaḥ HSvs_[11.2]691b	SUraH ca-api akRtavraNaH HSvH-_[11.2]691b
   śaileśīsaṃjñitaṃ sthairyaṃ HSvs_[9.1]575c	SEleSI-saMjQitam sTEryam HSvH-_[9.1]575c
   śokapramodamādhyasthyam HSvs_[7.1]482a	Soka-pramoda-mADyasTyam HSvH-_[7.1]482a
   śokapramodamādhyasthyaṃ HSvs_[7.1]478c	Soka-pramoda-mADyasTyam HSvH-_[7.1]478c
   śokādi parikīrtitam HSvs_[7.1]494b	Soka-Adi parikIrtitam HSvH-_[7.1]494b
   śyāmatvair vyabhicāritā HSvs_[1.2]66b	SyAma-tvEH vyaBicAritAH HSvH-_[1.2]66b
   śraddhayā gamyate param HSvs_[3.2]214d	SradDayA gamyate param HSvH-_[3.2]214d
   śreyas tad abhidhīyate HSvs_[10.1]589d	SreyaH tat aBiDIyate HSvH-_[10.1]589d
   -ṣṭhānād grāmādilābhavat HSvs_[2.1]139b	-zWAnAt grAma-Adi-lABavat HSvH-_[2.1]139b
   sa eva dharmo vijñeyaḥ HSvs_[1.1]25c	saH eva DarmaH vijQeyaH HSvH-_[1.1]25c
   sa eva bhāvas taddhetus HSvs_[4.2]257a	saH eva BAvaH tad-hetuH HSvH-_[4.2]257a
   sa evātmā prasajyate HSvs_[1.2]55d	saH eva-AtmA prasajyate HSvH-_[1.2]55d
   sa evātmeti cāpare HSvs_[1.2]31d	saH eva-AtmA-iti ca-apare HSvH-_[1.2]31d
   sa evātra nirūpyate HSvs_[2.1]151d	saH eva-atra nirUpyate HSvH-_[2.1]151d
   sa kṣaṇasthitidharmā ced HSvs_[4.2]250a	sa kzaNa-sTiti-DarmA ced HSvH-_[4.2]250a
   saṅketasavyapekṣatve HSvs_[10.1]608c	saFketasa-vyapekza-tve HSvH-_[10.1]608c
   sa ca karteti nirdoṣaḥ HSvs_[3.1]207c	sa ca kartA-iti nirdozaH HSvH-_[3.1]207c
   sa ca nyāyabahiṣkṛtaḥ HSvs_[4.5]328d	sa ca nyAya-bahizkRtaH HSvH-_[4.5]328d
   sa ca pratyakṣabādhitaḥ HSvs_[1.2]52d	sa ca pratyakza-bADitaH HSvH-_[1.2]52d
   sa ca mānamato 'py asyā- HSvs_[10.1]624c	sa ca mAnam-atas api asyA HSvH-_[10.1]624c
   sa cākliṣṭān na kevalāt HSvs_[6.1]430b	sa ca-aklizwAn na kevalAt HSvH-_[6.1]430b
   sa cāyukto nidarśitaḥ HSvs_[4.5]329d	sa ca-ayuktaH nidarSitaH HSvH-_[4.5]329d
   sa cetarasamāśrayaḥ HSvs_[4.6]356d	sa ca-itara-sam-ASrayaH HSvH-_[4.6]356d
   sa caika eva tasmiṃś ca HSvs_[4.1]245c	sa ca-ekaH eva tasmin ca HSvH-_[4.1]245c
   sac cāsat sarvathaiva hi HSvs_[6.3]449b	sat ca-asat sarvaTA-eva hi HSvH-_[6.3]449b
   saccitraṃ cātmayogi ca HSvs_[1.4]106b	sat-citram ca-Atma-yogi ca HSvH-_[1.4]106b
   sacchāstrādivyavasthiteḥ HSvs_[8.1]551b	sat-SAstra-Adi-vyavasTiteH HSvH-_[8.1]551b
   sa jantūn kena hetunā ? HSvs_[3.1]198d	sa jantUn kena hetunA ? HSvH-_[3.1]198d
   sajjñānaśabdaviṣayas HSvs_[6.1]436c	sat-jQAna-Sabda-vizayaH HSvH-_[6.1]436c
   sataś ca kathitatvataḥ HSvs_[7.1]516d	sataH ca kaTita-tvataH HSvH-_[7.1]516d
   'sataḥ sattvamado na sat HSvs_[4.3]289d	asataH sattva-madaH na sat HSvH-_[4.3]289d
   sati kasmān na yujyate HSvs_[4.1]245d	sati kasmAt na yujyate HSvH-_[4.1]245d
   sati cāsmin kim anyena HSvs_[11.1]650a	sati ca-asmin kim anyena HSvH-_[11.1]650a
   sati cāsminn asau dhanyaḥ HSvs_[9.1]560a	sati ca-asmin asO DanyaH HSvH-_[9.1]560a
   sati teṣām anekatā HSvs_[4.4]308b	sati tezAm aneka-tA HSvH-_[4.4]308b
   sati nyāyān na bhidyate HSvs_[1.2]54b	sati nyAyAt na Bidyate HSvH-_[1.2]54b
   satī ced upalabhyeta HSvs_[1.2]44c	satI ced upalaByeta HSvH-_[1.2]44c
   sato yad bhedakaṃ nānyat HSvs_[8.1]543c	sataH yat Bedakam na-anyat HSvH-_[8.1]543c
   sato 'sattvaṃ yataś caivaṃ HSvs_[4.2]275a	sataH asattvam yatas ca-evam HSvH-_[4.2]275a
   sato 'sattvaṃ vyavasthitam HSvs_[4.2]251d	sataH asattvam vyavasTitam HSvH-_[4.2]251d
   sato 'sattve tadutpādas HSvs_[4.2]249a	sataH asattve tad-utpAdaH HSvH-_[4.2]249a
   sato 'sya kiṃ ghaṭasyeva HSvs_[1.3]79a	sataH asya kim Gawasya-iva HSvH-_[1.3]79a
   sattānāśitvadoṣasya HSvs_[4.2]271c	sattA-nASi-tva-dozasya HSvH-_[4.2]271c
   sattaivaṃ yujyate katham HSvs_[5.1]392d	sattA-evam yujyate kaTam HSvH-_[5.1]392d
   -sattvaṃ vaktuṃ na yujyate HSvs_[10.1]624d	-sattvam vaktum na yujyate HSvH-_[10.1]624d
   sattvānām alpabuddhīnāṃ HSvs_[1.1]1c	sattvAnAm alpa-budDInAm HSvH-_[1.1]1c
   sattvārthasaṃpravṛttāś ca HSvs_[3.1]208c	sattva-arTa-saMpravRttAH ca HSvH-_[3.1]208c
   sattvāś cet citrakarmaṇi HSvs_[3.1]199b	sattvAH ced citrakarmaNi HSvH-_[3.1]199b
   sattve 'pi nendriyajñānaṃ HSvs_[4.7]373a	sattve api na-indriya-jQAnam HSvH-_[4.7]373a
   saty apy asmin mitho 'tyantaṃ HSvs_[4.5]324c	sati api asmin miTas atyantam HSvH-_[4.5]324c
   satyam anyas tv asau mataḥ HSvs_[1.3]80b	satyam anyaH tu asO mataH HSvH-_[1.3]80b
   satyasaty eva cen na tat HSvs_[1.2]33d	satyasati eva ced na tat HSvH-_[1.2]33d
   satyām asyāṃ sthito 'smākam HSvs_[4.6]353a	satyAm asyAm sTitaH asmAkam HSvH-_[4.6]353a
   satsvabhāvatvahānitaḥ HSvs_[6.3]449d	sat-svaBAva-tva-hAnitaH HSvH-_[6.3]449d
   satsvahbāvādyapekṣayā HSvs_[6.1]432b	sat-su-ahbOvAdi-apekzayA HSvH-_[6.1]432b
   sadasattvavirodhataḥ HSvs_[7.1]498b	sat-asattva-viroDataH HSvH-_[7.1]498b
   sadāto nopalabhyate HSvs_[1.2]33b	sa-dA-atas na-upalaByate HSvH-_[1.2]33b
   sadā nāśo na tatsthitiḥ HSvs_[4.2]249d	sadA nASaH na tat-sTitiH HSvH-_[4.2]249d
   sadābhāvetarāpatter HSvs_[7.1]495a	sadA-aBAva-itara-ApatteH HSvH-_[7.1]495a
   sadā muktau tathā sthiteḥ HSvs_[9.1]576d	sadA muktO taTA sTiteH HSvH-_[9.1]576d
   sadā sattva tad eva yat HSvs_[4.2]252b	sadA sattva tat eva yat HSvH-_[4.2]252b
   sadā sarvatra vā bhavet HSvs_[1.2]50d	sadA sarvatra vA Bavet HSvH-_[1.2]50d
   sadā syān na kadācid vā HSvs_[1.1]24c	sadA syAt na kadAcid vA HSvH-_[1.1]24c
   sadutpādavyayadhrauvya- HSvs_[7.1]477c	sat-utpAda-vyaya-DrOvya HSvH-_[7.1]477c
   sadupāye 'pi yo nṛṇām HSvs_[1.4]92b	sat-upAye api yaH nRNAm HSvH-_[1.4]92b
   sadṛśenāvaruddhatvāt HSvs_[6.4]453c	sadRSena-avarudDa-tvAt HSvH-_[6.4]453c
   sadṛśenāvaruddhatvāt HSvs_[6.4]456c	sadRSena-avarudDa-tvAt HSvH-_[6.4]456c
   sadṛśo bhinna eva yat HSvs_[6.4]454b	sadRSaH BinnaH eva yat HSvH-_[6.4]454b
   sadaiva kliṣṭatāpatter HSvs_[5.2]411c	sadA-eva klizwa-tA-ApatteH HSvH-_[5.2]411c
   sadaivāgrahaṇaṃ hy evaṃ HSvs_[1.3]86c	sadA-eva-agrahaNam hi evam HSvH-_[1.3]86c
   sadbrahmādivyapeṣayā HSvs_[8.1]543b	sat-brahma-Adivya-pezayA HSvH-_[8.1]543b
   sa dharmaṃ veda netaraḥ HSvs_[3.1]210d	sa Darmam veda na-itaraH HSvH-_[3.1]210d
   sa naśyati tadaiva yat HSvs_[4.1]244d	sa naSyati tadA-eva yat HSvH-_[4.1]244d
   santānasya khapuṣpavat HSvs_[6.1]427b	santAnasya Ka-puzpa-vat HSvH-_[6.1]427b
   santānāpekṣayaitac ced HSvs_[4.7]363a	santAna-apekzayA-etat ced HSvH-_[4.7]363a
   santāne dṛśyate 'nyadā HSvs_[4.3]295b	santAne dRSyate anyadA HSvH-_[4.3]295b
   santāno 'nyaḥ sa cāyukta HSvs_[4.1]247c	santAnaH anyaH sa ca-ayuktaH HSvH-_[4.1]247c
   santi te sarva eveti HSvs_[6.6]475c	santi te sarve eva-iti HSvH-_[6.6]475c
   sa paśyaty asya yad rūpaṃ HSvs_[9.1]561a	sa paSyati asya yat rUpam HSvH-_[9.1]561a
   sa pravṛttītarātmakaḥ HSvs_[1.1]23b	sa pravRtti-itara-AtmakaH HSvH-_[1.1]23b
   sa phalasyāpi yujyate HSvs_[6.1]421b	sa Palasya-api yujyate HSvH-_[6.1]421b
   saphale bhaktimātratā HSvs_[3.1]200d	sa-Pale Bakti-mAtra-tA HSvH-_[3.1]200d
   sabhāgakṣaṇajanmāptes HSvs_[6.1]421c	saBA-gakzaNa-janma-ApteH HSvH-_[6.1]421c
   samanantaravaikalyaṃ HSvs_[4.6]336a	samanantara-vEkalyam HSvH-_[4.6]336a
   samabhāvaprasiddhaye HSvs_[8.1]550b	sama-BAva-prasidDaye HSvH-_[8.1]550b
   samayātikrame yadvat HSvs_[9.1]578c	samaya-atikrame yadvat HSvH-_[9.1]578c
   samayopekṣaṇaṃ ceha HSvs_[11.1]663a	samaya-upekzaNam ca-iha HSvH-_[11.1]663a
   samaṃ ca hetuphalayor HSvs_[4.3]284c	samam ca hetu-PalayoH HSvH-_[4.3]284c
   samānakālabhāvitvāt HSvs_[6.1]418c	samAna-kAla-BAvi-tvAt HSvH-_[6.1]418c
   samāropādasau neti HSvs_[4.2]260a	samAropAt-asO na-iti HSvH-_[4.2]260a
   sa muktānām asaṃgataḥ HSvs_[3.2]224b	sa muktAnAm asaMgataH HSvH-_[3.2]224b
   samutpatter asaṃbhavāt HSvs_[6.1]426d	samutpatteH asaMBavAt HSvH-_[6.1]426d
   samudāyena kāraṇam HSvs_[2.2]191b	samudAyena kAraNam HSvH-_[2.2]191b
   samyak kāryaḥ sukhaiṣiṇā HSvs_[1.1]5d	samyak kAryaH suKa-eziNA HSvH-_[1.1]5d
   samyaktvaṃ tattvavedanam HSvs_[9.1]557b	samyaktvam tattva-vedanam HSvH-_[9.1]557b
   samyak pratyakṣam iṣyatām HSvs_[1.3]82d	samyak pratyakzam izyatAm HSvH-_[1.3]82d
   samyak pravṛttiḥ sādhyasya HSvs_[11.2]684a	samyak pravRttiH sADyasya HSvH-_[11.2]684a
   samyak prītyā pravartate HSvs_[9.1]570d	samyak prItyA pravartate HSvH-_[9.1]570d
   samyakśāstrānusārataḥ HSvs_[1.1]28d	samyak-SAstra-anusArataH HSvH-_[1.1]28d
   samyakśāstrānusāreṇa HSvs_[9.1]561c	samyak-SAstra-anusAreNa HSvH-_[9.1]561c
   samyag ālocyate yadā HSvs_[9.1]569b	samyak Alocyate yadA HSvH-_[9.1]569b
   samyag etat vicintyatām HSvs_[5.2]412d	samyak etat vicintyatAm HSvH-_[5.2]412d
   samyag jātyantaratvena HSvs_[7.1]518c	samyak jAti-antara-tvena HSvH-_[7.1]518c
   samyag jñānaṃ na jātucit HSvs_[11.2]685b	samyak jQAnam na jAtucit HSvH-_[11.2]685b
   samyagdarśanasaṃyutaḥ HSvs_[9.1]560b	samyak-darSana-saMyutaH HSvH-_[9.1]560b
   samyag dharmasya sādhakaḥ HSvs_[1.1]10d	samyak Darmasya sADakaH HSvH-_[1.1]10d
   samyag nyāyāvirodhataḥ HSvs_[2.2]182d	samyak nyAya-aviroDataH HSvH-_[2.2]182d
   samyag nyāyāvirodhena HSvs_[3.1]203c	samyak nyAya-aviroDena HSvH-_[3.1]203c
   samyag mānavyavasthiteḥ HSvs_[7.1]500b	samyak mAna-vyavasTiteH HSvH-_[7.1]500b
   samyagmithyādirūpaś ca HSvs_[1.1]23c	samyak-miTyA-AdirUpaH ca HSvH-_[1.1]23c
   samyag mṛgyo hitaiṣiṇā HSvs_[3.1]209b	samyak mRgyaH hita-eziNA HSvH-_[3.1]209b
   sarvajñena hy abhivyaktāt HSvs_[10.1]626a	sarvajQena hi aBivyaktAt HSvH-_[10.1]626a
   sarvajño naiva gṛhyate HSvs_[10.1]581b	sarvajQaH na-eva gRhyate HSvH-_[10.1]581b
   sarvajño naiva vidyate HSvs_[10.1]580b	sarvajQaH na-eva vidyate HSvH-_[10.1]580b
   sarvatra darśanaṃ yasya HSvs_[2.1]137a	sarvatra darSanam yasya HSvH-_[2.1]137a
   sarvatra dṛṣṭe saṃvādād HSvs_[10.2]636a	sarvatra dRzwe saMvAdAt HSvH-_[10.2]636a
   sarvatra bhāvāvicchedād HSvs_[2.1]148c	sarvatra BAva-avicCedAt HSvH-_[2.1]148c
   sarvatrādarśanād iti HSvs_[2.1]136d	sarvatra-adarSanAt iti HSvH-_[2.1]136d
   sarvatraiva na tatphalam HSvs_[2.2]190b	sarvatra-eva na tad-Palam HSvH-_[2.2]190b
   sarvathā tadabhāvataḥ HSvs_[4.3]287d	sarvaTA tad-aBAvataH HSvH-_[4.3]287d
   sarvathāniścayaś ca yaḥ HSvs_[7.1]496b	sarvaTA-niScayaH ca yaH HSvH-_[7.1]496b
   sarvathā nopapadyate HSvs_[4.2]275b	sarvaTA na-upapadyate HSvH-_[4.2]275b
   sarvathā nopapadyate HSvs_[4.4]323b	sarvaTA na-upapadyate HSvH-_[4.4]323b
   sarvathā nyāyabādhitam HSvs_[4.6]357d	sarvaTA nyAya-bADitam HSvH-_[4.6]357d
   sarvathābhrāntarūpatā HSvs_[4.6]352d	sarvaTA-aBra-anta-rUpa-tA HSvH-_[4.6]352d
   sarvathā yuktivādinaḥ HSvs_[2.1]131b	sarvaTA yukti-vAdinaH HSvH-_[2.1]131b
   sarvathā yujyate yataḥ HSvs_[4.3]302b	sarvaTA yujyate yatas HSvH-_[4.3]302b
   sarvathaiva tathābhāvi- HSvs_[4.3]291a	sarvaTA-eva taTA-BAvi HSvH-_[4.3]291a
   sarvathaiva na cāgamaḥ HSvs_[6.3]445b	sarvaTA-eva na ca-AgamaH HSvH-_[6.3]445b
   sarvadaivānyathātve 'pi HSvs_[6.3]444c	sarva-dA-eva-anyaTA-tve api HSvH-_[6.3]444c
   sarvadvandvavinirmuktāḥ HSvs_[11.3]696a	sarva-dvandva-vinirmuktAH HSvH-_[11.3]696a
   sarvaprāṇabhṛtām ayam HSvs_[1.3]87b	sarva-prANaBRtAm ayam HSvH-_[1.3]87b
   sarvaprāṇisvabhāṣāpariṇatisubhagaṃ kauśalaṃ yasya vācāṃ HSvs_[11.4]701c	sarva-prANi-svaBAzA-pariNati-suBagam kOSalam yasya vAcAm HSvH-_[11.4]701c
   sarvabhāvanibandhanam HSvs_[1.1]13d	sarva-BAva-nibanDanam HSvH-_[1.1]13d
   sarvabhāvaḥ prasajyate HSvs_[2.2]176b	sarva-BAvaH prasajyate HSvH-_[2.2]176b
   sarvabhāvāḥ svabhāvena HSvs_[2.2]170a	sarva-BAvAH svaBAvena HSvH-_[2.2]170a
   sarvabhrāntiprasaṃgataḥ HSvs_[4.6]350d	sarva-BrAnti-prasaMgataH HSvH-_[4.6]350d
   sarvam etad apārthakam HSvs_[4.1]241d	sarvam etat apArTakam HSvH-_[4.1]241d
   sarvam etena vikṣiptaṃ HSvs_[4.7]374a	sarvam etena vikziptam HSvH-_[4.7]374a
   sarvam eva vicakṣaṇāḥ HSvs_[6.6]467b	sarvam eva vicakzaNAH HSvH-_[6.6]467b
   sarvam eva hy apārthakam HSvs_[3.2]226d	sarvam eva hi apArTakam HSvH-_[3.2]226d
   sarvam evāviśeṣeṇa HSvs_[6.4]462c	sarvam eva-aviSezeNa HSvH-_[6.4]462c
   sarvam evāvyavasthitam HSvs_[7.1]484d	sarvam eva-avyavasTitam HSvH-_[7.1]484d
   sarvam evopapadyate HSvs_[11.2]682b	sarvam eva-upapadyate HSvH-_[11.2]682b
   sarvalokapratiṣṭhitaḥ HSvs_[10.1]586b	sarva-loka-pratizWitaH HSvH-_[10.1]586b
   sarvavācakabhāvatvāc HSvs_[11.1]664a	sarva-vAcaka-BAva-tvAt HSvH-_[11.1]664a
   sarvaśāstreṣu saṃsthitiḥ HSvs_[1.1]3b	sarva-SAstrezu saMsTitiH HSvH-_[1.1]3b
   sarvasaṃsiddhasatkāryāḥ HSvs_[11.3]696c	sarva-saMsidDa-satkAryAH HSvH-_[11.3]696c
   sarvasādhāraṇe sati HSvs_[10.1]585b	sarva-sADAraNe sati HSvH-_[10.1]585b
   sarvasāmarthyabhūtisva- HSvs_[4.4]310c	sarva-sAmarTya-BUti-sva HSvH-_[4.4]310c
   sarvasyaiva hi karmaṇaḥ HSvs_[2.1]162d	sarvasya-eva hi karmaNaH HSvH-_[2.1]162d
   sarvaṃ tat kṣaṇikaṃ kutaḥ HSvs_[6.4]457d	sarvam tat kzaNikam kutas HSvH-_[6.4]457d
   sarvaṃ syād avyavasthayā HSvs_[2.2]168b	sarvam syAt avyavasTayA HSvH-_[2.2]168b
   sarvā tatprabhavaiva hi HSvs_[10.1]590b	sarvA tad-praBavA-eva hi HSvH-_[10.1]590b
   sarvānuṣṭhānavaiyarthyam HSvs_[8.1]552c	sarva-anuzWAna-vEyarTyam HSvH-_[8.1]552c
   sarvābādhāvivarjitāḥ HSvs_[11.3]696b	sarva-AbADA-vivarjitAH HSvH-_[11.3]696b
   sarvārthaviṣayaṃ tac cet HSvs_[10.1]592a	sarva-arTa-vizayam tat ced HSvH-_[10.1]592a
   sarvārthaviṣayaṃ nityaṃ HSvs_[2.1]114c	sarva-arTa-vizayam nityam HSvH-_[2.1]114c
   sarvārthaviṣayo 'py eṣa HSvs_[10.2]643c	sarva-arTa-vizayaH api ezaH HSvH-_[10.2]643c
   sarvārthādāgamāt parā HSvs_[10.1]626b	sarva-arTAt-AgamAt parA HSvH-_[10.1]626b
   sarve bhāvā bhavanti yat HSvs_[2.2]173b	sarve BAvAH Bavanti yat HSvH-_[2.2]173b
   sarveṣām aviśiṣṭatvān HSvs_[4.3]294c	sarvezAm aviSizwa-tvAt HSvH-_[4.3]294c
   sarveṣāṃ tadabhāvaś ca HSvs_[1.2]40c	sarvezAm tad-aBAvaH ca HSvH-_[1.2]40c
   sarveṣāṃ buddhijanane HSvs_[4.4]304a	sarvezAm budDi-janane HSvH-_[4.4]304a
   salliṅgānupapattitaḥ HSvs_[5.1]376d	sat-liFga-anupapattitaH HSvH-_[5.1]376d
   sa virodha ihocyate HSvs_[7.1]511b	sa viroDaH iha-ucyate HSvH-_[7.1]511b
   sa vai karmakṣayo nanu HSvs_[2.1]152d	sa vE karma-kzayaH nanu HSvH-_[2.1]152d
