   prathamaḥ paricchedaḥ	praTamaH paricCedaH
        (lo, au) vyapitayānekapadāśrayatvāditi bhāvaḥ /	(lo, O) vyapitayA aneka pada ASraya tvAt iti BAvaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nanvasti raṇāntaḥ purayorapi sukhasaṃcāratayā sphuṭaṃ sādṛśyamiti cet?	nanu asti raNa antaH purayoH api suKa saMcAra tayA sPuwam sAdRSyam iti ced ?
   Locanā:	LocanA:
   (lo, a) sukhasañcāratayānāyāsavihārāspadatvena svato maṇḍalāgralatādīnāṃ	(lo, a) suKa saQcAratayA anAyAsa vihAra Aspada tvena svatas maNxala agra latA AdInAm
   nāyikātvādyāropamanapekṣya /	nAyikA tva Adi Aropam anapekzya /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   satyamuktam ; astyeva kiṃtu vākyārthaparyālocanasāpekṣam, na khalu	satyam uktam ; asti eva kiMtu vAkya arTa paryAlocana sApekzam, na Kalu
   nirapekṣam, mukhacandrādermanoharatvādivadraṇāntaḥ  purayoḥ svataḥ	nirapekzam, muKa candra AdeH manohara tva Adi vadraNa antaH purayoH svatas 
   sukhasañcāratvābhāvāt /	suKa saQcAra tva aBAvAt /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, tha) raṇāntaḥ purayorapi sphuṭasādṛśyātvamākhaṅkate   nanvastīti	(vi, Ta) raNa antaH purayoH api sPuwa sAdRSya atvam AKaFka te   nanu asti iti
        vākyārthaparyyālocanasāpekṣamiti /	vAkya arTa paryyA locana sApekzam iti /
        nṛpadarśanād ripusenāparāṅmukhatvaṃ pratyarthatātparyyālocanena	nRpa darSanAt ripu senA parAFmuKa tvam pratyarTa tAtparyya Alocanena
   rājñaḥ śūratvasya tato raṇe 'bhītatvasya ca lābhena tata eva	rAjQaH SUra tvasya tatas raNe aBIta tvasya ca lABena tatas eva
   sukhasañcāralābha ityarthaḥ /	suKa saQcAra lABaH iti arTaH /
        raṇāntaḥ purayoḥ svataḥ sukhasañcārālābhāditi /	raNa antaH purayoH svatas suKa saQcAra alABAt iti /
        nahi mukhacandrayormanoharatvamiva rājño raṇe bhītatvabuddhiṃ vinā	na hi muKa candrayoH manohara tvam iva rAjQaH raNe BIta tva budDim vinA
   pratyakṣādinā sukhasañcāratvaṃ gamyamiti bhāvaḥ /	pratyakza AdinA suKa saQcAra tvam gamyam iti BAvaH /
        atra raṇāntaḥ purayoriti sañcārālābhādityatra sañcāratvābhāvāditi	atra raNa antaH purayoH iti saQcAra alABAt iti atra saQcAra tva aBAvAt iti
   kvacit prāmādika eva pāṭhaḥ /	kvacid prAmAdikaH eva pAWaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   sādharaṇyena yathā  	sADaraNyena yaTA  
   "nisargasaurabhodbhrāntabhṛṅgasaṃgītaśālinī /	"nisarga sOraBa udBrAnta BRFga saMgIta SAlinI /
   udite vāsarādhīśe smerājani sarojinī" //	udite vAsara aDISe smerA jani sa rojinI" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, da) nisargeti /	(vi, da) nisarga iti /
        atrāprastutanāyikā vyaṅgyā /	atra aprastuta nAyikA vyaFgyAH /
        tatpakṣe ca nisargasiddhamukhasaurabheṇodbhrānto bhṛṅgo yasyāstādṛśī	tat pakze ca nisarga sidDa muKa sOraBeNa udBrAntaH BRFgaH yasyAH tAdRSI
   cāsau saṅgītaśālinī ceti samāsaḥ /	ca asO saFgIta SAlinI ca iti samAsaH /
        evaṃ vāsaraṃ dinameva /	evam vAsaram dinam eva /
        vāsaraṃ gṛhaṃ tadadhīśe gṛhapatau udite ityarthaḥ /	vAsaram gRham tad aDISe gRhapatO udite iti arTaH /
        atra darśitarītyā nisargeti viśeṣaṇānnāyikā'patati /	atra darSita rItyA nisarga iti viSezaNAt nAyikA apatati /
        Locanā:	LocanA:
        (lo, ā) smerā īṣaddhāsavatī /	(lo, A) smerA Izat hAsavatI /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra nisargetyādiviśeṣaṇasāmyātsarojinyāṃ nāyikāvyavahārapratītau	atra nisarga ityAdi viSezaNa sAmyAt sa rojinyAm nAyikA vyavahAra pratItO
   strīmātragāminaḥ smeratvadharmasya samāropaḥ kāraṇam /	strI mAtra gAminaH smera tva Darmasya samAropaH kAraNam /
   Locanā:	LocanA:
   (lo, i) strīmātragāminaḥ sarojinyāmupacārādeva pravṛtteḥ, kāraṇaṃ	(lo, i) strI mAtra gAminaH sarojinyAm upacArAt eva pravRtteH, kAraNam
   pradhānam, itareṣāṃ tu tacchaktisāhāyyameva /	praDAnam, itarezAm tu tad Sakti sAhAyyam eva /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tena vinā viśeṣaṇasāmyamātreṇa nāyikāvyavahārapratīterasambhavāt /	tena vinA viSezaNa sAmya mAtreNa nAyikA vyavahAra pratIteH asamBavAt /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, dha) prākaraṇikaravikamalinīvṛttāntamātrapratyāyakatvenāpi	(vi, Da) prAkaraNikara vikamalinI vRttAnta mAtra pratyAyaka tvena api
   tadupapatterityatastatpratyāyakatvaniyataṃ smeraviśeṣaṇameveti	tat upapatteH iti atas tad pratyAyaka tva niyatam smera viSezaNam eva iti
   vaktumāha    atra nisargetyādīti /	vaktum Aha     atra nisarga ityAdi iti /
        strīmātreti; mātrapadāt sarojinīvyavacchedaḥ /	strI mAtrA iti; mAtra padAt sarojinI vyavacCedaH /
        tathā sarojinyāḥ, puṣpavikāśasmeratvasyāropavaśāttasyāḥ	taTA sarojinyAH, puzpa vikASa smera tvasya Aropa vaSAt tasyAH
   sādhāraṇadharmatvaṃ tādṛśāropaśca nāyikāvyavahārapratīterheturityarthaḥ /	sADAraNa Darma tvam tAdRSa AropaH ca nAyikA vyavahAra pratIteH hetuH iti arTaH /
        viśeṣaṇasāmyamātreṇeti /	viSezaNa sAmya mAtreNa iti /
        nisargetyādiviśeṣaṇasāmyamātreṇetyarthaḥ /	nisarga ityAdi viSezaNa sAmya mAtreNa iti arTaH /
        asambhavāditi /	asamBavAt iti /
        ravikamalinīvṛttāntenaiva tadupapatterityarthaḥ /	ravi kamalinI vRttAntena eva tat upapatteH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   aupamyagarbhatvaṃ punastridhā sambhavati, upamārūpasaṅkaragarbhatvāt /	Opamya garBa tvam punar triDA samBavati, upamA rUpa saFkara garBa tvAt /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, na) upamārūpaketi /	(vi, na) upamA rUpaka iti /
        upamāgarbhatve rūpakagarbhatve upamārūpakayoḥ sandehasaṅkaragarbhatve	upamA garBa tve rUpaka garBa tve upamArUpakayoH sandeha saFkara garBa tve
   cetyarthaḥ /	ca iti arTaH /
        garbhatvaṃ ca tajjñānapūrvakatvam /	garBa tvam ca tat jQAna pUrvaka tvam /
        naca rūpakagarbhakasya kathamupamānagarbhaprabheda iti vācyam,	na ca rUpaka garBakasya kaTam upamAna garBa praBedaH iti vAcyam,
   rūpakasyāpi sādṛśyajanakatvena tajjananatpūrvaṃ tadvodhena	rUpakasya api sAdRSya janaka tvena tat jananat pUrvam tad voDena
   tatpūrvatvādapītyāha  	tad pUrva tvAt api iti Aha  
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatropamāgarbhatve yathā  	tatra upamAgarBa tve yaTA  
   "adantaprabhāpuṣpacitā pāṇipallavaśobhinī /	"adanta praBA puzpa citA pANi pallava SoBinI /
   keśapāśālivṛndena suveṣā hariṇekṣaṇā" //	keSa pASa Ali vRndena su vezAH hariNa IkzaNA" //
   atra suveṣatvavaśātprathamaṃ dantaprabhāḥ puṣpāṇīvetyupamāgarbhatvena	atra su veza tva vaSAt praTamam danta praBAH puzpANi iva iti upamA garBa tvena
   samāsaḥ /	samAsaH /
   anantaraṃ ca dantaprabhāsadṛśaiḥ puṣpaiścitetyādisamāsāntarāśrayeṇa	anantaram ca danta praBA sadRSEH puzpEH citA ityAdi samAsa antara ASrayeNa
   samānaviśeṣaṇamahātmyāddhariṇekṣaṇāyāṃ latāvyavahārapratītiḥ /	samAna viSezaNa mahAtmyAt hariNa IkzaNAyAm latA vyavahAra pratItiH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pa) tadantaprabheti /	(vi, pa) tad anta praBA iti /
        atra dantaprabhāḥ puṣpāṇīva ityādirītyā sarvatra	atra danta praBAH puzpANi iva iti AdirItyA sarvatra
   puruṣavyāghrāditvādupamāsamāsaḥ /	puruza vyAGra Adi tvAt upamAsa mAsaH /
        naca dantaprabhaiva puṣpamityādirītyā rūpakameveti vācyam /	na ca danta praBA eva puzpam iti AdirItyA rUpakam eva iti vAcyam /
        rūpakasya bādhakadvayasattvāt /	rUpakasya bADaka dvaya sattvAt /
        tathā hi   "upamitaṃ vyāghrādibhiḥ sāmānyāprayoge" iti	taTA hi   "upamitam vyAGra AdiBiH sAmAnya aprayoge" iti
   pāṇinyanuśāsanenasādhāraṇadharmāprayoge rūpakasamāsabādhād	pANini anuSAsanena sADAraNa Darma aprayoge rUpaka samAsa bADAd
   upamāsamāsasyaiva vyavasthāpanādityekaṃ bādhakam /	upamAsa mAsasya eva vyavasTApanAt iti ekam bADakam /
        dvitīyaṃ granthakṛdeva āha   atra suveṣatvavaśāditi /	dvitIyam granTa kRt evaH Aha   atra su veza tva vaSAt iti /
        ayaṃ bhāvaḥ /	ayam BAvaH /
        veṣāstadāropitadharmāḥ /	vezAH tad Aropita DarmAH /
        kaṭakakuṇḍalasindūrādīnāṃ dantaprabhādīnāṃ ca	kawaka kuNxala sindUra AdInAm danta praBA AdInAm ca
   nāyikādharmavṛttidharmatvenāropitatvāt /	nAyikA Darma vRtti Darma tvena Aropita tvAt /
        kaṭakakuṇḍalasindūrādīnāṃ dantaprabhādīnāṃ ca	kawaka kuNxala sindUra AdInAm danta praBA AdInAm ca
   nāyikādharmavṛttidharmatvenāropitatvāt /	nAyikA Darma vRtti Darma tvena Aropita tvAt /
        puṣpādibhinnaiḥ taiḥ suveṣapratītirna ghaṭate ityataḥ prathamaṃ	puzpa Adi BinnEH tEH su veza pratItiH na Gawate iti atas praTamam
   dantaprabhādiviśeṣyake vyāghrādisamāsa evetyāha   upamāgarbhatveneti /	danta praBA Adi viSezyake vyAGra Adi samAsaH eva iti Aha    upamAgarBa tvena iti /
        nanu tathāpi saivānupapattiḥ, svīyadharmaiḥ suveṣatvāsambhavādityata	nanu taTA api sA eva anupapattiH, svIya DarmEH su veza tva asamBavAt ityata
   āha   anantaraṃ ceti /	Aha   anantaram ca iti /
        ayamarthaḥ   sakṛduccaritaiḥ śabdairasakṛcchaktilakṣaṇābhyāṃ	ayam arTaH    sakRt uccaritEH SabdEH asakRt Sakti lakzaNAByAm
   bodhāsambhavāddarśito 'yaṃ puṣpādiviśeṣyaka upamāsamāsārtho vyaṅgya eva /	boDa asamBavAt darSitaH ayam puzpa Adi viSezyakaH upamAsa mAsa arTaH vyaFgyaH eva /
        tātparyavaśācchaktyā vākyabodhakatvaṃ vā /	tAtparyavaSAt SaktyA vAkya boDaka tvam vA /
        suveṣatvopapattikatvaṃ ca samāsadvayatātparyagrāhakaṃ tena ca	su veza tva upapattika tvam ca samAsa dvayatAtparyagrAhakam tena ca
   suveṣatvepapattau upapattimāha   samānaviśeṣaṇamāhātmyāditi /	su veza tvepa pattO upapatti mAha   samAna viSezaNa mAhAtmyAt iti /
        samāsadvayaghaṭitatvenobhayaviśeṣaṇāt sāmyam /	samAsa dvaya Gawita tvena uBaya viSezaNAt sAmyam /
        ekaikasamāsena ekaikaviśeṣaṇamiti bhāvaḥ /	ekEka samAsena ekEka viSezaNam iti BAvaH /
        latāvyavahārastadvallāsyādiḥ /	latA vyavahAraH tad vallAsya AdiH /
        Locanā:	LocanA:
        (lo, ī) suveṣatvavaśāt suveṣeti padasāmarthyāt /	(lo, I) su veza tva vaSAt suveza iti pada sAmarTyAt /
        taddhi nāyikāyāṃ mukhyaṃ natu latāyāmiti nāyikādharmiṇāmeva	tat hi nAyikAyAm muKyam na tu latAyAm iti nAyikA DarmiNAm eva
   dantaprabhādīnāmupameyaprayojakaṃ, natu hariṇekṣaṇapadopādānaṃ,	danta praBA AdInAm upameya prayojakaM, na tu hariNa IkzaNa pada upAdAnaM,
   prastutetarapadāpekṣayaiva samāsapravṛttervyavasthānāt /	prastuta itara pada apekzayA eva samAsa pravRtteH vyavasTAnAt /
        anyathā dāse kṛtāgasītyādāvapi prācīnaprasiddhe 'pi	anyaTA dAse kRta agasi iti AdO= api prAcIna prasidDe api
   rūpakasamāsaviṣaye upāttanāyikānuguṇyena pulakāṅkurakaṇṭakāgrairityatra	rUpaka samAsa vizaye upAttanAyika anuguNyena pulaka aFkura kaNwaka agrEH iti atra
   upamāsamāsa eva syāt /	upamAsa mAsaH eva syAt /
        samāsāntareṇa sāmagrīvaśādāmarṣitena /	samAsa antareNa sAmagrI vaSAdAmarzitena /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   rūpakagarbhatve yathā  	rUpaka garBa tve yaTA  
   "lāvaṇyamadhubhiḥ pūrṇam " ityādi /	"lAvaNya maDuBiH pUrNam " ityAdi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pha) lāvaṇyamadhviti   naca ekadeśavivarttirūpakodāharaṇameva	(vi, Pa) lAvaNyam aDu iti   nacaH eka deSa vivartti rUpaka udAharaNam eva
   prāguktam, kathamatra samāsoktiriti vācyam /	prAk uktam, kaTam atra samAsoktiH iti vAcyam /
        sāmpradāyikamate ekadeśavivarttirūpakasthale sarvatra vyaṅgyarūpyāṃśe	sAmpradAyika mate eka deSa vivartti rUpaka sTale sarvatra vyaFgya rUpya aMSe
   samāsoktitvasvīkārāt, yatra viśeṣe tu na svīkāra ityagre vyaktirbhaviṣyati	samAsa ukti tva svIkArAt, yatra viSeze tu na svIkAraH iti agre vyaktiH Bavizyati
        atra sāmānyadharmāprayoge 'pi nopamāsamāsaḥ /	atra sAmAnya Darma aprayoge api na upamAsa mAsaH /
        madhutulyalāvaṇyasya pānāsambhavāt /	maDu tulya lAvaNyasya pAna asamBavAt /
        rūpakatve tu madhunaḥ sambhavatyeva pānam /	rUpaka tve tu maDunaH samBavati eva pAnam /
        āsyasyaivātra pānamuktaṃ tasya cobhayathāpi pānāsambhava iti na	Asyasya eva atra pAnam uktam tasya ca uBayaTA api pAnAsamBavaH iti na
   vācyam, "saviśeṣaṇau vidhiniṣedhau viśeṣaṇamupasaṅkrāmataḥ sati viśeṣye	vAcyam, "sa viSezaNO viDi nizeDO viSezaNam upasaFkrAmataH sati viSezye
   bodhe'; iti nyāyānmadhunyeva cānvayāt /	boDe a; iti nyAyAt maDuni eva ca anvayAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   saṅkaragarbhatve yathā "dantaprabhāpuṣpa " ityādi /	saFkara garBa tve yaTA "danta praBA puzpa " ityAdi /
   "suveṣā" ityatra "parītā" iti pāṭhe	"su vezA" iti atra "parItA" iti pAWe
   hyupamārūpakasādhakābhāvātsaṅkarasamāśrayaṇam /	hi upamArUpaka sADaka aBAvAt saFkara samASrayaNam /
   samāsāntaraṃ pūrvavat /	samAsa antaram pUrvavat /
   samāsāntaramahimnā latāpratītiḥ /	samAsa antara mahimnA latA pratItiH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ba) parīteti pāṭhe iti /	(vi, ba) parIta iti pAWe iti /
        suveṣatvasya nijadharmeṇāsambhavāttatsattve kramaśaḥ	su veza tvasya nija DarmeNa asamBavAt tad sattve kramaSas 
   samāsadvayenaivopapattirdarśitetyatastatra na rūpakopamāyāḥ	samAsa dvayena eva upapattiH darSita iti atas tatra na rUpaka upamAyAH
   sandehasaṅkaraḥ /	sandeha saFkaraH /
        parīteti pāṭhe tu parītatvaṃ vyāptiḥ puṣpairlāvaṇyaiḥ	parIta iti pAWe tu parIta tvam vyAptiH puzpEH lAvaNyEH
   sambhavatītyatra samāsadvayenopamārūpakayorbhavatyeva sandeha iti bhāvaḥ /	samBavati iti atra samAsa dvayena upamArUpakayoH Bavati eva sandehaH iti BAvaH /
        naca sāmānyadharmāprayogavaśādupamā rūpakaṃ bādhata iti vācyam /	na ca sAmAnya Darma aprayoga vaSAt upamA rUpakam bADataH iti vAcyam /
        rūpakasya sambhave tathā rūpakābādhāt /	rUpakasya samBave taTA rUpaka AbADAt /
        suveṣatvavaśādrūpakabādhādeva tathā tadbādhasya prāg darśitatvāt /	su veza tva vaSAt rUpaka bADAt eva taTA tad bADasya prAk darSita tvAt /
        sandehasaṅkaraṃ grāhayati   atra hīti /	sandeha saFkaram grAhayati    atra hi iti /
        samāsāntaramiti /	samAsa antaram iti /
        vinigamakābhovenobhayasamāsāntaraṃ pūrvavallatāpratītirityanvayaḥ /	vinigamaka aBaH vena uBaya samAsa antaram pUrvavat latA pratItiH iti anvayaH /
        tatra hetumāha   samāsāntaramahimneti /	tatra hetumAha    samAsa antara mahimnA iti /
        samāsāntaramatra rūpakasamāsaḥ /	samAsa antaram atra rUpaka samAsaH /
        tadvattve lāvaṇyamadhubhiḥ pūrṇamityekadeśavivarttirūpakodāharaṇe 'pi	tadvat tve lAvaNya maDuBiH pUrNam iti eka deSa vivartti rUpa ka udAharaNe api
   samāsoktitvamidaṃ darśitaṃ sāmpradāyikamatānusāreṇaiva /	samAsa ukti tvam idam darSitam sAmpradAyika mata anusAreNa eva /
        Locanā:	LocanA:
        (lo, u) sādhakābhāvāditi /	(lo, u) sADaka aBAvAt iti /
        parītatvasya hariṇekṣaṇāyāṃ latāyāṃ ca sādhāraṇyenaiva pravṛtteḥ /	parIta tvasya hariNa IkzaNAyAm latAyAm ca sADAraNyena eva pravRtteH /
        saṅkarasamāśrayeṇeti /	saFkara samASrayeNa iti /
        saṅkaro 'tra upamārūpakasandehasaṅkaraḥ /	saFkaraH atra upamArUpaka sandeha saFkaraH /
        tadāśrayeṇa samāso nirddhāritākāraḥ /	tad ASrayeNa samAsaH nirdDArita AkAraH /
        pūrvaṃ dantaprabhāsadṛśaiḥ puṣpaiścitetyuktaprakāraḥ /	pUrvam danta praBA sadRSEH puzpEH citA iti ukta prakAraH /
        latāpratītirityatra latāpadaṃ bhāvapradhānam /	latA pratItiH iti atra latA padam BAva praDAnam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   eṣu ca yaṣāṃ mate upamāsaṅkarayorekadeśavivartitā nāsti tanmate	ezu ca yazAm mate upamA saFkarayoH eka deSa vivartitA na asti tad mate
   ādyatṛtīyayoḥ samāsoktiḥ /	Adya tRtIyayoH samAsoktiH /
   dvitīyastu prakāra ekadeśavirviṃtarūpakaviṣaya eva /	dvitIyaH tu prakAraH eka deSa virviMta rUpaka vizayaH eva /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, bha) kecittvatraikadeśavivārttirūpake samāsoktiṃ na manyante,	(vi, Ba) kecid tu atra eka deSa vivArtti rUpake samAsa uktim na manyante,
   kintūpamātatsaṅkaragarbhatva eva tāṃ manyante /	kintu upam Atat saFkara garBa tvaH eva tAm manyante /
        tatra prathamaṃ rūpakasamāsabādhasyādarśitatvātteṣāṃ mataṃ	tatra praTamam rUpaka samAsa bADasya AdarSita tvAt tezAm matam
   darśayati   eṣu ceti /	darSayati   ezu ca iti /
        ādyaṃ dantaprabhetyādikam /	Adyam danta praBA iti Adikam /
        tṛtīyaṃ parītatvapāṭhaviśiṣṭam /	tRtIyam parIta tva pAWa viSizwam /
        tadevaṃ dvitīyo lāvaṇyamadhubhairityādyukto rūpakaviṣaya eva na	tat evam dvitIyaH lAvaNya maDuBEH iti Adi uktaH rUpaka vizayaH eva na
   samāsoktiviṣayaḥ /	samAsa ukti vizayaH /
        vyaṅgyarūpakaṃ mukhasya padmatvaṃ taddharmalāvaṇyādau madhvādirūpakaṃ	vyaFgya rUpakam muKasya padma tvam tad Darma lAvaNya AdO maDu Adi rUpakam
   vācyamityekadeśavivarttisuveṣatvaviśeṣaṇavati dantaprabhetyādau /	vAcyam iti eka deSa vivartti su veza tva viSezaNavati danta praBA iti AdO /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   paryālocane tvādye prakāre evadeśavivartinyupamaivāṅgīkartumucitā /	paryAlocane tvAdye prakAre eva deSa vivartini upama eva aFgIkartum ucitA /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ma) paryālocane tu na samāsoktirnāpyekadeśavivarttirūpakaṃ	(vi, ma) paryAlocane tu na samAsoktiH na api eka deSa vivartti rUpakam
   kintvekadeśavivarttyupamaiva iti svamataṃ granthakṛdāha   paryālocane	kintu eka deSa vivartti upamA eva iti sva matam granTa kRt Aha    paryAlocane
   tviti /	tu iti /
        samāse luptevakārāllāvaṇyādau madhvādyupamā vācyā /	samAse luptA ivakArAt lAvaNya AdO maDu Adi upamA vAcyA /
        nāyikāyāṃ tūpamā vyaṅgyā ityekadeśavivarttinī	nAyikAyAm tu upamA vyaFgyA iti eka deSa vivarttinI
   upamaivetyevakārātsamāsoktivyavacchedaḥ /	upamA eva iti evakArAt samAsa ukti vyavacCedaH /
