   // om namo buddhāya //	// om namaH budDAya //
   Saundaranandaṃ Mahākāvyam	SOndara-nandam MahAkAvyam
   sambhārataḥ pratyayataḥ svabhāvādāsvādato doṣaviśeṣataśca /	samBArataH pratyayataH svaBAvAt-AsvAdataH doza-viSezataH-ca /
   athātmavānniḥsaraṇātmataśca dharmeṣu cakre vidhivat parīkṣām //	aTa-AtmavAn-niHsaraNa-AtmataH-ca Darmezu cakre viDivat parIkzAm //
   Saund_17.15 //	SOnd-_17.15 //
   sa rūpiṇaṃ kṛtsnamarūpiṇaṃ ca sāraṃ didṛkṣurvicikāya kāyam /	sa rUpiNam kRtsnam-arUpiNam ca sAram didRkzuH-vicikAya kAyam /
   athāśuciṃ duḥkhamanityamasvaṃ nirātmakaṃ caiva cikāya kāyam // Saund_17.16	aTa-aSucim duHKam-anityam-asvam nirAtmakam ca-eva cikAya kAyam // SOnd_17.16
   anityatastatra hi śūnyataśca nirātmato duḥkhata eva cāpi /	anityataH-tatra hi SUnyataH-ca nirAtmataH duHKataH eva ca-api /
   mārgapravekeṇa sa laukikena kleśadrumaṃ saṃcalayāṃcakāra // Saund_17.17 //	mArga-pravekeNa sa lOkikena kleSa-drumam saMcalayAMcakAra // SOnd-_17.17 //
   yasmādabhūtvā bhavatīha sarvaṃ bhutvā ca bhūyo na bhavatyavaśyam /	yasmAt-aBUtvA Bavati-iha sarvam ButvA ca BUyas na Bavati-avaSyam /
   sahetukaṃ ca kṣayi hetumacca tasmādanityaṃ jagadityavindat // Saund_17.18	sa-hetukam ca kzayi hetumat-ca tasmAt-anityam jagat-iti-avindat // SOnd-_17.18
   yataḥ prasūtasya ca karmayogaḥ prasajyate bandhavighātahetuḥ /	yatas prasUtasya ca karma-yogaH prasajyate banDa-viGAta-hetuH /
   duḥkhapratīkāravidhau sukhākhye tato bhavaṃ duḥkhamiti vyapaśyat //	duHKa-pratIkAra-viDO suKa-AKye tatas Bavam duHKam-iti vyapaSyat //
   Saund_17.19 //	SOnd-_17.19 //
   yataśca saṃskāragataṃ viviktaṃ na kārakaḥ kaścana vedako vā /	yatas-ca saMskAra-gatam viviktam na kArakaH kaScana vedakaH vA /
   samagryataḥ saṃbhavati pravṛttiḥ śūnyaṃ tato lokamimaṃ dadarśa //	samagryataH saMBavati pravRttiH SUnyam tatas lokam-imam dadarSa //
   Saund_17.20 //	SOnd-_17.20 //
   yasmānnirīhaṃ jagadasvatantraṃ naiśvaryamekaḥ kurute kriyāsu /	yasmAt-nirIham jagat-asvatantram na-ESvaryam-ekaH kurute kriyAsu /
   tattatpratītya prabhavanti bhāvā nirātmakaṃ tena viveda lokam //	tat-tat-pratItya praBavanti BAvAH nirAtmakam tena viveda lokam //
   Saund_17.21 //	SOnd-_17.21 //
   tataḥ sa vātaṃ vyajanādivoṣṇe kāṣṭhāśritaṃ nirmathanādivāgnim /	tatas sa vAtam vyajanAt-iva-uzNe kAzWa-ASritam nirmaTanAt-iva-agnim /
   antaḥkṣitisthaṃ khananādivāmbho lokottaraṃ vartma durāpamāpa //	antar-kziti-sTam KananAt-iva-amBaH loka-uttaram vartma durApam-Apa //
   Saund_17.22 //	SOnd-_17.22 //
   sajjñānacāpaḥ smṛtivarma baddhvā viśuddhaśīlavratavāhanasthaḥ /	sat-jQAna-cApaH smRti-varma badDvA viSudDa-SIla-vrata-vAhana-sTaH /
   kleśāribhiścittaraṇājirasthaiḥ sārdhaṃ yuyutsurvijayāya tasthau //	kleSa-ariBiH-cittaraNa-ajira-sTEH sArDam yuyutsuH-vijayAya tasTO //
   Saund_17.23 //	SOnd-_17.23 //
   tataḥ sa bodhyaṅgaśitāttaśastraḥ samyakpradhānottamavāhanasthaḥ /	tatas sa boDi-aFga-Sita-Atta-SastraH samyak-praDAna-uttama-vAhana-sTaH /
   mārgāṅgamātaṅgavatā balena śanaiḥ śanaiḥ kleśacamūṃ jagāhe // Saund_17.24	mArga-aFga-mAtaFgavatA balena SanEs SanEs kleSa-camUm jagAhe // SOnd-_17.24
   sa smṛtyupasthānamayaiḥ pṛṣatkaiḥ śatrūn viparyāsamayān kṣaṇena /	sa smRti-upasTAna-mayEH pRzatkEH SatrUn viparyAsa-mayAn kzaNena /
   duḥkhasya hetūṃścaturaścaturbhiḥ svaiḥ svaiḥ pracārāyatanairdadāra //	duHKasya hetUn=-caturaH-caturBiH svEH svEH pracAra-AyatanEH-dadAraH //
   Saund_17.25 //	SOnd-_17.25 //
   āryairbalaiḥ pañcabhireva pañca cetaḥkhilānyapratimairbabhañja /	AryEH-balEH paQcaBiH-eva paQca cetaH-KilAni-apratimEH-baBaQja /
   mithyāṅganāgāṃśca tathāṅganāgairvinirdudhāvāṣṭabhireva so 'ṣṭau //	miTyA-aFga-nAgAn=-ca taTA-aFga-nAgEH-vinirduDAvAzwaBiH-eva saH azwO //
   Saund_17.26 //	SOnd-_17.26 //
   athātmadṛṣṭiṃ sakalāṃ vidhūya caturṣu satyeṣvakathaṃkathaḥ san /	aTa-Atma-dRzwim sakalAm viDUya caturzu satyezu-akaTaMkaTaH san /
   viśuddhaśīlavratadṛṣṭadharmā dharmasya pūrvāṃ phalabhūmimāpa //	viSudDa-SIla-vrata-dRzwa-DarmAH Darmasya pUrvAm PalaBUmim-Apa //
   Saund_17.27 //	SOnd-_17.27 //
   sa darśanādāryacatuṣṭayasya kleśaikadeśasya ca viprayogāt /	sa darSanAt-Arya-catuzwayasya kleSa-eka-deSasya ca viprayogAt /
   pratyātmikāccāpi viśeṣalābhāt pratyakṣato jñānisukhasya caiva //	pratyAtmikAt-ca-api viSeza-lABAt pratyakzataH jQAni-suKasya ca-eva //
   Saund_17.28 //	SOnd-_17.28 //
   dārḍhyāt prasādasya dhṛteḥ sthiratvāt satyeṣvasaṃmūḍhatayā caturṣu /	dArXyAt prasAdasya DRteH sTira-tvAt satyezu-asaMmUXa-tayA caturzu /
   śīlasya cācchidratayottamasya niḥsaṃśayo dharmavidhau babhūva //	SIlasya ca-acCidratayA-uttamasya niHsaMSayaH Darma-viDO baBUva //
   Saund_17.29 //	SOnd-_17.29 //
   kudṛṣṭijālena sa viprayukto lokaṃ tathābhūtamavekṣamāṇaḥ /	kudRzwi-jAlena sa viprayuktaH lokam taTABUtam-avekzamANaH /
   jñānāśrayāṃ prītimupājagāma bhūyaḥ prasādaṃ ca gurāviyāya // Saund_17.30	jQAna-ASrayAm prItim-upAjagAma BUyas prasAdam ca gurO=-iyAya // SOnd-_17.30
   yo hi pravṛttiṃ niyatāmavaiti nivānyahetoriha nāpyahetoḥ /	yaH hi pravRttim niyatAm-avEti nivAnya-hetoH-iha na-api-ahetoH /
   pratītya tattatsamavaiti tattatsa naiṣṭhikaṃ paśyati dharmamāryam //	pratItya tat-tad-samavEti tat-tat-sa nEzWikam paSyati Darmam-Aryam //
   Saund_17.31 //	SOnd-_17.31 //
   śāntaṃ śivaṃ nirjarasaṃ virāgaṃ niḥśreyasaṃ paśyati yaśca dharmam /	SAntam Sivam nirjarasam virAgam niHSreyasam paSyati yaH-ca Darmam /
   tasyopadeṣṭāramathāryavaryaṃ sa prekṣate buddhamavāptacakṣuḥ //	tasya-upadezwAram-aTa-Arya-varyam sa prekzate budDam-avApta-cakzuH //
   Saund_17.32 //	SOnd-_17.32 //
   yathopadeśena śivena mukto rogādarogo bhiṣajaṃ kṛtajñaḥ /	yaTA-upadeSena Sivena muktaH rogAt-arogaH Bizajam kRtajQaH /
   anusmaran paśyati cittadṛṣṭyā maitryā ca śāstrajñatayā ca tuṣṭaḥ //	anusmaran paSyati citta-dRzwyA mEtryA ca SAstra-jQa-tayA ca tuzwaH //
   Saund_17.33 //	SOnd-_17.33 //
   āryeṇa mārgeṇa tathaiva muktastathāgataṃ tattvavidāryatattvaḥ /	AryeNa mArgeNa taTA-eva muktaH-taTAgatam tattva-vidArya-tattvaH /
   anusmaran paśyati kāyasākṣī maitryā ca sarvajñatayā ta tuṣṭaḥ //	anusmaran paSyati kAya-sAkzI mEtryA ca sarvajQa-tayA ta tuzwaH //
   Saund_17.34 //	SOnd-_17.34 //
   sa nāśakairdṛṣṭigatairvimuktaḥ paryantamālokya punarbhavasya /	sa nASakEH-dRzwi-gatEH-vimuktaH paryantam-Alokya punarBavasya /
   bhaktvā ghṛṇāṃ kleśavijṛmbhiteṣu mṛtyorna tatrāsa na durgatibhyaḥ //	BaktvA GRNAm kleSa-vijRmBitezu mRtyoH-na tatrAsa na durgatiByaH //
   Saund_17.35 //	SOnd-_17.35 //
   tvaksnāyumedorudhirāsthimāṃsakeśādināmedhyagaṇena pūrṇam /	tvac-snAyu-medaH-ruDira-asTi-mAMsa-keSa-AdinA-ameDya-gaNena pUrNam /
   tataḥ sa kāyaṃ samavekṣamāṇaḥ sāraṃ vicintyāṇvapi nopalebhe // Saund_17.36	tatas sa kAyam samavekzamANaH sAram vicintya-aNu-api na-upaleBe // SOnd-_17.36
   sa kāmarāgapratighau sthirātmā tenaiva yogena tanū cakāra /	sa kAma-rAga-pratiGO sTira-AtmA tena-eva yogena tanU cakAra /
   kṛtvā mahoraskatanustanū tau prāpa dvitīyaṃ phalamāryadharme //	kRtvA mahA-uraska-tanuH-tanU tO prApa dvitIyam Palam-Arya-Darme //
   Saund_17.37 //	SOnd-_17.37 //
   sa lobhacāpaṃ parikalpabāṇaṃ rāgaṃ mahāvairiṇamalpaśeṣam /	sa loBa-cApam parikalpa-bANam rAgam mahA-vEriNam-alpa-Sezam /
   kāyasvabhāvādhigataurbibheda yogāyudhāstrairaśubhāpṛṣatkaiḥ // Saund_17.38	kAya-svaBAva-aDigatOH-biBeda yoga-AyuDa-astrEH-aSuBa-apRzatkEH // SOnd_17.38
   dveṣāyudhaṃ krodhavikīrṇabāṇaṃ vyāpādamantaḥprasavaṃ sapatnam /	dveza-AyuDam kroDa-vikIrNa-bANam vyApAdam-antar-prasavam sapatnam /
   maitrīpṛṣatkairdhṛtitūṇasaṃsthaiḥ kṣamādhanurjyāvisṛtairjaghāna //	mEtrI-pRzatkEH-DRti-tUNa-saMsTEH kzamA-DanuH-jyA-visRtEH-jaGAna //
   Saund_17.39 //	SOnd-_17.39 //
   mūlānyatha trīṇyaśubhasya vīrastribhirvimokṣāyatanaiścakarta /	mUlAni-aTa trINi-aSuBasya vIraH-triBiH-vimokza-AyatanEH-cakarta /
   camūmukhasthān dhṛtakārmukāṃstrīnarīnivāristribhirāyasāgraiḥ //	camU-muKa-sTAn DRta-kArmukAn=-trIn-arIn-iva-ariH-triBiH-Ayasa-agrEH //
   Saund_17.40 //	SOnd-_17.40 //
   sa kāmadhātoḥ samatikramāya pārṣṇigrahāṃstānabhibhūya śatrūn /	sa kAmaDAtoH samatikramAya pArzNigrahAn=-tAn-aBiBUya SatrUn /
   yogādanāgāmiphalaṃ prapadya dvārīva nirvāṇapurasya tasthau // Saund_17.41	yogAt-anAgAmi-Palam prapadya dvArI-iva nirvANa-purasya tasTO // SOnd-_17.41
   kāmairviviktaṃ malinaiśca dharmairvitarkavaccāpi vicāravacca /	kAmEH-viviktam malinEH-ca DarmEH-vitarka-vat-ca-api vicAra-vat-ca /
   vivekajaṃ prītisukhopapannaṃ dhyānaṃ tataḥ sa prathamaṃ prapede //	viveka-jam prIti-suKa-upapannam DyAnam tatas sa praTamam prapede //
   Saund_17.42 //	SOnd-_17.42 //
   kāmāgnidāhena sa vipramukto lhādaṃ paraṃ dhyānasukhādavāpa /	kAma-agni-dAhena sa vipramuktaH lhAdam param DyAna-suKAt-avApa /
   sukhaṃ vigāhyāpsviva dharmakhinnaḥ prāpyeva cārtha vipulaṃ daridraḥ //	suKam vigAhya-apsu-iva Darma-KinnaH prApya-iva ca-arTa vipulam daridraH //
   Saund_17.43 //	SOnd-_17.43 //
   tatrāpi taddharmagatān vitarkān guṇāguṇe ca prasṛtān vicārān /	tatra-api tad-Darma-gatAn vitarkAn guNa-aguNe ca prasRtAn vicArAn /
   buddhvā manaḥkṣobhakarānaśāntāṃstadviprayogāya matiṃ cakāra // Saund_17.44	budDvA manaH-kzoBa-karAna-SAntAn=-tad-viprayogAya matim cakAra // SOnd_17.44
   kṣobhaṃ prakurvanti yathormayo hi dhīraprasannāmbuvahasya sindhoḥ /	kzoBam prakurvanti yaTA-UrmayaH hi DIra-prasanna-ambu-vahasya sinDoH /
   ekāgrabhūtasya tathormibhūtāścittāmbhasaḥ kṣobhakarā vitarkāḥ //	ekAgra-BUtasya taTA-Urmi-BUtAH-citta-amBasaH kzoBa-karAH vitarkAH //
   Saund_17.45 //	SOnd-_17.45 //
   khinnasya suptasya ca nirvṛtasya bādhaṃ yathā saṃjanayanti śabdāḥ /	Kinnasya suptasya ca nirvRtasya bADam yaTA saMjanayanti SabdAH /
   adyātmamaikāgryamupāgatasya bhavanti bādhāya tathā vitarkāḥ // Saund_17.46	adya-Atmam-EkAgryam-upAgatasya Bavanti bADAya taTA vitarkAH // SOnd-_17.46
   athāvitarkaṃ kramaśo 'vicāramekāgrabhāvānmanasaḥ prasannam /	aTa-avitarkam kramaSas avicAram-ekAgra-BAvAt-manasaH prasannam /
   samādhijaṃ prītisukhaṃ dvitīyaṃ dhyānaṃ tadādhyātmaśivaṃ sa dadhyau //	samADi-jam prIti-suKam dvitIyam DyAnam tadA-aDyAtma-Sivam sa daDyO //
   Saund_17.47 //	SOnd-_17.47 //
   taddhyānamāgamya ca cittamaunaṃ lebhe parāṃ prītimalabdhapūrvām /	tat-DyAnam-Agamya ca citta-mOnam leBe parAm prItim-alabDa-pUrvAm /
   prītau tu tatrāpi sa doṣadarśī yathā vitarkeṣvabhavattathaiva //	prItO tu tatra-api sa doza-darSI yaTA vitarkezu-aBavat-taTA-eva //
   Saund_17.48 //	SOnd-_17.48 //
   prītiḥ parā vastuni yatra yasya viparyayāttasya hi tatra duḥkham /	prItiH parA vastuni yatra yasya viparyayAt-tasya hi tatra duHKam /
   prītāvataḥ prekṣya sa tatra doṣān prītikṣaye yogamupāruroha // Saund_17.49	prItO=-atas prekzya sa tatra dozAn prIti-kzaye yogam-upAruroha // SOnd-_17.49
   prītervirāgāt sukhamāryajuṣṭaṃ kāyena vindannatha saṃprajānan /	prIteH-virAgAt suKam-Arya-juzwam kAyena vindan=-aTa saMprajAnan /
   upekṣakaḥ sa smṛtimān vyahārṣid dhyānaṃ tṛtīyaṃ pratilabhya dhīraḥ //	upekzakaH sa smRtimAn vyahArzid DyAnam tRtIyam pratilaBya DIraH //
   Saund_17.50 //	SOnd-_17.50 //
   yasmāt paraṃ tatra sukhaṃ sukhebhyastataḥ paraṃ nāsti sukhapravṛttiḥ /	yasmAt param tatra suKam suKeByaH-tatas param na-asti suKa-pravRttiH /
   tasmād babhāṣe śubhakṛtsnabhūmiḥ parāparajñaḥ parameti maitryā //	tasmAt baBAze SuBa-kRtsna-BUmiH para-apara-jQaH parama-iti mEtryAH //
   Saund_17.51 //	SOnd-_17.51 //
   dhyāne 'pi tatrātha dadarśa doṣaṃ mene paraṃ śāntamaniñjameva /	DyAne api tatra-aTa dadarSa dozam mene param SAntam-aniQjam-eva /
   ābhogato 'pīñjayati sma tasya cittaṃ pravṛttaṃ sukhamityasram //	ABogataH apIn-jayati sma tasya cittam pravRttam suKam-iti-asram //
   Saund_17.52 //	SOnd-_17.52 //
   yatreñjitaṃ spanditamasti tatra yatrāsti ca spanditamasti duḥkham /	yatra-iQjitam spanditam-asti tatra yatra-asti ca spanditam-asti duHKam /
   yasmādatastatsukhamiñjakatvāt praśāntikāmā yatayastyajanti // Saund_17.53	yasmAt-atas-tad-suKam-iQjaka-tvAt praSAnti-kAmAH yatayaH-tyajanti // SOnd-_17.53
   atha prahāṇāt sukhaduḥkhayośca manovikārasya ca pūrvameva /	aTa prahANAt suKa-duHKayoH-ca manaH-vikArasya ca pUrvam-eva /
   dadhyāvupekṣāsmṛtimad viśuddhaṃ dhyānaṃ tathāduḥkhasukhaṃ caturtham //	daDyO=-upekzA-smRtimat viSudDam DyAnam taTA-duHKa-suKam caturTam //
   Saund_17.54 //	SOnd-_17.54 //
   yasmāttu tasminna sukhaṃ na duḥkhaṃ jñānaṃ ca tatrāsti tadarthacāri /	yasmAt-tu tasmin-na suKam na duHKam jQAnam ca tatra-asti tad-arTa-cAri /
   tasmādupekṣāsmṛtipāriśuddhirnirucyate dhyānavidhau caturthe // Saund_17.55	tasmAt-upekzA-smRti-pAriSudDiH-nirucyate DyAna-viDO caturTe // SOnd-_17.55
   dhyānaṃ sa niśritya tataścaturthamarhattvalābhāya matiṃ cakāra /	DyAnam sa niSritya tatas-caturTam-arhat-tva-lABAya matim cakAra /
   saṃdhāya mitraṃ balavantamāryaṃ rājeva deśānajitān jigīṣuḥ // Saund_17.56	saMDAya mitram balavantam-Aryam rAjA-iva deSAn-ajitAn jigIzuH // SOnd-_17.56
   ciccheda kārtsnyena tataḥ sa pañca prajñāsinā bhāvanayeritena /	cicCeda kArtsnyena tatas sa paQca prajQA-asinA BAvanayA-Iritena /
   ūrdhvaṅgamānyuttamabandhanāni saṃyojanānyuttamabandhanāni // Saund_17.57	UrDvaFgamAni-uttama-banDanAni saMyojanAni-uttama-banDanAni // SOnd-_17.57
   bodhyaṅganāgairapi saptabhiḥ sa saptaiva cittānuśayān mamarda /	boDi-aFga-nAgEH-api saptaBiH sa sapta-eva citta-anuSayAn mamarda /
   dvipānivopasthitavipraṇāśān kālo grahaiḥ saptabhireva sapta // Saund_17.58	dvipAn-iva-upasTita-vipraNASAn kAlaH grahEH saptaBiH-eva sapta // SOnd_17.58
   agnidrumājyāmbuṣu yā hi vṛttiḥ kabandhavāyvagnidivākarāṇām /	agni-druma-Ajya-ambuzu yA hi vRttiH kabanDa-vAyu-agni-divAkarANAm /
   doṣeṣu tāṃ vṛttimiyāya nando nirvāpaṇotpāṭanadāhaśoṣaiḥ // Saund_17.59 //	dozezu tAm vRttim-iyAya nandaH nirvApaNa-utpAwana-dAha-SozEH // SOnd-_17.59 //
   iti trivegaṃ trijhaṣaṃ trivicamekāmbhasaṃ pañcarayaṃ dvikūlam /	iti tri-vegam tri-Jazam trivicam-eka-amBasam paQca-rayam dvi-kUlam /
   dvigrāhamaṣṭāṅgavatā plavena duḥkhārṇavaṃ dustaramuttatāra // Saund_17.60	dvi-grAham-azwa-aFgavatA plavena duHKa-arNavam dustaram-uttatAra // SOnd-_17.60
   arhattvamāsādya sa satkriyārho nirutsuko niṣpraṇayo nirāśaḥ /	arhat-tvam-AsAdya sa satkriyA-arhaH nirutsukaH nizpraNayaH nirASaH /
   vibhīrviśugvītamado virāgaḥ sa eva dhṛtyānya ivābabhāse // Saund_17.61 //	viBIH-viSugvIta-madaH virAgaH saH eva DRtyA-anyaH iva-AbaBAse // SOnd-_17.61 //
   bhrātuśca śāstuśca tayānuśiṣṭyā nandastataḥ svena ca vikrameṇa /	BrAtuH-ca SAstuH-ca tayA-anuSizwyAH nandaH-tatas svena ca vikrameNa /
   praśāntacetāḥ paripūrṇakāryo vāṇīmimāmātmagatāṃ jagāda // Saund_17.62 //	praSAnta-cetAH paripUrNa-kAryaH vANIm-imAm-Atma-gatAm jagAda // SOnd-_17.62 //
   namo 'stu tasmai sugatāya yena hitaiṣiṇā me karuṇātmakena /	namaH astu tasmE sugatAya yena hita-eziNA me karuNa-Atmakena /
   bahūni duḥkhānyapavartitāni sukhāni bhūyāṃsyupasaṃhṛtāni // Saund_17.63 //	bahUni duHKAni-apavartitAni suKAni BUyAMsi-upasaMhRtAni // SOnd-_17.63 //
   ahaṃ hyanāryeṇa śarīrajena duḥkhātmake vartmani kṛṣyamāṇaḥ /	aham hi-anAryeNa SarIrajena duHKa-Atmake vartmani kRzyamANaH /
   nivartitastadvacanāṅkuśena darpānvito nāga ivāṅkuśena // Saund_17.64 //	nivartitaH-tad-vacana-aFkuSena darpa-anvitaH nAgaH iva-aFkuSena // SOnd-_17.64 //
   tasyājñayā kāruṇikasya śāsturhṛdisthamutpāṭya hi rāgaśalyam /	tasya-AjQayA kAruNikasya SAstuH-hRdisTam-utpAwya hi rAga-Salyam /
   adyaiva tāvat sumahat sukhaṃ me sarvakṣaye kiṃbata nirvṛtasya //	adya-eva tAvat su-mahat suKam me sarva-kzaye kiMbata nirvRtasya //
   Saund_17.65 //	SOnd-_17.65 //
   nirvāpya kāmāgnimahaṃ hi dīptaṃ dhṛtyambunā pāvakamambuneva /	nirvApya kAma-agnim-aham hi dIptam DRti-ambunA pAvakam-ambunA-iva /
   hlādaṃ paraṃ sāṃpratamāgato 'smi śītaṃ hradaṃ gharma ivāvatīrṇaḥ //	hlAdam param sAMpratam-AgataH asmi SItam hradam GarmaH iva-avatIrNaH //
   Saund_17.66 //	SOnd-_17.66 //
   na me priyaṃ kiṃcana nāpriyaṃ me na me 'nurodho 'sti kuto virodhaḥ /	na me priyam kiMcana na-apriyam me na me anuroDaH asti kutas viroDaH /
   tayorabhāvāt sukhito 'smi sadyo himātapābhyāmiva vipramuktaḥ //	tayoH-aBAvAt suKitaH asmi sadyas hima-AtapAByAm-iva vipramuktaH //
   Saund_17.67 //	SOnd-_17.67 //
   mahābhayāt kṣemamivopalabhya mahāvarodhādiva vipramokṣam /	mahA-BayAt kzemam-iva-upalaBya mahA-avaroDAt-iva vipramokzam /
   mahārṇavāt pāramivāplavaḥ san bhīmāndhakārādiva ca prakāśam // Saund_17.68	mahA-arNavAt pAram-iva-AplavaH san BIma-anDakArAt-iva ca prakASam // SOnd_17.68
   rogādivārogyamasahyarūpādṛṇādivānṛṇyamanantasaṃkhyāt /	rogAt-iva-Arogyam-asahya-rUpAdRNAt-ivAnRNyam-ananta-saMKyAt /
   dviṣatsakāśādiva cāpayānaṃ durbhikṣayogācca yathā subhikṣam // Saund_17.69	dvizat-sakASAt-iva ca-apayAnam durBikza-yogAt-ca yaTA suBikzam // SOnd_17.69
   tadvatparāṃ śāntimupāgato 'haṃ yasyānubhāvena vināyakasya /	tadvat-parAm SAntim-upAgataH aham yasya-anuBAvena vinAyakasya /
   karomi bhūyaḥ punaruktamasmai namo namo 'rhāya tathāgatāya // Saund_17.70	karomi BUyas punar-uktam-asmE namaH namaH arhAya taTAgatAya // SOnd-_17.70
   yenāhaṃ girimupanīya rūkmaśṛṅgaṃ svargaṃ ca plavagavadhūnidarśanena /	yena-aham girim-upanIya rUkma-SRFgam svargam ca plavaga-vaDU-nidarSanena /
   kāmātmā tridivacarībhiraṅganābhirniṣkṛṣṭo yuvatimaye kalau nimagnaḥ //	kAma-AtmA tridiva-carIBiH-aFganABiH-nizkRzwaH yuvati-maye kalO nimagnaH //
   Saund_17.71 //	SOnd-_17.71 //
   tasmācca vyasanaparādanarthapaṅkādutkṛṣya kramaśithilaḥ karīva paṅkāt /	tasmAt-ca vyasana-parAt-anarTa-paFkAt-utkRzya krama-SiTilaH karI-iva paFkAt /
   śānte 'smin virajasi vijvare viśoke saddharme vitamasi naiṣṭhike vimuktaḥ	SAnte asmin virajasi vijvare viSoke sadDarme vitamasi nEzWike vimuktaH
   // Saund_17.72 //	// SOnd-_17.72 //
   taṃ vande paramanukampakaṃ maharṣi mūrdhnāhaṃ prakṛtiguṇajñamāśayajñam /	tam vande param-anukampakam mahA-Rzi mUrDnA-aham prakRti-guNa-jQam-ASaya-jQam /
   saṃbuddhaṃ daśabalinaṃ bhiṣakpradhānaṃ trātāraṃ punarapi cāsmi saṃnatastam	saMbudDam daSa-balinam Bizaj-praDAnam trAtAram punar-api ca-asmi saMnataH-tam
   // Saund_17.73 //	// SOnd-_17.73 //
   saundarananda mahākāvya meṃ "amṛtaprāpti" nāmaka saptadaśa sarga samāpta /	sOndara-nanda mahAkAvya mem "amRta-prApti" nAmaka saptadaSa sarga samApta /
   aṣṭādaśaḥ sargaḥ	azwAdaSaH sargaH
   ājñāvyākaraṇa	AjQA-vyAkaraNa
   atha dvijo bāla ivāptavedaḥ kṣipraṃ vaṇik prāpta ivāptalābhaḥ /	aTa dvijaH bAlaH iva-Apta-vedaH kzipram vaNij prAptaH iva-Apta-lABaH /
   jitvā ca rājanya ivārisainyaṃ nandaḥ kṛtārtho gurumabhyagacchat //	jitvA ca rAjanyaH iva-ari-sEnyam nandaH kRtArTaH gurum-aByagacCat //
   Saund_18.1 //	SOnd-_18.1 //
   draṣṭuṃ sukhaṃ jñānasamāptikāle gururhi śiṣyasya gurośca śiṣyaḥ /	drazwum suKam jQAna-samApti-kAle guruH-hi Sizyasya guroH-ca SizyaH /
   pariśramaste saphalo mayīti yato didṛkṣāsya munau babhūva // Saund_18.2 //	pariSramaH-te saPalaH mayi-iti yatas didRkzA-asya munO baBUva // SOnd-_18.2 //
   yato hi yenādhigato viśeṣastasyottamāṃso 'rhati kartumīḍyām /	yatas hi yena-aDigataH viSezaH-tasya-uttamAMsaH arhati kartum-IxyAm /
   āryaḥ sarāgo 'pi kṛtajñabhāvāt prakṣīṇamānaḥ kimu vītarāgaḥ // Saund_18.3	AryaH sa-rAgaH api kRtajQa-BAvAt prakzINa-mAnaH kimu vIta-rAgaH // SOnd_18.3
   yasyārthakāmaprabhavā hi bhaktistato 'sya sā tiṣṭhati rūḍhamūlā /	yasya-arTa-kAma-praBavA hi BaktiH-tatas asya sA tizWati rUXa-mUlAH /
   dharmānvayo yasya tu bhaktirāgastasya prasādo hṛdayāvagāḍhaḥ // Saund_18.4	Darma-anvayaH yasya tu Bakti-rAgaH-tasya prasAdaH hRdaya-avagAXaH // SOnd_18.4
   kāṣāyavāsāḥ kanakāvadātastataḥ sa mūrdhnā gurave praṇeme /	kAzAya-vAsAH kanaka-avadAtaH-tatas sa mUrDnA gurave praNeme /
   vāteritaḥ pallavatāmrarāgaḥ puṣpojjvalaśrīriva karṇikāraḥ // Saund_18.5 //	vAta-IritaH pallava-tAmra-rAgaH puzpa-ujjvala-SrIH-iva karNikAraH // SOnd-_18.5 //
   athātmanaḥ śiṣyaguṇasya caiva mahāmuneḥ śāstṛguṇasya caiva /	aTa-AtmanaH Sizya-guNasya ca-eva mahA-muneH SAstR-guNasya ca-eva /
   saṃdarśanārthaṃ sa na mānahetoḥ svāṃ kāryasiddhiṃ kathayāmbabhūva //	saMdarSana-arTam sa na mAna-hetoH svAm kArya-sidDim kaTaya-ambaBUva //
   Saund_18.6 //	SOnd-_18.6 //
   yo dṛṣṭiśalyo hṛdayāvagāḍhaḥ prabho bhṛśaṃ māmatudat sutīkṣṇaḥ /	yaH dRzwi-SalyaH hRdaya-avagAXaH praBo BRSam mAm-atudat su-tIkzNaH /
   tvadvākyasaṃdaṃśamukhena me sa samuddhṛtaḥ śalyahṛteva śalyaḥ //	tvad-vAkya-saMdaMSa-muKena me sa samudDRtaH Salya-hRtA-iva SalyaH //
   Saund_18.7 //	SOnd-_18.7 //
   kathaṃkathābhāvagatosmi yena chinnaḥ sa niḥsaṃśaya saṃśayo me /	kaTaMkaTA-BAva-gatosmi yena CinnaH sa niHsaMSaya saMSayaH me /
   tvacchāsanāt satpathamāgato 'smi sudeśikasyeva pathi pranaṣṭaḥ //	tvad-SAsanAt sat-paTam-AgataH asmi su-deSikasya-iva paTi pranazwaH //
   Saund_18.8 //	SOnd-_18.8 //
   yatpītamāsvādavaśendriyeṇa darpeṇa kandarpaviṣaṃ mayāsīt /	yat-pItam-AsvAda-vaSa-indriyeNa darpeNa kandarpa-vizam mayA-AsIt /
   tanme hataṃ tvadvacanāgadena viṣaṃ vināśīva mahāgadena // Saund_18.9 //	tat-me hatam tvad-vacana-agadena vizam vinASI-iva mahA-gadena // SOnd-_18.9 //
