   Suvarṇaprabhāsasūtram	SuvarNa-praBAsa-sUtram
   hā kānta priyasuta kena vrajase bhagno 'yaṃ padmo dharaṇītale hi vikīrṇaḥ	hA kAnta priya-suta kena vrajase BagnaH ayam padmaH DaraNI-tale hi vikIrNaH
   śatruṇā mama bhuvi kena nāśaṃ gato 'dya putro me nayanamanoharacandraḥ	SatruNA mama Buvi kena nASam gataH adya putraH me nayana-manohara-candraH
   hā kiṃ śarīramiha adya na yāti bhagnaṃ paśyāmi haṃ sutavaraṃ nihataṃ	hA kim SarIram-iha adya na yAti Bagnam paSyAmi ham suta-varam nihatam
   pṛthivyām // Suv_19.20 //	pRTivyAm // Suu-_19.20 //
   saṃvyaktaṃ hṛdayamayo mamaitaṃ dhigvyasanaṃ avekṣya no cedbhedayate /	saMvyaktam hRdaya-mayaH mama-etam Dik-vyasanam avekzya no ced-Bedayate /
   hā caitatpāpakaṃ svapnaphalaṃ yacchinnāvimāvadya kenacidasinā /	hA ca-etat-pApakam svapna-Palam yat-CinnO=-imO=-adya kenacid-asinA /
   svapnāntare dvau stanau daṃṣṭrotpāṭya me priyasuto nāśaṃ gataḥ śīghramataḥ	svapna-antare dvO stanO daMzwrA-utpAwya me priya-sutaH nASam gataH SIGram-atas-
   // Suv_19.21 //	// Suu-_19.21 //
   sa śyenenāpahṛto yathaiva iha me labdhaiḥ kapotaistribhiḥ /	sa Syenena-apahRtaH yaTA-eva iha me labDEH kapotEH-triBiH /
   so me 'dya tribhirātmajaiḥ parivṛta eko hato mṛtyunā // Suv_19.22 //	saH me adya triBiH-AtmajEH parivRtaH ekaH hataH mRtyunA // Suu-_19.22 //
   (Bagchi 114)	(Baj-Ci 114)
   atha rājā devī ca bahuvidhaṃ karuṇakaruṇaṃ paridevatastayoḥ	aTa rAjA devI ca bahuviDam karuNa-karuNam paridevataH-tayoH
   sarvabharaṇānyavamucya mahatā janakāyena sārdhaṃ putrasya śarīrapūjāṃ	sarva-BaraNAni-avamucya mahatA jana-kAyena sArDam putrasya SarIra-pUjAm
   kṛtvā tasminpṛthivīpradeśe suvarṇamayacaityeṣu nyastāni tāni śarīrāṇi //	kRtvA tasmin-pRTivI-pradeSe suvarNa-maya-cEtyezu nyastAni tAni SarIrANi //
   syātte khalu punarānandānyaḥ sa tena kālena tena samayena mahāsattvo nāma	syAt-te Kalu punar-AnandAnyaH sa tena kAlena tena samayena mahAsattvaH nAma
   rājakumāro 'bhūt / naivaṃ draṣṭavyam / tatkasya hetoḥ / ahaṃ sa tena	rAja-kumAraH aBUt / na-evam drazwavyam / tat-kasya hetoH / aham sa tena
   kālena tena samayena mahāsattvo nāma rājakumāro 'bhūt / tadāpi mayānanda	kAlena tena samayena mahAsattvaH nAma rAja-kumAraH aBUt / tadA-api mayA-Ananda
   rājadveṣamohāparimuktena narakādibhyaśca duḥkhebhyaḥ kṛpayā	rAja-dveza-moha-aparimuktena naraka-AdiByaH-ca duHKeByaH kRpayA
   jagadanugṛhītam / kiṃ khalu punaridānīṃ sarvadoṣāpagatena	jagat-anugRhItam / kim Kalu punar-idAnIm sarva-doza-apagatena
   samyaksaṃbuddheneti / evaṃ hyekaikasya sattvasyārthe kalpaṃ samudeyaṃ	samyaksaMbudDena-iti / evam hi-ekEkasya sattvasya-arTe kalpam samudeyam
   narakeṣu jātiṃ saṃsārādvimocayeyam / khalu sattvasāraiśca jagatparigṛhītaṃ	narakezu jAtim saMsArAt-vimocayeyam / Kalu sattva-sArEH-ca jagat-parigRhItam
   duṣkaramanekavidhavicitramiti //	duzkaram-anekaviDa-vicitram-iti //
   atha bhagavāṃstasyāṃ velāyāmimā gāthā abhāṣata //	aTa BagavAn=-tasyAm velAyAm-imAH gATAH aBAzata //
   bahūni kalpāni mayātmā tyaktaḥ paryeṣayetā imamagrabodhim /	bahUni kalpAni mayA-AtmA tyaktaH paryezayetAH imam-agra-boDim /
   yathāsi rājā yatha rājaputram tathaiva tyaktā maya ātmabhāvāḥ // Suv_19.23	yaTA-asi rAjA yaTa rAja-putram taTA-eva tyaktAH mayaH Atma-BAvAH // Suu-_19.23
   anusmarami purimāsu jātiṣu mahāratho nāma babhūva rājā /	anusmarami purimAsu jAtizu mahA-raTaH nAma baBUva rAjA /
   tasyāpi putrau mahātyāgavanto nāmnā mahāsattva varo babhūva // Suv_19.24	tasya-api putrO mahAtyAgavantaH nAmnA mahA-sattva varaH baBUva // Suu-_19.24
   dvau tasya āsīdatha bhrātarau ca nāmnā mahādeva mahāpraṇādaḥ /	dvO tasya AsIt-aTa BrAtarO ca nAmnA mahAdeva mahApraNAdaH /
   vanakhaṇḍa gatvā va samānagotraistairdṛṣṭa vyāghrī kṣudhayābhibhūtā //	vanaKaNxa gatvA va samAna-gotrEH-tEH-dRzwa vyAGrI kzuDayA-aBiBUtAH //
   Suv_19.25 //	Suu-_19.25 //
   tasyāgrasattvasya kṛpābhijātā yannūna haṃ ātma tyajeya māṃsam /	tasya-agra-sattvasya kRpA-aBijAtAH yat-nUna ham Atma tyajeya mAMsam /
   (Bagchi 115)	(Baj-Ci 115)
   eṣā hi vyāghrī kṣudhatarṣapīḍitā khādīya etāni svakātmajāni // Suv_19.26	ezA hi vyAGrI kzuDa-tarza-pIxitA KAdIyaH etAni svaka-AtmajAni // Suu-_19.26
   patitaścāsīttadā sa mahārathasuto mahāsattvaḥ /	patitaH-ca-AsIt-tadA sa mahA-raTa-sutaH mahAsattvaH /
   dṛṣṭvā ca vyāghrīṃ kṣudhārtāṃ vyāghrasutamokṣārtham // Suv_19.27 //	dRzwvA ca vyAGrIm kzuDA-ArtAm vyAGra-suta-mokza-arTam // Suu-_19.27 //
   karuṇāmaye patite 'tra kampita saśaila dharaṇī vidruta pakṣisaṃgha	karuNA-maye patite atra kampita sa-SEla DaraNI vidruta pakzi-saMGa
   vividhāni /	viviDAni /
   saṃtrasto mṛgasaṃghastadākulasaṃsthito 'bhūlloko 'yam // Suv_19.28 //	saMtrastaH mRga-saMGaH-tad-Akula-saMsTitaH aBUt-lokaH ayam // Suu-_19.28 //
   dvau tasya bhrātarau ca mahāpraṇādastathā mahādevaḥ /	dvO tasya BrAtarO ca mahApraNAdaH-taTA mahAdevaH /
   na labhete mahāsattvaṃ dṛṣṭvā tatra mahāvanakhaṇḍe 'smin // Suv_19.29 //	na laBete mahAsattvam dRzwvA tatra mahA-vana-KaNxe asmin // Suu-_19.29 //
   atiśokaśalyahṛdayā vicaranti vanāntare visaṃjñāśca /	ati-Soka-Salya-hRdayAH vicaranti vana-antare visaMjQAH-ca /
   paryeṣanti bhrātaramaścumukhāni vicaranti vanamadhye // Suv_19.30 //	paryezanti BrAtaram-aScu-muKAni vicaranti vana-maDye // Suu-_19.30 //
   ubhau tau rājakumārau mahāpraṇādastathā mahādevaḥ /	uBO tO rAja-kumArO mahApraNAdaH-taTA mahAdevaH /
   tatropasaṃkramitva yatra vyāghrī sudurbalā śayitā vyāghrīsutā // Suv_19.31	tatra-upasaMkramitva yatra vyAGrI su-durbalA SayitA vyAGrI-sutAH // Suu-_19.31
   dṛṣṭvā rudhiraliptāṅgāni keśāsthicarmamātraṃ dharaṇyām /	dRzwvA ruDira-lipta-aFgAni keSa-asTi-carma-mAtram DaraNyAm /
   avakīrṇa patitāni yatkiñcinmātraṃ tasya patitaṃ dharaṇīyaṃ paśyanti //	avakIrNa patitAni yat-kiQcit-mAtram tasya patitam DaraNIyam paSyanti //
   Suv_19.32 //	Suu-_19.32 //
   (Bagchi 116)	(Baj-Ci 116)
   ubhau tau nṛpasutau saṃmūrcchitau hi tatra patanti dharaṇīyam /	uBO tO nRpa-sutO saMmUrcCitO hi tatra patanti DaraNIyam /
   naṣṭamanāḥ sarvapāṇḍu rajoliptagātrāḥ smṛtīndriyavihīnamūḍhacittāśca //	nazwa-manAH sarva-pANxu rajaH-lipta-gAtrAH smRti-indriya-vihIna-mUXa-cittAH-ca //
   Suv_19.33 //	Suu-_19.33 //
   teṣāṃ co pārṣadyāḥ karuṇasvararodamānaśokārttāḥ /	tezAm caH pArzadyAH karuNa-svarara-udamAna-Soka-ArttAH /
   siñcanti te jalenotthitordhvabahavaśca kradantaḥ // Suv_19.34 //	siQcanti te jalena-utTita-UrDva-bahavaH-ca kradantaH // Suu-_19.34 //
   tasminpatitamātreṇa sāntarjane vipriyāgramahiṣī ca /	tasmin-patita-mAtreNa sa-antar-jane vipriya-agra-mahizI ca /
   paśyati pañcastrīśatebhī rājakulāntargatā sukhapraviṣṭakāyā // Suv_19.35	paSyati paQca-strI-SateBiH rAja-kula-antargatA suKa-pravizwakAyAH // Suu-_19.35
   tābhyāṃ stanābhyāṃ kṣīrapramuktaṃ prastravantya vegaiḥ /	tAByAm stanAByAm kzIra-pramuktam prastravantya vegEH /
   sarvāṅgamasyā hi sūcībhiriva bhidyamānāpi // Suv_19.36 //	sarva-aFgam-asyAH hi sUcIBiH-iva BidyamAnA-api // Suu-_19.36 //
   atiśokaghūrṇahṛdayā putraviyogārttaśokaśaraviddhā /	ati-Soka-GUrNa-hRdayA putra-viyoga-Artta-Soka-Sara-vidDA /
   upasaṃkramitva nṛpatiṃ sudīnamanasā atiśokasaṃtaptā /	upasaMkramitva nRpatim su-dIna-manasA ati-Soka-saMtaptA /
   karuṇasvaraṃ rodamāna rājño 'tha mahārathasyaivāvocat // Suv_19.37 //	karuNa-svaram rodamAna rAjQaH aTa mahA-raTasya-eva-avocat // Suu-_19.37 //
   śṛṇu mama nṛpate narendra śokāgninā mama dahyate śarīram /	SRNu mama nRpate narendra Soka-agninA mama dahyate SarIram /
   ubhābhyāṃ stanamukhābhyāṃ kṣīrapramuktamacireṇa // Suv_19.38 //	uBAByAm stana-muKAByAm kzIra-pramuktam-acireNa // Suu-_19.38 //
   sūcībhirivāṅgamaṅgaṃ pīḍyanti sma tāni mama hṛdayaṃ ca /	sUcIBiH-iva-aFgam-aFgam pIxyanti sma tAni mama hRdayam ca /
   (Bagchi 117)	(Baj-Ci 117)
   yathā nimittaṃ yādṛśa na bhūya paśyāmi darśanaṃ priyasutāna // Suv_19.39	yaTA nimittam yAdRSa na BUya paSyAmi darSanam priya-sutAnaH // Suu-_19.39
   putrāṇāṃ me vijāna dadāhi mama jīvitaṃ kṣemaṃ kuruṣva /	putrANAm me vijAna dadAhi mama jIvitam kzemam kuruzva /
   svapno mayā dṛṣṭastrayo mama kapotasutāni yo 'sya tṛtīyamahaṃ kapotasutaṃ	svapnaH mayA dRzwaH-trayaH mama kapota-sutAni yaH asya tRtIyam-aham kapota-sutam
   priyamanā // Suv_19.40 //	priya-manAH // Suu-_19.40 //
   śyenastatra praviṣṭaḥ śyenenāpahṛtaṃ kapotakaṃ ca svapnāntare ca /	SyenaH-tatra pravizwaH Syenena-apahRtam kapotakam ca svapna-antare ca /
   mama īdṛśa śokaṃ praviṣṭiṃ hṛdaye 'smin // Suv_19.41 //	mama IdRSa Sokam pravizwim hRdaye asmin // Suu-_19.41 //
   atidāhaśokacintā maraṇaṃ mama bhaviṣyati na cireṇa /	ati-dAha-Soka-cintA maraNam mama Bavizyati na cireNa /
   putrāṇa me vijāna dadasva mama jīvitaṃ bhavānsvakāruṇyam // Suv_19.42 //	putrANa me vijAna dadasva mama jIvitam BavAn-sva-kAruNyam // Suu-_19.42 //
   evamuktvāgramahiṣī saṃmūrcchati patati tatra dharaṇīye	evam-uktvA-agra-mahizI saMmUrcCati patati tatra DaraNIye
   smṛtīya parihīnā vinaṣṭacittā visaṃjñamanā /	smRtIya parihInA vinazwa-cittAH visaMjQa-manAH /
   sarvāntaḥpuraṇāśca karuṇasvaraṃ rodamānāḥ krandantaḥ // Suv_19.43 //	sarva-antaHpuraNAH-ca karuNa-svaram rodamAnAH krandantaH // Suu-_19.43 //
   dṛṣṭvā tāmagramahiṣīṃ saṃmūrcchitapatitāṃ ca tatra dharaṇīye /	dRzwvA tAm-agra-mahizIm saMmUrcCita-patitAm ca tatra DaraNIye /
   samanantaraśokārttaḥ putraviyogaḥ sāmātyo rājendraḥ /	samanantara-Soka-ArttaH putra-viyogaH sa-amAtyaH rAja-indraH /
   amātyāśca prayuktā jijñāsārthaṃ gatāḥ kumārāṇām // Suv_19.44 //	amAtyAH-ca prayuktAH jijQAsA-arTam gatAH kumArANAm // Suu-_19.44 //
   (Bagchi 118)	(Baj-Ci 118)
   sarvanagarāntarjanā nānāśastragṛhītotthitāḥ /	sarvanagara-antarjanAH nAnA-Sastra-gRhIta-utTitAH /
   tathā āgatāścāśrumukhā rodamānāḥ pṛcchinti patheṣu taṃ mahāsattvam //	taTA AgatAH-ca-aSru-muKAH rodamAnAH pRcCinti paTezu tam mahAsattvam //
   Suv_19.45 //	Suu-_19.45 //
   kiṃ jīvito vāṃ kva gataḥ sāṃprataṃ mahāsattvaḥ kiṃ drakṣyāmyahamadya /	kim jIvitaH vAm kva gataH sAMpratam mahAsattvaH kim drakzyAmi-aham-adya /
   manāpaṃ sattvadarśana priyamanāpaṃ na cireṇa vinaṣṭaśramam // Suv_19.46 //	manApam sattva-darSana priyam-anApam na cireNa vinazwa-Sramam // Suu-_19.46 //
   saśokavadanaḥ prayāti viṣaye 'smindāruṇanirdanākaraḥ /	sa-Soka-vadanaH prayAti vizaye asmin-dAruNa-nirdana-AkaraH /
   anantāyāsasaṃkaṭāni ghoṣaḥ rājā mahārathotthāya rodamānaḥ // Suv_19.47 //	ananta-AyAsa-saMkawAni GozaH rAjA mahA-raTa-utTAya rodamAnaH // Suu-_19.47 //
   śokārttaḥ siñcati saliladhāraiḥ agramahiṣīṃ ca dharaṇīye patantīṃ /	Soka-ArttaH siQcati salila-DArEH agra-mahizIm ca DaraNIye patantIm /
   siñcati udakena yāvatsmṛtiṃ labhyate utthāya pṛcchiraṃ dīnamānasā //	siQcati udakena yAvat-smRtim laByate utTAya pRcCiram dIna-mAnasA //
   Suv_19.48 //	Suu-_19.48 //
   kiṃ mama putrā hi mṛtā jīvanti rājā mahārathaścāgramahiṣīṃ ca /	kim mama putrAH hi mRtAH jIvanti rAjA mahA-raTaH-ca-agra-mahizIm ca /
   evamevāvoca diśi vidiśāsu amātyā pārṣadyā jijñāsārthaṃ gatāḥ // Suv_19.49	evam-eva-avoca diSi vidiSAsu amAtyA pArzadyAH jijQAsA-arTam gatAH // Suu-_19.49
   kumārāṇāṃ mā tvamatidīnamānasā bhavā hīnāyāsa śokahṛdayā /	kumArANAm mA tvam-ati-dIna-mAnasA BavAH hIna-AyAsa Soka-hRdayA /
   evaṃ mahārathaśca kṣamāpayitvā tadāgramahiṣīṃ ca kampo niṣkrame //	evam mahA-raTaH-ca kzamApayitvA tadA-agra-mahizIm ca kampaH nizkrame //
   Suv_19.50 //	Suu-_19.50 //
   rājakulato 'thāśrumukho rodamānaḥ śokārttaḥ amātyagaṇaparivṛttaḥ /	rAja-kulataH aTa-aSru-muKaH rodamAnaH Soka-ArttaH amAtya-gaNa-parivRttaH /
   sudīnamanasātha dīnacakṣuśca niṣkramya nagarapurato jijñāsārthāya //	su-dIna-manasA-aTa dIna-cakzuH-ca nizkramya nagara-puratas jijQAsA-arTAya //
   Suv_19.51 //	Suu-_19.51 //
   (Bagchi 119)	(Baj-Ci 119)
   rājā putrāṇāṃ bahuprāṇinaḥ aśrumukho rodamāno dhāvati /	rAjA putrANAm bahu-prANinaH aSru-muKaH rodamAnaH DAvati /
   nirgataṃ dṛṣṭvā rājānaṃ pṛṣṭhataḥ samanubuddho 'tha samanantaraniṣkrāntaḥ	nirgatam dRzwvA rAjAnam pRzWatas samanubudDaH aTa samanantara-nizkrAntaH
   // Suv_19.52 //	// Suu-_19.52 //
   rājā sa mahārathaḥ samanantarātpriyaputradarśanārthaṃ prekṣati /	rAjA sa mahA-raTaH samanantarAt-priya-putra-darSana-arTam prekzati /
   diśatāṃ sugaulanayano dṛṣṭvānyataraṃ puruṣaṃ muṇḍitaśīrṣaṃ ca // Suv_19.53	diSatAm su-gOla-nayanaH dRzwvA-anyataram puruzam muNxita-SIrzam ca // Suu-_19.53
   rudhirāliptāṅga pāṃśulaśarīraṃ aśrumukhaṃ rodamānaṃ gacchantam /	ruDira-Alipta-aFga pAMSula-SarIram aSru-muKam rodamAnam gacCantam /
   dāruṇaśokārttaḥ mahārathasya hṛdayastho 'śrumukho rodamānaḥ // Suv_19.54	dAruNa-Soka-ArttaH mahA-raTasya hRdaya-sTaH aSru-muKaH rodamAnaH // Suu-_19.54
   sthita ūrdhvabāhuśca krandantaḥ athānyatamo 'mātyastvarāgatya /	sTitaH UrDvabAhuH-ca krandantaH aTa-anyatamaH amAtyaH-tvarA-Agatya /
   śīghrabhārādupasaṃkramya nṛpate rājño mahārathasya āvaciṃsu // Suv_19.55	SIGra-BArAt-upasaMkramya nRpate rAjQaH mahA-raTasya AvaciMsu // Suu-_19.55
   mā śokacittastvaṃ bhava nṛpate tiṣṭhanti te putrāḥ priyamanāpāḥ /	mA Soka-cittaH-tvam Bava nRpate tizWanti te putrAH priyam-anApAH /
   na cireṇāgamya iha tavāntike drakṣyasi tvaṃ putravaraṃ manāpam //	na cireNa-agamya iha tava-antike drakzyasi tvam putra-varam manApam //
   Suv_19.56 //	Suu-_19.56 //
   muhūrtamātramabhigamya - - rājño dvitīyo 'mātya āgatastataḥ /	muhUrta-mAtram-aBigamya   rAjQaH dvitIyaH amAtyaH AgataH-tatas /
   rajo 'vakīrṇo malavastraprāvṛtaḥ sāśrumukho rājānamidamabravīd //	rajaH avakIrNaH mala-vastra-prAvRtaH sa-aSru-muKaH rAjAnam-idam-abravIt //
   Suv_19.57 //	Suu-_19.57 //
   dvai ca te putrai mahānṛpendra tiṣṭhataḥ śokānalasaṃpradīptau /	dvE ca te putrEH mahA-nRpa-indra tizWataH Soka-anala-saMpradIptO /
   ekastavo putravaro na dṛśyeta nṛpa grasto mahāsattva anityatayā //	eka-stavaH putra-varaH na dRSyeta nRpa grastaH mahAsattva anitya-tayA //
   Suv_19.58 //	Suu-_19.58 //
   (Bagchi 120)	(Baj-Ci 120)
   dṛṣṭvā ca vyāghrīmaciraprasutāṃ svīyāñca putrānupabhoktukāmām /	dRzwvA ca vyAGrIm-acira-prasutAm svIyAQca putrAn-upaBoktu-kAmAm /
   teṣāṃ mahāsattva varakumāro mahānta kāruṇya balaṃ janetvā // Suv_19.59 //	tezAm mahA-sattva varakumAraH mahAnta kAruNya balam janetvA // Suu-_19.59 //
   bodhau ca kṛtvā praṇidhimudārāṃ sarvāṃśca sattvāniha bodhayiṣye /	boDO ca kRtvA praNiDim-udArAm sarvAn=-ca sattvAn-iha boDayizye /
   taṃ bodhiṃ gambhīramudāramiṣṭvā anāgate 'dhvani ahaṃ spṛśeyam // Suv_19.60	tam boDim gamBIram-udAram-izwvA anAgate aDvani aham spRSeyam // Suu-_19.60
   patito mahāsattvo giri taṭatu so 'gre sthito vyāghryaḥ kṣudhābhibhūtāyāḥ /	patitaH mahAsattvaH giri tawatu saH agre sTitaH vyAGryaH kzuDA-aBiBUtAyAH /
   muhūrta nirmāsakṛtaḥ sa aṅgaṃ ca asthāvaśeṣaṃ kṛtaḥ rājaputraḥ //	muhUrta nirmAsa-kRtaH sa aFgam ca asTa-avaSezam kRtaH rAja-putraH //
   Suv_19.61 //	Suu-_19.61 //
   evaṃ ca śrutvā sa vacaḥ sudhāreṃ saṃmūrcchito rāja mahārathaśca /	evam ca SrutvA sa vacaH suDArem saMmUrcCitaH rAja mahA-raTaH-ca /
   patitaśca dharaṇīya vinaṣṭacittaḥ śokāgninā prajvalitaḥ sudāruṇā //	patitaH-ca DaraNIya vinazwa-cittaH Soka-agninA prajvalitaH su-dAruNA //
   Suv_19.62 //	Suu-_19.62 //
   āmātyapārṣadya karuṇāsvararodamānā śokārta siñcantite jalena /	AmAtya-pArzadya karuNA-svara-rodamAnA Soka-Arta siQcantite jalena /
   sarve sthitā ūrdhvabāhuśca sa kandamānāḥ tṛtīyo 'mātyo nṛpamabravīt //	sarve sTitAH UrDvabAhuH-ca sa kandamAnAH tRtIyaH amAtyaH nRpam-abravIt //
   Suv_19.63 //	Suu-_19.63 //
   dṛṣṭau mayādya ubhau kumārau samucchatau tatra mahāvane 'smin /	dRzwO mayA-adya uBO kumArO samucCatO tatra mahA-vane asmin /
   patitau dharaṇyāṃ ca vinaṣṭacittau asmābhirudakena ca siñcitāni //	patitO DaraNyAm ca vinazwa-cittO asmABiH-udakena ca siQcitAni //
   Suv_19.64 //	Suu-_19.64 //
   yāvatsmṛtiṃ labhyate punaḥ sthitau hi ādīpta paśyanti diśaścatastraḥ /	yAvat-smRtim laByate punar sTitO hi AdIpta paSyanti diSaH-catastraH /
   muhūrta tiṣṭhanti patanti bhūmau kāruṇasvareṇa paridevayanti // Suv_19.65	muhUrta tizWanti patanti BUmO kAruNa-svareNa paridevayanti // Suu-_19.65
   (Bagchi 121)	(Baj-Ci 121)
   tā ūrdhvabāhu satataṃ sthihanti varṇamudīrantayorbhrātarasya	tAH UrDvabAhu satatam sTihanti varNam-udIrantayoH-BrAtarasya
   sa caiva rājā hṛdi dīnacittaḥ putraviyogātsuvikṣiptacittaḥ // Suv_19.66 //	sa ca-eva rAjA hRdi dIna-cittaH putra-viyogAt-su-vikzipta-cittaH // Suu-_19.66 //
   śokapraviddhaḥ paridevayitvā evaṃ hi rājā paridevayanti /	Soka-pravidDaH paridevayitvA evam hi rAjA paridevayanti /
   ekaśca me putra priyamanāpaḥ grasta kaniṣṭho vanarākṣasena // Suv_19.67 //	ekaH-ca me putra priyam-anApaH grasta kanizWaH vana-rAkzasena // Suu-_19.67 //
   mā me imau anya ca dvau hi putra śokāgninā jīvitasaṃkṣayaṃ vrajet /	mA me imO anyaH ca dvO hi putra Soka-agninA jIvita-saMkzayam vrajet /
   yannūna haṃ śīghra vrajeya tatra paśyeya putrau priyadarśanau tau //	yat-nUna ham SIGra vrajeya tatra paSyeya putrO priya-darSanO tO //
   Suv_19.68 //	Suu-_19.68 //
   śīghreṇa yānena ca rājadhānīṃ praveśayedrājakulānta śīghram /	SIGreNa yAnena ca rAjaDAnIm praveSayet-rAja-kula-anta SIGram /
   mā eṣā māturhi janetu kāmaṃ śokāgninā taddhṛdaya sphaṭe tat // Suv_19.69	mA ezA mAtuH-hi janetu kAmam Soka-agninA tat-hRdaya sPawe tat // Suu-_19.69
   putrau ca dṛṣṭvā labhate praśāntiṃ na jīvitenālabhate viyogam /	putrO ca dRzwvA laBate praSAntim na jIvitena-alaBate viyogam /
   rājāpi cāmātyagaṇena sārdhaṃ dvipābhirūḍho gata tatra darśitu // Suv_19.70	rAjA-api ca-amAtya-gaNena sArDam dvipa-aBirUXaH gata tatra darSitu // Suu-_19.70
   dṛṣṭvā ca putrau bhrātṛnāmāhvānau karuṇāsvaraṃ krandatau āttamānā /	dRzwvA ca putrO BrAtRnAm-AhvAnO karuNA-svaram krandatO AttamAnAH /
   rājā hi tatputradvayaṃ gṛhītvā prarodamānopi puraṃ vrajitvā /	rAjA hi tad-putra-dvayam gRhItvA prarodamAnopi puram vrajitvA /
   sā śīghraśīghraṃ tvaramāna svaputrāṃ devīṃ adarśetsutaputrakāmām //	sA SIGra-SIGram tvaramAna sva-putrAm devIm adarSet-suta-putra-kAmAm //
   Suv_19.71 //	Suu-_19.71 //
   (Bagchi 122)	(Baj-Ci 122)
   ahaṃ ca sa śākyamunistathāgataḥ pūrvaṃ mahāsattvavaro babhūva //	aham ca sa SAkya-muniH-taTAgataH pUrvam mahAsattva-varaH baBUva //
   putraśca rājño hi mahārathasya yenaiva vyāghrī sukhitā kṛtāsīt //	putraH-ca rAjQaH hi mahA-raTasya yena-eva vyAGrI suKitA kRtA-AsIt //
   Suv_19.72 //	Suu-_19.72 //
   śuddhodano hi varapārthivendro mahāratho nāma babhūva rājā /	SudDodanaH hi vara-pArTiva-indraH mahA-raTaH nAma baBUva rAjA /
   mahiṣī ca āsīdvaramāyadevī mahāpraṇādastatha maitriyo 'bhūt // Suv_19.73	mahizI ca AsIt-vara-mAya-devI mahApraNAdaH-taTa mEtriyaH aBUt // Suu-_19.73
   mahādevī āsīdatha rājaputro mañjuśrīrabhūdvīrakumārabhūtaḥ /	mahAdevI AsIt-aTa rAja-putraH maQjuSrIH-aBUt-vIra-kumAra-BUtaH /
   vyāghrī abhūttatra mahāprajāpatī vyāghrīsutā pañcaka amī hi bhikṣavaḥ //	vyAGrI aBUt-tatra mahA-prajApatI vyAGrI-sutA paQcaka amI hi BikzavaH //
   Suv_19.74 //	Suu-_19.74 //
   atha mahārā ā mahādevī va bahuvidhakaruṇāparidevanaṃ kṛtvā	aTa mahArA A mahAdevI va bahuviDa-karuNA-paridevanam kRtvA
   bharaṇānyevamucya mahato anakāyena sārdhaṃ putrasya śarīrapū āṃ	BaraNAni-evam-ucya mahataH anakAyena sArDam putrasya SarIra-pU Am
   kṛtvāsminpradeśe tasya mahāsattvasyeme śarīrā pratiṣṭhāpitā ayaṃ	kRtvA-asmin-pradeSe tasya mahAsattvasya-ime SarIrA pratizWApitA ayam
   saptaratnayamastūpaḥ / tatra devena mahāsattvenāsyai vyāghryā ātmabhāvaṃ	sapta-ratna-yama-stUpaH / tatra devena mahAsattvena-asyE vyAGryAH Atma-BAvam
   parityaktam / evaṃ rūpaṃ ca praṇidhānaṃ karuṇayā kṛtam / imaṃ mayā	parityaktam / evam rUpam ca praNiDAnam karuNayA kRtam / imam mayA
   śarīrasya parideśanā 'nāgate 'dhvani gaṇanāsamatikrāntaiḥ kalpaiḥ	SarIrasya parideSanA anAgate aDvani gaNanA-samatikrAntEH kalpEH
   sarvasattvānāṃ buddhakāyaṃ ca kāritā / asmindeśane nirdiśyamāna	sarva-sattvAnAm budDa-kAyam ca kAritA / asmin-deSane nirdiSyamAna
   aprameyāṇāṃ sattvānāṃ sadevamānuṣikāyāḥ pra āyāḥ anuttarāyāṃ	aprameyANAm sattvAnAm sa-deva-mAnuzikAyAH pra AyAH anuttarAyAm
   samyaksaṃbodhau cittamutpāditam / ayaṃ ca heturayaṃ ca pratyayaḥ / asya	samyaksaMboDO cittam-utpAditam / ayam ca hetuH-ayam ca pratyayaH / asya
   stūpasyeha nidarśanatāyāḥ / sa ca stūpo buddhādhiṣṭhānena	stUpasya-iha nidarSana-tAyAH / sa ca stUpaH budDa-aDizWAnena
   tatraivāntardhānamanuprāpta iti //	tatra-eva-antarDAnam-anuprAptaH iti //
   iti śrīsuvarṇaprabhāsottamasūtrendrarāje vyāghrīparivarto	iti SrI-suvarNa-praBAsa-uttama-sUtrendra-rAje vyAGrI-parivartaH-
   nāmonaviṃśatitamaḥ //	nAma-UnaviMSatitamaH //
   (Bagchi 123)	(Baj-Ci 123)
   // Sarvatathāgatastavaparivartaḥ //	// Sarva-taTAgataH-tava-parivartaH //
   atha khalu tānyanekāni bodhisattvaśatasahasrāṇi yena	aTa Kalu tAni-anekAni boDisattva-Sata-sahasrANi yena
