   tṛtīya uddyotaḥ	tRtIyaH uddyotaH
   camatkārātiśayañca vidhatta iti // 3.4//	camatkAra atiSayaQca viDattaH iti // 3.4//
   pūrvakārikātātparyārthakathanapūrvakamuttarakārikāmāvatārayati  evamityādi	pUrva kArikA tAtparya arTa kaTana pUrvakam uttara kAri kAmAvatArayati  evam ityAdi
   niralaṅkāreṣviti /	niralaFkArezu iti /
   lakṣmīrityādyuktodāharaṇe na kaścidalaṅgāraḥ sphuṭo 'vagamyata iti bhāvaḥ	lakzmIH ityAt yukta udAharaNe na kaScid alaFgAraH sPuwaH avagamyate iti BAvaH
   uttānatāyāmiti /	uttAnatAyAm iti /
   āpātataḥ pratītāvityarthaḥ /	ApAtatas pratItO= iti arTaH /
   bhāsamānaṃ kāvyamiti sambandhaḥ /	BAsamAnam kAvyam iti sambanDaH /
   bhāsamānamapīti ca pāṭhaḥ /	BAsamAnam api iti ca pAWaH /
   amunā guṇībhūtena vyaṅgyena /	amunA guNIBUtena vyaFgyena /
   antarasāreṇeti /	antara sAreNa iti /
   antarassāratvaṃ guṇībhāve 'pi bālakrīḍākālīnarajatvanyāyena	antarassAra tvam guNIBAve api bAla krIxA kAlIna raja tu anyAyena
   naisargikamutkarṣaśālitvam /	nEsargikam utkarza SAli tvam /
   alaṅkārasyeti jātyekavacanam /	alaFkArasya iti jAti eka vacanam /
   anenaiveti /	anena eva iti /
   guṇībhūtavyaṅgyenaivetyarthaḥ /	guNIBUta vyaFgyena eva iti arTaH /
   ramyataratvamiti /	ramyatara tvam iti /
   alaṅkāratvātsvato ramyatvamastīti tarappratyayaḥ /	alaFkAra tvAt su atas ramya tvam asti iti tarap pratyayaH /
   ata eva "parāṃ chāyāmi"ti chāyātiśayamiti coktam /	atas eva "parAm CAyAm i"ti CAyAtiSayam iti ca uktam /
   vyaṅgyāṃśānugama ityatra vyaṅgyasya vācyaṃ pratyaṃśatvaṃ	vyaFgya aMSa anugamaH iti atra vyaFgyasya vAcyam pratyaMSa tvam
   guṇībhūtatvamevetyāha  aṃśatvaṃ guṇamātratvamiti /	guNIBUta tvam eva iti Aha  aMSa tvam guNa mAtra tvam iti /
   anena darśitamiti /	anena darSitam iti /
   nāmagrahaṇe nāmaikadeśagrahaṇamiti nyāyenaikadeśaśabda	nAma grahaNe nAma eka deSa grahaNam iti nyAyena eka deSa Sabda
   ekadeśavivartirūpakapara iti bhāvaḥ /	eka deSa vivarti rUpaka paraH iti BAvaH /
   yataḥ prathamaṃ tāvadatiśayoktigarbhatā sarvālaṅkāreṣu śakyakriyā /	yatas praTamam tAvat atiSaya ukti garBa tA sarva alaFkArezu Sakya kriyA /
   kṛtaiva ca sā mahākavibhiḥ kāmapi kāvyaccharvipuṣyati, kathaṃ	kRtA eva ca sA mahA kaviBiH kAm api kAvyat Carvi puzyati, kaTam
   hyatiśayayogitā svaviṣayaucityena kriyamāṇā satī kāvye locanam	hi atiSaya yogitA sva vizaya Ocityena kriyamANA satI kAvye locanam
   tadayamarthaḥ  ekadeśavivartirūpake    rājasaṃsairavījyanta śaradaiva	tad ayam arTaH  eka deSa vivarti rUpake   rAja saMsEH avIjyanta SaradA eva
   saronṛpāḥ ityatra haṃsānāṃ yaccāmaratvaṃ pratīyamānaṃ tannṛpā iti vācye	saraH nRpAH iti atra haMsAnAm yat ca amara tvam pratIyamAnam tat nRpAH iti vAcye
   'rthe vācye 'rthe guṇatāṃ prāptamalaṅkārakārairyāvadeva darśitaṃ	arTe vAcye arTe guNa tAm prAptam alaFkAra kArEH yAvat eva darSitam
   tāvadamunā dvāreṇa sūcito 'yaṃ prakāra ityarthaḥ /	tAvat amunA dvAreNa sUcitaH ayam prakAraH iti arTaH /
   anye tvekadeśena vācyabhāgavaicitryamātreṇetyanudbhinnameva vyācacakṣire /	anye tu eka deSena vAcya BAga vEcitrya mAtreNa iti anudBinnam eva vyAcacakzire /
   vyaṅgyaṃ yadalaṅkārāntaraṃ vastvantaraṃ ca saṃspṛśanti ye svātmanaḥ	vyaFgyam yat alaFkAra antaram vastu antaram ca saMspRSanti ye sva AtmanaH
   saṃskārāyāśliṣyantīti te tathā /	saMskArAya ASlizyanti iti te taTA /
   mahākavibhiriti /	mahAkaviBiH iti /
   kālidāsādibhiḥ /	kAli dAsa AdiBiH /
   kāvyaśobhāṃ puṣyatīti yaduktaṃ tatra hetumāha   kathaṃ hīti /	kAvya SoBAm puzyati iti yat uktam tatra hetumAha    kaTam hi iti /
   hi śabdo hetau /	hi SabdaH hetO /
   atiśayayogitā kathaṃ notkarṣamāvahet kāvye nāstyevāsau prakāra ityarthaḥ /	atiSaya yogitA kaTam na utkarzam Avahet kAvye na asti eva asO prakAraH iti arTaH /
   svaviṣaye yadaucityaṃ tena ceddhṛdayasthitena tāmatiśayoktiṃ kaviḥ karoti	sva vizaye yat Ocityam tena ced hRdaya sTitena tAm atiSaya uktim kaviH karoti
   yathā bhaṭṭendurājasya   yadviśramya vilokiteṣu bahuśo niḥsthemanī locane	yaTA Bawwa indu rAjasya  yat viSramya vilokitezu bahuSas niHsTemanI locane
   yadgātrāṇi daridrati pratidinaṃ lūnābjinīnālavat /	yad gAtrANi daridrati pratidinam lUna abjinI nAla vat /
   bālapriyā kathamekadeśavivartirūpakeṇa tatpradarśanamityata	bAla priyA kaTam eka deSa vivarti rUpakeNa tad pradarSanam iti ata
   āha   tadayamartha ityādi /	Aha   tat ayam arTaH ityAdi /
   pratīyamānamiti /	pratIyamAnam iti /
   sarasāṃ nṛpatvarūpaṇameva śābdantatsāmarthyādvījanopāyabhūtānāṃ	sarasAm nRpatva rUpaNam eva SAbdantat sAmarTyAt vIjana upAya BUtAnAm
   haṃsānāñcāmaratvaṃ vyaṅgyamityarthaḥ /	haMsAnAn ca amara tvam vyaFgyam iti arTaH /
   śaradaścāmaragrāhiṇītvamapyatra vyaṅgyaṃ bodhyam /	SaradaH ca amara grAhiNI tvam api atra vyaFgyam boDyam /
   prātpaṃ prāptaṃ sat /	prAtpam prAptam sat /
   darśitamiti /	darSitam iti /
   atroktavyaṅgyopaskṛtasya vācyasyaiva camatkārakāritvādvyaṅgyasya	atra ukta vyaFgyA upaskRtasya vAcyasya eva camatkAra kAri tvAt vyaFgyasya
   guṇībhūtatvaṃ spaṣṭīkṛtamityarthaḥ /	guNIBUta tvam spazwIkRtam iti arTaH /
   yāvadeveti /	yAvat eva iti /
   kālāvadhinirdeśastasya spaṣṭatvātiśayasūcanārthaḥ /	kAlOvaDi nirdeSaH tasya spazwa tva atiSaya sUcanA arTaH /
   tāvaditi /	tAvat iti /
   taddarśanamātrāvasara evānanyāpekṣayā sphuṭāvaseyo 'yamiti bhāvaḥ /	tad darSana mAtra avasaraH eva ananyA apekzayA sPuwa avaseyaH ayam iti BAvaH /
   amunā dvāreṇeti /	amunA dvAreNa iti /
   upalakṣaṇanyāyenetyarthaḥ /	upalakzaNa nyAyena iti arTaH /
   ayaṃ prakāraḥ kārikoktaprakāraḥ /	ayam prakAraH kArikA ukta prakAraH /
   ekadeśena darśita ityasyānyeṣāṃ vyākhyānamāha  anya ityādi /	eka deSena darSitaH iti asya anyezAm vyAKyAnam Aha  anyaH ityAdi /
   ekadeśenetyasya vyākhyānam  vācya ityādi /	eka deSena iti asya vyAKyAnam   vAcyaH ityAdi /
   anudbhinnamiti /	anudBinnam iti /
   aspaṣṭārthakamityarthaḥ /	aspazwa arTakam iti arTaH /
   vyaṅgyamityasyobhayaviśeṣaṇatvaṃ yojayannāha  vyaṅgyamityādi /	vyaFgyam iti asya uBaya viSezaNa tvam yojayan= Aha  vyaFgyam ityAdi /
   saṃspṛśantītyasya vivaraṇam  svātmana ityādi /	saMspRSanti iti asya vivaraNam   sva AtmanaH ityAdi /
   saṃskārāya atiśayayogāya /	saMskArAya atiSaya yogAya /
   kāvya ityasya pūrveṇa sambandhaḥ /	kAvyaH iti asya pUrveNa sambanDaH /
   nāstyevetyādi /	na asti eva ityAdi /
   satyāmatiśayayogitāyāmanāsāditotkarṣaḥ kāvyaprakāro nāstyevetyarthaḥ /	satyAm atiSaya yogitAyAm anAsAditA utkarzaH kAvya prakAraH na asti eva iti arTaH /
   kiṃ sarvathā netyāha  svaviṣaya ityādi /	kim sarvaTA na iti Aha  su a vizayaH ityAdi /
   svaviṣaye svasyā atiśayokteryo viṣayastasmin /	sva vizaye svasyAH atiSaya ukteH yaH vizayaH tasmin /
   aucityaṃ sambhāvyamānatvalakṣaṇam /	Ocityam samBAvyamAna tva lakzaNam /
   tena hṛdayasthiteneti /	tena hRdaya sTitena iti /
   kavihṛdayasthena tadaucityenopalakṣitāmityarthaḥ /	kavi hRdaya sTena tad Ocityena upalakzitAm iti arTaH /
   karoti cettadā nāstyevāsau prakāra iti sambandhaḥ /	karoti ced tadA na asti eva asO prakAraH iti sambanDaH /
   notkarṣamāvahet /	na utkarzam Avahet /
   bhāmahenāpyatiśayoktilakṣaṇe yaduktam    locanam dūrvākāṇḍaviḍambakaśca	BAmahena api atiSaya ukti lakzaNe yat uktam   locanam dUrvA kANxa vixambakaH ca
   nibiḍo yatpāṇḍimā gaṇḍayoḥ kṛṇṇe yūni sayauvanāsu vanitāsveṣaiva	nibixaH yat pANximAH gaNxayoH kRNNe yUni sa yOvanAsu vanitAsu eza eva
   veṣasthitiḥ //	veza sTitiH //
   atra hi bhagavato manmathavapuṣaḥ saubhāgyaviṣayaḥ sambhāvyata	atra hi BagavataH manmaTa vapuzaH sOBAgya vizayaH samBAvyata
   evāyamatiśaya iti tatkāvye lokottaraiva śobhollasati /	eva ayam atiSayaH iti tad kAvye loka uttarA eva SoBA ullasati /
   anaucityena tu śobhā loyeta eva /	anOcityena tu SoBA loyeta eva /
   yathā   alpaṃ nirmittamākāśamanālocyaiva vedhasā /	yaTA  alpam nirmittam AkASam anAlocya eva veDasA /
   idamevaṃvidhaṃ bhāvi bhavatyāḥ stanajṛmbhaṇam //	idam evaMviDam BAvi BavatyAH stana jRmBaNam //
   iti /	iti /
   nanvatiśayoktiḥ sarvālaṅkāreṣu vyaṅgyatayāntalīṃnaivāsta iti yaduktaṃ	nanu atiSaya uktiH sarva alaFkArezu vyaFgya tayA antalIMna eva Aste iti yat uktam
   tatkatham? yato bhāmaho 'tiśayoktiṃ sarvālaṅkārasāmānyarūpāmavādīt /	tat kaTam? yatas BAmahaH atiSaya uktim sarva alaFkAra sAmAnya rUpAm avAdIt /
   na ca sāmānyaṃ śabdādviśeṣapratīteḥ pṛthagbhūtatayā paścāttanatvena	na ca sAmAnyam SabdAt viSeza pratIteH pRTak BUta tayA paScAttana tvena
   cakāstīti kathamasya vyaṅgyatvamityāśaṅkyāha  bhāmaheneti /	cakAsti iti kaTam asya vyaFgya tvam iti ASaFkya aha  BAmahena iti /
   bālapriyā tatraucityayuktamudāharaṇamāha  yadityādi /	bAla priyA tatra Ocitya yuktam udAharaNam Aha  yat ityAdi /
   vyākhyāto 'yaṃ ślokaḥ /	vyAKyAtaH ayam SlokaH /
   bhagavata iti manmathavapuṣa ityatra, tacca sambhāvyata evetyatra ca hetuḥ	BagavataH iti manmaTa vapuzaH iti atra, tat ca samBAvyatas eva iti atra ca hetuH
   sambhāvyata eveti /	samBAvyatas eva iti /
   evaṃ bhavediti /	evam Bavet iti /
   pratipattṛbhissambhāvyamāna evetyarthaḥ /	pratipattR BiH samBAvyamAnaH eva iti arTaH /
   ca hetuḥ /	ca hetuH /
   sambhāvyata eveti /	samBAvyatas eva iti /
   evaṃ bhavediti pratipattṛbhissambhāvyamāna evetyarthaḥ /	evam Bavet iti pratipattR BiH samBAvyamAnaH eva iti arTaH /
   evakāreṇāsambhāvyamānatvavyavacchedaḥ /	eva kAreNa asamBAvyamAna tva vyavacCedaH /
   ayaṃ saubhāgyaviṣayo 'tiśaya iti /	ayam sOBAgya vizayaH atiSayaH iti /
   vanitāvasthāviśeṣavarṇanena pratīyamānassaundaryādiguṇātiśaya ityarthaḥ /	vanitA avasTA viSeza varNanena pratIyamAna ssOndarya Adi guNa atiSayaH iti arTaH /
   tatkāvye tādṛśi kāvye /	tad kAvye tAdRSi kAvye /
   etadeva pratyudāharaṇamukhena sphuṭayiṣyannāha  anauṭacityenetyādi /	etat eva pratyudAharaNa muKena sPuwayizyan= Aha  anOwa cityena ityAdi /
   līyata eveti /	lIyate eva iti /
   śobhollāsasya kāvārteti bhāvaḥ /	SoBA ullAsasya kO= Arta iti BAvaH /
   alpamiti /	alpam iti /
   alpaṃ nirmitamiti /	alpam nirmitam iti /
   stanayoḥ paryāptāvakāśatvābhāveneti bhāvaḥ /	stanayoH paryApta avakASa tva aBAvena iti BAvaH /
   idamiti /	idam iti /
   dṛśyamānamityarthaḥ /	dRSyamAnam iti arTaH /
   evaṃvidhamiti /	evaMviDam iti /
   vaktumaśakyamityarthaḥ /	vaktum aSakyam iti arTaH /
   atrātimahato 'pyavakāśātmakākāśasyālpatvena nirmāṇoktyā tato 'pyatiśayitaṃ	atra ati mahataH api avakASa Atmaka AkASasya alpa tvena nirmANa uktyA tatas api atiSayitam
   mahatvaṃ stanayoḥ pratīyata iti atiśayoktirvyaṅgyā, parantviyaṃ	mahatvam stanayoH pratIyate iti atiSayoktiH vyaFgyA, parantu iyam
   stanayostathāvidhamahatvasyāsambhāvyamānatvenānaucityavatīti kāvyotkarṣaṃ	stanayoH taTAviDa mahatvasya asamBAvyamAna tvena anOcityavatI iti kAvya utkarzam
   sampādayituṃ na kṣamata iti bhāvaḥ /	sampAdayitum na kzamate iti BAvaH /
   bhāmahenāpītyādigranthaḥ prakṛte kimartha	BAmahena api ityAdi granTaH prakRte kimarTa
   ityatastamavatārayati  nanvityādi /	iti atas tam avatArayati  nanu ityAdi /
   yaduktamiti /	yat uktam iti /
   atiśayoktigarbhatā sarvālaṅkāreṣu śakyakriyeti grantheneti bhāvaḥ /	atiSaya ukti garBa tA sarva alaFkArezu Sakya kriyA iti granTena iti BAvaH /
   kathamiti /	kaTam iti /
   ayuktamityarthaḥ /	ayuktam iti arTaH /
   kuta ityatrāha  yata ityādi /	kutas iti atra aha  yate ityAdi /
   bhāmahaḥ alaṅkāralakṣaṇakārakūṭastho bhāmahanāmā ācāryaḥ /	BAm ahaH alaFkAra lakzaNa kArakUwa sTaH BAmaha nAmA AcAryaH /
   avādīditi /	avAdIt iti /
   saiṣā sarvaiva vakroktiriti granthenoktavānityarthaḥ /	sA ezA sarvA eva vakroktiH iti granTena uktavAn iti arTaH /
   'sarvāpi vakroktiḥ' sarva evālaṅkāraḥ /	asarva api vakra uktiH a sarve eva alaFkAraH /
   'saiṣā' yeyamuktātiśayoktiḥ saiveti tattadalaṅkārāṇāṃ viśeṣatvaṃ	asEzA a yeyam uktA atiSaya uktiH sA eva iti tad tad alaFkArANAm viSeza tvam
   tatsāmānyarūpatvañcātiśayokteriti tadarthaḥ /	tad sAmAnya rUpa tvaQca atiSaya ukteH iti tad arTaH /
   bhavatvevaṃ tāvatā prakṛte kimāyātamityata āha  na cetyādi /	Bavatu evam tAvatA prakRte kim AyAtam iti atas Aha  na ca ityAdi /
   kathamasya vyaṅgyatvamiti /	kaTam asya vyaFgya tvam iti /
   vyaṅgyaṃ hi vācyāta pṛthaktayā tatpratītyuttaraṃ śabdātpratīyate	vyaFgyam hi vAcyAta pRTaktayA tat prati iti uttaram SabdAt pratIyate
   samānyantvanyathā gaurityādiśabdena saiṣā sarvaiva vakroktiranayārtho	samAnyantu anyaTA gOH iti Adi Sabdena sA ezA sarvA eva vakra uktiH anayA arTaH 
   vibhāvyate /	viBAvyate /
   yatno 'syāṃ kavinā kāryaḥ ko 'laṅkāro 'nayā vinā //	yatnaH asyAm kavinA kAryaH kaH alaFkAraH anayA vinA //
   iti /	iti /
   tatrātiśayoktiryamalaṅkāramadhitiṣṭhati kavipratibhāvaśāttasya	tatra atiSaya uktiryam alaFkAram aDitizWati kavi pratiBAva SAttasya
   cārutvātiśayayogo 'nyasya locanam bhāmahenāpi yaduktaṃ tatrāyamevārtho	cArutvA atiSaya yogaH anyasya locanam BAmahena api yat uktam tatra ayam eva arTaH 
   'vagantavya iti dūreṇa sambandhaḥ /	avagantavyaH iti dUreNa sambanDaH /
   kiṃ taduktam  saiṣeti /	kim tat uktam   sA ezA iti /
   yātiśayoktirlakṣitā saiva sarvā vakroktiralaṅkāra prakāraḥ sarvaḥ /	yAtiSaya uktiH lakzitA sA eva sarvAH vakra uktiH alaFkAra prakAraH sarvaH /
   vakrābhidheyaśabdoktiriṣṭā vācāmalaṅkṛtiḥ iti vacanāt /	vakra aBiDeya Sabda uktiH izwA vAcAm alaFkRtiH iti vacanAt /
   śabdasya hi vakratā abhidheyasya ca vakratā lokottīrṇena	Sabdasya hi vakra tA aBiDeyasya ca vakra tA loka uttIrNena
   rūpeṇāvasthānamityayamevāsāvalaṅkārasyālaṅkārabhāvaḥ, lokottarataiva	rUpeNa avasTAnam iti ayam eva asO= alaFkArasya alaFkAra BAvaH, lokottara tA eva
   cātiśayaḥ, tenātiśayoktiḥ sarvālaṅkārasāmānyam /	ca atiSayaH, tena atiSaya uktiH sarva alaFkAra sAmAnyam /
   tathā hi   anayā atiśayoktyā, arthaḥ sakalajanopabhogapurāṇīkṛto 'pi	taTA hi   anayA atiSaya uktyA, arTaH sakala jana upaBoga purANIkRtaH api
   vicitratayā bhāvyate /	vicitra tayA BAvyate /
   tathā pramadodyānādiḥ vibhāvatāṃ nīyate /	taTA pramadA udyAna AdiH viBAvatAm nIyate /
   bālapriyā sāmānyaviśeṣayorapṛthaktayā	bAlapriyA sAmAnya viSezayoH apRTaktayA
   samakālamevāvabhāsādityalaṅkāraviśeṣapratītyutaraṃ tatpṛthaktayā	sama kAlam eva avaBAsAt iti alaFkAra viSeza pratIti utaram tat pRTaktayA
   bhāsamānatvaṃ vyāpakaṃ vyāpakaṃ nivartamānaṃ svavyāpyaṃ vyaṅgyatvamapi	BAsamAna tvam vyApakam vyApakam nivartamAnam sva vyApyam vyaFgya tvam api
   nivartayatīti tasya vyaṅgyatvoktirbhāmahavacanavyāhatatvādayuktetyarthaḥ /	nivartayati iti tasya vyaFgya tva uktiH BAmaha vacana vyAhata tvAt ayuktA iti arTaH /
   vyavahitatvādanvayandarśayati   bhāmahenāpītyādi /	vyavahita tvAt anvayan darSa yati    BAmahena api ityAdi /
   taduktaṃ bhāmahoktam /	tat uktam BAmaha uktam /
   ślokaṃ vyācaṣṭe   yetyādi /	Slokam vyAcazwe   yA ityAdi /
   lakṣiteti /	lakzitA iti /
   "nimittato vaco yattvi"tyādignanthena lakṣitetyarthaḥ /	"nimittataH vacaH yat tu i"ti AdignanTena lakzitA iti arTaH /
   vakrā vakṣyamāṇasvarūpavakratāviśiṣṭā /	vakrA vakzyamANa svarUpa vakratA viSizwAH /
   uktirucyamāno 'rtha ityarthābhiprāyeṇa vyācaṣṭe  yetyādi /	uktiH ucyamAnaH arTaH iti arTa aBiprAyeNa vyAcazwe  yA ityAdi /
   lakṣiteti /	lakzitA iti /
   "nimittato vaco yattvi"tyādigranthena lakṣitetyarthaḥ /	"nimittataH vacaH yat tu i"ti Adi granTena lakzitA iti arTaH /
   vakrā vakṣyamāṇasvarūpavakratāviśiṣṭā /	vakrA vakzyamANa svarUpa vakratA viSizwAH /
   uktirucyamāno 'rtha ityarthābhiprāyeṇa vyācaṣṭe  alaṅkāraprakāra iti /	uktiH ucyamAnaH arTaH iti arTa aBiprAyeNa vyAcazwe  alaFkAra prakAraH iti /
   alaṅkāraviṣeṣa ityarthaḥ /	alaFkAra vizezaH iti arTaH /
   vakroktiśabdasyālaṅkārārthakatve bhāmahoktimeva saṃvādayati  vakreta /	vakra ukti Sabdasya alaFkAra arTaka tve BAmahoktim eva saMvAdayati  vakreta /
   alaṅkṛtiriti /	alaFkRtiH iti /
   alaṅkriyeti ca pāṭhaḥ /	alaFkriyA iti ca pAWaH /
   vakraśabdo	vakra SabdaH 
   'trāsambhavatsvārthassādṛśyātprasiddhapathātilaṅghirūpāntaraśālitvena	atra AsamBavat sva arTa ssAdRSyAt prasidDa paTa ati laFGi rUpa antara SAli tvena
   lakṣyatītyāśayenāha  loketyādi /	lakzyati iti ASayena aha  loka ityAdi /
   lokīttīrṇena rūpeṇa lokaprasiddhaśāstretihāsādivyāvṛttena rūpeṇa /	lokIt tIrNena rUpeNa loka prasidDa SAstra itihAsa Adi vyAvRttena rUpeNa /
   tacca rūpaṃ vivakṣitarasābhivyañjanaṃ prati yogyatvāpattilakṣaṇam /	tat ca rUpam vivakzita rasa aBivyaQjanam prati yogya tva apatti lakzaNam /
   ayameveta /	ayam eva ita /
   rasābhivyañjanayogyatvarūpalokottīrṇarūpamevetyarthaḥ /	rasa aBivyaQjana yogya tva rUpa loka uttIrNa rUpam eva iti arTaH /
   alaṅkārasyālaṅkārabhāvaḥ upamāderalaṅkāratvam /	alaFkArasya alaFkAra BAvaH upamAdeH alaFkAra tvam /
   tathāca vakroktiśabdo 'laṅkārārthaka iti bhāvaḥ /	taTA ca vakra ukti SabdaH alaFkAra arTakaH iti BAvaH /
   tathāpi kathamatiśayoktirūpatvamata āha  lokottarataivātiśaya iti /	taTA api kaTam atiSaya ukti rUpa tvam atas Aha   loka uttara tA eva atiSayaH iti /
   phalitamāha  teneti /	Palitam Aha   tena iti /
   anayetyādibhāgaṃ vivṛṇoti  tathāhītyādi /	anayA ityAdi BAgam vivRNoti   taTA Ahi ityAdi /
   tathāhīti /	taTA hi iti /
   vakṣyamāṇamuktopapādakamityarthaḥ /	vakzyamANa muktA upapAdakam iti arTaH /
   sakaleti /	sakala iti /
   purāṇīkṛtaḥ anāsvādyatāṃ nītaḥ /	purANIkRtaH anAsvAdyatAm nItaH /
   viśabdārthavivaraṇaṃ vicitratayeti /	viSabda arTa vivaraNam vicitra tayA iti /
   navanavaviśeṣaśālitayetyarthaḥ /	nava nava viSeza SAlitayA iti arTaH /
   bhāvyate niṣpādyate /	BAvyate nizpAdyate /
   yathāhuḥ  "svabhāvaścāyamarthānāṃ yanna sākṣādamī tathā /	yaTA AhuH  "svaBAvaH ca ayam arTAnAm yat na sAkzAt amI taTA /
   svadante satkavigirāṃ gāta gocaratāṃ yathe"ti /	svadante sat kavigirAm gAta gocaratAm yaTA i"ti /
   arthadvayañcānyadvibhāvyata ityanena vivakṣitamiti darśayati  tathetyādi /	arTa dvayan ca anya dvi BAvyate iti anena vivakzitam iti darSayati  taTA ityAdi /
   pramadodyānādiriti tvalaṅkāramātrataiveti	pramadA udyAna AdiH iti tu alaFkAra mAtra tA eva iti
   sarvālaṅkāraśarīrasvīkaraṇayogyatvenābhedopacārātsaiva	sarva alaFkAra SarIra svIkaraNa yogya tvena aBeda upacArAt sa eva
   sarvālaṅkārarūpetyayamevārtho 'vagantavyaḥ /	sarva alaFkAra rUpA iti ayam eva arTaH avagantavyaH /
   tasyāścālaṅkārāntarasaṃkīrṇatvaṃ locanam viśeṣeṇa ca bhāvyate	tasyAH ca alaFkAra antara saMkIrNa tvam locanam viSezeNa ca BAvyate
   rasamayīkriyate, iti tāvattenoktaṃ, tatra ko 'sāvartha ityatrāha	rasa mayIkriyate, iti tAvat tena uktaM, tatra kaH asO= arTaH iti atra Aha
   abhedopacārātsaiva sarvālaṅkārarūpeti /	aBeda upacArAt sa eva sarva alaFkAra rUpA iti /
   upacāre nimittamāha  sarvālaṅkāreti /	upacAre nimittam Aha   sarva alaFkAra iti /
   upacāre prayojanamāha  atiśayoktirityādinā alaṅkāramātrataivetyantena /	upacAre prayojanam Aha  atiSaya uktiH ityAdinA alaFkAra mAtra tA eva iti antena /
   mukhyārthabādho 'pyatraiva darśitaḥ kavipratibhāvaśādityādinā /	muKya arTa bADaH api atra eva darSitaH kavi pratiBA vaSAt ityAdinA /
   ayaṃ bhāvaḥ   yadi tāvadatiśayokteḥ sarvālaṅkāreṣu sāmānyarūpatā sā tarhi	ayam BAvaH   yadi tAvat atiSaya ukteH sarva alaFkArezu sAmAnya rUpa tA sA tarhi
   tādātmyaparyavasāyinīti tadyvatirikto naivālaṅkāro dṛśyata iti	tAdAtmya paryavasAyinI iti tat yu atiriktaH na eva alaFkAraH dRSyate iti
   kavipratibhānaṃ na tatrāpekṣaṇīyaṃ syāt /	kavi pratiBAnam na tatra apekzaNIyam syAt /
   bālapriyā artha ityanuṣajyate /	bAla priyA arTaH iti anuzajyate /
   viśeṣeṇa bhāvyata ityasyaiva vivaraṇaṃ  rasetyādi /	viSezeNa BAvyate iti asya eva vivaraNaM   rasa ityAdi /
   itītyādipiṇḍitārthakathanam /	iti ityAdi piNxita arTa kaTanam /
   tāvadityavisaṃvāde /	tA= at iti avisaMvAde /
   tatreti /	tatra iti /
   tadvacana ityarthaḥ /	tat vacanaH iti arTaH /
   asāviti /	asO= iti /
   ayamevetyatredaṃśabdena vivakṣita ityarthaḥ /	ayam eva iti atra idaMSabdena vivakzitaH iti arTaH /
   upacāre hi tritayamavaśyaṃ vakta; nimittaṃ prayojanaṃ mukhyārthabādhaśceti	upacAre hi tritayam avaSyam vakta; nimittam prayojanam muKya arTa bADaH ca iti
   tatrābhidheyasambandhalakṣaṇanimittasamarpakaṃ	tatra aBiDeya sambanDa lakzaNa nimitta samarpakam
   sarvālaṅkāretyādikamityāhopacāra ityādi /	sarva alaFkAra iti Adikam iti Aha upacAraH ityAdi /
