   devadeva uvāca	devadevaH uvAca
   tataḥ sa rañjayāmāsa dharmeṇa pṛthivīṃ tadā // VamPSm_26.23 //	tatas sa raQjayAmAsa DarmeNa pRTivIm tadA // VamPSm_26.23 //
   pitrāḥ'parañjitā tasya tena sā paripālitā /	pitrAH-aparaQjitA tasya tena sA paripAlitAH /
   tatra rājetiśabdo 'sya pṛthivyā rañjanādabhūt // VamPSm_26.24 //	tatra rAjA-iti-SabdaH asya pRTivyAH raQjanAt-aBUt // VamPSm_26.24 //
   sa rājyaṃ pāpya tebhyastu cintayāmāsa pārthivaḥ /	sa rAjyam pApya teByaH-tu cintayAmAsa pArTivaH /
   pitā mama adharmiṣṭho yajñavyucchittikārakaḥ // VamPSm_26.25 //	pitA mama aDarmizWaH yajQa-vyucCitti-kArakaH // VamPSm_26.25 //
   kathaṃ tasya kriyā kāryā paralokasukhāvahā /	kaTam tasya kriyA kAryA para-loka-suKa-AvahAH /
   ityevaṃ cintayānasya nārado 'bhyājagāma ha // VamPSm_26.26 //	iti-evam cintayAnasya nAradaH aByAjagAma ha // VamPSm_26.26 //
   tasmai sa cāsanaṃ dattvā praṇipatya ca pṛṣṭavān /	tasmE sa ca-Asanam dattvA praNipatya ca pRzwavAn /
   bhagavan sarvalokasya jānāsi tvaṃ śubhāśubham // VamPSm_26.27 //	Bagavan sarva-lokasya jAnAsi tvam SuBa-aSuBam // VamPSm_26.27 //
   pitā mama durācāro devabrāhmaṇanindakaḥ /	pitA mama durAcAraH deva-brAhmaNa-nindakaH /
   svakarmarahito vipra paralokamavāptavān // VamPSm_26.28 //	sva-karma-rahitaH vipra para-lokam-avAptavAn // VamPSm_26.28 //
   tato 'bravīnnāradastaṃ jñātvā divyena cakṣuṣā /	tatas abravIt-nAradaH-tam jQAtvA divyena cakzuzA /
   mlecchamaghye samutpannaṃ kṣayakuṣṭhasamanvitam // VamPSm_26.29 //	mlecCa-maGye samutpannam kzaya-kuzWa-samanvitam // VamPSm_26.29 //
   tacchrutvā vacanaṃ tasya nāradasya mahātmanaḥ /	tat-SrutvA vacanam tasya nAradasya mahAtmanaH /
   cintayāmāsa dukhārtaḥ kathaṃ kāryaṃ mayā bhavet // VamPSm_26.30 //	cintayAmAsa duKa-ArtaH kaTam kAryam mayA Bavet // VamPSm_26.30 //
   ityevaṃ cintayānasya matirjātā mahātmanaḥ /	iti-evam cintayAnasya matiH-jAtA mahAtmanaH /
   putraḥ sa kathyate loke yaḥ pitṝṃstrāyate bhayāt // VamPSm_26.31 //	putraH sa kaTyate loke yaH pitLn=-trAyate BayAt // VamPSm_26.31 //
   evaṃ saṃcintya sa tadā nāradaṃ pṛṣṭavān munim /	evam saMcintya sa tadA nAradam pRzwavAn munim /
   tāraṇaṃ matpitustasya mayā kāryaṃ kathaṃ mune // VamPSm_26.32 //	tAraNam mad-pituH-tasya mayA kAryam kaTam mune // VamPSm_26.32 //
   nārada uvāca	nAradaH uvAca
   gaccha tvaṃ tasya taṃ dehaṃ tīrtheṣu kuru nirmalam /	gacCa tvam tasya tam deham tIrTezu kuru nirmalam /
   yatra sthāṇormahattīrthaṃ saraḥ saṃnihitaṃ prati // VamPSm_26.33 //	yatra sTANoH-mahat-tIrTam saraH saMnihitam prati // VamPSm_26.33 //
   etacchratvā tu vacanaṃ nāradasya mahātmanaḥ /	etat-SratvA tu vacanam nAradasya mahAtmanaH /
   sacive rājyamādhāya rājā sa tu jagāma ha // VamPSm_26.34 //	sacive rAjyam-ADAya rAjA sa tu jagAma ha // VamPSm_26.34 //
   sa gatvā cottarāṃ bhūmiṃ mlecchamadhye dadarśa ha /	sa gatvA ca-uttarAm BUmim mlecCa-maDye dadarSa ha /
   kuṣṭharogeṇa mahātā kṣayeṇa ca samanvitam // VamPSm_26.35 //	kuzWa-rogeNa mahA-tA kzayeNa ca samanvitam // VamPSm_26.35 //
   tataḥ śokena mahatā saṃtapto vākyamabravīt /	tatas Sokena mahatA saMtaptaH vAkyam-abravIt /
   ha mlecchā naumi puruṣaṃ svagṛhaṃ ca nayāmyaham // VamPSm_26.36 //	ha mlecCA nOmi puruzam sva-gRham ca nayAmi-aham // VamPSm_26.36 //
   tatrāhamenaṃ nirujaṃ kariṣye yadi manyatha /	tatra-aham-enam nirujam karizye yadi manyaTa /
   tatheti sarve te mlecchāḥ puruṣaṃ taṃ dayāparam // VamPSm_26.37 //	taTA-iti sarve te mlecCAH puruzam tam dayA-param // VamPSm_26.37 //
   ūcuḥ praṇatasarvāṅgā yathā jānāsi tatkuru /	UcuH praNata-sarva-aFgAH yaTA jAnAsi tat-kuru /
   tata ānīya puruṣān śivikāvāhanocitān // VamPSm_26.38 //	tatas AnIya puruzAn SivikA-vAhana-ucitAn // VamPSm_26.38 //
   dattvā śulkaṃ ca dviguṇaṃ sukhena nayata dvijam /	dattvA Sulkam ca dviguNam suKena nayata dvijam /
   tataḥ śrutvā tu vacanaṃ tasya rājño dayāvataḥ /	tatas SrutvA tu vacanam tasya rAjQaH dayAvataH /
   26.39 gṛhītvā śivikāṃ kṣipraṃ kurukṣetreṇa yānti te /	26.39 gRhItvA SivikAm kzipram kurukzetreNa yAnti te /
   tatra nītvā sthāṇutīrthe avatārya ca te gatāḥ // VamPSm_26.40 //	tatra nItvA sTANutIrTe avatArya ca te gatAH // VamPSm_26.40 //
   tataḥ sa rājā madhyāhne taṃ snāpayati vai tadā /	tatas sa rAjA maDyAhne tam snApayati vE tadA /
   tato vāyurantarikṣe idaṃ vacanamabravīt // VamPSm_26.41 //	tatas vAyuH-antarikze idam vacanam-abravIt // VamPSm_26.41 //
   mā tāta sāhasaṃ kārṣistīrtha rakṣa prayatnataḥ /	mA tAta sAhasam kArziH-tIrTa rakza prayatnataH /
   ayaṃ pāpena ghorema atīva pariveṣṭitaḥ // VamPSm_26.42 //	ayam pApena Gorema atIva parivezwitaH // VamPSm_26.42 //
   vedanindā mahatpāpaṃ yasyānto naiva labhyate /	veda-nindA mahat-pApam yasya-antaH na-eva laByate /
   so 'yaṃ snānānmahattīrthaṃ nāśayiṣyati tatkṣaṇāt // VamPSm_26.43 //	saH ayam snAnAt-mahat-tIrTam nASayizyati tad-kzaNAt // VamPSm_26.43 //
   etad voyarbacaḥ śrutvāduḥkhena mahatānvitaḥ /	etat vA-uyarbacaH SrutvA-duHKena mahatA-anvitaH /
   uvāca śokasaṃtaptastasya duḥkhena duḥkhitaḥ /	uvAca Soka-saMtaptaH-tasya duHKena duHKitaH /
   eṣa ghoreṇa pāpena atīva pariveṣṭitaḥ // VamPSm_26.44 //	eza GoreNa pApena atIva parivezwitaH // VamPSm_26.44 //
   prāyaścittaṃ kariṣye 'haṃ yadvadiṣyanti devatāḥ /	prAyaScittam karizye aham yat-vadizyanti devatAH /
   tatastā devatāḥ sarvā idaṃ vacanamabruvan // VamPSm_26.45 //	tatas-tAH devatAH sarvAH idam vacanam-abruvan // VamPSm_26.45 //
   snātvā snātvā ca tīrtheṣu abhiṣiñcasva vāriṇā /	snAtvA snAtvA ca tIrTezu aBiziQcasva vAriNA /
   ojasā culukaṃ yāvat pratikūle sarasvatīm // VamPSm_26.46 //	ojasA culukam yAvat pratikUle sarasvatIm // VamPSm_26.46 //
   snātvā muktimavāpnoti puruṣaḥ śraddhayānvitaḥ /	snAtvA muktim-avApnoti puruzaH SradDayA-anvitaH /
   eṣa svapoṣaṇaparo devadūṣaṇatatparaḥ // VamPSm_26.47 //	eza sva-pozaNa-paraH deva-dUzaNa-tatparaH // VamPSm_26.47 //
   brāhmaṇaiśca parityakto naiṣa śuddhyati karhicit /	brAhmaNEH-ca parityaktaH na-eza SudDi-ati karhicit /
   tasmādenaṃ samuddiśya snātvā tīrtheṣu bhaktitaḥ // VamPSm_26.48 //	tasmAt-enam samuddiSya snAtvA tIrTezu BaktitaH // VamPSm_26.48 //
   abhiṣiñcasva toyena tataḥ pūto bhaviṣyati /	aBiziQcasva toyena tatas pUtaH Bavizyati /
   ityetadvacanaṃ śrutvā kṛtvā tasyāśramaṃ tataḥ // VamPSm_26.49 //	iti-etat-vacanam SrutvA kRtvA tasya-ASramam tatas // VamPSm_26.49 //
   tīrthayātrāṃ yayau rājā uddiśya janakaṃ svakam /	tIrTa-yAtrAm yayO rAjA uddiSya janakam svakam /
   sa teṣu plāvanaṃ kurvastīrtheṣu ca dine dine // VamPSm_26.50 //	sa tezu plAvanam kurvaH-tIrTezu ca dine dine // VamPSm_26.50 //
   abhyaṣiḍhcat svapitaraṃ tīrthatoyena nityaśaḥ /	aByaziXcat sva-pitaram tIrTa-toyena nityaSas /
   etasminneva kāle tu sārameyo jagāma ha // VamPSm_26.51 //	etasmin=-eva kAle tu sArameyaH jagAma ha // VamPSm_26.51 //
   sthāṇormaṭhe kaulapatirdevadravyasya rakṣitā /	sTANoH-maWe kOlapatiH-deva-dravyasya rakzitA /
   parigrahasya dravyasya paripālayitā sadā // VamPSm_26.52 //	parigrahasya dravyasya paripAlayitA sadA // VamPSm_26.52 //
   priyaśca sarvasokeṣu devakāryaparāyaṇaḥ /	priyaH-ca sarva-sokezu deva-kArya-parAyaNaH /
   tasyaivaṃ vartamānasya dharmamārge sthitasya ca // VamPSm_26.53 //	tasya-evam vartamAnasya Darma-mArge sTitasya ca // VamPSm_26.53 //
   kālena calitā buddhirdevadravyasya nāśene /	kAlena calitA budDiH-deva-dravyasya na-aSene /
   tenādharmeṇa yuktasya paralokagatasya ca / /	tena-aDarmeNa yuktasya para-loka-gatasya ca / /
   26.54 dṛṣṭvā yamo 'bravīd vākyaṃ śvayoniṃ va3ja mā ciram /	26.54 dRzwvA yamaH abravIt vAkyam Sva-yonim va3ja mA ciram /
   tadvākyānantaraṃ jātaḥ śva vai saugandhike vane // VamPSm_26.55 //	tad-vAkya-anantaram jAtaH Sva vE sOganDike vane // VamPSm_26.55 //
   tataḥ kālena mahatā śvayūthaparivāritaḥ /	tatas kAlena mahatA Sva-yUTa-parivAritaH /
   paribhūtaḥ saramayā duḥkhena mahatā vṛtaḥ // VamPSm_26.56 //	pariBUtaH saramayA duHKena mahatA vRtaH // VamPSm_26.56 //
   tyaktvā dvaitavanaṃ puṇyaṃ sānnihatyaṃ yayau saraḥ /	tyaktvA dvEtavanam puNyam sAnnihatyam yayO saraH /
   tasmin praviṣṭamātrastu sthāṇoreva prasādataḥ // VamPSm_26.57 //	tasmin pravizwa-mAtraH-tu sTANoH-eva prasAdataH // VamPSm_26.57 //
   atīva tṛṣayā yuktaḥ sarasvatyāṃ mamañja ha /	atIva tRzayA yuktaH sarasvatyAm mamaQja ha /
   tatra saṃplutadehastu vimuktaḥ sarvākilbiṣaiḥ // VamPSm_26.58 //	tatra saMpluta-dehaH-tu vimuktaH sarva-akilbizEH // VamPSm_26.58 //
   āhāralobhena tadā praviveśa kuṭīrakam /	AhAra-loBena tadA praviveSa kuwIrakam /
   praviśantaṃ tadā dṛṣṭvā śvānaṃ bhayasamanvitaḥ // VamPSm_26.59 //	praviSantam tadA dRzwvA SvAnam Baya-samanvitaH // VamPSm_26.59 //
   sa taṃ pasparśa śanakaiḥ sthāṇutīrthe mamañja ha /	sa tam pasparSa SanakEs sTANutIrTe mamaQja ha /
   patataḥ pūrvatīrtheṣu vipruṣaiḥ pariṣiñcataḥ // VamPSm_26.60 //	patataH pUrva-tIrTezu vipruzEH pariziQcataH // VamPSm_26.60 //
   śuno 'sya gātrasaṃbhūtairabbindubhiḥ sa siñcitaḥ /	SunaH asya gAtra-saMBUtEH-abbinduBiH sa siQcitaH /
   viraktadṛṣṭiśca śunaḥ kṣepeṇa ca tataḥ param // VamPSm_26.61 //	virakta-dRzwiH-ca SunaH kzepeNa ca tatas param // VamPSm_26.61 //
   sthāṇutīrthasya māhātmyāt sa putreṇa ca tāritaḥ /	sTANutIrTasya mAhAtmyAt sa putreNa ca tAritaH /
   niyatastatkṣaṇāñjāto stutiṃ kartuṃ pracakrame // VamPSm_26.62 //	niyataH-tad-kzaNAn-jAtaH stutim kartum pracakrame // VamPSm_26.62 //
   vena uvāca	venaH uvAca
   prapadye devamīśānaṃ tvāmajaṃ candrabhūṣaṇam /	prapadye devam-ISAnam tvAm-ajam candra-BUzaNam /
   mahādevaṃ mahātmānaṃ viśvasya jagataḥ patim // VamPSm_26.63 //	mahAdevam mahAtmAnam viSvasya jagataH patim // VamPSm_26.63 //
   namaste devadeveśa sarvaśatruniṣūdana /	namaH-te devadeveSa sarva-Satru-nizUdana /
   deveśa baliviṣṭambhadevadaityaiśca pūjita // VamPSm_26.64 //	deveSa bali-vizwamBa-deva-dEtyEH-ca pUjita // VamPSm_26.64 //
   virūpākṣa sahasrākṣa tryakṣa yakṣeśvarapriya /	virUpAkza sahasrAkza tryakza yakzeSvara-priya /
   sarvataḥ pāṇipādānta sarvato 'kṣiśiromukha // VamPSm_26.65 //	sarvatas pANi-pAda-anta sarvatas akzi-SiraH-muKa // VamPSm_26.65 //
   sarvataḥ śrutimalloke sarvamāvṛtya tiṣṭhasi /	sarvatas Srutimat-loke sarvam-AvRtya tizWasi /
   śaṅkukarṇa mahākarma kumbhakarṇārṇavālaya // VamPSm_26.66 //	SaFkukarNa mahA-karma kumBakarNa-arNava-Alaya // VamPSm_26.66 //
   gajendrakarṇa gokarṇa pāṇikarṇa namo 'stu te /	gaja-indra-karNa gokarNa pANikarNa namaH astu te /
   śatajihva śatāvarta śatodara śatānana // VamPSm_26.67 //	Sata-jihva SatAvarta Satodara SatAnana // VamPSm_26.67 //
   gāyanti tvāṃ gāyatriṇo hyarcayantyarkkamarciṇaḥ /	gAyanti tvAm gAyatriNaH hi-arcayanti-arkkam-arciNaH /
   brahmāṇaṃ tvā śatakrato udvaṃśamiva menire // VamPSm_26.68 //	brahmANam tvA SatakrataH udvaMSam-iva menire // VamPSm_26.68 //
   mūrtau hi te mahāmūrte samudrāmbudharāstathā /	mUrtO hi te mahA-mUrte samudra-ambuDarAH-taTA /
   devatāḥ sarva evātra goṣṭhe gāva ivāsate // VamPSm_26.69 //	devatAH sarve eva-atra gozWe gAvaH iva-Asate // VamPSm_26.69 //
   śarīre tava paśyāmi somamagniṃ jaleśvaram /	SarIre tava paSyAmi somam-agnim jaleSvaram /
   nārāyaṇaṃ tathā sūryaṃ brahmāṇaṃ ca bṛhaspatim // VamPSm_26.70 //	nArAyaNam taTA sUryam brahmANam ca bRhaspatim // VamPSm_26.70 //
   bhagavān kāraṇaṃ kāryaṃ kriyākāraṇameva tat /	BagavAn kAraNam kAryam kriyA-kAraNam-eva tat /
   prabhavaḥ pralayaścaiva sadasaccāpi daivatam // VamPSm_26.71 //	praBavaH pralayaH-ca-eva sat-asat-ca-api dEvatam // VamPSm_26.71 //
   namo bhavāya śarvāya varadāyograrūpiṇe /	namaH BavAya SarvAya vara-dAya-ugra-rUpiNe /
   andhakāsurahantre ca paśūnāṃ pataye namaḥ // VamPSm_26.72 //	anDaka-asura-hantre ca paSUnAm pataye namaH // VamPSm_26.72 //
   trijaṭāya triśīrṣāya triśulāsakkapāṇaye /	trijawAya tri-SIrzAya triSula-Asakka-pANaye /
   tryambakāya trinetrāya tripuraghra namo 'stu te // VamPSm_26.73 //	tryambakAya trinetrAya tripura-Gra namaH astu te // VamPSm_26.73 //
   namo muṇḍāya caṇḍāya aṇḍāyotpattihetave /	namaH muNxAya caNxAya aNxAya-utpatti-hetave /
   ḍiṇḍimāsaktahastāya ḍiṇḍimuṇḍāya te namaḥ // VamPSm_26.74 //	xiNxima-Asakta-hastAya xiNxi-muNxAya te namaH // VamPSm_26.74 //
   namordhvakeśadaṃṣṭrāya śuṣkāya vikṛtāya ca /	nama-UrDva-keSa-daMzwrAya SuzkAya vikRtAya ca /
   dhūmralohitakṛṣṇāya nīlagrīvāya te namaḥ // VamPSm_26.75 //	DUmra-lohita-kRzNAya nIlagrIvAya te namaH // VamPSm_26.75 //
   namo 'stvapratirūpāya virupāya śivāya ca /	namaH astu-apratirUpAya virupAya SivAya ca /
   sūryamālāya sūryāya svarūpadhvajamāline // VamPSm_26.76 //	sUrya-mAlAya sUryAya sva-rUpa-Dvaja-mAline // VamPSm_26.76 //
   namo mānātimānāya namaḥ paṭutarāya te /	namaH mAna-atimAnAya namaH pawutarAya te /
   namo gaṇendranāthāya vṛṣaskandhāya dhanvine // VamPSm_26.77 //	namaH gaNa-indra-nATAya vRza-skanDAya Danvine // VamPSm_26.77 //
   saṃkrandanāya caṇḍāya parṇadhārapuṭāya ca /	saMkrandanAya caNxAya parNa-DAra-puwAya ca /
   namo hiraṇyavarṇāya namaḥ kanakavarcase // VamPSm_26.78 //	namaH hiraNya-varNAya namaH kanaka-varcase // VamPSm_26.78 //
   namaḥ stutāya stutyāya stutisthāya namo 'stu te /	namaH stutAya stutyAya stuti-sTAya namaH astu te /
   sarvāya sarvabhakṣāya sarvabhūtaśarīriṇe // VamPSm_26.79 //	sarvAya sarva-BakzAya sarva-BUta-SarIriNe // VamPSm_26.79 //
   namo hotre ca hantre ca sitodagrapatākine /	namaH hotre ca hantre ca sita-udagra-patAkine /
   namo namyāya namrāya namaḥ kaṭakaṭāya ca // VamPSm_26.80 //	namaH namyAya namrAya namaH kawakawAya ca // VamPSm_26.80 //
   namo 'stu kṛśanāśāya śayitāyotthitāya ca /	namaH astu kRSa-nASAya SayitAya-utTitAya ca /
   sthitāya dhāvamānāya muṇḍāya kuṭilāya ca // VamPSm_26.81 //	sTitAya DAvamAnAya muNxAya kuwilAya ca // VamPSm_26.81 //
   namo nartanaśīlāya layavāditraśāline /	namaH nartana-SIlAya laya-vAditra-SAline /
   nāṭyopahāralubdhāya mukhavāditraśāline // VamPSm_26.82 //	nAwya-upahAra-lubDAya muKa-vAditra-SAline // VamPSm_26.82 //
   namo jyoṣṭhāya śreṣṭhāya balatibalaghātine /	namaH jyozWAya SrezWAya balati-bala-GAtine /
   kālanāśāya kālāya saṃsārakṣayarūpiṇe // VamPSm_26.83 //	kAla-nASAya kAlAya saMsAra-kzaya-rUpiNe // VamPSm_26.83 //
   himavadduhituḥ kānta bhairavāya namo 'stu te /	himavat-duhituH kAnta BEravAya namaH astu te /
   ugrāya ca namo nityaṃ namo 'stu daśabāhave // VamPSm_26.84 //	ugrAya ca namaH nityam namaH astu daSa-bAhave // VamPSm_26.84 //
   citibhasmapriyāyaiva kapālāsaktapāṇaye /	citi-Basma-priyAya-eva kapAla-Asakta-pANaye /
   vibhīṣaṇāya bhīṣmāya bhīmavratadharāya ca // VamPSm_26.85 //	viBIzaNAya BIzmAya BIma-vrata-DarAya ca // VamPSm_26.85 //
   namo vikṛtavaktrāya namaḥ pūtogradṛṣṭaye /	namaH vikRta-vaktrAya namaH pUta-ugra-dRzwaye /
   pakvāmamāṃsalubdhāya tambivīṇāpriyāya ca // VamPSm_26.86 //	pakva-Ama-mAMsa-lubDAya tambi-vINA-priyAya ca // VamPSm_26.86 //
   namo vṛṣāṅkavṛkṣāya govṛṣābhirute namaḥ /	namaH vRzAFka-vRkzAya go-vRza-aBirute namaH /
   kaṭaṅkaṭāya bhīmāya namaḥ paraparāya ca // VamPSm_26.87 //	kawaFkawAya BImAya namaH para-parAya ca // VamPSm_26.87 //
   namaḥ sarvavariṣṭhāya varāya varadāyine /	namaH sarva-varizWAya varAya vara-dAyine /
   namo viraktaraktāya bhāvanāyākṣamāline // VamPSm_26.88 //	namaH virakta-raktAya BAvanAya-akza-mAline // VamPSm_26.88 //
   vibhedabhedabhinnāya chāyāyai tapanāya ca /	viBeda-Beda-BinnAya CAyAyE tapanAya ca /
   aghoraghorarūpāya ghoraghoratarāya ca // VamPSm_26.89 //	aGora-Gora-rUpAya Gora-GoratarAya ca // VamPSm_26.89 //
   namaḥ śivāya śāntāya namaḥ śāntatamāya ca /	namaH SivAya SAntAya namaH SAntatamAya ca /
   bahunetrakapālāya ekamūrte namo 'stu te // VamPSm_26.90 //	bahu-netra-kapAlAya eka-mUrte namaH astu te // VamPSm_26.90 //
   namaḥ kṣudrāya lubdhāya yajñabhāgapriyāya ca /	namaH kzudrAya lubDAya yajQa-BAga-priyAya ca /
   pañcālāya sitāṅgāya namo yamaniyāmine // VamPSm_26.91 //	paQcAlAya sita-aFgAya namaH yama-niyAmine // VamPSm_26.91 //
   namaścitrorughaṇṭāya ghaṇṭāghaṇṭanighaṇṭine /	namaH-citra-uru-GaNwAya GaNwA-GaNwani-GaNwine /
   sahasraśataghaṇṭāya ghaṇṭāmālavibhūṣiṇe // VamPSm_26.92 //	sahasra-Sata-GaNwAya GaNwA-mAla-viBUziNe // VamPSm_26.92 //
   praṇasaṃghaṭṭagarvāya namaḥ kilikilipriye /	praNasaMGawwa-garvAya namaH kili-kili-priye /
   huṃhuṅkārāya pārāya huṃhuṅkārapriyāya ca //VamPSm_26.93 //	huMhuFkArAya pArAya huMhuFkAra-priyAya ca //VamPSm_26.93 //
   namaḥ samasame nityaṃ gṛhavṛkṣaniketine /	namaH sama-same nityam gRha-vRkza-niketine /
   garbhamāṃsaśṛgālāya tārakāya tarāya ca // VamPSm_26.94 //	garBa-mAMsa-SRgAlAya tArakAya tarAya ca // VamPSm_26.94 //
   namo yajñāya yajine hutāya prahutāya ca /	namaH yajQAya yajine hutAya prahutAya ca /
   yajñavāhāya havyāya tapyāya tapanāya ca // VamPSm_26.95 //	yajQa-vAhAya havyAya tapyAya tapanAya ca // VamPSm_26.95 //
   namastu payase tubhyaṃ tuṇḍānāṃ pataye namaḥ /	namaH-tu payase tuByam tuNxAnAm pataye namaH /
   annadāyānnapataye namo nānānnabhojine // VamPSm_26.96 //	anna-dAya-anna-pataye namaH nAnA-anna-Bojine // VamPSm_26.96 //
   namaḥ sahasraśīrṣāya sahasracaraṇāya ca /	namaH sahasra-SIrzAya sahasra-caraNAya ca /
   sahasrodyataśūlāya sahasrābharaṇāya ca // VamPSm_26.97 //	sahasra-udyata-SUlAya sahasra-ABaraNAya ca // VamPSm_26.97 //
   bālanucaragoptre ca bālalīlāvilāsine /	bAla-nucara-goptre ca bAla-lIlA-AvilAsine /
   namo bālāya vṛddhāya kṣubdhāya kṣobhaṇāya ca // VamPSm_26.98 //	namaH bAlAya vRdDAya kzubDAya kzoBaNAya ca // VamPSm_26.98 //
   gaṅgālulitakeśāya muñjakeśāya vai namaḥ /	gaFgA-lulita-keSAya muQjakeSAya vE namaH /
   namaḥ ṣaṭkarmatuṣṭāya trikarmaniratāya ca // VamPSm_26.99 //	namaH zawkarma-tuzwAya trikarma-niratAya ca // VamPSm_26.99 //
   nagnaprāṇāya caṇḍāya kṛśāya sphoṭanāya ca /	nagna-prANAya caNxAya kRSAya sPowanAya ca /
   dharmārthakāmamokṣāṇāṃ kathyāya kathanāya ca // VamPSm_26.100 //	Darma-arTa-kAma-mokzANAm kaTyAya kaTanAya ca // VamPSm_26.100 //
   sāṅkhyāya sāṅkhyamukhyāya sāṅkhyayogamukhāya ca /	sAFKyAya sAFKya-muKyAya sAFKya-yoga-muKAya ca /
   namo viratharathyāya catuṣpatharathāya ca // VamPSm_26.101 //	namaH viraTa-raTyAya catuzpaTa-raTAya ca // VamPSm_26.101 //
   kuṣṇājinottarīyāya vyālayajñopavītine /	kuzNa-ajina-uttarIyAya vyAla-yajQa-upavItine /
   vaktrasaṃdhānakeśāya harikeśa namo 'stu te /	vaktra-saMDAna-keSAya harikeSa namaH astu te /
   tryambikāmbikanāthāyavyaktavyaktāya vedhase // VamPSm_26.102 //	tryambikA-ambika-nATAyavyakta-vyaktAya veDase // VamPSm_26.102 //
   kāmakāmadakāmaghna tṛptātṛptavicāriṇe /	kAma-kAma-da-kAmaGna tRpta-atRpta-vicAriNe /
   namaḥ sarvada pāpaghna kalpasaṃkhyāvicāriṇe // VamPSm_26.103 //	namaH sarva-da pApa-Gna kalpa-saMKyA-vicAriNe // VamPSm_26.103 //
   mahāsattva mahābāho mahābala namo 'stu te /	mahA-sattva mahA-bAho mahA-bala namaH astu te /
   mahāmegha mahāprakhya mahākāla mahādhyute // VamPSm_26.104 //	mahA-meGa mahA-praKya mahAkAla mahA-Dyute // VamPSm_26.104 //
   meghāvarta yugāvarta candrārkapataye namaḥ /	meGAvarta yugAvarta candra-arka-pataye namaH /
   tvamannamannabhoktā ca pakvabhuk pāvanottama // VamPSm_26.105 //	tvam-annam-anna-BoktA ca pakva-Buj pAvana-uttamaH // VamPSm_26.105 //
   jarāyujāṇḍajāścaiva svedajodbhidajāśca ye /	jarAyu-jANxa-jAH-ca-eva sveda-ja-udBida-jAH-ca ye /
   tvameva devadeveśa bhūtagrāmaścaturvidhaḥ // VamPSm_26.106 //	tvam-eva devadeveSa BUta-grAmaH-caturviDaH // VamPSm_26.106 //
   sraṣṭā carācarasyāsya pātā hantā tathaiva ca /	srazwA carAcarasya-asya pAtA hantA taTA-eva ca /
   tvāmāhurbrahya vidvāṃso brahma brahmavidāṃ gatim // VamPSm_26.107 //	tvAm-AhuH-brahya vidvAMsaH brahma brahma-vidAm gatim // VamPSm_26.107 //
   manasaḥ paramajyotistvaṃ vāyurjyotiṣāmapi /	manasaH parama-jyotiH-tvam vAyuH-jyotizAm-api /
   haṃhavṛkṣe madhukaramāhustvaṃ brahmavādinaḥ // VamPSm_26.108 //	haMhavRkze maDukaram-AhuH-tvam brahma-vAdinaH // VamPSm_26.108 //
   yajurmayo ṛṅmayastvāmāhuḥ sāmamayastathā /	yajuH-mayaH Rc-mayaH-tvAm-AhuH sAma-mayaH-taTA /
   paṭhyase stutibhirnityaṃ vedopaniṣadāṃ gaṇaiḥ // VamPSm_26.109 //	paWyase stutiBiH-nityam veda-upanizadAm gaNEH // VamPSm_26.109 //
   brāhmaṇāḥ kṣatriyā vaiśyāḥ śūdrā varṇāvarāśca ye /	brAhmaNAH kzatriyAH vESyAH SUdrAH varNa-avarAH-ca ye /
   tvameva meghasaṃghāśca vidyuto 'sanigarjitam // VamPSm_26.110 //	tvam-eva meGa-saMGAH-ca vidyutaH asani-garjitam // VamPSm_26.110 //
   saṃvatsarastvamṛtavo māso māsārdhameva ca /	saMvatsaraH-tu-amRtavaH mAsaH mAsa-arDam-eva ca /
   yugā nimeṣāḥ kāṣṭhāśca nakṣatrāṇi grahāḥ kalāḥ // VamPSm_26.111 //	yugAH nimezAH kAzWAH-ca nakzatrANi grahAH kalAH // VamPSm_26.111 //
   vṛkṣāṇāṃ kakubho 'si tvaṃ girīṇāṃ himavān giriḥ /	vRkzANAm kakuBaH asi tvam girINAm himavAn giriH /
   vyāghro mṛgāṇāṃ patatāṃ tārkṣyo 'nantaśca bhoginām // VamPSm_26.112 //	vyAGraH mRgANAm patatAm tArkzyaH anantaH-ca BoginAm // VamPSm_26.112 //
   kṣirodo 'syudadhīnāṃ ca yantrāṇāṃ dhanureva ca /	kzirodaH asi-udaDInAm ca yantrANAm DanuH-eva ca /
   vajraṃ praharaṇānāṃ ca vratānāṃ satyameva ca // VamPSm_26.113 //	vajram praharaNAnAm ca vratAnAm satyam-eva ca // VamPSm_26.113 //
