   śrīgaṇādhipataye namaḥ /	SrI gaNADipataye namaH /
   mahāsugandhikāmūlaṃ śukraṃ stambhetkaṭau sthitam // GarP_1,178.10 //	mahA suganDikA mUlam Sukram stamBet kawO sTitam // GarP_1,178.10 //
   oṃ namaḥ sarvasattvebhyo namaḥ siddhiṃ kuru kuru svāhā /	om namaH sarva sattveByaH namaH sidDim kuru kuru svAhA /
   saptābhimantritaṃ kṛtvā karavīrasya puṣpakam /	sapta aBimantritam kRtvA karavIrasya puzpakam /
   strīṇāmagre bhrāmayacca kṣaṇādvai sā vaśe bhavet // GarP_1,178.11 //	strINAm agre BrAmayat ca kzaNAt vE sA vaSe Bavet // GarP_1,178.11 //
   brahmadaṇḍīṃ vacāṃ patraṃ madhunā saha peṣayet /	brahmadaNxIm vacAm patram maDunA saha pezayet /
   aṅgalepācca vanitā nānyaṃ bhartāramicchati // GarP_1,178.12 //	aFga lepAt ca vanitA na anyam BartAram icCati // GarP_1,178.12 //
   brahmadaṇḍīśikhā vaktre kṣiptā śukrasya stambhanam /	brahmadaNxI SiKA vaktre kziptA Sukrasya stamBanam /
   mūlaṃ jayantyā vaktrasthaṃ vyavahāre jayapradam // GarP_1,178.13 //	mUlam jayantyAH vaktra sTam vyavahAre jaya pradam // GarP_1,178.13 //
   bhṛṅgarājasya mūlaṃ tu piṣṭaṃ śukreṇa saṃyutam /	BRFgarAjasya mUlam tu pizwam SukreNa saMyutam /
   akṣiṇī cāñjayitvā tu vaśī karyānnaraṃ kila // GarP_1,178.14 //	akziNI ca aQjayitvA tu vaSI karyAt naram kila // GarP_1,178.14 //
   aparājitāśikhāntu nīlotpalasamanvitām /	aparAjita aSiKA antu nIlotpala samanvitAm /
   tāmbūlena pra (dānā) dadyācca vaśīkaraṇamuttamam // GarP_1,178.15 //	tAmbUlena pra (dAnA) dadyAt ca vaSIkaraNam uttamam // GarP_1,178.15 //
   aṅguṣṭhe ca pade gulphe jānau ca jaghane tathā /	aFguzWe ca pade gulPe jAnO ca jaGane taTA /
   nābhau vakṣasi kukṣau ca kakṣe kaṇṭhe kapolake // GarP_1,178.16 //	nABO vakzasi kukzO ca kakze kaNWe kapolake // GarP_1,178.16 //
   oṣṭhe netre lalāṭe ca mūrdhni candrakalāḥ sthitāḥ /	ozWe netre lalAwe ca mUrDni candra kalAH sTitAH /
   strīṇāṃ pakṣe site kṛṣṇe ūrdhvādhaḥ saṃsthitā nṛṇām // GarP_1,178.17 //	strINAm pakze site kRzNe UrDva aDas saMsTitAH nRNAm // GarP_1,178.17 //
   vāmāṅge dakṣiṇāṅge ca kramādrudra dravādikṛt /	vAma aFge dakziNa aFge ca kramAt rudra drava Adi kRt /
   catuḥ ṣaṣṭi kalāḥ proktāḥ kāmaśāstre vaśīkarāḥ /	catuH zazwi kalAH proktAH kAmaSAstre vaSIkarAH /
   āliṅganādyā nārīṇāṃ kamārīṇāṃ vaśīkarāḥ // GarP_1,178.18 //	AliFgana AdyAH nArINAm kamArINAm vaSIkarAH // GarP_1,178.18 //
   rocanāgandhupuṣpāṇi nimbapuṣpaṃ priyaṅgavaḥ /	rocanA ganDu puzpANi nimba puzpam priyaFgavaH /
   kuṅkamaṃ candanañcaiva tilakena jagadvaśet // GarP_1,178.19 //	kuFkamam candanaQca eva tilakena jagat vaSet // GarP_1,178.19 //
   oṃ hrīṃ gauri devi saubhāgyaṃ putravaśādi dehi me /	om hrIm gOri devi sOBAgyam putra vaSa Adi dehi me /
   oṃ hrīṃ lakṣmi ! devi saubhāgyaṃ sarvaṃ trailokyamohanam // GarP_1,178.20	om hrIm lakzmi ! devi sOBAgyam sarvam trElokya mohanam // GarP_1,178.20
   sagandhasya haridrāyāḥ kuṅkamānāṃ ca lepataḥ /	sa ganDasya haridrAyAH kuFkamAnAm ca lepataH /
   vaśayedrudra dhūpaśca tathāpuṣpasugandhayoḥ // GarP_1,178.21 //	vaSayet rudra DUpaH ca taTA puzpa suganDayoH // GarP_1,178.21 //
   durālabhā vacā kuṣṭhaṃ kuṅkumañca śatāvarī /	durAlaBA vacA kuzWam kuFkumaQca SatAvarI /
   tilatailena saṃyuktaṃ yonilepādvaśī naraḥ // GarP_1,178.22 //	tila tElena saMyuktam yoni lepAt vaSI naraH // GarP_1,178.22 //
   nimbakāṣṭhasya dhūmena dhūpayitvā bhagaṃ vadhūḥ /	nimba kAzWasya DUmena DUpayitvA Bagam vaDUH /
   subhagāsyātsāti rudra patirdāso bhaviṣyati // GarP_1,178.23 //	suBaga AsyAt sAti rudra patiH dAsaH Bavizyati // GarP_1,178.23 //
   māhiṣaṃ navanītañca kaṣṭañca madhuyaṣṭikā /	mAhizam navanI taQca kazwaQca maDuyazwikAH /
   saubhāgyaṃ bhagalepātsyāt patirdāso bhavettathā // GarP_1,178.24 //	sOBAgyam Baga lepAt syAt patiH dAsaH Bavet taTA // GarP_1,178.24 //
   madhuyaṣṭiśca gokṣīraṃ tathā ca kaṇṭakārikā /	maDuyazwiH ca go kzIram taTA ca kaNwakArikAH /
   etāni samabhāgāni pibeduṣṇena vāriṇā /	etAni sama BAgAni pibet uzNena vAriNA /
   caturbhāgāvaśeṣeṇa garbhasambhavamuttamam // GarP_1,178.25 //	catur BAga avaSezeNa garBa samBavam uttamam // GarP_1,178.25 //
   mātuluṅgasya bījāni kṣīreṇa saha bhāvayet /	mAtuluFgasya bIjAni kzIreNa saha BAvayet /
   tatpītvā labhate garbhaṃ nātra kāryā vicāraṇā // GarP_1,178.26 //	tat pItvA laBate garBam na atra kAryA vicAraNAH // GarP_1,178.26 //
   mātuluṅgasya bījāni mūlānyeraṇḍakasya ca /	mAtuluFgasya bIjAni mUlAni eraNxakasya ca /
   ghṛtena saha saṃyojya pāyayetputrakākṣiṇī // GarP_1,178.27 //	GRtena saha saMyojya pAyayet putrakAkziNI // GarP_1,178.27 //
   paśvagandhā mṛta dugdha kvathitaṃ mutrakārakam /	paSvaganDA mRta dugDa kvaTitam mutra kArakam /
   palāśasya tu bījāni kṣaudreṇa saha peṣayet /	palASasya tu bIjAni kzOdreNa saha pezayet /
   rajasvalā tu pītvā syātmuṣpagarbhavivarjitā // GarP_1,178.28 //	rajasvalA tu pItvA syAt muzpagarBa vivarjitAH // GarP_1,178.28 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   hyaṣṭasaptatyadhikaśatatamo 'dhyāyaḥ	hi azwasaptati aDika SatatamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  179	SrI garuxa mahApurANam 179
   hariruvāca /	hariH uvAca /
   haritālaṃ yavakṣāṃraṃ patrāṅgaṃ raktacandanam /	haritAlam yavakzAMram patra aFgam raktacandanam /
   jātihiṅgulakaṃ lākṣāṃ paktvā dantānpralepayet // GarP_1,179.1 //	jAti hiFgulakam lAkzAm paktvA dantAn pralepayet // GarP_1,179.1 //
   harītakīkaṣāyeṇa mṛṣṭvā dantānpralepayet /	harItakI kazAyeNa mRzwvA dantAn pralepayet /
   dantāḥ syurlohitāḥ puṃsaḥ śvetā rudra na saṃśayaḥ // GarP_1,179.2 //	dantAH syuH lohitAH puMsaH SvetAH rudra na saMSayaH // GarP_1,179.2 //
   mūlakaṃ svidya mandāgnau rasaṃ tasya prapūrayet /	mUlakam svidya manda agnO rasam tasya prapUrayet /
   karṇayoḥ pūraṇāttena karṇastrāvo vinaśyati // GarP_1,179.3 //	karNayoH pUraNAt tena karNaH trAvaH vinaSyati // GarP_1,179.3 //
   arkapatraṃ gṛhītvā tu mandāgnau tāpayecchanaiḥ /	arka patram gRhItvA tu manda agnO tApayet SanEs /
   niṣpīḍya pūrayetkarṇau karṇaśūlaṃ vinaśyati // GarP_1,179.4 //	nizpIxya pUrayet karNO karNa SUlam vinaSyati // GarP_1,179.4 //
   priyaṅgumadhukā caiva dhātakyutpalapāṅktibhiḥ /	priyaFgu maDukA ca eva DAtakI utpala pAFktiBiH /
   mañjiṣṭhā lodhralākṣābhiḥ kapitthasvarasena ca /	maQjizWA loDra lAkzABiH kapitTa svarasena ca /
   pacettailaṃ tathā strīṇāṃ naśyetkledaḥ prapūraṇāt // GarP_1,179.5 //	pacet tElam taTA strINAm naSyet kledaH prapUraNAt // GarP_1,179.5 //
   śuṣkamūlakaśuṇṭhīnāṃ kṣāro hiṅgumahauṣadham /	Suzka mUlaka SuNWInAm kzAraH hiFgu mahOzaDam /
   satapuṣpāvacā kuṣṭhaṃ dāru śigra rasāñjanam // GarP_1,179.6 //	sata puzpa avacA kuzWam dAru Sigra rasAQjanam // GarP_1,179.6 //
   sauvarcalaṃ yavakṣāraṃ tathā sarjakasaindhavam /	sOvarcalam yavakzAram taTA sarjaka sEnDavam /
   tathā granthirviḍaṃ mustaṃ madhuyuktaṃ caturguṇam // GarP_1,179.7 //	taTA granTiH vixam mustam maDu yuktam caturguNam // GarP_1,179.7 //
   mātuluṃ garasastadvatkadalyāśca raso hi taiḥ /	mAtulum garasaH tadvat kadalyAH ca rasaH hi tEH /
   pakvatailaṃ haredāśu strāvādīṃśca na saṃśayaḥ // GarP_1,179.8 //	pakva tElam haret ASu strA= AdIn= ca na saMSayaH // GarP_1,179.8 //
   karṇayoḥ kṛmināśaḥ syātkaṭutailasya pūraṇāt /	karNayoH kRmi nASaH syAt kawutElasya pUraNAt /
   haridrā nimbapatrāṇi pippalyo maricāni ca // GarP_1,179.9 //	haridrA nimba patrANi pippalyaH maricAni ca // GarP_1,179.9 //
   viḍaṅgabhadraṃ mustañca saptamaṃ viśvabheṣajam /	vixaFgaBadram mustaQca saptamam viSvaBezajam /
   gomūtreṇa ca piṣṭvaiva kṛtvā ca vaṭikāṃ hara ! /	go mUtreNa ca pizwvA eva kRtvA ca vawikAm hara ! /
   ajīrṇahṛdbhaveccaikaṃ dvayaṃ viṣūcikāpaham // GarP_1,179.10 //	ajIrNa hRt Bavet ca ekam dvayam vizUcika apaham // GarP_1,179.10 //
   paṭolaṃ madhunā hanti gomūtreṇa tathābudam /	pawolam maDunA hanti go mUtreNa taTA abudam /
   eṣā ca śaṅkarī vartiḥ sarvanetrāmayā pahā // GarP_1,179.11 //	ezA ca SaFkarI vartiH sarva netra AmayA pahAH // GarP_1,179.11 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   ekonāśītyadhikaśatatamo 'dhyāyaḥ	ekonASIti aDikaSatatamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  180	SrI garuxa mahApurANam 180
   hariruvāca /	hariH uvAca /
   vacā māṃsī ca bilvañca tagaraṃ padmakesaram /	vacA mAMsI ca bilvaQca tagaram padma kesaram /
   nāgapuṣpaṃ priyaṅguñca samabhāgāni cūrṇayet /	nAgapuzpam priyaFguQca sama BAgAni cUrNayet /
   anena dhūpito martyaḥ kāmavadvicarenmahīm // GarP_1,180.1 //	anena DUpitaH martyaH kAma vat vicaret mahIm // GarP_1,180.1 //
   karpūraṃ devadāruñca madhunā saha yojayet /	karpUram devadAruQca maDunA saha yojayet /
   liṅgalepācca tenaiva vaśīkuryātstriyaṃ kila // GarP_1,180.2 //	liFga lepAt ca tena eva vaSIkuryAt striyam kila // GarP_1,180.2 //
   maithunaṃ puruṣo gacchedgṛhṇīyātsvakamindriyam /	mETunam puruzaH gacCet gRhNIyAt svakam indriyam /
   vāmahastena vāmañca hastaṃ liṃpettu yatstriyāḥ /	vAma hastena vAmaQca hastam liMpet tu yat striyAH /
   āliptā strī vaśaṃ yāti nānyaṃ puruṣamicchati // GarP_1,180.3 //	AliptA strI vaSam yAti na anyam puruzam icCati // GarP_1,180.3 //
   oṃ raktacāmuṇḍe amukaṃ me vaśamānaya ānaya oṃ hrīṃ hraiṃ hraḥ phaṭ /	om rakta cAmuNxe amukam me vaSam AnayaH Anaya om hrIm hrEm hraH Paw /
   imaṃ japtvāyutaṃ mantraṃ tilakena ca śaṅkara ! /	imam japtvA ayutam mantram tilakena ca SaFkara ! /
   gorocanāsaṃyutena svaraktena vaśī bhavet // GarP_1,180.4 //	gorocanA saMyutena sva raktena vaSI Bavet // GarP_1,180.4 //
   saindhavaṃ kṛṣṇalavaṇaṃ sauvīraṃ matsyapittakam /	sEnDavam kRzNalavaNam sOvIram matsya pittakam /
   madhu sarpiḥ sitāyuktaṃ strīṇāṃ tadbhagalepanāt // GarP_1,180.5 //	maDu sarpiH sitA yuktam strINAm tad Baga lepanAt // GarP_1,180.5 //
   yaḥ pumānmaithunaṃ gacchennānyāṃ nārīṃ gamiṣyati /	yaH pumAn mETunam gacCet na anyAm nArIm gamizyati /
   śaṅkapuṣpī vacā māṃsī soma rājī ca phalgukam // GarP_1,180.6 //	SaFkapuzpI vacA mAMsI soma rAjI ca Palgukam // GarP_1,180.6 //
   māhiṣaṃ navanītañca tvakīkṛtya bhiṣagvaraḥ /	mAhizam navanI taQca tu akIkRtya Bizaj varaH /
   samūlāni sa patrāṇi kṣīreṇājyena peṣayet // GarP_1,180.7 //	sa mUlAni sa patrANi kzIreNa Ajyena pezayet // GarP_1,180.7 //
   guṭikāṃ śodhitāṃ kṛtvā nārīyonyā praveśayet /	guwikAm SoDitAm kRtvA nArI yonyA praveSayet /
   daśavāraṃ prasūtāpi punaḥ kanyā bhaviṣyati // GarP_1,180.8 //	daSa vAram prasUtA api punar kanyA Bavizyati // GarP_1,180.8 //
   sarṣapāśca vacā caiva madanasya phalāni ca /	sarzapAH ca vacA ca eva madanasya PalAni ca /
   mārjāraviṣṭhā dhattura strīkeśena samanvitaḥ // GarP_1,180.9 //	mArjAra vizWA Dattura strI keSena samanvitaH // GarP_1,180.9 //
   cāturthikaharo dhūpo ḍākinījvaranāśakaḥ /	cAturTika haraH DUpaH xAkinI jvara nASakaH /
   arjunasya ca puṣpāṇi bhallātakaviḍaṅgake // GarP_1,180.10 //	arjunasya ca puzpANi BallAtaka vixaFgake // GarP_1,180.10 //
   balā caiva sarjarasaṃ sauvīrasarṣapāstathā /	balA ca eva sarjarasam sOvIra sarzapAH taTA /
   sarpayūkāmakṣikāṇāṃ dhūmo maśakanāśanaḥ // GarP_1,180.11 //	sarpayUkA makzikANAm DUmaH maSaka nASanaH // GarP_1,180.11 //
   bhūtalāyāśca cūrṇena stambhaḥ syādyonipūraṇāt /	BU talAyAH ca cUrNena stamBaH syAt yoni pUraNAt /
   tena lepanato yonau bhagastambhastu jāyate // GarP_1,180.12 //	tena lepanataH yonO Baga stamBaH tu jAyate // GarP_1,180.12 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   aśītyadhikaśatatamo 'dhyāyaḥ	aSIti aDika SatatamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  181	SrI garuxa mahApurANam 181
   hariruvāca /	hariH uvAca /
   tāmbūlañca ghṛtaṃ kṣaudraṃ lavaṇaṃ tāmrabhājane /	tAmbUlaQca GRtam kzOdram lavaNam tAmra BAjane /
   tathā payaḥ samāyuktaṃ cakṣuḥ śūlaharaṃ param // GarP_1,181.1 //	taTA payaH samAyuktam cakzuH SUla haram param // GarP_1,181.1 //
   harītakī vacā kuṣṭhaṃ vyoṣaṃ hiṅgu manaḥ śilā /	harItakI vacA kuzWam vyozam hiFgu manaH SilA /
   kāse śvāse ca hikkāyāṃ lihyātkṣaudraṃ ghṛplutam // GarP_1,181.2 //	kAse SvAse ca hikkAyAm lihyAt kzOdram GRplutam // GarP_1,181.2 //
   pippalītriphalācūrṇaṃ madhunā lehayennaraḥ /	pippalI triPalA cUrNam maDunA lehayet naraH /
   naśyate pīnasaḥ kāsaḥ śvāsaśca balavattaraḥ // GarP_1,181.3 //	naSyate pInasaH kAsaH SvAsaH ca balavattaraH // GarP_1,181.3 //
   samūlacitrakaṃ bhasmapippalīcūrṇakaṃ lihet /	sa mUla citrakam Basma pippalI cUrNakam lihet /
   śvāsaṃ kāsañca hikkāñca madhumiśraṃ vṛṣadhvaja ! // GarP_1,181.4 //	SvAsam kAsaQca hikkAQca maDu miSram vRzaDvaja ! // GarP_1,181.4 //
   nīlotpalaṃ śarkarā ca madhukaṃ padmakaṃ samam /	nIlotpalam SarkarA ca maDukam padmakam samam /
   taṇḍulodakasaṃmiśraṃ praśamedraktavikriyāḥ // GarP_1,181.5 //	taNxula udaka saMmiSram praSamet rakta vikriyAH // GarP_1,181.5 //
   śuṇṭhī ca śarkarā caiva tathā kṣaudreṇa saṃyutā /	SuNWI ca SarkarA ca eva taTA kzOdreNa saMyutAH /
   kokilasvara eva syādguṭikā bhuktimātrataḥ // GarP_1,181.6 //	kokila svaraH eva syAt guwikA Bukti mAtrataH // GarP_1,181.6 //
   haritālaṃ śaṅkhacūrṇaṃ kadalīdalabhasmanā /	haritAlam SaFKa cUrNam kadalI dala BasmanA /
   etaddravyeṇa codvartya lomaśātanamuttamam // GarP_1,181.7 //	etat dravyeNa ca udvartya loma SAtanam uttamam // GarP_1,181.7 //
   lavaṇaṃ haritālañca tumbinyāśca phalāni ca /	lavaNam haritAlaQca tumbinyAH ca PalAni ca /
   lākṣārasasamāyuktaṃ lomaśātanamuttam // GarP_1,181.8 //	lAkzA rasa samAyuktam loma SAtanam uttam // GarP_1,181.8 //
   sudhā ca haritālañca śaṅkhabhasma manaḥ śilā /	suDA ca haritAlaQca SaFKa Basma manaH SilA /
   saindhavena sahaikatra chāgamūtreṇa peṣayet // GarP_1,181.9 //	sEnDavena saha ekatra CAga mUtreNa pezayet // GarP_1,181.9 //
   tatkṣaṇodvartanādeva lomaśātanamuttamam /	tad kzaNa udvartanAt eva loma SAtanam uttamam /
   śaṅkhamāmalakaṃ patraṃ dhātakyāḥ kusumāni ca // GarP_1,181.10 //	SaFKam Amalakam patram DAtakyAH kusumAni ca // GarP_1,181.10 //
   piṣṭvā tatpayasā sārdhaṃ saptāhaṃ dhārayenmukhe /	pizwvA tad payasA sArDam sapta aham DArayet muKe /
   snigdhāḥ śvetāśca dantāśca bhavanti vimalaprabhāḥ // GarP_1,181.11 //	snigDAH SvetAH ca dantAH ca Bavanti vimala praBAH // GarP_1,181.11 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   ekāśītyadhikaśatatamo 'dhyāyaḥ	ekASIti aDikaSatatamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  182	SrI garuxa mahApurANam 182
   hariruvāca /	hariH uvAca /
   śaradgrīṣmavasanteṣu prāyaśo dadhi garhitam /	Sarad grIzma vasantezu prAyaSas daDi garhitam /
   hemante śiśire caiva varṣāsu dadhi śasyate // GarP_1,182.1 //	hemante SiSire ca eva varzAsu daDi Sasyate // GarP_1,182.1 //
   bhukte tu śarkarā pītā navanītena buddhikṛt /	Bukte tu SarkarA pItA navanItena budDi kRt /
   guḍasya tu purāṇasya palamekantu bhakṣayet /	guxasya tu purANasya palam ekantu Bakzayet /
   strīsahasrañca saṃgacchetpumānbalayuto hara ! // GarP_1,182.2 //	strI sahasraQca saMgacCet pumAn bala yutaH hara ! // GarP_1,182.2 //
   kuṣṭhaṃ saṃcūrṇitaṃ kṛtvā ghṛtamākṣikasaṃyutam /	kuzWam saMcUrNitam kRtvA GRta mAkzika saMyutam /
   bhakṣayetsvapnavelāyāṃ balīpalitanāśanam // GarP_1,182.3 //	Bakzayet svapna velAyAm balI palita nASanam // GarP_1,182.3 //
   atasīmāṣagodhūmacūrṇaṃ kṛtvā tu pippalī /	atasI mAza goDUma cUrNam kRtvA tu pippalI /
   ghṛtena lepayedgatramobhiḥ sārdhaṃ vicakṣaṇaḥ /	GRtena lepayet gatramoBiH sArDam vicakzaNaH /
   kandarpasadṛśo martyo nityaṃ bhavati śaṅkara ! // GarP_1,182.4 //	kandarpa sadRSaH martyaH nityam Bavati SaFkara ! // GarP_1,182.4 //
   yavāstilāśvagandhā ca muśalī saralā guḍam /	yavAstilASvaganDA ca muSalI saralAH guxam /
   ebhiśca racitāṃ jagdhvā taruṇo balavānbhavet // GarP_1,182.5 //	eBiH ca racitAm jagDvA taruNaH balavAn Bavet // GarP_1,182.5 //
   hiṅgu sauvarcalaṃ śuṇṭhīṃ pītvā tu kvathitodakaiḥ /	hiFgu sOvarcalam SuNWIm pItvA tu kvaTita udakEH /
   pariṇāmākhyaśūlañca ajīrṇañcaiva naśyati // GarP_1,182.6 //	pariNAma AKya SUlaQca ajIrNaQcA eva naSyati // GarP_1,182.6 //
   dhātakīṃ somarājīñca kṣīreṇa saha peṣayet /	DAtakIm somarAjIn ca kzIreNa saha pezayet /
   durbalaśca bhavetsthūlo nātra kāryā vicāraṇā // GarP_1,182.7 //	durbalaH ca Bavet sTUlaH na atra kAryA vicAraNAH // GarP_1,182.7 //
   śarkarāmadhusaṃyuktaṃ navanītaṃ balī lihet /	SarkarA maDu saMyuktam navanItam balI lihet /
   kṣīrāśī ca kṣayī puṣṭiṃ medhāñcaivātulāṃ vrajet // GarP_1,182.8 //	kzIra ASI ca kzayI puzwim meDAQcA eva atulAm vrajet // GarP_1,182.8 //
   kulīracūrṇaṃ sakṣīraṃ pītañca kṣayareganut /	kulIra cUrNam sa kzIram pItaQca kzaya rega nud /
   bhallātakaṃ viḍaṅgañca yavakṣārañca saindhavam // GarP_1,182.9 //	BallAtakam vixaFgaQca yavakzAraQca sEnDavam // GarP_1,182.9 //
   manaḥ śilā śaṅkhacūrṇaṃ tailapakvaṃ tathaiva ca /	manaH SilA SaFKa cUrNam tEla pakvam taTA eva ca /
   lomāni śātayatyeva nātra kāryā vicāraṇā // GarP_1,182.10 //	lomAni SAtayati eva na atra kAryA vicAraNAH // GarP_1,182.10 //
   mālūrasya rasaṃ gṛhya jalaukāṃ tatra peṣayet /	mAlUrasya rasam gRhya jalOkAm tatra pezayet /
   hastau saṃlepayettena tvagnistambhanamuttamam // GarP_1,182.11 //	hastO saMlepayet tena tu agni stamBanam uttamam // GarP_1,182.11 //
   śālmalīrasamādāya kharamūtre nidhāya tam /	SAlmalI rasam AdAya Kara mUtre niDAya tam /
   agnayādau vikṣipettena hyagnistambhanamuttamam // GarP_1,182.12 //	agnayA AdO vikzipet tena hi agni stamBanam uttamam // GarP_1,182.12 //
   vāyasyā udaraṃ gṛhya maṇḍūkavasayā saha /	vAyasyAH udaram gRhya maNxUka vasayA saha /
   guṭikāṃ kārayettena tato 'gnau saṃkṣaipetsudhīḥ /	guwikAm kArayet tena tatas agnO saMkzEpet suDIH /
   evametatprayogeṇa hyagnistambhanamuttamam // GarP_1,182.13 //	evam etat prayogeNa hi agni stamBanam uttamam // GarP_1,182.13 //
   muṇḍītvakca vacā mustaṃ maricaṃ tagaraṃ tathā /	muNxI tvac ca vacA mustam maricam tagaram taTA /
   carvitvā ca tvimaṃ sadyo jihvayā jvalanaṃ lihet // GarP_1,182.14 //	carvitvA ca tu imam sadyas jihvayA jvalanam lihet // GarP_1,182.14 //
   gorocanāṃ bhṛṅgarājaṃ cūrṇokṛtyaghṛtaṃ samam /	gorocanAm BRFgarAjam cUrNa ukRtya GRtam samam /
   divyāmbhasaḥ stambhanaṃ syānmantreṇānena vai tathā /	divya amBasaH stamBanam syAt mantreNa anena vE taTA /
   oṃ agnistambhanaṃ kuru kuru // GarP_1,182.15 //	om agni stamBanam kuru kuru // GarP_1,182.15 //
   oṃ namo bhagavate jalaṃ stambhaya saṃ saṃ saṃ keka kekaḥ caracara /	om namaH Bagavate jalam stamBaya sam sam sam keka kekaH cara caraH /
   jalastambhanamantro 'yaṃ jalaṃ stambhayate śiva ! // GarP_1,182.16 //	jala stamBana mantraH ayam jalam stamBayate Siva ! // GarP_1,182.16 //
   gṛdhrāsthiñca gavāsthiñca tathā nirmālyameva ca /	gRDra asTiQca gavAsTiQca taTA nirmAlyam eva ca /
   areryo nikhaneddvāre pañcatvamu payāti saḥ // GarP_1,182.17 //	areH yaH niKanet dvAre paQcatvamu payAti saH // GarP_1,182.17 //
   pañcaraktāni puṣpāṇi pṛthagjātyā samālabhet /	paQca raktAni puzpANi pRTak jAtyA samAlaBet /
   kuṅkumena samāyuktamātmaraktasamanvitam // GarP_1,182.18 //	kuFkumena samAyuktam Atma rakta samanvitam // GarP_1,182.18 //
   puṣpeṇa tu samaṃ piṣṭvā rocanāyāḥ palaikataḥ /	puzpeNa tu samam pizwvA rocanAyAH pala ekatas /
   striyā puṃsā kṛto rudra ! tilako 'yaṃ vaśīkaraḥ // GarP_1,182.19 //	striyA puMsA kRtaH rudraH ! tilakaH ayam vaSIkaraH // GarP_1,182.19 //
   brahmadaṇḍī tu puṣyeṇa bhakṣye pāne vaśīkaraḥ /	brahmadaNxI tu puzyeNa Bakzye pAne vaSIkaraH /
   yaṣṭi madhu palaikena pakvamuṣṇodakaṃ pibet // GarP_1,182.20 //	yazwi maDu pala ekena pakvam uzNa udakam pibet // GarP_1,182.20 //
   viṣṭambhikāñca hṛcchūlaṃ haratyeva maheśvara ! /	vizwamBi kAQca hRd SUlam harati eva maheSvara ! /
   oṃ hrūṃ jaḥ /	om hrUm jaH /
   mantro 'yaṃ harate rudra ! sarvavṛścikajaṃ viṣam // GarP_1,182.21 //	mantraH ayam harate rudraH ! sarva vRScika jam vizam // GarP_1,182.21 //
   pippalī navanītañca śṛṅgaveraṃ ca saindhavam /	pippalI navanI taQca SRFgaveram ca sEnDavam /
   maricaṃ dadhi kuṣṭhañca nasye pāne viṣaṃ haret // GarP_1,182.22 //	maricam daDi kuzWaQca nasye pAne vizam haret // GarP_1,182.22 //
   triphalārdrakakuṣṭhaṃ ca candanaṃ ghṛtasaṃyutam /	triPalA Ardraka kuzWam ca candanam GRta saMyutam /
   etatpānācca lepācca viṣanāśo bhavecchiva ! // GarP_1,182.23 //	etad pAnAt ca lepAt ca viza nASaH Bavet Siva ! // GarP_1,182.23 //
