   Kāvyaprakāśaḥ	KAvya prakASaH
             patatu śirasyakāṇḍayamadaṇḍa ivaiṣa bhujaḥ //502//}	patatu Sirasi akANxayama daNxaH iva eza BujaH //502//}
                       (Bhavabhūti's Mālatīmādhava 5.31)	(Bhava BUti as MAlati imADava 5.31)
   ekapadārthatā yathā	eka padArTa tA yaTA
        {bhasmoddhūlana bhadramastu bhavate rudrākṣamāle śubhaṃ	{Basma udDUla na Badram astu Bavate rudrAkza mAle SuBam
             hā sopānaparaṃparāṃ girisutākāntālayālaṅkṛtiṃ /	hA sopAna paraMparAm girisutA kAnta AlayA alaFkRtim /
        adyārādhanatoṣitena vibhunā yuṣmatsaparyāsukhā 	adya ArADana tozitena viBunA yuzmad saparyA suKA 
             lokocchedini mokṣanāmani mahāmohe nidhīyāmahe //503//}	loka ucCedini mokza nAmani mahA mohe niDIyAmahe //503//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   eṣu aparādhadvaye pūrvāparajanmanoranamanam bhujapāte śastropakṣepaḥ	ezu aparADa dvaye pUrva apara jan manoH a namanam Buja pAte Sastra upakzepaH
   mahāmohe sukhāvalokoccheditvaṃ ca yathākramamuktarūpo hetuḥ //114//	mahA mohe suKa avaloka ucCedi tvam ca yaTAkrama mukta rUpaH hetuH //114//
   paryāyoktaṃ vinā vācyavācakatvena yadvacaḥ /	paryAya uktam vinA vAcya vAcaka tvena yat vacaH /
   vācyavācakabhāvavyatiriktenāvagamanavyāpāreṇa yat pratipādanaṃ tat	vAcya vAcaka BAva vyatiriktena avagamana vyApAreNa yat pratipAdanam tat 
   paryāyeṇa bhaṅgyantareṇa kathanāt paryāyoktam / udāharaṇam     	paryAyeNa BaFgi antareNa kaTanAt paryAya uktam / udAharaNam     
        {yaṃ prekṣya cirarūḍhāpi nivāsaprītirujjhatā /	{yam prekzya cira rUXA api nivAsa prItiH ujJatA /
        madenairāvaṇamukhe mānena hṛdaye hareḥ //504//}	madena ErAvaNa muKe mAnena hRdaye hareH //504//}
                       (Meṇṭha,Hayagrīvavadham)	(MeNWa ,Haya grIva vaDam)
   atra airāvaṇaśakrau madamānamuktau jātāviti vyaṅgyamapi śabdenocyate /	atra ErAvaNa SakrO mada mAna muktO jAtO= iti vyaFgyam api Sabdena ucyate /
   tena yadevocyate tadeva vyaṅgyam / yathā tu vyaṅgyaṃ na tathocyate / yathā	tena yat eva ucyate tat eva vyaFgyam / yaTA tu vyaFgyam na taTA ucyate / yaTA
   gavi śukle calati dṛṣṭe {gauḥ śuklaścalati} iti vikalpaḥ / yadeva dṛṣṭaṃ	gavi Sukle calati dRzwe {gOH SuklaH calati} iti vikalpaH / yat eva dRzwam
   tadeva vikalpayati na tu yathā dṛṣṭaṃ tathā /	tat eva vikalpayati na tu yaTA dRzwam taTA /
   yato 'bhinnāsaṃsṛṣṭatvena dṛṣṭam bhedasaṃsargābhyāṃ vikalpayati //	yatas aBinna asaMsRzwa tvena dRzwam Beda saMsargAByAm vikalpayati //
   udāttaṃ vastunaḥ saṃpat ...	udAttam vastunaH saMpad ...
   saṃpat samṛddhiyogaḥ / yathā	saMpad samRdDi yogaH / yaTA
        {muktāḥ kelivisūtrahāragalitāḥ saṃmārjanībhirhṛtāḥ	{muktAH keli visUtra hAra galitAH saMmArjanIBiH hRtAH
             prātaḥ prāṅgaṇasīmni mantharacaladbālāṅghrilākṣāruṇāḥ /	prAtar prAFgaNa sImni manTara calat bAla aFGri lAkzA aruNAH /
        dūrāddāḍimabījaśaṅkitadhiṃyaḥ karṣanti kelīśukāḥ	dUrAt dAxima bIja SaFkita DiMyaH karzanti kelI SukAH
             yadvidvadbhavaneṣu bhojanṛpatestat tyāgalīlāyitam //505//}	yat vidvat Bavanezu Boja nRpateH tat tyAga lIlAyitam //505//}
                       (Ruyyaka's Alaṅkārasarvasva)	(Ruyyaka as AlaFkAra sarvasva)
   ... mahatāṃ copalakṣaṇam // MKpr K_115 //	... mahatAm ca upalakzaNam // MKpr K_115 //
   upalakṣaṇamaṅgabhāvaḥ arthādupalakṣaṇīye 'rthe / udāharaṇam     	upalakzaNam aFga BAvaH arTAt upalakzaNIye arTe / udAharaNam     
        {tadidamaraṇyaṃ yasmin daśarathavacanānupālanavyasanī /	{tat idam araNyam yasmin daSaraTa vacana anupAlana vyasanI /
        nivasan bāhusahāyaścakāra rakṣaḥkṣayaṃ rāmaḥ //506//}	nivasan bAhu sahAyaH cakAra rakzaH kzayam rAmaH //506//}
                       (Rudraṭa's Kāvyālaṅkāra 7.104)	(Rudrawa as KAvyAlaFkAraH 7.104)
   na cātra vīro rasaḥ tasyehāṅgatvāt //115//	na ca atra vIraH rasaH tasya iha aFga tvAt //115//
   tatsiddhihetāvekasmin yatrānyattatkaraṃ bhavet /	tad sidDi hetO= ekasmin yatra anyat tat karam Bavet /
   samuccayo 'sau ...	samuccayaH asO ...
   tasya prastutasya kāryasya ekasmin sādhake sthite sādhakāntarāṇi yatra	tasya prastutasya kAryasya ekasmin sADake sTite sADaka antarANi yatra
   saṃbhavanti sa samuccayaḥ / udāharaṇam     	saMBavanti sa samuccayaH / udAharaNam     
        {durvārāḥ smaramārgaṇāḥ priyatamo dūre manotyutsukaṃ	{durvArAH smara mArgaNAH priyatamaH dUre manoti utsukam
             gāḍhaṃ prema navaṃ vayotikaṭhināḥ prāṇāḥ kulaṃ nirmalam /	gAXam prema navam vayoti kaWinAH prANAH kulam nirmalam /
        strītvaṃ dhairyavirodhi manmathasuhṛt kālaḥ kṛtāntokṣamo	strI tvam DErya viroDi manmaTa suhRd kAlaH kRtAnta ukzamaH 
             no sakhyaścaturāḥ kathaṃ nu virahaḥ soḍhavya itthaṃ śaṭhaḥ	no saKyaH caturAH kaTam nu virahaH soXavyaH itTam SaWaH
                       (Śārṅgadharapaddhati)	(ŚArFgaDara padDati)
   atra virahāsahatvaṃ smaramārgaṇā eva kurvanti / tadupari	atra viraha asaha tvam smara mArgaNAH eva kurvanti / tad upari
   priyatamadūrasthityādi upāttam //	priyatama dUra sTiti Adi upAttam //
   eṣa eva samuccayaḥ sadyoge 'sadyoge sadasadyoge ca paryavasyatīti na	ezaH eva samuccayaH sat yoge asat yoge sat asat yoge ca paryavasyati iti na
   pṛthak lakṣyate / tathāhi     	pRTak lakzyate / taTA hi     
        {kulamamalinaṃ bhadrā mūrtirmatiḥ śrutiśālinī	{kulam amalinam BadrA mUrtiH matiH Sruti SAlinI
             bhujabalamalaṃ sphītā lakṣmīḥ prabhutvamakhaṇḍitam /	Buja bala malam sPItA lakzmIH praBu tvam aKaNxitam /
        prakṛtisubhagā hyete bhāvā amībhirayaṃ jano	prakRti suBagAH hi ete BAvAH amIBiH ayam jano
             vrajati sutarāṃ darpaṃ rājan ta eva tavāṅkuśāḥ //508//}	vrajati sutarAm darpam rAjan te eva tava aFkuSAH //508//}
                       (Bhoja's Sarasvatīkāṇṭhābharaṇa 5.368)	(Bhoja as Sara svatI kANWa ABaraNaH 5.368)
   atra satāṃ yogaḥ / uktodāharaṇe tvasatāṃ yogaḥ /	atra satAm yogaH / ukta udAharaNe tu asatAm yogaH /
        {śaśī divasadhūsaro galitayauvanā kāminī	{SaSI divasa DUsaraH galita yOvanA kAminI
             saro vigatavārikaṃ mukhamanakṣaraṃ svākṛteḥ /	saraH vigata vArikam muKam anakzaram svAkRteH /
        prabhurdhanaparāyaṇaḥ satatadurgataḥ sajjano	praBuH Dana parAyaNaH satata durgataH sat janaH 
             nṛpāṅgaṇagataḥ khalo manasi sapta śalyāni me //509//}	nRpa aFgaNa gataH KalaH manasi sapta SalyAni me //509//}
                       (Bhartṛhari's Nītiśataka 45)	(BhartR hari as NIti SatakaH 45)
   atra śaśini dhūsare śalye śalyāntarāṇīti śobhanāśobhanayogaḥ //	atra SaSini DUsare Salye Salya antarANi iti SoBana ASoBana yogaH //
   ... sa tvanyo yugapad yā guṇakriyāḥ // MKpr K_116 //	... sa tu anyaH yugapad yAH guNa kriyAH // MKpr K_116 //
   guṇau ca kriye ca guṇakriye ca guṇakriyāḥ / krameṇodāharaṇam     	guNO ca kriye ca guNa kriye ca guNa kriyAH / krameNa udAharaNam     
        {vidalitasakalārikulaṃ tava balamidamabhavadā‘u vimalaṃ ca /	{vidalita sakala ari kulam tava balam idam aBavat A‘u vimalam ca /
        prakhalamukhāni narādhipa malināni ca tāni jātāni //510//}	praKala muKAni narADipa malinAni ca tAni jAtAni //510//}
                       (Rudraṭa's Kāvyālaṅkāra 7.28)	(Rudrawa as KAvyAlaFkAraH 7.28)
        {ayamekapade tayā viyogaḥ prayayā copanataḥ suduḥsaho me /	{ayam eka pade tayA viyogaH prayayA ca upanataH su duHsahaH me /
        navavāridharodayādahobhirbhavitavyaṃ ca nirātapatvaramyaiḥ //511//}	nava vAri Dara udayAt ahoBiH Bavitavyam ca nirAtapa tva ramyEH //511//}
                       (Kālidāsa's Vikramorvaśīya 4.10)	(KAli dAsa as Vikrama uH vaSIya 4.10)
        {kaluṣaṃ ca tavāhiteṣvakasmātsitapaṅkeruhasodaraśri cakṣuḥ /	{kaluzam ca tava Ahitezu akasmAt sita paFkeruha sodara Sri cakzuH /
        patitaṃ ca mahīpatīndra teṣāṃ vapuṣi prasphuṭamāpadāṃ kaṭākṣaiḥ	patitam ca mahIpati indra tezAm vapuzi prasPuwam ApadAm kawAkzEH
                       (Viśvanātha's Sāhityadarpaṇa 10.85)	(ViSvanATa as SAhiti adarpaNa 10.85)
   {dhunoti cāsiṃ tanute ca kīrtim} ityādeḥ {kṛpāṇapāṇiśca bhavān raṇakṣitau	{Dunoti ca asim tanute ca kIrtim} iti AdeH {kRpANa pANiH ca BavAn raNa kzitO
   sasādhuvādāśca surāḥ surālaye} ityādeśca darśanāt {vyadhikaraṇe} iti	sa sADu vAdAH ca surAH surAlaye} iti AdeH ca darSanAt {vyaDikaraNe} iti
   {ekasmin deśe} iti ca na vācyam //116//	{ekasmin deSe} iti ca na vAcyam //116//
   ekaṃ krameṇānekasmin paryāyaḥ ...	ekam krameNa anekasmin paryAyaH ...
   ekaṃ vastu krameṇānekasmin bhavati kriyate vā sa paryāyaḥ /	ekam vastu krameNa anekasmin Bavati kriyate vA sa paryAyaH /
   krameṇodāharaṇam     	krameNa udAharaNam     
        {nanvāśrayasthitiriyaṃ tava kālakūṭa	{nanu A ASraya sTitiH iyam tava kAlakUwa
             kenottarottaraviśiṣṭapadopadiṣṭā /	kena uttarottara viSizwa pada upadizwA /
        prāgarṇavasya hṛdaye vṛṣalakṣmaṇo 'tha	prAc arNavasya hRdaye vRza lakzmaNaH aTa
             kaṇṭhedhunā vasasi vāci punaḥ khalānām //513//}	kaNWa iDunA vasasi vAci punar KalAnAm //513//}
                       (Bhallaṭaśataka 4)	(Bhat lawa SatakaH 4)
   yathā vā	yaTA vA
        {bimboṣṭa eva rāgaste tanvi pūrvamadṛśyata /	{bimba uzwaH eva rAgaH te tanvi pUrvam adRSyata /
        adhunā hṛdaye 'pyeṣa mṛgaśāvākṣi lakṣyate //514//}	aDunA hRdaye api eza mRgaSAva akzi lakzyate //514//}
                       (Padmagupta alias Parimala's Navasāhasāṅkacarita 6.60)	(Padmagupta aliaH Parimala as Nava sAhasa aFka caritaH 6.60)
   rāgasya vastuto bhede 'pyekatayādhyavasitatvādekatvamaviruddham /	rAgasya vastutas Bede api ekatayA aDya vasita tvAt eka tvam avirudDam /
        {taṃ tāṇa sirisahoararaaṇāharaṇammi hiaamekkarasaṃ /	{tam tANa siri sahoa ra raaNa AharaNammi hiaam ekka rasam /
        bimbāhare piāṇaṃ ṇivesiaṃ kusumabāṇeṇa //515//}	bimba ahare piANam Nivesiam kusuma bANeNa //515//}
        [tatteṣāṃ śrīsahodararatnābharaṇe hṛdayamekarasam /	[tat tezAm SrI sahodara ratna ABaraNe hRdayam eka rasam /
        vimbādhare priyāṇāṃ niveśitaṃ kusumabāṇena //]	vimba aDare priyANAm niveSitam kusuma bANena //]
                       (Ānandavardhana's Viṣamabāṇalīlā)	(Ānanda varDana as Vizama bANa lIlA)
   ... anyastato 'nyathā /	... anyaH tatas anyaTA /
   anekamekasmin krameṇa bhavati kriyate vā so 'nyaḥ //	anekam ekasmin krameNa Bavati kriyate vA saH anyaH //
   krameṇodāharaṇam     	krameNa udAharaNam     
        {madhurimaruciraṃ vacaḥ khalānāmamṛtamaho prathamaṃ pṛthu vyanakti /	{maDurima ruciram vacaH KalAnAm amRtam aho praTamam pRTu vyanakti /
        atha kathayati mohahetumantargatamiva hālahalaṃ viṣaṃ tadeva //516//}	aTa kaTayati moha hetum antargatam iva hAla halam vizam tat eva //516//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 286)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 286)
        {tadgehaṃ natabhitti mandiramidaṃ labdhāvakāśaṃ divaḥ	{tad geham nata Bitti mandiram idam labDa avakASam divaH
             sā dhenurjaratī nadamti kariṇāmetā ghanābhā ghaṭāḥ /	sA DenuH jaratI nadamti kariNAm etAH Gana ABAH GawAH /
        sa kṣudro musaladhvaniḥ kalamidaṃ saṃgītakaṃ yoṣitām	sa kzudraH musala DvaniH kalam idam saMgItakam yozitAm
             āścaryaṃ divasairdvijoyamiyatīṃ bhūmiṃ samāropitaḥ //517//}	AScaryam divasEH dvijoyam iyatIm BUmim samAropitaH //517//}
                       (Abhinavagupta's Dhvanyālokalocana 3.16)	(a aBinava gupta as Dhvani Aloka locanaH 3.16)
   atra ekasyaiva hānopādānayoravivakṣitatvāt na parivṛttiḥ //	atra ekasya eva hAna upAdAnayoH avivakzita tvAt na parivRttiH //
   anumānaṃ taduktaṃ yat sādhyasādhanayorvacaḥ // MKpr K_117 //	anumAnam tat uktam yat sADya sADanayoH vacaH // MKpr K_117 //
   pakṣadharmānvayavyatirekitvena trirūpo hetuḥ sādhanam / dharmiṇi	pakza Darma anvaya vyatireki tvena tri rUpaH hetuH sADanam / DarmiNi
   ayogavyavacchedo vyāpakasya sādhyatvam / yathā	ayoga vyavacCedaH vyApakasya sADya tvam / yaTA
        {yatraitā laharīcalācaladṛśo vyāpārayanti bhruvaṃ	{yatra etAH laharI cala acala dRSaH vyApArayanti Bruvam
             yat tatraiva patanti saṃtatamamī marmaspṛśo mārgaṇāḥ /	yat tatra eva patanti saMtatam amI marma spRSaH mArgaNAH /
        taccakrīkṛtacāpamañcitaśarapreṅkhatkaraḥ krodhano	tat cakrIkRta cApa maQcita Sara preFKat karaH kroDanaH 
             dhāvatyagrata eva śāsanadharaḥ satyaṃ sadāsāṃ smaraḥ //518//}	DAvati agratas eva SAsana DaraH satyam sadA AsAm smaraH //518//}
                       (Ruyyaka's Alaṅkārasarvasva)	(Ruyyaka as AlaFkAra sarvasva)
   sādhyasādhanyoḥ paurvāparyavikalpe ne kiñcidvaicitryamiti na tathā	sADya sADanyoH pOrvAparya vikalpe ne kiQcid vEcitryam iti na taTA
   darśitam //117//	darSitam //117//
   viśeṣaṇairyatsākūtairuktiḥ parikarastu saḥ /	viSezaNEH yat sA kUtEH uktiH parikaraH tu saH /
   arthādviśeṣyasya / udāharaṇam     	arTAt viSezyasya / udAharaNam     
        {mahaujaso mānadhanā dhanārcitā	{mahA ojasaH mAna DanA Dana arcitA
             dhanurbhṛtaḥ saṃyati labdhakīrtayaḥ /	DanurBRtaH saMyati labDa kIrtayaH /
        na saṃhatāstasya na bhedavṛttayah	na saMhatAH tasya na Beda vRtta yah
             priyāṇi vāñchantyasubhiḥ samīhitum //519//}	priyANi vAQCanti asuBiH samIhitum //519//}
                       (Bhāravi's Kirātārjunīya 1.19)	(Bha aravi as KirAta arjunIya 1.19)
   yadyapyuṣṭārthasya doṣatābhidhānāttannirākaraṇena puṣṭārthasvīkāraḥ kṛtaḥ	yadi api uzwa arTasya doza tA aBiDAnAt tad nirAkaraNena puzwa arTa svIkAraH kRtaH
   tathāpyekaniṣṭhatvena bahunāṃ viśeṣaṇānāmevamupanyāse vaicitryam	taTA api eka nizWa tvena bahunAm viSezaNAnAm evam upanyAse vEcitryam
   ityalaṅkāramadhye gaṇitaḥ //	iti alaFkAra maDye gaNitaH //
   vyājoktiśchadmanodbhinnavasturūpanigūhanam // MKpr K_118 //	vyAja uktiH CadmanA udBinna vastu rUpa nigUhanam // MKpr K_118 //
   nigūḍhamapi vastuno rūpaṃ kathamapi prabhinnaṃ kenāpi vyapadeśena	nigUXam api vastunaH rUpam kaTam api praBinnam kena api vyapadeSena
   yadapahnūyate sā vyājoktiḥ /	yat apahnUyate sA vyAja uktiH /
   na caiṣāpahnutiḥ prakṛtāprakṛto 'bhayaniṣṭhasya sāmyasyehāsaṃbhavāt /	na ca ezA apahnutiH prakRta aprakRtaH aBaya nizWasya sAmyasya iha asaMBavAt /
   udāharaṇam     	udAharaNam     
        {śailendrapratipādyamānagirijāhastopagūḍhollasad 	{SEla indra pratipAdyamAna girijA hasta upagUXa ullasad 
             romāñcādivisaṃṣṭhulākhilavidhivyāsaṅgabhaṅgākulaḥ /	romAQca Adi visaMzWula aKila viDi vyAsaFga BaFga AkulaH /
        hā śaityaṃ tuhinācalasya karayorityūcivān sasmitaṃ	hA SEtyam tuhinAcalasya karayoH iti UcivAn sa smitam
             śailāntaḥpuramātṛmaṇḍalagaṇairdṛṣṭo 'vatādvaḥ śivaḥ //520//}	SEla antaHpura mAtR maNxala gaNEH dRzwaH avatAt vaH SivaH //520//}
                       (Ruyyaka's Alaṅkārasarvasva)	(Ruyyaka as AlaFkAra sarvasva)
   kiñcit pṛṣṭamapṛṣṭaṃ vā kathitaṃ yat prakalpate /	kiQcid pRzwam apRzwam vA kaTitam yat prakalpate /
   tādṛganyavyapohāya parisaṃkhyā tu sā smṛtā // MKpr K_119 //	tAdRS anya vyapohAya parisaMKyA tu sA smRtA // MKpr K_119 //
   pramānāntarāvagatamapi vastu śabdena pratipāditaṃ prayojanāntarābhāvāt	pramAna antara avagatam api vastu Sabdena pratipAditam prayojana antara aBAvAt
   sadṛśavastvanataravyavacchedāya yat paryavasyati sā bhavetparisaṃkhyā /	sadRSa vastu anatara vyavacCedAya yat paryavasyati sA Bavet parisaMKyA /
   atra ca kathanaṃ praśnapūrvakaṃ tadanyathā ca paridṛṣṭam /	atra ca kaTanam praSna pUrvakam tat anyaTA ca paridRzwam /
   tathā ubhayatra vyapohyamānasya pratīyamānatā vācyatvaṃ ceti catvāro	taTA uBayatra vyapohyamAnasya pratIyam Ana tA vAcya tvam ca iti catvAraH 
   bhedāḥ // krameṇodāharaṇam     	BedAH // krameNa udAharaNam     
        {kimāsevyaṃ puṃsāṃ savidhamanavadyaṃ dyusaritaḥ	{kim Asevyam puMsAm sa viDam anavadyam dyu saritaH
             kimekānte dhyeyaṃ caraṇayugalaṃ kaustubhabhṛtaḥ /	kim ekAnte Dyeyam caraNa yugalam kOstuBa BRtaH /
        kimārādhyaṃ puṇyaṃ kiṃabhilaṣaṇīyaṃ ca karuṇā	kim ArADyam puNyam kiMaBilazaNIyam ca karuNA
             yadāsaktyā ceto niravadhivimuktyai prabha[v]ati //521//}	yadAsaktyA cetaH niravaDi vimuktyE praBa[u ]ati //521//}
                       (Ruyyaka's Alaṅkārasarvasva)	(Ruyyaka as AlaFkAra sarvasva)
        {kiṃ bhūṣaṇaṃ sudṛḍhamatra yaśo na ratnaṃ	{kim BUzaNam su dRXam atra yaSaH na ratnam
             kiṃ kāryamāryacaritaṃ sukṛtaṃ na doṣaḥ /	kim kAryam Arya caritam sukRtam na dozaH /
        kiṃ cakṣurapratihataṃ dhiṣaṇā na netraṃ	kim cakzuH apratihatam DizaNA na netram
             jānāti kastvadadaparaḥ sadasadvivekam //522//}	jAnAti kaH tu adat a paraH sat asat vivekam //522//}
                       (Viśvanātha's Sāhityadarpaṇa 10.82)	(ViSvanATa as SAhiti adarpaNa 10.82)
        {kauṭilyaṃ kacanicaye karacaraṇādharadaleṣu rāgaste /	{kOwilyam kaca nicaye kara caraNa aDara dalezu rAgaH te /
        kāṭhinyaṃ kucayugale taralatvaṃ nayanayorvasati //523//}	kAWinyam kuca yugale tarala tvam nayanayoH vasati //523//}
                       (Rudraṭa's Kāvyālaṅkāra 7.81)	(Rudrawa as KAvyAlaFkAraH 7.81)
        {bhaktirbhave na vibhave vyasanaṃ śāstre na yuvatikāmāstre /	{BaktiH Bave na viBave vyasanam SAstre na yuvati kAma astre /
        cintā yaśasi na vapuṣi prāyaḥ paridṛśyate mahatām //524//}	cintA yaSasi na vapuzi prAyas paridRSyate mahatAm //524//}
                       (Ruyyaka's Alaṅkārasarvasva)	(Ruyyaka as AlaFkAra sarvasva)
   yathottaraṃ cet pūrvasya pūrvasyārthasya hetutā /	yaTottaram ced pUrvasya pUrvasya arTasya hetu tA /
   tadā kāraṇamālā syāt ...	tadA kAraNa mAlA syAt ...
   uttaramuttaraṃ prati yathottaram / udāharaṇam     	uttaram uttaram prati yaTottaram / udAharaNam     
        {jitendriyatvaṃ vinayasya kāraṇaṃ guṇaprakarṣo vinayādavāpyate /	{jita indriya tvam vinayasya kAraNam guNa prakarzaH vinayAt avApyate /
        guṇaprakarṣeṇa jano 'nurajyate janānurāgaprabhavā hi saṃpadaḥ	guNa prakarzeNa janaH anurajyate jana anurAga praBavAH hi saMpadaH
                       (Vallabhadeva's Subhāṣitāvali ;	(VallaBa deva as SuBa Azita Avali ;
   Śrivatsalāñchanācārya's Kāvyaparīkṣā 162)	Śri vatsa lAQCana AcArya as KAvya parIkzA 162)
        {hetumatā saha hetoravhidhānamabhedayo hetuḥ /}	{hetumatA saha hetoH avhiDAnam aBedayaH hetuH /}
   iti hetvalaṅkāro na lakṣitaḥ / āyurdhṛtamityādirūpo hyeṣa na bhūṣaṇatāṃ	iti hetu alaFkAraH na lakzitaH / AyuH DRtam iti Adi rUpaH hi eza na BUzaNa tAm
   kadācidarhati vaicitryābhāvāt /	kadAcid arhati vEcitrya aBAvAt /
        {aviralakamalavikāsaḥ sakalālimadaśca kokilānandaḥ /	{avirala kamala vikAsaH sakala alimadaH ca kokila AnandaH /
        ramyo 'yameti saṃprati lokotkaṇṭhākaraḥ kālaḥ //526//}	ramyaH ayam eti saMprati loka utkaNWA karaH kAlaH //526//}
