   ṛṣaya ūcuḥ	RzayaH UcuH
   padmā śyāmā mṛgākṣī ca siddhirūpā rasāvahā /	padmA SyAmA mRgAkzI ca sidDi rUpA rasa AvahAH /
   koṭicandrānanā gaurī koṭikokilasusvarā // NarP_1,82.143 //	kowi candra AnanA gOrI kowi kokila su svarAH // NA rP_1,82.143 //
   śīlasaindaryanilayā nandanandanalālitā /	SIla sEndarya nilayAH nanda nandana lAlitA /
   aśokavanasaṃvāsā bhāṇḍīravanasaṅgatā // NarP_1,82.144 //	aSoka vana saMvAsAH BANxIra vana saFga tA // NA rP_1,82.144 //
   kalpadrumatalāviṣṭā kṛṣṇā viśvā haripriyā /	kalpadruma tala AvizwA kRzNA viSvA haripriyA /
   ajāgamyā bhavāgamyā govarddhanakṛtālayā // NarP_1,82.145 //	ajAgamyA Bava agamyAH go vardDana kRta AlayA // NA rP_1,82.145 //
   yamunātīranilayā śaśvadgovindajalpinī /	yamunA tIra nilayA SaSvat govinda jalpinI /
   śaśvanmānavatī snigdhā śrīkṛṣṇaparivanditā // NarP_1,82.146 //	SaSvat mAnavatI snigDA SrI kRzNa parivanditAH // NA rP_1,82.146 //
   kṛṣṇastutā kṛṣṇavṛtā śrīkṛṣṇahṛdayālayā /	kRzNa stutA kRzNa vRtA SrI kRzNa hRdaya AlayA /
   devadrumaphalā sevyā vṛndāvanarasālayā // NarP_1,82.147 //	devadruma PalA sevyAH vRndAvana rasa AlayA // NA rP_1,82.147 //
   koṭitīrthamayī satyā koṭitīrthaphalapradā /	kowi tIrTa mayI satyA kowi tIrTa Pala pradA /
   koṭiyogasuduṣprāpyā koṭiyajñadurāśrayā // NarP_1,82.148 //	kowi yoga suduzprApyA kowi yajQa durASrayAH // NA rP_1,82.148 //
   manasā śaśilekhā ca śrīkoṭisubhagānaghā /	manasA SaSileKA ca SrI kowi suBaga anaGAH /
   koṭimuktasukhā saumyā lakṣmīkoṭivilāsinī // NarP_1,82.149 //	kowi mukta suKA sOmyA lakzmI kowi vilAsinI // NA rP_1,82.149 //
   tilottamā trikālasthā trikālajñāpyadhīśvarī /	tilottamA tri kAla sTA tri kAla jQA api aDi ISvarI /
   trivedajñā trilokajñā turīyāntanivāsinī // NarP_1,82.150 //	tri veda jQA triloka jQA turIya anta nivAsinI // NA rP_1,82.150 //
   durgārādhyā ramārādhyā viśvārādhyā cidātmikā /	durgA ArADyA rama ArADyA viSva ArADyA cit AtmikAH /
   devārādhyā parārādhyā brahmārādhyā parātmikā // NarP_1,82.151 //	deva ArADyA para ArADyAH brahma ArADyA parAtmikAH // NA rP_1,82.151 //
   śivārādhyā premasādhyā bhaktārādhyā rasātmikā /	Siva ArADyA prema sADyAH Bakta ArADyAH rasa AtmikA /
   kṛṣṇaprāṇārpiṇī bhāmā śuddhapremavilāsinī // NarP_1,82.152 //	kRzNa prANa arpiNI BAmA SudDa prema vilAsinI // NA rP_1,82.152 //
   kṛṣṇārādhyā bhaktisādhyā bhaktavṛndaniṣevitā /	kRzNa ArADyA Bakti sADyA Bakta vRnda nizevitA /
   viśvādhārā kṛpādhārā jīvadhārātināyikā // NarP_1,82.153 //	viSva ADArA kRpA DArA jIvaDA rAti nAyikAH // NA rP_1,82.153 //
   śuddhapremamayī lajjā nityasiddhā śiromaṇiḥ /	SudDa prema mayI lajjA nitya sidDA SiromaNiH /
   divyarūpā divyabhogā divyaveṣā mudānvitā // NarP_1,82.154 //	divya rUpAH divya BogAH divya vezAH mudA anvitA // NA rP_1,82.154 //
   divyāṅganāvṛndasārā nityanūtanayauvanā /	divya aFganA vRnda sArA nitya nUtana yOvanAH /
   parabrahmāvṛtā dhyeyā mahārūpā mahojjvalā // NarP_1,82.155 //	para brahma AvRtA DyeyAH mahA rUpAH mahA ujjvalAH // NA rP_1,82.155 //
   koṭisūryaprabhā koṭicandrabiṃbādhikacchaviḥ /	kowi sUrya praBA kowi candra biMba aDika= CaviH /
   komalāmṛtavāgādyā vedādyā vedadurlabhā // NarP_1,82.156 //	komala amRta vAc a AdyAH veda AdyAH veda durlaBAH // NA rP_1,82.156 //
   kṛṣṇāsaktā kṛṣṇabhaktā candrāvaliniṣevitā /	kRzNa AsaktA kRzNa BaktA candra Avali nizevitA /
   kalāṣoḍaśasaṃpūrṇā kṛṣṇadehārddhadhāriṇī // NarP_1,82.157 //	kalA zoxaSa saMpUrNA kRzNa deha ardDa DAriNI // NA rP_1,82.157 //
   kṛṣṇabuddhiḥ kṛṣṇasārākṛṣṇarūpavihāriṇī /	kRzNa budDiH kRzNasAra akRzNa rUpa vihAriNI /
   kṛṣṇakāntā kṛṣṇadhanā kṛṣṇamohanakāriṇī // NarP_1,82.158 //	kRzNa kAntA kRzNa DanA kRzNa mohana kAriNI // NA rP_1,82.158 //
   kṛṣṇadṛṣṭiḥ kṛṣṇagotrī kṛṣṇadevī kulodvahā /	kRzNa dRzwiH kRzNa gotrI kRzNadevI kula udvahA /
   sarvabhūtasthitāvātmā sarvalokanamaskṛtā // NarP_1,82.159 //	sarva BUta sTitO= AtmA sarva loka namaskRtAH // NA rP_1,82.159 //
   kṛṣṇadātrī premadhātrī svarṇagātrī manoramā /	kRzNadAtrI prema DAtrI svarNa gAtrI manoramA /
   nagadhātrī yaśoṭhātrī mahādevī śubhaṅkarī // NarP_1,82.160 //	nagaDAtrI yaSoWAtrI mahAdevI SuBaFkarI // NA rP_1,82.160 //
   śrīśeṣadevajananī avatāragaṇaprasūḥ /	SrI Seza deva jananI avatAra gaNa prasUH /
   utpalāṅkāravindāṅkā prasādāṅkā dvitīyakā // NarP_1,82.161 //	utpala aFka aravinda aFkA prasAda aFkAH dvitIyakAH // NA rP_1,82.161 //
   rathāṅkā kuñjarāṅkā ca kuṇḍalāṅkapadasthitā /	raTAFkA kuQjara aFkA ca kuNxala aFka pada sTitAH /
   chatrāṅkā vidyudaṅkā ca puṣpamālāṅkitāpi ca // NarP_1,82.162 //	Catra aFkA vidyut aFkA ca puzpa mAlA aFkitA api ca // NA rP_1,82.162 //
   daṇḍāṅkā mukuṭāṅkā ca pūrṇacandrā śukāṅkitā /	daNxAFkA mukuwa aFkA ca pUrNa candrA Suka aFkitA /
   kṛṣṇātrahārapākā ca vṛndākuñjavihāriṇī // NarP_1,82.163 //	kRzNAtra hArapAkA ca vRndAkuQja vihAriNI // NA rP_1,82.163 //
   kṛṣṇaprabodhanakarī kṛṣṇaśeṣānnabhojinī /	kRzNa praboDana karI kRzNa Seza anna BojinI /
   padmakesaramadhyasthā saṃgītāgamavedinī // NarP_1,82.164 //	padma kesara maDya sTA saMgIta Agama vedinI // NA rP_1,82.164 //
   koṭikalpāntabhrūbhaṅgā aprāptapralayācyutā /	kowi kalpa anta BrU BaFgAH aprApta pralaya acyutAH /
   sarvasattvanidhiḥ padmaśaṅkhādinidhisevitā // NarP_1,82.165 //	sarva sattva niDiH padma SaFKa Adi niDi sevitAH // NA rP_1,82.165 //
   aṇimādiguṇaiśvaryā devavṛndavimohinī /	aNima Adi guNa ESvaryA deva vRnda vimohinI /
   sasvānandapradā sarvā suvarṇalatikākṛtiḥ // NarP_1,82.166 //	sa svAnanda pradA sarvA suvarNa latikA AkRtiH // NA rP_1,82.166 //
   kṛṣṇābhisārasaṃketā mālinī nṛtyapaṇḍitā /	kRzNa aBisAra saMketA mAlinI nRtya paNxitAH /
   gopīsiṃdhusakāśāhvāṃ gopamaṇḍapaśobhinī // NarP_1,82.167 //	gopI siMDu sakASa AhvAm gopa maNxapa SoBinI // NA rP_1,82.167 //
   śrīkṛṣṇaprītidā bhītā pratyaṅgapulakāñcitā /	SrI kRzNa prIti dA BItA pratyaFga pulaka AQcitAH /
   śrīkṛṣṇāliṅganaratā govindavirahākṣamā // NarP_1,82.168 //	SrI kRzNa AliFgana ratA govinda viraha akzamA // NA rP_1,82.168 //
   anantaguṇasaṃpannā kṛṣṇakīrtanalālasā /	ananta guNa saMpannA kRzNa kIrtana lAlasAH /
   bījatrayamayī mūrtiḥ kṛṣṇānugrahavāñchitā // NarP_1,82.169 //	bIja traya mayI mUrtiH kRzNa anugraha vAQCitAH // NA rP_1,82.169 //
   vimalādiniṣevyā ca lalitādyārcitā satī /	vimala Adi nizevyA ca lalita Adya arcitA satI /
   padmavṛndasthitā hṛṣṭā tripurāparisevitā // NarP_1,82.170 //	padma vRnda sTitA hRzwA tripurA parisevitAH // NA rP_1,82.170 //
   vṛntāvatyarcitā śraddhā durjñeyā bhaktavallabhā /	vRntAvatyarcitA SradDA durjQeyA Bakta vallaBA /
   durlabhā sāṃdrasaukhyātmā śreyohetuḥ subhogadā // NarP_1,82.171 //	durlaBA sAMdra sOKya AtmA SreyaH hetuH suBoga dA // NA rP_1,82.171 //
   sāraṅgā śāradā bodhā sadvṛndāvanacāriṇī /	sAraFgA SAradA boDA sat vRndAvana cAriNI /
   brahmānandā cidānandā dhyānāndārddhamātrikā // NarP_1,82.172 //	brahmAnandA cit AnandA DyAnAn da ardDa mAtrikA // NA rP_1,82.172 //
   gandharvā suratajñā ca govindaprāṇasaṃgamā /	ganDarvA surata jQA ca govinda prANa saMgamA /
   kṛṣṇāṅgabhūṣaṇā ratnabhūṣaṇā svarṇabhūṣitā // NarP_1,82.173 //	kRzNa aFga BUzaNA ratna BUzaNA svarNa BUzitAH // NA rP_1,82.173 //
   śrīkṛṣṇahṛdayāvāsamuktākanakanāli (si) kā /	SrI kRzNa hRdaya AvAsa muktA kanaka nAli (si) kA /
   sadratnakaṅkaṇayutā śrīmannīlagiristhitā // NarP_1,82.174 //	sat ratna kaFkaNa yutA SrImat nIla giri sTitAH // NA rP_1,82.174 //
   svarṇanūpurasaṃpannā svarṇakiṅkiṇimaṇḍitā /	svarNa nUpura saMpannA svarNa kiFkiNi maNxitAH /
   aśeṣarāsakutukā raṃbhorūstanumadhyamā // NarP_1,82.175 //	aSeza rAsa kutukA raMBA UrUH tanu maDyamA // NA rP_1,82.175 //
   parākṛtiḥ pararānandā parasvargavihāriṇī /	para AkRtiH pararAnandA para svarga vihAriNI /
   prasūnakabarī citrā mahāsiṃdūrasundarī // NarP_1,82.176 //	prasUna kabarI citrA mahA siMdUra sundarI // NA rP_1,82.176 //
   kaiśoravayasā bālā pramadākulaśekharā /	kESora vayasA bAlA pramadA Akula SeKarAH /
   kṛṣṇādharasudhā svādā śyāmapremavinodinī // NarP_1,82.177 //	kRzNADara suDA svAdA SyAma prema vinodinI // NA rP_1,82.177 //
   śikhipicchalasaccūḍā svarṇacaṃpakabhūṣitā /	SiKi picCala saccUxA svarNa caMpaka BUzitA /
   kuṅkumālaktakastūrīmaṇḍitā cāparājitā // NarP_1,82.178 //	kuFkuma alakta kastUrI maNxitA ca aparAjitAH // NA rP_1,82.178 //
   hemaharānvitāpuṣpā hārāḍhyā rasavatyapi /	hema hara anvitA puzpA hAra AXyA rasavatI api /
   mādhuryyamadhurā padmā padmahastā suviśrutā // NarP_1,82.179 //	mADuryya maDurA padmA padma hastA su viSrutAH // NA rP_1,82.179 //
   bhrūbhaṅgābhaṅgakodaṇḍakaṭākṣaśarasaṃdhinī /	BrU BaFgABaFga kodaNxa kawAkza Sara saMDinI /
   śeṣadevāśirasthā ca nityasthalavihāriṇī // NarP_1,82.180 //	Seza deva aSira sTA ca nitya sTala vihAriNI // NA rP_1,82.180 //
   kāruṇyajalamadhyasthā nityamattādhirohiṇī /	kAruNya jala maDya sTA nitya matta aDirohiNI /
   aṣṭabhāṣavatī cāṣṭanāyikā lakṣaṇānvitā // NarP_1,82.181 //	azwa BAzavatI ca azwa nAyikA lakzaNa anvitA // NA rP_1,82.181 //
   sunūtijñā śrutijñā ca sarvajñā duḥkhahāriṇī /	sunUti jQA Sruti jQA ca sarvajQA duHKa hAriNI /
   rajoguṇeśvarī caiva jaraccandranibhānanā // NarP_1,82.182 //	rajaH guNa ISvarI ca eva jarat candra niBa AnanAH // NA rP_1,82.182 //
   ketakīkusumābhāsā sadā siṃdhuvanasthitā /	ketakI kusuma ABAsA sadA siMDu vana sTitA /
   hemapuṣpādhikakarā pañcaśaktimayī hitā // NarP_1,82.183 //	hema puzpa aDika karA paQca Sakti mayI hitAH // NA rP_1,82.183 //
   stanakubhī narāḍhyā ca kṣīṇāpuṇyā yaśasvanī /	stanakuBI nara AXyA ca kzINa apuNyA yaSasvanI /
   vairājasūyajananī śrīśā bhuvanamohinī // NarP_1,82.184 //	vErAjasUya jananI SrISA Buvana mohinI // NA rP_1,82.184 //
   mahāśobhā mahāmāyā mahākāntirmahāsmṛtiḥ /	mahA SoBA mahAmAyA mahAkAntiH mahAsmRtiH /
   mahāmohā mahāvidyā mahākīrrtiṃmahāratiḥ // NarP_1,82.185 //	mahAmohA mahAvidyA mahA kIrrtiMmahAratiH // NA rP_1,82.185 //
   mahādhairyā mahāvīryā mahāśaktirmahādyutiḥ /	mahA DEryA mahA vIryA mahA SaktiH mahA dyutiH /
   mahāgaurī mahāsaṃpanmahābhogavilāsinī // NarP_1,82.186 //	mahAgOrI mahA saMpad mahA Boga vilAsinI // NA rP_1,82.186 //
   samayā bhaktidāśokā vātsalyarasadāyinī /	samayA Bakti dASokA vAtsalya rasa dAyinI /
   suhṛdbhaktipradā svacchā mādhuryarasavarṣiṇī // NarP_1,82.187 //	suhRd Bakti pradA su acCA mADurya rasa varziNI // NA rP_1,82.187 //
   bhāvabhaktipradā śuddhapremabhaktividhāyinī /	BAva Bakti pradA SudDa prema Bakti viDAyinI /
   goparāmābhaghirāmā ca krīḍārāmā pareśvarī // NarP_1,82.188 //	goparAmA BaGirAmA ca krIxA ArAmA para ISvarI // NA rP_1,82.188 //
   nityarāmā cātmarāmā kṛṣṇarāmā rameśvarī /	nitya rAmA ca AtmarAmA kRzNarAmA rameSvarI /
   ekānaikajagadvyāptā viśvalīlāprakāśinī // NarP_1,82.189 //	eka ana eka jagat vyAptA viSva lIlA prakASinI // NA rP_1,82.189 //
   sarasvakatī śā durgeśā jagadīśā jagadvidhiḥ /	sarasvakatI SA durgeSA jagadISA jagat viDiH /
   viṣṇuvaṃśanivāsā ca viṣṇuvaṃśasamudbhavā // NarP_1,82.190 //	vizNu vaMSa nivAsA ca vizNu vaMSa samudBavAH // NA rP_1,82.190 //
   viṣṇuvaṃśastutā kartrī viṣṇuvaṃśāvanī sadā /	vizNu vaMSa stutA kartrI vizNu vaMSa avanI sadA /
   ārāmasthā vanasthā ca sūryyaputryavagāhinī // NarP_1,82.191 //	ArAma sTA vanasTA ca sUryya putrI avagAhinI // NA rP_1,82.191 //
   prītisthā nityayantrasthā golokasthā vibhūtidā /	prIti sTAH nitya yantra sTA goloka sTA viBUti dA /
   svānubhūtisthitā vyaktā sarvalokanivāsinī // NarP_1,82.192 //	sva anuBUti sTitA vyaktA sarva loka nivAsinI // NA rP_1,82.192 //
   amṛtā hyadbhutā śrīmannārāyaṇasamīḍitā /	amRtA hi adButA SrImat nArAyaNa samIxitAH /
   akṣarāpi ca kūṭasthā mahāpuruṣasaṃbhavā // NarP_1,82.193 //	akzarA api ca kUwasTAH mahApuruza saMBavAH // NA rP_1,82.193 //
   audāryabhāvasādhyā ca sthūlasūkṣmātirūpiṇī /	OdArya BAva sADyA ca sTUla sUkzma ati rUpiNI /
   śirīṣapuṣpamṛdulā gāṅgeyamukuraprabhā // NarP_1,82.194 //	SirIza puzpa mRdulA gAFgeya mukura praBA // NA rP_1,82.194 //
   nīlotpalajitākṣī ca sadratnakavarānvitā /	nIlotpala jita akzI ca sat ratnaka vara anvitA /
   premaparyakanilayā tejomaṇḍalamadhyagā // NarP_1,82.195 //	prema paryakanilayA tejaH maNxala maDya gAH // NA rP_1,82.195 //
   kṛṣṇāṅgagopanābhedā līlāvaraṇanāyikā /	kRzNa aFga gopanA BedA lIlA AvaraNa nAyikA /
   sudhāsiṃdhusamullāsāmṛtāsyandavidhāyinī // NarP_1,82.196 //	suDA siMDu samullAsa amRta Asyanda viDAyinI // NA rP_1,82.196 //
   kṛṣṇacittā rāsacittā premacittā haripriyā /	kRzNa cittA rAsa cittA prema cittAH haripriyA /
   acintanaguṇagrāmā kṛṣṇalīlā malāpahā // NarP_1,82.197 //	acintana guNa grAmA kRzNa lIlA mala apahAH // NA rP_1,82.197 //
   rāsasiṃdhuśaśāṅkā ca rāsamaṇḍalamaṇḍīnī /	rAsa siMDu SaSAFkA ca rAsa maNxala maNxInI /
   natavratā siṃharīcchā sumīrtiḥ sukhanditā // NarP_1,82.198 //	nata vratA siMharI icCA sumIrtiH suKanditAH // NA rP_1,82.198 //
   gopīcūḍāmaṇirgopīgaṇeḍyā virajādhikā /	gopIcUxAmaNiH gopI gaNexyA viraja aDikAH /
   gopapreṣṭhā gopakanyā gopanārī sugopikā // NarP_1,82.199 //	gopa prezWA gopa kanyA gopa nArI sugopikAH // NA rP_1,82.199 //
   gopadhāmā sudāmāṃbā gopālī gopamohinī /	gopa DAmA sudAmA aMbA gopAlI gopa mohinI /
   gopabhūṣā kṛṣṇabhūṣā śrīvṛndāvanacandrikā // NarP_1,82.200 //	gopa BUzA kRzNaBUzA SrI vRndAvana candrikA // NA rP_1,82.200 //
   vīṇādighoṣaniratā rāsotsavavikāsinī /	vINA Adi Goza niratA rAsa utsava vikAsinI /
   kṛṣṇaceṣṭā parijñātā koṭikandarpamohinī // NarP_1,82.201 //	kRzNa cezwA parijQAtA kowi kandarpa mohinI // NA rP_1,82.201 //
   śrīkṛṣṇa guṇanāgāḍhyā devasuṃdarimohinī /	SrI kRzNa guNa nAga AXyA deva suMdari mohinI /
   kṛṣṇacandramanojñā ca kṛṣṇadevasahodarī // NarP_1,82.202 //	kRzNa candra manojQA ca kRzNadeva sahodarI // NA rP_1,82.202 //
   kṛṣṇābhilāṣiṇī kṛṣṇapremānugrahavāñchitā /	kRzNa aBilAziNI kRzNa prema anugraha vAQCitA /
   kṣemā ca madhurālāpā bhruvomāyā subhadrikā // NarP_1,82.203 //	kzemA ca maDura AlApA BruvomAyA suBadrikA // NA rP_1,82.203 //
   prakṛtiḥ paramānandā nīpadrumatalasthitā /	prakRtiH parama AnandA nIpa druma tala sTitA /
   kṛpākaṭākṣā biṃboṣṭī raṃbhā cārunitaṃbinī // NarP_1,82.204 //	kRpA kawAkzA biMbA uzwI raMBA cAru nitaMbinI // NA rP_1,82.204 //
   smarakelinidhānā ca gaṇḍatāṭaṅkamaṇḍitā /	smara keli niDAnA ca gaNxa tA waFka maNxitAH /
   hemādrikāntirucirā premādyā madamantharā // NarP_1,82.205 //	hema adri kAnti rucirA prema AdyAH mada manTarA // NA rP_1,82.205 //
   kṛṣṇacintā premacintā raticintā ca kṛṣṇadā /	kRzNa cintA prema cintA rati cintA ca kRzNa dA /
   rāsacintā bhāvacintā śuddhacantā mahārasā // NarP_1,82.206 //	rAsa cintA BAva cintA SudDa cantA mahArasAH // NA rP_1,82.206 //
   kṛṣṇādṛṣṭitruṭiyugā dṛṣṭipakṣmivinindinī /	kRzNA dRzwi truwi yugA dRzwi pakzmi vinindinI /
   kandarpajananī mukhyā vaikuṇṭhagatidāyinī // NarP_1,82.207 //	kandarpa jananI muKyA vEkuNWa gati dAyinI // NA rP_1,82.207 //
   rāsabhāvā priyāśliṣṭā preṣṭhā prathamanāyikā /	rAsaBAvA priya ASlizwA prezWA praTama nAyikA /
   śuddhādehinī ca śrīrāmā rasamañjarī // NarP_1,82.208 //	SudDAdehinI ca SrI rAmA rasamaQjarI // NA rP_1,82.208 //
   suprabhāvā śubhācārā svarṇadī narmadāṃbikā /	su praBAvA SuBa AcArA svarNadI narmadA aMbikAH /
   gomatī candrabhāgeḍyā sarayūstāmraparṇisūḥ // NarP_1,82.209 //	gomatI candraBAga IxyA sarayUH tAmraparNisUH // NA rP_1,82.209 //
   niṣkalaṅkacaritrā ca nirguṇā ca nirañjanā /	nizkalaFka caritrA ca nirguNA ca niraQjanAH /
   etannāmasahasraṃ tu yugmarūpasya nārada // NarP_1,82.210 //	etat nAma sahasram tu yugma rUpasya nArada // NA rP_1,82.210 //
   paṭhanīyaṃ prayatnena vṛndāvanarasāvahe /	paWanIyam prayatnena vRndAvana rasa Avahe /
   mahāpāpapraśamanaṃ vandhyātvavinivartakam // NarP_1,82.211 //	mahA pApa praSamanam vanDyA tva vinivartakam // NA rP_1,82.211 //
   dāridraya śamanaṃ roganāśanaṃ kāmadaṃ mahat /	dAridraya Samanam roga nASanam kAma dam mahat /
   pāpāpahaṃ vairiharaṃ rādhāmādhavabhaktidam // NarP_1,82.212 //	pApa apaham vEri haram rADA mADava Bakti dam // NA rP_1,82.212 //
   namastasmai bhagavate kṛṣṇāyākuṇṭhamedhase /	namaH tasmE Bagavate kRzNAya akuNWa meDase /
   rādhāsaṃgasudhāsiṃdhau namo nityavihāriṇe // NarP_1,82.213 //	rADA saMga suDA siMDO namaH nitya vihAriNe // NA rP_1,82.213 //
   rādhādevī jagatkartrī jagatpālanatagatparā /	rADA devI jagat kartrI jagatpAla nata gatparA /
   jagallayavidhātrī ca sarveśī sarvasūtikā // NarP_1,82.214 //	jagallayaviDAtrI ca sarva ISI sarva sUtikAH // NA rP_1,82.214 //
   tasyā nāmasahasraṃ vai mayā proktaṃ munīśvara /	tasyAH nAma sahasram vE mayA proktam muni ISvara /
   bhuktimuktipradaṃ divyaṃ kiṃ bhūyaḥ śrotumicchasi // NarP_1,82.215 //	Bukti mukti pradam divyam kim BUyas Srotum icCasi // NA rP_1,82.215 //
   iti śrībṛhannāradīyapurāṇe pūrvabhāge bṛhadupākhyāne tṛtīyapāde rādhākṛṣṇa	iti SrI bRhat nAradIyapurANe pUrva BAge bRhat upAKyAne tRtIya pAde rADA kRzNa
   sahasranāmakathanaṃ nāma vdyaśītitamo 'dhyāyaḥ	sahasranAmakaTanam nAma vdyaSItitamaH aDyAyaH
   śrīśaunaka uvāca	SrI SOnakaH uvAca
   sādhu sūta mahābhāgaḥ jagaduddhārakārakam /	sADu sUta mahABAgaH jagat udDAra kArakam /
   mahātantravidhānaṃ naḥ kumāroktaṃ tvayoditam // NarP_1,83.1 //	mahAtantra viDAnam naH kumAra uktam tvayA uditam // NA rP_1,83.1 //
   alabhyametattantreṣu purāṇeṣvapi mānada /	alaByam etat tantrezu purANezu api mAnada /
   yadihoditamasmabhyaṃ tvayātikaruṇātmanā // NarP_1,83.2 //	yat iha uditam asmaByam tvayA ati karuNA AtmanA // NA rP_1,83.2 //
   nārado bhagavānsūta lokoddharaṇatatparaḥ /	nAradaH BagavAn sUta loka udDaraNa tatparaH /
   bhūyaḥ papraccha kiṃ sādho kumāraṃ viduṣāṃ varam // NarP_1,83.3 //	BUyas papracCa kim sADo kumAram viduzAm varam // NA rP_1,83.3 //
   sūta uvāca	sUtaH uvAca
   śrutvā sa nārado viprāḥ yugmanāmasahasrakam /	SrutvA sa nAradaH viprAH yugma nAma sahasrakam /
   sanatkumāramapyāha praṇamya jñānināṃ varam // NarP_1,83.4 //	sanatkumAram api Aha praNamya jQAninAm varam // NA rP_1,83.4 //
   nārada uvāca	nAradaH uvAca
   brahmaṃstvayā samākhyātā vidhayastantracoditāḥ /	brahman= tvayA samAKyAtAH viDayaH tantra coditAH /
   tatrāpi kṛṣṇamantrāṇāṃ vaibhavaṃ hyuditaṃ mahat // NarP_1,83.5 //	tatra api kRzNa mantrANAm vEBavam hi uditam mahat // NA rP_1,83.5 //
   yā tatra rādhikādevī sarvādyā samudāhṛtā /	yA tatra rADikA devI sarva AdyA samudAhRtA /
   tasyā aṃśāvatārāṇāṃ caritaṃ mantrapūrvakam // NarP_1,83.6 //	tasyAH aMSa avatArANAm caritam mantra pUrvakam // NA rP_1,83.6 //
   tantroktaṃ vada sarvajña tvāmahaṃ śaraṇaṃ gataḥ /	tantra uktam vada sarvajQa tvAm aham SaraNam gataH /
   śaktestantrāṇyanekāni śivoktāni munīśvara // NarP_1,83.7 //	SakteH tantrANi anekAni Siva uktAni muni ISvara // NA rP_1,83.7 //
   yāni tatsāramuddhṛtya sākalyenābhidhehi naḥ /	yAni tad sAram udDRtya sAkalyena aBiDehi naH /
   tacchrutvā vacanaṃ tasya nāradasya mahātmanaḥ // NarP_1,83.8 //	tat SrutvA vacanam tasya nAradasya mahAtmanaH // NA rP_1,83.8 //
   sanatkumāraḥ provāca smṛtvā rādhāpadāṃbujam /	sanatkumAraH provAca smRtvA rADA pada aMbujam /
   sanatkumāra uvāca	sanatkumAraH uvAca
   śṛṇu nārada vakṣyāmi rādhāṃśānāṃ samudbhavam // NarP_1,83.9 //	SRNu nArada vakzyAmi rADA aMSAnAm samudBavam // NA rP_1,83.9 //
   śaktīnāṃ paramāścaryaṃ mantrasādhanapūrvakam /	SaktInAm parama AScaryam mantra sADana pUrvakam /
   yā tu rādhā mayā proktā kṛṣṇārddhāṅgasamudbhavā // NarP_1,83.10 //	yA tu rADA mayA proktA kRzNa ardDa aFga samudBavAH // NA rP_1,83.10 //
   golokavāsinī sā tu nityā kṛṣṇasahāyinī /	goloka vAsinI sA tu nityA kRzNa sahAyinI /
   tejomaṇḍalamadhyasthā dṛśyadṛśyasvarūpiṇī // NarP_1,83.11 //	tejaH maNxala maDya sTA dRSya dRSya svarUpiNI // NA rP_1,83.11 //
   kadācittu tayā sārddhaṃ sthitasya munisattama /	kadAcid tu tayA sArdDam sTitasya muni sattamaH /
   kṛṣṇasya vāmabhāgāttu jāto nārāyaṇaḥ svayam // NarP_1,83.12 //	kRzNasya vAma BAgAt tu jAtaH nArAyaNaH svayam // NA rP_1,83.12 //
   rādhikāyāśca vāmāṅgānmahālakṣmīrbabhūva ha /	rADikAyAH ca vAma aFgAt mahAlakzmIH baBUva ha /
   tataḥ kṛṣṇo mahālakṣmīṃ dattvā nārāyaṇāya ca // NarP_1,83.13 //	tatas kRzNaH mahAlakzmIm dattvA nArAyaNAya ca // NA rP_1,83.13 //
   vaikuṇṭhe sthāpayāmāsa śaśvatpālanakarmaṇi /	vEkuNWe sTApayAmAsa SaSvat pAlana karmaNi /
   atha golokanāthasya gomnāṃ vivarato mune // NarP_1,83.14 //	aTa goloka nATasya gomnAm vivarataH mune // NA rP_1,83.14 //
   jātuścāsaṃkhyagopālāstejasā vayasā samāḥ /	jAtuH ca asaMKya gopAlAH tejasA vayasA samAH /
