   // brahmasūtrabhāṣyam //	// brahmasUtra BAzyam //
   iti / chāndogyabhāṣye tu 'uccatvādgīthatvātsarvasthānasthatvādudgītho	iti / CAndogya BAzye tu aucca tvAt gITa tvAt sarva sTAna sTa tvAt udgITaH 
   bhagavān'; iti vyākhyātam /	BagavAn a; iti vyAKyAtam /
   BBsBh_1,1.8.3:	BBsBh_1,1.8.3:
   'viṣṇornu kaṃ vīryāṇi pravocaṃ yaḥ pārthivān vimame rajāṃsi'; (ṛ.	avizNoH nu kam vIryANi pravocam yaH pArTivAn vimame rajAMsi a; (R.
   'paro mātrayā tanvā vṛdhāna'; (ṛ. 7 99 1.)	aparaH mAtrayA tanvA vRDAna a; (R. 7 99 1.)
   ityādinā tasyaiva hi talliṅgam /	ityAdinA tasya eva hi tad liFgam /
   BBsBhDīp_1,1.8.3:	BBsBhDIB _1,1.8.3:
   'sa eṣo 'nantaḥ'; ityuktānantatvasyāparimitatvasya viṣṇuniṣṭhatvaṃ kuto	asaH ezaH anantaH a; iti ukta ananta tvasya aparimita tvasya vizNu nizWa tvam kuto
   jñāyata ityata āha viṣṇoriti/ viṣṇorvīryāṇi 'kaṃ'; ko 'nu ko vā	jQAyate iti atas Aha vizNoH iti/ vizNoH vIryANi akaM a; kaH anu kaH vA
   'pravocam'; prāvocat / sākalyena pravakti na ko 'pi / 'yaḥ'; kaḥ	apravocam a; prAvocat / sAkalyena pravakti na kaH api / ayaH a; kaH
   kavirbahmā 'pārthivāni rajāṃsi'; pārthivaparamāṇūn 'vimame'; gaṇayati / so	kaviH bahmA apArTivAni rajAMsi a; pArTiva paramANUn avimame a; gaNayati / saH 
   'pi na pravaktīti śrutyarthaḥ/ 'parovarīyān'; ityuktasarvottamatvasya	api na pravakti iti Sruti arTaH/ aparovarIyAn a; iti ukta sarva uttamatvasya
   viṣṇudharmatvaṃ kuta ityata āha   para iti / atra 'na te	vizNuDarma tvam kutas iti atas Aha  paraH iti / atra ana te
   mahitvamanvaśnuvanti'; iti uttaravākyāduktārtho jñāyate / ata evādiśabda	mahitvam anvaSnuvanti a; iti uttara vAkyAt ukta arTaH jQAyate / atas eva Adi Sabda
   ubhayānvayī / tatrādyo 'viṣṇornu vīryagaṇanāṃ katamo 'rhatīha yaḥ	uBaya anvayI / tatra AdyaH avizNoH nu vIrya gaNanAm katamaH arhati iha yaH
   parthivānyapi kavirvimame rajāṃsi'; iti smṛtigrāhī / vyākhyāteyaṃ	parTivAni api kaviH vimame rajAMsi a; iti smRti grAhI / vyAKyAtA iyam
   śrutirjanmanaye / ityādinā vākyeneti śeṣaḥ / yadyapi	SrutiH janma naye / ityAdinA vAkyena iti SezaH / yadi api
   śrutyanusārātsarvottamatve prathamaṃ pramāṇaṃ vaktavyaṃ na tu anantatve /	Sruti anusArAt sarva uttama tve praTamam pramANam vaktavyam na tu ananta tve /
   ata eva ṭīkāyāmādau sarvottamatvaṃ gṛhītam/ tathāpi anantatvasya	atas eva wIkAyAm AdO sarva uttama tvam gRhItam/ taTA api ananta tvasya
   sāvakāśatvaśaṅkāviṣayatvātprathamaṃ tatra pramāṇopanyāsaḥ / ata eva	sa avakASa tva SaFkA vizaya tvAt praTamam tatra pramANa upanyAsaH / atas eva
   tatraivottaratra smṛtyā sāvakāśatvaśaṅkāparihāraḥ / 'tasya'; viṣṇoḥ	tatra eva uttaratra smRtyA sa avakASa tva SaFkA parihAraH / atasya a; vizNoH
   hiśabdo yata ityarthe / 'tat'; anantatvādi 'liṅgaṃ'; dharma ityavagatam/	hi SabdaH yatas iti arTe / atat a; ananta tva Adi aliFgaM a; DarmaH iti avagatam/
   ato na hetuviśeṣaṇāsiddhiriti vākyaśeṣaḥ / evakārapāṭhe nānaikāntyamiti	atas na hetu viSezaNA sidDiH iti vAkya SezaH / eva kAra pAWe na anEkAntyam iti
   śeṣaḥ / uttaratrānvayo vā/ yadyapi 'anantaḥ'; iti śrutiḥ; vācakaśabdatvāt	SezaH / uttaratra anvayaH vA/ yadi api aanantaH a; iti SrutiH; vAcaka Sabda tvAt 
   / tathāpi tatpadapravṛttinimittasya liṅgatvamapyaviruddham /	/ taTA api tad pada pravRtti nimittasya liFga tvam api avirudDam /
   BBsBh_1,1.8.4:	BBsBh_1,1.8.4:
   ananto bhagavān brahmā ānandetyādibhiḥ padaiḥ /	anantaH BagavAn brahmA Ananda ityAdiBiH padEH /
   procyate viṣṇurevaikaḥ pareṣāmupacārataḥ /	procyate vizNuH eva ekaH parezAm upacArataH /
   iti brāhme /	iti brAhme /
   BBsBhDīp_1,1.8.4:	BBsBhDIB _1,1.8.4:
   nanvanantatvam 'anantākāśavatpaśyan'; ityākāśasyāpi smaryate, ataḥ	nanu ananta tvam aananta AkASa vat paSyan a; iti AkASasya api smaryate, atas 
   sāvakāśatvātkathaṃ viṣṇoreva talliṅgamityataḥ smṛtimāha   ananta iti /	sa avakASa tvAt kaTam vizNoH eva tat liFgam iti atas smRtim Aha  anantaH iti /
   ānandeti luptavibhaktiko nirdeśaḥ/ viṣṇurevaiko mukhyatayā procyata iti	Ananda iti lupta viBaktikaH nirdeSaH/ vizNuH eva ekaH muKya tayA procyate iti
   sambandhaḥ / 'pareṣāṃ'; viṣṇoranyeṣām 'upacārataḥ';	sambanDaH / aparezAM a; vizNoH anyezAm aupacArataH a;
   svasvasamīpagataparamātmasambandhādeva vācyateti śeṣaḥ / iti brāhma	sva sva samIpa gata paramAtma sambanDAt eva vAcya tA iti SezaH / iti brAhma
   ityasya tasyaiva talliṅgamityuktamiti pūrveṇānvayaḥ / anenaivakāro	iti asya tasya eva tat liFgam iti uktam iti pUrveNa anvayaH / anena eva kAraH 
   liṅgasya niravakāśatvajñāpaka iti sūcitam /	liFgasya niravakASa tvajQApakaH iti sUcitam /
   BBsBh_1,1.8.5:	BBsBh_1,1.8.5:
   'nāmāni sarvāṇi yamāviśanti'; (bhāllaveya) iti coktam // 22 //	anAmAni sarvANi yamAviSanti a; (BAllaveya) iti ca uktam // 22 //
   BBsBhDīp_1,1.8.5:	BBsBhDIB _1,1.8.5:
   nanu śrutyā pūrvapakṣite kathaṃ liṅgena nirṇayaḥ / liṅgasya śrutito	nanu SrutyA pUrva pakzite kaTam liFgena nirNayaH / liFgasya SrutitaH 
   durbalatvādityataḥ ākāśaśrutirviṣṇau sāvakāśeti śrutyā darśayati  	durbala tvAt iti atas AkASa SrutiH vizNO sa avakASa iti SrutyA darSayati  
   nāmānīti / 'co'; yato 'nāmāni sarvāṇi'; iti vākyena	nAmAni iti / acaH a; yatas anAmAni sarvANi a; iti vAkyena
   viṣṇorākāśādisarvaśabdavācyatvamuktam, ato liṅgena śruterbādhayā nirṇayo	vizNoH AkASa Adi sarva Sabda vAcya tvam uktam, atas liFgena SruteH bADayA nirNayaH 
   yukta iti yojanā /	yuktaH iti yojanA /
   // ityākāśādhikaraṇam // 8 //	// iti AkASa aDikaraNam // 8 //
   // 9. prāṇādhikaraṇam //	// 9. prANa aDikaraNam //
   BBsBh_1,1.9.1:	BBsBh_1,1.9.1:
   ata eva prāṇaḥ | BBs_1,1.23 |	atas eva prANaH | BBH _1,1.23 |
   BBsBhDīp_1,1.9.1:	BBsBhDIB _1,1.9.1:
   atrādhikaraṇe lokato 'nyatra	atra aDikaraNe lokataH anyatra
   prasiddhādhyātmikāśeṣaśabdopalakṣakapraṇaśabdasya brahmaṇi samanvayaḥ	prasidDa ADyAtmika aSeza Sabda upalakzaka praNa Sabdasya brahmaNi samanvayaH
   kriyate / sarvatrādau sūtraṃ pāṭhyam / paścātsaṅgatyādikaṃ vaktavyamiti	kriyate / sarvatra AdO sUtram pAWyam / paScAt saFgati a Adikam vaktavyam iti
   sūcayitumatra sūtramādāveva paṭhati   ata eveti /	sUcayitum atra sUtram AdO= eva paWati  atas eva iti /
   BBsBh_1,1.9.2:	BBsBh_1,1.9.2:
   tadvai tvaṃ prāṇo abhavaḥ mahān bhogaḥ prajāpateḥ /	tat vE tvam prANaH aBavaH mahAn BogaH prajApateH /
   bhujaḥ kariṣyamāṇaḥ yaddevān prāṇayo nava (tai. ā. 3 14.)	BujaH karizyamANaH yat devAn prANayaH navaH (tE. A. 3 14.)
   iti mahābhogaśabdena paramānandatvaṃ prāṇasyoktam //	iti mahA Boga Sabdena parama Ananda tvam prANasya uktam //
   BBsBhDīp_1,1.9.2:	BBsBhDIB _1,1.9.2:
   viṣayavākyodāharṇapūrvakaṃ pūrvādhikaraṇena saṅgatiṃ viṣayasaṃśayau ca	vizaya vAkya udAharNa pUrvakam pUrva aDikaraNena saFgatim vizaya saMSayO ca
   sūcayati   taditi // atra yattadorāvṛttiḥ / bhujyata iti bhogaḥ ānandaḥ /	sUcayati  tat iti // atra yat tadoH AvRttiH / Bujyate iti BogaH AnandaH /
   tena tadvānupalakṣyate, dharmādharmiṇorabhedavivakṣā vā / tathā ca he	tena tat vA anupalakzyate, Darma aDarmiNa uH aBeda vivakzA vA / taTA ca he
   viṣṇo 'yat'; yasmāt 'prajāpateḥ'; hiraṇyagarbhasya tadupakṣitānāṃ	vizNo ayat a; yasmAt aprajApateH a; hiraNyagarBasya tad upakzitAnAm
   sakalajīvānāṃ 'bhujaḥ'; bhogān yogyānandān 'kariṣyamāṇaḥ'; upalakṣaṇametat	sakala jIvAnAm aBujaH a; BogAn yogi AnandAn akarizyamANaH a; upalakzaNam etat 
     kurvāṇo 'kārṣīśca / 'tasmāttvaṃ'; 'mahān bhogaḥ'; pūrṇānandavānabhavaḥ/	 kurvANaH akArzIH ca / atasmAt tvaM a; amahAn BogaH a; pUrNa Ananda vAn aBavaH/
   svasya mahābhogābhāve parasmai taddānānupapatteḥ / yasmācca	svasya mahA Boga aBAve parasmE tad dAna anupapatteH / yasmAt ca
   pāyuguhyaikyena navendriyābhimānino devān tvaṃ 'prāṇayaḥ'; aceṣṭayaḥ/	pAyu guhya Ekyena nava indriya aBimAninaH devAn tvam aprANayaH a; acezwayaH/
   idamapyupalakṣaṇaṃ   ceṣṭayasi ceṣṭayiṣyasi ca / tasmāttvaṃ prāṇaḥ	idam api upalakzaNam  cezwayasi cezwayizyasi ca / tasmAt tvam prANaH
   prāṇaśabdavācyo 'bhava iti siddhāntarītyā śrutyarthaḥ / pūrvapakṣe	prANa Sabda vAcyaH aBavaH iti sidDa antarItyA Sruti arTaH / pUrva pakze
   tvetatsarvaṃ mukhyaprāṇe yojyam / itīti / 'iti'; taittirīyaśākhāgatavākye	tu etat sarvam muKya prANe yojyam / iti iti / aiti a; tEttirIya SAKA gata vAkye
   'paramānandatvaṃ'; pūrṇānandatvaparyavasitaṃ 'tadvai tvam'; iti vākye	aparam Ananda tvaM a; pUrNa Ananda tva paryavasitam atat vE tvam a; iti vAkye
   'mahābhogaśabdena'; 'mahān bhogaḥ'; iti padadvayātmakavākyena ca	amahA Boga Sabdena a; amahAn BogaH a; iti pada dvaya Atmaka vAkyena ca
   prāṇasyoktamiti yojanā / anena prāṇākhyo viṣayaḥ / tasya	prANasya uktam iti yojanA / anena prANa AKyaH vizayaH / tasya
   viṣṇvanyatvākṣepamukhenānandamayatvasyāpyanyaniṣṭhatvākṣepādānandamayādhikaraṇenāsyākṣepikī	vizNu anyatva Akzepa muKena Ananda maya tvasya api anya nizWa tvAkzepAt Ananda maya aDikaraNena asya AkzepikI
   saṅgatiḥ / saḥ vāyuruta viṣṇuriti saṃśayaśca sūcito bhavati /	saFgatiH / saH vAyuH uta vizNuH iti saMSayaH ca sUcitaH Bavati /
   BBsBh_1,1.9.3:	BBsBh_1,1.9.3:
   sa ca prāṇaḥ prasiddhervāyuḥ ityāpatati /	sa ca prANaH prasidDeH vAyuH iti Apatati /
   BBsBhDīp_1,1.9.3:	BBsBhDIB _1,1.9.3:
   sayuktikaṃ pūrvapakṣaṃ darśayati   sa ceti // tacchabda āvartate / caśabdo	sa yuktikam pUrva pakzam darSayati  sa ca iti // tad SabdaH Avartate / caSabdaH 
   'vadhāraṇe / vāyurityanena sambadhyate / ānandamayaśceti samuccaye vā /	avaDAraNe / vAyuH iti anena sambaDyate / Ananda mayaH ca iti samuccaye vA /
   tathā ca paramānandatvaṃ yasya prāṇasyoktaṃ saḥ 'prāṇaḥ'; tacchabdavācyo	taTA ca parama Ananda tvam yasya prANasya uktam saH aprANaH a; tad Sabda vAcyaH 
   mukhyavāyureveti 'āpatati'; prāpnoti / ata evānandamayo 'pi sa	muKya vAyuH eva iti aApatati a; prApnoti / atas eva Ananda mayaH api sa
   evetyāpatati / kutaḥ? prasiddheḥ prāṇaśruteḥ tasyāśca tasminvāyau	eva iti Apatati / kutas ? prasidDeH prANa SruteH tasyAH ca tasmin vAyO
   prasiddhe rūḍhatvāt / prāṇapadapravṛttinimittasya jīvanāḍihetutvasya ca	prasidDe rUXa tvAt / prANa pada pravRtti nimittasya jIvana axi hetu tvasya ca
   śarīre sati mukhye jīvanādikaṃ sambhavati nāsatītyanvayavyatirekābhyāṃ	SarIre sati muKye jIvana Adikam samBavati na asati iti anvaya vyatirekAByAm
   svaśarīragatavāyuvikāradvārā mukhyavāyāveva prasiddherdarśanāditi yojanā /	sva SarIra gata vAyu vikAra dvArA muKya vAyO= eva prasidDeH darSanAt iti yojanAH /
   BBsBh_1,1.9.4:	BBsBh_1,1.9.4:
   na caivam /	na ca evam /
   yato viṣṇureva prāṇaḥ, ata eva 'śrīśca te lakṣmīśca patnyau /	yatas vizNuH eva prANaH, atas eva aSrIH ca te lakzmIH ca patnyO /
   ahorātre pārśve'; (tai.ā. 3 13.) ityāditalliṅgādeva //	ahorAtre pArSve a; (tE.A. 3 13.) iti Adi tad liFgAt eva //
   BBsBhDīp_1,1.9.4:	BBsBhDIB _1,1.9.4:
   siddhāntayati   na ceti // evaṃ prāṇasya vāyutvaṃ ānandamayatvaṃ ca na	sidDAntayati  na ca iti // evam prANasya vAyu tvam Ananda maya tvam ca na
   yuktamityarthaḥ / kuto	yuktam iti arTaH / kuto
   naivamityāśaṅkāyāṃ tatra hetutayā sūtraṃ vyācaṣṭe   yata iti /	na evam iti ASaFkAyAm tatra hetu tayA sUtram vyAcazwe  yatas iti /
   sūtrārthasya hetutvadyotako 'yaṃ yataśśabdaḥ / sūtre 'nuvṛttasya	sUtra arTasya hetu tvadyotakaH ayam yatas SabdaH / sUtre anuvRttasya
   tattvityasyārtho viṣṇureveti / tathā ca yato 'yaṃ prāṇo viṣṇoreva ato	tat tu iti asya arTaH vizNuH eva iti / taTA ca yatas ayam prANaH vizNoH eva atas 
   naivamityanvayaḥ / kuto 'yaṃ prāṇo viṣṇurevetyataḥ sautraṃ hetumanūdya	na evam iti anvayaH / kutas ayam prANaH vizNuH eva iti atas sOtram hetum anUdya
   vyācaṣṭe   ata eveti / ityādīti / ityādinoktaṃ yadviṣṇuliṅgaṃ	vyAcazwe  atas eva iti / ityAdi iti / ityAdinA uktam yat vizNu liFgam
   tasmādevetyarthaḥ / kathaṃ śrutyā pūrvapakṣite liṅgena nirṇaya ityato	tasmAt eva iti arTaH / kaTam SrutyA pUrva pakzite liFgena nirNayaH iti atas 
   liṅgasya niravakāśatvajñāpanāyaivakāraḥ / tathā ca	liFgasya niravakASa tva jQApanAya eva kAraH / taTA ca
   sāvakāśaśruterniravakāśaliṅgena bādha iti bhāvaḥ / he viṣṇo 'te'; tava	sa avakASa SruteH niravakASa liFgena bADaH iti BAvaH / he vizNaH ate a; tava
   śrīśca lakṣmīśceti dve patnyau staḥ / vakṣasthalāśritā śrīḥ aṅkasthitā	SrIH ca lakzmIH ca iti dve patnyO staH / vakza sTala ASritA SrIH aFka sTitA
   lakṣmīriti sampradāyavidaḥ / tattvapradīpe tu   aṅkasthitā śrīḥ vakṣasi	lakzmIH iti sampradAya vidaH / tattva pradIpe tu  aFka sTitA SrIH vakzasi
   lakṣmabhūtā lakṣmīrityuktam/ 'ahorātre'; tadabhimānisūryacandrau 'pārśve';	lakzma BUtA lakzmIH iti uktam/ aahorAtre a; tad aBimAni sUrya candrO apArSve a;
   pārśvasthitāvityarthaḥ / divārātramete pārśvagate iti vā / yadyapīdam	pArSva sTitO= iti arTaH / divArAtram ete pArSva gate iti vA / yadi api idam
   'adbhyaḥ'; iti pūrvānuvākagatam / 'tadvai tvaṃ prāṇaḥ'; ityetacca 'bhartā	aadByaH a; iti pUrva anuvAka gatam / atat vE tvam prANaH a; iti etat ca aBartA
   san bhriyamāṇaḥ'; ityuttarānuvākagatam / tathā ca nānayorliṅgaliṅgibhāvo	san BriyamANaH a; iti uttara anuvAka gatam / taTA ca na anayoH liFga liFgi BAvaH 
   yujyate / tathāpi 'śrīśca te'; iti yuṣmacchabdenoktasya 'tadvai tvaṃ	yujyate / taTA api aSrIH ca te a; iti yuzmad Sabdena uktasya atat vE tvam
   prāṇaḥ'; ityatrāpi yuṣmacchabdena pratyabhijñānāttadupapattiḥ /	prANaH a; iti atra api yuzmad Sabdena pratyaBijQAnAt tad upapattiH /
   niravakāśatvādbhinnānuvākasthasyāpi mukhato grahaṇaṃ yuktam / ādiśabdena	niravakASa tvAt Binna anuvAka sTasya api muKatas grahaNam yuktam / Adi Sabdena
   'hariṃ harantamanuyanti devāḥ / viśvasyeśānaṃ vṛṣabhaṃ matīnām'; (tai.ā.	aharim harantam anuyanti devAH / viSvasya ISAnam vRzaBam matInAm a; (tE.A.
   3 15.) iti tattvapradīpodāhṛtamanuvākāntarasthaṃ gṛhyate /	3 15.) iti tattva pradIpa udAhRtam anuvAka antara sTam gRhyate /
   sarvabuddhiniyantāraṃ jagatpatiṃ sarvasaṃhartāraṃ hariṃ devāḥ	sarva budDi niyantAram jagatpatim sarva saMhartAram harim devAH
   anugacchantītyarthaḥ / candrikāyāṃ tu   'bhartā san'; ityuttarānuvākagataṃ	anugacCanti iti arTaH / candrikAyAm tu  aBartA san a; iti uttara anuvAka gatam
   'tamevamṛtyumamṛtantamāhustaṃ bhartāraṃ tamugoptāramāhuḥ'; (tai.ā. 3 14.)	atam eva mRtyum amRtantam AhuH tam BartAram tamugoptAram AhuH a; (tE.A. 3 14.)
   ityādikamādipadena grāhyamityuktam / yadyapi taittirīyaśākhāyāṃ	iti Adikam Adi padena grAhyam iti uktam / yadi api tEttirIya SAKAyAm
   'hrīścate'; iti pāṭhaḥ / tathāpi vājasaneyaśākhābhiprāyeṇa evamudāhṛtamiti	ahrIH cate a; iti pAWaH / taTA api vAjasaneya SAKA aBiprAyeNa evam udAhRtam iti
   dhyeyam / sūtrārtastu spaṣṭaḥ /	Dyeyam / sUtra ArtaH tu spazwaH /
   // iti prāṇādhikaraṇam // 9 //	// iti prANa aDikaraNam // 9 //
   // 10. jyotiradhikaraṇam //	// 10. jyotiH aDikaraNam //
   BBsBh_1,1.10.1:	BBsBh_1,1.10.1:
   'yo veda nihitaṃ guhāyām'; (tai.u. 2 1.) ityuktam /	ayaH veda nihitam guhAyAm a; (tE.u. 2 1.) iti uktam /
   tacca guhānihitam / 'vi me karṇā patayato vicakṣurvī3daṃ jyotirhṛdaya	tat ca guhA nihitam / avi me karNA patayataH vicakzuH vI3dam jyotiH hRdaya
   āhitaṃ yat /	Ahitam yat /
   vi me manaścarati dūra ādhīḥ kiṃ svidvakṣyāmi kimu nūmaniṣye'	vi me manaH carati dUraH ADIH kim svid vakzyAmi kimu nUma nizye a
   (ṛ. 6 9 6.) iti jyotiruktam /	(R. 6 9 6.) iti jyotiH uktam /
   BBsBhDīp_1,1.10.1:	BBsBhDIB _1,1.10.1:
   atrādhikaraṇe tattatsūktagatāśeṣaśabdopalakṣakasya lokato	atra aDikaraNe tad tad sUkta gata aSeza Sabda upalakzakasya lokataH 
   'nyatraprasiddhasya jyotirnāmno brahmaṇi samanvayaḥ kriyate /	anyatra prasidDasya jyotiH nAmnaH brahmaNi samanvayaH kriyate /
   pūrvādhikaraṇatadviṣayasaṅgatī viṣayavākyodāharaṇapūrvakaṃ viṣayasaṃśayau	pUrva aDikaraNa tad vizaya saFgatI vizaya vAkya udAharaNa pUrvakam vizaya saMSayO
   ca darśayati   yo vedeti // tataḥ kimityata āha   tacceti / co 'vadhāraṇe	ca darSayati  yaH veda iti // tatas kim iti atas Aha  tat ca iti / caH avaDAraNe
   / tathā ca yatpūrvaṃ māntravarṇikapadopāttamantravarṇagatena 'yo veda';	/ taTA ca yat pUrvam mAntra varNika pada upAtta mantra varNa gatena ayaH veda a;
   iti vākyena guhānihitaṃ vastūktaṃ tadevānandamayādyākhyamityuktam / tadeva	iti vAkyena guhA nihitam vastu uktam tat eva Ananda maya Adi AKyam iti uktam / tat eva
   'vime karṇā'; iti vākye 'jyotiruktaṃ'	avime karNA a; iti vAkye ajyotiH uktaM a
   jyotiśśabdenoktamityarthaḥ/ anena vakṣyamāṇapūrvapakṣaparyālocanayā	jyotiSSabdena uktam iti arTaH/ anena vakzyamANa pUrva pakza paryAlocanayA
   jyotiṣo	jyotizaH 
   viṣṇvanyatvasādhanamukhenānandamayatvasyānyaniṣṭhatvākṣepādānandamayādhikaraṇenāsyākṣepikī	vizNu anyatva sADana muKena Ananda maya tvasya anya nizWa tu AkzepAt Ananda maya aDikaraNena asya AkzepikI
   saṅgatiḥ sūcitā bhavati / jyotirviṣayaḥ kimagniruta viṣṇuriti sandehaśca	saFgatiH sUcitA Bavati / jyotiH vizayaH kim agniH uta vizNuH iti sandehaH ca
   sūcito bhavati / 'vi me'; iti ṛṅmantre vītyupasargāṇāṃ kriyāpadenānvayaḥ /	sUcitaH Bavati / avi me a; iti Rc mantre vIti upasargANAm kriyA padena anvayaH /
   tatra	tatra
   dhātoreva vicaraṇābhidhāyakatvam / upasargāstu dyotakāḥ na vācakāḥ / ata	DAtoH eva vicaraNa aBiDAyaka tvam / upasargAH tu dyotakAH na vAcakAH / ata
   eva sūtre caraṇābhidhānāt ityevoktam/ bhāṣye tu 'vicaraṇābhidhānāt'; iti	eva sUtre caraNa aBiDAnAt iti eva uktam/ BAzye tu avicaraNa aBiDAnAt a; iti
   spaṣṭārthamuktam / ata eva tattvapradīpe 'spaṣṭatvāya vicaraṇābhidhānāt	spazwa arTam uktam / atas eva tattva pradIpe aspazwa tvAya vicaraNa aBiDAnAt
   ityuktam'; ityuktam/ 'me'; ityasmacchabdena mantradraṣṭā ṛṣirucyate /	iti uktam a; iti uktam/ ame a; iti asmad Sabdena mantra drazwA RziH ucyate /
   'dūra ādhīḥ'; ityasya ekapadatve 'pi avagrahadarśanena	adUraH ADIH a; iti asya eka pada tve api avagraha darSanena
   dvikhaṇḍatvādvibhajyānvayaḥ / āṅ īṣadabhivyāptyubhayārthakaḥ / vartata iti	dvi KaNxa tvAt viBajya anvayaH / AF Izat aBivyApti uBaya arTakaH / vartate iti
   śeṣaḥ / tathā ca yato me karṇau jyotiṣo viruddhaṃ patayataḥ patataḥ /	SezaH / taTA ca yatas me karNO jyotizaH virudDam patayataH patataH /
   svārthe ṇic / cakṣuśca viruddhaṃ patatīti vipariṇāmenānvayaḥ / yathā	sva arTe Nit / cakzuH ca virudDam patati iti vipariNAmena anvayaH / yaTA
   karṇāderjyotirvidūratvaṃ evaṃ jyotiṣo 'pi karṇādividūratvamityāha  	karNa AdeH jyotiH vidUra tvam evam jyotizaH api karNa Adi vidUra tvam iti Aha  
   vīdamiti / kampo 'tyantamityarthe / tathā ca yadidaṃ hṛdaye 'āhitam'; ā	vIdam iti / kampaH atyantam iti arTe / taTA ca yat idam hRdaye aAhitam a; A
   samantāt sthitaṃ jyotistadatyantaṃ karṇādiviruddhaṃ vartate / evaṃ me	samantAt sTitam jyotiH tat atyantam karNa Adi virudDam vartate / evam me
   manaḥ jyotiṣo dūre vicarati atīva taddarśanaviruddhaṃ vartate /	manaH jyotizaH dUre vicarati atIva tad darSana virudDam vartate /
   manaścaraṇasya tattvaniṣṭhāvirodhitvaṃ 'cañcalaṃ hi manaḥ kṛṣṇa'; iti	manaH caraNasya tattva nizWA viroDi tvam acaQcalam hi manaH kRzNa a; iti
   gītāyāmuktam / ataḥ kāraṇāt 'ādhīḥ'; īṣadbuddhirahaṃ vyāptabuddhirapīti vā	gItAyAm uktam / atas kAraNAt aADIH a; Izat budDiH aham vyApta budDiH api iti vA
   'kiṃ svit'; kiṃ nu vakṣyāmi / kimu kiṃ vā nu idānīṃ 'maniṣye'; cintayāmīti	akim svit a; kim nu vakzyAmi / kimu kim vA nu idAnIm amanizye a; cintayAmi iti
   mantrārthaḥ / tattvapradīpe tu   ā	mantra arTaH / tattva pradIpe tu  A
   samantāddūrasthabuddhirahamityekānvayena vyākhyātam /	samantAt dUra sTa budDiH aham iti eka anvayena vyAKyAtam /
   BBsBh_1,1.10.2:	BBsBh_1,1.10.2:
   tacca jyotiragnisūktatvātprasiddheścāgnireveti prāptam /	tat ca jyotiH agni sUkta tvAt prasidDeH ca agniH eva iti prAptam /
   BBsBhDīp_1,1.10.2:	BBsBhDIB _1,1.10.2:
   atha sayuktikaṃ pūrvapakṣayati   tacceti / cassamuccaye / taditi cāvartate	aTa sa yuktikam pUrvapakzayati  tat ca iti / cassamuccaye / tat iti ca Avartate
   / agniśabdo bhūtataddevatāparaḥ/ dvitīyacaśabdo bhinnakramaḥ / tathā ca	/ agni SabdaH BUta tad devatA paraH/ dvitIya ca SabdaH BinnakramaH / taTA ca
   tajjyotirguhānihitaṃ cāgnireva bhavediti prāptaṃ, kutaḥ? 'prasiddheḥ';	tad jyotiH guhA nihitam ca agniH eva Bavet iti prAptaM, kutas ? aprasidDeH a;
   jyotiśśrutestasyāśca tasminnagnāveva prasiddheḥ rūḍhatvāt / na kevalaṃ	jyotiSSruteH tasyAH ca tasmin= agnO= eva prasidDeH rUXa tvAt / na kevalam
   śruterevedaṃ jyotiragniḥ, kintu tasya jyotiṣaḥ 'agnisūktatvāt';	SruteH eva idam jyotiH agniH, kintu tasya jyotizaH aagni sUkta tvAt a;
   agniprakaraṇagatatvācceti yojanā / ata eva pūrvapakṣopasaṃhāraṭīkāyāṃ	agni prakaraNa gata tvAt ca iti yojanA / atas eva pUrva pakza upasaMhAra wIkAyAm
   śrutiprakaraṇayorbalavatvāditi prasiddhapadalakṣitāyāḥ śruteḥ	Sruti prakaraNayoH balava tvAt iti prasidDa pada lakzitAyAH SruteH
