   <B1> caturthaḥ pādaḥ /	<B1> caturTaH pAdaH /
   upasaṃhārāt saptadaśamantrāntargatānāṃ asṛṣṭiliṅgānāmapi	upasaMhArAt saptadaSa mantra antargatAnAm asRzwi liFgAnAm api
   sannidhānādināṅgatayā prāptatvānuvāda ityāha         sṛṣṭipadantviti //	sanniDAna AdinA aFga tayA prAptatva anuvAdaH iti Aha        sRzwi padantu iti //
   mātrapadena viśeṣyabhūteṣṭakāvyāvṛttiḥ /	mAtra padena viSezya BUta izwakA vyAvRttiH /
   athavā         mantragatakārtsnyasya vā grahaṇam /	aTavA        mantra gata kArtsnyasya vA grahaNam /
   kathamasṛṣṭiliṅge tatpadapravṛttiritiapekṣayā gauṇyetyuktam /	kaTam asRzwi liFge tad pada pravRttiH itiapekzayA gONya iti uktam /
   tatprakārastu adhikaraṇāntarapratīkagrahaṇe upapādayiṣyate //	tad prakAraH tu aDikaraNa antara pratIka grahaNe upapAdayizyate //
   (sṛṣṭipadenāsṛṣṭimantragrahaṇaprayojanam) ayaṃ cānuvādaḥ,	(sRzwi padena asRzwi mantra grahaNa prayojanam) ayam ca anuvAdaH,
   itthamidamupadhānaṃ praśastaṃ yatsṛṣṭivanmantraiḥ kriyate ityevaṃ	itTam idam upaDAnam praSastam yat sRzwi vat mantrEH kriyate iti evam
   stutyartho yathāsṛṣṭaṃ brahmaṇā yāni sṛṣṭānyanuvāke kīrtitāni phalāni	stuti arTaH yaTA sRzwam brahmaNA yAni sRzwAni anuvAke kIrtitAni PalAni
   tānyanatikramyātikramanimittaṃ vighnaṃ nirasya sarvāṇi yajamānaḥ	tAni anatikramya atikrama nimittam viGnam nirasya sarvANi yajamAnaH
   prāpnotītyarthakasya "yathāsṛṣṭamevāvarundhe" ityarthavādasyālambanārthaḥ	prApnoti iti arTakasya "yaTA sRzwam eva avarunDe" iti arTavAdasya Alambana arTaH
   prathanamantre urupratheti mantrapratīkavannānupapannaḥ //	praTana mantre uru praTA iti mantra pratIka vanna anupapannaH //
   (bhāṣyakāramate 'svārasyanirūpaṇapūrvakaṃ mantramātravidhānamiti	(BAzya kAra mate asvArasya nirUpaNa pUrvakam mantra mAtra viDAnam iti
   vārtikakāramatanirūpaṇam) evaṃ bhāṣyakāramatamupapādyaitanmate	vArtikakAra matanirUpaNam) evam BAzya kAra matam upapAdya etat mate
   sarvavākyeṣūpadhānamātravidhānādabhyāsādbhedāpatteḥ sakṛdvihitasyāpi	sarva vAkyezu upaDAna mAtra viDAnAt aByAsAt Beda ApatteH sakRt vihitasya api
   ceṣṭakāḥ pratyaṅgatvena pratīṣṭakamāvṛttisiddhau asakṛdvidhānasya	cezwakAH pratyaFga tvena pratIzwakam AvRtti sidDO asakRt viDAnasya
   niṣprayojanatvāpatteraparituṣya pūrvopapāditamantravidhipūrvapakṣameva	nizprayojana tva ApatteH aparituzya pUrva upapAdita mantra viDi pUrva pakzam eva
   nyāyyamabhipretya vārtikakāroktaṃ pakṣāntaramāha         vārtikakārastviti	nyAyyam aBipretya vArtikakAra uktam pakza antaram Aha        vArtikakAraH tu iti
   (kevalamantravidhāne nyāyasudhākṛdabhimate vārtikātātparyeṇa	(kevala mantra viDAne nyAya suDA kRt aBimate vArtikAtAtparyeNa
   mantraviśiṣṭopādhānavidhānatātparyanirūpaṇam) atra nyāyasudhākṛtā         	mantra viSizwa upADAna viDAna tAtparya nirUpaNam) atra nyAya suDA kRtA         
   arthākṣiptopadhānānuvādena mantramātravidhāveva yathāpūrvapakṣaṃ	arTa Akzipta upaDAna anuvAdena mantra mAtra viDO= eva yaTApUrva pakzam
   vārtikatātparyamupavarṇitam, tadayuktam; iṣṭakānāmeva	vArtikatAtparyam upavarNitam, tat ayuktam; izwakAnAm eva
   dvitīyayoddeśyatvāvagamenopadhānasyaiva karaṇatayā vidheyatvāvagateḥ	dvitIyayA uddeSya tva avagamena upaDAnasya eva karaNa tayA viDeya tva avagateH
   tadvidhānaphalasyāpi pūrvavallābhena tadatikrame pramāṇābhāvāt /	tad viDAna Palasya api pUrva vallABena tad atikrame pramANa aBAvAt /
   nahi	na hi
   mantrasyādhvaryavatvāttatkaraṇakatvenārthākṣiptopadhānasyādhvaryukartṛkatvaṃ	mantrasya aDvaryava tvAt tad karaNaka tvena arTa Akzipta upaDAnasya aDvaryu kartRka tvam
   sidhyati; yājyāvadbhinnakartṛkatve 'pyupapatteḥ /	siDyati; yAjyAvat Binna kartRka tve api upapatteH /
   ato mantraviśiṣṭopadhānavidhāveva vārtikatātparyaṃ yuktamityabhipretya	atas mantra viSizwa upaDAna viDO= eva vArtika tAtparyam yuktam iti aBipretya
   pakṣāntaramāha         mantraviśiṣṭeti //	pakza antaram Aha        mantra viSizwa iti //
   (vidhyantarāvaiyarthyenaikaprasaratābhaṅgāprasaktyā ca	(viDi antarA vEi arTyena eka prasara tA BaFgA prasaktyA ca
   mantraviśiṣṭopadhānavidhipakṣopapādanam) atastanniyama iti //	mantra viSizwa upaDAna viDi pakza upapAdanam) atas tat niyamaH iti //
   niyamapadena śeṣaśeṣyubhayaparisaṅkhyā vivakṣitā,	niyama padena Seza Sezi u Baya parisaFKyA vivakzitA,
   anārabhyādhītacitriṇīvajriṇyādividhau	anAraBya aDIta citriNI vajriNyA Adi viDO
   dūrasthacayanavidhyākṣiptopadhānānuvādena mantramātravidhānasya	dUra sTa cayana viDi Akzipta upaDAna anuvAdena mantra mAtra viDAnasya
   saṃskāryeṣṭakārūpaguṇayogāt karmāntaratvopapatteḥ	saMskArya izwakA rUpa guNa yogAt karma antara tva upapatteH
   prākaraṇikamantrāvarodhāccānupapatteragatyā	prAkaraNika mantra avaroDAt ca anupapatteH agatyA
   mantraviśiṣṭopadhānavidherāvaśyakatvāttadvadihāpi viśiṣṭavidhānameva	mantra viSizwa upaDAna viDeH AvaSyaka tvAt tadvat iha api viSizwa viDAnam eva
   yuktam /	yuktam /
   naca          evamapyekopadhānavidhinaiva tatsiddheritaravidhivaiyarthyaṃ	na ca         evam api ekopaDAna viDinA eva tad sidDeH itara viDi vEyarTyam
   tadavasthamiti           vācyam; kevalopadhānamātravidhau tadāpattāvapi	tad avasTam iti          vAcyam; kevala upaDAna mAtra viDO tad ApattO= api
   mantraviśiṣṭatadvidhāne upadhānānāṃ	mantra viSizwa tad viDAne upaDAnAnAm
   guṇādbhedasiddhestattanmantraviśeṣṭopadhānāntaravidhānena	guNAt Beda sidDeH tad tad mantra viSezwa upaDAna antara viDAnena
   vaiyarthyāprasakteḥ /	vEyarTya aprasakteH /
   nahyekena vākyena katipayamantropadheyeṣṭakānāṃ upadhāne vihite	na hi ekena vAkyena katipaya mantra upaDeya izwakAnAm upaDAne vihite
   itaramantropadheyeṣṭakānāmupadhānavidhivaiyarthyaṃ śaṅkituṃ śakyam;	itara mantra upaDeya izwakAnAm upaDAna viDi vEyarTyam SaFkitum Sakyam;
   upadhānāntare 'dhvaryukartṛkatvasiddhyai tadāvaśyakatvāt /	upaDAna antare aDvaryu kartRka tva sidDyE tad AvaSyaka tvAt /
   ataevar idṛgasvarasaparyālocanayā	ataevar idRS a svarasa paryAlocanayA
   sarveṣṭakānāmekaikavākyasaṃskāryatvāvagatāvapi	sarva izwakAnAm ekEka vAkya saMskArya tva avagatO= api
   vidheyatattanmantraviśiṣṭopadhānasāmarthyāttattadvākye viśeṣāvadhāraṇamapi	viDeya tad tad mantra viSizwa upaDAna sAmarTyAt tad tad vAkye viSeza avaDAraNam api
   nānupapannam /	na anupapannam /
   bhāṣyakāramate tu vidheyasyopadhānasyeṣṭakāviśeṣapratyāyakatvānupapatteḥ	BAzya kAra mate tu viDeyasya upaDAnasya izwakA viSeza pratyAyaka tva anupapatteH
   sarveṣṭakāviṣayatvāpatteḥ vidhyantaravaiyarthyaṃ duṣpariharamataḥ	sarva izwakA vizaya tva ApatteH viDi antara vEyarTyam duzpariharam atas 
   tattanmantraviśiṣṭopadhānavidhānameva yuktam /	tad tad mantra viSizwa upaDAna viDAnam eva yuktam /
   naceṣṭakoddeśena mantravadupadhānavidhāvekaprasaratābhaṅgāpattiḥ;	naca izwakA uddeSena mantravat upaDAna viDO= eka prasaratA BaFga ApattiH;
   iṣṭakānāmupadhānanirūpitatvenoddeśyatve 'pi mantranirūpitoddeśyatvābhāvena	izwakAnAm upaDAna nirUpita tvena uddeSya tve api mantra nirUpita uddeSya tva aBAvena
   tadaprasakteriti bhāvaḥ /	tad aprasakteH iti BAvaH /
   etaccopadhānamātravidhau bhāṣyakāramate vidhyantaravaiyarthyāpādanaṃ	etat ca upaDAna mAtra viDO BAzya kAra mate viDi antara vEyarTya ApAdanam
   nyāyasudhākāroktamāśrityoktam //	nyAya suDA AkAra uktam ASritya uktam //
   (mantropadheyeṣṭakoddeśenopadhānasaṃskāravidhānamiti prakāśakāramatasya	(mantra upaDeya izwaka uddeSena upaDAna saMskAra viDAnam iti prakASa kAra matasya
   bhāṣyavārtikādyavirodhena vidhyantarāvaiyarthyena codapādanam) vastutaḥ	BAzya vArtika Adya viroDena viDi antarA vEyarTyena ca uda pAdanam) vastutas 
           iṣṭakānāmuddeśyatvasya sṛṣṭipadopādānenaiva vaktavyatve	       izwakAnAm uddeSya tvasya sRzwi pada upAdAnena eva vaktavya tve
   iṣṭakāviśeṣaṇatvenaikapada  śrutyānvitānāṃ mantrāṇāṃ	izwakA viSezaNa tvena eka pada SrutyA anvitAnAm mantrANAm
   upadhānabhāvanāyāmanvayo durupapāda eva /	upaDAna BAvanAyAm anvayaH durupapAdaH eva /
   ataścaikapadopādānenoddeśyabhūteṣṭakā  viśeṣaṇatve 'pi mantrāṇāṃ	atas ca eka pada upAdAnena uddeSya BUta izwakA viSezaNa tve api mantrANAm
   vākyabhedāprasakteḥ sṛṣṭimantropadheyeṣṭakāsaṃskārārthatvenopadhānamātrav	vAkya Beda aprasakteH sRzwi mantra upaDeya izwakA saMskAra arTa tvena upaDAna mAtrav
   idhāne 'pyanyamantropa 	iDAne api anya mantra upa 
   dheyāṣṭakāvyavṛttisiddhestatsaṃskārakatvenetaravidhisāthrakyaṃ	Deya azwa kAvyavRtti sidDeH tad saMskAraka tvena itara viDi sATrakyam
   saṃbhavatyeva /	saMBavati eva /
   ataeva iṣṭakoddeśena mantravidhānapūrvapakṣa eveṣṭakāviśeṣāpratīteḥ	ataeva izwaka uddeSena mantra viDAna pUrva pakzaH eva izwakA viSeza apratIteH
   sarvāsvatiprasaṃgāpādanaṃ bhāṣyavārtikakārādīnāṃ dṛṣṭam,	sarvAsu ati prasaMga ApAdanam BAzya vArti kakAra AdInAm dRzwam,
   natūpadhānavidhāvapi /	natu upaDAna viDO= api /
   naca         sṛṣṭimantropadheyā eveṣṭakāḥ sarvā eva kuto na syuḥ? iti	na ca        sRzwi mantra upaDeyAH eva izwakAH sarvAH eva kutas na syuH? iti
             vācyam; "sṛṣṭīrupadadhātī" tyupakramya "yatsaptadaśeṣṭakā	         vAcyam; "sRzwIH u pada DAtI" tyupakramya "yat saptadaSa izwakA
   upadadhātī"tyupasaṃhārārthavādena	upadaDAtI"ti upasaMhAra arTa vAdena
   sandigdheṣu vākyaśeṣāt / Jaim_1,4.29 /	sandigDezu vAkya SezAt / JEm_1,4.29 /
   iti nyāyena saptadaśamantropadheyasaptadaśeṣṭakāviṣayatvopapatteḥ /	iti nyAyena saptadaSa mantra upaDeya saptadaSa izwakA vizaya tva upapatteH /
   ayaṃ cārthavādaḥ pūrvapakṣiṇā mukhyānāmeva sṛṣṭiliṅgānāṃ	ayam ca arTa vAdaH pUrva pakziNA muKyAnAm eva sRzwi liFgAnAm
   vidhyabhyupagamādanādṛto 'pi mantramātravidhivādinā	viDi aByupagamAt anAdRtaH api mantra mAtra viDi vAdinA
   siddhāntināvaśyamādartavyaḥ /	sidDAntinA avaSyam AdartavyaH /
   anyathā guṇavṛtteratiprasaṅgena saptadaśānāmevopādānānupapatteḥ /	anyaTA guNa vRtteH ati prasaFgena saptadaSAnAm eva upAdAna anupapatteH /
   tathā mantraviśiṣṭopadhānavidhāvapi sarveṣṭakopadhānaprasaṃge	taTA mantra viSizwa upaDAna viDO= api sarva izwakA upaDAna prasaMge
   saptadaśaivaitarairmantrairupadheyā iti	saptadaSa eva etarEH mantrEH upaDeyAH iti
   vyavasthāsidhyarthamavaśyamayamarthavāda upāsyaḥ /	vyavasTA siDyarTam avaSyam ayam arTa vAdaH upAsyaH /
   evañca saptadaśānāmevāṣṭakānāṃ sṛṣṭimantrasaṃbandhāttadvatīnāṃ	evaQca saptadaSAnAm eva azwakAnAm sRzwi mantra saMbanDAt tadvatInAm
   saptadaśānāmevāṣṭakānāmuddeśenaikena vidhinā	saptadaSAnAm eva azwakAnAm uddeSena ekena viDinA
   vihitasyāpyupadhānasyānyasaṃskārakatayā punarvidhyāmnānopapatterna	vihitasya api upaDAnasya anya saMskAraka tayA punar viDyAm nAna upapatteH na
   vaiyarthyaprasaktiriti           prakāśakāroktameva sādhu //	vEyarTya prasaktiH iti          prakASa kAra uktam eva sADu //
   (bhāṣyakāramate vidhyantaravaiyarthyāpādanapadasya vārtikakāramate	(BAzya kAra mate viDi antara vEyarTya ApAdana padasya vArtikakAra mate
   mantravidhānopapādanasya ca bhāṭṭadīpikādṛtasyāśayanirūpaṇam)	mantra viDAna upapAdanasya ca BAwwa dIpikA dRtasya ASaya nirUpaNam)
   pūjyapādaistu           bhāṣyakāramate etadupadhānavidhitaḥ prāk	pUjya pAdEH tu          BAzya kAra mate etat upaDAna viDitaH prAk 
   sṛṣṭimantropadheyatvasyeṣṭakāsvasiddhestena rūpeṇoddeśyatvāyogāt na	sRzwi mantra upaDeya tvasya izwakA sva sidDeH tena rUpeNa uddeSya tva ayogAt na
   sṛṣṭipadamiṣṭakāvācitvenoddeśyasamarpakam /	sRzwi padam izwakA vAci tvena uddeSya samarpakam /
   kathamanyathā sṛṣṭipadasyoddeśyasamarpakatve bhāṣyakāraḥ	kaTam anyaTA sRzwi padasya uddeSya samarpaka tve BAzya kAraH
   sṛṣṭipadasyānuvādatvamarthavādaprayojanakaṃ vadet, apitu	sRzwi padasya anuvAda tvam arTavAda prayojanakam vadet, apitu
   yasyaiveṣṭakākaraṇakacayanavidhyarthākṣiptasya upadhānasya pūrvapravṛttyā	yasya eva izwakA karaNaka cayana viDi arTa Akziptasya upaDAnasya pUrva pravRttyA
   vidheyatvaṃ,	viDeya tvaM,
   tasyaiveṣṭakāsaṃbandhitvenāvagatasyopasthiteṣṭakāsaṃskārakatayā	tasya eva izwakA saMbanDi tvena avagatasya upasTita izwakA saMskAraka tayA
   vidhyāśrayaṇāduddeśyatvam /	viDi ASrayaNAt uddeSya tvam /
   tacca rūpaṃ sarveṣṭakāsvapyanuvṛttamiti	tat ca rUpam sarva izwakAsu api anuvRttam iti
   sarvāsāmupadhānasiddheritaravaiyarthyam /	sarvAsAm upaDAna sidDeH itara vEyarTyam /
   ataevārthavādo 'pi tadā	ataeva arTavAdaH api tadA
   iṣṭakāsamudāyāvayavībhūtasaptadaśeṣṭakāpraśaṃsārtha eva saṃpadyate, vidheḥ	izwakA samudAya avayavIBUta saptadaSa izwakA praSaMsA arTaH eva saMpadyate, viDeH
   sandigdhatvābhāvena tatrāpravṛtteḥ /	sandigDa tva aBAvena tatra apravRtteH /
   ataeva sṛṣṭipadamapi mantramātraparam lohitoṣṇīṣapadavat /	ataeva sRzwi padam api mantra mAtra param lohita uzNIza pada vat /
   kiyantaḥ sṛṣṭimantrā iti sandehe evopasaṃhāro nirṇāyako	kiyantaH sRzwi mantrAH iti sandehe eva upasaMhAraH nirNAya kaH 
   natvasaṃdigdheṣṭakānirṇāyakaḥ; vidhyarthavādayorekavākyatayā	na tu asaMdigDa izwakA nirNAyakaH; viDi arTa vAdayoH eka vAkya tayA
   stutyanurodhena vidheyanirṇāyakatve 'pi uddeśyanirṇāyakatvasya	stuti anuroDena viDeya nirNAyaka tve api uddeSya nirNAyaka tvasya
   kvāpyadṛṣṭatvāt /	kvApi adRzwa tvAt /
   yadyapi "dvayoḥ praṇayantī" tyāgnipraṇayanavidhau dvābhyāmeveti, "ūrū	yadi api "dvayoH praNayantI" tyAgni praNayana viDO dvAByAm eva iti, "UrU
   etadyajñasya yadvaruṇapraghāsassākamedhāśce"tyarthavāde ūrutvena	etat yajQasya yat varuNa praGAsa ssAka meDAH ce"ti arTa vAde Uru tvena
   saṃstutayorgamanasādhanatvapratīteḥ	saMstutayoH gamana sADanatva pratIteH
   madhyamaparvaṇordvayoruddeśyayornirṇayo 'pyarthavāde dṛṣṭaḥ; tathāpi	maDyama parvaNoH dvayoH uddeSyayoH nirNayaH api arTa vAde dRzwaH; taTA api
   caturṇāṃ madhye katarayordvayoriti nirdhāraṇābhāvādyuktaṃ nirṇāyakatvam /	caturNAm maDye katarayoH dvayoH iti nirDAraNa aBAva Adi uktam nirNAyaka tvam /
   prakṛte sandehābhāvādanirṇāyakatvameva /	prakRte sandeha aBAvAt anirNAyaka tvam eva /
   ata eva vidheyasamantrakopadhānasāmarthyādiva siddhānte	atas eva viDeya samantra kopa DAna sAmarTyAt iva sidDAnte
   saptadaśeṣṭakāviṣayatvamasmanmate sidhyatīti na	saptadaSa izwakA vizaya tvam asmad mate siDyati iti na
   tatrārthavādopāsanamāvaśyakamityabhipretya bhāṣyakāramate	tatra arTa vAda upAsanam AvaSyakam iti aBipretya BAzya kAra mate
   vidhyantaravaiyarthyāpādanaṃ mantrāṇāmupadhānabhāvanāyāmanvayaśca	viDi antara vEyarTya ApAdanam mantrANAm upaDAna BAvanAyAm anvayaH ca
   vārtikasaṃmatatvena darśitaḥ /	vArtika saMmata tvena darSitaH /
   tadidamuktaṃ kaustubhe           "bhāṣyakṛnmatetu	tat idam uktam kOstuBe          "BAzya kRt matetu
   vidheyopadhānasyeṣṭakāviśeṣapratyāyakatvābhāvānmantrāṇāṃ	viDeya upaDAnasya izwakA viSeza pratyAyaka tva aBAvAt mantrANAm
   ceṣṭakāviśeṣakatvānupapatterya  tsaptadaśeṣṭakā upadadhātītyarthavādasya	ca izwakA viSezaka tva anupapatteH ya tsaptadaSa izwakA upadaDAti iti arTa vAdasya
   ca vidhau sarveṣṭakāviṣayatvena niścite	ca viDO sarva izwakA vizaya tvena niScite
   sandehābhāvenānirṇāyakatvādvākyāntarānarthakyam iti viśeṣa" iti //	sandeha aBAvena anirNAyaka tvAt vAkya antara AnarTakyam iti viSeza" iti //
   (mantravidhānasya madhyamacitisaṃbandharūpaprayojanāntaranirūpaṇam)	(mantra viDAnasya maDyama citi saMbanDa rUpa prayojana antara nirUpaNam)
   pañcame "madhyamāyāntu vacanāt brāhmaṇavatī" tyadhikaraṇe "yāṃ kāñcana	paQcame "maDyam AyAntu vacanAt brAhmaNavatI" tyaDikaraNe "yAm kAQcana
   brāhmaṇavatīmiṣṭakāmabhijānīyāttāṃ madhyamāyāṃ citāvupadadhyādi"ti	brAhmaNavatIm izwakAm aBijAnIyAt tAm maDyamAyAm citO= upadaDi Adi"ti
   vacanenābhipūrvasya jānāteḥ pratyakṣajñānavācitvāt	vacanena aBipUrvasya jAnAteH pratyakza jQAna vAci tvAt 
   pratyakṣabrāhmaṇavihitānāṃ iṣṭakānāṃ madhyamacityāśrayatvasya	pratyakza brAhmaNa vihitAnAm izwakAnAm maDyama cityA ASraya tvasya
   vakṣyamāṇatvāttadapyatra prayojanāntaraṃ bhavitumarhatītyāha          	vakzyamANa tvAt tat api atra prayojana antaram Bavitum arhati iti Aha          
   madhyameti //	maDyamA iti //
   āgantūnāmante niveśasyāpi pañcame vakṣyamāṇatvāt antimāyāmevetyuktaṃ /	AgantUnAm ante niveSasya api paQcame vakzyamANa tvAt antimAyAm eva iti uktam /
   iṣṭakānāṃ brāhmaṇena vidhānābhāve kathaṃ brāhmaṇavattvam? iti śaṅkāṃ	izwakAnAm brAhmaNena viDAna aBAve kaTam brAhmaNa vat tvam? iti SaFkAm
   brāhmaṇavattvanirvacanenopapādayannirasyati           pratyakṣeti //	brAhmaNa vat tva nirvacanena upapAdayat nirasyati          pratyakza iti //
   tatraceti granthaḥ pūrvameva vyākhyātaḥ //	tatra cA iti granTaH pUrvam eva vyAKyAtaH //
   (mantravidhānapakṣaprayojane madhyamacitisaṃbandhe	(mantra viDAna pakza prayojane maDyama citi saMbanDe
   yājñikasaṃpradāyavirodhopapādanam) parantu vārtikakāramate caturthacitau	yAjQika saMpradAya viroDa upapAdanam) parantu vArtikakAra mate caturTa citO
   yājñikaiḥ sṛṣṭīnāmanuṣṭhānena kriyamāṇena virodho duṣparihara eva /	yAjQikEH sRzwInAm anuzWAnena kriyamANena viroDaH duzpariharaH eva /
   sarvāsāmapi prāṇabhṛtāmanena madhyamacitisaṃbandhasyaivāpattau	sarvAsAm api prANaBRtAm anena maDyama citi saMbanDasya eva ApattO
   prathamādicityanuṣṭhānavirodho 'pi //	praTama Adi citi anuzWAna viroDaH api //
   yadi tatrāvāntaraprakaraṇena "yāṃ kāñcane" ti sāmānyavākyasya bādha	yadi tatra avAntara prakaraNena "yAm kAQcane" ti sAmAnya vAkyasya bADa
   ucyeta, tadā sṛṣṭīnāmapyetatsamānamityapi dhyeyam //	ucyeta, tadA sRzwInAm api etat samAnam iti api Dyeyam //
   (vārtikamatopasaṃhāraḥ) vārtikamatamupasaṃharati           ataśceti //	(vArti kamata upa saMhAraH) vArtikamatam upasaMharati          atas ca iti //
   yato mantrāṃśe upadhāne vā vidhānaphalasya lābhaḥ, atastadrūpo heturataḥ	yatas mantra aMSe upaDAne vA viDAna Palasya lABaH, atas tad rUpaH hetuH atas 
   śabdārthaḥ //	Sabda arTaH //
   (bahutvāśrayasamudāya eva gauṇor'tha iti	(bahutva ASraya samudAyaH eva gONor aTa iti
   śāstradīpikānusāriprakāśakāramatakhaṇḍanena	SAstra dIpikA anusAri prakASa kAra mata KaNxanena
   sṛṣṭibahutvasamānādhikaraṇasamudāyāśritatvaguṇayogena samudāyina eva	sRzwi bahutva samAna aDikaraNa samudAya ASrita tva guNa yogena samudAyinaH eva
   gauṇor'tha iti nirūpaṇam) atra ca "kaḥ punaratra guṇaḥ? bhūmā,	gONor aTa iti nirUpaNam) atra ca "kaH punar atra guNaH? BUmA,
   sṛṣṭisamudāye hi sṛṣṭibhūmāsti /	sRzwi samudAye hi sRzwi BUmA asti /
   sṛṣṭyasṛṣṭisamudāyepyekayā  stuvatetyanuvāke sṛṣṭibhūmāsti, ityanena	sRzwi asRzwi samudAyepi ekayA stuvata iti anuvAke sRzwi BUmAsti, iti anena
   sādṛśyena sṛṣṭiśabda" iti śāstradīpikāgranthagatasamudāya 	sAdRSyena sRzwi Sabda" iti SAstra dIpikA granTa gata samudAya 
   śabdasvārasyamanurudhya bāhulyasya guṇatvamāśritya yathā bāhulyaṃ	Sabda sva Arasyam anuruDya bAhulyasya guNa tvam ASritya yaTA bAhulyam
   sṛṣṭiṣvasti, tathā sṛṣṭyasṛṣṭisamudāye 'pi kathañcitsambaddhamastītyevaṃ	sRzwizvasti, taTA sRzwi asRzwi samudAye api kaTaQcid sambadDam asti iti evam
   sṛṣṭyasṛṣṭisamudāya evārthe gauṇīti prakāśakāraiḥ samudāya eva gauṇor'tha	sRzwi asRzwi samudAyaH eva arTe gONI iti prakASa kArEH samudAyaH eva gONor aTa
   ityuktaṃ, tadayuktam /	iti uktan, tat ayuktam /
   tadātve samudāyasyārthaikyābhāvena prakāśakatvānupapatteḥ	tadAtve samudAyasya arTa Ekya aBAvena prakASaka tvA anupapatteH
   kathañcitsamudāyidvārā tadupapattāvapi samudāyasyaiva śābdatvena	kaTaQcid samudAyi dvArA tad upapattO= api samudAyasya eva SAbda tvena
   karaṇatayā vidhāne sati sarvamantrapāṭhottarameva sakṛdupadhānāpatteḥ /	karaNa tayA viDAne sati sarva mantra pAWa uttaram eva sakRt upaDAna ApatteH /
   kiñca sṛṣṭisamudāyagatabāhulyasya guṇatvamuta	kiQca sRzwi samudAya gata bAhulyasya guNa tvam uta
