   prathamo vilāsaḥ	praTamaH vilAsaH
   rājñā śrīsiṅgabhūpālabāhunā bahurāhuṇā /	rAjQA SrI-siFga-BUpAla-bAhunA bahu-rAhuNA /
   kalpapādapakalpena pālitā lalitena bhūḥ // Ckc_8.*2 //	kalpa-pAdapa-kalpena pAlitA lalitena BUH // Ckd-_8.*2 //
   atra yadyapi rāhuriva rāhuḥ kalpapādapa iva kalpapādapa iti	atra yadi-api rAhuH-iva rAhuH kalpa-pAdapaH iva kalpa-pAdapaH iti
   cābhedopacāravyāvṛttyā rāhukalpaśabdayorupamānabhāvinorapyupameye bāhau	ca-aBeda-upacAra-vyAvRttyA rAhu-kalpa-SabdayoH-upamAna-BAvinoH-api-upameye bAhO
   vṛttiḥ /	vRttiH /
   tābhyāṃ ca yadyapi svārthe eva bahuckalpappratyayau bhavataḥ tathāpi yathā	tAByAm ca yadi-api sva-arTe eva bahuckalpappratyayO BavataH taTA-api yaTA
   śūrādibhya utpadyamānāstarabādayaḥ śauryasyaivātiśayamavagamayanti na	SUra-AdiByaH utpadyamAnAH-taraba-AdayaH SOryasya-eva-atiSayam-avagamayanti na
   punaḥśauyaśriyasya tadvadimāvapi guṇabhūtamevopamānārthaṃ bruvāte iti	punar-SOya-Sriyasya tadvat-imO=-api guNa-BUtam-eva-upamAna-arTam bruvAte iti
   seyamupamānār thapratyayā nāma pratyayopamā /	sA-iyam-upamAnAH Ta-pratyayA nAma pratyaya-upamA /
   upameyārthapratyayo yathā	upameya-arTa-pratyayaH yaTA
   kalyāṇācalakārmukopama samitsaṃraṃbhajṛmbhānidhe	kalyANa-acala-kArmuka-upama samiD-saMraMBa-jRmBA-niDe
   śrīsiṅgakṣitināthamaṇḍanamaṇe durvāradāeṃrvikram /	SrI-siFga-kziti-nATa-maNxana-maNe durvAra-dAeMrvikram /
   pārāvārabirāviṇīṣu vijayaprasthānabherīṣu te kākakrośi kuraṅgadhāvi ca	pArAvAra-birAviNIzu vijaya-prasTAna-BerIzu te kAka-kroSi kuraFga-DAvi ca
   kulaṃ vidveṣiṇāṃ jāyate // Ckc_8.*3 //	kulam vidveziNAm jAyate // Ckd-_8.*3 //
   atra pārāvārā iva rudanti pārāvāravirāviṇya ityatra kartaryupamāna iti	atra pArAvArAH iva rudanti pArAvAra-virAviNyaH iti-atra kartari-upamAnaH iti
   sāmānādhikaraṇyena kartavye ca pratyaye upameyārthapratyayā nāma padopamā	sAmAnADikaraNyena kartavye ca pratyaye upameya-arTapratyayA nAma pada-upamA
   anayaiva bhaṅgayā kākakrośikuraṅgadhāvītyatrāpi draṣṭavyam /	anayA-eva BaFgayA kAka-kroSi-kuraFgaDAvIti-atra-api drazwavyam /
   dyotakārthapratyayā yathā	dyotaka-arTa-pratyayAH yaTA
   kalyāṇaśailavadupāśritapārijāte śrīsiṅgabhūpatilake kaṭakapradīpe /	kalyANa-SEla-vat-upASrita-pArijAte SrI-siFga-BUpa-tilake kawaka-pradIpe /
   puṇyakriyābhiranuvāsaramedhamānā recarlasantativadeti mahī pratiṣṭhām //	puNya-kriyABiH-anuvAsara-meDamAnA recarla-santati-vada-iti mahI pratizWAm //
   Ckc_8.*4 //	Ckd-_8.*4 //
   atra kalyāṇaśailo meruḥ tadvadityatra tatra tasyevitībārthe vatiḥ /	atra kalyANaSElaH meruH tadvat-iti-atra tatra tasya-IvitIbArTe vatiH /
   recarlasantativadityatra tu tena tulyaṃ kriyā cedvatiṃriti dyotakārtha eva	recarlasantati-vat-iti-atra tu tena tulyam kriyA ced-vatiMH-iti dyotaka-arTaH eva
   na punastulyakriyārtha iti dyotakārthapratyayā nāma padopamā /	na punar-tulya-kriyA-arTaH iti dyotaka-arTa-pratyayA nAma pada-upamA /
   tulyadharmārthapratyayā yathā	tulya-Darma-arTa-pratyayAH yaTA
   uddaṇḍapratigaṇḍhabhairavavibho rajyatkaṭākṣe ruṣā gehīyanti virodhināṃ	uddaNxa-pratigaNXa-BErava-viBo rajyat-kawAkze ruzA gehIyanti viroDinAm
   giriguhā stalpāyate śādvalam /	giri-guhA stalpAyate SAdvalam /
   saudhīyanti taṭe ca te kapicamūcāraṃ caranto vane paśyanti	sODIyanti tawe ca te kapi-cam-UcAram carantaH vane paSyanti
   prabhudarśamugraśabarāneṇīsutīyanti ca // Ckc_8.*5 //	praBu-darSam-ugra-SabarAneNI-sutIyanti ca // Ckd-_8.*5 //
   atra gehānīvācaranti gehīyantītyatra kyac pratyaya upamānādācāra iti	atra gehAnIva-Acaranti gehIyanti-iti-atra kyat pratyayaH upamAnAt-AcAraH iti
   kriyāviśeṣalakṣaṇe tulyadharmārtha eva samutpanna iti seyaṃ	kriyA-viSeza-lakzaNe tulya-Darma-arTaH eva samutpannaH iti sA-iyam
   tulyadharmārthapratyayā nāma padopamā /	tulya-Darma-arTa-pratyayA nAma pada-upamA /
   saivādhikaraṇakyacā yathā atra saidha iva ācarati	sA-eva-aDikaraNa-kyacAH yaTA atra sA-eDaH iva Acarati
   saudhīyantītyatrādhārakyacpratyayo 'pi tulyadharmārtha eveti seyaṃ tādṛśī	sODIyanti-iti-atra-ADArakyat-pratyayaH api tulya-Darma-arTaH eva-iti sA-iyam tAdRSI
   saiva kriyayā yathā uddaṇḍapratigaṇjabhairava bhavadbāṇā raṇe vidbiṣāṃ	sA-eva kriyayA yaTA uddaNxa-pratigaNja-BErava Bavat-bANAH raNe vid-bizAm
   bhetālanti halāhalanti dahanajvālanti kālanti ca /	BetAlanti halAhalanti dahana-jvAlanti kAlanti ca /
   śrīsiṅgakṣitipāla pālitaguṇa tvatkīrtivisphūrtayo nīhāranti haranti	SrI-siFga-kzitipAla pAlita-guNa tvad-kIrti-visPUrtayaH nIhAranti haranti
   nirjaravarāhāranti hāranti ca // Ckc_8.*6 //	nirjara-vara-AhAranti hAranti ca // Ckd-_8.*6 //
   atra bhetālantītyādiṣu kriyāsu tadivācaratītyācāralakṣaṇatulyadharmārthe	atra BetAlanti-ityAdizu kriyAsu tad-iva-Acarati-iti-AcAra-lakzaNa-tulya-Darma-arTe
   kvibuptanna iti seyamapi tulyadharmārthapratyayā nāma padopamā /	kvibuptan-naH iti sA-iyam-api tulya-Darma-arTa-pratyayA nAma pada-upamA /
   mithaḥ padārthayossāmyāttathā vākyārthayorapi /	miTas padArTayoH-sAmyAt-taTA vAkya-arTayoH-api /
   vākyopamā dvidhā jñeyā tatrādyā dvividhā matā // Ckc_8.10 //	vAkya-upamA dviDA jQeyA tatra-AdyAH dviviDA matA // Ckd-_8.10 //
   pūrṇā lupteti pūrṇātra caturaṅgasusaṅgatā // Ckc_8.11 //	pUrNA luptA-iti pUrNA-atra caturaFga-su-saFga-tA // Ckd-_8.11 //
   yathā	yaTA
   yathā rākācandre sakalajagadānandajanane saroje gaure bā	yaTA rAkA-candre sakala-jagat-Ananda-janane saroje gOre bA
   surabhitadaśāśāpariṣadi /	suraBita-daSa-ASA-aparizadi /
   mahāratnollāsinyurasi danujāreriva ruciṃ parāṃ dhatte siṅgakṣitipa bhavatī	mahAratna-ullAsini-uH-asi danujAreH-iva rucim parAm Datte siFga-kzitipa BavatI
   śrīratitarām // Ckc_8.*7 //	SrIratitarAm // Ckd-_8.*7 //
   atropamānopameyadyotakatutyadharmarūpaiścaturbhiraṅgaiḥ saṅgateriyaṃ	atra-upamAna-upameya-dyotaka-tutya-Darma-rUpEH-caturBiH-aFgEH saFgateH-iyam
   padārthasāmyavatī pūrṇā vākyopamā /	padArTa-sAmyavatI pUrNA vAkya-upamA /
   luptā tu trividhā tulyadyotakobhayalopataḥ // Ckc_8.12 //	luptA tu triviDA tulya-dyotaka-uBaya-lopataH // Ckd-_8.12 //
   atra tulyadharmalopavatī yathā	atra tulya-Darma-lopavatI yaTA
   śrīsiṅgadharaṇīpāla tava kīrtiparaṃparā /	SrI-siFga-DaraNI-pAla tava kIrti-paraMparA /
   spardhate candrikāpūrairdṛptā balavadāśrayāt // Ckc_8.*8 //	sparDate candrikA-pUrEH-dRptAH balavat-ASrayAt // Ckd-_8.*8 //
   atra tulyadharmasya dhavalimāderanabhidhāne 'pi	atra tulya-Darmasya DavalimAdeH-anaBiDAne api
   prasiddhibalenopamānopameyabhāvasya pratīteriyaṃ tulyadharmavatī vākyopamā	prasidDi-balena-upamAna-upameya-BAvasya pratIteH-iyam tulya-DarmavatI vAkya-upamA
   saiva dyotakalopavatī yathā	sA-eva dyotaka-lopavatI yaTA
   śrīsiṅgadharaṇīpāla ratnasānurbhavānapi /	SrI-siFga-DaraNI-pAla ratna-sAnuH-BavAn-api /
   jyotirvirājatkaṭakau kalyāṇākāraśobhinau // Ckc_8.*9 //	jyotiH-virAjat-kawakO kalyANa-AkAra-SoBinO // Ckd-_8.*9 //
   atra ivādidyotakamantareṇāpi	atra iva-Adidyotakam-antareNa-api
   ratnasānunāyakaratnayorupamānopameyayoritaretarayoginaikaśeṣeṇa	ratna-sAnu-nAyaka-ratnayoH-upamAna-upameyayoH-itaretara-yoginA-eka-SezeNa
   tadviśeṣaṇayossamudāyenana ca dvayoḥ sādṛśyaṃ pratīyata itīyaṃ	tad-viSezaNayoH-samudAyena-na ca dvayoH sAdRSyam pratIyate iti-iyam
   dyotakalopavatī nāma padārthasāmyavatī vākyopamā /	dyotakalopavatI nAma padArTa-sAmyavatI vAkya-upamA /
   nātra śleṣaśaṅkā /	na-atra Sleza-SaFkA /
   siddhasādṛśyayoḥ tantreṇābhidhānaṃ śleṣaḥ /	sidDa-sAdRSyayoH tantreNa-aBiDAnam SlezaH /
   sādṛsyaṃ punarupamānopameyabhāvavivakṣā /	sAdRsyam punar-upamAna-upameya-BAva-vivakzA /
   tena śleṣasya dyotakalopopamāyāśca viviktaviṣayatā vyakttaiva /	tena Slezasya dyota-kalopa-upamAyAH-ca vivikta-vizaya-tA vyaktta-eva /
   ubhayalopavatī yathā	uBaya-lopavatI yaTA
   na karpūrā na nīhārā na ca śāradacandrikāḥ /	na karpUrAH na nIhArAH na ca SArada-candrikAH /
   kintu sphuranti śrīsiṅgadharaṇīpālakīrtaḥ // Ckc_8.*10 //	kintu sPuranti SrI-siFga-DaraNI-pAla-kIrtaH // Ckd-_8.*10 //
   atra tulyadharmadyotakābhyāṃ vināpi nāyakakīrtiṣu	atra tulya-Darma-dyotakAByAm vinA-api nAyaka-kIrtizu
   karpūrādibhrāntipratyākhyānenaiva	karpUra-Adi-BrAnti-pratyAKyAnena-eva
   tadupamānopameyabhāvapratīteriyamubhayalopavatī nāma padārthasāmyavatī	tad-upamAna-upameya-BAva-pratIteH-iyam-uBaya-lopavatI nAma padArTa-sAmyavatI
   vākyopamā /	vAkya-upamA /
   kecidenāṃ trilopavatīmapi manyanete /	kecid-enAm trilopavatIm-api manyanete /
   upamānopameyayoranyatarakathane kasya sādharmyamityasaṃmatamityasmākam /	upamAna-upameyayoH-anyatara-kaTane kasya sADarmyam-iti-asaMmatam-iti-asmAkam /
   vākyārthagāminyupamā caturdhaikevaśabdikā /	vAkya-arTa-gAminI-upamA caturDA-ekeva-SabdikA /
   anekadyotakevādiśūnyāvaidhargyavatyapi // Ckc_8.13 //	aneka-dyotaka-iva-Adi-SUnyOvEDargyavatI-api // Ckd-_8.13 //
   ekadyotakā yathā	ekadyotakAH yaTA
   siṃhāsane rājati siṅgabhūpo vakṣasthalāndolitatārahāraḥ /	siMhAsane rAjati siFga-BUpaH vakza-sTalAndolita-tAra-hAraH /
   ālambadīrghastabhakābhirāma- staṭe sumeroriva kalpavṛkṣaḥ // Ckc_8.*11 //	Alamba-dIrGastaBaka-aBirAma stawe sumeroH-iva kalpavRkzaH // Ckd-_8.*11 //
   atra merutaṭa siṃhāsanayoḥ kalpavṛkṣanāyakayostabakahārayośca	atra meru-tawa siMhAsanayoH kalpavRkza-nAyakayostabaka-hArayoH-ca
   parasparamupamānopameya bhāvavivakṣāyāṃ viśeṣaṇaviśeṣyabhāvakalpanayā	parasparam-upamAna-upameya BAva-vivakzAyAm viSezaNa-viSezya-BAva-kalpanayA
   dvayoreva vākyārthayoḥ kalpitatvādekenaiva dyotakaśabdena tayoḥ	dvayoH-eva vAkya-arTayoH kalpita-tvAt-ekena-eva dyotaka-Sabdena tayoH
   parasparamupamānopameyabhāvo 'bhihita iti seyamekadyotakā nāma	parasparam-upamAna-upameya-BAvaH aBihitaH iti sA-iyam-ekadyotakAH nAma
   vākyārthasāmyavatī vākyopamā /	vAkya-arTa-sAmyavatI vAkya-upamA /
   anekadyotakā yathā	aneka-dyotakAH yaTA
   śrīsiṅgadharaṇīpālo bhāsvāniva mahodayaḥ /	SrI-siFga-DaraNI-pAlaH BAsvAn-iva mahA-udayaH /
   hanti dhvāntamivārātivrātaṃ vyomnīva saṅgare // Ckc_8.*12 //	hanti DvAntam-iva-ArAti-vrAtam vyomni-iva saFgare // Ckd-_8.*12 //
   atra vākyadvayaikatāpattikāmanayā kartuḥ karmaṇo 'dhikaraṇāccopamānāt	atra vAkya-dvaya-eka-tA-ApattikAmanayA kartuH karmaNaH aDikaraNAt-ca-upamAnAt
   pṛthak pṛthag dyotakaśabdaḥ kṛta iti seyamanekadyotakā nāma	pRTak pRTak dyotaka-SabdaH kRtaH iti sA-iyam-anekadyotakAH nAma
   vākyārthasāmyavatī vākyopamā /	vAkya-arTa-sAmyavatI vAkya-upamA /
   dyotakahīnā yathā	dyotaka-hInAH yaTA
   devānāṃ divi rakṣaṇāya maghavā jāgarti daṃbholinā sādhūnāṃ bhūvi	devAnAm divi rakzaNAya maGavA jAgarti daMBolinA sADUnAm BUvi
   siṅgabhūpatirayaṃ khaḍgena śātāsriṇā /	siFga-BUpatiH-ayam Kaxgena SAtAsriNA /
   ratnādau prathamo mudā viharate rambhādibhirvaibhavā- drājādrāvitaro 'pi	ratna-AdO praTamaH mudA viharate ramBA-AdiBiH-vEBavA drAjA-adrO=-itaraH api
   ropitayaśāśśuddhāntakāntājanaiḥ // Ckc_8.*13 //	ropita-yaSAH-SudDAnta-kAntA-janEH // Ckd-_8.*13 //
   atra suranāyakayoḥ svarlokabhūlokayoḥ devabhūdevānāṃ dambholikaravālayośca	atra sura-nAyakayoH svar-loka-BUlokayoH deva-BU-devAnAm damBolikara-vAlayoH-ca
   tulyaikaśriyā samāveśādivādidyotakamantareṇāpi	tulya-eka-SriyA samAveSa-Adi-vAdi-dyotakam-antareNa-api
   vākyārthānāmupamānopameyabhāvo gamyata ityayaṃ dyotakaśūnyā nāma	vAkya-arTAnAm-upamAna-upameya-BAvaH gamyate iti-ayam dyotaka-SUnyA nAma
   vākyārthasāmyavatī vākyopamā /	vAkya-arTa-sAmyavatI vAkya-upamA /
   vaidharmyavatī yathā	vEDarmyavatI yaTA
   avivekī na surabhivaccintāmaṇiriva na yāti kāṭhinyam /	avivekI na suH-aBi-vat-cintAmaNiH-iva na yAti kAWinyam /
   śrīsiṅgabhūpatilako śiva śiva bhūlokasaubhāgyam // Ckc_8.*14 //	SrI-siFga-BUpa-tilakaH Siva Siva BU-loka-sOBAgyam // Ckd-_8.*14 //
   atropamānopameyadyotakeṣu stsu yoyamaviveko nāma dharmaḥ so 'yamupamāna	atra-upamAna-upameya-dyotakezu stsu yoyamavivekaH nAma DarmaH saH ayam-upamAna
   eva kavinā niyamyata itīyaṃ vaidharmyavatī nāma vākyopamā /	eva kavinA niyamyate iti-iyam vEDarmyavatI nAma vAkya-upamA /
   yatroktibhaṅgyā vākyārthe sādṛśyamavagamyate /	yatra-ukti-BaFgyA vAkya-arTe sAdRSyam-avagamyate /
   vākyārthayorvistarataḥ sā prapañcopamā yathā // Ckc_8.14 //	vAkya-arTayoH-vistarataH sA prapaQca-upamA yaTA // Ckd-_8.14 //
   seyaṃ dvedhā hi rūpeṇa prakṛtāprakṛteti ca /	sA-iyam dveDA hi rUpeNa prakRta-aprakRtA-iti ca /
   tayoḥ prakṛtarūpār yāccaturdhā sakalopamā // Ckc_8.15 //	tayoH prakRta-rUpAH yAt-caturDA sakala-upamA // Ckd-_8.15 //
   ekadeśopamā cānye mālikā mekhaleti ca // Ckc_8.16 //	eka-deSa-upamA ca-anye mAlikA meKalA-iti ca // Ckd-_8.16 //
   tatra sakalopamā yathā	tatra sakala-upamA yaTA
   mainākapramukhairiva kṣitidharairudbhrāntadantāvalaiḥ kallolairiva	mEnAka-pramuKEH-iva kzitiDarEH-udBrAnta-dantAvalEH kallolEH-iva
   ghoṭakairbhaṭavarairmātaṅganakrairiva /	GowakEH-Bawa-varEH-mAtaFga-nakrEH-iva /
   raicarlīyakulendunā svapatinā daityāriṇeva sphuṭaṃ senā sindhuriva prayāti	rEcarlIya-kula-indunA sva-patinA dEtya-ariNA-iva sPuwam senA sinDuH-iva prayAti
   nitarāṃ kenāpi durlaṅghatām // Ckc_8.*15 //	nitarAm kena-api durlaFGatAm // Ckd-_8.*15 //
   atra sindhoḥ senāyāśca	atra sinDoH senAyAH-ca
   durlaṅghatayābhidhīyamānasādṛśyayorupamānopameyabhāvavivakṣāyāṃ yathā	durlaFGatayA-aBiDIyamAna-sAdRSyayoH-upamAna-upameya-BAva-vivakzAyAm yaTA
   mainākādiśailānāṃ mātaṅgādīnāṃ samudrasenādharmāṇāṃ pratītasādṛśyānāṃ	mEnAka-Adi-SElAnAm mAtaFga-AdInAm samudrasenA-DarmANAm pratIta-sAdRSyAnAm
   pṛthak pṛthag dyotakaśabdayogādativistareṇāvayavinoravayavānāṃ ca	pRTak pRTak dyotaka-Sabda-yogAt-ati-vistareNa-avayavinoH-avayavAnAm ca
   yathocitaṃ sākalyena vākyārthayoraupamye bhaṅgiḥ seyaṃ sākalyavatī nāma	yaTocitam sAkalyena vAkya-arTayoH-Opamye BaFgiH sA-iyam sAkalyavatI nAma
   prakṛtirūpā prapañcoktiḥ /	prakRti-rUpA prapaQca-uktiH /
   ekadeśavatī yathā	eka-deSavatI yaTA
   vilasati siṅganṛpālo nāvakisalayasaṃpuṭairivāṅgulībhiḥ /	vilasati siFga-nRpAlaH nAvakisalaya-saMpuwEH-iva-aFgulIBiH /
   kusumairiva nakharucibhi- rviṭapayugaleneva bāhuyugalena // Ckc_8.*16 //	kusumEH-iva naKa-ruciBi rviwapa-yugalena-iva bAhu-yugalena // Ckd-_8.*16 //
   atra kalpavṛkṣanāyakayorupamānopameyabhāve vaktavye	atra kalpavRkza-nAyakayoH-upamAna-upameya-BAve vaktavye
   kalpavṛkṣalakṣaṇamupamānaṃ parityajya tadekadeśena sahopameyaikadeśo	kalpavRkza-lakzaNam-upamAnam parityajya tad-eka-deSena saha-upameya-eka-deSaH-
   bāhuyugalāśaṃsāvayavaiḥ (kisalaya) kisalayakusumaissaha	bAhu-yugalA-SaMsa-avayavEH (kisalaya) kisalaya-kusumEH-saha
   bhujayugāṅgānyaṅgulyaḥ nakharucayaśca pṛthak pṛthag	Buja-yuga-aFgAni-aFgulyaH naKa-rucayaH-ca pRTak pRTak-
   dyotakaśabdaprayogādvistareṇopamitānītīyamekadeśavatī nāma prakṛtarūpā	dyotaka-SabdaprayogAt-vistareNa-upamitAni-iti-iyam-ekadeSavatI nAma prakRta-rUpA
   prapañcopamā /	prapaQca-upamA /
   mālikā yathā	mAlikA yaTA
   karpūrairiva kaumudairiva kulaiḥ kāśairiva svarṇadī-kallolairiva	karpUrEH-iva kOmudEH-iva kulEH kASEH-iva svarNa-dI-kallolEH-iva
   kaitakairiva dalaiḥ kādambayūthairiva /	kEtakEH-iva dalEH kAdamba-yUTEH-iva /
   śrīgandhairiva śāradairiva ganaiḥ śītāṃśubiṃbairiva vyāptaṃ	SrI-ganDEH-iva SAradEH-iva ganEH SItAMSu-biMbEH-iva vyAptam
   siṅganarendrakīrtivibhavaiḥ trailokyamālokyate // Ckc_8.*17 //	siFga-narendra-kIrti-viBavEH trElokyam-Alokyate // Ckd-_8.*17 //
   atra nāyakakīrtirekaikaprakarṣapratītaye mālikāprakāreṇa	atra nAyaka-kIrtiH-eka-eka-prakarza-pratItaye mAlikA-prakAreNa
   karpūrādibhirupamīyata itīyaṃ mālikā nāma prakṛtarūpā prapañcopamā /	karpUra-AdiBiH-upamIyate iti-iyam mAlikA nAma prakRta-rUpA prapaQca-upamA /
   mekhalā yathā	meKalA yaTA
   prajñeva kīrtiramalā tava siṅgabhūpa prajñāpi khaḍga iva tīvratarā vibhāti	prajQA-iva kIrtiH-amalA tava siFga-BUpa prajQA-api KaxgaH iva tIvratarA viBAti
   khaḍgaḥ pratāpa iva śātravacittadāhī prāntān diśāṃ bhajati kīrtiriva	KaxgaH pratApaH iva SAtrava-citta-dAhI prAntAn diSAm Bajati kIrtiH-iva
   pratāpaḥ // Ckc_8.*18 //	pratApaH // Ckd-_8.*18 //
   atrābhidhīyamānasādṛsyānāṃ prajñādīnāṃ raśanānyāyena saṃkalayya	atra-aBiDIya-mAna-sAdRsyAnAm prajQA-AdInAm raSanA-nyAyena saMkalayya
   saprapañcatayā kathanātseyaṃ mekhalā nāma prakṛtarūpā prapañcopamā /	sa-prapaQca-tayA kaTanAt-sA-iyam meKalA nAma prakRta-rUpA prapaQca-upamA /
   uktā vikṛta rūpeti yānyā sāpi caturvidhā /	uktA vikRta rUpa-iti yA-anyA sA-api caturviDAH /
   viparyāsobhayotpādyānanvayākhyābhiraṅkitā // Ckc_8.17 //	viparyAsa-uBaya-utpAdyAnanvaya-AKyABiH-aFkitA // Ckd-_8.17 //
   tāsu viparyāsopamā yathā	tAsu viparyAsa-upamA yaTA
   koṇe kutracidāsatāṃ kariṇiki kroḍādayaḥ kecana	koNe kutracid-AsatAm kariNiki kroxa-AdayaH kecana
   prācīnāstadupāśrayānvayamamī doṣānna bhāṣāmahe /	prAcInAH-tad-upASraya-anvayam-amI dozAn-na BAzAmahe /
   keyūraṃ smaragasmarasya śayanaṃ śaurergirāṃ śāsitā śrīsiṅgakṣitināyakena	keyUram smaragasmarasya Sayanam SOreH-girAm SAsitA SrI-siFga-kziti-nAyakena
   samatāṃ śeṣāhirevārhati // Ckc_8.*19 //	samatAm Seza-ahiH-eva-arhati // Ckd-_8.*19 //
   atra pratīyamāne dharaṇīdhaureyatve śeṣādīnāmupamānatvaṃ	atra pratIyamAne DaraNI-DOreya-tve Seza-AdInAm-upamAna-tvam
   nāyakasyopameyatvamiti marvādāyāṃ varṇanīyasyātiśayaṃ vivakṣatā kenāpi	nAyakasya-upameya-tvam-iti marvAdAyAm varNanIyasya-atiSayam vivakzatA kena-api
   vaktā viparyāsādupamānopameyabhāvaḥ kalpita iti seyaṃ viparyāsopamā nāma	vaktA viparyAsAt-upamAna-upameya-BAvaH kalpitaH iti sA-iyam viparyAsopamA nAma
   vikṛtarūpā prapañcopamā /	vikRta-rUpA prapaQca-upamA /
   ubhayopamā yathā	uBaya-upamA yaTA
   śrīsiṅgabhūpālaka sādhurakṣā- māsadhuśikṣāṃ ca vitanvataste /	SrI-siFga-BUpAlaka sADu-H-akzA mAsaDu-SikzAm ca vitanvataH-te /
   anīkinīsindhurivānurundhe durlaṃghyatāṃ sindhuranīkinīva // Ckc_8.*20 //	anIkinI-sinDuH-iva-anurunDe durlaMGyatAm sinDuH-anIkinI-iva // Ckd-_8.*20 //
   atra	atra
   vāhinīnāthanāyakavāhinyoranyonyamupamānopameyabhāvavivakṣāyāmekatarapakṣe	vAhinI-nATa-nAyaka-vAhinyoH-anyonyam-upamAna-upameya-BAva-vivakzAyAm-ekatara-pakze
   prasiddhivaikṛtamitīyamubhayopamā nāma vikṛtarūpā prapañcopamā /	prasidDi-vEkRtam-iti-iyam-uBayopamA nAma vikRta-rUpA prapaQca-upamA /
   utpādyopamāno yathā	utpAdya-upamAnaH yaTA
   kālāpāṃ yadakalpapādapamahāśākhā samālaṃbate śrīsiṅgakṣitipālabāhuranayā	kAlApAm yat-akalpa-pAdapa-mahA-SAKA samAlaMbate SrI-siFga-kzitipAla-bAhuH-anayA
   tulyaḥ kṛpāṇojjvalaḥ /	tulyaH kRpANa-ujjvalaH /
   hemādrerupari sthite yadi vidhau pāścātyagaurāndhatā tacchatraṃ	hemAdreH-upari sTite yadi viDO pAScAtya-gOra-anDatA tat-Satram
   kṛtaśātakumbhakalaśaṃ jātopamānaṃ bhavet // Ckc_8.*21 //	kRta-SAtakumBa-kalaSam jAta-upamAnam Bavet // Ckd-_8.*21 //
   atra kalpapādapaśākhāyāḥ kālāhisaṃkalpamutpādyānayā sakṛpāṇo	atra kalpa-pAdapa-SAKAyAH kAla-ahi-saMkalpam-utpAdya-anayA sakRpANaH-
   nāyakapāṇirupamīyata iti seyamutpādyopamā nāma vikṛtarūpā prapañcopamā /	nAyaka-pANiH-upamIyate iti sA-iyam-utpAdya-upamA nAma vikRta-rUpA prapaQca-upamA /
   evamuttarārdhe 'pi yojanīyam /	evam-uttara-arDe api yojanIyam /
   ananvayopamā yathā	ananvaya-upamA yaTA
   śrīsiṅgabhūpatiriva bhāti śrīsiṅgabhūpatiḥ /	SrI-siFga-BUpatiH-iva BAti SrI-siFga-BUpatiH /
   akharvapratyarthimadavāraṇavāraṇe // Ckc_8.*22 //	aKarva-pratyarTi-mada-vAraNa-vAraNe // Ckd-_8.*22 //
   atropamānopameyabhāva ekasyaivānanvita itīyamananvayā nāma vikṛtā	atra-upamAna-upameya-BAvaH ekasya-eva-ananvitaH iti-iyam-ananvayA nAma vikRtA
   prapañcopamā /	prapaQca-upamA /
   upameyatayā yasmin upacāraprayogataḥ /	upameya-tayA yasmin upacAra-prayogataH /
   upamānaṃ virudhyota rūpakaṃ tannirūpitam // Ckc_8.18 //	upamAnam viruDya-uta rUpakam tat-nirUpitam // Ckd-_8.18 //
   prādhānyāttadidaṃ tredhā śabdārthobhayasaṃbhavāt /	prADAnyAt-tat-idam treDA Sabda-arTa-uBaya-saMBavAt /
   śabdapradhānaṃ prakṛtaṃ vikṛtaṃ ceti tad dvidhā // Ckc_8.19 //	Sabda-praDAnam prakRtam vikRtam ca-iti tat dviDA // Ckd-_8.19 //
   ādyantavikṛtaiśśabdairgrathitaṃ taccaturvidham /	Adi-anta-vikRtEH-SabdEH-graTitam tat-caturviDam /
   samastaṃ vyastamubhayaṃ saviśeṣaṇamityapi // Ckc_8.20 //	samastam vyastam-uBayam sa-viSezaNam-iti-api // Ckd-_8.20 //
   tatra samāsavadrūpakaṃ yathā	tatra samAsa-vat-rUpakam yaTA
   dhārā siṅgamahīpālakaravālapayomucaḥ /	DArA siFga-mahIpAla-karavAla-payomucaH /
   nirvāpayati vīrāṇāṃ pratāpadavapāvakam // Ckc_8.*23 //	nirvApayati vIrANAm pratApadava-pAvakam // Ckd-_8.*23 //
   atra sādṛśyādi vivakṣāyāmabhedopacāreṇopameyasya karavālasya payomugiva	atra sAdRSya-Adi vivakzAyAm-aBeda-upacAreNa-upameyasya karavAlasya payaH-mugiva
   payomugiti payomukpayodanirūpaṇīyatve sāmānyevādya	payaH-muj-iti payaH-muj-payoda-nirUpaNIya-tve sAmAni-eva-adya
   prayogādupamārthastirobhūtaḥ samāsaśca kṛta iti tadidaṃ samastaṃ nāma	prayogAt-upama-arTaH-tiroBUtaH samAsaH-ca kRtaH iti tat-idam samastam nAma
   prakṛtiśabdapradhānarūpakam /	prakRti-Sabda-praDAna-rUpakam /
   vyastaṃ yathā	vyastam yaTA
   śrīsiṅgakṣitināyakasya yaśasāṃ candreṇa sāndrā ruciḥ yatprāptā tapanaṃ	SrI-siFga-kziti-nAyakasya yaSasAm candreNa sAndrA ruciH yat-prAptA tapanam
   pratāmapabhito loke tadatyadbhutam /	pratAma-paBitaH loke tat-ati-adButam /
   evaṃ nāticamatkṛtaṃ tadanayoratyantamāśliṣyator āpatyātithayo bhavanti	evam na-ati-camat-kRtam tad-anayoH-atyantam-ASlizyatoH Apatya-atiTayaH Bavanti
