   śrī-harināma-cintāmaṇi	SrI--hari-nAma-cintAmaNi
   āsurika kāle pūje pīṭhe bhūme basi /	Asurika kAle pUje pIWe BUme basi /
   snapana samaye mūrti vāma haste sparśi' // HNC_14.35 //	snapana samaye mUrti vAma haste sparSi-a // HNS_14.35 //
   vāsi vā yācita phule devatā arcana /	vA-asi vA yAcita Pule devatAH arcanaH /
   pūjā kāle garva ukti ayathā ṣṭhīvana // HNC_14.36 //	pUjA kAle garvaH ukti ayaTA zWIvana // HNS_14.36 //
   tiryak puṇḍra dhare āra adhauta caraṇe /	tiryak puNxra Dare AraH aDOta caraNe /
   mandire praveśa kare pūjāra kāraṇe // HNC_14.37 //	mandire praveSa kare pUjAra kAraNe // HNS_14.37 //
   avaiṣṇava pakva kare deve nivedana /	avEzNava pakva kare deve nivedana /
   avaiṣṇave dekhāiyā karaye pūjana // HNC_14.38 //	avEzNave deKAiyA karaye pUjane // HNS_14.38 //
   viśvaksene nā pūjiyā kāpāli dekhiyā /	viSvaksene nA pUjiyA kApAli deKiyA /
   hari pūje nakha jale śrī mūrti smariyā // HNC_14.39 //	hari pUje naKa jale SrI mUrti smariyAH // HNS_14.39 //
   gharmāmbu-saṃspṛṣṭa jale karaye arcana /	Garma-ambu--saMspRzwa jale karaye arcanaH /
   kṛṣṇera śapatha kare nirmālya laṅghana // HNC_14.40 //	kRzNera SapaTa kare nirmAlya laFGanaH // HNS_14.40 //
   ei saba kāryye haya sevā aparādha /	ei saba kAryye haya sevA aparADa /
   sevākārī janera yāhāte bhakti bādha // HNC_14.41 //	sevA-AkArI janera yAhAte Bakti bADa // HNS_14.41 //
   sevāparādha yāhāra pakṣe yāhā, tāhā tini varjjana karibena	sevA-aparADa yAhAra pakze yAhA, tAhA tini varjjana karibena
   śrī-mūrti sambandhe yāra bhajana pūjana /	SrI-mUrti sambanDe yAra Bajana pUjane /
   sevā aparādha teṅha karun varjjana // HNC_14.42 //	sevA aparADa teFha karun varjjanaH // HNS_14.42 //
   vaiṣṇava sarvadā nāma sevā aparādha /	vEzNava sarvadA nAma sevA aparADa /
   varjiyā śrī-kṛṣṇa-sevā karuna āsvāda // HNC_14.43 //	varjiyA SrI--kRzNa--sevA karunaH AsvAda // HNS_14.43 //
   ei saba aparādha madhye yāṅra yāhā /	ei sabaH aparADa maDye yAFra yAhAH /
   sambandhe paḍibe tāṅra varjjanīya tāhā // HNC_14.44 //	sambanDe paxibe tAFra varjjanIya tAhE // HNS_14.44 //
   nāmāparādha sakala vaiṣṇava-mātrera-i varjjanīya	nAma-aparADa sakala vEzNava--mAtreH-a-i varjjanIya
   kintu nāma aparādha sakala vaiṣṇava /	kintu nAma aparADa sakala vEzNava /
   sarva kāla tyaji' labhe bhaktira vaibhava // HNC_14.45 //	sarva kAla tyaji-a laBe Baktira vEBava // HNS_14.45 //
   bhāva-sevāya sevāparādha vicāra svalpa	BAva--sevAya sevA-aparADa vicAra su-alpa
   śrī-mūrti virahe yini nirjjanete basi' /	SrI-mUrti virahe yini nirjjanete basi-a /
   bhajana-kāraṇe bhāva mārge aharniśi // HNC_14.46 //	Bajana--kAraNe BAva mArge aharniSi // HNS_14.46 //
   nāma aparādha sadā varjjanīya tāṅra /	nAma aparADa sadA varjjanIya tAFraH /
   nāma aparādha daśa sarva kleśādhāra // HNC_14.47 //	nAma aparADa daSa sarva kleSa-ADAra // HNS_14.47 //
   nāma aparādha gate bhāva sevā haya /	nAma aparADa gate BAva sevA haya /
   ataeva aparādha tāhe nāhi raya // HNC_14.48 //	ataeva aparADa tAhe nAhi rayaH // HNS_14.48 //
   nāma smaraṇa kārīdera bhāva-sevāi kartavya	nAma smaraNa kArIdera BAva-sevAi kartavya
   śrī nāma smaraṇe bhāva sevāra udaya /	SrI nAma smaraNe BAva sevAraH udaya /
   tomāra kṛpāya prabhu jīve bhāgyodaya // HNC_14.49 //	tomAra kRpAya praBu jIve BAgya-udayaH // HNS_14.49 //
   bhaktira sādhana yata āchaya prakāra /	Baktira sADana yatas ACaya prakAra /
   se saba carame deya nāme prema sāra // HNC_14.50 //	se sa-ba carame deya nAme prema sAraH // HNS_14.50 //
   ataeva nāma laya nāma rase maje /	ataeva nAma laya nAma rase maje /
   anya ye prakāra saba tāhā nāhi bhaje // HNC_14.51 //	anyaH ye prakAra sa-baH tAhAH nAhi Baje // HNS_14.51 //
   haridāsa ājñā bale akiñcana jana /	haridAsaH AjQA bale akiQcana janaH /
   hari-nāma-cintāmaṇi karilā kīrtana // HNC_14.52 //	hari-nAma---cintAmaNi karilA kIrtanaH // HNS_14.52 //
   pañcadaśa pariccheda	paQcadaSa paricCeda
   bhajana-praṇālī	Bajana--praNAlI
   gadāi gaurāṅga jaya jaya nityānanda /	gadAi gOra-aFga jaya jaya nitya-Ananda /
   jaya sītānātha jaya gaura-bhakta-vṛnda // HNC_15.1 //	jaya sItAnATa jaya gOra-Bakta-vRnda // HNS_15.1 //
   saba chāḍi hari-nāma je kare bhajana /	saba CAxi hari-nAma je kare BajanaH /
   jaya jaya bhāgyavān sei mahājana // HNC_15.2 //	jaya jaya BAgyavAn sei mahAjanaH // HNS_15.2 //
   prabhu bale hari-dāsa tumi bhakti-bale /	praBu bale hari-dAsa tumi Bakti-bale /
   peyecha sakala jñāna e jagatī-tale // HNC_15.3 //	peyA-iCa sakala jQAnaH e jagatI--tale // HNS_15.3 //
   sarva-veda nāce dekhi tomāra jihvāya /	sarva-veda nAce deKi tomAra jihvAya /
   sakala siddhānta dekhi tomāra kathāya // HNC_15.4 //	sakala sidDAnta deKi tomAra kaTAya // HNS_15.4 //
   nāma-rasa-jijñāsā	nAma--rasa-jijQAsA
   ebe spaṣṭa bala nāma-rasa ki prakāra /	ebe spazwa bala nAma-rasa ki prakAra /
   ki rūpe labhibe jīva tāhe adhikāra // HNC_15.5 //	ki rUpe laBibe jIva tAhe aDikAraH // HNS_15.5 //
   haridāsa mahā-preme kare nivedana /	haridAsa mahA--preme kare nivedana /
   tomāra preraṇā-bale kariba varṇana // HNC_15.6 //	tomAra preraNA--bale kariba varNana // HNS_15.6 //
   rasa-tattva	rasa--tattva-
   śuddha-tattva para-tattva yei vastu siddha /	SudDa--tattva para-tattva yei vastu sidDaH /
   rasa nāme sarva-vede tāhāi prasiddha // HNC_15.7 //	rasa nAme sarva-vede tAhAi prasidDaH // HNS_15.7 //
   sei se akhaṇḍa rasa para-brahma tattva /	sei se aKaNxa rasa para-brahma tat-tva /
   ananta ānanda-dhāma carama mahattva // HNC_15.8 //	anantaH Ananda--DAma carama mahat-tva // HNS_15.8 //
   śakti śaktimān rūpe viśeṣa tāhāya /	Sakti SaktimAn rUpe viSeza tAhAya /
   bheda nāi bheda sama darśanete bhāya // HNC_15.9 //	Beda nAi Beda sama darSanete BAyaH // HNS_15.9 //
   śaktimān sudurlakṣya śakti prakāśinī /	SaktimAn sudurlakzya Sakti prakASinI /
   trividha śaktira kriyā viśva-vikāśinī // HNC_15.10 //	triviDa Saktira kriyA viSva--vikASinI // HNS_15.10 //
   cic-chakti-dvārā vastu-prakāśa	cic--Sakti-dvArA vastu--prakASa
   cic-chakti-svarūpe prakāśaye vastu rūpa /	cic--Sakti--svarUpe prakASaye vastu rUpaH /
   vastu nāma vastu dhāma tat-kriyā svarūpa // HNC_15.11 //	vastu nAma vastu DAma tat-kriyA svarUpaH // HNS_15.11 //
   kṛṣṇa se parama vastu śyāma tāra rūpa /	kRzNa se parama vastu SyAma tAra rUpaH /
   kṛṣṇa-dhāma golokādi līlāra svarūpa // HNC_15.12 //	kRzNa--DAma go-loka-Adi lIlAra svarUpaH // HNS_15.12 //
   nāma dhāma rūpa guṇa līlā ādi yata /	nAma DAma rUpa guNa lIlA Adi yatas /
   sakala-i akhaṇḍādvaya jñāna antargata // HNC_15.13 //	sakala-i aKaNxAdvaya jQAna antargataH // HNS_15.13 //
   vicitratā yata saba parā śakti karma /	vicitra-tA yata saba parA Sakti karma /
   kṛṣṇa dharmī parā śakti kṛṣṇa nitya karma // HNC_15.14 //	kRzNa DarmI parA Sakti kRzNa nitya karma // HNS_15.14 //
   dharma-dharmī bheda nāi akhaṇḍa advaye /	Darma-DarmI Beda nAi aKaNxaH advaye /
   vicitra viśeṣa mātra sac-cin-nilaye // HNC_15.15 //	vicitra viSeza mA-atra sa-c-cin--nilaye // HNS_15.15 //
   māyā-śaktira svarūpa	mAyA-SaktiH-a svarUpa
   sei śakti-chāyā eka māyā saṃjñā pāya /	sei Sakti-CAyA eka mAyA saMjQA pAyo /
   bahiraṅga viśva sṛje kṛṣṇera icchāya // HNC_15.16 //	bahis-aFga viSva sRje kRzNeraH icCAya // HNS_15.16 //
   jīva-śakti	jIva-Sakti
   bhedābheda-mayī jīva-śakti jīva-gaṇe /	Beda-aBeda-mayI jIva-Sakti jIva--gaNe /
   tāṭasthye prakāśe kṛṣṇa sevāra kāraṇe // HNC_15.17 //	tAwasTye prakASe kRzNa sevAra kAraNe // HNS_15.17 //
   dui prakāra daśā viśiṣṭa jīva	dui prakAra daSA viSizwa jIva
   nitya-baddha nitya-mukta jīva dvi-prakāra /	nitya-badDa nitya-muktaH jIva dvi-prakAra /
   nitya mukte nitya kṛṣṇa sevā adhikāra // HNC_15.18 //	nitya mukte nitya kRzNa sevA aDikAraH // HNS_15.18 //
   nitya baddha māyā guṇe karaye saṃsāra /	nitya badDa mAyA guNe karaye saMsAra /
   bahirmukha antarmukha bhede dvi-prakāra // HNC_15.19 //	bahirmuKa antarmuKa Bede dvi-prakAra // HNS_15.19 //
   antarmukha sādhu-saṅge kṛṣṇa-nāma pāya /	antarmuKa sADu--saFge kRzNa--nAma pAyo /
   kṛṣṇa-nāma-prabhāvete kṛṣṇa-dhāme yāya // HNC_15.20 //	kRzNa-nAma--praBO=-ete kRzNa--DAme yAyaH // HNS_15.20 //
   rasa nāma-svarūpa	rasa nAma--svarUpa
   nāma ta akhaṇḍa rasa kalikā tāhāra /	nAma te aKaNxa rasa kalikA tAhAraH /
   kṛṣṇa ādi saṃjñā-rūpe viśvete pracāra // HNC_15.21 //	kRzNaH Adi saMjQA--rUpe viSvete pracAra // HNS_15.21 //
   rasa rūpa-svarūpa	rasa rUpa--svarUpa
   svalpa sphuṭa kalikā se rūpa manohara /	svalpa sPuwa kalikA se rUpa manohara /
   śrī-goloke vṛndāvane śrī-śyāmasundara // HNC_15.22 //	SrI--goloke vRndAvane SrI--SyAmasundara // HNS_15.22 //
   rasa guṇa-svarūpa	rasa guNa--svarUpa
   saurabhita kalikā se catuḥ-ṣaṣṭhi-guṇa /	sOraBita kalikA se catur--zazWi--guNaH /
   prakāśe nāmera tattva jānena nipuṇa // HNC_15.23 //	prakASe nAmera tattva jAnena nipuNa // HNS_15.23 //
   rasa līlā-svarūpa	rasa lIlA--svarUpa
   pūrṇa prasphuṭita nāma kusuma sundara /	pUrNa prasPuwita nAma kusuma sundara /
   aṣṭa-kāla nitya-līlā prakṛtira para // HNC_15.24 //	azwa-kAla nitya--lIlA prakRtiH-a paraH // HNS_15.24 //
   bhakti-svarūpa	Bakti-svarUpa
   jīve nāma kṛpodaye svarūpa hlādinī /	jIve nAma kRpA-udaye svarUpa hlAdinI /
   saṃvitera sāra-yutā bhakti-svarūpiṇī // HNC_15.25 //	saMvitera sAra--yutA Bakti--svarUpiNI // HNS_15.25 //
   bhakti-kriyā	Bakti-kriyA
   āvirbhūta haye nāme prasphuṭita kari /	AvirBUta haye nAme prasPuwita kari /
   rasera sāmagrī prakāśaye sarveśvarī // HNC_15.26 //	rasera sAmagrI prakASaye sarva-ISvarI // HNS_15.26 //
   viśuddha cinmaya jīva labhiyā svarūpa /	viSudDa cit-maya jIva laBiyA svarUpa /
   sei rase praveśe ei aparūpa // HNC_15.27 //	sei rase praveSe ei aparUpa // HNS_15.27 //
   rasera vibhāva ālambana	rasera viBAvaH Alambana
   rasera vibhāva sei tattva ālambana /	rasera viBAva sei tattvaH Alambana /
   tad-āśraya bhakta, tad-viṣaya kṛṣṇa-dhana // HNC_15.28 //	tat--ASraya Bakta, tat--vizaya kRzNa-Dana // HNS_15.28 //
   nāma kare avirata bhakta mahāśaya /	nAma kare avirata Bakta mahA-ASayaH /
   kṛpā kari rūpa-guṇa-līlāra udaya // HNC_15.29 //	kRpA kari rUpa-guNa--lIlAraH udaya // HNS_15.29 //
   rasera vibhāva uddīpana	rasera viBAvaH uddIpana
   uddīpana kṛṣṇa-rūpa guṇādika yata /	uddIpana kRzNa--rUpa guNa-Adika yata /
   ālambana uddīpana vibhāve saṃyuta // HNC_15.30 //	AlambanaH uddIpana viBAve saMyuta // HNS_15.30 //
   vibhāva haite anubhāva	viBAva ha-ete anuBAva
   vibhāva sampūrṇa haile anubhāva haya /	viBAva sampUrNa ha-ele anuBAva haya /
   premera vikāra saba śuddha prema-maya // HNC_15.31 //	premera vikAra sabaH SudDa prema-mayaH // HNS_15.31 //
   sañcāri-bhāva o sāttvika-miśre vibhāva kriyā kare, sthāyī-bhāva-i rasa	saQcAri--BAvaH aH sAttvika--miSre viBAva kriyA kare, sTAyI-BAva-i rasa
   haya	haya
   sañcārī sāttvika krame udita ha-ile /	saQcArI sAttvika krame udita ha-ile /
   sthāyībhāva rasa haya sarva-śāstra bale // HNC_15.32 //	sTAyIBAva rasa haya sarva-SAstra bale // HNS_15.32 //
   tāhā pāibāra krama	tAhA pAibAra krama
   sei rasa sarva-sāra siddhi-sāra jāni /	sei rasa sarva-sAra sidDi-sAra jAni /
   parama puruṣa artha sarva-śāstre māni // HNC_15.33 //	parama puruza arTa sarva-SAstre mAni // HNS_15.33 //
   bhakty-unmukha jīva śuddha-gurura kṛpāya /	Bakty-unmuKa jIva SudDa--gurura kRpAya /
   śrī-yugala brahma-nāma saubhāgyete pāya // HNC_15.34 //	SrI---yugala brahma-nAma sOBAgyete pAyo // HNS_15.34 //
   tulasī-mālāya nāma saṅkhyā kari smare /	tulasI-mAlAya nAma saFKyA kari smare /
   athavā kīrtana kare parama ādare // HNC_15.35 //	aTavA kIrtana kare paramaH Adare // HNS_15.35 //
   eka grantha saṅkhyā kari ārambhibe nāma /	eka granTa saFKyA kari AramBibe nAma /
   krame tina lakṣa smari pūre manaskāma // HNC_15.36 //	krame tina lakza smari pUre manaskAmaH // HNS_15.36 //
   saṅkhyā madhye kichu nāma karibe kīrtana /	saFKyA maDye kiCu nAma karibe kIrtana /
   tāte sarvendriya sphūrti ānanda-nartana // HNC_15.37 //	tAte sarva-indriya sPUrti Ananda-nartana // HNS_15.37 //
   nāma nava-vidha aṅga karaya āśraya /	nAma nava-viDa aFga karayaH ASraya /
   tathāpi kīrtana smṛti sarva-śreṣṭha haya // HNC_15.38 //	taTA-api kIrtana smRti sarva--SrezWa haya // HNS_15.38 //
   arcana-mārga o śravaṇa-kīrtanera adhikāra-bhede kriyā-bheda	arcana--mArga aH SravaNa-kIrtanera aDikAra-Bede kriyA--Beda
   arcana-mārgete gāḍhatara ruci yāṅra /	arcana--mArgete gAXatara ruci yAFraH /
   śravaṇa-kīrtana-siddhi tāhāte tāṅhāra // HNC_15.39 //	SravaNa--kIrtana--sidDi tAhAte tAFhAraH // HNS_15.39 //
   nāme aikāntikī rati ha-ibe yāṅhāra /	nAme EkAntikI rati ha-ibe yAFhAra /
   śravaṇa-kīrtana-smṛti kevala tāṅhāra // HNC_15.40 //	SravaNa--kIrtana--smRti kevala tAFhAra // HNS_15.40 //
   nāma śravaṇa-kīrtana-smaraṇe ye krama	nAma SravaNa-kIrtana-smaraNe ye krama
   sevā nati dāsya sakhya ātma-nivedana /	sevA nati dAsya saKyaH Atma--nivedana /
   sahaje nāmera saṅge haya pravartana // HNC_15.41 //	sahaje nAmera saFge haya pravartana // HNS_15.41 //
   nāma-nāmī eka tattva viśvāsa kariyā /	nAma--nAmI eka tat-tva viSvAsa kariyA /
   daśa aparādha chāḍi nirjane basiyā // HNC_15.42 //	daSa aparADa CAxi nirjane basiyAH // HNS_15.42 //
   ati svalpa dine nāma ha-iyā sadaya /	ati su-alpa dine nAma ha-iyA sadayaH /
   śrī-śyāmasundara-rūpe hayena udaya // HNC_15.43 //	SrI--SyAma-sundara--rUpe hayena udaya // HNS_15.43 //
   yabe nāma-rūpe aikya hayata sādhane /	yabe nAma--rUpe Ekya hayata sADane /
   nāma laite rūpa āise citte sarva-kṣaṇe // HNC_15.44 //	nAma lEte rUpaH Aise citte sarva--kzaNe // HNS_15.44 //
   tāra kichu dine rūpe guṇa kari yoga /	tAra kiCu dine rUpe guNa kari yogaH /
   śrī-nāma smaraṇe guṇa karaya sambhoga // HNC_15.45 //	SrI-nAma smaraNe guNa karaya samBogaH // HNS_15.45 //
   nāma-rūpa-guṇera ekatā	nAma--rUpa-guNeraH eka-tA
   svalpa-dine nāma rūpa guṇa eka haya /	su-alpa-dine nAma rUpa guNaH eka haya /
   nāma laite sarva-kṣaṇe tinera udaya // HNC_15.46 //	nAma lEte sarva--kzaNe tineraH udaya // HNS_15.46 //
   upāsanā mantra dhyāna mayī	upAsanA mantra DyAna mayI
   mantra dhyāna mayī ei nāma upāsanā /	mantra DyAna mayI ei nAma upAsanAH /
   prāthamika dhārā jāni kare vibhāvanā // HNC_15.47 //	prATamika DArA jAni kare viBAvanA // HNS_15.47 //
   smṛti kāle yoga pīṭhe kalpa-druma-tale /	smRti kAle yoga pIWe kalpa-druma-tale /
   gopa-gopī-vṛte kṛṣṇe dekhe kutūhale // HNC_15.48 //	gopa-gopI-vRte kRzNe deKe kutUhale // HNS_15.48 //
   sāttvika-vikāra saba haya prasphuṭita /	sAttvika-vikAra sa-ba haya prasPuwitaH /
   bhajana ānande bhakta haya pulakita // HNC_15.49 //	Bajane Anande Bakta haya pulakitaH // HNS_15.49 //
   krame yabe nāma sva-saurabhe praphullita /	krame yabe nAma sva--sOraBe praPullitaH /
   aṣṭa-kāla kṛṣṇa-līlā ha-ibe udita // HNC_15.50 //	azwa-kAla kRzNa--lIlA ha-ibe uditaH // HNS_15.50 //
   svārasikī upāsanā	svArasikI upAsanA
   svārasikī upāsanā ha-ibe udaya /	svArasikI upAsanAH ha-ibe udaya /
   līlocita pīṭhe kṛṣṇe darśana karaya // HNC_15.51 //	lIlA-ucita pIWe kRzNe darSana karayaH // HNS_15.51 //
   saṅge saṅge guru-kṛpā siddha-svarūpete /	saFge saFge guru-kRpA sidDa--svarUpete /
   līlāya praveśe bhakta sakhīra saṅgete // HNC_15.52 //	lIlAya praveSe Bakta saKIra saFgete // HNS_15.52 //
   mahābhāva svarūpiṇī vṛṣabhānu-sutā /	mahABAva svarUpiNI vRzaBa-anu-sutA /
   tāṅra anugata bhakti sadā prema-yutā // HNC_15.53 //	tAFra anugata Bakti sadA prema--yutAH // HNS_15.53 //
   sakhī ājñā mate kare yugala-sevana /	saKI AjQA mate kare yugala-sevana /
   mahā-preme magna haya se rasika jana // HNC_15.54 //	mahA--preme magna haya se rasika janaH // HNS_15.54 //
   liṅga-bhaṅge vastu-siddhi	liFga-BaFge vastu--sidDi
   sādhana-bhajana-siddhi lāgālāgi tāya /	sADana--Bajana--sidDi lAgAlAgi tAya /
   liṅga-bhaṅge vastu-siddhi tomāra kṛpāya // HNC_15.55 //	liFga-BaFge vastu--sidDi tomAra kRpAya // HNS_15.55 //
   tad-uttarāvasthā varṇana haya nā, kevala anubhūta haya	tad--uttara-avasTA varNana haya nA, kevala anuBUta haya
   ihāra adhika āra vākya nāhi cale /	iha-Ara aDikaH Ara vAkya na-ahi cale /
   tad uttara anubhava labhi kṛpā-bale // HNC_15.56 //	tat uttara anuBava laBi kRpA--bale // HNS_15.56 //
   ei ta ujjvala rasa parama sādhana /	ei te ujjvala rasa parama sADana /
   ihāte niścaya mile kṛṣṇa prema dhana // HNC_15.57 //	iha-ate niScaya mile kRzNa prema DanaH // HNS_15.57 //
   sādhane ekādaśa bhāva	sADane ekAdaSa BAva
   sādhite ujjvala-rasa āche bhāva ekādaśa	sADite ujjvala--rase ACe BAvaH ekAdaSa
   sambandha vayasa nāma rūpa /	sambanDa vayasa nAma rUpaH /
   yūtha veśa ājñā-vāsa sevā parākāṣṭhāśvāsa	yUTa veSaH AjQA-vAsa sevA parAkAzWa-ASvAsa
   pālya-dāsī ei aparūpa // HNC_15.58 //	pAlya--dAsI ei aparUpa // HNS_15.58 //
   bhāva sādhane pañca-daśā	BAva sADane paQca-daSA
   ei ekādaśa bhāva sampūrṇa sādhane /	ei ekAdaSa BAva sampUrNa sADane /
   pañca daśā lakṣya haya sādhaka jīvane // HNC_15.59 //	paQca daSA lakzya haya sADaka jIvane // HNS_15.59 //
   śravaṇa varaṇa āra smaraṇa āpana /	SravaNa varaNaH Ara smaraNaH Apane /
   sampatti e pañca-vidha daśāya gaṇana // HNC_15.60 //	sampatti e paQca-viDa daSAya gaNana // HNS_15.60 //
   prathama śravaṇa daśā	praTama SravaNa daSA
   nijāpekṣā śreṣṭha śuddha-bhāvuka ye jana /	nija-apekzA SrezWa SudDa-BAvuka ye janaH /
   bhāva-mārge gurudeva sei mahājana // HNC_15.61 //	BAva--mArge guru-deva sei mahAjanaH // HNS_15.61 //
   tāṅhāra śrīmukhe bhāva-tattvera śravaṇa /	tAFhAra SrImuKe BAva--tattvera SravaNaH /
   ha-ile śravaṇa-daśā haya prakaṭana // HNC_15.62 //	ha-ile SravaNa-daSAH haya prakawana // HNS_15.62 //
   bhāva-tattva	BAva--tattva-
   bhāva-tattva dvi-prakāra karaha vicāra /	BAva--tattva dvi-prakAra karaha vicAra /
   nija ekādaśa bhāva kṛṣṇa-līlā āra // HNC_15.63 //	nija ekAdaSa BAva kRzNa--lIlA AraH // HNS_15.63 //
   krame varaṇa daśā prāpti	krame varaNa daSA prApti
   rādhā-kṛṣṇa aṣṭa-kāla yei līlā kare /	rADA--kRzNa azwa-kAla yei lIlA kare /
   tāhāra śravaṇe lobha haya ataḥpare // HNC_15.64 //	tAhAra SravaNe loBa haya atas-pare // HNS_15.64 //
   lobha ha-ile guru-pade jijñāsā udaya /	loBa ha-ile guru-pade jijQAsA udaya /
   kemane pāiba līlā kaha mahāśaya // HNC_15.65 //	kemane pAiba lIlA kaha mahA-ASayaH // HNS_15.65 //
   gurudeva kṛpā kari karibe varṇana /	guru-deva kRpA kari karibe varNana /
   līlā-tattve ekādaśa bhāva-saṅghaṭana // HNC_15.66 //	lIlA--tattve ekAdaSa BAva--saFGawana // HNS_15.66 //
   prasanna ha-iyā prabhu karibe ādeśa /	prasanna ha-iyA praBu karibe AdeSaH /
   ei bhāve līlā-madhye karaha praveśa // HNC_15.67 //	ei BAve lIlA--maDye karaha praveSa // HNS_15.67 //
   śuddha rūpe siddha bhāva kariyā śravaṇa /	SudDa rUpe sidDa BAva kariyA SravaNaH /
   sei bhāva svīya citte karibe varaṇa // HNC_15.68 //	sei BAva svIya citte karibe varaNaH // HNS_15.68 //
   nija-ruci śrī-guru-devake balibe	nija-ruci SrI--guru--devake balibe
   varaṇa kālete nija ruci vicāriyā /	varaNa kAlete nija ruci vicAriyAH /
   guru-pade jānāibe sarala ha-iyā // HNC_15.69 //	guru-pade jAnAibe sarala ha-iyAH // HNS_15.69 //
   prabhu tumi kṛpā kari yei paricaya /	praBu tumi kRpA kari yei paricaya /
   dile more tāhe mora pūrṇa prīti haya // HNC_15.70 //	dile more tAhe mora pUrNa prIti haya // HNS_15.70 //
   svabhāvataḥ mora ei bhāve āche ruci /	svaBAvataH moraH ei BAve ACe ruci /
   ataeva ājñā śire dhari hye śuci // HNC_15.71 //	ataeva AjQA Sire Dari hye Suci // HNS_15.71 //
   anya-ruci ha-ile gurudeva anya-bhāva dibena	anya-ruci ha-ile guru-deva anya-BAva dibena
   ruci yadi nahe tabe akapaṭa mane /	ruci yadi na-he tabe akapawa mane /
   nivedibe nija-ruci śrī-guru-caraṇe // HNC_15.72 //	nivedibe nija-ruci SrI--guru--caraNe // HNS_15.72 //
   vicāriyā gurudeva dibe anya-bhāva /	vicAriyAH guru-deva dibe anya-BAva /
   tāhe ruci ha-ile prakāśibe nija-bhāva // HNC_15.73 //	tAhe ruci ha-ile prakASi-be nija-BAva // HNS_15.73 //
