   atha śrīvāmanapurāṇam	aTa SrIvAmanapurANam
   brāhmaṇa uvāca /	brAhmaNaH uvAca /
   guroryanna virodhāya yanna dharmoparodhakam /	guroH yat na viroDAya yat na Darma uparoDakam /
   tatkariṣyāmyahaṃ rakṣo yanna vrataharaṃ mama // VamP_59.49 //	tat karizyAmi aham rakzaH yat na vrata haram mama // VamP_59.49 //
   rākṣasa uvāca /	rAkzasaH uvAca /
   mayā nisargato brahman jātidoṣād viśeṣataḥ /	mayA nisargataH brahman jAti dozAt viSezataH /
   nirvivekena cittena pāpakarma sadā kṛtam // VamP_59.50 //	nirvivekena cittena pApa karma sadA kRtam // VamP_59.50 //
   ābālyānmama pāpeṣu na dharmeṣu rataṃ manaḥ /	AbAlyAt mama pApezu na Darmezu ratam manaH /
   tatpāpāsaṃkṣayānmokṣaṃ prāpnuyāṃ yena tad vada // VamP_59.51 //	tad pApa asaMkzayAt mokzam prApnuyAm yena tat vada // VamP_59.51 //
   yāni pāpāni karmāṇi bālatvāccaritāni ca /	yAni pApAni karmANi bAla tvAt caritAni ca /
   duṣṭāṃ yonimimāṃ prāpya tanmuktiṃ kathaya dvija // VamP_59.52 //	duzwAm yonim imAm prApya tad muktim kaTaya dvija // VamP_59.52 //
   yadyetad dvijaputra tvaṃ samākhyāsyasyaśeṣataḥ /	yadi etat dvija putra tvam samAKyAsyasi aSezatas /
   tataḥ kṣudhārtānmattastvaṃ niyataṃ mokṣamāpsyasi // VamP_59.53 //	tatas kzuDA ArtAt mattaH tvam niyatam mokzam Apsyasi // VamP_59.53 //
   na cet tatpāpaśīlo 'hamatyarthaṃ kṣutpipāsitaḥ /	na ced tad pApa SIlaH aham atyarTam kzuD pipAsitaH /
   ṣaṣṭhe kāle nṛśaṃsātmā bhakṣayiṣyāmi nirghṛṇaḥ // VamP_59.54 //	zazWe kAle nRSaMsa AtmA BakzayizyAmi nirGRNaH // VamP_59.54 //
   pulastya uvāca /	pulastyaH uvAca /
   evamukto munisutastena ghorema rakṣasā /	evam uktaH muni sutaH tena Gorema rakzasA /
   cintāmavāpa mahatīmaśaktastadudīraṇe // VamP_59.55 //	cintAm avApa mahatIm aSaktaH tad udIraNe // VamP_59.55 //
   sa vimṛśya ciraṃ vipraḥ śaraṇaṃ jātavedasam /	sa vimRSya ciram vipraH SaraNam jAtavedasam /
   jagāma jñānadānāya saṃśayaṃ paramaṃ gataḥ // VamP_59.56 //	jagAma jQAna dAnAya saMSayam paramam gataH // VamP_59.56 //
   yadi śuśruṣito vahnirguruśuśrūṣaṇādanu /	yadi SuSruzitaH vahniH guru SuSrUzaNAt anu /
   vratāni vā sucīrṇāni saptārciḥ pātu māṃ tataḥ // VamP_59.57 //	vratAni vA su cIrNAni saptArciH pAtu mAm tatas // VamP_59.57 //
   na mātaraṃ na pitaraṃ gauraveṇa yathā gurum /	na mAtaram na pitaram gOraveNa yaTA gurum /
   sarvadaivāvagacchāmi tathā māṃ pātu pāvakaḥ // VamP_59.58 //	sarva dA eva avagacCAmi taTA mAm pAtu pAvakaH // VamP_59.58 //
   yathā guruṃ na manasā karmaṇā vacasāpi vā /	yaTA gurum na manasA karmaNA vacasA api vA /
   avajānāmyahaṃ tena pātu satyena pāvakaḥ // VamP_59.59 //	avajAnAmi aham tena pAtu satyena pAvakaH // VamP_59.59 //
   ityevaṃ manasā satyān kurvataḥ śapathān punaḥ /	iti evam manasA satyAn kurvataH SapaTAn punar /
   saptarciṣā samādiṣṭā prādurāsīt sarasvatī // VamP_59.60 //	saptarcizA samAdizwA prAdurAsIt sarasvatI // VamP_59.60 //
   sā provāca dvijasutaṃ rākṣasagrahaṇākulam /	sA provAca dvija sutam rAkzasa grahaNa Akulam /
   mā bhairdvijasutāhaṃ tvāṃ mokṣayiṣyāmi saṃkaṭāt // VamP_59.61 //	mA BEH dvija sutA aham tvAm mokzayizyAmi saMkawAt // VamP_59.61 //
   yadasya rakṣasaḥ śreyo jihvāgre saṃsthitā tava /	yat asya rakzasaH SreyaH jihvA agre saMsTitA tava /
   tat sarvaṃ kathayiṣyāmi tato mokṣamavāpsyasi // VamP_59.62 //	tat sarvam kaTayizyAmi tatas mokzam avApsyasi // VamP_59.62 //
   adṛśyā rakṣasā tena proktvetthaṃ sā sarasvatī /	adRSyA rakzasA tena proktvA itTam sA sarasvatI /
   adarśānaṃ gatā so 'pi dvijaḥ prāha niśācaram // VamP_59.63 //	adarSAnam gatA saH api dvijaH prAha niSAcaram // VamP_59.63 //
   brāhmaṇa uvāca /	brAhmaNaH uvAca /
   śruyatāṃ tava yacchreyastathānyeṣāṃ ca pāpinām /	SruyatAm tava yat SreyaH taTA anyezAm ca pApinAm /
   samastapāpaśuddhyarthaṃ puṇyopacayadaṃ ca yat // VamP_59.64 //	samasta pApa SudDi arTam puNya upacaya dam ca yat // VamP_59.64 //
   prātarutthāya japtavyaṃ madhyāhne 'hnakṣaye 'pi vā /	prAtar utTAya japtavyam maDyAhne ahna kzaye api vA /
   asaṃśayaṃ sadā japyo japatāṃ puṣṭiśāntidaḥ // VamP_59.65 //	asaMSayam sadA japyaH japatAm puzwi SAnti daH // VamP_59.65 //
   oṃ hariṃ kuṣṇaṃ hṛṣīkeśaṃ vāsudevaṃ janārdanam /	om harim kuzNam hRzIkeSam vAsudevam janArdanam /
   praṇato 'smi jagannāthaṃ sa me pāpaṃ vyapohatu // VamP_59.66 //	praNataH asmi jagannATam sa me pApam vyapohatu // VamP_59.66 //
   carācarasuruṃ nāthaṃ govindaṃ śeṣaśāyinam /	carAcara surum nATam govindam Seza SAyinam /
   praṇato 'smi paraṃ devaṃ sa me pāpaṃ vyapohatu // VamP_59.67 //	praNataH asmi param devam sa me pApam vyapohatu // VamP_59.67 //
   śaṅkhinaṃ cakriṇaṃ śārṅgadhāriṇaṃ sragdharaṃ param /	SaFKinam cakriNam SArFga DAriNam sraj Daram param /
   praṇato 'smi patiṃ lakṣmyāḥ sa me pāpaṃ vyapohatu // VamP_59.68 //	praNataH asmi patim lakzmyAH sa me pApam vyapohatu // VamP_59.68 //
   dāmodaramudārākṣaṃ puṇḍarīkākṣamacyutam /	dAmodaram udAra akzam puNxarIkAkzam acyutam /
   praṇato 'smi stutaṃ stutyaiḥ sa me pāpaṃ vyapohatu // VamP_59.69 //	praNataH asmi stutam stutyEH sa me pApam vyapohatu // VamP_59.69 //
   nārāyaṇaṃ naraṃ śauriṃ mādhavaṃ madhusūdanam /	nArAyaNam naram SOrim mADavam maDusUdanam /
   praṇato 'smi dharādhāraṃ sa me pāpaṃ vyapohatu // VamP_59.70 //	praNataH asmi DarA ADAram sa me pApam vyapohatu // VamP_59.70 //
   keśavaṃ candrasūryākṣaṃ kaṃsakeśiniṣūdanam /	keSavam candra sUryAkzam kaMsa keSi nizUdanam /
   praṇato 'smi mahābāhuṃ sa me pāpaṃ vyapohatu // VamP_59.71 //	praNataH asmi mahA bAhum sa me pApam vyapohatu // VamP_59.71 //
   śrīvatsavakṣasaṃ śrīśaṃ śrīdharaṃ śrīniketanam /	SrIvatsa vakzasam SrISam SrIDaram SrIniketanam /
   praṇato 'smi śriyaḥ kāntaṃ sa me pāpaṃ vyapohatu // VamP_59.72 //	praNataH asmi SriyaH kAntam sa me pApam vyapohatu // VamP_59.72 //
   yamīśaṃ sarvabhūtānāṃ dhyāyanti yatayo 'kṣaram /	yam ISam sarva BUtAnAm DyAyanti yatayaH akzaram /
   vāsudevamanirdeśyaṃ tamasmi śaraṇaṃ gataḥ // VamP_59.73 //	vAsudevam anirdeSyam tamasmi SaraNam gataH // VamP_59.73 //
   samastālambanebhyo yaṃ vyāvṛttya manaso gatim /	samasta AlambaneByaH yam vyAvRttya manasaH gatim /
   dhyāyanti vāsudevākhyaṃ tamasmi śaraṇaṃ gataḥ // VamP_59.74 //	DyAyanti vAsudeva AKyam tamasmi SaraNam gataH // VamP_59.74 //
   sarvagaṃ sarvabhūtaṃ ca sarvasyādhāramīśvaram /	sarvagam sarva BUtam ca sarvasya ADAram ISvaram /
   vāsudevaṃ paraṃ brahma tamasmi śaraṇaṃ gataḥ // VamP_59.75 //	vAsudevam param brahma tamasmi SaraNam gataH // VamP_59.75 //
   paramātmānamavyaktaṃ yaṃ prayānti sumedhasaḥ /	paramAtmAnam avyaktam yam prayAnti sumeDasaH /
   karmakṣaye 'kṣayaṃ devaṃ tamasmi śaraṇaṃ gataḥ // VamP_59.76 //	karma kzaye akzayam devam tamasmi SaraNam gataH // VamP_59.76 //
   puṇyapāpavinirmuktā yaṃ praviśya punarbhavam /	puNya pApa vinirmuktAH yam praviSya punarBavam /
   na yoginaḥ prāpnuvanti tamasmi śaraṇaṃ gataḥ // VamP_59.77 //	na yoginaH prApnuvanti tamasmi SaraNam gataH // VamP_59.77 //
   brahma bhūtvā jagat sarvaṃ sadevāsuramānuṣam /	brahma BUtvA jagat sarvam sa deva asura mAnuzam /
   yaḥ sṛjatyacyuto devastamasmi śaraṇaṃ gataḥ // VamP_59.78 //	yaH sRjati acyutaH devaH tam asmi SaraNam gataH // VamP_59.78 //
   brahmatve yasya vaktrebhyaścaturvedamayaṃ vapuḥ /	brahma tve yasya vaktreByaH catur veda mayam vapuH /
   prabhuḥ purātano jajñe tamasmi śaraṇaṃ gataḥ // VamP_59.79 //	praBuH purAtanaH jajQe tamasmi SaraNam gataH // VamP_59.79 //
   brahmarūpadharaṃ devaṃ jagadyoni janārdanam /	brahma rUpa Daram devam jagat yoni janArdanam /
   sraṣṭṛtve saṃsthitaṃ sṛṣṭau praṇato 'smi sanātanam // VamP_59.80 //	srazwR tve saMsTitam sRzwO praNataH asmi sanAtanam // VamP_59.80 //
   sraṣṭā bhūtvā sthito yogī sthitāvasurasūdanaḥ /	srazwA BUtvA sTitaH yogI sTitO= asurasUdanaH /
   tamādipuruṣaṃ viṣṇuṃ pramato 'smi janārdanam // VamP_59.81 //	tam Adi puruzam vizNum pramataH asmi janArdanam // VamP_59.81 //
   dhṛtā mahī hatā daityāḥ paritrātāstathā surāḥ /	DRtAH mahI hatAH dEtyAH paritrAtAH taTA surAH /
   yena taṃ viṣṇumādyeśaṃ praṇato 'smi janārdanam // VamP_59.82 //	yena tam vizNum Adya ISam praNataH asmi janArdanam // VamP_59.82 //
   yajñairyajanti yaṃ viprā yajñeśaṃ yajñabhāvanam /	yajQEH yajanti yam viprAH yajQeSam yajQa BAvanam /
   taṃ yajñapuruṣaṃ viṣṇuṃ praṇato 'smi sanātanam // VamP_59.83 //	tam yajQapuruzam vizNum praNataH asmi sanAtanam // VamP_59.83 //
   pātālavīthībhūtānu tathā lokān nihanti yaḥ /	pAtAla vITIBUta anu taTA lokAn nihanti yaH /
   tamantapuruṣaṃ rudraṃ praṇato 'smi sanātanam // VamP_59.84 //	tam anta puruzam rudram praNataH asmi sanAtanam // VamP_59.84 //
   saṃbhakṣayitvā sakalaṃ yathāsṛṣṭamidaṃ jagat /	saMBakzayitvA sakalam yaTAsRzwam idam jagat /
   yo vai nṛtyati rudrātmā praṇato 'smi janārdanam // VamP_59.85 //	yaH vE nRtyati rudra AtmA praNataH asmi janArdanam // VamP_59.85 //
   surāsurāḥ pitṛgaṇāḥ yakṣagandharvarākṣasāḥ /	sura asurAH pitR gaNAH yakza ganDarva rAkzasAH /
   saṃbhūtā yasya devasya sarvagaṃ taṃ namāmyaham // VamP_59.86 //	saMBUtAH yasya devasya sarvagam tam namAmi aham // VamP_59.86 //
   samastadevāḥ sakalā manuṣyāṇāṃ ca jātayaḥ /	samasta devAH sakalAH manuzyANAm ca jAtayaH /
   yasyāṃśabhūtā devasya sarvagaṃ taṃ nato 'smayaham // VamP_59.87 //	yasya aMSa BUtAH devasya sarvagam tam nataH asmayaham // VamP_59.87 //
   vṛkṣagulmādayo yasya tathā paśumṛgādayaḥ /	vRkza gulma AdayaH yasya taTA paSu mRga AdayaH /
   ekāṃśabhūtā devasya sarvagaṃ taṃ namāmyaham // VamP_59.88 //	eka aMSa BUtAH devasya sarvagam tam namAmi aham // VamP_59.88 //
   yasmānnānyat paraṃ kiñcid yasmin sarvaṃ mahātmani /	yasmAt na anyat param kiQcid yasmin sarvam mahAtmani /
   yaḥ sarvamadhyago 'nantaḥ sarvagaṃ taṃ namāmyaham // VamP_59.89 //	yaH sarva maDya gaH anantaH sarvagam tam namAmi aham // VamP_59.89 //
   yathā sarveṣu bhūteṣu gūḍho 'gniriva dāruṣu /	yaTA sarvezu BUtezu gUXaH agniH iva dAruzu /
   viṣṇurevaṃ tathā pāpaṃ mamāśeṣaṃ praṇaśyatu // VamP_59.90 //	vizNuH evam taTA pApam mama aSezam praNaSyatu // VamP_59.90 //
   yathā viṣṇumayaṃ sarvaṃ brahmadi sacarācaram /	yaTA vizNu mayam sarvam brahmadi sa carAcaram /
   yacca jñānaparicchedyaṃ pāpaṃ naśyatu me tathā // VamP_59.91 //	yat ca jQAna paricCedyam pApam naSyatu me taTA // VamP_59.91 //
   śubhaśubhāni karmāṇi rajaḥsattvatamāṃsi ca /	SuBa SuBAni karmANi rajaH sattva tamAMsi ca /
   anekajanmakarmotthaṃ pāpaṃ naśyatu me tathā // VamP_59.92 //	aneka janma karma utTam pApam naSyatu me taTA // VamP_59.92 //
   yanniśāyāṃ ca yatprātaryanmadhyāhnāparāhṇayoḥ /	yat niSAyAm ca yat prAtaryat maDyAhna aparAhNayoH /
   saṃdhyayośca kṛtaṃ pāpaṃ karmaṇā manasā girā // VamP_59.93 //	saMDyayoH ca kRtam pApam karmaNA manasA girA // VamP_59.93 //
   yat tiṣṭhatā yad vrajatā yacca śayyāgatena me /	yat tizWatA yat vrajatA yat ca SayyA gatena me /
   kṛtaṃ yadaśubhaṃ karma kāyena manasā girā // VamP_59.94 //	kRtam yat aSuBam karma kAyena manasA girA // VamP_59.94 //
   ajñānato jñānato vā madāccalitamānasaiḥ /	ajQAnataH jQAnataH vA madAt calita mAnasEH /
   tat kṣipraṃ vilayaṃ yātu vāsudevasya kīrtanāt // VamP_59.95 //	tat kzipram vilayam yAtu vAsudevasya kIrtanAt // VamP_59.95 //
   paradāraparadravyavāñchādrohodbhavaṃ ca yat /	para dAra para dravya vAQCA droha udBavam ca yat /
   parapīḍodbhavāṃ nindāṃ kurvatā yanmahātmanām // VamP_59.96 //	para pIxA udBavAm nindAm kurvatA yat mahAtmanAm // VamP_59.96 //
   yacca bhojye tathā peye bhakṣye coṣye vilehane /	yat ca Bojye taTA peye Bakzye cozye vilehane /
   tad yātu vilayaṃ toye yathā lavaṇabhājanam // VamP_59.97 //	tat yAtu vilayam toye yaTA lavaNa BAjanam // VamP_59.97 //
   yad bālye yacca kaumāre yat pāpaṃ yauvane mama /	yat bAlye yat ca kOmAre yat pApam yOvane mama /
   vayaḥpariṇatau yacca yacca janmātare kṛtam // VamP_59.98 //	vayaH pariNatO yat ca yat ca janmAtare kRtam // VamP_59.98 //
   tannārāyaṇa govinda harikṛṣṇeśa kīrtanāt /	tat nArAyaNa govinda hari kRzNeSa kIrtanAt /
   prayātu vilayaṃ toye yathā lavaṇabhājanam // VamP_59.99 //	prayAtu vilayam toye yaTA lavaNa BAjanam // VamP_59.99 //
   viṣṇave vāsudevāya haraye keśavāya ca /	vizNave vAsudevAya haraye keSavAya ca /
   janārdanāya kṛṣṇāya namo bhūyo namo namaḥ // VamP_59.100 //	janArdanAya kRzNAya namaH BUyas namaH namaH // VamP_59.100 //
   bhaviṣyannarakaghnāya namaḥ kaṃsavighātine /	Bavizyat naraka GnAya namaH kaMsa viGAtine /
   ariṣṭakeśicaṇūradevārikṣayiṇe namaḥ // VamP_59.101 //	arizwa keSi caNUra devAri kzayiNe namaH // VamP_59.101 //
   ko 'nyo balervañcayitā tvāmṛte vai bhaviṣyati /	kaH anyaH baleH vaQcayitA tvAm Rte vE Bavizyati /
   ko 'nyo nāśayati balād darpaṃ haihayabhūpateḥ // VamP_59.102 //	kaH anyaH nASayati balAt darpam hEhaya BUpateH // VamP_59.102 //
   kaḥ kariṣyatyathānyo vai sāgare setubandhanam /	kaH karizyati aTa anyaH vE sAgare setu banDanam /
   vadhiṣyati daśagrīvaṃ kaḥ sāmātyapuraḥsaram // VamP_59.103 //	vaDizyati daSagrIvam kaH sa amAtya puraHsaram // VamP_59.103 //
   kastvāmṛte 'nyo nandasya gokule ratimeṣyati /	kaH tvAm Rte anyaH nandasya gokule ratim ezyati /
   pralambapūtanādīnāṃ tvāmṛte madhusūdana /	pralamba pUtanA AdInAm tvAm Rte maDusUdana /
   nihantāpyathabā śāstā devadeva bhaviṣyati // VamP_59.104 //	nihantA api aTa bA SAstA devadeva Bavizyati // VamP_59.104 //
   japannevaṃ naraḥ puṇyaṃ vaiṣṇavaṃ dharmamuttamam /	japan= evam naraH puNyam vEzNavam Darmam uttamam /
   iṣṭāniṣṭaprasaṃgebhyo jñānato 'jñānato 'pi vā // VamP_59.105 //	izwa anizwa prasaMgeByaH jQAnataH ajQAnataH api vA // VamP_59.105 //
   kṛtaṃ tena tu yat pāpaṃ saptajanmāntarāṇi vai /	kRtam tena tu yat pApam sapta janma antarANi vE /
   mahāpātakasaṃjñaṃ vā tathā caivopapātakam // VamP_59.106 //	mahApAtaka saMjQam vA taTA ca eva upapAtakam // VamP_59.106 //
   jajñādīni ca puṇyāni japahomavratāni ca /	jajQa AdIni ca puNyAni japa homa vratAni ca /
   nāśayed yogināṃ sarvamāmapātramivāmbhasi // VamP_59.107 //	nASayet yoginAm sarvam Ama pAtram iva amBasi // VamP_59.107 //
   naraḥ saṃvatsaraṃ pūrṇaṃ tilapātrāṇi ṣoḍaśa /	naraH saMvatsaram pUrNam tila pAtrANi zoxaSa /
   ahanyahani yo dadyāt paṭhatyetacca tatsamam // VamP_59.108 //	ahani ahani yaH dadyAt paWati etat ca tad samam // VamP_59.108 //
   aviluptabrahmacaryaṃ saṃprāpya smaraṇaṃ hareḥ /	avilupta brahmacaryam saMprApya smaraNam hareH /
   viṣṇulokamavāpnoti satyametanmayoditam // VamP_59.109 //	vizNu lokam avApnoti satyam etat mayA uditam // VamP_59.109 //
   yathaitat stayamuktaṃ me na hyalpamapi me mṛṣā /	yaTA etat stayam uktam me na hi alpam api me mRzA /
   rākṣasastrastasarvāṅgaṃ tathā māmeṣa muñcatu // VamP_59.110 //	rAkzasaH trasta sarva aFgam taTA mAm eza muQcatu // VamP_59.110 //
   pulastya uvāca /	pulastyaH uvAca /
   evamuccārite tena mukto viprastu rakṣasā /	evam uccArite tena muktaH vipraH tu rakzasA /
   akāmena dvijo bhūyastamāha rajanīcaram // VamP_59.111 //	akAmena dvijaH BUyas tam Aha rajanIcaram // VamP_59.111 //
   brahmaṇa uvāca /	brahmaNaH uvAca /
   etad bhadra mayā khyātaṃ tava pātakanāśanam /	etat Badra mayA KyAtam tava pAtaka nASanam /
   viṣṇoḥ sārasvataṃ stotraṃ yajjagāda sarasvatī // VamP_59.112 //	vizNoH sArasvatam stotram yat jagAda sarasvatI // VamP_59.112 //
   hutāśanena prahitā mama jihvāgrasaṃsthitā /	hutASanena prahitA mama jihvA agra saMsTitA /
   jagādainaṃ stavaṃ viṣṇoḥ sarveṣāṃ copaśāntidam // VamP_59.113 //	jagAda enam stavam vizNoH sarvezAm ca upaSAnti dam // VamP_59.113 //
   anenaiva jagannāthaṃ tvamārādhaya kesavam /	anena eva jagannATam tvam ArADaya kesavam /
   tataḥ śāpāpanodaṃ tu stute lapsyasi keśave // VamP_59.114 //	tatas SApa apanodam tu stute lapsyasi keSave // VamP_59.114 //
   aharniśaṃ hṛṣīkeśaṃ stavenānena rākṣasa /	aharniSam hRzIkeSam stavena anena rAkzasa /
   stuhi bhaktiṃ dṛḍhāṃ kṛtvā tataḥ pāpād vimokṣyase // VamP_59.115 //	stuhi Baktim dRXAm kRtvA tatas pApAt vimokzyase // VamP_59.115 //
   stuto hi sarvapāpāni nāśayiṣyatyasaṃśayam /	stutaH hi sarva pApAni nASayizyati asaMSayam /
   stuto hi bhaktyā nṝṇāṃ vai sarvapāpaharo hariḥ // VamP_59.116 //	stutaH hi BaktyA nLNAm vE sarva pApa haraH hariH // VamP_59.116 //
   pulastya uvāca /	pulastyaH uvAca /
   tataḥ praṇamya taṃ vipraṃ prasādya sa niśācaraḥ /	tatas praNamya tam vipram prasAdya sa niSAcaraH /
   tadaiva tapase śrīmān śālagrāmamagād vaśī // VamP_59.117 //	tadA eva tapase SrImAn SAlagrAmam agAt vaSI // VamP_59.117 //
   aharniśaṃ sa evainaṃ japan sārasvataṃ stavam /	aharniSam saH eva enam japan sArasvatam stavam /
   devakriyāratirbhūtvā tapastepe niśācaraḥ // VamP_59.118 //	deva kriyA ratiH BUtvA tapaH tepe niSAcaraH // VamP_59.118 //
   samārādhya jagannāthaṃ sa tatra puraṣottamam /	samArADya jagannATam sa tatra puraza uttamam /
   sarvapāpavinirmukto viṣṇulokamavāptavān // VamP_59.119 //	sarva pApa vinirmuktaH vizNu lokam avAptavAn // VamP_59.119 //
   etat te kathitaṃ brahman viṣṇoḥ sārasvataṃ stavam /	etat te kaTitam brahman vizNoH sArasvatam stavam /
   vipravaktrasthayā samyaksarasvatyā samīritam // VamP_59.120 //	vipra vaktra sTayA samyak sarasvatyA samIritam // VamP_59.120 //
   ya etat paramaṃ stotraṃ vāsudevasya mānavaḥ /	yaH etat paramam stotram vAsudevasya mAnavaH /
   paṭhaṣyati sa sarvebhyaḥ pāpebhyo mokṣamāpsyati // VamP_59.121 //	paWazyati sa sarveByaH pApeByaH mokzam Apsyati // VamP_59.121 //
   iti śrīvāmanapurāṇe ekonaṣaṣṭitamo 'dhyāyaḥ	iti SrI vAmanapurANe ekonazazwitamaH aDyAyaH
   pulastya uvāca /	pulastyaH uvAca /
   namaste 'stu jagannātha devadevaṃ namo 'stu te /	namaH te astu jagannATa devadevam namaH astu te /
   vāsudeva namaste 'stu bahurūpa namo 'stu te // VamP_60.1 //	vAsudeva namaH te astu bahu rUpa namaH astu te // VamP_60.1 //
   ekaśṛṅga namastubhyaṃ namastubhyaṃ vṛṣākape /	ekaSRFga namaH tuByam namaH tuByam vRzAkape /
   śrīnivāsa namaste 'stu namaste bhūtabhāvana // VamP_60.2 //	SrInivAsa namaH te astu namaH te BUta BAvanaH // VamP_60.2 //
   viṣvaksena namastubhyaṃ nārāyaṇa namo 'stu te /	vizvaksena namaH tuByam nArAyaNa namaH astu te /
   dhruvadhvaja namasto 'stu satyadhvaja namo 'stu te // VamP_60.3 //	DruvaDvaja namastaH astu satyaDvaja namaH astu te // VamP_60.3 //
   yajñadhvaja namastubhyaṃ dharmadhvaja namo 'stu te /	yajQaDvaja namaH tuByam Darma Dvaja namaH astu te /
   tāladhvaja namaste 'stu namaste garuhadhvaja // VamP_60.4 //	tAlaDvaja namaH te astu namaH te garuhaDvaja // VamP_60.4 //
   vareṇya viṣṇo vaikuṇṭha namaste puruṣottama /	vareNya vizNo vEkuNWa namaH te puruzottamaH /
   namo jayanta vijaya jayānanta parājita // VamP_60.5 //	namaH jayanta vijaya jaya ananta parAjita // VamP_60.5 //
   kṛtāvartada mahāvarta mahādeva namo 'stu te /	kRta Avartada mahAvarta mahAdeva namaH astu te /
   anādyādyanta madhyānta namaste padmajapriya // VamP_60.6 //	anAdyAdyanta maDyAnta namaH te padmaja priya // VamP_60.6 //
   purañjaya namastubhyaṃ śatruñjaya namo 'stu te /	puraQjaya namaH tuByam SatruQjaya namaH astu te /
   śubhañjaya namaste 'stu namaste 'stu dhanañjaya // VamP_60.7 //	SuBan jaya namaH te astu namaH te astu DanaQjaya // VamP_60.7 //
   sṛṣṭigarbha namastubhyaṃ śuciśravaḥ vṛthuśravaḥ /	sRzwigarBa namaH tuByam SuciSravaH vRTuSravaH /
   namo hiraṇyagarbhāya padmagarbhāya te namaḥ // VamP_60.8 //	namaH hiraNyagarBAya padma garBAya te namaH // VamP_60.8 //
   namaḥ kamalanetrāya kālanetrāya te namaḥ /	namaH kamala netrAya kAlanetrAya te namaH /
   kālanābha namastubhyaṃ mahānābha namo namaḥ // VamP_60.9 //	kAlanABa namaH tuByam mahAn ABa namaH namaH // VamP_60.9 //
   vṛṣṭimūla mahāmūla mūlāvāsa namo 'stu te /	vRzwi mUla mahA mUla mUlAvAsa namaH astu te /
   dharmāvāsa jalāvāsa śrīnivāsa namo 'stu te // VamP_60.10 //	Darma AvAsa jala AvAsa SrInivAsa namaH astu te // VamP_60.10 //
   dharmādhyakṣa prajādhyakṣa lokādhyakṣa namo namaḥ /	Darma aDyakza prajADyakza loka aDyakza namaH namaH /
   senādhyakṣa namastubhyaṃ kālādhyakṣa namo namaḥ // VamP_60.11 //	senA aDyakza namaH tuByam kAlADyakza namaH namaH // VamP_60.11 //
   gadādhara śrutidhara cakradhārin śriyo dhara /	gadADara Sruti Dara cakraDArin SriyaH Dara /
   vanamālādhara hare namaste dharaṇīdhara // VamP_60.12 //	vanamAlA Dara hare namaH te DaraNIDara // VamP_60.12 //
   ārciṣeṇa mahāsena namaste 'stu puruṣṭuta /	ArcizeNa mahAsena namaH te astu puruzwutaH /
