   Nāṭakacandrikā	NAwaka-candrikA
   anyonyena tirodhānaṃ na kuryād rasa-vastunoḥ // RNc_223 //	anyonyena tiroDAnam na kuryAt rasa--vastunoH // RNt-_223 //
   yat syād anucitaṃ vastu nāyakasya rasasya vā |	yat syAt anucitam vastu nAyakasya rasasya vA |
   viruddhaṃ tat parityājyam anyathā vā prakalpayet // RNc_224 //	virudDam tat parityAjyam anyaTA vA prakalpayet // RNt-_224 //
   aviruddhaṃ ca yad vṛttaṃ rasābhivyaktaye'dhikam |	avirudDam ca yat vRttam rasa-aBivyaktaye-aDikam |
   tad apy anyathayed dhīmān na vaded vā kadācana // RNc_225 //	tat api anyaTayet DImAn na vadet vA kadAcana // RNt-_225 //
   lāsyāṅgāni daśa tathā vīthy-aṅgāni trayodaśa |	lAsya-aFgAni daSa taTA vITi--aFgAni trayodaSa |
   aṅkeṣv api nibadhyāni kecid evaṃ pracaksate // RNc_226 //	aFkezu api nibaDyAni kecid evam pracaksate // RNt-_226 //
   prāyas tāny api santy eva tasmin lalita-mādhave |	prAyas tAni api santi eva tasmin lalita--mADave |
   kvacid atra viniṣpādyaṃ dhīrair ākāśa-bhāṣitam // RNc_227 //	kvacid atra vinizpAdyam DIrEH AkASa-BAzitam // RNt-_227 //
   anyenānuktam apy anyo vacaḥ śrutvaiva yad vadet |	anyena-anuktam api anyaH vacaH SrutvA-eva yat vadet |
   iti kiṃ bhaṇasīty etad bhaved ākāśa-bhāṣitam // RNc_228 //	iti kim BaNasi-iti etat Bavet AkASa-BAzitam // RNt-_228 //
   atha bhāṣā-vidhānam -	aTa BAzA--viDAnam -
   nāṭake tatra pātrāṇāṃ bhāṣā-rūpaṃ nirūpyate |	nAwake tatra pAtrANAm BAzA--rUpam nirUpyate |
   tatra bhāṣā dvidhā bhāṣā vibhāṣā ceti bhedataḥ // RNc_229 //	tatra BAzA dviDA BAzA viBAzA ca-iti BedataH // RNt-_229 //
   caturdaśa vibhāṣāḥ syuḥ prācyādyā vākya-vṛttibhiḥ |	caturdaSa viBAzAH syuH prAcI-a-AdyAH vAkya--vRttiBiH |
   āsāṃ saṃskāra-rāhityād viniyogo na gadyate // RNc_230 //	AsAm saMskAra--rAhityAt viniyogaH na gadyate // RNt-_230 //
   bhāṣā dvidhā saṃskṛtā ca prākṛtī ceti bhedataḥ |	BAzA dviDA saMskRtA ca prAkRtI ca-iti BedataH |
   tatra saṃskṛtā -	tatra saMskRtAH -
   saṃskṛtā devatādīnāṃ munīnāṃ nāyakasya ca // RNc_231 //	saMskRtAH devatA-AdInAm munInAm nAyakasya ca // RNt-_231 //
   liṅgi-vipra-vaṇik-kṣatra-mantrikañcukinām api |	liFgi-vipra-vaNi-k-kzatra--mantri-kaQcukinAm api |
   araṇya-devī-gaṇikā-mantrijādhītiyoṣitām // RNc_232 //	araNya--devI--gaNikA-mantrija-aDi-iti-yozitAm // RNt-_232 //
   yoginy-apsarasoḥ śilpa-kāriṇyā api kīrtitā |	yogini--apsarasoH Silpa-kAriNyAH api kIrtitA |
   tatra prākṛtī -	tatra prAkRtI -
   ṣoḍhāntimā prākṛtī syāc chaurasenī ca māgadhī // RNc_233 //	zoXA-antimA prAkRtI syAt SOrasenI ca mAgaDI // RNt-_233 //
   paiśācī cūlikā-paiśācy-apabhraṃśa iti kramāt |	pESAcI cUlikA--pESAcy-apaBraMSaH iti kramAt |
   atra tu prākṛtaṃ strīṇāṃ sarvāsāṃ niyataṃ bhavet // RNc_234 //	atra tu prAkRtam strINAm sarvAsAm niyatam Bavet // RNt-_234 //
   aiśvaryeṇa pramattānāṃ dāridryopahatātmanām |	ESvaryeNa pramattAnAm dAridrya-upahata-AtmanAm |
   ye nīcāḥ karmaṇā jātyā teṣāṃ ca prākṛtaṃ smṛtam // RNc_235 //	ye nIcAH karmaNA jAtyA tezAm ca prAkRtam smRtam // RNt-_235 //
   tatrāpi nāyikādīnāṃ śaurasenī prakīrtitā |	tatra-api nAyikA-AdInAm SOrasenI prakIrtitA |
   āsām eva tu gāthāsu mahārāṣṭrī smṛtā budhaiḥ // RNc_236 //	AsAm eva tu gATAsu mahArAzwrI smRtAH buDEH // RNt-_236 //
   atroktā māgadhī bhāṣā rājāntaḥpura-cāriṇām |	atra-uktA mAgaDI BAzA rAja-antaHpura--cAriNAm |
   tathā vidūṣakādīnāṃ ceṭānām api kīrtitā // RNc_237 //	taTA vidUzaka-AdInAm cewAnAm api kIrtitAH // RNt-_237 //
   rakṣaḥ-piśāca-nīceṣu paiśācī-dvitayaṃ bhavet |	rakzaH-piSAca--nIcezu pESAcI--dvitayam Bavet |
   apabhraṃśas tu caṇḍālayavanādiṣu yujyate // RNc_238 //	apaBraMSaH tu caNxAla-yavana-Adizu yujyate // RNt-_238 //
   sarveṣāṃ kāraṇa-vaśāt kāryo bhāṣā-vyatikramaḥ |	sarvezAm kAraNa--vaSAt kAryaH BAzA--vyatikramaH |
   māhātmyasya paribhraṃśān madasyātiśayāt tathā // RNc_239 //	mAhAtmyasya pariBraMSAt madasya-atiSayAt taTA // RNt-_239 //
   pracchādanaṃ ca vibhrāntir yathālikhita-vācanam |	pracCAdanam ca viBrAntiH yaTAliKita--vAcanam |
   kadācid anuvādaṃ ca kāraṇāni pracakṣate // RNc_240 //	kadAcid anuvAdam ca kAraNAni pracakzate // RNt-_240 //
   nāyikānāṃ sakhī-veśyā-kitavāpsarasāṃ tathā |	nAyikAnAm saKI--veSya-a-kitava-apsarasAm taTA |
   vaidagdhyārthaṃ prayoktavyaṃ saṃskṛtaṃ cāntarāntarā // RNc_241 //	vEdagDya-arTam prayoktavyam saMskRtam ca-antarA-antarAH // RNt-_241 //
   spaṣṭāny eṣām udāharaṇāni |	spazwAni ezAm udAharaNAni |
   atha vṛttayaḥ -	aTa vRttayaH -
   athocyante svabhāvena vṛttayaḥ paramādbhutāḥ |	aTa-ucyante svaBAvena vRttayaH parama-adButAH |
   jātā nārāyaṇād etā madhu-kaiṭabhayor vadhe // RNc_242 //	jAtA nArAyaNAt etAH maDu--kEwaBayoH vaDe // RNt-_242 //
   netṛ-vyāpāra-rūpās tu rasāvasthāna-sūcikāḥ |	netR--vyApAra--rUpAH tu rasa-avasTAna--sUcikAH |
   catasro vṛttayo dhīraiḥ proktā nāṭyasya mātaraḥ // RNc_243 //	catasraH vRttayaH DIrEH proktAH nAwyasya mAtaraH // RNt-_243 //
   bhāraty ārabhaṭī caiva sātvatī kaiśikī tathā |	BArati AraBawI ca-eva sAtvatI kESikI taTA |
   tatra bhāratī -	tatra BAratI -
   eṣā vāṇī-pradhānatvād bhāratīti nigadyate // RNc_244 //	ezA vANI--praDAna-tvAt BArati-iti nigadyate // RNt-_244 //
   prastāvanopayogitvāt tatraiva parikīrtitā |	prastAvana-upayogi-tvAt tatra-eva parikIrtitA |
   strī-hīnā puruṣa-śreṣṭha-prayojyā vāk-pradhānikā // RNc_245 //	strI--hInA puruza--SrezWa--prayojyAH vAk--praDAnikAH // RNt-_245 //
   bhāratī saṃskṛtair yuktā vṛttiḥ syāc caturaṅgikā |	BAratI saMskRtEH yuktA vRttiH syAt caturaFgikA |
   athārabhaṭī -	aTa-AraBawI -
   māyendra-jāla-pracura-citra-yuddha-kriyā-mayā // RNc_246 //	mAyA-indra--jAla--pracura--citra--yudDa--kriyA-mayA // RNt-_246 //
   āṭopa-cchedya-bhedāḍhyā vṛttir ārabhaṭī matā |	Awopa--=-Cedya--Beda-AXyA vRttiH AraBawI matA |
   aṅgāny asyās tu catvāri saṅkṣiptir avapātanam // RNc_247 //	aFgAni asyAH tu catvAri saFkziptiH avapAtanam // RNt-_247 //
   vastūtthāpana-sampheṭāv ity āha bharato muniḥ |	vastu-utTApana--samPewO iti Aha BarataH muniH |
   tatra saṅkṣiptiḥ -	tatra saFkziptiH -
   saṅkṣiptir uktā saṅkṣipta-vastu-sṛṣṭir mahādbhutā // RNc_248 //	saFkziptiH uktA saFkzipta-vastu--sRzwiH mahA-adButAH // RNt-_248 //
   yathā-	yaTA-
   vidhinā hate śiśu-kule tādṛśam aparaṃ haris tathā vyatanot |	viDinA hate SiSu--kule tAdRSam aparam hariH taTA vyatanot |
   viramatu parasya vārtāṃ svayam eva visismaye sa yathā ||	viramatu parasya vArtAm svayam eva visismaye sa yaTA ||
   athāvapātanam -	aTa-avapAtanam -
   vibhrāntir avapātaḥ syāt praveśa-drava-vidravaiḥ |	viBrAntiH avapAtaH syAt praveSa--drava--vidravEH |
   yathā -	yaTA -
   nighnan vighnam ivāgrataḥ kuvalayāpīḍaṃ mṛdu-krīḍayā	niGnan viGnam iva-agratas kuvalayApIxam mRdu--krIxayA
   tuṅgāṃ raṅga-bhuvaṃ praviśya tarasā pratyarthināṃ trāsanaḥ |	tuFgAm raFga-Buvam praviSya tarasA pratyarTinAm trAsanaH |
   dṛpyan-malla-davāmbudaś cala-dṛśā kṣudrān api drāvayan	dRpyan-malla--dava-ambudaH cala-dRSA kzudrAn api drAvayan
   paśyārād garuḍāyate saruḍayaṃ kaṃsorage keśavaḥ ||	paSyArAt garuxAyate saruxayam kaMsa-urage keSavaH ||
   atha vastūtthāpanam -	aTa vastu-utTApanam -
   tad-vastūtthāpanaṃ yat tu vastu māyopakalpitam // RNc_249 //	tad--vastu-utTApanam yat tu vastu mAyA-upakalpitam // RNt-_249 //
   yathā -	yaTA -
   daurjanyāni hṛdi sphuṭāni kapaṭa-snehena saṃvṛṇvatī	dOrjanyAni hRdi sPuwAni kapawa--snehena saMvRNvatI
   māyā-kalpita-sundarī madhurimā lebhe vrajaṃ pūtanā |	mAyA-kalpita-sundarI maDuH-imA leBe vrajam pUtanA |
   tasyāḥ suṣṭhu tathā payodhara-rasaḥ prītaḥ śiśu-krīḍayā	tasyAH suzWu taTA payoDara--rasaH prItaH SiSu--krIxayA
   vaikuṇṭhena haṭhād yathā na sa punaḥ mātus tathā pāsyate ||	vEkuNWena haWAt yaTA na sa punar mAtuH taTA pAsyate ||
   atha sampheṭaḥ -	aTa samPewaH -
   sampheṭaḥ syāt samāghātaḥ kruddha-saṅkruddhayojitaḥ // RNc_250 //	samPewaH syAt samAGAtaH krudDa--saFkrudDa-yojitaH // RNt-_250 //
   yathā -	yaTA -
   cāṇūra-mallena yathā murārer	cANUra-mallena yaTA murAreH-
   anyonyam āsīd guru-samprahāraḥ |	anyonyam AsIt guru--samprahAraH |
   kaṃsasya yenānakadundubheś ca	kaMsasya yena-AnakadunduBeH ca
   santāpa-cintābhir uraḥ paphāla ||	santApa--cintABiH uraH paPAla ||
   atha sātvatī -	aTa sAtvatI -
   sāttvikena guṇenPai tyāga-śauryādinā yutā |	sAttvikena guNet-PE tyAga--SOrya-AdinA yutAH |
   harṣa-pradhānā niḥśokā sātvatī parikīrtiāt // RNc_251 //	harza--praDAnA niHSokA sAtvatI parikIrtiAt // RNt-_251 //
   aṅgāny asyās tu catvāri saṃlāpottāpakāv api |	aFgAni asyAH tu catvAri saMlApa-uttApakO api |
   saṅghātya-parivartau cety eṣāṃ lakṣaṇam ucyate // RNc_252 //	saFGAti-a--parivartO ca-iti ezAm lakzaNam ucyate // RNt-_252 //
   atha saṃlāpaḥ -	aTa saMlApaH -
   īrṣyā-krodhādibhir bhāvai rasair vīrādbhutādibhiḥ |	IrzyA-kroDa-AdiBiH BAvEH rasEH vIra-adButa-AdiBiH |
   parasparaṃ gabhīroktiḥ saṃlāpa iti kīrtyate // RNc_253 //	parasparam gaBIra-uktiH saMlApaH iti kIrtyate // RNt-_253 //
   yathā -	yaTA -
   vayaṃ bālās tulyaiḥ saha racayituṃ yuddham ucitaṃ	vayam bAlAH tulyEH saha racayitum yudDam ucitam
   puro yūyaṃ mallāḥ prakaṭita-karālācala-rucaḥ |	puras yUyam mallAH prakawita--karAla-acala--rucaH |
   madenonmattānāṃ mṛdula-tanubhiḥ kaḥ kalabhakaiḥ	madena-unmattAnAm mRdula--tanuBiH kaH kalaBakEH
   karīndrāṇāṃ dhīraḥ pariṇamana-raṅgaṃ racayati ||	karIndrANAm DIraH pariNamana--raFgam racayati ||
   avitatham asi bālaḥ kāla-rūpaṃ vibhindan	avitaTam asi bAlaH kAla-rUpam viBindan
   dvirada-patim udagraṃ bāla-vikrīḍayaiva |	dvirada--patim udagram bAla-vikrIxayA-eva |
   iha kila bhuja-yuddha-prastuter uccaleyaṃ	iha kila Buja--yudDa--prastuteH uccaleyam
   tava tanu-kṛta-sakhyā sākṣiṇī bāla-rājiḥ ||	tava tanu-kRta-saKyA sAkziNI bAla-rAjiH ||
   athotthāpakaḥ -	aTa-utTApakaH -
   preraṇaṃ yat parasyādau yuddhāyotthāpakas tu saḥ |	preraNam yat parasya-AdO yudDAya-utTApakaH tu saH |
   yathā -	yaTA -
   luñchann asmi puras triviṣṭapa-purī-saubhāgya-sāra-śryaṃ	luQCan asmi puras trivizwapa--purI--sOBAgya--sAra--Sryam
   gīrvāṇśvara-pārijātam amarīkandarpa-sandarpadam |	gIrvANSvara--pArijAtam amarI-kandarpa--sandarpadam |
   paulomī-kuca-kumbhakeli-makarī-vyāpāra-vaijñānikaḥ	pOlomI--kuca--kumBa-keli--makarI--vyApAra--vEjQAnikaH
   pāṇis tena hi dakṣiṇaḥ katham asua dambholim udyac-chate ||	pANiH tena hi dakziNaH kaTam asua damBolim udyac-Sate ||
   atha saṅghātyaḥ -	aTa saFGAtyaH -
   prabhāva-mantra-devādyaiḥ saṅghātyaḥ saṅgha-bhedanam // RNc_254 //	praBAva--mantra-deva-AdyEH saFGAtyaH saFGa--Bedanam // RNt-_254 //
   tatra prabhāvena, yathā -	tatra praBAvena, yaTA -
   dukūlaṃ dhunvānā jaya-jaya-jayety ucca-bhaṇitiḥ	dukUlam DunvAnA jaya-jaya--jayA-iti ucca-BaNitiH
   sthitā raṅgābhyarṇe praṇaya-garimoddāmita-mukhī |	sTitA raFgAByarNe praNaya--garima-uddAmita-muKI |
   prabhāvaṃ paśyantī kam api kamanīyādbhuta-rasaṃ	praBAvam paSyantI kam api kamanIya-adButa-rasam
   hareḥ kaṃsopekṣāṃ vadhita bata sākṣān madhupurī ||	hareH kaMsa-upekzAm vaDita bata sAkzAt maDupurI ||
   mantreṇa, yathā -	mantreNa, yaTA -
   niśamya yuktiṃ danujārdanasya	niSamya yuktim danuja-ardanasya
   govardhanārādhana-baddha-rāgām |	govarDana-ArADana--badDa--rAgAm |
   ābhīra-goṣṭhī rabhasena sarvā	ABIra--gozWI raBasena sarvA
   gīrvāṇa-rājasya makhād vyaraṃsīt ||	gIrvANa-rAjasya maKAt vyaraMsIt ||
   atha parivartakaḥ -	aTa parivartakaH -
   prārabdha-kāryād anyasya karaṇaṃ parivartakaḥ |	prArabDa---kAryAt anyasya karaNam parivartakaH |
   yathā -	yaTA -
   vrajabhuvi guru-garvāt kurvatas tīvra-vṛṣṭiṃ	vraja-Buvi guru--garvAt kurvataH tIvra--vRzwim
   hṛdi bhavad-anubhāvād adya-bhītir mamāsīt |	hRdi Bavat--anuBAvAt adya-BItiH mama-AsIt |
   tvam asi kila kṛpālur dogdhu-kāmo'pi kāmaṃ	tvam asi kila kRpAluH dogDu-kAmaH-api kAmam
   tad iha mayi śaraṇye gokulendra prasīda ||	tat iha mayi SaraNye gokula-indra prasIda ||
   atha kauśikī -	aTa kOSikI -
   nṛtya-gīta-vilāsādi-mṛdu-śṛṅgāra-ceṣṭitaiḥ |	nRtya-gIta--vilAsa-Adi--mRdu--SRFgAra--cezwitEH |
   samanvitā bhaved vṛttiḥ kaiśikī ślakṣṇa-bhūṣaṇā // RNc_255 //	samanvitA Bavet vRttiH kESikI SlakzNa-BUzaNAH // RNt-_255 //
   hareḥ keśābhisambandhāt kaiśikīti prathāṃ gatā |	hareH keSa-aBisambanDAt kESikI-iti praTAm gatAH |
   aṅgāny asyās tu catvāri narma-tat-pūrvakā ime // RNc_256 //	aFgAni asyAH tu catvAri narma--tat--pUrvakAH ime // RNt-_256 //
   sphañjaḥ sphoṭaś ca garbhaś cety eṣāṃ lakṣaṇam ucyate |	sPaQjaH sPowaH ca garBaH ca-iti ezAm lakzaNam ucyate |
   tatra narma -	tatra narma -
   śṛṅgāra-rasa-bhūyiṣṭhaḥ priya-cittānurañjakaḥ // RNc_257 //	SRFgAra---rasa-BUyizWaH priya-citta-anuraQjakaH // RNt-_257 //
   agrāmyaḥ parihāsaḥ syān narma tat tu tridhā matam |	agrAmyaH parihAsaH syAt narma tat tu triDA matam |
   śṛṅgāra-hāsyajaṃ śuddha-hāsyajaṃ bhaya-hāsyajam // RNc_258 //	SRFgAra-hAsya-jam SudDa-hAsya-jam Baya-hAsya-jam // RNt-_258 //
   śṛṅgāra-hāsyajaṃ narma trividhaṃ parikīrtitam |	SRFgAra-hAsya-jam narma triviDam parikIrtitam |
   sambhogecchā-prakaṭanād anurāga-niveśanāt // RNc_259 //	samBoga-icCA--prakawanAt anurAga--niveSanAt // RNt-_259 //
   tathā kṛtāparādhasya priyasya pratibhedanāt |	taTA kRta-aparADasya priyasya pratiBedanAt |
   sambhogecchā-prakaṭanaṃ tridhā vāg-veṣa-ceṣṭitaiḥ // RNc_260 //	samBoga-icCA--prakawanam triDA vAc---veza--cezwitEH // RNt-_260 //
   tatra vācā, yathā padyāvalyām (207)	tatra vAcA, yaTA padyAvalyAm (207)
   gacchāmy acyuta darśanena bhavataḥ kiṃ tṛptir utpadyate	gacCAmi acyuta darSanena BavataH kim tRptiH utpadyate
   kiṃ tv evaṃ vijana-sthayor hata-janaḥ sambhāvayaty anyathā |	kim tu evam vijana--sTayoH hata-janaH samBAvayati anyaTA |
   ity āmantraṇa-bhaṅgi-sūcita-vṛthāvasthāna-khedāsalām	iti AmantraNa--BaFgi--sUcita-vRTA-avasTAna--Keda-asalAm
   āśliṣyan pulakotkarāñcita-tanur gopīṃ hariḥ pātu vaḥ ||	ASlizyan pulaka-utkara-AQcita-tanuH gopIm hariH pAtu vaH ||
   veśena yathā rasārṇava-sudhākare (1.273) -	veSena yaTA rasArNava--suDA-kare (1.273) -
   abhyudyate śaśini peśala-kānta-dūtī	aByudyate SaSini peSala-kAnta-dUtI
   santāpa-saṃvalitamānasa-locanābhiḥ |	santApa--saMvalita-mAna-sa--locanABiH |
   agrā hi maṇḍana-vidhir viparīta-bhūṣā	agrA hi maNxana-viDiH viparIta--BUzA
   vinyāsa-hāsita-sakhījanam aṅganābhiḥ ||	vinyAsa--hAsita--saKI-janam aFganABiH ||
   ceṣṭayā, yathā -	cezwayA, yaTA -
   śyāme yām anurodhasi priya-sakhī-vargāntara-sthāyinī	SyAme yAm anuroDasi priya-saKI-varga-antara--sTAyinI
   savyāṃ smeramukhī dṛśaṃ madhubhidaḥ smere mukhāmbhoruhe |	savyAm smera-muKI dRSam maDuBidaH smere muKa-amBoruhe |
   bhṛṅgodbhāsini dakṣiṇāṃ tu kiratī krīḍā-nikuñje muhuḥ	BRFga-udBAsini dakziNAm tu kiratI krIxA--nikuQje muhur-
   sūrye rajyati sacchalaṃ vicinute tapāya puṣpāvalim ||	sUrye rajyati sa=-Calam vicinute tapAya puzpa-Avalim ||
   anurāga-prakāśo'pi bhogecchānarmavat tridhā |	anurAga--prakASaH-api Boga-icCAnarma-vat triDA |
   tatra vācā, yathā -	tatra vAcA, yaTA -
   dehi kundam iti devi vakṣyatī	dehi kundam iti devi vakzyatI
   yan mukundam avilambam abravīḥ |	yat mukundam avilambam abravIH |
   tāvakīna-kula-pālikā-vrataṃ	tAvakIna-kula--pAlikA--vratam
   tena sāmpratam abhūd vikara-svaram ||	tena sAmpratam aBUt vikara-svaram ||
   veśena, yathā -	veSena, yaTA -
   yad upahasasi māṃ sadābhisārot-	yat upahasasi mAm sadA-aBisArot-
   suka-hṛdayām abhitas tad atra yuktam |	suka-hRdayAm aBitas tat atra yuktam |
   vapuṣi hari-kathā-prasaṅga-mātre	vapuzi hari--kaTA--prasaFga--mAtre
   tava ca kathaṃ pulakālir unmimīla ||	tava ca kaTam pulakAliH unmimIla ||
   cesṭayā, yathā -	ceswayA, yaTA -
   sakhi kurvatī vivikte vanamālā-gumphanābhyāsam |	saKi kurvatI vivikte vanamAlA---gumPanAByAsam |
   viditāsi tvam akhaṇḍita-pātivratye kṛtaṃ bhaṇitaiḥ ||	viditA-asi tvam aKaNxita--pAti-vratye kRtam BaNitEH ||
   tatra vācā, yathā -	tatra vAcA, yaTA -
   vraja-rāja-kumāra mā kṛthāḥ	vraja--rAja--kumAra mA kRTAH
   stuti-mudrābhir analpa-cāturīm |	stuti--mudrABiH analpa--cAturIm |
   animitta-viśaṅkitena te	animitta--viSaFkitena te
   vacasāhaṃ guruṇāsmi bodhitā ||	vacasA-aham guruNA-asmi boDitAH ||
   veśena, yathā lalita-mādhave -	veSena, yaTA lalita--mADave -
   candrāvalī (sotprāsa-smitam) -	candra-AvalI (sA-utprAsa--smitam) -
   kajjala-sāmala-majjhaṃ pallaa-sāṇujjalaṃ muuṃdassa |	kajjala--sAmala--majJam pallaa--sANujjalam muuMdassaH |
   guṃjāphallaṃ bba aharaṃ sahi pekkhantī pamodāmi ||	guMjA-Pallam bba aharam sa-hi pekKantI pama-udAmi ||
   [kajjala-śyāmala-madhyaṃ pallava-śoṇojjvalaṃ mukundasya |	[kajjala-SyAmala--maDyam pallava--SoNa-ujjvalam mukundasya |
   guñjā-phalaṃ ivādharaṃ sakhi paśyantī pramode ||] 9.54	guQjA-Palam iva-aDaram saKi paSyantI pramode ||] 9.54
   ceṣṭayā, yathā rasa-sudhākare (1.273) -	cezwayA, yaTA rasa--suDA-kare (1.273) -
   lola-bhrū-latayā vipakṣa-dig-upanyāse vidhūtaṃ śiras	lola--BrU---latayA vipakza-diS--upanyAse viDUtam Siras
   tad vṛndasya niśāmane'kṛta namaskāraṃ vilakṣa-smitam |	tat vRndasya niSAmane-akRta namaskAram vilakza--smitam |
   roṣāt tāmarakapola-kāntini mukhe dṛṣṭyā nataṃ pādayor	rozAt tAmara-kapola--kAntini muKe dRzwyA natam pAdayoH-
   utsṛṣṭo guru-sannidhāv api vidhir dvābhyāṃ na kālocitaḥ ||	utsRzwaH guru--sanniDO api viDiH dvAByAm na kAla-ucitaH ||
   atha śuddha-hāsyajam -	aTa SudDa-hAsya-jam -
   śuddha-hāsyajam apy uktaṃ tadvad eva tridhā budhaiḥ // RNc_262 //	SudDa-hAsya-jam api uktam tadvat eva triDA buDEH // RNt-_262 //
   tatra vācā, yathā -	tatra vAcA, yaTA -
   vṛddhe candra iti pratāraya na mām ajñāsiṣaṃ mad-bhayān	vRdDe candraH iti pratAraya na mAm ajQAsizam mad-BayAn
   nikṣiptaṃ navanīta-piṇḍam upari sthāne'dya rādhāmbayā |	nikziptam navanIta--piNxam upari sTAne-adya rADA-ambayA |
   gūḍhaṃ pātayitāsmi dīrghatarayā yaṣṭyeti vācaṃ harer	gUXam pAtayitA-asmi dIrGatarayA yazwyA-iti vAcam hareH-
   indu-nyasta-dṛśo niśamya mukharā kṣemaṃ hasantī kriyāt ||	indu-nyasta-dRSaH niSamya muKarA kzemam hasantI kriyAt ||
   veśa-ceṣṭābhyāṃ, yathā -	veSa--cezwAByAn, yaTA -
   kambala-kṛta-vṛṣa-veṣaṃ bhṛṅgābhṛṅgī praṇīta-saṃrambham |	kambala-kRta-vRza---vezam BRFga-aBRFgI praNIta--saMramBam |
   prekṣya hariṃ vidhir ahasīn mudira-cchanno gabhīro'pi ||	prekzya harim viDiH ahasIn mudira--cCannaH gaBIraH-api ||
   atha bhaya-hāsyajam -	aTa Baya--hAsya-jam -
   hāsyād bhayena janitaṃ kathitaṃ bhaya-hāsyajam |	hAsyAt Bayena janitam kaTitam Baya--hAsya-jam |
   tad dvidhā mukham aṅgaṃ tu tad dvayaṃ pūrvavat tridhā // RNc_263 //	tat dviDA muKam aFgam tu tat dvayam pUrvavat triDA // RNt-_263 //
   mukhyaṃ vācā, yathā -	muKyam vAcA, yaTA -
   śailendroddhṛti-līlayā kila paritrāte gavāṃ maṇḍale	SElendra-udDRti--lIlayA kila paritrAte gavAm maNxale
   tatra stotra-vidhitsayābhyupagataṃ dṛṣṭvā sahasrekṣaṇam |	tatra stotra--viDitsaya-aByupagatam dRzwvA sahasra-IkzaNam |
   pratyāsīdati paśya rākṣasa-patiḥ sākṣād ayaṃ pāhi māṃ	pratyAsIdati paSya rAkzasa-patiH sAkzAt ayam pAhi mAm
   ity utkrośati mugdha-vallava-śiśau smero hariḥ pātu vaḥ ||	iti utkroSati mugDa-vallava--SiSO smeraH hariH pAtu vaH ||
   evaṃ veśa-ceṣṭābhyām apy udāhāryam |	evam veSa--cezwAByAm api udAhAryam |
   athānyāṅgam | tatra vācā, yathā -	aTa-anya-aFgam | tatra vAcA, yaTA -
   yady ullaṅghya giraṃ visarpati tataḥ svāṅge vraṇaṃ pāṇijaiḥ	yadi ullaFGya giram visarpati tatas sva-aFge vraNam pANijEH
   kurvann eva kṛtaṃ tvayeti jaratī-laksāya vakṣyāmy aham |	kurvan eva kRtam tvayA-iti jaratI--laksAya vakzyAmi aham |
   ity ukte svaram ākulām iva bhayād ālokya rādhāṃ punaḥ	iti ukte svaram AkulAm iva BayAt Alokya rADAm punar-
   stabdhībhūta-gatiṃ hariḥ smita-mukhaḥ śliṣyan mudaṃ vaḥ kriyāt ||	stabDI-BUta-gatim hariH smita-muKaH Slizyan mudam vaH kriyAt ||
   veṣeṇa, yathā -	vezeNa, yaTA -
   rādhā-puraḥ sphurati saṃvihitābhimanyu-	rADA--puras sPurati saMvihita-aBimanyu-
   veṣe muradviṣi manāg upalabdha-bhītiḥ |	veze muradvizi manAk upalabDa-BItiH |
   naisargikīṃ praṇayataḥ sva-manaḥ-pravṛttiṃ	nEsargikIm praNayataH sva-manaH--pravRttim
   tatrāvadhārya caturā smitam ātatāna ||	tatra-avaDArya caturA smitam AtatAnaH ||
   ceṣṭayā, yathā rasa-sudhākare (1.275)	cezwayA, yaTA rasa--suDA-kare (1.275)
   prahlāda-vatsala vayaṃ bibhimo vihārād	prahlAda--vatsala vayam biBimaH vihArAt-
   asmād iti dhvanita-narmasu gopikāsu |	asmAt iti Dvanita--narmasu gopikAsu |
   līlā-mṛdu stana-taṭeṣu nakhāṅkurāṇi	lIlA--mRdu stana--tawezu naKa-aFkurANi
   vyāpārayann avatu vaḥ śikhi-piccha-mauliḥ ||	vyApArayan avatu vaH SiKi-picCa--mOliH ||
   narmedam aṣṭādaśadhā vispaṣñam abhidarśitam |	narma-idam azwAdaSaDA vispazQam aBidarSitam |
   atha narma-sphañjaḥ -	aTa narma-sPaQjaH -
   narma-sphañjaḥ sukhodyogo bhayārto nava-saṅgamaḥ // RNc_264 //	narma-sPaQjaH suKa-udyogaH Baya-ArtaH nava--saFgamaH // RNt-_264 //
   yathā -	yaTA -
   sāśaṅkaṃ kṣipator dṛśaṃ pratidiśaṃ vrīḍā-jaḍa-svāntayor	sa-ASaFkam kzipatoH dRSam pratidiSam vrIxA--jaxa--svAntayoH-
