   keśavakṛtā kauśikapaddhatiḥ	keSava kRtA kOSika padDatiH
             sā tatra prāyaścittiḥ || KauśS_13,13{105}.2 ||]	sA tatra prAyaScittiH || KOSH _13,13{105}.2 ||]
   śāntyudakaṃ cātanādiśca tata ājyabhāgāntaṃ kṛtvā 'ya āsurāḥ' 'mā no	SAntyudakam ca Atana AdiH ca tatas Ajya BAga antam kRtvA ayaH AsurAHa amA no
   vidan', 'namo devavadhebhyaḥ' ityājyaṃ juhuyāt | pārvaṇādyuttaratantram |	vidan a, anamaH deva vaDeByaH a iti Ajyam juhuyAt | pArvaNa Adi uttaratantram |
   devatā nṛtyanti cyotanti hasanti gāyanti prasthijyanti pradhūpayanti	devatAH nRtyanti cyotanti hasanti gAyanti prasTijyanti praDUpayanti
   unmīlayanti lohitaṃ sravanti prādurbhavanti gamanaṃ kurvanti	unmIlayanti lohitam sravanti prAdurBavanti gamanam kurvanti
   sarvadevatāpratimāyāṃ	sarva devatA pratimAyAm
   pāṣāṇaprabhṛtirajatahiraṇyasphaṭikaprabhṛtiliṅgavāsudevaśaṅkarasarasvatītyādiprabhṛtayaḥ	pAzANa praBRti rajata hiraNya sPawika praBRti liFga vAsudeva SaFkara sarasvatI ityAdi praBRtayaH
   anyāni vā bahūni vidhānyāni rūpāṇi kurvanti devatāprabhṛtayaḥ |	anyAni vA bahUni viDAnyAni rUpANi kurvanti devatA praBRtayaH |
   devatādbhutaśāntiḥ samāptā || trayodaśī kaṇḍikā || KKp_105 ||	devatA adButa SAntiH samAptA || trayodaSI kaNxikA || KKB _105 ||
        atha lāṅgalasaṃsarge śāntirucyate 	aTa lAFgala saMsarge SAntiH ucyate 
             [atha yatraitallāṅgale saṃsṛjataḥ puroḍāśaṃ śrapayitvā ||	[aTa yatra etat lAFgale saMsRjataH puroxASam SrapayitvA ||
   KauśS_13,14{106}.1 ||	KOSH _13,14{106}.1 ||
             araṇyasyārdhamabhivrajya || KauśS_13,14{106}.2 ||	araNyasya arDam aBivrajya || KOSH _13,14{106}.2 ||
             prācīṃ sītāṃ sthāpayitvā || KauśS_13,14{106}.3 ||	prAcIm sItAm sTApayitvA || KOSH _13,14{106}.3 ||
             sītāyā madhye prāñcamidhmamupasamādhāya || KauśS_13,14{106}.4 ||	sItAyAH maDye prAQcam iDmam upasamADAya || KOSH _13,14{106}.4 ||
             parisamuhya paryukṣya paristīrya barhiḥ śamyāḥ paridhīn kṛtvā ||	parisamuhya paryukzya paristIrya barhiH SamyAH pariDIn kRtvA ||
   KauśS_13,14{106}.5 ||	KOSH _13,14{106}.5 ||
             atha juhoti vittirasi puṣṭirasi śrīrasi prājāpatyānāṃ tāṃ tvāhaṃ	aTa juhoti vittiH asi puzwiH asi SrIH asi prAjApatyAnAm tAm tvA aham
   mayi puṣṭikāmo juhomi svāhā || KauśS_13,14{106}.6 ||	mayi puzwi kAmaH juhomi svAhA || KOSH _13,14{106}.6 ||
             kumudvatī puṣkariṇī sītā sarvāṅgaśobhanī | kṛṣiḥ sahasraprakārā	kumudvatI puzkariNI sItA sarva aFga SoBanI | kRziH sahasra prakArA
   pratyaṣṭā śrīriyaṃ mayi || urvīṃ tvāhurmanuṣyāḥ śriyaṃ tvā manaso viduḥ |	pratyazwA SrIH iyam mayi || urvIm tu AhuH manuzyAH Sriyam tvA manasaH viduH |
   āśaye'nnasya no dhehyanamīvasya śuṣmiṇaḥ || parjanyapatni	ASaye annasya naH Dehi anamIvasya SuzmiNaH || parjanya patni
   hariṇyabhijitāsyabhi no vada | kālanetre haviṣo no juṣasva tṛptiṃ no dhehi	hariNI aBijita asi aBi naH vada | kAlanetre havizaH naH juzasva tRptim naH Dehi
   dvipade catuṣpade || yābhirdevā asurānakalpayan yātūn manūn gandharvān	dvipade catuzpade || yABiH devAH asurAn akalpayan yAtUn manUn ganDarvAn
   rākṣasāṃśca | tābhirno adya sumanā upā gahi sahasrāpoṣaṃ subhage rarāṇā ||	rAkzasAn= ca | tABiH naH adya sumanAH upAH gahi sahasrApozam suBage rarANAH ||
   hiraṇyasrak puṣkariṇī śyāmā sarvāṅgaśobhanī | kṛṣirhiraṇyaprakārā	hiraNya sraj puzkariNI SyAmA sarva aFga SoBanI | kRziH hiraNya prakArA
   pratyaṣṭā śrīriyaṃ mayi || aśvibhyāṃ devi saha saṃvidānā indreṇa rādhena	pratyazwA SrIH iyam mayi || aSviByAm devi saha saMvidAnAH indreNa rADena
   saha puṣṭyā na ā gahi | viśvastvā rāsantāṃ pradiśo'nu sarvā	saha puzwyA naH A gahi | viSvaH tvA rAsantAm pradiSaH anu sarvA
   ahorātrārdhamāsamāsā ārtavā ṛtubhiḥ saha || bhartrī devānāmuta martyānāṃ	ahorAtra arDa mAsa mAsAH ArtavAH RtuBiH saha || BartrI devAnAm uta martyAnAm
   bhartrī prajānāmuta mānuṣāṇām | hastibhiritarāsaiḥ kṣetrasārathibhiḥ saha	BartrI prajAnAm uta mAnuzANAm | hastiBiH ita rAsEH kzetra sAraTiBiH saha
   | hiraṇyairaśvairā gobhiḥ pratyaṣṭā śrīriyaṃ mayi || KauśS_13,14{106}.7 ||	| hiraNyEH aSvErA goBiH pratyazwA SrIH iyam mayi || KOSH _13,14{106}.7 ||
             atra śunāsīrāṇyanuyojayeta || KauśS_13,14{106}.8 ||	atra SunA sIrANi anuyojayeta || KOSH _13,14{106}.8 ||
             varamanaḍvāhamiti samānam || KauśS_13,14{106}.9 ||]	varam anaxvAham iti samAnam || KOSH _13,14{106}.9 ||]
   araṇye gatvā tatra prācīṃ sītāṃ sthāpayitvā sītāyā madhye śāntyudakādi	araNye gatvA tatra prAcIm sItAm sTApayitvA sItAyAH maDye SAntyudaka Adi
   ājyabhāgāntaṃ kṛtvā tataḥ śamyāḥ paridhīn kṛtvā tataḥ puroḍāśaṃ juhoti |	Ajya BAga antam kRtvA tatas SamyAH pariDIn kRtvA tatas puroxASam juhoti |
   avadāyāvadāya caturavattahomaḥ puroḍāśasya | 'vittirasi puṣṭirasi' iti	avadAya avadAya catur avat tahomaH puroxASasya | avittiH asi puzwiH asi a iti
   sūktena | tataḥ sarvatra śāntyudakaṃ kṛtvā sarvatra cātanānyanuyojayet |	sUktena | tatas sarvatra SAntyudakam kRtvA sarvatra cAtanAni anuyojayet |
   mātṛnāmāni sarvatra | śāntyudake anuyojane viśeṣaḥ | 'sīrā yuñjanti'	mAtR nAmAni sarvatra | SAntyudake anuyojane viSezaH | asIrAH yuQjanti a
   (3.17) iti sūktaṃ 'yasyedamā rajaḥ' (6.33) iti sūktaṃ 'satyaṃ bṛhat'	(3.17) iti sUktam ayasya idamA rajaH a (6.33) iti sUktam asatyam bRhat a
   (12.1) ityanuvākaḥ etāni śāntyudake anuyojayet | śāntyudakena kārayituśca	(12.1) iti anuvAkaH etAni SAntyudake anuyojayet | SAntyudakena kArayituH ca
   ācamanaṃ prokṣaṇam | sīraṃ prokṣayet | ṛcā kṣetra ca |	Acamanam prokzaNam | sIram prokzayet | RcA kzetra ca |
   pārvaṇādyuttaratantram | tasmin kṣetre karmaprayogaḥ | sītāmadhye	pArvaNa Adi uttaratantram | tasmin kzetre karma prayogaH | sItA maDye
   lāṅgalasaṃsarge pucchasaṃsarge ca lāṅgalādbhutaśāntiḥ || caturdaśī kaṇḍikā	lAFgala saMsarge pucCa saMsarge ca lAFgala adButa SAntiH || caturdaSI kaNxikA
   || KKp_106 ||	|| KKB _106 ||
        rajjukartane śāntirucyate 	rajju kartane SAntiH ucyate 
             [atha yatraitat sṛjantyorvā kṛntantyorvā nānā tantū saṃsṛjataḥ	[aTa yatra etat sRjantyoH vA kRntantyoH vA nAnA tantU saMsRjataH
   manāyai tantuṃ prathamam ityetena sūktena juhuyāt || KauśS_13,15{107}.1 ||	manAyE tantum praTamam iti etena sUktena juhuyAt || KOSH _13,15{107}.1 ||
             manāyai tantuṃ prathamaṃ paśyedanyā atanvata | tannārīḥ	manAyE tantum praTamam paSyet anyAH atanvata | tad nArIH
   prabravīmi vaḥ sādhvīrvaḥ santūrvarīḥ || sādhurvastanturbhavatu sādhuretu	prabravImi vaH sADvIrvaH santUH varIH || sADuH vaH tantuH Bavatu sADuH etu
   ratho vṛtaḥ | atho horvarīryūyaṃ prātarvoḍhave dhāvata || khargalā iva	raTaH vRtaH | aTo horvarIH yUyam prAtar voXave DAvata || KargalAH iva
   patvarīrapāmugramivāyanam | patantu patvarīrivorvarīḥ sādhunā pathā ||	patu arIrapAm ugram iva ayanam | patantu patvarIH iva urvarIH sADunA paTA ||
   avācyau te totudyete todenāśvatarāviva | pra stomamurvarīṇāṃ	avAcyO te totudyete todena aSvatarO= iva | pra stomamuru arINAm
   śaśayānāmastāviṣam || nārī pañcamayūkhaṃ sūtravat kṛṇute vasu | ariṣṭo	SaSayAnAm astAvizam || nArI paQcama yUKam sUtra vat kRNute vasu | arizwaH 
   asya vastā prendra vāsa utodira || KauśS_13,15{107}.2 ||	asya vastA prendra vAsaH uta udira || KOSH _13,15{107}.2 ||
             vāsaḥ kartre dadyāt || KauśS_13,15{107}.3 ||	vAsaH kartre dadyAt || KOSH _13,15{107}.3 ||
             sā tatra prāyaścittiḥ || KauśS_13,15{107}.4 ||]	sA tatra prAyaScittiH || KOSH _13,15{107}.4 ||]
   śāntyudakādi ājyaṃ cāgāre kṛtvā 'manāyai tantum' ityetena sūktenājyaṃ	SAntyudaka Adi Ajyam ca AgAre kRtvA amanAyE tantum a iti etena sUktena Ajyam
   juhuyāt | pārvaṇādyuttaratantram | vāsaḥ kartre dadyāt | dhenuṃ	juhuyAt | pArvaNa Adi uttaratantram | vAsaH kartre dadyAt | Denum
   kāṃsavasanaṃ sarvatra dadyāt | ayudvaye nṛtyamānabhavati kartyamāne	kAMsa vasanam sarvatra dadyAt | ayu dvaye nRtyamAna Bavati kartyamAne
   sūcakadvayaṃ yaddvidhā bhavati | samāptā sūtre ca dviḥsambhave śāntiḥ ||	sUcaka dvayam yat dviDA Bavati | samAptA sUtre ca dviHsamBave SAntiH ||
   pañcadaśī kaṇḍikā || KKp_107 ||	paQcadaSI kaNxikA || KKB _107 ||
        athāgnisaṃsarge laukike śāntirucyate 	aTa agni saMsarge lOkike SAntiH ucyate 
             [atha yatraitadagnināgniḥ saṃsṛjyate bhavataṃ naḥ samanasau	[aTa yatra etat agninA agniH saMsRjyate Bavatam naH sa manasO
   samokasau ityetena sūktena juhuyāt || KauśS_13,16{108}.1 ||	samokasO iti etena sUktena juhuyAt || KOSH _13,16{108}.1 ||
             bhavataṃ naḥ samanasau samokasāvarepasau | mā hiṃsiṣṭaṃ	Bavatam naH sa manasO samoka sAvara IpasO | mA hiMsizwam
   yajñapatiṃ mā yajñaṃ jātavedasau śivau bhavatamadya naḥ || agnināgniḥ	yajQapatim mA yajQam jAtavedasO SivO Bavatam adya naH || agninA agniH
   saṃsṛjyate kavirbṛhaspatiryuvā havyavāḍ juhvāsyaḥ || tvaṃ hyagne agninā	saMsRjyate kaviH bRhaspatiH yuvA havyavAw juhU AsyaH || tvam hi agne agninA
   vipro vipreṇa sansatā | sakhā sakhyā samidhyase || pāhi no agna ekayā pāhi	vipraH vipreNa sansatA | saKA saKyA samiDyase || pAhi naH agne ekayA pAhi
   na uta dvitīyayā | pāhi gīrbhistisṛbhirūrjāṃ pate pāhi catasṛbhirvaso ||	na uta dvitIyayA | pAhi gIrBiH tisRBiH UrjAm pate pAhi catasRBiH vasaH ||
   samīcī māhanī pātāmāyuṣmatyā ṛco mā satsi | tanūpāt sāmno vasuvidaṃ	samIcI mAhanI pAtAm AyuzmatyA RcaH mA satsi | tanUpAt sAmnaH vasu vidam
   lokamanusañcarāṇi || KauśS_13,16{108}.2 ||	lokam anusaQcarANi || KOSH _13,16{108}.2 ||
             rukmaṃ kartre dadyāt || KauśS_13,16{108}.3 ||	rukmam kartre dadyAt || KOSH _13,16{108}.3 ||
             sā tatra prāyaścittiḥ || KauśS_13,16{108}.4 ||]	sA tatra prAyaScittiH || KOSH _13,16{108}.4 ||]
   śāntyudakādi ājyabhāgāntaṃ kṛtvā 'bhavataṃ naḥ samanasau' ityetena sūktena	SAntyudaka Adi Ajya BAga antam kRtvA aBavatam naH samanasO a iti etena sUktena
   juhuyāt | rukmaṃ ca kartre dadyāt | pārvaṇādyuttaratantram | dhenuṃ	juhuyAt | rukmam ca kartre dadyAt | pArvaNa Adi uttaratantram | Denum
   kāṃsavasanaṃ ca sarvatra | laukikāgnisaṃsarge śāntiḥ samāptā || ṣoḍaśī	kAMsa vasanam ca sarvatra | lOkika agni saMsarge SAntiH samAptA || zoxaSI
   kaṇḍikā || KKp_108 ||	kaNxikA || KKB _108 ||
        atha godviyamalajanane śāntirucyate 	aTa go dviyamala janane SAntiH ucyate 
             [atha yatraitadayamasūryamau janayati tāṃ śāntyudakenābhyukṣya	[aTa yatra etat ayam asUryamO janayati tAm SAntyudakena aByukzya
   dohayitvā || KauśS_13,17{109}.1 ||	dohayitvA || KOSH _13,17{109}.1 ||
             tasyā eva gordugdhe sthālīpākaṃ śrapayitvā || KauśS_13,17{109}.2	tasyAH eva goH dugDe sTAlIpAkam SrapayitvA || KOSH _13,17{109}.2
             prāñcamidhmamupasamādhāya || KauśS_13,17{109}.3 ||	prAQcam iDmam upasamADAya || KOSH _13,17{109}.3 ||
             parisamuhya paryukṣya paristīrya barhirudapātramupasādya ||	parisamuhya paryukzya paristIrya barhiH uda pAtram upasAdya ||
   KauśS_13,17{109}.4 ||	KOSH _13,17{109}.4 ||
             ekaikayaiṣā sṛṣṭyā saṃ babhūva (3.28) ityetena sūktenājyaṃ	ekEkayA ezA sRzwyA sam baBUva (3.28) iti etena sUktena Ajyam
   juhvan || KauśS_13,17{109}.5 ||	juhvan || KOSH _13,17{109}.5 ||
             udapātre sampātānānayati || KauśS_13,17{109}.6 ||	uda pAtre sampAtAnAnayati || KOSH _13,17{109}.6 ||
             uttamaṃ sampātamodane pratyānayati || KauśS_13,17{109}.7 ||	uttamam sampAtam odane pratyAnayati || KOSH _13,17{109}.7 ||
             tato gāṃ ca prāśayati vatsau codapātrādenānācāmayati ca	tatas gAm ca prASayati vatsO ca uda pAtrAt enAn AcAmayati ca
   samprokṣati ca || KauśS_13,17{109}.8 ||	samprokzati ca || KOSH _13,17{109}.8 ||
             tāṃ tasyaiva dadyāt || KauśS_13,17{109}.9 ||	tAm tasya eva dadyAt || KOSH _13,17{109}.9 ||
             sā tatra prāyaścittiḥ || KauśS_13,17{109}.10 ||]	sA tatra prAyaScittiH || KOSH _13,17{109}.10 ||]
   śāntyudakādi ājyabhāgāntaṃ kṛtvā śāntyudakena gāṃ vatsau ca prokṣya tataḥ	SAntyudaka Adi Ajya BAga antam kRtvA SAntyudakena gAm vatsO ca prokzya tatas 
   gāṃ dohayitvā tena dugdhena sthālīpākaṃ śrapayitvā 'ekaikayaiṣā sṛṣṭyā saṃ	gAm dohayitvA tena dugDena sTAlIpAkam SrapayitvA aekEkayA ezA sRzwyA saM
   babhūva' ityetena sūktenājyaṃ juhuyāt | udapātre sampātānānayati | 'yatrā	baBUva a iti etena sUktena Ajyam juhuyAt | uda pAtre sampAtAnAnayati | ayatrA
   suhārdām' (3.28.6) ityṛcā uttamaṃ sampātamodane pratyānayati | tata odanaṃ	suhArdAma (3.28.6) iti RcA uttamam sampAtam odane pratyAnayati | tatas odanam
   gāṃ vatsau ca prāśayati | tata udapātreṇācāmayati ca samprokṣati ca |	gAm vatsO ca prASayati | tatas uda pAtreNa AcAmayati ca samprokzati ca |
   pārvaṇādyuttaratantram | gāṃ vatsau ca kartre dadyāt | sarvatra	pArvaNa Adi uttaratantram | gAm vatsO ca kartre dadyAt | sarvatra
   kaṃsavasanaṃ gauḥ dakṣiṇā varāṃ dhenuṃ ca | goyamalajanane adbhutaśāntiḥ	kaMsa vasanam gOH dakziNA varAm Denum ca | goyamala janane adButa SAntiH
   samāptā || saptadaśī kaṇḍikā || KKp_109 ||	samAptA || saptadaSI kaNxikA || KKB _109 ||
        athāśvā vā gardabhī vā yamalajanane śāntirucyate 	aTa aSvAH vA gardaBI vA yamala janane SAntiH ucyate 
             [atha cedvaḍavā vā gardabhī vā syādevameva	[aTa ced vaxavA vA gardaBI vA syAt evam eva
   prāñcamidhmamupasamādhāya || KauśS_13,18{110}.1 ||	prAQcam iDmam upasamADAya || KOSH _13,18{110}.1 ||
             evaṃ paristīrya || KauśS_13,18{110}.2 ||	evam paristIrya || KOSH _13,18{110}.2 ||
             evamupasādya || KauśS_13,18{110}.3 ||	evam upasAdya || KOSH _13,18{110}.3 ||
             etenaiva sūktenājyaṃ juhvan || KauśS_13,18{110}.4 ||	etena eva sUktena Ajyam juhvan || KOSH _13,18{110}.4 ||
             udapātre sampātānānayati || KauśS_13,18{110}.5 ||	uda pAtre sampAtAnAnayati || KOSH _13,18{110}.5 ||
             udapātrādenānācāmayati ca samprokṣati ca || KauśS_13,18{110}.6	udapAtrAt enAnAcAmayati ca samprokzati ca || KOSH _13,18{110}.6
             tāṃ tasyaiva dadyāt || KauśS_13,18{110}.7 ||	tAm tasya eva dadyAt || KOSH _13,18{110}.7 ||
             sā tatra prāyaścittiḥ || KauśS_13,18{110}.8 ||]	sA tatra prAyaScittiH || KOSH _13,18{110}.8 ||]
   śāntyudakādi ājyabhāgāntaṃ kṛtvā 'ekaikayaiṣā sṛṣṭyā saṃ babhūva' iti	SAntyudaka Adi Ajya BAga antam kRtvA aekEkayA ezA sRzwyA sam baBUva a iti
   sūktenājyaṃ juhvannudapātre sampātānānayati | udapātreṇāśvādi ācāmayati ca	sUktena Ajyam juhvan= uda pAtre sampAtAnAnayati | uda pAtreNa aSva Adi AcAmayati ca
   samprokṣati ca | pārvaṇādyuttaratantram | aśvā vā gardabhī vā yamalajanane	samprokzati ca | pArvaNa Adi uttaratantram | aSvAH vA gardaBI vA yamala janane
   śāntiḥ samāptā | kecit pūrvaṃ śāntyudakaṃ kurvanti kecit paścāt	SAntiH samAptAH | kecid pUrvam SAntyudakam kurvanti kecid paScAt 
   śāntyudakaṃ kurvanti | tāṃ tasyaiva dadyāt | sarvatra śāntyudake	SAntyudakam kurvanti | tAm tasya eva dadyAt | sarvatra SAntyudake
   cātanānyanuyojayet mātṛnāmāni ca | sarvatra varāṃ dhenuṃ kartre dadyāt |	cAtanAni anuyojayet mAtR nAmAni ca | sarvatra varAm Denum kartre dadyAt |
   sarvatra kaṃsavasanaṃ dakṣiṇā | sarvatra śrāddhaṃ kuryāt | sarvatra eṣā	sarvatra kaMsa vasanam dakziNA | sarvatra SrAdDam kuryAt | sarvatra ezA
   dakṣiṇā dātavyā | uktā dakṣiṇā sāpi taṃ dātavyā || aṣṭādaśī kaṇḍikā ||	dakziNA dAtavyA | uktA dakziNA sA api tam dAtavyA || azwAdaSI kaNxikA ||
   KKp_110 ||	KKB _110 ||
        atha mānuṣīyamalajanane śāntirucyate 	aTa mAnuzIyamala janane SAntiH ucyate 
             [atha cenmānuṣī syādevameva prāñcamidhmamupasamādhāya ||	[aTa ced mAnuzI syAt evam eva prAQcam iDmam upasamADAya ||
   KauśS_13,19{111}.1 ||	KOSH _13,19{111}.1 ||
             evaṃ paristīrya || KauśS_13,19{111}.2 ||	evam paristIrya || KOSH _13,19{111}.2 ||
             evamupasādya || KauśS_13,19{111}.3 ||	evam upasAdya || KOSH _13,19{111}.3 ||
             upasthe jātakāvādhāya || KauśS_13,19{111}.4 ||	upasTe jAtaka a= ADAya || KOSH _13,19{111}.4 ||
             etenaiva sūktenājyaṃ juhvan || KauśS_13,19{111}.5 ||	etena eva sUktena Ajyam juhvan || KOSH _13,19{111}.5 ||
             amīṣāṃ mūrdhni sa mātuḥ putrayorityanupūrvaṃ sampātānānayati ||	amIzAm mUrDni sa mAtuH putrayoH iti anupUrvam sampAtAn Anayati ||
   KauśS_13,19{111}.6 ||	KOSH _13,19{111}.6 ||
             udapātra uttarān sampātān || KauśS_13,19{111}.7 ||	udapAtre uttarAn sampAtAn || KOSH _13,19{111}.7 ||
             udapātrādenānācāmayati ca samprokṣati ca || KauśS_13,19{111}.8	udapAtrAt enAnAcAmayati ca samprokzati ca || KOSH _13,19{111}.8
             tāṃ tasyaiva dadyāt || KauśS_13,19{111}.9 ||	tAm tasya eva dadyAt || KOSH _13,19{111}.9 ||
             sā tatra prāyaścittiḥ || KauśS_13,19{111}.10 ||	sA tatra prAyaScittiH || KOSH _13,19{111}.10 ||
             tasyā niṣkrayo yathārhaṃ yathāsampadvā || KauśS_13,19{111}.11	tasyAH nizkrayaH yaTArham yaTA sampad vA || KOSH _13,19{111}.11
   śāntyudakādi ājyabhāgāntaṃ kṛtvā 'ekaikayaiṣā' iti sūktenājyaṃ juhvan	SAntyudaka Adi Ajya BAga antam kRtvA aekEkayA ezA a iti sUktena Ajyam juhvan
   mānuṣīputrayormūrdhni sampātānānayati | yathāpūrvamudapātre	mAnuzI putrayoH mUrDni sampAtAn Anayati | yaTApUrvam uda pAtre
   uttarasampātānānayati | udapātreṇācāmayati ca samprokṣati ca |	uttara sampAtAn Anayati | uda pAtreNa AcAmayati ca samprokzati ca |
   pārvaṇādyuttaratantram | śāntyudakādi kaṃsādīni ca | yamalajananīṃ striyaṃ	pArvaNa Adi uttaratantram | SAntyudaka Adi kaMsa AdIni ca | yamala jananIm striyam
   kartre dadyāt | tasyā niṣkrayo yathārhaṃ yathāsampadvā |	kartre dadyAt | tasyAH nizkrayaH yaTArham yaTA sampad vA |
   mānuṣīyamalajanane śāntiḥ samāptā || ekonaviṃśī kaṇḍikā || KKp_111 ||	mAnuzIyamala janane SAntiH samAptA || ekonaviMSI kaNxikA || KKB _111 ||
        atha lohite godugdhe śāntirucyate 	aTa lohite go dugDe SAntiH ucyate 
             [atha yatraitad dhenavo lohitaṃ duhate yaḥ pauruṣeyeṇa kraviṣā	[aTa yatra etat DenavaH lohitam duhate yaH pOruzeyeNa kravizA
   samaṅkte (8.3.15 18) ityetābhiścatasṛbhirjuhuyāt || KauśS_13,20{112}.1 ||	samaFkte (8.3.15 18) iti etABiH catasRBiH juhuyAt || KOSH _13,20{112}.1 ||
             varāṃ dhenuṃ kartre dadyāt || KauśS_13,20{112}.2 ||	varAm Denum kartre dadyAt || KOSH _13,20{112}.2 ||
             sā tatra prāyaścittiḥ || KauśS_13,20{112}.3 ||]	sA tatra prAyaScittiH || KOSH _13,20{112}.3 ||]
   śāntyudakādi ājyabhāgāntaṃ kṛtvā 'yaḥ pauruṣeyeṇa kraviṣā samaṅkte'	SAntyudaka Adi Ajya BAga antam kRtvA ayaH pOruzeyeNa kravizA samaFkte a
   ityetābhiścatasṛbhirājyaṃ juhuyāt | pārvaṇādyuttaratantram |	iti etABiH catasRBi H Ajyam juhuyAt | pArvaNa Adi uttaratantram |
   varamanaḍvāhanivṛttiḥ | anyāṃ varāṃ dhenuṃ kartre dadyāt | kaṃsādīni ca |	varam anaxvAha nivRttiH | anyAm varAm Denum kartre dadyAt | kaMsa AdIni ca |
   lohitadugdhe adbhutaśāntiḥ samāptā || viṃśī kaṇḍikā || KKp_112 ||	lohita dugDe adButa SAntiH samAptA || viMSI kaNxikA || KKB _112 ||
        athānaḍvāho dhenuṃ dhayati tatra śāntirucyate 	aTa anaxvAhaH Denum Dayati tatra SAntiH ucyate 
             [atha yatraitadanaḍvān dhenuṃ dhayati tatra juhuyāt ||	[aTa yatra etat anaxvAn Denum Dayati tatra juhuyAt ||
   KauśS_13,21{113}.1 ||	KOSH _13,21{113}.1 ||
             anaḍvān dhenumadhayadindro go rūpamāviśat | sa me bhūtiṃ ca	anaxvAn Denu m aDayat indraH goH rUpam AviSat | sa me BUtim ca
   puṣṭiṃ ca dīrghamāyuśca dhehi naḥ | indrāya svāhā iti hutvā ||	puzwim ca dIrGam AyuH ca Dehi naH | indrAya svAhA iti hutvA ||
   KauśS_13,21{113}.2 ||	KOSH _13,21{113}.2 ||
             mā no vidan (1.19), namo devavadhebhyaḥ (6.13) ityetābhyāṃ	mA naH vidan (1.19), namaH deva vaDeByaH (6.13) iti etAByAm
   sūktābhyāṃ juhuyāt || KauśS_13,21{113}.3 ||	sUktAByAm juhuyAt || KOSH _13,21{113}.3 ||
             sā tatra prāyaścittiḥ || KauśS_13,21{113}.4 ||]	sA tatra prAyaScittiH || KOSH _13,21{113}.4 ||]
   śāntyudakādi ājyabhāgāntaṃ kṛtvā 'anaḍvān dhenum' ityṛcā 'mā no vidan',	SAntyudaka Adi Ajya BAga antam kRtvA aanaxvAn Denuma iti RcA amA naH vidan a,
   'namo devavadhebhyaḥ' ityetābhyāṃ sūktābhyāṃ cājyaṃ juhuyāt |	anamaH deva vaDeByaH a iti etAByAm sUktAByAm ca Ajyam juhuyAt |
   pārvaṇādyuttaratantram || ekaviṃśī kaṇḍikā || KKp_113 ||	pArvaNa Adi uttaratantram || ekaviMSI kaNxikA || KKB _113 ||
        atha dhenurdhenuṃ dhayati śāntirucyate 	aTa DenuH Denum Dayati SAntiH ucyate 
             [atha yatraitad dhenurdhenuṃ dhayati tatra juhuyāt ||	[aTa yatra etat DenuH Denum Dayati tatra juhuyAt ||
   KauśS_13,22{114}.1 ||	KOSH _13,22{114}.1 ||
             yogakṣemaṃ dhenuṃ vājapatnīmindrāgnibhyāṃ preṣite jañjabhāne |	yogakzemam Denum vAja patnIm indra agniByAm prezite jaQjaBAne |
