   akāmataḥ kāmacāre Yj_2.162c	akAmatas kAmacAre Yt-_2.162c
   śaucam indriyanigrahaḥ Yj_1.122b	SOcam indriya-nigrahaH Yt-_1.122b
   śaucaṃ kuryād atandritaḥ Yj_1.17d	SOcam kuryAt atandritaH Yt-_1.17d
   śaucākrodhāpramādatā Yj_3.313d	SOca-akroDa-apramAda-tA Yt-_3.313d
   śaucācārāṃś ca śikṣayet Yj_1.15d	SOca-AcArAn ca Sikzayet Yt-_1.15d
   śauryaṃ kṣetraṃ balaṃ tathā Yj_1.265b	SOryam kzetram balam taTA Yt-_1.265b
   śaulkikaiḥ sthānapālair vā Yj_2.173a	SOlkikEH sTAnapAlEH vE Yt-_2.173a
   śmaśānapatitāntike Yj_1.148d	SmaSAna-patita-antike Yt-_1.148d
   śmaśrukeśāḥ śarīriṇām Yj_3.102b	SmaSru-keSAH SarIriNAm Yt-_3.102b
   śmaśru cāsyagataṃ danta- Yj_1.195c	SmaSru ca-Asya-gatam danta Yt-_1.195c
   śraddhayā parayā yutāḥ Yj_3.192d	SradDayA parayA yutAH Yt-_3.192d
   śraddhā ca no mā vyagamad Yj_1.246c	SradDA ca naH mA vyagamat Yt-_1.246c
   śraddhāpūtaṃ svaśaktitaḥ Yj_1.203d	SradDA-pUtam sva-SaktitaH Yj_1.203d
   śraddhopavāsaḥ svātantryam Yj_3.190c	SradDA-upavAsaH svAtantryam Yt-_3.190c
   śrāddhakālāḥ prakīrtitāḥ Yj_1.218d	SrAdDa-kAlAH prakIrtitAH Yt-_1.218d
   śrāddhaṃ prati ruciś caite Yj_1.218c	SrAdDam prati ruciH ca-ete Yj_1.218c
   śrāddhikaṃ pratigṛhya ca Yj_1.146d	SrAdDikam pratigRhya ca Yt-_1.146d
   śrādhakṛt satyavādī ca Yj_3.205c	SrADa-kRt satya-vAdI ca Yt-_3.205c
   śrāntasaṃvāhanaṃ rogi- Yj_1.209a	SrAnta-saMvAhanam rogi Yt-_1.209a
   śrāvaṇyāṃ śravaṇena vā Yj_1.142b	SrAvaNyAm SravaNena vA Yt-_1.142b
   śriyaṃ cāpnoty anuttamām Yj_1.293d	Sriyam ca-Apnoti anuttamAm Yt-_1.293d
   śrīkāmaḥ śāntikāmo vā Yj_1.295a	SrI-kAmaH SAnti-kAmaH vE Yt-_1.295a
   śrīkāmo mahatīṃ śriyam Yj_3.330d	SrI-kAmaH mahatIm Sriyam Yt-_3.330d
   śrutam adhyayanaṃ tapaḥ Yj_3.44b	Srutam aDyayanam tapaH Yt-_3.44b
   śrutādhyayanaśīlinaḥ Yj_1.199b	Sruta-aDyayana-SIlinaH Yt-_1.199b
   śrutādhyayanasaṃpannā Yj_2.2a	Sruta-aDyayana-saMpannAH Yt-_2.2a
   śrutābhijanakarmaṇām Yj_1.123b	Sruta-aBijana-karmaNAm Yt-_1.123b
   śrutārthasyottaraṃ lekhyaṃ Yj_2.7a	Sruta-arTasya-uttaram leKyam Yt-_2.7a
   śrutijātiviśāradaḥ Yj_3.115b	Sruti-jAti-viSAradaH Yt-_3.115b
   śrutismṛtyuditaṃ samyaṅ Yj_1.154c	Sruti-smRti-uditam samyaF Yt-_1.154c
   śrutiḥ smṛtiḥ sadācāraḥ Yj_1.7a	SrutiH smRtiH sat-AcAraH Yd-_1.7a
   śrutvaitad yājñavaklyo 'pi Yj_3.334a	SrutvA-etat yAjQavaklyaH api Yt-_3.334a
   śrutvaitān ṛṣayo dharmān Yj_3.328a	SrutvA-etAn RzayaH DarmAn Yd-_3.328a
   śreṇayo 'tha kulāni ca Yj_2.30b	SreNayaH aTa kulAni ca Yt-_2.30b
   śreṇinaigamapākhaṇḍa- Yj_2.192a	SreNi-nEgama-pAKaNxa Yt-_2.192a
   śreyasā sukhaduḥkhābhyāṃ Yj_3.171a	SreyasA suKa-duHKAByAm Yt-_3.171a
   śreyān eṣāṃ paraḥ paraḥ Yj_1.128d	SreyAn ezAm paraH paraH Yt-_1.128d
   śrotavyaś ca dvijātibhiḥ Yj_3.191d	SrotavyaH ca dvijAtiBiH Yt-_3.191d
   śrotraṃ ca indriyāṇi ca Yj_3.91d	Srotram ca indriyANi ca Yt-_3.91d
   śrotriyāṇāṃ dhanair api Yj_2.25d	SrotriyANAm DanEH api Yt-_2.25d
   śrotriyān vāsayet sadā Yj_1.339d	SrotriyAn vAsayet sadA Yt-_1.339d
   śrotriyāyopakalpayet Yj_1.109b	SrotriyAya-upakalpayet Yt-_1.109b
   śrotriyebhyo gṛhāṇi ca Yj_1.333d	SrotriyeByaH gRhANi ca Yt-_1.333d
   śrotriyo brahmavid yuvā Yj_1.219b	SrotriyaH brahma-vid yuvA Yt-_1.219b
   śrotriyo vedapāragaḥ Yj_1.111b	SrotriyaH vedapAragaH Yt-_1.111b
   śrautasmārtakriyāparāḥ Yj_2.69b	SrOta-smArta-kriyA-parAH Yt-_2.69b
   śrautasmārtakriyāhetor Yj_1.314a	SrOta-smArta-kriyA-hetoH Yt-_1.314a
   śrautaṃ vaitānikāgniṣu Yj_1.97d	SrOtam vEtAnika-agnizu Yt-_1.97d
   śrautraṃ smārtaṃ phalasnehaiḥ Yj_3.49c	SrOtram smArtam Pala-snehEH Yt-_3.49c
   śleṣmasaṃghātajau stanau Yj_3.97b	Slezma-saMGAta-jO stanO Yt-_3.97b
   śleṣmāśru bāndhavair muktaṃ Yj_3.11a	Slezma-aSru bAnDavEH muktam Yt-_3.11a
   śleṣmaujasas tāvad eva Yj_3.107a	Slezma-ojasaH tAvat eva Yt-_3.107a
   ślokatrayam api hy asmād Yj_3.331a	Sloka-trayam api hi asmAt Yt-_3.331a
   ślokā sūtrāṇi bhāṣyāṇi Yj_3.189c	SlokAH sUtrANi BAzyANi Yt-_3.189c
   śvakroṣṭṛgardabholūka- Yj_1.148a	Sva-krozwR-gardaBa-ulUka Yt-_1.148a
   śvaśuro mātulo 'pi vā Yj_1.358b	SvaSuraH mAtulaH api vE Yt-_1.358b
   śvaśrūśvaśuradevaraiḥ Yj_1.82b	SvaSrU-SvaSura-devarEH Yt-_1.82b
   śvaśrūśvaśuramātulaiḥ Yj_1.86b	SvaSrU-SvaSura-mAtulEH Yt-_1.86b
   śvaspṛṣṭaṃ patitekṣitam Yj_1.167d	Sva-spRzwam patita-Ikzitam Yt-_1.167d
   śvāhimārjāramūṣakaiḥ Yj_1.147b	Sva-ahi-mArjAra-mUzakEH Yt-_1.147b
   śvitrī vastraṃ śvā rasaṃ tu Yj_3.215c	SvitrI vastram SvA rasam tu Yt-_3.215c
   ṣaṭcatvāriṃśake 'hani Yj_2.76d	zawcatvAriMSake ahani Yt-_2.76d
   ṣaṭpañcāśac ca jānīta Yj_3.101c	zawpaQcASat ca jAnIta Yt-_3.101c
   ṣaṭ śleṣmā pañca pittaṃ tu Yj_3.106a	zaw SlezmA paQca pittam tu Yt-_3.106a
   ṣaṭ ṣaḍvaṃśyān sahātmanā Yj_1.60d	zaw zaz-vaMSyAn saha-AtmanA Yt-_1.60d
   ṣaḍahaḥ sopavāsakaḥ Yj_3.315b	zaz-ahar sa-upavAsakaH Yt-_3.315b
   ṣaṇmāsāc chūdrahāpy etad Yj_3.267c	zaz-mAsAt SUdra-hA-api etat Yt-_3.267c
   ṣaṣṭyaṅgulīnāṃ dve pārṣṇyor Yj_3.86a	zazwi-aFgulInAm dve pArzNyoH Yj_3.86a
   ṣaṣṭhe 'nnaprāśanaṃ māsi Yj_1.12c	zazWe annaprASanam mAsi Yj_1.12c
   ṣaṣṭhe balasya varṇasya Yj_3.80c	zazWe balasya varNasya Yt-_3.80c
   ṣaṣṭhe 'ṣṭame vā sīmanto Yj_1.11c	zazWe azwame vA sImantaH Yt-_1.11c
   ṣoḍaśartuniśāḥ strīṇāṃ Yj_1.79a	zoxaSa-Rtu-niSAH strINAm Yt-_1.79a
   ṣoḍaśāṅgulakaṃ jñeyaṃ Yj_2.106c	zoxaSa-aFgulakam jQeyam Yt-_2.106c
   ṣoḍaśādyaḥ paṇān dāpyo Yj_2.224c	zoxaSa-AdyaH paNAn dApyaH Yt-_2.224c
   ṣṭhīvanāsṛkśakṛnmūtra- Yj_1.137a	zWIvana-asRk-SakRt-mUtra Yt-_1.137a
   ṣṭhīvanodvartanādi ca Yj_1.152d	zWIvana-udvartana-Adi ca Yt-_1.152d
   sa ātmā caiva yajñaś ca Yj_3.120a	saH AtmA ca-eva yajQaH ca Yt-_3.120a
   sa eva puruṣaḥ paraḥ Yj_3.183b	saH eva puruzaH paraH Yt-_3.183b
   sakalaṃ dharmalakṣaṇam Yj_1.6d	sakalam Darma-lakzaNam Yt-_1.6d
   sa kāmān āpnuyād imān Yj_1.268b	sa kAmAn ApnuyAt imAn Yt-_1.268b
   sakāmāsv anulomāsu na Yj_2.288a	sa-kAmAsu anulomAsu na Yt-_2.288a
   sa kāyaḥ pāvayet tajjaḥ Yj_1.60c	sa kAyaH pAvayet tad-jaH Yt-_1.60c
   sakāśād ātmanas tadvad Yj_3.67c	sakASAt AtmanaH tadvat Yt-_3.67c
   sakāṃsyapātrā dātavyā Yj_1.204c	sa-kAMsya-pAtrAH dAtavyA Yt-_1.204c
   sakulyo jananī tathā Yj_1.63b	sakulyaH jananI taTA Yt-_1.63b
   sa kūṭasākṣiṇāṃ pāpais Yj_2.77c	sa kUwa-sAkziNAm pApEH Yt-_2.77c
   sakṛt pradīyate kanyā Yj_1.65a	sakRt pradIyate kanyA Yt-_1.65a
   sakṛt prasiñcanty udakaṃ Yj_3.5a	sakRt prasiQcanti udakam Yt-_3.5a
   sakṛt spṛṣṭābhir antataḥ Yj_1.21d	sakRt spRzwABiH antatas Yt-_1.21d
   saktaṃ tyaktvā tataḥ śuciḥ Yj_1.195d	saktam tyaktvA tatas SuciH Yt-_1.195d
   saktūnāṃ prativāsaram Yj_3.321b	saktUnAm prativAsaram Yt-_3.321b
   sakthikeśāvamarśanam Yj_2.284b	sakTi-keSa-avamarSanam Yt-_2.284b
   sakhibhāryākumārīṣu Yj_3.231a	saKi-BAryA-kumArIzu Yj_3.231a
   sakhisaṃbandhibāndhavān Yj_1.108d	saKi-saMbanDi-bAnDavAn Yt-_1.108d
   sa gurur yaḥ kriyāḥ kṛtvā Yj_1.34a	sa guruH yaH kriyAH kRtvA Yt-_1.34a
   sagotrāsu sutantrīṣu Yj_3.231c	sagotrAsu sutantrIzu Yt-_3.231c
   sagotreṇetareṇa vā Yj_2.128d	sagotreNa-itareNa vE Yt-_2.128d
   sagaurasarṣapaiḥ kṣaumaṃ Yj_1.187a	sa-gOrasarzapEH kzOmam Yt-_1.187a
   saṅgatyāgena medhayā Yj_3.188b	saFga-tyAgena meDayA Yt-_3.188b
   saṅgaḥ sadbhir giraḥ śubhāḥ Yj_3.156d	saFgaH sadBiH giraH SuBAH Yt-_3.156d
   sacihnaṃ brāhmaṇaṃ kṛtvā Yj_2.270c	sa-cihnam brAhmaNam kRtvA Yt-_2.270c
   sacailaṃ snātam āhūya Yj_2.97a	sa-cElam snAtam AhUya Yt-_2.97a
   sa jāta iti kīrtyate Yj_3.69d	sa jAtaH iti kIrtyate Yj_3.69d
   sajātāv uttamo daṇḍa Yj_2.286a	sajAtO uttamaH daNxaH Yt-_2.286a
   sa jātisaṃsmaratām iyāt Yj_3.161d	sa jAti-saMsmaratAm iyAt Yt-_3.161d
   sajātīyeṣv ayaṃ proktas Yj_2.133a	sajAtIyezu ayam proktaH Yt-_2.133a
   sa jāpī niyatendriyaḥ Yj_3.285d	sa jApI niyata-indriyaH Yt-_3.285d
   sa jñeyas taṃ viditveha Yj_3.109c	sa jQeyaH tam viditvA-iha Yt-_3.109c
   saḍaṅgāni tathāsthnāṃ ca Yj_3.84c	saxaFgAni taTA-asTnAm ca Yt-_3.84c
   sa tad dadyād viplavāc ca Yj_2.260c	sa tat dadyAt viplavAt ca Yt-_2.260c
   sa tam ādāya saptaiva Yj_2.106a	sa tam AdAya sapta-eva Yt-_2.106a
   sa talliṅgo 'bhijāyate Yj_3.210b	sa tat-liFgaH aBijAyate Yt-_3.210b
   sa tasminn eva līyate Yj_3.180d	sa tasmin eva lIyate Yt-_3.180d
   sa taṃ yatnena pūjayet Yj_1.307b	sa tam yatnena pUjayet Yt-_1.307b
   sa tān āpnoti puṣkalān Yj_1.213d	sa tAn Apnoti puzkalAn Yt-_1.213d
   sa tān sarvān avāpnoti Yj_2.74c	sa tAn sarvAn avApnoti Yt-_2.74c
   satāṃ yogaḥ pravartate Yj_3.160d	satAm yogaH pravartate Yt-_3.160d
   sati dravye phalapradam Yj_1.126d	sati dravye Pala-pradam Yt-_1.126d
   satilaṃ dakṣiṇāmukhaḥ Yj_1.242b	sa-tilam dakziNAmuKaH Yt-_1.242b
   sa tu ṣaṇṇavatiṃ paṇān Yj_2.172d	sa tu zaNNavatim paNAn Yt-_2.172d
   sa tu somaghṛtair devāṃs Yj_1.43a	sa tu soma-GRtEH devAn Yt-_1.43a
   satkṛtasya hi satkriyā Yj_3.299d	satkRtasya hi satkriyA Yt-_3.299d
   satkṛtya bhikṣave bhikṣā Yj_1.108a	satkRtya Bikzave BikzA Yt-_1.108a
   satkṛtya vidhipūrvakam Yj_1.305d	satkRtya viDi-pUrvakam Yt-_1.305d
   satkṛtyānnam akutsayan Yj_1.31d	satkRtya-annam akutsayan Yt-_1.31d
   satkriyānvāsanaṃ svādu Yj_1.109c	satkriyA-anvAsanam svAdu Yt-_1.109c
   sattvaghāte ghṛtāśanam Yj_3.275b	sattva-GAte GRta-aSanam Yt-_3.275b
   sattvayogāt parikṣayāt Yj_3.160b	sattva-yogAt parikzayAt Yt-_3.160b
   sattvayogy amṛtī bhavet Yj_3.159d	sattva-yogI amRtI Bavet Yt-_3.159d
   sattvaṃ rajas tamaś caiva Yj_3.182a	sattvam rajaH tamaH ca-eva Yt-_3.182a
   satyadharme vyavasthitaḥ Yj_2.110b	satya-Darme vyavasTitaH Yt-_2.110b
   satyam asteyam akrodho Yj_3.66a	satyam asteyam akroDaH Yt-_3.66a
   satyavrataparāyaṇāḥ Yj_3.185d	satya-vrata-parAyaNAH Yt-_3.185d
   satyasaṃdhena śucinā Yj_1.355c	satya-saMDena SucinA Yt-_1.355c
   satyas tadardhikaḥ pāda- Yj_2.208c	satyaH tad-arDikaH pAda Yt-_2.208c
   satyaṃkārakṛtaṃ dravyaṃ Yj_2.61c	satyaMkAra-kRtam dravyam Yt-_2.61c
   satyām anyāṃ savarṇāyāṃ Yj_1.88a	satyAm anyAm savarNAyAm Yt-_1.88a
   satyāsatyānyathāstotrair Yj_2.204a	satya-asatyAnyaTA-stotrEH Yt-_2.204a
   satyena bhava me 'mṛtam Yj_2.110d	satyena Bava me amRtam Yt-_2.110d
   satyena mābhirakṣa tvaṃ Yj_2.108a	satyena mA-aBirakza tvam Yt-_2.108a
   satyena hy anṛtena ca Yj_3.170d	satyena hi anRtena ca Yt-_3.170d
   satrivratibrahmacāri- Yj_3.28c	sa-tri-vrati-brahmacAri Yt-_3.28c
   sa dagdhavya upetaś ced Yj_3.2c	sa dagDavyaH upetaH ced Yt-_3.2c
   sa dadyāt prathamaṃ gobhiḥ Yj_3.299c	sa dadyAt praTamam goBiH Yt-_3.299c
   sa dānamānasatkāraiḥ Yj_2.189c	sa dAna-mAna-satkArEH Yt-_2.189c
   sa dāpyaḥ prathamaṃ damam Yj_2.188d	sa dApyaH praTamam damam Yt-_2.188d
   sa dāpyo damam uttamam Yj_2.240d	sa dApyaH damam uttamam Yt-_2.240d
   sa dāpyo damam uttamam Yj_2.243d	sa dApyaH damam uttamam Yt-_2.243d
   sa dāpyo dviguṇaṃ damam Yj_2.231b	sa dApyaH dviguNam damam Yt-_2.231b
   sa dāpyo 'ṣṭaguṇaṃ daṇḍaṃ Yj_2.82c	sa dApyaH azwaguNam daNxam Yt-_2.82c
   sadevāsuramānavam Yj_1.356b	sa-deva-asura-mAnavam Yt-_1.356b
   sadevāsuramānavam Yj_3.118b	sa-deva-asura-mAnavam Yt-_3.118b
   sa devāṃs tarpayed dvijaḥ Yj_1.41b	sa devAn tarpayet dvijaH Yt-_1.41b
   saddānamānasatkārān Yj_1.339c	sat-dAna-mAna-satkArAn Yt-_1.339c
   sadyaḥ śaucaṃ vidhīyate Yj_3.29d	sadyas SOcam viDIyate Yt-_3.29d
   sadyo vā kāmajaiś cihnaiḥ Yj_2.283c	sadyas vA kAma-jEH cihnEH Yt-_2.283c
   sadhāmāni prapadyate Yj_3.168d	sa-DAmAni prapadyate Yt-_3.168d
   sa nāṇakaparīkṣī tu Yj_2.241c	sa nANaka-parIkzI tu Yt-_2.241c
   sa netuṃ nyāyato 'śakyo Yj_1.355a	sa netum nyAyataH aSakyaH Yt-_1.355a
   sann asan sad asac ca yaḥ Yj_3.178d	san asan sat asat ca yaH Yt-_3.178d
   sapaṇaś ced vivādaḥ syāt Yj_2.18a	sa-paNaH ced vivAdaH syAt Yt-_2.18a
   sapiṇḍo vā sagotro vā Yj_1.68c	sapiNxaH vA sagotraH vE Yt-_1.68c
   sa putro dattako bhavet Yj_2.130d	sa putraH dattakaH Bavet Yt-_2.130d
   saptatriṃśadanadhyāyān Yj_1.151c	saptatriMSat-anaDyAyAn Yt-_1.151c
   saptamād daśamād vāpi Yj_3.3a	saptamAt daSamAt vA-api Yt-_3.3a
   saptame cāṣṭame caiva Yj_3.81c	saptame ca-azwame ca-eva Yt-_3.81c
   saptame pañcame 'pi vā Yj_1.96b	saptame paQcame api vE Yt-_1.96b
   saptarātram anāturaḥ Yj_3.281b	sapta-rAtram anAturaH Yt-_3.281b
   saptarṣināgavīthyantar Yj_3.187a	saptarzi-nAga-vITI-antar Yt-_3.187a
   saptaṣaṣṭis tathā lakṣāḥ Yj_3.103c	saptazazwiH taTA lakzAH Yt-_3.103c
   saptāśvatthasya patrāṇi Yj_2.103c	sapta-aSvatTasya patrANi Yt-_2.103c
   saptāhena tu kṛcchro 'yaṃ Yj_3.315c	sapta-ahena tu kRcCraH ayam Yt-_3.315c
   saptaiva tu purīṣasya Yj_3.105c	sapta-eva tu purIzasya Yt-_3.105c
   saptottaraṃ marmaśataṃ Yj_3.102c	sapta-uttaram marma-Satam Yt-_3.102c
   sa pradāpyaḥ kṛṣṭaphalaṃ Yj_2.158c	sa pradApyaH kRzwa-Palam Yt-_2.158c
   sabrahmacārikātmīya- Yj_2.85c	sabrahmacArika-AtmIya Yt-_2.85c
   sabhikaḥ pañcakaṃ śatam Yj_2.199b	saBikaH paQcakam Satam Yt-_2.199b
   sabhyāḥ pṛthak pṛthag daṇḍyā Yj_2.4c	saByAH pRTak pRTak daNxyAH Yt-_2.4c
   sabhyāḥ sajayino daṇḍyā Yj_2.305c	saByAH sa-jayinaH daNxyAH Yt-_2.305c
   sabhyaiḥ parivṛto 'nvaham Yj_1.360d	saByEH parivRtaH anvaham Yt-_1.360d
   sabhyaiḥ saha niyoktavyo Yj_2.3c	saByEH saha niyoktavyaH Yt-_2.3c
   samakālam iṣuṃ muktam Yj_2.109a	sama-kAlam izum muktam Yt-_2.109a
   sa mantriṇaḥ prakurvīta Yj_1.312a	sa mantriNaH prakurvIta Yt-_1.312a
   samam eṣāṃ vivīte 'pi Yj_2.160c	samam ezAm vivIte api Yt-_2.160c
   samarthaḥ kāryanirṇaye Yj_2.10d	samarTaH kArya-nirNaye Yt-_2.10d
   samavāyī tu puruṣo Yj_3.125c	samavAyI tu puruzaH Yt-_3.125c
   samavāyena vaṇijāṃ Yj_2.259a	samavAyena vaNijAm Yt-_2.259a
   samastasya ca tasya ca Yj_3.53d	samastasya ca tasya ca Yt-_3.53d
   samastair evam eva tu Yj_3.191b	samastEH evam eva tu Yt-_3.191b
   samājotsavadarśanam Yj_1.84b	samAja-utsava-darSanam Yt-_1.84b
   samādatte mṛṣā vadan Yj_3.284d	samAdatte mRzA vadan Yt-_3.284d
   samāptavaradakṣiṇaiḥ Yj_1.359d	samApta-vara-dakziNEH Yt-_1.359d
   samāpte 'rthe ṛṇī nāma Yj_2.86a	samApte arTe RNI nAma Yt-_2.86a
   samāpya vedaṃ dyuniśam Yj_1.145c	samApya vedam dyuniSam Yt-_1.145c
   samāmāsatadardhāhar- Yj_2.6c	samAmAsa-tad-arDa-Ahar Yt-_2.6c
   samāmāsatadardhāhar- Yj_2.85a	samAmAsa-tad-arDa-Ahar Yt-_2.85a
   samā vā gurutalpagaḥ Yj_3.260b	samAH vA guru-talpa-gaH Yt-_3.260b
   samāviṣṭo bhramann iha Yj_3.140b	samAvizwaH Braman iha Yt-_3.140b
   samudgaparivartaṃ ca Yj_2.247a	samudga-parivartam ca Yt-_2.247a
   samudbhūto hutāśanaḥ Yj_1.341b	samudBUtaH hutASanaH Yt-_1.341b
   samudragṛhabhedakṛt Yj_2.232d	samudra-gRha-Beda-kRt Yt-_2.232d
   samūhakārya āyātān Yj_2.189a	samUha-kAryaH AyAtAn Yd-_2.189a
   samūhakāryaprahito Yj_2.190a	samUha-kArya-prahitaH Yt-_2.190a
   samūhahitavādinām Yj_2.188b	samUha-hita-vAdinAm Yt-_2.188b
   samūhahitavādinām Yj_2.191d	samUha-hita-vAdinAm Yt-_2.191d
   samṛddhiṃ mukhyatāṃ śubham Yj_1.265d	samRdDim muKya-tAm SuBam Yt-_1.265d
   sameṣu guṇināṃ tathā Yj_2.78b	samezu guNinAm taTA Yt-_2.78b
   sameṣv evaṃ parastrīṣu Yj_2.214a	samezu evam para-strIzu Yd-_2.214a
   sammitāni durācāro yo Yj_1.180c	sammitAni durAcAraH yaH Yt-_1.180c
   samyak tu daṇḍanaṃ rājñaḥ Yj_1.357c	samyak tu daNxanam rAjQaH Yt-_1.357c
   samyakprayuktāḥ sidhyeyur Yj_1.346c	samyak-prayuktAH siDyeyuH Yt-_1.346c
   samyaksaṃkalpajaḥ kāmo Yj_1.7c	samyak-saMkalpa-jaH kAmaH Yt-_1.7c
   samyag vadhyāṃś ca ghātayet Yj_1.359b	samyak vaDyAn ca GAtayet Yt-_1.359b
   sa rājaso manuṣyeṣu Yj_3.138c	sa rAjasaH manuzyezu Yj_3.138c
   sargādau sa yathākāśaṃ Yj_3.70a	sarga-AdO sa yaTA-AkASam Yt-_3.70a
   sarvakartavyatās tathā Yj_1.331d	sarva-kartavyatAH taTA Yt-_1.331d
   sarvakāmaphalaiḥ śubhaiḥ Yj_1.47b	sarva-kAma-PalEH SuBEH Yt-_1.47b
   sarvakāmāṃś ca dehi me Yj_1.291d	sarva-kAmAn ca dehi me Yt-_1.291d
   sarvakāryeṣu caiva tam Yj_3.294d	sarva-kAryezu ca-eva tam Yt-_3.294d
   sarvago 'pi na vedanām Yj_3.130d	sarvagaH api na vedanAm Yt-_3.130d
   sarvataḥ pratigṛhṇīyād Yj_1.216c	sarvatas pratigRhNIyAt Yt-_1.216c
   sarvataḥ sarvadā haret Yj_2.166d	sarvatas sarvadA haret Yt-_2.166d
   sarvadānādhikaṃ yasmāt Yj_1.335c	sarva-dAna-aDikam yasmAt Yt-_1.335c
   sarvadharmabahiṣkṛtaḥ Yj_1.93d	sarva-Darma-bahizkRtaH Yt-_1.93d
   sarvadharmabahiṣkṛtāḥ Yj_1.38b	sarva-Darma-bahizkRtAH Yt-_1.38b
   sarvadharmamayaṃ brahma Yj_1.212a	sarva-Darma-mayam brahma Yt-_1.212a
   sarvapāpaharā hy ete Yj_3.308c	sarva-pApa-harAH hi ete Yt-_3.308c
   sarvapāpāpanuttaye Yj_3.305b	sarva-pApa-apanuttaye Yt-_3.305b
   sarvabhūtahitaḥ śāntas Yj_3.58a	sarva-BUta-hitaH SAntaH Yt-_3.58a
   sarvabhūtātmadarśanam Yj_3.157b	sarva-BUta-Atma-darSanam Yt-_3.157b
   sarvam annam upādāya Yj_1.242a	sarvam annam upAdAya Yt-_1.242a
   sarvam ānantyam aśnute Yj_1.261b	sarvam Anantyam aSnute Yt-_1.261b
   sarvayoniṣu dehinām Yj_3.132d	sarva-yonizu dehinAm Yt-_3.132d
   sarvavarṇeṣv ayaṃ vidhiḥ Yj_2.136d	sarva-varNezu ayam viDiH Yt-_2.136d
   sarvasattvahite rataḥ Yj_3.48d	sarva-sattva-hite rataH Yt-_3.48d
   sarvasya prabhavo viprāḥ Yj_1.199a	sarvasya praBavaH viprAH Yd-_1.199a
   sarvasvaharaṇaṃ kṛtvā Yj_2.187c	sarva-sva-haraNam kRtvA Yt-_2.187c
   sarvaṃ mantram udīrayet Yj_1.136b	sarvam mantram udIrayet Yt-_1.136b
   sarvaḥ sākṣī saṃgrahaṇe Yj_2.72c	sarvaH sAkzI saMgrahaNe Yt-_2.72c
   sarvāuṣadhaiḥ sarvagandhair Yj_1.278a	sarvAu-zaDEH sarva-ganDEH Yj_1.278a
   sarvān kāmān avāpnoti Yj_1.181a	sarvAn kAmAn avApnoti Yt-_1.181a
   sarvārambhavivarjitāḥ Yj_3.187d	sarva-AramBa-vivarjitAH Yt-_3.187d
   sarvāśrayāṃ nije dehe Yj_3.143a	sarva-ASrayAm nije dehe Yt-_3.143a
   sarvāṃl lokāñ jayed gṛhī Yj_1.158d	sarvAn lokAn jayet gRhI Yt-_1.158d
   sarvāṃś ca grāmavāsinaḥ Yj_1.172d	sarvAn ca grAma-vAsinaH Yt-_1.172d
   sarve ca vanagocarāḥ Yj_2.150d	sarve ca vana-gocarAH Yt-_2.150d
   sarve 'mī śuddhihetavaḥ Yj_3.31d	sarve amI SudDi-hetavaH Yt-_3.31d
   sarve vā syuḥ samāṃśinaḥ Yj_2.114d	sarve vA syuH sama-aMSinaH Yt-_2.114d
   sarveṣāṃ dharmasādhanam Yj_1.122d	sarvezAm Darma-sADanam Yt-_1.122d
   sarveṣv arthavivādeṣu Yj_2.23a	sarvezu arTa-vivAdezu Yj_2.23a
   sarve sarvāsu jātiṣu Yj_2.38d	sarve sarvAsu jAtizu Yt-_2.38d
   sarve sarveṣu vā smṛtāḥ Yj_2.69d	sarve sarvezu vA smRtAH Yt-_2.69d
   salilaṃ pāvanaṃ pibet Yj_3.306b	salilam pAvanam pibet Yt-_3.306b
   salilaṃ bhasma mṛd vāpi Yj_1.189c	salilam Basma mRd vA-api Yt-_1.189c
   salilaṃ śuddhir eteṣāṃ Yj_3.60c	salilam SudDiH etezAm Yt-_3.60c
   savatsāromatulyāni Yj_1.206a	sa-vatsA-roma-tulyAni Yd-_1.206a
   savanaṃ spandanāt purā Yj_1.11b	savanam spandanAt purA Yt-_1.11b
   savarṇaṃ kāmataḥ śrayet Yj_1.67d	savarNam kAmataH Srayet Yt-_1.67d
   savarṇaḥ śrotriyo varaḥ Yj_1.55b	savarNaH SrotriyaH varaH Yt-_1.55b
   savarṇāyāṃ vibhāgabhāk Yj_2.122b	savarNAyAm viBAga-BAj Yt-_2.122b
   savarṇāsu vidhau dharmye Yj_1.88c	savarNAsu viDO Darmye Yt-_1.88c
   savarṇebhyaḥ savarṇāsu Yj_1.90a	savarNeByaH savarNAsu Yd-_1.90a
   savikāra udāhṛtaḥ Yj_3.183d	sa-vikAraH udAhRtaH Yt-_3.183d
   savitāraṃ savaidyutam Yj_3.193d	savitAram sa-vEdyutam Yt-_3.193d
   saviṣaṃ saṃprapātanam Yj_3.223b	savizam saMprapAtanam Yt-_3.223b
   sa vṛddhyā dāpayed dhanam Yj_2.61b	sa vRdDyA dApayet Danam Yt-_2.61b
   savyājakrayavikrayī Yj_2.262d	sa-vyAja-kraya-vikrayI Yt-_2.262d
   savyāhṛtikāṃ gāyatrīṃ Yj_1.239a	sa-vyAhRtikAm gAyatrIm Yt-_1.239a
   savyena parigṛhya ca Yj_1.284d	savyena parigRhya ca Yt-_1.284d
   savye nyasyottaraṃ karam Yj_3.198b	savye nyasya-uttaram karam Yt-_3.198b
