   Tarkabhāṣā	Tarka BAzA
   pramāṇamucyate   yaccittaṃ tat cittāntarapūrvakaṃ yathedānīntanaṃ cittam /	pramANam ucyate  yat cittam tat citta antara pUrvakam yaTA idAni intanam cittam /
   cittaṃ ca janmasamayabhāvītyarthataḥ kāryahetuḥ //vaibhāṣikamatanirūpaṇam	cittam ca janma samaya BAvi iti arTataH kArya hetuH //vEBAzika mata nirUpaNam
   nanu tattvasākṣātkāraṇānmuktiḥ / tattvaṃ caikameva, yathoktam  	nanu tattva sAkzAt kAraNAt muktiH / tattvam ca ekam eva, yaToktam  
   `muktistu śūnyatādṛṣṭistadarthāśeṣabhāvanā' iti /	`muktiH tu SUnyatA dRzwiH tad arTa aSeza BAvanA a iti /
   tatkathaṃ sarvajñadvaitaṃ, bauddhaprabhedaśceti? naiṣa doṣaḥ /	tat kaTam sarvajQa dvEtaM, bOdDa praBedaH ca iti? na eza dozaH /
   yasmātsarvametad bhūtārthe sattvānavatārayituṃ bhagavatā pratipāditam /	yasmAt sarvam etat BUta arTe sattvAn avatArayitum BagavatA pratipAditam /
   tathā hi vaibhāṣikāṇāṃ matam  	taTA hi vEBAzikANAm matam  
   `ākāśaṃ dvau nirodhau ca nityaṃ trayamasaṃskṛtam /	`a AkASam dvO niroDO ca nityam trayam asaMskRtam /
   saṃskṛtaṃ kṣaṇikaṃ sarvamātmaśūnyamakartṛkam // 'iti //	saMskRtam kzaNikam sarvam Atma SUnyam akartRkam // aiti //
   sautrāntikānāṃ matam	sOtra antikAnAm matam
   jñānamevedaṃ sarvaṃ nīlādyākāreṇa pratibhāsate, na bāhyo 'rthaḥ, jaḍasya	jQAnam eva idam sarvam nIla Adi AkAreNa pratiBAsate, na bAhyaH arTaH, jaxasya
   prakāśāyogāt /	prakASa ayogAt /
   yathoktam  	yaTA uktam  
   `svakārajñānajanakā dṛśyā nendriyagocārāḥ' // iti //	`svakAra jQAna janakAH dRSyA na indriya gocArAH a // iti //
   alaṅkāreṇāpyuktam  	alaFkAreNa api uktam  
   yadi saṃvedyate nīlaṃ kathaṃ bāhyaṃ taducyate /	yadi saMvedyate nIlam kaTam bAhyam tat ucyate /
   na cetsaṃvedyate nīlaṃ kathaṃ bāhyaṃ taducyate //	na ced saMvedyate nIlam kaTam bAhyam tat ucyate //
   nanu yadi prakāśamānaṃ jñānamevadaṃ, tadāsti bāhyo 'rtha iti kutaḥ?	nanu yadi prakASamAnam jQAnam eva dan, tadA asti bAhyaH arTaH iti kutas ?
   bāhyārthasiddhistu syādvayatirekataḥ / na hi sarvatra sarvadā nīlādaya	bAhya arTa sidDiH tu syAt vayatiH ekatas / na hi sarvatra sarvadA nIla Adaya
   ākārāḥ prakāśante /	AkArAH prakASante /
   na caitat svopādānamātrabalabhāvitve sati yujyate / niyataviṣaye	na ca etat sva upAdAna mAtra bala BAvi tve sati yujyate / niyata vizaye
   pravṛttyayogāt / tasmādasti kiñcideṣāṃ samanantarapratyayavyatiriktaṃ	pravRtti ayogAt / tasmAt asti kiQcid ezAm samanantara pratyaya vyatiriktam
   yadbalena kvacit kadācit bhavantīti śakyamavasātum / sa eva bāhyo 'rtha	yat balena kvacid kadAcid Bavanti iti Sakyam avasAtum / saH eva bAhyaH arTa 
   iti, na punarasau bāhyo 'rthaḥ avayavī, guṇādayo dharmāḥ dravyāśrayiṇaḥ	iti, na punar asO bAhyaH arTaH avayavI, guNa AdayaH DarmAH dravya ASrayiNaH
   parābhimatāḥ, navavidhaṃ dravyaṃ paramāṇāvo veti / tatra na tāvat	para aBimatAH, navaviDam dravyam paramANAvaH vA iti / tatra na tAvat 
   guṇādayaḥ, dravyaniṣedhenaiva teṣāṃ niṣedhāt / na cāsati samavāyini dravye	guNa AdayaH, dravya nizeDena eva tezAm nizeDAt / na ca asati samavAyini dravye
   samavāya iti tadduṣaṇamatra nādriyate / dravyaṃ ca	samavAyaH iti tat duzaNam atra na Adriyate / dravyam ca
   pṛthivyāpastejovāyurākāśaṃ kālo digātmā mana iti navavidham /	pRTivI ApaH tejaH vAyuH AkASam kAlaH diS AtmA manaH iti navaviDam /
   ātmākāśakāladiṅmanasāṃ nirasanam	Atma AkASa kAla diS manasAm nirasanam
   tatrātmaniṣedhāyedamapi sādhanam   yatkādācitkaṃ jñānaṃ	tatra Atma nizeDAya idam api sADanam  yat kAdAcitkam jQAnam
   tatkādācitkakāraṇapūrvakam, yathā saudāminījñānam / kādācitkaṃ	tad kAdAcitka kAraNa pUrva kam, yaTA sOdAminI jQAnam / kAdAcid kam
   cedamahaṃkārajñānamityarthataḥ kāryahetuḥ / nāyamasiddhaḥ ahaṃkāre	ca idam ahaMkAra jQAnam iti arTataH kArya hetuH / na ayam asidDaH ahaMkAre
   dharmiṇi jñānatvasya pratyakṣasiddhatvāt / nāpi	DarmiNi jQAna tvasya pratyakza sidDa tvAt / na api
   kādācitkaviśeṣaṇamasiddham, sarvadāhamiti jñānābhāvāt / nāpi viruddhaḥ,	kAdAcid ka viSezaNam asidDam, sarva dAham iti jQAna aBAvAt / na api virudDaH,
   sapakṣe darśanāt / na cānaikāntikaḥ, dhūmapāvakayoriva	sa pakze darSanAt / na ca anEkAntikaH, DUma pAvakayoH iva
   kādācitkajñānakādācitkakāraṇayoḥ pratyakṣānupalambhābhyāṃ vyāptisiddheḥ /	kAdAcid ka jQAna kAdAcitka kAraNayoH pratyakza anupalamBAByAm vyApti sidDeH /
   kādācitkajñānasya cākādācitkakāraṇādutpattau	kAdAcid ka jQAnasya ca AkAdAcitka kAraNAt utpattO
   kādācitkakāraṇādanutpattiprasaṅgaḥ / aniyatahetukatāyāṃ	kAdAcitka kAraNAt anutpatti prasaFgaH / aniyata hetuka tAyAm
   cāhetukatāprasaṅgaḥ, tathāpyanaikāntikatve	ca ahetuka tA prasaFgaH, taTA api anEkAntika tve
   prasiddhadhūmādiheturapyanaikāntikaḥ syāt, viśeṣābhāvāt / api cāhaṃkārasya	prasidDa DUma Adi hetuH api anEkAntikaH syAt, viSeza aBAvAt / api ca ahaMkArasya
   akādācitkakāraṇapūrvakatve sadaivodayaprasaṅgaḥ / kāraṇasya	akAdAcitka kAraNa pUrvaka tve sadA eva udaya prasaFgaH / kAraNasya
   kurvadrūpatvāt, akurvataścopacārataḥ kāraṇatvāt,	kurvat rUpa tva at, akurvataH ca upacArataH kAraNa tvAt,
   kurvadakurvatoraikyābhāvāt / bhāve vā kurvato 'pyakurvadrūpatāpattiḥ,	kurvat akurvata uH Ekya aBAvAt / BAve vA kurvataH api akurvat rUpa tA ApattiH,
   tatsvabhāvatvāt / kiñcāhaṃkārasya akādācitka kāraṇādutpāde	tad svaBAva tvAt / kiQca ahaMkArasya akAdAcid ka kAraNAt utpAde
   yugapadevotpādaprasaṅgaḥ, avyagrasāmagrīkatvāt /	yugapad eva utpAda prasaFgaH, avyagra sAmagrIka tvAt /
   nanvahaṃkārasyālambanamātmā na kāraṇamiti cenna /	nanu ahaMkArasya Alambanam AtmA na kAraNam iti ced na /
   akāraṇasyālambanatvāyogādatiprasaṅgāditi //	akAraNasya Alambana tva ayogAt ati prasaFgAt iti //
   atha kimākāśaṃ nāma kiñcidvastubhūtamasti? uta nāsti vā? nāstyevaitat /	aTa kimAkASam nAma kiQcid vastu BUta m asti? uta na asti vA? na asti eva etat /
   yatra hi sapratighaṃ dravyamasti na tatrākāśamavakāśaṃ vā dadāti / yatra	yatra hi sa pratiGam dravyam asti na tatra AkASam avakASam vA dadAti / yatra
   nāsti tatra tadabhāvādevāvakāśaḥ siddha iti kva vākāśamavakāśaṃ dadyāt?	na asti tatra tad aBAvAt eva avakASaH sidDaH iti kva vA AkASam avakASam dadyAt ?
   [yasmādavakāśapradamākāśaṃ bhaṇyate] tasmāt satyasmin sarvadā sarvathā	[yasmAt avakASa pradam a AkASam BaNyate] tasmAt satyasmin sarvadA sarvaTA
   sarvatrāvakāśaḥ syāt / na caitadasti / tasmānnāstyevākāśamiti pratīmaḥ /	sarvatra avakASaH syAt / na ca etat asti / tasmAt na asti eva AkASam iti pratImaH /
   etacca vaibhāṣīkamatapekṣya dūṣaṇamuktam / paraistvākāśaṃ	etat ca vEBAzIkam atapekzya dUzaNam uktam / parEH tu a AkASam
   śabdaguṇakamiṣyate / taccaikamiti cet samānadeśatvāt sarvaśabdānāṃ	Sabda guNakam izyate / tat ca ekam iti ced samAna deSa tvAt sarva SabdAnAm
   vibhāgena śravaṇaṃ na syāt / tatassannihitadeśa iva dūradeśābhimato 'pi	viBAgena SravaNam na syAt / tatas sannihita deSaH iva dUra deSa aBimataH api
   śabdaḥ śrūyeta / na vānyo 'pītyekāntaḥ / dikkālayoścaikatvāt	SabdaH SrUyeta / na vA anyaH api iti ekAntaH / dikkAlayoH ca eka tvAt 
   pūrvāparādipratyayānupapattiḥ / etena nityasyāpi manaso 'sambhava eva /	pUrva apara Adi pratyaya anupapattiH / etena nityasya api manasaH asamBavaH eva /
   tathā hi   yugapajjñānānutpattyā mano 'numīyate tadvādibhiḥ / anubhūyanta	taTA hi  yugapad jQAna anutpattyA manaH anumIyate tad vAdiBiH / anuBUyanta
   eva yugapadbahūni jñānāni narttakīdarśanādau / yadi punarmano [nityaṃ]	eva yugapad bahUni jQAnAni narttakI darSana AdO / yadi punar manaH [nityaM]
   syāttadānīmetāni jñānāni na yujyante / tasmānnāstyeva mano 'pi //	syAt tadA AnIm etAni jQAnAni na yujyante / tasmAt na asti eva manaH api //
   avayavinirasanapūrvakaṃ paramāṇumātrasamarthanam	avayavi nirasana pUrvakam paramANu mAtra samarTanam
   pṛthivyādayo 'vaśiṣyante / te cāvayaviparamāṇubhedena dvidhā iṣyante /	pRTivI AdayaH avaSizyante / te ca avayavi paramANu Bedena dviDA izyante /
   tatra yo 'vayavī ghaṭādiḥ paramāṇubhidvaryaṇukādi krameṇārabdhaḥ	tatra yaH avayavI Gawa AdiH paramANu Bidvari aNuka Adi krameNa ArabDaH
   prasiddhaḥ, tasya upalabdhi lakṣaṇaprāptasyānupalambho bādhaka ityuktam /	prasidDaH, tasya upalabDi lakzaNa prAptasya anupalamBaH bADakaH iti uktam /
   yadyavayavī nāsti kathaṃ tarhyayamekatvena pratibhāsata iti cet  	yadi avayavI na asti kaTam tarhi ayam eka tvena pratiBAsate iti ced  
   bhāgā eva bhāsante sanniviṣṭāstathā tathā /	BAgAH eva BAsante sannivizwAH taTA taTA /
   tadvānnaiva punaḥ kaścinnirbhāgaḥ sampratīyate //	tat vAn na eva punar kaScid nirBAgaH sampratIyate //
   ityuktam / nanu ko 'yaṃ bhāgapratibhāso nāma? nānādigdeśāvaṣṣṭambhena	iti uktam / nanu kaH ayam BAga pratiBAsaH nAma? nAnA diS deSO= azzwamBena
   sañcitaḥ paramāṇupratibhāsa eva / yadyevaṃ kathaṃ 'pratibhāsadharmaḥ	saQcitaH paramANu pratiBAsaH eva / yadi evam kaTam apratiBAsa DarmaH
   sthaulyam' ityuktaṃ dharmottareṇa,tatrāpyayamevārthaḥ arthasya svarūpeṇa	sTOlyam a iti uktam Darma uttareNa,tatra api ayam eva arTaH arTasya sva rUpeNa
   nāsti vedanam, 'bhāktaṃ syādarthavedanam' iti vacanāt / tasmādyo 'yaṃ	na asti vedanam, aBAktam syAt arTa vedanam a iti vacanAt / tasmAt yaH ayam
   nīlādiprabhāso nānādeśavyāpitvenānubhūyate sa eva sthūlapratibhāsa	nIla Adi praBAsaH nAnA deSa vyApi tvena anuBUyate saH eva sTUla pratiBAsa
   ityadoṣaḥ ye 'pi tadārambhakāḥ paramāṇavo vaiśeṣikāṇāṃ,	iti adozaH ye api tad AramBakAH paramANavaH vESezikANAM,
   sākṣādadhyakṣyagocarā vaibhāṣikāṇāṃ darśane, svasvākārasamarpaṇapravaṇāḥ	sAkzAt aDi akzya gocarAH vEBAzikANAm darSane, svasva AkAra samarpaNa pravaNAH
   sautrāntikānāṃ mate, te 'pi yogācārāṇāṃ darśane na sambhavanti / na	sOtra antikAnAm mate, te api yoga AcArANAm darSane na samBavanti / na
   khalvekaḥ paramāṇuḥ prasiddhimadhyāste / tasyādharottaracaturdikṣu	Kalu ekaH paramANuH prasidDim aDyAste / tasya aDara uttara catur dikzu
   paramāṇumadhyāsīnasya niyamena ṣaḍaṃśatāpatteḥ / yo hyasya svabhāvaḥ	paramANum aDyAsInasya niyamena zaz aMSa tA ApatteH / yaH hi asya svaBAvaH
   pūrvaparamāṇupratyāsannaḥ na sa evāparaparamāṇupratyāsanno ghaṭate /	pUrva paramANu pratyAsannaH na saH eva apara paramANu pratyAsannaH Gawate /
   tayorekadeśatāprāpteḥ / evaṃ ca sa pūrvaparamāṇusannihitasvabhāvo	tayoH eka deSatA prApteH / evam ca sa pUrva paramANu sannihita svaBAvaH 
   'paraparamāṇuṃ pratyāsīdedyadi so 'pi tatra syāt / asatyāmapi	apara paramANum pratyAsIdet yadi saH api tatra syAt / asatyAm api
   pratyāsattāvābhimukhyamātre 'pyayameva vṛttāntaḥ / tataśca paramāṇumātraṃ	pratyAsattOvABimuKya mAtre api ayam eva vRttAntaH / tatas ca paramANu mAtram
   piṇḍaḥ prasaktaḥ //	piNxaH prasaktaH //
   yogācārasya matam	yoga AcArasya matam
   athavāyaṃ vicāraḥ, yadetatpratibhāsamānaṃ tadekaṃ tāvanna yuktam,	aTavA ayam vicAraH, yat etad pratiBAsamAnam tat ekam tAvat na yuktam,
   anantaroktavicārāt / nāpyanekaṃ, paramāṇuśaḥ paramāṇorayogāt / tathā hi  	anantara ukta vicArAt / na api anekan, paramANuSaH paramANoH ayogAt / taTA hi  
   yadyasau sāṃśaḥ kathaṃ paramāṇuḥ? atha niraṃśaḥ tadā saṃyuktāḥ paramāṇāvaḥ	yadi asO sa aMSaH kaTam paramANuH? aTa niraMSaH tadA saMyuktAH paramANAvaH
   sarvātmanā saṃyogāt parasparamabhinnadeśāḥ syuriti sarvaḥ piṇḍaḥ	sarva AtmanA saMyogAt parasparam aBinna deSAH syuH iti sarvaH piNxaH
   paramāṇumātraṃ syāt, parvato 'pi kṣitirapīti / tasmādavaśyaṃ tayoḥ	paramANu mAtram syAt, parvataH api kzitiH api iti / tasmAt avaSyam tayoH
   svabhāvayorbhedo 'bhyupetavyaḥ / yathā cānayostathā	svaBAvayoH BedaH aByupetavyaH / yaTA ca anayoH taTA
   `dharottaradakṣiṇottaraparamāṇupratyāsannānāṃ svabhābānāṃ ca bheda iti	`Dara uttara dakziNa uttara paramANu pratyAsannAnAm sva BAbAnAm ca BedaH iti
   ṣaḍaṃśataiva paramāṇornyāyabalādāpatati / yadāha  	zaz aMSa tA eva paramANoH nyAya balAt Apatati / yat Aha  
   ṣaṭkena yugapadyogāt paramāṇoḥ ṣaḍāṃśatā /	zawkena yugapad yogAt paramANoH zaxa aMSa tA /
   ṣaṇṇāṃ samānadeśatvāt piṇḍaḥ syādaṇumātrakaḥ //	zaNNAm samAna deSa tvAt piNxaH syAt aNu mAtrakaH //
   iti /	iti /
   na caikāsiddhau anekasyāpi siddhiriti na santi paramāṇavaḥ / yadi bāhyo	na ca eka asidDO anekasya api sidDiH iti na santi paramANavaH / yadi bAhyaH 
   'rtho nāsti kiṃ viṣayastarhyayaṃ pratibhāsaḥ? pratibhāsaḥ khalveṣo	arTaH na asti kim vizaya H tarhi ayam pratiBAsaH? pratiBAsaH Kalu ezaH 
   'nādivitathavāsanātaḥ pravartamāno nirālambana eva lakṣyate / tathā hi  	anAdi vitaTa vAsanAtaH pravartamAnaH nirAlambanaH eva lakzyate / taTA hi  
   sati viṣaye sālambanatā syāt / tena cāvayavinā bhavitavyam,	sati vizaye sa AlambanatA syAt / tena ca avayavinA Bavitavyam,
   paramāṇupracayena vā / sa cāyamubhayo 'pyanantarokta bādhakapramāṇa	paramANu pracayena vA / sa ca ayam uBayaH api anantara ukta bADaka pramANa 
   [grāha] grastavigraho na vyomatāmarasamatiśete yathoktam  	[grAha] grasta vigrahaH na vyoma tAmarasamatiSete yaToktam  
   [na sannāvayavī nāma na santi paramāṇavaḥ /]	[na sanna avayavI nAma na santi paramANavaH /]
   pratibhāso nirālambhaḥ svapnānubhavasannibhaḥ // iti //	pratiBAsaH nirAlamBaH svapna anuBava sanniBaH // iti //
   nirālambanavādaḥ	nirAlambanavAdaH
   svapnajñānaṃ nirālambanaṃ viditameva / na ca svaprajāgradanubhavayorbhedaḥ	svapna jQAnam nirAlambanam viditam eva / na ca sva prajA agrat anuBavayoH BedaH
   kaścidapyasti / sarvaprakārasādharmyadarśanāt / na	kaScid api asti / sarva prakAra sADarmya darSanAt / na
   cānālambanādanavāptarūpaviśeṣaṃ vijñānaṃ	ca anAlambanAt anavApta rUpa viSezam vijQAnam
   sālambanasambandhamanubhavitumutsahate / yadanālambanādaviśiṣṭaṃ	sa Alambana sambanDam anuBavitum utsahate / yat anAlamba nAda viSizwam
   tadanālambanam, yathaikasmādākāśakeśadarśanāt dvitīyam [jñānaṃ]	tad anAlambanam, yaTA ekasmAt AkASa keSa darSanAt dvitIyam [jQAnaM]
   anālambanācca svapnajñānādaviśiṣṭaṃ vivādāspadībhūtaṃ jāgradvijñānamiti	anAlambanAt ca svapna jQAnAt aviSizwam vivAda AspadIBUtam jAgrat vijQAnam iti
   svabhāvahetuḥ //	svaBAva hetuH //
   vijñānasyasya sākāratvanirākāratvapakṣabhedaḥ	vijQAnasyasya sa AkAra tva nirAkAra tva pakza BedaH
   yadi bāhyo 'rtho nāsti kiṃ tarhi paramārthasat?	yadi bAhyaH arTaH na asti kim tarhi paramArTa sat?
   grāhyagrāhakādikalaṅkānaṅkitaṃ niṣprapañcavijñānamātraṃ paramārthasat /	grAhya grAhaka Adi kalaFkAn aFkitam nizprapaQca vijQAna mAtram parama arTa sat /
   yathoktam  	yaTA uktam  
   `grāhyagrāhakanirmuktaṃ vijñānaṃ paramārthasat' iti /	`grAhya grAhaka nirmuktam vijQAnam paramArTa sat a iti /
   punaścoktam  	punar ca uktam  
   `nānyo 'nubhāvyo buddhyāsti tasyā nānubhavo 'paraḥ /	`na anyaH anuBAvyaH budDyA asti tasyAH na anuBavaH aparaH /
   grāhyagrāhakavaidhuryāt svayaṃ saiva prakāśate //	grAhya grAhaka vEDuryAt svayam sA eva prakASate //
   `uktaṃ caitadbhagavatā  	`uktam ca etat BagavatA  
   `bāhyo na vidyate hyartho yathā bālairvikalpyate /	`bAhyaH na vidyate hi arTaH yaTA bAlEH vikalpyate /
   vāsanāluṭhitaṃ cittamarthābhāsaṃ pravarttate // 'iti //	vAsanAluWitam cittam arTa ABAsam pravarttate // aiti //
   sākāravādināṃ matam	sa AkAra vAdinAm matam
   tatra kecidevamāhuḥ   vijñānamevedaṃ sarva sarvaśarīraviṣayabhāvena	tatra kecid evam AhuH  vijQAnam eva idam sarve sarva SarIra vizaya BAvena
   prasiddham, tacca svasaṃvedanamiti na kasyacit grāhyaṃ grāhakaṃ vā /	prasidDam, tat ca sva saMvedanam iti na kasyacid grAhyam grAhakam vA /
   kalpanayā tu grāhyagrāhakabhāva iti vyavasthāpyate / tataḥ	kalpanayA tu grAhya grAhaka BAvaH iti vyavasTApyate / tatas 
   parikalpitagrāhyagrāhakabhāvarahitaṃ vijñānaṃ [sākāraṃ] satyamiti /	parikalpita grAhya grAhaka BAva rahitam vijQAnam [sA AkAraM] satyam iti /
   nirākāravādināṃ matam	nirAkAra vAdinAm matam
   anye tu sakalākārakalaṅkānaṅkitaṃ śuddhasphaṭikasaṃkāśaṃ vāstavaṃ vijñānam	anye tu sakala AkAra kalaFkAn aFkitam SudDa sPawika saMkASam vAstavam vijQAnam
   / ākārāstvamī vitathā evāvidyayā darśitāḥ prakāśante / tasmāt grāhyaṃ nāma	/ AkArAH tu amI vitaTAH eva avidyayA darSitAH prakASante / tasmAt grAhyam nAma
   nāstyeva grāhyābhāvāt tadapekṣayā yadgrāhakatvaṃ vijñānasya tadapi nāstīti	na asti eva grAhya aBAvAt tad apekzayA yat grAhaka tvam vijQAnasya tat api na asti iti
   / mādhyamikānāṃ tu darśane tadapi vijñānaṃ na paramārthasat,	/ mADyamikAnAm tu darSane tat api vijQAnam na paramArTa sat,
   vicārāsahatvāt / svabhāvena hi yuktaṃ pāramārthika mucyate loke / na cāsya	vicAra asaha tvAt / svaBAvena hi yuktam pAramArTika mucyate loke / na ca asya
   vicārataḥ kaścitsvabhāvo ghaṭate, eko vāneko vā, pūrvavicārāsahatvāt /	vicArataH kaScid svaBAvaH Gawate, ekaH vA anekaH vA, pUrva vicAra asaha tvAt /
   yathoktam   'neṣṭaṃ tadapi dhīrāṇā vijñānaṃ pāramārthikam /	yaTA uktam  anezwam tat api DIrANAH vijQAnam pAramArTikam /
   ekānekasvabhāvena viyogādganābjavat' // iti //	eka aneka svaBAvena viyogAt gana abjavat a // iti //
   kīrtipādairapyuktam  	kIrti pAdEH api uktam  
   `bhāvā yena nirupyante tadrūpaṃ nāsti tattvataḥ /	`BAvAH yena nirupyante tad rUpam na asti tattvataH /
   yasmādekamanekaṃ vā rūpaṃ teṣu na vidyate' // iti //	yasmAt ekam anekam vA rUpam tezu na vidyate a // iti //
   tathālaṅkārakāreṇāpyuktam  	taTA alaFkAra kAreNa api uktam  
   `yadā tu na vikalpasya na cānyasya pramāṇatā /	`yadA tu na vikalpasya na ca anyasya pramANatA /
   tadā viśīryamāṇe 'pi sarvasmin ko 'parādhyatu //	tadA viSIryamANe api sarvasmin kaH aparADyatu //
   `baddhamuktādi bhedo 'pi naivāsti paramārthataḥ /	`badDa muktA Adi BedaH api na eva asti paramArTataH /
   bhedo hi nāvabhātyeva sarvatra samadarśinām' //iti //	BedaH hi na avaBAti eva sarvatra sama darSinAm a //iti //
   prayogaḥ punarevam   yadekānekasvabhāvaṃ na bhavati na tatparamārthasat,	prayogaH punar evam  yat eka aneka svaBAvam na Bavati na tat paramArTa sat,
   yathā vyomakamalam,ekānekasvabhāvaṃ ca na bhavati vijñānamiti	yaTA vyoma kamalam ,eka aneka svaBAvam ca na Bavati vijQAnam iti
   vyāpakānupalabdhiḥ / na tāvadayamasiddho hetuḥ / sākāre jñāne bahirartha	vyApaka anupalabDiH / na tAvat ayam asidDaH hetuH / sa AkAre jQAne bahis arTa
   iva ekānesvabhāvāyogyatvasya parisphuṭatvāt / yatra hi lokasya	iva ekAnesvaBAva ayogya tvasya parisPuwa tvAt / yatra hi lokasya
   bāhyārthavyavahārastadeva sākāravādino jñānam, tato yattasya bahirbhāve	bAhya arTa vyavahAraH tat eva sa AkAra vAdinaH jQAnam, tatas yat tasya bahis BAve
   bādhakaṃ tadevāntarbhāve 'pi bādhakam / na hi sthūlamekamanekaṃ ca	bADakam tat eva antarBAve api bADakam / na hi sTUlam ekam anekam ca
   paramāṇurūpamapīṣyate / vijñānātmakānāmayamākāro yadyekaḥ sthūlo yati	paramANu rUpam api izyate / vijQAna AtmakAnAm ayam AkAraH yadi ekaH sTUlaH yati
   vānekaḥ paramāṇuśo bhinnaḥ, ubhayathāpi bāhyārthapakṣabhāvi	vA anekaH paramANuSaH BinnaH, uBayaTA api bAhya arTa pakza BAvi
   dūṣaṇamaśakyamurddhatum / na hi tadvijñāne bahirbhāvanibandhanaṃ dūṣaṇam!	dUzaNam aSakyam urdDatum / na hi tad vijQAne bahirBAva nibanDanam dUzaNam!
   yena tadbhāvena bhavet / mūrtinimittaṃ bādhakam,	yena tad BAvena Bavet / mUrti nimittam bADakam,
   nāmūrte vijñānātmani ityapi nissāram / sākāratāyāṃ vijñānasyāpi mūrtatvāt	na amUrte vijQAna Atmani iti api nissAram / sa AkAra tAyAm vijQAnasya api mUrta tvAt 
   / ayameva hi deśāvitānavā [nākāro] mūrtiriti //	/ ayam eva hi deSa avitA anavAH [nAkAro] mUrtiH iti //
   śrīmanmahājagaddalavihārīya mahāpaṇḍita bhikṣumokṣākaraguptaviracitāyāṃ	SrImat mahA jagat dala vihArIya mahA paNxita Bikzu mokza Akara gupta viracitAyAm
   tarkabhāṣāyaṃ parārthānumānaparicchedaḥ tṛtīyaḥ samāptaḥ //	tarka BAzAyam para arTa anumAna paricCedaH tRtIyaH samAptaH //
   granthāgraṃ ślokamānaṃ 840	granTa agram Sloka mAnam 840
   tarkabhāṣāmimāṃ kṛtvā puṇyamāsādi yanmayā /	tarka BAzAm imAm kRtvA puNyam Asa Adi yat mayA /
