   tṛtīyaḥ paricchedaḥ	tRtIyaH paricCedaH
   "vinayati sudṛśo dṛśoḥ parāgaṃ praṇayini kausumamānanānilena /	"vinayati su dRSaH dRSoH parAgam praNayini kOsumam Anana anilena /
   tadahitayuvaterabhīkṣṇamakṣṇordvayamapi roṣarajobhirāpurūre" //	tad ahita yuvateH aBIkzNam akzNoH dvayam api roza rajoBiH ApurUre" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, sa) utsvaprāyitaṃ patyuranyanāyikāsaṅgasya svapne darśanam /	(vi, sa) utsva prAyitam patyuH anya nAyi kA saFgasya svapne darSanam /
        yathā mama   "sakhi ! tvaṃ kiṃ brūṣe na bhavati madanyatra nirataḥ	yaTA mama   " saKi ! tvam kim brUze na Bavati mad anyatra nirataH
   patirme dhūrtto 'sāvṛjurasi na jānāsi tamimam /	patiH me DUrttaH asO= RjuH asi na jAnAsi tam imam /
        samudratyāgārādaparayuvatīsaṅganirato mayā dṛṣṭaḥ svapne tadalamiha	samudrati AgArAt apara yuvatI saFga nirataH mayA dRzwaH svapne tat alam iha
   saṃprītikathayā //	saMprIti kaTayA //
        "patyuranyapriyāsaṅge dṛṣṭe udāharati   vinayatīti /	"patyuH anya priya AsaFge dRzwe udAharati    vinayati iti /
        sapatnīrūpāyāḥ sudṛśo dṛśaḥ /	sapatnI rUpAyAH su dRSaH dRSaH /
        īrṣyāmānaḥ /	IrzyAmAnaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   saṃbhogacihnenānumite yathā  	saMBoga cihnena anumite yaTA  
   "navanakhapadamaṅgaṃ gopayasyaṃśukena sthagayasi punaroṣṭhaṃ pāṇinā	"nava naKa padam aFgam go payasi aMSukena sTagayasi punar ozWam pANinA
   dantadaṣṭam /	dantadazwam /
   pratidiśamaparastrīsaṅgaśaṃsī visarpannapavarimalagandhaḥ kena śakyo	pratidiSam apara strI saFgaSaMsI visarpan= apavari mala ganDaH kena SakyaH 
   varītum" //	varItum" //
   evamanyadapi /	evam anyat api /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ha) navanakheti   anyanāyikāsaṅgacihnakhapadādimaṃśukādinā	(vi, ha) nava naKa iti   anya nAyikA saFga cihna Ka pada Adim aMSuka AdinA
   yadyapi gopāyituṃ śaknoṣi tathāpi vimardetthāṅgarāgagandhaḥ kena prakāreṇa	yadi api gopAyitum Saknozi taTA api vimarda itTa aFgarAga ganDaH kena prakAreNa
   vārayituṃ śakya iti vākyārthaḥ /	vArayitum SakyaH iti vAkya arTaH /
        evamanyatreti /	evam anyatra iti /
        utsvapnāyite udāhṛtameva /	utsvapnAyite udAhRtam eva /
        gotraskhalite yathā   "ekasmin śayane vipakṣaramaṇīnāmagrahe mugdhayā	gotra sKalite yaTA   "ekasmin Sayane vipakza ramaNInAm agrahe mugDayA
   sadyaḥ kopaparāṅmukhaṃ śayitayā cāṭūni kurvannapi /	sadyas kopa parAFmuKam SayitayA cAwUni kurvan= api /
        āvegādavadhīritaḥ priyatamaḥ tūṣṇīṃ sthitaḥ tat kṣaṇād mābhūt supta	AvegAt avaDIritaH priyatamaH tUzNIm sTitaH tat kzaNAt mA aBUt supta
   ivetyamandavalitagrīvaṃ punarvokṣitaḥ //	iva iti amanda valita grIvam punar vA ukzitaH //
        "yathā vā mama /	"yaTA vA mama /
        "parasaktāsaktaḥ sakhi ! mama sa yat cāṭu kurute samasto 'sau	"para sakta AsaktaH saKi ! mama sa yat cAwu kurute samastaH asO
   vyājapraṇaya iti jānīhi niyatam /	vyAja praNayaH iti jAnIhi niyatam /
        tadā tāṃ tu dhyāyan sa khalu kitavaḥ kelisamaye muhustasya nāmnā nanu	tadA tAm tu DyAyan sa Kalu kitavaH keli samaye muhur tasya nAmnA nanu
   rahasi sambodhayati mām //	rahasi samboDayati mAm //
        "iti /	"iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   sāma bhedo 'tha dānaṃ ca natyupekṣe rasāntaram /	sAma BedaH aTa dAnam ca nati upekze rasa antaram /
   tadbhaṅgāya patiḥ kuryāt ṣaḍupāyāniti kramāt // VisSd_3.201 //	tad BaFgAya patiH kuryAt zaz upAyAn iti kramAt // VisSd _3.201 //
   tatra priyavacaḥ sāma bhedastatsakhyupārjanam /	tatra priya vacaH sAma BedaH tad saKyupArjanam /
   dānaṃ vyājena bhūṣādeḥ pādayoḥ patanaṃ natiḥ // VisSd_3.202 //	dAnam vyAjena BUzA AdeH pAdayoH patanam natiH // VisSd _3.202 //
   sāmādau tu parikṣīṇo syādupekṣāvadhīraṇam /	sAma AdO tu parikzINaH syAt upekzA avaDIraNam /
   rabhasatrāsaharṣādeḥ kopabhraṃśo rasāntaram // VisSd_3.203 //	raBasa trAsa harza AdeH kopa BraMSaH rasa antaram // VisSd _3.203 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, kṣa) natyupekṣe /	(vi, kza) nati upekze /
        natiśca upekṣā ca iti /	natiH ca upekzA ca iti /
        tat sakyupārjanamiti /	tat sakyupArjanam iti /
        tasyāḥ māninyāḥ sakhyā upārjanamāptīkaraṇamityarthaḥ /	tasyAH mAninyAH saKyAH upArjanam AptIkaraNam iti arTaH /
        vyājena bhūṣāderdānaṃ dānamityarthaḥ /	vyAjena BUzAdeH dAnam dAnam iti arTaH /
        ekamevātra dānapadamuddiśya vidheyobhayātmakam /	ekam eva atra dAna padam uddiSya viDeya uBaya Atmakam /
        rabhasatrās ākasmikatrāsaḥ harṣāderityādipadāt	raBasatrAH Akasmika trAsaH harza AdeH iti Adi padAt 
   utkaṭakāryayatipātaparigrahaḥ /	utkawa kArya yati pAta parigrahaH /
        Locanā:	LocanA:
        (lo, ī) prasaṅgāt mānabhaṅgopāyānāha /	(lo, I) prasaFgAt mAna BaFga upAyAn Aha /
        sāmeti /	sAma iti /
        pravāsa udveśakamaprāpta /	pravAsaH udveSakam aprApta /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā  	yaTA  
   "no cāṭuśravaṇaṃ kṛtam'  ityādi (129 pṛdṛ) /	"naH cAwu SravaNam kRtam a  ityAdi (129 pRdR) /
   atra sāmādayaḥ pañca sūcitāḥ /	atra sAma AdayaH paQca sUcitAH /
   rasāntaramūhyam //	rasa antara m Uhyam //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ka) no cāṭviti /	(vi, ka) no cAwu iti /
        kalahāntaritodāharaṇam /	kalaha antarita udAharaNam /
        atra nocāṭvityatra sāma /	atra na uca awu iti atra sAma /
        naca dṛśetyatra dānam /	na ca dRSa iti atra dAnam /
        nijasakhīvāca ityatra bhedaḥ sakhīnāmāptikaraṇarūpaḥ /	nija saKI vAcaH iti atra BedaH saKI nAm Apti karaNa rUpaH /
        āptibhāvādeva kāntasya prayahetuvākyakathanāt /	Apti BAvAt eva kAntasya praya hetu vAkya kaTanAt /
        pādānta ityatra natiḥ /	pAda antaH iti atra natiH /
        gacchannityatra upekṣā etāḥ pañca sūcitā ityarthaḥ /	gacCan= iti atra upekzAH etAH paQca sUcitAH iti arTaH /
        ebhirupāyairasya mānabhaṅgābhāve 'pi na tadupāyahīniḥ	eBiH upAyEH asya mAna BaFga aBAve api na tad upAya hIniH
   tasyāmajātodvegarūpasahakāriviraheṇa phalānutpādanāt /	tasya Am ajAta udvega rUpa sahakAri viraheNa Pala anutpAdanAt /
        paścāttu tatprāptyāṃ bhagna eva mānaḥ /	paScAt tu tad prAptyAm BagnaH eva mAnaH /
        rasāntarantūhyamiti  harṣād yathā   "cirapravāsāt suhṛdi prayāte	rasa antarantU hyam iti  harzAt yaTA   "cira pravAsAt suhRdi prayAte
   yastatra harṣo mithunasya jātaḥ /	yaH tatra harzaH miTunasya jAtaH /
        tanmānimīmānavighātahetuḥ sa eva yātaḥ caṭulāvimānī //	tat mAni mImAnaviGAta hetuH saH eva yAtaH cawulA vimAnI //
        "atra tanmāninī tanmithunīyamāninī /	"atra tad mAninI tad miTunIya mAninI /
        atra harṣa eva vyabhicāribhāvo rasāntaram /	atra harzaH eva vyaBicAri BAvaH rasa antaram /
        bhayād yathā   "pravṛtte mānabhaṅgāya patyau nāga upāgataḥ /	BayAt yaTA   " pravRtte mAna BaFgAya patyO nAgaH upAgataH /
        taṃ dṛṣṭvā sahasā kaṇṭhe patiṃ jagrāha māninī //	tam dRzwvA sahasA kaNWe patim jagrAha mAninI //
        "iti /	"iti /
        atra bhayānako rasāntaram /	atra BayAnakaH rasa antaram /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atha pravāsaḥ  	aTa pravAsaH  
   pravāso bhinnadeśitvaṃ kāryācchāpācca saṃbhramāt /	pravAsaH Binna deSi tvam kAryAt SApAt ca saMBramAt /
   tatrāṅgacelamālinyamekaveṇīdharaṃ śiraḥ // VisSd_3.204 //	tatra aFga celam Alinyam eka veNI Daram SiraH // VisSd _3.204 //
   niḥ śvāsocchvāsaruditabhūmipātādi jāyate /	niH SvAsa ucCvAsa rudita BUmi pAta Adi jAyate /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, kha) vipralambhasya pūrvarāgamānapravāsakaruṇarūpacāturvidhyasya	(vi, Ka) vipralamBasya pUrva rAga mAna pravAsa karuNa rUpa cAtuH viDi asya
   uktatvāt pūrvarāgaṃ mānñca samāpya pravāsamāha   atha pravāsa iti /	ukta tvAt pUrva rAgam mAnQca samApya pravAsam Aha   aTa pravAsaH iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   kiñca  	kiQca  
   aṅgeṣvasauṣṭhavaṃ tāpaḥ pāṇḍutā kṛśatāruciḥ // VisSd_3.205 //	aFgezu asOzWavam tApaH pANxu tA kRSa tA aruciH // VisSd _3.205 //
   adhṛtiḥ syādanālambastamanayonmādamūrcchanāḥ /	aDRtiH syAt anAlambastam anaya unmAda mUrcCanAH /
   mṛtiśceti kramājjñeyā daśa smaradaśā iha // VisSd_3.206 //	mRtiH ca iti kramAt jQeyAH daSa smara daSAH iha // VisSd _3.206 //
   asauṣṭhavaṃ malāpattistāpastu virahajvaraḥ /	asOzWavam mala ApattiH tApaH tu viraha jvaraH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ga) aṅgāsauṣṭhavāderlakṣaṇamāha   asauṣṭhavamanāyattiriti /	(vi, ga) aFgA sOzWava AdeH lakzaNamAha   asa ozWavam anAyattiH iti /
        anāyattirasvādhīnatā /	anAyattiH asva aDIna tA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   arucirvastuvairāgyaṃ sarvatrārāgitādhṛtiḥ // VisSd_3.207 //	aruciH vastu vErAgyam sarvatra ArAgita ADRtiH // VisSd _3.207 //
   anālambanatā cāpi śūnyatā manasaḥ smṛtā /	anAlambanatA ca api SUnyatA manasaH smRtA /
   tanmayaṃ tatprakāśo hi bāhyābhyantaratastathā /	tad mayam tad prakASaH hi bAhya aByantarataH taTA /
   śeṣaṃ spaṣṭam /	Sezam spazwam /
   ekadeśato yathā mama tātapādānām   	eka deSataH yaTA mama tAta pAdAnAm   
   "cintābhiḥ stimitaṃ manaḥ, karatale līnā kapolasthalī,	"cintABiH stimitam manaH, kara tale lInA kapola sTalI,
   pratyūṣakṣaṇadeśapāṇḍu vadanaṃ śvāsaikakhinno 'dharaḥ /	pratyUza kzaNa deSa pANxu vadanam SvAsa eka KinnaH aDaraH /
   ambhaḥ śīkarapadminīkisalayairnāpaiti tāpaḥ śamaṃ, ko 'syāḥ	amBaH SIkara padminI kisalayEH na apEti tApaH SamaM, kaH asyAH
   prārthitadurlabho 'sti sahate dīnāṃ daśāmīdṛśīm" //	prArTita durlaBaH asti sahate dInAm daSAm IdRSIm" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, gha) cintābhiḥ stimitamiti /	(vi, Ga) cintABiH stimitam iti /
        patyau pravāsasthe karatale gaṇḍaṃ kṛtvā cintayantīṃ prati	patyO pravAsa sTe kara tale gaNxam kRtvA cintayantIm prati
   kasyaciduktiriyam /	kasyacid uktiH iyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   bhāvī bhavanbhūta iti tridhā syāttatra kāryajaḥ // VisSd_3.208 //	BAvI Bavan BUta iti triDA syAt tatra kArya jaH // VisSd _3.208 //
   kāryasya buddhipūrvakatvāttraividhyam /	kAryasya budDi pUrvaka tvAt trEviDyam /
   tatra bhāvī yathā mama  	tatra BAvI yaTA mama  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṅa) pravāsasya kāryyāt śāpāt ityādi traividhyasyoktatvāt	(vi, Fa) pravAsasya kAryyAt SApAt ityAdi trEviDyasya ukta tvAt
   kāryyajameva trividhamāha  bhāvīti /	kAryya jam eva triviDam Aha  BAvI iti /
        kāryyānurodhena pravāsastrividha ityarthaḥ /	kAryya anuroDena pravAsaH triviDaH iti arTaH /
        tasya buddhīti /	tasya budDi iti /
        buddhiḥ kāryyajñānam /	budDiH kAryya jQAnam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "yāmaḥ sundari, yāhi pāntha, dayite śokaṃ vṛthā mā kṛthāḥ, śokaste gamane	"yAmaH sundari, yAhi pAnTa, dayite Sokam vRTA mA kRTAH, SokaH te gamane
   kuto mama tato vāṣpaṃ kathaṃ muñcasi /	kutas mama tatas vA azpam kaTam muQcasi /
   śīghraṃ na vrajasīti māṃ gamayituṃ kasmādiyaṃ te tvarā, bhūyānasya saha	SIGram na vrajasi iti mAm gamayitum kasmAt iyam te tvarA, BUyAnasya saha
   tvayā jigamiṣorjovasya me saṃbhramaḥ" //	tvayA jigamizoH jaH vasya me saMBramaH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ca) yāmaḥ sundarīti /	(vi, ca) yAmaH sundarI iti /
        dvayoruktipratyuktī ime /	dvayoH ukti pratyuktI ime /
        tatra sundarītyantaṃ patyuḥ /	tatra sundarI iti antam patyuH /
        yāhi pāntheti priyāyāḥ /	yAhi pAnTa iti priyAyAH /
        mā kṛthā ityantaṃ patyuḥ /	mA kRTAH iti antam patyuH /
        śoka ityādikaṃ mametyantaṃ priyāyāḥ /	SokaH iti Adikam mama iti antam priyAyAH /
        tata ityādi muñcasītyantaṃ patyuḥ /	tatas ityAdi muQcasi iti antam patyuH /
        śīghraṃ na vrajasītyantaṃ priyāyāḥ /	SIGram na vrajasi iti antam priyAyAH /
        tvaretyantaṃ patyuḥ /	tvarA iti antam patyuH /
        bhūyānityādi priyāyāḥ /	BUyAn ityAdi priyAyAH /
        tvayā saha jigamiṣoḥ asya me jīvasya bhūyān saṃbhramastvaretyarthaḥ /	tvayA saha jigamizoH asya me jIvasya BUyAn saMBramaH tvarA iti arTaH /
        Locanā:	LocanA:
        (lo, u) yāma iti /	(lo, u) yAmaH iti /
        tava gamane mama kutaḥ śokaḥ jīvanābhāvāditi bhāvaḥ /	tava gamane mama kutas SokaH jIvana aBAvAt iti BAvaH /
        śīghranaṃ na vrajasīti /	SIGranam na vrajasi iti /
        tvāmagre paśyantyā mama tavāgamanasyapyaśaṅkā /	tvAm agre paSyantyAH mama tava Agamanasi api aSaFkA /
        tayā dhārayantyā nāsya mocanamityāśayaḥ /	tayA DArayantyAH na asya mocanam iti ASayaH /
        mayi kṛtakapremakavastaba na khalu kadācid gamanam /	mayi kRtaka premakavastaba na Kalu kadAcid gamanam /
        tataśca durāśayāndolitatvena prāṇānāmākulībhāvo 'yamasahanīya iti /	tatas ca durASayAndolita tvena prANAnAm AkulIBAvaH ayam asahanIyaH iti /
        tatrāvaśyaṃbhāvini	tatra avaSyaMBAvini
        gamane hasasotpanne eṣāmapi niryāṇa ākulībhāvo nivarttatāmiti /	gamane hasasA utpanne ezAm api niryANaH AkulIBAvaH nivarttatAm iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   bhavan yathā  	Bavan yaTA  
   "prasthānaṃ vabayaiḥ kṛtaṃ, priyasakhairastraijastraṃ gataṃ, dhṛtyā na	"prasTAnam vabayEH kRtaM, priya saKEraH trEjastram gataM, DRtyA na
   kṣaṇamāsitaṃ, vyavasitaṃ cittena gantuṃ puraḥ /	kzaNam AsitaM, vyavasitam cittena gantum puras /
   yātuṃ niścitacetasi priyatame sarve samaṃ prasthitā gantavye sati jīvita !	yAtum niScita cetasi priyatame sarve samam prasTitAH gantavye sati jIvitaH !
   priyasuhṛtsārthaḥ kimu tyajyate" //	priya suhRd sArTaH kimu tyajyate" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, cha) prasthānaṃ valayaiḥ kṛtamiti /	(vi, Ca) prasTAnam valayEH kRtam iti /
        svajīvitaṃ sambodhya priyāyā uktiriyam /	sva jIvitam samboDya priyAyAH uktiH iyam /
        he jīvita ! priyatame yātuṃ niścitacetasi sati tavāpi gantavye	he jIvitaH ! priyatame yAtum niScita cetasi sati tava api gantavye
   gatatve sati valayādipriyasuhṛtsārthaḥ /	gata tve sati valaya Adi priya suhRd sArTaH /
        kimu tyajyate tenaiva saha gamyatāmityarthaḥ /	kimu tyajyate tena eva saha gamyatAm iti arTaH /
        valayādayaḥ sarve 'pi samaṃ prasthitāścalitāḥ /	valaya AdayaH sarve api samam prasTitAH calitAH /
        teṣāṃ prasthānamāha   prasthānamiti /	tezAm prasTAnam Aha    prasTAnam iti /
        prasthānaṃ yātrā bahudinavyāpakatadvārttayā kārśyena valayabhraṃśaḥ	prasTAnam yAtrA bahu dina vyApaka tad vArttayA kArSyena valaya BraMSaH
   gataṃ calitam /	gatam calitam /
        atra pṛthak priyasuhṛttvopādānam atyantapriyatvapratipādanāya /	atra pRTak priya suhRd tvA upAdAnam atyanta priya tva pratipAdanAya /
        tacca maraṇahetuśokādiduḥ khe 'pyaśrupātena tadduḥ khasya	tat ca maraNa hetu Soka Adi duH Ke api aSru pAtena tat duH Kasya
   kiñcidupaśamāt /	kiQcid upaSamAt /
        jīvanarakṣā bhavatyataḥ svarakṣākaritvenātyantaṃ priyatvam /	jIvana rakzA Bavati atas svarakzAkaritvena atyantam priya tvam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   bhūto yathā  	BUtaH yaTA  
   "cintābhiḥ stimitam 'ityādi (200 pṛdṛ) śāpadyathā  	"cintABiH stimitam  aityAdi (200 pRdR) SApadyaTA  
   "tāṃ jānīyāḥ  'ityādi (130 pṛdṛ) saṃbhramo divyamānuṣanirghātotpātādijaḥ /	"tAm jAnIyAH   aityAdi (130 pRdR) saMBramaH divya mAnuza nirGAta utpAta Adi jaH /
   yathā  vikramorvaśyāmurvaśīpurūravasoḥ /	yaTA  vikrama urvaSyAm urvaSI purUra vasoH /
   atra pūrvarāgoktānāmabhilāṣādīnāmatroktānāṃ cāṅgāsauṣṭhavādīnāmapi	atra pUrva rAga uktAnAm aBilAza AdInAm atra uktAnAm ca aFgA sOzWava AdInAm api
   daśānānubhayeṣāmapyubhayatra sambhave 'pi cirantanaprasiddhyā vivicya	daSAna anuBayezAm api uBayatra samBave api cirantana prasidDyA vivicya
   pratipādanam /	pratipAdanam /
   atha karuṇavipralambhaḥ  	aTa karuNa vipralamBaH  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ja) urvaśīpurūravasoriti /	(vi, ja) urvaSI purUravasoH iti /
        tayorvṛttānte ityarthaḥ /	tayoH vRttAnte iti arTaH /
        purūravasa eva vipralambhāt /	purUravasaH eva vipralamBAt /
        tatra ca devena urvaśyā haraṇameva daiva utpātaḥ /	tatra ca devena urvaSyA haraNam eva dEvaH utpAtaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yūnorekatarasmingatavati lokāntaraṃ punārlabhye /	yUnoH ekatarasmin gatavati loka antaram punA arlaBye /
   vimanāyate yadaikastadā bhavet karuṇavipralambhākhyaḥ // VisSd_3.209 //	vimanAyate yadA ekaH tadA Bavet karuNa vipralamBa AKyaH // VisSd _3.209 //
   yathā  kādambaryāṃ tuṇḍarīkamahāśvetāvṛttānte /	yaTA  kAt ambaryAm tuNxarIka mahA Sveta AvRttAnte /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, jha) puṇḍarīketi /	(vi, Ja) puNxarIka iti /
        tatra mahāśvetāyā maraṇe ākāśasarasvatyāḥ punarlabhyatvamuktam /	tatra mahASvetAyAH maraNe AkASa sarasvatyAH punar laBya tvam uktam /
        tathā ca tatra vipralambha eva ityuktvā prathamaṃ karuṇaḥ paścāttu	taTA ca tatra vipralamBaH eva iti uktvA praTamam karuNaH paScAt tu
   vipralambha ityabhiyuktānāṃ mataṃ darśayitumāha  kiñceti /	vipralamBaH iti aBiyuktAnAm matam darSayitum Aha  kiQca iti /
        maraṇaviśeṣasambhavāditi /	maraNa viSeza samBavAt iti /
        yathā pūrvarāgamānapravāsarūpā viśeṣāstathā maraṇasyāpi viśeṣasya	yaTA pUrva rAga mAna pravAsa rUpAH viSezAH taTA maraNasya api viSezasya
   sambhavādetadbhedena pravāsabhinnamapītyarthaḥ /	samBavAt etad Bedena pravAsa Binnam api iti arTaH /
        Locanā:	LocanA:
        (lo, ū) karuṇavipralambhākhyaḥ karuṇākhyo vipralambhaḥ /	(lo, U) karuNa vipralamBa AKyaH karuNA AKyaH vipralamBaH /
        kādambaryāṃ puṇḍarīke mṛte mahāśvetāyā vilāpaḥ /	kAdambaryAm puNxarIke mRte mahASvetAyAH vilApaH /
