   Bhaiṣajyavastu	BhEzajya vastu
   śvo bhaktena sārdhaṃ bhikṣusaṃgheneti / adhivāsayati bhagavān kaineyasya	Svas Baktena sArDam Bikzu saMGena iti / aDivAsayati BagavAn kEneyasya
   ṛṣes tūṣṇīṃbhāvena / atha kaineya ṛṣir bhagavatas tūṣṇīṃbhāvenādhivāsanāṃ	RzeH tUzNIMBAvena / aTa kEneyaH RziH BagavataH tUzNIMBAvena aDivAsanAm
   viditvotthāyāsanāt prakrāntaḥ / bhagavān api mandākinyāḥ puṣkariṇyās tīre	viditvA utTAya AsanAt prakrAntaH / BagavAn api mandAkinyAH puzkariNyAH tIre
   'ntarhita ādumāyāṃ pratyaṣṭhāt sārdhaṃ bhikṣusaṃghena / atha kaineya ṛṣiḥ	antarhitaH AdumAyAm pratyazWAt sArDam Bikzu saMGena / aTa kEneyaH RziH
   sarātram evotthāyāntarjanam āmantrayate / uttiṣṭhata (MSV I 264) āryā	sarAtram eva utTAya antarjanam Amantrayate / uttizWate (MSV I 264) AryA
   uttiṣṭhata / bhadramukhāḥ kāṣṭhāni pāṭayata / khādyakāny ullāḍayata /	uttizWate / Badra muKAH kAzWAni pAwayate / KAdyakAni ullAxayata /
   pratijāgrata maṇḍapavāḍam iti /	pratijAgrata maNxapa vAxam iti /
   tena khalu samayena śailo nāma ṛṣiḥ kaineyasya ṛṣer bhāgineyas tasminn	tena Kalu samayena SElaH nAma RziH kEneyasya RzeH BAgineyaH tasmin= 
   āvasathe rātriṃ vāsam upagataḥ / aśroṣīt śaila ṛṣiḥ kaineyam ṛṣiṃ sarātram	AvasaTe rAtrim vAsam upagataH / aSrozIt SElaH RziH kEneyam Rzim sarAtram
   evotthāyāntarjanam āmantrayantam* / śrutvā ca punaḥ kaineyam ṛṣim idam	eva utTAya antarjanam Amantrayantam* / SrutvA ca punar kEneyam Rzim idam
   avocat* / kiṃ punas te ṛṣe sabrahmacāriṇo nimantritāḥ / rājā vā	avocat* / kim punar te Rze sa brahmacAriNaH nimantritAH / rAjA vA
   māgadhaśreṇyo biṃbisāro rāṣṭranivāsī janakāyo yathepsitasya vā	mAgaDa SreNyaH biMbisAraH rAzwra nivAsI jana kAyaH yaTA Ipsitasya vA
   ṛṣidharmasya parisamāptir iti / sa kathayati / na me śaila sabrahmacāriṇa	Rzi Darmasya parisamAptiH iti / sa kaTayati / na me SEla sa brahmacAriNa
   upanimantritā nāpi rājā māgadhaśreṇyo biṃbisāro rāṣṭranivāsī janakāyo nāpi	upanimantritA na api rAjA mAgaDa SreNyaH biMbisAraH rAzwra nivAsI jana kAyaH na api
   yathepsitasya ṛṣidharmasya parisamāptiḥ / api tu mayā buddhapramukho	yaTA Ipsitasya Rzi Darmasya parisamAptiH / api tu mayA budDa pramuKaH 
   bhikṣusaṃgho bhaktenopanimantrita iti tasya buddha ity aśrutapūrvaṃ ghoṣaṃ	Bikzu saMGaH Baktena upanimantritaH iti tasya budDaH iti aSruta pUrvam Gozam
   śrutvā sarvaromakūpāny āhṛṣṭāni / sagauravaḥ sa papraccha / ka eṣa ṛṣe	SrutvA sarva romakUpAni AhRzwAni / sa gOravaH sa papracCa / kaH ezaH Rze
   buddho nāma iti / asti śaila śramaṇo gautamaḥ śākyaputraḥ śākyakulāt	budDaH nAma iti / asti SEla SramaNaH gOtamaH SAkya putraH SAkya kulAt 
   keśaśmaśrūṇy avatārya kāṣāyāṇi vastrāṇy ācchādya samyag eva śraddhayāgārād	keSa SmaSrUNi avatArya kAzAyANi vastrANi AcCAdya samyak eva SradDayA AgArAt 
   anagārikāṃ pravrajitaḥ / so 'nuttarāṃ samyaksaṃbodhim abhisaṃbuddhaḥ / sa	anagArikAm pravrajitaH / saH anuttarAm samyaksaMboDim aBisaMbudDaH / sa
   eṣa buddho nāmeti / śailaḥ kathayati / ka eṣa ṛṣe saṃgho nāmeti / kaineya	eza budDaH nAma iti / SElaH kaTayati / kaH ezaH Rze saMGaH nAma iti / kEneya
   ṛṣiḥ kathayati / santi śaila kṣatriyakulād api kulaputrāḥ keśaśmaśrv	RziH kaTayati / santi SEla kzatriya kulAt api kula putrAH keSa SmaSrv
   avatārya kāṣāyāṇi vastrāṇy ācchādya samyag eva śraddhayāgārād anagārikāṃ	avatArya kAzAyANi vastrANi AcCAdya samyak eva SradDayA AgArAt anagArikAm
   pravrajitaḥ / santi brāhmaṇakulād api vaiśyakulād api kulaputrāḥ pūrvavat	pravrajitaH / santi brAhmaNa kulAt api vESya kulAt api kula putrAH pUrvavat 
   tam eva bhagavantaṃ tathāgatam arhantaṃ samyaksaṃbuddhaṃ pravrajitāḥ / sa	tam eva Bagavantam taTAgatam arhantam samyaksaMbudDam pravrajitAH / sa
   eṣa ṛṣe saṃgho nāma iti / ayaṃ ca śaila saṃghaḥ pūrvakaś ca (MSV I 265)	ezaH Rze saMGaH nAma iti / ayam ca SEla saMGaH pUrvakaH ca (MSV I 265)
   buddhaḥ / sa eṣa (fol. 234v1 = GBM 6.781) buddhapramukho bhikṣusaṃgho mayā	budDaH / saH eza (fol. 234v1  GBm 6.781) budDa pramuKaH Bikzu saMGaH mayA
   bhaktenopanimantritaḥ / atha śailaṛṣir buddhālambanayā smṛtyā kālyam	Baktena upanimantritaH / aTa SEla RziH budDa AlambanayA smRtyA kAlyam
   evotthāya paṃcaśataparivāro yena bhagavāms tenopasaṃkrāntaḥ / upasaṃkramya	eva utTAya paMca Sata parivAraH yena BagavAnH tena upasaMkrAntaH / upasaMkramya
   bhagavantam etad avocat* / labheyāhaṃ bhadanta svākhyāte dharmavinaye	Bagavantam etat avocat* / laBeya aham Badanta su AKyAte Darma vinaye
   pravrajyām upasaṃpadaṃ bhikṣubhāvaṃ careyam ahaṃ bhagavato 'ntike	pravrajyAm upasaMpadam Bikzu BAvam careyam aham BagavataH antike
   brahmacaryam iti / labdhavān śaila ṛṣiḥ paṃcaśataparivāraḥ svākhyāte	brahmacaryam iti / labDavAn SElaH RziH paMca Sata parivAraH su AKyAte
   dharmavinaye pravrajyām upasaṃpadaṃ bhikṣubhāvam* /	Darma vinaye pravrajyAm upasaMpadam Bikzu BAvam* /
   atha kaineya ṛṣis tām eva śuci praṇītaṃ khādanīyabhojanīyaṃ pūrvavad yāvat	aTa kEneyaH RziH tAm eva Suci praNItam KAdanIya BojanIyam pUrvavat yAvat 
   saṃtarpayati saṃpravārayati / tena buddhapramukhaṃ bhikṣusaṃghaṃ	saMtarpayati saMpravArayati / tena budDa pramuKam Bikzu saMGam
   bhojayamānena śailaḥ pravrajito dṛṣṭaḥ / sa kathayati / śaila tvaṃ	BojayamAnena SElaH pravrajitaH dRzwaH / sa kaTayati / SEla tvam
   pravrajitaḥ / pravrajitvā suṣṭhu kṛtaṃ sādhu kṛtam* / aham api	pravrajitaH / pravrajitvA suzWu kRtam sADu kRtam* / aham api
   buddhapramukhaṃ bhikṣusaṃghaṃ bhojayitvā pravrajiṣyāmīti / atha kaineya	budDa pramuKam Bikzu saMGam BojayitvA pravrajizyAmi iti / aTa kEneya
   ṛṣir anekaparyāyeṇa buddhapramukhaṃ bhikṣusaṃghaṃ śucinā praṇītena	RziH aneka paryAyeNa budDa pramuKam Bikzu saMGam SucinA praNItena
   khādanīyabhojanīyena saṃtarpya saṃpravārya bhagavantaṃ bhuktavantaṃ	KAdanIya BojanIyena saMtarpya saMpravArya Bagavantam Buktavantam
   viditvā dhautahastam apanītapātraṃ nīcataram āsanaṃ gṛhītvā bhagavataḥ	viditvA DOta hastam apanIta pAtram nIcataram Asanam gRhItvA BagavataH
   purastān niṣaṇṇo dharmaśravaṇāya / tato bhagavāṃs tasmai dakṣiṇām ādiśya	purastAt nizaNNaH Darma SravaNAya / tatas BagavAn tasmE dakziNAm AdiSya
   dharmadeśanāṃ kṛtvā prakrāntaḥ / atha kaineya ṛṣir yat	Darma deSanAm kRtvA prakrAntaH / aTa kEneyaH RziH yat 
   tatrotpādanadharmakaṃ sarvaṃ visarjanadharmakaṃ kṛtvā {MS	tatra utpAdana Darmakam sarvam visarjana Darmakam kRtvA {MS
   tatrotsadanadharmakaṃ tat sarvaṃ visarjanadharmakaṃ kṛtvā; cf. MPS 7.2	tatra utsadana Darmakam tat sarvam visarjana Darmakam kRtvA; cf. MPS 7.2
   tatrotsīdana ; BHSD s.v. utsīdana} paṃcaśataparivāro yena bhagavāṃs	tatra utsIdana ; BHSD s.v. utsIdana} paMca Sata parivAraH yena BagavAn= 
   tenopasaṃkrāntāḥ / upasaṃkramya bhagavataḥ pādau śirasā vanditvaikānte	tena upasaMkrAntAH / upasaMkramya BagavataH pAdO SirasA vanditvA ekAnte
   'sthāt* / ekāntasthitaḥ kaineya ṛṣir bhagavantam idam avocat* / labheyāhaṃ	asTAt* / ekAnta sTitaH kEneyaH RziH Bagavantam idam avocat* / laBeya aham
   bhadanta svākhyāte dharmavinaye pravrajyām upasaṃpadaṃ bhikṣubhāvaṃ	Badanta su AKyAte Darma vinaye pravrajyAm upasaMpadam Bikzu BAvam
   careyam ahaṃ bhagavato 'ntike (MSV I 266) brahmacaryam iti / labdhavān	careyam aham BagavataH antike (MSV I 266) brahmacaryam iti / labDavAn
   kaineya ṛṣiḥ paṃcaśataparivāraḥ svākhyāte dharmavinaye pravrajyām	kEneyaH RziH paMca Sata parivAraH su AKyAte Darma vinaye pravrajyAm
   upasaṃpadaṃ bhikṣubhāvam* /	upasaMpadam Bikzu BAvam* /
   atha bhagavāṃs tad bhikṣusahasraṃ pravrajyopasaṃpādya nadyāḥ	aTa BagavAn tat Bikzu sahasram pravrajya upasaMpAdya nadyAH
   prabhadrikāyās tīre vāsam upagataś chatrāmbuvane {MS chatrāpravane} /	praBadrikAyAH tIre vAsam upagataH Catra ambu vane {n Catra apravane} /
   tatra bhagavatā paṃcabhikṣuśatāny āyuṣmate brāhmaṇakapphiṇāya dattāni /	tatra BagavatA paMca Bikzu SatAni Ayuzmate brAhmaNa kapPiNAya dattAni /
   ardhatṛtīyāny āyuṣmate mahāmaudgalyāyanāya / ardhatṛtīyāny āyuṣmate	arDa tRtIyAni Ayuzmate mahAmOdgalyAyanAya / arDa tRtIyAni Ayuzmate
   śāriputrāya / tatra ye āyuṣmatā brāhmaṇkapphiṇenāvacoditās taiḥ	SAriputrAya / tatra ye AyuzmatA brAhmaN kapPiNena avacoditAH tEH
   sarvakleśaprahāṇād arhatvaṃ sākṣātkṛtam* / ye āyuṣmatā mahāmaudgalyāyanena	sarva kleSa prahANAt arhatvam sAkzAtkRtam* / ye AyuzmatA mahAmOdgalyAyanena
   tair anāgāmiphalam* / ye āyuṣmatā śāriputreṇa taiḥ srotaāpattiphalam* /	tEH anAgAmi Palam* / ye AyuzmatA SAriputreNa tEH srotaApatti Palam* /
   bhikṣavaḥ saṃśayajātāḥ sarvasaṃśayacchettāraṃ buddhaṃ bhagavantaṃ	BikzavaH saMSaya jAtAH sarva saMSaya= CettAram budDam Bagavantam
   papracchuḥ / paśya bhadanta bhagavatā āyuṣmān śāriputro mahāprajñānām	papracCuH / paSya Badanta BagavatA AyuzmAn SAriputraH mahA prajQAnAm
   agryo vyākṛtaḥ āyuṣmāṃś ca mahāmaudgalyāyano mahardhikānāṃ mahānubhāvānām*	agryaH vyAkRtaH AyuzmAn ca mahAmOdgalyAyanaH mahA rDikAnAm mahA anuBAvAnAm *
   / atha ca punar ye āyuṣmatā brāhmaṇakapphiṇenāvacoditās tair ahatvaṃ	/ aTa ca punar ye AyuzmatA brAhmaNa kapPiNena avacoditAH tEH ahatvam
   sākṣātkṛtam* / ye āyuṣmatā mahāmaudgalyāyanena tair anāgāmiphalam* / ye	sAkzAtkRtam* / ye AyuzmatA mahAmOdgalyAyanena tEH anAgAmi Palam* / ye
   āyuṣmatā śāriputreṇa taiḥ srotaāpattiphalam* / bhagavān āha / bhikṣava	AyuzmatA SAriputreNa tEH srotaApatti Palam* / BagavAn Aha / Bikzava
   etarhi yathā tathātīte 'dhvani ye (fol. 235r1 = GBM 6.782)	etarhi yaTA taTA atIte aDvani ye (fol. 235r1  GBm 6.782)
   brāhmaṇakapphiṇenāvacoditās te ārūpyadhātau pratiṣṭhitāḥ / ye	brAhmaNa kapPiNena avacoditAH te ArUpya DAtO pratizWitAH / ye
   maudgalyāyanena te rūpadhātau / ye śāriputreṇa te paṃcasv abhijñāsu	mOdgalyAyanena te rUpa DAtO / ye SAriputreNa te paMcasu aBijQAsu
   pratiṣṭhitāḥ / tac chrūyatām* /	pratizWitAH / tat SrUyatAm* /
   bhūtacaraṃ bhikṣavo 'nyatarasminn araṇyāyatane dvau ṛṣī prativasataḥ /	BUta caram BikzavaH anyatarasmin araNyAyatane dvO RzI prativasataH /
   pratyekaṃ paṃcaśataparivāraḥ / yāvad apareṇa samayena tayor ekaḥ (MSV I	pratyekam paMca Sata parivAraH / yAvat apareNa samayena tayoH ekaH (MSV I
   267) kālagataḥ / tatas tasya māṇavakā guruviyogaduḥkhadaurmanasyasaṃtaptā	267) kAlagataH / tatas tasya mANavakA guru viyoga duHKa dOrmanasya saMtaptA
   itaś cāmutaś ca paribhramantas tasya dvitīyasya ṛṣeḥ sakāśam upasaṃkrāntāḥ	itas ca amutas ca pariBramantaH tasya dvitIyasya RzeH sakASam upasaMkrAntAH
   / tena te dṛṣṭā aśruparyākulekṣaṇāḥ pṛṣṭāś ca / māṇavakā yo 'sau yuṣmākam	/ tena te dRzwAH aSru paryAkula IkzaNAH pRzwAH ca / mANavakAH yaH asO yuzmAkam
   upādhyāyaḥ kālagataḥ / sa saṃlakṣayati / mamātyayān māṇavakān āmīdṛśī	upADyAyaH kAlagataH / sa saMlakzayati / mama atyayAt mANavakAn AmIdRSI
   samavasthā bhaviṣyati / yanv aham eṣām upasaṃgrahaṃ kuryām iti / tena te	samavasTA Bavizyati / yanu aham ezAm upasaMgraham kuryAm iti / tena te
   samāśvāsitā upasaṃgṛhītāś ca / yāvad apareṇa samayena so 'pi ṛṣir glānaḥ	samASvAsitAH upasaMgRhItAH ca / yAvat apareNa samayena saH api RziH glAnaH
   saṃvṛttaḥ / tasya trayo 'gryaśiṣyāḥ / tenaikaikasya paṃcaśatāni dattāni /	saMvRttaH / tasya trayaH agrya SizyAH / tena ekEkasya paMca SatAni dattAni /
   dvitīyasyārdhatṛtīyāni / tṛtīyasyārdhatṛtīyāni / sa kāladharmeṇa saṃyuktaḥ	dvitIyasya arDa tRtIyAni / tRtIyasya arDa tRtIyAni / sa kAlaDarmeNa saMyuktaH
   / tatra yasya paṃcaśatāni dattāni tena tathāvacoditāni yathā ārūpyadhātau	/ tatra yasya paMca SatAni dattAni tena taTA avacoditAni yaTA ArUpya DAtO
   pratiṣṭhāpitāni / yasyārdhatṛtīyāni tena tathāvacoditāni yathā rūpadhātau	pratizWApitAni / yasya arDa tRtIyAni tena taTA avacoditAni yaTA rUpa DAtO
   pratiṣṭhāpitāni / yasyāpy ardhatṛtīyāni tena tathāvacoditāni yathā paṃcasv	pratizWApitAni / yasya api arDa tRtIyAni tena taTA avacoditAni yaTA paMcasv
   abhijñāsu pratiṣṭhāpitāni / kiṃ manyadhve bhikṣavo yo 'sau ṛṣir yena tāni	aBijQAsu pratizWApitAni / kim manyaDve BikzavaH yaH asO RziH yena tAni
   paṃcamāṇavakaśatāny ārūpyadhātau pratiṣṭhāpitāny eṣa evāsau kapphiṇo	paMcamANavaka SatAni ArUpya DAtO pratizWApitAni ezaH eva asO kapPiNaH 
   bhikṣus tena kālena tena samayena / yenārdhatṛtīyāni rūpadhātau	BikzuH tena kAlena tena samayena / yena arDa tRtIyAni rUpa DAtO
   pratiṣṭhāpitāny eṣa evāsau maudgalyāyano bhikṣuḥ / yenāpy ardhatṛtīyāni	pratizWApitAni ezaH eva asO mOdgalyAyanaH BikzuH / yena api arDa tRtIyAni
   śatāni paṃcasv abhijñāsu pratiṣṭhāpitāny eṣa evāsau śāriputro bhikṣuḥ /	SatAni paMcasu aBijQAsu pratizWApitAni ezaH eva asO SAriputraH BikzuH /
   api tu bhikṣavo ye kapphiṇenāvacoditās te tīkṣṇendriyāḥ / ye	api tu BikzavaH ye kapPiNena avacoditAH te tIkzNa indriyAH / ye
   maudgalyāyanena te madhyendriyāḥ / ye śāriputreṇa te mṛdvindriyāḥ / yadi	mOdgalyAyanena te maDya indriyAH / ye SAriputreNa te mRdu indriyAH / yadi
   śāriputreṇāvacoditā nābhaviṣyan uṣmagatā apy anayagatā abhaviṣyan* /	SAriputreNa avacoditAH na aBavizyan uzma gatAH api anaya gatAH aBavizyan* /
   (MSV I 268)	(MSV I 268)
   sarve samagrāḥ śṛṇuta viprasannena cetasā /	sarve samagrAH SRNuta viprasannena cetasA /
   prakāśayan buddhavarṇaṃ kaineyajaṭilas tathā //	prakASayan budDa varNam kEneya jawilaH taTA //
   ekasmin samaye śāstā kaineyasya niveśane /	ekasmin samaye SAstA kEneyasya niveSane /
   saśrāvako mahāvīro bhojanena nimantritaḥ //	sa SrAvakaH mahAvIraH Bojanena nimantritaH //
   adrākṣīd brāhmaṇaḥ śailaḥ kaineyasya niveśane /	adrAkzIt brAhmaNaH SElaH kEneyasya niveSane /
   pratijāgryamānam aśanaṃ dṛṣṭvā kaineyam abravīt* //	pratijAgryamAnam aSanam dRzwvA kEneyam abravIt* //
   vivāhaḥ kiṃ nu rājā vā rāṣṭraṃ vopanimantritam* /	vivAhaH kim nu rAjA vA rAzwram vA upanimantritam* /
   athavā te mahāprajña pṛṣṭa ācakṣva tan mama //	aTavA te mahA prajQa pRzwaH Acakzva tat mama //
   na me vivāho rājā vā rāṣṭraṃ vopanimantritam*	na me vivAhaH rAjA vA rAzwram vA upanimantritam*
   agrasatvo mayā buddho bhaktenopanimantritaḥ //	agra satvaH mayA budDaH Baktena upanimantritaH //
   so 'yaṃ buddha iti śrutvā śailaḥ saṃvegam āgataḥ /	saH ayam budDaH iti SrutvA SElaH saMvegam AgataH /
   ka eṣa buddhaḥ kaineya pṛṣṭa ācakṣva tan mama //	kaH eza budDaH kEneya pRzwaH Acakzva tat mama //
   asti śākyakule jātaḥ sa śāstāpratipudgalaḥ /	asti SAkya kule jAtaH sa SAstA pratipudgalaH /
   buddhimān sarvadharmeṣu tasmād buddho nirucyate //	budDimAn sarva Darmezu tasmAt budDaH nirucyate //
   dṛṣṭaṃ hy atītaṃ buddhena tathā dṛṣṭam anāgatam* /	dRzwam hi atItam budDena taTA dRzwam anAgatam* /
   pratyutpannam atho dṛṣṭaṃ saṃskārā vyayadharmiṇaḥ //	pratyutpannam aTo dRzwam saMskArAH vyaya DarmiNaH //
   yac ca kiṃcid abhijñeyaṃ sarvaṃ tad vetti tatvavit* /	yat ca kiMcid aBijQeyam sarvam tat vetti tatu avit* /
   (fol. 235v1 = GBM 6.783)	(fol. 235v1  GBm 6.783)
   sarvajñaḥ sarvadarśī ca tasmād buddho nirucyate //	sarvajQaH sarva darSI ca tasmAt budDaH nirucyate //
   abhijñeyam abhijñātaṃ bhāvanīyaṃ ca bhāvitam* /	aBijQeyam aBijQAtam BAvanIyam ca BAvitam* /
   prahātavyaṃ prahīnaṃ ca tasmād buddho nirucyate //	prahAtavyam prahInam ca tasmAt budDaH nirucyate //
   (MSV I 269)	(MSV I 269)
   jāyamāne ca yatreyaṃ sasamudrā saparvatā /	jAyamAne ca yatra iyam sa samudrA sa parvatA /
   prakaṃpitābhūd dharaṇī taṃ namasye kṛtāñjaliḥ //	prakaMpitA aBUt DaraNI tam namasye kRtAQjaliH //
   nihato yena māraś ca kṛṣṇabandhuḥ savāhanaḥ /	nihataH yena mAraH ca kRzNa banDuH sa vAhanaH /
   tathāgatabalaprāptaṃ taṃ namasye kṛtāñjaliḥ //	taTAgata bala prAptam tam namasye kRtAQjaliH //
   yena tad dvādaśākāraṃ dharmacakraṃ pravartitam* /	yena tat dvAdaSa AkAram Darma cakram pravartitam* /
   vārāṇasīṃ purīṃ gatvā taṃ namasye kṛtāñjaliḥ //	vArANasIm purIm gatvA tam namasye kRtAQjaliH //
   rāgabandhena baddhān ye rāgadveṣābhipīḍitān* /	rAga banDena badDAn ye rAga dveza aBipIxitAn* /
   bahūn mocayate satvāṃs taṃ namasye kṛtāñjaliḥ //	bahUn mocayate satvAn tam namasye kRtAQjaliH //
   kutra buddhaḥ sa bhagavān kiyad dūre vināyakaḥ /	kutra budDaH sa BagavAn kiyat dUre vinAyakaH /
   adyaiva śaraṇaṃ yāmi śākyaputraṃ prabhākaram* //	adya eva SaraNam yAmi SAkya putram praBAkaram* //
   gaccha brāhmaṇa tenedaṃ vanaṣaṇḍaṃ manoramam* /	gacCa brAhmaNa tena idam vana zaNxam manoramam* /
   gandharvarājopanibhaṃ buddhaṃ drakṣyasy anuttaram* //	ganDarva rAja upaniBam budDam drakzyasi anuttaram* //
   kāṣāyavastraṃ dyutimantaṃ hemavarṇaṃ haritvacam* /	kAzAya vastram dyutimantam hema varNam hari tvacam* /
   tad ghāṭakam ivottaptaṃ bimbaṃ hemamayaṃ yathā //	tat GAwakam iva uttaptam bimbam hema mayam yaTA //
   sālavṛkṣaṃ kusumitaṃ puṣpitaṃ karṇikāravat* /	sAla vRkzam kusumitam puzpitam karNikAravat* /
   nānāratnaparicchannaṃ yūpaṃ ratnamayaṃ yathā //	nAnA ratna paricCannam yUpam ratna mayam yaTA //
   samantato 'vabhāsayati samantād vyāmatejasā /	samantataH avaBAsayati samantAt vyAma tejasA /
   ārohapariṇāhena nyagrodhaparimaṇḍalaḥ //	Aroha pariNAhena nyagroDa parimaNxalaH //
   sarvakāmaratiṃ hitvā sphītaṃ rājyaṃ sabāndhavam* /	sarva kAma ratim hitvA sPItam rAjyam sa bAnDavam* /
   pravrajyām abhiniṣkrānto viveke ramate muniḥ //	pravrajyAm aBinizkrAntaH viveke ramate muniH //
   (MSV I 270)	(MSV I 270)
   siṃhavan nadate cchambhī kesarī gandhamādane /	siMha vat nadate cCamBI kesarI ganDamAdane /
   vanāntareṣv asaṃtrastaṃ buddhaṃ drakṣyasi brāhmaṇa //	vana antarezu asaMtrastam budDam drakzyasi brAhmaNa //
   brahmasvaraṃ mañjugiraṃ ślakṣṇavācā smitonmukham* /	brahma svaram maQjugiram SlakzNa vAcA smita unmuKam* /
   dundubhisvaranirghoṣaṃ buddhaṃ drakṣyasi brāhmaṇa //	dunduBi svara nirGozam budDam drakzyasi brAhmaNa //
   candraṃ vā gagane śuddhaṃ nakṣatraparivāritam* /	candram vA gagane SudDam nakzatra parivAritam* /
   candramaṇḍalasaṃkāśaṃ buddhaṃ drakṣyasi brāhmaṇa //	candra maNxala saMkASam budDam drakzyasi brAhmaNa //
   vairocanaṃ vā dīptāṃśuṃ bhānumantaṃ nabhastale /	vErocanam vA dIpta aMSum BAnumantam naBastale /
   vītāndhakāraṃ rājantaṃ buddhaṃ drakṣyasi brāhmaṇa //	vIta anDakAram rAjantam budDam drakzyasi brAhmaNa //
   yathārṣabhaṃ yūthapatim acalaṃ kakudaṃ sthitam* /	yaTA ArzaBam yUTa patim acalam kakudam sTitam* /
   puruṣarṣabhaṃ daśabalaṃ buddhaṃ drakṣyasi brāhmaṇa //	puruza RzaBam daSa balam budDam drakzyasi brAhmaNa //
   samudram iva gambhīram aprameyaṃ mahodadhim* /	samudram iva gamBIram aprameyam mahA udaDim* /
   acintyaṃ dhyāyinām agryaṃ buddhaṃ drakṣyasy anuttaram* //	acintyam DyAyinAm agryam budDam drakzyasi anuttaram* //
   niryāntaṃ kṛṣṇapakṣād vā bhānumantam ivāmbare /	niryAntam kRzNa pakzAt vA BAnumantam iva ambare /
   dhmāyantam agniskandhaṃ vā buddhaṃ drakṣyasi gautamam* //	DmAyantam agni skanDam vA budDam drakzyasi gOtamam* //
   cakravartī yathā rājā sacivaiḥ parivāritaḥ /	cakravartI yaTA rAjA sacivEH parivAritaH /
   arhadbhir iva saṃbuddhaḥ śobhate saṃpuraskṛtaḥ //	arhadBiH iva saMbudDaH SoBate saMpuraskRtaH //
   vaśavartī ca kāmeṣu mahābrahmā yatheśvaraḥ /	vaSavartI ca kAmezu mahA brahmA yaTA ISvaraH /
   trisahasraṃ lokadhātuṃ vaśī vartayate muniḥ //	tri sahasram lokaDAtum vaSI vartayate muniH //
   satyāni saṃprakāśayati madhv iva nīḍakāt sravat* /	satyAni saMprakASayati maDu iva nIxakAt sravat* /
   śrutvā yad upaśāmyanti prataranti mahārṇavam* //	SrutvA yat upaSAmyanti prataranti mahA arNavam* //
   (MSV I 271)	(MSV I 271)
   duḥkhaṃ naikaprakāraṃ ca yac ca duḥkhasya saṃbhavam* /	duHKam na eka prakAram ca yat ca duHKasya saMBavam* /
   duḥkhasya ca vyupaśamaṃ mārgaṃ dvicaturaṃgikam* //	duHKasya ca vyupaSamam mArgam dvi caturaMgikam* //
