   akathyamapi deveśi Ras_1.13c	akaTyam-api deveSi RaH-_1.13c
   lepaṃ mūṣodare dattvā Ras_6.86a	lepam mUzA-udare dattvA RaH-_6.86a
   lepikā kṣepikā caiva Ras_2.57a	lepikA kzepikA ca-eva RaH-_2.57a
   lepitaṃ veṣṭayettataḥ Ras_12.94d	lepitam vezwayet-tatas RaH-_12.94d
   lepo varṇapuṭaṃ devi Ras_4.48c	lepaH varNa-puwam devi RaH-_4.48c
   lepyaṃ kṣepyaṃ sahasraśaḥ Ras_11.146d	lepyam kzepyam sahasraSas RaH-_11.146d
   lokanātha jagatpate Ras_3.1b	lokanATa jagatpate RaH-_3.1b
   lokapālāṣṭakena ca Ras_11.103b	lokapAla-azwakena ca RaH-_11.103b
   lokapālaiśca rakṣitam Ras_2.46d	lokapAlEH-ca rakzitam RaH-_2.46d
   lokānāmupakārakam Ras_1.33d	lokAnAm-upakArakam RaH-_1.33d
   lokānāṃ tu hitārthāya Ras_12.207a	lokAnAm tu hita-arTAya RaH-_12.207a
   lobhamāyāvinirmukto Ras_2.7c	loBa-mAyA-vinirmuktaH RaH-_2.7c
   lobhamāyāvivarjitaḥ Ras_2.2b	loBa-mAyA-vivarjitaH RaH-_2.2b
   lolitaṃ puṭitaṃ muhuḥ Ras_6.17b	lolitam puwitam muhur RaH-_6.17b
   loṣṭastho 'pi hi gacchati Ras_4.22b	lozwa-sTaH api hi gacCati RaH-_4.22b
   lohakuṣṭhaharaṃ divya- Ras_7.51c	loha-kuzWa-haram divya RaH-_7.51c
   lohajātaṃ tathā dhmātam Ras_6.121a	loha-jAtam taTA DmAtam RaH-_6.121a
   lohaṭī bandhakārī ca Ras_2.57c	lohawI banDa-kArI ca RaH-_2.57c
   lohadaṇḍastṛtīyakaḥ Ras_5.26b	lohadaNxaH-tRtIyakaH RaH-_5.26b
   lohadaṇḍena saṃsiktaṃ Ras_12.161c	loha-daNxena saMsiktam RaH-_12.161c
   lohapattrāṇi lepayet Ras_7.128d	loha-pattrANi lepayet RaH-_7.128d
   lohaparpaṭikātāpya- Ras_8.59a	loha-parpawikA-tApya RaH-_8.59a
   lohapātre tu jārayet Ras_11.35d	loha-pAtre tu jArayet RaH-_11.35d
   lohapātre pacedyantre Ras_9.12c	loha-pAtre pacet-yantre RaH-_9.12c
   lohapātre vinikṣipya Ras_7.21e	loha-pAtre vinikzipya RaH-_7.21e
   lohapātre sthitaṃ rasam Ras_11.62d	loha-pAtre sTitam rasam RaH-_11.62d
   lohamūṣādvayaṃ kṛtvā Ras_4.8a	loha-mUzA-dvayam kRtvA RaH-_4.8a
   lohalepaṃ tato dadyāt Ras_7.129e	loha-lepam tatas dadyAt RaH-_7.129e
   lohasampuṭamadhyagaḥ Ras_9.14d	loha-sampuwa-maDya-gaH RaH-_9.14d
   lohasaṃkarajaṃ tathā Ras_7.99b	loha-saMkara-jam taTA RaH-_7.99b
   lohasya viṃśatirbhāgā Ras_4.17c	lohasya viMSatiH-BAgAH RaH-_4.17c
   lohaṃ tu ṣaḍvidhaṃ tacca Ras_7.97c	loham tu zaxviDam tat-ca RaH-_7.97c
   lohānāṃ jāraṇe priye Ras_9.6d	lohAnAm jAraNe priye RaH-_9.6d
   lohānāṃ māraṇaṃ vakṣye Ras_7.147a	lohAnAm mAraNam vakzye RaH-_7.147a
   lohāni sakalāni ca Ras_6.20d	lohAni sakalAni ca RaH-_6.20d
   lohāni sattvaṃ triguṇaṃ Ras_11.152a	lohAni sattvam triguNam RaH-_11.152a
   lohānyaṣṭau ca vidhyati Ras_12.57d	lohAni-azwO ca viDyati RaH-_12.57d
   lohānyaṣṭau ca vedhayet Ras_12.198b	lohAni-azwO ca veDayet RaH-_12.198b
   lohāvartaḥ sa vijñeyaḥ Ras_4.55c	loha-AvartaH sa vijQeyaH RaH-_4.55c
   lohe krāmaṇaśīlinaḥ Ras_6.71b	lohe krAmaNa-SIlinaH RaH-_6.71b
   lauhacūrṇasya jāraṇe Ras_9.7d	lOha-cUrNasya jAraNe RaH-_9.7d
   vaktumarhasi tattvataḥ Ras_1.32d	vaktum-arhasi tattvataH RaH-_1.32d
   vaktumarhasi tattvataḥ Ras_10.1d	vaktum-arhasi tattvataH RaH-_10.1d
   vaktrasthā nātra saṃśayaḥ Ras_12.351f	vaktra-sTA na-atra saMSayaH RaH-_12.351f
   vaktrasthā nāśayet sākṣāt Ras_12.347c	vaktra-sTA nASayet sAkzAt RaH-_12.347c
   vaktraṃ tatpuruṣaṃ smṛtam Ras_2.111b	vaktram tatpuruzam smRtam RaH-_2.111b
   vaktre kare ca bibhṛyāt Ras_12.345c	vaktre kare ca biBRyAt RaH-_12.345c
   vakraghoṇāḥ sadā krūrāḥ Ras_2.10c	vakra-GoNAH sadA krUrAH RaH-_2.10c
   vakranālakṛtā vāpi Ras_4.31c	vakranAla-kRtA vA-api RaH-_4.31c
   vakranālaṃ ca koṣṭhikām Ras_4.34b	vakranAlam ca kozWikAm RaH-_4.34b
   vakṣyate bālajāraṇā Ras_11.7d	vakzyate bAla-jAraNAH RaH-_11.7d
   vakṣyamāṇakrameṇa tu Ras_11.125b	vakzyamANa-krameNa tu RaH-_11.125b
   vakṣyamāṇena mantreṇa Ras_12.185c	vakzyamANena mantreNa RaH-_12.185c
   vakṣyāmi rasabandhanam Ras_12.189b	vakzyAmi rasa-banDanam RaH-_12.189b
   vakṣyāmi śṛṇu pārvati Ras_12.143b	vakzyAmi SRNu pArvati RaH-_12.143b
   vakṣyāmi surasundari Ras_12.117b	vakzyAmi surasundari RaH-_12.117b
   vakṣye nāgābhrajāraṇam Ras_11.181b	vakzye nAgABra-jAraNam RaH-_11.181b
   vaṅgatālapalāśakam Ras_7.148d	vaFga-tAla-palASakam RaH-_7.148d
   vaṅganāgau tu pūtikau Ras_7.98d	vaFga-nAgO tu pUtikO RaH-_7.98d
   vaṅganāgau parityajya Ras_10.56c	vaFga-nAgO parityajya RaH-_10.56c
   vaṅgapattrāntaranyastaṃ Ras_8.29e	vaFga-pattra-antara-nyastam RaH-_8.29e
   vaṅgabījamudāhṛtam Ras_8.71f	vaFga-bIjam-udAhRtam RaH-_8.71f
   vaṅgabhāgāstu catvāraḥ Ras_8.70c	vaFga-BAgAH-tu catvAraH RaH-_8.70c
   vaṅgamāvartya deveśi Ras_8.27a	vaFgam-Avartya deveSi RaH-_8.27a
   vaṅgavaddravate vahnau Ras_7.24c	vaFga-vat-dravate vahnO RaH-_7.24c
   vaṅgas tāpais tribhis tribhiḥ Ras_12.138b	vaFgaH tApEH triBiH triBiH RaH-_12.138b
   vaṅgasyāpi vidhānena Ras_8.21e	vaFgasya-api viDAnena RaH-_8.21e
   vaṅgaṃ cāvāpayettataḥ Ras_7.115b	vaFgam ca-AvApayet-tatas RaH-_7.115b
   vaṅgaṃ tāre tu nirvahet Ras_12.13d	vaFgam tAre tu nirvahet RaH-_12.13d
   vaṅgaṃ vā suravandite Ras_11.21b	vaFgam vA suravandite RaH-_11.21b
   vaṅgaṃ śuddhaṃ bhavettadvat Ras_7.112c	vaFgam SudDam Bavet-tadvat RaH-_7.112c
   vaṅgaṃ stambhayati kṣaṇāt Ras_12.182d	vaFgam stamBayati kzaNAt RaH-_12.182d
   vaṅgābhraṃ tāpyasattvaṃ vā Ras_8.72c	vaFgABram tApya-sattvam vA RaH-_8.72c
   vaṅgābhraṃ milati kṣaṇāt Ras_8.27f	vaFgABram milati kzaNAt RaH-_8.27f
   vaṅgābhraṃ milati kṣaṇāt Ras_8.28d	vaFgABram milati kzaNAt RaH-_8.28d
   vaṅgābhraṃ haritālaṃ ca Ras_8.30c	vaFgABram haritAlam ca RaH-_8.30c
   vaṅgābhraṃ haritālena Ras_8.31e	vaFgABram haritAlena RaH-_8.31e
   vaṅge jvālā kapotābhā Ras_4.50a	vaFge jvAlA kapota-ABAH RaH-_4.50a
   vaṅge tāpyaṃ hataṃ vahet Ras_8.71d	vaFge tApyam hatam vahet RaH-_8.71d
   vaṅge rāgā vyavasthitāḥ Ras_8.7d	vaFge rAgAH vyavasTitAH RaH-_8.7d
   vacāṃ nimbaṃ tathaiva ca Ras_11.34b	vacAm nimbam taTA-eva ca RaH-_11.34b
   vajrakandarasaṃ tathā Ras_6.35b	vajrakanda-rasam taTA RaH-_6.35b
   vajrakandarasaistathā Ras_7.90b	vajrakanda-rasEH-taTA RaH-_7.90b
   vajrakandaśiphākalka- Ras_6.134c	vajrakanda-SiPA-kalka RaH-_6.134c
   vajrakandasamāyuktaṃ Ras_7.16c	vajrakanda-samAyuktam RaH-_7.16c
   vajrakandaṃ vajralatā Ras_11.127a	vajrakandam vajra-latA RaH-_11.127a
   vajrakandaṃ samādāya Ras_12.101a	vajrakandam samAdAya RaH-_12.101a
   vajrakandodakakaṇā Ras_5.22c	vajrakanda-udaka-kaNA RaH-_5.22c
   vajrakaṃ cāpi vaikrāntaṃ Ras_6.82a	vajrakam ca-api vEkrAntam RaH-_6.82a
   vajrakāyakaram alpavāsaraiḥ Ras_12.370f	vajra-kAya-karam alpa-vAsarEH RaH-_12.370f
   vajrakāyaṃ karoti ca Ras_12.314b	vajra-kAyam karoti ca RaH-_12.314b
   vajrakāyo bhavennaraḥ Ras_12.274b	vajra-kAyaH Bavet-naraH RaH-_12.274b
   vajrakāyo bhavennaraḥ Ras_12.311f	vajra-kAyaH Bavet-naraH RaH-_12.311f
   vajrajīrṇe tu sūtake Ras_11.132d	vajra-jIrNe tu sUtake RaH-_11.132d
   vajradehaḥ sa siddhaḥ syāt Ras_12.337c	vajra-dehaH sa sidDaH syAt RaH-_12.337c
   vajrapiṇḍī tu kīrtitā Ras_7.93d	vajrapiNxI tu kIrtitAH RaH-_7.93d
   vajrabhasma hemabhasma Ras_12.85c	vajra-Basma hema-Basma RaH-_12.85c
   vajramākṣikatīkṣṇābhraṃ Ras_7.152a	vajra-mAkzika-tIkzNa-aBram RaH-_7.152a
   vajramāraṇa uttamaḥ Ras_6.84b	vajra-mAraNaH uttamaH RaH-_6.84b
   vajramūṣā prakīrtitā Ras_4.36d	vajramUzA prakIrtitAH RaH-_4.36d
   vajramūṣāmukhe caiva Ras_11.100c	vajramUzA-muKe ca-eva RaH-_11.100c
   vajramauṣadhalepitam Ras_11.130b	vajram-OzaDa-lepitam RaH-_11.130b
   vajraratnam ahirājagolakam Ras_12.370b	vajra-ratnam ahi-rAja-golakam RaH-_12.370b
   vajraratnaṃ ca kāñcanam Ras_12.56f	vajra-ratnam ca kAQcanam RaH-_12.56f
   vajraratnaṃ tu ghātayet Ras_12.54b	vajra-ratnam tu GAtayet RaH-_12.54b
   vajraratnaṃ tu jārayet Ras_12.341b	vajra-ratnam tu jArayet RaH-_12.341b
   vajraratnaṃ niṣecayet Ras_12.55b	vajra-ratnam nizecayet RaH-_12.55b
   vajraratnāni jārayet Ras_11.153d	vajra-ratnAni jArayet RaH-_11.153d
   vajravattiṣṭhati priye Ras_6.6b	vajra-vat-tizWati priye RaH-_6.6b
   vajravallīkṣīrakanda- Ras_6.13a	vajravallI-kzIrakanda RaH-_6.13a
   vajravallī ca sūraṇam Ras_6.99b	vajravallI ca sUraNam RaH-_6.99b
   vajravallīrasaplutaḥ Ras_6.29b	vajravallI-rasa-plutaH RaH-_6.29b
   vajravallīrasenaiva Ras_12.91a	vajravallI-rasena-eva RaH-_12.91a
   vajravallīrasaiḥ piṣṭvā Ras_6.31a	vajravallI-rasEH pizwvA RaH-_6.31a
   vajravallyā ca veṣṭitam Ras_6.95b	vajravallyA ca vezwitam RaH-_6.95b
   vajraṃ ca ghātayet sā tu Ras_12.67e	vajram ca GAtayet sA tu RaH-_12.67e
   vajraṃ cābhraṃ caturvidham Ras_6.4b	vajram ca-aBram caturviDam RaH-_6.4b
   vajraṃ caiva mṛtaṃ bhavet Ras_6.93d	vajram ca-eva mRtam Bavet RaH-_6.93d
   vajraṃ tu mriyate kṣaṇāt Ras_6.88d	vajram tu mriyate kzaNAt RaH-_6.88d
   vajraṃ tu mriyate kṣaṇāt Ras_6.90f	vajram tu mriyate kzaNAt RaH-_6.90f
   vajraṃ tu mriyate kṣaṇāt Ras_6.95d	vajram tu mriyate kzaNAt RaH-_6.95d
   vajraṃ devi vinikṣipet Ras_6.96b	vajram devi vinikzipet RaH-_6.96b
   vajraṃ devi vinikṣipet Ras_6.109b	vajram devi vinikzipet RaH-_6.109b
   vajraṃ devi vinikṣipet Ras_6.110b	vajram devi vinikzipet RaH-_6.110b
   vajraṃ vaikrāntakaṃ śṛṇu Ras_6.3b	vajram vEkrAntakam SRNu RaH-_6.3b
   vajraṃ siktaṃ mṛtaṃ bhavet Ras_6.97d	vajram siktam mRtam Bavet RaH-_6.97d
   vajrākāro mahārasaḥ Ras_6.125d	vajra-AkAraH mahArasaH RaH-_6.125d
   vajrā cakrī ca rājikā Ras_5.9d	vajrA cakrI ca rAjikA RaH-_5.9d
   vajrāṇāṃ ca viśeṣataḥ Ras_11.20d	vajrANAm ca viSezataH RaH-_11.20d
   vajrārkacitrakakṣāraṃ Ras_6.34a	vajra-arka-citraka-kzAram RaH-_6.34a
   vajrīkaraṇam uttamam Ras_12.288d	vajrIkaraNam uttamam RaH-_12.288d
   vajrīkṣīrapariplutam Ras_6.85d	vajrI-kzIra-pariplutam RaH-_6.85d
   vajrīkṣīrasamanvitam Ras_12.373b	vajrI-kzIra-samanvitam RaH-_12.373b
   vajrīkṣīreṇa saṃyuktaṃ Ras_11.33a	vajrI-kzIreNa saMyuktam RaH-_11.33a
   vajrīkṣīreṇa suvrate Ras_6.93b	vajrI-kzIreNa suvrate RaH-_6.93b
   vajreṇa samajāritam Ras_12.199b	vajreNa sama-jAritam RaH-_12.199b
   vajreṇāpi na bhidyate Ras_4.35d	vajreNa-api na Bidyate RaH-_4.35d
   vajre nānāvidhā jvālā Ras_4.51c	vajre nAnAviDA jvAlA RaH-_4.51c
   vatsasya mahiṣasya vā Ras_11.166b	vatsasya mahizasya vE RaH-_11.166b
   vanasūraṇabhūdhātrī- Ras_6.12a	vanasUraNa-BUDAtrI RaH-_6.12a
   vanānteṣu ca dṛśyate Ras_12.152d	vanAntezu ca dRSyate RaH-_12.152d
   vane mattagajaṃ yathā Ras_2.90b	vane matta-gajam yaTA RaH-_2.90b
   vandhyā kośātakī tathā Ras_5.22b	vanDyA koSAtakI taTA RaH-_5.22b
   vandhyākośātakīrasaiḥ Ras_7.89d	vanDyA-koSAtakI-rasEH RaH-_7.89d
   vandhyācūrṇaṃ tu vaikrāntaṃ Ras_6.133a	vanDyA-cUrNam tu vEkrAntam RaH-_6.133a
   vayaḥstambhakaro bhavet Ras_7.44d	vayaH-stamBa-karaH Bavet RaH-_7.44d
   vayaḥstambhaṃ karoti ca Ras_6.76d	vayaH-stamBam karoti ca RaH-_6.76d
   varamūṣā prakīrtitā Ras_4.37d	varamUzA prakIrtitAH RaH-_4.37d
   varāhakarṇī saṭirī Ras_5.24c	varAhakarNI sawirI RaH-_5.24c
   varāhasya kalevarāt Ras_12.290b	varAhasya kalevarAt RaH-_12.290b
   varjayettān prayatnataḥ Ras_2.14d	varjayet-tAn prayatnataH RaH-_2.14d
   varjayet surasundari Ras_6.50b	varjayet surasundari RaH-_6.50b
   varjyāśca rasakarmaṇi Ras_6.73b	varjyAH-ca rasakarmaNi RaH-_6.73b
   varṇapañcakasaṃyutām Ras_2.84b	varNa-paQcaka-saMyutAm RaH-_2.84b
   varṇikādvayagandhayoḥ Ras_11.178b	varNikA-dvaya-ganDayoH RaH-_11.178b
   varṇitāni sureśvari Ras_4.65b	varNitAni sureSvari RaH-_4.65b
   varṇito rasabhairavaḥ Ras_2.110b	varNitaH rasaBEravaH RaH-_2.110b
   varṇotkarṣastu kauberyām Ras_2.108c	varNa-utkarzaH-tu kOberyAm RaH-_2.108c
   varṇotkarṣaṃ mṛdutvaṃ ca Ras_2.6a	varNa-utkarzam mRdu-tvam ca RaH-_2.6a
   vartīṃ mantraiśca mantrayet Ras_2.99b	vartIm mantrEH-ca mantrayet RaH-_2.99b
   vartulaṃ kārayenmukham Ras_4.17b	vartulam kArayet-muKam RaH-_4.17b
   vartulāvartaromakau Ras_2.23d	vartula-Avarta-romakO RaH-_2.23d
   vardhanyābhyukṣya sādhakam Ras_2.80d	varDanyA-aByukzya sADakam RaH-_2.80d
   varṣatrayaparaṃ devi Ras_12.360c	varza-traya-param devi RaH-_12.360c
   varṣamekaṃ nirantaram Ras_12.356d	varzam-ekam nirantaram RaH-_12.356d
   varṣamekaṃ pibet toyaṃ Ras_12.265a	varzam-ekam pibet toyam RaH-_12.265a
   varṣamekaṃ prayuñjīta Ras_12.264a	varzam-ekam prayuQjIta RaH-_12.264a
   varṣādvarṣaśatāyuṣam Ras_12.275d	varzAt-varza-Sata-Ayuzam RaH-_12.275d
   varṣāpuryāṃ dinaikataḥ Ras_12.283d	varzA-puryAm dina-ekataH RaH-_12.283d
   varṣābhūkadalīkanda- Ras_8.25a	varzABU-kadalI-kanda RaH-_8.25a
   valīpalitanāśanam Ras_12.307d	valI-palita-nASanam RaH-_12.307d
   valīpalitanirmuktaḥ Ras_12.300c	valI-palita-nirmuktaH RaH-_12.300c
   valīpalitanirmukto Ras_12.264c	valI-palita-nirmuktaH RaH-_12.264c
   valīpalitanirmukto Ras_12.309c	valI-palita-nirmuktaH RaH-_12.309c
   valīpalitameva saḥ Ras_10.5d	valI-palitam-eva saH RaH-_10.5d
   valīpalitarugjarāḥ Ras_7.151f	valI-palita-ruj-jarAH RaH-_7.151f
   valīpalitarogahā Ras_6.75d	valI-palita-roga-hA RaH-_6.75d
   valīpalitavarjitaḥ Ras_12.18b	valI-palita-varjitaH RaH-_12.18b
   valīpalitavarjitaḥ Ras_12.294d	valI-palita-varjitaH RaH-_12.294d
   valīpalitavarjitaḥ Ras_12.301d	valI-palita-varjitaH RaH-_12.301d
   valīpalitavarjitaḥ Ras_12.306f	valI-palita-varjitaH RaH-_12.306f
   valīpalitavarjitaḥ Ras_12.321b	valI-palita-varjitaH RaH-_12.321b
   valkalaṃ sūkṣmacūrṇaṃ tu Ras_12.19a	valkalam sUkzma-cUrNam tu RaH-_12.19a
   valmīkaśikharākāraṃ Ras_7.53a	valmIka-SiKara-AkAram RaH-_7.53a
   valmīkasya mṛdā saha Ras_4.33b	valmIkasya mRdA saha RaH-_4.33b
   vallīvitānabahulā Ras_12.144c	vallI-vitAna-bahulAH RaH-_12.144c
   vaṣābhūnmattakodravāḥ Ras_6.79b	vazA-aBu-ut-matta-kodravAH RaH-_6.79b
   vasanaṃ kāñjikam viḍam Ras_4.2b	vasanam kAQjikam vixam RaH-_4.2b
   vasayā caikayā yuktaṃ Ras_8.84c	vasayA ca-ekayA yuktam RaH-_8.84c
   vasā pañcavidhā matsya- Ras_5.37a	vasA paQcaviDAH matsya RaH-_5.37a
   vasubhaṇṭādibhirdevi Ras_10.24c	vasu-BaNwA-AdiBiH-devi RaH-_10.24c
   vasuhaṭṭaśca rāgiṇī Ras_11.86b	vasuhawwaH-ca rAgiNI RaH-_11.86b
   vastrapoṭalikāgatam Ras_6.113b	vastra-powalikA-gatam RaH-_6.113b
   vastraṃ ca veṣṭayet sadyaḥ Ras_7.25c	vastram ca vezwayet sadyas RaH-_7.25c
   vastreṇa baddhvā capalaṃ Ras_7.25a	vastreNa badDvA capalam RaH-_7.25a
   vahnikṛt kālanāśanaḥ Ras_7.44b	vahni-kRt kAlanASanaH RaH-_7.44b
   vahnimadhye tadā sūto Ras_2.117c	vahni-maDye tadA sUtaH RaH-_2.117c
   vahnimadhye na tiṣṭhati Ras_12.75d	vahni-maDye na tizWati RaH-_12.75d
   vahnimāragvadhaḥ priye Ras_10.43b	vahnim-AragvaDaH priye RaH-_10.43b
   vahnilakṣyam avijñāya Ras_4.26a	vahni-lakzyam avijQAya RaH-_4.26a
   vahnivarṇaṃ yadā bhavet Ras_8.75d	vahni-varNam yadA Bavet RaH-_8.75d
   vahniśigruśiphārasaiḥ Ras_7.89b	vahni-Sigru-SiPA-rasEH RaH-_7.89b
   vahnisūtakayor vairaṃ Ras_11.85c	vahni-sUtakayoH vEram RaH-_11.85c
   vahnisthaṃ dhārayet priye Ras_7.130d	vahni-sTam DArayet priye RaH-_7.130d
   vahnisthānyakṣayāṇi ca Ras_7.146b	vahni-sTAni-akzayANi ca RaH-_7.146b
   vahnau kuṣṭhī bhavennaraḥ Ras_10.32d	vahnO kuzWI Bavet-naraH RaH-_10.32d
   vahnau niṣkampanaṃ rasam Ras_11.195d	vahnO nizkampanam rasam RaH-_11.195d
   vaṃśakhādiramādhūka- Ras_4.57a	vaMSa-KAdira-mADUka RaH-_4.57a
   vaṃśanāḍīlohanāḍīm Ras_4.5a	vaMSa-nAxI-lohanAxIm RaH-_4.5a
   vākucī brahmabījāni Ras_5.14c	vAkucI brahma-bIjAni RaH-_5.14c
   vākucīsaptabhāgaṃ ca Ras_12.359c	vAkucI-sapta-BAgam ca RaH-_12.359c
   vāgbhavaṃ bhuvaneśīṃ ca Ras_2.72c	vAc-Bavam BuvaneSIm ca RaH-_2.72c
   vājaraṃ ca paḍālakam Ras_11.162b	vAjaram ca paxAlakam RaH-_11.162b
   vātakṛt śleṣmanāśanaḥ Ras_7.38b	vAta-kRt Slezma-nASanaH RaH-_7.38b
   vātāyanasamopetam Ras_2.44c	vAtAyana-samopetam RaH-_2.44c
   vātāritailena puṭena tāpyaṃ Ras_7.12c	vAtAri-tElena puwena tApyam RaH-_7.12c
   vādikaiḥ supraśasyate Ras_4.39d	vAdikEH supraSasyate RaH-_4.39d
   vādyairnānāvidhaistathā Ras_7.59d	vAdyEH-nAnAviDEH-taTA RaH-_7.59d
   vāpāttanmūtrasecanāt Ras_7.112b	vApAt-tat-mUtra-secanAt RaH-_7.112b
   vāpitaṃ tāpyarasaka- Ras_8.39a	vApitam tApya-rasaka RaH-_8.39a
   vāpitaṃ daradena ca Ras_8.45b	vApitam daradena ca RaH-_8.45b
   vāpitaṃ pītatāṃ tīkṣṇaṃ Ras_8.68c	vApitam pIta-tAm tIkzNam RaH-_8.68c
   vāpitaṃ sakṛd ekena Ras_6.121c	vApitam sakRt ekena RaH-_6.121c
   vāpitaṃ sevitaṃ rakta- Ras_8.44a	vApitam sevitam rakta RaH-_8.44a
   vāpo niṣekaḥ snapanaṃ Ras_4.54a	vApaH nizekaH snapanam RaH-_4.54a
   vāmadevaṃ tu guhyakam Ras_2.110d	vAmadevam tu guhyakam RaH-_2.110d
   vāyavye dhamanaṃ priye Ras_2.108b	vAyavye Damanam priye RaH-_2.108b
   vāriṇā saha mardayet Ras_12.302b	vAriNA saha mardayet RaH-_12.302b
   vārimadhye nidhāpayet Ras_12.319d	vAri-maDye niDApayet RaH-_12.319d
   vāruṇīmūlasaṃyutaiḥ Ras_7.117b	vAruNI-mUla-saMyutEH RaH-_7.117b
   vāsakasya ca pattrāṇi Ras_4.33a	vAsakasya ca pattrANi RaH-_4.33a
   vāsakena vibhītena Ras_8.76a	vAsakena viBItena RaH-_8.76a
   vāsakena vibhītena Ras_10.49a	vAsakena viBItena RaH-_10.49a
   vāsanāmukhameva ca Ras_11.15b	vAsanA-muKam-eva ca RaH-_11.15b
   vāsaraṃ mālyavanteṣu Ras_12.285a	vAsaram mAlyavantezu RaH-_12.285a
   vāsasā pariveṣṭayet Ras_6.51b	vAsasA parivezwayet RaH-_6.51b
   vāsaste raktatāṃ yayau Ras_7.61b	vAsaH-te rakta-tAm yayO RaH-_7.61b
   vāsaṃ tatraiva kārayet Ras_12.259d	vAsam tatra-eva kArayet RaH-_12.259d
   vāsā palāśaniculaṃ Ras_9.10c	vAsA palASa-niculam RaH-_9.10c
   vāsobhiḥ pariveṣṭitam Ras_2.79b	vAsoBiH parivezwitam RaH-_2.79b
   vāstukairaṇḍakadalī- Ras_9.10a	vAstuka-eraNxa-kadalI RaH-_9.10a
   vāhayet suravandite Ras_8.60f	vAhayet suravandite RaH-_8.60f
   vāhayedvaṅgapannagān Ras_8.56d	vAhayet-vaFga-pannagAn RaH-_8.56d
   vikṛntayati lohāni Ras_6.126c	vikRntayati lohAni RaH-_6.126c
   vikrītaṃ tattu kāñcanam Ras_12.78b	vikrItam tat-tu kAQcanam RaH-_12.78b
   vikhyātaḥ kṣitimaṇḍale Ras_7.66d	viKyAtaH kziti-maNxale RaH-_7.66d
   vigatasakaladoṣaḥ sarvadigdivyacakṣuḥ Ras_12.366c	vigata-sakala-dozaH sarva-diS-divya-cakzuH RaH-_12.366c
   vighnopadravanāśanam Ras_2.76d	viGna-upadrava-nASanam RaH-_2.76d
   vijñānaṃ muktikāraṇam Ras_11.2d	vijQAnam mukti-kAraNam RaH-_11.2d
   vijñeyaṃ niṣparīhāraṃ Ras_12.358c	vijQeyam nizparIhAram RaH-_12.358c
   vijñeyāste napuṃsakāḥ Ras_6.70d	vijQeyAH-te napuMsakAH RaH-_6.70d
   viḍacūrṇaṃ tato dattvā Ras_11.89c	vixa-cUrNam tatas dattvA RaH-_11.89c
   viḍayogena pārvati Ras_11.111d	vixa-yogena pArvati RaH-_11.111d
   viḍavargeṇa sammiśrā Ras_4.46a	vixa-vargeNa sammiSrAH RaH-_4.46a
   viḍaṃ dattvāpi jārayet Ras_11.70b	vixam dattvA-api jArayet RaH-_11.70b
   viḍaḥ piṇḍāṣṭamāṃśataḥ Ras_11.191b	vixaH piNxa-azwama-aMSataH RaH-_11.191b
   viḍaḥ syāddhemajāraṇe Ras_9.18d	vixaH syAt-hema-jAraNe RaH-_9.18d
   viḍo 'yaṃ sarvajāraṇaḥ Ras_9.2f	vixaH ayam sarva-jAraNaH RaH-_9.2f
   viḍo 'yaṃ hemajāraṇaḥ Ras_9.16f	vixaH ayam hema-jAraNaH RaH-_9.16f
   viḍo 'yaṃ hemajāraṇe Ras_9.17d	vixaH ayam hema-jAraNe RaH-_9.17d
   viḍo vahnimukhākhyo 'yaṃ Ras_9.6c	vixaH vahnimuKa-AKyaH ayam RaH-_9.6c
   viddhaṃ bhavati kāñcanam Ras_12.126d	vidDam Bavati kAQcanam RaH-_12.126d
   vidyayā pañcabījayā Ras_2.72b	vidyayA paQca-bIjayA RaH-_2.72b
   vidyayā saha mantavyaṃ Ras_2.91a	vidyayA saha mantavyam RaH-_2.91a
   vidyādharapatirbhavet Ras_12.257b	vidyADara-patiH-Bavet RaH-_12.257b
   vidyādharībhirmukhyābhir Ras_7.58a	vidyADarIBiH-muKyABiH RaH-_7.58a
   vidyādhareṇa yantreṇa Ras_10.45a	vidyADareNa yantreNa RaH-_10.45a
   vidyā paramadurlabhā Ras_2.73b	vidyA parama-durlaBA RaH-_2.73b
   vidyāmupadiśeddevi Ras_2.82a	vidyAm-upadiSet-devi RaH-_2.82a
   vidyāmeva rasāṅkuśīm Ras_2.77b	vidyAm-eva rasAFkuSIm RaH-_2.77b
   vidyāratnamanuttamam Ras_12.148b	vidyA-ratnam-anuttamam RaH-_12.148b
   vidhiṃ kuryād yathoditaḥ Ras_12.262f	viDim kuryAt yaTA-uditaH RaH-_12.262f
   vidhiṃ vakṣyāmi tatparam Ras_12.179b	viDim vakzyAmi tad-param RaH-_12.179b
   vidhiṃ vakṣyāmi pārvati Ras_12.232b	viDim vakzyAmi pArvati RaH-_12.232b
   vināyakaṃ ca sampūjya Ras_6.129c	vinAyakam ca sampUjya RaH-_6.129c
   vindhyasya dakṣiṇe cāsti Ras_6.126a	vinDyasya dakziNe ca-asti RaH-_6.126a
   vindhye tu kṣaṇavedhakam Ras_12.284f	vinDye tu kzaNa-veDakam RaH-_12.284f
   vinyasettuṣagomaye Ras_3.24d	vinyaset-tuza-gomaye RaH-_3.24d
   vinyaset divase śubhe Ras_4.63b	vinyaset divase SuBe RaH-_4.63b
