   ṣaṭ sandarbha nāmaka 	zaw sandarBa nAmaka 
   tatrāviṣkṛtaḥ sad idam iti pratīti paramāśrayo yo'ṃśaḥ sa eva śuddhaṃ	tatra AvizkRtaH sat idam iti pratIti  param ASrayaH yaH aMSaH saH eva SudDam
   brahmety uddiśyate | uttara vākye tvaṃ padārthasya tadvac cid ākāra tac 	brahma iti uddiSyate | uttara  vAkye tvaM padArTasya tadvat cit  a AkAra tac 
   chakti rūpatvena tat padārthaikyaṃ yad upapādyate tenāpi tat padārtho	Cakti rUpa tvena tat padArTa Ekyam yat upapAdyate tena api tat  padArTaH 
   brahmaivoddiśyate | tat padārtha jñānaṃ vinā tvaṃ padārtha jñāna mātram	brahma eva uddiSyate | tat padArTa  jQAnam vinA tvaM pada arTa  jQAna  mAtram
   akiñcit karam iti tat padopanyāsaḥ | traiguṇyātikramas tūbhayatrāpi | atra	akiQcit  karam iti tat pada upanyAsaH | trEguNya atikramaH tu uBayatra api | atra
   traiguṇya nirāsena tad uddeśena yatra tadīya dharmāḥ spaṣṭam eva gamyate	trEguNya  nirAsena tad  uddeSena yatra tadIya  DarmAH spazwam eva gamyate
   tatra bhagavat paratvaṃ yatra tv aspaṣṭaṃ tatra brahma paratvam ity	tatra Bagavat  paratvam yatra tu aspazwam tatra brahma paratvam iti 
   avagantavyam | vyākhyātas traiguṇya viṣayaḥ | tad etad ajayā carato'nucare	avagantavyam | vyAKyAtaH trEguNya  vizayaH | tat etat ajayA carataH anucare
   vyākhyātam |	vyAKyAtam |
   atha nistraiguṇyo'pi dvividhaḥ | brahma paro bhagavat paraś ca | yathā	aTa nistrEguNyaH api dviviDaH | brahma paraH Bagavat  paraH ca | yaTA
   ānando brahmetyādi |	AnandaH brahma ityAdi |
   na tasya kāryaṃ karaṇaṃ ca vidyate	na tasya kAryam karaNam ca vidyate
   na tat samaś cābhyadhikaś ca dṛśyate |	na tat samaH ca aByaDikaH ca dRSyate |
   parāsya śaktir vividhaiva śrūyate	parA asya SaktiH viviDA eva SrUyate
   svābhāvikī jñāna bala kriyā ca || [ŚvetU 6.8] ityādiś ca |	svABAvikI jQAna bala  kriyA ca || [ŚvetU 6.8] ityAdiH ca |
   tad etad ātmanā carato'nucare iti vyākhyātam | ataḥ śrutes tac cāritvaṃ	tat etat AtmanA carataH anucare iti vyAKyAtam | atas SruteH tat cAri tvam
   siddham | sākṣāc cāritvaṃ ca nistraiguṇyānāṃ svata eva anyeṣāṃ tu tad eka 	sidDam | sAkzAt cAri tvam ca nistrEguNyAnAm svatas eva anyezAm tu tad  eka 
   vākyatayā jñeyam | māyā nirasanārtham eva tat tad guṇānuvādaḥ kriyate	vAkyatayA jQeyam | mAyA  nirasana arTam eva tat  tad  guNa anuvAdaH kriyate
   paścād akhaṇḍam eva tāṃ nirasya sākṣād bhagavat svarūpa guṇādikaṃ	paScAt aKaNxam eva tAm nirasya sAkzAt  Bagavat  svarUpa guNa Adikam
   nirdiśyate iti tad eka vākyatā dyotanayā sa eṣa eva siddhānto'sminn	nirdiSyate iti tat eka vAkyatA dyotanayA saH ezaH eva sidDAntaH asmin= 
   upakrama vākye samuddiṣṭaḥ | tathopasaṃhāre ca śrutayas tvayi hi phalanty	upakrama  vAkye samuddizwaH | taTA upasaMhAre ca SrutayaH tvayi hi Palanti 
   atan nirasanena bhavan nidhanā [BhP 10.87.41] iti | śrutayaś ca madhva 	atan  nirasanena Bavan  niDanAH [Bhj 10.87.41] iti | SrutayaH ca maDva 
   bhāṣya pramāṇitāḥ na cakṣur na śrotraṃ na tarko na smṛtir vedo hy evainaṃ	BAzya  pramANitAH na cakzuH na Srotram na tarkaH na smRtiH vedaH hi eva enam
   vedayati ity ādyā | aupaniṣadaḥ puruṣa ity [BAU 3.9.26] ādyāś ca |	vedayati iti AdyAH | OpanizadaH puruzaH iti [BAU 3.9.26] AdyAH ca |
   atha viśeṣato brahmaṇy api yathā caranti brahmaṇi carantīnām api yathā	aTa viSezataH brahmaNi api yaTA caranti brahmaNi carantInAm api yaTA
   bhagavaty eva paryavasānaṃ tathaivoddiśanti |	Bagavati eva paryavasAnam taTA eva uddiSanti |
   bṛhad upalabdham etad avayanty avaśeṣatayā	bRhad upalabDam etat avayanti avaSeza tayA
   yata udayāstamayau vikṛte divāvikṛtāt |	yatas udaya astamayO vikRte divA vikRtAt |
   ata ṛṣayo dadhus tvayi mano vacanācaritaṃ	atas RzayaH daDuH tvayi mano  vacana Acaritam
   katham ayathā bhavanti bhuvi datta padāni nṝṇām || [BhP 10.87.15]	kaTam ayaTAH Bavanti Buvi datta  padAni nLNAm || [Bhj 10.87.15]
   etat sarvaṃ bṛhad brahmaivopalabdham avagatam | tat kathaṃ vikṛte	etat sarvam bRhad brahma eva upalabDam avagatam | tat kaTam vikRte
   viśvasmāt	viSvasmAt 
   sakāśād avaśiṣyamāṇatvena sarvaṃ ghaṭādi dravyaṃ mṛd evopalabdhā dṛṣṭā	sakASAt avaSizyamANa tvena sarvam Gawa Adi  dravyam mRd eva upalabDA dRzwA
   tathā bṛhad apīty arthaḥ | tatra hetuḥ | yato bṛhataḥ sakāśād vikṛter	taTA bRhat api iti arTaH | tatra hetuH | yatas bRhataH sakASAt vikRteH 
   udayās	udaya as
   tamayau avayanti manyante śrutayaḥ yato vā imānīty ādyāḥ | tasmān mṛta 	tamayO avayanti manyante SrutayaH yatas vA imAni iti AdyAH | tasmAt mRta  
   sāmyaṃ tasya yujyata iti bhāvaḥ | tarhi kathaṃ tad vikāri tvam api nety	sAmyam tasya yujyate iti BAvaH | tarhi kaTam tad  vikAri tvam api na iti 
   āhuḥ	AhuH
   | avikṛtāt | śrutes tu śabda mūlatvād iti nyāyenācintya śaktyā tathāpy	| avikRtAt | SruteH tu Sabda  mUla tvAt iti nyAyena acintya  SaktyA taTA api 
   avikṛtam eva yat tasmād ity arthaḥ | yadyapy atrāpi sa śaktikam eva bṛhad	avikRtam eva yat tasmAt iti arTaH | yadi api atra api sa Saktikam eva bRhad
   upapadyate tathāpy āviṣkṛta bhagavattvenānupādānāt brahmaivopapāditaṃ	upapadyate taTA api AvizkRta  Bagavat tvena anupAdAnAt brahma eva upapAditam
   bhavati | sarvathā śakti parityāge tad upapādānāt sāmarthyāt	Bavati | sarvaTA Sakti parityAge tad  upapAdAnAt sAmarTyAt 
   tucchatvāpātāc	tucCa tvApAtAt 
   ca | tasmād atra brahmaivodāhṛtam | ataeva mṛn mātra dṛṣṭāntena	ca | tasmAt atra brahma eva udAhRtam | ataeva mRn  mAtra dRzwAntena
   kartṛtvādikam api tatra nopasthāpitam | tad etad brahma pratipādanam api	kartR tva Adikam api tatra na upasTApitam | tat etat brahma  pratipAdanam api
   śrī bhagavaty eva paryavasyatīty āhuḥ | ata iti | ato brahma pratipādanād	SrI  BagavatI eva paryavasyati iti AhuH | atas iti | atas brahma  pratipAdanAt 
   api	api
   ṛṣayo vedās tvayi śrī bhagavaty eva manasa ācaritaṃ tātparyaṃ	RzayaH vedAH tvayi SrI BagavatI eva manasaH Acaritam tAtparyam
   vacanasyācaritam abhidhānaṃ ca dadhur dhṛtavantaḥ | dvayor eka vastutvād	vacanasya Acaritam aBiDAnam ca daDuH DRtavantaH | dvayoH eka vastu tvAt 
   bhagādīnām āviṣkārānāviṣkāra darśana mātreṇa bheda kalpanāc ca	Baga AdInAm AvizkArAn AvizkAra  darSana  mAtreNa Beda kalpanAt ca
   tatrārthāntra nyāsaḥ | nṝṇāṃ bhū carāṇāṃ samyag darśinām asamyag	tatra arTa antra nyAsaH | nLNAm BU carANAm samyak  darSinAm asamyak 
   darśināṃ vā bhuvi dattāni nikṣiptāni padāni katham ayathā bhavanti bhuvaṃ	darSinAm vA Buvi dattAni nikziptAni padAni kaTam ayaTAH Bavanti Buvam
   na prāpnuvanti api tu tatraiva paryavasyanti | tasmād yathā katham api	na prApnuvanti api tu tatra eva paryavasyanti | tasmAt yaTA kaTam api
   pratipādayantu phalitaṃ tu tvayy eva bhavatīti bhāvaḥ | tad uktaṃ  	pratipAdayantu Palitam tu tvayi eva Bavati iti BAvaH | tat uktam  
   jñāna yogaś ca man niṣṭho	jQAna yogaH ca man nizWaH 
   nairguṇyo bhakti lakṣaṇaḥ |	nErguNyaH Bakti lakzaNaH |
   dvayor apy eka evārtho	dvayoH api ekaH eva arTaH 
   bhagavac chabda lakṣaṇaḥ || iti | [BhP 3.32.32]	Bagavac  Sabda  lakzaNaH || iti | [Bhj 3.32.32]
   atra śrutayaś madhva bhāṣya pramāṇitāḥ   hanta tam eva puruṣaṃ sarvāṇi	atra SrutayaH maDva BAzya  pramANitAH  hanta tam eva puruzam sarvANi
   nāmāny abhivadanti yathā nadyaḥ syandamānāḥ samudrāyaṇāḥ samudram	nAmAni aBivadanti yaTA nadyaH syandamAnAH samudrAyaNAH samudram
   abhiniviśanti evam evaitāni nāmāni sarvāṇi puruṣam abhiviśantīti |	aBiniviSanti evam eva etAni nAmAni sarvANi puruzam aBiviSanti iti |
   tad evaṃ bhagavattvena brahmatvena na tvam eva tātparyābhidhānābhyāṃ	tat evam Bagavat tvena brahma tvena na tvam eva tAtparya aBiDAnAByAm
   sarva nigama gocara ity uktam | tac ca yathārtham eva na tu kālpanikam ity	sarva nigama  gocaraH iti uktam | tat ca yaTArTam eva na tu kAlpanikam iti 
   āhuḥ |	AhuH |
   iti tava sūrayas try adhipate'khila loka mala 	iti tava sUrayaH tri  aDi pate aKila  loka  mala 
   kṣapaṇa kathāmṛtām avagāhya tapāṃsi jahuḥ |	kzapaNa  kaTA amRtAm avagAhya tapAMsi jahuH |
   kim uta punaḥ sva dhāma vidhutāśaya kāla guṇāḥ	kim uta punar sva DAma  viDutA Saya  kAla  guNAH
   parama bhajanti ye padam ajasra sukhānubhavam || [BhP 10.87.16]	parama Bajanti ye padam ajasra  suKa anuBavam || [Bhj 10.87.16]
   bhos tryadhipate trayāṇāṃ brahmādīnāṃ patis tat tad avatārī nārāyaṇākhyaḥ	BoH tri aDipate trayANAm brahma AdInAm patiH tat tad  avatArI nArAyaNa AKyaH
   puruṣas tasyāpy uparicara svarūpatvād adhipatir bhagavān | tato he	puruzaH tasya api upari cara  svarUpa tvAt aDipatiH BagavAn | tatas he
   sarveśvareśvara yasmāt tvayy eva vedānāṃ tātparyam abhidhānaṃ ca	sarva ISvara ISvara yasmAt tvayi eva vedAnAm tAtparyam aBiDAnam ca
   paryavasitam iti ato hetor eva sūrayo vivekinaḥ paramparātvat 	paryavasitam iti atas hetoH eva sUrayaH vivekinaH paramparAtvat 
   pratipādanamayaṃ veda bhāgam api parityajya kevalaṃ tavākhila lokam	pratipAdana mayam veda BAgam api parityajya kevalam tava aKila  lokam
   alakṣapaṇa kathāmṛtābdhiṃ sakala vṛjina nirasana hetukīrti sudhā sindhum	alakza paNa  kaTA amRta abDim sakala  vRjina  nirasana  hetu kIrti suDA  sinDum
   avagāhya śraddhayā niṣevya tapaḥ prādhānyena tāpakatvena vā tapāṃsi	avagAhya SradDayA nizevya tapaH  prADAnyena tApaka tvena vA tapAMsi
   karmāṇi tāni jahus tyaktavantaḥ | teṣāṃ sādhakānām api yadi tatraivaṃ tadā	karmANi tAni jahuH tyaktavantaH | tezAm sADakAnAm api yadi tatra evam tadA
   kim uta vaktavyaṃ svadhāma vidhutāśaya kāla guṇāḥ śuddhātma svarūpa 	kim uta vaktavyam sva DAma  viDutA Saya  kAla guNAH SudDa Atma  svarUpa 
   sphuraṇena nirjitam antaḥkaraṇaṃ jarādi hetuḥ kāla prabhāvaḥ sattvādayo	sPuraNena nirjitam antaHkaraNam jarA Adi  hetuH kAla  praBAvaH sattva At ayaH 
   guṇāś ca yais te ye punaḥ tavājasra sukhānubhava svarūpaṃ padaṃ	guNAH ca yEH te ye punar tava ajasra  suKa anuBava  svarUpam padam
   brahmākhyaṃ tattvaṃ bhajanti te tam avagāhya tāni jahur iti | kiṃ tarhi	brahma AKyam tattvam Bajanti te tam avagAhya tAni jahuH iti | kim tarhi
   brahma mātrānubhva niṣṭhām api jahur ity arthaḥ | etad uktaṃ bhavati |	brahma mAtra anuBva  nizWAm api jahuH iti arTaH | etat uktam Bavati |
   atra	atra
   tāvat trividhā janā mugdhā vivekinaḥ kṛtārthāś ca iti |	tAvat triviDAH janAH mugDAH vivekinaH kRtArTAH ca iti |
   tatra sarvān evādhikṛtya vedānām akalpanāmayatvenaiva bhagavan 	tatra sarvAn eva aDikRtya vedAnAm akalpanA Amaya tvena eva Bagavan  
   nirdeśakatā dṛśyate | tathā hi yadi tathātvenaiva sā na dṛśyeta tadā	nirdeSaka tA dRSyate | taTA hi yadi taTA tvena eva sA na dRSyeta tadA
   vastutas	vastu tas 
   tat sambandhābhāvād akhila lokam alakṣa paṇatvena pada padārtha jñāna 	tat sambanDa aBAvAt aKila  lokam alakza  paNa tvena pada  padArTa  jQAna 
   hīnānāṃ mugdhānām api yat pāpa hāritvaṃ vedāntar vartinyā bhagavat 	hInAnAm mugDAnAm api yat pApa hAri tvam veda antar  vartinyAH Bagavat 
   kathāyāḥ prasiddhaṃ tan na syāt | aspṛṣṭānala loha dāhakatāvat | kiṃ ca	kaTAyAH prasidDam tat na syAt | aspRzwa anala  loha  dAhaka tA vat | kim ca
   tasyāḥ kalpanāmayatve sati vivekinas tu na tatra praverteran bandhyāyāḥ	tasyAH kalpanA Amaya tve sati vivekinaH tu na tatra praverteran banDyAyAH
   suprajastva guṇa śravaṇavat | pravartantāṃ vā tad āveśena sva dharmaṃ	su prajaH tva guNa  SravaNa vat | pravartantAm vA tad  AveSena sva Darmam
   punar	punar 
   na tyajeyuḥ | rājayaśaso gaṅgātva śravaṇena tīrthāntara sevanavat | api ca	na tyajeyuH | rAjayaSasaH gaFgA tva  SravaNena tIrTa antara  sevana vat | api ca
   tathā sati ye punar ātmārāmatvena parama kṛtārthās te tad anādareṇa tat 	taTA sati ye punar Atma ArAma tvena parama  kRtArTAH te tad  anAdareNa tat 
   kathāṃ naivāvagāheran | amṛta sarasīm avagāḍhā āropita tad adhika guṇaka 	kaTAm na eva avagAheran | amRta  sarasIm avagAXAH Aropita  tad  aDika guNaka 
   nadīvat | śrūyate ca tasyās tat tad guṇakatvam | yathā vaiṣṇave   hanti	nadI vat | SrUyate ca tasyAH tat tad guNaka tvam | yaTA vEzNave  hanti
   kaluṣaṃ śrotraṃ sa yāto harir [ViP ?.?.?] ity ādau | atraiva tvad agavamī	kaluzam Srotram sa yAtaH hariH [ViP ?.?.?] iti AdO | atra eva tvad  agavamI
   na	na
   vettīty ādau | prathame harer guṇākṣipta matir ity [BhP 1.7.11] ādau |	vetti iti AdO | praTame hareH guNa Akzipta matiH iti [Bhj 1.7.11] AdO |
   tasmād	tasmAt 
   guṇānāṃ guṇādi pratipādaka vedānāṃ ca bhagavato sambandhaḥ svābhāvika	guNAnAm guNa Adi  pratipAdaka vedAnAm ca BagavataH sambanDaH svABAvika
   eva sarvatheti siddham | atra śrutayaḥ   om āsya jānanta ity ādyāḥ | yathā	eva sarvaTA iti sidDam | atra SrutayaH  om Asya jAnantaH iti AdyAH | yaTA
   puṣkara palāśam āpo na śliṣyanti evam evaṃvidaṃ pāpaṃ karma na śliṣyati	puzkara  palASam ApaH na Slizyanti evam evaMvidam pApam karma na Slizyati
   | na karmaṇā lipyate pāpakena tat sukṛta duṣkṛte vidhunute | evaṃ vāva na	| na karmaNA lipyate pApakena tat sukRta duzkRte viDunute | evam vAva na
   tapati kim ahaṃ sādhu karavaṃ kim ahaṃ nākaravam ity ādyā muktā hy enam	tapati kim aham sADu karavam kim aham na akaravam iti AdyAH muktAH hi enam
   upāsata ity ādyāś ca | evam anye'pi ślokā upāsanādi vākyānāṃ bhagavat 	upAsate iti AdyAH ca | evam anye api SlokAH upAsana Adi vAkyAnAm Bagavat 
   paratādarśakā yathāyathaṃ yojayitavyā ity abhipretya noddhiyante |	para tA darSakAH yaTAyaTam yojayitavyAH iti aBipretya na udDiyante |
   nanu tarhi bhavan mate śabda nirdeśyatve prākṛtatvam eva tatrāpatati | kiṃ	nanu tarhi Bavan mate Sabda  nirdeSya tve prAkRta tvam eva tatra Apatati | kim
   ca śrutibhir api yato vāco nivartante aprāpya manasā saha | avacanenaiva	ca SrutiBiH api yatas vAcaH nivartante aprApya manasA saha | avacanena eva
   provāca | yad vācānabhyuditaṃ yena vāg abhyudyate yat śrotraṃ na śṛṇoti	provAca | yat  vAcA anaByuditam yena vAc aByudyate yat Srotram na SRNoti
   yena śrotram idaṃ śrutam ity ādau śabda nirdeśyatvam eva tasya niṣidhyata	yena Srotram idam Srutam iti AdO Sabda  nirdeSya tvam eva tasya niziDyata
   ity āśaṅkāyām ucyate | yathā sākṣān nirdeśyatve doṣas tathā lakṣyatve'pi	iti ASaFkAyAm ucyate | yaTA sAkzAt nirdeSya tve dozaH taTA lakzya tve api
   kathaṃ na syāt | ubhayatrāpi śabda vṛtti viṣayatvenāviśeṣāt | kiṃ ca na	kaTam na syAt | uBayatra api Sabda vRtti vizaya tvena aviSezAt | kim ca na
   tasya	tasya
   prākṛtavat sākṣān nirdeśyatvaṃ kintv anirdeśyatvenaiva tathā nirdeśyatvam	prAkRta vat sAkzAt nirdeSya tvam kintu anirdeSya tvena eva taTA nirdeSya tvam
   iti siddhāntyate |	iti sidDAntyate |
   tathaiva tāsāṃ mahāvākyopasaṃhāraḥ  	taTA eva tAsAm mahA vAkya upasaMhAraH  
   dyupatayaḥ eva te na yayur antam anantatayā	dyupatayaH eva te na yayuH antam ananta tayA
   tvam api yad antarānta nicayā nanu sāvaraṇāḥ |	tvam api yat  antara anta  nicayAH nanu sa AvaraNAH |
   kha eva rajāṃsi vānti vayasā saha yac chrutayas	Ke eva rajAMsi vAnti vayasA saha yat SrutayaH 
   tvayi hi phalanty atan nirasanena bhavan nidhanāḥ || [BhP 10.87.41]	tvayi hi Palanti atan  nirasanena Bavan  niDanAH || [Bhj 10.87.41]
   atra svarūpa guṇayor dvayor api dvidhaivānirdeśyatvam | ānantyena idam	atra sva rUpa guNayoH dvayoH api dviDA eva anirdeSya tvam | Anantyena idam
   ittaṃ tad iti nirdeśāsambhavena ca | tatra prathamam ānantyam āhuḥ | he	ittam tat iti nirdeSa asamBavena ca | tatra praTamam Anantyam AhuH | he
   bhagavan te tava antam etāvat tvaṃ dyupatayaḥ svargādi loka patayo	Bagavan te tava antam etAvat tvam dyupatayaH svarga Adi  loka patayaH 
   brahmādayo'pi na yayur na viduḥ | tat kutaḥ | anantatayā | yad antava tat	brahma AdayaH api na yayuH na viduH | tat kutas | ananta tayA | yat antava tat 
   kim	kim
   api na bhavasīti | āsatāṃ te yasmāt tvam ai ātmano'ntaṃ na yāsi | kutas	api na Bavasi iti | AsatAm te yasmAt tvam E AtmanaH antam na yAsi | kutas 
   tarhi	tarhi
   sarvajñatā sarva śaktitā vā tatrāpy āhuḥ | anantatayeti antābhāvenaiva |	sarvajQa tA sarva  Sakti tA vA tatra api AhuH | anantatayA iti antABAvena eva |
   nahi	na hi
   śaśa viṣāṇājñānaṃ sārvajñyaṃ tad aprāptir vā śakti vaibhavaṃ vihanti |	SaSa vizANa ajQAnam sArvajQyam tat  a prAptiH vA Sakti vEBavam vihanti |
   śrutiś ca   yo'syādhyakṣaḥ parame vyoman | so'ṅga veda yadi vā na vedeti	SrutiH ca  yaH asya aDyakzaH parame vyoman | saH aFga veda yadi vA na veda iti
   [Ṛgveda 10.130.18] |	[ṚgvedaH 10.130.18] |
   anantatvam evāhuḥ yad antar iti yasya tavāntarā madhye | nanu aho sāvaraṇā	ananta tvam eva AhuH yat antar iti yasya tava antarA maDye | nanu aho sa AvaraNA
   uttarottara daśa guṇa saptāvaraṇa yuktā aṇḍa nicayā vānti paribhramanti	uttara uttara  daSa guNa  sapta AvaraNa  yuktAH aNxa  nicayAH vAnti pariBramanti
   vayasā kāla cakreṇa khe rajāṃsi iva saha ekadaiva na tu paryāyeṇa | anena	vayasA kAla cakreNa Ke rajAMsi iva saha ekadA eva na tu paryAyeNa | anena
   brahmāṇḍānām anantānāṃ tatra bhramaṇāt svarūpa gatam ānantyaṃ teṣāṃ	brahmANxAnAm anantAnAm tatra BramaNAt svarUpa  gatam Anantyam tezAm
   vicitra guṇānām āśrayatvāt guṇa gataṃ ca jñeyam | śrutayaś ca   yad	vicitra  guNAnAm ASraya tvAt guNa  gatam ca jQeyam | SrutayaH ca  yat 
   ūrdhvaṃ	UrDvam
   gārgi divaḥ yad arvāk pṛthivyā yad antaraṃ dyāv āpṛthivī ime yad bhūtaṃ	gArgi divaH yat arvAk pRTivyAH yat antaram dyO ApRTivI ime yat BUtam
   bhavac ca bhaviṣyac cety [BAU 3.7.3] ādyāḥ | viṣṇor nu kaṃ vīryāṇi	Bavat ca Bavizyat ca iti [BAU 3.7.3] AdyAH | vizNoH nu kam vIryANi
   pravocaṃ	pravocam
   yaṃ pārthivāni vimame rajāṃsi ity ādyāś ca |	yam pArTivAni vimame rajAMsi iti AdyAH ca |
   hi yasmād evam ataḥ śrutayaś tvayi paryavasyanti | ataḥ śrutāv api	hi yasmAt evam atas SrutayaH tvayi paryavasyanti | atas SrutO api
   prājāpatyānandataḥ śata guṇānandatvam abhidhāya punar yato vāca ity	prAjApatya AnandataH Sata guNa Ananda tvam aBiDAya punar yatas vAcaH iti 
   ādinā anantatvena vāg atīta saṅkhyānandatvaṃ brahmaṇa uktam | yad uktam	AdinA ananta tvena vAc  atIta  saFKI A Ananda tvam brahmaNaH uktam | yat uktam
   na tad īdṛg iti jñeyaṃ	na tat IdRS iti jQeyam
   na vācyaṃ na ca tarkyate |	na vAcyam na ca tarkyate |
   paśyanto'pi na jānanti	paSyantaH api na jAnanti
   mero rūpaṃ vipaścitaḥ || iti ||	meraH rUpam vipaScitaH || iti ||
   ato'trānirdeśyatvenaiva nirdeśyatvam | yat tu satyaṃ jñānam ity ādau	atas atra anirdeSya tvena eva nirdeSya tvam | yat tu satyam jQAnam iti AdO
   svarūpasya sākṣād eva nirdeśaḥ | svābhāvikī jñāna bala kriyā cety ādau	svarUpasya sAkzAt eva nirdeSaH | svABAvikI jQAna bala  kriyA ca iti AdO
   guṇasya ca śrūyate tatra ca tathaiva ity āhuḥ | atan nirasanena	guNasya ca SrUyate tatra ca taTA eva iti AhuH | atan  nirasanena
   bhavan nidhanā	Bavan niDanA
   iti | atat prākṛtaṃ yad vastu tan nirasyaiva bhavat paryavasānāt | ayam	iti | atat prAkRtam yat vastu tat nirasya eva Bavat  paryavasAnAt | ayam
   arthaḥ	arTaH
   | buddhir jñānam asaṃmoham ity ādinā hrīr dhīr bhīr etat sarvaṃ mana	| budDiH jQAnam asaMmoham iti AdinA hrIH DIH BIH etat sarvam mana
   evetyādinā ca yat prākṛtaṃ jñānādikam abhidhīyate tat sarvaṃ brahma na	eva ityAdinA ca yat prAkRtam jQAna Adikam aBiDIyate tat sarvam brahma na
   bhavati iti neti netītyādinā na tasya kāryaṃ karaṇaṃ ca vidyate ity ādinā	Bavati iti na iti na iti ityAdinA na tasya kAryam karaNam ca vidyate iti AdinA
   ca	ca
   niṣidhyate |	niziDyate |
   atha ca satya jñānādi vākyena svābhāvikī jñāna bala kriyā cety ādi vākyena	aTa ca satya  jQAna Adi  vAkyena svABAvikI jQAna bala  kriyA ca iti Adi vAkyena
   ca tad abhidhīyate | na tasmāt prākṛtād anyad eva taj jñānādi iti teṣāṃ	ca tat aBiDIyate | na tasmAt prAkRtAt anyat eva taj  jQAna Adi iti tezAm
   jñānādi śabdānām atan nirasanenaiva tvai paryavasānam iti | tataś ca	jQAna Adi SabdAnAm atan  nirasanena eva tvE paryavasAnam iti | tatas ca
   buddhy agocara vastutvād anirdeśyatvaṃ tathāpi tad rūpaṃ kiñcid asti iti	budDi  agocara vastu tvAt anirdeSya tvam taTA api tat  rUpam kiQcid asti iti
   uddiśyamānatvād anirdeśyatvaṃ ca |	uddiSyamAna tvAt anirdeSya tvam ca |
   tathā parokṣa jñāne ca daśamas tvam asītivad vākya mātreṇaiva tasya	taTA parokza  jQAne ca daSamaH tvam asIti vat vAkya  mAtreNa eva tasya
   svaprakāśa rūpasyāpi vastuno viśuddha citte suprakāśa darśanāt śruti 	sva prakASa   rUpasya api vastunaH viSudDa citte su prakASa  darSanAt Sruti 
