   <B1> dvitīyaḥ pādaḥ /	<B1> dvitIyaH pAdaH /
   bhakṣaṇamanaindrāṇām /	BakzaNam-anEndrANAm /
   nahi pradānāntarāṇyanyayāgasaṃbandhīni, yena teṣāṃ karmāntaratvāt	na-hi pradAna-antarANi-anya-yAga-saMbanDI-ni, yena tezAm karma-antara-tvAt
   bhedāpekṣaḥ prakṛtivikṛtibhāvaḥ saṃbhavet /	Beda-apekzaH prakRti-vikRti-BAvaH saMBavet /
   ekasyaiva somena yajeteti pratyakṣaśrutyā vihitasya yāgasya	ekasya-eva somena yajeta-iti pratyakza-SrutyA vihitasya yAgasya
   upapādakatvasaṃbhaveyāgāntarāṇāṃ tatkalpane prāmāṇābhāvāt	upapAdaka-tva-saMBaveyAga-antarANAm tad-kalpane prAmANa-aBAvAt
   ekajyotiṣṭomayāgāṅgatve dharmāṇāṃ satyapi liṅgāt mantravyavasthopapatteḥ	eka-jyotizwaH-ma-yAga-aFga-tve DarmANAm sati-api liFgAt mantra-vyavasTA-upapatteH
   aindrapradānasomaśeṣabhakṣaṇameva samantrakamityarthaḥ /	Endra-pradAna-soma-Seza-BakzaNam-eva sa-mantrakam-iti-arTaH /
   astuvā abhyāsānāṃ guṇatve 'pi paraṃparayā phalavattvam, tāvatāpi na	astuvAH aByAsAnAm guNa-tve api paraMparayA Palavat-tvam, tAvatA-api na
   somaphalacamasābhyāsānāmiva vyavasthayādharmagrāhitvamityāha --------	soma-Pala-camasA-aByAsAnAm-iva vyavasTayA-aDarma-grAhi-tvam-iti-Aha --------
   abhyāsānāmapīti //	aByAsAnAm-api-iti //
   phalacamase nityānityasaṃyogavirodharūpahetorasāmānavidhyepīha tadabhāve	Pala-camase nitya-anitya-saMyoga-viroDa-rUpa-hetoH-asAmAna-viDyepi-iha tad-aBAve
   tatkalpane naiva kiñcit pramāṇam /	tad-kalpane na-eva kiQcid pramANam /
   nāpi payasā maitrāvaruṇaṃ śrīṇātītivadaindrapradānābhyāsārthatvena	na-api payasA mEtrAvaruNam SrINa-atIti-vat-Endra-pradAna-aByAsa-arTa-tvena
   vidhiśravaṇamato nāsāmānavidhyamityarthaḥ //	viDi-SravaNam-atas na-asA-mAna-viDyam-iti-arTaH //
   nanu -------- ihāpi mānagrahaṇamantrayoraindrapradānamātraviṣayatvāt	nanu ------- iha-api mAna-grahaNa-mantrayoH-Endra-pradAna-mAtra-vizaya-tvAt
   tadanurodhena mānagrahaṇayoḥ tatsaṃskāryasya somasya tatsaṃskārāṇāṃ	tad-anuroDena mAna-grahaNayoH tad-saMskAryasya somasya tad-saMskArANAm
   cābhiṣavādīnāṃ tatsaṃvalitānāṃ dīkṣaṇīyādīnāmapi	ca-aBizava-AdInAm tad-saMvalitAnAm dIkzaNIya-AdInAm-api
   aindrapradānamātraviṣayatvāvagateḥ sāmānavidhyabhāvasaṃbhava ityata āha	Endra-pradAna-mAtra-vizaya-tva-avagateH sAmAna-viDi-aBAva-saMBavaH iti-atas Aha
   ---------- nahīti //	--------- na-hi-iti //
   yuktaiti //	yuktA-eti //
   prakṛte tu mānagrahaṇamantrayoḥ taduddeśyānāñca paraprayuktatvābhāvena	prakRte tu mAna-grahaNa-mantrayoH tad-uddeSya-anAQca para-prayukta-tva-aBAvena
   kratuvidhiprayuktatvakalpanāvaśyaṃbhāvāt sarvābhyāsānāñca	kratu-viDi-prayukta-tva-kalpanA-avaSyaMBAvAt sarva-aByAsAnAQca
   prakaraṇāviśeṣeṇa viniyogaprayogavidhikalpakatvopapatterna yuktaḥ saṃkoca	prakaraNa-aviSezeNa viniyoga-prayoga-viDi-kalpakatva-upapatteH-na yuktaH saMkoca
   ityarthaḥ /	iti-arTaH /
   ataeva -------- mānagrahaṇamantrayoḥ vrīhimantrasya vrīhiviṣayatvavat	ataeva ------- mAna-grahaNa-mantrayoH vrIhi-mantrasya vrIhi-vizaya-tva-vat-
   liṅgādaindrapradānamātraviṣayatvepi mānādīnāṃ puroḍāśapratiṣṭhāpanasyeva	liFgAt-Endra-pradAna-mAtra-vizaya-tvepi mAna-AdInAm puroxASa-pratizWApanasya-iva
   sarvaviṣayatvāt tadīyamānagrahaṇayoramantrakatve 'pyakṣatirityāha -------	sarva-vizaya-tvAt tadIyamAna-grahaNayoH-amantraka-tve api-akzatiH-iti-Aha -------
   ata iti //	atas iti //
   yadyapica latāvasthāyāmeva anuṣṭhīyamānayoḥ mantragrahaṇayoḥ	yadi-apica latA-avasTAyAm-eva anuzWIyamAnayoH mantra-grahaNayoH
   tantreṇaivānuṣṭhānāt athavā -------- aindrapradānārthamevānuṣṭhānena	tantreNa-eva-anuzWAnAt aTavA ------- Endra-pradAna-arTam-eva-anuzWAnena
   prasaṅgato 'nyeṣāmapyupakārakatvāt pṛthaganuṣṭhānābhāvena	prasaFgataH anyezAm-api-upakAraka-tvAt pRTak-anuzWAna-aBAvena
   samantrakatvāmantrakatvakṛto nānuṣṭhāne kaścana viśeṣaḥ; tathāpi	sa-mantraka-tvA-mantraka-tva-kRtaH na-anuzWAne kaScana viSezaH; taTA-api
   aindrapradānottaraṃ sarvasomanāśe pradānāntarāṇāmarthe some mīyamāne	Endra-pradAna-uttaram sarva-somanASe pradAna-antarANAm-arTe some mIyamAne
   gṛhyamāṇe cāmantrakatvasiddhirityarthaḥ /	gRhyamANe ca-amantraka-tva-sidDiH-iti-arTaH /
   ataeva ---------- indrapītādhikaraṇasiddhāntasya anaindeṣu	ataeva --------- indra-pIta-aDikaraNa-sidDAntasya anEndezu
   mantraprāptirūpasya bahuvrīhita eva saṃbhavāt siddhānte 'pyasya	mantra-prApti-rUpasya bahuvrIhitaH eva saMBavAt sidDAnte api-asya
   sāmānavidhyasyānirākaraṇenābhyupagatatvāvagame 'pi siddhānte anupayuktasya	sAmAna-viDi-asya-anirAkaraNena-aByupagata-tva-avagame api sidDAnte anupayuktasya
   tasya kṛtvācintāmiṣeṇātrābhidhāne kiṃ prayojanamityāśaṅkottaraṃ	tasya kRtvA-acintAmizeNa-atra-aBiDAne kim prayojanam-iti-ASaFkA-uttaram
   bhakṣamantre viśeṣābhāve 'pi "indrāya tvā vasumate" ityanayoḥ	Bakza-mantre viSeza-aBAve api "indrAya tvA vasumate" iti-anayoH
   mānagrahaṇamantrayoḥ anaindreṣūhena prayogaḥ prakṛtivikṛtibhāve syāt,	mAna-grahaNa-mantrayoH anEndrezu-uhena prayogaH prakRti-vikRti-BAve syAt-,
   sāmānavidhyetu tadasaṃbhavāt yathāvasthitayośca tatrāsāmarthyādaprayoga	sAmAna-viDyetu tad-asaMBavAt yaTA-avasTitayoH-ca tatra-asAmarTyAt-aprayoga
   eveti bhaṭṭasomeśvareṇa kvacit likhitamapi	eva-iti BawwasomeSvareNa kvacid liKitam-api
   sarvasomanāśāpāditapunaḥpradānāntarārthasomagrahaṇamānānuṣṭhāne	sarva-soma-nASA-pAdita-punar-pradAna-antara-arTa-soma-grahaNa-mAna-anuzWAne
   mantrasyātideśataḥ prāptasyohaprayogaparameva jñeyam /	mantrasya-atideSataH prAptasya-Uha-prayoga-param-eva jQeyam /
   evaṃ sthite etaduttaraṃ nyāyasudhāyāmalikhitamapi tallikhitabhrameṇānūdya	evam sTite etat-uttaram nyAya-suDAyAm-aliKitam-api tad-liKita-BrameNa-AnUdya
   anaindrapradāneṣu pṛthaṅmānagrahaṇayorevānuṣṭhānāt kutaḥ	anEndra-pradAnezu pRTak-mAna-grahaNayoH-eva-anuzWAnAt kutas-
   tatrānayormantrayoḥ prakṛtivikṛtibhāve 'pyūhaprasaṅgaḥ kutastarāṃ	tatra-anayoH-mantrayoH prakRti-vikRti-BAve api-Uha-prasaFgaH kutastarAm
   sāmānavidhyādaprayoga iti prakāśakāraiḥ dūṣitam, tat kaustubhe	sAmAna-viDyAt-aprayogaH iti prakASa-kArEH dUzitam, tat kOstuBe
   pūrvoktānuṣṭhānaviśeṣopapādanavyājena pūjyapādaireva ayuktamiti sūcitam /	pUrva-ukta-anuzWAna-viSeza-upapAdana-vyAjena pUjya-pAdEH-eva ayuktam-iti sUcitam /
   vastutastviti //	vastutas-tu-iti //
   vidhivākye	viDi-vAkye
   vasumattvaguṇasyāśravaṇādindragatavasumattvaprakāśanasyavyarthatvāpatteḥ	vasumat-tva-guNasya-aSravaNAt-indra-gata-vasu-mattva-prakASa-nasya-vyarTatva-ApatteH
   vārtikoktarītyā	vArtikA-ukta-rItyA
   devatāvācivasumacchabdenaindrātiriktānaindrapradānasaṃbandhidevatābhidhānopapatteritara-	devatA-vAci-vasumat-Sabdena-Endra-atiriktAn-Endra-pradAna-saMbanDi-devatA-aBiDAna-upapatteH-itara-
   devatāyuktāyendrāyetyarthena samantrakamanyatrāpi mānagrahaṇādityarthaḥ /	devatA-yuktAya-indrAya-iti-arTena sa-mantrakam-anyatra-api mAna-grahaNAt-iti-arTaH /
   bhakṣamantre tvanaindrapradānasaṃbandhidevatābhidhānābhāvāt pradānānāṃ	Bakza-mantre tu-anEndra-pradAna-saMbanDi-devatA-aBiDAna-aBAvAt pradAnAnAm
   bhedena tattaccheṣasyeva bhakṣaṇānāmapi pṛthakpṛthaganuṣṭhānāt	Bedena tad-tad-Sezasya-iva BakzaNAnAm-api pRTak-pRTak-anuzWAnAt-
   aindraśeṣabhakṣaṇe prayujyamānasya karaṇatvenāpi	Endra-Seza-BakzaNe prayujyamAnasya karaNa-tvena-api
   prākaraṇikaviniyogopapatteraindraśeṣabhakṣaṇa eva liṅgāt prayogaḥ,	prAkaraNika-viniyoga-upapatteH-Endra-Seza-BakzaNaH eva liFgAt prayogaH,
   anaindraśeṣabhakṣaṇetu sarvathā prāptyabhāva iti	anEndra-Seza-BakzaNetu sarvaTA prApti-aBAvaH iti
   vaiṣamyamabhipretyopasaṃharati --------- ata iti //	vEzamyam-aBipretya-upasaMharati -------- atas iti //
   yattu -------- atra prakāśakāraiḥ "yaṃ kāmayeta pāpīyān syāditi	yat-tu ------- atra prakASa-kArEH "yam kAmayeta pApIyAn syAt-iti
   nīcaistarāṃ tasya yājyayā	nIcEstarAm tasya yAjyayA
   vaṣaṭkuryādi"tyādiyājyāśritaguṇakāmaprāptiranaindreṣvapi sāmānavidhye,	vazawkurya-Adi"tyAdi-yAjya-ASrita-guNa-kAma-prAptiH-anEndrezu-api sAmAna-viDye,
   vikṛtitve tu neti prayojanaṃ sāmānavidhyasyoktam; tanna; abhyāsānāṃ	vikRti-tve tu na-iti prayojanam sAmAna-viDi-asya-uktam; tat-na; aByAsAnAm
   vikṛtitve 'pi karmaṇa ekatvena vikṛtibhūtābhyāsasādhyasyāpi tasyaiva	vikRti-tve api karmaNaH eka-tvena vikRti-BUta-aByAsa-sADyasya-api tasya-eva
   jyotiṣṭomatvena phalasaṃbandhāt	jyotizwoma-tvena Pala-saMbanDAt-
   jyotiṣṭomāpūrvasādhanībhūtayājyārūpāśrayasya teṣvapyavaśiṣṭatvena	jyotizwomA-pUrva-sADanIBUta-yAjyA-rUpa-ASrayasya tezu-api-avaSizwa-tvena
   guṇakāmaprāptyupapatteḥ /	guNa-kAma-prApti-upapatteH /
   nahi aindrapradānasaṃbandhiyājyātvena tatrāśrayatā; pramāṇābhāvāt,	na-hi Endra-pradAna-saMbanDi-yAjyA-tvena tatra-ASrayatA; pramANa-aBAvAt,
   nāpyanaindrapradānānāmaindrapradānāṅgatvaṃ phalāntaraṃ vā, yena	na-api-anEndra-pradAnAnAm-Endra-pradAna-aFga-tvam Pala-antaram vA, yena
   tatsādhyayāgasya jyotiṣṭomāt karmāntaratayā jyotiṣṭomatvaṃ na saṃbhavet,	tad-sADya-yAgasya jyotizwomAt karma-antara-tayA jyotizwoma-tvam na saMBavet-,
   ato 'yuktametat prayojanamiti pūjyapādairupekṣitam //	atas ayuktam-etat prayojanam-iti pUjya-pAdEH-upekzitam //
   iti saptadaśaṃ anaindrāṇāmamantrakabhakṣaṇādhikaraṇam //	iti saptadaSam anEndrANAm-amantraka-BakzaNa-aDikaraNam //
   - - - - - - - <B1> (18 adhikaraṇam / ) (a.3 pā.2 adhi.18) aindrāgne //	       <B1> (18 aDikaraNam / ) (a.3 pA.2 aDi.18) Endra-agne //
   evaṃ sthite punaścintā /	evam sTite punar-cintA /
   aindrāgne 'pyabhyāse indrapītasyetyeva samantrakaṃ bhakṣaṇam; tyāgasya	EndrAgne api-aByAse indra-pItasya-iti-eva sa-mantrakam BakzaNam; tyAgasya
   vyāsajyavṛttitve 'pi pānasya pītapadalakṣitasvīkārasya vā	vyAsa-jya-vRtti-tve api pAnasya pIta-pada-lakzita-svIkArasya vA
   pratyekavṛttitvena ḍitthamātṛvadekena vyapadeṣṭuṃ śakyatvāt tyāgasya ca	pratyeka-vRtti-tvena xitTa-mAtR-vat-ekena vyapadezwum Sakya-tvAt tyAgasya ca
   hutāhutasamudāyaviṣayatvena bhakṣyamāṇahutāvayavamātraviṣayatvābhāvānna	huta-Ahuta-samudAya-vizaya-tvena BakzyamANa-huta-avayava-mAtra-vizaya-tva-aBAvAt-na
   pītapadena tyaktatvalakṣaṇā /	pIta-padena tyaktatva-lakzaNAH /
   ataścaturdhākaraṇādhikaraṇaviṣayatvābhāvāttasyāpi samantrakaṃ bhakṣaṇamiti	atas-caturDA-karaNa-aDikaraNa-vizaya-tva-aBAvAt-tasya-api sa-mantrakam BakzaNam-iti
   prāpte --------- satyaṃ pītapadena svīkāralakṣaṇā; pānasya navame	prApte -------- satyam pIta-padena svIkAra-lakzaNA; pAnasya navame
   niṣedhyamānatvāt, tyāgasya tvaduktarītyā lakṣayitumaśakyatvācca /	nizeDyamAna-tvAt, tyAgasya tvad-ukta-rItyA lakzayitum-aSakya-tvAt-ca /
   svīkārasya tu devasvādipadālambanatayā kalpyamānasya hutāvaśiṣṭa eva	svIkArasya tu deva-sva-Adi-pad-a-Alambana-tayA kalpyamAnasya huta-avaSizwaH eva
   kalpanīyatvādyuktā lakṣaṇā; tathāpi tasya lāghavena vyāsajyavṛttereva	kalpanIya-tvAdi-uktA lakzaNA; taTA-api tasya lAGavena vyAsa-jya-vRtteH-eva
   kalpane pratyekavṛttitve	kalpane pratyeka-vRtti-tve
   pramāṇābhāvāccaturdhākaraṇādhikaraṇaviṣayatvopapatterna tasya	pramANa-aBAvAt-caturDA-karaNa-aDikaraNa-vizaya-tva-upapatteH-na tasya
   samantrakabhakṣaṇam // 18 // 32 // it.yaṣṭādaśaṃ	sa-mantraka-BakzaNam // 18 // 32 // it.yazwAdaSam
   aindrāgnabhakṣasyāmantrakatādhikaraṇam //	EndrAgna-Bakzasya-amantraka-tA-aDikaraNam //
   <B2> bhakṣamantrasyaindrāgnadevatyahutaśeṣabhakṣaṇāṅgatvānaṅgatvavicārāt	<B2> Bakza-mantrasya-EndrAgna-devatyahuta-Seza-BakzaNa-aFga-tva-anaFga-tva-vicArAt
   pādādhyāyasaṅgatī tathā pūrvādhikaraṇe	pAda-aDyAya-saFgatI taTA pUrva-aDikaraNe
   aindrapradānavyatiriktapradānahutaśeṣabhakṣaṇe	Endra-pradAna-vyatirikta-pradAna-hutaSeza-BakzaNe
   amantrakatvasyādyapūrvapakṣavādinā sādhitasyehākṣipya	amantraka-tvasya-Adya-pUrva-pakza-vAdinA sADitasya-iha-Akzipya
   samādhānādākṣepikīmanantarasaṅgatiṃ ca spaṣṭatvādanuktvā sthita	samADAnAt-AkzepikIm-anantara-saFgatim ca spazwa-tvAt-anuktvA sTita
   evādyapūrvapakṣe kṛtvācintātvena vicāraṃ darśayati ------- evamiti //	eva-Adya-pUrva-pakze kRtvA-cintA-tvena vicAram darSayati ------ evam-iti //
   pūrvapakṣamāha --------- aindrāgnepīti //	pUrva-pakzam-Aha -------- Endra-agnepi-iti //
   tyāgasyeti //	tyAgasya-iti //
   yadyapi caturdhākaraṇādhikaraṇanyāyenendrāgnyoḥ vyāsajyavṛttitvāt	yadi-api caturDA-karaNa-aDikaraNa-nyAyena-indra-agnyoH vyAsa-jya-vRtti-tvAt-
   nendrapītapadena indrāya tyakta iti vyutpattyā indrāgnyantargatendro	na-indra-pIta-padena indrAya tyaktaH iti vyutpattyE indra-agni-antargata-indraH-
   devatā śakyā vyapadeṣṭum; tathāpi pītapadasya tyaktatvalakṣaṇāyāṃ	devatA SakyA vyapadezwum; taTA-api pIta-padasya tyaktatva-lakzaNAyAm
   pramāṇābhāvāccaturthīsamāsasyānanuśiṣṭatvenānyāyyatvāt kathañcidanuśāsane	pramANa-aBAvAt-caturTI-samAsasya-ananuSizwa-tvena-anyAyya-tvAt kaTaQcid-anuSAsane
   'pi vā hutāhutasamudāyasyaiva pūrvaṃ tyaktasya homena nāśādahutasya	api vA huta-Ahuta-samudAyasya-eva pUrvam tyaktasya homena nASAt-ahutasya
   bhakṣaṇayogyasyātyaktatvena indrapītapadavyapadeśyatvāsaṃbhavāt pānameva	BakzaNa-yogyasya-atyakta-tvena indra-pIta-pada-vyapadeSya-tva-asaMBavAt pAnam-eva
   rasāsvādanarūpadevatāniṣṭhaṃ athavā tasya navame niṣetsyamānatvāt	rasa-AsvAdana-rUpa-devatA-nizWam aTavA tasya navame nizetsyamAna-tvAt-
   āhavanīyamukhaprakṣeparūpaṃ vā athavā hutasyaiva	AhavanIya-muKa-prakzepa-rUpam vA aTavA hutasya-eva
   tatpadavyapadeśyatvāpattyāhutabhakṣyamāṇe	tad-pada-vyapadeSya-tva-apatti-Ahuta-BakzyamANe
   tatpadavyapadeśāsaṃbhavādapītāvayavasaṃgrahāya samudāye lakṣaṇāpatteḥ	tad-pada-vyapadeSa-asaMBavAt-apIta-avayava-saMgrahAya samudAye lakzaNa-ApatteH
   devasvādipadālambanatayāvaśyakaḥ svīkāro vā saṃbandharūpaḥ pītaśabdārtho	deva-sva-Adi-pad-a-Alambana-tayA-AvaSyakaH svIkAraH vA saMbanDa-rUpaH pIta-Sabda-arTaH-
   lakṣaṇayā vaktavyaḥ /	lakzaNayA vaktavyaH /
   tathāca tṛtīyāsamāsopyanuśāsanaśiṣṭo labhyate /	taTA-ca tRtIyA-samAsopi-anuSAsana-SizwaH laByate /
   evañca svīkārasyāvayavāvayavisādhāraṇyena kalpitasya pratidevatādhiṣṭhānaṃ	evaQca svIkArasya-avayava-avayavi-sADa-araNyena kalpitasya pratidevatA-aDizWAnam
   bhedena kalpanopapattervyāsajyatyāge 'pi ardhasyendreṇa svīkṛtatvāt	Bedena kalpanA-upapatteH-vyAsa-jya-tyAge api arDasya-indreNa svIkRta-tvAt-
   tatpadavyapadeśyatvopapattirityarthaḥ /	tad-pada-vyapadeSya-tva-upapattiH-iti-arTaH /
   ḍitthamātṛvaditi //	xitTa-mAtR-vat-iti //
   ḍitthaḍabitthayormātari	xitTaxa-bitTayoH-mAtari
   mātṛpadārthāntarnītajanyajanakabhāvarūpasaṃbandhasya pratyekaṃ	mAtR-padArTa-antar-nIta-janya-janaka-BAva-rUpa-saMbanDasya pratyekam
   vidyamānatayā ekenāpi saṃbhavati ḍitthamāteti vyapadeśaḥ, tadvadihāpi	vidyamAna-tayA ekena-api saMBavati xitTa-mAtA-iti vyapadeSaH, tadvat-iha-api
   upapadyata ityarthaḥ //	upapadyate iti-arTaH //
   caturdhākaraṇetu taddhitena devatātvasyaiva uktatvānna	caturDA-karaNetu tad-hitena devatA-tvasya-eva ukta-tvAt-na
   vyāsajyavṛttidevatākasya grahaṇam /	vyAsa-jya-vRtti-devatAkasya grahaNam /
   ataeva apaunaruktyaṃ cetyabhipretya vaiṣamyamāha -------- ataścaturdheti	ataeva apOnaruktyam ca-iti-aBipretya vEzamyam-Aha ------- atas-caturDA-iti
   lāghaveneti //	lAGavena-iti //
   vyāsajyavṛttidevatāsthale vyāsajyavartina ekasyaiva svīkārasya kalpane	vyAsa-jya-vRtti-devatA-sTale vyAsa-jya-vartinaH ekasya-eva svIkArasya kalpane
   saṃbhavati na tatra nānātvakalpanā; gauravādityarthaḥ //	saMBavati na tatra nAnA-tva-kalpanA; gOravAt-iti-arTaH //
   yattu vārtikādau tyaktatvalakṣaṇayā siddhāntopapādanaṃ,	yat-tu vArtika-AdO tyaktatva-lakzaNayA sidDAnta-upapAda-naM,
   tatprauḍhipradarśanārthamityuktaṃ kaustubhe tatraiva draṣṭavyam //	tad-prOXi-pradarSana-arTam-iti-uktam kOstuBe tatra-eva drazwavyam //
   amantrakatvapūrvapakṣasya sthāyitve 'pi sthāyivicāraprayojanaṃ	amantraka-tva-pUrva-pakzasya sTAyi-tve api sTAyi-vicAra-prayojanam
   aindrāgnabhakṣaṇe 'pi savanaviśeṣaṇatayā prayojye mantre	EndrAgna-BakzaNe api savana-viSezaNa-tayA prayojye mantre
   tadarthānusandhānavelāyāṃ pūrvapakṣe bhinnasvīkāratvāt	tad-arTa-anusanDAna-velAyAm pUrva-pakze Binna-svIkAra-tvAt
   aindrāgnāntargatendrapītatvenāpi indrapītapadārthānusandhānam /	EndrAgna-antargatA-indra-pIta-tvena-api indra-pIta-padArTa-anusanDAnam /
   siddhāntetu tasyaikatvādindrapītapadārthatvābhāvānnānusandhānamiti	sidDAntetu tasya-eka-tvAt-indra-pIta-padArTa-tva-aBAvAt-na-anusanDAnam-iti
   spaṣṭatvānnoktam //	spazwa-tvAt-na-uktam //
   ityaṣṭādaśaṃ aindrāgnabhakṣasyāmantrakatādhikaraṇam //	iti-azwAdaSam EndrAgna-Bakzasya-amantraka-tA-aDikaraNam //
   <B1> (19 adhikaraṇam / ) (a.3 pā.2 adhi.19) chandasaśca //	<B1> (19 aDikaraNam / ) (a.3 pA.2 aDi.19) CandasaH-ca //
   tatraiva mantre gāyatrachandasa ityādi śrutam /	tatra-eva mantre gAyatra-CandasaH ityAdi Srutam /
   taccedaṃ somaviśeṣaṇamevāsminpūrvapakṣe /	tat-ca-idam soma-viSezaNam-eva-asmin-pUrva-pakze /
   ataśca kevalameva yatraindrapradāne gāyatraṃ chando yathā bṛhaspatisavādau	atas-ca kevalam-eva yatra-Endra-pradAne gAyatram CandaH yaTA bRhaspati-sava-AdO
   'gāyatrametadaharbhavatī'ti śruteḥ, tatraivāsyotkarṣo, natu	agAyatram-etat-ahar-BavatI-ati SruteH, tatra-eva-asya-utkarzo, na-tu
   jyotiṣṭomeniveśaḥ; kevalagāyatracchandaskapradānābhāvāt /	jyotizwomeniva-ISaH; kevala-gAyatra=-Candaska-pradAna-aBAvAt /
   naca sāmānyasaṃbandhabodhakapramāṇābhāvaḥ;	na-ca sAmAnya-saMbanDa-boDaka-pramANa-aBAvaH;
   indradevatyatvaprātaḥsavanādīnāmanyatra lokādāvabhāvena pāriśeṣyādeva	indra-devatya-tva-prAtaHsavana-AdInAm-anyatra loka-AdO=-aBAvena pAriSezyAt-eva
   bṛhaspatisavopasthitisaṃbhavāditi prāpte --------- bṛhaspatisave 'pi	bRhaspati-sava-upasTiti-saMBavAt-iti prApte -------- bRhaspati-save api
   savanamukhīye ṛgantarasya paṭhitatvādgāyatrametadityādeśca bhūmnāpi	savana-muKIye Rc-antarasya paWita-tvAt-gAyatram-etat-iti-AdeH-ca BUmnA-api
   vyākhyānopapatteḥ prakṛtau vikṛtau vā	vyAKyAna-upapatteH prakRtO vikRtO vA
   kevalagāyatrachandaskatvābhāvānnityasāpekṣatvena samāsopapatteḥ	kevala-gAyatra-Candaska-tva-aBAvAt-nitya-sApekza-tvena samAsa-upapatteH
   prakṛtāveva niveśaḥ /	prakRtO=-eva niveSaH /
   vastutastu gāyatryāḥ pratyekameva sādhanatvāt satyapi ṛgāntare na	vastutas-tu gAyatryAH pratyekam-eva sADana-tvAt sati-api Rga-antare na
   samāsabhaṅgāśaṅkāpi // 19 // 33 //	samAsa-BaFga-ASaFkA-api // 19 // 33 //
   ityekonaviṃśaṃ mantraviśeṣāṇāmanekachandaske viniyogādhikaraṇam //	iti-ekonaviMSam mantra-viSezANAm-aneka-Candaske viniyoga-aDikaraNam //
   <B2> aindrapradānaśeṣabhakṣaṇe evāyaṃ mantra iti pūrvapakṣamupajīvya	<B2> Endra-pradAna-Seza-BakzaNe eva-ayam mantraH iti pUrva-pakzam-upajIvya
   kṛtācintātvena kariṣyamāṇasya	kRta-AcintA-tvena karizyamANasya
   sadontarasahitagāyatrachandaskaindrapradānepyayaṃ mantro 'ṅgamuta	sadA-untara-sahita-gAyatra-Canda-skEndra-pradAna-ipi-ayam mantraH aFgamuta
   tannirapekṣagāyatrachandaskaindrapradāna eveti vicārasya	tad-nirapekza-gAyatra-Canda-skEndra-pradAnaH eva-iti vicArasya
   mantragatāṅgatvavicārarūpatayā pādādhyāyasaṅgatī	mantra-gata-aFga-tva-vicAra-rUpa-tayA pAda-aDyAya-saFgatI
   tathāpavādikīmanantarasaṅgatiṃ ca spaṣṭatvādanuktvā tasminneva mantre	taTA-apava-AdikIm-anantara-saFgatim ca spazwa-tvAt-anuktvA tasmin=-eva mantre
   ekadeśaviṣayatāpradarśanapūrvakaṃ pūrvapakṣamāha -------- tatraiveti //	eka-deSa-vizaya-tA-pradarSana-pUrvakam pUrva-pakzam-Aha ------- tatra-eva-iti //
   yadi gāyatrachandasa itipadaṃ siddhānta iva savanaviśeṣaṇaṃ bhavet, tadā	yadi gAyatra-CandasaH iti-padam sidDAntaH iva savana-viSezaNam Bavet, tadA
   kevalagāyatrachandaskaindrapradānamātrārthatāpūrvapakṣo na sidhyedityato	kevala-gAyatra-Canda-skEndra-pradAna-mAtra-arTa-tA-pUrva-pakzaH na siDyet-iti-atas-
   yadyapīndrapītapada iva tatpuruṣakṛtaṃ somaparatvaṃ na saṃbhavati;	yadi-api-indra-pIta-padaH iva tatpuruza-kRtam soma-paratvam na saMBavati;
   pakṣadvayepi bahuvrīherāvaśyakatvāt;	pakza-dvayepi bahu-vrIheH-AvaSyaka-tvAt;
   tathāpyanantaropanyastendrapītapadasya tatpuruṣeṇa somaparatve sādhite	taTA-api-anantara-upanyasta-indra-pIta-padasya tatpuruzeNa soma-paratve sADite
   sati tatsamabhivyāhārāt gāyatracchandasa ityādipadānāmapi tatparatvameva	sati tad-samaBivyAhArAt gAyatra=-CandasaH ityAdi-padAnAm-api tat-paratvam-eva
   yuktam, natu pūrvapadopasthāpitaprātaḥsavanādiparatvam; tathātve	yuktam, na-tu pUrva-pada-upasTApita-prAtaHsavana-Adi-paratvam; taTA-tve
   viśeṣyaparaprātaḥsavanādipadānāmetaduttaraṃ prayogāpatterato 'smin	viSezya-para-prAtaHsavana-Adi-padAnAm-etat-uttaram prayoga-ApatteH-atas asmin
   mahādhikaraṇapūrvapakṣe somaviśeṣaṇamevetyabhipretyāha ---------	mahA-aDikaraNa-pUrva-pakze soma-viSezaNam-eva-iti-aBipretya-Aha ---------
   taccedamiti //	tat-ca-idam-iti //
   yathā indrapītapadena kevalendra eva prakāśyate, natvanyasahitaḥ;	yaTA indra-pIta-padena kevala-indraH eva prakASyate, na-tu-anya-sahitaH;
   samāsavighātāpatterata aindrāgnādau mantrāprayogaḥ pūrvatra sādhitaḥ,	samAsa-viGAta-ApatteH-atas Endra-agna-AdO mantra-aprayogaH pUrvatra sADitaH,
   tathehāpi gāyatracchanda ādipadaiḥ kevalameva gāyatryādyanyayogavyāvṛttyā	taTA-iha-api gAyatra=-CandaH Adi-padEH kevalam-eva gAyatrI-Adi-anya-yoga-vyAvRttyA
   viśeṣaṇatvena chandaḥ prakāśyate natu chandontarasāpekṣam;	viSezaNa-tvena CandaH prakASyate na-tu Candontara-sa-apekzam;
