   akāmakṛtapāpasya Par_8.1c	akAma-kRta-pApasya Par_8.1c
   śūdras tu brāhmaṇo bhavet Par_12.39(38)d	SUdraH tu brAhmaNaH Bavet Par_12.39(38)d
   śūdrasya copavāsena Par_6.31c	SUdrasya ca-upavAsena Par_6.31c
   śūdrasya juhuyād dhaviḥ Par_12.39(38)b	SUdrasya juhuyAt DaviH Par_12.39(38)b
   śūdrasya dvijaśuśrūṣā Par_1.64a	SUdrasya dvija-SuSrUzA Par_1.64a
   śūdraḥ patati tatkṣaṇāt Par_1.66d	SUdraH patati tad-kzaNAt Par_1.66d
   śūdraḥ śudhyati māsena Par_3.2c	SUdraH SuDyati mAsena Par_3.2c
   śūdrāj jñānāgamaś caiva Par_12.35(34)c	SUdrAt jQAna-AgamaH ca-eva Par_12.35(34)c
   śūdrāṇāṃ nopavāsaḥ syāc Par_6.51a	SUdrANAm na-upavAsaH syAt Par_6.51a
   śūdrāṇāṃ nopavāsaḥ syāc Par_11.27a	SUdrANAm na-upavAsaH syAt Par_11.27a
   śūdrād apy aśucir bhavet Par_8.24b	SUdrAt api aSuciH Bavet Par_8.24b
   śūdrā dānena śudhyati Par_7.15b	SUdrAH dAnena SuDyati Par_7.15b
   śūdrānnarasapuṣṭasyāpy Par_12.34(33)a	SUdra-anna-rasa-puzwasya-api Par_12.34(33)a
   śūdrānnaṃ śūdrasaṃparkaḥ Par_12.35(34)a	SUdra-annam SUdra-saMparkaH Par_12.35(34)a
   śūdrānnaṃ sūtakānnaṃ ca Par_11.4a	SUdra-annam sUtaka-annam ca Par_11.4a
   śūdrī ca gṛhamedhinī Par_12.36(35)b	SUdrI ca gRhameDinI Par_12.36(35)b
   śūdreṇa tu sahāsanam Par_12.35(34)b	SUdreNa tu sahAsanam Par_12.35(34)b
   śūdreṇaivetareṇa vā Par_6.20b	SUdreNa-eva-itareNa vA Par_6.20b
   śūdrocchiṣṭāni yāni ca Par_7.24b	SUdra-ucCizwAni yAni ca Par_7.24b
   śūdro naktena śudhyati Par_11.45b	SUdraH naktena SuDyati Par_11.45b
   śūdro 'py evaṃ yadā bhuṅkte Par_11.2c	SUdraH api evam yadA BuFkte Par_11.2c
   śūdro māsena śudhyati Par_3.4d	SUdraH mAsena SuDyati Par_3.4d
   śūdro vā upasarpati Par_11.26b	SUdraH vA upasarpati Par_11.26b
   śūdro vā yadi gacchati Par_10.8b	SUdraH vA yadi gacCati Par_10.8b
   śūram āyodhane hatam Par_3.35b	SUram AyoDane hatam Par_3.35b
   śṛṅgabhaṅge caret pādaṃ Par_9.17c	SRFga-BaFge caret pAdam Par_9.17c
   śṛṅgabhaṅge 'sthibhaṅge ca Par_9.19a	SRFga-BaFge asTi-BaFge ca Par_9.19a
   śṛṇu putra pravakṣyāmi Par_1.19c	SRNu putra pravakzyAmi Par_1.19c
   śṛṇvantu ṛṣipuṅgavāḥ Par_1.35d	SRNvantu Rzi-puFgavAH Par_1.35d
   śṛṇvantu munayas tathā Par_1.19d	SRNvantu munayaH taTA Par_1.19d
   śṛtaṃ droṇāḍhakasyānnaṃ Par_6.68c	SRtam droNa-AXakasya-annam Par_6.68c
   śeṣam annaṃ na bhojayet Par_11.7d	Sezam annam na Bojayet Par_11.7d
   śeṣaṃ munivibhāṣitam Par_1.34b	Sezam muni-viBAzitam Par_1.34b
   śeṣaṃ sarvaṃ ca kārayet Par_6.45d	Sezam sarvam ca kArayet Par_6.45d
   śoṣayitvātapenaiva Par_7.30c	SozayitvA-Atapena-eva Par_7.30c
   śaucācāraṃ tu cintayet Par_7.38b	SOca-AcAram tu cintayet Par_7.38b
   śaucācāraṃ yathāvac ca Par_1.2c	SOca-AcAram yaTAvat ca Par_1.2c
   śraddhayā cānnadānena Par_1.44a	SradDayA ca-anna-dAnena Par_1.44a
   śravaṇaṃ hṛdayaṃ bhinnaṃ Par_9.37c	SravaNam hRdayam Binnam Par_9.37c
   śrāntaḥ kruddhas tamo'ndho vā Par_12.58(57)a	SrAntaH krudDaH tamaH-anDaH vA Par_12.58(57)a
   śrutā me mānavā dharmā Par_1.12c	SrutA me mAnavAH DarmA Par_1.12c
   śrutā hy ete bhavatproktāḥ Par_1.15c	SrutAH hi ete Bavat-proktAH Par_1.15c
   śrutismṛtivido viduḥ Par_6.71b	Sruti-smRti-vidaH viduH Par_6.71b
   śrutismṛtiviśāradaḥ Par_1.3d	Sruti-smRti-viSAradaH Par_1.3d
   śrutismṛtisadācāra- Par_1.20c	Sruti-smRti-sat-AcAra Par_1.20c
   śrutyarthā me na vismṛtāḥ Par_1.15d	Sruti-arTAH me na vismRtAH Par_1.15d
   śrūyatām ṛṣipuṅgavāḥ Par_5.14d	SrUyatAm Rzi-puFgavAH Par_5.14d
   śrotriyāya viśeṣataḥ Par_12.51(50)b	SrotriyAya viSezataH Par_12.51(50)b
   śrotre ca prokṣaṇīṃ dadyād Par_5.21a	Srotre ca prokzaNIm dadyAt Par_5.21a
   śrotre tiṣṭhanti dakṣiṇe Par_12.21(20)d	Srotre tizWanti dakziNe Par_12.21(20)d
   ślokānāṃ śatapañcakaṃ Par_12.[81(80)]d	SlokAnAm Sata-paQcakam Par_12.[81(80)]d
   śvakākopahatāni ca Par_7.23d	Sva-kAka-upahatAni ca Par_7.23d
   śvapākam api śodhayet Par_11.27d	SvapAkam api SoDayet Par_11.27d
   śvapākam iva dūrataḥ Par_11.14d	SvapAkam iva dUratas Par_11.14d
   śvapākaṃ vāpi caṇḍālaṃ Par_6.22a	SvapAkam vA-api caNxAlam Par_6.22a
   śvapākīṃ vātha caṇḍālīṃ Par_10.8a	SvapAkIm vA-aTa caNxAlIm Par_10.8a
   śvayonau jāyate dhruvam Par_12.56(55)d	Sva-yonO jAyate Druvam Par_12.56(55)d
   śvayonau saptajanmā syād Par_12.38(37)c	Sva-yonO sapta-janmA syAt Par_12.38(37)c
   śvasṛgālau ca markaṭam Par_11.41b	Sva-sRgAlO ca markawam Par_11.41b
   śvānacaṇḍāladṛṣṭau ca Par_6.67a	SvAna-caNxAla-dRzwO ca Par_6.67a
   śvetāyāś caiva gomayam Par_11.29b	SvetAyAH ca-eva gomayam Par_11.29b
   ṣaṭkarmasahito vipraḥ Par_2.2c	zawkarma-sahitaH vipraH Par_2.2c
   ṣaṭkarmāṇi dine dine Par_1.39d	zawkarmANi dine dine Par_1.39d
   ṣaṭkarmābhirato nityaṃ Par_1.38a	zawkarma-aBirataH nityam Par_1.38a
   ṣaṭpalaṃ tu pibed ambhas Par_4.8a	zaz-palam tu pibet amBaH Par_4.8a
   ṣaṭśatāni śataṃ caiva Par_5.15c	zaz-SatAni Satam ca-eva Par_5.15c
   ṣaṇṇiśāḥ puṃsi pañcame Par_3.9b	zaNNiSAH puMsi paQcame Par_3.9b
   ṣaṇ māsān kṛcchram ācaret Par_4.13b	zaw mAsAn kRcCram Acaret Par_4.13b
   ṣaṇmāsān bhuvi niḥkṣipya Par_7.25a	zaz-mAsAn Buvi niHkzipya Par_7.25a
   ṣaṣṭhīr varṣasahasrāṇi Par_4.2c	zazWIH varza-sahasrANi Par_4.2c
   ṣaṣṭhe caturahāc chuddhiḥ Par_3.9c	zazWe caturahAt SudDiH Par_3.9c
   sa eva niyamo grāhyo Par_6.60c	saH eva niyamaH grAhyaH Par_6.60c
   sa eva mriyate tatra Par_9.38c	saH eva mriyate tatra Par_9.38c
   sakṛd bhuktā tu yā nārī Par_10.25a	sakRt BuktA tu yA nArI Par_10.25a
   sa kṣetrī labhate bījaṃ Par_4.22c	sa kzetrI laBate bIjam Par_4.22c
   sagotraḥ śrūyate yadi Par_3.11b	sagotraH SrUyate yadi Par_3.11b
   sa gopāla iti jñeyo Par_11.23c	sa gopAlaH iti jQeyaH Par_11.23c
   sa ca kratuphalaṃ labhet Par_3.33d	sa ca kratu-Palam laBet Par_3.33d
   sacailaṃ snānam ācaret Par_6.24d	sa-cElam snAnam Acaret Par_6.24d
   sacailaṃ snānam ācaret Par_12.55(54)b	sa-cElam snAnam Acaret Par_12.55(54)b
   sa cauraḥ sa ca pāpiṣṭho Par_2.12a	sa cOraH sa ca pApizWaH Par_2.12a
   satataṃ prātar utthāya Par_11.49a	satatam prAtar utTAya Par_11.49a
   satyaṃ caivānṛtena ca Par_1.30b	satyam ca-eva-anRtena ca Par_1.30b
   sadācārasya viprasya Par_12.61(60)a	sat-AcArasya viprasya Par_12.61(60)a
   sadā svastrīṃ nirīkṣayet Par_10.16d	sadA sva-strIm nirIkzayet Par_10.16d
   sadbhūtaguṇavādinām Par_8.8d	sat-BUta-guNa-vAdinAm Par_8.8d
   sadyaḥ śaucaṃ vidhīyate Par_3.10d	sadyas SOcam viDIyate Par_3.10d
   sadyaḥśaucaṃ vidhīyate Par_3.40d	sadyaHSOcam viDIyate Par_3.40d
   sadyaḥ śaucāḥ prakīrtitāḥ Par_3.20d	sadyas SOcAH prakIrtitAH Par_3.20d
   sadyaḥ snātvā śucir bhavet Par_3.11d	sadyas snAtvA SuciH Bavet Par_3.11d
   sadyaḥ snātvā śucir bhavet Par_5.9d	sadyas snAtvA SuciH Bavet Par_5.9d
   sa dharmaḥ paramaḥ smṛtaḥ Par_8.26d	sa DarmaH paramaH smRtaH Par_8.26d
   sa dharmeti vijñeyo Par_8.7c	sa Darma-iti vijQeyaH Par_8.7c
   santīti manur abravīt Par_12.20d	santi-iti manuH abravIt Par_12.20d
   sa pāvayed athātmānam Par_12.77(76)a	sa pAvayet aTa-AtmAnam Par_12.77(76)a
   sapiṇḍeṣu ca sarvathā Par_5.11d	sapiNxezu ca sarvaTA Par_5.11d
   saputraḥ saha bhṛtyaiś ca Par_12.73(72)a	sa-putraH saha BRtyEH ca Par_12.73(72)a
   sa putro dattako bhavet Par_4.24d	sa putraH dattakaH Bavet Par_4.24d
   sapta janmāni vai naraḥ Par_9.60d	sapta janmAni vE naraH Par_9.60d
   saptame tu dinatrayāt Par_3.9d	saptame tu dina-trayAt Par_3.9d
   saptame tv aindavadvayam Par_4.12d	saptame tu Endava-dvayam Par_4.12d
   saptāvarās tu ye darbhā Par_11.34c	sapta-avarAH tu ye darBA Par_11.34c
   sa bāhyaḥ pitṛdaivataiḥ Par_12.15d	sa bAhyaH pitR-dEvatEH Par_12.15d
   sa bhavet karmacāṇḍālo Par_4.21c	sa Bavet karma-cANxAlaH Par_4.21c
   sa bhaikṣabhuj japan nityaṃ Par_7.9a	sa BEkza-Buj japan nityam Par_7.9a
   samartho dharmam ācaret Par_7.37d	samarTaH Darmam Acaret Par_7.37d
   samutpannas tu yaḥ sutaḥ Par_11.23b	samutpannaH tu yaH sutaH Par_11.23b
   samudradarśanād vāpi Par_5.2c	samudra-darSanAt vA-api Par_5.2c
   samudrasetugamanaṃ Par_12.66(65)a	samudra-setu-gamanam Par_12.66(65)a
   sa mūḍhaḥ sa ca pāpiṣṭho Par_12.42(41)c	sa mUXaH sa ca pApizWaH Par_12.42(41)c
   sametā narakaṃ yayuḥ Par_8.20d	sametAH narakam yayuH Par_8.20d
   sa yāti narakaṃ ghoraṃ Par_9.59c	sa yAti narakam Goram Par_9.59c
   sarpavyāghrahateṣu ca Par_9.42b	sarpa-vyAGra-hatezu ca Par_9.42b
   sarpājagaraḍuṇḍubhān Par_6.9b	sarpa-ajagara-xuNxuBAn Par_6.9b
   sarva eva tu viprasya Par_12.21(20)c	sarve eva tu viprasya Par_12.21(20)c
   sarvakarmabahiṣkṛtaḥ Par_12.46(45)d	sarva-karma-bahizkRtaH Par_12.46(45)d
   sarvadevamayo vipro Par_6.63a	sarva-deva-mayaH vipraH Par_6.63a
   sarvadevamayo hi saḥ Par_1.48d	sarva-deva-mayaH hi saH Par_1.48d
   sarvapāpapraṇāśanam Par_12.[81(80)]b	sarva-pApa-praNASanam Par_12.[81(80)]b
   sarvapāpaiḥ pramucyate Par_2.11b	sarva-pApEH pramucyate Par_2.11b
   sarvapāpaiḥ pramucyate Par_2.13b	sarva-pApEH pramucyate Par_2.13b
   sarvaprāṇaiḥ samuddharet Par_8.34d	sarva-prANEH samudDaret Par_8.34d
   sarvabhakṣo 'pi daivatam Par_8.22d	sarva-BakzaH api dEvatam Par_8.22d
   sarvaśāstrāṇi jānatā Par_9.51d	sarva-SAstrANi jAnatA Par_9.51d
   sarvaṃ kāpilam eva vā Par_11.30b	sarvam kApilam eva vA Par_11.30b
   sarvaṃ kurvanty anugraham Par_6.54d	sarvam kurvanti anugraham Par_6.54d
   sarvaṃ gaṅgāsamaṃ toyaṃ Par_12.30(29)a	sarvam gaFgA-samam toyam Par_12.30(29)a
   sarvaṃ tad rākṣasān gacched Par_4.18c	sarvam tat rAkzasAn gacCet Par_4.18c
   sarvaṃ bhavati niśchidraṃ Par_6.53a	sarvam Bavati niSCidram Par_6.53a
   sarvān kāmān avāpnoti Par_6.55a	sarvAn kAmAn avApnoti Par_6.55a
   sarvān keśān samuddhṛtya Par_9.54c	sarvAn keSAn samudDRtya Par_9.54c
   sarve te narakaṃ yānti Par_1.57c	sarve te narakam yAnti Par_1.57c
   sarve te narakaṃ yānti Par_4.25c	sarve te narakam yAnti Par_4.25c
   sarve te niṣphalā jñeyāḥ Par_1.56c	sarve te nizPalAH jQeyAH Par_1.56c
   sarve te vṛṣalāḥ smṛtāḥ Par_12.32(31)d	sarve te vRzalAH smRtAH Par_12.32(31)d
   sarve te samabhāginaḥ Par_2.10b	sarve te sama-BAginaH Par_2.10b
   sarve dharmāḥ kṛte jātāḥ Par_1.16c	sarve DarmAH kRte jAtAH Par_1.16c
   sarve naṣṭāḥ kalau yuge Par_1.16d	sarve nazwAH kalO yuge Par_1.16d
   sarveṣām eva pāpānāṃ Par_11.55c	sarvezAm eva pApAnAm Par_11.55c
   sarveṣāṃ pātakaṃ bhavet Par_9.47d	sarvezAm pAtakam Bavet Par_9.47d
   sarveṣāṃ vanacāriṇām Par_6.15b	sarvezAm vana-cAriNAm Par_6.15b
   sarveṣāṃ śāvam āśaucaṃ Par_3.24a	sarvezAm SAvam ASOcam Par_3.24a
   sarve some pralīyante Par_12.24(23)c	sarve some pralIyante Par_12.24(23)c
   savanasthāṃ striyaṃ hatvā Par_12.74(73)c	savana-sTAm striyam hatvA Par_12.74(73)c
   savāsā jalam āviśet Par_12.28(27)d	sa-vAsAH jalam AviSet Par_12.28(27)d
   sa vipro vṛṣalīpatiḥ Par_7.8b	sa vipraH vRzalI-patiH Par_7.8b
   savratas tu śunā daṣṭo Par_5.4a	sa-vrataH tu SunA dazwaH Par_5.4a
   savrataḥ satrapūtaś ca Par_3.21a	sa-vrataH satra-pUtaH ca Par_3.21a
   saśikhaṃ tu nipātane Par_9.14d	sa-SiKam tu nipAtane Par_9.14d
   saśikhaṃ pavanaṃ kṛtvā Par_10.6a	sa-SiKam pavanam kRtvA Par_10.6a
   saśikhaṃ vapanaṃ kṛtvā Par_8.31a	sa-SiKam vapanam kRtvA Par_8.31a
   saśikhaṃ vapanaṃ kṛtvā Par_10.19a	sa-SiKam vapanam kRtvA Par_10.19a
   saśikhaṃ vapanaṃ kṛtvā Par_12.7c	sa-SiKam vapanam kRtvA Par_12.7c
   saśiṣyo 'gnyarkasaṃnibhaḥ Par_1.3b	sa-SizyaH agni-arka-saMniBaH Par_1.3b
   sastre caivātikṛcchrakam Par_9.24d	sa-stre ca-eva-atikRcCrakam Par_9.24d
   sahasraguṇiteṣv api Par_8.15d	sahasra-guNitezu api Par_8.15d
   sahasraśaḥ sametānāṃ Par_8.4c	sahasraSas sametAnAm Par_8.4c
   sahasraṃ tu japed devyāḥ Par_12.65(64)a	sahasram tu japet devyAH Par_12.65(64)a
   sa hiraṇyodakaiḥ snātvā Par_5.3c	sa hiraNya-udakEH snAtvA Par_5.3c
   sa hy ārdhika iti jñeyo Par_11.24c	sa hi ArDikaH iti jQeyaH Par_11.24c
   saṃkare samupasthite Par_11.55d	saMkare samupasTite Par_11.55d
   saṃkrāntau grahaṇe tathā Par_12.25(24)b	saMkrAntO grahaNe taTA Par_12.25(24)b
   saṃkrāmanti hi pāpāni Par_12.80(79)a	saMkrAmanti hi pApAni Par_12.80(79)a
   saṃgṛhṇīta kadācana Par_1.42b	saMgRhNIta kadAcana Par_1.42b
   saṃgrāmayajñe vidhivac ca dṛṣṭam Par_3.38d	saMgrAma-yajQe viDivat ca dRzwam Par_3.38d
   saṃgrāme prahatānāṃ ca Par_9.44a	saMgrAme prahatAnAm ca Par_9.44a
   saṃdhyāsnānaṃ japo homo Par_1.39a	saMDyA-snAnam japaH homaH Par_1.39a
   saṃdhyopāsanavarjitaḥ Par_3.6b	saMDyA-upAsana-varjitaH Par_3.6b
   saṃdhyopāsanavarjitāḥ Par_12.32(31)b	saMDyA-upAsana-varjitAH Par_12.32(31)b
   saṃdhyopāstyagnikāryayoḥ Par_8.3b	saMDyA-upAsti-agni-kAryayoH Par_8.3b
   saṃnidhau nopagacchati Par_4.15b	saMniDO na-upagacCati Par_4.15b
   saṃnyastaṃ brāhmaṇaṃ dṛṣṭvā Par_3.32a	saMnyastam brAhmaNam dRzwvA Par_3.32a
   saṃparkaṃ kurute dvijaḥ Par_3.25b	saMparkam kurute dvijaH Par_3.25b
   saṃparkaṃ na ca kurvanti Par_3.18c	saMparkam na ca kurvanti Par_3.18c
   saṃparkaṃ varjayed budhaḥ Par_3.26d	saMparkam varjayet buDaH Par_3.26d
   saṃparkāc ca nivṛttasya Par_3.19c	saMparkAt ca nivRttasya Par_3.19c
   saṃparkāj jāyate doṣo Par_3.26a	saMparkAt jAyate dozaH Par_3.26a
   saṃparkād duṣyate vipro Par_3.19a	saMparkAt duzyate vipraH Par_3.19a
   saṃpūjyante janair dvijāḥ Par_8.24d	saMpUjyante janEH dvijAH Par_8.24d
   saṃpūrṇaṃ tasya tat phalam Par_6.64b	saMpUrNam tasya tat Palam Par_6.64b
   saṃpraṇītaḥ śmaśāneṣu Par_8.22a	saMpraNItaH SmaSAnezu Par_8.22a
   saṃprāpto vaiśvadevānte Par_1.40c	saMprAptaH vESvadeva-ante Par_1.40c
   saṃbhārān śodhayet sarvān Par_10.37c	saMBArAn SoDayet sarvAn Par_10.37c
   saṃbhāṣāt saha bhojanāt Par_12.79(78)d	saMBAzAt saha BojanAt Par_12.79(78)d
   saṃvatsareṇa yat pāpaṃ Par_2.8c	saMvatsareNa yat pApam Par_2.8c
   saṃviśantīṣu saṃviśet Par_8.34b	saMviSantIzu saMviSet Par_8.34b
   saṃskārāt tu bhaved dāsaḥ Par_11.22c	saMskArAt tu Bavet dAsaH Par_11.22c
   saṃskārair mantrapurvakaiḥ Par_8.19d	saMskArEH mantra-purvakEH Par_8.19d
   saṃspṛśanti tu ye viprā Par_4.5a	saMspRSanti tu ye viprAH Par_4.5a
   sā tu naṣṭā pare loke Par_10.31a	sA tu nazwA pare loke Par_10.31a
   sā tu naṣṭā vinirdiṣṭā Par_10.30a	sA tu nazwA vinirdizwA Par_10.30a
   sādhvācārā na tāvat syād Par_7.17c	sADu-AcArA na tAvat syAt Par_7.17c
   sā nārī narakaṃ vrajet Par_4.17d	sA nArI narakam vrajet Par_4.17d
   sā mṛtā narakaṃ yāti Par_4.14c	sA mRtA narakam yAti Par_4.14c
   sā mṛtā labhate svargaṃ Par_4.31c	sA mRtA laBate svargam Par_4.31c
   sāmnaivaikena śudhyati Par_11.18d	sAmnA-eva-ekena SuDyati Par_11.18d
   sāyaṃ saṃgopanārthaṃ ca Par_9.27c	sAyam saMgopana-arTam ca Par_9.27c
   sāvitrīṃ tu sakṛj japet Par_6.22d	sAvitrIm tu sakRt japet Par_6.22d
   sāvitryāś cāpi gāyatryāḥ Par_8.3a	sAvitryAH ca-api gAyatryAH Par_8.3a
   sā śunī jāyate mṛtvā Par_4.16c	sA SunI jAyate mRtvA Par_4.16c
   sīdanti cāgnihotrāṇi Par_1.31a	sIdanti ca-agnihotrANi Par_1.31a
   sīsasyāgnau viśodhanam Par_7.25d	sIsasya-agnO viSoDanam Par_7.25d
   sukṣetre ca supātre ca hy Par_1.47c	su-kzetre ca su-pAtre ca hi Par_1.47c
   sukṣetre vāpayed bījaṃ Par_1.47a	su-kzetre vApayet bIjam Par_1.47a
   sukhāsīnaṃ mahātejā Par_1.8c	suKa-AsInam mahA-tejAH Par_1.8c
   sunardaṃ ṣaṇḍhavarjitam Par_2.4b	sunardam zaNXa-varjitam Par_2.4b
   supātre nikṣiped dhanam Par_1.47b	su-pAtre nikzipet Danam Par_1.47b
   surayā yan na lipyate Par_7.22d	surayA yat na lipyate Par_7.22d
   surāṇām arcanaṃ tathā Par_9.57d	surANAm arcanam taTA Par_9.57d
   surāpānaṃ sakṛt kṛtvā Par_12.76(75)c	surA-pAnam sakRt kRtvA Par_12.76(75)c
   surāmātreṇa saṃspṛṣṭaṃ Par_7.23a	surA-mAtreNa saMspRzwam Par_7.23a
   surāsaṃspṛṣṭam eva ca Par_12.2b	surA-saMspRzwam eva ca Par_12.2b
   suvarṇasalilena ca Par_6.73d	suvarNa-salilena ca Par_6.73d
   suvarṇaṃ pañcagavyaṃ ca Par_10.20c	suvarNam paQcagavyam ca Par_10.20c
   suvarṇāny api dakṣiṇā Par_4.13d	suvarNAni api dakziNA Par_4.13d
   suvarṇodakam abhyukṣya Par_6.73a	suvarNa-udakam aByukzya Par_6.73a
   sūkarī ca punaḥ punaḥ Par_4.16d	sUkarI ca punar punar Par_4.16d
   sūkṣmaṃ sthūlaṃ ca vistarāt Par_1.18b	sUkzmam sTUlam ca vistarAt Par_1.18b
   sūkṣmaṃ sthūlaṃ ca vistarāt Par_1.19b	sUkzmam sTUlam ca vistarAt Par_1.19b
   sūtakaṃ tu bhavet tasya Par_3.25c	sUtakam tu Bavet tasya Par_3.25c
   sūtakaṃ mātur eva syād Par_3.24c	sUtakam mAtuH eva syAt Par_3.24c
   sūtake mṛtake 'pi vā Par_11.16b	sUtake mRtake api vA Par_11.16b
   sūtikāṃ spṛśataś caiva Par_7.10a	sUtikAm spRSataH ca-eva Par_7.10a
   sūryamaṇḍalabhedinau Par_3.30b	sUrya-maNxala-BedinO Par_3.30b
   setubandhapathe bhikṣāṃ Par_12.66(65)c	setu-banDa-paTe BikzAm Par_12.66(65)c
   setuṃ dṛṣṭvā viśuddhātmā tv Par_12.71(70)c	setum dRzwvA viSudDa-AtmA tu Par_12.71(70)c
   setuṃ dṛṣṭvā samudrasya Par_12.71(70)a	setum dRzwvA samudrasya Par_12.71(70)a
   sevayā dīyate kalau Par_1.28d	sevayA dIyate kalO Par_1.28d
   sevādānaṃ tu niṣphalam Par_1.29d	sevA-dAnam tu nizPalam Par_1.29d
   so 'tithiḥ svargasaṃkramaḥ Par_1.58d	saH atiTiH svarga-saMkramaH Par_1.58d
   so 'tithiḥ svargasaṃgramaḥ Par_1.40d	saH atiTiH svarga-saMgramaH Par_1.40d
   so 'pi kṛcchradvayaṃ kuryād Par_6.17c	saH api kRcCra-dvayam kuryAt Par_6.17c
   somagrahe tathaivoktaṃ Par_12.30(29)c	soma-grahe taTA-eva-uktam Par_12.30(29)c
   somapānasamaṃ bhavet Par_12.31(30)d	soma-pAna-samam Bavet Par_12.31(30)d
   somamārgaṃ vilokya ca Par_7.10d	soma-mArgam vilokya ca Par_7.10d
   somasūryānilās tathā Par_12.21(20)b	soma-sUrya-anilAH taTA Par_12.21(20)b
   somaḥ kṣīre ghṛte raviḥ Par_11.39d	somaH kzIre GRte raviH Par_11.39d
   stambhanād rodha ucyate (p. 259) Par_9.5d	stamBanAt roDaH ucyate (p. 259) Par_9.5d
   stutibhiḥ samapūjayat Par_1.9d	stutiBiH samapUjayat Par_1.9d
   striyaṃ vā yas tu ghātayet Par_6.16b	striyam vA yaH tu GAtayet Par_6.16b
   striyo vṛddhāś ca bālāś ca Par_7.35c	striyaH vRdDAH ca bAlAH ca Par_7.35c
   strībālabhṛtyagovipreṣv Par_9.61c	strI-bAla-BRtya-go-viprezu Par_9.61c
   strībhiś ca puruṣāḥ kalau Par_1.30d	strIBiH ca puruzAH kalO Par_1.30d
   sthānāc calati bhāskaraḥ Par_3.32b	sTAnAt calati BAskaraH Par_3.32b
   sthāpayed agnisaṃnidhau Par_11.33d	sTApayet agni-saMniDO Par_11.33d
   sthirāṅgaṃ nīrujaṃ tṛptaṃ Par_2.4a	sTira-aFgam nIrujam tRptam Par_2.4a
   snātā rajasvalā yā tu Par_7.15c	snAtA rajasvalA yA tu Par_7.15c
   snātuṃ yāntaṃ dvijaṃ sarve Par_12.12a	snAtum yAntam dvijam sarve Par_12.12a
   snāto bhavati mānavaḥ Par_12.11d	snAtaH Bavati mAnavaH Par_12.11d
   snātvā japet sa gāyatrīṃ Par_5.1c	snAtvA japet sa gAyatrIm Par_5.1c
   snātvā tiṣṭhann ahaḥ śeṣam Par_11.52a	snAtvA tizWan ahar Sezam Par_11.52a
   snātvā pītvā kṣute supte Par_12.18a	snAtvA pItvA kzute supte Par_12.18a
   snātvā pītvā śucir bhavet Par_12.4d	snAtvA pItvA SuciH Bavet Par_12.4d
   snātvā yas tūtsṛjen malam Par_12.15b	snAtvA yaH tu-utsRjet malam Par_12.15b
   snātvāvalokayet sūryam Par_12.55(54)c	snAtvA-avalokayet sUryam Par_12.55(54)c
   snātvā sacailaṃ spṛṣṭvāgniṃ Par_3.42c	snAtvA sa-cElam spRzwvA-agnim Par_3.42c
   snātvā snātvā spṛśed enaṃ Par_7.20a	snAtvA snAtvA spRSet enam Par_7.20a
   snānadānādikarmasu Par_12.30(29)d	snAna-dAna-Adi-karmasu Par_12.30(29)d
   snānam eva rajasvalā Par_12.53(52)b	snAnam eva rajasvalA Par_12.53(52)b
   snānam eva vidhīyate Par_12.1d	snAnam eva viDIyate Par_12.1d
   snānasaṃdhyārcanādibhiḥ Par_10.40b	snAna-saMDyA-arcana-AdiBiH Par_10.40b
   snānaṃ kṛtvā viśudhyati Par_7.11b	snAnam kRtvA viSuDyati Par_7.11b
   snānaṃ tīrthaṃ japas tapaḥ Par_6.63d	snAnam tIrTam japaH tapaH Par_6.63d
   snānaṃ dānaṃ japo homaḥ Par_12.23(22)a	snAnam dAnam japaH homaH Par_12.23(22)a
   snānaṃ dvādaśasaṃkhyayā Par_12.63(62)d	snAnam dvAdaSa-saMKyayA Par_12.63(62)d
   snānāni pañca puṇyāni Par_12.9a	snAnAni paQca puNyAni Par_12.9a
   snehasyotpavanena ca Par_6.75b	snehasya-utpavanena ca Par_6.75b
   snehād vā bhaktavatsala Par_1.11d	snehAt vA Bakta-vatsala Par_1.11d
   snehād vā yadi vā bhayāt Par_4.1b	snehAt vA yadi vA BayAt Par_4.1b
   snehād vā yadi vā lobhād Par_6.56c	snehAt vA yadi vA loBAt Par_6.56c
   snehābhyaṅgas tu pāṇinā Par_9.20b	sneha-aByaFgaH tu pANinA Par_9.20b
   sneho vā goraso vāpi Par_6.74c	snehaH vA gorasaH vA-api Par_6.74c
   sparśe snānaṃ vidhīyate Par_7.21d	sparSe snAnam viDIyate Par_7.21d
   spṛṣṭvā rajasvalānyonyaṃ Par_7.11c	spRzwvA rajasvalA-anyonyam Par_7.11c
   spṛṣṭvā rajasvalānyonyaṃ Par_7.12c	spRzwvA rajasvalA-anyonyam Par_7.12c
   spṛṣṭvā rajasvalānyonyaṃ Par_7.13c	spRzwvA rajasvalA-anyonyam Par_7.13c
   spṛṣṭvā rajasvalānyonyaṃ Par_7.14c	spRzwvA rajasvalA-anyonyam Par_7.14c
   spṛṣṭvā voḍhvā ca dagdhvā ca Par_5.11c	spRzwvA vA-UXvA ca dagDvA ca Par_5.11c
   smṛto dviprastha āḍhakaḥ Par_6.70d	smRtaH dvi-prasTaH AXakaH Par_6.70d
   sravate vāpi yoṣitaḥ Par_3.15b	sravate vA-api yozitaH Par_3.15b
