   [I. dānapāramitā]	[I. dAna pAramitA]
   tat kiṃ manyase mahārājāpi nu sa puruṣaḥ paṇḍitajātīyo bhavet | yo 'sau	tat kim manyase mahA rAjA api nu sa puruzaH paNxita jAtIyaH Bavet | yaH asO
   svapnāntare śatrum abhiniviśet | śatruṇā vā sārdhaṃ saṃgrāmaṃ | āha | no	svapna antare Satrum aBiniviSet | SatruNA vA sArDam saMgrAmam | Aha | no
   hīdaṃ bhagavan | tat kasya hetoḥ | atyantatayā hi bhagavan svapne śatrur	hi idam Bagavan | tat kasya hetoH | atyanta tayA hi Bagavan svapne SatruH 
   na saṃvidyate kutaḥ punas tena sārdhaṃ saṃgrāmaḥ | anyatra yāvad eva sa	na saMvidyate kutas punar tena sArDam saMgrAmaH | anyatra yAvat eva sa
   puruṣo vighātasya klamathasya ca bhāgī syāt yas tam abhiniviśet | bhagavān	puruzaH viGAtasya klamaTasya ca BAgI syAt yaH tam aBiniviSet | BagavAn
   āha | evam eva mahārāja bālo 'śrutavān pṛthagjanaś cakṣuṣā rūpāṇi dṛṣṭvā	Aha | evam eva mahA rAja bAlaH aSrutavAn pRTagjanaH cakzuzA rUpANi dRzwvA
   daurmanasyāsthānīyāny abhiniviśate 'bhiniviṣṭaḥ san pratihanyate |	dOrmanasya AsTAnIyAni aBiniviSate aBinivizwaH san pratihanyate |
   pratihataḥ saṃtuṣyati | duṣṭo doṣajaṃ karmābhisaṃskarotīti pūrvavat | tad	pratihataH saMtuzyati | duzwaH doza jam karma aBisaMskaroti iti pUrvavat | tat 
   yathāpi nāma mahārāja puruṣah suptaḥ svapnāntare piśācena paripātyamāno	yaTA api nAma mahA rAja puruzah suptaH svapna antare piSAcena paripAtyamAnaH 
   bhītaḥ saṃoham āpadyate | sa śayitavibuddhas taṃ piśācaṃ taṃ ca saṃmoham	BItaH saMoham Apadyate | sa Sayita vibudDaH tam piSAcam tam ca saMmoham
   anusmaret | tat kiṃ manyase mahārāja saṃvidyante svapne piśācaḥ saṃmoho vā	anusmaret | tat kim manyase mahA rAja saMvidyante svapne piSAcaH saMmohaH vA
   | yāvad evam eva mahārāja bālo 'śrutavān pṛthagjanaś cakṣuṣā rūpāṇi dṛṣṭvā	| yAvat evam eva mahA rAja bAlaH aSrutavAn pRTagjanaH cakzuzA rUpANi dRzwvA
   upekṣāsthānīyāny abhiniviśate 'bhiniviṣṭaḥ san muhyati mūḍho mohajaṃ	upekzA sTAnIyAni aBiniviSate aBinivizwaH san muhyati mUXaH moha jam
   karmābhisaṃskarotīti pūrvavat | tad yathāpi nāma mahārāja puruṣaḥ suptaḥ	karma aBisaMskaroti iti pUrvavat | tat yaTA api nAma mahA rAja puruzaH suptaH
   svapnāntare janapadakalyāṇyā gāyantyā madhuraṃ gītasvaraṃ madhuraṃ ca	svapna antare janapada kalyANyAH gAyantyA maDuram gIta svaram maDuram ca
   tantrīsvaraṃ ca śṛṇuyāt | sā tena gītavāditena paricārayet | sa	tantrI svaram ca SRNuyAt | sA tena gIta vAditena paricArayet | sa
   śayitavibuddhas tad eva gītavāditam anusmaret | tat kiṃ manyase mahārājāpi	Sayita vibudDaH tat eva gIta vAditam anusmaret | tat kim manyase mahA rAjA api
   nu sa puruṣaḥ paṇḍitajātīyaḥ svapnāntare janapadakalyāṇyā gītavāditam	nu sa puruzaH paNxita jAtIyaH svapna antare janapada kalyANyAH gIta vAditam
   abhiniviśet | āha | no hīdaṃ bhagavan | bhagavān āha | tat kasya hetoḥ |	aBiniviSet | Aha | no hi idam Bagavan | BagavAn Aha | tat kasya hetoH |
   atyantatayā hi bhagavan svapnāntare janapadakalyāṇī strī na saṃvidyate	atyanta tayA hi Bagavan svapna antare janapada kalyANI strI na saMvidyate
   nopalabhyate | kutaḥ punar asyā gītavāditaṃ | anyatra yāvad eva sa puruṣo	na upalaByate | kutas punar asyAH gIta vAditam | anyatra yAvat eva sa puruzaH 
   vighātasya klamathasya ca bhāgī syāt | yas tad abhiniviśet | bhagavān āha	viGAtasya klamaTasya ca BAgI syAt | yaH tat aBiniviSet | BagavAn Aha
   | evam eva mahārāja bālo 'śrutavān pṛthagjanaḥ śrotreṇa śabdān śrutvā	| evam eva mahA rAja bAlaH aSrutavAn pRTagjanaH SrotreNa SabdAn SrutvA
   saumanasyasthānīyāny abhiniviśate | iti pūrvavat | evaṃ gandhādiṣu tridhā	sOmanasya sTAnIyAni aBiniviSate | iti pUrvavat | evam ganDa Adizu triDA
   tridhā veditavyam || pe ||	triDA veditavyam || pe ||
   atra mahārāja mānasaṃ niveśayitavyaṃ | kim ity ahaṃ sadevakasya lokasya	atra mahA rAja mAnasam niveSayitavyam | kim iti aham sa devakasya lokasya
   cakṣur bhaveyaṃ | ulkā pradīpa ālokabhūtaḥ | kūlaṃ naus tīrthaṃ | nāyakaḥ	cakzuH Baveyam | ulkA pradIpaH Aloka BUtaH | kUlam nOH tIrTam | nAyakaH
   pariṇāyakaḥ daiśikaḥ sārthavāhaḥ | puro javeyaṃ | mukto mocayeyam āśvasta	pariNAyakaH dESikaH sArTavAhaH | puras javeyam | muktaH mocayeyam ASvasta
   āśvāsayeyaṃ parinirvṛttaḥ parinirvāpayeyam iti | pūrvā hi koṭir mahārāja	ASvAsayeyam parinirvRttaH parinirvApayeyam iti | pUrvA hi kowiH mahA rAja
   na prajñāyate aiśvaryādhipatyānām anubhūya mānānāṃ | iti hi mahārāja	na prajQAyate ESvarya ADipatyAnAm anuBUya mAnAnAm | iti hi mahA rAja
   māyopamānīndriyāṇy atṛptāny atarṣaṇīyāni | svapnopamā viṣayā atarṣakā	mAyA upamAni indriyANi atRptAni atarzaNIyAni | svapna upamA vizayA atarzakA
   atṛptikarāḥ ||	atRpti karAH ||
   atrānnantayaśaścakravartinaḥ kathā svargāc ca patite tasmin sarājakaiḥ	atra annanta yaSaH cakravartinaH kaTA svargAt ca patite tasmin sa rAjakEH
   pauraiḥ parivṛta evaṃ paṭhyate | tad yathāpi nāma mahārāja sarpirmaṇḍo vā	pOrEH parivRtaH evam paWyate | tat yaTA api nAma mahA rAja sarpiH maNxaH vA
   navanītamaṇḍo vā taptāyāṃ vālukāyām upanikṣipto 'vasīdati | na saṃtiṣṭhate	navanItam aNxaH vA taptAyAm vAlukAyAm upanikziptaH avasIdati | na saMtizWate
   | evam eva mahārājānnantayaśā avasīdati na saṃtiṣṭhate | atha rājā	| evam eva mahA rAjAn nanta yaSAH avasIdati na saMtizWate | aTa rAjA
   priyaṃkaro rājānam annantayaśasaṃ tathāvasīdantaṃ | upasaṃkramyaitad	priyaMkaraH rAjAnam annanta yaSasam taTA avasIdantam | upasaMkramya etat 
   avocat | kiṃ vayaṃ mahārāja lokasya vyākuryāmaḥ | kiṃ rājño 'nnantayaśasaḥ	avocat | kim vayam mahA rAja lokasya vyAkuryAmaH | kim rAjQaH annanta yaSasaH
   subhāṣitam iti | sa āha | vaktavyaṃ | mahārājānantayaśāś caturdvīpeṣu	suBAzitam iti | saH Aha | vaktavyam | mahA rAja anantayaSAH catur dvIpezu
   rājyaiśvaryaṃ kārayitvābandhyamanorathatām anubhūya sarvadrumākālaphalatāṃ	rAjya ESvaryam kArayitvA banDya manoraTa tAm anuBUya sarva drumAkAla Pala tAm
   sarvopadravaprasrabdhisarvasatvābandhyamanorathatāṃ gandhodakavarṣaṃ	sarva upadrava prasrabDi sarva satva AbanDya manoraTa tAm ganDa udaka varzam
   hiraṇyavarṣaṃ suvarṇavarṣaṃ sarvopakaraṇavarṣaṃ cānubhūya caturo	hiraNya varzam suvarNa varzam sarva upakaraNa varzam ca anuBUya caturaH 
   mahādvīpān adhyāvasitvā śakrasyārdhāsanam ākramyātīcchayā na mukto 'tṛpta	mahA dvIpAn aDyAvasitvA Sakrasya arDa Asanam Akramya ati icCayA na muktaH atRpta
   eva kāmaiḥ kālagata iti | evaṃ tvaṃ mahārāja vyākuryā ity evam uktvā ca	eva kAmEH kAlagataH iti | evam tvam mahA rAja vyAkuryAH iti evam uktvA ca
   rājānnantayaśāḥ kālam akārṣīt | pe ||	rAjAnnantayaSAH kAlam akArzIt | pe ||
   tasmāt tarhi te mahārāja marīcikāyām udakasvabhāvo nābhūn na bhaviṣyati na	tasmAt tarhi te mahA rAja marIcikAyAm udaka svaBAvaH na aBUt na Bavizyati na
   caitarhi vidyate | evam eva mahārāja rūpavedanāsaṃjñā saṃskāravijñanāṃ	ca etarhi vidyate | evam eva mahA rAja rUpa vedanA saMjQA saMskAra vijQanAm
   svabhāvo nābhūn na bhaviṣyati na caitarhi vidyatae ity ādi ||	svaBAvaH na aBUt na Bavizyati na ca etarhi vidyatae iti Adi ||
   punar apy uktaṃ | etāvac caitat jñeyam | yad uta saṃvṛtiḥ paramārthaś ca |	punar api uktam | etAvat ca etat jQeyam | yat uta saMvRtiH parama arTaH ca |
   tac ca bhagavatā śūnyataḥ sudṛṣṭaṃ suviditaṃ susākṣātkṛtaṃ | tena sa	tat ca BagavatA SUnyataH su dRzwam su viditam su sAkzAt kRtam | tena sa
   sarvajña ity ucyate | tatra saṃvṛtir lokapracāratas tathāgatena dṛṣṭā |	sarvajQaH iti ucyate | tatra saMvRtiH loka pracArataH taTAgatena dRzwAH |
   yaḥ punaḥ paramārthaḥ so 'nnabhilāpyaḥ | annājñeyo 'vijñeyo 'deśito	yaH punar parama arTaH saH anna BilApyaH | anna ajQeyaH avijQeyaH adeSitaH 
   'prakāśito yāvad akriyo yāvan na lābho nālābho na sukhaṃ na duṣkhaṃ na	aprakASitaH yAvat akriyaH yAvat na lABaH na alABaH na suKam na duzKam na
   yaśo nāyaśaḥ | na rūpaṃ nārūpam ity ādi ||	yaSaH na ayaSaH | na rUpam na arUpam iti Adi ||
   tatra jinena jagasya kṛtena saṃvṛti deśita lokahitāya | yena jagat	tatra jinena jagasya kRtena saMvRti deSita loka hitAya | yena jagat 
   sugatasya sakāśe saṃjanayīha prasādasukhārthe ||	sugatasya sakASe saMjanayi iha prasAda suKa arTe ||
   saṃvṛti prajñamayī narasiṃhaḥ ṣaḍgatayo bhaṇi satvagaṇānāṃ | narakatiraś	saMvRti prajQa mayI narasiMhaH zaz gatayaH BaNi satva gaNAnAm | naraka tiraS
   ca tathaiva ca pretān āsurakāya narāṃś ca marūṃś ca ||	ca taTA eva ca pretAn AsurakAya narAn ca marUn ca ||
   nīcakulāṃs tatha uccakulāṃś ca āḍhyakulāṃś ca daridrakulāṃś cety ādi ||	nIca kulAn taTaH uccakulAn ca AXya kulAn ca daridra kulAn ca iti Adi ||
   punaś coktaṃ | katama eṣa dharmo yo bhagavatā vyākṛto 'nnuttarāyāṃ	punar ca uktam | katamaH eza DarmaH yaH BagavatA vyAkRtaH annuttarAyAm
   samyaksaṃbodhau | kiṃ rūpam uta vedanā āho śvit saṃjñā utāho saṃskārā atha	samyaksaMboDO | kim rUpam uta vedanA Aho Svit saMjQA uta aho saMskArAH aTa
   vijñānaṃ bhagavatā vyākṛtam annuttarāyāṃ samyaksaṃbodhāv iti | teṣām etad	vijQAnam BagavatA vyAkRtam annuttarAyAm samyaksaMboDO iti | tezAm etat 
   abhūt | na rūpaṃ yāvan na vijñānaṃ bhagavatā vyākṛtam annuttarāyāṃ	aBUt | na rUpam yAvat na vijQAnam BagavatA vyAkRtam annuttarAyAm
   samyaksaṃbodhau | tat kasya hetoḥ | annutpādo hi rūpam annutpādo bodhiḥ |	samyaksaMboDO | tat kasya hetoH | annutpAdaH hi rUpam annutpAdaH boDiH |
   tat katham annutpādo 'nnutpādam abhisaṃbudhyate | evaṃ yāvad vijñānam ||	tat kaTam annutpAdaH annutpAdam aBisaMbuDyate | evam yAvat vijQAnam ||
   pe ||	pe ||
   tad evam annupalabhyamāneṣu sarvadharmeṣu katamo 'tra buddhaḥ | katamā	tat evam annupalaByamAnezu sarva Darmezu katamaH atra budDaH | katamA
   bodhiḥ | katamo bodhisatvaḥ | katamad vyākaraṇam | śūnyaṃ hi rūpaṃ rūpeṇa	boDiH | katamaH boDisatvaH | katamat vyAkaraNam | SUnyam hi rUpam rUpeNa
   yāvad vijñānaṃ || pe ||	yAvat vijQAnam || pe ||
   yāvad eva vyavahāramātram etat | nāmadheymātraṃ saṃketamātraṃ	yAvat eva vyavahAra mAtram etat | nAmaDeymAtram saMketa mAtram
   saṃvṛtimātraṃ prajñaptimātraṃ | nālam atra paṇḍitair abhiniveśa	saMvRti mAtram prajQapti mAtram | na alam atra paNxitEH aBiniveSa
   utpādayitavya iti ||	utpAdayitavyaH iti ||
   tathātraivāhuḥ | nirmāṇaratayo devā yathā vayaṃ bhagavan | bhagavato	taTA atra eva AhuH | nirmANa ratayaH devAH yaTA vayam Bagavan | BagavataH 
   bhāṣitasyārtham ājānīmaḥ | sarvadharmā bhūtakoṭir annantakoṭir	BAzitasya arTam AjAnImaH | sarva DarmA BUtakowiH annanta kowiH 
   annāvaraṇakoṭir apratiṣṭhitakoṭir ity ādi ||	anna AvaraNa kowiH apratizWita kowiH iti Adi ||
   sarvadharmā bhagavan bodhiḥ | svabhāvavirahitā boddhavyāḥ | antaśa	sarva DarmAH Bagavan boDiH | svaBAva virahitAH bodDavyAH | antaSa
   ānantaryāṇy api bodhiḥ | tat kasya hetoḥ | aprakṛtikā hi bhagavan bodhir	AnantaryANi api boDiH | tat kasya hetoH | aprakRtikAH hi Bagavan boDiH 
   aprakṛtikāni ca pañcānantaryāṇi | tenocyate ānantaryāṇi bodhir iti | tathā	aprakRtikAni ca paQca AnantaryANi | tena ucyate AnantaryANi boDiH iti | taTA
   vihasyante bhagavan ye kecit parinirvātukāmāḥ | tat kasya hetoḥ | yadi	vihasyante Bagavan ye kecid parinirvAtu kAmAH | tat kasya hetoH | yadi
   kaścit saṃsārapratipanno bhavet | sa nirvāṇaṃ paryeṣatae iti ||	kaScid saMsAra pratipannaH Bavet | sa nirvANam paryezatae iti ||
   punar uktaṃ | bhūtakoṭir iti bhagavan yad uktaṃ nirmāṇaratibhir devais	punar uktam | BUtakowiH iti Bagavan yat uktam nirmANa ratiBiH devEH 
   tatra vayaṃ bhūtam api nopalabhāmahe | kiṃ punar asya koṭim | tat kasya	tatra vayam BUtam api na upalaBAmahe | kim punar asya kowim | tat kasya
   hetoḥ | yo hi kaścid bhagavan bhūtam upalabhate | koṭim api sa	hetoH | yaH hi kaScid Bagavan BUtam upalaBate | kowim api sa
   tasyopalabhate dvaye cāsau caratīti ||	tasya upalaBate dvaye ca asO carati iti ||
   tathātraiva sahāṃpatibrahmaṇā śāstā stutaḥ ||	taTA atra eva sahAMpati brahmaNA SAstA stutaH ||
   supiti yatha naraḥ kṣudhābhibhūtaḥ śatarasabhojanabhuñjino ca tṛptaḥ | na	supiti yaTa naraH kzuDA aBiBUtaH Sata rasa Bojana BuQjinaH ca tRptaH | na
   pi ca kṣudha na bhojanaṃ na satvaḥ supina yathaiva nidṛṣṭa sarvadharmāḥ ||	pi ca kzuDa na Bojanam na satvaH supina yaTA eva nidRzwa sarva DarmAH ||
   bhaṇi naru paṭhane manojñavācaṃ priyu bhavatī na ca saṃkramo 'sti vācaṃ |	BaNi na ru paWane manojQa vAcam priyu BavatI na ca saMkramaH asti vAcam |
   na ca vacana cāsya rakta vācām upalabhase na ca tatra saṃśayo 'sti ||	na ca vacana ca asya rakta vAcAm upalaBase na ca tatra saMSayaH asti ||
   śruṇati yatha manojña vīṇaśabdaṃ madhura na cāsti svabhāvataḥ sa śabdaḥ |	SruNati yaTa manojQa vINa Sabdam maDura na ca asti svaBAvataH sa SabdaH |
   tatha imi vidu skandha prekṣamāṇo na labhati bhāvu svabhāvataḥ sumedhāḥ ||	taTaH imi vidu skanDa prekzamANaH na laBati BAvu svaBAvataH sumeDAH ||
   pe ||	pe ||
   yatha naru iha śaṅkhaśabda śrutvā vimṛśati vidva kuto ya prādubhūtaḥ | na	yaTa naru iha SaFKa Sabda SrutvA vimRSati vidva kutas yaH prAdu BUtaH | na
   ca labhati svabhāva śūnyabhāvaṃ tatha tv aya dṛṣṭa narendra sarvadharmāḥ	ca laBati svaBAva SUnya BAvam taTa tu aya dRzwa narendra sarva DarmAH
   yatha naru iha bhojanaṃ praṇītaṃ vimṛśati aṅgaśu siddham asvabhāvam |	yaTa naru iha Bojanam praNItam vimRSati aFga Su sidDam asvaBAvam |
   yatha rasu tatha te 'ṅga tatsvabhāvās tatha tv aya dṛṣṭa maharṣi	yaTa rasu taTa te aFga tad svaBAvAH taTa tu aya dRzwa mahA Rzi
   sarvadharmāḥ ||	sarva DarmAH ||
   yatha naru iha indrayaṣṭi dṛṣṭvā vimṛśati aṅgaśu niḥsvabhāva śūnyam |	yaTa naru iha indra yazwi dRzwvA vimRSati aFga Su niHsvaBAva SUnyam |
   vimṛśatu yatha yaṣṭi te 'ṅga śūnyās tatha tv aya dṛṣṭa maharṣi	vimRSatu yaTa yazwi te aFga SUnyAH taTa tu aya dRzwa mahA Rzi
   sarvadharmāḥ ||	sarva DarmAH ||
   puravara yatha aṅgaśo vibhajya nagaru svabhāvatu nāmato na labdham | yatha	pura vara yaTa aFgaSas viBajya nagaru svaBAvatu nAmataH na labDam | yaTa
   nagara tathāṅga sarvaśūnyās tatha tv aya dṛṣṭa narendra sarvadharmāḥ ||	nagara taTA aFga sarva SUnyAH taTa tu aya dRzwa narendra sarva DarmAH ||
   mudita yatha narāga mukta bherī harṣa janeti svabhāvaśūnyaśabdā | svaru	mudita yaTa na rAga mukta BerI harza jana iti svaBAva SUnya SabdAH | svaru
   yatha tatha te 'ṅga tatsvabhāvaṃ tatha tv aya dṛṣṭa maharṣi sarvadharmāḥ	yaTa taTa te aFga tad svaBAvam taTa tu aya dRzwa mahA Rzi sarva DarmAH
   ... ... hanatu yatha narasya tāṃ hi bherīṃ pratighu na vidyati nāpi	... ... hanatu yaTa narasya tAm hi BerIm pratiGu na vidyati na api
   snehadhātuḥ | vimṛśatu bherīva te 'ṅga tatsvabhāvās tatha tv aya dṛṣṭa	sneha DAtuH | vimRSatu BerI iva te aFga tad svaBAvAH taTa tu aya dRzwa
   narendra sarvadharmāḥ ||	narendra sarva DarmAH ||
   hanatu yatha narasya tāṃ hi bherīṃ svaru na sa manyati rāmayāmi lokam |	hanatu yaTa narasya tAm hi BerIm svaru na sa manyati rAmayAmi lokam |
   svaru yatha tatha te 'ṅga tatsvabhāvāḥ tatha tv aya dṛṣṭa narendra	svaru yaTa taTa te aFga tad svaBAvAH taTa tu aya dRzwa narendra
   sarvadharmāḥ ||	sarva DarmAH ||
   hanatu yatha narasya tasya bheryāṃ na pi svaru aṅgaśu nāpi sa svatantraḥ |	hanatu yaTa narasya tasya BeryAm na pi svaru aFga Su na api sa svatantraH |
   svaru yatha tatha te 'ṅga tatsvabhāvās tatha tv aya dṛṣṭa maharṣi	svaru yaTa taTa te aFga tad svaBAvAH taTa tu aya dRzwa mahA Rzi
   sarvadharmāḥ ||	sarva DarmAH ||
   punaś coktaṃ | satvārambaṇanāyakena kathitā maitrī śubhābhāvanā | satvaś	punar ca uktam | satva ArambaNa nAyakena kaTitA mEtrI SuBa aBAvanA | satvaH 
   cāsya vibhāvitaḥ suviditaṃ niḥsatva sarvaṃ jagat | tatraivaṃ dvipadottamo	ca asya viBAvitaH su viditam niHsatva sarvam jagat | tatra evam dvipada uttamaH 
   'kaluṣo niḥsaṃśayā mānasaḥ | tena tvā sugataṃ vibhāvitamatiṃ pūjema	akaluzaH niHsaMSayAH mAnasaH | tena tvA sugatam viBAvita matim pUjema
   pūjāriham ||	pUjA ariham ||
   duṣkhaṃ cā sugatā [doubtful] daśaddiśigataṃ naivaṃ parīdṛśyate | satveṣū	duzKam cA sugatA [doubtful] daSat diSi gatam na evam parIdRSyate | satvezu u
   karuṇā ca nāma bhaṇitā devātideva tvayā | evaṃ bho jinapuṅgavā jinamataṃ	karuNA ca nAma BaNitA devAtideva tvayA | evam Bo jina puFgavA jina matam
   ajñāta yathāvataḥ | tena tvāṃ dvipadottamā naravarāḥ pūjema pūjāriham ||	ajQAta yaTAvataH | tena tvAm dvipada uttamAH nara varAH pUjema pUjA ariham ||
   satvānaiva na duṣkhaṃ śākyamuninā yasyāpanītaṃ dukhaṃ | jātās te muditāś	satvAnA eva na duzKam SAkya muninA yasya apanItam duKam | jAtAH te muditAH 
   ca hṛṣṭamanaso 'ratīś ca tair noditāḥ ||	ca hRzwa manasaH aratIH ca tEH na uditAH ||
   evaṃ buddhanayaṃ acintiyanayaṃ yāthāvato jānato | tasmāt pūjiya tvāṃ	evam budDanayam acintiyanayam yATAvataH jAnataH | tasmAt pUjiya tvAm
   narāṇa pravaraṃ prāyema prāptaṃ phalaṃ ||	narANa pravaram prAyema prAptam Palam ||
   kāyaḥ kāyavivarjitena muninā nāsādito mārgatāṃ | naivaṃ te smṛtināyakā na	kAyaH kAya vivarjitena muninA na AsAditaH mArga tAm | na evam te smRti nAyakAH na
   bhaṇitā naiva pramuṣṭā smṛtiḥ ||	BaNitA na eva pramuzwA smRtiH ||
   uktaṃ co sugatena bhāvapathimāḥ kāyaṃ gatā bhāvanāḥ | evaṃ buddhanayaṃ	uktam caH sugatena BAva paTimAH kAyam gatAH BAvanAH | evam budDanayam
   viditva sugatā pūjā kṛtā tāyinaḥ ||	viditva sugatA pUjA kRtA tAyinaH ||
   bhāvethaḥ śamathaṃ vipaśyanam ayaṃ mārgaṃ dukhā śāntaye | śāntās te	BAveTaH SamaTam vipaSyanam ayam mArgam duKAH SAntaye | SAntAH te
   bhagavan savāsanamalā yehī jagat kliṣyate ||	Bagavan sa vAsana malA yehI jagat klizyate ||
   śamathaś cātha vipaśyanā na ca malā sarve 'ti śūnyā mune | asmin devagaṇā	SamaTaH ca aTa vipaSyanA na ca malA sarve ati SUnyA mune | asmin deva gaNA
   na kāṅkṣa kvacanā pūjentu tvāṃ nāyakaṃ | ity ādi ||	na kAFkza kvacanA pUjentu tvAm nAyakam | iti Adi ||
   punar uktaṃ | śūnyaṃ hi cakṣuś cakṣuḥsvabhāvena | yasya ca dharmasya	punar uktam | SUnyam hi cakzuH cakzuH svaBAvena | yasya ca Darmasya
   svabhāvo na vidyate so 'vastukaḥ | yo 'vastukaḥ so 'pariniṣpannaḥ yo	svaBAvaH na vidyate saH avastukaH | yaH avastukaH saH aparinizpannaH yaH 
   'pariniṣpannaḥ sa notpadyate na nirudhyate | pe ||	aparinizpannaH sa na utpadyate na niruDyate | pe ||
   yat triṣv apy adhvasu nopalabhyate na tac cakṣur nendriyaṃ kathaṃ tasya	yat trizu api aDvasu na upalaByate na tat cakzuH na indriyam kaTam tasya
   vyavahāro jñeyaḥ | tad yathāpi nāma riktamuṣṭir alīkaḥ | yāvad eva	vyavahAraH jQeyaH | tat yaTA api nAma rikta muzwiH alIkaH | yAvat eva
   nāmamātraṃ no tu khalu paramārthato riktam upalabhyate na muṣṭiḥ | evaṃ	nAma mAtram no tu Kalu paramArTataH riktam upalaByate na muzwiH | evam
   cakṣuś cendriyaṃ ca rikte muṣṭisadṛśam alīkam asadbhūtaṃ tucchaṃ	cakzuH ca indriyam ca rikte muzwi sadRSam alIkam asat BUtam tucCam
   mṛṣāmoṣadharme bālopalāpanaṃ mūrkhasaṃmohanam yāvad eva nāmamātram ||	mRzAmoza Darme bAla upalApanam mUrKa saMmohanam yAvat eva nAma mAtram ||
   punar atraivāha | svapnāntare mahāvṛṣṭir āsravāṇāṃ pravartanā | darśitā te	punar atra eva Aha | svapna antare mahA vRzwiH AsravANAm pravartanA | darSitA te
   mahāvīra āsravotpattipaṇḍitāḥ ||	mahA vIraH Asrava utpatti paNxitAH ||
   svapne yathā śiraśchedo dṛṣṭas te āsravakṣayaḥ | darśitaḥ sarvavijñānāṃ	svapne yaTA SiraH CedaH dRzwaH te Asrava kzayaH | darSitaH sarva vijQAnAm
   sarvadarśin namo 'stu te ||	sarva darSin namaH astu te ||
