   akalādhipabhṛtyadarśitaṃ BhKir_3.59a	akala-aDipa-BRtya-darSitam BhKiH-_3.59a
   sa kiṃsakhā sādhu na śāsti yo 'dhipaṃ BhKir_1.5a	sa kiMsaKA sADu na SAsti yaH aDipam BhKiH-_1.5a
   sakṛd vikṛṣṭād atha kārmukān muneḥ BhKir_14.53c	sakRt vikRzwAt aTa kArmukAt muneH BhKiH-_14.53c
   sakṛd vikṛṣṭā vitateva maurvī BhKir_16.20b	sakRt vikRzwA vitatA-iva mOrvI BhKiH-_16.20b
   saktiṃ lavād apanayaty anile latānāṃ BhKir_5.46a	saktim lavAt apanayati anile latAnAm BhKiH-_5.46a
   sa kṣattriyas trāṇasahaḥ satāṃ yas BhKir_3.48a	sa kzattriyaH trANa-sahaH satAm yaH BhKiH-_3.48a
   sa khaṇḍanaṃ prāpya parād amarṣavān BhKir_17.60a	sa KaNxanam prApya parAt amarzavAn BhKiH-_17.60a
   sakhā sa yuktaḥ kathitaḥ kathaṃ tvayā BhKir_14.21a	saKA sa yuktaH kaTitaH kaTam tvayA BhKiH-_14.21a
   sakhi dayitam ihānayeti sā māṃ BhKir_10.47a	saKi dayitam iha-Anaya-iti sA mAm BhKiH-_10.47a
   sakhījanasyāpi vilokanīyatām BhKir_8.45d	saKI-janasya-api vilokanIya-tAm BhKiH-_8.45d
   sakhījanaṃ prema gurūkṛtādaraṃ BhKir_8.11a	saKI-janam prema gurUkRta-Adaram BhKiH-_8.11a
   sakhīn iva prītiyujo 'nujīvinaḥ BhKir_1.10a	saKIn iva prIti-yujaH anujIvinaH BhKiH-_1.10a
   sakhīva kāñcī payasā ghanīkṛtā BhKir_8.51c	saKI-iva kAQcI payasA GanIkRtA BhKiH-_8.51c
   sakhīṣu nirvācyam adhārṣṭhyadūṣitaṃ BhKir_8.48c	saKIzu nirvAcyam aDArzWya-dUzitam BhKiH-_8.48c
   sakhyā sukhaṃ samabhiyāsyasi cintitāni BhKir_13.71d	saKyA suKam samaBiyAsyasi cintitAni BhKiH-_13.71d
   sa gataḥ kṣitim uṣṇaśoṇitārdraḥ BhKir_13.31a	sa gataH kzitim uzNa-SoNita-ArdraH BhKiH-_13.31a
   sagandharmā dhāma tridaśavanitāḥ svaṃ pratiyayuḥ BhKir_10.63d	sa-ganDarmA DAma tridaSa-vanitAH svam pratiyayuH BhKiH-_10.63d
   sacakitam iva vismayākulābhiḥ BhKir_10.7a	sacakitam iva vismaya-AkulABiH BhKiH-_10.7a
   sa cintayaty eva bhiyas tvad eṣyatīr BhKir_1.23c	sa cintayati eva BiyaH tvat ezyatIH BhKiH-_1.23c
   sacivaḥ śuddha ivādade ca bāṇaḥ BhKir_13.14d	sacivaH SudDaH iva-Adade ca bANaH BhKiH-_13.14d
   sa jagade vacanaṃ priyam ādarān BhKir_5.16c	sa jagade vacanam priyam AdarAn BhKiH-_5.16c
   sa jagāma vismayam udvīkṣya puraḥ BhKir_6.15a	sa jagAma vismayam udvIkzya puras BhKiH-_6.15a
   sa jayyatāyāḥ padavīṃ jigīṣoḥ BhKir_17.17b	sa jayyatAyAH padavIm jigIzoH BhKiH-_17.17b
   sajalajaladharaṃ nabho vireje BhKir_10.19a	sa-jala-jala-Daram naBaH vireje BhKiH-_10.19a
   sa javena patan paraḥśatānāṃ BhKir_13.26c	sa javena patan paraHSatAnAm BhKiH-_13.26c
   sajjanaikavasatiḥ kṛtajñatā BhKir_13.51d	sat-jana-eka-vasatiH kRtajQa-tA BhKiH-_13.51d
   sajjano 'si vijahīhi cāpalaṃ BhKir_13.66a	sat-janaH asi vijahIhi cApalam BhKiH-_13.66a
   sajyaṃ dhanur vahati yo 'hipatisthavīyaḥ BhKir_13.71a	sajyam DanuH vahati yaH ahi-pati-sTavIyaH BhKiH-_13.71a
   satatanaiśatamovṛtam anyataḥ BhKir_5.2b	satata-nESa-tamaH-vRtam anyatas BhKiH-_5.2b
   satatam asitayāminīṣu śambho BhKir_5.44c	satatam asita-yAminIzu SamBo BhKiH-_5.44c
   satatam asukheṣu pāṇḍavaḥ BhKir_12.3b	satatam asuKezu pANxavaH BhKiH-_12.3b
   satatam asutaraṃ varṇayanty antaram BhKir_5.18b	satatam asutaram varNayantI antaram BhKiH-_5.18b
   satataṃ vairikṛtasya cetasi BhKir_2.24b	satatam vEri-kRtasya cetasi BhKiH-_2.24b
   sa tatāra saikatavatīr abhitaḥ BhKir_6.16a	sa tatAra sEkatavatIH aBitas BhKiH-_6.16a
   sa tadojasā vijitasāram BhKir_12.29a	sa tad-ojasA vijita-sAram BhKiH-_12.29a
   sa tam āruroha puruhūtasutaḥ BhKir_6.1d	sa tam Aruroha puruhUta-sutaH BhKiH-_6.1d
   sa tamālanibhe ripau surāṇāṃ BhKir_13.24a	sa tamAla-niBe ripO surANAm BhKiH-_13.24a
   sa tam āsasāda ghananīlam BhKir_12.53a	sa tam AsasAda Gana-nIlam BhKiH-_12.53a
   sa taraṅgaraṅgi kalahaṃsakulam BhKir_6.6d	sa taraFga-raFgi kalahaMsa-kulam BhKiH-_6.6d
   sa tarkayāmāsa viviktatarkaś BhKir_16.1c	sa tarkayAmAsa vivikta-tarkaH BhKiH-_16.1c
   satām ivāparvaṇi mārgaṇānāṃ BhKir_17.29c	satAm iva-aparvaNi mArgaNAnAm BhKiH-_17.29c
   satāṃ hi vāṇī guṇam eva bhāṣate BhKir_14.11d	satAm hi vANI guNam eva BAzate BhKiH-_14.11d
   sati priyasamāgame BhKir_11.27d	sati priya-samAgame BhKiH-_11.27d
   sa tu tatra viśeṣadurlabhaḥ BhKir_2.3c	sa tu tatra viSeza-durlaBaH BhKiH-_2.3c
   sa teṣu na sthānam avāpa śokaḥ BhKir_3.34d	sa tezu na sTAnam avApa SokaH BhKiH-_3.34d
   sattvam urudhṛti rajastamasī na BhKir_12.5c	sattvam uru-DRti rajaH-tamasI na BhKiH-_12.5c
   sattvavihitam atulaṃ bhujayor BhKir_12.39c	sattva-vihitam atulam BujayoH BhKiH-_12.39c
   satyaṃkāram ivāntakaḥ BhKir_11.50d	satyaMkAram iva-antakaH BhKiH-_11.50d
   satyāśiṣaḥ samprati bhūmidevāḥ BhKir_3.6b	satya-ASizaH samprati BUmidevAH BhKiH-_3.6b
   sa tvad vinā me hṛdayaṃ nikāraḥ BhKir_3.44d	sa tvat vinA me hRdayam nikAraH BhKiH-_3.44d
   sa tvam ittham upapannapauruṣaḥ BhKir_13.41b	sa tvam itTam upapanna-pOruzaH BhKiH-_13.41b
   sa dadarśa ketakaśikhāviśadaṃ BhKir_6.10c	sa dadarSa ketaka-SiKA-viSadam BhKiH-_6.10c
   sa dadarśa vetasavanācaritāṃ BhKir_6.5c	sa dadarSa vetasa-vana-AcaritAm BhKiH-_6.5c
   sa dayāluneva parigāḍhakṛśaḥ BhKir_6.27c	sa dayAlunA-iva parigAXa-kRSaH BhKiH-_6.27c
   sadarāmarṣanāśini BhKir_15.27b	sa-dara-amarza-nASini BhKiH-_15.27b
   sadasā gauraveritam BhKir_11.73b	sadasA gOrava-Iritam BhKiH-_11.73b
   sadānukūleṣu hi kurvate ratiṃ BhKir_1.5c	sadA-anukUlezu hi kurvate ratim BhKiH-_1.5c
   sadigaśnuvānam iva viśvam ojasā BhKir_12.21d	sa-diS-aSnuvAnam iva viSvam ojasA BhKiH-_12.21d
   sad upanyasyati kṛtyavartma yaḥ BhKir_2.3d	sat upanyasyati kRtya-vartma yaH BhKiH-_2.3d
   sa duḥsahān mantrapadād ivoragaḥ BhKir_1.24d	sa duHsahAt mantra-padAt iva-uragaH BhKiH-_1.24d
   sadṛśam atanum ākṛteḥ prayatnaṃ BhKir_10.13a	sadRSam atanum AkRteH prayatnam BhKiH-_10.13a
   sadmanāṃ viracanāhitaśobhair BhKir_9.34a	sadmanAm viracana-Ahita-SoBEH BhKiH-_9.34a
   sadvāditevābhiniviṣṭabuddhau BhKir_17.11a	sat-vAditA-iva-aBinivizwa-budDO BhKiH-_17.11a
   sa dhanurmaheṣudhi nibharti BhKir_12.27a	sa DanuH-mahA-izuDi niBarti BhKiH-_12.27a
   sadhvānaṃ nipatitanirjharāsu mandraiḥ BhKir_7.22a	sa-DvAnam nipatita-nirJarAsu mandrEH BhKiH-_7.22a
   sa nayāpāditasiddhibhūṣaṇaḥ BhKir_2.32d	sa naya-ApAdita-sidDi-BUzaNaH BhKiH-_2.32d
   sanākavanitaṃ nitambaruciraṃ BhKir_5.27a	sa-nAka-vanitam nitamba-ruciram BhKiH-_5.27a
   sa nipuṇam etya kayācid evam ūce BhKir_10.51d	sa nipuNam etya kayAcid evam Uce BhKiH-_10.51d
   sa nirjaghānāyudham antarā śaraiḥ BhKir_14.51c	sa nirjaGAna-AyuDam antarA SarEH BhKiH-_14.51c
   sa nirvavāmāsram amarṣanunnaṃ BhKir_17.7c	sa nirvavAma-asram amarza-nunnam BhKiH-_17.7c
   santi bhūbhṛti śarā hi naḥ pare BhKir_13.58c	santi BUBRti SarAH hi naH pare BhKiH-_13.58c
   santi ratnanicayāś ca bhūriśaḥ BhKir_13.55b	santi ratna-nicayAH ca BUriSas BhKiH-_13.55b
   sa patribhir dūram adūrapātaiḥ BhKir_17.53d	sa patriBiH dUram adUra-pAtEH BhKiH-_17.53d
   sapadi tad upaninye riktatāṃ nīlakaṇṭhaḥ BhKir_16.63d	sapadi tat upaninye rikta-tAm nIlakaNWaH BhKiH-_16.63d
   sapadi priyarūpaparvarekhaḥ BhKir_13.25a	sapadi priya-rUpa-parva-reKaH BhKiH-_13.25a
   sapadi harisakhair vadhūnideśād BhKir_10.18a	sapadi hari-saKEH vaDU-nideSAt BhKiH-_10.18a
   sapākasasyāhitapāṇḍutāguṇām BhKir_4.1b	sa-pAka-sasya-Ahita-pANxu-tA-guNAm BhKiH-_4.1b
   sa piṅgākṣaḥ śrīmān bhuvanamahanīyena mahasā BhKir_18.45a	sa piFga-akzaH SrImAn Buvana-mahanIyena mahasA BhKiH-_18.45a
   sa piśaṅgajaṭāvaliḥ kirann BhKir_15.47a	sa piSaFga-jawA-AvaliH kiran BhKiH-_15.47a
   sa pumān arthavaj janmā BhKir_11.62a	sa pumAn arTavat janmA BhKiH-_11.62a
   sapuṣpahāsā vanarājiyoṣitaḥ BhKir_4.28d	sa-puzpa-hAsAH vana-rAji-yozitaH BhKiH-_4.28d
   sapuṣpahāsāḥ sa niveśavīrudhaḥ BhKir_4.19d	sa-puzpahAsAH sa niveSa-vIruDaH BhKiH-_4.19d
   sa pradhvanayyāmbudanādi cāpaṃ BhKir_17.10a	sa praDvanayya-ambuda-nAdi cApam BhKiH-_17.10a
   sa prayujya tanaye mahīpater BhKir_13.36a	sa prayujya tanaye mahIpateH BhKiH-_13.36a
   sa babhāra raṇāpetāṃ BhKir_15.33a	sa baBAra raNa-apetAm BhKiH-_15.33a
   sa bibharti bhīṣaṇabhujaṃgabhujaḥ BhKir_6.32a	sa biBarti BIzaNa-BujaMga-BujaH BhKiH-_6.32a
   sa bhavasya bhavakṣayaikahetoḥ BhKir_13.19a	sa Bavasya Bava-kzaya-eka-hetoH BhKiH-_13.19a
   sabhāyām āgatahriyaḥ BhKir_11.49b	saBAyAm Agata-hriyaH BhKiH-_11.49b
   sabhītibhis tatprathamaṃ prapedire BhKir_8.30d	sa-BItiBiH tat-praTamam prapedire BhKiH-_8.30d
   sabheva bhīmā vidadhe gaṇānāṃ BhKir_16.27c	saBA-iva BImAH vidaDe gaNAnAm BhKiH-_16.27c
   sa bhogasaṃghaḥ śamam ugradhāmnāṃ BhKir_16.48a	sa Boga-saMGaH Samam ugra-DAmnAm BhKiH-_16.48a
   samakṣam āditsitayā pareṇa BhKir_17.4c	samakzam AditsitayA pareNa BhKiH-_17.4c
   samatītya bhāti jagatī jagatī BhKir_5.20d	samatItya BAti jagatI jagatI BhKiH-_5.20d
   samadadayitapītātāmrabimbādharāṇām BhKir_9.78b	sa-mada-dayita-pIta-AtAmra-bimba-aDarANAm BhKiH-_9.78b
   samadaśikhirutāni haṃsanādaiḥ BhKir_10.25a	sa-mada-SiKi-rutAni haMsanAdEH BhKiH-_10.25a
   samadhirūḍham ajena nu jiṣṇunā BhKir_18.9c	samaDirUXam ajena nu jizNunA BhKiH-_18.9c
   samantatas tasya dhanur dudhūṣataḥ BhKir_14.49b	samantataH tasya DanuH duDUzataH BhKiH-_14.49b
   sa mantharāvalgitapīvarastanīḥ BhKir_4.17a	sa manTara-Avalgita-pIvara-stanIH BhKiH-_4.17a
   samandhakārīkṛtam uttamācalam BhKir_14.39d	samanDakArIkRtam uttama-acalam BhKiH-_14.39d
   samabhilaṣann upavedi jātavedāḥ BhKir_10.12d	samaBilazan upavedi jAtavedAH BhKiH-_10.12d
   samabhisṛtya bhṛśaṃ javam ojasā BhKir_18.7b	samaBisRtya BRSam javam ojasA BhKiH-_18.7b
   samabhisṛtya rayeṇa kapidhvajaḥ BhKir_18.12b	samaBisRtya rayeNa kapiDvajaH BhKiH-_18.12b
   samam aratniyuge 'yugacakṣuṣaḥ BhKir_18.6b	samam aratni-yuge ayuga-cakzuzaH BhKiH-_18.6b
   samam āgatāḥ sapadi vairam āpadaḥ BhKir_12.46d	samam AgatAH sapadi vEram ApadaH BhKiH-_12.46d
   samam ṛtubhir munināvadhīritasya BhKir_10.36b	samam RtuBiH muninA-avaDIritasya BhKiH-_10.36b
   samaye yaś ca tanoti tigmatām BhKir_2.38b	samaye yaH ca tanoti tigma-tAm BhKiH-_2.38b
   samarantavyasaṃyataḥ BhKir_15.8b	sama-rantavya-saMyataH BhKiH-_15.8b
   samarāyeva samājuhūṣamāṇaḥ BhKir_13.3d	samarAya-iva samAjuhUzamANaH BhKiH-_13.3d
   samavatārasamair asamais taṭaiḥ BhKir_5.7b	samavatAra-samEH asamEH tawEH BhKiH-_5.7b
   samavṛttir upaiti mārdavaṃ BhKir_2.38a	sama-vRttiH upEti mArdavam BhKiH-_2.38a
   samaśnuvānāḥ sahasātiriktatām BhKir_14.33b	samaSnuvAnAH sahasA-atirikta-tAm BhKiH-_14.33b
   samasya guṇadoṣayoḥ BhKir_11.56b	samasya guNa-dozayoH BhKiH-_11.56b
   samasya sampādayatā guṇair imāṃ BhKir_14.6a	samasya sampAdayatA guNEH imAm BhKiH-_14.6a
   samaṃ samutpetur upāttaraṃhasaḥ BhKir_14.45b	samam samutpetuH upAtta-raMhasaH BhKiH-_14.45b
   samākulāyā nicakhāna dūraṃ BhKir_17.31c	samAkulAyAH nicaKAna dUram BhKiH-_17.31c
   samāgatāḥ śakradhanuḥprabhābhidaḥ BhKir_16.58b	samAgatAH Sakra-DanuH-praBA-BidaH BhKiH-_16.58b
   samācarācāram upāttaśastro BhKir_3.28c	samAcara-AcAram upAtta-SastraH BhKiH-_3.28c
   samājuhāveva vadhūḥ surāpagā BhKir_8.27d	samAjuhAva-iva vaDUH surApagAH BhKiH-_8.27d
   samādade 'straṃ jvalanasya jiṣṇuḥ BhKir_16.49d	samAdade astram jvalanasya jizNuH BhKiH-_16.49d
   samādadhe nāṃśukam āhitaṃ vṛthā BhKir_8.15c	samAdaDe na-aMSukam Ahitam vRTA BhKiH-_8.15c
   samānakāntīni tuṣārabhūṣaṇaiḥ BhKir_8.25a	samAna-kAntIni tuzAra-BUzaNEH BhKiH-_8.25a
   samānaduḥkhā iva nas tvadīyāḥ BhKir_3.49c	samAna-duHKAH iva naH tvadIyAH BhKiH-_3.49c
   samānamānān suhṛdaś ca bandhubhiḥ BhKir_1.10b	samAna-mAnAn suhRdaH ca banDuBiH BhKiH-_1.10b
   samānayantīm iva bandhujīvakam BhKir_4.7d	samAnayantIm iva banDujIvakam BhKiH-_4.7d
   samānavīryānvayapauruṣeṣu yaḥ BhKir_14.23c	samAna-vIrya-anvaya-pOruzezu yaH BhKiH-_14.23c
   samāsajantyā kusumāvataṃsakam BhKir_8.16b	samAsajantyA kusuma-avataMsakam BhKiH-_8.16b
   samucchinatsi tvam acintyadhāmā BhKir_18.29c	samucCinatsi tvam acintya-DAmA BhKiH-_18.29c
   samucchedena vidviṣām BhKir_11.69b	samucCedena vidvizAm BhKiH-_11.69b
   samucchvasatpaṅkajakośakomalair BhKir_8.24a	samucCvasat-paFkaja-koSa-komalEH BhKiH-_8.24a
   samujjihīrṣuṃ jagatīṃ mahābharāṃ BhKir_14.40c	samujjihIrzum jagatIm mahA-BarAm BhKiH-_14.40c
   samujjhitajñātiviyogakhedaṃ BhKir_3.8c	samujJita-jQAti-viyoga-Kedam BhKiH-_3.8c
   samujjhitā yāvadarāti niryatī BhKir_14.56a	samujJitA yAvat-arAti niryatI BhKiH-_14.56a
   samujjhitā yoddhṛbhir abhyamitram BhKir_16.5b	samujJitAH yodDRBiH aByamitram BhKiH-_16.5b
   samutsukevāṅkam upaiti siddhiḥ BhKir_3.40d	samutsukA-iva-aFkam upEti sidDiH BhKiH-_3.40d
   samuditasādhvasaviklavaṃ ca cetaḥ BhKir_10.5d	samudita-sADvasa-viklavam ca cetaH BhKiH-_10.5d
   samuditaṃ nicayena taḍitvatīṃ BhKir_5.4c	samuditam nicayena taxitvatIm BhKiH-_5.4c
   samuditaṃ nu vilaṅghayituṃ nabhaḥ BhKir_5.1d	samuditam nu vilaFGayitum naBaH BhKiH-_5.1d
   samuddhatā sindhur anekamārgā BhKir_17.52c	samudDatA sinDuH aneka-mArgAH BhKiH-_17.52c
   samunnataiḥ kāśadukūlaśālibhiḥ BhKir_8.9a	samunnatEH kASa-dukUla-SAliBiH BhKiH-_8.9a
   samunnayan bhūtim anāryasaṃgamād BhKir_1.8c	samunnayan BUtim anArya-saMgamAt BhKiH-_1.8c
   samunmimīleva cirāya cakṣuḥ BhKir_3.26d	samunmimIlA-iva cirAya cakzuH BhKiH-_3.26d
   samupadadhan mukulāni mālatīnām BhKir_10.20b	samupadaDan mukulAni mAlatInAm BhKiH-_10.20b
   samupayayuḥ kamanīyatāguṇena BhKir_10.40b	samupayayuH kamanIya-tA-guNena BhKiH-_10.40b
   samupayayau śiśiraḥ smaraikabandhuḥ BhKir_10.30d	samupayayO SiSiraH smara-eka-banDuH BhKiH-_10.30d
   samupekṣeta samunnatiṃ dviṣaḥ BhKir_2.52b	samupekzeta samunnatim dvizaH BhKiH-_2.52b
   samupeyivān adhipatiṃ sa divaḥ BhKir_6.22b	samupeyivAn aDipatim sa divaH BhKiH-_6.22b
   samullasatprāsamahormimālaṃ BhKir_16.4a	samullasat-prAsa-mahA-Urmi-mAlam BhKiH-_16.4a
   sa mūḍhaḥ paṅkayaty apaḥ BhKir_11.19d	sa mUXaH paFkayati apaH BhKiH-_11.19d
   samūlam unmūlayatīva me manaḥ BhKir_1.41b	sa-mUlam unmUlayati-iva me manaH BhKiH-_1.41b
   sametabhinnadvayamūrti tiṣṭhataḥ BhKir_18.33b	sameta-Binna-dvaya-mUrti tizWataH BhKiH-_18.33b
   sametya sadyaḥ kathanena phenatām BhKir_16.57b	sametya sadyas kaTanena Pena-tAm BhKiH-_16.57b
   same 'pi yātuṃ caraṇān anīśvarān BhKir_8.22c	same api yAtum caraNAn anISvarAn BhKiH-_8.22c
   sampattiḥ kisalayaśālinīlatānām BhKir_7.28b	sampattiH kisalaya-SAlinI-latAnAm BhKiH-_7.28b
   sampado 'nuguṇayan sukhaiṣiṇām BhKir_13.44b	sampadaH anuguNayan suKa-eziNAm BhKiH-_13.44b
   samparkaṃ pariharati sma candanānām BhKir_7.29d	samparkam pariharati sma candanAnAm BhKiH-_7.29d
   sampaśyatām iti śivena vitāyamānaṃ BhKir_15.53a	sampaSyatAm iti Sivena vitAyamAnam BhKiH-_15.53a
   sampaśyanto janmaduḥkhaṃ pumāṃsaḥ BhKir_18.24b	sampaSyantaH janma-duHKam pumAMsaH BhKiH-_18.24b
   sampīḍakṣubhitajaleṣu toyadeṣu BhKir_7.12d	sampIxa-kzuBita-jalezu toyadezu BhKiH-_7.12d
   sampṛktaṃ vanakarināṃ madāmbusekair BhKir_7.34c	sampRktam vana-karinAm mada-ambu-sekEH BhKiH-_7.34c
   sampede śramasalilodgamo vibhūṣā BhKir_7.5c	sampede Srama-salila-udgamaH viBUzA BhKiH-_7.5c
   samprati labdhajanma śanakaiḥ katham api laghuni BhKir_5.43a	samprati labDa-janma SanakEs kaTam api laGuni BhKiH-_5.43a
   samprāpe nisṛtamadāmbubhir gajendraiḥ BhKir_7.37c	samprApe nisRta-mada-ambuBiH gaja-indrEH BhKiH-_7.37c
   samprāptayā sampriyatām asubhyaḥ BhKir_17.4b	samprAptayA sampriyatAm asuByaH BhKiH-_17.4b
   samprāptuṃ vanagajadānagandhi rodhaḥ BhKir_7.32b	samprAptum vana-gaja-dAna-ganDi roDaH BhKiH-_7.32b
   samprāpte vapuṣi sahatvam ātapasya BhKir_7.7b	samprApte vapuzi sahatvam Atapasya BhKiH-_7.7b
   samprāpnuyāṃ vijayam īśa yayā samṛddhyā BhKir_18.43c	samprApnuyAm vijayam ISa yayA samRdDyA BhKiH-_18.43c
   samprīyamāṇo 'nubabhūva tīvraṃ BhKir_17.13a	samprIyamANaH anubaBUva tIvram BhKiH-_17.13a
   sambhavanti matayo bhavacchidaḥ BhKir_5.22d	samBavanti matayaH Bava=-CidaH BhKiH-_5.22d
   sambhavanti viramanti cāpadaḥ BhKir_13.69b	samBavanti viramanti ca-ApadaH BhKiH-_13.69b
   sambhavānāṃ bhūtim ivoddhariṣyan BhKir_3.39b	samBavAnAm BUtim iva-udDarizyan BhKiH-_3.39b
   sambhāvanām arthavatīṃ kriyābhiḥ BhKir_3.51b	samBAvanAm arTavatIm kriyABiH BhKiH-_3.51b
   sambhāvanāyām adharīkṛtāyāṃ BhKir_17.42c	samBAvanAyAm aDarIkRtAyAm BhKiH-_17.42c
   sambhāvanā hy adhikṛtasya tanoti tejaḥ BhKir_6.46d	samBAvanA hi aDikRtasya tanoti tejaH BhKiH-_6.46d
   sambhinnām aviralapātibhir mayūkhair BhKir_7.23a	samBinnAm avirala-pAtiBiH mayUKEH BhKiH-_7.23a
   sambhinnair ibhaturagāvagāhanena BhKir_7.11a	samBinnEH iBa-turaga-avagAhanena BhKiH-_7.11a
   sambhogakṣamagahanām athopagaṅgaṃ BhKir_7.26a	samBoga-kzama-gahanAm aTa-upagaFgam BhKiH-_7.26a
   sambhramajvalitaṃ manaḥ BhKir_15.2d	samBrama-jvalitam manaH BhKiH-_15.2d
   samyagdṛṣṭis tasya paraṃ paśyati yas tvāṃ BhKir_18.28c	samyak-dRzwiH tasya param paSyati yaH tvAm BhKiH-_18.28c
   sa yauvarājye navayauvanoddhataṃ BhKir_1.22a	sa yOvarAjye nava-yOvana-udDatam BhKiH-_1.22a
   sarajasatām avaner apāṃ nipātaḥ BhKir_10.20d	sa-rajasatAm avaneH apAm nipAtaH BhKiH-_10.20d
   sarajasam apahāya ketakīnāṃ BhKir_10.26a	sa-rajasam apahAya ketakInAm BhKiH-_10.26a
   sa rathāṅganāmavanitāṃ karuṇair BhKir_6.8c	sa raTAFga-nAma-vanitAm karuNEH BhKiH-_6.8c
   sarabhasam avalambya nīlam anyā BhKir_10.54a	sa-raBasam avalambya nIlam anyA BhKiH-_10.54a
   sarasiruhajanmanaḥ prajāḥ BhKir_12.35b	sarasiruha-janmanaH prajAH BhKiH-_12.35b
   saritaḥ prahāsam iva phenam apām BhKir_6.10d	saritaH prahAsam iva Penam apAm BhKiH-_6.10d
   sariduttarīyam iva saṃhatimat BhKir_6.6c	sarit-uttarIyam iva saMhatimat BhKiH-_6.6c
   sarūpatāṃ pārtha guṇā bhajante BhKir_3.49d	sarUpa-tAm pArTa guNAH Bajante BhKiH-_3.49d
   sarojapattre nu vilīnaṣaṭpade BhKir_8.35a	saroja-pattre nu vilIna-zawpade BhKiH-_8.35a
   saroruhiṇyā śirasā namann api BhKir_4.34b	saroruhiNyA SirasA naman api BhKiH-_4.34b
   saroruhair asphuṭapattrapaṅktibhiḥ BhKir_8.25b	saroruhEH asPuwa-pattra-paFktiBiH BhKiH-_8.25b
   saroṣam ulkeva papāta bhīṣaṇā BhKir_14.49c	sa-rozam ulkA-iva papAta BIzaNA BhKiH-_14.49c
   sarpanmahādhūma ivādrivahniḥ BhKir_17.2d	sarpan-mahADUmaH iva-adri-vahniH BhKiH-_17.2d
   sarvagāpi dadṛśe vanitānāṃ BhKir_9.63c	sarvagA-api dadRSe vanitAnAm BhKiH-_9.63c
   sarvathāyam anuyāti sāyakaḥ BhKir_13.45b	sarvaTA-ayam anuyAti sAyakaH BhKiH-_13.45b
   sarvadā ka iva vā sahiṣyate BhKir_13.66b	sarvadA kaH iva vA sahizyate BhKiH-_13.66b
   sarvair bhāvair nāvṛto 'nādiniṣṭhaḥ BhKir_18.40b	sarvEH BAvEH na-AvRtaH anAdi-nizWaH BhKiH-_18.40b
   salalitacalitatrikābhirāmāḥ BhKir_10.52a	sa-lalita-calita-trika-aBirAmAH BhKiH-_10.52a
   salīlam āsaktalatāntabhūṣaṇaṃ BhKir_8.16a	sa-lIlam Asakta-latA-anta-BUzaNam BhKiH-_8.16a
   saleśam ulliṅgitaśātraveṅgitaḥ BhKir_14.2a	sa-leSam ulliFgita-SAtrava-iFgitaH BhKiH-_14.2a
   savapuṣām iva cittarāgam ūhur BhKir_10.43c	sa-vapuzAm iva citta-rAgam UhuH BhKiH-_10.43c
   sa vapuṣmān iva puṇyasaṃcayaḥ BhKir_2.56d	sa vapuzmAn iva puNya-saMcayaH BhKiH-_2.56d
   sa varṇiliṅgī viditaḥ samāyayau BhKir_1.1c	sa varNiliFgI viditaH samAyayO BhKiH-_1.1c
   sa valkavāsāṃsi tavādhunāharan BhKir_1.35c	sa valka-vAsAMsi tava-aDunA-aharan BhKiH-_1.35c
   sa vaṃśasyāvadātasya BhKir_11.75a	sa vaMSasya-avadAtasya BhKiH-_11.75a
   savārije vāriṇi rāmaṇīyakam BhKir_4.4b	sa-vAri-je vAriNi rAmaNIyakam BhKiH-_4.4b
   sa vāritaḥ kiṃ bhavatā na bhūpatiḥ BhKir_14.8b	sa vAritaH kim BavatA na BUpatiH BhKiH-_14.8b
   savigrahaṃ darpam ivādhipaṃ gavām BhKir_4.11d	sa-vigraham darpam iva-aDipam gavAm BhKiH-_4.11d
   sa vijitajagattrayodayam BhKir_12.6b	sa vijita-jagattraya-udayam BhKiH-_12.6b
   sa vidhātā nṛpatīn madoddhataḥ BhKir_2.47b	sa viDAtA nRpatIn mada-udDataH BhKiH-_2.47b
   sa vidheyapadeṣu dakṣatāṃ BhKir_2.12c	sa viDeya-padezu dakza-tAm BhKiH-_2.12c
   savinayam aparābhisṛtya sāci BhKir_10.57a	sa-vinayam apara-aBisRtya sAci BhKiH-_10.57a
   savibhramādhūtakarāgrapallavo BhKir_8.49c	sa-viBrama-ADUta-kara-agra-pallavaH BhKiH-_8.49c
   sa vivasvān iva medinīpatiḥ BhKir_2.38d	sa vivasvAn iva medinIpatiH BhKiH-_2.38d
   savismayam udāhṛtaḥ BhKir_11.72d	sa-vismayam udAhRtaH BhKiH-_11.72d
   savismayaṃ rūpayato nabhaścarān BhKir_8.26c	sa-vismayam rUpayataH naBaH-carAn BhKiH-_8.26c
   sa vṛṣadhvajasāyakāvabhinnaṃ BhKir_13.28a	sa vRzaDvaja-sAyaka-avaBinnam BhKiH-_13.28a
   sa veda niḥśesam aśeṣitakriyaḥ BhKir_1.20b	sa veda niHSesam aSezita-kriyaH BhKiH-_1.20b
   savyalīkam avadhīritakhinnaṃ BhKir_9.45a	sa-vyalIkam avaDIrita-Kinnam BhKiH-_9.45a
   savyājaṃ nijakariṇībhir āttacittāḥ BhKir_7.24c	sa-vyAjam nija-kariNIBiH Atta-cittAH BhKiH-_7.24c
