   Spandakārikā, prathamo niḥṣyandaḥ	Spanda-kArikA, praTamaH niHzyandaH
   svīkṛtānantavācyavākarūpaṣaḍadhvasphāramayāśeṣaśakticakrakroḍīkārāntaḥ	svIkRta-ananta-vAcya-vAka-rUpa-zaz-aDva-sPAra-maya-aSeza-Sakti-cakra-kroxIkAra-antaH
   kṛtaniḥśeṣasargapralayādiparamparāpyakramavimarśarūpaiva	kRta-niHSeza-sarga-pralaya-Adi-paramparA-api-akrama-vimarSa-rUpA-eva
   nityoditānuccāryamahāmantramayī sarvajīvitabhūtā parā vāk || VSpkC_3.13:4	nitya-udita-anuccArya-mahA-mantra-mayI sarva-jIvita-BUtA parA vAc || VSpkC_3.13:4
   * eṣaiva bhagavata iyadviśvavaicitryacalattām iva svātmani prathayantī	* ezA-eva BagavataH iyat-viSva-vEcitrya-calat-tAm iva sva-Atmani praTayantI
   spandate ityarthānugamāt spanda iti ihocyate || VSpkC_3.13:5	spandate iti-arTa-anugamAt spandaH iti iha-ucyate || VSpkS_3.13:5
   * evaṃ ceyad viśvaśaktikhacitaparāśaktisundarasya svātmanaḥ	* evam ca-iyat viSva-Sakti-Kacita-parASakti-sundarasya sva-AtmanaH
   svarūpagopanakrīḍayā svātmabhittāv evāṃśāṃśikayā nirbhāsanaṃ bhagavān	sva-rUpa-gopana-krIxayA sva-Atma-BittO eva-aMSa-aMSikayA nirBAsanam BagavAn
   yāvaccikīrṣati tāvadekaivābhinnāpyasau tadīyā vimarśaśaktiricchātvaṃ	yAvat-cikIrzati tAvat-ekA-eva-aBinnA-api-asO tadIyA vimarSa-SaktiH-icCA-tvam
   pratipadya jñānakriyārūpatayā sthitvā	pratipadya jQAna-kriyA-rUpa-tayA sTitvA
   śivaśaktiparāmarśātmakabījayonibhedena dvidhā bhūtvā vargabhedena	Siva-Sakti-parAmarSa-Atmaka-bIja-yoni-Bedena dviDA BUtvA varga-Bedena
   tatkalābhedena ca navadhā pañcāśaddhā ca sphurantī tadvimarśasārair	tad-kalA-Bedena ca navaDA paQcASadDA ca sPurantI tad-vimarSa-sArEH-
   aghoraghoraghorataraiḥ saṃvittidevatātmabhiḥ rūpaiḥ prathamānā bhagavataḥ	aGora-Gora-GoratarEH saMvitti-devatA-AtmaBiH rUpEH praTamAnAH BagavataH
   pañcavidhakṛtyakāritāṃ nirvahati || VSpkC_3.13:6	paQcaviDa-kRtya-kAritAm nirvahati || VSpkC_3.13:6
   * yathoktaṃ śrīmālinīvijayottare /	* yaToktam SrI-mAlinI-vijaya-uttare /
   * yā sā śaktirjagaddhātuḥ kathitā samavāyinī /	* yA sA SaktiH-jagadDAtuH kaTitA samavAyinI /
   * icchātvaṃ tasya sā devī sisṛkṣoḥ pratipadyate || VSpkC_3.13:7	* icCA-tvam tasya sA devI sisRkzoH pratipadyate || VSpkS_3.13:7
   * saikāpi satyanekatvaṃ yathā gacchati tacchṛṇu /	* sA-ekA-api sati-anekatvam yaTA gacCati tat-SRNu /
   * evametaditi jñeyaṃ nānyatheti suniścitam || VSpkC_3.13:8	* evam-etat-iti jQeyam na-anyaTA-iti su-niScitam || VSpkC_3.13:8
   * jñāpayantī jagatyatra jñānaśaktirnigadyate /	* jQApayantI jagati-atra jQAna-SaktiH-nigadyate /
   * evaṃ bhavatvidaṃ sarvamiti kāryonmukhī yadā || VSpkC_3.13:9	* evam Bavatu-idam sarvam-iti kArya-unmuKI yadA || VSpkC_3.13:9
   * jātā tadaiva tadvastu kurvatyatra kriyocyate /	* jAtA tadA-eva tat-vastu kurvati-atra kriyA-ucyate /
   * evameṣā dvirūpāpi punarbhedairanantatām || VSpkC_3.13:10	* evam-ezA dvi-rUpA-api punar-BedEH-anantatAm || VSpkC_3.13:10
   * arthopādhivaśād yāti cintāmaṇiriveśvarī /	* arTa-upADi-vaSAt yAti cintAmaNiH-iva-ISvarI /
   * tatra tāvatsamāpannā mātṛbhāvaṃ vibhidyate || VSpkC_3.13:11	* tatra tAvat-samApannA mAtR-BAvam viBidyate || VSpkS_3.13:11
   * dvidhā ca navadhā caiva pañcāśaddhā ca mālinī /	* dviDA ca navaDA ca-eva paQcASadDA ca mAlinI /
   * bījayonyātmakādbhedāddvidhā bījaṃ svarā matāḥ || VSpkC_3.13:12	* bIja-yoni-AtmakAt-BedAt-dviDA bIjam svarAH matAH || VSpkC_3.13:12
   * kādayaśca smṛtā yonirnavadhā vargabhedataḥ /	* ka-AdayaH-ca smRtAH yoniH-navaDA varga-BedataH /
   * pṛthagvarṇavibhedena śatārdhakiraṇojjvalā || VSpkC_3.13:13	* pRTak-varNa-viBedena Sata-arDa-kiraNa-ujjvalA || VSpkC_3.13:13
   * bījamatra śivaḥ śaktir yonir ityabhidhīyate /	* bIjam-atra SivaH SaktiH yoniH iti-aBiDIyate /
   * vargāṣṭakamiti jñeyamaghorādyamanukramāt || VSpkC_3.13:14	* varga-azwakam-iti jQeyam-aGora-Adyam-anukramAt || VSpkC_3.13:14
   * tadeva śaktibhedena māheśvaryādi cāṣṭakam /	* tat-eva Sakti-Bedena mAheSvarI-Adi ca-azwakam /
   * śatārdhabhedabhinnā ca tatsaṃkhyānāṃ varānane || VSpkC_3.13:15	* Sata-arDa-Beda-BinnA ca tad-saMKyAnAm varAnane || VSpkC_3.13:15
   * rudrāṇāṃ vācakatvena kalpitā parameṣṭhinā /	* rudrANAm vAcaka-tvena kalpitA paramezWinA /
   * tadvadeva ca śaktīnāṃ tatsaṃkhyānāmanukramāt || VSpkC_3.13:16	* tadvat-eva ca SaktInAm tad-saMKyAnAm-anukramAt || VSpkC_3.13:16
   * ityādi || VSpkC_3.13:17	* ityAdi || VSpkC_3.13:17
   * tathā /	* taTA /
   * viṣayeṣveva saṃlīnānadho'dhaḥ pātayantyaṇūn /	* vizayezu-eva saMlInAn-aDas-aDas pAtayanti-aNUn /
   * rudrāṇūnyāḥ samāliṅgya ghorataryo 'parāstu tāḥ || VSpkC_3.13:18	* rudra-aNUn-yAH samAliFgya GorataryaH aparAH-tu tAH || VSpkS_3.13:18
   * miśrakarmaphalāsaktiṃ pūrvavajjanayanti yāḥ || VSpkC_3.13:19	* miSra-karma-Pala-Asaktim pUrvavat-janayanti yAH || VSpkC_3.13:19
   * muktimārganirodhinyastāḥ syur ghorāḥ parāparāḥ || VSpkC_3.13:20	* mukti-mArga-niroDi-nyaH-tAH syuH GorAH para-aparAH || VSpkS_3.13:20
   * pūrvavajjantujātasya śivadhāmaphalapradāḥ /	* pUrvavat-jantu-jAtasya Siva-DAma-Pala-pradAH /
   * parāḥ prakathitās tajjñair aghorāḥ śivaśaktayaḥ || VSpkC_3.13:21	* parAH prakaTitAH tad-jQEH aGorAH Siva-SaktayaH || VSpkC_3.13:21
   * iti || VSpkC_3.13:22	* iti || VSpkC_3.13:22
   * evaṃ śabdarāśeḥ samutthito varganavakarūpo yo brāhmyādidevatāvargaḥ	* evam SabdarASeH samutTitaH varga-navaka-rUpaH yaH brAhmI-Adi-devatA-vargaH
   śivasahitastasya bhogyatāṃ pāśyatāṃ gataḥ sansa eva śaṃkarātmā svabhāvaḥ	Siva-sahitaH-tasya Bogya-tAm pASya-tAm gataH san-saH eva SaMkara-AtmA svaBAvaH
   paśuḥ smṛtaḥ āgameṣu tathoktaḥ || VSpkC_3.13:23	paSuH smRtaH Agamezu taTA-uktaH || VSpkC_3.13:23
   * nanu kathaṃ bhoktā maheśvara imāmavasthāṃ prāptaḥ ityāśaṅkāśāntyai	* nanu kaTam BoktA maheSvaraH imAm-avasTAm prAptaH iti-ASaFkA-SAntyE
   viśeṣaṇadvāreṇa hetumāha kalāviluptavibhava iti || VSpkC_3.13:24	viSezaNa-dvAreNa hetum-Aha kalA-vilupta-viBavaH iti || VSpkC_3.13:24
   * kalayati bahiḥ kṣipati pārimityena paricchinattīti kalā māyāśaktiḥ tayā	* kalayati bahis kzipati pArimityena paricCinatti-iti kalA mAyA-SaktiH tayA
   viluptavibhavaḥ svamāyayā gūhitaiśvaryaḥ sthita ityarthaḥ || VSpkC_3.13:25	vilupta-viBavaH sva-mAyayA gUhita-ESvaryaH sTitaH iti-arTaH || VSpkC_3.13:25
   * atha ca kalayā kiṃcitkartṛtvopodbalanātmanā śaktyā tadupalakṣitena	* aTa ca kalayA kiMcitkartR-tva-upodbalana-AtmanA SaktyA tad-upalakzitena
   kalāvidyākālaniyatirāgātmanā kañcukena viluptavibhavaḥ	kalA-vidyA-kAla-niyati-rAga-AtmanA kaQcukena vilupta-viBavaH
   sthagitapūrṇatvakartṛtvādidharmaḥ || VSpkC_3.13:26	sTagita-pUrNa-tva-kartR-tva-Adi-DarmaH || VSpkS_3.13:26
   * bhavatvevaṃ bhogyatāṃ tu kathamasau śaktivargasya gataḥ ityatraitad	* Bavatu-evam Bogya-tAm tu kaTam-asO Sakti-vargasya gataH iti-atra-etat-
   evottaram || VSpkC_3.13:27	eva-uttaram || VSpkC_3.13:27
   * kalābhir akārādivargādhiṣṭhāyikābhir brāhmyādibhis	* kalABiH akAra-Adi-varga-aDizWAyikABiH brAhmI-AdiBiH-
   tadvarṇabhaṭṭārakādhiṣṭhātṛbhūtābhiś ca śrīmālinīvijayoktadevatārūpābhiḥ	tad-varNa-BawwAraka-aDizWAtR-BUtABiH ca SrI-mAlinI-vijaya-ukta-devatA-rUpABiH
   kalābhir akārādivarṇair viluptavibhavaḥ saṃkucito'smi apūrṇo 'smi karavāṇi	kalABiH akAra-Adi-varNEH vilupta-viBavaH saMkucitaH-asmi apUrNaH asmi karavANi
   kiṃcididam upādade idaṃ jahāmi	kiMcid-idam upAdade idam jahAmi
   ityādivicitravikalpakāvikalpakapratipattikadambakāntaranupraviṣṭasthūlasūkṣmaśabdānuvedhakadarthito	ityAdi-vicitra-vikalpaka-avikalpaka-pratipatti-kadambaka-antaranupravizwa-sTUla-sUkzma-Sabda-anuveDakadarTitaH-
   harṣaśokādirūpatāṃ nenīyamāna iva kṣaṇam api svarūpasthitiṃ na labhate	harza-Soka-Adi-rUpa-tAm nenIyamAnaH iva kzaNam api svarUpa-sTitim na laBate
   yataḥ ato'sāv uktarūpaḥ śaktivargeṇa bhujyamānaḥ paśur uktaḥ ||	yatas atas-asO ukta-rUpaH Sakti-vargeNa BujyamAnaH paSuH uktaH ||
   VSpkC_3.13:28	VSpkC_3.13:28
   * kalayā akhyātyātmanāṃśena viluptavibhavaḥ saṃkucita iva na tu tattvataḥ	* kalayA aKyAti-A-AtmanA-aMSena vilupta-viBavaH saMkucitaH iva na tu tattvataH
   śivātmā svabhāvo 'sya kvāpi gataḥ tadabhāve hi sa eva na sphuret ||	Siva-AtmA svaBAvaH asya kvApi gataH tad-aBAve hi saH eva na sPuret ||
   VSpkC_3.13:29	VSpkC_3.13:29
   * tathāvabhāsamānaireva kalābhiḥ saṃkucitaiḥ śabdair jñānaiś ca	* taTA-avaBAsamAnEH-eva kalABiH saMkucitEH SabdEH jQAnEH ca
   viluptavibhavas tathārūpam ātmānaṃ na vimraṣṭuṃ kṣama ityarthaḥ ||	vilupta-viBavaH taTArUpam AtmAnam na vimrazwum kzamaH iti-arTaH ||
   VSpkC_3.13:30	VSpkC_3.13:30
   * adhunā paśuḥ saṃkucitadṛkśaktibādhyaḥ pāśyaś cetyetad vibhajati ||	* aDunA paSuH saMkucita-dRS-Sakti-bADyaH pASyaH ca-iti-etat viBajati ||
   VSpkC_3.13:31]	VSpkC_3.13:31]
   parāmṛtarasāpāyas tasya yaḥ pratyayodbhavaḥ /	para-amRta-rasa-apAyaH tasya yaH pratyaya-udBavaH /
   tenāsvatantratāmeti sa ca tanmātragocaraḥ // VSpk_3.14 //	tena-asvatantra-tAm-eti sa ca tanmAtra-gocaraH // VSpc-_3.14 //
   * tasya paśoryaḥ pratyayānāṃ laukikaśāstrīyavikalpānāṃ tadadhivāsitānāṃ	* tasya paSoH-yaH pratyayAnAm lOkika-SAstrIya-vikalpAnAm tad-aDivAsitAnAm
   bhinnārthajñānānāṃ vikalpānām apyudbhavaḥ vināśāghrāta utpādaḥ sa	Binna-arTa-jQAnAnAm vikalpAnAm api-udBavaH vinASa-AGrAtaH utpAdaH sa
   parasyāmṛtarasasya cidghanasyānandaprasarasyāpāyo nimajjanam ||	parasya-amRta-rasasya cit-Ganasya-Ananda-prasarasya-apAyaH nimajjanam ||
   VSpkC_3.14:1	VSpkC_3.14:1
   * uditeṣu bhinnārtheṣu pratyayeṣu cidbhūmiḥ sthitāpy aparāmṛśyamānatvād	* uditezu Binna-arTezu pratyayezu cit-BUmiH sTitA-api aparAmRSyamAna-tvAt-
   asthiteva lakṣyate tata evam uktam || VSpkC_3.14:2	asTitA-iva lakzyate tatas evam uktam || VSpkC_3.14:2
   * tena ca pratyayodbhavenāyam asvatantratām eti tadvaśaḥ sampadyate ||	* tena ca pratyaya-udBavena-ayam asvatantra-tAm eti tad-vaSaH sampadyate ||
   VSpkC_3.14:3	VSpkC_3.14:3
   * yaduktaṃ śrīśivasūtreṣu jñānaṃ bandhaḥ iti || VSpkC_3.14:4	* yat-uktam SrI-SivasUtrezu jQAnam banDaH iti || VSpkC_3.14:4
   * śrīmadvyāsamunināpi mātāpitṛmayo bālye iti || VSpkC_3.14:5	* SrImat-vyAsa-muninA-api mAtA-pitR-mayaH bAlye iti || VSpkC_3.14:5
   * śrīmadālasayāpi || VSpkC_3.14:6	* SrI-madAlasayA-api || VSpkC_3.14:6
   * tāteti kiṃcittanayeti kiṃcit ambeti kiṃciddayiteti kiṃcit /	* tAta-iti kiMcid-tanaya-iti kiMcid amba-iti kiMcid-dayitA-iti kiMcid /
   * mameti kiṃcin na mameti kiṃcit bhautaṃ saṃghaṃ bahudhā mā lapethāḥ ||	* mama-iti kiMcid na mama-iti kiMcid BOtam saMGam bahuDA mA lapeTAH ||
   VSpkC_3.14:7	VSpkC_3.14:7
   * iti || VSpkC_3.14:8	* iti || VSpkC_3.14:8
   * pratyayasyodbhavastanmātrāṇi tīvrātīvrabhedasāmānyavṛttayo gocaro yasya	* pratyayasya-udBavaH-tanmAtrANi tIvra-atIvra-Beda-sAmAnya-vRttayaH gocaraH yasya
   tathābhūto bhinnavedyaviṣaya ityarthaḥ || VSpkC_3.14:9	taTABUtaH Binna-vedya-vizayaH iti-arTaH || VSpkS_3.14:9
   * anenedamāha yāvadiyaṃ bhinnavedyaprathā tāvad baddha eva yadā	* anena-idam-Aha yAvat-iyam Binna-vedya-praTA tAvat badDaH eva yadA
   tūktopadeśayuktyā sarvam ātmamayam evāvicalapratipattyā pratipadyate tadā	tu-ukta-upadeSa-yuktyA sarvam Atma-mayam eva-avicala-pratipattyA pratipadyate tadA
   jīvanmukta iti || VSpkC_3.14:10	jIvanmuktaH iti || VSpkC_3.14:10
   * yathoktam iti vā yasya saṃvittiḥ ityādi || VSpkC_3.14:11	* yaToktam iti vA yasya saMvittiH ityAdi || VSpkC_3.14:11
   * evaṃ ca yat pūrvam uktaṃ tasmācchabdārthacintāsu na sāvasthā na yā śivaḥ	* evam ca yat pUrvam uktam tasmAt-Sabda-arTa-cintAsu na sA-avasTA na yA SivaH
   ityādi na tena saha parāmṛtarasāpāyas tasya yaḥ pratyayodbhavaḥ ityasya	ityAdi na tena saha para-amRta-rasa-apAyaH tasya yaH pratyaya-udBavaH iti-asya
   vaiṣamyaṃ kiṃcit || VSpkC_3.14:12	vEzamyam kiMcid || VSpkC_3.14:12
   * nanu yadi pratyayodbhavo 'pyasya parāmṛtarasāpāyaḥ tatkatham uktaṃ	* nanu yadi pratyaya-udBavaH api-asya para-amRta-rasa-apAyaH tat-kaTam uktam
   śaktivargasya bhogyatāṃ gata ityāśaṅkāṃ pariharati || VSpkC_3.14:13]	Sakti-vargasya Bogya-tAm gataH iti-ASaFkAm pariharati || VSpkC_3.14:13]
   svarūpāvaraṇe cāsya śaktayaḥ satatotthitāḥ /	sva-rUpa-AvaraNe ca-asya SaktayaH satata-utTitAH /
   yataḥ śabdānuvedhena na vinā pratyayodbhavaḥ // VSpk_3.15 //	yatas Sabda-anuveDena na vinA pratyaya-udBavaH // VSpc-_3.15 //
   * caḥ śaṅkāṃ dyotayan tatparihārarūpaṃ prameyāntaraṃ samuccinoti ||	* caH SaFkAm dyotayan tad-parihAra-rUpam prameya-antaram samuccinoti ||
   VSpkC_3.15:1	VSpkC_3.15:1
   * asya paśoḥ svasya śivātmano rūpasyāvaraṇe bhittibhūtatvena	* asya paSoH svasya Siva-AtmanaH rUpasya-AvaraNe Bitti-BUta-tvena
   prathamānasyāpi samyagaparāmarśane tannimittaṃ vyākhyātarūpāḥ śaktayaḥ	praTamAnasya-api samyak-aparAmarSane tad-nimittam vyAKyAta-rUpAH SaktayaH
   satatam utthitāḥ yāvaddhi parāmṛtarasātmakasvasvarūpapratyabhijñānam asya	satatam utTitAH yAvat-hi para-amRta-rasa-Atmaka-sva-svarUpa-pratyaBijQAnam asya
   na vṛttaṃ tāvad etāḥ svasvarūpāvaraṇāyodyacchantyeva || VSpkC_3.15:2	na vRttam tAvat etAH sva-svarUpa-AvaraNAya-udyacCanti-eva || VSpkC_3.15:2
   * yato'sya yaḥ pratyayodbhavo vikalpakāvikalpakajñānaprasaraḥ sa	* yatas-asya yaH pratyaya-udBavaH vikalpaka-avikalpaka-jQAna-prasaraH sa
   śabdānuvedhena ahamidaṃ jānāmi ityādinā sūkṣmāntaḥśabdānurañjanena	Sabda-anuveDena aham-idam jAnAmi ityAdinA sUkzma-antar-Sabda-anuraQjanena
   sthūlābhilāpasaṃsargeṇa ca vinā na bhavati iti tiraścām apyasāṃketikaḥ	sTUla-aBilApa-saMsargeNa ca vinA na Bavati iti tiraScAm api-asAMketikaH
   nirdeśaprakhyaḥ svātmani ca śironirdeśaprakhyo 'ntarabhyupagamarūpaḥ	nirdeSa-praKyaH sva-Atmani ca SiraH-nirdeSa-praKyaH antaraByupagama-rUpaH
   śabdanavimarśo 'styeva anyathā bālasya prathamasaṃketagrahaṇaṃ na ghaṭeta	Sabdana-vimarSaH asti-eva anyaTA bAlasya praTama-saMketa-grahaNam na Gaweta
   antarūhāpohātmakavimarśaśūnyatvāt /	antarUhA-apoha-Atmaka-vimarSa-SUnya-tvAt /
   * sthūlaśabdānuvedhamayas tu vikalpaḥ sarvasya svānubhavasiddhaḥ ||	* sTUla-Sabda-anuveDa-mayaH tu vikalpaH sarvasya sva-anuBava-sidDaH ||
   VSpkC_3.15:3	VSpkC_3.15:3
   * ślokatrayoktam artham upasaṃharanniyataḥ prameyasya	* Sloka-traya-uktam arTam upasaMharat-niyataH prameyasya
   sāmānyaspandatattvādabhinnatāṃ prāguktām anubadhnan	sAmAnya-spanda-tattvAt-aBinnatAm prAk-uktAm anubaDnan
   tatpratyabhijñānāpratyabhijñānamayau bandhamokṣau iti lakṣayati ||	tad-pratyaBijQAna-apratyaBijQAna-mayO banDa-mokzO iti lakzayati ||
   VSpkC_3.15:4]	VSpkC_3.15:4]
   seyaṃ kriyātmikā śaktiḥ śivasya paśuvartinī /	sA-iyam kriyA-AtmikA SaktiH Sivasya paSu-vartinI /
   bandhayitrī svamārgasthā jñātā siddhyupapādikā // VSpk_3.16 //	banDayitrI sva-mArga-sTA jQAtA sidDi-upapAdikA // VSpc-_3.16 //
   * seti ślokatrayanirṇītatvāt iyamiti prameyaparyantena rūpeṇa sphurantī	* sA-iti Sloka-traya-nirNIta-tvAt iyam-iti prameya-paryantena rUpeNa sPurantI
   svasvabhāvarūpasya cidātmanaḥ śivasya sambandhinī spandatattvātmikā	sva-svaBAva-rUpasya cit-AtmanaH Sivasya sambanDinI spanda-tattva-AtmikA
   parābhaṭṭārikaiva viśvavaicitryāvasthitikāritvāt kriyāśaktiḥ	parA-BawwArikA-eva viSva-vEcitrya-avasTiti-kAri-tvAt kriyASaktiH
   prāṅnirṇītadṛśā śiva eva gṛhītapaśubhūmike vartamānā prāṇapuryaṣṭakarūpam	prAc-nirNIta-dRSA SivaH eva gRhIta-paSu-BUmike vartamAnA prANa-puryazwaka-rUpam
   amuṃ kartṛtātmanāhaṃtāvipruṣā prokṣitaṃ kurvāṇā tathārūpeṇāpratyabhijñāya	amum kartRtA-AtmanA-ahaMtA-vipruzA prokzitam kurvANA taTArUpeNa-apratyaBijQAya
   svarūpāvārakatvād dhānādānādiparikleśahetutvācca bandhayitrī bhavati ||	svarUpAvAraka-tvAt DAnA-dAna-Adi-parikleSa-hetu-tvAt-ca banDayitrI Bavati ||
   VSpkC_3.16:1	VSpkC_3.16:1
   * yadā tu svasya śivātmano rūpasya yo mārgaḥ /	* yadA tu svasya Siva-AtmanaH rUpasya yaH mArgaH /
   * śaktyavasthāṃ praviṣṭasya nirvibhāgena bhāvanā /	* Sakti-avasTAm pravizwasya nirviBAgena BAvanA /
   * tadāsau śivarūpī syācchaivī mukham ihocyate || VSpkC_3.16:2	* tadA-asO Siva-rUpI syAt-SEvI muKam iha-ucyate || VSpkS_3.16:2
   * iti śrīvijñānabhaṭṭārakoktanītyā prāptyupāyaḥ parāśaktistadātmatayāsau	* iti SrI-vijQAna-BawwAraka-ukta-nItyA prApti-upAyaH parASaktiH-tad-Atma-tayA-asO
   kriyāśaktirjñāyate yoginā yadā vā vikalpakāvikalpakaprasare 'pi	kriyASaktiH-jQAyate yoginA yadA vA vikalpaka-avikalpaka-prasare api
   śivasvarūpasya svātmano 'ṃśabhūtam evāśeṣavedyam anenekṣyate tadāsyāsau	Siva-svarUpasya sva-AtmanaH aMSa-BUtam eva-aSeza-vedyam anena-Ikzyate tadA-asya-asO
   parānandamayīṃ parāṃ siddhim upapādayati || VSpkC_3.16:3]	para-Ananda-mayIm parAm sidDim upapAdayati || VSpkC_3.16:3]
   tanmātrodayarūpeṇa mano'hambuddhivartinā /	tanmAtra-udaya-rUpeNa manaH-ahambudDi-vartinA /
   puryaṣṭakena saṃruddhas tadutthaṃ pratyayodbhavam // VSpk_3.17 //	puryazwakena saMrudDaH tad-utTam pratyaya-udBavam // VSpc-_3.17 //
   bhuṅkte paravaśo bhogaṃ tadbhāvātsaṃsaredataḥ /	BuFkte para-vaSaH Bogam tad-BAvAt-saMsaret-atas /
   saṃsṛtipralayasyāsya kāraṇaṃ sampracakṣmahe // VSpk_3.18 //	saMsRti-pralayasya-asya kAraNam sampracakzmahe // VSpc-_3.18 //
   * puryaṣṭakotthitaṃ bhogaṃ bhuṅkte || VSpkC_3.17-18:1	* puryazwaka-utTitam Bogam BuFkte || VSpkC_3.17-18:1
   * yata eva pratyayeṣu sukhādipratyayodbhavaḥ ata evāsau pratyayodbhavāt	* yatas eva pratyayezu suKa-Adi-pratyaya-udBavaH atas eva-asO pratyaya-udBavAt-
   paśuḥ paravaśaḥ śabdānuvedhakrameṇa pade pade brāhmyādidevībhir	paSuH para-vaSaH Sabda-anuveDa-krameNa pade pade brAhmI-Adi-devIBiH-
   ākṣipyamāṇaḥ na tu suprabuddhavat svatantraḥ tasya puryaṣṭakasya bhāvādeva	AkzipyamANaH na tu suprabudDa-vat svatantraH tasya puryazwakasya BAvAt-eva
   punaḥpunarudbodhitavicitravāsanaḥ saṃsaret tattadbhogocitabhogāyatanāni	punar-punar-udboDita-vicitra-vAsanaH saMsaret tad-tad-Boga-ucita-Boga-AyatanAni
   śarīrāṇyarjayitvā gṛhṇāti cotsṛjati ca || VSpkC_3.17-18:2	SarIrANi-arjayitvA gRhNAti ca-utsRjati ca || VSpkC_3.17-18:2
   * yataś caivam ato 'sya puryaṣṭakasaṃruddhasya yā saṃsṛtis tasyā yaḥ	* yatas ca-evam atas asya puryazwaka-saMrudDasya yA saMsRtiH tasyAH yaH
   prakṛṣṭo layaḥ puryaṣṭakātmakamalocchedena vināśaḥ tasya kāraṇaṃ samyak	prakRzwaH layaH puryazwaka-Atmaka-mala-ucCedena vinASaH tasya kAraNam samyak-
   sukhopāyaṃ pracakṣmahe samanantaram eva brūmaḥ tathā sampracakṣmahe	suKa-upAyam pracakzmahe samanantaram eva brUmaH taTA sampracakzmahe
   prakaraṇe 'smin svayaṃ pratipāditavantaḥ || VSpkC_3.17-18:3	prakaraNe asmin svayam pratipAditavantaH || VSpkC_3.17-18:3
   * vartamānasāmīpye vartamānavad vā || VSpkC_3.17-18:4	* vartamAna-sAmIpye vartamAna-vat vA || VSpkC_3.17-18:4
   * iti vartamānaprayogaḥ || VSpkC_3.17-18:5	* iti vartamAna-prayogaH || VSpkS_3.17-18:5
   * etat pratipādayan ādyasūtroktamarthaṃ nigamayati || VSpkC_3.17-18:6]	* etat pratipAdayan Adya-sUtra-uktam-arTam nigamayati || VSpkC_3.17-18:6]
   yadā tv ekatra saṃrūḍhas tadā tasya layodayau /	yadA tu ekatra saMrUXaH tadA tasya laya-udayO /
   niyacchan bhoktṛtām eti tataś cakreśvaro bhavet // VSpk_3.19 //	niyacCan BoktRtAm eti tatas cakreSvaraH Bavet // VSpc-_3.19 //
   * yadā punarayamuktāḥ paratattvasamāveśopadeśayuktīḥ pariśīlayan ekatra	* yadA punar-ayam-uktAH para-tattva-samAveSa-upadeSa-yuktIH pariSIlayan ekatra
   pūrṇāhaṃtātmani spandatattve samyagavicalatvena rūḍhaḥ samāviṣṭas tanmayo	pUrNa-ahaMtA-Atmani spanda-tattve samyak-avicala-tvena rUXaH samAvizwaH tat-mayaH-
   bhavati tadā tasyeti pūrvasūtranirdiṣṭasya puryaṣṭakasya taddvāreṇaiva	Bavati tadA tasya-iti pUrva-sUtra-nirdizwasya puryazwakasya tad-dvAreNa-eva
   viśvasya nimīlanonmīlanasamāveśābhyāṃ layodayau niyacchan	viSvasya nimIlana-unmIlana-samAveSAByAm laya-udayO niyacCan
   prathamasūtranirṇītadṛśā ekasmād eva śaṃkarātmanaḥ svabhāvāt saṃhāraṃ	praTama-sUtra-nirNIta-dRSA ekasmAt eva SaMkara-AtmanaH svaBAvAt saMhAram
   sargaṃ ca kurvan bhoktṛtām eti dharādiśivāntasamagrabhogyakavalanena	sargam ca kurvan BoktRtAm eti DarA-Adi-Siva-anta-samagra-Bogya-kavalanena
   paramapramātṛtāṃ satīm eva pratyabhijñānakrameṇāvalambeta || VSpkC_3.19:1	parama-pramAtR-tAm satIm eva pratyaBijQAna-krameNa-avalambeta || VSpkC_3.19:1
   * tataś ca prathamasūtranirṇītasya śakticakrasya svamarīcinicayasyeśvaro	* tatas ca praTama-sUtra-nirNItasya Sakti-cakrasya sva-marIci-nicayasya-ISvaraH-
   'dhipatir bhavet || VSpkC_3.19:2	aDipatiH Bavet || VSpkC_3.19:2
   * anenaiva ca dehena maheśvaratvam avāpnotyeveti yāvat || VSpkC_3.19:3	* anena-eva ca dehena maheSvara-tvam avApnoti-eva-iti yAvat || VSpkC_3.19:3
   * evaṃ copakramopasaṃhārayor mahārthasaṃpuṭīkāraṃ darśayan tatsāratayā	* evam ca-upakrama-upasaMhArayoH mahArTa-saMpuwIkAram darSayan tad-sAratayA
   samastaśāṃkaropaniṣanmūrdhanyatām asyāviṣkaroti śāstrasya śrīmān	samasta-SAMkara-upanizad-mUrDanyatAm asya-Avizkaroti SAstrasya SrImAn
   vasuguptācāryaḥ iti śivam || VSpkC_3.19:4]	vasu-gupta-AcAryaH iti Sivam || VSpkC_3.19:4]
   spandakārikā, caturtho niḥṣyandaḥ	spanda-kArikA, caturTaH niHzyandaH
   agādhasaṃśayāmbhodhisamuttaraṇatāriṇīm /	agADa-saMSaya-amBoDi-samuttaraNa-tAriNIm /
   vande vicitrārthapadāṃ citrāṃ tāṃ gurubhāratīm // VSpk_4.1 //	vande vicitra-arTa-padAm citrAm tAm guru-BAratIm // VSpc-_4.1 //
   * tāmasāmānyāṃ bhagavatīṃ guruṃ śaivī mukham ihocyate iti sthityā	* tAmasAmAnyAm BagavatIm gurum SEvI muKam iha-ucyate iti sTityA
