   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   saṃprāpa pṛthivīpālaḥ Pnc_11.15a	saMprApa pRTivIpAlaH Pn= _11.15a
   saṃrabhya rāhor iva cakrapāṇiḥ Pnc_17.38c	saMraBya rAhoH iva cakrapANiH Pn= _17.38c
   saṃvādinyaḥ pade pade Pnc_11.9b	saMvAdinyaH pade pade Pnd _11.9b
   saṃvāhanaikacaturo niculānilas te Pnc_4.62d	saMvAhana eka caturaH nicula anilaH te Pn= _4.62d
   saṃvāhayantī kalahaṃsanādam Pnc_9.1b	saMvAhayantI kalahaMsa nAdam Pnc_9.1b
   saṃvītadehakavalīkṛtapannagāya Pnc_18.20b	saMvIta deha kavalIkRta pannagAya Pn= _18.20b
   saṃveṣṭyamāṇā paritaś cakāsti Pnc_1.45b	saMvezwyamANA paritas cakAsti Pnd _1.45b
   saṃsargam āsādya vilāsinīnāṃ Pnc_1.53a	saMsargam AsAdya vilAsinInAm Pn= _1.53a
   saṃhatir jalamucāṃ tirodadhe Pnc_8.13d	saMhatiH jalamucAm tirodaDe Pn= _8.13d
   saḥ kālarātrer iva kaṅkaṇāni Pnc_17.61d	saH kAlarAtreH iva kaFkaNAni Pn= _17.61d
   saḥ kilāñcitacāṭur ānayat Pnc_12.68c	saH kila AQcita cAwuH Anayat Pn= _12.68c
   saḥ kilādhyāsta tayā yuvānvitaḥ Pnc_12.67d	saH kila aDyAsta tayA yuvA anvitaH Pn= _12.67d
   saḥ kilāpat phaṇirājakanyayā Pnc_12.75d	saH kila Apad PaNi rAja kanyayA Pn= _12.75d
   saḥ kilāmbhojamukhīm avocat Pnc_12.15d	saH kila amBoja muKIm avocat Pn= _12.15d
   saḥ kuraṅgadṛśeva nidrayā Pnc_12.7c	saH kuraFga dRSA iva nidrayA Pn= _12.7c
   saḥ kuraṅgam alokata Pnc_2.34d	saH kuraFgam alokata Pn= _2.34d
   saḥ kūlopāntavicaran  Pnc_11.15c	saH kUla upAnta vicaran Pn= _11.15c
   saḥ krudhā nibhṛtakarṇapallavaḥ Pnc_8.54d	saH kruDA niBRta karNa pallavaH Pn= _8.54d
   saḥ kṣmāpatir jhaṭiti jūṭa ivāṣṭamūrteḥ Pnc_13.64d	saH kzmApatiH Jawiti jUwaH iva azwamUrteH Pn= _13.64d
   saḥ pariṣvaṅgam ivendumaṇḍalam Pnc_12.16d	saH parizvaFgam iva indu maNxalam Pn= _12.16d
   saḥ pratasthe mahīnāthaḥ Pnc_11.1c	saH pratasTe mahInATaH Pn= _11.1c
   saḥ prapede pinākinaḥ Pnc_2.38d	saH prapede pinAkinaH Pn= _2.38d
   saḥ śarāpātabhītena Pnc_2.41a	saH Sara ApAta BItena Pn= _2.41a
   saḥ śriyevānvagamyata Pnc_2.37b	saH SriyA iva anvagamyata Pnc_2.37b
   saḥ saṅgataṃ yan mṛgaśāvacakṣuṣaḥ Pnc_13.2a	saH saFgatam yat mRgaSAva cakzuzaH Pn= _13.2a
   saḥ sarasvatīmukhararatnanūpura  Pnc_10.41c	saH sarasvatI muKara ratna nUpura Pn= _10.41c
   saḥ sahāro vihagas tvayā nu dṛṣṭaḥ Pnc_5.42d	saH sahAraH vihagaH tvayA nu dRzwaH Pn= _5.42d
   sākaṃ phaṇīndrasutayāmbararodhikambu  Pnc_18.61c	sAkam PaNi indra sutayA ambara roDi kambu Pn= _18.61c
   sā kāpi saubhāgyaviśeṣalakṣmīḥ Pnc_1.41b	sA kA api sOBAgya viSeza lakzmIH Pnc_1.41b
   sā kilānaṅgamohitā Pnc_6.110b	sA kila anaFga mohitA Pn= _6.110b
   sā kena nītā phaṇirājakanyā Pnc_9.33b	sA kena nItA PaNi rAja kanyA Pnc_9.33b
   sākṣataṃ sadadhidūrvayāñcitaṃ Pnc_8.72c	sa akzatam sa daDi dUrvayA AQcitam Pn= _8.72c
   sā ca trijagatāṃ bhartur Pnc_16.94c	sA ca trijagatAm BartuH Pn= _16.94c
   sā ca doḥśayitabhuvā Pnc_6.46a	sA ca doHSayita BuvA Pn= _6.46a
   sācikārmukalatām alokata Pnc_8.12b	sAcikArmuka latAm alokata Pnd _8.12b
   sācimukulitadṛśā dadṛśe Pnc_15.12c	sa acimukulita dRSA dadRSe Pn= _15.12c
   sācirāṃśutapanīyamekhalā Pnc_8.13a	sa acira aMSu tapanIya meKalA Pn= _8.13a
   sācivyaṃ menaketunā Pnc_6.18b	sAcivyam mena ketunA Pnc_6.18b
   sāṭopam āropitacāpayāṣṭir Pnc_17.6a	sa Awopam Aropita cApa yAzwiH Pnd _17.6a
   sā tataḥ pṛthivībhujā Pnc_16.51b	sA tatas pRTivIBujA Pn= _16.51b
   sātanuśvasanaspṛṣṭa  Pnc_6.6a	sAtanu Svasana spRzwa Pnd _6.6a
   sā tena reje hāreṇa Pnc_6.112c	sA tena reje hAreNa Pn= _6.112c
   sā te samāptādbhutasāhasasya Pnc_9.61a	sA te samApta adButa sAhasasya Pn= _9.61a
   sādhuvādam iva narmadā dadau Pnc_8.42d	sADuvAdam iva narmadA dadO Pn= _8.42d
   sā narendratilakaṃ tam aikṣata Pnc_8.2c	sA narendra tilakam tam Ekzata Pn= _8.2c
   sānugraheṇa mama cedam adāyi tena Pnc_18.52d	sa anugraheNa mama ca idam adAyi tena Pn= _18.52d
   sānūni yasya sevante Pnc_11.61c	sAnUni yasya sevante Pn= _11.61c
   sāndrapremārdracetase Pnc_16.19b	sAndra prema Ardra cetase Pnc_16.19b
   sāndramadhuparimalaī ruruce Pnc_15.50c	sAndra maDu parimalaI ruruce Pn= _15.50c
   sāndramṛgamadanamaṣīracitaṃ Pnc_15.42c	sAndra mRga madana mazIra citam Pn= _15.42c
   sāndraruciyuvajano madirāṃ Pnc_15.64c	sAndra ruci yuvajanaH madirAm Pn= _15.64c
   sāndrasmarajvarapipāsitayā tayāpi Pnc_18.38c	sAndra smara jvara pipA sitayA tayA api Pn= _18.38c
   sāndrasvedajalāṅguleḥ Pnc_2.73b	sAndra sveda jala aFguleH Pnc_2.73b
   sāndrānurāgapiśunāḥ paraśuḥ pareṣām Pnc_18.14a	sAndra anurAga piSunAH paraSuH parezAm Pn= _18.14a
   sāndrāndhakārāntaritaṃ raṇe yaḥ Pnc_1.74b	sAndra anDakAra antaritam raNe yaH Pn= _1.74b
   sāndrocchaladhvani jagur jayamaṅgalāni Pnc_17.72d	sAndra ucCala Dvani jaguH jaya maFgalAni Pn= _17.72d
   sāndronmīlatsaurabhāṇy udvahantyo Pnc_15.71a	sAndra unmIlat sOraBANi udvahantyaH Pnc_15.71a
   sānyaiva ghaṭitābhavat Pnc_6.50d	sAnyA eva GawitA aBavat Pn= _6.50d
   sāpade 'tha bhujagendrakanyakā Pnc_8.1a	sa Apade aTa Bujaga indra kanyakA Pn= _8.1a
   sā pāṭalāvidhutacāmaramāruteṣat  Pnc_18.37a	sA pAwalA viDuta cAmara mAruta Izat Pn= _18.37a
   sāpi mīlitavilocanābhavat Pnc_8.7d	sA api mIlita vilocanA aBavat Pn= _8.7d
   sā puṇyamūrtijananī jagatsu Pnc_9.5b	sA puNya mUrti jananI jagatsu Pnd _9.5b
   sā puno na sulabhety asau śucā Pnc_8.19c	sA punaH na sulaBa iti asO SucA Pn= _8.19c
   sā purātanapathena pāvanī Pnc_8.14a	sA purAtana paTena pAvanI Pnd _8.14a
   sā puro mama hṛteti lajjayā Pnc_8.19a	sA puras mama hRtA iti lajjayA Pn= _8.19a
   sā bālādharapallave Pnc_6.43b	sA bAla aDara pallave Pnd _6.43b
   sā bālikābhūd avarā varāpi Pnc_9.46b	sA bAlikA aBUt avarAH varA api Pnd _9.46b
   sā mahīmīnalakṣmaṇaḥ Pnc_16.109d	sA mahI mIna lakzmaNaH Pn= _16.109d
   sā muhus taraledṛśau Pnc_6.7b	sA muhur tarala IdRSO Pnc_6.7b
   sā mekalakṣmādhararājakanyā Pnc_9.1d	sA meka lakzma aDara rAja kanyA Pn= _9.1d
   sāmrājyabhārodvahanapragalbho Pnc_1.89a	sAmrAjya BAra udvahana pragalBaH Pnc_1.89a
   sāyakaṃ kanakapuṅkham ādade Pnc_8.34d	sAyakam kanakapuFKam Adade Pn= _8.34d
   sāyantana ivānilaḥ Pnc_6.38d	sAyantanaH iva anilaH Pn= _6.38d
   sāyamadriśikharād ivāryamā Pnc_8.38d	sAyam adri SiKarAt iva aryamA Pn= _8.38d
   sāyam abdhim ivāryamā Pnc_2.94d	sAyam abDim iva aryamA Pn= _2.94d
   sāraṅgākṣyaḥ preyasāṃ kaṇṭhalagnāḥ Pnc_15.71d	sAraFga akzyaH preyasAm kaNWa lagnAH Pn= _15.71d
   sāraṅgāyatalocanaḥ Pnc_2.36d	sAraFga Ayata locanaH Pn= _2.36d
   sārasvataṃ śāśvatam āvir astu Pnc_1.4b	sArasvatam SASvatam Avis astu Pnd _1.4b
   sālaktakapadāṅkitam Pnc_16.57b	sa alaktaka pada aFkitam Pnc_16.57b
   sālaktakāḥ prāvṛṣi pādamudrāḥ Pnc_1.56d	sa alaktakAH prAvRzi pAda mudrAH Pn= _1.56d
   sā lakṣyate kiṃ cid anirvṛteva Pnc_9.23b	sA lakzyate kim cit anirvRtA iva Pnc_9.23b
   sāvaśeṣajalanīlakoṭibhiḥ Pnc_8.61c	sa avaSeza jala nIla kowiBiH Pn= _8.61c
   sāvahittham athetthaṃ sā Pnc_6.17a	sa avahitTam aTa itTam sA Pnd _6.17a
   sāvidhyata sumadhyamā Pnc_6.49b	sA aviDyata sumaDyamA Pnd _6.49b
   sā vilāsavasatiḥ śaśiprabhā Pnc_8.76b	sA vilAsa vasatiH SaSipraBA Pnc_8.76b
   sāśrulekhād apāsyata Pnc_11.70d	sa aSru leKAt apAsyata Pn= _11.70d
   sā sakhībhir alakṣyata Pnc_6.51d	sA saKIBiH alakzyata Pn= _6.51d
   sā sanāthā purī Pnc_6.23c	sA sa nATA purI Pn= _6.23c
   sā sāraṅgāyatalocanā Pnc_6.48b	sA sAraFga Ayata locanA Pn= _6.48b
   sā somasūtiḥ sarid ity uvāca Pnc_9.35b	sA somasUtiH sarit iti uvAca Pnd _9.35b
   sāhasavyasanino 'pi tādṛśāḥ Pnc_8.31d	sAhasa vyasaninaH api tAdRSAH Pn= _8.31d
   sāhasāṅkanirūpyate Pnc_6.18d	sAhasa aFka nirUpyate Pn= _6.18d
   sāhasena paritoṣitaiḥ surair Pnc_8.40c	sAhasena paritozitEH surEH Pnc_8.40c
   sāhasodadhiviloḍane svayaṃ Pnc_8.9a	sAhasa udaDi viloxane svayam Pn= _8.9a
   sā hārahastā ruruce Pnc_6.100a	sA hAra hastAH ruruce Pnd _6.100a
   sikte tadābhavat tasyāḥ Pnc_6.103c	sikte tadA Bavat tasyAH Pn= _6.103c
   sitacakṣuṣām asitaratna  Pnc_15.5a	sita cakzuzAm asita ratna Pn= _15.5a
   sitacāmaradhāraṇe niyuktāṃ Pnc_5.40a	sita cAmara DAraNe niyuktAm Pn= _5.40a
   sitacchatraparamparaḥ Pnc_2.11b	sita= Catra paramparaH Pn= _2.11b
   sitacchadādāptam ito vibhūṣaṇam Pnc_4.25b	sita= CadAt Aptam itas viBUzaNam Pnc_4.25b
   sitacchado locanagocaraṃ gataḥ Pnc_4.35d	sitacCadaH locana gocaram gataH Pn= _4.35d
   sitaprasūnastabakais tarūṇām Pnc_14.29a	sita prasUna stabakEH tarUNAm Pnd _14.29a
   sitamaṇimayasūcinirmitasya Pnc_3.9c	sita maNi maya sUci nirmitasya Pn= _3.9c
   sitamaṇimaye yasminn anto bahiś ca mṛgīdṛśaḥ Pnc_14.87d	sita maNi maye yasmin antaH bahis ca mRgI dRSaH Pn= _14.87d
   sitam abhinavahemadaṇḍaśobhi Pnc_3.49c	sitam aBinava hema daNxa SoBi Pn= _3.49c
   sitam aṃse ca cāmaram Pnc_6.99d	sitam aMse ca cAmaram Pn= _6.99d
   sitameghād iva tārakāvitānam Pnc_5.65b	sita meGAt iva tArakA vitAnam Pnc_5.65b
   sitaratnadarpaṇanibhāsu lebhire Pnc_15.7d	sita ratna darpaNa niBAsu leBire Pn= _15.7d
   sitātapatratvam udañcad āpa Pnc_17.63c	sita Atapatra tvam udaQcat Apa Pn= _17.63c
   sitātapatrair iva sarvato vṛtaḥ Pnc_4.31b	sita AtapatrEH iva sarvatas vRtaH Pnc_4.31b
   sitāravindacchadadīrghalocanaḥ Pnc_4.28b	sita aravinda= Cada dIrGa locanaH Pn= _4.28b
   sitāśmavātāyanapaṅktir eti Pnc_1.23b	sita aSma vAtAyana paFktiH eti Pnd _1.23b
   sitāśmaharmyam uttuṅgaṃ Pnc_16.6a	sitASma harmyam uttuFgam Pn= _16.6a
   sitāṃśukā kām api kāntim aśnute Pnc_4.16b	sita aMSukA kAm api kAntim aSnute Pnc_4.16b
   sitetarendīvaramecakāḥ kva cit Pnc_13.45b	sitetara indIvara mecakAH kva cit Pnd _13.45b
   siddhavidyādharoragaiḥ Pnc_2.54b	sidDa vidyADara uragEH Pnd _2.54b
   siddhiḥ sāhasikasya te Pnc_11.115b	sidDiH sAhasikasya te Pnc_11.115b
   sinduvārasya mañjarī Pnc_6.74d	sinduvArasya maQjarI Pn= _6.74d
   sindūrapūrāruṇagaṇḍabhitti Pnc_17.4b	sindUra pUra aruNa gaNxa Bitti Pnd _17.4b
   sindūrareṇur dviradānanasya Pnc_1.3b	sindUra reNuH dvirada Ananasya Pnc_1.3b
   Sindhurāja iti vyaktaṃ Pnc_11.101c	SinDurAjaH iti vyaktam Pn= _11.101c
   Sindhurājasya sāyakaḥ Pnc_6.11d	SinDurAjasya sAyakaH Pn= _6.11d
   sindhos taṭe saḥ padam ekapade cakāra Pnc_18.57b	sinDoH tawe saH padam eka pade cakAra Pn= _18.57b
   siṃhadvāram avāpa sa Pnc_16.70d	siMha dvAram avApa sa Pn= _16.70d
   siṃhāsanenātitarāṃ bibharti Pnc_1.43d	siMhAsanena atitarAm biBarti Pn= _1.43d
   siṃhāsane manmathapārthivasya Pnc_10.66d	siMhAsane manmaTa pArTivasya Pn= _10.66d
   siṃhāsanair manmathapārthivasya Pnc_14.17b	siMhAsanEH manmaTa pArTivasya Pnc_14.17b
   Sītā yathā daśaratheḥ salīlam Pnc_9.61c	SItAH yaTA daSaraTeH sa lIlam Pn= _9.61c
   Sītocchvasitahetunā Pnc_11.77b	SIta ucCvasita hetunA Pnc_11.77b
   sīmantitam uraḥsthalam Pnc_11.33b	sImantitam uraH sTalam Pnc_11.33b
   sīmantitādharaḥ smitvā Pnc_16.84c	sImanti tA DaraH smitvA Pn= _16.84c
   sīmantitābhrapaṭalaḥ śaśikāntaśailam Pnc_18.66b	sImantita aBra pawalaH SaSikAnta SElam Pnc_18.66b
   sīmantitāmbupaṭalena pathā sasainyaḥ Pnc_18.56d	sImantita ambu pawalena paTA sa sEnyaH Pn= _18.56d
   sīmantinīcaṭulanūpurakāñcinādaḥ Pnc_18.54b	sImantinI cawula nUpura kAQci nAdaH Pnc_18.54b
   sīmantinīnāṃ nayanotpalāni Pnc_14.73d	sImantinInAm nayana utpalAni Pn= _14.73d
   sīmantinīnivahasasmitavīkṣitāyāḥ Pnc_14.86b	sImantinI nivahasa smita vIkzitAyAH Pn= _14.86b
   sīmā satītiśabdasya Pnc_11.17a	sImA satIti Sabdasya Pn= _11.17a
   sukumāre tavāpy aṅge Pnc_6.59c	sukumAre tava api aFge Pn= _6.59c
   sukṛtanidhāna! bhaviṣyataḥ śubhasya Pnc_3.29d	su kRta niDAna! BavizyataH SuBasya Pn= _3.29d
   sukṛṣṇatāreṇa tuṣārapāṇḍunā Pnc_7.16b	su kRzNa tAreNa tuzAra pANxunA Pnc_7.16b
   sukham ātmakarmaṇi ratā nayanti yat Pnc_10.23b	suKam Atma karmaNi ratAH nayanti yat Pnd _10.23b
   sukhaṃ sadaivāsurajit samudre Pnc_9.30c	suKam sadA eva asurajit samudre Pn= _9.30c
   sukhāsīne mahībhṛti Pnc_11.39b	suKa AsIne mahIBRti Pnd _11.39b
   sugandhi toyaṃ jaladā vamanti Pnc_1.53d	suganDi toyam jaladAH vamanti Pn= _1.53d
   sugandhipavanaṃ vanam Pnc_16.64d	suganDi pavanam vanam Pn= _16.64d
   sugandhibhis tīrataruprasūnaiḥ Pnc_1.44b	suganDiBiH tIra taru prasUnEH Pnc_1.44b
   sugandhibhiḥ pāṭalipādapena Pnc_14.55c	suganDiBiH pAwalipAdapena Pn= _14.55c
   sugandhihārād anulepanaṃ kare Pnc_4.4a	suganDi hArAt anulepanam kare Pnd _4.4a
   suciram udañcitadīrghapakṣmamāle Pnc_6.118b	su ciram udaQcita dIrGa pakzma mAle Pn= _6.118b
   sujanam iva guṇair upoḍhaśobhaṃ Pnc_3.54a	su janam iva guNEH upoXa SoBam Pn= _3.54a
   sujātakāṭhiṇyapayodharāḥ spṛhām Pnc_13.41a	sujAta kAWiNya payoDarAH spRhAm Pnc_13.41a
   sutanu tryaśruvilokitaṃ tava Pnc_12.18d	su tanu tri aSru vilokitam tava Pn= _12.18d
   sutanu tvayā mayi ca puṣpadhanvanā Pnc_10.57d	su tanu tvayA mayi ca puzpaDanvanA Pn= _10.57d
   sutanus tīratale 'vatiṣṭhate sā Pnc_5.56b	su tanuH tIra tale avatizWate sA Pnd _5.56b
   sutanuḥ sneharasārdratām upaitu Pnc_5.76d	su tanuH sneha rasa Ardra tAm upEtu Pn= _5.76d
   sutanuḥ snehavaṃśavadena pitrā Pnc_5.26b	su tanuH sneha vaMSa vadena pitrA Pn= _5.26b
   sutarāṃ nāma sakhībhir āśugeti Pnc_5.23d	sutarAm nAma saKIBiH ASuga iti Pn= _5.23d
   sutīkṣṇayā vartikayeva cintayā Pnc_4.6b	su tIkzNayA vartikayA iva cintayA Pnd _4.6b
   sudati tvadapāṅgapaṭale Pnc_12.35c	sudati tvad apAFga pawale Pn= _12.35c
   sudati svedalavārdrapatrayā Pnc_12.19b	sudati sveda lava Ardra patrayA Pn= _12.19b
   sudṛśaḥ śamavāripaṅkilāt Pnc_12.71c	su dRSaH Sama vAri paFkilAt Pn= _12.71c
   sudṛśaḥ saḥ karātithiḥ śaraḥ Pnc_12.5c	su dRSaH saH kara atiTiH SaraH Pn= _12.5c
   sudṛśaḥ saḥ kilānyataścutaṃ(?) Pnc_12.78a	su dRSaH saH kila anyatas cutaM(?) Pn= _12.78a
   sudṛśaḥ sphuṭaṃ navanakhāṅkam Pnc_15.24a	su dRSaH sPuwam nava naKa aFkam Pnd _15.24a
   sudṛśaḥ svinnakapolam ānanam Pnc_12.69d	su dRSaH svinna kapolam Ananam Pn= _12.69d
   sudṛśām anaṅgamadadīpanaṃ payaḥ Pnc_15.32d	sudRSAm anaFga mada dIpanam payaH Pn= _15.32d
   sudṛśāṃ nimajjya surasindhu  Pnc_15.9a	sudRSAm nimajjya sura sinDu Pnd _15.9a
   sudṛśāṃ madād atha parisrud Pnc_15.66a	sudRSAm madAt aTa parisrud Pnd _15.66a
   sudhayeva niṣiñcatī Pnc_6.52d	suDayA iva niziQcatI Pn= _6.52d
   sudhāgaṇḍūṣabandhunā Pnc_16.45d	suDA gaNxUza banDunA Pn= _16.45d
   sudhāniṣyandajaḍayā Pnc_6.17c	suDA nizyanda jaxayA Pn= _6.17c
   sudhāniṣyandalekhayā Pnc_6.103b	suDA nizyanda leKayA Pn= _6.103b
   sudhāniṣyandinī tava Pnc_16.24b	suDA nizyandinI tava Pnc_16.24b
   sudhārasa ivorvībhṛt Pnc_6.104a	suDA rasaH iva UrvIBRt Pn= _6.104a
   sudhāsahacaram madhu Pnc_6.34d	suDA sahacaram maDu Pn= _6.34d
   sudhāsitaṃ kṣaumam ivāstṛtaṃ taṃ Pnc_9.18a	suDA sitam kzOmam iva AstRtam tam Pn= _9.18a
   sudhāsūtir ivābjinīm Pnc_6.89d	suDA sUtiH iva abjinIm Pn= _6.89d
   sudhaikasūtiḥ sa yadākaras te Pnc_9.26c	suDA eka sUtiH sa yat AkaraH te Pn= _9.26c
   sundari dvitayasyātra Pnc_6.82a	sundari dvitayasya atra Pn= _6.82a
   suptevālikhiteva ca Pnc_6.48d	suptA iva aliKitA iva ca Pn= _6.48d
   subhaṭāḥ svayaṃ vidhivaśena ke cana Pnc_10.35b	su BawAH svayam viDi vaSena ke cana Pn= _10.35b
   subhaṭair udāyudhakarair adhiṣṭhitām Pnc_10.32b	su BawEH udAyuDa karEH aDizWitAm Pn= _10.32b
   subhruvaḥ smaravilāsadeśikaṃ Pnc_8.35a	suBruvaH smara vilAsa deSikam Pn= _8.35a
   sumukhīṃ tām anukūlavṛttitām Pnc_12.68d	su muKIm tAm anukUla vRtti tAm Pn= _12.68d
   sumukhīṃ svapnaprathena pārthivaḥ Pnc_12.8b	su muKIm svapna praTena pArTivaH Pnd _12.8b
   surakinnarasiddhakanyakābhiḥ Pnc_5.25a	sura kinnara sidDa kanyakABiH Pnd _5.25a
   surataklāntaśabarī  Pnc_6.69a	surata klAnta SabarI Pn= _6.69a
   surataśrāntaśabarī  Pnc_2.33c	surata SrAnta SabarI Pn= _2.33c
   suradviṣaḥ kāñcanaketudaṇḍam Pnc_17.62d	suradvizaH kAQcana ketu daNxam Pn= _17.62d
   suranirjayārjitamadāvṛte 'ntaraṃ Pnc_10.30c	sura nirjaya arjita mada AvRte antaram Pn= _10.30c
   surabhikusumacumbināvanamrām Pnc_3.20a	suraBi kusuma cumbinA avanamrAm Pnd _3.20a
   suravīthīpathiko virocanaḥ Pnc_12.30b	suravITI paTikaH virocanaH Pnc_12.30b
   suravairivīryadṛḍhamatsaraṃ puraḥ Pnc_10.34c	sura vEri vIrya dRXa matsaram puras Pn= _10.34c
   Surasaritaḥ pavanena puṇḍarīkam Pnc_3.16d	Sura saritaH pavanena puNxarIkam Pn= _3.16d
   surāṅganādhyāsitaratnakandhare Pnc_13.32c	sura aFganA DyAsita ratna kanDare Pn= _13.32c
   surāṅganābhiḥ spṛhayekṣyamāṇāḥ Pnc_17.11b	sura aFganABiH spRhayA IkzyamANAH Pnc_17.11b
   surāpagāvīcivipāṇḍur eṣa te Pnc_7.20a	surApaga avIci vipANxuH eza te Pnc_7.20a
   surārividyādharasundarīṇāṃ Pnc_17.52c	surAri vidyADara sundarINAm Pn= _17.52c
   sureṣu vā pannagapuṅgaveṣu vā Pnc_7.68b	surezu vA pannaga puFgavezu vA Pnd _7.68b
   suraiś ca siddhaiś ca mahoragaiś ca Pnc_9.42b	surEH ca sidDEH ca mahA uragEH ca Pnc_9.42b
   sulabhasvedamukhendubimbayā Pnc_12.73d	sulaBa sveda muKa indu bimbayA Pn= _12.73d
   sulabhāṅgakhelad abalasya vikriyā Pnc_15.11d	sulaBa aFga Kelat abalasya vikriyA Pn= _15.11d
   sulabho 'syā hi mahājanoparodhaḥ Pnc_5.54d	sulaBaH asyAH hi mahA jana uparoDaH Pn= _5.54d
   suvate mauktikam eva yat payāṃsi Pnc_5.16d	suvate mOktikam eva yat payAMsi Pn= _5.16d
   suvarṇatāṃ vaktram upaiti sadhor Pnc_1.14c	suvarNa tAm vaktram upEti saDoH Pn= _1.14c
   suvarṇapuṅkhe likhitaṃ śilīmukhe Pnc_4.36a	suvarNa puFKe liKitam SilImuKe Pn= _4.36a
   suvṛttatām udvahatā svabhāvataḥ Pnc_13.22c	su vRtta tAm udvahatA svaBAvataH Pn= _13.22c
   suvelaratnākarayor udagrā Pnc_17.67c	suvela ratna AkarayoH udagrA Pn= _17.67c
   suhṛt kāmasya kā gatiḥ Pnc_6.72d	suhRd kAmasya kA gatiH Pn= _6.72d
   sūkṣmo 'yam unmīlati śaktileśaḥ Pnc_1.11b	sUkzmaH ayam unmIlati Sakti leSaH Pn= _1.11b
   sūte sakhi vasundharā Pnc_6.80d	sUte saKi vasunDarA Pn= _6.80d
   sūryamaṇḍalapathena yogavān Pnc_8.63d	sUrya maNxala paTena yogavAn Pn= _8.63d
   sūryācandramasāv iva Pnc_16.75d	sUryAcandramasO iva Pn= _16.75d
   senā vanasyābhimukhaṃ prayāti Pnc_14.31c	senA vanasya aBimuKam prayAti Pn= _14.31c
   sendīvarasphaṭikaśuktiśatā cakāse Pnc_15.69b	sa indIvara sPawika Sukti SatA cakAse Pnc_15.69b
   sevānubhavaḥ sa raghūdvahasya Pnc_1.11d	sevA anuBavaH sa raGu udvahasya Pn= _1.11d
   sainyaṃ kṣaṇān nijam atha smṛtamātram eva Pnc_13.68b	sEnyam kzaNAt nijam aTa smRta mAtram eva Pn= _13.68b
   sainyaṃ vilokya sphaṭikāṅgaṇeṣu Pnc_14.25b	sEnyam vilokya sPawika aFgaNezu Pnd _14.25b
   saiva hālāhalachaṭā Pnc_16.24d	sA eva hAlAhala CawA Pn= _16.24d
   so 'kṛtapraṇayam indupāṇḍuni Pnc_8.28d	saH akRta praNayam indu pANxuni Pn= _8.28d
   so 'timātragahane 'pi raṃhasā Pnc_8.31a	saH atimAtra gahane api raMhasA Pn= _8.31a
   sotkaṇṭhair avalokyate Pnc_2.63d	sa utkaNWEH avalokyate Pn= _2.63d
   so 'tha kautukahṛtas tadaṅgaṇam Pnc_8.65b	saH aTa kOtuka hRtaH tad aFgaNam Pnc_8.65b
   so 'tha tena bilavartmanā śanaiḥ Pnc_8.48c	saH aTa tena bila vartmanA SanEs Pn= _8.48c
   so 'tha pravavṛte gantuṃ Pnc_16.60a	saH aTa pravavRte gantum Pn= _16.60a
   so 'tha mālavakuraṅgalāñchanaḥ Pnc_8.21d	saH aTa mAlava kuraFga lAQCanaH Pn= _8.21d
   so 'tha mālyaśakalaṃ vyalokata Pnc_8.24b	saH aTa mAlya Sakalam vyalokata Pnc_8.24b
   so dadarśa kila prajeśvaraḥ Pnc_12.69c	saH dadarSa kila prajA ISvaraH Pn= _12.69c
   so dūrodastaparyasta  Pnc_2.82a	saH dUra udasta paryasta Pn= _2.82a
   so dṛṣṭipatham āyāti Pnc_11.37a	saH dRzwi paTam AyAti Pnd _11.37a
   sodyamena puno 'py avaiṣyatā Pnc_8.45c	sa udyamena punaH api avEzya tA Pn= _8.45c
   so narmadopadiṣṭena Pnc_11.3c	saH narmadA upadizwena Pn= _11.3c
   so nirjagāmātha mahāsurendro Pnc_17.6c	saH nirjagAma aTa mahA asura indraH Pn= _17.6c
   so nṛpaḥ kam api pramodam āpat Pnc_5.58c	saH nRpaH kam api pramodam Apad Pn= _5.58c
   so nṛlokaśaśī tvam eva manye Pnc_5.46a	saH nR loka SaSI tvam eva manye Pnd _5.46a
   so 'pi taṃ valitagrīvaḥ Pnc_2.35a	saH api tam valita grIvaH Pn= _2.35a
   so bāṣpaparyākulalocanāni Pnc_9.54a	saH bAzpa paryAkula locanAni Pnd _9.54a
   so bhṛṅgadhvaninā supto Pnc_2.89a	saH BRFga DvaninA suptaH Pnd _2.89a
   somasūtir api nimnagā vahat Pnc_8.14b	soma sUtiH api nimnagA vahat Pnd _8.14b
   so mauliratnāni mahoragāṇām Pnc_9.53a	saH mOli ratnAni mahA uragANAm Pnc_9.53a
   so ratnacūḍo 'pi tathā bhuśuṇḍyā Pnc_17.63a	saH ratnacUxaH api taTA BuSuNxyA Pnc_17.63a
   sollasatsmaralīlena Pnc_6.5a	sa ullasat smara lIlena Pn= _6.5a
   so vatsa, jāte janakaḥ kṛtātmā Pnc_9.5a	saH vatsa, jAte janakaH kRtAtmA Pn= _9.5a
   so 'vadhāryātha tasyāgre Pnc_16.21c	saH avaDArya aTa tasya agre Pn= _16.21c
   so hi kenāpi kṛtyena Pnc_6.28a	saH hi kena api kRtyena Pn= _6.28a
   saumitriṇā janakarājatanūjayā ca Pnc_18.59d	sOmitriNA janaka rAja tanUjayA ca Pn= _18.59d
