   Rājanighaṇṭu, Maṅgalācaraṇa	RAjani GaNwu, MaFgala AcaraNa
   tacca pañcavidhaṃ proktaṃ svasvayogaviśeṣataḥ /	tat ca paQcaviDam proktam sva sva yoga viSezataH /
   rasaścūrṇaṃ kaṣāyaścāvalehaḥ kalka ityapi // Rajni_20.37	rasaH cUrNam kazAyaH ca avalehaH kalkaH iti api // Rajni_20.37
   raso dṛṣadi saṃbhinno divyadravyasamanvitaḥ /	rasaH dRzadi saMBinnaH divya dravya samanvitaH /
   cūrṇaṃ tu vastubhiḥ kṣuṇṇaiḥ kaṣāyaḥ kvathitaistu taiḥ // Rajni_20.38	cUrNam tu vastuBiH kzuNNEH kazAyaH kvaTitEH tu tEH // Rajni_20.38
   taiḥ pakvair avalehaḥ syātkalko madhvādimarditaiḥ // Rajni_20.39	tEH pakvEH avalehaH syAt kalkaH maDu Adi marditEH // Rajni_20.39
   pācanaḥ śodhanīyaśca kledanaśca śamastathā /	pAcanaH SoDanIyaH ca kledanaH ca SamaH taTA /
   dīpanastarpaṇaḥ śoṣa iti saptavidhāḥ smṛtāḥ // Rajni_20.40	dIpanaH tarpaNaH SozaH iti saptaviDAH smRtAH // Rajni_20.40
   pācano 'rdhāvaśeṣaśca śodhano dvādaśāṃśakaḥ /	pAcanaH arDAvaSezaH ca SoDanaH dvAdaSa aMSakaH /
   kledanaścaturaṃśastu śamaścāṣṭāṃśako mataḥ // Rajni_20.41	kledanaH catur aMSaH tu SamaH ca azwa aMSakaH mataH // Rajni_20.41
   dīpanastu ṣaḍaṃśaśca tarpaṇaḥ pañcamāṃśakaḥ /	dIpanaH tu zaz aMSaH ca tarpaNaH paQcama aMSakaH /
   śoṣaṇaḥ ṣoḍaśāṃśaśca kvāthabhedā itīritāḥ // Rajni_20.42	SozaNaH zoxaSa aMSaH ca kvATa BedAH iti IritAH // Rajni_20.42
   jñeyaṃ rasādikathanādanantaraṃ kilānupānaṃ kathayanti sūrayaḥ /	jQeyam rasa Adi kaTanAt anantaram kila anupAnam kaTayanti sUrayaH /
   vilambya ca krāmaṇam etad īritaṃ rātrau punaḥ pācanam etad ūcire //	vilambya ca krAmaNam etat Iritam rAtrO punar pAcanam etat Ucire //
   Rajni_20.43	Rajni_20.43
   ātmanīnaṃ tu pathyaṃ syādāyuṣyaṃ ca hitaṃ ca tat // Rajni_20.44	AtmanInam tu paTyam syAt Ayuzyam ca hitam ca tat // Rajni_20.44
   kila pāṭavam ārogyam agadaṃ syādanāmayam /	kila pAwavam Arogyam agadam syAt anAmayam /
   kalpastu paṭurullāgho nirātaṅko nirāmayaḥ // Rajni_20.45	kalpaH tu pawuH ullAGaH nirAtaFkaH nirAmayaH // Rajni_20.45
   agado nīrujo nirug anātaṅkaś ca kathyate // Rajni_20.46	agadaH nIrujaH niruj anAtaFkaH ca kaTyate // Rajni_20.46
   vaidyaḥ śreṣṭho 'gadaṃkāro rogahārī bhiṣagvidhiḥ /	vEdyaH SrezWaH agadaMkAraH roga hArI Bizaj viDiH /
   rogajño jīvano vidvān āyurvedī cikitsakaḥ // Rajni_20.47	roga jQaH jIvanaH vidvAn AyurvedI cikitsakaH // Rajni_20.47
   vipro vaidyakapāragaḥ śuciranūcānaḥ kulīnaḥ kṛtī dhīraḥ kālakalāvid	vipraH vEdyaka pAragaH SuciH anUcAnaH kulInaH kRtI DIraH kAla kalA vid
   āstikamatir dakṣaḥ sudhīr dhārmikaḥ /	Astika matiH dakzaH suDIH DArmikaH /
   svācāraḥ samadṛgdayālur akhalo yaḥ siddhamantrakramaḥ śāntaḥ kāmamalolupaḥ	su AcAraH samadRS dayAluH aKalaH yaH sidDa mantra kramaH SAntaH kAmam alolupaH
   kṛtayaśā vaidyaḥ sa vidyotate // Rajni_20.48	kRta yaSAH vEdyaH sa vidyotate // Rajni_20.48
   adhīraḥ karkaśo lubdhaḥ sarogo nyūnaśikṣitaḥ /	aDIraH karkaSaH lubDaH sa rogaH nyUna SikzitaH /
   pañca vaidyā na yujyante dhanvantarisamā api // Rajni_20.49	paQca vEdyAH na yujyante Danvantari samAH api // Rajni_20.49
   pumarthāś catvāraḥ khalu karaṇasaukhyaikasubhagās tad etad	pum arTAH catvAraH Kalu karaNa sOKya eka suBagAH tat etat 
   bhaiṣajyānavarataniṣevaikavaśagam /	BEzajya anavarata nizeva eka vaSa gam /
   tadapyekāyattaṃ phaladam agadaṃkārakṛpayā tato loke loke na param	tat api ekAyattam Pala dam agadaMkAra kRpayA tatas loke loke na param
   upakartaivamamutaḥ // Rajni_20.50	upakartA evam amutas // Rajni_20.50
   rājāno vijigīṣayā nijabhujaprakrāntam ojodayāt śauryaṃ saṃgararaṅgasadmani	rAjAnaH vijigIzayA nija Buja prakrAntam oja udayAt SOryam saMgara raFga sadmani
   yathā saṃbibhrate saṃgatāḥ /	yaTA saMbiBrate saMgatAH /
   yasminnauṣadhayas tathā samuditāḥ sidhyanti vīryādhikā vipro 'sau bhiṣag	yasmin= OzaDayaH taTA samuditAH siDyanti vIrya aDikA vipraH asO Bizaj 
   ucyate svayamiti śrutyāpi satyāpitam // Rajni_20.51	ucyate svayam iti SrutyA api satyApitam // Rajni_20.51
   yathāvad utkhāya śucipradeśajā dvijena kālādikatattvavedinā /	yaTAvat utKAya Suci pradeSa jAH dvijena kAla Adika tattva vedinA /
   yathāyathaṃ cauṣadhayo guṇottarāḥ pratyāharante yamagocarān api //	yaTAyaTam ca ozaDayaH guNa uttarAH pratyAharante yama gocarAn api //
   Rajni_20.52	Rajni_20.52
   yena tvāṃ khanate brahmā yena tvāṃ khanate bhṛguḥ /	yena tvAm Kanate brahmA yena tvAm Kanate BRguH /
   yenendro yena varuṇaḥ khanate yena keśavaḥ /	yena indraH yena varuNaH Kanate yena keSavaH /
   tenāhaṃ tvāṃ khaniṣyāmi siddhiṃ kuru mahauṣadha // Rajni_20.53	tena aham tvAm KanizyAmi sidDim kuru mahOzaDaH // Rajni_20.53
   vipraḥ paṭhann imaṃ mantraṃ prayatātmā mahauṣadhīm /	vipraH paWan imam mantram prayata AtmA mahOzaDIm /
   khātvā khādirakīlena yathāvattāṃ prayojayet // Rajni_20.54	KAtvA KAdira kIlena yaTAvat tAm prayojayet // Rajni_20.54
   vīryaṃ prakāśya nijamoṣadhayaḥ kilocur anyonyam urvyapi divo	vIryam prakASya nijam ozaDayaH kila UcuH anyonyam urvI api divaH 
   bhuvamāvrajantyaḥ /	Buvam AvrajantyaH /
   jīvaṃ mumūrṣam api yaṃ hi vayaṃ mahimnā svena stuvīmahi sa jātvapi naiva	jIvam mumUrzam api yam hi vayam mahimnA svena stuvImahi sa jAtu api na eva
   naśyet // Rajni_20.55	naSyet // Rajni_20.55
   pratyāyitāḥ pramuditā muditena rājñā somena sākamidamoṣadhayaḥ samūcuḥ /	pratyAyitAH pramuditAH muditena rAjQA somena sAkam idam ozaDayaH samUcuH /
   yasmai dvijo diśati bheṣajamāśu rājan taṃ pālayāma iti ca śrutirāha sākṣāt	yasmE dvijaH diSati Bezajam ASu rAjan tam pAlayAmaH iti ca SrutiH Aha sAkzAt 
   // Rajni_20.56	// Rajni_20.56
   āsāmīśo likhitapaṭhitaḥ sa dvijānāṃ hi rājā siddhyai yāśca dvijam avṛjinaṃ	AsAm ISaH liKita paWitaH sa dvijAnAm hi rAjA sidDyE yAH ca dvijam avRjinam
   svāśrayaṃ kāmayante /	sva ASrayam kAmayante /
   tāsvevānyaḥ prasarati madād yas tu jātyā ca gatyā hīnaḥ śūnyo jagati	tAsu eva anyaH prasarati madAt yaH tu jAtyA ca gatyA hInaH SUnyaH jagati
   kupitāḥ pātayanty enam etāḥ // Rajni_20.57	kupitAH pAtayanti enam etAH // Rajni_20.57
   dravyābhidhānagadaniścayakāyasaukhyaṃ śalyādibhūtaviṣagrahabālavaidyam /	dravya aBiDAna gada niScaya kAya sOKyam Salya Adi BUta viza graha bAla vEdyam /
   vidyādrasāyanavaraṃ dṛḍhadehahetum āyuḥśruter dvicaturaṅgam ihāha śambhuḥ	vidyAt rasAyana varam dRXa deha hetum AyuH SruteH dvi caturaFgam iha Aha SamBuH
   // Rajni_20.58	// Rajni_20.58
   aṣṭāṅgaṃ śalyaśālākyakāyabhūtaviṣaṃ tathā /	azwAFgam Salya SAlAkya kAya BUta vizam taTA /
   bālo rasāyanaṃ vṛṣyamiti kaiścidudāhṛtam // Rajni_20.59	bAlaH rasAyanam vRzyam iti kEScid udAhRtam // Rajni_20.59
   aṣṭāṅgajñaḥ suvaidyo hi kiyaddhīno yathāṅgataḥ /	azwAFga jQaH su vEdyaH hi kiyat hInaH yaTA aFgataH /
   aṅgahīnaḥ sa vijñeyo na ślāghyo rājamandire // Rajni_20.60	aFga hInaH sa vijQeyaH na SlAGyaH rAja mandire // Rajni_20.60
   prājño vijñaḥ paṇḍito dīrghadarśī dhīro dhīmān kovido labdhavarṇaḥ /	prAjQaH vijQaH paNxitaH dIrGadarSI DIraH DImAn kovidaH labDa varNaH /
   doṣajñaḥ san dūradarśī manīṣī medhāvī jñaḥ sūrivijñau vipaścit //	doza jQaH san dUradarSI manIzI meDAvI jQaH sUri vijQO vipaScit //
   Rajni_20.61	Rajni_20.61
   vaijñānikaḥ kṛtamukhaḥ saṃkhyāvān matimān kṛtī /	vEjQAnikaH kRta muKaH saMKyAvAn matimAn kRtI /
   kuśāgrīyamatiḥ kṛṣṭiḥ kuśalo viduro budhaḥ // Rajni_20.62	kuSa agrIya matiH kRzwiH kuSalaH viduraH buDaH // Rajni_20.62
   niṣṇātaḥ śikṣito dakṣaḥ sudīkṣaḥ kṛtadhīḥ sudhīḥ /	nizNAtaH SikzitaH dakzaH su dIkzaH kRta DIH suDIH /
   abhijño nipuṇo vidvān kṛtakarmā vicakṣaṇaḥ // Rajni_20.63	aBijQaH nipuNaH vidvAn kRta karmA vicakzaNaH // Rajni_20.63
   vidagdhaścaturaścaiva prauḍho boddhā viśāradaḥ /	vidagDaH caturaH ca eva prOXaH bodDA viSAradaH /
   sumedhāḥ sumatistīkṣṇaḥ prekṣāvān vibudho vidan // Rajni_20.64	sumeDAH sumatiH tIkzNaH prekzAvAn vibuDaH vidan // Rajni_20.64
   manīṣā dhiṣaṇā prajñā dhāraṇā śemuṣī matiḥ /	manIzA DizaNA prajQA DAraNA SemuzI matiH /
   dhīr buddhiḥ pratipat prekṣā pratipattiśca cetanā // Rajni_20.65	DIH budDiH pratipad prekzA pratipattiH ca cetanA // Rajni_20.65
   saṃvij jñaptiś copalabdhiś cinmedhā mananaṃ manaḥ /	saMvid jQaptiH ca upalabDiH cit meDAH mananam manaH /
   bhānaṃ bodhaśca hṛllekhaḥ saṃkhyā ca pratibhā ca sā // Rajni_20.66	BAnam boDaH ca hRlleKaH saMKyA ca pratiBA ca sA // Rajni_20.66
   ādānaṃ rogahetuḥ syānnidānaṃ rogalakṣaṇam /	AdAnam roga hetuH syAt nidAnam roga lakzaNam /
   cikitsā tatpratīkāraḥ ārogyaṃ ruṅnivartanam // Rajni_20.67	cikitsA tad pratIkAraH Arogyam ruj nivartanam // Rajni_20.67
   maṇḍaḥ peyā vilepī ca yavāgūḥ pathyabhedakāḥ /	maNxaH peyA vilepI ca yavAgUH paTya BedakAH /
   bhaktairvinā dravo maṇḍaḥ peyā bhaktasamanvitā /	BaktEH vinA dravaH maNxaH peyA Bakta samanvitA /
   vilepī bahubhaktā syādyavāgūr viraladravā // Rajni_20.68	vilepI bahu BaktA syAt yavAgUH virala dravAH // Rajni_20.68
   vidalaṃ māṣamudgādi pakvaṃ sūpābhidhānakam // Rajni_20.69	vidalam mAza mudga Adi pakvam sUpa aBiDAnakam // Rajni_20.69
   pādāhāraṃ pathyamāhuśca vaidyā vidyād ardhāhāram āhārasaṃjñam /	pAda AhAram paTyam AhuH ca vEdyAH vidyAt arDa AhAram AhAra saMjQam /
   pādonaṃ syādbhojanaṃ bhogamanyadvidyāccheṣaṃ vātadoṣaprasūtyai //	pAda Unam syAt Bojanam Bogam anyat vidyAt Sezam vAta doza prasUtyE //
   Rajni_20.70	Rajni_20.70
   annaṃ jīvanamāhāraḥ kūraṃ kaśipurodanam /	annam jIvanam AhAraH kUram kaSipuH odanam /
   andho bhissādanaṃ bhojyam annādyam aśanaṃ tathā // Rajni_20.71	anDaH BissAdanam Bojyam annAdyam aSanam taTA // Rajni_20.71
   bhojyaṃ peyaṃ tathā coṣyaṃ lehyaṃ khādyaṃ ca carvaṇam /	Bojyam peyam taTA cozyam lehyam KAdyam ca carvaNam /
   niṣpeyaṃ caiva bhakṣyaṃ syādannamaṣṭavidhaṃ smṛtam // Rajni_20.72	nizpeyam ca eva Bakzyam syAt annam azwaviDam smRtam // Rajni_20.72
   vyañjanaṃ sūpaśākādi miṣṭānnaṃ temanaṃ smṛtam /	vyaQjanam sUpa SAka Adi mizwa annam temanam smRtam /
   upadaṃśo vidaṃśaḥ syāt saṃdhāno rocakaśca saḥ // Rajni_20.73	upadaMSaH vidaMSaH syAt saMDAnaH rocakaH ca saH // Rajni_20.73
   jemanamabhyavahāraḥ pratyavasānaṃ ca bhojanaṃ jagdhiḥ /	jemanam aByavahAraH pratyavasAnam ca Bojanam jagDiH /
   balbhanam aśanaṃ svadanaṃ nighasāhārau ca nigaraṇaṃ nyādaḥ // Rajni_20.74	balBanam aSanam svadanam niGasa AhArO ca nigaraNam nyAdaH // Rajni_20.74
   jakṣaṇaṃ bhakṣaṇaṃ lehaḥ svādanaṃ rasanasvadau /	jakzaNam BakzaNam lehaH svAdanam rasana svadO /
   carvaṇaṃ pānapītī ca dhayanaṃ cūṣaṇaṃ bhidāḥ // Rajni_20.75	carvaNam pAna pItI ca Dayanam cUzaNam BidAH // Rajni_20.75
   madhuro lavaṇastiktaḥ kaṣāyo'mlaḥ kaṭustathā /	maDuraH lavaNaH tiktaH kazAyaH amlaH kawuH taTA /
   santīti rasanīyatvādannādye ṣaḍamī rasāḥ // Rajni_20.76	santi iti rasanIya tvAt annAdye zaw amI rasAH // Rajni_20.76
   madhuraṃ laulyam ityāhur ikṣvādau ca sa lakṣyate // Rajni_20.77	maDuram lOlyam iti AhuH ikzu AdO ca sa lakzyate // Rajni_20.77
   lavaṇastu paṭuḥ proktaḥ saindhavādau sa dṛśyate // Rajni_20.78	lavaNaH tu pawuH proktaH sEnDava AdO sa dRSyate // Rajni_20.78
   tiktaśca picumandādau vyaktamāsvādyate rasaḥ // Rajni_20.79	tiktaH ca picumanda AdO vyaktam AsvAdyate rasaH // Rajni_20.79
   kaṣāyastuvaraḥ proktaḥ sa tu pūgīphalādiṣu // Rajni_20.80	kazAyaH tuvaraH proktaH sa tu pUgI Pala Adizu // Rajni_20.80
   amlastu ciñcājambīramātuluṅgaphalādiṣu // Rajni_20.81	amlaH tu ciQcA jambIra mAtuluFga Pala Adizu // Rajni_20.81
   kaṭustu tīkṣṇasaṃjñaḥ syānmarīcādau sa cekṣyate // Rajni_20.82	kawuH tu tIkzNa saMjQaH syAt marIca AdO sa ca Ikzyate // Rajni_20.82
   madhuraśca rasaścinoti keśān vapuṣaḥ sthairyabalaujovīryadāyī /	maDuraH ca rasaH cinoti keSAn vapuzaH sTErya bala ojaH vIrya dAyI /
   atisevanataḥ pramehaśaityaṃ jaḍatāmāndyamukhānkaroti doṣān // Rajni_20.83	ati sevanataH prameha SEtyam jaxa tA mAndya muKAn karoti dozAn // Rajni_20.83
   lavaṇo rucikṛdraso 'gnidāyī pacanaḥ svādukaraśca sārakaśca /	lavaNaH ruci kRt rasaH agni dAyI pacanaH svAdu karaH ca sArakaH ca /
   atisevanato jarāṃ ca pittaṃ sitimānaṃ ca dadāti kuṣṭhakārī // Rajni_20.84	ati sevanataH jarAm ca pittam siti mAnam ca dadAti kuzWa kArI // Rajni_20.84
   tikto jantūn hanti kuṣṭhaṃ jvarārtiṃ kāsaṃ dāhaṃ dīpano rocanaśca /	tiktaH jantUn hanti kuzWam jvara Artim kAsam dAham dIpanaH rocanaH ca /
   martyair gāḍhaṃ pratyahaṃ sevitaścettīvraṃ datte rājayakṣmāṇameṣaḥ //	martyEH gAXam pratyaham sevitaH ced tIvram datte rAjayakzmANam ezaH //
   Rajni_20.85	Rajni_20.85
   kaṣāyanāmā niruṇaddhi śophaṃ varṇaṃ tanor dīpanapācanaśca /	kazAya nAmA niruNadDi SoPam varNam tanoH dIpana pAcanaH ca /
   sattvāpaho'sau śithilatvakārī niṣevitaḥ pāṇḍu karoti gātram // Rajni_20.86	sattva apahaH asO SiTila tva kArI nizevitaH pANxu karoti gAtram // Rajni_20.86
   amlābhidhaḥ prītikaro rucipradaḥ prapācano 'gneḥ paṭutāṃ ca yacchati /	amla aBiDaH prIti karaH ruci pradaH prapAcanaH agneH pawu tAm ca yacCati /
   bhrāntiṃ ca kuṣṭhaṃ kaphapāṇḍutāṃ ca kārṣṇyaṃ ca kāsaṃ kurute'tisevitaḥ //	BrAntim ca kuzWam kaPa pANxu tAm ca kArzNyam ca kAsam kurute atisevitaH //
   Rajni_20.87	Rajni_20.87
   kaṭuḥ kaphaṃ kaṇṭhajadoṣaśophamandānalaśvitragadān nihanti /	kawuH kaPam kaNWa ja doza SoPa manda anala Svitra gadAn nihanti /
   eṣo'pi datte bahusevitaścet kṣayāvaho vīryabalakṣayaṃ ca // Rajni_20.88	ezaH api datte bahu sevitaH ced kzaya AvahaH vIrya bala kzayam ca // Rajni_20.88
   kaṭuḥ kaṣāyaśca kaphāpahāriṇau mādhuryatiktāv api pittanāśanau /	kawuH kazAyaH ca kaPa apahAriNO mADurya tiktO api pitta nASanO /
   paṭvamlasaṃjñau ca rasau maruddharau itthaṃ dviśo'mī sakalāmayāpahāḥ //	pawu amla saMjQO ca rasO marut harO itTam dviSas amI sakala Amaya apahAH //
   Rajni_20.89	Rajni_20.89
   anyonyaṃ madhurāmlau lavaṇāmlau kaṭutiktakau ca rasau /	anyonyam maDura amlO lavaNa amlO kawu tiktakO ca rasO /
   kaṭulavaṇau ca syātāṃ miśrarasau tiktalavaṇau ca // Rajni_20.90	kawu lavaNO ca syAtAm miSra rasO tikta lavaNO ca // Rajni_20.90
   lavaṇamadhurau viruddhāv atha kaṭumadhurau ca tiktamadhurau ca /	lavaNa maDurO virudDO aTa kawu maDurO ca tikta maDurO ca /
   sādhāraṇaḥ kaṣāyaḥ sarvatra samānatāṃ dhatte // Rajni_20.91	sADAraNaH kazAyaH sarvatra samAna tAm Datte // Rajni_20.91
   saṃdhatte madhuro'mlatāṃ ca lavaṇo dhatte yathāvat sthitiṃ tiktākhyaḥ	saMDatte maDuraH amla tAm ca lavaNaH Datte yaTAvat sTitim tikta AKyaH
   kaṭutāṃ tathā madhuratāṃ dhatte kaṣāyāhvayaḥ /	kawu tAm taTA maDura tAm Datte kazAya AhvayaH /
   amlastiktaruciṃ dadāti kaṭuko yāty antatas tiktatām ityeṣāṃ svavipākato	amlaH tikta rucim dadAti kawukaH yAti antatas tikta tAm iti ezAm sva vipAkataH 
   'pi kathitā ṣaṇṇāṃ rasānāṃ sthitiḥ // Rajni_20.92	api kaTitA zaNNAm rasAnAm sTitiH // Rajni_20.92
   madhuro'mlaḥ kaṭustiktaḥ paṭustuvara ityamī /	maDuraH amlaH kawuH tiktaH pawuH tuvaraH iti amI /
   kramād anyonyasaṃkīrṇā nānātvaṃ yānti ṣaḍrasāḥ // Rajni_20.93	kramAt anyonya saMkIrNAH nAnAtvam yAnti zaz rasAH // Rajni_20.93
   ādyādyo madhurādiścedekaikenottareṇa yuk /	Adya AdyaH maDura AdiH ced ekEkena uttareNa yuj /
   dvikabhedāḥ pañcadaśa paryāyaiḥ pañcabhistathā // Rajni_20.94	dvika BedAH paQcadaSa paryAyEH paQcaBiH taTA // Rajni_20.94
   ādyaḥ sānantaraḥ prāgvaduttareṇa śruto yadā /	AdyaH sa anantaraH prAgvat uttareNa SrutaH yadA /
   caturbhirapi paryāyair ādye proktā bhidā daśa // Rajni_20.95	caturBiH api paryAyEH Adye proktAH BidA daSa // Rajni_20.95
   evaṃ dvitīye ṣaḍbhedās tṛtīye ca trayaḥ smṛtāḥ /	evam dvitIye zaw BedAH tRtIye ca trayaH smRtAH /
   caturthe caika ityete trikabhedāstu viṃśatiḥ // Rajni_20.96	caturTe ca ekaH iti ete trika BedAH tu viMSatiH // Rajni_20.96
   ādyau sānantarau triḥ ṣaḍekaikāgrimayogataḥ /	AdyO sa anantarO tris zaz eka eka agrima yogataH /
   tyakte dvitīye catvāraḥ svāgrimaikaikasaṃyute // Rajni_20.97	tyakte dvitIye catvAraH sva agrima eka eka saMyute // Rajni_20.97
   ādye tyakte tu pañca syuḥ svāgrimaikaikasaṃyute /	Adye tyakte tu paQca syuH sva agrima eka eka saMyute /
   catuṣkabhedā ityete kramāt pañcadaśeritāḥ // Rajni_20.98	catuzka BedAH iti ete kramAt paQcadaSa IritAH // Rajni_20.98
   tataḥ pañcakabhedāḥ ṣaḍekaikatyāgataḥ smṛtāḥ /	tatas paQcaka BedAH zaz eka eka tyAgataH smRtAH /
   ekaḥ sarvasamāsena vyāse ṣaḍiti sapta te // Rajni_20.99	ekaH sarva samAsena vyAse zaw iti sapta te // Rajni_20.99
   evaṃ triṣaṣṭirākhyātā rasabhedāḥ samāsataḥ /	evam trizazwiH AKyAtAH rasa BedAH samAsatas /
   tāratamyeṣvasaṃkhyātāṃstān vetti yadi śaṃkaraḥ // Rajni_20.100	tAratamyezu asaMKyAtAn= tAn vetti yadi SaMkaraH // Rajni_20.100
   bṛṃhaṇaṃ puṣṭidaṃ poṣyamutkaṃ pīnatvadaṃ ca tat /	bRMhaNam puzwi dam pozyam utkam pIna tva dam ca tat /
   vīryavṛddhikaraṃ vṛṣyaṃ vājīkaraṇabījakṛt // Rajni_20.101	vIrya vRdDi karam vRzyam vAjIkaraNa bIja kRt // Rajni_20.101
   āpyāyanaṃ tarpaṇaṃ ca prīṇanaṃ toṣaṇaṃ ca tat /	ApyAyanam tarpaNam ca prINanam tozaNam ca tat /
   niḥṣyandanam abhiṣyandi netradrāvaṃ saraṃ ca tat // Rajni_20.102	niHzyandanam aBizyandi netradrAvam saram ca tat // Rajni_20.102
   iti bahuvidharogavyādhitopakramo'tra prakṛtabhiṣaganuktāhārapathyaprayogam	iti bahuviDa roga vyADita upakramaH atra prakRta Bizaj anukta AhAra paTya prayogam
   imamakhilamuditvā vargamutsargasiddhān pravadatu sa ca vidvān	imam aKilam uditvA vargam utsarga sidDAn pravadatu sa ca vidvAn
   āmayapratyayāṃs tān // Rajni_20.103	Amaya pratyayAn tAn // Rajni_20.103
   yena vyādhiśatāndhakārapaṭalīniṣkāsanābhāskaraprāyeṇāpi punastarāṃ	yena vyADi Sata anDakAra pawalI nizkAsana ABAskara prAyeNa api punar tarAm
   pravihitā hanta dviṣāṃ vyādhayaḥ /	pravihitAH hanta dvizAm vyADayaH /
   tasyāyaṃ kṛtivāci viṃśatitamaḥ śrīmannṛsiṃheśituḥ śāntiṃ	tasya ayam kRti vAci viMSatitamaH SrImat nRsiMha ISituH SAntim
   nāmakirīṭamaṇḍanamaṇau vargo gadādirgataḥ // Rajni_20.104	nAma kirIwa maNxana maNO vargaH gadA AdiH gataH // Rajni_20.104
   Rājanighaṇṭu, Sattvādivarga	RA jani GaNwu, SattvA Adi varga
   sattvaṃ rajastamaśceti puṃsām uktāstrayo guṇāḥ /	sattvam rajaH tamaH ca iti puMsAm uktAH trayaH guNAH /
   teṣu kramādamī doṣāḥ kaphapittānilāḥ sthitāḥ // Rajni_21.1	tezu kramAt amI dozAH kaPa pitta anilAH sTitAH // Rajni_21.1
   sattvaṃ śleṣmā rajaḥ pittaṃ tamaścāpi samīraṇaḥ /	sattvam SlezmA rajaH pittam tamaH ca api samIraNaH /
   dravyasya mānamudriktaṃ puṃsi puṃsyanuvartate // Rajni_21.2	dravyasya mAnam udriktam puMsi puMsi anuvartate // Rajni_21.2
   sattvaṃ manovikāśaḥ syāt sattvāyattā tathā sthitiḥ // Rajni_21.3	sattvam manaH vikASaH syAt sattva AyattA taTA sTitiH // Rajni_21.3
   rajo rūṣaṇamudrekaḥ kāluṣyaṃ mativibhramaḥ // Rajni_21.4	rajaH rUzaNa mudrekaH kAluzyam mati viBramaH // Rajni_21.4
   tamastimiram āndhyaṃ ca cittonmādaśca mūḍhatā /	tamaH timiram AnDyam ca citta unmAdaH ca mUXa tA /
   hṛdayāvaraṇaṃ dhvāntamandhakāro vimohanam // Rajni_21.5	hRdaya AvaraNam DvAntam anDakAraH vimohanam // Rajni_21.5
   vāto gandhavaho vāyuḥ pavamāno mahābalaḥ /	vAtaH ganDavahaH vAyuH pavamAnaH mahA balaH /
   sparśano gandhavāhī ca pavano marudāśugaḥ // Rajni_21.6	sparSanaH ganDa vAhI ca pavanaH marut ASugaH // Rajni_21.6
   śvasano mātariśvā ca nabhasvānmāruto'nilaḥ /	SvasanaH mAtariSvA ca naBasvAn mArutaH anilaH /
   samīraṇo jagatprāṇaḥ samīraśca sadāgatiḥ // Rajni_21.7	samIraNaH jagat prANaH samIraH ca sadAgatiH // Rajni_21.7
   javanaḥ pṛṣadaśvaśca tarasvī ca prabhañjanaḥ /	javanaH pRzadaSvaH ca tarasvI ca praBaQjanaH /
   pradhāvano'navasthāno dhūnano moṭanaḥ khagaḥ // Rajni_21.8	praDAvanaH anavasTAnaH DUnanaH mowanaH KagaH // Rajni_21.8
   anye 'pi vāyavo dehe nāḍīcakrapravāhakāḥ /	anye api vAyavaH dehe nAxI cakra pravAhakAH /
   mayā vitatya noktāste granthagauravabhīruṇā // Rajni_21.9	mayA vitatya na uktAH te granTa gOrava BIruNA // Rajni_21.9
   sattvādiguṇasaṃbhinnadoṣatrayavaśātmanā /	sattva Adi guNa saMBinna dozatraya vaSa AtmanA /
   ābhyantaraṃ ca bāhyaṃ ca svarūpaṃ saṃnirucyate // Rajni_21.10	AByantaram ca bAhyam ca svarUpam saMnirucyate // Rajni_21.10
   sattvāḍhyaḥ śucirāstikaḥ sthiramatiḥ puṣṭāṅgako dhārmikaḥ kāntaḥ so 'pi	sattva AXyaH SuciH AstikaH sTira matiH puzwAFgakaH DArmikaH kAntaH saH api
   bahuprajaḥ sumadhurakṣīrādibhojyapriyaḥ /	bahu prajaH su maDura kzIra Adi Bojya priyaH /
   dātā pātraguṇādṛto drutatamaṃ vāgmī kṛpāluḥ samo gauraḥ śyāmatanur	dAtA pAtra guNa AdRtaH drutatamam vAgmI kRpAluH samaH gOraH SyAma tanuH 
   ghanāmbutuhinasvapnekṣaṇaḥ śleṣmalaḥ // Rajni_21.11	Gana ambu tuhina svapna IkzaNaH SlezmalaH // Rajni_21.11
   rājaso lavaṇāmlatiktakaṭukaprāyoṣṇabhojī paṭuḥ prauḍho nātikṛśo	rAjasaH lavaNa amla tikta kawuka prAya uzNa BojI pawuH prOXaH na ati kRSaH 
   'pyakālapalitī krodhaprapañcānvitaḥ /	api akAla palitI kroDa prapaQca anvitaH /
   drāghīyān mahilāśayo vitaritā sopādhikaṃ yācito gaurāṅgaḥ	drAGIyAt mahilA ASayaH vitaritA sa upADikam yAcitaH gOra aFgaH
   kanakādidīptilalitaḥ svapnī ca pittātmakaḥ // Rajni_21.12	kanaka Adi dIpti lalitaH svapnI ca pitta AtmakaH // Rajni_21.12
